context: Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Let's see...\Which way was it again?\All right, attention, rookie Red Blood Cells!\IN TRAINING\CLEARANCE\Up ahead is the inferior vena cava.\When this workplace tour is done, response:	Rookie Red Blood Cells?
context: Let's see...\Which way was it again?\All right, attention, rookie Red Blood Cells!\IN TRAINING\CLEARANCE\Up ahead is the inferior vena cava.\When this workplace tour is done,\Rookie Red Blood Cells? response:	you'll be sent out immediately to the front lines.
context: Which way was it again?\All right, attention, rookie Red Blood Cells!\IN TRAINING\CLEARANCE\Up ahead is the inferior vena cava.\When this workplace tour is done,\Rookie Red Blood Cells?\you'll be sent out immediately to the front lines. response:	LANES MERGE AHEAD PLEASE SLOW DOWN!
context: All right, attention, rookie Red Blood Cells!\IN TRAINING\CLEARANCE\Up ahead is the inferior vena cava.\When this workplace tour is done,\Rookie Red Blood Cells?\you'll be sent out immediately to the front lines.\LANES MERGE AHEAD PLEASE SLOW DOWN! response:	So please make sure you get everything straight while you have the chance!
context: IN TRAINING\CLEARANCE\Up ahead is the inferior vena cava.\When this workplace tour is done,\Rookie Red Blood Cells?\you'll be sent out immediately to the front lines.\LANES MERGE AHEAD PLEASE SLOW DOWN!\So please make sure you get everything straight while you have the chance! response:	So the rookies will be starting their first day of work soon. I see.
context: CLEARANCE\Up ahead is the inferior vena cava.\When this workplace tour is done,\Rookie Red Blood Cells?\you'll be sent out immediately to the front lines.\LANES MERGE AHEAD PLEASE SLOW DOWN!\So please make sure you get everything straight while you have the chance!\So the rookies will be starting their first day of work soon. I see. response:	Yes, ma'am!
context: Up ahead is the inferior vena cava.\When this workplace tour is done,\Rookie Red Blood Cells?\you'll be sent out immediately to the front lines.\LANES MERGE AHEAD PLEASE SLOW DOWN!\So please make sure you get everything straight while you have the chance!\So the rookies will be starting their first day of work soon. I see.\Yes, ma'am! response:	All right, let's move on to our next stop. Follow me, please!
context: When this workplace tour is done,\Rookie Red Blood Cells?\you'll be sent out immediately to the front lines.\LANES MERGE AHEAD PLEASE SLOW DOWN!\So please make sure you get everything straight while you have the chance!\So the rookies will be starting their first day of work soon. I see.\Yes, ma'am!\All right, let's move on to our next stop. Follow me, please! response:	Yes, ma'am!
context: Rookie Red Blood Cells?\you'll be sent out immediately to the front lines.\LANES MERGE AHEAD PLEASE SLOW DOWN!\So please make sure you get everything straight while you have the chance!\So the rookies will be starting their first day of work soon. I see.\Yes, ma'am!\All right, let's move on to our next stop. Follow me, please!\Yes, ma'am! response:	I'd better look sharp myself!
context: you'll be sent out immediately to the front lines.\LANES MERGE AHEAD PLEASE SLOW DOWN!\So please make sure you get everything straight while you have the chance!\So the rookies will be starting their first day of work soon. I see.\Yes, ma'am!\All right, let's move on to our next stop. Follow me, please!\Yes, ma'am!\I'd better look sharp myself! response:	Even though in everybody's eyes, I'm a dummy and directionally-challenged...
context: LANES MERGE AHEAD PLEASE SLOW DOWN!\So please make sure you get everything straight while you have the chance!\So the rookies will be starting their first day of work soon. I see.\Yes, ma'am!\All right, let's move on to our next stop. Follow me, please!\Yes, ma'am!\I'd better look sharp myself!\Even though in everybody's eyes, I'm a dummy and directionally-challenged... response:	Seriously, you! Sticking your nose into other people's work!
context: So please make sure you get everything straight while you have the chance!\So the rookies will be starting their first day of work soon. I see.\Yes, ma'am!\All right, let's move on to our next stop. Follow me, please!\Yes, ma'am!\I'd better look sharp myself!\Even though in everybody's eyes, I'm a dummy and directionally-challenged...\Seriously, you! Sticking your nose into other people's work! response:	Ms. Macrophage!
context: So the rookies will be starting their first day of work soon. I see.\Yes, ma'am!\All right, let's move on to our next stop. Follow me, please!\Yes, ma'am!\I'd better look sharp myself!\Even though in everybody's eyes, I'm a dummy and directionally-challenged...\Seriously, you! Sticking your nose into other people's work!\Ms. Macrophage! response:	I've got to come into my own, or I'll always be a drag on everyone else!
context: Yes, ma'am!\All right, let's move on to our next stop. Follow me, please!\Yes, ma'am!\I'd better look sharp myself!\Even though in everybody's eyes, I'm a dummy and directionally-challenged...\Seriously, you! Sticking your nose into other people's work!\Ms. Macrophage!\I've got to come into my own, or I'll always be a drag on everyone else! response:	I can't keep depending on others anymore!
context: All right, let's move on to our next stop. Follow me, please!\Yes, ma'am!\I'd better look sharp myself!\Even though in everybody's eyes, I'm a dummy and directionally-challenged...\Seriously, you! Sticking your nose into other people's work!\Ms. Macrophage!\I've got to come into my own, or I'll always be a drag on everyone else!\I can't keep depending on others anymore! response:	Delivering carbon dioxide to the lungs, receiving oxygen in return,
context: Yes, ma'am!\I'd better look sharp myself!\Even though in everybody's eyes, I'm a dummy and directionally-challenged...\Seriously, you! Sticking your nose into other people's work!\Ms. Macrophage!\I've got to come into my own, or I'll always be a drag on everyone else!\I can't keep depending on others anymore!\Delivering carbon dioxide to the lungs, receiving oxygen in return, response:	and delivering it to cells throughout the body...
context: I'd better look sharp myself!\Even though in everybody's eyes, I'm a dummy and directionally-challenged...\Seriously, you! Sticking your nose into other people's work!\Ms. Macrophage!\I've got to come into my own, or I'll always be a drag on everyone else!\I can't keep depending on others anymore!\Delivering carbon dioxide to the lungs, receiving oxygen in return,\and delivering it to cells throughout the body... response:	That's my job!
context: Even though in everybody's eyes, I'm a dummy and directionally-challenged...\Seriously, you! Sticking your nose into other people's work!\Ms. Macrophage!\I've got to come into my own, or I'll always be a drag on everyone else!\I can't keep depending on others anymore!\Delivering carbon dioxide to the lungs, receiving oxygen in return,\and delivering it to cells throughout the body...\That's my job! response:	And I'll go all around this circulatory system by myself without getting lost!
context: Seriously, you! Sticking your nose into other people's work!\Ms. Macrophage!\I've got to come into my own, or I'll always be a drag on everyone else!\I can't keep depending on others anymore!\Delivering carbon dioxide to the lungs, receiving oxygen in return,\and delivering it to cells throughout the body...\That's my job!\And I'll go all around this circulatory system by myself without getting lost! response:	EPISODE 8: BLOOD CIRCULATION
context: Ms. Macrophage!\I've got to come into my own, or I'll always be a drag on everyone else!\I can't keep depending on others anymore!\Delivering carbon dioxide to the lungs, receiving oxygen in return,\and delivering it to cells throughout the body...\That's my job!\And I'll go all around this circulatory system by myself without getting lost!\EPISODE 8: BLOOD CIRCULATION response:	Blood Circulation.
context: I've got to come into my own, or I'll always be a drag on everyone else!\I can't keep depending on others anymore!\Delivering carbon dioxide to the lungs, receiving oxygen in return,\and delivering it to cells throughout the body...\That's my job!\And I'll go all around this circulatory system by myself without getting lost!\EPISODE 8: BLOOD CIRCULATION\Blood Circulation. response:	Let's see.
context: I can't keep depending on others anymore!\Delivering carbon dioxide to the lungs, receiving oxygen in return,\and delivering it to cells throughout the body...\That's my job!\And I'll go all around this circulatory system by myself without getting lost!\EPISODE 8: BLOOD CIRCULATION\Blood Circulation.\Let's see. response:	Since I'm in front of the inferior vena cava now,
context: Delivering carbon dioxide to the lungs, receiving oxygen in return,\and delivering it to cells throughout the body...\That's my job!\And I'll go all around this circulatory system by myself without getting lost!\EPISODE 8: BLOOD CIRCULATION\Blood Circulation.\Let's see.\Since I'm in front of the inferior vena cava now, response:	INFERIOR VENA CAVA
context: and delivering it to cells throughout the body...\That's my job!\And I'll go all around this circulatory system by myself without getting lost!\EPISODE 8: BLOOD CIRCULATION\Blood Circulation.\Let's see.\Since I'm in front of the inferior vena cava now,\INFERIOR VENA CAVA response:	YOU ARE HERE
context: That's my job!\And I'll go all around this circulatory system by myself without getting lost!\EPISODE 8: BLOOD CIRCULATION\Blood Circulation.\Let's see.\Since I'm in front of the inferior vena cava now,\INFERIOR VENA CAVA\YOU ARE HERE response:	HEART
context: And I'll go all around this circulatory system by myself without getting lost!\EPISODE 8: BLOOD CIRCULATION\Blood Circulation.\Let's see.\Since I'm in front of the inferior vena cava now,\INFERIOR VENA CAVA\YOU ARE HERE\HEART response:	I should just go... Inferior vena cava... Heart... Lungs!
context: EPISODE 8: BLOOD CIRCULATION\Blood Circulation.\Let's see.\Since I'm in front of the inferior vena cava now,\INFERIOR VENA CAVA\YOU ARE HERE\HEART\I should just go... Inferior vena cava... Heart... Lungs! response:	And then just make my way back, right?
context: Blood Circulation.\Let's see.\Since I'm in front of the inferior vena cava now,\INFERIOR VENA CAVA\YOU ARE HERE\HEART\I should just go... Inferior vena cava... Heart... Lungs!\And then just make my way back, right? response:	All right!
context: Let's see.\Since I'm in front of the inferior vena cava now,\INFERIOR VENA CAVA\YOU ARE HERE\HEART\I should just go... Inferior vena cava... Heart... Lungs!\And then just make my way back, right?\All right! response:	CELL
context: Since I'm in front of the inferior vena cava now,\INFERIOR VENA CAVA\YOU ARE HERE\HEART\I should just go... Inferior vena cava... Heart... Lungs!\And then just make my way back, right?\All right!\CELL response:	Now I turn this corner, and...
context: INFERIOR VENA CAVA\YOU ARE HERE\HEART\I should just go... Inferior vena cava... Heart... Lungs!\And then just make my way back, right?\All right!\CELL\Now I turn this corner, and... response:	Something there...
context: YOU ARE HERE\HEART\I should just go... Inferior vena cava... Heart... Lungs!\And then just make my way back, right?\All right!\CELL\Now I turn this corner, and...\Something there... response:	Get in my way and I'll stab you to death!
context: HEART\I should just go... Inferior vena cava... Heart... Lungs!\And then just make my way back, right?\All right!\CELL\Now I turn this corner, and...\Something there...\Get in my way and I'll stab you to death! response:	Stuff like this is always happening around me!
context: I should just go... Inferior vena cava... Heart... Lungs!\And then just make my way back, right?\All right!\CELL\Now I turn this corner, and...\Something there...\Get in my way and I'll stab you to death!\Stuff like this is always happening around me! response:	And I just vowed to myself that I'd try my best!
context: And then just make my way back, right?\All right!\CELL\Now I turn this corner, and...\Something there...\Get in my way and I'll stab you to death!\Stuff like this is always happening around me!\And I just vowed to myself that I'd try my best! response:	I'm history! I'm gonna get stabbed and dissolve!
context: All right!\CELL\Now I turn this corner, and...\Something there...\Get in my way and I'll stab you to death!\Stuff like this is always happening around me!\And I just vowed to myself that I'd try my best!\I'm history! I'm gonna get stabbed and dissolve! response:	HEMOLYSIS The destruction of Red Blood Cells.
context: CELL\Now I turn this corner, and...\Something there...\Get in my way and I'll stab you to death!\Stuff like this is always happening around me!\And I just vowed to myself that I'd try my best!\I'm history! I'm gonna get stabbed and dissolve!\HEMOLYSIS The destruction of Red Blood Cells. response:	I'm gonna die!
context: Now I turn this corner, and...\Something there...\Get in my way and I'll stab you to death!\Stuff like this is always happening around me!\And I just vowed to myself that I'd try my best!\I'm history! I'm gonna get stabbed and dissolve!\HEMOLYSIS The destruction of Red Blood Cells.\I'm gonna die! response:	What? Y-You headed me off!
context: Something there...\Get in my way and I'll stab you to death!\Stuff like this is always happening around me!\And I just vowed to myself that I'd try my best!\I'm history! I'm gonna get stabbed and dissolve!\HEMOLYSIS The destruction of Red Blood Cells.\I'm gonna die!\What? Y-You headed me off! response:	Die! You germ!
context: Get in my way and I'll stab you to death!\Stuff like this is always happening around me!\And I just vowed to myself that I'd try my best!\I'm history! I'm gonna get stabbed and dissolve!\HEMOLYSIS The destruction of Red Blood Cells.\I'm gonna die!\What? Y-You headed me off!\Die! You germ! response:	Hey, Red Blood Cell...
context: Stuff like this is always happening around me!\And I just vowed to myself that I'd try my best!\I'm history! I'm gonna get stabbed and dissolve!\HEMOLYSIS The destruction of Red Blood Cells.\I'm gonna die!\What? Y-You headed me off!\Die! You germ!\Hey, Red Blood Cell... response:	Are you all right?
context: And I just vowed to myself that I'd try my best!\I'm history! I'm gonna get stabbed and dissolve!\HEMOLYSIS The destruction of Red Blood Cells.\I'm gonna die!\What? Y-You headed me off!\Die! You germ!\Hey, Red Blood Cell...\Are you all right? response:	WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.
context: I'm history! I'm gonna get stabbed and dissolve!\HEMOLYSIS The destruction of Red Blood Cells.\I'm gonna die!\What? Y-You headed me off!\Die! You germ!\Hey, Red Blood Cell...\Are you all right?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood. response:	Wh-White Blood Cell...
context: HEMOLYSIS The destruction of Red Blood Cells.\I'm gonna die!\What? Y-You headed me off!\Die! You germ!\Hey, Red Blood Cell...\Are you all right?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Wh-White Blood Cell... response:	Thank you so much!
context: I'm gonna die!\What? Y-You headed me off!\Die! You germ!\Hey, Red Blood Cell...\Are you all right?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Wh-White Blood Cell...\Thank you so much! response:	What are you doing in a place like this?
context: What? Y-You headed me off!\Die! You germ!\Hey, Red Blood Cell...\Are you all right?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Wh-White Blood Cell...\Thank you so much!\What are you doing in a place like this? response:	There's nothing but lymphatic vessels up ahead.
context: Die! You germ!\Hey, Red Blood Cell...\Are you all right?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Wh-White Blood Cell...\Thank you so much!\What are you doing in a place like this?\There's nothing but lymphatic vessels up ahead. response:	I lost my way again!
context: Hey, Red Blood Cell...\Are you all right?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Wh-White Blood Cell...\Thank you so much!\What are you doing in a place like this?\There's nothing but lymphatic vessels up ahead.\I lost my way again! response:	You're lost?
context: Are you all right?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Wh-White Blood Cell...\Thank you so much!\What are you doing in a place like this?\There's nothing but lymphatic vessels up ahead.\I lost my way again!\You're lost? response:	Y-Yes.
context: WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Wh-White Blood Cell...\Thank you so much!\What are you doing in a place like this?\There's nothing but lymphatic vessels up ahead.\I lost my way again!\You're lost?\Y-Yes. response:	And now White Blood Cell is all injured because of me!
context: Wh-White Blood Cell...\Thank you so much!\What are you doing in a place like this?\There's nothing but lymphatic vessels up ahead.\I lost my way again!\You're lost?\Y-Yes.\And now White Blood Cell is all injured because of me! response:	I can't go on like this!
context: Thank you so much!\What are you doing in a place like this?\There's nothing but lymphatic vessels up ahead.\I lost my way again!\You're lost?\Y-Yes.\And now White Blood Cell is all injured because of me!\I can't go on like this! response:	I've got to get a grip!
context: What are you doing in a place like this?\There's nothing but lymphatic vessels up ahead.\I lost my way again!\You're lost?\Y-Yes.\And now White Blood Cell is all injured because of me!\I can't go on like this!\I've got to get a grip! response:	Then, I'll show you the way again.
context: There's nothing but lymphatic vessels up ahead.\I lost my way again!\You're lost?\Y-Yes.\And now White Blood Cell is all injured because of me!\I can't go on like this!\I've got to get a grip!\Then, I'll show you the way again. response:	Whoa! R-Red Blood Cell is ablaze!
context: I lost my way again!\You're lost?\Y-Yes.\And now White Blood Cell is all injured because of me!\I can't go on like this!\I've got to get a grip!\Then, I'll show you the way again.\Whoa! R-Red Blood Cell is ablaze! response:	I'm going to finish the job all by myself!
context: You're lost?\Y-Yes.\And now White Blood Cell is all injured because of me!\I can't go on like this!\I've got to get a grip!\Then, I'll show you the way again.\Whoa! R-Red Blood Cell is ablaze!\I'm going to finish the job all by myself! response:	That's what her aura is saying!
context: Y-Yes.\And now White Blood Cell is all injured because of me!\I can't go on like this!\I've got to get a grip!\Then, I'll show you the way again.\Whoa! R-Red Blood Cell is ablaze!\I'm going to finish the job all by myself!\That's what her aura is saying! response:	So I guess I'll stop meddling.
context: And now White Blood Cell is all injured because of me!\I can't go on like this!\I've got to get a grip!\Then, I'll show you the way again.\Whoa! R-Red Blood Cell is ablaze!\I'm going to finish the job all by myself!\That's what her aura is saying!\So I guess I'll stop meddling. response:	S-See you! Keep up the good work, okay?
context: I can't go on like this!\I've got to get a grip!\Then, I'll show you the way again.\Whoa! R-Red Blood Cell is ablaze!\I'm going to finish the job all by myself!\That's what her aura is saying!\So I guess I'll stop meddling.\S-See you! Keep up the good work, okay? response:	Right!
context: I've got to get a grip!\Then, I'll show you the way again.\Whoa! R-Red Blood Cell is ablaze!\I'm going to finish the job all by myself!\That's what her aura is saying!\So I guess I'll stop meddling.\S-See you! Keep up the good work, okay?\Right! response:	Big Sister, there's still construction going on here! Please watch out!
context: Then, I'll show you the way again.\Whoa! R-Red Blood Cell is ablaze!\I'm going to finish the job all by myself!\That's what her aura is saying!\So I guess I'll stop meddling.\S-See you! Keep up the good work, okay?\Right!\Big Sister, there's still construction going on here! Please watch out! response:	PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.
context: Whoa! R-Red Blood Cell is ablaze!\I'm going to finish the job all by myself!\That's what her aura is saying!\So I guess I'll stop meddling.\S-See you! Keep up the good work, okay?\Right!\Big Sister, there's still construction going on here! Please watch out!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds. response:	R-Right!
context: I'm going to finish the job all by myself!\That's what her aura is saying!\So I guess I'll stop meddling.\S-See you! Keep up the good work, okay?\Right!\Big Sister, there's still construction going on here! Please watch out!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\R-Right! response:	Under construction. We apologize for the inconvenience.
context: That's what her aura is saying!\So I guess I'll stop meddling.\S-See you! Keep up the good work, okay?\Right!\Big Sister, there's still construction going on here! Please watch out!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\R-Right!\Under construction. We apologize for the inconvenience. response:	- I'm so sorry! I'm so sorry! - A-Are you all right?
context: So I guess I'll stop meddling.\S-See you! Keep up the good work, okay?\Right!\Big Sister, there's still construction going on here! Please watch out!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\R-Right!\Under construction. We apologize for the inconvenience.\- I'm so sorry! I'm so sorry! - A-Are you all right? response:	I-I-I'm fine! Sorry to cause you trouble!
context: S-See you! Keep up the good work, okay?\Right!\Big Sister, there's still construction going on here! Please watch out!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\R-Right!\Under construction. We apologize for the inconvenience.\- I'm so sorry! I'm so sorry! - A-Are you all right?\I-I-I'm fine! Sorry to cause you trouble! response:	I'm so sorry! I'm so sorry!
context: Right!\Big Sister, there's still construction going on here! Please watch out!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\R-Right!\Under construction. We apologize for the inconvenience.\- I'm so sorry! I'm so sorry! - A-Are you all right?\I-I-I'm fine! Sorry to cause you trouble!\I'm so sorry! I'm so sorry! response:	A-All right, if you'll excuse me...
context: Big Sister, there's still construction going on here! Please watch out!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\R-Right!\Under construction. We apologize for the inconvenience.\- I'm so sorry! I'm so sorry! - A-Are you all right?\I-I-I'm fine! Sorry to cause you trouble!\I'm so sorry! I'm so sorry!\A-All right, if you'll excuse me... response:	Hey! Would you mind not charging ahead like that?
context: PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\R-Right!\Under construction. We apologize for the inconvenience.\- I'm so sorry! I'm so sorry! - A-Are you all right?\I-I-I'm fine! Sorry to cause you trouble!\I'm so sorry! I'm so sorry!\A-All right, if you'll excuse me...\Hey! Would you mind not charging ahead like that? response:	I'm sorry! I'm sorry! I really am sorry!
context: R-Right!\Under construction. We apologize for the inconvenience.\- I'm so sorry! I'm so sorry! - A-Are you all right?\I-I-I'm fine! Sorry to cause you trouble!\I'm so sorry! I'm so sorry!\A-All right, if you'll excuse me...\Hey! Would you mind not charging ahead like that?\I'm sorry! I'm sorry! I really am sorry! response:	Red Blood Cell...
context: Under construction. We apologize for the inconvenience.\- I'm so sorry! I'm so sorry! - A-Are you all right?\I-I-I'm fine! Sorry to cause you trouble!\I'm so sorry! I'm so sorry!\A-All right, if you'll excuse me...\Hey! Would you mind not charging ahead like that?\I'm sorry! I'm sorry! I really am sorry!\Red Blood Cell... response:	VEIN
context: - I'm so sorry! I'm so sorry! - A-Are you all right?\I-I-I'm fine! Sorry to cause you trouble!\I'm so sorry! I'm so sorry!\A-All right, if you'll excuse me...\Hey! Would you mind not charging ahead like that?\I'm sorry! I'm sorry! I really am sorry!\Red Blood Cell...\VEIN response:	SIMPLIFIED MAP
context: I-I-I'm fine! Sorry to cause you trouble!\I'm so sorry! I'm so sorry!\A-All right, if you'll excuse me...\Hey! Would you mind not charging ahead like that?\I'm sorry! I'm sorry! I really am sorry!\Red Blood Cell...\VEIN\SIMPLIFIED MAP response:	Wanna have something sweet?
context: I'm so sorry! I'm so sorry!\A-All right, if you'll excuse me...\Hey! Would you mind not charging ahead like that?\I'm sorry! I'm sorry! I really am sorry!\Red Blood Cell...\VEIN\SIMPLIFIED MAP\Wanna have something sweet? response:	GLUCOSE
context: A-All right, if you'll excuse me...\Hey! Would you mind not charging ahead like that?\I'm sorry! I'm sorry! I really am sorry!\Red Blood Cell...\VEIN\SIMPLIFIED MAP\Wanna have something sweet?\GLUCOSE response:	The going's gonna get tough after this, you know.
context: Hey! Would you mind not charging ahead like that?\I'm sorry! I'm sorry! I really am sorry!\Red Blood Cell...\VEIN\SIMPLIFIED MAP\Wanna have something sweet?\GLUCOSE\The going's gonna get tough after this, you know. response:	I'd like some ice cream!
context: I'm sorry! I'm sorry! I really am sorry!\Red Blood Cell...\VEIN\SIMPLIFIED MAP\Wanna have something sweet?\GLUCOSE\The going's gonna get tough after this, you know.\I'd like some ice cream! response:	DEXTROSE: Also known as glucose. Red Blood Cells are fond of sugar. Unlike White Blood Cells, Red Blood Cells have no mitochondria, so glucose is their only energy source.
context: Red Blood Cell...\VEIN\SIMPLIFIED MAP\Wanna have something sweet?\GLUCOSE\The going's gonna get tough after this, you know.\I'd like some ice cream!\DEXTROSE: Also known as glucose. Red Blood Cells are fond of sugar. Unlike White Blood Cells, Red Blood Cells have no mitochondria, so glucose is their only energy source. response:	Dextrose. Also known as glucose.
context: VEIN\SIMPLIFIED MAP\Wanna have something sweet?\GLUCOSE\The going's gonna get tough after this, you know.\I'd like some ice cream!\DEXTROSE: Also known as glucose. Red Blood Cells are fond of sugar. Unlike White Blood Cells, Red Blood Cells have no mitochondria, so glucose is their only energy source.\Dextrose. Also known as glucose. response:	Red Blood Cells are fond of sugar.
context: SIMPLIFIED MAP\Wanna have something sweet?\GLUCOSE\The going's gonna get tough after this, you know.\I'd like some ice cream!\DEXTROSE: Also known as glucose. Red Blood Cells are fond of sugar. Unlike White Blood Cells, Red Blood Cells have no mitochondria, so glucose is their only energy source.\Dextrose. Also known as glucose.\Red Blood Cells are fond of sugar. response:	Unlike White Blood Cells, Red Blood Cells have no mitochondria,
context: Wanna have something sweet?\GLUCOSE\The going's gonna get tough after this, you know.\I'd like some ice cream!\DEXTROSE: Also known as glucose. Red Blood Cells are fond of sugar. Unlike White Blood Cells, Red Blood Cells have no mitochondria, so glucose is their only energy source.\Dextrose. Also known as glucose.\Red Blood Cells are fond of sugar.\Unlike White Blood Cells, Red Blood Cells have no mitochondria, response:	so glucose is their only energy source.
