context: I got called over by my crush. response:	Confession
context: Should I just say, you?\But then I'd be stealing her confession.\But it's not like I don't have a crush...\Oh, you do?\No, I didn't mean that.\What? You aren't making sense.\Just say so if you do.\F-Fine, then, I don't. response:	What do you mean, Fine, then?
context: But then I'd be stealing her confession.\But it's not like I don't have a crush...\Oh, you do?\No, I didn't mean that.\What? You aren't making sense.\Just say so if you do.\F-Fine, then, I don't.\What do you mean, Fine, then? response:	I mean I don't.
context: But it's not like I don't have a crush...\Oh, you do?\No, I didn't mean that.\What? You aren't making sense.\Just say so if you do.\F-Fine, then, I don't.\What do you mean, Fine, then?\I mean I don't. response:	Really?
context: Oh, you do?\No, I didn't mean that.\What? You aren't making sense.\Just say so if you do.\F-Fine, then, I don't.\What do you mean, Fine, then?\I mean I don't.\Really? response:	Wasn't there something you wanted to talk to me about?
context: No, I didn't mean that.\What? You aren't making sense.\Just say so if you do.\F-Fine, then, I don't.\What do you mean, Fine, then?\I mean I don't.\Really?\Wasn't there something you wanted to talk to me about? response:	L-Like I said, I wanted to know if you had a crush on anyone.
context: What? You aren't making sense.\Just say so if you do.\F-Fine, then, I don't.\What do you mean, Fine, then?\I mean I don't.\Really?\Wasn't there something you wanted to talk to me about?\L-Like I said, I wanted to know if you had a crush on anyone. response:	So?
context: Just say so if you do.\F-Fine, then, I don't.\What do you mean, Fine, then?\I mean I don't.\Really?\Wasn't there something you wanted to talk to me about?\L-Like I said, I wanted to know if you had a crush on anyone.\So? response:	I'll tell you, and then what?
context: F-Fine, then, I don't.\What do you mean, Fine, then?\I mean I don't.\Really?\Wasn't there something you wanted to talk to me about?\L-Like I said, I wanted to know if you had a crush on anyone.\So?\I'll tell you, and then what? response:	Fshh
context: What do you mean, Fine, then?\I mean I don't.\Really?\Wasn't there something you wanted to talk to me about?\L-Like I said, I wanted to know if you had a crush on anyone.\So?\I'll tell you, and then what?\Fshh response:	Fshhh
context: I mean I don't.\Really?\Wasn't there something you wanted to talk to me about?\L-Like I said, I wanted to know if you had a crush on anyone.\So?\I'll tell you, and then what?\Fshh\Fshhh response:	Fshh
context: Really?\Wasn't there something you wanted to talk to me about?\L-Like I said, I wanted to know if you had a crush on anyone.\So?\I'll tell you, and then what?\Fshh\Fshhh\Fshh response:	Are you done? I'm leaving.
context: Wasn't there something you wanted to talk to me about?\L-Like I said, I wanted to know if you had a crush on anyone.\So?\I'll tell you, and then what?\Fshh\Fshhh\Fshh\Are you done? I'm leaving. response:	It's not that I'm done.
context: L-Like I said, I wanted to know if you had a crush on anyone.\So?\I'll tell you, and then what?\Fshh\Fshhh\Fshh\Are you done? I'm leaving.\It's not that I'm done. response:	But I kind of missed my chance today.
context: So?\I'll tell you, and then what?\Fshh\Fshhh\Fshh\Are you done? I'm leaving.\It's not that I'm done.\But I kind of missed my chance today. response:	All right, I'm leaving, then.
context: I'll tell you, and then what?\Fshh\Fshhh\Fshh\Are you done? I'm leaving.\It's not that I'm done.\But I kind of missed my chance today.\All right, I'm leaving, then. response:	W-Wait.
context: Fshh\Fshhh\Fshh\Are you done? I'm leaving.\It's not that I'm done.\But I kind of missed my chance today.\All right, I'm leaving, then.\W-Wait. response:	H-Hey...
context: Fshhh\Fshh\Are you done? I'm leaving.\It's not that I'm done.\But I kind of missed my chance today.\All right, I'm leaving, then.\W-Wait.\H-Hey... response:	W-Would you...
context: Fshh\Are you done? I'm leaving.\It's not that I'm done.\But I kind of missed my chance today.\All right, I'm leaving, then.\W-Wait.\H-Hey...\W-Would you... response:	All right, bring it!
context: Are you done? I'm leaving.\It's not that I'm done.\But I kind of missed my chance today.\All right, I'm leaving, then.\W-Wait.\H-Hey...\W-Would you...\All right, bring it! response:	Would you meet up with me tomorrow, too?
context: It's not that I'm done.\But I kind of missed my chance today.\All right, I'm leaving, then.\W-Wait.\H-Hey...\W-Would you...\All right, bring it!\Would you meet up with me tomorrow, too? response:	I guess I should do it.
context: But I kind of missed my chance today.\All right, I'm leaving, then.\W-Wait.\H-Hey...\W-Would you...\All right, bring it!\Would you meet up with me tomorrow, too?\I guess I should do it. response:	I-I'll tell you tomorrow.
context: All right, I'm leaving, then.\W-Wait.\H-Hey...\W-Would you...\All right, bring it!\Would you meet up with me tomorrow, too?\I guess I should do it.\I-I'll tell you tomorrow. response:	Nah, it's fine.
context: W-Wait.\H-Hey...\W-Would you...\All right, bring it!\Would you meet up with me tomorrow, too?\I guess I should do it.\I-I'll tell you tomorrow.\Nah, it's fine. response:	But first, there's something I...
context: H-Hey...\W-Would you...\All right, bring it!\Would you meet up with me tomorrow, too?\I guess I should do it.\I-I'll tell you tomorrow.\Nah, it's fine.\But first, there's something I... response:	Really?
context: W-Would you...\All right, bring it!\Would you meet up with me tomorrow, too?\I guess I should do it.\I-I'll tell you tomorrow.\Nah, it's fine.\But first, there's something I...\Really? response:	You'll meet up with me?
context: All right, bring it!\Would you meet up with me tomorrow, too?\I guess I should do it.\I-I'll tell you tomorrow.\Nah, it's fine.\But first, there's something I...\Really?\You'll meet up with me? response:	S-Sorry about today.
context: Would you meet up with me tomorrow, too?\I guess I should do it.\I-I'll tell you tomorrow.\Nah, it's fine.\But first, there's something I...\Really?\You'll meet up with me?\S-Sorry about today. response:	I forgot what I was going to say.
context: I guess I should do it.\I-I'll tell you tomorrow.\Nah, it's fine.\But first, there's something I...\Really?\You'll meet up with me?\S-Sorry about today.\I forgot what I was going to say. response:	No.
context: I-I'll tell you tomorrow.\Nah, it's fine.\But first, there's something I...\Really?\You'll meet up with me?\S-Sorry about today.\I forgot what I was going to say.\No. response:	About that...
context: Nah, it's fine.\But first, there's something I...\Really?\You'll meet up with me?\S-Sorry about today.\I forgot what I was going to say.\No.\About that... response:	Huh?
context: But first, there's something I...\Really?\You'll meet up with me?\S-Sorry about today.\I forgot what I was going to say.\No.\About that...\Huh? response:	I-I'll tell you tomorrow that I like you.
context: Really?\You'll meet up with me?\S-Sorry about today.\I forgot what I was going to say.\No.\About that...\Huh?\I-I'll tell you tomorrow that I like you. response:	Okay, see you tomorrow.
context: You'll meet up with me?\S-Sorry about today.\I forgot what I was going to say.\No.\About that...\Huh?\I-I'll tell you tomorrow that I like you.\Okay, see you tomorrow. response:	Minagawa-san, the class rep, doesn't do her job.
context: S-Sorry about today.\I forgot what I was going to say.\No.\About that...\Huh?\I-I'll tell you tomorrow that I like you.\Okay, see you tomorrow.\Minagawa-san, the class rep, doesn't do her job. response:	She's a slacker
context: I forgot what I was going to say.\No.\About that...\Huh?\I-I'll tell you tomorrow that I like you.\Okay, see you tomorrow.\Minagawa-san, the class rep, doesn't do her job.\She's a slacker response:	Could you help me out a little, Minagawa-san?
context: No.\About that...\Huh?\I-I'll tell you tomorrow that I like you.\Okay, see you tomorrow.\Minagawa-san, the class rep, doesn't do her job.\She's a slacker\Could you help me out a little, Minagawa-san? response:	But I'm too lazy.
context: About that...\Huh?\I-I'll tell you tomorrow that I like you.\Okay, see you tomorrow.\Minagawa-san, the class rep, doesn't do her job.\She's a slacker\Could you help me out a little, Minagawa-san?\But I'm too lazy. response:	Then why did you become the class rep?
context: Huh?\I-I'll tell you tomorrow that I like you.\Okay, see you tomorrow.\Minagawa-san, the class rep, doesn't do her job.\She's a slacker\Could you help me out a little, Minagawa-san?\But I'm too lazy.\Then why did you become the class rep? response:	Because I like you, Furuya-kun.
context: I-I'll tell you tomorrow that I like you.\Okay, see you tomorrow.\Minagawa-san, the class rep, doesn't do her job.\She's a slacker\Could you help me out a little, Minagawa-san?\But I'm too lazy.\Then why did you become the class rep?\Because I like you, Furuya-kun. response:	Could you please not mess with me?
context: Okay, see you tomorrow.\Minagawa-san, the class rep, doesn't do her job.\She's a slacker\Could you help me out a little, Minagawa-san?\But I'm too lazy.\Then why did you become the class rep?\Because I like you, Furuya-kun.\Could you please not mess with me? response:	Oh? Are you angry?
context: Minagawa-san, the class rep, doesn't do her job.\She's a slacker\Could you help me out a little, Minagawa-san?\But I'm too lazy.\Then why did you become the class rep?\Because I like you, Furuya-kun.\Could you please not mess with me?\Oh? Are you angry? response:	Sorry.
context: She's a slacker\Could you help me out a little, Minagawa-san?\But I'm too lazy.\Then why did you become the class rep?\Because I like you, Furuya-kun.\Could you please not mess with me?\Oh? Are you angry?\Sorry. response:	That wasn't my intent.
context: Could you help me out a little, Minagawa-san?\But I'm too lazy.\Then why did you become the class rep?\Because I like you, Furuya-kun.\Could you please not mess with me?\Oh? Are you angry?\Sorry.\That wasn't my intent. response:	I-I'm not angry, really.
context: But I'm too lazy.\Then why did you become the class rep?\Because I like you, Furuya-kun.\Could you please not mess with me?\Oh? Are you angry?\Sorry.\That wasn't my intent.\I-I'm not angry, really. response:	It's true that I like you, though.
context: Then why did you become the class rep?\Because I like you, Furuya-kun.\Could you please not mess with me?\Oh? Are you angry?\Sorry.\That wasn't my intent.\I-I'm not angry, really.\It's true that I like you, though. response:	Is that supposed to be a confession?
context: Because I like you, Furuya-kun.\Could you please not mess with me?\Oh? Are you angry?\Sorry.\That wasn't my intent.\I-I'm not angry, really.\It's true that I like you, though.\Is that supposed to be a confession? response:	Of course.
context: Could you please not mess with me?\Oh? Are you angry?\Sorry.\That wasn't my intent.\I-I'm not angry, really.\It's true that I like you, though.\Is that supposed to be a confession?\Of course. response:	Will you go out with me?
context: Oh? Are you angry?\Sorry.\That wasn't my intent.\I-I'm not angry, really.\It's true that I like you, though.\Is that supposed to be a confession?\Of course.\Will you go out with me? response:	But there are rumors that you hang out with lots of guys.
context: Sorry.\That wasn't my intent.\I-I'm not angry, really.\It's true that I like you, though.\Is that supposed to be a confession?\Of course.\Will you go out with me?\But there are rumors that you hang out with lots of guys. response:	I'm a virgin, though.
context: That wasn't my intent.\I-I'm not angry, really.\It's true that I like you, though.\Is that supposed to be a confession?\Of course.\Will you go out with me?\But there are rumors that you hang out with lots of guys.\I'm a virgin, though. response:	Besides, I have guy friends, but it's not like that.
context: I-I'm not angry, really.\It's true that I like you, though.\Is that supposed to be a confession?\Of course.\Will you go out with me?\But there are rumors that you hang out with lots of guys.\I'm a virgin, though.\Besides, I have guy friends, but it's not like that. response:	Y-Yeah?
context: It's true that I like you, though.\Is that supposed to be a confession?\Of course.\Will you go out with me?\But there are rumors that you hang out with lots of guys.\I'm a virgin, though.\Besides, I have guy friends, but it's not like that.\Y-Yeah? response:	Do you think I'm lying?
context: Is that supposed to be a confession?\Of course.\Will you go out with me?\But there are rumors that you hang out with lots of guys.\I'm a virgin, though.\Besides, I have guy friends, but it's not like that.\Y-Yeah?\Do you think I'm lying? response:	Not really.
context: Of course.\Will you go out with me?\But there are rumors that you hang out with lots of guys.\I'm a virgin, though.\Besides, I have guy friends, but it's not like that.\Y-Yeah?\Do you think I'm lying?\Not really. response:	You think I'd sleep with anyone, don't you?
context: Will you go out with me?\But there are rumors that you hang out with lots of guys.\I'm a virgin, though.\Besides, I have guy friends, but it's not like that.\Y-Yeah?\Do you think I'm lying?\Not really.\You think I'd sleep with anyone, don't you? response:	N-Not really.
context: But there are rumors that you hang out with lots of guys.\I'm a virgin, though.\Besides, I have guy friends, but it's not like that.\Y-Yeah?\Do you think I'm lying?\Not really.\You think I'd sleep with anyone, don't you?\N-Not really. response:	You're getting horny just imagining me having sex.
context: I'm a virgin, though.\Besides, I have guy friends, but it's not like that.\Y-Yeah?\Do you think I'm lying?\Not really.\You think I'd sleep with anyone, don't you?\N-Not really.\You're getting horny just imagining me having sex. response:	No, I'm not!
context: Besides, I have guy friends, but it's not like that.\Y-Yeah?\Do you think I'm lying?\Not really.\You think I'd sleep with anyone, don't you?\N-Not really.\You're getting horny just imagining me having sex.\No, I'm not! response:	I knew it, you're just toying with me!
context: Y-Yeah?\Do you think I'm lying?\Not really.\You think I'd sleep with anyone, don't you?\N-Not really.\You're getting horny just imagining me having sex.\No, I'm not!\I knew it, you're just toying with me! response:	Sorry.
context: Do you think I'm lying?\Not really.\You think I'd sleep with anyone, don't you?\N-Not really.\You're getting horny just imagining me having sex.\No, I'm not!\I knew it, you're just toying with me!\Sorry. response:	But these things are always really awkward.
context: Not really.\You think I'd sleep with anyone, don't you?\N-Not really.\You're getting horny just imagining me having sex.\No, I'm not!\I knew it, you're just toying with me!\Sorry.\But these things are always really awkward. response:	That's why I can't tell if you're serious or not.
context: You think I'd sleep with anyone, don't you?\N-Not really.\You're getting horny just imagining me having sex.\No, I'm not!\I knew it, you're just toying with me!\Sorry.\But these things are always really awkward.\That's why I can't tell if you're serious or not. response:	Then will you give me an answer if I told you properly?
context: N-Not really.\You're getting horny just imagining me having sex.\No, I'm not!\I knew it, you're just toying with me!\Sorry.\But these things are always really awkward.\That's why I can't tell if you're serious or not.\Then will you give me an answer if I told you properly? response:	A-Answer?
context: You're getting horny just imagining me having sex.\No, I'm not!\I knew it, you're just toying with me!\Sorry.\But these things are always really awkward.\That's why I can't tell if you're serious or not.\Then will you give me an answer if I told you properly?\A-Answer? response:	I don't know you that well.
context: No, I'm not!\I knew it, you're just toying with me!\Sorry.\But these things are always really awkward.\That's why I can't tell if you're serious or not.\Then will you give me an answer if I told you properly?\A-Answer?\I don't know you that well. response:	Besides, why me?
context: I knew it, you're just toying with me!\Sorry.\But these things are always really awkward.\That's why I can't tell if you're serious or not.\Then will you give me an answer if I told you properly?\A-Answer?\I don't know you that well.\Besides, why me? response:	You could get with anyone.
context: Sorry.\But these things are always really awkward.\That's why I can't tell if you're serious or not.\Then will you give me an answer if I told you properly?\A-Answer?\I don't know you that well.\Besides, why me?\You could get with anyone. response:	I like you.
context: But these things are always really awkward.\That's why I can't tell if you're serious or not.\Then will you give me an answer if I told you properly?\A-Answer?\I don't know you that well.\Besides, why me?\You could get with anyone.\I like you. response:	And what about you?
context: That's why I can't tell if you're serious or not.\Then will you give me an answer if I told you properly?\A-Answer?\I don't know you that well.\Besides, why me?\You could get with anyone.\I like you.\And what about you? response:	I-I don't know anything about dating yet.
context: Then will you give me an answer if I told you properly?\A-Answer?\I don't know you that well.\Besides, why me?\You could get with anyone.\I like you.\And what about you?\I-I don't know anything about dating yet. response:	But...
context: A-Answer?\I don't know you that well.\Besides, why me?\You could get with anyone.\I like you.\And what about you?\I-I don't know anything about dating yet.\But... response:	Teehee
context: I don't know you that well.\Besides, why me?\You could get with anyone.\I like you.\And what about you?\I-I don't know anything about dating yet.\But...\Teehee response:	Shudder
context: Besides, why me?\You could get with anyone.\I like you.\And what about you?\I-I don't know anything about dating yet.\But...\Teehee\Shudder response:	What are you grinning about?
context: You could get with anyone.\I like you.\And what about you?\I-I don't know anything about dating yet.\But...\Teehee\Shudder\What are you grinning about? response:	You're too adorable, Furuya-kun.
context: I like you.\And what about you?\I-I don't know anything about dating yet.\But...\Teehee\Shudder\What are you grinning about?\You're too adorable, Furuya-kun. response:	No more, we're done talking about this!
context: And what about you?\I-I don't know anything about dating yet.\But...\Teehee\Shudder\What are you grinning about?\You're too adorable, Furuya-kun.\No more, we're done talking about this! response:	You haven't given me an answer.
context: I-I don't know anything about dating yet.\But...\Teehee\Shudder\What are you grinning about?\You're too adorable, Furuya-kun.\No more, we're done talking about this!\You haven't given me an answer. response:	You're going to laugh at me again if I try to answer, aren't you?
context: But...\Teehee\Shudder\What are you grinning about?\You're too adorable, Furuya-kun.\No more, we're done talking about this!\You haven't given me an answer.\You're going to laugh at me again if I try to answer, aren't you? response:	Yup.
context: Teehee\Shudder\What are you grinning about?\You're too adorable, Furuya-kun.\No more, we're done talking about this!\You haven't given me an answer.\You're going to laugh at me again if I try to answer, aren't you?\Yup. response:	Did I make you hate me?
context: Shudder\What are you grinning about?\You're too adorable, Furuya-kun.\No more, we're done talking about this!\You haven't given me an answer.\You're going to laugh at me again if I try to answer, aren't you?\Yup.\Did I make you hate me? response:	Yeah, specifically how flippant you are.
context: What are you grinning about?\You're too adorable, Furuya-kun.\No more, we're done talking about this!\You haven't given me an answer.\You're going to laugh at me again if I try to answer, aren't you?\Yup.\Did I make you hate me?\Yeah, specifically how flippant you are. response:	So reject me, then.
context: You're too adorable, Furuya-kun.\No more, we're done talking about this!\You haven't given me an answer.\You're going to laugh at me again if I try to answer, aren't you?\Yup.\Did I make you hate me?\Yeah, specifically how flippant you are.\So reject me, then. response:	Seriously, can we not talk about this?
context: No more, we're done talking about this!\You haven't given me an answer.\You're going to laugh at me again if I try to answer, aren't you?\Yup.\Did I make you hate me?\Yeah, specifically how flippant you are.\So reject me, then.\Seriously, can we not talk about this? response:	So you don't totally hate me.
context: You haven't given me an answer.\You're going to laugh at me again if I try to answer, aren't you?\Yup.\Did I make you hate me?\Yeah, specifically how flippant you are.\So reject me, then.\Seriously, can we not talk about this?\So you don't totally hate me. response:	I seriously hate you!
context: You're going to laugh at me again if I try to answer, aren't you?\Yup.\Did I make you hate me?\Yeah, specifically how flippant you are.\So reject me, then.\Seriously, can we not talk about this?\So you don't totally hate me.\I seriously hate you! response:	The student council president saw me smoking.
context: Yup.\Did I make you hate me?\Yeah, specifically how flippant you are.\So reject me, then.\Seriously, can we not talk about this?\So you don't totally hate me.\I seriously hate you!\The student council president saw me smoking. response:	Dammit.
context: Did I make you hate me?\Yeah, specifically how flippant you are.\So reject me, then.\Seriously, can we not talk about this?\So you don't totally hate me.\I seriously hate you!\The student council president saw me smoking.\Dammit. response:	The Student President's Woes
context: Yeah, specifically how flippant you are.\So reject me, then.\Seriously, can we not talk about this?\So you don't totally hate me.\I seriously hate you!\The student council president saw me smoking.\Dammit.\The Student President's Woes response:	That's no good, Kaji-san.
context: So reject me, then.\Seriously, can we not talk about this?\So you don't totally hate me.\I seriously hate you!\The student council president saw me smoking.\Dammit.\The Student President's Woes\That's no good, Kaji-san. response:	Akagi! You aren't going to rat me out, are you?
context: Seriously, can we not talk about this?\So you don't totally hate me.\I seriously hate you!\The student council president saw me smoking.\Dammit.\The Student President's Woes\That's no good, Kaji-san.\Akagi! You aren't going to rat me out, are you? response:	Nope, I'm not a monster.
context: So you don't totally hate me.\I seriously hate you!\The student council president saw me smoking.\Dammit.\The Student President's Woes\That's no good, Kaji-san.\Akagi! You aren't going to rat me out, are you?\Nope, I'm not a monster. response:	I'll let you off the hook just this once.
context: I seriously hate you!\The student council president saw me smoking.\Dammit.\The Student President's Woes\That's no good, Kaji-san.\Akagi! You aren't going to rat me out, are you?\Nope, I'm not a monster.\I'll let you off the hook just this once. response:	You're pretty cool.
context: The student council president saw me smoking.\Dammit.\The Student President's Woes\That's no good, Kaji-san.\Akagi! You aren't going to rat me out, are you?\Nope, I'm not a monster.\I'll let you off the hook just this once.\You're pretty cool. response:	If you give me a kiss, that is.
context: Dammit.\The Student President's Woes\That's no good, Kaji-san.\Akagi! You aren't going to rat me out, are you?\Nope, I'm not a monster.\I'll let you off the hook just this once.\You're pretty cool.\If you give me a kiss, that is. response:	Are you messing with me?
context: The Student President's Woes\That's no good, Kaji-san.\Akagi! You aren't going to rat me out, are you?\Nope, I'm not a monster.\I'll let you off the hook just this once.\You're pretty cool.\If you give me a kiss, that is.\Are you messing with me? response:	I'm being serious.
context: That's no good, Kaji-san.\Akagi! You aren't going to rat me out, are you?\Nope, I'm not a monster.\I'll let you off the hook just this once.\You're pretty cool.\If you give me a kiss, that is.\Are you messing with me?\I'm being serious. response:	There's something that's been on my mind, actually.
context: Akagi! You aren't going to rat me out, are you?\Nope, I'm not a monster.\I'll let you off the hook just this once.\You're pretty cool.\If you give me a kiss, that is.\Are you messing with me?\I'm being serious.\There's something that's been on my mind, actually. response:	I've never been in love with a woman.
context: Nope, I'm not a monster.\I'll let you off the hook just this once.\You're pretty cool.\If you give me a kiss, that is.\Are you messing with me?\I'm being serious.\There's something that's been on my mind, actually.\I've never been in love with a woman. response:	What are you, gay?
context: I'll let you off the hook just this once.\You're pretty cool.\If you give me a kiss, that is.\Are you messing with me?\I'm being serious.\There's something that's been on my mind, actually.\I've never been in love with a woman.\What are you, gay? response:	Nope, I tested that.
context: You're pretty cool.\If you give me a kiss, that is.\Are you messing with me?\I'm being serious.\There's something that's been on my mind, actually.\I've never been in love with a woman.\What are you, gay?\Nope, I tested that. response:	Huh? Tested what?
context: If you give me a kiss, that is.\Are you messing with me?\I'm being serious.\There's something that's been on my mind, actually.\I've never been in love with a woman.\What are you, gay?\Nope, I tested that.\Huh? Tested what? response:	I just have a hard time finding interest in women.
context: Are you messing with me?\I'm being serious.\There's something that's been on my mind, actually.\I've never been in love with a woman.\What are you, gay?\Nope, I tested that.\Huh? Tested what?\I just have a hard time finding interest in women. response:	I can't figure out what's so fun about dating.
context: I'm being serious.\There's something that's been on my mind, actually.\I've never been in love with a woman.\What are you, gay?\Nope, I tested that.\Huh? Tested what?\I just have a hard time finding interest in women.\I can't figure out what's so fun about dating. response:	So you want to kiss someone to find out?
context: There's something that's been on my mind, actually.\I've never been in love with a woman.\What are you, gay?\Nope, I tested that.\Huh? Tested what?\I just have a hard time finding interest in women.\I can't figure out what's so fun about dating.\So you want to kiss someone to find out? response:	Sure, that sounds fun.
context: I've never been in love with a woman.\What are you, gay?\Nope, I tested that.\Huh? Tested what?\I just have a hard time finding interest in women.\I can't figure out what's so fun about dating.\So you want to kiss someone to find out?\Sure, that sounds fun. response:	I'll teach you how to kiss.
context: What are you, gay?\Nope, I tested that.\Huh? Tested what?\I just have a hard time finding interest in women.\I can't figure out what's so fun about dating.\So you want to kiss someone to find out?\Sure, that sounds fun.\I'll teach you how to kiss. response:	No, I know how to kiss.
context: Nope, I tested that.\Huh? Tested what?\I just have a hard time finding interest in women.\I can't figure out what's so fun about dating.\So you want to kiss someone to find out?\Sure, that sounds fun.\I'll teach you how to kiss.\No, I know how to kiss. response:	Oh, sorry.
context: Huh? Tested what?\I just have a hard time finding interest in women.\I can't figure out what's so fun about dating.\So you want to kiss someone to find out?\Sure, that sounds fun.\I'll teach you how to kiss.\No, I know how to kiss.\Oh, sorry. response:	You're surprisingly cooperative.
context: I just have a hard time finding interest in women.\I can't figure out what's so fun about dating.\So you want to kiss someone to find out?\Sure, that sounds fun.\I'll teach you how to kiss.\No, I know how to kiss.\Oh, sorry.\You're surprisingly cooperative. response:	Well, it's not like this is my first time.
context: I can't figure out what's so fun about dating.\So you want to kiss someone to find out?\Sure, that sounds fun.\I'll teach you how to kiss.\No, I know how to kiss.\Oh, sorry.\You're surprisingly cooperative.\Well, it's not like this is my first time. response:	I'll kiss anyone for money.
context: So you want to kiss someone to find out?\Sure, that sounds fun.\I'll teach you how to kiss.\No, I know how to kiss.\Oh, sorry.\You're surprisingly cooperative.\Well, it's not like this is my first time.\I'll kiss anyone for money. response:	Really?
context: Sure, that sounds fun.\I'll teach you how to kiss.\No, I know how to kiss.\Oh, sorry.\You're surprisingly cooperative.\Well, it's not like this is my first time.\I'll kiss anyone for money.\Really? response:	Then how much would you sell your body for?
context: I'll teach you how to kiss.\No, I know how to kiss.\Oh, sorry.\You're surprisingly cooperative.\Well, it's not like this is my first time.\I'll kiss anyone for money.\Really?\Then how much would you sell your body for? response:	Say, 100,000 yen?
context: No, I know how to kiss.\Oh, sorry.\You're surprisingly cooperative.\Well, it's not like this is my first time.\I'll kiss anyone for money.\Really?\Then how much would you sell your body for?\Say, 100,000 yen? response:	That's perfect.
context: Oh, sorry.\You're surprisingly cooperative.\Well, it's not like this is my first time.\I'll kiss anyone for money.\Really?\Then how much would you sell your body for?\Say, 100,000 yen?\That's perfect. response:	Why do you have that much?!
context: You're surprisingly cooperative.\Well, it's not like this is my first time.\I'll kiss anyone for money.\Really?\Then how much would you sell your body for?\Say, 100,000 yen?\That's perfect.\Why do you have that much?! response:	Are you scared?
context: Well, it's not like this is my first time.\I'll kiss anyone for money.\Really?\Then how much would you sell your body for?\Say, 100,000 yen?\That's perfect.\Why do you have that much?!\Are you scared? response:	What?
context: I'll kiss anyone for money.\Really?\Then how much would you sell your body for?\Say, 100,000 yen?\That's perfect.\Why do you have that much?!\Are you scared?\What? response:	I'm not scared.
context: Really?\Then how much would you sell your body for?\Say, 100,000 yen?\That's perfect.\Why do you have that much?!\Are you scared?\What?\I'm not scared. response:	Shudder
context: Then how much would you sell your body for?\Say, 100,000 yen?\That's perfect.\Why do you have that much?!\Are you scared?\What?\I'm not scared.\Shudder response:	Shudder
context: Say, 100,000 yen?\That's perfect.\Why do you have that much?!\Are you scared?\What?\I'm not scared.\Shudder\Shudder response:	ZZZip
context: That's perfect.\Why do you have that much?!\Are you scared?\What?\I'm not scared.\Shudder\Shudder\ZZZip response:	You've never actually prostituted yourself, have you?
context: Why do you have that much?!\Are you scared?\What?\I'm not scared.\Shudder\Shudder\ZZZip\You've never actually prostituted yourself, have you? response:	What?
context: Are you scared?\What?\I'm not scared.\Shudder\Shudder\ZZZip\You've never actually prostituted yourself, have you?\What? response:	Who do you think you're talking to?
context: What?\I'm not scared.\Shudder\Shudder\ZZZip\You've never actually prostituted yourself, have you?\What?\Who do you think you're talking to? response:	No one asks for 100,000.
