context: Did you draw these, Shippo? You're very good. response:	Oh, what a cute cat!
context: who tried to take the Sacred Jewel fragments.\Koga...\Kagome...\Do you love this guy?\Huh? Love?\I love Inuyasha?\You must love him.\All right, that side was all clear. response:	That guy!
context: Koga...\Kagome...\Do you love this guy?\Huh? Love?\I love Inuyasha?\You must love him.\All right, that side was all clear.\That guy! response:	The enemy!
context: Kagome...\Do you love this guy?\Huh? Love?\I love Inuyasha?\You must love him.\All right, that side was all clear.\That guy!\The enemy! response:	Where?! Where're the Birds of Paradise!
context: Do you love this guy?\Huh? Love?\I love Inuyasha?\You must love him.\All right, that side was all clear.\That guy!\The enemy!\Where?! Where're the Birds of Paradise! response:	What're you saying, Hakkaku!
context: Huh? Love?\I love Inuyasha?\You must love him.\All right, that side was all clear.\That guy!\The enemy!\Where?! Where're the Birds of Paradise!\What're you saying, Hakkaku! response:	The Birds of Paradise are all dead!
context: I love Inuyasha?\You must love him.\All right, that side was all clear.\That guy!\The enemy!\Where?! Where're the Birds of Paradise!\What're you saying, Hakkaku!\The Birds of Paradise are all dead! response:	You looked like such a fool just now!
context: You must love him.\All right, that side was all clear.\That guy!\The enemy!\Where?! Where're the Birds of Paradise!\What're you saying, Hakkaku!\The Birds of Paradise are all dead!\You looked like such a fool just now! response:	Shut up! That was a dirty trick!
context: All right, that side was all clear.\That guy!\The enemy!\Where?! Where're the Birds of Paradise!\What're you saying, Hakkaku!\The Birds of Paradise are all dead!\You looked like such a fool just now!\Shut up! That was a dirty trick! response:	Only because you slacked off and fell asleep!
context: That guy!\The enemy!\Where?! Where're the Birds of Paradise!\What're you saying, Hakkaku!\The Birds of Paradise are all dead!\You looked like such a fool just now!\Shut up! That was a dirty trick!\Only because you slacked off and fell asleep! response:	Damn...
context: The enemy!\Where?! Where're the Birds of Paradise!\What're you saying, Hakkaku!\The Birds of Paradise are all dead!\You looked like such a fool just now!\Shut up! That was a dirty trick!\Only because you slacked off and fell asleep!\Damn... response:	They're from the northern caverns.
context: Where?! Where're the Birds of Paradise!\What're you saying, Hakkaku!\The Birds of Paradise are all dead!\You looked like such a fool just now!\Shut up! That was a dirty trick!\Only because you slacked off and fell asleep!\Damn...\They're from the northern caverns. response:	There's someone in possession of a huge Sacred Jewel fragment.
context: What're you saying, Hakkaku!\The Birds of Paradise are all dead!\You looked like such a fool just now!\Shut up! That was a dirty trick!\Only because you slacked off and fell asleep!\Damn...\They're from the northern caverns.\There's someone in possession of a huge Sacred Jewel fragment. response:	And he's the lord of some castle!
context: The Birds of Paradise are all dead!\You looked like such a fool just now!\Shut up! That was a dirty trick!\Only because you slacked off and fell asleep!\Damn...\They're from the northern caverns.\There's someone in possession of a huge Sacred Jewel fragment.\And he's the lord of some castle! response:	This isn't a joke.
context: You looked like such a fool just now!\Shut up! That was a dirty trick!\Only because you slacked off and fell asleep!\Damn...\They're from the northern caverns.\There's someone in possession of a huge Sacred Jewel fragment.\And he's the lord of some castle!\This isn't a joke. response:	Let's combine forces, the northern and western caverns...
context: Shut up! That was a dirty trick!\Only because you slacked off and fell asleep!\Damn...\They're from the northern caverns.\There's someone in possession of a huge Sacred Jewel fragment.\And he's the lord of some castle!\This isn't a joke.\Let's combine forces, the northern and western caverns... response:	and take the Sacred Jewel from the castle.
context: Only because you slacked off and fell asleep!\Damn...\They're from the northern caverns.\There's someone in possession of a huge Sacred Jewel fragment.\And he's the lord of some castle!\This isn't a joke.\Let's combine forces, the northern and western caverns...\and take the Sacred Jewel from the castle. response:	We'll divvy up the fragments equally.
context: Damn...\They're from the northern caverns.\There's someone in possession of a huge Sacred Jewel fragment.\And he's the lord of some castle!\This isn't a joke.\Let's combine forces, the northern and western caverns...\and take the Sacred Jewel from the castle.\We'll divvy up the fragments equally. response:	Well, Koga? Wanna join us?
context: They're from the northern caverns.\There's someone in possession of a huge Sacred Jewel fragment.\And he's the lord of some castle!\This isn't a joke.\Let's combine forces, the northern and western caverns...\and take the Sacred Jewel from the castle.\We'll divvy up the fragments equally.\Well, Koga? Wanna join us? response:	Sorry, but I'm not interested.
context: There's someone in possession of a huge Sacred Jewel fragment.\And he's the lord of some castle!\This isn't a joke.\Let's combine forces, the northern and western caverns...\and take the Sacred Jewel from the castle.\We'll divvy up the fragments equally.\Well, Koga? Wanna join us?\Sorry, but I'm not interested. response:	Hey! Why?
context: And he's the lord of some castle!\This isn't a joke.\Let's combine forces, the northern and western caverns...\and take the Sacred Jewel from the castle.\We'll divvy up the fragments equally.\Well, Koga? Wanna join us?\Sorry, but I'm not interested.\Hey! Why? response:	I have something else I have to take care of first.
context: This isn't a joke.\Let's combine forces, the northern and western caverns...\and take the Sacred Jewel from the castle.\We'll divvy up the fragments equally.\Well, Koga? Wanna join us?\Sorry, but I'm not interested.\Hey! Why?\I have something else I have to take care of first. response:	I see... well, we won't force you.
context: Let's combine forces, the northern and western caverns...\and take the Sacred Jewel from the castle.\We'll divvy up the fragments equally.\Well, Koga? Wanna join us?\Sorry, but I'm not interested.\Hey! Why?\I have something else I have to take care of first.\I see... well, we won't force you. response:	Didja see? I think he's injured.
context: and take the Sacred Jewel from the castle.\We'll divvy up the fragments equally.\Well, Koga? Wanna join us?\Sorry, but I'm not interested.\Hey! Why?\I have something else I have to take care of first.\I see... well, we won't force you.\Didja see? I think he's injured. response:	Are you sure about this, Koga? Turning them down?
context: We'll divvy up the fragments equally.\Well, Koga? Wanna join us?\Sorry, but I'm not interested.\Hey! Why?\I have something else I have to take care of first.\I see... well, we won't force you.\Didja see? I think he's injured.\Are you sure about this, Koga? Turning them down? response:	If we don't join them...
context: Well, Koga? Wanna join us?\Sorry, but I'm not interested.\Hey! Why?\I have something else I have to take care of first.\I see... well, we won't force you.\Didja see? I think he's injured.\Are you sure about this, Koga? Turning them down?\If we don't join them... response:	the northern clan will get all the Sacred Jewel fragments!
context: Sorry, but I'm not interested.\Hey! Why?\I have something else I have to take care of first.\I see... well, we won't force you.\Didja see? I think he's injured.\Are you sure about this, Koga? Turning them down?\If we don't join them...\the northern clan will get all the Sacred Jewel fragments! response:	Let them go... it doesn't matter.
context: Hey! Why?\I have something else I have to take care of first.\I see... well, we won't force you.\Didja see? I think he's injured.\Are you sure about this, Koga? Turning them down?\If we don't join them...\the northern clan will get all the Sacred Jewel fragments!\Let them go... it doesn't matter. response:	Well, I can't!
context: I have something else I have to take care of first.\I see... well, we won't force you.\Didja see? I think he's injured.\Are you sure about this, Koga? Turning them down?\If we don't join them...\the northern clan will get all the Sacred Jewel fragments!\Let them go... it doesn't matter.\Well, I can't! response:	I'm gonna go with them!
context: I see... well, we won't force you.\Didja see? I think he's injured.\Are you sure about this, Koga? Turning them down?\If we don't join them...\the northern clan will get all the Sacred Jewel fragments!\Let them go... it doesn't matter.\Well, I can't!\I'm gonna go with them! response:	Me, too!
context: Didja see? I think he's injured.\Are you sure about this, Koga? Turning them down?\If we don't join them...\the northern clan will get all the Sacred Jewel fragments!\Let them go... it doesn't matter.\Well, I can't!\I'm gonna go with them!\Me, too! response:	I'm not interested now.
context: Are you sure about this, Koga? Turning them down?\If we don't join them...\the northern clan will get all the Sacred Jewel fragments!\Let them go... it doesn't matter.\Well, I can't!\I'm gonna go with them!\Me, too!\I'm not interested now. response:	If you want to go, I won't stop you.
context: If we don't join them...\the northern clan will get all the Sacred Jewel fragments!\Let them go... it doesn't matter.\Well, I can't!\I'm gonna go with them!\Me, too!\I'm not interested now.\If you want to go, I won't stop you. response:	We're gonna join up with the northern pack now.
context: the northern clan will get all the Sacred Jewel fragments!\Let them go... it doesn't matter.\Well, I can't!\I'm gonna go with them!\Me, too!\I'm not interested now.\If you want to go, I won't stop you.\We're gonna join up with the northern pack now. response:	Whoever wants Sacred Jewel fragments, join us!
context: Let them go... it doesn't matter.\Well, I can't!\I'm gonna go with them!\Me, too!\I'm not interested now.\If you want to go, I won't stop you.\We're gonna join up with the northern pack now.\Whoever wants Sacred Jewel fragments, join us! response:	Yeah!
context: Well, I can't!\I'm gonna go with them!\Me, too!\I'm not interested now.\If you want to go, I won't stop you.\We're gonna join up with the northern pack now.\Whoever wants Sacred Jewel fragments, join us!\Yeah! response:	Damn!
context: I'm gonna go with them!\Me, too!\I'm not interested now.\If you want to go, I won't stop you.\We're gonna join up with the northern pack now.\Whoever wants Sacred Jewel fragments, join us!\Yeah!\Damn! response:	Take this!
context: Me, too!\I'm not interested now.\If you want to go, I won't stop you.\We're gonna join up with the northern pack now.\Whoever wants Sacred Jewel fragments, join us!\Yeah!\Damn!\Take this! response:	First, I'll bite off that right arm!
context: I'm not interested now.\If you want to go, I won't stop you.\We're gonna join up with the northern pack now.\Whoever wants Sacred Jewel fragments, join us!\Yeah!\Damn!\Take this!\First, I'll bite off that right arm! response:	I never expected it...
context: If you want to go, I won't stop you.\We're gonna join up with the northern pack now.\Whoever wants Sacred Jewel fragments, join us!\Yeah!\Damn!\Take this!\First, I'll bite off that right arm!\I never expected it... response:	that the demon bird would steal my Sacred Jewel fragment...
context: We're gonna join up with the northern pack now.\Whoever wants Sacred Jewel fragments, join us!\Yeah!\Damn!\Take this!\First, I'll bite off that right arm!\I never expected it...\that the demon bird would steal my Sacred Jewel fragment... response:	from my right arm.
context: Whoever wants Sacred Jewel fragments, join us!\Yeah!\Damn!\Take this!\First, I'll bite off that right arm!\I never expected it...\that the demon bird would steal my Sacred Jewel fragment...\from my right arm. response:	I'll get the fragment back in time.
context: Yeah!\Damn!\Take this!\First, I'll bite off that right arm!\I never expected it...\that the demon bird would steal my Sacred Jewel fragment...\from my right arm.\I'll get the fragment back in time. response:	But before that comes that dog!
context: Damn!\Take this!\First, I'll bite off that right arm!\I never expected it...\that the demon bird would steal my Sacred Jewel fragment...\from my right arm.\I'll get the fragment back in time.\But before that comes that dog! response:	With that huge sword, he killed the demon bird in one swoop.
context: Take this!\First, I'll bite off that right arm!\I never expected it...\that the demon bird would steal my Sacred Jewel fragment...\from my right arm.\I'll get the fragment back in time.\But before that comes that dog!\With that huge sword, he killed the demon bird in one swoop. response:	That guy...
context: First, I'll bite off that right arm!\I never expected it...\that the demon bird would steal my Sacred Jewel fragment...\from my right arm.\I'll get the fragment back in time.\But before that comes that dog!\With that huge sword, he killed the demon bird in one swoop.\That guy... response:	I won't be satisfied until I kill him with my own hands!
context: I never expected it...\that the demon bird would steal my Sacred Jewel fragment...\from my right arm.\I'll get the fragment back in time.\But before that comes that dog!\With that huge sword, he killed the demon bird in one swoop.\That guy...\I won't be satisfied until I kill him with my own hands! response:	This wound isn't healing as fast as I hoped.
context: that the demon bird would steal my Sacred Jewel fragment...\from my right arm.\I'll get the fragment back in time.\But before that comes that dog!\With that huge sword, he killed the demon bird in one swoop.\That guy...\I won't be satisfied until I kill him with my own hands!\This wound isn't healing as fast as I hoped. response:	This way, I'm sure of it.
context: from my right arm.\I'll get the fragment back in time.\But before that comes that dog!\With that huge sword, he killed the demon bird in one swoop.\That guy...\I won't be satisfied until I kill him with my own hands!\This wound isn't healing as fast as I hoped.\This way, I'm sure of it. response:	I get a sense of Sacred Jewel fragments.
context: I'll get the fragment back in time.\But before that comes that dog!\With that huge sword, he killed the demon bird in one swoop.\That guy...\I won't be satisfied until I kill him with my own hands!\This wound isn't healing as fast as I hoped.\This way, I'm sure of it.\I get a sense of Sacred Jewel fragments. response:	We really need Kagome, after all.
context: But before that comes that dog!\With that huge sword, he killed the demon bird in one swoop.\That guy...\I won't be satisfied until I kill him with my own hands!\This wound isn't healing as fast as I hoped.\This way, I'm sure of it.\I get a sense of Sacred Jewel fragments.\We really need Kagome, after all. response:	She's the only one who can sense the Sacred Jewel.
context: With that huge sword, he killed the demon bird in one swoop.\That guy...\I won't be satisfied until I kill him with my own hands!\This wound isn't healing as fast as I hoped.\This way, I'm sure of it.\I get a sense of Sacred Jewel fragments.\We really need Kagome, after all.\She's the only one who can sense the Sacred Jewel. response:	Yes, so Inuyasha, don't fight with her anymore.
context: That guy...\I won't be satisfied until I kill him with my own hands!\This wound isn't healing as fast as I hoped.\This way, I'm sure of it.\I get a sense of Sacred Jewel fragments.\We really need Kagome, after all.\She's the only one who can sense the Sacred Jewel.\Yes, so Inuyasha, don't fight with her anymore. response:	Do not fight!
context: I won't be satisfied until I kill him with my own hands!\This wound isn't healing as fast as I hoped.\This way, I'm sure of it.\I get a sense of Sacred Jewel fragments.\We really need Kagome, after all.\She's the only one who can sense the Sacred Jewel.\Yes, so Inuyasha, don't fight with her anymore.\Do not fight! response:	A demon bear that terrorized the village.
context: This wound isn't healing as fast as I hoped.\This way, I'm sure of it.\I get a sense of Sacred Jewel fragments.\We really need Kagome, after all.\She's the only one who can sense the Sacred Jewel.\Yes, so Inuyasha, don't fight with her anymore.\Do not fight!\A demon bear that terrorized the village. response:	That's what the villagers said.
context: This way, I'm sure of it.\I get a sense of Sacred Jewel fragments.\We really need Kagome, after all.\She's the only one who can sense the Sacred Jewel.\Yes, so Inuyasha, don't fight with her anymore.\Do not fight!\A demon bear that terrorized the village.\That's what the villagers said. response:	At first, it was just a mischievous bear ruining the fields.
context: I get a sense of Sacred Jewel fragments.\We really need Kagome, after all.\She's the only one who can sense the Sacred Jewel.\Yes, so Inuyasha, don't fight with her anymore.\Do not fight!\A demon bear that terrorized the village.\That's what the villagers said.\At first, it was just a mischievous bear ruining the fields. response:	Suddenly, it grew huge and attacked the village.
context: We really need Kagome, after all.\She's the only one who can sense the Sacred Jewel.\Yes, so Inuyasha, don't fight with her anymore.\Do not fight!\A demon bear that terrorized the village.\That's what the villagers said.\At first, it was just a mischievous bear ruining the fields.\Suddenly, it grew huge and attacked the village. response:	Inuyasha? You seem displeased.
context: She's the only one who can sense the Sacred Jewel.\Yes, so Inuyasha, don't fight with her anymore.\Do not fight!\A demon bear that terrorized the village.\That's what the villagers said.\At first, it was just a mischievous bear ruining the fields.\Suddenly, it grew huge and attacked the village.\Inuyasha? You seem displeased. response:	Of course!
context: Yes, so Inuyasha, don't fight with her anymore.\Do not fight!\A demon bear that terrorized the village.\That's what the villagers said.\At first, it was just a mischievous bear ruining the fields.\Suddenly, it grew huge and attacked the village.\Inuyasha? You seem displeased.\Of course! response:	Sure, it's important to search out the Sacred Jewel fragments...
context: Do not fight!\A demon bear that terrorized the village.\That's what the villagers said.\At first, it was just a mischievous bear ruining the fields.\Suddenly, it grew huge and attacked the village.\Inuyasha? You seem displeased.\Of course!\Sure, it's important to search out the Sacred Jewel fragments... response:	that Kagome senses.
context: A demon bear that terrorized the village.\That's what the villagers said.\At first, it was just a mischievous bear ruining the fields.\Suddenly, it grew huge and attacked the village.\Inuyasha? You seem displeased.\Of course!\Sure, it's important to search out the Sacred Jewel fragments...\that Kagome senses. response:	But rather than a bear, I'm searching for a wolf!
context: That's what the villagers said.\At first, it was just a mischievous bear ruining the fields.\Suddenly, it grew huge and attacked the village.\Inuyasha? You seem displeased.\Of course!\Sure, it's important to search out the Sacred Jewel fragments...\that Kagome senses.\But rather than a bear, I'm searching for a wolf! response:	Koga...
context: At first, it was just a mischievous bear ruining the fields.\Suddenly, it grew huge and attacked the village.\Inuyasha? You seem displeased.\Of course!\Sure, it's important to search out the Sacred Jewel fragments...\that Kagome senses.\But rather than a bear, I'm searching for a wolf!\Koga... response:	We know that that skinny wolf-demon Koga...
context: Suddenly, it grew huge and attacked the village.\Inuyasha? You seem displeased.\Of course!\Sure, it's important to search out the Sacred Jewel fragments...\that Kagome senses.\But rather than a bear, I'm searching for a wolf!\Koga...\We know that that skinny wolf-demon Koga... response:	still has two Sacred Jewel fragments in his legs.
context: Inuyasha? You seem displeased.\Of course!\Sure, it's important to search out the Sacred Jewel fragments...\that Kagome senses.\But rather than a bear, I'm searching for a wolf!\Koga...\We know that that skinny wolf-demon Koga...\still has two Sacred Jewel fragments in his legs. response:	If this mountain smelled more like wolf than bear...
context: Of course!\Sure, it's important to search out the Sacred Jewel fragments...\that Kagome senses.\But rather than a bear, I'm searching for a wolf!\Koga...\We know that that skinny wolf-demon Koga...\still has two Sacred Jewel fragments in his legs.\If this mountain smelled more like wolf than bear... response:	I'd feel more like fighting.
context: Sure, it's important to search out the Sacred Jewel fragments...\that Kagome senses.\But rather than a bear, I'm searching for a wolf!\Koga...\We know that that skinny wolf-demon Koga...\still has two Sacred Jewel fragments in his legs.\If this mountain smelled more like wolf than bear...\I'd feel more like fighting. response:	So you want to say...
context: that Kagome senses.\But rather than a bear, I'm searching for a wolf!\Koga...\We know that that skinny wolf-demon Koga...\still has two Sacred Jewel fragments in his legs.\If this mountain smelled more like wolf than bear...\I'd feel more like fighting.\So you want to say... response:	that butchering Koga comes first with you?
context: But rather than a bear, I'm searching for a wolf!\Koga...\We know that that skinny wolf-demon Koga...\still has two Sacred Jewel fragments in his legs.\If this mountain smelled more like wolf than bear...\I'd feel more like fighting.\So you want to say...\that butchering Koga comes first with you? response:	Koga, his love rival?
context: Koga...\We know that that skinny wolf-demon Koga...\still has two Sacred Jewel fragments in his legs.\If this mountain smelled more like wolf than bear...\I'd feel more like fighting.\So you want to say...\that butchering Koga comes first with you?\Koga, his love rival? response:	What're you doing?!
context: We know that that skinny wolf-demon Koga...\still has two Sacred Jewel fragments in his legs.\If this mountain smelled more like wolf than bear...\I'd feel more like fighting.\So you want to say...\that butchering Koga comes first with you?\Koga, his love rival?\What're you doing?! response:	Shippo, you don't bug Inuyasha...
context: still has two Sacred Jewel fragments in his legs.\If this mountain smelled more like wolf than bear...\I'd feel more like fighting.\So you want to say...\that butchering Koga comes first with you?\Koga, his love rival?\What're you doing?!\Shippo, you don't bug Inuyasha... response:	and you won't feel his fist.
context: If this mountain smelled more like wolf than bear...\I'd feel more like fighting.\So you want to say...\that butchering Koga comes first with you?\Koga, his love rival?\What're you doing?!\Shippo, you don't bug Inuyasha...\and you won't feel his fist. response:	Bears!
context: I'd feel more like fighting.\So you want to say...\that butchering Koga comes first with you?\Koga, his love rival?\What're you doing?!\Shippo, you don't bug Inuyasha...\and you won't feel his fist.\Bears! response:	Don't worry. They're ordinary mercenaries.
context: So you want to say...\that butchering Koga comes first with you?\Koga, his love rival?\What're you doing?!\Shippo, you don't bug Inuyasha...\and you won't feel his fist.\Bears!\Don't worry. They're ordinary mercenaries. response:	Ordinary?!
context: that butchering Koga comes first with you?\Koga, his love rival?\What're you doing?!\Shippo, you don't bug Inuyasha...\and you won't feel his fist.\Bears!\Don't worry. They're ordinary mercenaries.\Ordinary?! response:	You're pretty cocky, kid!
context: Koga, his love rival?\What're you doing?!\Shippo, you don't bug Inuyasha...\and you won't feel his fist.\Bears!\Don't worry. They're ordinary mercenaries.\Ordinary?!\You're pretty cocky, kid! response:	From the looks of you, you have no money.
context: What're you doing?!\Shippo, you don't bug Inuyasha...\and you won't feel his fist.\Bears!\Don't worry. They're ordinary mercenaries.\Ordinary?!\You're pretty cocky, kid!\From the looks of you, you have no money. response:	Well then, you can leave the women.
context: Shippo, you don't bug Inuyasha...\and you won't feel his fist.\Bears!\Don't worry. They're ordinary mercenaries.\Ordinary?!\You're pretty cocky, kid!\From the looks of you, you have no money.\Well then, you can leave the women. response:	Hey you... I'll give you a good piece of advice.
context: and you won't feel his fist.\Bears!\Don't worry. They're ordinary mercenaries.\Ordinary?!\You're pretty cocky, kid!\From the looks of you, you have no money.\Well then, you can leave the women.\Hey you... I'll give you a good piece of advice. response:	If you don't want to get hurt, better run away.
context: Bears!\Don't worry. They're ordinary mercenaries.\Ordinary?!\You're pretty cocky, kid!\From the looks of you, you have no money.\Well then, you can leave the women.\Hey you... I'll give you a good piece of advice.\If you don't want to get hurt, better run away. response:	What?! How dare you!
context: Don't worry. They're ordinary mercenaries.\Ordinary?!\You're pretty cocky, kid!\From the looks of you, you have no money.\Well then, you can leave the women.\Hey you... I'll give you a good piece of advice.\If you don't want to get hurt, better run away.\What?! How dare you! response:	Kagome!
context: Ordinary?!\You're pretty cocky, kid!\From the looks of you, you have no money.\Well then, you can leave the women.\Hey you... I'll give you a good piece of advice.\If you don't want to get hurt, better run away.\What?! How dare you!\Kagome! response:	Yes! I can feel the Sacred Jewel coming closer.
context: You're pretty cocky, kid!\From the looks of you, you have no money.\Well then, you can leave the women.\Hey you... I'll give you a good piece of advice.\If you don't want to get hurt, better run away.\What?! How dare you!\Kagome!\Yes! I can feel the Sacred Jewel coming closer. response:	Get back!
context: From the looks of you, you have no money.\Well then, you can leave the women.\Hey you... I'll give you a good piece of advice.\If you don't want to get hurt, better run away.\What?! How dare you!\Kagome!\Yes! I can feel the Sacred Jewel coming closer.\Get back! response:	W-what's that!
context: Well then, you can leave the women.\Hey you... I'll give you a good piece of advice.\If you don't want to get hurt, better run away.\What?! How dare you!\Kagome!\Yes! I can feel the Sacred Jewel coming closer.\Get back!\W-what's that! response:	It's in his forehead! The Sacred Jewel fragment!
context: Hey you... I'll give you a good piece of advice.\If you don't want to get hurt, better run away.\What?! How dare you!\Kagome!\Yes! I can feel the Sacred Jewel coming closer.\Get back!\W-what's that!\It's in his forehead! The Sacred Jewel fragment! response:	Damn! What a huge bugger!
context: If you don't want to get hurt, better run away.\What?! How dare you!\Kagome!\Yes! I can feel the Sacred Jewel coming closer.\Get back!\W-what's that!\It's in his forehead! The Sacred Jewel fragment!\Damn! What a huge bugger! response:	But your head is still just a bear, right?
