context: Intro response:	Oh man, what have I done?
context: Y-Yes...\Um, I'd just like to confirm this one more time.\National Health Insurance will cover this, right?\It will. Don't worry.\Well then, let's hook you up to another bag.\No, thank you!\What?\Uh... Are you okay? response:	A cop?
context: Um, I'd just like to confirm this one more time.\National Health Insurance will cover this, right?\It will. Don't worry.\Well then, let's hook you up to another bag.\No, thank you!\What?\Uh... Are you okay?\A cop? response:	What's going on?
context: National Health Insurance will cover this, right?\It will. Don't worry.\Well then, let's hook you up to another bag.\No, thank you!\What?\Uh... Are you okay?\A cop?\What's going on? response:	Olba!
context: It will. Don't worry.\Well then, let's hook you up to another bag.\No, thank you!\What?\Uh... Are you okay?\A cop?\What's going on?\Olba! response:	Mr. Ashiya!
context: Well then, let's hook you up to another bag.\No, thank you!\What?\Uh... Are you okay?\A cop?\What's going on?\Olba!\Mr. Ashiya! response:	This is why I told you to stay in bed!
context: No, thank you!\What?\Uh... Are you okay?\A cop?\What's going on?\Olba!\Mr. Ashiya!\This is why I told you to stay in bed! response:	You're getting two more now!
context: What?\Uh... Are you okay?\A cop?\What's going on?\Olba!\Mr. Ashiya!\This is why I told you to stay in bed!\You're getting two more now! response:	That's absurd!
context: Uh... Are you okay?\A cop?\What's going on?\Olba!\Mr. Ashiya!\This is why I told you to stay in bed!\You're getting two more now!\That's absurd! response:	You're the absurd one here!
context: A cop?\What's going on?\Olba!\Mr. Ashiya!\This is why I told you to stay in bed!\You're getting two more now!\That's absurd!\You're the absurd one here! response:	Does your tummy hurt?
context: What's going on?\Olba!\Mr. Ashiya!\This is why I told you to stay in bed!\You're getting two more now!\That's absurd!\You're the absurd one here!\Does your tummy hurt? response:	Ashiya Shirou
context: Olba!\Mr. Ashiya!\This is why I told you to stay in bed!\You're getting two more now!\That's absurd!\You're the absurd one here!\Does your tummy hurt?\Ashiya Shirou response:	Maou Sadao
context: Mr. Ashiya!\This is why I told you to stay in bed!\You're getting two more now!\That's absurd!\You're the absurd one here!\Does your tummy hurt?\Ashiya Shirou\Maou Sadao response:	Villa Rosa Sasazuka, eh?
context: This is why I told you to stay in bed!\You're getting two more now!\That's absurd!\You're the absurd one here!\Does your tummy hurt?\Ashiya Shirou\Maou Sadao\Villa Rosa Sasazuka, eh? response:	That's not it...
context: You're getting two more now!\That's absurd!\You're the absurd one here!\Does your tummy hurt?\Ashiya Shirou\Maou Sadao\Villa Rosa Sasazuka, eh?\That's not it... response:	It is!
context: That's absurd!\You're the absurd one here!\Does your tummy hurt?\Ashiya Shirou\Maou Sadao\Villa Rosa Sasazuka, eh?\That's not it...\It is! response:	Just you wait, Chiho!
context: You're the absurd one here!\Does your tummy hurt?\Ashiya Shirou\Maou Sadao\Villa Rosa Sasazuka, eh?\That's not it...\It is!\Just you wait, Chiho! response:	OP
context: Does your tummy hurt?\Ashiya Shirou\Maou Sadao\Villa Rosa Sasazuka, eh?\That's not it...\It is!\Just you wait, Chiho!\OP response:	Get out of your cage
context: Ashiya Shirou\Maou Sadao\Villa Rosa Sasazuka, eh?\That's not it...\It is!\Just you wait, Chiho!\OP\Get out of your cage response:	Fly toward the sky
context: Maou Sadao\Villa Rosa Sasazuka, eh?\That's not it...\It is!\Just you wait, Chiho!\OP\Get out of your cage\Fly toward the sky response:	Fly toward the sky
context: Villa Rosa Sasazuka, eh?\That's not it...\It is!\Just you wait, Chiho!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky response:	It all starts right here, right now
context: That's not it...\It is!\Just you wait, Chiho!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now response:	Let's picture what we can do
context: It is!\Just you wait, Chiho!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do response:	Let's picture what we can do
context: Just you wait, Chiho!\OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do response:	Let's picture what we can do
context: OP\Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do response:	Unbelievable things might happen
context: Get out of your cage\Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen response:	But we can overcome them all
context: Fly toward the sky\Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all response:	But we can overcome them all
context: Fly toward the sky\It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all response:	But we can overcome them all
context: It all starts right here, right now\Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all response:	Power of dreams
context: Let's picture what we can do\Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams response:	Power of dreams
context: Let's picture what we can do\Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams response:	Our dreams are born from nothing
context: Let's picture what we can do\Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing response:	Power of dreams
context: Unbelievable things might happen\But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams response:	And take us to that shining sky
context: But we can overcome them all\But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky response:	fly
context: But we can overcome them all\But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly response:	And take us to that shining sky
context: But we can overcome them all\Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky response:	And take us to that shining sky
context: Power of dreams\Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky response:	And take us to that shining sky
context: Power of dreams\Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky response:	Light blue wind
context: Our dreams are born from nothing\Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind response:	I want to spread my wings
context: Power of dreams\And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings response:	Light blue wind
context: And take us to that shining sky\fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind response:	Now here I go, with the greatest smile on my face
context: fly\And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: And take us to that shining sky\And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: And take us to that shining sky\And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Now here I go, with the greatest smile on my face
context: And take us to that shining sky\Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face response:	Let's set out to an unknown world
context: Light blue wind\I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world response:	Let's set out to an unknown world
context: I want to spread my wings\Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world response:	Let's set out to an unknown world
context: Light blue wind\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world response:	Let's set out to an unknown world
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world response:	Go to another world
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world response:	We'll be the ones to choose and decide the future
context: Now here I go, with the greatest smile on my face\Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future response:	Let's chase after our dreams
context: Now here I go, with the greatest smile on my face\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams response:	There will be times when we cry
context: Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry response:	I have a really important wish
context: Let's set out to an unknown world\Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish response:	Don't fade away
context: Let's set out to an unknown world\Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away response:	I'm sure you'll be able to meet your future self
context: Let's set out to an unknown world\Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self response:	I'm sure you'll be able to meet your future self
context: Go to another world\We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self response:	I'm sure you'll be able to meet your future self
context: We'll be the ones to choose and decide the future\Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self response:	Get out of your cage
context: Let's chase after our dreams\There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage response:	Overlord at Work!
context: There will be times when we cry\I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work! response:	Overlord at Work!
context: I have a really important wish\Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Don't fade away\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: I'm sure you'll be able to meet your future self\I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: I'm sure you'll be able to meet your future self\Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Get out of your cage\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Fly toward the sky
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Fly toward the sky\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
