context: Top o' the mornin' to ya!!! response:	Uwaaa...
context: Your breakfast this morning is a mushroom and cheese omelette.\Thank you.\Ojou-sama!\I demand to know why Subaru has been leaving the mansion ahead of you recently!\Calm down, Kosame-san.\Whenever it concerns Subaru, you become much too excited.\Little sisters with small breasts are the finest gourmet meals of all!\Starting today, breakfast is going to be much more interesting. response:	I find it very fascinating how Kanade-ojousama's favorite dish is never cooked the way she prefers.
context: Thank you.\Ojou-sama!\I demand to know why Subaru has been leaving the mansion ahead of you recently!\Calm down, Kosame-san.\Whenever it concerns Subaru, you become much too excited.\Little sisters with small breasts are the finest gourmet meals of all!\Starting today, breakfast is going to be much more interesting.\I find it very fascinating how Kanade-ojousama's favorite dish is never cooked the way she prefers. response:	I Fell in Love!
context: Ojou-sama!\I demand to know why Subaru has been leaving the mansion ahead of you recently!\Calm down, Kosame-san.\Whenever it concerns Subaru, you become much too excited.\Little sisters with small breasts are the finest gourmet meals of all!\Starting today, breakfast is going to be much more interesting.\I find it very fascinating how Kanade-ojousama's favorite dish is never cooked the way she prefers.\I Fell in Love! response:	Hey Jirou, why were you walking to school with Subaru-sama?
context: I demand to know why Subaru has been leaving the mansion ahead of you recently!\Calm down, Kosame-san.\Whenever it concerns Subaru, you become much too excited.\Little sisters with small breasts are the finest gourmet meals of all!\Starting today, breakfast is going to be much more interesting.\I find it very fascinating how Kanade-ojousama's favorite dish is never cooked the way she prefers.\I Fell in Love!\Hey Jirou, why were you walking to school with Subaru-sama? response:	We just met on the way to school.
context: Calm down, Kosame-san.\Whenever it concerns Subaru, you become much too excited.\Little sisters with small breasts are the finest gourmet meals of all!\Starting today, breakfast is going to be much more interesting.\I find it very fascinating how Kanade-ojousama's favorite dish is never cooked the way she prefers.\I Fell in Love!\Hey Jirou, why were you walking to school with Subaru-sama?\We just met on the way to school. response:	Actually, I found out that Subaru-sama is a girl, and now she's following me everywhere I go.
context: Whenever it concerns Subaru, you become much too excited.\Little sisters with small breasts are the finest gourmet meals of all!\Starting today, breakfast is going to be much more interesting.\I find it very fascinating how Kanade-ojousama's favorite dish is never cooked the way she prefers.\I Fell in Love!\Hey Jirou, why were you walking to school with Subaru-sama?\We just met on the way to school.\Actually, I found out that Subaru-sama is a girl, and now she's following me everywhere I go. response:	She's using the fact that my nose bleeds every time I touch a girl against me so that I won't spill her secret.
context: Little sisters with small breasts are the finest gourmet meals of all!\Starting today, breakfast is going to be much more interesting.\I find it very fascinating how Kanade-ojousama's favorite dish is never cooked the way she prefers.\I Fell in Love!\Hey Jirou, why were you walking to school with Subaru-sama?\We just met on the way to school.\Actually, I found out that Subaru-sama is a girl, and now she's following me everywhere I go.\She's using the fact that my nose bleeds every time I touch a girl against me so that I won't spill her secret. response:	Like I'd walk to school with Subaru-sama out of my own free will!
context: Starting today, breakfast is going to be much more interesting.\I find it very fascinating how Kanade-ojousama's favorite dish is never cooked the way she prefers.\I Fell in Love!\Hey Jirou, why were you walking to school with Subaru-sama?\We just met on the way to school.\Actually, I found out that Subaru-sama is a girl, and now she's following me everywhere I go.\She's using the fact that my nose bleeds every time I touch a girl against me so that I won't spill her secret.\Like I'd walk to school with Subaru-sama out of my own free will! response:	So, you two are going out after all.
context: I find it very fascinating how Kanade-ojousama's favorite dish is never cooked the way she prefers.\I Fell in Love!\Hey Jirou, why were you walking to school with Subaru-sama?\We just met on the way to school.\Actually, I found out that Subaru-sama is a girl, and now she's following me everywhere I go.\She's using the fact that my nose bleeds every time I touch a girl against me so that I won't spill her secret.\Like I'd walk to school with Subaru-sama out of my own free will!\So, you two are going out after all. response:	No!
context: I Fell in Love!\Hey Jirou, why were you walking to school with Subaru-sama?\We just met on the way to school.\Actually, I found out that Subaru-sama is a girl, and now she's following me everywhere I go.\She's using the fact that my nose bleeds every time I touch a girl against me so that I won't spill her secret.\Like I'd walk to school with Subaru-sama out of my own free will!\So, you two are going out after all.\No! response:	Be careful. There's rumor that S4 is on the move.
context: Hey Jirou, why were you walking to school with Subaru-sama?\We just met on the way to school.\Actually, I found out that Subaru-sama is a girl, and now she's following me everywhere I go.\She's using the fact that my nose bleeds every time I touch a girl against me so that I won't spill her secret.\Like I'd walk to school with Subaru-sama out of my own free will!\So, you two are going out after all.\No!\Be careful. There's rumor that S4 is on the move. response:	S4?
context: We just met on the way to school.\Actually, I found out that Subaru-sama is a girl, and now she's following me everywhere I go.\She's using the fact that my nose bleeds every time I touch a girl against me so that I won't spill her secret.\Like I'd walk to school with Subaru-sama out of my own free will!\So, you two are going out after all.\No!\Be careful. There's rumor that S4 is on the move.\S4? response:	Shooting Star Subaru-Sama.
context: Actually, I found out that Subaru-sama is a girl, and now she's following me everywhere I go.\She's using the fact that my nose bleeds every time I touch a girl against me so that I won't spill her secret.\Like I'd walk to school with Subaru-sama out of my own free will!\So, you two are going out after all.\No!\Be careful. There's rumor that S4 is on the move.\S4?\Shooting Star Subaru-Sama. response:	They're Subaru's underground fanclub, and they boast unmatched power in Roran Academy.
context: She's using the fact that my nose bleeds every time I touch a girl against me so that I won't spill her secret.\Like I'd walk to school with Subaru-sama out of my own free will!\So, you two are going out after all.\No!\Be careful. There's rumor that S4 is on the move.\S4?\Shooting Star Subaru-Sama.\They're Subaru's underground fanclub, and they boast unmatched power in Roran Academy. response:	If they find out that you two are getting along nicely, they just might send you to burn in the fires of Hell due to jealousy.
context: Like I'd walk to school with Subaru-sama out of my own free will!\So, you two are going out after all.\No!\Be careful. There's rumor that S4 is on the move.\S4?\Shooting Star Subaru-Sama.\They're Subaru's underground fanclub, and they boast unmatched power in Roran Academy.\If they find out that you two are getting along nicely, they just might send you to burn in the fires of Hell due to jealousy. response:	No way.
context: So, you two are going out after all.\No!\Be careful. There's rumor that S4 is on the move.\S4?\Shooting Star Subaru-Sama.\They're Subaru's underground fanclub, and they boast unmatched power in Roran Academy.\If they find out that you two are getting along nicely, they just might send you to burn in the fires of Hell due to jealousy.\No way. response:	Please be at ease.
context: No!\Be careful. There's rumor that S4 is on the move.\S4?\Shooting Star Subaru-Sama.\They're Subaru's underground fanclub, and they boast unmatched power in Roran Academy.\If they find out that you two are getting along nicely, they just might send you to burn in the fires of Hell due to jealousy.\No way.\Please be at ease. response:	We are the ones who make sure that Subaru-sama is well-protected.
context: Be careful. There's rumor that S4 is on the move.\S4?\Shooting Star Subaru-Sama.\They're Subaru's underground fanclub, and they boast unmatched power in Roran Academy.\If they find out that you two are getting along nicely, they just might send you to burn in the fires of Hell due to jealousy.\No way.\Please be at ease.\We are the ones who make sure that Subaru-sama is well-protected. response:	Who are you?
context: S4?\Shooting Star Subaru-Sama.\They're Subaru's underground fanclub, and they boast unmatched power in Roran Academy.\If they find out that you two are getting along nicely, they just might send you to burn in the fires of Hell due to jealousy.\No way.\Please be at ease.\We are the ones who make sure that Subaru-sama is well-protected.\Who are you? response:	We are a group of people that decided to defect from S4.
context: Shooting Star Subaru-Sama.\They're Subaru's underground fanclub, and they boast unmatched power in Roran Academy.\If they find out that you two are getting along nicely, they just might send you to burn in the fires of Hell due to jealousy.\No way.\Please be at ease.\We are the ones who make sure that Subaru-sama is well-protected.\Who are you?\We are a group of people that decided to defect from S4. response:	We had a difference of opinion.
context: They're Subaru's underground fanclub, and they boast unmatched power in Roran Academy.\If they find out that you two are getting along nicely, they just might send you to burn in the fires of Hell due to jealousy.\No way.\Please be at ease.\We are the ones who make sure that Subaru-sama is well-protected.\Who are you?\We are a group of people that decided to defect from S4.\We had a difference of opinion. response:	And well, I'd like to ask you a question.
context: If they find out that you two are getting along nicely, they just might send you to burn in the fires of Hell due to jealousy.\No way.\Please be at ease.\We are the ones who make sure that Subaru-sama is well-protected.\Who are you?\We are a group of people that decided to defect from S4.\We had a difference of opinion.\And well, I'd like to ask you a question. response:	Who's the seme and who's the uke?
context: No way.\Please be at ease.\We are the ones who make sure that Subaru-sama is well-protected.\Who are you?\We are a group of people that decided to defect from S4.\We had a difference of opinion.\And well, I'd like to ask you a question.\Who's the seme and who's the uke? response:	So they're fujoshi...
context: Please be at ease.\We are the ones who make sure that Subaru-sama is well-protected.\Who are you?\We are a group of people that decided to defect from S4.\We had a difference of opinion.\And well, I'd like to ask you a question.\Who's the seme and who's the uke?\So they're fujoshi... response:	You've got it tough, don't you.
context: We are the ones who make sure that Subaru-sama is well-protected.\Who are you?\We are a group of people that decided to defect from S4.\We had a difference of opinion.\And well, I'd like to ask you a question.\Who's the seme and who's the uke?\So they're fujoshi...\You've got it tough, don't you. response:	And whose fault is that?
context: Who are you?\We are a group of people that decided to defect from S4.\We had a difference of opinion.\And well, I'd like to ask you a question.\Who's the seme and who's the uke?\So they're fujoshi...\You've got it tough, don't you.\And whose fault is that? response:	Then I will give this to you as compensation.
context: We are a group of people that decided to defect from S4.\We had a difference of opinion.\And well, I'd like to ask you a question.\Who's the seme and who's the uke?\So they're fujoshi...\You've got it tough, don't you.\And whose fault is that?\Then I will give this to you as compensation. response:	What's this?
context: We had a difference of opinion.\And well, I'd like to ask you a question.\Who's the seme and who's the uke?\So they're fujoshi...\You've got it tough, don't you.\And whose fault is that?\Then I will give this to you as compensation.\What's this? response:	It's a sheep ticket.
context: And well, I'd like to ask you a question.\Who's the seme and who's the uke?\So they're fujoshi...\You've got it tough, don't you.\And whose fault is that?\Then I will give this to you as compensation.\What's this?\It's a sheep ticket. response:	Huh?
context: Who's the seme and who's the uke?\So they're fujoshi...\You've got it tough, don't you.\And whose fault is that?\Then I will give this to you as compensation.\What's this?\It's a sheep ticket.\Huh? response:	If you show Subaru that, she will do anything you ask of her.
context: So they're fujoshi...\You've got it tough, don't you.\And whose fault is that?\Then I will give this to you as compensation.\What's this?\It's a sheep ticket.\Huh?\If you show Subaru that, she will do anything you ask of her. response:	Anything?
context: You've got it tough, don't you.\And whose fault is that?\Then I will give this to you as compensation.\What's this?\It's a sheep ticket.\Huh?\If you show Subaru that, she will do anything you ask of her.\Anything? response:	For example...
context: And whose fault is that?\Then I will give this to you as compensation.\What's this?\It's a sheep ticket.\Huh?\If you show Subaru that, she will do anything you ask of her.\Anything?\For example... response:	Telling her to strip completely naked and pouring honey on her chest.
context: Then I will give this to you as compensation.\What's this?\It's a sheep ticket.\Huh?\If you show Subaru that, she will do anything you ask of her.\Anything?\For example...\Telling her to strip completely naked and pouring honey on her chest. response:	Lick me.
context: What's this?\It's a sheep ticket.\Huh?\If you show Subaru that, she will do anything you ask of her.\Anything?\For example...\Telling her to strip completely naked and pouring honey on her chest.\Lick me. response:	If you have other fetishes, you can also do things like this or things like that.
context: It's a sheep ticket.\Huh?\If you show Subaru that, she will do anything you ask of her.\Anything?\For example...\Telling her to strip completely naked and pouring honey on her chest.\Lick me.\If you have other fetishes, you can also do things like this or things like that. response:	Lick me.
context: Huh?\If you show Subaru that, she will do anything you ask of her.\Anything?\For example...\Telling her to strip completely naked and pouring honey on her chest.\Lick me.\If you have other fetishes, you can also do things like this or things like that.\Lick me. response:	Lick me.
context: If you show Subaru that, she will do anything you ask of her.\Anything?\For example...\Telling her to strip completely naked and pouring honey on her chest.\Lick me.\If you have other fetishes, you can also do things like this or things like that.\Lick me.\Lick me. response:	Lick me.
context: Anything?\For example...\Telling her to strip completely naked and pouring honey on her chest.\Lick me.\If you have other fetishes, you can also do things like this or things like that.\Lick me.\Lick me.\Lick me. response:	Lick me.
context: For example...\Telling her to strip completely naked and pouring honey on her chest.\Lick me.\If you have other fetishes, you can also do things like this or things like that.\Lick me.\Lick me.\Lick me.\Lick me. response:	Lick.
context: Telling her to strip completely naked and pouring honey on her chest.\Lick me.\If you have other fetishes, you can also do things like this or things like that.\Lick me.\Lick me.\Lick me.\Lick me.\Lick. response:	I'm not that kind of a person!
context: Lick me.\If you have other fetishes, you can also do things like this or things like that.\Lick me.\Lick me.\Lick me.\Lick me.\Lick.\I'm not that kind of a person! response:	Well, we will meet again after school.
context: If you have other fetishes, you can also do things like this or things like that.\Lick me.\Lick me.\Lick me.\Lick me.\Lick.\I'm not that kind of a person!\Well, we will meet again after school. response:	I've lost my appetite.
context: Lick me.\Lick me.\Lick me.\Lick me.\Lick.\I'm not that kind of a person!\Well, we will meet again after school.\I've lost my appetite. response:	So why are we going to an arcade?
context: Lick me.\Lick me.\Lick me.\Lick.\I'm not that kind of a person!\Well, we will meet again after school.\I've lost my appetite.\So why are we going to an arcade? response:	It is your first date, so,
context: Lick me.\Lick me.\Lick.\I'm not that kind of a person!\Well, we will meet again after school.\I've lost my appetite.\So why are we going to an arcade?\It is your first date, so, response:	I thought that it would be fitting.
context: Lick me.\Lick.\I'm not that kind of a person!\Well, we will meet again after school.\I've lost my appetite.\So why are we going to an arcade?\It is your first date, so,\I thought that it would be fitting. response:	What did you say? A date?
context: Lick.\I'm not that kind of a person!\Well, we will meet again after school.\I've lost my appetite.\So why are we going to an arcade?\It is your first date, so,\I thought that it would be fitting.\What did you say? A date? response:	I thought that it would be better for you to take a normal girl out on a date to cure your fear of girls.
context: I'm not that kind of a person!\Well, we will meet again after school.\I've lost my appetite.\So why are we going to an arcade?\It is your first date, so,\I thought that it would be fitting.\What did you say? A date?\I thought that it would be better for you to take a normal girl out on a date to cure your fear of girls. response:	And where are you exactly?
context: Well, we will meet again after school.\I've lost my appetite.\So why are we going to an arcade?\It is your first date, so,\I thought that it would be fitting.\What did you say? A date?\I thought that it would be better for you to take a normal girl out on a date to cure your fear of girls.\And where are you exactly? response:	I am reading manga at a manga cafe.
context: I've lost my appetite.\So why are we going to an arcade?\It is your first date, so,\I thought that it would be fitting.\What did you say? A date?\I thought that it would be better for you to take a normal girl out on a date to cure your fear of girls.\And where are you exactly?\I am reading manga at a manga cafe. response:	You sure act high-class...
context: So why are we going to an arcade?\It is your first date, so,\I thought that it would be fitting.\What did you say? A date?\I thought that it would be better for you to take a normal girl out on a date to cure your fear of girls.\And where are you exactly?\I am reading manga at a manga cafe.\You sure act high-class... response:	Get ready.
context: It is your first date, so,\I thought that it would be fitting.\What did you say? A date?\I thought that it would be better for you to take a normal girl out on a date to cure your fear of girls.\And where are you exactly?\I am reading manga at a manga cafe.\You sure act high-class...\Get ready. response:	It is about time.
context: I thought that it would be fitting.\What did you say? A date?\I thought that it would be better for you to take a normal girl out on a date to cure your fear of girls.\And where are you exactly?\I am reading manga at a manga cafe.\You sure act high-class...\Get ready.\It is about time. response:	Okay, Subaru, undress.
context: What did you say? A date?\I thought that it would be better for you to take a normal girl out on a date to cure your fear of girls.\And where are you exactly?\I am reading manga at a manga cafe.\You sure act high-class...\Get ready.\It is about time.\Okay, Subaru, undress. response:	Understood, Ojou-sama.
context: I thought that it would be better for you to take a normal girl out on a date to cure your fear of girls.\And where are you exactly?\I am reading manga at a manga cafe.\You sure act high-class...\Get ready.\It is about time.\Okay, Subaru, undress.\Understood, Ojou-sama. response:	Wait!
context: And where are you exactly?\I am reading manga at a manga cafe.\You sure act high-class...\Get ready.\It is about time.\Okay, Subaru, undress.\Understood, Ojou-sama.\Wait! response:	Not there.
context: I am reading manga at a manga cafe.\You sure act high-class...\Get ready.\It is about time.\Okay, Subaru, undress.\Understood, Ojou-sama.\Wait!\Not there. response:	I will go and change.
context: You sure act high-class...\Get ready.\It is about time.\Okay, Subaru, undress.\Understood, Ojou-sama.\Wait!\Not there.\I will go and change. response:	Stop staring at me so much.
context: Get ready.\It is about time.\Okay, Subaru, undress.\Understood, Ojou-sama.\Wait!\Not there.\I will go and change.\Stop staring at me so much. response:	Y-Yeah.
context: It is about time.\Okay, Subaru, undress.\Understood, Ojou-sama.\Wait!\Not there.\I will go and change.\Stop staring at me so much.\Y-Yeah. response:	It seems like your chest has gotten bigger.
context: Okay, Subaru, undress.\Understood, Ojou-sama.\Wait!\Not there.\I will go and change.\Stop staring at me so much.\Y-Yeah.\It seems like your chest has gotten bigger. response:	I normally use a breast binder.
context: Understood, Ojou-sama.\Wait!\Not there.\I will go and change.\Stop staring at me so much.\Y-Yeah.\It seems like your chest has gotten bigger.\I normally use a breast binder. response:	However, today, the mistress prepared a padded brassiere for me.
context: Wait!\Not there.\I will go and change.\Stop staring at me so much.\Y-Yeah.\It seems like your chest has gotten bigger.\I normally use a breast binder.\However, today, the mistress prepared a padded brassiere for me. response:	Of course...
context: Not there.\I will go and change.\Stop staring at me so much.\Y-Yeah.\It seems like your chest has gotten bigger.\I normally use a breast binder.\However, today, the mistress prepared a padded brassiere for me.\Of course... response:	They weren't that big to begin with.
context: I will go and change.\Stop staring at me so much.\Y-Yeah.\It seems like your chest has gotten bigger.\I normally use a breast binder.\However, today, the mistress prepared a padded brassiere for me.\Of course...\They weren't that big to begin with. response:	What are you thinking about!?
context: Stop staring at me so much.\Y-Yeah.\It seems like your chest has gotten bigger.\I normally use a breast binder.\However, today, the mistress prepared a padded brassiere for me.\Of course...\They weren't that big to begin with.\What are you thinking about!? response:	Sorry!
context: Y-Yeah.\It seems like your chest has gotten bigger.\I normally use a breast binder.\However, today, the mistress prepared a padded brassiere for me.\Of course...\They weren't that big to begin with.\What are you thinking about!?\Sorry! response:	Geez.
context: It seems like your chest has gotten bigger.\I normally use a breast binder.\However, today, the mistress prepared a padded brassiere for me.\Of course...\They weren't that big to begin with.\What are you thinking about!?\Sorry!\Geez. response:	Let's go!
context: I normally use a breast binder.\However, today, the mistress prepared a padded brassiere for me.\Of course...\They weren't that big to begin with.\What are you thinking about!?\Sorry!\Geez.\Let's go! response:	Yes.
context: However, today, the mistress prepared a padded brassiere for me.\Of course...\They weren't that big to begin with.\What are you thinking about!?\Sorry!\Geez.\Let's go!\Yes. response:	What is this?
context: Of course...\They weren't that big to begin with.\What are you thinking about!?\Sorry!\Geez.\Let's go!\Yes.\What is this? response:	Don't you know?
context: They weren't that big to begin with.\What are you thinking about!?\Sorry!\Geez.\Let's go!\Yes.\What is this?\Don't you know? response:	You put some money in and try to grab a toy.
context: What are you thinking about!?\Sorry!\Geez.\Let's go!\Yes.\What is this?\Don't you know?\You put some money in and try to grab a toy. response:	They sure are cute.
context: Sorry!\Geez.\Let's go!\Yes.\What is this?\Don't you know?\You put some money in and try to grab a toy.\They sure are cute. response:	Shall I grab one for you?
context: Geez.\Let's go!\Yes.\What is this?\Don't you know?\You put some money in and try to grab a toy.\They sure are cute.\Shall I grab one for you? response:	Yeah!
context: Let's go!\Yes.\What is this?\Don't you know?\You put some money in and try to grab a toy.\They sure are cute.\Shall I grab one for you?\Yeah! response:	It's so cute!
context: Yes.\What is this?\Don't you know?\You put some money in and try to grab a toy.\They sure are cute.\Shall I grab one for you?\Yeah!\It's so cute! response:	First Date! Subaru Kinjirou
context: What is this?\Don't you know?\You put some money in and try to grab a toy.\They sure are cute.\Shall I grab one for you?\Yeah!\It's so cute!\First Date! Subaru Kinjirou response:	Here.
context: Don't you know?\You put some money in and try to grab a toy.\They sure are cute.\Shall I grab one for you?\Yeah!\It's so cute!\First Date! Subaru Kinjirou\Here. response:	Thank you.
context: You put some money in and try to grab a toy.\They sure are cute.\Shall I grab one for you?\Yeah!\It's so cute!\First Date! Subaru Kinjirou\Here.\Thank you. response:	Sorry.
context: They sure are cute.\Shall I grab one for you?\Yeah!\It's so cute!\First Date! Subaru Kinjirou\Here.\Thank you.\Sorry. response:	Huh?
context: Shall I grab one for you?\Yeah!\It's so cute!\First Date! Subaru Kinjirou\Here.\Thank you.\Sorry.\Huh? response:	I was supposed to help you overcome your gynophobia today, but I got carried away and had too much fun.
context: Yeah!\It's so cute!\First Date! Subaru Kinjirou\Here.\Thank you.\Sorry.\Huh?\I was supposed to help you overcome your gynophobia today, but I got carried away and had too much fun. response:	I don't really mind.
context: It's so cute!\First Date! Subaru Kinjirou\Here.\Thank you.\Sorry.\Huh?\I was supposed to help you overcome your gynophobia today, but I got carried away and had too much fun.\I don't really mind. response:	Can you tell me why you are scared of girls?
context: First Date! Subaru Kinjirou\Here.\Thank you.\Sorry.\Huh?\I was supposed to help you overcome your gynophobia today, but I got carried away and had too much fun.\I don't really mind.\Can you tell me why you are scared of girls? response:	Have you heard of Sakamachi Akemi?
context: Here.\Thank you.\Sorry.\Huh?\I was supposed to help you overcome your gynophobia today, but I got carried away and had too much fun.\I don't really mind.\Can you tell me why you are scared of girls?\Have you heard of Sakamachi Akemi? response:	Wasn't she a female pro-wrestler?
context: Thank you.\Sorry.\Huh?\I was supposed to help you overcome your gynophobia today, but I got carried away and had too much fun.\I don't really mind.\Can you tell me why you are scared of girls?\Have you heard of Sakamachi Akemi?\Wasn't she a female pro-wrestler? response:	She was the previous Queen of Wrestlers.
context: Sorry.\Huh?\I was supposed to help you overcome your gynophobia today, but I got carried away and had too much fun.\I don't really mind.\Can you tell me why you are scared of girls?\Have you heard of Sakamachi Akemi?\Wasn't she a female pro-wrestler?\She was the previous Queen of Wrestlers. response:	She's my mother.
context: Huh?\I was supposed to help you overcome your gynophobia today, but I got carried away and had too much fun.\I don't really mind.\Can you tell me why you are scared of girls?\Have you heard of Sakamachi Akemi?\Wasn't she a female pro-wrestler?\She was the previous Queen of Wrestlers.\She's my mother. response:	Like my mother, my little sister is also very good at wrestling.
context: I was supposed to help you overcome your gynophobia today, but I got carried away and had too much fun.\I don't really mind.\Can you tell me why you are scared of girls?\Have you heard of Sakamachi Akemi?\Wasn't she a female pro-wrestler?\She was the previous Queen of Wrestlers.\She's my mother.\Like my mother, my little sister is also very good at wrestling. response:	I've been their sandbag for the last ten years.
context: I don't really mind.\Can you tell me why you are scared of girls?\Have you heard of Sakamachi Akemi?\Wasn't she a female pro-wrestler?\She was the previous Queen of Wrestlers.\She's my mother.\Like my mother, my little sister is also very good at wrestling.\I've been their sandbag for the last ten years. response:	And this is the result.
context: Can you tell me why you are scared of girls?\Have you heard of Sakamachi Akemi?\Wasn't she a female pro-wrestler?\She was the previous Queen of Wrestlers.\She's my mother.\Like my mother, my little sister is also very good at wrestling.\I've been their sandbag for the last ten years.\And this is the result. response:	But what causes your nose to bleed?
context: Have you heard of Sakamachi Akemi?\Wasn't she a female pro-wrestler?\She was the previous Queen of Wrestlers.\She's my mother.\Like my mother, my little sister is also very good at wrestling.\I've been their sandbag for the last ten years.\And this is the result.\But what causes your nose to bleed? response:	Maybe it's just a reflex.
context: Wasn't she a female pro-wrestler?\She was the previous Queen of Wrestlers.\She's my mother.\Like my mother, my little sister is also very good at wrestling.\I've been their sandbag for the last ten years.\And this is the result.\But what causes your nose to bleed?\Maybe it's just a reflex. response:	If my nose bleeds, they'll leave me alone.
context: She was the previous Queen of Wrestlers.\She's my mother.\Like my mother, my little sister is also very good at wrestling.\I've been their sandbag for the last ten years.\And this is the result.\But what causes your nose to bleed?\Maybe it's just a reflex.\If my nose bleeds, they'll leave me alone. response:	Your family worries about you a lot.
context: She's my mother.\Like my mother, my little sister is also very good at wrestling.\I've been their sandbag for the last ten years.\And this is the result.\But what causes your nose to bleed?\Maybe it's just a reflex.\If my nose bleeds, they'll leave me alone.\Your family worries about you a lot. response:	Nope. You're wrong.
context: Like my mother, my little sister is also very good at wrestling.\I've been their sandbag for the last ten years.\And this is the result.\But what causes your nose to bleed?\Maybe it's just a reflex.\If my nose bleeds, they'll leave me alone.\Your family worries about you a lot.\Nope. You're wrong. response:	It's because the room would get dirty otherwise.
context: I've been their sandbag for the last ten years.\And this is the result.\But what causes your nose to bleed?\Maybe it's just a reflex.\If my nose bleeds, they'll leave me alone.\Your family worries about you a lot.\Nope. You're wrong.\It's because the room would get dirty otherwise. response:	I'm sure things will work out for you.
context: And this is the result.\But what causes your nose to bleed?\Maybe it's just a reflex.\If my nose bleeds, they'll leave me alone.\Your family worries about you a lot.\Nope. You're wrong.\It's because the room would get dirty otherwise.\I'm sure things will work out for you. response:	Maybe so.
context: But what causes your nose to bleed?\Maybe it's just a reflex.\If my nose bleeds, they'll leave me alone.\Your family worries about you a lot.\Nope. You're wrong.\It's because the room would get dirty otherwise.\I'm sure things will work out for you.\Maybe so. response:	I want to cure my phobia as fast as possible.
context: Maybe it's just a reflex.\If my nose bleeds, they'll leave me alone.\Your family worries about you a lot.\Nope. You're wrong.\It's because the room would get dirty otherwise.\I'm sure things will work out for you.\Maybe so.\I want to cure my phobia as fast as possible. response:	Since I want to be able to touch girls again!
context: If my nose bleeds, they'll leave me alone.\Your family worries about you a lot.\Nope. You're wrong.\It's because the room would get dirty otherwise.\I'm sure things will work out for you.\Maybe so.\I want to cure my phobia as fast as possible.\Since I want to be able to touch girls again! response:	Are you finished with your warm-up?
context: Your family worries about you a lot.\Nope. You're wrong.\It's because the room would get dirty otherwise.\I'm sure things will work out for you.\Maybe so.\I want to cure my phobia as fast as possible.\Since I want to be able to touch girls again!\Are you finished with your warm-up? response:	Yes.
context: Nope. You're wrong.\It's because the room would get dirty otherwise.\I'm sure things will work out for you.\Maybe so.\I want to cure my phobia as fast as possible.\Since I want to be able to touch girls again!\Are you finished with your warm-up?\Yes. response:	Then execute the second stage of the mission.
context: It's because the room would get dirty otherwise.\I'm sure things will work out for you.\Maybe so.\I want to cure my phobia as fast as possible.\Since I want to be able to touch girls again!\Are you finished with your warm-up?\Yes.\Then execute the second stage of the mission. response:	This is an order from Ojou-sama.
