context: I'm back, Gramps! response:	Is the bath water hot?
context: So pretty!\It looks like fun!\Huh?\Ha-ha-ha! Serves them right!\That girl!\Hold it!\What did you do that for?!\You... You can see me? response:	Who is this girl?
context: It looks like fun!\Huh?\Ha-ha-ha! Serves them right!\That girl!\Hold it!\What did you do that for?!\You... You can see me?\Who is this girl? response:	Where're her shoes?
context: Huh?\Ha-ha-ha! Serves them right!\That girl!\Hold it!\What did you do that for?!\You... You can see me?\Who is this girl?\Where're her shoes? response:	And a down jacket... when it's almost summer?
context: Ha-ha-ha! Serves them right!\That girl!\Hold it!\What did you do that for?!\You... You can see me?\Who is this girl?\Where're her shoes?\And a down jacket... when it's almost summer? response:	Let's go apologize. I'll go with you.
context: That girl!\Hold it!\What did you do that for?!\You... You can see me?\Who is this girl?\Where're her shoes?\And a down jacket... when it's almost summer?\Let's go apologize. I'll go with you. response:	None of your business!
context: Hold it!\What did you do that for?!\You... You can see me?\Who is this girl?\Where're her shoes?\And a down jacket... when it's almost summer?\Let's go apologize. I'll go with you.\None of your business! response:	What's the matter, Kagome?
context: What did you do that for?!\You... You can see me?\Who is this girl?\Where're her shoes?\And a down jacket... when it's almost summer?\Let's go apologize. I'll go with you.\None of your business!\What's the matter, Kagome? response:	Who were you talking to?
context: You... You can see me?\Who is this girl?\Where're her shoes?\And a down jacket... when it's almost summer?\Let's go apologize. I'll go with you.\None of your business!\What's the matter, Kagome?\Who were you talking to? response:	Huh?!
context: Who is this girl?\Where're her shoes?\And a down jacket... when it's almost summer?\Let's go apologize. I'll go with you.\None of your business!\What's the matter, Kagome?\Who were you talking to?\Huh?! response:	Gone... Who was she?
context: Where're her shoes?\And a down jacket... when it's almost summer?\Let's go apologize. I'll go with you.\None of your business!\What's the matter, Kagome?\Who were you talking to?\Huh?!\Gone... Who was she? response:	Myoga, isn't it finished?
context: And a down jacket... when it's almost summer?\Let's go apologize. I'll go with you.\None of your business!\What's the matter, Kagome?\Who were you talking to?\Huh?!\Gone... Who was she?\Myoga, isn't it finished? response:	Not yet.
context: Let's go apologize. I'll go with you.\None of your business!\What's the matter, Kagome?\Who were you talking to?\Huh?!\Gone... Who was she?\Myoga, isn't it finished?\Not yet. response:	Master Inuyasha, if you go out now, you'll be stung to death.
context: None of your business!\What's the matter, Kagome?\Who were you talking to?\Huh?!\Gone... Who was she?\Myoga, isn't it finished?\Not yet.\Master Inuyasha, if you go out now, you'll be stung to death. response:	That sheathe was cracked battling the Thunder Brothers.
context: What's the matter, Kagome?\Who were you talking to?\Huh?!\Gone... Who was she?\Myoga, isn't it finished?\Not yet.\Master Inuyasha, if you go out now, you'll be stung to death.\That sheathe was cracked battling the Thunder Brothers. response:	Let the steel wasps repair it with their special wax.
context: Who were you talking to?\Huh?!\Gone... Who was she?\Myoga, isn't it finished?\Not yet.\Master Inuyasha, if you go out now, you'll be stung to death.\That sheathe was cracked battling the Thunder Brothers.\Let the steel wasps repair it with their special wax. response:	Dang it... It's boring!
context: Huh?!\Gone... Who was she?\Myoga, isn't it finished?\Not yet.\Master Inuyasha, if you go out now, you'll be stung to death.\That sheathe was cracked battling the Thunder Brothers.\Let the steel wasps repair it with their special wax.\Dang it... It's boring! response:	Shut up!
context: Gone... Who was she?\Myoga, isn't it finished?\Not yet.\Master Inuyasha, if you go out now, you'll be stung to death.\That sheathe was cracked battling the Thunder Brothers.\Let the steel wasps repair it with their special wax.\Dang it... It's boring!\Shut up! response:	I came along because I thought Kagome would be here!
context: Myoga, isn't it finished?\Not yet.\Master Inuyasha, if you go out now, you'll be stung to death.\That sheathe was cracked battling the Thunder Brothers.\Let the steel wasps repair it with their special wax.\Dang it... It's boring!\Shut up!\I came along because I thought Kagome would be here! response:	Why must I be stuck alone with you?!
context: Not yet.\Master Inuyasha, if you go out now, you'll be stung to death.\That sheathe was cracked battling the Thunder Brothers.\Let the steel wasps repair it with their special wax.\Dang it... It's boring!\Shut up!\I came along because I thought Kagome would be here!\Why must I be stuck alone with you?! response:	That's my line!
context: Master Inuyasha, if you go out now, you'll be stung to death.\That sheathe was cracked battling the Thunder Brothers.\Let the steel wasps repair it with their special wax.\Dang it... It's boring!\Shut up!\I came along because I thought Kagome would be here!\Why must I be stuck alone with you?!\That's my line! response:	Arghh... Why am I alone with you?!
context: That sheathe was cracked battling the Thunder Brothers.\Let the steel wasps repair it with their special wax.\Dang it... It's boring!\Shut up!\I came along because I thought Kagome would be here!\Why must I be stuck alone with you?!\That's my line!\Arghh... Why am I alone with you?! response:	Don't I count at all?
context: Let the steel wasps repair it with their special wax.\Dang it... It's boring!\Shut up!\I came along because I thought Kagome would be here!\Why must I be stuck alone with you?!\That's my line!\Arghh... Why am I alone with you?!\Don't I count at all? response:	Huh?
context: Dang it... It's boring!\Shut up!\I came along because I thought Kagome would be here!\Why must I be stuck alone with you?!\That's my line!\Arghh... Why am I alone with you?!\Don't I count at all?\Huh? response:	That's...
context: Shut up!\I came along because I thought Kagome would be here!\Why must I be stuck alone with you?!\That's my line!\Arghh... Why am I alone with you?!\Don't I count at all?\Huh?\That's... response:	A goblin!
context: I came along because I thought Kagome would be here!\Why must I be stuck alone with you?!\That's my line!\Arghh... Why am I alone with you?!\Don't I count at all?\Huh?\That's...\A goblin! response:	Shippo... So are you!
context: Why must I be stuck alone with you?!\That's my line!\Arghh... Why am I alone with you?!\Don't I count at all?\Huh?\That's...\A goblin!\Shippo... So are you! response:	That's the Soul Piper.
context: That's my line!\Arghh... Why am I alone with you?!\Don't I count at all?\Huh?\That's...\A goblin!\Shippo... So are you!\That's the Soul Piper. response:	It was born from the souls of departed children.
context: Arghh... Why am I alone with you?!\Don't I count at all?\Huh?\That's...\A goblin!\Shippo... So are you!\That's the Soul Piper.\It was born from the souls of departed children. response:	When a child dies, the Soul Piper plays with that child...
context: Don't I count at all?\Huh?\That's...\A goblin!\Shippo... So are you!\That's the Soul Piper.\It was born from the souls of departed children.\When a child dies, the Soul Piper plays with that child... response:	until the soul is able to rest in peace.
context: Huh?\That's...\A goblin!\Shippo... So are you!\That's the Soul Piper.\It was born from the souls of departed children.\When a child dies, the Soul Piper plays with that child...\until the soul is able to rest in peace. response:	As long as its eyes are closed, it's a peaceful demon.
context: That's...\A goblin!\Shippo... So are you!\That's the Soul Piper.\It was born from the souls of departed children.\When a child dies, the Soul Piper plays with that child...\until the soul is able to rest in peace.\As long as its eyes are closed, it's a peaceful demon. response:	What?! Not when I've come back to this world!
context: A goblin!\Shippo... So are you!\That's the Soul Piper.\It was born from the souls of departed children.\When a child dies, the Soul Piper plays with that child...\until the soul is able to rest in peace.\As long as its eyes are closed, it's a peaceful demon.\What?! Not when I've come back to this world! response:	Jeepers! Why do I have to accompany you...
context: Shippo... So are you!\That's the Soul Piper.\It was born from the souls of departed children.\When a child dies, the Soul Piper plays with that child...\until the soul is able to rest in peace.\As long as its eyes are closed, it's a peaceful demon.\What?! Not when I've come back to this world!\Jeepers! Why do I have to accompany you... response:	to visit YOUR friend in the hospital?!
context: That's the Soul Piper.\It was born from the souls of departed children.\When a child dies, the Soul Piper plays with that child...\until the soul is able to rest in peace.\As long as its eyes are closed, it's a peaceful demon.\What?! Not when I've come back to this world!\Jeepers! Why do I have to accompany you...\to visit YOUR friend in the hospital?! response:	Because the hospital's in the next town...
context: It was born from the souls of departed children.\When a child dies, the Soul Piper plays with that child...\until the soul is able to rest in peace.\As long as its eyes are closed, it's a peaceful demon.\What?! Not when I've come back to this world!\Jeepers! Why do I have to accompany you...\to visit YOUR friend in the hospital?!\Because the hospital's in the next town... response:	and Mom's too busy to take me today.
context: When a child dies, the Soul Piper plays with that child...\until the soul is able to rest in peace.\As long as its eyes are closed, it's a peaceful demon.\What?! Not when I've come back to this world!\Jeepers! Why do I have to accompany you...\to visit YOUR friend in the hospital?!\Because the hospital's in the next town...\and Mom's too busy to take me today. response:	Cripes! Everyone's interfering with my studies!
context: until the soul is able to rest in peace.\As long as its eyes are closed, it's a peaceful demon.\What?! Not when I've come back to this world!\Jeepers! Why do I have to accompany you...\to visit YOUR friend in the hospital?!\Because the hospital's in the next town...\and Mom's too busy to take me today.\Cripes! Everyone's interfering with my studies! response:	Sis...
context: As long as its eyes are closed, it's a peaceful demon.\What?! Not when I've come back to this world!\Jeepers! Why do I have to accompany you...\to visit YOUR friend in the hospital?!\Because the hospital's in the next town...\and Mom's too busy to take me today.\Cripes! Everyone's interfering with my studies!\Sis... response:	What?
context: What?! Not when I've come back to this world!\Jeepers! Why do I have to accompany you...\to visit YOUR friend in the hospital?!\Because the hospital's in the next town...\and Mom's too busy to take me today.\Cripes! Everyone's interfering with my studies!\Sis...\What? response:	Is there such a thing as an evil spirit?
context: Jeepers! Why do I have to accompany you...\to visit YOUR friend in the hospital?!\Because the hospital's in the next town...\and Mom's too busy to take me today.\Cripes! Everyone's interfering with my studies!\Sis...\What?\Is there such a thing as an evil spirit? response:	Huh?
context: to visit YOUR friend in the hospital?!\Because the hospital's in the next town...\and Mom's too busy to take me today.\Cripes! Everyone's interfering with my studies!\Sis...\What?\Is there such a thing as an evil spirit?\Huh? response:	Sota, thank you for coming so often.
context: Because the hospital's in the next town...\and Mom's too busy to take me today.\Cripes! Everyone's interfering with my studies!\Sis...\What?\Is there such a thing as an evil spirit?\Huh?\Sota, thank you for coming so often. response:	Aunty, how is Satoru?
context: and Mom's too busy to take me today.\Cripes! Everyone's interfering with my studies!\Sis...\What?\Is there such a thing as an evil spirit?\Huh?\Sota, thank you for coming so often.\Aunty, how is Satoru? response:	Physically, he's healed.
context: Cripes! Everyone's interfering with my studies!\Sis...\What?\Is there such a thing as an evil spirit?\Huh?\Sota, thank you for coming so often.\Aunty, how is Satoru?\Physically, he's healed. response:	But he's still unconscious.
context: Sis...\What?\Is there such a thing as an evil spirit?\Huh?\Sota, thank you for coming so often.\Aunty, how is Satoru?\Physically, he's healed.\But he's still unconscious. response:	Here...
context: What?\Is there such a thing as an evil spirit?\Huh?\Sota, thank you for coming so often.\Aunty, how is Satoru?\Physically, he's healed.\But he's still unconscious.\Here... response:	Thank you so much for worrying about Satoru.
context: Is there such a thing as an evil spirit?\Huh?\Sota, thank you for coming so often.\Aunty, how is Satoru?\Physically, he's healed.\But he's still unconscious.\Here...\Thank you so much for worrying about Satoru. response:	Burn scars?
context: Huh?\Sota, thank you for coming so often.\Aunty, how is Satoru?\Physically, he's healed.\But he's still unconscious.\Here...\Thank you so much for worrying about Satoru.\Burn scars? response:	Oh these...
context: Sota, thank you for coming so often.\Aunty, how is Satoru?\Physically, he's healed.\But he's still unconscious.\Here...\Thank you so much for worrying about Satoru.\Burn scars?\Oh these... response:	I got them from the fire six months ago.
context: Aunty, how is Satoru?\Physically, he's healed.\But he's still unconscious.\Here...\Thank you so much for worrying about Satoru.\Burn scars?\Oh these...\I got them from the fire six months ago. response:	Oh, I'm sorry!
context: Physically, he's healed.\But he's still unconscious.\Here...\Thank you so much for worrying about Satoru.\Burn scars?\Oh these...\I got them from the fire six months ago.\Oh, I'm sorry! response:	That's how Satoru...
context: But he's still unconscious.\Here...\Thank you so much for worrying about Satoru.\Burn scars?\Oh these...\I got them from the fire six months ago.\Oh, I'm sorry!\That's how Satoru... response:	Huh?!
context: Here...\Thank you so much for worrying about Satoru.\Burn scars?\Oh these...\I got them from the fire six months ago.\Oh, I'm sorry!\That's how Satoru...\Huh?! response:	The girl at the park...!
context: Thank you so much for worrying about Satoru.\Burn scars?\Oh these...\I got them from the fire six months ago.\Oh, I'm sorry!\That's how Satoru...\Huh?!\The girl at the park...! response:	She disappeared!
context: Burn scars?\Oh these...\I got them from the fire six months ago.\Oh, I'm sorry!\That's how Satoru...\Huh?!\The girl at the park...!\She disappeared! response:	Again... Why must this happen?
context: Oh these...\I got them from the fire six months ago.\Oh, I'm sorry!\That's how Satoru...\Huh?!\The girl at the park...!\She disappeared!\Again... Why must this happen? response:	Who is she anyway?
context: I got them from the fire six months ago.\Oh, I'm sorry!\That's how Satoru...\Huh?!\The girl at the park...!\She disappeared!\Again... Why must this happen?\Who is she anyway? response:	I can't ignore this.
context: Oh, I'm sorry!\That's how Satoru...\Huh?!\The girl at the park...!\She disappeared!\Again... Why must this happen?\Who is she anyway?\I can't ignore this. response:	Darn, foiled again!
context: That's how Satoru...\Huh?!\The girl at the park...!\She disappeared!\Again... Why must this happen?\Who is she anyway?\I can't ignore this.\Darn, foiled again! response:	You mentioned an evil spirit. What did you mean, Sota?
context: Huh?!\The girl at the park...!\She disappeared!\Again... Why must this happen?\Who is she anyway?\I can't ignore this.\Darn, foiled again!\You mentioned an evil spirit. What did you mean, Sota? response:	I thought maybe an evil spirit was after Satoru...
context: The girl at the park...!\She disappeared!\Again... Why must this happen?\Who is she anyway?\I can't ignore this.\Darn, foiled again!\You mentioned an evil spirit. What did you mean, Sota?\I thought maybe an evil spirit was after Satoru... response:	Satoru has been in a coma since the fire six months ago.
context: She disappeared!\Again... Why must this happen?\Who is she anyway?\I can't ignore this.\Darn, foiled again!\You mentioned an evil spirit. What did you mean, Sota?\I thought maybe an evil spirit was after Satoru...\Satoru has been in a coma since the fire six months ago. response:	At first, all my classmates went to visit him at the hospital.
context: Again... Why must this happen?\Who is she anyway?\I can't ignore this.\Darn, foiled again!\You mentioned an evil spirit. What did you mean, Sota?\I thought maybe an evil spirit was after Satoru...\Satoru has been in a coma since the fire six months ago.\At first, all my classmates went to visit him at the hospital. response:	But...
context: Who is she anyway?\I can't ignore this.\Darn, foiled again!\You mentioned an evil spirit. What did you mean, Sota?\I thought maybe an evil spirit was after Satoru...\Satoru has been in a coma since the fire six months ago.\At first, all my classmates went to visit him at the hospital.\But... response:	weird things happened on their way home...
context: I can't ignore this.\Darn, foiled again!\You mentioned an evil spirit. What did you mean, Sota?\I thought maybe an evil spirit was after Satoru...\Satoru has been in a coma since the fire six months ago.\At first, all my classmates went to visit him at the hospital.\But...\weird things happened on their way home... response:	like falling down the stairs...
context: Darn, foiled again!\You mentioned an evil spirit. What did you mean, Sota?\I thought maybe an evil spirit was after Satoru...\Satoru has been in a coma since the fire six months ago.\At first, all my classmates went to visit him at the hospital.\But...\weird things happened on their way home...\like falling down the stairs... response:	or barely missing getting hit by a car...
context: You mentioned an evil spirit. What did you mean, Sota?\I thought maybe an evil spirit was after Satoru...\Satoru has been in a coma since the fire six months ago.\At first, all my classmates went to visit him at the hospital.\But...\weird things happened on their way home...\like falling down the stairs...\or barely missing getting hit by a car... response:	After these things kept happening, the kids stayed away.
context: I thought maybe an evil spirit was after Satoru...\Satoru has been in a coma since the fire six months ago.\At first, all my classmates went to visit him at the hospital.\But...\weird things happened on their way home...\like falling down the stairs...\or barely missing getting hit by a car...\After these things kept happening, the kids stayed away. response:	In that fire six months ago, she died...
context: Satoru has been in a coma since the fire six months ago.\At first, all my classmates went to visit him at the hospital.\But...\weird things happened on their way home...\like falling down the stairs...\or barely missing getting hit by a car...\After these things kept happening, the kids stayed away.\In that fire six months ago, she died... response:	Satoru's older sister.
context: At first, all my classmates went to visit him at the hospital.\But...\weird things happened on their way home...\like falling down the stairs...\or barely missing getting hit by a car...\After these things kept happening, the kids stayed away.\In that fire six months ago, she died...\Satoru's older sister. response:	Her name was Mayu.
context: But...\weird things happened on their way home...\like falling down the stairs...\or barely missing getting hit by a car...\After these things kept happening, the kids stayed away.\In that fire six months ago, she died...\Satoru's older sister.\Her name was Mayu. response:	- Is that the place? - Uh-huh...
context: weird things happened on their way home...\like falling down the stairs...\or barely missing getting hit by a car...\After these things kept happening, the kids stayed away.\In that fire six months ago, she died...\Satoru's older sister.\Her name was Mayu.\- Is that the place? - Uh-huh... response:	Whenever they tried to clean up after the fire...
context: like falling down the stairs...\or barely missing getting hit by a car...\After these things kept happening, the kids stayed away.\In that fire six months ago, she died...\Satoru's older sister.\Her name was Mayu.\- Is that the place? - Uh-huh...\Whenever they tried to clean up after the fire... response:	an accident would happen.
context: or barely missing getting hit by a car...\After these things kept happening, the kids stayed away.\In that fire six months ago, she died...\Satoru's older sister.\Her name was Mayu.\- Is that the place? - Uh-huh...\Whenever they tried to clean up after the fire...\an accident would happen. response:	So it's been like that for six months now.
context: After these things kept happening, the kids stayed away.\In that fire six months ago, she died...\Satoru's older sister.\Her name was Mayu.\- Is that the place? - Uh-huh...\Whenever they tried to clean up after the fire...\an accident would happen.\So it's been like that for six months now. response:	Watch out!
context: In that fire six months ago, she died...\Satoru's older sister.\Her name was Mayu.\- Is that the place? - Uh-huh...\Whenever they tried to clean up after the fire...\an accident would happen.\So it's been like that for six months now.\Watch out! response:	I knew it! There is an evil spirit!?
context: Satoru's older sister.\Her name was Mayu.\- Is that the place? - Uh-huh...\Whenever they tried to clean up after the fire...\an accident would happen.\So it's been like that for six months now.\Watch out!\I knew it! There is an evil spirit!? response:	Sota!
context: Her name was Mayu.\- Is that the place? - Uh-huh...\Whenever they tried to clean up after the fire...\an accident would happen.\So it's been like that for six months now.\Watch out!\I knew it! There is an evil spirit!?\Sota! response:	Huh?! Watch out!
context: - Is that the place? - Uh-huh...\Whenever they tried to clean up after the fire...\an accident would happen.\So it's been like that for six months now.\Watch out!\I knew it! There is an evil spirit!?\Sota!\Huh?! Watch out! response:	Stupid! I'm already dead.
context: Whenever they tried to clean up after the fire...\an accident would happen.\So it's been like that for six months now.\Watch out!\I knew it! There is an evil spirit!?\Sota!\Huh?! Watch out!\Stupid! I'm already dead. response:	You're Mayu, aren't you?
context: an accident would happen.\So it's been like that for six months now.\Watch out!\I knew it! There is an evil spirit!?\Sota!\Huh?! Watch out!\Stupid! I'm already dead.\You're Mayu, aren't you? response:	Why do you do these things?
context: So it's been like that for six months now.\Watch out!\I knew it! There is an evil spirit!?\Sota!\Huh?! Watch out!\Stupid! I'm already dead.\You're Mayu, aren't you?\Why do you do these things? response:	Aren't you Satoru's sister?
context: Watch out!\I knew it! There is an evil spirit!?\Sota!\Huh?! Watch out!\Stupid! I'm already dead.\You're Mayu, aren't you?\Why do you do these things?\Aren't you Satoru's sister? response:	Satoru, ! I'll kill him!
context: I knew it! There is an evil spirit!?\Sota!\Huh?! Watch out!\Stupid! I'm already dead.\You're Mayu, aren't you?\Why do you do these things?\Aren't you Satoru's sister?\Satoru, ! I'll kill him! response:	Mom hated me!
context: Sota!\Huh?! Watch out!\Stupid! I'm already dead.\You're Mayu, aren't you?\Why do you do these things?\Aren't you Satoru's sister?\Satoru, ! I'll kill him!\Mom hated me! response:	That's why she abandoned me!
context: Huh?! Watch out!\Stupid! I'm already dead.\You're Mayu, aren't you?\Why do you do these things?\Aren't you Satoru's sister?\Satoru, ! I'll kill him!\Mom hated me!\That's why she abandoned me! response:	She never wanted me!
context: Stupid! I'm already dead.\You're Mayu, aren't you?\Why do you do these things?\Aren't you Satoru's sister?\Satoru, ! I'll kill him!\Mom hated me!\That's why she abandoned me!\She never wanted me! response:	Mayu... She seems so nice. Don't make her unhappy anymore.
