context: I'll ask once more. response:	Why did you call me by the name of the Jealous Witch?
context: Felt!\Were you stalling me?\Are you working with her?!\N-No!\Hey... W-Wait a minute!\You have it all wrong! I'm...\Damn it!\Could someone just treat me a little nicer? response:	Why was I even...
context: Were you stalling me?\Are you working with her?!\N-No!\Hey... W-Wait a minute!\You have it all wrong! I'm...\Damn it!\Could someone just treat me a little nicer?\Why was I even... response:	summoned to this world?
context: Are you working with her?!\N-No!\Hey... W-Wait a minute!\You have it all wrong! I'm...\Damn it!\Could someone just treat me a little nicer?\Why was I even...\summoned to this world? response:	What are you babbling about?
context: N-No!\Hey... W-Wait a minute!\You have it all wrong! I'm...\Damn it!\Could someone just treat me a little nicer?\Why was I even...\summoned to this world?\What are you babbling about? response:	If you don't wanna get hurt, cough up whatever you've got!
context: Hey... W-Wait a minute!\You have it all wrong! I'm...\Damn it!\Could someone just treat me a little nicer?\Why was I even...\summoned to this world?\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got! response:	Would you stop it already?!
context: You have it all wrong! I'm...\Damn it!\Could someone just treat me a little nicer?\Why was I even...\summoned to this world?\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\Would you stop it already?! response:	No one is this damn persistent!
context: Damn it!\Could someone just treat me a little nicer?\Why was I even...\summoned to this world?\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\Would you stop it already?!\No one is this damn persistent! response:	You think you can mouth off to us?
context: Could someone just treat me a little nicer?\Why was I even...\summoned to this world?\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\Would you stop it already?!\No one is this damn persistent!\You think you can mouth off to us? response:	You're in my way! I have somewhere I have to go!
context: Why was I even...\summoned to this world?\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\Would you stop it already?!\No one is this damn persistent!\You think you can mouth off to us?\You're in my way! I have somewhere I have to go! response:	Man, now you've done it.
context: summoned to this world?\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\Would you stop it already?!\No one is this damn persistent!\You think you can mouth off to us?\You're in my way! I have somewhere I have to go!\Man, now you've done it. response:	You stabbed him?
context: What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\Would you stop it already?!\No one is this damn persistent!\You think you can mouth off to us?\You're in my way! I have somewhere I have to go!\Man, now you've done it.\You stabbed him? response:	You've gotta be kidding me...
context: If you don't wanna get hurt, cough up whatever you've got!\Would you stop it already?!\No one is this damn persistent!\You think you can mouth off to us?\You're in my way! I have somewhere I have to go!\Man, now you've done it.\You stabbed him?\You've gotta be kidding me... response:	It hurts... It hurts...
context: Would you stop it already?!\No one is this damn persistent!\You think you can mouth off to us?\You're in my way! I have somewhere I have to go!\Man, now you've done it.\You stabbed him?\You've gotta be kidding me...\It hurts... It hurts... response:	N-No! He walked right into my blade!
context: No one is this damn persistent!\You think you can mouth off to us?\You're in my way! I have somewhere I have to go!\Man, now you've done it.\You stabbed him?\You've gotta be kidding me...\It hurts... It hurts...\N-No! He walked right into my blade! response:	What are you doing?
context: You think you can mouth off to us?\You're in my way! I have somewhere I have to go!\Man, now you've done it.\You stabbed him?\You've gotta be kidding me...\It hurts... It hurts...\N-No! He walked right into my blade!\What are you doing? response:	Well, no sense in wasting it.
context: You're in my way! I have somewhere I have to go!\Man, now you've done it.\You stabbed him?\You've gotta be kidding me...\It hurts... It hurts...\N-No! He walked right into my blade!\What are you doing?\Well, no sense in wasting it. response:	Take anything on him that's worth selling!
context: Man, now you've done it.\You stabbed him?\You've gotta be kidding me...\It hurts... It hurts...\N-No! He walked right into my blade!\What are you doing?\Well, no sense in wasting it.\Take anything on him that's worth selling! response:	Huh?
context: You stabbed him?\You've gotta be kidding me...\It hurts... It hurts...\N-No! He walked right into my blade!\What are you doing?\Well, no sense in wasting it.\Take anything on him that's worth selling!\Huh? response:	Whoa, wait! The guards will be here any second!
context: You've gotta be kidding me...\It hurts... It hurts...\N-No! He walked right into my blade!\What are you doing?\Well, no sense in wasting it.\Take anything on him that's worth selling!\Huh?\Whoa, wait! The guards will be here any second! response:	But Old Man Rom ate those.
context: It hurts... It hurts...\N-No! He walked right into my blade!\What are you doing?\Well, no sense in wasting it.\Take anything on him that's worth selling!\Huh?\Whoa, wait! The guards will be here any second!\But Old Man Rom ate those. response:	How?
context: N-No! He walked right into my blade!\What are you doing?\Well, no sense in wasting it.\Take anything on him that's worth selling!\Huh?\Whoa, wait! The guards will be here any second!\But Old Man Rom ate those.\How? response:	C-Could... this be...
context: What are you doing?\Well, no sense in wasting it.\Take anything on him that's worth selling!\Huh?\Whoa, wait! The guards will be here any second!\But Old Man Rom ate those.\How?\C-Could... this be... response:	Run! We're in trouble!
context: Well, no sense in wasting it.\Take anything on him that's worth selling!\Huh?\Whoa, wait! The guards will be here any second!\But Old Man Rom ate those.\How?\C-Could... this be...\Run! We're in trouble! response:	Well, boy? You want this appa?
context: Take anything on him that's worth selling!\Huh?\Whoa, wait! The guards will be here any second!\But Old Man Rom ate those.\How?\C-Could... this be...\Run! We're in trouble!\Well, boy? You want this appa? response:	Hey, mister...
context: Huh?\Whoa, wait! The guards will be here any second!\But Old Man Rom ate those.\How?\C-Could... this be...\Run! We're in trouble!\Well, boy? You want this appa?\Hey, mister... response:	Huh?
context: Whoa, wait! The guards will be here any second!\But Old Man Rom ate those.\How?\C-Could... this be...\Run! We're in trouble!\Well, boy? You want this appa?\Hey, mister...\Huh? response:	How many times have you seen me now?
context: But Old Man Rom ate those.\How?\C-Could... this be...\Run! We're in trouble!\Well, boy? You want this appa?\Hey, mister...\Huh?\How many times have you seen me now? response:	What do you mean? I've never seen you before.
context: How?\C-Could... this be...\Run! We're in trouble!\Well, boy? You want this appa?\Hey, mister...\Huh?\How many times have you seen me now?\What do you mean? I've never seen you before. response:	Well? Are you buying it or not?
context: C-Could... this be...\Run! We're in trouble!\Well, boy? You want this appa?\Hey, mister...\Huh?\How many times have you seen me now?\What do you mean? I've never seen you before.\Well? Are you buying it or not? response:	Sorry, but I'm broke beyond compare!
context: Run! We're in trouble!\Well, boy? You want this appa?\Hey, mister...\Huh?\How many times have you seen me now?\What do you mean? I've never seen you before.\Well? Are you buying it or not?\Sorry, but I'm broke beyond compare! response:	Get the hell outta here!
context: Well, boy? You want this appa?\Hey, mister...\Huh?\How many times have you seen me now?\What do you mean? I've never seen you before.\Well? Are you buying it or not?\Sorry, but I'm broke beyond compare!\Get the hell outta here! response:	Wallet, cell phone, corn potage snack, cup noodles.
context: Hey, mister...\Huh?\How many times have you seen me now?\What do you mean? I've never seen you before.\Well? Are you buying it or not?\Sorry, but I'm broke beyond compare!\Get the hell outta here!\Wallet, cell phone, corn potage snack, cup noodles. response:	My tracksuit and sneakers are intact, too.
context: Huh?\How many times have you seen me now?\What do you mean? I've never seen you before.\Well? Are you buying it or not?\Sorry, but I'm broke beyond compare!\Get the hell outta here!\Wallet, cell phone, corn potage snack, cup noodles.\My tracksuit and sneakers are intact, too. response:	And naturally...
context: How many times have you seen me now?\What do you mean? I've never seen you before.\Well? Are you buying it or not?\Sorry, but I'm broke beyond compare!\Get the hell outta here!\Wallet, cell phone, corn potage snack, cup noodles.\My tracksuit and sneakers are intact, too.\And naturally... response:	Thank god. A wound to the back is a warrior's greatest shame.
context: What do you mean? I've never seen you before.\Well? Are you buying it or not?\Sorry, but I'm broke beyond compare!\Get the hell outta here!\Wallet, cell phone, corn potage snack, cup noodles.\My tracksuit and sneakers are intact, too.\And naturally...\Thank god. A wound to the back is a warrior's greatest shame. response:	Well, with so much circumstantial evidence, there's no denying it.
context: Well? Are you buying it or not?\Sorry, but I'm broke beyond compare!\Get the hell outta here!\Wallet, cell phone, corn potage snack, cup noodles.\My tracksuit and sneakers are intact, too.\And naturally...\Thank god. A wound to the back is a warrior's greatest shame.\Well, with so much circumstantial evidence, there's no denying it. response:	It's kinda hard to believe, but this has to be...
context: Sorry, but I'm broke beyond compare!\Get the hell outta here!\Wallet, cell phone, corn potage snack, cup noodles.\My tracksuit and sneakers are intact, too.\And naturally...\Thank god. A wound to the back is a warrior's greatest shame.\Well, with so much circumstantial evidence, there's no denying it.\It's kinda hard to believe, but this has to be... response:	A time leap.
context: Get the hell outta here!\Wallet, cell phone, corn potage snack, cup noodles.\My tracksuit and sneakers are intact, too.\And naturally...\Thank god. A wound to the back is a warrior's greatest shame.\Well, with so much circumstantial evidence, there's no denying it.\It's kinda hard to believe, but this has to be...\A time leap. response:	And each time, I return to my initial state.
context: Wallet, cell phone, corn potage snack, cup noodles.\My tracksuit and sneakers are intact, too.\And naturally...\Thank god. A wound to the back is a warrior's greatest shame.\Well, with so much circumstantial evidence, there's no denying it.\It's kinda hard to believe, but this has to be...\A time leap.\And each time, I return to my initial state. response:	I'll call it
context: My tracksuit and sneakers are intact, too.\And naturally...\Thank god. A wound to the back is a warrior's greatest shame.\Well, with so much circumstantial evidence, there's no denying it.\It's kinda hard to believe, but this has to be...\A time leap.\And each time, I return to my initial state.\I'll call it response:	Return by Death.
context: And naturally...\Thank god. A wound to the back is a warrior's greatest shame.\Well, with so much circumstantial evidence, there's no denying it.\It's kinda hard to believe, but this has to be...\A time leap.\And each time, I return to my initial state.\I'll call it\Return by Death. response:	I actually get a time-leap ability, and it only activates when I die.
context: Thank god. A wound to the back is a warrior's greatest shame.\Well, with so much circumstantial evidence, there's no denying it.\It's kinda hard to believe, but this has to be...\A time leap.\And each time, I return to my initial state.\I'll call it\Return by Death.\I actually get a time-leap ability, and it only activates when I die. response:	The precondition being pitiful is so typical.
context: Well, with so much circumstantial evidence, there's no denying it.\It's kinda hard to believe, but this has to be...\A time leap.\And each time, I return to my initial state.\I'll call it\Return by Death.\I actually get a time-leap ability, and it only activates when I die.\The precondition being pitiful is so typical. response:	If I've gone back in time, Satella hasn't helped me in this fourth life.
context: It's kinda hard to believe, but this has to be...\A time leap.\And each time, I return to my initial state.\I'll call it\Return by Death.\I actually get a time-leap ability, and it only activates when I die.\The precondition being pitiful is so typical.\If I've gone back in time, Satella hasn't helped me in this fourth life. response:	Meaning the debt I owed her for saving me is gone.
context: A time leap.\And each time, I return to my initial state.\I'll call it\Return by Death.\I actually get a time-leap ability, and it only activates when I die.\The precondition being pitiful is so typical.\If I've gone back in time, Satella hasn't helped me in this fourth life.\Meaning the debt I owed her for saving me is gone. response:	In that case, I should forget everything, sell this,
context: And each time, I return to my initial state.\I'll call it\Return by Death.\I actually get a time-leap ability, and it only activates when I die.\The precondition being pitiful is so typical.\If I've gone back in time, Satella hasn't helped me in this fourth life.\Meaning the debt I owed her for saving me is gone.\In that case, I should forget everything, sell this, response:	save some funds, and use my knowledge of the modern world to live in luxury!
context: I'll call it\Return by Death.\I actually get a time-leap ability, and it only activates when I die.\The precondition being pitiful is so typical.\If I've gone back in time, Satella hasn't helped me in this fourth life.\Meaning the debt I owed her for saving me is gone.\In that case, I should forget everything, sell this,\save some funds, and use my knowledge of the modern world to live in luxury! response:	My dream is taking shape before my eyes!
context: Return by Death.\I actually get a time-leap ability, and it only activates when I die.\The precondition being pitiful is so typical.\If I've gone back in time, Satella hasn't helped me in this fourth life.\Meaning the debt I owed her for saving me is gone.\In that case, I should forget everything, sell this,\save some funds, and use my knowledge of the modern world to live in luxury!\My dream is taking shape before my eyes! response:	Right, mister?
context: I actually get a time-leap ability, and it only activates when I die.\The precondition being pitiful is so typical.\If I've gone back in time, Satella hasn't helped me in this fourth life.\Meaning the debt I owed her for saving me is gone.\In that case, I should forget everything, sell this,\save some funds, and use my knowledge of the modern world to live in luxury!\My dream is taking shape before my eyes!\Right, mister? response:	Wh-Why are you asking me?
context: The precondition being pitiful is so typical.\If I've gone back in time, Satella hasn't helped me in this fourth life.\Meaning the debt I owed her for saving me is gone.\In that case, I should forget everything, sell this,\save some funds, and use my knowledge of the modern world to live in luxury!\My dream is taking shape before my eyes!\Right, mister?\Wh-Why are you asking me? response:	I have no idea what you're talking about.
context: If I've gone back in time, Satella hasn't helped me in this fourth life.\Meaning the debt I owed her for saving me is gone.\In that case, I should forget everything, sell this,\save some funds, and use my knowledge of the modern world to live in luxury!\My dream is taking shape before my eyes!\Right, mister?\Wh-Why are you asking me?\I have no idea what you're talking about. response:	Aw, that's cold...
context: Meaning the debt I owed her for saving me is gone.\In that case, I should forget everything, sell this,\save some funds, and use my knowledge of the modern world to live in luxury!\My dream is taking shape before my eyes!\Right, mister?\Wh-Why are you asking me?\I have no idea what you're talking about.\Aw, that's cold... response:	I don't wanna get caught up in other people's problems.
context: In that case, I should forget everything, sell this,\save some funds, and use my knowledge of the modern world to live in luxury!\My dream is taking shape before my eyes!\Right, mister?\Wh-Why are you asking me?\I have no idea what you're talking about.\Aw, that's cold...\I don't wanna get caught up in other people's problems. response:	Don't talk to me.
context: save some funds, and use my knowledge of the modern world to live in luxury!\My dream is taking shape before my eyes!\Right, mister?\Wh-Why are you asking me?\I have no idea what you're talking about.\Aw, that's cold...\I don't wanna get caught up in other people's problems.\Don't talk to me. response:	Well, I guess Let sleeping dogs lie, applies in any world.
context: My dream is taking shape before my eyes!\Right, mister?\Wh-Why are you asking me?\I have no idea what you're talking about.\Aw, that's cold...\I don't wanna get caught up in other people's problems.\Don't talk to me.\Well, I guess Let sleeping dogs lie, applies in any world. response:	But still, there are always softies
context: Right, mister?\Wh-Why are you asking me?\I have no idea what you're talking about.\Aw, that's cold...\I don't wanna get caught up in other people's problems.\Don't talk to me.\Well, I guess Let sleeping dogs lie, applies in any world.\But still, there are always softies response:	who help others, even when they really can't afford to...
context: Wh-Why are you asking me?\I have no idea what you're talking about.\Aw, that's cold...\I don't wanna get caught up in other people's problems.\Don't talk to me.\Well, I guess Let sleeping dogs lie, applies in any world.\But still, there are always softies\who help others, even when they really can't afford to... response:	She'd just had something precious stolen.
context: I have no idea what you're talking about.\Aw, that's cold...\I don't wanna get caught up in other people's problems.\Don't talk to me.\Well, I guess Let sleeping dogs lie, applies in any world.\But still, there are always softies\who help others, even when they really can't afford to...\She'd just had something precious stolen. response:	She didn't have time for me.
context: Aw, that's cold...\I don't wanna get caught up in other people's problems.\Don't talk to me.\Well, I guess Let sleeping dogs lie, applies in any world.\But still, there are always softies\who help others, even when they really can't afford to...\She'd just had something precious stolen.\She didn't have time for me. response:	Yet she saved some useless stranger,
context: I don't wanna get caught up in other people's problems.\Don't talk to me.\Well, I guess Let sleeping dogs lie, applies in any world.\But still, there are always softies\who help others, even when they really can't afford to...\She'd just had something precious stolen.\She didn't have time for me.\Yet she saved some useless stranger, response:	and even healed him.
context: Don't talk to me.\Well, I guess Let sleeping dogs lie, applies in any world.\But still, there are always softies\who help others, even when they really can't afford to...\She'd just had something precious stolen.\She didn't have time for me.\Yet she saved some useless stranger,\and even healed him. response:	Then she let that useless stranger be pleased with himself...
context: Well, I guess Let sleeping dogs lie, applies in any world.\But still, there are always softies\who help others, even when they really can't afford to...\She'd just had something precious stolen.\She didn't have time for me.\Yet she saved some useless stranger,\and even healed him.\Then she let that useless stranger be pleased with himself... response:	Even if Satella doesn't know me,
context: But still, there are always softies\who help others, even when they really can't afford to...\She'd just had something precious stolen.\She didn't have time for me.\Yet she saved some useless stranger,\and even healed him.\Then she let that useless stranger be pleased with himself...\Even if Satella doesn't know me, response:	Felt still stole her insignia. And Elsa will...
context: who help others, even when they really can't afford to...\She'd just had something precious stolen.\She didn't have time for me.\Yet she saved some useless stranger,\and even healed him.\Then she let that useless stranger be pleased with himself...\Even if Satella doesn't know me,\Felt still stole her insignia. And Elsa will... response:	No matter how many times I repeat this, that won't change.
context: She'd just had something precious stolen.\She didn't have time for me.\Yet she saved some useless stranger,\and even healed him.\Then she let that useless stranger be pleased with himself...\Even if Satella doesn't know me,\Felt still stole her insignia. And Elsa will...\No matter how many times I repeat this, that won't change. response:	They say history repeats itself, right?
context: She didn't have time for me.\Yet she saved some useless stranger,\and even healed him.\Then she let that useless stranger be pleased with himself...\Even if Satella doesn't know me,\Felt still stole her insignia. And Elsa will...\No matter how many times I repeat this, that won't change.\They say history repeats itself, right? response:	Yeah.
context: Yet she saved some useless stranger,\and even healed him.\Then she let that useless stranger be pleased with himself...\Even if Satella doesn't know me,\Felt still stole her insignia. And Elsa will...\No matter how many times I repeat this, that won't change.\They say history repeats itself, right?\Yeah. response:	If I have knowledge that people I used to know will be killed,
context: and even healed him.\Then she let that useless stranger be pleased with himself...\Even if Satella doesn't know me,\Felt still stole her insignia. And Elsa will...\No matter how many times I repeat this, that won't change.\They say history repeats itself, right?\Yeah.\If I have knowledge that people I used to know will be killed, response:	I can't just ignore it!
context: Then she let that useless stranger be pleased with himself...\Even if Satella doesn't know me,\Felt still stole her insignia. And Elsa will...\No matter how many times I repeat this, that won't change.\They say history repeats itself, right?\Yeah.\If I have knowledge that people I used to know will be killed,\I can't just ignore it! response:	Hey, mister...
context: Even if Satella doesn't know me,\Felt still stole her insignia. And Elsa will...\No matter how many times I repeat this, that won't change.\They say history repeats itself, right?\Yeah.\If I have knowledge that people I used to know will be killed,\I can't just ignore it!\Hey, mister... response:	What do you want, broke kid?
context: Felt still stole her insignia. And Elsa will...\No matter how many times I repeat this, that won't change.\They say history repeats itself, right?\Yeah.\If I have knowledge that people I used to know will be killed,\I can't just ignore it!\Hey, mister...\What do you want, broke kid? response:	There's something I want to ask you...
context: No matter how many times I repeat this, that won't change.\They say history repeats itself, right?\Yeah.\If I have knowledge that people I used to know will be killed,\I can't just ignore it!\Hey, mister...\What do you want, broke kid?\There's something I want to ask you... response:	Have there been any pickpocketing incidents around here?
context: They say history repeats itself, right?\Yeah.\If I have knowledge that people I used to know will be killed,\I can't just ignore it!\Hey, mister...\What do you want, broke kid?\There's something I want to ask you...\Have there been any pickpocketing incidents around here? response:	Asking questions, without buying anything? You really do have guts.
context: Yeah.\If I have knowledge that people I used to know will be killed,\I can't just ignore it!\Hey, mister...\What do you want, broke kid?\There's something I want to ask you...\Have there been any pickpocketing incidents around here?\Asking questions, without buying anything? You really do have guts. response:	Incidents like that aren't uncommon at all.
context: If I have knowledge that people I used to know will be killed,\I can't just ignore it!\Hey, mister...\What do you want, broke kid?\There's something I want to ask you...\Have there been any pickpocketing incidents around here?\Asking questions, without buying anything? You really do have guts.\Incidents like that aren't uncommon at all. response:	Though, that last one was unusual...
context: I can't just ignore it!\Hey, mister...\What do you want, broke kid?\There's something I want to ask you...\Have there been any pickpocketing incidents around here?\Asking questions, without buying anything? You really do have guts.\Incidents like that aren't uncommon at all.\Though, that last one was unusual... response:	They threw some magic around in the street a few times.
context: Hey, mister...\What do you want, broke kid?\There's something I want to ask you...\Have there been any pickpocketing incidents around here?\Asking questions, without buying anything? You really do have guts.\Incidents like that aren't uncommon at all.\Though, that last one was unusual...\They threw some magic around in the street a few times. response:	Things that looked like icicles flew around and lodged in the wall.
context: What do you want, broke kid?\There's something I want to ask you...\Have there been any pickpocketing incidents around here?\Asking questions, without buying anything? You really do have guts.\Incidents like that aren't uncommon at all.\Though, that last one was unusual...\They threw some magic around in the street a few times.\Things that looked like icicles flew around and lodged in the wall. response:	But they disappeared fast.
context: There's something I want to ask you...\Have there been any pickpocketing incidents around here?\Asking questions, without buying anything? You really do have guts.\Incidents like that aren't uncommon at all.\Though, that last one was unusual...\They threw some magic around in the street a few times.\Things that looked like icicles flew around and lodged in the wall.\But they disappeared fast. response:	I'm too late?
context: Have there been any pickpocketing incidents around here?\Asking questions, without buying anything? You really do have guts.\Incidents like that aren't uncommon at all.\Though, that last one was unusual...\They threw some magic around in the street a few times.\Things that looked like icicles flew around and lodged in the wall.\But they disappeared fast.\I'm too late? response:	I thought if I could keep the insignia from being stolen, then maybe...
context: Asking questions, without buying anything? You really do have guts.\Incidents like that aren't uncommon at all.\Though, that last one was unusual...\They threw some magic around in the street a few times.\Things that looked like icicles flew around and lodged in the wall.\But they disappeared fast.\I'm too late?\I thought if I could keep the insignia from being stolen, then maybe... response:	Maybe what?
context: Incidents like that aren't uncommon at all.\Though, that last one was unusual...\They threw some magic around in the street a few times.\Things that looked like icicles flew around and lodged in the wall.\But they disappeared fast.\I'm too late?\I thought if I could keep the insignia from being stolen, then maybe...\Maybe what? response:	Oh, just talking to myself, but...
context: Though, that last one was unusual...\They threw some magic around in the street a few times.\Things that looked like icicles flew around and lodged in the wall.\But they disappeared fast.\I'm too late?\I thought if I could keep the insignia from being stolen, then maybe...\Maybe what?\Oh, just talking to myself, but... response:	Thanks, mister... For telling me, even though I didn't buy anything.
context: They threw some magic around in the street a few times.\Things that looked like icicles flew around and lodged in the wall.\But they disappeared fast.\I'm too late?\I thought if I could keep the insignia from being stolen, then maybe...\Maybe what?\Oh, just talking to myself, but...\Thanks, mister... For telling me, even though I didn't buy anything. response:	It's no big deal.
context: Things that looked like icicles flew around and lodged in the wall.\But they disappeared fast.\I'm too late?\I thought if I could keep the insignia from being stolen, then maybe...\Maybe what?\Oh, just talking to myself, but...\Thanks, mister... For telling me, even though I didn't buy anything.\It's no big deal. response:	A broke kid, like you, just helped my daughter after she got lost earlier.
context: But they disappeared fast.\I'm too late?\I thought if I could keep the insignia from being stolen, then maybe...\Maybe what?\Oh, just talking to myself, but...\Thanks, mister... For telling me, even though I didn't buy anything.\It's no big deal.\A broke kid, like you, just helped my daughter after she got lost earlier. response:	I guess fate is a compelling force, too...
context: I'm too late?\I thought if I could keep the insignia from being stolen, then maybe...\Maybe what?\Oh, just talking to myself, but...\Thanks, mister... For telling me, even though I didn't buy anything.\It's no big deal.\A broke kid, like you, just helped my daughter after she got lost earlier.\I guess fate is a compelling force, too... response:	What are you smiling about?
context: I thought if I could keep the insignia from being stolen, then maybe...\Maybe what?\Oh, just talking to myself, but...\Thanks, mister... For telling me, even though I didn't buy anything.\It's no big deal.\A broke kid, like you, just helped my daughter after she got lost earlier.\I guess fate is a compelling force, too...\What are you smiling about? response:	Nothing.
context: Maybe what?\Oh, just talking to myself, but...\Thanks, mister... For telling me, even though I didn't buy anything.\It's no big deal.\A broke kid, like you, just helped my daughter after she got lost earlier.\I guess fate is a compelling force, too...\What are you smiling about?\Nothing. response:	I'll buy an appa next time!
context: Oh, just talking to myself, but...\Thanks, mister... For telling me, even though I didn't buy anything.\It's no big deal.\A broke kid, like you, just helped my daughter after she got lost earlier.\I guess fate is a compelling force, too...\What are you smiling about?\Nothing.\I'll buy an appa next time! response:	Sure. Buy one, and you'll be a customer.
context: Thanks, mister... For telling me, even though I didn't buy anything.\It's no big deal.\A broke kid, like you, just helped my daughter after she got lost earlier.\I guess fate is a compelling force, too...\What are you smiling about?\Nothing.\I'll buy an appa next time!\Sure. Buy one, and you'll be a customer. response:	Get to work, broke kid!
context: It's no big deal.\A broke kid, like you, just helped my daughter after she got lost earlier.\I guess fate is a compelling force, too...\What are you smiling about?\Nothing.\I'll buy an appa next time!\Sure. Buy one, and you'll be a customer.\Get to work, broke kid! response:	Right!
context: A broke kid, like you, just helped my daughter after she got lost earlier.\I guess fate is a compelling force, too...\What are you smiling about?\Nothing.\I'll buy an appa next time!\Sure. Buy one, and you'll be a customer.\Get to work, broke kid!\Right! response:	This means there's only one way.
context: I guess fate is a compelling force, too...\What are you smiling about?\Nothing.\I'll buy an appa next time!\Sure. Buy one, and you'll be a customer.\Get to work, broke kid!\Right!\This means there's only one way. response:	Before Elsa comes to the loot house,
context: What are you smiling about?\Nothing.\I'll buy an appa next time!\Sure. Buy one, and you'll be a customer.\Get to work, broke kid!\Right!\This means there's only one way.\Before Elsa comes to the loot house, response:	I have to buy the insignia from Felt, and return it to Satella!
context: Nothing.\I'll buy an appa next time!\Sure. Buy one, and you'll be a customer.\Get to work, broke kid!\Right!\This means there's only one way.\Before Elsa comes to the loot house,\I have to buy the insignia from Felt, and return it to Satella! response:	Wait...
context: I'll buy an appa next time!\Sure. Buy one, and you'll be a customer.\Get to work, broke kid!\Right!\This means there's only one way.\Before Elsa comes to the loot house,\I have to buy the insignia from Felt, and return it to Satella!\Wait... response:	Satella was just an alias, wasn't it?
context: Sure. Buy one, and you'll be a customer.\Get to work, broke kid!\Right!\This means there's only one way.\Before Elsa comes to the loot house,\I have to buy the insignia from Felt, and return it to Satella!\Wait...\Satella was just an alias, wasn't it? response:	Then I've gotta get her to tell me her real name this time
context: Get to work, broke kid!\Right!\This means there's only one way.\Before Elsa comes to the loot house,\I have to buy the insignia from Felt, and return it to Satella!\Wait...\Satella was just an alias, wasn't it?\Then I've gotta get her to tell me her real name this time response:	What are you babbling about?
context: Right!\This means there's only one way.\Before Elsa comes to the loot house,\I have to buy the insignia from Felt, and return it to Satella!\Wait...\Satella was just an alias, wasn't it?\Then I've gotta get her to tell me her real name this time\What are you babbling about? response:	If you don't wanna get hurt, cough up whatever you've got!
