context: This is so boring, Mob. response:	Ura Sunday
context: The Dragger is completely made up. She doesn't exist.\Then, why...\Places where urban legends are popular\tend to have a lot of people who easily believe in the supernatural.\Meaning they're gold mines for exorcism jobs.\You're so excited about this Schadenfreude search.\The key to successful walk-in sales is a smile!\Spiritual Advice response:	Spiritual Advice
context: Then, why...\Places where urban legends are popular\tend to have a lot of people who easily believe in the supernatural.\Meaning they're gold mines for exorcism jobs.\You're so excited about this Schadenfreude search.\The key to successful walk-in sales is a smile!\Spiritual Advice\Spiritual Advice response:	That table is really low.
context: Places where urban legends are popular\tend to have a lot of people who easily believe in the supernatural.\Meaning they're gold mines for exorcism jobs.\You're so excited about this Schadenfreude search.\The key to successful walk-in sales is a smile!\Spiritual Advice\Spiritual Advice\That table is really low. response:	I didn't think this through.
context: tend to have a lot of people who easily believe in the supernatural.\Meaning they're gold mines for exorcism jobs.\You're so excited about this Schadenfreude search.\The key to successful walk-in sales is a smile!\Spiritual Advice\Spiritual Advice\That table is really low.\I didn't think this through. response:	Those are some cold stares...
context: Meaning they're gold mines for exorcism jobs.\You're so excited about this Schadenfreude search.\The key to successful walk-in sales is a smile!\Spiritual Advice\Spiritual Advice\That table is really low.\I didn't think this through.\Those are some cold stares... response:	Uh, we might be bothering the pedestrians.
context: You're so excited about this Schadenfreude search.\The key to successful walk-in sales is a smile!\Spiritual Advice\Spiritual Advice\That table is really low.\I didn't think this through.\Those are some cold stares...\Uh, we might be bothering the pedestrians. response:	Hey, you two.
context: The key to successful walk-in sales is a smile!\Spiritual Advice\Spiritual Advice\That table is really low.\I didn't think this through.\Those are some cold stares...\Uh, we might be bothering the pedestrians.\Hey, you two. response:	Who said you could conduct your business here?
context: Spiritual Advice\Spiritual Advice\That table is really low.\I didn't think this through.\Those are some cold stares...\Uh, we might be bothering the pedestrians.\Hey, you two.\Who said you could conduct your business here? response:	You dare set up shop here knowing that I,
context: Spiritual Advice\That table is really low.\I didn't think this through.\Those are some cold stares...\Uh, we might be bothering the pedestrians.\Hey, you two.\Who said you could conduct your business here?\You dare set up shop here knowing that I, response:	Rising Sun Spiritual Union Shinra Banshomaru
context: That table is really low.\I didn't think this through.\Those are some cold stares...\Uh, we might be bothering the pedestrians.\Hey, you two.\Who said you could conduct your business here?\You dare set up shop here knowing that I,\Rising Sun Spiritual Union Shinra Banshomaru response:	Shinra Banshomaru, the greatest psychic of this century, hold jurisdiction here?
context: I didn't think this through.\Those are some cold stares...\Uh, we might be bothering the pedestrians.\Hey, you two.\Who said you could conduct your business here?\You dare set up shop here knowing that I,\Rising Sun Spiritual Union Shinra Banshomaru\Shinra Banshomaru, the greatest psychic of this century, hold jurisdiction here? response:	He's the greatest of this century, too?
context: Those are some cold stares...\Uh, we might be bothering the pedestrians.\Hey, you two.\Who said you could conduct your business here?\You dare set up shop here knowing that I,\Rising Sun Spiritual Union Shinra Banshomaru\Shinra Banshomaru, the greatest psychic of this century, hold jurisdiction here?\He's the greatest of this century, too? response:	What do you mean, jurisdiction?
context: Uh, we might be bothering the pedestrians.\Hey, you two.\Who said you could conduct your business here?\You dare set up shop here knowing that I,\Rising Sun Spiritual Union Shinra Banshomaru\Shinra Banshomaru, the greatest psychic of this century, hold jurisdiction here?\He's the greatest of this century, too?\What do you mean, jurisdiction? response:	You're not a member of the Rising Sun Spiritual Union?
context: Hey, you two.\Who said you could conduct your business here?\You dare set up shop here knowing that I,\Rising Sun Spiritual Union Shinra Banshomaru\Shinra Banshomaru, the greatest psychic of this century, hold jurisdiction here?\He's the greatest of this century, too?\What do you mean, jurisdiction?\You're not a member of the Rising Sun Spiritual Union? response:	I'm a freelancer. The name's Reigen Arataka.
context: Who said you could conduct your business here?\You dare set up shop here knowing that I,\Rising Sun Spiritual Union Shinra Banshomaru\Shinra Banshomaru, the greatest psychic of this century, hold jurisdiction here?\He's the greatest of this century, too?\What do you mean, jurisdiction?\You're not a member of the Rising Sun Spiritual Union?\I'm a freelancer. The name's Reigen Arataka. response:	If you're also running a spirit conbusiness,
context: You dare set up shop here knowing that I,\Rising Sun Spiritual Union Shinra Banshomaru\Shinra Banshomaru, the greatest psychic of this century, hold jurisdiction here?\He's the greatest of this century, too?\What do you mean, jurisdiction?\You're not a member of the Rising Sun Spiritual Union?\I'm a freelancer. The name's Reigen Arataka.\If you're also running a spirit conbusiness, response:	could you introduce me to some clients?
context: Rising Sun Spiritual Union Shinra Banshomaru\Shinra Banshomaru, the greatest psychic of this century, hold jurisdiction here?\He's the greatest of this century, too?\What do you mean, jurisdiction?\You're not a member of the Rising Sun Spiritual Union?\I'm a freelancer. The name's Reigen Arataka.\If you're also running a spirit conbusiness,\could you introduce me to some clients? response:	I haven't had too many lately.
context: Shinra Banshomaru, the greatest psychic of this century, hold jurisdiction here?\He's the greatest of this century, too?\What do you mean, jurisdiction?\You're not a member of the Rising Sun Spiritual Union?\I'm a freelancer. The name's Reigen Arataka.\If you're also running a spirit conbusiness,\could you introduce me to some clients?\I haven't had too many lately. response:	I'm not about to help a business rival.
context: He's the greatest of this century, too?\What do you mean, jurisdiction?\You're not a member of the Rising Sun Spiritual Union?\I'm a freelancer. The name's Reigen Arataka.\If you're also running a spirit conbusiness,\could you introduce me to some clients?\I haven't had too many lately.\I'm not about to help a business rival. response:	Begone at once!
context: What do you mean, jurisdiction?\You're not a member of the Rising Sun Spiritual Union?\I'm a freelancer. The name's Reigen Arataka.\If you're also running a spirit conbusiness,\could you introduce me to some clients?\I haven't had too many lately.\I'm not about to help a business rival.\Begone at once! response:	I respectfully decline.
context: You're not a member of the Rising Sun Spiritual Union?\I'm a freelancer. The name's Reigen Arataka.\If you're also running a spirit conbusiness,\could you introduce me to some clients?\I haven't had too many lately.\I'm not about to help a business rival.\Begone at once!\I respectfully decline. response:	What authority do you have?
context: I'm a freelancer. The name's Reigen Arataka.\If you're also running a spirit conbusiness,\could you introduce me to some clients?\I haven't had too many lately.\I'm not about to help a business rival.\Begone at once!\I respectfully decline.\What authority do you have? response:	Free psychic readings
context: If you're also running a spirit conbusiness,\could you introduce me to some clients?\I haven't had too many lately.\I'm not about to help a business rival.\Begone at once!\I respectfully decline.\What authority do you have?\Free psychic readings response:	This is clearly a traffic violation.
context: could you introduce me to some clients?\I haven't had too many lately.\I'm not about to help a business rival.\Begone at once!\I respectfully decline.\What authority do you have?\Free psychic readings\This is clearly a traffic violation. response:	You guys have no right to bring up the law.
context: I haven't had too many lately.\I'm not about to help a business rival.\Begone at once!\I respectfully decline.\What authority do you have?\Free psychic readings\This is clearly a traffic violation.\You guys have no right to bring up the law. response:	And what do you mean by that?
context: I'm not about to help a business rival.\Begone at once!\I respectfully decline.\What authority do you have?\Free psychic readings\This is clearly a traffic violation.\You guys have no right to bring up the law.\And what do you mean by that? response:	Um...
context: Begone at once!\I respectfully decline.\What authority do you have?\Free psychic readings\This is clearly a traffic violation.\You guys have no right to bring up the law.\And what do you mean by that?\Um... response:	Are you psychics?
context: I respectfully decline.\What authority do you have?\Free psychic readings\This is clearly a traffic violation.\You guys have no right to bring up the law.\And what do you mean by that?\Um...\Are you psychics? response:	Yes?
context: What authority do you have?\Free psychic readings\This is clearly a traffic violation.\You guys have no right to bring up the law.\And what do you mean by that?\Um...\Are you psychics?\Yes? response:	I'd like to discuss something with you.
context: Free psychic readings\This is clearly a traffic violation.\You guys have no right to bring up the law.\And what do you mean by that?\Um...\Are you psychics?\Yes?\I'd like to discuss something with you. response:	Happy to help you out, ma'am!
context: This is clearly a traffic violation.\You guys have no right to bring up the law.\And what do you mean by that?\Um...\Are you psychics?\Yes?\I'd like to discuss something with you.\Happy to help you out, ma'am! response:	But of course!
context: You guys have no right to bring up the law.\And what do you mean by that?\Um...\Are you psychics?\Yes?\I'd like to discuss something with you.\Happy to help you out, ma'am!\But of course! response:	So what did you want to discuss?
context: And what do you mean by that?\Um...\Are you psychics?\Yes?\I'd like to discuss something with you.\Happy to help you out, ma'am!\But of course!\So what did you want to discuss? response:	I've always been susceptible to spirits.
context: Um...\Are you psychics?\Yes?\I'd like to discuss something with you.\Happy to help you out, ma'am!\But of course!\So what did you want to discuss?\I've always been susceptible to spirits. response:	I often attract ghosts and other strange phenomena near me.
context: Are you psychics?\Yes?\I'd like to discuss something with you.\Happy to help you out, ma'am!\But of course!\So what did you want to discuss?\I've always been susceptible to spirits.\I often attract ghosts and other strange phenomena near me. response:	Even as we speak, there's something next to me...
context: Yes?\I'd like to discuss something with you.\Happy to help you out, ma'am!\But of course!\So what did you want to discuss?\I've always been susceptible to spirits.\I often attract ghosts and other strange phenomena near me.\Even as we speak, there's something next to me... response:	Next to you? I don't
context: I'd like to discuss something with you.\Happy to help you out, ma'am!\But of course!\So what did you want to discuss?\I've always been susceptible to spirits.\I often attract ghosts and other strange phenomena near me.\Even as we speak, there's something next to me...\Next to you? I don't response:	There definitely is. I see it.
context: Happy to help you out, ma'am!\But of course!\So what did you want to discuss?\I've always been susceptible to spirits.\I often attract ghosts and other strange phenomena near me.\Even as we speak, there's something next to me...\Next to you? I don't\There definitely is. I see it. response:	Hey, stop making things up.
context: But of course!\So what did you want to discuss?\I've always been susceptible to spirits.\I often attract ghosts and other strange phenomena near me.\Even as we speak, there's something next to me...\Next to you? I don't\There definitely is. I see it.\Hey, stop making things up. response:	What did you say, you swine?
context: So what did you want to discuss?\I've always been susceptible to spirits.\I often attract ghosts and other strange phenomena near me.\Even as we speak, there's something next to me...\Next to you? I don't\There definitely is. I see it.\Hey, stop making things up.\What did you say, you swine? response:	Give me a break. Fakes like you make my job so much harder.
context: I've always been susceptible to spirits.\I often attract ghosts and other strange phenomena near me.\Even as we speak, there's something next to me...\Next to you? I don't\There definitely is. I see it.\Hey, stop making things up.\What did you say, you swine?\Give me a break. Fakes like you make my job so much harder. response:	Right, Mob?
context: I often attract ghosts and other strange phenomena near me.\Even as we speak, there's something next to me...\Next to you? I don't\There definitely is. I see it.\Hey, stop making things up.\What did you say, you swine?\Give me a break. Fakes like you make my job so much harder.\Right, Mob? response:	It's the spirit of a middle-aged man.
context: Even as we speak, there's something next to me...\Next to you? I don't\There definitely is. I see it.\Hey, stop making things up.\What did you say, you swine?\Give me a break. Fakes like you make my job so much harder.\Right, Mob?\It's the spirit of a middle-aged man. response:	Let's get back on track.
context: Next to you? I don't\There definitely is. I see it.\Hey, stop making things up.\What did you say, you swine?\Give me a break. Fakes like you make my job so much harder.\Right, Mob?\It's the spirit of a middle-aged man.\Let's get back on track. response:	Thank goodness. You're actual psychics.
context: There definitely is. I see it.\Hey, stop making things up.\What did you say, you swine?\Give me a break. Fakes like you make my job so much harder.\Right, Mob?\It's the spirit of a middle-aged man.\Let's get back on track.\Thank goodness. You're actual psychics. response:	When I asked about it on the internet, all I got was irresponsible advice.
context: Hey, stop making things up.\What did you say, you swine?\Give me a break. Fakes like you make my job so much harder.\Right, Mob?\It's the spirit of a middle-aged man.\Let's get back on track.\Thank goodness. You're actual psychics.\When I asked about it on the internet, all I got was irresponsible advice. response:	What are you writing?
context: What did you say, you swine?\Give me a break. Fakes like you make my job so much harder.\Right, Mob?\It's the spirit of a middle-aged man.\Let's get back on track.\Thank goodness. You're actual psychics.\When I asked about it on the internet, all I got was irresponsible advice.\What are you writing? response:	I can't believe I never thought about a website.
context: Give me a break. Fakes like you make my job so much harder.\Right, Mob?\It's the spirit of a middle-aged man.\Let's get back on track.\Thank goodness. You're actual psychics.\When I asked about it on the internet, all I got was irresponsible advice.\What are you writing?\I can't believe I never thought about a website. response:	I'll make one as soon as I'm home.
context: Right, Mob?\It's the spirit of a middle-aged man.\Let's get back on track.\Thank goodness. You're actual psychics.\When I asked about it on the internet, all I got was irresponsible advice.\What are you writing?\I can't believe I never thought about a website.\I'll make one as soon as I'm home. response:	And lately, I've been feeling a really bad aura.
context: It's the spirit of a middle-aged man.\Let's get back on track.\Thank goodness. You're actual psychics.\When I asked about it on the internet, all I got was irresponsible advice.\What are you writing?\I can't believe I never thought about a website.\I'll make one as soon as I'm home.\And lately, I've been feeling a really bad aura. response:	I've only been able to get by thanks to having a plate of salt in my apartment.
context: Let's get back on track.\Thank goodness. You're actual psychics.\When I asked about it on the internet, all I got was irresponsible advice.\What are you writing?\I can't believe I never thought about a website.\I'll make one as soon as I'm home.\And lately, I've been feeling a really bad aura.\I've only been able to get by thanks to having a plate of salt in my apartment. response:	I see. Textbooks confirm the effectiveness of piles of salt.
context: Thank goodness. You're actual psychics.\When I asked about it on the internet, all I got was irresponsible advice.\What are you writing?\I can't believe I never thought about a website.\I'll make one as soon as I'm home.\And lately, I've been feeling a really bad aura.\I've only been able to get by thanks to having a plate of salt in my apartment.\I see. Textbooks confirm the effectiveness of piles of salt. response:	Indeed. Even as we speak, the sodium from this pile of French fries
context: When I asked about it on the internet, all I got was irresponsible advice.\What are you writing?\I can't believe I never thought about a website.\I'll make one as soon as I'm home.\And lately, I've been feeling a really bad aura.\I've only been able to get by thanks to having a plate of salt in my apartment.\I see. Textbooks confirm the effectiveness of piles of salt.\Indeed. Even as we speak, the sodium from this pile of French fries response:	is mitigating the negative effects.
context: What are you writing?\I can't believe I never thought about a website.\I'll make one as soon as I'm home.\And lately, I've been feeling a really bad aura.\I've only been able to get by thanks to having a plate of salt in my apartment.\I see. Textbooks confirm the effectiveness of piles of salt.\Indeed. Even as we speak, the sodium from this pile of French fries\is mitigating the negative effects. response:	Mob, don't eat too many of those.
context: I can't believe I never thought about a website.\I'll make one as soon as I'm home.\And lately, I've been feeling a really bad aura.\I've only been able to get by thanks to having a plate of salt in my apartment.\I see. Textbooks confirm the effectiveness of piles of salt.\Indeed. Even as we speak, the sodium from this pile of French fries\is mitigating the negative effects.\Mob, don't eat too many of those. response:	But then I realized that the reason this eerie feeling has gotten worse lately
context: I'll make one as soon as I'm home.\And lately, I've been feeling a really bad aura.\I've only been able to get by thanks to having a plate of salt in my apartment.\I see. Textbooks confirm the effectiveness of piles of salt.\Indeed. Even as we speak, the sodium from this pile of French fries\is mitigating the negative effects.\Mob, don't eat too many of those.\But then I realized that the reason this eerie feeling has gotten worse lately response:	is because of the sudden spread of urban legends around this city.
context: And lately, I've been feeling a really bad aura.\I've only been able to get by thanks to having a plate of salt in my apartment.\I see. Textbooks confirm the effectiveness of piles of salt.\Indeed. Even as we speak, the sodium from this pile of French fries\is mitigating the negative effects.\Mob, don't eat too many of those.\But then I realized that the reason this eerie feeling has gotten worse lately\is because of the sudden spread of urban legends around this city. response:	Cuticle City Urban Legends
context: I've only been able to get by thanks to having a plate of salt in my apartment.\I see. Textbooks confirm the effectiveness of piles of salt.\Indeed. Even as we speak, the sodium from this pile of French fries\is mitigating the negative effects.\Mob, don't eat too many of those.\But then I realized that the reason this eerie feeling has gotten worse lately\is because of the sudden spread of urban legends around this city.\Cuticle City Urban Legends response:	Human-Faced Dog
context: I see. Textbooks confirm the effectiveness of piles of salt.\Indeed. Even as we speak, the sodium from this pile of French fries\is mitigating the negative effects.\Mob, don't eat too many of those.\But then I realized that the reason this eerie feeling has gotten worse lately\is because of the sudden spread of urban legends around this city.\Cuticle City Urban Legends\Human-Faced Dog response:	It's said that the vengeful spirit of a middle-aged man who committed suicide possessed a dog. It rummages through the trash downtown, and if you call it, it'll say, Just leave me alone.
context: Indeed. Even as we speak, the sodium from this pile of French fries\is mitigating the negative effects.\Mob, don't eat too many of those.\But then I realized that the reason this eerie feeling has gotten worse lately\is because of the sudden spread of urban legends around this city.\Cuticle City Urban Legends\Human-Faced Dog\It's said that the vengeful spirit of a middle-aged man who committed suicide possessed a dog. It rummages through the trash downtown, and if you call it, it'll say, Just leave me alone. response:	Dash Granny
context: is mitigating the negative effects.\Mob, don't eat too many of those.\But then I realized that the reason this eerie feeling has gotten worse lately\is because of the sudden spread of urban legends around this city.\Cuticle City Urban Legends\Human-Faced Dog\It's said that the vengeful spirit of a middle-aged man who committed suicide possessed a dog. It rummages through the trash downtown, and if you call it, it'll say, Just leave me alone.\Dash Granny response:	When you're driving on the freeway in the middle of the night, you might hear a tapping on your window. You'll then see a granny running alongside your car at the same speed. Apparently, if she outruns you, you'll get into a car accident.
context: Mob, don't eat too many of those.\But then I realized that the reason this eerie feeling has gotten worse lately\is because of the sudden spread of urban legends around this city.\Cuticle City Urban Legends\Human-Faced Dog\It's said that the vengeful spirit of a middle-aged man who committed suicide possessed a dog. It rummages through the trash downtown, and if you call it, it'll say, Just leave me alone.\Dash Granny\When you're driving on the freeway in the middle of the night, you might hear a tapping on your window. You'll then see a granny running alongside your car at the same speed. Apparently, if she outruns you, you'll get into a car accident. response:	The Red Raincoat
context: But then I realized that the reason this eerie feeling has gotten worse lately\is because of the sudden spread of urban legends around this city.\Cuticle City Urban Legends\Human-Faced Dog\It's said that the vengeful spirit of a middle-aged man who committed suicide possessed a dog. It rummages through the trash downtown, and if you call it, it'll say, Just leave me alone.\Dash Granny\When you're driving on the freeway in the middle of the night, you might hear a tapping on your window. You'll then see a granny running alongside your car at the same speed. Apparently, if she outruns you, you'll get into a car accident.\The Red Raincoat response:	It wanders endlessly through the city in the rain, dressed in all red. If someone sees the red raincoat, they will die. However, if you're wearing something red, your life will be spared.
context: is because of the sudden spread of urban legends around this city.\Cuticle City Urban Legends\Human-Faced Dog\It's said that the vengeful spirit of a middle-aged man who committed suicide possessed a dog. It rummages through the trash downtown, and if you call it, it'll say, Just leave me alone.\Dash Granny\When you're driving on the freeway in the middle of the night, you might hear a tapping on your window. You'll then see a granny running alongside your car at the same speed. Apparently, if she outruns you, you'll get into a car accident.\The Red Raincoat\It wanders endlessly through the city in the rain, dressed in all red. If someone sees the red raincoat, they will die. However, if you're wearing something red, your life will be spared. response:	The Dragger
context: Cuticle City Urban Legends\Human-Faced Dog\It's said that the vengeful spirit of a middle-aged man who committed suicide possessed a dog. It rummages through the trash downtown, and if you call it, it'll say, Just leave me alone.\Dash Granny\When you're driving on the freeway in the middle of the night, you might hear a tapping on your window. You'll then see a granny running alongside your car at the same speed. Apparently, if she outruns you, you'll get into a car accident.\The Red Raincoat\It wanders endlessly through the city in the rain, dressed in all red. If someone sees the red raincoat, they will die. However, if you're wearing something red, your life will be spared.\The Dragger response:	Dressed in torn white clothing, the Dragger drags people around until they are but lumps of meat. When she was human, she suffered from horrible bullying, and from that hatred, she'll capture children and drag them around.
context: Human-Faced Dog\It's said that the vengeful spirit of a middle-aged man who committed suicide possessed a dog. It rummages through the trash downtown, and if you call it, it'll say, Just leave me alone.\Dash Granny\When you're driving on the freeway in the middle of the night, you might hear a tapping on your window. You'll then see a granny running alongside your car at the same speed. Apparently, if she outruns you, you'll get into a car accident.\The Red Raincoat\It wanders endlessly through the city in the rain, dressed in all red. If someone sees the red raincoat, they will die. However, if you're wearing something red, your life will be spared.\The Dragger\Dressed in torn white clothing, the Dragger drags people around until they are but lumps of meat. When she was human, she suffered from horrible bullying, and from that hatred, she'll capture children and drag them around. response:	Human-Faced Dog, Dash Granny, the Red Raincoat,
context: It's said that the vengeful spirit of a middle-aged man who committed suicide possessed a dog. It rummages through the trash downtown, and if you call it, it'll say, Just leave me alone.\Dash Granny\When you're driving on the freeway in the middle of the night, you might hear a tapping on your window. You'll then see a granny running alongside your car at the same speed. Apparently, if she outruns you, you'll get into a car accident.\The Red Raincoat\It wanders endlessly through the city in the rain, dressed in all red. If someone sees the red raincoat, they will die. However, if you're wearing something red, your life will be spared.\The Dragger\Dressed in torn white clothing, the Dragger drags people around until they are but lumps of meat. When she was human, she suffered from horrible bullying, and from that hatred, she'll capture children and drag them around.\Human-Faced Dog, Dash Granny, the Red Raincoat, response:	and of course... the Dragger.
context: Dash Granny\When you're driving on the freeway in the middle of the night, you might hear a tapping on your window. You'll then see a granny running alongside your car at the same speed. Apparently, if she outruns you, you'll get into a car accident.\The Red Raincoat\It wanders endlessly through the city in the rain, dressed in all red. If someone sees the red raincoat, they will die. However, if you're wearing something red, your life will be spared.\The Dragger\Dressed in torn white clothing, the Dragger drags people around until they are but lumps of meat. When she was human, she suffered from horrible bullying, and from that hatred, she'll capture children and drag them around.\Human-Faced Dog, Dash Granny, the Red Raincoat,\and of course... the Dragger. response:	Please, eliminate all of these urban legends.
context: When you're driving on the freeway in the middle of the night, you might hear a tapping on your window. You'll then see a granny running alongside your car at the same speed. Apparently, if she outruns you, you'll get into a car accident.\The Red Raincoat\It wanders endlessly through the city in the rain, dressed in all red. If someone sees the red raincoat, they will die. However, if you're wearing something red, your life will be spared.\The Dragger\Dressed in torn white clothing, the Dragger drags people around until they are but lumps of meat. When she was human, she suffered from horrible bullying, and from that hatred, she'll capture children and drag them around.\Human-Faced Dog, Dash Granny, the Red Raincoat,\and of course... the Dragger.\Please, eliminate all of these urban legends. response:	Come on... Who would take such an impossible request?
context: The Red Raincoat\It wanders endlessly through the city in the rain, dressed in all red. If someone sees the red raincoat, they will die. However, if you're wearing something red, your life will be spared.\The Dragger\Dressed in torn white clothing, the Dragger drags people around until they are but lumps of meat. When she was human, she suffered from horrible bullying, and from that hatred, she'll capture children and drag them around.\Human-Faced Dog, Dash Granny, the Red Raincoat,\and of course... the Dragger.\Please, eliminate all of these urban legends.\Come on... Who would take such an impossible request? response:	Please leave it to me, Reigen Arataka!
context: It wanders endlessly through the city in the rain, dressed in all red. If someone sees the red raincoat, they will die. However, if you're wearing something red, your life will be spared.\The Dragger\Dressed in torn white clothing, the Dragger drags people around until they are but lumps of meat. When she was human, she suffered from horrible bullying, and from that hatred, she'll capture children and drag them around.\Human-Faced Dog, Dash Granny, the Red Raincoat,\and of course... the Dragger.\Please, eliminate all of these urban legends.\Come on... Who would take such an impossible request?\Please leave it to me, Reigen Arataka! response:	I'll make sure they're wiped off the face of this earth!
