context: I figured you would have questions for me. response:	So, I didn't allow myself go to sleep.
context: Of course it is false.\After her battle with Qing Cang, she was missing for many years.\What is the matter?\I did lie to you back then. Are you going to keep asking then?\What is the second question?\Has she forgotten anything?\She has forgotten.\As for what she forgot, I am not certain. response:	I only remember after she was missing many years
context: After her battle with Qing Cang, she was missing for many years.\What is the matter?\I did lie to you back then. Are you going to keep asking then?\What is the second question?\Has she forgotten anything?\She has forgotten.\As for what she forgot, I am not certain.\I only remember after she was missing many years response:	she suddenly appeared one day in the peach tree woods, covered in wounds.
context: What is the matter?\I did lie to you back then. Are you going to keep asking then?\What is the second question?\Has she forgotten anything?\She has forgotten.\As for what she forgot, I am not certain.\I only remember after she was missing many years\she suddenly appeared one day in the peach tree woods, covered in wounds. response:	She was very depressed.
context: I did lie to you back then. Are you going to keep asking then?\What is the second question?\Has she forgotten anything?\She has forgotten.\As for what she forgot, I am not certain.\I only remember after she was missing many years\she suddenly appeared one day in the peach tree woods, covered in wounds.\She was very depressed. response:	It was the same day I saved you after you jumped from Zhuxian Terrace.
context: What is the second question?\Has she forgotten anything?\She has forgotten.\As for what she forgot, I am not certain.\I only remember after she was missing many years\she suddenly appeared one day in the peach tree woods, covered in wounds.\She was very depressed.\It was the same day I saved you after you jumped from Zhuxian Terrace. response:	So you fed her an amnesia potion?
context: Has she forgotten anything?\She has forgotten.\As for what she forgot, I am not certain.\I only remember after she was missing many years\she suddenly appeared one day in the peach tree woods, covered in wounds.\She was very depressed.\It was the same day I saved you after you jumped from Zhuxian Terrace.\So you fed her an amnesia potion? response:	No, I didn't feed it to her. She asked me for it at the time.
context: She has forgotten.\As for what she forgot, I am not certain.\I only remember after she was missing many years\she suddenly appeared one day in the peach tree woods, covered in wounds.\She was very depressed.\It was the same day I saved you after you jumped from Zhuxian Terrace.\So you fed her an amnesia potion?\No, I didn't feed it to her. She asked me for it at the time. response:	I saw the state she was in and felt it would be better for her to forget
context: As for what she forgot, I am not certain.\I only remember after she was missing many years\she suddenly appeared one day in the peach tree woods, covered in wounds.\She was very depressed.\It was the same day I saved you after you jumped from Zhuxian Terrace.\So you fed her an amnesia potion?\No, I didn't feed it to her. She asked me for it at the time.\I saw the state she was in and felt it would be better for her to forget response:	so I gave it to her.
context: I only remember after she was missing many years\she suddenly appeared one day in the peach tree woods, covered in wounds.\She was very depressed.\It was the same day I saved you after you jumped from Zhuxian Terrace.\So you fed her an amnesia potion?\No, I didn't feed it to her. She asked me for it at the time.\I saw the state she was in and felt it would be better for her to forget\so I gave it to her. response:	She didn't tell you...
context: she suddenly appeared one day in the peach tree woods, covered in wounds.\She was very depressed.\It was the same day I saved you after you jumped from Zhuxian Terrace.\So you fed her an amnesia potion?\No, I didn't feed it to her. She asked me for it at the time.\I saw the state she was in and felt it would be better for her to forget\so I gave it to her.\She didn't tell you... response:	what she forgot?
context: She was very depressed.\It was the same day I saved you after you jumped from Zhuxian Terrace.\So you fed her an amnesia potion?\No, I didn't feed it to her. She asked me for it at the time.\I saw the state she was in and felt it would be better for her to forget\so I gave it to her.\She didn't tell you...\what she forgot? response:	She really never told me.
context: It was the same day I saved you after you jumped from Zhuxian Terrace.\So you fed her an amnesia potion?\No, I didn't feed it to her. She asked me for it at the time.\I saw the state she was in and felt it would be better for her to forget\so I gave it to her.\She didn't tell you...\what she forgot?\She really never told me. response:	However, I later guessed
context: So you fed her an amnesia potion?\No, I didn't feed it to her. She asked me for it at the time.\I saw the state she was in and felt it would be better for her to forget\so I gave it to her.\She didn't tell you...\what she forgot?\She really never told me.\However, I later guessed response:	the Su Su that I met in the Celestial Palace is her, right?
context: No, I didn't feed it to her. She asked me for it at the time.\I saw the state she was in and felt it would be better for her to forget\so I gave it to her.\She didn't tell you...\what she forgot?\She really never told me.\However, I later guessed\the Su Su that I met in the Celestial Palace is her, right? response:	That's right.
context: I saw the state she was in and felt it would be better for her to forget\so I gave it to her.\She didn't tell you...\what she forgot?\She really never told me.\However, I later guessed\the Su Su that I met in the Celestial Palace is her, right?\That's right. response:	She is Su Su.
context: so I gave it to her.\She didn't tell you...\what she forgot?\She really never told me.\However, I later guessed\the Su Su that I met in the Celestial Palace is her, right?\That's right.\She is Su Su. response:	How did you recognize her?
context: She didn't tell you...\what she forgot?\She really never told me.\However, I later guessed\the Su Su that I met in the Celestial Palace is her, right?\That's right.\She is Su Su.\How did you recognize her? response:	When we met again at the Eastern Sea
context: what she forgot?\She really never told me.\However, I later guessed\the Su Su that I met in the Celestial Palace is her, right?\That's right.\She is Su Su.\How did you recognize her?\When we met again at the Eastern Sea response:	a lot of her mannerisms felt quite familiar to me.
context: She really never told me.\However, I later guessed\the Su Su that I met in the Celestial Palace is her, right?\That's right.\She is Su Su.\How did you recognize her?\When we met again at the Eastern Sea\a lot of her mannerisms felt quite familiar to me. response:	When I later saw the scar on her wrist, I was certain... it is really her.
context: However, I later guessed\the Su Su that I met in the Celestial Palace is her, right?\That's right.\She is Su Su.\How did you recognize her?\When we met again at the Eastern Sea\a lot of her mannerisms felt quite familiar to me.\When I later saw the scar on her wrist, I was certain... it is really her. response:	That scar was from crimson hellfire. It cannot be removed.
context: the Su Su that I met in the Celestial Palace is her, right?\That's right.\She is Su Su.\How did you recognize her?\When we met again at the Eastern Sea\a lot of her mannerisms felt quite familiar to me.\When I later saw the scar on her wrist, I was certain... it is really her.\That scar was from crimson hellfire. It cannot be removed. response:	So that is what gave her away.
context: That's right.\She is Su Su.\How did you recognize her?\When we met again at the Eastern Sea\a lot of her mannerisms felt quite familiar to me.\When I later saw the scar on her wrist, I was certain... it is really her.\That scar was from crimson hellfire. It cannot be removed.\So that is what gave her away. response:	High God, do you really not know
context: She is Su Su.\How did you recognize her?\When we met again at the Eastern Sea\a lot of her mannerisms felt quite familiar to me.\When I later saw the scar on her wrist, I was certain... it is really her.\That scar was from crimson hellfire. It cannot be removed.\So that is what gave her away.\High God, do you really not know response:	or are you not telling me for my own good...
context: How did you recognize her?\When we met again at the Eastern Sea\a lot of her mannerisms felt quite familiar to me.\When I later saw the scar on her wrist, I was certain... it is really her.\That scar was from crimson hellfire. It cannot be removed.\So that is what gave her away.\High God, do you really not know\or are you not telling me for my own good... response:	that she wants to forget me... because of Mo Yuan?
context: When we met again at the Eastern Sea\a lot of her mannerisms felt quite familiar to me.\When I later saw the scar on her wrist, I was certain... it is really her.\That scar was from crimson hellfire. It cannot be removed.\So that is what gave her away.\High God, do you really not know\or are you not telling me for my own good...\that she wants to forget me... because of Mo Yuan? response:	Mo Yuan?
context: a lot of her mannerisms felt quite familiar to me.\When I later saw the scar on her wrist, I was certain... it is really her.\That scar was from crimson hellfire. It cannot be removed.\So that is what gave her away.\High God, do you really not know\or are you not telling me for my own good...\that she wants to forget me... because of Mo Yuan?\Mo Yuan? response:	Compared to High God Mo Yuan
context: When I later saw the scar on her wrist, I was certain... it is really her.\That scar was from crimson hellfire. It cannot be removed.\So that is what gave her away.\High God, do you really not know\or are you not telling me for my own good...\that she wants to forget me... because of Mo Yuan?\Mo Yuan?\Compared to High God Mo Yuan response:	the tragic love between us over those years
context: That scar was from crimson hellfire. It cannot be removed.\So that is what gave her away.\High God, do you really not know\or are you not telling me for my own good...\that she wants to forget me... because of Mo Yuan?\Mo Yuan?\Compared to High God Mo Yuan\the tragic love between us over those years response:	was perhaps just a trial for her ascension to high goddess
context: So that is what gave her away.\High God, do you really not know\or are you not telling me for my own good...\that she wants to forget me... because of Mo Yuan?\Mo Yuan?\Compared to High God Mo Yuan\the tragic love between us over those years\was perhaps just a trial for her ascension to high goddess response:	that held no significance worth remembering
context: High God, do you really not know\or are you not telling me for my own good...\that she wants to forget me... because of Mo Yuan?\Mo Yuan?\Compared to High God Mo Yuan\the tragic love between us over those years\was perhaps just a trial for her ascension to high goddess\that held no significance worth remembering response:	and was instead an impediment.
context: or are you not telling me for my own good...\that she wants to forget me... because of Mo Yuan?\Mo Yuan?\Compared to High God Mo Yuan\the tragic love between us over those years\was perhaps just a trial for her ascension to high goddess\that held no significance worth remembering\and was instead an impediment. response:	Ghost Lord has issued a decree. You are to be executed tomorrow.
context: that she wants to forget me... because of Mo Yuan?\Mo Yuan?\Compared to High God Mo Yuan\the tragic love between us over those years\was perhaps just a trial for her ascension to high goddess\that held no significance worth remembering\and was instead an impediment.\Ghost Lord has issued a decree. You are to be executed tomorrow. response:	Ghost Queen, you treated us well.
context: Mo Yuan?\Compared to High God Mo Yuan\the tragic love between us over those years\was perhaps just a trial for her ascension to high goddess\that held no significance worth remembering\and was instead an impediment.\Ghost Lord has issued a decree. You are to be executed tomorrow.\Ghost Queen, you treated us well. response:	There is not much I can do for you.
context: Compared to High God Mo Yuan\the tragic love between us over those years\was perhaps just a trial for her ascension to high goddess\that held no significance worth remembering\and was instead an impediment.\Ghost Lord has issued a decree. You are to be executed tomorrow.\Ghost Queen, you treated us well.\There is not much I can do for you. response:	But, I've prepared some good food for you.
context: the tragic love between us over those years\was perhaps just a trial for her ascension to high goddess\that held no significance worth remembering\and was instead an impediment.\Ghost Lord has issued a decree. You are to be executed tomorrow.\Ghost Queen, you treated us well.\There is not much I can do for you.\But, I've prepared some good food for you. response:	Thank you.
context: was perhaps just a trial for her ascension to high goddess\that held no significance worth remembering\and was instead an impediment.\Ghost Lord has issued a decree. You are to be executed tomorrow.\Ghost Queen, you treated us well.\There is not much I can do for you.\But, I've prepared some good food for you.\Thank you. response:	Can you bring my son to me? I want to see him.
context: that held no significance worth remembering\and was instead an impediment.\Ghost Lord has issued a decree. You are to be executed tomorrow.\Ghost Queen, you treated us well.\There is not much I can do for you.\But, I've prepared some good food for you.\Thank you.\Can you bring my son to me? I want to see him. response:	- Are you talking about the sick child? - No, he isn't a sick child.
context: and was instead an impediment.\Ghost Lord has issued a decree. You are to be executed tomorrow.\Ghost Queen, you treated us well.\There is not much I can do for you.\But, I've prepared some good food for you.\Thank you.\Can you bring my son to me? I want to see him.\- Are you talking about the sick child? - No, he isn't a sick child. response:	He will get better. He will get better!
context: Ghost Lord has issued a decree. You are to be executed tomorrow.\Ghost Queen, you treated us well.\There is not much I can do for you.\But, I've prepared some good food for you.\Thank you.\Can you bring my son to me? I want to see him.\- Are you talking about the sick child? - No, he isn't a sick child.\He will get better. He will get better! response:	The sick child was left in the adjacent cell.
context: Ghost Queen, you treated us well.\There is not much I can do for you.\But, I've prepared some good food for you.\Thank you.\Can you bring my son to me? I want to see him.\- Are you talking about the sick child? - No, he isn't a sick child.\He will get better. He will get better!\The sick child was left in the adjacent cell. response:	Nobody is looking after him.
context: There is not much I can do for you.\But, I've prepared some good food for you.\Thank you.\Can you bring my son to me? I want to see him.\- Are you talking about the sick child? - No, he isn't a sick child.\He will get better. He will get better!\The sick child was left in the adjacent cell.\Nobody is looking after him. response:	He's supposed to be burned along with your corpse tomorrow.
context: But, I've prepared some good food for you.\Thank you.\Can you bring my son to me? I want to see him.\- Are you talking about the sick child? - No, he isn't a sick child.\He will get better. He will get better!\The sick child was left in the adjacent cell.\Nobody is looking after him.\He's supposed to be burned along with your corpse tomorrow. response:	If you really want to see him, I'll bring him to you.
context: Thank you.\Can you bring my son to me? I want to see him.\- Are you talking about the sick child? - No, he isn't a sick child.\He will get better. He will get better!\The sick child was left in the adjacent cell.\Nobody is looking after him.\He's supposed to be burned along with your corpse tomorrow.\If you really want to see him, I'll bring him to you. response:	Thank you, thank you!
context: Can you bring my son to me? I want to see him.\- Are you talking about the sick child? - No, he isn't a sick child.\He will get better. He will get better!\The sick child was left in the adjacent cell.\Nobody is looking after him.\He's supposed to be burned along with your corpse tomorrow.\If you really want to see him, I'll bring him to you.\Thank you, thank you! response:	Ying'er, Ying'er!
context: - Are you talking about the sick child? - No, he isn't a sick child.\He will get better. He will get better!\The sick child was left in the adjacent cell.\Nobody is looking after him.\He's supposed to be burned along with your corpse tomorrow.\If you really want to see him, I'll bring him to you.\Thank you, thank you!\Ying'er, Ying'er! response:	Ying'er! Ying'er!
context: He will get better. He will get better!\The sick child was left in the adjacent cell.\Nobody is looking after him.\He's supposed to be burned along with your corpse tomorrow.\If you really want to see him, I'll bring him to you.\Thank you, thank you!\Ying'er, Ying'er!\Ying'er! Ying'er! response:	Ying'er, why are you so cold?
context: The sick child was left in the adjacent cell.\Nobody is looking after him.\He's supposed to be burned along with your corpse tomorrow.\If you really want to see him, I'll bring him to you.\Thank you, thank you!\Ying'er, Ying'er!\Ying'er! Ying'er!\Ying'er, why are you so cold? response:	They treated you so poorly?
context: Nobody is looking after him.\He's supposed to be burned along with your corpse tomorrow.\If you really want to see him, I'll bring him to you.\Thank you, thank you!\Ying'er, Ying'er!\Ying'er! Ying'er!\Ying'er, why are you so cold?\They treated you so poorly? response:	No matter what, you are still the lord's prince!
context: He's supposed to be burned along with your corpse tomorrow.\If you really want to see him, I'll bring him to you.\Thank you, thank you!\Ying'er, Ying'er!\Ying'er! Ying'er!\Ying'er, why are you so cold?\They treated you so poorly?\No matter what, you are still the lord's prince! response:	You are his only child!
context: If you really want to see him, I'll bring him to you.\Thank you, thank you!\Ying'er, Ying'er!\Ying'er! Ying'er!\Ying'er, why are you so cold?\They treated you so poorly?\No matter what, you are still the lord's prince!\You are his only child! response:	I am still the only one who loves you dearly.
context: Thank you, thank you!\Ying'er, Ying'er!\Ying'er! Ying'er!\Ying'er, why are you so cold?\They treated you so poorly?\No matter what, you are still the lord's prince!\You are his only child!\I am still the only one who loves you dearly. response:	Eat up.
context: Ying'er, Ying'er!\Ying'er! Ying'er!\Ying'er, why are you so cold?\They treated you so poorly?\No matter what, you are still the lord's prince!\You are his only child!\I am still the only one who loves you dearly.\Eat up. response:	I am over here.
context: Ying'er! Ying'er!\Ying'er, why are you so cold?\They treated you so poorly?\No matter what, you are still the lord's prince!\You are his only child!\I am still the only one who loves you dearly.\Eat up.\I am over here. response:	I am over here.
context: Ying'er, why are you so cold?\They treated you so poorly?\No matter what, you are still the lord's prince!\You are his only child!\I am still the only one who loves you dearly.\Eat up.\I am over here.\I am over here. response:	What do you want me to do now?
context: They treated you so poorly?\No matter what, you are still the lord's prince!\You are his only child!\I am still the only one who loves you dearly.\Eat up.\I am over here.\I am over here.\What do you want me to do now? response:	I want you to kill me.
context: No matter what, you are still the lord's prince!\You are his only child!\I am still the only one who loves you dearly.\Eat up.\I am over here.\I am over here.\What do you want me to do now?\I want you to kill me. response:	Kill you?
context: You are his only child!\I am still the only one who loves you dearly.\Eat up.\I am over here.\I am over here.\What do you want me to do now?\I want you to kill me.\Kill you? response:	That's right.
context: I am still the only one who loves you dearly.\Eat up.\I am over here.\I am over here.\What do you want me to do now?\I want you to kill me.\Kill you?\That's right. response:	Kill me.
context: Eat up.\I am over here.\I am over here.\What do you want me to do now?\I want you to kill me.\Kill you?\That's right.\Kill me. response:	My father once cast a curse on the three of us siblings.
context: I am over here.\I am over here.\What do you want me to do now?\I want you to kill me.\Kill you?\That's right.\Kill me.\My father once cast a curse on the three of us siblings. response:	Every time one of the three of us dies, his powers will greatly increase.
context: I am over here.\What do you want me to do now?\I want you to kill me.\Kill you?\That's right.\Kill me.\My father once cast a curse on the three of us siblings.\Every time one of the three of us dies, his powers will greatly increase. response:	So you just have to kill me
context: What do you want me to do now?\I want you to kill me.\Kill you?\That's right.\Kill me.\My father once cast a curse on the three of us siblings.\Every time one of the three of us dies, his powers will greatly increase.\So you just have to kill me response:	and my father will have the chance to break out of the Bell
context: I want you to kill me.\Kill you?\That's right.\Kill me.\My father once cast a curse on the three of us siblings.\Every time one of the three of us dies, his powers will greatly increase.\So you just have to kill me\and my father will have the chance to break out of the Bell response:	and once again rule the world!
context: Kill you?\That's right.\Kill me.\My father once cast a curse on the three of us siblings.\Every time one of the three of us dies, his powers will greatly increase.\So you just have to kill me\and my father will have the chance to break out of the Bell\and once again rule the world! response:	Qing Cang will break out of the Bell?
context: That's right.\Kill me.\My father once cast a curse on the three of us siblings.\Every time one of the three of us dies, his powers will greatly increase.\So you just have to kill me\and my father will have the chance to break out of the Bell\and once again rule the world!\Qing Cang will break out of the Bell? response:	Don't you want to kill Bai Qian of Qing Qiu?
context: Kill me.\My father once cast a curse on the three of us siblings.\Every time one of the three of us dies, his powers will greatly increase.\So you just have to kill me\and my father will have the chance to break out of the Bell\and once again rule the world!\Qing Cang will break out of the Bell?\Don't you want to kill Bai Qian of Qing Qiu? response:	She has already ascended to high goddess.
context: My father once cast a curse on the three of us siblings.\Every time one of the three of us dies, his powers will greatly increase.\So you just have to kill me\and my father will have the chance to break out of the Bell\and once again rule the world!\Qing Cang will break out of the Bell?\Don't you want to kill Bai Qian of Qing Qiu?\She has already ascended to high goddess. response:	Even if you have the chance to escape from here
context: Every time one of the three of us dies, his powers will greatly increase.\So you just have to kill me\and my father will have the chance to break out of the Bell\and once again rule the world!\Qing Cang will break out of the Bell?\Don't you want to kill Bai Qian of Qing Qiu?\She has already ascended to high goddess.\Even if you have the chance to escape from here response:	you wouldn't be able to kill her even if you train for dozens of millennia.
context: So you just have to kill me\and my father will have the chance to break out of the Bell\and once again rule the world!\Qing Cang will break out of the Bell?\Don't you want to kill Bai Qian of Qing Qiu?\She has already ascended to high goddess.\Even if you have the chance to escape from here\you wouldn't be able to kill her even if you train for dozens of millennia. response:	The only one in this world who can kill her is my father!
context: and my father will have the chance to break out of the Bell\and once again rule the world!\Qing Cang will break out of the Bell?\Don't you want to kill Bai Qian of Qing Qiu?\She has already ascended to high goddess.\Even if you have the chance to escape from here\you wouldn't be able to kill her even if you train for dozens of millennia.\The only one in this world who can kill her is my father! response:	Li Jing imprisoned me here for 300 years. I can't even die!
context: and once again rule the world!\Qing Cang will break out of the Bell?\Don't you want to kill Bai Qian of Qing Qiu?\She has already ascended to high goddess.\Even if you have the chance to escape from here\you wouldn't be able to kill her even if you train for dozens of millennia.\The only one in this world who can kill her is my father!\Li Jing imprisoned me here for 300 years. I can't even die! response:	The heavens finally couldn't stand it! I have made it to this day!
context: Qing Cang will break out of the Bell?\Don't you want to kill Bai Qian of Qing Qiu?\She has already ascended to high goddess.\Even if you have the chance to escape from here\you wouldn't be able to kill her even if you train for dozens of millennia.\The only one in this world who can kill her is my father!\Li Jing imprisoned me here for 300 years. I can't even die!\The heavens finally couldn't stand it! I have made it to this day! response:	Follow the path I told you about yesterday to escape from here
context: Don't you want to kill Bai Qian of Qing Qiu?\She has already ascended to high goddess.\Even if you have the chance to escape from here\you wouldn't be able to kill her even if you train for dozens of millennia.\The only one in this world who can kill her is my father!\Li Jing imprisoned me here for 300 years. I can't even die!\The heavens finally couldn't stand it! I have made it to this day!\Follow the path I told you about yesterday to escape from here response:	and you'll be able to find the woods at
context: She has already ascended to high goddess.\Even if you have the chance to escape from here\you wouldn't be able to kill her even if you train for dozens of millennia.\The only one in this world who can kill her is my father!\Li Jing imprisoned me here for 300 years. I can't even die!\The heavens finally couldn't stand it! I have made it to this day!\Follow the path I told you about yesterday to escape from here\and you'll be able to find the woods at response:	the common border between the Ghost Realm and Qing Qiu.
context: Even if you have the chance to escape from here\you wouldn't be able to kill her even if you train for dozens of millennia.\The only one in this world who can kill her is my father!\Li Jing imprisoned me here for 300 years. I can't even die!\The heavens finally couldn't stand it! I have made it to this day!\Follow the path I told you about yesterday to escape from here\and you'll be able to find the woods at\the common border between the Ghost Realm and Qing Qiu. response:	After you pass through the woods, Qing Qiu will be towards the west
context: you wouldn't be able to kill her even if you train for dozens of millennia.\The only one in this world who can kill her is my father!\Li Jing imprisoned me here for 300 years. I can't even die!\The heavens finally couldn't stand it! I have made it to this day!\Follow the path I told you about yesterday to escape from here\and you'll be able to find the woods at\the common border between the Ghost Realm and Qing Qiu.\After you pass through the woods, Qing Qiu will be towards the west response:	while the mortal realm will be towards the east.
context: The only one in this world who can kill her is my father!\Li Jing imprisoned me here for 300 years. I can't even die!\The heavens finally couldn't stand it! I have made it to this day!\Follow the path I told you about yesterday to escape from here\and you'll be able to find the woods at\the common border between the Ghost Realm and Qing Qiu.\After you pass through the woods, Qing Qiu will be towards the west\while the mortal realm will be towards the east. response:	Do not go the wrong way.
context: Li Jing imprisoned me here for 300 years. I can't even die!\The heavens finally couldn't stand it! I have made it to this day!\Follow the path I told you about yesterday to escape from here\and you'll be able to find the woods at\the common border between the Ghost Realm and Qing Qiu.\After you pass through the woods, Qing Qiu will be towards the west\while the mortal realm will be towards the east.\Do not go the wrong way. response:	Head east to the mortal realm to find Yan Zhi.
context: The heavens finally couldn't stand it! I have made it to this day!\Follow the path I told you about yesterday to escape from here\and you'll be able to find the woods at\the common border between the Ghost Realm and Qing Qiu.\After you pass through the woods, Qing Qiu will be towards the west\while the mortal realm will be towards the east.\Do not go the wrong way.\Head east to the mortal realm to find Yan Zhi. response:	In the same way that you deceived your way into Kunlun Mountain
context: Follow the path I told you about yesterday to escape from here\and you'll be able to find the woods at\the common border between the Ghost Realm and Qing Qiu.\After you pass through the woods, Qing Qiu will be towards the west\while the mortal realm will be towards the east.\Do not go the wrong way.\Head east to the mortal realm to find Yan Zhi.\In the same way that you deceived your way into Kunlun Mountain response:	to steal the tactical formation strategy
context: and you'll be able to find the woods at\the common border between the Ghost Realm and Qing Qiu.\After you pass through the woods, Qing Qiu will be towards the west\while the mortal realm will be towards the east.\Do not go the wrong way.\Head east to the mortal realm to find Yan Zhi.\In the same way that you deceived your way into Kunlun Mountain\to steal the tactical formation strategy response:	deceive Yan Zhi to gain her pity.
context: the common border between the Ghost Realm and Qing Qiu.\After you pass through the woods, Qing Qiu will be towards the west\while the mortal realm will be towards the east.\Do not go the wrong way.\Head east to the mortal realm to find Yan Zhi.\In the same way that you deceived your way into Kunlun Mountain\to steal the tactical formation strategy\deceive Yan Zhi to gain her pity. response:	She is most kind. She will surely help you.
context: After you pass through the woods, Qing Qiu will be towards the west\while the mortal realm will be towards the east.\Do not go the wrong way.\Head east to the mortal realm to find Yan Zhi.\In the same way that you deceived your way into Kunlun Mountain\to steal the tactical formation strategy\deceive Yan Zhi to gain her pity.\She is most kind. She will surely help you. response:	And what you need to do is
context: while the mortal realm will be towards the east.\Do not go the wrong way.\Head east to the mortal realm to find Yan Zhi.\In the same way that you deceived your way into Kunlun Mountain\to steal the tactical formation strategy\deceive Yan Zhi to gain her pity.\She is most kind. She will surely help you.\And what you need to do is response:	do what you will do to me, and kill her!
context: Do not go the wrong way.\Head east to the mortal realm to find Yan Zhi.\In the same way that you deceived your way into Kunlun Mountain\to steal the tactical formation strategy\deceive Yan Zhi to gain her pity.\She is most kind. She will surely help you.\And what you need to do is\do what you will do to me, and kill her! response:	I am carrying a piece of jade.
context: Head east to the mortal realm to find Yan Zhi.\In the same way that you deceived your way into Kunlun Mountain\to steal the tactical formation strategy\deceive Yan Zhi to gain her pity.\She is most kind. She will surely help you.\And what you need to do is\do what you will do to me, and kill her!\I am carrying a piece of jade. response:	It will point you in the direction to find Yan Zhi.
context: In the same way that you deceived your way into Kunlun Mountain\to steal the tactical formation strategy\deceive Yan Zhi to gain her pity.\She is most kind. She will surely help you.\And what you need to do is\do what you will do to me, and kill her!\I am carrying a piece of jade.\It will point you in the direction to find Yan Zhi. response:	You must take it.
context: to steal the tactical formation strategy\deceive Yan Zhi to gain her pity.\She is most kind. She will surely help you.\And what you need to do is\do what you will do to me, and kill her!\I am carrying a piece of jade.\It will point you in the direction to find Yan Zhi.\You must take it. response:	When you are near Yan Zhi, this jade will burn hot.
context: deceive Yan Zhi to gain her pity.\She is most kind. She will surely help you.\And what you need to do is\do what you will do to me, and kill her!\I am carrying a piece of jade.\It will point you in the direction to find Yan Zhi.\You must take it.\When you are near Yan Zhi, this jade will burn hot. response:	Even if you cannot see, you will be able to recognize her.
context: She is most kind. She will surely help you.\And what you need to do is\do what you will do to me, and kill her!\I am carrying a piece of jade.\It will point you in the direction to find Yan Zhi.\You must take it.\When you are near Yan Zhi, this jade will burn hot.\Even if you cannot see, you will be able to recognize her. response:	You people of the Ghost Realm are indeed all vicious!
