context: Victory response:	Ten.
context: Now there's nothing left to stop the asteroid from falling.\Give it up and become a W.\Guriko!\Colonel, our troops have been wiped out.\Guriko!\Pine!\M-Meika...\Tell me what to do, like always. response:	No...
context: Give it up and become a W.\Guriko!\Colonel, our troops have been wiped out.\Guriko!\Pine!\M-Meika...\Tell me what to do, like always.\No... response:	This can't be happening...
context: Guriko!\Colonel, our troops have been wiped out.\Guriko!\Pine!\M-Meika...\Tell me what to do, like always.\No...\This can't be happening... response:	Narugino,
context: Colonel, our troops have been wiped out.\Guriko!\Pine!\M-Meika...\Tell me what to do, like always.\No...\This can't be happening...\Narugino, response:	you were born to become a hero.
context: Guriko!\Pine!\M-Meika...\Tell me what to do, like always.\No...\This can't be happening...\Narugino,\you were born to become a hero. response:	That's your destiny.
context: Pine!\M-Meika...\Tell me what to do, like always.\No...\This can't be happening...\Narugino,\you were born to become a hero.\That's your destiny. response:	You can't get away from it.
context: M-Meika...\Tell me what to do, like always.\No...\This can't be happening...\Narugino,\you were born to become a hero.\That's your destiny.\You can't get away from it. response:	It's okay, Ito-chan.
context: Tell me what to do, like always.\No...\This can't be happening...\Narugino,\you were born to become a hero.\That's your destiny.\You can't get away from it.\It's okay, Ito-chan. response:	I'm a hero.
context: No...\This can't be happening...\Narugino,\you were born to become a hero.\That's your destiny.\You can't get away from it.\It's okay, Ito-chan.\I'm a hero. response:	So I'll never give up.
context: This can't be happening...\Narugino,\you were born to become a hero.\That's your destiny.\You can't get away from it.\It's okay, Ito-chan.\I'm a hero.\So I'll never give up. response:	Stop, you two!
context: Narugino,\you were born to become a hero.\That's your destiny.\You can't get away from it.\It's okay, Ito-chan.\I'm a hero.\So I'll never give up.\Stop, you two! response:	Chiyoko!
context: you were born to become a hero.\That's your destiny.\You can't get away from it.\It's okay, Ito-chan.\I'm a hero.\So I'll never give up.\Stop, you two!\Chiyoko! response:	Pine!
context: That's your destiny.\You can't get away from it.\It's okay, Ito-chan.\I'm a hero.\So I'll never give up.\Stop, you two!\Chiyoko!\Pine! response:	Sorry, Chiyoko.
context: You can't get away from it.\It's okay, Ito-chan.\I'm a hero.\So I'll never give up.\Stop, you two!\Chiyoko!\Pine!\Sorry, Chiyoko. response:	I don't want you getting in my way.
context: It's okay, Ito-chan.\I'm a hero.\So I'll never give up.\Stop, you two!\Chiyoko!\Pine!\Sorry, Chiyoko.\I don't want you getting in my way. response:	Meika...
context: I'm a hero.\So I'll never give up.\Stop, you two!\Chiyoko!\Pine!\Sorry, Chiyoko.\I don't want you getting in my way.\Meika... response:	Guriko...
context: So I'll never give up.\Stop, you two!\Chiyoko!\Pine!\Sorry, Chiyoko.\I don't want you getting in my way.\Meika...\Guriko... response:	What happened to you?
context: Stop, you two!\Chiyoko!\Pine!\Sorry, Chiyoko.\I don't want you getting in my way.\Meika...\Guriko...\What happened to you? response:	You and Chiyoko would never understand...
context: Chiyoko!\Pine!\Sorry, Chiyoko.\I don't want you getting in my way.\Meika...\Guriko...\What happened to you?\You and Chiyoko would never understand... response:	The despair I've felt...
context: Pine!\Sorry, Chiyoko.\I don't want you getting in my way.\Meika...\Guriko...\What happened to you?\You and Chiyoko would never understand...\The despair I've felt... response:	The loneliness of having to give up everything, and just accept it!
context: Sorry, Chiyoko.\I don't want you getting in my way.\Meika...\Guriko...\What happened to you?\You and Chiyoko would never understand...\The despair I've felt...\The loneliness of having to give up everything, and just accept it! response:	I won't let the sadness repeat itself...
context: I don't want you getting in my way.\Meika...\Guriko...\What happened to you?\You and Chiyoko would never understand...\The despair I've felt...\The loneliness of having to give up everything, and just accept it!\I won't let the sadness repeat itself... response:	And to that end, I have to kill them all!
context: Meika...\Guriko...\What happened to you?\You and Chiyoko would never understand...\The despair I've felt...\The loneliness of having to give up everything, and just accept it!\I won't let the sadness repeat itself...\And to that end, I have to kill them all! response:	I've finally found you!
context: Guriko...\What happened to you?\You and Chiyoko would never understand...\The despair I've felt...\The loneliness of having to give up everything, and just accept it!\I won't let the sadness repeat itself...\And to that end, I have to kill them all!\I've finally found you! response:	What are you doing?!
context: What happened to you?\You and Chiyoko would never understand...\The despair I've felt...\The loneliness of having to give up everything, and just accept it!\I won't let the sadness repeat itself...\And to that end, I have to kill them all!\I've finally found you!\What are you doing?! response:	Now, hand over that cub!
context: You and Chiyoko would never understand...\The despair I've felt...\The loneliness of having to give up everything, and just accept it!\I won't let the sadness repeat itself...\And to that end, I have to kill them all!\I've finally found you!\What are you doing?!\Now, hand over that cub! response:	Are you...
context: The despair I've felt...\The loneliness of having to give up everything, and just accept it!\I won't let the sadness repeat itself...\And to that end, I have to kill them all!\I've finally found you!\What are you doing?!\Now, hand over that cub!\Are you... response:	Chiyoko...
context: The loneliness of having to give up everything, and just accept it!\I won't let the sadness repeat itself...\And to that end, I have to kill them all!\I've finally found you!\What are you doing?!\Now, hand over that cub!\Are you...\Chiyoko... response:	No, don't!
context: I won't let the sadness repeat itself...\And to that end, I have to kill them all!\I've finally found you!\What are you doing?!\Now, hand over that cub!\Are you...\Chiyoko...\No, don't! response:	I don't know how you know about me, but I'm sending you to Hell.
context: And to that end, I have to kill them all!\I've finally found you!\What are you doing?!\Now, hand over that cub!\Are you...\Chiyoko...\No, don't!\I don't know how you know about me, but I'm sending you to Hell. response:	You're the one going to Hell!
context: I've finally found you!\What are you doing?!\Now, hand over that cub!\Are you...\Chiyoko...\No, don't!\I don't know how you know about me, but I'm sending you to Hell.\You're the one going to Hell! response:	Wh-What is this?!
context: What are you doing?!\Now, hand over that cub!\Are you...\Chiyoko...\No, don't!\I don't know how you know about me, but I'm sending you to Hell.\You're the one going to Hell!\Wh-What is this?! response:	The sacred sake of God!
context: Now, hand over that cub!\Are you...\Chiyoko...\No, don't!\I don't know how you know about me, but I'm sending you to Hell.\You're the one going to Hell!\Wh-What is this?!\The sacred sake of God! response:	Auxiliary Power Activated
context: Are you...\Chiyoko...\No, don't!\I don't know how you know about me, but I'm sending you to Hell.\You're the one going to Hell!\Wh-What is this?!\The sacred sake of God!\Auxiliary Power Activated response:	Ito, I need you to do something.
context: Chiyoko...\No, don't!\I don't know how you know about me, but I'm sending you to Hell.\You're the one going to Hell!\Wh-What is this?!\The sacred sake of God!\Auxiliary Power Activated\Ito, I need you to do something. response:	Meika?
context: No, don't!\I don't know how you know about me, but I'm sending you to Hell.\You're the one going to Hell!\Wh-What is this?!\The sacred sake of God!\Auxiliary Power Activated\Ito, I need you to do something.\Meika? response:	We don't have time.
context: I don't know how you know about me, but I'm sending you to Hell.\You're the one going to Hell!\Wh-What is this?!\The sacred sake of God!\Auxiliary Power Activated\Ito, I need you to do something.\Meika?\We don't have time. response:	Listen to me.
context: You're the one going to Hell!\Wh-What is this?!\The sacred sake of God!\Auxiliary Power Activated\Ito, I need you to do something.\Meika?\We don't have time.\Listen to me. response:	There's one more...
context: Wh-What is this?!\The sacred sake of God!\Auxiliary Power Activated\Ito, I need you to do something.\Meika?\We don't have time.\Listen to me.\There's one more... response:	Just one more to launch.
context: The sacred sake of God!\Auxiliary Power Activated\Ito, I need you to do something.\Meika?\We don't have time.\Listen to me.\There's one more...\Just one more to launch. response:	So help sit me up there.
context: Auxiliary Power Activated\Ito, I need you to do something.\Meika?\We don't have time.\Listen to me.\There's one more...\Just one more to launch.\So help sit me up there. response:	Guri-chan, you...
context: Ito, I need you to do something.\Meika?\We don't have time.\Listen to me.\There's one more...\Just one more to launch.\So help sit me up there.\Guri-chan, you... response:	Rin, Pyou, Tou, Sha, Kai, Chin, Retsu, Zai, Zen!
context: Meika?\We don't have time.\Listen to me.\There's one more...\Just one more to launch.\So help sit me up there.\Guri-chan, you...\Rin, Pyou, Tou, Sha, Kai, Chin, Retsu, Zai, Zen! response:	Guri-chan, you...
context: We don't have time.\Listen to me.\There's one more...\Just one more to launch.\So help sit me up there.\Guri-chan, you...\Rin, Pyou, Tou, Sha, Kai, Chin, Retsu, Zai, Zen!\Guri-chan, you... response:	There.
context: Listen to me.\There's one more...\Just one more to launch.\So help sit me up there.\Guri-chan, you...\Rin, Pyou, Tou, Sha, Kai, Chin, Retsu, Zai, Zen!\Guri-chan, you...\There. response:	Guri-chan, you...
context: There's one more...\Just one more to launch.\So help sit me up there.\Guri-chan, you...\Rin, Pyou, Tou, Sha, Kai, Chin, Retsu, Zai, Zen!\Guri-chan, you...\There.\Guri-chan, you... response:	Evil spirits, begone!
context: Just one more to launch.\So help sit me up there.\Guri-chan, you...\Rin, Pyou, Tou, Sha, Kai, Chin, Retsu, Zai, Zen!\Guri-chan, you...\There.\Guri-chan, you...\Evil spirits, begone! response:	You idiot!
context: So help sit me up there.\Guri-chan, you...\Rin, Pyou, Tou, Sha, Kai, Chin, Retsu, Zai, Zen!\Guri-chan, you...\There.\Guri-chan, you...\Evil spirits, begone!\You idiot! response:	To all members of Justice Punch...
context: Guri-chan, you...\Rin, Pyou, Tou, Sha, Kai, Chin, Retsu, Zai, Zen!\Guri-chan, you...\There.\Guri-chan, you...\Evil spirits, begone!\You idiot!\To all members of Justice Punch... response:	The mission was a success.
context: Rin, Pyou, Tou, Sha, Kai, Chin, Retsu, Zai, Zen!\Guri-chan, you...\There.\Guri-chan, you...\Evil spirits, begone!\You idiot!\To all members of Justice Punch...\The mission was a success. response:	To all members of Justice Punch, the mission was a success!
context: Guri-chan, you...\There.\Guri-chan, you...\Evil spirits, begone!\You idiot!\To all members of Justice Punch...\The mission was a success.\To all members of Justice Punch, the mission was a success! response:	Chiyoko!
context: There.\Guri-chan, you...\Evil spirits, begone!\You idiot!\To all members of Justice Punch...\The mission was a success.\To all members of Justice Punch, the mission was a success!\Chiyoko! response:	You idiot, what have you done?!
context: Guri-chan, you...\Evil spirits, begone!\You idiot!\To all members of Justice Punch...\The mission was a success.\To all members of Justice Punch, the mission was a success!\Chiyoko!\You idiot, what have you done?! response:	Chiyoko...
context: Evil spirits, begone!\You idiot!\To all members of Justice Punch...\The mission was a success.\To all members of Justice Punch, the mission was a success!\Chiyoko!\You idiot, what have you done?!\Chiyoko... response:	Hey, Pine, when summer comes, let's go catch stag beetles.
context: You idiot!\To all members of Justice Punch...\The mission was a success.\To all members of Justice Punch, the mission was a success!\Chiyoko!\You idiot, what have you done?!\Chiyoko...\Hey, Pine, when summer comes, let's go catch stag beetles. response:	Giant stag beetles, the really big ones.
context: To all members of Justice Punch...\The mission was a success.\To all members of Justice Punch, the mission was a success!\Chiyoko!\You idiot, what have you done?!\Chiyoko...\Hey, Pine, when summer comes, let's go catch stag beetles.\Giant stag beetles, the really big ones. response:	And we'll play tag in the fields,
context: The mission was a success.\To all members of Justice Punch, the mission was a success!\Chiyoko!\You idiot, what have you done?!\Chiyoko...\Hey, Pine, when summer comes, let's go catch stag beetles.\Giant stag beetles, the really big ones.\And we'll play tag in the fields, response:	and slide down the hill on cardboard sleds.
context: To all members of Justice Punch, the mission was a success!\Chiyoko!\You idiot, what have you done?!\Chiyoko...\Hey, Pine, when summer comes, let's go catch stag beetles.\Giant stag beetles, the really big ones.\And we'll play tag in the fields,\and slide down the hill on cardboard sleds. response:	We'll make crowns out of Dutch clovers
context: Chiyoko!\You idiot, what have you done?!\Chiyoko...\Hey, Pine, when summer comes, let's go catch stag beetles.\Giant stag beetles, the really big ones.\And we'll play tag in the fields,\and slide down the hill on cardboard sleds.\We'll make crowns out of Dutch clovers response:	and pick watermelons in the fields.
context: You idiot, what have you done?!\Chiyoko...\Hey, Pine, when summer comes, let's go catch stag beetles.\Giant stag beetles, the really big ones.\And we'll play tag in the fields,\and slide down the hill on cardboard sleds.\We'll make crowns out of Dutch clovers\and pick watermelons in the fields. response:	Okay? Let's do it again, all three of us.
context: Chiyoko...\Hey, Pine, when summer comes, let's go catch stag beetles.\Giant stag beetles, the really big ones.\And we'll play tag in the fields,\and slide down the hill on cardboard sleds.\We'll make crowns out of Dutch clovers\and pick watermelons in the fields.\Okay? Let's do it again, all three of us. response:	Yeah, let's do it.
context: Hey, Pine, when summer comes, let's go catch stag beetles.\Giant stag beetles, the really big ones.\And we'll play tag in the fields,\and slide down the hill on cardboard sleds.\We'll make crowns out of Dutch clovers\and pick watermelons in the fields.\Okay? Let's do it again, all three of us.\Yeah, let's do it. response:	Promise me.
context: Giant stag beetles, the really big ones.\And we'll play tag in the fields,\and slide down the hill on cardboard sleds.\We'll make crowns out of Dutch clovers\and pick watermelons in the fields.\Okay? Let's do it again, all three of us.\Yeah, let's do it.\Promise me. response:	I promise.
context: And we'll play tag in the fields,\and slide down the hill on cardboard sleds.\We'll make crowns out of Dutch clovers\and pick watermelons in the fields.\Okay? Let's do it again, all three of us.\Yeah, let's do it.\Promise me.\I promise. response:	Hey!
context: and slide down the hill on cardboard sleds.\We'll make crowns out of Dutch clovers\and pick watermelons in the fields.\Okay? Let's do it again, all three of us.\Yeah, let's do it.\Promise me.\I promise.\Hey! response:	Chiyoko!
context: We'll make crowns out of Dutch clovers\and pick watermelons in the fields.\Okay? Let's do it again, all three of us.\Yeah, let's do it.\Promise me.\I promise.\Hey!\Chiyoko! response:	Please, wake up...
context: and pick watermelons in the fields.\Okay? Let's do it again, all three of us.\Yeah, let's do it.\Promise me.\I promise.\Hey!\Chiyoko!\Please, wake up... response:	Open your eyes!
context: Okay? Let's do it again, all three of us.\Yeah, let's do it.\Promise me.\I promise.\Hey!\Chiyoko!\Please, wake up...\Open your eyes! response:	This isn't the future I wanted!
context: Yeah, let's do it.\Promise me.\I promise.\Hey!\Chiyoko!\Please, wake up...\Open your eyes!\This isn't the future I wanted! response:	There's no point in saving the world if you aren't in it!
context: Promise me.\I promise.\Hey!\Chiyoko!\Please, wake up...\Open your eyes!\This isn't the future I wanted!\There's no point in saving the world if you aren't in it! response:	Looks like she isn't gone yet.
context: I promise.\Hey!\Chiyoko!\Please, wake up...\Open your eyes!\This isn't the future I wanted!\There's no point in saving the world if you aren't in it!\Looks like she isn't gone yet. response:	You!
context: Hey!\Chiyoko!\Please, wake up...\Open your eyes!\This isn't the future I wanted!\There's no point in saving the world if you aren't in it!\Looks like she isn't gone yet.\You! response:	You're still such a simpleton.
context: Chiyoko!\Please, wake up...\Open your eyes!\This isn't the future I wanted!\There's no point in saving the world if you aren't in it!\Looks like she isn't gone yet.\You!\You're still such a simpleton. response:	What?!
context: Please, wake up...\Open your eyes!\This isn't the future I wanted!\There's no point in saving the world if you aren't in it!\Looks like she isn't gone yet.\You!\You're still such a simpleton.\What?! response:	We can't do what happened at the dam
context: Open your eyes!\This isn't the future I wanted!\There's no point in saving the world if you aren't in it!\Looks like she isn't gone yet.\You!\You're still such a simpleton.\What?!\We can't do what happened at the dam response:	unless all three of us are Uberfied.
context: This isn't the future I wanted!\There's no point in saving the world if you aren't in it!\Looks like she isn't gone yet.\You!\You're still such a simpleton.\What?!\We can't do what happened at the dam\unless all three of us are Uberfied. response:	Hey, why were you fighting earlier?
context: There's no point in saving the world if you aren't in it!\Looks like she isn't gone yet.\You!\You're still such a simpleton.\What?!\We can't do what happened at the dam\unless all three of us are Uberfied.\Hey, why were you fighting earlier? response:	Guri-chan said she was going to give you some weird thing.
context: Looks like she isn't gone yet.\You!\You're still such a simpleton.\What?!\We can't do what happened at the dam\unless all three of us are Uberfied.\Hey, why were you fighting earlier?\Guri-chan said she was going to give you some weird thing. response:	Some weird thing?
context: You!\You're still such a simpleton.\What?!\We can't do what happened at the dam\unless all three of us are Uberfied.\Hey, why were you fighting earlier?\Guri-chan said she was going to give you some weird thing.\Some weird thing? response:	A wedding ring?
context: You're still such a simpleton.\What?!\We can't do what happened at the dam\unless all three of us are Uberfied.\Hey, why were you fighting earlier?\Guri-chan said she was going to give you some weird thing.\Some weird thing?\A wedding ring? response:	W-Wedding?!
context: What?!\We can't do what happened at the dam\unless all three of us are Uberfied.\Hey, why were you fighting earlier?\Guri-chan said she was going to give you some weird thing.\Some weird thing?\A wedding ring?\W-Wedding?! response:	N-No, no! What are you talking about?
context: We can't do what happened at the dam\unless all three of us are Uberfied.\Hey, why were you fighting earlier?\Guri-chan said she was going to give you some weird thing.\Some weird thing?\A wedding ring?\W-Wedding?!\N-No, no! What are you talking about? response:	All I said was that it's a promise ring.
context: unless all three of us are Uberfied.\Hey, why were you fighting earlier?\Guri-chan said she was going to give you some weird thing.\Some weird thing?\A wedding ring?\W-Wedding?!\N-No, no! What are you talking about?\All I said was that it's a promise ring. response:	Huh? Three?
context: Hey, why were you fighting earlier?\Guri-chan said she was going to give you some weird thing.\Some weird thing?\A wedding ring?\W-Wedding?!\N-No, no! What are you talking about?\All I said was that it's a promise ring.\Huh? Three? response:	Yeah.
context: Guri-chan said she was going to give you some weird thing.\Some weird thing?\A wedding ring?\W-Wedding?!\N-No, no! What are you talking about?\All I said was that it's a promise ring.\Huh? Three?\Yeah. response:	I made three.
context: Some weird thing?\A wedding ring?\W-Wedding?!\N-No, no! What are you talking about?\All I said was that it's a promise ring.\Huh? Three?\Yeah.\I made three. response:	Chiyoko,
context: A wedding ring?\W-Wedding?!\N-No, no! What are you talking about?\All I said was that it's a promise ring.\Huh? Three?\Yeah.\I made three.\Chiyoko, response:	Pine,
context: W-Wedding?!\N-No, no! What are you talking about?\All I said was that it's a promise ring.\Huh? Three?\Yeah.\I made three.\Chiyoko,\Pine, response:	and me.
context: N-No, no! What are you talking about?\All I said was that it's a promise ring.\Huh? Three?\Yeah.\I made three.\Chiyoko,\Pine,\and me. response:	Okay, let's make a promise.
context: All I said was that it's a promise ring.\Huh? Three?\Yeah.\I made three.\Chiyoko,\Pine,\and me.\Okay, let's make a promise. response:	The three of us will always be friends, no matter what.
context: Huh? Three?\Yeah.\I made three.\Chiyoko,\Pine,\and me.\Okay, let's make a promise.\The three of us will always be friends, no matter what. response:	Of course I promise!
context: Yeah.\I made three.\Chiyoko,\Pine,\and me.\Okay, let's make a promise.\The three of us will always be friends, no matter what.\Of course I promise! response:	Yeah, me too.
context: I made three.\Chiyoko,\Pine,\and me.\Okay, let's make a promise.\The three of us will always be friends, no matter what.\Of course I promise!\Yeah, me too. response:	Well, we should head back before the sun goes down.
context: Chiyoko,\Pine,\and me.\Okay, let's make a promise.\The three of us will always be friends, no matter what.\Of course I promise!\Yeah, me too.\Well, we should head back before the sun goes down. response:	Yeah!
context: Pine,\and me.\Okay, let's make a promise.\The three of us will always be friends, no matter what.\Of course I promise!\Yeah, me too.\Well, we should head back before the sun goes down.\Yeah! response:	Well, we should go back, too.
context: and me.\Okay, let's make a promise.\The three of us will always be friends, no matter what.\Of course I promise!\Yeah, me too.\Well, we should head back before the sun goes down.\Yeah!\Well, we should go back, too. response:	Back to the bodies we used to have.
context: Okay, let's make a promise.\The three of us will always be friends, no matter what.\Of course I promise!\Yeah, me too.\Well, we should head back before the sun goes down.\Yeah!\Well, we should go back, too.\Back to the bodies we used to have. response:	Sorry, Guriko, but I can't do that.
context: The three of us will always be friends, no matter what.\Of course I promise!\Yeah, me too.\Well, we should head back before the sun goes down.\Yeah!\Well, we should go back, too.\Back to the bodies we used to have.\Sorry, Guriko, but I can't do that. response:	I can't forgive you.
context: Of course I promise!\Yeah, me too.\Well, we should head back before the sun goes down.\Yeah!\Well, we should go back, too.\Back to the bodies we used to have.\Sorry, Guriko, but I can't do that.\I can't forgive you. response:	So...
context: Yeah, me too.\Well, we should head back before the sun goes down.\Yeah!\Well, we should go back, too.\Back to the bodies we used to have.\Sorry, Guriko, but I can't do that.\I can't forgive you.\So... response:	You're going to live.
context: Well, we should head back before the sun goes down.\Yeah!\Well, we should go back, too.\Back to the bodies we used to have.\Sorry, Guriko, but I can't do that.\I can't forgive you.\So...\You're going to live. response:	Live, and atone for your sins.
context: Yeah!\Well, we should go back, too.\Back to the bodies we used to have.\Sorry, Guriko, but I can't do that.\I can't forgive you.\So...\You're going to live.\Live, and atone for your sins. response:	Wait! No!
context: Well, we should go back, too.\Back to the bodies we used to have.\Sorry, Guriko, but I can't do that.\I can't forgive you.\So...\You're going to live.\Live, and atone for your sins.\Wait! No! response:	Pine!
