context: You Are Here response:	Koichi...
context: What I wanted to ask you about is this town map.\It's quite bizarre.\Look.\Convenience Store Owson\Kisara Drugstore\Soba Shop Arisugawa\Tailor Tanaka\You Are Here response:	Soba Shop Arisugawa, Kisara Drugstore,
context: It's quite bizarre.\Look.\Convenience Store Owson\Kisara Drugstore\Soba Shop Arisugawa\Tailor Tanaka\You Are Here\Soba Shop Arisugawa, Kisara Drugstore, response:	and the convenience store Owson is how the shops line up from the right.
context: Look.\Convenience Store Owson\Kisara Drugstore\Soba Shop Arisugawa\Tailor Tanaka\You Are Here\Soba Shop Arisugawa, Kisara Drugstore,\and the convenience store Owson is how the shops line up from the right. response:	Huh?
context: Convenience Store Owson\Kisara Drugstore\Soba Shop Arisugawa\Tailor Tanaka\You Are Here\Soba Shop Arisugawa, Kisara Drugstore,\and the convenience store Owson is how the shops line up from the right.\Huh? response:	Now look at the actual shops.
context: Kisara Drugstore\Soba Shop Arisugawa\Tailor Tanaka\You Are Here\Soba Shop Arisugawa, Kisara Drugstore,\and the convenience store Owson is how the shops line up from the right.\Huh?\Now look at the actual shops. response:	From the right, it's Soba Shop Arisugawa, Kisara Drugstore, and...
context: Soba Shop Arisugawa\Tailor Tanaka\You Are Here\Soba Shop Arisugawa, Kisara Drugstore,\and the convenience store Owson is how the shops line up from the right.\Huh?\Now look at the actual shops.\From the right, it's Soba Shop Arisugawa, Kisara Drugstore, and... response:	Owson on the left...
context: Tailor Tanaka\You Are Here\Soba Shop Arisugawa, Kisara Drugstore,\and the convenience store Owson is how the shops line up from the right.\Huh?\Now look at the actual shops.\From the right, it's Soba Shop Arisugawa, Kisara Drugstore, and...\Owson on the left... response:	Huh?
context: You Are Here\Soba Shop Arisugawa, Kisara Drugstore,\and the convenience store Owson is how the shops line up from the right.\Huh?\Now look at the actual shops.\From the right, it's Soba Shop Arisugawa, Kisara Drugstore, and...\Owson on the left...\Huh? response:	The road between Owson and the drugstore isn't on the map.
context: Soba Shop Arisugawa, Kisara Drugstore,\and the convenience store Owson is how the shops line up from the right.\Huh?\Now look at the actual shops.\From the right, it's Soba Shop Arisugawa, Kisara Drugstore, and...\Owson on the left...\Huh?\The road between Owson and the drugstore isn't on the map. response:	How lazy of them.
context: and the convenience store Owson is how the shops line up from the right.\Huh?\Now look at the actual shops.\From the right, it's Soba Shop Arisugawa, Kisara Drugstore, and...\Owson on the left...\Huh?\The road between Owson and the drugstore isn't on the map.\How lazy of them. response:	Koichi, will you come with me for a bit?
context: Huh?\Now look at the actual shops.\From the right, it's Soba Shop Arisugawa, Kisara Drugstore, and...\Owson on the left...\Huh?\The road between Owson and the drugstore isn't on the map.\How lazy of them.\Koichi, will you come with me for a bit? response:	I'd be very grateful if you'd show me around here.
context: Now look at the actual shops.\From the right, it's Soba Shop Arisugawa, Kisara Drugstore, and...\Owson on the left...\Huh?\The road between Owson and the drugstore isn't on the map.\How lazy of them.\Koichi, will you come with me for a bit?\I'd be very grateful if you'd show me around here. response:	Huh? Well, I, uh...
context: From the right, it's Soba Shop Arisugawa, Kisara Drugstore, and...\Owson on the left...\Huh?\The road between Owson and the drugstore isn't on the map.\How lazy of them.\Koichi, will you come with me for a bit?\I'd be very grateful if you'd show me around here.\Huh? Well, I, uh... response:	Even after I, Rohan Kishibe, have asked so courteously?
context: Owson on the left...\Huh?\The road between Owson and the drugstore isn't on the map.\How lazy of them.\Koichi, will you come with me for a bit?\I'd be very grateful if you'd show me around here.\Huh? Well, I, uh...\Even after I, Rohan Kishibe, have asked so courteously? response:	I see.
context: Huh?\The road between Owson and the drugstore isn't on the map.\How lazy of them.\Koichi, will you come with me for a bit?\I'd be very grateful if you'd show me around here.\Huh? Well, I, uh...\Even after I, Rohan Kishibe, have asked so courteously?\I see. response:	So you're not even willing to walk ten or so meters.
context: The road between Owson and the drugstore isn't on the map.\How lazy of them.\Koichi, will you come with me for a bit?\I'd be very grateful if you'd show me around here.\Huh? Well, I, uh...\Even after I, Rohan Kishibe, have asked so courteously?\I see.\So you're not even willing to walk ten or so meters. response:	You're so selfish. Jeez...
context: How lazy of them.\Koichi, will you come with me for a bit?\I'd be very grateful if you'd show me around here.\Huh? Well, I, uh...\Even after I, Rohan Kishibe, have asked so courteously?\I see.\So you're not even willing to walk ten or so meters.\You're so selfish. Jeez... response:	Just five minutes, okay, Sensei?
context: Koichi, will you come with me for a bit?\I'd be very grateful if you'd show me around here.\Huh? Well, I, uh...\Even after I, Rohan Kishibe, have asked so courteously?\I see.\So you're not even willing to walk ten or so meters.\You're so selfish. Jeez...\Just five minutes, okay, Sensei? response:	Just five minutes!
context: I'd be very grateful if you'd show me around here.\Huh? Well, I, uh...\Even after I, Rohan Kishibe, have asked so courteously?\I see.\So you're not even willing to walk ten or so meters.\You're so selfish. Jeez...\Just five minutes, okay, Sensei?\Just five minutes! response:	Episode 17 Rohan Kishibe's Adventure
context: Huh? Well, I, uh...\Even after I, Rohan Kishibe, have asked so courteously?\I see.\So you're not even willing to walk ten or so meters.\You're so selfish. Jeez...\Just five minutes, okay, Sensei?\Just five minutes!\Episode 17 Rohan Kishibe's Adventure response:	Isn't it bizarre?
context: Even after I, Rohan Kishibe, have asked so courteously?\I see.\So you're not even willing to walk ten or so meters.\You're so selfish. Jeez...\Just five minutes, okay, Sensei?\Just five minutes!\Episode 17 Rohan Kishibe's Adventure\Isn't it bizarre? response:	This road isn't on this 1/3000 scale map
context: I see.\So you're not even willing to walk ten or so meters.\You're so selfish. Jeez...\Just five minutes, okay, Sensei?\Just five minutes!\Episode 17 Rohan Kishibe's Adventure\Isn't it bizarre?\This road isn't on this 1/3000 scale map response:	of Morioh published by National Map Publishers.
context: So you're not even willing to walk ten or so meters.\You're so selfish. Jeez...\Just five minutes, okay, Sensei?\Just five minutes!\Episode 17 Rohan Kishibe's Adventure\Isn't it bizarre?\This road isn't on this 1/3000 scale map\of Morioh published by National Map Publishers. response:	Huh? Sometimes if you find errors in maps,
context: You're so selfish. Jeez...\Just five minutes, okay, Sensei?\Just five minutes!\Episode 17 Rohan Kishibe's Adventure\Isn't it bizarre?\This road isn't on this 1/3000 scale map\of Morioh published by National Map Publishers.\Huh? Sometimes if you find errors in maps, response:	they'll give you a bookstore gift certificate.
context: Just five minutes, okay, Sensei?\Just five minutes!\Episode 17 Rohan Kishibe's Adventure\Isn't it bizarre?\This road isn't on this 1/3000 scale map\of Morioh published by National Map Publishers.\Huh? Sometimes if you find errors in maps,\they'll give you a bookstore gift certificate. response:	Ugh...
context: Just five minutes!\Episode 17 Rohan Kishibe's Adventure\Isn't it bizarre?\This road isn't on this 1/3000 scale map\of Morioh published by National Map Publishers.\Huh? Sometimes if you find errors in maps,\they'll give you a bookstore gift certificate.\Ugh... response:	Jeez, this map is infuriating.
context: Episode 17 Rohan Kishibe's Adventure\Isn't it bizarre?\This road isn't on this 1/3000 scale map\of Morioh published by National Map Publishers.\Huh? Sometimes if you find errors in maps,\they'll give you a bookstore gift certificate.\Ugh...\Jeez, this map is infuriating. response:	Look, Koichi.
context: Isn't it bizarre?\This road isn't on this 1/3000 scale map\of Morioh published by National Map Publishers.\Huh? Sometimes if you find errors in maps,\they'll give you a bookstore gift certificate.\Ugh...\Jeez, this map is infuriating.\Look, Koichi. response:	Yonemori
context: This road isn't on this 1/3000 scale map\of Morioh published by National Map Publishers.\Huh? Sometimes if you find errors in maps,\they'll give you a bookstore gift certificate.\Ugh...\Jeez, this map is infuriating.\Look, Koichi.\Yonemori response:	These houses that say Yonemori, Honma, and Onodera aren't on it, either.
context: of Morioh published by National Map Publishers.\Huh? Sometimes if you find errors in maps,\they'll give you a bookstore gift certificate.\Ugh...\Jeez, this map is infuriating.\Look, Koichi.\Yonemori\These houses that say Yonemori, Honma, and Onodera aren't on it, either. response:	Honma
context: Huh? Sometimes if you find errors in maps,\they'll give you a bookstore gift certificate.\Ugh...\Jeez, this map is infuriating.\Look, Koichi.\Yonemori\These houses that say Yonemori, Honma, and Onodera aren't on it, either.\Honma response:	Numakura
context: they'll give you a bookstore gift certificate.\Ugh...\Jeez, this map is infuriating.\Look, Koichi.\Yonemori\These houses that say Yonemori, Honma, and Onodera aren't on it, either.\Honma\Numakura response:	Onodera
context: Ugh...\Jeez, this map is infuriating.\Look, Koichi.\Yonemori\These houses that say Yonemori, Honma, and Onodera aren't on it, either.\Honma\Numakura\Onodera response:	This map is filled with errors.
context: Jeez, this map is infuriating.\Look, Koichi.\Yonemori\These houses that say Yonemori, Honma, and Onodera aren't on it, either.\Honma\Numakura\Onodera\This map is filled with errors. response:	Two or three bookstore gift certificates won't cover this.
context: Look, Koichi.\Yonemori\These houses that say Yonemori, Honma, and Onodera aren't on it, either.\Honma\Numakura\Onodera\This map is filled with errors.\Two or three bookstore gift certificates won't cover this. response:	Rohan-sensei..
context: Yonemori\These houses that say Yonemori, Honma, and Onodera aren't on it, either.\Honma\Numakura\Onodera\This map is filled with errors.\Two or three bookstore gift certificates won't cover this.\Rohan-sensei.. response:	Looks like an empty house.
context: These houses that say Yonemori, Honma, and Onodera aren't on it, either.\Honma\Numakura\Onodera\This map is filled with errors.\Two or three bookstore gift certificates won't cover this.\Rohan-sensei..\Looks like an empty house. response:	Rocky
context: Honma\Numakura\Onodera\This map is filled with errors.\Two or three bookstore gift certificates won't cover this.\Rohan-sensei..\Looks like an empty house.\Rocky response:	What a strange place.
context: Numakura\Onodera\This map is filled with errors.\Two or three bookstore gift certificates won't cover this.\Rohan-sensei..\Looks like an empty house.\Rocky\What a strange place. response:	It doesn't look like anyone lives in these four or five houses.
context: Onodera\This map is filled with errors.\Two or three bookstore gift certificates won't cover this.\Rohan-sensei..\Looks like an empty house.\Rocky\What a strange place.\It doesn't look like anyone lives in these four or five houses. response:	Even the electricity to the vending machine's been cut.
context: This map is filled with errors.\Two or three bookstore gift certificates won't cover this.\Rohan-sensei..\Looks like an empty house.\Rocky\What a strange place.\It doesn't look like anyone lives in these four or five houses.\Even the electricity to the vending machine's been cut. response:	Huh?
context: Two or three bookstore gift certificates won't cover this.\Rohan-sensei..\Looks like an empty house.\Rocky\What a strange place.\It doesn't look like anyone lives in these four or five houses.\Even the electricity to the vending machine's been cut.\Huh? response:	That post box...
context: Rohan-sensei..\Looks like an empty house.\Rocky\What a strange place.\It doesn't look like anyone lives in these four or five houses.\Even the electricity to the vending machine's been cut.\Huh?\That post box... response:	This is where we first turned.
context: Looks like an empty house.\Rocky\What a strange place.\It doesn't look like anyone lives in these four or five houses.\Even the electricity to the vending machine's been cut.\Huh?\That post box...\This is where we first turned. response:	How strange...
context: Rocky\What a strange place.\It doesn't look like anyone lives in these four or five houses.\Even the electricity to the vending machine's been cut.\Huh?\That post box...\This is where we first turned.\How strange... response:	How did we end up back where we started again?
context: What a strange place.\It doesn't look like anyone lives in these four or five houses.\Even the electricity to the vending machine's been cut.\Huh?\That post box...\This is where we first turned.\How strange...\How did we end up back where we started again? response:	But we turned right, left, then right, so how...
context: It doesn't look like anyone lives in these four or five houses.\Even the electricity to the vending machine's been cut.\Huh?\That post box...\This is where we first turned.\How strange...\How did we end up back where we started again?\But we turned right, left, then right, so how... response:	It's possible that we're being attacked by someone's Stand.
context: Even the electricity to the vending machine's been cut.\Huh?\That post box...\This is where we first turned.\How strange...\How did we end up back where we started again?\But we turned right, left, then right, so how...\It's possible that we're being attacked by someone's Stand. response:	Huh? Stand?!
context: Huh?\That post box...\This is where we first turned.\How strange...\How did we end up back where we started again?\But we turned right, left, then right, so how...\It's possible that we're being attacked by someone's Stand.\Huh? Stand?! response:	Koichi, would you have Reverb fly up to the sky?
context: That post box...\This is where we first turned.\How strange...\How did we end up back where we started again?\But we turned right, left, then right, so how...\It's possible that we're being attacked by someone's Stand.\Huh? Stand?!\Koichi, would you have Reverb fly up to the sky? response:	I see!
context: This is where we first turned.\How strange...\How did we end up back where we started again?\But we turned right, left, then right, so how...\It's possible that we're being attacked by someone's Stand.\Huh? Stand?!\Koichi, would you have Reverb fly up to the sky?\I see! response:	If it looks down from above, we'll see which way to go.
context: How strange...\How did we end up back where we started again?\But we turned right, left, then right, so how...\It's possible that we're being attacked by someone's Stand.\Huh? Stand?!\Koichi, would you have Reverb fly up to the sky?\I see!\If it looks down from above, we'll see which way to go. response:	Reverb Act 1!
context: How did we end up back where we started again?\But we turned right, left, then right, so how...\It's possible that we're being attacked by someone's Stand.\Huh? Stand?!\Koichi, would you have Reverb fly up to the sky?\I see!\If it looks down from above, we'll see which way to go.\Reverb Act 1! response:	What's the matter?
context: But we turned right, left, then right, so how...\It's possible that we're being attacked by someone's Stand.\Huh? Stand?!\Koichi, would you have Reverb fly up to the sky?\I see!\If it looks down from above, we'll see which way to go.\Reverb Act 1!\What's the matter? response:	Th-There's something there.
context: It's possible that we're being attacked by someone's Stand.\Huh? Stand?!\Koichi, would you have Reverb fly up to the sky?\I see!\If it looks down from above, we'll see which way to go.\Reverb Act 1!\What's the matter?\Th-There's something there. response:	Something touched it up in the sky.
context: Huh? Stand?!\Koichi, would you have Reverb fly up to the sky?\I see!\If it looks down from above, we'll see which way to go.\Reverb Act 1!\What's the matter?\Th-There's something there.\Something touched it up in the sky. response:	I didn't see anything.
context: Koichi, would you have Reverb fly up to the sky?\I see!\If it looks down from above, we'll see which way to go.\Reverb Act 1!\What's the matter?\Th-There's something there.\Something touched it up in the sky.\I didn't see anything. response:	But something definitely touched it!
context: I see!\If it looks down from above, we'll see which way to go.\Reverb Act 1!\What's the matter?\Th-There's something there.\Something touched it up in the sky.\I didn't see anything.\But something definitely touched it! response:	Are you two lost?
context: If it looks down from above, we'll see which way to go.\Reverb Act 1!\What's the matter?\Th-There's something there.\Something touched it up in the sky.\I didn't see anything.\But something definitely touched it!\Are you two lost? response:	Want me to show you the way?
context: Reverb Act 1!\What's the matter?\Th-There's something there.\Something touched it up in the sky.\I didn't see anything.\But something definitely touched it!\Are you two lost?\Want me to show you the way? response:	A girl!
context: What's the matter?\Th-There's something there.\Something touched it up in the sky.\I didn't see anything.\But something definitely touched it!\Are you two lost?\Want me to show you the way?\A girl! response:	That girl's a Stand user!
context: Th-There's something there.\Something touched it up in the sky.\I didn't see anything.\But something definitely touched it!\Are you two lost?\Want me to show you the way?\A girl!\That girl's a Stand user! response:	Heaven's Door!
context: Something touched it up in the sky.\I didn't see anything.\But something definitely touched it!\Are you two lost?\Want me to show you the way?\A girl!\That girl's a Stand user!\Heaven's Door! response:	Don't even give her a chance to speak!
context: I didn't see anything.\But something definitely touched it!\Are you two lost?\Want me to show you the way?\A girl!\That girl's a Stand user!\Heaven's Door!\Don't even give her a chance to speak! response:	Victory to the swiftest!
context: But something definitely touched it!\Are you two lost?\Want me to show you the way?\A girl!\That girl's a Stand user!\Heaven's Door!\Don't even give her a chance to speak!\Victory to the swiftest! response:	Boom
context: Are you two lost?\Want me to show you the way?\A girl!\That girl's a Stand user!\Heaven's Door!\Don't even give her a chance to speak!\Victory to the swiftest!\Boom response:	Now we're safe.
context: Want me to show you the way?\A girl!\That girl's a Stand user!\Heaven's Door!\Don't even give her a chance to speak!\Victory to the swiftest!\Boom\Now we're safe. response:	She won't be able to harm us.
context: A girl!\That girl's a Stand user!\Heaven's Door!\Don't even give her a chance to speak!\Victory to the swiftest!\Boom\Now we're safe.\She won't be able to harm us. response:	That's amazing!
context: That girl's a Stand user!\Heaven's Door!\Don't even give her a chance to speak!\Victory to the swiftest!\Boom\Now we're safe.\She won't be able to harm us.\That's amazing! response:	I-It looked like a drawing leaped out just now...
context: Heaven's Door!\Don't even give her a chance to speak!\Victory to the swiftest!\Boom\Now we're safe.\She won't be able to harm us.\That's amazing!\I-It looked like a drawing leaped out just now... response:	I guess that means I've matured a bit.
context: Don't even give her a chance to speak!\Victory to the swiftest!\Boom\Now we're safe.\She won't be able to harm us.\That's amazing!\I-It looked like a drawing leaped out just now...\I guess that means I've matured a bit. response:	Though it wouldn't work on lame people like Josuke,
context: Victory to the swiftest!\Boom\Now we're safe.\She won't be able to harm us.\That's amazing!\I-It looked like a drawing leaped out just now...\I guess that means I've matured a bit.\Though it wouldn't work on lame people like Josuke, response:	who don't like my manga.
context: Boom\Now we're safe.\She won't be able to harm us.\That's amazing!\I-It looked like a drawing leaped out just now...\I guess that means I've matured a bit.\Though it wouldn't work on lame people like Josuke,\who don't like my manga. response:	We're on the same wavelength.
context: Now we're safe.\She won't be able to harm us.\That's amazing!\I-It looked like a drawing leaped out just now...\I guess that means I've matured a bit.\Though it wouldn't work on lame people like Josuke,\who don't like my manga.\We're on the same wavelength. response:	She's not a Stand user. She's just a normal girl.
context: She won't be able to harm us.\That's amazing!\I-It looked like a drawing leaped out just now...\I guess that means I've matured a bit.\Though it wouldn't work on lame people like Josuke,\who don't like my manga.\We're on the same wavelength.\She's not a Stand user. She's just a normal girl. response:	Huh? Sh-She's not an enemy?
context: That's amazing!\I-It looked like a drawing leaped out just now...\I guess that means I've matured a bit.\Though it wouldn't work on lame people like Josuke,\who don't like my manga.\We're on the same wavelength.\She's not a Stand user. She's just a normal girl.\Huh? Sh-She's not an enemy? response:	Right. You can't hide anything from Heaven's Door.
context: I-It looked like a drawing leaped out just now...\I guess that means I've matured a bit.\Though it wouldn't work on lame people like Josuke,\who don't like my manga.\We're on the same wavelength.\She's not a Stand user. She's just a normal girl.\Huh? Sh-She's not an enemy?\Right. You can't hide anything from Heaven's Door. response:	She's Reimi Sugimoto, age 16.
context: I guess that means I've matured a bit.\Though it wouldn't work on lame people like Josuke,\who don't like my manga.\We're on the same wavelength.\She's not a Stand user. She's just a normal girl.\Huh? Sh-She's not an enemy?\Right. You can't hide anything from Heaven's Door.\She's Reimi Sugimoto, age 16. response:	Her address is 3-12, Kotodai, Morioh.
context: Though it wouldn't work on lame people like Josuke,\who don't like my manga.\We're on the same wavelength.\She's not a Stand user. She's just a normal girl.\Huh? Sh-She's not an enemy?\Right. You can't hide anything from Heaven's Door.\She's Reimi Sugimoto, age 16.\Her address is 3-12, Kotodai, Morioh. response:	It's right over there.
context: who don't like my manga.\We're on the same wavelength.\She's not a Stand user. She's just a normal girl.\Huh? Sh-She's not an enemy?\Right. You can't hide anything from Heaven's Door.\She's Reimi Sugimoto, age 16.\Her address is 3-12, Kotodai, Morioh.\It's right over there. response:	She doesn't have a boyfriend. Her measurements are 82-57-84 centimeters.
context: We're on the same wavelength.\She's not a Stand user. She's just a normal girl.\Huh? Sh-She's not an enemy?\Right. You can't hide anything from Heaven's Door.\She's Reimi Sugimoto, age 16.\Her address is 3-12, Kotodai, Morioh.\It's right over there.\She doesn't have a boyfriend. Her measurements are 82-57-84 centimeters. response:	She has a mole on the side of her left nipple.
context: She's not a Stand user. She's just a normal girl.\Huh? Sh-She's not an enemy?\Right. You can't hide anything from Heaven's Door.\She's Reimi Sugimoto, age 16.\Her address is 3-12, Kotodai, Morioh.\It's right over there.\She doesn't have a boyfriend. Her measurements are 82-57-84 centimeters.\She has a mole on the side of her left nipple. response:	She had her first period the September after she turned 11.
context: Huh? Sh-She's not an enemy?\Right. You can't hide anything from Heaven's Door.\She's Reimi Sugimoto, age 16.\Her address is 3-12, Kotodai, Morioh.\It's right over there.\She doesn't have a boyfriend. Her measurements are 82-57-84 centimeters.\She has a mole on the side of her left nipple.\She had her first period the September after she turned 11. response:	The first time she kissed a boy, he forced his tongue into her mouth.
context: Right. You can't hide anything from Heaven's Door.\She's Reimi Sugimoto, age 16.\Her address is 3-12, Kotodai, Morioh.\It's right over there.\She doesn't have a boyfriend. Her measurements are 82-57-84 centimeters.\She has a mole on the side of her left nipple.\She had her first period the September after she turned 11.\The first time she kissed a boy, he forced his tongue into her mouth. response:	Hey! Hold on a sec, Rohan Kishibe!
context: She's Reimi Sugimoto, age 16.\Her address is 3-12, Kotodai, Morioh.\It's right over there.\She doesn't have a boyfriend. Her measurements are 82-57-84 centimeters.\She has a mole on the side of her left nipple.\She had her first period the September after she turned 11.\The first time she kissed a boy, he forced his tongue into her mouth.\Hey! Hold on a sec, Rohan Kishibe! response:	If that girl's not a Stand user,
context: Her address is 3-12, Kotodai, Morioh.\It's right over there.\She doesn't have a boyfriend. Her measurements are 82-57-84 centimeters.\She has a mole on the side of her left nipple.\She had her first period the September after she turned 11.\The first time she kissed a boy, he forced his tongue into her mouth.\Hey! Hold on a sec, Rohan Kishibe!\If that girl's not a Stand user, response:	then I won't allow you to read any more about her!
context: It's right over there.\She doesn't have a boyfriend. Her measurements are 82-57-84 centimeters.\She has a mole on the side of her left nipple.\She had her first period the September after she turned 11.\The first time she kissed a boy, he forced his tongue into her mouth.\Hey! Hold on a sec, Rohan Kishibe!\If that girl's not a Stand user,\then I won't allow you to read any more about her! response:	All right, all right.
context: She doesn't have a boyfriend. Her measurements are 82-57-84 centimeters.\She has a mole on the side of her left nipple.\She had her first period the September after she turned 11.\The first time she kissed a boy, he forced his tongue into her mouth.\Hey! Hold on a sec, Rohan Kishibe!\If that girl's not a Stand user,\then I won't allow you to read any more about her!\All right, all right. response:	Don't get so angry.
context: She has a mole on the side of her left nipple.\She had her first period the September after she turned 11.\The first time she kissed a boy, he forced his tongue into her mouth.\Hey! Hold on a sec, Rohan Kishibe!\If that girl's not a Stand user,\then I won't allow you to read any more about her!\All right, all right.\Don't get so angry. response:	She'll forget everything that just happened. There.
context: She had her first period the September after she turned 11.\The first time she kissed a boy, he forced his tongue into her mouth.\Hey! Hold on a sec, Rohan Kishibe!\If that girl's not a Stand user,\then I won't allow you to read any more about her!\All right, all right.\Don't get so angry.\She'll forget everything that just happened. There. response:	Want me to show you the way?
context: The first time she kissed a boy, he forced his tongue into her mouth.\Hey! Hold on a sec, Rohan Kishibe!\If that girl's not a Stand user,\then I won't allow you to read any more about her!\All right, all right.\Don't get so angry.\She'll forget everything that just happened. There.\Want me to show you the way? response:	A lot of people get lost around here,
context: Hey! Hold on a sec, Rohan Kishibe!\If that girl's not a Stand user,\then I won't allow you to read any more about her!\All right, all right.\Don't get so angry.\She'll forget everything that just happened. There.\Want me to show you the way?\A lot of people get lost around here, response:	since all the alleys looks alike.
context: If that girl's not a Stand user,\then I won't allow you to read any more about her!\All right, all right.\Don't get so angry.\She'll forget everything that just happened. There.\Want me to show you the way?\A lot of people get lost around here,\since all the alleys looks alike. response:	We'll be fine if you could just tell us which way to go.
