context: What happened to me? response:	Is this...
context: What's going on here?\What was with that dream?\What? Are you still dreaming?\Jin-san? What are you, psychic?\I get that a lot, but I'm afraid not.\I thought you might still be buzzing from the Nyapollon experience.\Oh, that...\Look at this. response:	Please participate in the following survey about Milky Way Cat Nyapollon.
context: What was with that dream?\What? Are you still dreaming?\Jin-san? What are you, psychic?\I get that a lot, but I'm afraid not.\I thought you might still be buzzing from the Nyapollon experience.\Oh, that...\Look at this.\Please participate in the following survey about Milky Way Cat Nyapollon. response:	Nyapollon's survey.
context: What? Are you still dreaming?\Jin-san? What are you, psychic?\I get that a lot, but I'm afraid not.\I thought you might still be buzzing from the Nyapollon experience.\Oh, that...\Look at this.\Please participate in the following survey about Milky Way Cat Nyapollon.\Nyapollon's survey. response:	This is the majority of them.
context: Jin-san? What are you, psychic?\I get that a lot, but I'm afraid not.\I thought you might still be buzzing from the Nyapollon experience.\Oh, that...\Look at this.\Please participate in the following survey about Milky Way Cat Nyapollon.\Nyapollon's survey.\This is the majority of them. response:	Looks like everyone enjoyed the show.
context: I get that a lot, but I'm afraid not.\I thought you might still be buzzing from the Nyapollon experience.\Oh, that...\Look at this.\Please participate in the following survey about Milky Way Cat Nyapollon.\Nyapollon's survey.\This is the majority of them.\Looks like everyone enjoyed the show. response:	Really?
context: I thought you might still be buzzing from the Nyapollon experience.\Oh, that...\Look at this.\Please participate in the following survey about Milky Way Cat Nyapollon.\Nyapollon's survey.\This is the majority of them.\Looks like everyone enjoyed the show.\Really? response:	Good job, Sorata.
context: Oh, that...\Look at this.\Please participate in the following survey about Milky Way Cat Nyapollon.\Nyapollon's survey.\This is the majority of them.\Looks like everyone enjoyed the show.\Really?\Good job, Sorata. response:	It was because everyone else did such a great job...
context: Look at this.\Please participate in the following survey about Milky Way Cat Nyapollon.\Nyapollon's survey.\This is the majority of them.\Looks like everyone enjoyed the show.\Really?\Good job, Sorata.\It was because everyone else did such a great job... response:	It didn't matter who was in my position.
context: Please participate in the following survey about Milky Way Cat Nyapollon.\Nyapollon's survey.\This is the majority of them.\Looks like everyone enjoyed the show.\Really?\Good job, Sorata.\It was because everyone else did such a great job...\It didn't matter who was in my position. response:	The end result would have been the same.
context: Nyapollon's survey.\This is the majority of them.\Looks like everyone enjoyed the show.\Really?\Good job, Sorata.\It was because everyone else did such a great job...\It didn't matter who was in my position.\The end result would have been the same. response:	That's very modest of you.
context: This is the majority of them.\Looks like everyone enjoyed the show.\Really?\Good job, Sorata.\It was because everyone else did such a great job...\It didn't matter who was in my position.\The end result would have been the same.\That's very modest of you. response:	It's a level-headed analysis.
context: Looks like everyone enjoyed the show.\Really?\Good job, Sorata.\It was because everyone else did such a great job...\It didn't matter who was in my position.\The end result would have been the same.\That's very modest of you.\It's a level-headed analysis. response:	But...
context: Really?\Good job, Sorata.\It was because everyone else did such a great job...\It didn't matter who was in my position.\The end result would have been the same.\That's very modest of you.\It's a level-headed analysis.\But... response:	I do feel a little more confident now.
context: Good job, Sorata.\It was because everyone else did such a great job...\It didn't matter who was in my position.\The end result would have been the same.\That's very modest of you.\It's a level-headed analysis.\But...\I do feel a little more confident now. response:	Are you going to reapply to the Let's Make a Game! contest?
context: It was because everyone else did such a great job...\It didn't matter who was in my position.\The end result would have been the same.\That's very modest of you.\It's a level-headed analysis.\But...\I do feel a little more confident now.\Are you going to reapply to the Let's Make a Game! contest? response:	Yes! I submitted my application right after that.
context: It didn't matter who was in my position.\The end result would have been the same.\That's very modest of you.\It's a level-headed analysis.\But...\I do feel a little more confident now.\Are you going to reapply to the Let's Make a Game! contest?\Yes! I submitted my application right after that. response:	I'm waiting for the results.
context: The end result would have been the same.\That's very modest of you.\It's a level-headed analysis.\But...\I do feel a little more confident now.\Are you going to reapply to the Let's Make a Game! contest?\Yes! I submitted my application right after that.\I'm waiting for the results. response:	Akasaka told me to look over the notes from the Nyapollon review meeting...
context: That's very modest of you.\It's a level-headed analysis.\But...\I do feel a little more confident now.\Are you going to reapply to the Let's Make a Game! contest?\Yes! I submitted my application right after that.\I'm waiting for the results.\Akasaka told me to look over the notes from the Nyapollon review meeting... response:	so that I wouldn't make the same mistakes again...
context: It's a level-headed analysis.\But...\I do feel a little more confident now.\Are you going to reapply to the Let's Make a Game! contest?\Yes! I submitted my application right after that.\I'm waiting for the results.\Akasaka told me to look over the notes from the Nyapollon review meeting...\so that I wouldn't make the same mistakes again... response:	and I wrote a pitch based on that.
context: But...\I do feel a little more confident now.\Are you going to reapply to the Let's Make a Game! contest?\Yes! I submitted my application right after that.\I'm waiting for the results.\Akasaka told me to look over the notes from the Nyapollon review meeting...\so that I wouldn't make the same mistakes again...\and I wrote a pitch based on that. response:	So, how confident are you feeling?
context: I do feel a little more confident now.\Are you going to reapply to the Let's Make a Game! contest?\Yes! I submitted my application right after that.\I'm waiting for the results.\Akasaka told me to look over the notes from the Nyapollon review meeting...\so that I wouldn't make the same mistakes again...\and I wrote a pitch based on that.\So, how confident are you feeling? response:	Pretty confident.
context: Are you going to reapply to the Let's Make a Game! contest?\Yes! I submitted my application right after that.\I'm waiting for the results.\Akasaka told me to look over the notes from the Nyapollon review meeting...\so that I wouldn't make the same mistakes again...\and I wrote a pitch based on that.\So, how confident are you feeling?\Pretty confident. response:	Wow, that's great.
context: Yes! I submitted my application right after that.\I'm waiting for the results.\Akasaka told me to look over the notes from the Nyapollon review meeting...\so that I wouldn't make the same mistakes again...\and I wrote a pitch based on that.\So, how confident are you feeling?\Pretty confident.\Wow, that's great. response:	Your entry has been submitted.
context: I'm waiting for the results.\Akasaka told me to look over the notes from the Nyapollon review meeting...\so that I wouldn't make the same mistakes again...\and I wrote a pitch based on that.\So, how confident are you feeling?\Pretty confident.\Wow, that's great.\Your entry has been submitted. response:	Thank you.
context: Akasaka told me to look over the notes from the Nyapollon review meeting...\so that I wouldn't make the same mistakes again...\and I wrote a pitch based on that.\So, how confident are you feeling?\Pretty confident.\Wow, that's great.\Your entry has been submitted.\Thank you. response:	Speaking of Ryunosuke...
context: so that I wouldn't make the same mistakes again...\and I wrote a pitch based on that.\So, how confident are you feeling?\Pretty confident.\Wow, that's great.\Your entry has been submitted.\Thank you.\Speaking of Ryunosuke... response:	That was pretty bold of Rita-san.
context: and I wrote a pitch based on that.\So, how confident are you feeling?\Pretty confident.\Wow, that's great.\Your entry has been submitted.\Thank you.\Speaking of Ryunosuke...\That was pretty bold of Rita-san. response:	She's been texting me constantly since that moment,
context: So, how confident are you feeling?\Pretty confident.\Wow, that's great.\Your entry has been submitted.\Thank you.\Speaking of Ryunosuke...\That was pretty bold of Rita-san.\She's been texting me constantly since that moment, response:	so I finally gave her Akasaka's number.
context: Pretty confident.\Wow, that's great.\Your entry has been submitted.\Thank you.\Speaking of Ryunosuke...\That was pretty bold of Rita-san.\She's been texting me constantly since that moment,\so I finally gave her Akasaka's number. response:	Maid-chan must have been mad.
context: Wow, that's great.\Your entry has been submitted.\Thank you.\Speaking of Ryunosuke...\That was pretty bold of Rita-san.\She's been texting me constantly since that moment,\so I finally gave her Akasaka's number.\Maid-chan must have been mad. response:	Completely outraged.
context: Your entry has been submitted.\Thank you.\Speaking of Ryunosuke...\That was pretty bold of Rita-san.\She's been texting me constantly since that moment,\so I finally gave her Akasaka's number.\Maid-chan must have been mad.\Completely outraged. response:	It'd be nice if those two could get it together properly.
context: Thank you.\Speaking of Ryunosuke...\That was pretty bold of Rita-san.\She's been texting me constantly since that moment,\so I finally gave her Akasaka's number.\Maid-chan must have been mad.\Completely outraged.\It'd be nice if those two could get it together properly. response:	Yeah.
context: Speaking of Ryunosuke...\That was pretty bold of Rita-san.\She's been texting me constantly since that moment,\so I finally gave her Akasaka's number.\Maid-chan must have been mad.\Completely outraged.\It'd be nice if those two could get it together properly.\Yeah. response:	What are you two doing together?
context: That was pretty bold of Rita-san.\She's been texting me constantly since that moment,\so I finally gave her Akasaka's number.\Maid-chan must have been mad.\Completely outraged.\It'd be nice if those two could get it together properly.\Yeah.\What are you two doing together? response:	Mashiro asked me if I knew where Kanda-kun was...
context: She's been texting me constantly since that moment,\so I finally gave her Akasaka's number.\Maid-chan must have been mad.\Completely outraged.\It'd be nice if those two could get it together properly.\Yeah.\What are you two doing together?\Mashiro asked me if I knew where Kanda-kun was... response:	I figured you might be up here, so I brought her.
context: so I finally gave her Akasaka's number.\Maid-chan must have been mad.\Completely outraged.\It'd be nice if those two could get it together properly.\Yeah.\What are you two doing together?\Mashiro asked me if I knew where Kanda-kun was...\I figured you might be up here, so I brought her. response:	Huh? What's wrong?
context: Maid-chan must have been mad.\Completely outraged.\It'd be nice if those two could get it together properly.\Yeah.\What are you two doing together?\Mashiro asked me if I knew where Kanda-kun was...\I figured you might be up here, so I brought her.\Huh? What's wrong? response:	Do you need something?
context: Completely outraged.\It'd be nice if those two could get it together properly.\Yeah.\What are you two doing together?\Mashiro asked me if I knew where Kanda-kun was...\I figured you might be up here, so I brought her.\Huh? What's wrong?\Do you need something? response:	I don't need anything.
context: It'd be nice if those two could get it together properly.\Yeah.\What are you two doing together?\Mashiro asked me if I knew where Kanda-kun was...\I figured you might be up here, so I brought her.\Huh? What's wrong?\Do you need something?\I don't need anything. response:	What?
context: Yeah.\What are you two doing together?\Mashiro asked me if I knew where Kanda-kun was...\I figured you might be up here, so I brought her.\Huh? What's wrong?\Do you need something?\I don't need anything.\What? response:	You came looking for me because you needed something, right?
context: What are you two doing together?\Mashiro asked me if I knew where Kanda-kun was...\I figured you might be up here, so I brought her.\Huh? What's wrong?\Do you need something?\I don't need anything.\What?\You came looking for me because you needed something, right? response:	No.
context: Mashiro asked me if I knew where Kanda-kun was...\I figured you might be up here, so I brought her.\Huh? What's wrong?\Do you need something?\I don't need anything.\What?\You came looking for me because you needed something, right?\No. response:	I don't understand...
context: I figured you might be up here, so I brought her.\Huh? What's wrong?\Do you need something?\I don't need anything.\What?\You came looking for me because you needed something, right?\No.\I don't understand... response:	Aoyama, what's going on?
context: Huh? What's wrong?\Do you need something?\I don't need anything.\What?\You came looking for me because you needed something, right?\No.\I don't understand...\Aoyama, what's going on? response:	Don't ask me.
context: Do you need something?\I don't need anything.\What?\You came looking for me because you needed something, right?\No.\I don't understand...\Aoyama, what's going on?\Don't ask me. response:	I found everyone!
context: I don't need anything.\What?\You came looking for me because you needed something, right?\No.\I don't understand...\Aoyama, what's going on?\Don't ask me.\I found everyone! response:	Hey, Jin!
context: What?\You came looking for me because you needed something, right?\No.\I don't understand...\Aoyama, what's going on?\Don't ask me.\I found everyone!\Hey, Jin! response:	What am I going to do, kouhai-kun?
context: You came looking for me because you needed something, right?\No.\I don't understand...\Aoyama, what's going on?\Don't ask me.\I found everyone!\Hey, Jin!\What am I going to do, kouhai-kun? response:	My once-in-a-lifetime opportunity has presented itself!
context: No.\I don't understand...\Aoyama, what's going on?\Don't ask me.\I found everyone!\Hey, Jin!\What am I going to do, kouhai-kun?\My once-in-a-lifetime opportunity has presented itself! response:	I don't understand what you're talking
context: I don't understand...\Aoyama, what's going on?\Don't ask me.\I found everyone!\Hey, Jin!\What am I going to do, kouhai-kun?\My once-in-a-lifetime opportunity has presented itself!\I don't understand what you're talking response:	Why are you pouncing me this early in the day?
context: Aoyama, what's going on?\Don't ask me.\I found everyone!\Hey, Jin!\What am I going to do, kouhai-kun?\My once-in-a-lifetime opportunity has presented itself!\I don't understand what you're talking\Why are you pouncing me this early in the day? response:	I couldn't wait until tonight.
context: Don't ask me.\I found everyone!\Hey, Jin!\What am I going to do, kouhai-kun?\My once-in-a-lifetime opportunity has presented itself!\I don't understand what you're talking\Why are you pouncing me this early in the day?\I couldn't wait until tonight. response:	I feel like I'm in danger, so I'll be staying out tonight.
context: I found everyone!\Hey, Jin!\What am I going to do, kouhai-kun?\My once-in-a-lifetime opportunity has presented itself!\I don't understand what you're talking\Why are you pouncing me this early in the day?\I couldn't wait until tonight.\I feel like I'm in danger, so I'll be staying out tonight. response:	Here, Jin, I made you lunch.
context: Hey, Jin!\What am I going to do, kouhai-kun?\My once-in-a-lifetime opportunity has presented itself!\I don't understand what you're talking\Why are you pouncing me this early in the day?\I couldn't wait until tonight.\I feel like I'm in danger, so I'll be staying out tonight.\Here, Jin, I made you lunch. response:	Oh, thanks.
context: What am I going to do, kouhai-kun?\My once-in-a-lifetime opportunity has presented itself!\I don't understand what you're talking\Why are you pouncing me this early in the day?\I couldn't wait until tonight.\I feel like I'm in danger, so I'll be staying out tonight.\Here, Jin, I made you lunch.\Oh, thanks. response:	Wasn't Jin-san just eating bread?
context: My once-in-a-lifetime opportunity has presented itself!\I don't understand what you're talking\Why are you pouncing me this early in the day?\I couldn't wait until tonight.\I feel like I'm in danger, so I'll be staying out tonight.\Here, Jin, I made you lunch.\Oh, thanks.\Wasn't Jin-san just eating bread? response:	I Love You
context: I don't understand what you're talking\Why are you pouncing me this early in the day?\I couldn't wait until tonight.\I feel like I'm in danger, so I'll be staying out tonight.\Here, Jin, I made you lunch.\Oh, thanks.\Wasn't Jin-san just eating bread?\I Love You response:	Well? Did it win your stomach over?
context: Why are you pouncing me this early in the day?\I couldn't wait until tonight.\I feel like I'm in danger, so I'll be staying out tonight.\Here, Jin, I made you lunch.\Oh, thanks.\Wasn't Jin-san just eating bread?\I Love You\Well? Did it win your stomach over? response:	I haven't eaten any yet.
context: I couldn't wait until tonight.\I feel like I'm in danger, so I'll be staying out tonight.\Here, Jin, I made you lunch.\Oh, thanks.\Wasn't Jin-san just eating bread?\I Love You\Well? Did it win your stomach over?\I haven't eaten any yet. response:	Mashiron, what's wrong?
context: I feel like I'm in danger, so I'll be staying out tonight.\Here, Jin, I made you lunch.\Oh, thanks.\Wasn't Jin-san just eating bread?\I Love You\Well? Did it win your stomach over?\I haven't eaten any yet.\Mashiron, what's wrong? response:	Did you see something you want to eat?
context: Here, Jin, I made you lunch.\Oh, thanks.\Wasn't Jin-san just eating bread?\I Love You\Well? Did it win your stomach over?\I haven't eaten any yet.\Mashiron, what's wrong?\Did you see something you want to eat? response:	No.
context: Oh, thanks.\Wasn't Jin-san just eating bread?\I Love You\Well? Did it win your stomach over?\I haven't eaten any yet.\Mashiron, what's wrong?\Did you see something you want to eat?\No. response:	What did Shiina come up here to do?
context: Wasn't Jin-san just eating bread?\I Love You\Well? Did it win your stomach over?\I haven't eaten any yet.\Mashiron, what's wrong?\Did you see something you want to eat?\No.\What did Shiina come up here to do? response:	Who knows?
context: I Love You\Well? Did it win your stomach over?\I haven't eaten any yet.\Mashiron, what's wrong?\Did you see something you want to eat?\No.\What did Shiina come up here to do?\Who knows? response:	Are you mad about something?
context: Well? Did it win your stomach over?\I haven't eaten any yet.\Mashiron, what's wrong?\Did you see something you want to eat?\No.\What did Shiina come up here to do?\Who knows?\Are you mad about something? response:	Not at all.
context: I haven't eaten any yet.\Mashiron, what's wrong?\Did you see something you want to eat?\No.\What did Shiina come up here to do?\Who knows?\Are you mad about something?\Not at all. response:	I'll make it even more gorgeous next time!
context: Mashiron, what's wrong?\Did you see something you want to eat?\No.\What did Shiina come up here to do?\Who knows?\Are you mad about something?\Not at all.\I'll make it even more gorgeous next time! response:	You don't understand Mashiro, do you?
context: Did you see something you want to eat?\No.\What did Shiina come up here to do?\Who knows?\Are you mad about something?\Not at all.\I'll make it even more gorgeous next time!\You don't understand Mashiro, do you? response:	Look forward to tomorrow's lunch, Jin! Jin!
context: No.\What did Shiina come up here to do?\Who knows?\Are you mad about something?\Not at all.\I'll make it even more gorgeous next time!\You don't understand Mashiro, do you?\Look forward to tomorrow's lunch, Jin! Jin! response:	What? Do you?
context: What did Shiina come up here to do?\Who knows?\Are you mad about something?\Not at all.\I'll make it even more gorgeous next time!\You don't understand Mashiro, do you?\Look forward to tomorrow's lunch, Jin! Jin!\What? Do you? response:	I do, but I'm not telling.
context: Who knows?\Are you mad about something?\Not at all.\I'll make it even more gorgeous next time!\You don't understand Mashiro, do you?\Look forward to tomorrow's lunch, Jin! Jin!\What? Do you?\I do, but I'm not telling. response:	It's not like you to say something like that.
context: Are you mad about something?\Not at all.\I'll make it even more gorgeous next time!\You don't understand Mashiro, do you?\Look forward to tomorrow's lunch, Jin! Jin!\What? Do you?\I do, but I'm not telling.\It's not like you to say something like that. response:	I'm not that nice.
context: Not at all.\I'll make it even more gorgeous next time!\You don't understand Mashiro, do you?\Look forward to tomorrow's lunch, Jin! Jin!\What? Do you?\I do, but I'm not telling.\It's not like you to say something like that.\I'm not that nice. response:	Aoyama, you are kinda mean to me sometimes, aren't you?
context: I'll make it even more gorgeous next time!\You don't understand Mashiro, do you?\Look forward to tomorrow's lunch, Jin! Jin!\What? Do you?\I do, but I'm not telling.\It's not like you to say something like that.\I'm not that nice.\Aoyama, you are kinda mean to me sometimes, aren't you? response:	I don't know what you're talking about!
context: You don't understand Mashiro, do you?\Look forward to tomorrow's lunch, Jin! Jin!\What? Do you?\I do, but I'm not telling.\It's not like you to say something like that.\I'm not that nice.\Aoyama, you are kinda mean to me sometimes, aren't you?\I don't know what you're talking about! response:	Huh? What?
context: Look forward to tomorrow's lunch, Jin! Jin!\What? Do you?\I do, but I'm not telling.\It's not like you to say something like that.\I'm not that nice.\Aoyama, you are kinda mean to me sometimes, aren't you?\I don't know what you're talking about!\Huh? What? response:	I'm depressed. Christmas is next month.
context: What? Do you?\I do, but I'm not telling.\It's not like you to say something like that.\I'm not that nice.\Aoyama, you are kinda mean to me sometimes, aren't you?\I don't know what you're talking about!\Huh? What?\I'm depressed. Christmas is next month. response:	Really?
context: I do, but I'm not telling.\It's not like you to say something like that.\I'm not that nice.\Aoyama, you are kinda mean to me sometimes, aren't you?\I don't know what you're talking about!\Huh? What?\I'm depressed. Christmas is next month.\Really? response:	What? Are you saying you have plans, Yayoi?
context: It's not like you to say something like that.\I'm not that nice.\Aoyama, you are kinda mean to me sometimes, aren't you?\I don't know what you're talking about!\Huh? What?\I'm depressed. Christmas is next month.\Really?\What? Are you saying you have plans, Yayoi? response:	I'm throwing a party for the Softball Club.
context: I'm not that nice.\Aoyama, you are kinda mean to me sometimes, aren't you?\I don't know what you're talking about!\Huh? What?\I'm depressed. Christmas is next month.\Really?\What? Are you saying you have plans, Yayoi?\I'm throwing a party for the Softball Club. response:	You're such a kid.
context: Aoyama, you are kinda mean to me sometimes, aren't you?\I don't know what you're talking about!\Huh? What?\I'm depressed. Christmas is next month.\Really?\What? Are you saying you have plans, Yayoi?\I'm throwing a party for the Softball Club.\You're such a kid. response:	Do you have plans, Mayu?
context: I don't know what you're talking about!\Huh? What?\I'm depressed. Christmas is next month.\Really?\What? Are you saying you have plans, Yayoi?\I'm throwing a party for the Softball Club.\You're such a kid.\Do you have plans, Mayu? response:	What about you, Nanami?
context: Huh? What?\I'm depressed. Christmas is next month.\Really?\What? Are you saying you have plans, Yayoi?\I'm throwing a party for the Softball Club.\You're such a kid.\Do you have plans, Mayu?\What about you, Nanami? response:	Who, me?
context: I'm depressed. Christmas is next month.\Really?\What? Are you saying you have plans, Yayoi?\I'm throwing a party for the Softball Club.\You're such a kid.\Do you have plans, Mayu?\What about you, Nanami?\Who, me? response:	What about Kanda? What will you do about him?
context: Really?\What? Are you saying you have plans, Yayoi?\I'm throwing a party for the Softball Club.\You're such a kid.\Do you have plans, Mayu?\What about you, Nanami?\Who, me?\What about Kanda? What will you do about him? response:	Do? What do you
context: What? Are you saying you have plans, Yayoi?\I'm throwing a party for the Softball Club.\You're such a kid.\Do you have plans, Mayu?\What about you, Nanami?\Who, me?\What about Kanda? What will you do about him?\Do? What do you response:	Don't you know that people suspect...
context: I'm throwing a party for the Softball Club.\You're such a kid.\Do you have plans, Mayu?\What about you, Nanami?\Who, me?\What about Kanda? What will you do about him?\Do? What do you\Don't you know that people suspect... response:	Kanda-kun and Shiina-san are dating?
context: You're such a kid.\Do you have plans, Mayu?\What about you, Nanami?\Who, me?\What about Kanda? What will you do about him?\Do? What do you\Don't you know that people suspect...\Kanda-kun and Shiina-san are dating? response:	You've got to get your act together!
context: Do you have plans, Mayu?\What about you, Nanami?\Who, me?\What about Kanda? What will you do about him?\Do? What do you\Don't you know that people suspect...\Kanda-kun and Shiina-san are dating?\You've got to get your act together! response:	That's right. It's not fair to Miyahara, either.
context: What about you, Nanami?\Who, me?\What about Kanda? What will you do about him?\Do? What do you\Don't you know that people suspect...\Kanda-kun and Shiina-san are dating?\You've got to get your act together!\That's right. It's not fair to Miyahara, either. response:	But I turned him down...
context: Who, me?\What about Kanda? What will you do about him?\Do? What do you\Don't you know that people suspect...\Kanda-kun and Shiina-san are dating?\You've got to get your act together!\That's right. It's not fair to Miyahara, either.\But I turned him down... response:	Wait! How do you know about that?!
context: What about Kanda? What will you do about him?\Do? What do you\Don't you know that people suspect...\Kanda-kun and Shiina-san are dating?\You've got to get your act together!\That's right. It's not fair to Miyahara, either.\But I turned him down...\Wait! How do you know about that?! response:	It's obvious just by looking at Miyahara-kun.
context: Do? What do you\Don't you know that people suspect...\Kanda-kun and Shiina-san are dating?\You've got to get your act together!\That's right. It's not fair to Miyahara, either.\But I turned him down...\Wait! How do you know about that?!\It's obvious just by looking at Miyahara-kun. response:	Isn't it?
context: Don't you know that people suspect...\Kanda-kun and Shiina-san are dating?\You've got to get your act together!\That's right. It's not fair to Miyahara, either.\But I turned him down...\Wait! How do you know about that?!\It's obvious just by looking at Miyahara-kun.\Isn't it? response:	In any case, you've got to make your intentions clear!
context: Kanda-kun and Shiina-san are dating?\You've got to get your act together!\That's right. It's not fair to Miyahara, either.\But I turned him down...\Wait! How do you know about that?!\It's obvious just by looking at Miyahara-kun.\Isn't it?\In any case, you've got to make your intentions clear! response:	Okay...
context: You've got to get your act together!\That's right. It's not fair to Miyahara, either.\But I turned him down...\Wait! How do you know about that?!\It's obvious just by looking at Miyahara-kun.\Isn't it?\In any case, you've got to make your intentions clear!\Okay... response:	To: Jin
context: That's right. It's not fair to Miyahara, either.\But I turned him down...\Wait! How do you know about that?!\It's obvious just by looking at Miyahara-kun.\Isn't it?\In any case, you've got to make your intentions clear!\Okay...\To: Jin response:	Um, Mitaka-senpai?
context: But I turned him down...\Wait! How do you know about that?!\It's obvious just by looking at Miyahara-kun.\Isn't it?\In any case, you've got to make your intentions clear!\Okay...\To: Jin\Um, Mitaka-senpai? response:	Hey, Aoyama-san.
context: Wait! How do you know about that?!\It's obvious just by looking at Miyahara-kun.\Isn't it?\In any case, you've got to make your intentions clear!\Okay...\To: Jin\Um, Mitaka-senpai?\Hey, Aoyama-san. response:	Is that a love letter?
context: It's obvious just by looking at Miyahara-kun.\Isn't it?\In any case, you've got to make your intentions clear!\Okay...\To: Jin\Um, Mitaka-senpai?\Hey, Aoyama-san.\Is that a love letter? response:	Yes, something like that...
context: Isn't it?\In any case, you've got to make your intentions clear!\Okay...\To: Jin\Um, Mitaka-senpai?\Hey, Aoyama-san.\Is that a love letter?\Yes, something like that... response:	Wedding Registration
context: In any case, you've got to make your intentions clear!\Okay...\To: Jin\Um, Mitaka-senpai?\Hey, Aoyama-san.\Is that a love letter?\Yes, something like that...\Wedding Registration response:	Mitaka Jin
context: Okay...\To: Jin\Um, Mitaka-senpai?\Hey, Aoyama-san.\Is that a love letter?\Yes, something like that...\Wedding Registration\Mitaka Jin response:	Kamiigusa Misaki
context: To: Jin\Um, Mitaka-senpai?\Hey, Aoyama-san.\Is that a love letter?\Yes, something like that...\Wedding Registration\Mitaka Jin\Kamiigusa Misaki response:	C-Congratulations on getting hitched.
context: Um, Mitaka-senpai?\Hey, Aoyama-san.\Is that a love letter?\Yes, something like that...\Wedding Registration\Mitaka Jin\Kamiigusa Misaki\C-Congratulations on getting hitched. response:	That's not funny, Aoyama-san.
