context: Summer is almost over. response:	Hey Sakura What?
context: I'd have lost all my confidence to live.\Don't say that!\Li worked hard at it too!\By the way, what's he gonna do?\Has he gone back to Hong Kong yet?\Not yet,\but he said he'd be going back soon.\With this much free time every day, response:	it's getting boring!
context: Don't say that!\Li worked hard at it too!\By the way, what's he gonna do?\Has he gone back to Hong Kong yet?\Not yet,\but he said he'd be going back soon.\With this much free time every day,\it's getting boring! response:	I don't have any free time
context: Li worked hard at it too!\By the way, what's he gonna do?\Has he gone back to Hong Kong yet?\Not yet,\but he said he'd be going back soon.\With this much free time every day,\it's getting boring!\I don't have any free time response:	because I have school tomorrow'
context: By the way, what's he gonna do?\Has he gone back to Hong Kong yet?\Not yet,\but he said he'd be going back soon.\With this much free time every day,\it's getting boring!\I don't have any free time\because I have school tomorrow' response:	Huh? What's wrong?
context: Has he gone back to Hong Kong yet?\Not yet,\but he said he'd be going back soon.\With this much free time every day,\it's getting boring!\I don't have any free time\because I have school tomorrow'\Huh? What's wrong? response:	The summer vacation homework were still left in the school bag!!
context: Not yet,\but he said he'd be going back soon.\With this much free time every day,\it's getting boring!\I don't have any free time\because I have school tomorrow'\Huh? What's wrong?\The summer vacation homework were still left in the school bag!! response:	What??!
context: but he said he'd be going back soon.\With this much free time every day,\it's getting boring!\I don't have any free time\because I have school tomorrow'\Huh? What's wrong?\The summer vacation homework were still left in the school bag!!\What??! response:	Gotta finish Maths exercise,
context: With this much free time every day,\it's getting boring!\I don't have any free time\because I have school tomorrow'\Huh? What's wrong?\The summer vacation homework were still left in the school bag!!\What??!\Gotta finish Maths exercise, response:	Japanese exercise,
context: it's getting boring!\I don't have any free time\because I have school tomorrow'\Huh? What's wrong?\The summer vacation homework were still left in the school bag!!\What??!\Gotta finish Maths exercise,\Japanese exercise, response:	Picture Diary.
context: I don't have any free time\because I have school tomorrow'\Huh? What's wrong?\The summer vacation homework were still left in the school bag!!\What??!\Gotta finish Maths exercise,\Japanese exercise,\Picture Diary. response:	and then there's independent research, and' and'
context: because I have school tomorrow'\Huh? What's wrong?\The summer vacation homework were still left in the school bag!!\What??!\Gotta finish Maths exercise,\Japanese exercise,\Picture Diary.\and then there's independent research, and' and' response:	Can you finish them all in one night?
context: Huh? What's wrong?\The summer vacation homework were still left in the school bag!!\What??!\Gotta finish Maths exercise,\Japanese exercise,\Picture Diary.\and then there's independent research, and' and'\Can you finish them all in one night? response:	It'll all work out!
context: The summer vacation homework were still left in the school bag!!\What??!\Gotta finish Maths exercise,\Japanese exercise,\Picture Diary.\and then there's independent research, and' and'\Can you finish them all in one night?\It'll all work out! response:	It'll be okay for sure!
context: What??!\Gotta finish Maths exercise,\Japanese exercise,\Picture Diary.\and then there's independent research, and' and'\Can you finish them all in one night?\It'll all work out!\It'll be okay for sure! response:	This is not too good.
context: Gotta finish Maths exercise,\Japanese exercise,\Picture Diary.\and then there's independent research, and' and'\Can you finish them all in one night?\It'll all work out!\It'll be okay for sure!\This is not too good. response:	Kero, help me please!!
context: Japanese exercise,\Picture Diary.\and then there's independent research, and' and'\Can you finish them all in one night?\It'll all work out!\It'll be okay for sure!\This is not too good.\Kero, help me please!! response:	I helped you last year, and you got mad at me!
context: Picture Diary.\and then there's independent research, and' and'\Can you finish them all in one night?\It'll all work out!\It'll be okay for sure!\This is not too good.\Kero, help me please!!\I helped you last year, and you got mad at me! response:	Yeah, but now'
context: and then there's independent research, and' and'\Can you finish them all in one night?\It'll all work out!\It'll be okay for sure!\This is not too good.\Kero, help me please!!\I helped you last year, and you got mad at me!\Yeah, but now' response:	Oh, by the way, I'm on duty tomorrow!
context: Can you finish them all in one night?\It'll all work out!\It'll be okay for sure!\This is not too good.\Kero, help me please!!\I helped you last year, and you got mad at me!\Yeah, but now'\Oh, by the way, I'm on duty tomorrow! response:	Oh no! I gotta get up early tomorrow!
context: It'll all work out!\It'll be okay for sure!\This is not too good.\Kero, help me please!!\I helped you last year, and you got mad at me!\Yeah, but now'\Oh, by the way, I'm on duty tomorrow!\Oh no! I gotta get up early tomorrow! response:	You'll be fine!
context: It'll be okay for sure!\This is not too good.\Kero, help me please!!\I helped you last year, and you got mad at me!\Yeah, but now'\Oh, by the way, I'm on duty tomorrow!\Oh no! I gotta get up early tomorrow!\You'll be fine! response:	I'm sure you'll get all of them done.
context: This is not too good.\Kero, help me please!!\I helped you last year, and you got mad at me!\Yeah, but now'\Oh, by the way, I'm on duty tomorrow!\Oh no! I gotta get up early tomorrow!\You'll be fine!\I'm sure you'll get all of them done. response:	Good morning!
context: Kero, help me please!!\I helped you last year, and you got mad at me!\Yeah, but now'\Oh, by the way, I'm on duty tomorrow!\Oh no! I gotta get up early tomorrow!\You'll be fine!\I'm sure you'll get all of them done.\Good morning! response:	Did you finish your homework? Yeah!
context: I helped you last year, and you got mad at me!\Yeah, but now'\Oh, by the way, I'm on duty tomorrow!\Oh no! I gotta get up early tomorrow!\You'll be fine!\I'm sure you'll get all of them done.\Good morning!\Did you finish your homework? Yeah! response:	Good morning, Mother.
context: Yeah, but now'\Oh, by the way, I'm on duty tomorrow!\Oh no! I gotta get up early tomorrow!\You'll be fine!\I'm sure you'll get all of them done.\Good morning!\Did you finish your homework? Yeah!\Good morning, Mother. response:	Are you okay, Sakura?
context: Oh, by the way, I'm on duty tomorrow!\Oh no! I gotta get up early tomorrow!\You'll be fine!\I'm sure you'll get all of them done.\Good morning!\Did you finish your homework? Yeah!\Good morning, Mother.\Are you okay, Sakura? response:	Good morning, Father
context: Oh no! I gotta get up early tomorrow!\You'll be fine!\I'm sure you'll get all of them done.\Good morning!\Did you finish your homework? Yeah!\Good morning, Mother.\Are you okay, Sakura?\Good morning, Father response:	Good morning
context: You'll be fine!\I'm sure you'll get all of them done.\Good morning!\Did you finish your homework? Yeah!\Good morning, Mother.\Are you okay, Sakura?\Good morning, Father\Good morning response:	Today's only the opening ceremony but you're up quite early.
context: I'm sure you'll get all of them done.\Good morning!\Did you finish your homework? Yeah!\Good morning, Mother.\Are you okay, Sakura?\Good morning, Father\Good morning\Today's only the opening ceremony but you're up quite early. response:	I'm on duty today.
context: Good morning!\Did you finish your homework? Yeah!\Good morning, Mother.\Are you okay, Sakura?\Good morning, Father\Good morning\Today's only the opening ceremony but you're up quite early.\I'm on duty today. response:	I see.
context: Did you finish your homework? Yeah!\Good morning, Mother.\Are you okay, Sakura?\Good morning, Father\Good morning\Today's only the opening ceremony but you're up quite early.\I'm on duty today.\I see. response:	From today on is the 2nd semester.
context: Good morning, Mother.\Are you okay, Sakura?\Good morning, Father\Good morning\Today's only the opening ceremony but you're up quite early.\I'm on duty today.\I see.\From today on is the 2nd semester. response:	Work hard, okay
context: Are you okay, Sakura?\Good morning, Father\Good morning\Today's only the opening ceremony but you're up quite early.\I'm on duty today.\I see.\From today on is the 2nd semester.\Work hard, okay response:	Thanks for the food.
context: Good morning, Father\Good morning\Today's only the opening ceremony but you're up quite early.\I'm on duty today.\I see.\From today on is the 2nd semester.\Work hard, okay\Thanks for the food. response:	Even if you go this early,
context: Good morning\Today's only the opening ceremony but you're up quite early.\I'm on duty today.\I see.\From today on is the 2nd semester.\Work hard, okay\Thanks for the food.\Even if you go this early, response:	Yuki won't be there.
context: Today's only the opening ceremony but you're up quite early.\I'm on duty today.\I see.\From today on is the 2nd semester.\Work hard, okay\Thanks for the food.\Even if you go this early,\Yuki won't be there. response:	That's not it!!
context: I'm on duty today.\I see.\From today on is the 2nd semester.\Work hard, okay\Thanks for the food.\Even if you go this early,\Yuki won't be there.\That's not it!! response:	I'm going now.
context: I see.\From today on is the 2nd semester.\Work hard, okay\Thanks for the food.\Even if you go this early,\Yuki won't be there.\That's not it!!\I'm going now. response:	Humm, I hate Maths already.
context: From today on is the 2nd semester.\Work hard, okay\Thanks for the food.\Even if you go this early,\Yuki won't be there.\That's not it!!\I'm going now.\Humm, I hate Maths already. response:	Come to think of it,
context: Work hard, okay\Thanks for the food.\Even if you go this early,\Yuki won't be there.\That's not it!!\I'm going now.\Humm, I hate Maths already.\Come to think of it, response:	who's on duty with me today?
context: Thanks for the food.\Even if you go this early,\Yuki won't be there.\That's not it!!\I'm going now.\Humm, I hate Maths already.\Come to think of it,\who's on duty with me today? response:	Yukito!
context: Even if you go this early,\Yuki won't be there.\That's not it!!\I'm going now.\Humm, I hate Maths already.\Come to think of it,\who's on duty with me today?\Yukito! response:	' Sakura!' Good morning!
context: Yuki won't be there.\That's not it!!\I'm going now.\Humm, I hate Maths already.\Come to think of it,\who's on duty with me today?\Yukito!\' Sakura!' Good morning! response:	Good morning! Oh, you're really early today.
context: That's not it!!\I'm going now.\Humm, I hate Maths already.\Come to think of it,\who's on duty with me today?\Yukito!\' Sakura!' Good morning!\Good morning! Oh, you're really early today. response:	I'm on duty and so'
context: I'm going now.\Humm, I hate Maths already.\Come to think of it,\who's on duty with me today?\Yukito!\' Sakura!' Good morning!\Good morning! Oh, you're really early today.\I'm on duty and so' response:	But you're early too.
context: Humm, I hate Maths already.\Come to think of it,\who's on duty with me today?\Yukito!\' Sakura!' Good morning!\Good morning! Oh, you're really early today.\I'm on duty and so'\But you're early too. response:	I got up early to buy breakfast.
context: Come to think of it,\who's on duty with me today?\Yukito!\' Sakura!' Good morning!\Good morning! Oh, you're really early today.\I'm on duty and so'\But you're early too.\I got up early to buy breakfast. response:	Because lately,
context: who's on duty with me today?\Yukito!\' Sakura!' Good morning!\Good morning! Oh, you're really early today.\I'm on duty and so'\But you're early too.\I got up early to buy breakfast.\Because lately, response:	no matter how much I eat, I'm still hungry'
context: Yukito!\' Sakura!' Good morning!\Good morning! Oh, you're really early today.\I'm on duty and so'\But you're early too.\I got up early to buy breakfast.\Because lately,\no matter how much I eat, I'm still hungry' response:	Maybe I bought a little too much.
context: ' Sakura!' Good morning!\Good morning! Oh, you're really early today.\I'm on duty and so'\But you're early too.\I got up early to buy breakfast.\Because lately,\no matter how much I eat, I'm still hungry'\Maybe I bought a little too much. response:	No' Not at all!
context: Good morning! Oh, you're really early today.\I'm on duty and so'\But you're early too.\I got up early to buy breakfast.\Because lately,\no matter how much I eat, I'm still hungry'\Maybe I bought a little too much.\No' Not at all! response:	To be able to eat a lot'
context: I'm on duty and so'\But you're early too.\I got up early to buy breakfast.\Because lately,\no matter how much I eat, I'm still hungry'\Maybe I bought a little too much.\No' Not at all!\To be able to eat a lot' response:	It's the proof of good health, right?
context: But you're early too.\I got up early to buy breakfast.\Because lately,\no matter how much I eat, I'm still hungry'\Maybe I bought a little too much.\No' Not at all!\To be able to eat a lot'\It's the proof of good health, right? response:	Yup!
context: I got up early to buy breakfast.\Because lately,\no matter how much I eat, I'm still hungry'\Maybe I bought a little too much.\No' Not at all!\To be able to eat a lot'\It's the proof of good health, right?\Yup! response:	Oh, I've to go now.
context: Because lately,\no matter how much I eat, I'm still hungry'\Maybe I bought a little too much.\No' Not at all!\To be able to eat a lot'\It's the proof of good health, right?\Yup!\Oh, I've to go now. response:	okay, See you later.
context: no matter how much I eat, I'm still hungry'\Maybe I bought a little too much.\No' Not at all!\To be able to eat a lot'\It's the proof of good health, right?\Yup!\Oh, I've to go now.\okay, See you later. response:	Yukito is the
context: Maybe I bought a little too much.\No' Not at all!\To be able to eat a lot'\It's the proof of good health, right?\Yup!\Oh, I've to go now.\okay, See you later.\Yukito is the response:	false form of Yue'
context: No' Not at all!\To be able to eat a lot'\It's the proof of good health, right?\Yup!\Oh, I've to go now.\okay, See you later.\Yukito is the\false form of Yue' response:	Sakura!
context: To be able to eat a lot'\It's the proof of good health, right?\Yup!\Oh, I've to go now.\okay, See you later.\Yukito is the\false form of Yue'\Sakura! response:	But, but but,
context: It's the proof of good health, right?\Yup!\Oh, I've to go now.\okay, See you later.\Yukito is the\false form of Yue'\Sakura!\But, but but, response:	Yukito is Yukito after all!!
context: Yup!\Oh, I've to go now.\okay, See you later.\Yukito is the\false form of Yue'\Sakura!\But, but but,\Yukito is Yukito after all!! response:	Good morning!
context: Oh, I've to go now.\okay, See you later.\Yukito is the\false form of Yue'\Sakura!\But, but but,\Yukito is Yukito after all!!\Good morning! response:	But, no one's here yet anyway.
context: okay, See you later.\Yukito is the\false form of Yue'\Sakura!\But, but but,\Yukito is Yukito after all!!\Good morning!\But, no one's here yet anyway. response:	On duty, on duty, on-duty.
context: Yukito is the\false form of Yue'\Sakura!\But, but but,\Yukito is Yukito after all!!\Good morning!\But, no one's here yet anyway.\On duty, on duty, on-duty. response:	I even finished the summer vacation homework somehow.
context: false form of Yue'\Sakura!\But, but but,\Yukito is Yukito after all!!\Good morning!\But, no one's here yet anyway.\On duty, on duty, on-duty.\I even finished the summer vacation homework somehow. response:	Writing the class journal,
context: Sakura!\But, but but,\Yukito is Yukito after all!!\Good morning!\But, no one's here yet anyway.\On duty, on duty, on-duty.\I even finished the summer vacation homework somehow.\Writing the class journal, response:	changing the flowers.
context: But, but but,\Yukito is Yukito after all!!\Good morning!\But, no one's here yet anyway.\On duty, on duty, on-duty.\I even finished the summer vacation homework somehow.\Writing the class journal,\changing the flowers. response:	Let's make everyone's desk clean.
context: Yukito is Yukito after all!!\Good morning!\But, no one's here yet anyway.\On duty, on duty, on-duty.\I even finished the summer vacation homework somehow.\Writing the class journal,\changing the flowers.\Let's make everyone's desk clean. response:	On duty, on duty, my'
context: Good morning!\But, no one's here yet anyway.\On duty, on duty, on-duty.\I even finished the summer vacation homework somehow.\Writing the class journal,\changing the flowers.\Let's make everyone's desk clean.\On duty, on duty, my' response:	Good morning, Li.
context: But, no one's here yet anyway.\On duty, on duty, on-duty.\I even finished the summer vacation homework somehow.\Writing the class journal,\changing the flowers.\Let's make everyone's desk clean.\On duty, on duty, my'\Good morning, Li. response:	Good morning
context: On duty, on duty, on-duty.\I even finished the summer vacation homework somehow.\Writing the class journal,\changing the flowers.\Let's make everyone's desk clean.\On duty, on duty, my'\Good morning, Li.\Good morning response:	So you heard me'
context: I even finished the summer vacation homework somehow.\Writing the class journal,\changing the flowers.\Let's make everyone's desk clean.\On duty, on duty, my'\Good morning, Li.\Good morning\So you heard me' response:	I see, I'm on duty with Li today'
context: Writing the class journal,\changing the flowers.\Let's make everyone's desk clean.\On duty, on duty, my'\Good morning, Li.\Good morning\So you heard me'\I see, I'm on duty with Li today' response:	Because all the Clow Cards were captured before summer break
context: changing the flowers.\Let's make everyone's desk clean.\On duty, on duty, my'\Good morning, Li.\Good morning\So you heard me'\I see, I'm on duty with Li today'\Because all the Clow Cards were captured before summer break response:	we haven't seen each other for a while, you know?
context: Let's make everyone's desk clean.\On duty, on duty, my'\Good morning, Li.\Good morning\So you heard me'\I see, I'm on duty with Li today'\Because all the Clow Cards were captured before summer break\we haven't seen each other for a while, you know? response:	' Yeah.' How was your summer?
context: On duty, on duty, my'\Good morning, Li.\Good morning\So you heard me'\I see, I'm on duty with Li today'\Because all the Clow Cards were captured before summer break\we haven't seen each other for a while, you know?\' Yeah.' How was your summer? response:	' Did you go anywhere?' No.
context: Good morning, Li.\Good morning\So you heard me'\I see, I'm on duty with Li today'\Because all the Clow Cards were captured before summer break\we haven't seen each other for a while, you know?\' Yeah.' How was your summer?\' Did you go anywhere?' No. response:	' What about the beach?' Didn't go.
context: Good morning\So you heard me'\I see, I'm on duty with Li today'\Because all the Clow Cards were captured before summer break\we haven't seen each other for a while, you know?\' Yeah.' How was your summer?\' Did you go anywhere?' No.\' What about the beach?' Didn't go. response:	So, are you really going back to Hong Kong?
context: So you heard me'\I see, I'm on duty with Li today'\Because all the Clow Cards were captured before summer break\we haven't seen each other for a while, you know?\' Yeah.' How was your summer?\' Did you go anywhere?' No.\' What about the beach?' Didn't go.\So, are you really going back to Hong Kong? response:	Yeah.
context: I see, I'm on duty with Li today'\Because all the Clow Cards were captured before summer break\we haven't seen each other for a while, you know?\' Yeah.' How was your summer?\' Did you go anywhere?' No.\' What about the beach?' Didn't go.\So, are you really going back to Hong Kong?\Yeah. response:	Since the Clow Cards already have a new Mistress,
context: Because all the Clow Cards were captured before summer break\we haven't seen each other for a while, you know?\' Yeah.' How was your summer?\' Did you go anywhere?' No.\' What about the beach?' Didn't go.\So, are you really going back to Hong Kong?\Yeah.\Since the Clow Cards already have a new Mistress, response:	I have to explain to Mother.
context: we haven't seen each other for a while, you know?\' Yeah.' How was your summer?\' Did you go anywhere?' No.\' What about the beach?' Didn't go.\So, are you really going back to Hong Kong?\Yeah.\Since the Clow Cards already have a new Mistress,\I have to explain to Mother. response:	I see'
context: ' Yeah.' How was your summer?\' Did you go anywhere?' No.\' What about the beach?' Didn't go.\So, are you really going back to Hong Kong?\Yeah.\Since the Clow Cards already have a new Mistress,\I have to explain to Mother.\I see' response:	It's not like we'll never see each other again.
context: ' Did you go anywhere?' No.\' What about the beach?' Didn't go.\So, are you really going back to Hong Kong?\Yeah.\Since the Clow Cards already have a new Mistress,\I have to explain to Mother.\I see'\It's not like we'll never see each other again. response:	Tha' That's right.
context: ' What about the beach?' Didn't go.\So, are you really going back to Hong Kong?\Yeah.\Since the Clow Cards already have a new Mistress,\I have to explain to Mother.\I see'\It's not like we'll never see each other again.\Tha' That's right. response:	Thank goodness
context: So, are you really going back to Hong Kong?\Yeah.\Since the Clow Cards already have a new Mistress,\I have to explain to Mother.\I see'\It's not like we'll never see each other again.\Tha' That's right.\Thank goodness response:	' Good morning.' Good morning, Tomoyo!
context: Yeah.\Since the Clow Cards already have a new Mistress,\I have to explain to Mother.\I see'\It's not like we'll never see each other again.\Tha' That's right.\Thank goodness\' Good morning.' Good morning, Tomoyo! response:	' What's wrong?' Lately,
context: Since the Clow Cards already have a new Mistress,\I have to explain to Mother.\I see'\It's not like we'll never see each other again.\Tha' That's right.\Thank goodness\' Good morning.' Good morning, Tomoyo!\' What's wrong?' Lately, response:	there has not been many occasions
context: I have to explain to Mother.\I see'\It's not like we'll never see each other again.\Tha' That's right.\Thank goodness\' Good morning.' Good morning, Tomoyo!\' What's wrong?' Lately,\there has not been many occasions response:	for you to wear my special costumes.
context: I see'\It's not like we'll never see each other again.\Tha' That's right.\Thank goodness\' Good morning.' Good morning, Tomoyo!\' What's wrong?' Lately,\there has not been many occasions\for you to wear my special costumes. response:	I still have so many, many, many costumes
context: It's not like we'll never see each other again.\Tha' That's right.\Thank goodness\' Good morning.' Good morning, Tomoyo!\' What's wrong?' Lately,\there has not been many occasions\for you to wear my special costumes.\I still have so many, many, many costumes response:	that I would like you to wear for me
context: Tha' That's right.\Thank goodness\' Good morning.' Good morning, Tomoyo!\' What's wrong?' Lately,\there has not been many occasions\for you to wear my special costumes.\I still have so many, many, many costumes\that I would like you to wear for me response:	And then, to film you in these costumes'
context: Thank goodness\' Good morning.' Good morning, Tomoyo!\' What's wrong?' Lately,\there has not been many occasions\for you to wear my special costumes.\I still have so many, many, many costumes\that I would like you to wear for me\And then, to film you in these costumes' response:	It would have been so great!
context: ' Good morning.' Good morning, Tomoyo!\' What's wrong?' Lately,\there has not been many occasions\for you to wear my special costumes.\I still have so many, many, many costumes\that I would like you to wear for me\And then, to film you in these costumes'\It would have been so great! response:	' Tomoyo'' So great!
context: ' What's wrong?' Lately,\there has not been many occasions\for you to wear my special costumes.\I still have so many, many, many costumes\that I would like you to wear for me\And then, to film you in these costumes'\It would have been so great!\' Tomoyo'' So great! response:	' Good morning!' Good morning!
context: there has not been many occasions\for you to wear my special costumes.\I still have so many, many, many costumes\that I would like you to wear for me\And then, to film you in these costumes'\It would have been so great!\' Tomoyo'' So great!\' Good morning!' Good morning! response:	Thanks for the letter.
context: for you to wear my special costumes.\I still have so many, many, many costumes\that I would like you to wear for me\And then, to film you in these costumes'\It would have been so great!\' Tomoyo'' So great!\' Good morning!' Good morning!\Thanks for the letter. response:	Did you get my reply?
context: I still have so many, many, many costumes\that I would like you to wear for me\And then, to film you in these costumes'\It would have been so great!\' Tomoyo'' So great!\' Good morning!' Good morning!\Thanks for the letter.\Did you get my reply? response:	Yeah, I got everyone's reply already.
context: that I would like you to wear for me\And then, to film you in these costumes'\It would have been so great!\' Tomoyo'' So great!\' Good morning!' Good morning!\Thanks for the letter.\Did you get my reply?\Yeah, I got everyone's reply already. response:	Oh yeah,
context: And then, to film you in these costumes'\It would have been so great!\' Tomoyo'' So great!\' Good morning!' Good morning!\Thanks for the letter.\Did you get my reply?\Yeah, I got everyone's reply already.\Oh yeah, response:	I got one from Miss Mizuki too.
context: It would have been so great!\' Tomoyo'' So great!\' Good morning!' Good morning!\Thanks for the letter.\Did you get my reply?\Yeah, I got everyone's reply already.\Oh yeah,\I got one from Miss Mizuki too. response:	She replied you too.
context: ' Tomoyo'' So great!\' Good morning!' Good morning!\Thanks for the letter.\Did you get my reply?\Yeah, I got everyone's reply already.\Oh yeah,\I got one from Miss Mizuki too.\She replied you too. response:	Is she doing well?
context: ' Good morning!' Good morning!\Thanks for the letter.\Did you get my reply?\Yeah, I got everyone's reply already.\Oh yeah,\I got one from Miss Mizuki too.\She replied you too.\Is she doing well? response:	Yeah, she said she's studying hard in England.
context: Thanks for the letter.\Did you get my reply?\Yeah, I got everyone's reply already.\Oh yeah,\I got one from Miss Mizuki too.\She replied you too.\Is she doing well?\Yeah, she said she's studying hard in England. response:	Do you know who's our class teacher
context: Did you get my reply?\Yeah, I got everyone's reply already.\Oh yeah,\I got one from Miss Mizuki too.\She replied you too.\Is she doing well?\Yeah, she said she's studying hard in England.\Do you know who's our class teacher response:	for the 2nd semester
context: Yeah, I got everyone's reply already.\Oh yeah,\I got one from Miss Mizuki too.\She replied you too.\Is she doing well?\Yeah, she said she's studying hard in England.\Do you know who's our class teacher\for the 2nd semester response:	Come to think of it, who could it be?
context: Oh yeah,\I got one from Miss Mizuki too.\She replied you too.\Is she doing well?\Yeah, she said she's studying hard in England.\Do you know who's our class teacher\for the 2nd semester\Come to think of it, who could it be? response:	Tomoyo, do you know?
context: I got one from Miss Mizuki too.\She replied you too.\Is she doing well?\Yeah, she said she's studying hard in England.\Do you know who's our class teacher\for the 2nd semester\Come to think of it, who could it be?\Tomoyo, do you know? response:	Yes, I saw our class teacher just now.
context: She replied you too.\Is she doing well?\Yeah, she said she's studying hard in England.\Do you know who's our class teacher\for the 2nd semester\Come to think of it, who could it be?\Tomoyo, do you know?\Yes, I saw our class teacher just now. response:	' Who is it? Who is it?' Teacher is here.
context: Is she doing well?\Yeah, she said she's studying hard in England.\Do you know who's our class teacher\for the 2nd semester\Come to think of it, who could it be?\Tomoyo, do you know?\Yes, I saw our class teacher just now.\' Who is it? Who is it?' Teacher is here. response:	Get to your seats!
context: Yeah, she said she's studying hard in England.\Do you know who's our class teacher\for the 2nd semester\Come to think of it, who could it be?\Tomoyo, do you know?\Yes, I saw our class teacher just now.\' Who is it? Who is it?' Teacher is here.\Get to your seats! response:	It is Mr Terada!
