context: These are fan letters. response:	Wow, that's a lot!
context: Okay! Thank you!\Also...\It's only something I heard, but...\So this way, it becomes more exciti\What?!\Into an anime??\Congratulations again on your anime!\Well it's not for sure yet... response:	Though that said, there's no way they won't go with it!
context: Also...\It's only something I heard, but...\So this way, it becomes more exciti\What?!\Into an anime??\Congratulations again on your anime!\Well it's not for sure yet...\Though that said, there's no way they won't go with it! response:	So which is it?
context: It's only something I heard, but...\So this way, it becomes more exciti\What?!\Into an anime??\Congratulations again on your anime!\Well it's not for sure yet...\Though that said, there's no way they won't go with it!\So which is it? response:	MediAscii must be pretty desperate to have even considered picking up your delusional pileup novel thing.
context: So this way, it becomes more exciti\What?!\Into an anime??\Congratulations again on your anime!\Well it's not for sure yet...\Though that said, there's no way they won't go with it!\So which is it?\MediAscii must be pretty desperate to have even considered picking up your delusional pileup novel thing. response:	What's that?
context: What?!\Into an anime??\Congratulations again on your anime!\Well it's not for sure yet...\Though that said, there's no way they won't go with it!\So which is it?\MediAscii must be pretty desperate to have even considered picking up your delusional pileup novel thing.\What's that? response:	Do I hear jealousy?
context: Into an anime??\Congratulations again on your anime!\Well it's not for sure yet...\Though that said, there's no way they won't go with it!\So which is it?\MediAscii must be pretty desperate to have even considered picking up your delusional pileup novel thing.\What's that?\Do I hear jealousy? response:	Feeling the weight of a loser wannabe being beaten out to getting a debut and an anime?
context: Congratulations again on your anime!\Well it's not for sure yet...\Though that said, there's no way they won't go with it!\So which is it?\MediAscii must be pretty desperate to have even considered picking up your delusional pileup novel thing.\What's that?\Do I hear jealousy?\Feeling the weight of a loser wannabe being beaten out to getting a debut and an anime? response:	If you don't shut up, I'm going to write anime otaku use only on that huge forehead of yours.
context: Well it's not for sure yet...\Though that said, there's no way they won't go with it!\So which is it?\MediAscii must be pretty desperate to have even considered picking up your delusional pileup novel thing.\What's that?\Do I hear jealousy?\Feeling the weight of a loser wannabe being beaten out to getting a debut and an anime?\If you don't shut up, I'm going to write anime otaku use only on that huge forehead of yours. response:	What do you mean use?
context: Though that said, there's no way they won't go with it!\So which is it?\MediAscii must be pretty desperate to have even considered picking up your delusional pileup novel thing.\What's that?\Do I hear jealousy?\Feeling the weight of a loser wannabe being beaten out to getting a debut and an anime?\If you don't shut up, I'm going to write anime otaku use only on that huge forehead of yours.\What do you mean use? response:	I'm not allowed to say something that indecent in public.
context: So which is it?\MediAscii must be pretty desperate to have even considered picking up your delusional pileup novel thing.\What's that?\Do I hear jealousy?\Feeling the weight of a loser wannabe being beaten out to getting a debut and an anime?\If you don't shut up, I'm going to write anime otaku use only on that huge forehead of yours.\What do you mean use?\I'm not allowed to say something that indecent in public. response:	Why you
context: MediAscii must be pretty desperate to have even considered picking up your delusional pileup novel thing.\What's that?\Do I hear jealousy?\Feeling the weight of a loser wannabe being beaten out to getting a debut and an anime?\If you don't shut up, I'm going to write anime otaku use only on that huge forehead of yours.\What do you mean use?\I'm not allowed to say something that indecent in public.\Why you response:	Now, now, now...
context: What's that?\Do I hear jealousy?\Feeling the weight of a loser wannabe being beaten out to getting a debut and an anime?\If you don't shut up, I'm going to write anime otaku use only on that huge forehead of yours.\What do you mean use?\I'm not allowed to say something that indecent in public.\Why you\Now, now, now... response:	So Miss Kiririn, what did you call us together for?
context: Do I hear jealousy?\Feeling the weight of a loser wannabe being beaten out to getting a debut and an anime?\If you don't shut up, I'm going to write anime otaku use only on that huge forehead of yours.\What do you mean use?\I'm not allowed to say something that indecent in public.\Why you\Now, now, now...\So Miss Kiririn, what did you call us together for? response:	Well basically, today is the first meeting with the anime staff.
context: Feeling the weight of a loser wannabe being beaten out to getting a debut and an anime?\If you don't shut up, I'm going to write anime otaku use only on that huge forehead of yours.\What do you mean use?\I'm not allowed to say something that indecent in public.\Why you\Now, now, now...\So Miss Kiririn, what did you call us together for?\Well basically, today is the first meeting with the anime staff. response:	Okay...
context: If you don't shut up, I'm going to write anime otaku use only on that huge forehead of yours.\What do you mean use?\I'm not allowed to say something that indecent in public.\Why you\Now, now, now...\So Miss Kiririn, what did you call us together for?\Well basically, today is the first meeting with the anime staff.\Okay... response:	So I was thinking, if you guys wanted to so badly, I could let you come along.
context: What do you mean use?\I'm not allowed to say something that indecent in public.\Why you\Now, now, now...\So Miss Kiririn, what did you call us together for?\Well basically, today is the first meeting with the anime staff.\Okay...\So I was thinking, if you guys wanted to so badly, I could let you come along. response:	Why exactly do we have to accompany you to your meeting?
context: I'm not allowed to say something that indecent in public.\Why you\Now, now, now...\So Miss Kiririn, what did you call us together for?\Well basically, today is the first meeting with the anime staff.\Okay...\So I was thinking, if you guys wanted to so badly, I could let you come along.\Why exactly do we have to accompany you to your meeting? response:	Like I said, you guys know about the studio, staff, and voice actors, right?
context: Why you\Now, now, now...\So Miss Kiririn, what did you call us together for?\Well basically, today is the first meeting with the anime staff.\Okay...\So I was thinking, if you guys wanted to so badly, I could let you come along.\Why exactly do we have to accompany you to your meeting?\Like I said, you guys know about the studio, staff, and voice actors, right? response:	I'm giving you a chance to support me with that stuff in the meeting!
context: Now, now, now...\So Miss Kiririn, what did you call us together for?\Well basically, today is the first meeting with the anime staff.\Okay...\So I was thinking, if you guys wanted to so badly, I could let you come along.\Why exactly do we have to accompany you to your meeting?\Like I said, you guys know about the studio, staff, and voice actors, right?\I'm giving you a chance to support me with that stuff in the meeting! response:	It's pretty rare to see you nervous.
context: So Miss Kiririn, what did you call us together for?\Well basically, today is the first meeting with the anime staff.\Okay...\So I was thinking, if you guys wanted to so badly, I could let you come along.\Why exactly do we have to accompany you to your meeting?\Like I said, you guys know about the studio, staff, and voice actors, right?\I'm giving you a chance to support me with that stuff in the meeting!\It's pretty rare to see you nervous. response:	So that's why you want us to come along?
context: Well basically, today is the first meeting with the anime staff.\Okay...\So I was thinking, if you guys wanted to so badly, I could let you come along.\Why exactly do we have to accompany you to your meeting?\Like I said, you guys know about the studio, staff, and voice actors, right?\I'm giving you a chance to support me with that stuff in the meeting!\It's pretty rare to see you nervous.\So that's why you want us to come along? response:	D-Don't be stupid!
context: Okay...\So I was thinking, if you guys wanted to so badly, I could let you come along.\Why exactly do we have to accompany you to your meeting?\Like I said, you guys know about the studio, staff, and voice actors, right?\I'm giving you a chance to support me with that stuff in the meeting!\It's pretty rare to see you nervous.\So that's why you want us to come along?\D-Don't be stupid! response:	Who'd get nervous over a silly little meeting?
context: So I was thinking, if you guys wanted to so badly, I could let you come along.\Why exactly do we have to accompany you to your meeting?\Like I said, you guys know about the studio, staff, and voice actors, right?\I'm giving you a chance to support me with that stuff in the meeting!\It's pretty rare to see you nervous.\So that's why you want us to come along?\D-Don't be stupid!\Who'd get nervous over a silly little meeting? response:	Here's your Justeen!
context: Why exactly do we have to accompany you to your meeting?\Like I said, you guys know about the studio, staff, and voice actors, right?\I'm giving you a chance to support me with that stuff in the meeting!\It's pretty rare to see you nervous.\So that's why you want us to come along?\D-Don't be stupid!\Who'd get nervous over a silly little meeting?\Here's your Justeen! response:	Who's in charge of this?
context: Like I said, you guys know about the studio, staff, and voice actors, right?\I'm giving you a chance to support me with that stuff in the meeting!\It's pretty rare to see you nervous.\So that's why you want us to come along?\D-Don't be stupid!\Who'd get nervous over a silly little meeting?\Here's your Justeen!\Who's in charge of this? response:	A lady named Fate-san.
context: I'm giving you a chance to support me with that stuff in the meeting!\It's pretty rare to see you nervous.\So that's why you want us to come along?\D-Don't be stupid!\Who'd get nervous over a silly little meeting?\Here's your Justeen!\Who's in charge of this?\A lady named Fate-san. response:	Fate?
context: It's pretty rare to see you nervous.\So that's why you want us to come along?\D-Don't be stupid!\Who'd get nervous over a silly little meeting?\Here's your Justeen!\Who's in charge of this?\A lady named Fate-san.\Fate? response:	That's actually her real name.
context: So that's why you want us to come along?\D-Don't be stupid!\Who'd get nervous over a silly little meeting?\Here's your Justeen!\Who's in charge of this?\A lady named Fate-san.\Fate?\That's actually her real name. response:	She's a quarter, and her name is Iori Fate Setsuna.
context: D-Don't be stupid!\Who'd get nervous over a silly little meeting?\Here's your Justeen!\Who's in charge of this?\A lady named Fate-san.\Fate?\That's actually her real name.\She's a quarter, and her name is Iori Fate Setsuna. response:	What a cool name...
context: Who'd get nervous over a silly little meeting?\Here's your Justeen!\Who's in charge of this?\A lady named Fate-san.\Fate?\That's actually her real name.\She's a quarter, and her name is Iori Fate Setsuna.\What a cool name... response:	Understood!
context: Here's your Justeen!\Who's in charge of this?\A lady named Fate-san.\Fate?\That's actually her real name.\She's a quarter, and her name is Iori Fate Setsuna.\What a cool name...\Understood! response:	I'll accompany you, if you want.
context: Who's in charge of this?\A lady named Fate-san.\Fate?\That's actually her real name.\She's a quarter, and her name is Iori Fate Setsuna.\What a cool name...\Understood!\I'll accompany you, if you want. response:	What about you?
context: A lady named Fate-san.\Fate?\That's actually her real name.\She's a quarter, and her name is Iori Fate Setsuna.\What a cool name...\Understood!\I'll accompany you, if you want.\What about you? response:	If you come, I'll introduce you to Fate-san.
context: Fate?\That's actually her real name.\She's a quarter, and her name is Iori Fate Setsuna.\What a cool name...\Understood!\I'll accompany you, if you want.\What about you?\If you come, I'll introduce you to Fate-san. response:	For me, it's not really a question of what I'll get out of it,
context: That's actually her real name.\She's a quarter, and her name is Iori Fate Setsuna.\What a cool name...\Understood!\I'll accompany you, if you want.\What about you?\If you come, I'll introduce you to Fate-san.\For me, it's not really a question of what I'll get out of it, response:	but my schedule happens to be open today, so I'll come along just for you.
context: She's a quarter, and her name is Iori Fate Setsuna.\What a cool name...\Understood!\I'll accompany you, if you want.\What about you?\If you come, I'll introduce you to Fate-san.\For me, it's not really a question of what I'll get out of it,\but my schedule happens to be open today, so I'll come along just for you. response:	Be thankful you're so lucky.
context: What a cool name...\Understood!\I'll accompany you, if you want.\What about you?\If you come, I'll introduce you to Fate-san.\For me, it's not really a question of what I'll get out of it,\but my schedule happens to be open today, so I'll come along just for you.\Be thankful you're so lucky. response:	You're seriously annoying.
context: Understood!\I'll accompany you, if you want.\What about you?\If you come, I'll introduce you to Fate-san.\For me, it's not really a question of what I'll get out of it,\but my schedule happens to be open today, so I'll come along just for you.\Be thankful you're so lucky.\You're seriously annoying. response:	The staff is already here.
context: I'll accompany you, if you want.\What about you?\If you come, I'll introduce you to Fate-san.\For me, it's not really a question of what I'll get out of it,\but my schedule happens to be open today, so I'll come along just for you.\Be thankful you're so lucky.\You're seriously annoying.\The staff is already here. response:	Ah, okay.
context: What about you?\If you come, I'll introduce you to Fate-san.\For me, it's not really a question of what I'll get out of it,\but my schedule happens to be open today, so I'll come along just for you.\Be thankful you're so lucky.\You're seriously annoying.\The staff is already here.\Ah, okay. response:	Excuse me.
context: If you come, I'll introduce you to Fate-san.\For me, it's not really a question of what I'll get out of it,\but my schedule happens to be open today, so I'll come along just for you.\Be thankful you're so lucky.\You're seriously annoying.\The staff is already here.\Ah, okay.\Excuse me. response:	Don't be so nervous!
context: For me, it's not really a question of what I'll get out of it,\but my schedule happens to be open today, so I'll come along just for you.\Be thankful you're so lucky.\You're seriously annoying.\The staff is already here.\Ah, okay.\Excuse me.\Don't be so nervous! response:	You're infecting me with it!
context: but my schedule happens to be open today, so I'll come along just for you.\Be thankful you're so lucky.\You're seriously annoying.\The staff is already here.\Ah, okay.\Excuse me.\Don't be so nervous!\You're infecting me with it! response:	I'm not nervous at all.
context: Be thankful you're so lucky.\You're seriously annoying.\The staff is already here.\Ah, okay.\Excuse me.\Don't be so nervous!\You're infecting me with it!\I'm not nervous at all. response:	The purpose of today's meeting is to have a chance to talk about the My City anime.
context: You're seriously annoying.\The staff is already here.\Ah, okay.\Excuse me.\Don't be so nervous!\You're infecting me with it!\I'm not nervous at all.\The purpose of today's meeting is to have a chance to talk about the My City anime. response:	So to start with, how about we discuss the general direction we want to take with it?
context: The staff is already here.\Ah, okay.\Excuse me.\Don't be so nervous!\You're infecting me with it!\I'm not nervous at all.\The purpose of today's meeting is to have a chance to talk about the My City anime.\So to start with, how about we discuss the general direction we want to take with it? response:	These two here are Rino-sensei's assistants.
context: Ah, okay.\Excuse me.\Don't be so nervous!\You're infecting me with it!\I'm not nervous at all.\The purpose of today's meeting is to have a chance to talk about the My City anime.\So to start with, how about we discuss the general direction we want to take with it?\These two here are Rino-sensei's assistants. response:	I had them accompany me.
context: Excuse me.\Don't be so nervous!\You're infecting me with it!\I'm not nervous at all.\The purpose of today's meeting is to have a chance to talk about the My City anime.\So to start with, how about we discuss the general direction we want to take with it?\These two here are Rino-sensei's assistants.\I had them accompany me. response:	I figured it'd be good to have opinions from the readers.
context: Don't be so nervous!\You're infecting me with it!\I'm not nervous at all.\The purpose of today's meeting is to have a chance to talk about the My City anime.\So to start with, how about we discuss the general direction we want to take with it?\These two here are Rino-sensei's assistants.\I had them accompany me.\I figured it'd be good to have opinions from the readers. response:	I see, that makes sense.
context: You're infecting me with it!\I'm not nervous at all.\The purpose of today's meeting is to have a chance to talk about the My City anime.\So to start with, how about we discuss the general direction we want to take with it?\These two here are Rino-sensei's assistants.\I had them accompany me.\I figured it'd be good to have opinions from the readers.\I see, that makes sense. response:	My name's Saori.
context: I'm not nervous at all.\The purpose of today's meeting is to have a chance to talk about the My City anime.\So to start with, how about we discuss the general direction we want to take with it?\These two here are Rino-sensei's assistants.\I had them accompany me.\I figured it'd be good to have opinions from the readers.\I see, that makes sense.\My name's Saori. response:	I'm Kuroneko.
context: The purpose of today's meeting is to have a chance to talk about the My City anime.\So to start with, how about we discuss the general direction we want to take with it?\These two here are Rino-sensei's assistants.\I had them accompany me.\I figured it'd be good to have opinions from the readers.\I see, that makes sense.\My name's Saori.\I'm Kuroneko. response:	When exactly did I become your assistant?
context: So to start with, how about we discuss the general direction we want to take with it?\These two here are Rino-sensei's assistants.\I had them accompany me.\I figured it'd be good to have opinions from the readers.\I see, that makes sense.\My name's Saori.\I'm Kuroneko.\When exactly did I become your assistant? response:	Calling me that sullies my name.
context: These two here are Rino-sensei's assistants.\I had them accompany me.\I figured it'd be good to have opinions from the readers.\I see, that makes sense.\My name's Saori.\I'm Kuroneko.\When exactly did I become your assistant?\Calling me that sullies my name. response:	You needn't mind us. Please go ahead with the meeting.
context: I had them accompany me.\I figured it'd be good to have opinions from the readers.\I see, that makes sense.\My name's Saori.\I'm Kuroneko.\When exactly did I become your assistant?\Calling me that sullies my name.\You needn't mind us. Please go ahead with the meeting. response:	So how about we start with the director?
context: I figured it'd be good to have opinions from the readers.\I see, that makes sense.\My name's Saori.\I'm Kuroneko.\When exactly did I become your assistant?\Calling me that sullies my name.\You needn't mind us. Please go ahead with the meeting.\So how about we start with the director? response:	Alright.
context: I see, that makes sense.\My name's Saori.\I'm Kuroneko.\When exactly did I become your assistant?\Calling me that sullies my name.\You needn't mind us. Please go ahead with the meeting.\So how about we start with the director?\Alright. response:	Do you have anything in particular you want with regards to the anime?
context: My name's Saori.\I'm Kuroneko.\When exactly did I become your assistant?\Calling me that sullies my name.\You needn't mind us. Please go ahead with the meeting.\So how about we start with the director?\Alright.\Do you have anything in particular you want with regards to the anime? response:	Um... well...
context: I'm Kuroneko.\When exactly did I become your assistant?\Calling me that sullies my name.\You needn't mind us. Please go ahead with the meeting.\So how about we start with the director?\Alright.\Do you have anything in particular you want with regards to the anime?\Um... well... response:	I wrote some notes yesterday for today's meeting.
context: When exactly did I become your assistant?\Calling me that sullies my name.\You needn't mind us. Please go ahead with the meeting.\So how about we start with the director?\Alright.\Do you have anything in particular you want with regards to the anime?\Um... well...\I wrote some notes yesterday for today's meeting. response:	Notes?
context: Calling me that sullies my name.\You needn't mind us. Please go ahead with the meeting.\So how about we start with the director?\Alright.\Do you have anything in particular you want with regards to the anime?\Um... well...\I wrote some notes yesterday for today's meeting.\Notes? response:	Yes!
context: You needn't mind us. Please go ahead with the meeting.\So how about we start with the director?\Alright.\Do you have anything in particular you want with regards to the anime?\Um... well...\I wrote some notes yesterday for today's meeting.\Notes?\Yes! response:	First, here's a list of the characters' voice actors.
context: So how about we start with the director?\Alright.\Do you have anything in particular you want with regards to the anime?\Um... well...\I wrote some notes yesterday for today's meeting.\Notes?\Yes!\First, here's a list of the characters' voice actors. response:	We can't do this without Hoshino-san!
context: Alright.\Do you have anything in particular you want with regards to the anime?\Um... well...\I wrote some notes yesterday for today's meeting.\Notes?\Yes!\First, here's a list of the characters' voice actors.\We can't do this without Hoshino-san! response:	She has the exact image I had in mind when I was writing!
context: Do you have anything in particular you want with regards to the anime?\Um... well...\I wrote some notes yesterday for today's meeting.\Notes?\Yes!\First, here's a list of the characters' voice actors.\We can't do this without Hoshino-san!\She has the exact image I had in mind when I was writing! response:	Also, I'd like Burigaki-san for one of the sisters.
context: Um... well...\I wrote some notes yesterday for today's meeting.\Notes?\Yes!\First, here's a list of the characters' voice actors.\We can't do this without Hoshino-san!\She has the exact image I had in mind when I was writing!\Also, I'd like Burigaki-san for one of the sisters. response:	And Youhei-san too!
context: I wrote some notes yesterday for today's meeting.\Notes?\Yes!\First, here's a list of the characters' voice actors.\We can't do this without Hoshino-san!\She has the exact image I had in mind when I was writing!\Also, I'd like Burigaki-san for one of the sisters.\And Youhei-san too! response:	I heard her in Meruru, and she has a great voice!
context: Notes?\Yes!\First, here's a list of the characters' voice actors.\We can't do this without Hoshino-san!\She has the exact image I had in mind when I was writing!\Also, I'd like Burigaki-san for one of the sisters.\And Youhei-san too!\I heard her in Meruru, and she has a great voice! response:	And I was thinking Chuuganji-san would be great to have for character design.
context: Yes!\First, here's a list of the characters' voice actors.\We can't do this without Hoshino-san!\She has the exact image I had in mind when I was writing!\Also, I'd like Burigaki-san for one of the sisters.\And Youhei-san too!\I heard her in Meruru, and she has a great voice!\And I was thinking Chuuganji-san would be great to have for character design. response:	His takes on copyright characters are always full of ero.
context: First, here's a list of the characters' voice actors.\We can't do this without Hoshino-san!\She has the exact image I had in mind when I was writing!\Also, I'd like Burigaki-san for one of the sisters.\And Youhei-san too!\I heard her in Meruru, and she has a great voice!\And I was thinking Chuuganji-san would be great to have for character design.\His takes on copyright characters are always full of ero. response:	Also, the idea just occurred to me, but would it be possible to change the opening and ending every episode?
context: We can't do this without Hoshino-san!\She has the exact image I had in mind when I was writing!\Also, I'd like Burigaki-san for one of the sisters.\And Youhei-san too!\I heard her in Meruru, and she has a great voice!\And I was thinking Chuuganji-san would be great to have for character design.\His takes on copyright characters are always full of ero.\Also, the idea just occurred to me, but would it be possible to change the opening and ending every episode? response:	So, 52 songs total.
context: She has the exact image I had in mind when I was writing!\Also, I'd like Burigaki-san for one of the sisters.\And Youhei-san too!\I heard her in Meruru, and she has a great voice!\And I was thinking Chuuganji-san would be great to have for character design.\His takes on copyright characters are always full of ero.\Also, the idea just occurred to me, but would it be possible to change the opening and ending every episode?\So, 52 songs total. response:	It'll be such an awesome hit!
context: Also, I'd like Burigaki-san for one of the sisters.\And Youhei-san too!\I heard her in Meruru, and she has a great voice!\And I was thinking Chuuganji-san would be great to have for character design.\His takes on copyright characters are always full of ero.\Also, the idea just occurred to me, but would it be possible to change the opening and ending every episode?\So, 52 songs total.\It'll be such an awesome hit! response:	And how about doing My Star for number 001?
context: And Youhei-san too!\I heard her in Meruru, and she has a great voice!\And I was thinking Chuuganji-san would be great to have for character design.\His takes on copyright characters are always full of ero.\Also, the idea just occurred to me, but would it be possible to change the opening and ending every episode?\So, 52 songs total.\It'll be such an awesome hit!\And how about doing My Star for number 001? response:	I wrote this story for the net, but I'm sure the audience would be in tune with it!
context: I heard her in Meruru, and she has a great voice!\And I was thinking Chuuganji-san would be great to have for character design.\His takes on copyright characters are always full of ero.\Also, the idea just occurred to me, but would it be possible to change the opening and ending every episode?\So, 52 songs total.\It'll be such an awesome hit!\And how about doing My Star for number 001?\I wrote this story for the net, but I'm sure the audience would be in tune with it! response:	Ah, for the soundtrack, I had a hard time deciding between Garyuu-san and Yoroi-san,
context: And I was thinking Chuuganji-san would be great to have for character design.\His takes on copyright characters are always full of ero.\Also, the idea just occurred to me, but would it be possible to change the opening and ending every episode?\So, 52 songs total.\It'll be such an awesome hit!\And how about doing My Star for number 001?\I wrote this story for the net, but I'm sure the audience would be in tune with it!\Ah, for the soundtrack, I had a hard time deciding between Garyuu-san and Yoroi-san, response:	but maybe we can have them collaborate?
context: His takes on copyright characters are always full of ero.\Also, the idea just occurred to me, but would it be possible to change the opening and ending every episode?\So, 52 songs total.\It'll be such an awesome hit!\And how about doing My Star for number 001?\I wrote this story for the net, but I'm sure the audience would be in tune with it!\Ah, for the soundtrack, I had a hard time deciding between Garyuu-san and Yoroi-san,\but maybe we can have them collaborate? response:	It'd be great to have all the voice actors for the sisters sing together!
context: Also, the idea just occurred to me, but would it be possible to change the opening and ending every episode?\So, 52 songs total.\It'll be such an awesome hit!\And how about doing My Star for number 001?\I wrote this story for the net, but I'm sure the audience would be in tune with it!\Ah, for the soundtrack, I had a hard time deciding between Garyuu-san and Yoroi-san,\but maybe we can have them collaborate?\It'd be great to have all the voice actors for the sisters sing together! response:	I just thought of it, but maybe we could get a bunch of different manga artists and illustrators to do the character designs!
context: So, 52 songs total.\It'll be such an awesome hit!\And how about doing My Star for number 001?\I wrote this story for the net, but I'm sure the audience would be in tune with it!\Ah, for the soundtrack, I had a hard time deciding between Garyuu-san and Yoroi-san,\but maybe we can have them collaborate?\It'd be great to have all the voice actors for the sisters sing together!\I just thought of it, but maybe we could get a bunch of different manga artists and illustrators to do the character designs! response:	Maybe if we ask them from Raigeki Bunko's side...
context: It'll be such an awesome hit!\And how about doing My Star for number 001?\I wrote this story for the net, but I'm sure the audience would be in tune with it!\Ah, for the soundtrack, I had a hard time deciding between Garyuu-san and Yoroi-san,\but maybe we can have them collaborate?\It'd be great to have all the voice actors for the sisters sing together!\I just thought of it, but maybe we could get a bunch of different manga artists and illustrators to do the character designs!\Maybe if we ask them from Raigeki Bunko's side... response:	And having end cards would also be great!
context: And how about doing My Star for number 001?\I wrote this story for the net, but I'm sure the audience would be in tune with it!\Ah, for the soundtrack, I had a hard time deciding between Garyuu-san and Yoroi-san,\but maybe we can have them collaborate?\It'd be great to have all the voice actors for the sisters sing together!\I just thought of it, but maybe we could get a bunch of different manga artists and illustrators to do the character designs!\Maybe if we ask them from Raigeki Bunko's side...\And having end cards would also be great! response:	Also, this story starts in Shibuya, so could we use real shops in those scenes?
context: I wrote this story for the net, but I'm sure the audience would be in tune with it!\Ah, for the soundtrack, I had a hard time deciding between Garyuu-san and Yoroi-san,\but maybe we can have them collaborate?\It'd be great to have all the voice actors for the sisters sing together!\I just thought of it, but maybe we could get a bunch of different manga artists and illustrators to do the character designs!\Maybe if we ask them from Raigeki Bunko's side...\And having end cards would also be great!\Also, this story starts in Shibuya, so could we use real shops in those scenes? response:	Like a homage to the original?
context: Ah, for the soundtrack, I had a hard time deciding between Garyuu-san and Yoroi-san,\but maybe we can have them collaborate?\It'd be great to have all the voice actors for the sisters sing together!\I just thought of it, but maybe we could get a bunch of different manga artists and illustrators to do the character designs!\Maybe if we ask them from Raigeki Bunko's side...\And having end cards would also be great!\Also, this story starts in Shibuya, so could we use real shops in those scenes?\Like a homage to the original? response:	Also, Director, you did MoeSis too, right?
context: but maybe we can have them collaborate?\It'd be great to have all the voice actors for the sisters sing together!\I just thought of it, but maybe we could get a bunch of different manga artists and illustrators to do the character designs!\Maybe if we ask them from Raigeki Bunko's side...\And having end cards would also be great!\Also, this story starts in Shibuya, so could we use real shops in those scenes?\Like a homage to the original?\Also, Director, you did MoeSis too, right? response:	Can we get Bakkoin-san to do the animation for this?
context: It'd be great to have all the voice actors for the sisters sing together!\I just thought of it, but maybe we could get a bunch of different manga artists and illustrators to do the character designs!\Maybe if we ask them from Raigeki Bunko's side...\And having end cards would also be great!\Also, this story starts in Shibuya, so could we use real shops in those scenes?\Like a homage to the original?\Also, Director, you did MoeSis too, right?\Can we get Bakkoin-san to do the animation for this? response:	I love the way he makes things move so smoothly!
context: I just thought of it, but maybe we could get a bunch of different manga artists and illustrators to do the character designs!\Maybe if we ask them from Raigeki Bunko's side...\And having end cards would also be great!\Also, this story starts in Shibuya, so could we use real shops in those scenes?\Like a homage to the original?\Also, Director, you did MoeSis too, right?\Can we get Bakkoin-san to do the animation for this?\I love the way he makes things move so smoothly! response:	Oh, and when you show panties on screen, you normally have to block it with shadows or light, right?
context: Maybe if we ask them from Raigeki Bunko's side...\And having end cards would also be great!\Also, this story starts in Shibuya, so could we use real shops in those scenes?\Like a homage to the original?\Also, Director, you did MoeSis too, right?\Can we get Bakkoin-san to do the animation for this?\I love the way he makes things move so smoothly!\Oh, and when you show panties on screen, you normally have to block it with shadows or light, right? response:	So for this, how about we say they aren't panties, but some kind of survival gear instead?
context: And having end cards would also be great!\Also, this story starts in Shibuya, so could we use real shops in those scenes?\Like a homage to the original?\Also, Director, you did MoeSis too, right?\Can we get Bakkoin-san to do the animation for this?\I love the way he makes things move so smoothly!\Oh, and when you show panties on screen, you normally have to block it with shadows or light, right?\So for this, how about we say they aren't panties, but some kind of survival gear instead? response:	And lastly, for the credits, could you use Super Original Work instead of just Original Work?
