context: you won't be able to save the two in the basement! response:	Hey, Yu, Ayumi. It's been a while.
context: More like the reverse. You can plunder any ability you want.\You are the strongest of all ability wielders.\And, you even have the power of time-leap now...\that is too much of a menace\What are you trying to say?\There are syndicates abound that would try to use your powers.\I can't let you live life as you have been until now.\You have to spend your days here until those abilities dissipate. response:	Here?
context: You are the strongest of all ability wielders.\And, you even have the power of time-leap now...\that is too much of a menace\What are you trying to say?\There are syndicates abound that would try to use your powers.\I can't let you live life as you have been until now.\You have to spend your days here until those abilities dissipate.\Here? response:	Yeah. You may already know,
context: And, you even have the power of time-leap now...\that is too much of a menace\What are you trying to say?\There are syndicates abound that would try to use your powers.\I can't let you live life as you have been until now.\You have to spend your days here until those abilities dissipate.\Here?\Yeah. You may already know, response:	but this is a research facility for the special abilities we created.
context: that is too much of a menace\What are you trying to say?\There are syndicates abound that would try to use your powers.\I can't let you live life as you have been until now.\You have to spend your days here until those abilities dissipate.\Here?\Yeah. You may already know,\but this is a research facility for the special abilities we created. response:	In other words, this is the safest place in Japan.
context: What are you trying to say?\There are syndicates abound that would try to use your powers.\I can't let you live life as you have been until now.\You have to spend your days here until those abilities dissipate.\Here?\Yeah. You may already know,\but this is a research facility for the special abilities we created.\In other words, this is the safest place in Japan. response:	Come with me.
context: There are syndicates abound that would try to use your powers.\I can't let you live life as you have been until now.\You have to spend your days here until those abilities dissipate.\Here?\Yeah. You may already know,\but this is a research facility for the special abilities we created.\In other words, this is the safest place in Japan.\Come with me. response:	Episode 11: Charlotte
context: I can't let you live life as you have been until now.\You have to spend your days here until those abilities dissipate.\Here?\Yeah. You may already know,\but this is a research facility for the special abilities we created.\In other words, this is the safest place in Japan.\Come with me.\Episode 11: Charlotte response:	My, my, nice of you to come by.
context: You have to spend your days here until those abilities dissipate.\Here?\Yeah. You may already know,\but this is a research facility for the special abilities we created.\In other words, this is the safest place in Japan.\Come with me.\Episode 11: Charlotte\My, my, nice of you to come by. response:	That old man is the leader of the research team, Dr. Tsutsumiuchi.
context: Here?\Yeah. You may already know,\but this is a research facility for the special abilities we created.\In other words, this is the safest place in Japan.\Come with me.\Episode 11: Charlotte\My, my, nice of you to come by.\That old man is the leader of the research team, Dr. Tsutsumiuchi. response:	I know...
context: Yeah. You may already know,\but this is a research facility for the special abilities we created.\In other words, this is the safest place in Japan.\Come with me.\Episode 11: Charlotte\My, my, nice of you to come by.\That old man is the leader of the research team, Dr. Tsutsumiuchi.\I know... response:	And this is..?
context: but this is a research facility for the special abilities we created.\In other words, this is the safest place in Japan.\Come with me.\Episode 11: Charlotte\My, my, nice of you to come by.\That old man is the leader of the research team, Dr. Tsutsumiuchi.\I know...\And this is..? response:	This is a research facility that is creating a vaccine to prevent
context: In other words, this is the safest place in Japan.\Come with me.\Episode 11: Charlotte\My, my, nice of you to come by.\That old man is the leader of the research team, Dr. Tsutsumiuchi.\I know...\And this is..?\This is a research facility that is creating a vaccine to prevent response:	future outbreaks of special abilities.
context: Come with me.\Episode 11: Charlotte\My, my, nice of you to come by.\That old man is the leader of the research team, Dr. Tsutsumiuchi.\I know...\And this is..?\This is a research facility that is creating a vaccine to prevent\future outbreaks of special abilities. response:	Vaccine? Are we all ill?
context: Episode 11: Charlotte\My, my, nice of you to come by.\That old man is the leader of the research team, Dr. Tsutsumiuchi.\I know...\And this is..?\This is a research facility that is creating a vaccine to prevent\future outbreaks of special abilities.\Vaccine? Are we all ill? response:	Exactly.
context: My, my, nice of you to come by.\That old man is the leader of the research team, Dr. Tsutsumiuchi.\I know...\And this is..?\This is a research facility that is creating a vaccine to prevent\future outbreaks of special abilities.\Vaccine? Are we all ill?\Exactly. response:	The special abilities are truly a disease.
context: That old man is the leader of the research team, Dr. Tsutsumiuchi.\I know...\And this is..?\This is a research facility that is creating a vaccine to prevent\future outbreaks of special abilities.\Vaccine? Are we all ill?\Exactly.\The special abilities are truly a disease. response:	So, before particles are spread all over Earth again,
context: I know...\And this is..?\This is a research facility that is creating a vaccine to prevent\future outbreaks of special abilities.\Vaccine? Are we all ill?\Exactly.\The special abilities are truly a disease.\So, before particles are spread all over Earth again, response:	we need to vaccinate every person in the world.
context: And this is..?\This is a research facility that is creating a vaccine to prevent\future outbreaks of special abilities.\Vaccine? Are we all ill?\Exactly.\The special abilities are truly a disease.\So, before particles are spread all over Earth again,\we need to vaccinate every person in the world. response:	Particles?
context: This is a research facility that is creating a vaccine to prevent\future outbreaks of special abilities.\Vaccine? Are we all ill?\Exactly.\The special abilities are truly a disease.\So, before particles are spread all over Earth again,\we need to vaccinate every person in the world.\Particles? response:	Have you ever heard of a long-orbit comet named Charlotte?
context: future outbreaks of special abilities.\Vaccine? Are we all ill?\Exactly.\The special abilities are truly a disease.\So, before particles are spread all over Earth again,\we need to vaccinate every person in the world.\Particles?\Have you ever heard of a long-orbit comet named Charlotte? response:	A-Ayu knows about it!
context: Vaccine? Are we all ill?\Exactly.\The special abilities are truly a disease.\So, before particles are spread all over Earth again,\we need to vaccinate every person in the world.\Particles?\Have you ever heard of a long-orbit comet named Charlotte?\A-Ayu knows about it! response:	Oh, you must really like the stars a lot.
context: Exactly.\The special abilities are truly a disease.\So, before particles are spread all over Earth again,\we need to vaccinate every person in the world.\Particles?\Have you ever heard of a long-orbit comet named Charlotte?\A-Ayu knows about it!\Oh, you must really like the stars a lot. response:	Yes. Star-gazing is my hobby!
context: The special abilities are truly a disease.\So, before particles are spread all over Earth again,\we need to vaccinate every person in the world.\Particles?\Have you ever heard of a long-orbit comet named Charlotte?\A-Ayu knows about it!\Oh, you must really like the stars a lot.\Yes. Star-gazing is my hobby! response:	I see.
context: So, before particles are spread all over Earth again,\we need to vaccinate every person in the world.\Particles?\Have you ever heard of a long-orbit comet named Charlotte?\A-Ayu knows about it!\Oh, you must really like the stars a lot.\Yes. Star-gazing is my hobby!\I see. response:	The comet Charlotte approaches Earth in 75-year cycles.
context: we need to vaccinate every person in the world.\Particles?\Have you ever heard of a long-orbit comet named Charlotte?\A-Ayu knows about it!\Oh, you must really like the stars a lot.\Yes. Star-gazing is my hobby!\I see.\The comet Charlotte approaches Earth in 75-year cycles. response:	And when it does, an unknown particle is showered onto Earth.
context: Particles?\Have you ever heard of a long-orbit comet named Charlotte?\A-Ayu knows about it!\Oh, you must really like the stars a lot.\Yes. Star-gazing is my hobby!\I see.\The comet Charlotte approaches Earth in 75-year cycles.\And when it does, an unknown particle is showered onto Earth. response:	Those who inhale the particles
context: Have you ever heard of a long-orbit comet named Charlotte?\A-Ayu knows about it!\Oh, you must really like the stars a lot.\Yes. Star-gazing is my hobby!\I see.\The comet Charlotte approaches Earth in 75-year cycles.\And when it does, an unknown particle is showered onto Earth.\Those who inhale the particles response:	generate special powers
context: A-Ayu knows about it!\Oh, you must really like the stars a lot.\Yes. Star-gazing is my hobby!\I see.\The comet Charlotte approaches Earth in 75-year cycles.\And when it does, an unknown particle is showered onto Earth.\Those who inhale the particles\generate special powers response:	when they are most sensitive.
context: Oh, you must really like the stars a lot.\Yes. Star-gazing is my hobby!\I see.\The comet Charlotte approaches Earth in 75-year cycles.\And when it does, an unknown particle is showered onto Earth.\Those who inhale the particles\generate special powers\when they are most sensitive. response:	The particles that snuck all the way into the cerebral nerves
context: Yes. Star-gazing is my hobby!\I see.\The comet Charlotte approaches Earth in 75-year cycles.\And when it does, an unknown particle is showered onto Earth.\Those who inhale the particles\generate special powers\when they are most sensitive.\The particles that snuck all the way into the cerebral nerves response:	dig up and awaken a sector that is supposed to stay dormant.
context: I see.\The comet Charlotte approaches Earth in 75-year cycles.\And when it does, an unknown particle is showered onto Earth.\Those who inhale the particles\generate special powers\when they are most sensitive.\The particles that snuck all the way into the cerebral nerves\dig up and awaken a sector that is supposed to stay dormant. response:	And that is the reason behind these powers...
context: The comet Charlotte approaches Earth in 75-year cycles.\And when it does, an unknown particle is showered onto Earth.\Those who inhale the particles\generate special powers\when they are most sensitive.\The particles that snuck all the way into the cerebral nerves\dig up and awaken a sector that is supposed to stay dormant.\And that is the reason behind these powers... response:	For instance,
context: And when it does, an unknown particle is showered onto Earth.\Those who inhale the particles\generate special powers\when they are most sensitive.\The particles that snuck all the way into the cerebral nerves\dig up and awaken a sector that is supposed to stay dormant.\And that is the reason behind these powers...\For instance, response:	roughly 400 years ago we had an extremely close encounter,
context: Those who inhale the particles\generate special powers\when they are most sensitive.\The particles that snuck all the way into the cerebral nerves\dig up and awaken a sector that is supposed to stay dormant.\And that is the reason behind these powers...\For instance,\roughly 400 years ago we had an extremely close encounter, response:	and many particles showered down.
context: generate special powers\when they are most sensitive.\The particles that snuck all the way into the cerebral nerves\dig up and awaken a sector that is supposed to stay dormant.\And that is the reason behind these powers...\For instance,\roughly 400 years ago we had an extremely close encounter,\and many particles showered down. response:	In Europe, some of those that inhaled the particles became witches with special powers.
context: when they are most sensitive.\The particles that snuck all the way into the cerebral nerves\dig up and awaken a sector that is supposed to stay dormant.\And that is the reason behind these powers...\For instance,\roughly 400 years ago we had an extremely close encounter,\and many particles showered down.\In Europe, some of those that inhaled the particles became witches with special powers. response:	And, the people who feared the abilities conducted a witch hunt,
context: The particles that snuck all the way into the cerebral nerves\dig up and awaken a sector that is supposed to stay dormant.\And that is the reason behind these powers...\For instance,\roughly 400 years ago we had an extremely close encounter,\and many particles showered down.\In Europe, some of those that inhaled the particles became witches with special powers.\And, the people who feared the abilities conducted a witch hunt, response:	and tens of thousands of ability wielders were slaughtered.
context: dig up and awaken a sector that is supposed to stay dormant.\And that is the reason behind these powers...\For instance,\roughly 400 years ago we had an extremely close encounter,\and many particles showered down.\In Europe, some of those that inhaled the particles became witches with special powers.\And, the people who feared the abilities conducted a witch hunt,\and tens of thousands of ability wielders were slaughtered. response:	That comet grazed the atmosphere again roughly 12 years ago,
context: And that is the reason behind these powers...\For instance,\roughly 400 years ago we had an extremely close encounter,\and many particles showered down.\In Europe, some of those that inhaled the particles became witches with special powers.\And, the people who feared the abilities conducted a witch hunt,\and tens of thousands of ability wielders were slaughtered.\That comet grazed the atmosphere again roughly 12 years ago, response:	and young folk started to wield special powers one after another.
context: For instance,\roughly 400 years ago we had an extremely close encounter,\and many particles showered down.\In Europe, some of those that inhaled the particles became witches with special powers.\And, the people who feared the abilities conducted a witch hunt,\and tens of thousands of ability wielders were slaughtered.\That comet grazed the atmosphere again roughly 12 years ago,\and young folk started to wield special powers one after another. response:	Yu, he's talking about us.
context: roughly 400 years ago we had an extremely close encounter,\and many particles showered down.\In Europe, some of those that inhaled the particles became witches with special powers.\And, the people who feared the abilities conducted a witch hunt,\and tens of thousands of ability wielders were slaughtered.\That comet grazed the atmosphere again roughly 12 years ago,\and young folk started to wield special powers one after another.\Yu, he's talking about us. response:	So that doesn't happen again in the future,
context: and many particles showered down.\In Europe, some of those that inhaled the particles became witches with special powers.\And, the people who feared the abilities conducted a witch hunt,\and tens of thousands of ability wielders were slaughtered.\That comet grazed the atmosphere again roughly 12 years ago,\and young folk started to wield special powers one after another.\Yu, he's talking about us.\So that doesn't happen again in the future, response:	we are making a vaccine.
context: In Europe, some of those that inhaled the particles became witches with special powers.\And, the people who feared the abilities conducted a witch hunt,\and tens of thousands of ability wielders were slaughtered.\That comet grazed the atmosphere again roughly 12 years ago,\and young folk started to wield special powers one after another.\Yu, he's talking about us.\So that doesn't happen again in the future,\we are making a vaccine. response:	Production has already begun in Japan.
context: And, the people who feared the abilities conducted a witch hunt,\and tens of thousands of ability wielders were slaughtered.\That comet grazed the atmosphere again roughly 12 years ago,\and young folk started to wield special powers one after another.\Yu, he's talking about us.\So that doesn't happen again in the future,\we are making a vaccine.\Production has already begun in Japan. response:	Then, we can rest assured now.
context: and tens of thousands of ability wielders were slaughtered.\That comet grazed the atmosphere again roughly 12 years ago,\and young folk started to wield special powers one after another.\Yu, he's talking about us.\So that doesn't happen again in the future,\we are making a vaccine.\Production has already begun in Japan.\Then, we can rest assured now. response:	No, only Japan that I control is under protection.
context: That comet grazed the atmosphere again roughly 12 years ago,\and young folk started to wield special powers one after another.\Yu, he's talking about us.\So that doesn't happen again in the future,\we are making a vaccine.\Production has already begun in Japan.\Then, we can rest assured now.\No, only Japan that I control is under protection. response:	Witch hunts are still happening all over the world.
context: and young folk started to wield special powers one after another.\Yu, he's talking about us.\So that doesn't happen again in the future,\we are making a vaccine.\Production has already begun in Japan.\Then, we can rest assured now.\No, only Japan that I control is under protection.\Witch hunts are still happening all over the world. response:	But, that has nothing to do with us...
context: Yu, he's talking about us.\So that doesn't happen again in the future,\we are making a vaccine.\Production has already begun in Japan.\Then, we can rest assured now.\No, only Japan that I control is under protection.\Witch hunts are still happening all over the world.\But, that has nothing to do with us... response:	This story can't possibly be that easy.
context: So that doesn't happen again in the future,\we are making a vaccine.\Production has already begun in Japan.\Then, we can rest assured now.\No, only Japan that I control is under protection.\Witch hunts are still happening all over the world.\But, that has nothing to do with us...\This story can't possibly be that easy. response:	The ability-wielders overseas have banded up.
context: we are making a vaccine.\Production has already begun in Japan.\Then, we can rest assured now.\No, only Japan that I control is under protection.\Witch hunts are still happening all over the world.\But, that has nothing to do with us...\This story can't possibly be that easy.\The ability-wielders overseas have banded up. response:	We're in a situation where we don't know when they will cause terror in the world.
context: Production has already begun in Japan.\Then, we can rest assured now.\No, only Japan that I control is under protection.\Witch hunts are still happening all over the world.\But, that has nothing to do with us...\This story can't possibly be that easy.\The ability-wielders overseas have banded up.\We're in a situation where we don't know when they will cause terror in the world. response:	What about the vaccine?
context: Then, we can rest assured now.\No, only Japan that I control is under protection.\Witch hunts are still happening all over the world.\But, that has nothing to do with us...\This story can't possibly be that easy.\The ability-wielders overseas have banded up.\We're in a situation where we don't know when they will cause terror in the world.\What about the vaccine? response:	We can curb the number of infected that way,
context: No, only Japan that I control is under protection.\Witch hunts are still happening all over the world.\But, that has nothing to do with us...\This story can't possibly be that easy.\The ability-wielders overseas have banded up.\We're in a situation where we don't know when they will cause terror in the world.\What about the vaccine?\We can curb the number of infected that way, response:	but it doesn't do anything for the people who already developed their abilities.
context: Witch hunts are still happening all over the world.\But, that has nothing to do with us...\This story can't possibly be that easy.\The ability-wielders overseas have banded up.\We're in a situation where we don't know when they will cause terror in the world.\What about the vaccine?\We can curb the number of infected that way,\but it doesn't do anything for the people who already developed their abilities. response:	Then, all you have to do is make a wonder drug to counter it!
context: But, that has nothing to do with us...\This story can't possibly be that easy.\The ability-wielders overseas have banded up.\We're in a situation where we don't know when they will cause terror in the world.\What about the vaccine?\We can curb the number of infected that way,\but it doesn't do anything for the people who already developed their abilities.\Then, all you have to do is make a wonder drug to counter it! response:	Otosaka... you are indeed a sharp one, but I guess your little brother isn't so much.
context: This story can't possibly be that easy.\The ability-wielders overseas have banded up.\We're in a situation where we don't know when they will cause terror in the world.\What about the vaccine?\We can curb the number of infected that way,\but it doesn't do anything for the people who already developed their abilities.\Then, all you have to do is make a wonder drug to counter it!\Otosaka... you are indeed a sharp one, but I guess your little brother isn't so much. response:	It takes a very long time to create a new drug.
context: The ability-wielders overseas have banded up.\We're in a situation where we don't know when they will cause terror in the world.\What about the vaccine?\We can curb the number of infected that way,\but it doesn't do anything for the people who already developed their abilities.\Then, all you have to do is make a wonder drug to counter it!\Otosaka... you are indeed a sharp one, but I guess your little brother isn't so much.\It takes a very long time to create a new drug. response:	We don't know what's going to happen next, but I will make sure to protect you both.
context: We're in a situation where we don't know when they will cause terror in the world.\What about the vaccine?\We can curb the number of infected that way,\but it doesn't do anything for the people who already developed their abilities.\Then, all you have to do is make a wonder drug to counter it!\Otosaka... you are indeed a sharp one, but I guess your little brother isn't so much.\It takes a very long time to create a new drug.\We don't know what's going to happen next, but I will make sure to protect you both. response:	All right... but at least I'd like Ayumi to regain her memories about you, Big Brother.
context: What about the vaccine?\We can curb the number of infected that way,\but it doesn't do anything for the people who already developed their abilities.\Then, all you have to do is make a wonder drug to counter it!\Otosaka... you are indeed a sharp one, but I guess your little brother isn't so much.\It takes a very long time to create a new drug.\We don't know what's going to happen next, but I will make sure to protect you both.\All right... but at least I'd like Ayumi to regain her memories about you, Big Brother. response:	It's impossible.
context: We can curb the number of infected that way,\but it doesn't do anything for the people who already developed their abilities.\Then, all you have to do is make a wonder drug to counter it!\Otosaka... you are indeed a sharp one, but I guess your little brother isn't so much.\It takes a very long time to create a new drug.\We don't know what's going to happen next, but I will make sure to protect you both.\All right... but at least I'd like Ayumi to regain her memories about you, Big Brother.\It's impossible. response:	Why? I was able to regain my memories!
context: but it doesn't do anything for the people who already developed their abilities.\Then, all you have to do is make a wonder drug to counter it!\Otosaka... you are indeed a sharp one, but I guess your little brother isn't so much.\It takes a very long time to create a new drug.\We don't know what's going to happen next, but I will make sure to protect you both.\All right... but at least I'd like Ayumi to regain her memories about you, Big Brother.\It's impossible.\Why? I was able to regain my memories! response:	We don't know why you were the only one that regained memories...
context: Then, all you have to do is make a wonder drug to counter it!\Otosaka... you are indeed a sharp one, but I guess your little brother isn't so much.\It takes a very long time to create a new drug.\We don't know what's going to happen next, but I will make sure to protect you both.\All right... but at least I'd like Ayumi to regain her memories about you, Big Brother.\It's impossible.\Why? I was able to regain my memories!\We don't know why you were the only one that regained memories... response:	Was there a large factor somewhere that caused it, or was it just coincidence?
context: Otosaka... you are indeed a sharp one, but I guess your little brother isn't so much.\It takes a very long time to create a new drug.\We don't know what's going to happen next, but I will make sure to protect you both.\All right... but at least I'd like Ayumi to regain her memories about you, Big Brother.\It's impossible.\Why? I was able to regain my memories!\We don't know why you were the only one that regained memories...\Was there a large factor somewhere that caused it, or was it just coincidence? response:	In either case, as we stand now, that's an impossibility.
context: It takes a very long time to create a new drug.\We don't know what's going to happen next, but I will make sure to protect you both.\All right... but at least I'd like Ayumi to regain her memories about you, Big Brother.\It's impossible.\Why? I was able to regain my memories!\We don't know why you were the only one that regained memories...\Was there a large factor somewhere that caused it, or was it just coincidence?\In either case, as we stand now, that's an impossibility. response:	That can't be... That's too sad for Ayumi...
context: We don't know what's going to happen next, but I will make sure to protect you both.\All right... but at least I'd like Ayumi to regain her memories about you, Big Brother.\It's impossible.\Why? I was able to regain my memories!\We don't know why you were the only one that regained memories...\Was there a large factor somewhere that caused it, or was it just coincidence?\In either case, as we stand now, that's an impossibility.\That can't be... That's too sad for Ayumi... response:	From today, we can make new memories as siblings again.
context: All right... but at least I'd like Ayumi to regain her memories about you, Big Brother.\It's impossible.\Why? I was able to regain my memories!\We don't know why you were the only one that regained memories...\Was there a large factor somewhere that caused it, or was it just coincidence?\In either case, as we stand now, that's an impossibility.\That can't be... That's too sad for Ayumi...\From today, we can make new memories as siblings again. response:	Ayumi.
context: It's impossible.\Why? I was able to regain my memories!\We don't know why you were the only one that regained memories...\Was there a large factor somewhere that caused it, or was it just coincidence?\In either case, as we stand now, that's an impossibility.\That can't be... That's too sad for Ayumi...\From today, we can make new memories as siblings again.\Ayumi. response:	I'm your oldest brother, Shunsuke. I'm blind, but it's nice to meet you.
context: Why? I was able to regain my memories!\We don't know why you were the only one that regained memories...\Was there a large factor somewhere that caused it, or was it just coincidence?\In either case, as we stand now, that's an impossibility.\That can't be... That's too sad for Ayumi...\From today, we can make new memories as siblings again.\Ayumi.\I'm your oldest brother, Shunsuke. I'm blind, but it's nice to meet you. response:	Then, can I call you Big Brother Shun?
context: We don't know why you were the only one that regained memories...\Was there a large factor somewhere that caused it, or was it just coincidence?\In either case, as we stand now, that's an impossibility.\That can't be... That's too sad for Ayumi...\From today, we can make new memories as siblings again.\Ayumi.\I'm your oldest brother, Shunsuke. I'm blind, but it's nice to meet you.\Then, can I call you Big Brother Shun? response:	Yeah.
context: Was there a large factor somewhere that caused it, or was it just coincidence?\In either case, as we stand now, that's an impossibility.\That can't be... That's too sad for Ayumi...\From today, we can make new memories as siblings again.\Ayumi.\I'm your oldest brother, Shunsuke. I'm blind, but it's nice to meet you.\Then, can I call you Big Brother Shun?\Yeah. response:	She accepted that real quick!
context: In either case, as we stand now, that's an impossibility.\That can't be... That's too sad for Ayumi...\From today, we can make new memories as siblings again.\Ayumi.\I'm your oldest brother, Shunsuke. I'm blind, but it's nice to meet you.\Then, can I call you Big Brother Shun?\Yeah.\She accepted that real quick! response:	You won't be able to see your school friends for a while,
context: That can't be... That's too sad for Ayumi...\From today, we can make new memories as siblings again.\Ayumi.\I'm your oldest brother, Shunsuke. I'm blind, but it's nice to meet you.\Then, can I call you Big Brother Shun?\Yeah.\She accepted that real quick!\You won't be able to see your school friends for a while, response:	but these guys are your friends...
context: From today, we can make new memories as siblings again.\Ayumi.\I'm your oldest brother, Shunsuke. I'm blind, but it's nice to meet you.\Then, can I call you Big Brother Shun?\Yeah.\She accepted that real quick!\You won't be able to see your school friends for a while,\but these guys are your friends... response:	as well as ability wielders.
context: Ayumi.\I'm your oldest brother, Shunsuke. I'm blind, but it's nice to meet you.\Then, can I call you Big Brother Shun?\Yeah.\She accepted that real quick!\You won't be able to see your school friends for a while,\but these guys are your friends...\as well as ability wielders. response:	I'm Ayumi Otosaka! Nice to meet you!
context: I'm your oldest brother, Shunsuke. I'm blind, but it's nice to meet you.\Then, can I call you Big Brother Shun?\Yeah.\She accepted that real quick!\You won't be able to see your school friends for a while,\but these guys are your friends...\as well as ability wielders.\I'm Ayumi Otosaka! Nice to meet you! response:	Nice to meet you, too.
context: Then, can I call you Big Brother Shun?\Yeah.\She accepted that real quick!\You won't be able to see your school friends for a while,\but these guys are your friends...\as well as ability wielders.\I'm Ayumi Otosaka! Nice to meet you!\Nice to meet you, too. response:	Nice to meet you. Shichino, why don't you walk through a wall for starters?
context: Yeah.\She accepted that real quick!\You won't be able to see your school friends for a while,\but these guys are your friends...\as well as ability wielders.\I'm Ayumi Otosaka! Nice to meet you!\Nice to meet you, too.\Nice to meet you. Shichino, why don't you walk through a wall for starters? response:	Sure thing... don't petrify yourself from fear by seeing this!
context: She accepted that real quick!\You won't be able to see your school friends for a while,\but these guys are your friends...\as well as ability wielders.\I'm Ayumi Otosaka! Nice to meet you!\Nice to meet you, too.\Nice to meet you. Shichino, why don't you walk through a wall for starters?\Sure thing... don't petrify yourself from fear by seeing this! response:	Wow, that's amazing!
