context: A dream? response:	It's this dream again.
context: Sakura, do you guys swap classes?\No. The entire class stays the way it was\and moves on to 5th grade.\So you'll be in the same class with Tomoyo-san.\I'm glad for you.\Um' What about you?\Are you and Yukito in the same class'\We swap classes, response:	but Yuki and I are in the same class.
context: No. The entire class stays the way it was\and moves on to 5th grade.\So you'll be in the same class with Tomoyo-san.\I'm glad for you.\Um' What about you?\Are you and Yukito in the same class'\We swap classes,\but Yuki and I are in the same class. response:	Then, are you still going to school
context: and moves on to 5th grade.\So you'll be in the same class with Tomoyo-san.\I'm glad for you.\Um' What about you?\Are you and Yukito in the same class'\We swap classes,\but Yuki and I are in the same class.\Then, are you still going to school response:	with Yukito in the morning?
context: So you'll be in the same class with Tomoyo-san.\I'm glad for you.\Um' What about you?\Are you and Yukito in the same class'\We swap classes,\but Yuki and I are in the same class.\Then, are you still going to school\with Yukito in the morning? response:	I guess.
context: I'm glad for you.\Um' What about you?\Are you and Yukito in the same class'\We swap classes,\but Yuki and I are in the same class.\Then, are you still going to school\with Yukito in the morning?\I guess. response:	Then, I'll be leaving.
context: Um' What about you?\Are you and Yukito in the same class'\We swap classes,\but Yuki and I are in the same class.\Then, are you still going to school\with Yukito in the morning?\I guess.\Then, I'll be leaving. response:	Okay. Good luck on the academic presentation.
context: Are you and Yukito in the same class'\We swap classes,\but Yuki and I are in the same class.\Then, are you still going to school\with Yukito in the morning?\I guess.\Then, I'll be leaving.\Okay. Good luck on the academic presentation. response:	Oh, also, if anyone calls,
context: We swap classes,\but Yuki and I are in the same class.\Then, are you still going to school\with Yukito in the morning?\I guess.\Then, I'll be leaving.\Okay. Good luck on the academic presentation.\Oh, also, if anyone calls, response:	please ask him or her to call the hotel.
context: but Yuki and I are in the same class.\Then, are you still going to school\with Yukito in the morning?\I guess.\Then, I'll be leaving.\Okay. Good luck on the academic presentation.\Oh, also, if anyone calls,\please ask him or her to call the hotel. response:	We'll do that even if you didn't say so.
context: Then, are you still going to school\with Yukito in the morning?\I guess.\Then, I'll be leaving.\Okay. Good luck on the academic presentation.\Oh, also, if anyone calls,\please ask him or her to call the hotel.\We'll do that even if you didn't say so. response:	Thanks. See you later.
context: with Yukito in the morning?\I guess.\Then, I'll be leaving.\Okay. Good luck on the academic presentation.\Oh, also, if anyone calls,\please ask him or her to call the hotel.\We'll do that even if you didn't say so.\Thanks. See you later. response:	Bye! Good luck!
context: I guess.\Then, I'll be leaving.\Okay. Good luck on the academic presentation.\Oh, also, if anyone calls,\please ask him or her to call the hotel.\We'll do that even if you didn't say so.\Thanks. See you later.\Bye! Good luck! response:	O' Onii-chan?!
context: Then, I'll be leaving.\Okay. Good luck on the academic presentation.\Oh, also, if anyone calls,\please ask him or her to call the hotel.\We'll do that even if you didn't say so.\Thanks. See you later.\Bye! Good luck!\O' Onii-chan?! response:	You're mean! You left me behind.
context: Okay. Good luck on the academic presentation.\Oh, also, if anyone calls,\please ask him or her to call the hotel.\We'll do that even if you didn't say so.\Thanks. See you later.\Bye! Good luck!\O' Onii-chan?!\You're mean! You left me behind. response:	Can't be late on the first day of a new school year, you know.
context: Oh, also, if anyone calls,\please ask him or her to call the hotel.\We'll do that even if you didn't say so.\Thanks. See you later.\Bye! Good luck!\O' Onii-chan?!\You're mean! You left me behind.\Can't be late on the first day of a new school year, you know. response:	Yuki!
context: please ask him or her to call the hotel.\We'll do that even if you didn't say so.\Thanks. See you later.\Bye! Good luck!\O' Onii-chan?!\You're mean! You left me behind.\Can't be late on the first day of a new school year, you know.\Yuki! response:	Yukito-san!
context: We'll do that even if you didn't say so.\Thanks. See you later.\Bye! Good luck!\O' Onii-chan?!\You're mean! You left me behind.\Can't be late on the first day of a new school year, you know.\Yuki!\Yukito-san! response:	Yo!
context: Thanks. See you later.\Bye! Good luck!\O' Onii-chan?!\You're mean! You left me behind.\Can't be late on the first day of a new school year, you know.\Yuki!\Yukito-san!\Yo! response:	Good morning, Touya.
context: Bye! Good luck!\O' Onii-chan?!\You're mean! You left me behind.\Can't be late on the first day of a new school year, you know.\Yuki!\Yukito-san!\Yo!\Good morning, Touya. response:	Good morning, Sakura-chan
context: O' Onii-chan?!\You're mean! You left me behind.\Can't be late on the first day of a new school year, you know.\Yuki!\Yukito-san!\Yo!\Good morning, Touya.\Good morning, Sakura-chan response:	Good morning!
context: You're mean! You left me behind.\Can't be late on the first day of a new school year, you know.\Yuki!\Yukito-san!\Yo!\Good morning, Touya.\Good morning, Sakura-chan\Good morning! response:	Huh? Where is your bicycle?
context: Can't be late on the first day of a new school year, you know.\Yuki!\Yukito-san!\Yo!\Good morning, Touya.\Good morning, Sakura-chan\Good morning!\Huh? Where is your bicycle? response:	I got a flat tire yesterday
context: Yuki!\Yukito-san!\Yo!\Good morning, Touya.\Good morning, Sakura-chan\Good morning!\Huh? Where is your bicycle?\I got a flat tire yesterday response:	when I went to buy things.
context: Yukito-san!\Yo!\Good morning, Touya.\Good morning, Sakura-chan\Good morning!\Huh? Where is your bicycle?\I got a flat tire yesterday\when I went to buy things. response:	You could have called me
context: Yo!\Good morning, Touya.\Good morning, Sakura-chan\Good morning!\Huh? Where is your bicycle?\I got a flat tire yesterday\when I went to buy things.\You could have called me response:	and I would've fixed it for you.
context: Good morning, Touya.\Good morning, Sakura-chan\Good morning!\Huh? Where is your bicycle?\I got a flat tire yesterday\when I went to buy things.\You could have called me\and I would've fixed it for you. response:	I stopped by a bike store on the way back
context: Good morning, Sakura-chan\Good morning!\Huh? Where is your bicycle?\I got a flat tire yesterday\when I went to buy things.\You could have called me\and I would've fixed it for you.\I stopped by a bike store on the way back response:	and had them look at it.
context: Good morning!\Huh? Where is your bicycle?\I got a flat tire yesterday\when I went to buy things.\You could have called me\and I would've fixed it for you.\I stopped by a bike store on the way back\and had them look at it. response:	Touya, you're on duty today, right?
context: Huh? Where is your bicycle?\I got a flat tire yesterday\when I went to buy things.\You could have called me\and I would've fixed it for you.\I stopped by a bike store on the way back\and had them look at it.\Touya, you're on duty today, right? response:	It's okay if you just go ahead.
context: I got a flat tire yesterday\when I went to buy things.\You could have called me\and I would've fixed it for you.\I stopped by a bike store on the way back\and had them look at it.\Touya, you're on duty today, right?\It's okay if you just go ahead. response:	Okay. Then, I'll see you at school.
context: when I went to buy things.\You could have called me\and I would've fixed it for you.\I stopped by a bike store on the way back\and had them look at it.\Touya, you're on duty today, right?\It's okay if you just go ahead.\Okay. Then, I'll see you at school. response:	Sakura-chan, are you in a hurry too?
context: You could have called me\and I would've fixed it for you.\I stopped by a bike store on the way back\and had them look at it.\Touya, you're on duty today, right?\It's okay if you just go ahead.\Okay. Then, I'll see you at school.\Sakura-chan, are you in a hurry too? response:	I' I'm not in any hurry at all.
context: and I would've fixed it for you.\I stopped by a bike store on the way back\and had them look at it.\Touya, you're on duty today, right?\It's okay if you just go ahead.\Okay. Then, I'll see you at school.\Sakura-chan, are you in a hurry too?\I' I'm not in any hurry at all. response:	Then, why don't we go together?
context: I stopped by a bike store on the way back\and had them look at it.\Touya, you're on duty today, right?\It's okay if you just go ahead.\Okay. Then, I'll see you at school.\Sakura-chan, are you in a hurry too?\I' I'm not in any hurry at all.\Then, why don't we go together? response:	Okay!
context: and had them look at it.\Touya, you're on duty today, right?\It's okay if you just go ahead.\Okay. Then, I'll see you at school.\Sakura-chan, are you in a hurry too?\I' I'm not in any hurry at all.\Then, why don't we go together?\Okay! response:	You're a 5th-grader now, aren't you?
context: Touya, you're on duty today, right?\It's okay if you just go ahead.\Okay. Then, I'll see you at school.\Sakura-chan, are you in a hurry too?\I' I'm not in any hurry at all.\Then, why don't we go together?\Okay!\You're a 5th-grader now, aren't you? response:	Ye' Yes!
context: It's okay if you just go ahead.\Okay. Then, I'll see you at school.\Sakura-chan, are you in a hurry too?\I' I'm not in any hurry at all.\Then, why don't we go together?\Okay!\You're a 5th-grader now, aren't you?\Ye' Yes! response:	It's a little late, but'
context: Okay. Then, I'll see you at school.\Sakura-chan, are you in a hurry too?\I' I'm not in any hurry at all.\Then, why don't we go together?\Okay!\You're a 5th-grader now, aren't you?\Ye' Yes!\It's a little late, but' response:	Here.
context: Sakura-chan, are you in a hurry too?\I' I'm not in any hurry at all.\Then, why don't we go together?\Okay!\You're a 5th-grader now, aren't you?\Ye' Yes!\It's a little late, but'\Here. response:	For your birthday
context: I' I'm not in any hurry at all.\Then, why don't we go together?\Okay!\You're a 5th-grader now, aren't you?\Ye' Yes!\It's a little late, but'\Here.\For your birthday response:	and having become a 5th-grader.
context: Then, why don't we go together?\Okay!\You're a 5th-grader now, aren't you?\Ye' Yes!\It's a little late, but'\Here.\For your birthday\and having become a 5th-grader. response:	It's for me?
context: Okay!\You're a 5th-grader now, aren't you?\Ye' Yes!\It's a little late, but'\Here.\For your birthday\and having become a 5th-grader.\It's for me? response:	Thank you very much!
context: You're a 5th-grader now, aren't you?\Ye' Yes!\It's a little late, but'\Here.\For your birthday\and having become a 5th-grader.\It's for me?\Thank you very much! response:	Good morning!
context: Ye' Yes!\It's a little late, but'\Here.\For your birthday\and having become a 5th-grader.\It's for me?\Thank you very much!\Good morning! response:	Good morning!
context: It's a little late, but'\Here.\For your birthday\and having become a 5th-grader.\It's for me?\Thank you very much!\Good morning!\Good morning! response:	Good morning, Tomoyo-chan!
context: Here.\For your birthday\and having become a 5th-grader.\It's for me?\Thank you very much!\Good morning!\Good morning!\Good morning, Tomoyo-chan! response:	I am so happy that we are in the same class again.
context: For your birthday\and having become a 5th-grader.\It's for me?\Thank you very much!\Good morning!\Good morning!\Good morning, Tomoyo-chan!\I am so happy that we are in the same class again. response:	Me too!
context: and having become a 5th-grader.\It's for me?\Thank you very much!\Good morning!\Good morning!\Good morning, Tomoyo-chan!\I am so happy that we are in the same class again.\Me too! response:	Oh? Could it be a present that you are holding?
context: It's for me?\Thank you very much!\Good morning!\Good morning!\Good morning, Tomoyo-chan!\I am so happy that we are in the same class again.\Me too!\Oh? Could it be a present that you are holding? response:	Yeah. It's from Yukito-san.
context: Thank you very much!\Good morning!\Good morning!\Good morning, Tomoyo-chan!\I am so happy that we are in the same class again.\Me too!\Oh? Could it be a present that you are holding?\Yeah. It's from Yukito-san. response:	I see. He is still good at it.
context: Good morning!\Good morning!\Good morning, Tomoyo-chan!\I am so happy that we are in the same class again.\Me too!\Oh? Could it be a present that you are holding?\Yeah. It's from Yukito-san.\I see. He is still good at it. response:	Good morning. Good morning!
context: Good morning!\Good morning, Tomoyo-chan!\I am so happy that we are in the same class again.\Me too!\Oh? Could it be a present that you are holding?\Yeah. It's from Yukito-san.\I see. He is still good at it.\Good morning. Good morning! response:	Good morning. Good morning!
context: Good morning, Tomoyo-chan!\I am so happy that we are in the same class again.\Me too!\Oh? Could it be a present that you are holding?\Yeah. It's from Yukito-san.\I see. He is still good at it.\Good morning. Good morning!\Good morning. Good morning! response:	Hey, I wonder who is our class teacher.
context: I am so happy that we are in the same class again.\Me too!\Oh? Could it be a present that you are holding?\Yeah. It's from Yukito-san.\I see. He is still good at it.\Good morning. Good morning!\Good morning. Good morning!\Hey, I wonder who is our class teacher. response:	Oh yeah. We change teachers.
context: Me too!\Oh? Could it be a present that you are holding?\Yeah. It's from Yukito-san.\I see. He is still good at it.\Good morning. Good morning!\Good morning. Good morning!\Hey, I wonder who is our class teacher.\Oh yeah. We change teachers. response:	Mr. Terada was kind and fun.
context: Oh? Could it be a present that you are holding?\Yeah. It's from Yukito-san.\I see. He is still good at it.\Good morning. Good morning!\Good morning. Good morning!\Hey, I wonder who is our class teacher.\Oh yeah. We change teachers.\Mr. Terada was kind and fun. response:	He was so nice.
context: Yeah. It's from Yukito-san.\I see. He is still good at it.\Good morning. Good morning!\Good morning. Good morning!\Hey, I wonder who is our class teacher.\Oh yeah. We change teachers.\Mr. Terada was kind and fun.\He was so nice. response:	What's wrong, Rika-chan?
context: I see. He is still good at it.\Good morning. Good morning!\Good morning. Good morning!\Hey, I wonder who is our class teacher.\Oh yeah. We change teachers.\Mr. Terada was kind and fun.\He was so nice.\What's wrong, Rika-chan? response:	Oh' nothing.
context: Good morning. Good morning!\Good morning. Good morning!\Hey, I wonder who is our class teacher.\Oh yeah. We change teachers.\Mr. Terada was kind and fun.\He was so nice.\What's wrong, Rika-chan?\Oh' nothing. response:	I was just wondering who is our new teacher.
context: Good morning. Good morning!\Hey, I wonder who is our class teacher.\Oh yeah. We change teachers.\Mr. Terada was kind and fun.\He was so nice.\What's wrong, Rika-chan?\Oh' nothing.\I was just wondering who is our new teacher. response:	We' We made it.
context: Hey, I wonder who is our class teacher.\Oh yeah. We change teachers.\Mr. Terada was kind and fun.\He was so nice.\What's wrong, Rika-chan?\Oh' nothing.\I was just wondering who is our new teacher.\We' We made it. response:	Good morning,
context: Oh yeah. We change teachers.\Mr. Terada was kind and fun.\He was so nice.\What's wrong, Rika-chan?\Oh' nothing.\I was just wondering who is our new teacher.\We' We made it.\Good morning, response:	Li-kun, Mei Lin-chan.
context: Mr. Terada was kind and fun.\He was so nice.\What's wrong, Rika-chan?\Oh' nothing.\I was just wondering who is our new teacher.\We' We made it.\Good morning,\Li-kun, Mei Lin-chan. response:	Good morning.
context: He was so nice.\What's wrong, Rika-chan?\Oh' nothing.\I was just wondering who is our new teacher.\We' We made it.\Good morning,\Li-kun, Mei Lin-chan.\Good morning. response:	Good morning.
context: What's wrong, Rika-chan?\Oh' nothing.\I was just wondering who is our new teacher.\We' We made it.\Good morning,\Li-kun, Mei Lin-chan.\Good morning.\Good morning. response:	Did you guys oversleep?
context: Oh' nothing.\I was just wondering who is our new teacher.\We' We made it.\Good morning,\Li-kun, Mei Lin-chan.\Good morning.\Good morning.\Did you guys oversleep? response:	I had a nice dream,
context: I was just wondering who is our new teacher.\We' We made it.\Good morning,\Li-kun, Mei Lin-chan.\Good morning.\Good morning.\Did you guys oversleep?\I had a nice dream, response:	so I didn't want to get up.
context: We' We made it.\Good morning,\Li-kun, Mei Lin-chan.\Good morning.\Good morning.\Did you guys oversleep?\I had a nice dream,\so I didn't want to get up. response:	What kind of dream?
context: Good morning,\Li-kun, Mei Lin-chan.\Good morning.\Good morning.\Did you guys oversleep?\I had a nice dream,\so I didn't want to get up.\What kind of dream? response:	I was on a date with Shao Lan!
context: Li-kun, Mei Lin-chan.\Good morning.\Good morning.\Did you guys oversleep?\I had a nice dream,\so I didn't want to get up.\What kind of dream?\I was on a date with Shao Lan! response:	A date?
context: Good morning.\Good morning.\Did you guys oversleep?\I had a nice dream,\so I didn't want to get up.\What kind of dream?\I was on a date with Shao Lan!\A date? response:	The teacher's here.
context: Good morning.\Did you guys oversleep?\I had a nice dream,\so I didn't want to get up.\What kind of dream?\I was on a date with Shao Lan!\A date?\The teacher's here. response:	Oh! It's Mizuki-sensei!
context: Did you guys oversleep?\I had a nice dream,\so I didn't want to get up.\What kind of dream?\I was on a date with Shao Lan!\A date?\The teacher's here.\Oh! It's Mizuki-sensei! response:	What's with Kinomoto-san?
context: I had a nice dream,\so I didn't want to get up.\What kind of dream?\I was on a date with Shao Lan!\A date?\The teacher's here.\Oh! It's Mizuki-sensei!\What's with Kinomoto-san? response:	She seems to be in schweeet mode.
context: so I didn't want to get up.\What kind of dream?\I was on a date with Shao Lan!\A date?\The teacher's here.\Oh! It's Mizuki-sensei!\What's with Kinomoto-san?\She seems to be in schweeet mode. response:	What's that?
context: What kind of dream?\I was on a date with Shao Lan!\A date?\The teacher's here.\Oh! It's Mizuki-sensei!\What's with Kinomoto-san?\She seems to be in schweeet mode.\What's that? response:	Good morning.
context: I was on a date with Shao Lan!\A date?\The teacher's here.\Oh! It's Mizuki-sensei!\What's with Kinomoto-san?\She seems to be in schweeet mode.\What's that?\Good morning. response:	Good morning!
context: A date?\The teacher's here.\Oh! It's Mizuki-sensei!\What's with Kinomoto-san?\She seems to be in schweeet mode.\What's that?\Good morning.\Good morning! response:	I am your new class teacher,
context: The teacher's here.\Oh! It's Mizuki-sensei!\What's with Kinomoto-san?\She seems to be in schweeet mode.\What's that?\Good morning.\Good morning!\I am your new class teacher, response:	Kaho Mizuki. Nice to see you again.
context: Oh! It's Mizuki-sensei!\What's with Kinomoto-san?\She seems to be in schweeet mode.\What's that?\Good morning.\Good morning!\I am your new class teacher,\Kaho Mizuki. Nice to see you again. response:	I wonder'
context: What's with Kinomoto-san?\She seems to be in schweeet mode.\What's that?\Good morning.\Good morning!\I am your new class teacher,\Kaho Mizuki. Nice to see you again.\I wonder' response:	I wonder if that's Mizuki-sensei.
context: She seems to be in schweeet mode.\What's that?\Good morning.\Good morning!\I am your new class teacher,\Kaho Mizuki. Nice to see you again.\I wonder'\I wonder if that's Mizuki-sensei. response:	So you will do your best in your schoolwork too, right?
context: What's that?\Good morning.\Good morning!\I am your new class teacher,\Kaho Mizuki. Nice to see you again.\I wonder'\I wonder if that's Mizuki-sensei.\So you will do your best in your schoolwork too, right? response:	Yes!
context: Good morning.\Good morning!\I am your new class teacher,\Kaho Mizuki. Nice to see you again.\I wonder'\I wonder if that's Mizuki-sensei.\So you will do your best in your schoolwork too, right?\Yes! response:	But that'
context: Good morning!\I am your new class teacher,\Kaho Mizuki. Nice to see you again.\I wonder'\I wonder if that's Mizuki-sensei.\So you will do your best in your schoolwork too, right?\Yes!\But that' response:	Okay. The first period is a free period.
context: I am your new class teacher,\Kaho Mizuki. Nice to see you again.\I wonder'\I wonder if that's Mizuki-sensei.\So you will do your best in your schoolwork too, right?\Yes!\But that'\Okay. The first period is a free period. response:	How about a game?
context: Kaho Mizuki. Nice to see you again.\I wonder'\I wonder if that's Mizuki-sensei.\So you will do your best in your schoolwork too, right?\Yes!\But that'\Okay. The first period is a free period.\How about a game? response:	What are we going to play?
context: I wonder'\I wonder if that's Mizuki-sensei.\So you will do your best in your schoolwork too, right?\Yes!\But that'\Okay. The first period is a free period.\How about a game?\What are we going to play? response:	That's right.
context: I wonder if that's Mizuki-sensei.\So you will do your best in your schoolwork too, right?\Yes!\But that'\Okay. The first period is a free period.\How about a game?\What are we going to play?\That's right. response:	Let's go outside.
context: So you will do your best in your schoolwork too, right?\Yes!\But that'\Okay. The first period is a free period.\How about a game?\What are we going to play?\That's right.\Let's go outside. response:	What do you want to play?
context: Yes!\But that'\Okay. The first period is a free period.\How about a game?\What are we going to play?\That's right.\Let's go outside.\What do you want to play? response:	Dodge ball! Volleyball!
context: But that'\Okay. The first period is a free period.\How about a game?\What are we going to play?\That's right.\Let's go outside.\What do you want to play?\Dodge ball! Volleyball! response:	Soccer!
context: Okay. The first period is a free period.\How about a game?\What are we going to play?\That's right.\Let's go outside.\What do you want to play?\Dodge ball! Volleyball!\Soccer! response:	Then, we'll play dodge ball.
context: How about a game?\What are we going to play?\That's right.\Let's go outside.\What do you want to play?\Dodge ball! Volleyball!\Soccer!\Then, we'll play dodge ball. response:	Everyone, let's go outside.
context: What are we going to play?\That's right.\Let's go outside.\What do you want to play?\Dodge ball! Volleyball!\Soccer!\Then, we'll play dodge ball.\Everyone, let's go outside. response:	Yay!
context: That's right.\Let's go outside.\What do you want to play?\Dodge ball! Volleyball!\Soccer!\Then, we'll play dodge ball.\Everyone, let's go outside.\Yay! response:	Something really pretty is coming down.
