context: Hey, Nana. Do you remember the first time we met? response:	I'm the type who believes in things like fate.
context: You're quitting?\Thank you for all that you have done for me this past year,\and do give my regards to the manager.\Oh, and tell him to be sure to transfer the rest of the pay he owes me\into my bank account.\Well then. Be well. I'll see you around!\Nana!\It's spring! Spring has finally come! response:	After the long wait, spring has arrived!
context: Thank you for all that you have done for me this past year,\and do give my regards to the manager.\Oh, and tell him to be sure to transfer the rest of the pay he owes me\into my bank account.\Well then. Be well. I'll see you around!\Nana!\It's spring! Spring has finally come!\After the long wait, spring has arrived! response:	I got into my top-choice University! Yay! Call me.
context: and do give my regards to the manager.\Oh, and tell him to be sure to transfer the rest of the pay he owes me\into my bank account.\Well then. Be well. I'll see you around!\Nana!\It's spring! Spring has finally come!\After the long wait, spring has arrived!\I got into my top-choice University! Yay! Call me. response:	I got into my top-choice University! Yay! Call me. Oh I can't wait to see you, Shoji.
context: Oh, and tell him to be sure to transfer the rest of the pay he owes me\into my bank account.\Well then. Be well. I'll see you around!\Nana!\It's spring! Spring has finally come!\After the long wait, spring has arrived!\I got into my top-choice University! Yay! Call me.\I got into my top-choice University! Yay! Call me. Oh I can't wait to see you, Shoji. response:	I got into my top-choice University! Yay! Call me.
context: into my bank account.\Well then. Be well. I'll see you around!\Nana!\It's spring! Spring has finally come!\After the long wait, spring has arrived!\I got into my top-choice University! Yay! Call me.\I got into my top-choice University! Yay! Call me. Oh I can't wait to see you, Shoji.\I got into my top-choice University! Yay! Call me. response:	When I was darkness at that time
context: Well then. Be well. I'll see you around!\Nana!\It's spring! Spring has finally come!\After the long wait, spring has arrived!\I got into my top-choice University! Yay! Call me.\I got into my top-choice University! Yay! Call me. Oh I can't wait to see you, Shoji.\I got into my top-choice University! Yay! Call me.\When I was darkness at that time response:	With trembling lips
context: Nana!\It's spring! Spring has finally come!\After the long wait, spring has arrived!\I got into my top-choice University! Yay! Call me.\I got into my top-choice University! Yay! Call me. Oh I can't wait to see you, Shoji.\I got into my top-choice University! Yay! Call me.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: It's spring! Spring has finally come!\After the long wait, spring has arrived!\I got into my top-choice University! Yay! Call me.\I got into my top-choice University! Yay! Call me. Oh I can't wait to see you, Shoji.\I got into my top-choice University! Yay! Call me.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: After the long wait, spring has arrived!\I got into my top-choice University! Yay! Call me.\I got into my top-choice University! Yay! Call me. Oh I can't wait to see you, Shoji.\I got into my top-choice University! Yay! Call me.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: I got into my top-choice University! Yay! Call me.\I got into my top-choice University! Yay! Call me. Oh I can't wait to see you, Shoji.\I got into my top-choice University! Yay! Call me.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: I got into my top-choice University! Yay! Call me. Oh I can't wait to see you, Shoji.\I got into my top-choice University! Yay! Call me.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: I got into my top-choice University! Yay! Call me.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	Well then, in celebration of Shoji's acceptance into university...
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Well then, in celebration of Shoji's acceptance into university... response:	- Cheers! - Cheers!
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Well then, in celebration of Shoji's acceptance into university...\- Cheers! - Cheers! response:	I am so happy for you.
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Well then, in celebration of Shoji's acceptance into university...\- Cheers! - Cheers!\I am so happy for you. response:	Wasn't it worth working hard that extra year after failing the first time?
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Well then, in celebration of Shoji's acceptance into university...\- Cheers! - Cheers!\I am so happy for you.\Wasn't it worth working hard that extra year after failing the first time? response:	Stop bringing that up!
context: I wanna need your love\I'm a broken rose\I wanna need your love\Well then, in celebration of Shoji's acceptance into university...\- Cheers! - Cheers!\I am so happy for you.\Wasn't it worth working hard that extra year after failing the first time?\Stop bringing that up! response:	No, really. I'm happy for you, too.
context: I'm a broken rose\I wanna need your love\Well then, in celebration of Shoji's acceptance into university...\- Cheers! - Cheers!\I am so happy for you.\Wasn't it worth working hard that extra year after failing the first time?\Stop bringing that up!\No, really. I'm happy for you, too. response:	I thought for sure you'd fail again.
context: I wanna need your love\Well then, in celebration of Shoji's acceptance into university...\- Cheers! - Cheers!\I am so happy for you.\Wasn't it worth working hard that extra year after failing the first time?\Stop bringing that up!\No, really. I'm happy for you, too.\I thought for sure you'd fail again. response:	You too?
context: Well then, in celebration of Shoji's acceptance into university...\- Cheers! - Cheers!\I am so happy for you.\Wasn't it worth working hard that extra year after failing the first time?\Stop bringing that up!\No, really. I'm happy for you, too.\I thought for sure you'd fail again.\You too? response:	What did you say, Koichi Sato?!
context: - Cheers! - Cheers!\I am so happy for you.\Wasn't it worth working hard that extra year after failing the first time?\Stop bringing that up!\No, really. I'm happy for you, too.\I thought for sure you'd fail again.\You too?\What did you say, Koichi Sato?! response:	Hello? Nana?
context: I am so happy for you.\Wasn't it worth working hard that extra year after failing the first time?\Stop bringing that up!\No, really. I'm happy for you, too.\I thought for sure you'd fail again.\You too?\What did you say, Koichi Sato?!\Hello? Nana? response:	What if it isn't her?
context: Wasn't it worth working hard that extra year after failing the first time?\Stop bringing that up!\No, really. I'm happy for you, too.\I thought for sure you'd fail again.\You too?\What did you say, Koichi Sato?!\Hello? Nana?\What if it isn't her? response:	Did you get my email?
context: Stop bringing that up!\No, really. I'm happy for you, too.\I thought for sure you'd fail again.\You too?\What did you say, Koichi Sato?!\Hello? Nana?\What if it isn't her?\Did you get my email? response:	Thanks.
context: No, really. I'm happy for you, too.\I thought for sure you'd fail again.\You too?\What did you say, Koichi Sato?!\Hello? Nana?\What if it isn't her?\Did you get my email?\Thanks. response:	I guess that's proof he hasn't been fooling around.
context: I thought for sure you'd fail again.\You too?\What did you say, Koichi Sato?!\Hello? Nana?\What if it isn't her?\Did you get my email?\Thanks.\I guess that's proof he hasn't been fooling around. response:	There's no way he could ever cheat on her. It's not in him.
context: You too?\What did you say, Koichi Sato?!\Hello? Nana?\What if it isn't her?\Did you get my email?\Thanks.\I guess that's proof he hasn't been fooling around.\There's no way he could ever cheat on her. It's not in him. response:	Yeah. I'm just having a drink with Kyosuke and Junko at the Junction.
context: What did you say, Koichi Sato?!\Hello? Nana?\What if it isn't her?\Did you get my email?\Thanks.\I guess that's proof he hasn't been fooling around.\There's no way he could ever cheat on her. It's not in him.\Yeah. I'm just having a drink with Kyosuke and Junko at the Junction. response:	That's right, the bar I'm always telling you about.
context: Hello? Nana?\What if it isn't her?\Did you get my email?\Thanks.\I guess that's proof he hasn't been fooling around.\There's no way he could ever cheat on her. It's not in him.\Yeah. I'm just having a drink with Kyosuke and Junko at the Junction.\That's right, the bar I'm always telling you about. response:	How about you, Nana? What are you doing?
context: What if it isn't her?\Did you get my email?\Thanks.\I guess that's proof he hasn't been fooling around.\There's no way he could ever cheat on her. It's not in him.\Yeah. I'm just having a drink with Kyosuke and Junko at the Junction.\That's right, the bar I'm always telling you about.\How about you, Nana? What are you doing? response:	I was packing.
context: Did you get my email?\Thanks.\I guess that's proof he hasn't been fooling around.\There's no way he could ever cheat on her. It's not in him.\Yeah. I'm just having a drink with Kyosuke and Junko at the Junction.\That's right, the bar I'm always telling you about.\How about you, Nana? What are you doing?\I was packing. response:	Nana says she's on her way to Tokyo.
context: Thanks.\I guess that's proof he hasn't been fooling around.\There's no way he could ever cheat on her. It's not in him.\Yeah. I'm just having a drink with Kyosuke and Junko at the Junction.\That's right, the bar I'm always telling you about.\How about you, Nana? What are you doing?\I was packing.\Nana says she's on her way to Tokyo. response:	- Yes?! - Yes?!
context: I guess that's proof he hasn't been fooling around.\There's no way he could ever cheat on her. It's not in him.\Yeah. I'm just having a drink with Kyosuke and Junko at the Junction.\That's right, the bar I'm always telling you about.\How about you, Nana? What are you doing?\I was packing.\Nana says she's on her way to Tokyo.\- Yes?! - Yes?! response:	To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.
context: There's no way he could ever cheat on her. It's not in him.\Yeah. I'm just having a drink with Kyosuke and Junko at the Junction.\That's right, the bar I'm always telling you about.\How about you, Nana? What are you doing?\I was packing.\Nana says she's on her way to Tokyo.\- Yes?! - Yes?!\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room. response:	I'll find new, fancy furniture in Tokyo, so just leave the furniture in my room as is.
context: Yeah. I'm just having a drink with Kyosuke and Junko at the Junction.\That's right, the bar I'm always telling you about.\How about you, Nana? What are you doing?\I was packing.\Nana says she's on her way to Tokyo.\- Yes?! - Yes?!\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I'll find new, fancy furniture in Tokyo, so just leave the furniture in my room as is. response:	I'll be back from time to time! Say hi to Nao and Nami for me. See you, Nana
context: That's right, the bar I'm always telling you about.\How about you, Nana? What are you doing?\I was packing.\Nana says she's on her way to Tokyo.\- Yes?! - Yes?!\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I'll find new, fancy furniture in Tokyo, so just leave the furniture in my room as is.\I'll be back from time to time! Say hi to Nao and Nami for me. See you, Nana response:	One ticket to Tokyo. One way. Non-reserved seating!
context: How about you, Nana? What are you doing?\I was packing.\Nana says she's on her way to Tokyo.\- Yes?! - Yes?!\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I'll find new, fancy furniture in Tokyo, so just leave the furniture in my room as is.\I'll be back from time to time! Say hi to Nao and Nami for me. See you, Nana\One ticket to Tokyo. One way. Non-reserved seating! response:	None of the trains are on schedule because of the snow.
context: I was packing.\Nana says she's on her way to Tokyo.\- Yes?! - Yes?!\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I'll find new, fancy furniture in Tokyo, so just leave the furniture in my room as is.\I'll be back from time to time! Say hi to Nao and Nami for me. See you, Nana\One ticket to Tokyo. One way. Non-reserved seating!\None of the trains are on schedule because of the snow. response:	That's okay. As long as I get there.
context: Nana says she's on her way to Tokyo.\- Yes?! - Yes?!\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I'll find new, fancy furniture in Tokyo, so just leave the furniture in my room as is.\I'll be back from time to time! Say hi to Nao and Nami for me. See you, Nana\One ticket to Tokyo. One way. Non-reserved seating!\None of the trains are on schedule because of the snow.\That's okay. As long as I get there. response:	March 519:30 I'll meet your train.
context: - Yes?! - Yes?!\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I'll find new, fancy furniture in Tokyo, so just leave the furniture in my room as is.\I'll be back from time to time! Say hi to Nao and Nami for me. See you, Nana\One ticket to Tokyo. One way. Non-reserved seating!\None of the trains are on schedule because of the snow.\That's okay. As long as I get there.\March 519:30 I'll meet your train. response:	What time are you arriving? Which train? Let me know and I'll wait for you at the platform! Am I nice or what? Shoji.
context: To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I'll find new, fancy furniture in Tokyo, so just leave the furniture in my room as is.\I'll be back from time to time! Say hi to Nao and Nami for me. See you, Nana\One ticket to Tokyo. One way. Non-reserved seating!\None of the trains are on schedule because of the snow.\That's okay. As long as I get there.\March 519:30 I'll meet your train.\What time are you arriving? Which train? Let me know and I'll wait for you at the platform! Am I nice or what? Shoji. response:	Shoji.
context: I'll find new, fancy furniture in Tokyo, so just leave the furniture in my room as is.\I'll be back from time to time! Say hi to Nao and Nami for me. See you, Nana\One ticket to Tokyo. One way. Non-reserved seating!\None of the trains are on schedule because of the snow.\That's okay. As long as I get there.\March 519:30 I'll meet your train.\What time are you arriving? Which train? Let me know and I'll wait for you at the platform! Am I nice or what? Shoji.\Shoji. response:	Thank you for using the Tohoku bullet train today.
context: I'll be back from time to time! Say hi to Nao and Nami for me. See you, Nana\One ticket to Tokyo. One way. Non-reserved seating!\None of the trains are on schedule because of the snow.\That's okay. As long as I get there.\March 519:30 I'll meet your train.\What time are you arriving? Which train? Let me know and I'll wait for you at the platform! Am I nice or what? Shoji.\Shoji.\Thank you for using the Tohoku bullet train today. response:	- Due to the snow, the train's departure,., - What's this? It's packed.
context: One ticket to Tokyo. One way. Non-reserved seating!\None of the trains are on schedule because of the snow.\That's okay. As long as I get there.\March 519:30 I'll meet your train.\What time are you arriving? Which train? Let me know and I'll wait for you at the platform! Am I nice or what? Shoji.\Shoji.\Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed. response:	- was delayed by forty minutes. - I wanna find a seat quickly,
context: None of the trains are on schedule because of the snow.\That's okay. As long as I get there.\March 519:30 I'll meet your train.\What time are you arriving? Which train? Let me know and I'll wait for you at the platform! Am I nice or what? Shoji.\Shoji.\Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by forty minutes. - I wanna find a seat quickly, response:	so I can email Shoji.
context: That's okay. As long as I get there.\March 519:30 I'll meet your train.\What time are you arriving? Which train? Let me know and I'll wait for you at the platform! Am I nice or what? Shoji.\Shoji.\Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by forty minutes. - I wanna find a seat quickly,\so I can email Shoji. response:	Um...
context: March 519:30 I'll meet your train.\What time are you arriving? Which train? Let me know and I'll wait for you at the platform! Am I nice or what? Shoji.\Shoji.\Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by forty minutes. - I wanna find a seat quickly,\so I can email Shoji.\Um... response:	Um, excuse...
context: What time are you arriving? Which train? Let me know and I'll wait for you at the platform! Am I nice or what? Shoji.\Shoji.\Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by forty minutes. - I wanna find a seat quickly,\so I can email Shoji.\Um...\Um, excuse... response:	What? Why did it suddenly stop? An accident?
context: Shoji.\Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by forty minutes. - I wanna find a seat quickly,\so I can email Shoji.\Um...\Um, excuse...\What? Why did it suddenly stop? An accident? response:	Are you all right?
context: Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by forty minutes. - I wanna find a seat quickly,\so I can email Shoji.\Um...\Um, excuse...\What? Why did it suddenly stop? An accident?\Are you all right? response:	I'm fine. Sorry.
context: - Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by forty minutes. - I wanna find a seat quickly,\so I can email Shoji.\Um...\Um, excuse...\What? Why did it suddenly stop? An accident?\Are you all right?\I'm fine. Sorry. response:	I'm sorry too. You got flattened by this, didn't you?
context: - was delayed by forty minutes. - I wanna find a seat quickly,\so I can email Shoji.\Um...\Um, excuse...\What? Why did it suddenly stop? An accident?\Are you all right?\I'm fine. Sorry.\I'm sorry too. You got flattened by this, didn't you? response:	I'm fine.
context: so I can email Shoji.\Um...\Um, excuse...\What? Why did it suddenly stop? An accident?\Are you all right?\I'm fine. Sorry.\I'm sorry too. You got flattened by this, didn't you?\I'm fine. response:	Er... By the way... Is this seat open?
context: Um...\Um, excuse...\What? Why did it suddenly stop? An accident?\Are you all right?\I'm fine. Sorry.\I'm sorry too. You got flattened by this, didn't you?\I'm fine.\Er... By the way... Is this seat open? response:	Go ahead.
context: Um, excuse...\What? Why did it suddenly stop? An accident?\Are you all right?\I'm fine. Sorry.\I'm sorry too. You got flattened by this, didn't you?\I'm fine.\Er... By the way... Is this seat open?\Go ahead. response:	What a beautiful person. More like, so cool.
context: What? Why did it suddenly stop? An accident?\Are you all right?\I'm fine. Sorry.\I'm sorry too. You got flattened by this, didn't you?\I'm fine.\Er... By the way... Is this seat open?\Go ahead.\What a beautiful person. More like, so cool. response:	She has an aura different from that of a commoner.
context: Are you all right?\I'm fine. Sorry.\I'm sorry too. You got flattened by this, didn't you?\I'm fine.\Er... By the way... Is this seat open?\Go ahead.\What a beautiful person. More like, so cool.\She has an aura different from that of a commoner. response:	She's skinny and has a small face. Could she be a celebrity?
context: I'm fine. Sorry.\I'm sorry too. You got flattened by this, didn't you?\I'm fine.\Er... By the way... Is this seat open?\Go ahead.\What a beautiful person. More like, so cool.\She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity? response:	And such long eyelashes!
context: I'm sorry too. You got flattened by this, didn't you?\I'm fine.\Er... By the way... Is this seat open?\Go ahead.\What a beautiful person. More like, so cool.\She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes! response:	I envy how the loud makeup looks good on her.
context: I'm fine.\Er... By the way... Is this seat open?\Go ahead.\What a beautiful person. More like, so cool.\She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes!\I envy how the loud makeup looks good on her. response:	Beautiful people look great, no matter what they do.
context: Er... By the way... Is this seat open?\Go ahead.\What a beautiful person. More like, so cool.\She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes!\I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do. response:	Wow, a well-worn Vivienne Westwood ring!
context: Go ahead.\What a beautiful person. More like, so cool.\She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes!\I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring! response:	So cool!
context: What a beautiful person. More like, so cool.\She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes!\I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring!\So cool! response:	Sorry. Is the smoke bothering you?
context: She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes!\I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring!\So cool!\Sorry. Is the smoke bothering you? response:	No, I'm totally fine.
context: She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes!\I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring!\So cool!\Sorry. Is the smoke bothering you?\No, I'm totally fine. response:	It's not moving.
context: And such long eyelashes!\I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring!\So cool!\Sorry. Is the smoke bothering you?\No, I'm totally fine.\It's not moving. response:	The train. It's been running like this for a while now.
context: I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring!\So cool!\Sorry. Is the smoke bothering you?\No, I'm totally fine.\It's not moving.\The train. It's been running like this for a while now. response:	Is that so? What am I gonna do? I'm in a hurry.
context: Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring!\So cool!\Sorry. Is the smoke bothering you?\No, I'm totally fine.\It's not moving.\The train. It's been running like this for a while now.\Is that so? What am I gonna do? I'm in a hurry. response:	Really? That's a problem.
context: Wow, a well-worn Vivienne Westwood ring!\So cool!\Sorry. Is the smoke bothering you?\No, I'm totally fine.\It's not moving.\The train. It's been running like this for a while now.\Is that so? What am I gonna do? I'm in a hurry.\Really? That's a problem. response:	No, it's all right.
context: So cool!\Sorry. Is the smoke bothering you?\No, I'm totally fine.\It's not moving.\The train. It's been running like this for a while now.\Is that so? What am I gonna do? I'm in a hurry.\Really? That's a problem.\No, it's all right. response:	I'll send an email.
context: Sorry. Is the smoke bothering you?\No, I'm totally fine.\It's not moving.\The train. It's been running like this for a while now.\Is that so? What am I gonna do? I'm in a hurry.\Really? That's a problem.\No, it's all right.\I'll send an email. response:	Okay!
context: No, I'm totally fine.\It's not moving.\The train. It's been running like this for a while now.\Is that so? What am I gonna do? I'm in a hurry.\Really? That's a problem.\No, it's all right.\I'll send an email.\Okay! response:	Wow, you're really fast!
context: It's not moving.\The train. It's been running like this for a while now.\Is that so? What am I gonna do? I'm in a hurry.\Really? That's a problem.\No, it's all right.\I'll send an email.\Okay!\Wow, you're really fast! response:	I'm amazed at what high school students can do nowadays.
context: The train. It's been running like this for a while now.\Is that so? What am I gonna do? I'm in a hurry.\Really? That's a problem.\No, it's all right.\I'll send an email.\Okay!\Wow, you're really fast!\I'm amazed at what high school students can do nowadays. response:	But I'm twenty years old.
