context: Principal's Office response:	Teaching Staff Building
context: They're pretty trendy for NPCs.\It just goes to show that their band has real skill and appeal.\So, no good?\A ballad is kind of...\We won't be able to carry out a flashy operation if it's that kind of a calming song, right?\I see, rejected then.\Well then, let's get back to the briefing.\Here's everyone's orders. response:	Otonashi - kun.
context: It just goes to show that their band has real skill and appeal.\So, no good?\A ballad is kind of...\We won't be able to carry out a flashy operation if it's that kind of a calming song, right?\I see, rejected then.\Well then, let's get back to the briefing.\Here's everyone's orders.\Otonashi - kun. response:	Close the curtains.
context: So, no good?\A ballad is kind of...\We won't be able to carry out a flashy operation if it's that kind of a calming song, right?\I see, rejected then.\Well then, let's get back to the briefing.\Here's everyone's orders.\Otonashi - kun.\Close the curtains. response:	Our next operation will be the revenge of the Angel Area Invasion Plan.
context: A ballad is kind of...\We won't be able to carry out a flashy operation if it's that kind of a calming song, right?\I see, rejected then.\Well then, let's get back to the briefing.\Here's everyone's orders.\Otonashi - kun.\Close the curtains.\Our next operation will be the revenge of the Angel Area Invasion Plan. response:	We commence in three days.
context: We won't be able to carry out a flashy operation if it's that kind of a calming song, right?\I see, rejected then.\Well then, let's get back to the briefing.\Here's everyone's orders.\Otonashi - kun.\Close the curtains.\Our next operation will be the revenge of the Angel Area Invasion Plan.\We commence in three days. response:	You want to use that plan?
context: I see, rejected then.\Well then, let's get back to the briefing.\Here's everyone's orders.\Otonashi - kun.\Close the curtains.\Our next operation will be the revenge of the Angel Area Invasion Plan.\We commence in three days.\You want to use that plan? response:	But last time
context: Well then, let's get back to the briefing.\Here's everyone's orders.\Otonashi - kun.\Close the curtains.\Our next operation will be the revenge of the Angel Area Invasion Plan.\We commence in three days.\You want to use that plan?\But last time response:	This time, this person will be accompanying us.
context: Here's everyone's orders.\Otonashi - kun.\Close the curtains.\Our next operation will be the revenge of the Angel Area Invasion Plan.\We commence in three days.\You want to use that plan?\But last time\This time, this person will be accompanying us. response:	Pleased to meet you.
context: Otonashi - kun.\Close the curtains.\Our next operation will be the revenge of the Angel Area Invasion Plan.\We commence in three days.\You want to use that plan?\But last time\This time, this person will be accompanying us.\Pleased to meet you. response:	From behind the chair?
context: Close the curtains.\Our next operation will be the revenge of the Angel Area Invasion Plan.\We commence in three days.\You want to use that plan?\But last time\This time, this person will be accompanying us.\Pleased to meet you.\From behind the chair? response:	Four - eyes.
context: Our next operation will be the revenge of the Angel Area Invasion Plan.\We commence in three days.\You want to use that plan?\But last time\This time, this person will be accompanying us.\Pleased to meet you.\From behind the chair?\Four - eyes. response:	What kind of joke is this, Yurippe?
context: We commence in three days.\You want to use that plan?\But last time\This time, this person will be accompanying us.\Pleased to meet you.\From behind the chair?\Four - eyes.\What kind of joke is this, Yurippe? response:	Will a coward like him really be useful?
context: You want to use that plan?\But last time\This time, this person will be accompanying us.\Pleased to meet you.\From behind the chair?\Four - eyes.\What kind of joke is this, Yurippe?\Will a coward like him really be useful? response:	Now now, don't say that.
context: But last time\This time, this person will be accompanying us.\Pleased to meet you.\From behind the chair?\Four - eyes.\What kind of joke is this, Yurippe?\Will a coward like him really be useful?\Now now, don't say that. response:	Then...
context: This time, this person will be accompanying us.\Pleased to meet you.\From behind the chair?\Four - eyes.\What kind of joke is this, Yurippe?\Will a coward like him really be useful?\Now now, don't say that.\Then... response:	I'll test him!
context: Pleased to meet you.\From behind the chair?\Four - eyes.\What kind of joke is this, Yurippe?\Will a coward like him really be useful?\Now now, don't say that.\Then...\I'll test him! response:	You don't have any friends, do you...
context: From behind the chair?\Four - eyes.\What kind of joke is this, Yurippe?\Will a coward like him really be useful?\Now now, don't say that.\Then...\I'll test him!\You don't have any friends, do you... response:	Stop!
context: Four - eyes.\What kind of joke is this, Yurippe?\Will a coward like him really be useful?\Now now, don't say that.\Then...\I'll test him!\You don't have any friends, do you...\Stop! response:	Please stop!
context: What kind of joke is this, Yurippe?\Will a coward like him really be useful?\Now now, don't say that.\Then...\I'll test him!\You don't have any friends, do you...\Stop!\Please stop! response:	No way, Pi?!
context: Will a coward like him really be useful?\Now now, don't say that.\Then...\I'll test him!\You don't have any friends, do you...\Stop!\Please stop!\No way, Pi?! response:	Four - eyes.
context: Now now, don't say that.\Then...\I'll test him!\You don't have any friends, do you...\Stop!\Please stop!\No way, Pi?!\Four - eyes. response:	Stop, stop!
context: Then...\I'll test him!\You don't have any friends, do you...\Stop!\Please stop!\No way, Pi?!\Four - eyes.\Stop, stop! response:	That guy's an idiot!
context: I'll test him!\You don't have any friends, do you...\Stop!\Please stop!\No way, Pi?!\Four - eyes.\Stop, stop!\That guy's an idiot! response:	That's right. Our weakness is that we're stupid.
context: You don't have any friends, do you...\Stop!\Please stop!\No way, Pi?!\Four - eyes.\Stop, stop!\That guy's an idiot!\That's right. Our weakness is that we're stupid. response:	That's not something the leader should say...
context: Stop!\Please stop!\No way, Pi?!\Four - eyes.\Stop, stop!\That guy's an idiot!\That's right. Our weakness is that we're stupid.\That's not something the leader should say... response:	In our last invasion plan, we displayed a clear lack of intelligence.
context: Please stop!\No way, Pi?!\Four - eyes.\Stop, stop!\That guy's an idiot!\That's right. Our weakness is that we're stupid.\That's not something the leader should say...\In our last invasion plan, we displayed a clear lack of intelligence. response:	However!
context: No way, Pi?!\Four - eyes.\Stop, stop!\That guy's an idiot!\That's right. Our weakness is that we're stupid.\That's not something the leader should say...\In our last invasion plan, we displayed a clear lack of intelligence.\However! response:	This time, by using the man who made a name for himself as a genius hacker
context: Four - eyes.\Stop, stop!\That guy's an idiot!\That's right. Our weakness is that we're stupid.\That's not something the leader should say...\In our last invasion plan, we displayed a clear lack of intelligence.\However!\This time, by using the man who made a name for himself as a genius hacker response:	handle name Takeyama - kun the planning team can do a detailed investigation of the area.
context: Stop, stop!\That guy's an idiot!\That's right. Our weakness is that we're stupid.\That's not something the leader should say...\In our last invasion plan, we displayed a clear lack of intelligence.\However!\This time, by using the man who made a name for himself as a genius hacker\handle name Takeyama - kun the planning team can do a detailed investigation of the area. response:	That's not his real name?
context: That guy's an idiot!\That's right. Our weakness is that we're stupid.\That's not something the leader should say...\In our last invasion plan, we displayed a clear lack of intelligence.\However!\This time, by using the man who made a name for himself as a genius hacker\handle name Takeyama - kun the planning team can do a detailed investigation of the area.\That's not his real name? response:	If you could, please...
context: That's right. Our weakness is that we're stupid.\That's not something the leader should say...\In our last invasion plan, we displayed a clear lack of intelligence.\However!\This time, by using the man who made a name for himself as a genius hacker\handle name Takeyama - kun the planning team can do a detailed investigation of the area.\That's not his real name?\If you could, please... response:	Call me Christ.
context: That's not something the leader should say...\In our last invasion plan, we displayed a clear lack of intelligence.\However!\This time, by using the man who made a name for himself as a genius hacker\handle name Takeyama - kun the planning team can do a detailed investigation of the area.\That's not his real name?\If you could, please...\Call me Christ. response:	Look, you went and ruined his cool handle name.
context: In our last invasion plan, we displayed a clear lack of intelligence.\However!\This time, by using the man who made a name for himself as a genius hacker\handle name Takeyama - kun the planning team can do a detailed investigation of the area.\That's not his real name?\If you could, please...\Call me Christ.\Look, you went and ruined his cool handle name. response:	That's Yurippe for you.
context: However!\This time, by using the man who made a name for himself as a genius hacker\handle name Takeyama - kun the planning team can do a detailed investigation of the area.\That's not his real name?\If you could, please...\Call me Christ.\Look, you went and ruined his cool handle name.\That's Yurippe for you. response:	So, what is this Angel Area?
context: This time, by using the man who made a name for himself as a genius hacker\handle name Takeyama - kun the planning team can do a detailed investigation of the area.\That's not his real name?\If you could, please...\Call me Christ.\Look, you went and ruined his cool handle name.\That's Yurippe for you.\So, what is this Angel Area? response:	It's where Angel lives.
context: handle name Takeyama - kun the planning team can do a detailed investigation of the area.\That's not his real name?\If you could, please...\Call me Christ.\Look, you went and ruined his cool handle name.\That's Yurippe for you.\So, what is this Angel Area?\It's where Angel lives. response:	Where she lives?
context: That's not his real name?\If you could, please...\Call me Christ.\Look, you went and ruined his cool handle name.\That's Yurippe for you.\So, what is this Angel Area?\It's where Angel lives.\Where she lives? response:	I wonder what kind of place she lives in...
context: If you could, please...\Call me Christ.\Look, you went and ruined his cool handle name.\That's Yurippe for you.\So, what is this Angel Area?\It's where Angel lives.\Where she lives?\I wonder what kind of place she lives in... response:	Wait, why would we need a hacker for that sort of place?
context: Call me Christ.\Look, you went and ruined his cool handle name.\That's Yurippe for you.\So, what is this Angel Area?\It's where Angel lives.\Where she lives?\I wonder what kind of place she lives in...\Wait, why would we need a hacker for that sort of place? response:	The core is computer - controlled.
context: Look, you went and ruined his cool handle name.\That's Yurippe for you.\So, what is this Angel Area?\It's where Angel lives.\Where she lives?\I wonder what kind of place she lives in...\Wait, why would we need a hacker for that sort of place?\The core is computer - controlled. response:	It's mechanical?
context: That's Yurippe for you.\So, what is this Angel Area?\It's where Angel lives.\Where she lives?\I wonder what kind of place she lives in...\Wait, why would we need a hacker for that sort of place?\The core is computer - controlled.\It's mechanical? response:	There must be a way to get through to God in there somewhere.
context: So, what is this Angel Area?\It's where Angel lives.\Where she lives?\I wonder what kind of place she lives in...\Wait, why would we need a hacker for that sort of place?\The core is computer - controlled.\It's mechanical?\There must be a way to get through to God in there somewhere. response:	This plan is crazy!
context: It's where Angel lives.\Where she lives?\I wonder what kind of place she lives in...\Wait, why would we need a hacker for that sort of place?\The core is computer - controlled.\It's mechanical?\There must be a way to get through to God in there somewhere.\This plan is crazy! response:	Considering this is our second attempt, Angel will have tighter security than before.
context: Where she lives?\I wonder what kind of place she lives in...\Wait, why would we need a hacker for that sort of place?\The core is computer - controlled.\It's mechanical?\There must be a way to get through to God in there somewhere.\This plan is crazy!\Considering this is our second attempt, Angel will have tighter security than before. response:	We'll need GirlDeMo to put on an especially flashy show.
context: I wonder what kind of place she lives in...\Wait, why would we need a hacker for that sort of place?\The core is computer - controlled.\It's mechanical?\There must be a way to get through to God in there somewhere.\This plan is crazy!\Considering this is our second attempt, Angel will have tighter security than before.\We'll need GirlDeMo to put on an especially flashy show. response:	Understood.
context: Wait, why would we need a hacker for that sort of place?\The core is computer - controlled.\It's mechanical?\There must be a way to get through to God in there somewhere.\This plan is crazy!\Considering this is our second attempt, Angel will have tighter security than before.\We'll need GirlDeMo to put on an especially flashy show.\Understood. response:	Get chance and luck!
context: The core is computer - controlled.\It's mechanical?\There must be a way to get through to God in there somewhere.\This plan is crazy!\Considering this is our second attempt, Angel will have tighter security than before.\We'll need GirlDeMo to put on an especially flashy show.\Understood.\Get chance and luck! response:	Beneath Connection Bridge 2
context: It's mechanical?\There must be a way to get through to God in there somewhere.\This plan is crazy!\Considering this is our second attempt, Angel will have tighter security than before.\We'll need GirlDeMo to put on an especially flashy show.\Understood.\Get chance and luck!\Beneath Connection Bridge 2 response:	Good, I'm doing well.
context: There must be a way to get through to God in there somewhere.\This plan is crazy!\Considering this is our second attempt, Angel will have tighter security than before.\We'll need GirlDeMo to put on an especially flashy show.\Understood.\Get chance and luck!\Beneath Connection Bridge 2\Good, I'm doing well. response:	Wait, aren't I getting a little too used to this?
context: This plan is crazy!\Considering this is our second attempt, Angel will have tighter security than before.\We'll need GirlDeMo to put on an especially flashy show.\Understood.\Get chance and luck!\Beneath Connection Bridge 2\Good, I'm doing well.\Wait, aren't I getting a little too used to this? response:	But those guys aren't as bad as my first impressions of them.
context: Considering this is our second attempt, Angel will have tighter security than before.\We'll need GirlDeMo to put on an especially flashy show.\Understood.\Get chance and luck!\Beneath Connection Bridge 2\Good, I'm doing well.\Wait, aren't I getting a little too used to this?\But those guys aren't as bad as my first impressions of them. response:	Classroom block B Message Board
context: We'll need GirlDeMo to put on an especially flashy show.\Understood.\Get chance and luck!\Beneath Connection Bridge 2\Good, I'm doing well.\Wait, aren't I getting a little too used to this?\But those guys aren't as bad as my first impressions of them.\Classroom block B Message Board response:	Is this the flashy diversion?
context: Understood.\Get chance and luck!\Beneath Connection Bridge 2\Good, I'm doing well.\Wait, aren't I getting a little too used to this?\But those guys aren't as bad as my first impressions of them.\Classroom block B Message Board\Is this the flashy diversion? response:	Ah sorry, did I startle you?
context: Get chance and luck!\Beneath Connection Bridge 2\Good, I'm doing well.\Wait, aren't I getting a little too used to this?\But those guys aren't as bad as my first impressions of them.\Classroom block B Message Board\Is this the flashy diversion?\Ah sorry, did I startle you? response:	Oh, it's you.
context: Beneath Connection Bridge 2\Good, I'm doing well.\Wait, aren't I getting a little too used to this?\But those guys aren't as bad as my first impressions of them.\Classroom block B Message Board\Is this the flashy diversion?\Ah sorry, did I startle you?\Oh, it's you. response:	You know me?
context: Good, I'm doing well.\Wait, aren't I getting a little too used to this?\But those guys aren't as bad as my first impressions of them.\Classroom block B Message Board\Is this the flashy diversion?\Ah sorry, did I startle you?\Oh, it's you.\You know me? response:	Yes!
context: Wait, aren't I getting a little too used to this?\But those guys aren't as bad as my first impressions of them.\Classroom block B Message Board\Is this the flashy diversion?\Ah sorry, did I startle you?\Oh, it's you.\You know me?\Yes! response:	My senpai who always walks around with a huge axe told me to be wary around you because you bring calamity or something.
context: But those guys aren't as bad as my first impressions of them.\Classroom block B Message Board\Is this the flashy diversion?\Ah sorry, did I startle you?\Oh, it's you.\You know me?\Yes!\My senpai who always walks around with a huge axe told me to be wary around you because you bring calamity or something. response:	That bastard...
context: Classroom block B Message Board\Is this the flashy diversion?\Ah sorry, did I startle you?\Oh, it's you.\You know me?\Yes!\My senpai who always walks around with a huge axe told me to be wary around you because you bring calamity or something.\That bastard... response:	But is it okay to advertise that it's in the sports hall like this?
context: Is this the flashy diversion?\Ah sorry, did I startle you?\Oh, it's you.\You know me?\Yes!\My senpai who always walks around with a huge axe told me to be wary around you because you bring calamity or something.\That bastard...\But is it okay to advertise that it's in the sports hall like this? response:	No, it's quite dangerous. Unheard of.
context: Ah sorry, did I startle you?\Oh, it's you.\You know me?\Yes!\My senpai who always walks around with a huge axe told me to be wary around you because you bring calamity or something.\That bastard...\But is it okay to advertise that it's in the sports hall like this?\No, it's quite dangerous. Unheard of. response:	It's not even a guerrilla live this time, it's an announced event.
context: Oh, it's you.\You know me?\Yes!\My senpai who always walks around with a huge axe told me to be wary around you because you bring calamity or something.\That bastard...\But is it okay to advertise that it's in the sports hall like this?\No, it's quite dangerous. Unheard of.\It's not even a guerrilla live this time, it's an announced event. response:	The teachers won't ignore this, and there's no knowing what other obstacles we'll face.
context: You know me?\Yes!\My senpai who always walks around with a huge axe told me to be wary around you because you bring calamity or something.\That bastard...\But is it okay to advertise that it's in the sports hall like this?\No, it's quite dangerous. Unheard of.\It's not even a guerrilla live this time, it's an announced event.\The teachers won't ignore this, and there's no knowing what other obstacles we'll face. response:	But I heard that the plan this time requires that we go this far to gather an audience.
context: Yes!\My senpai who always walks around with a huge axe told me to be wary around you because you bring calamity or something.\That bastard...\But is it okay to advertise that it's in the sports hall like this?\No, it's quite dangerous. Unheard of.\It's not even a guerrilla live this time, it's an announced event.\The teachers won't ignore this, and there's no knowing what other obstacles we'll face.\But I heard that the plan this time requires that we go this far to gather an audience. response:	Girls Dead Monster, huh...
context: My senpai who always walks around with a huge axe told me to be wary around you because you bring calamity or something.\That bastard...\But is it okay to advertise that it's in the sports hall like this?\No, it's quite dangerous. Unheard of.\It's not even a guerrilla live this time, it's an announced event.\The teachers won't ignore this, and there's no knowing what other obstacles we'll face.\But I heard that the plan this time requires that we go this far to gather an audience.\Girls Dead Monster, huh... response:	By the way, you must be...
context: That bastard...\But is it okay to advertise that it's in the sports hall like this?\No, it's quite dangerous. Unheard of.\It's not even a guerrilla live this time, it's an announced event.\The teachers won't ignore this, and there's no knowing what other obstacles we'll face.\But I heard that the plan this time requires that we go this far to gather an audience.\Girls Dead Monster, huh...\By the way, you must be... response:	I'm Yui!
context: But is it okay to advertise that it's in the sports hall like this?\No, it's quite dangerous. Unheard of.\It's not even a guerrilla live this time, it's an announced event.\The teachers won't ignore this, and there's no knowing what other obstacles we'll face.\But I heard that the plan this time requires that we go this far to gather an audience.\Girls Dead Monster, huh...\By the way, you must be...\I'm Yui! response:	I'm still an underling in the diversion unit.
context: No, it's quite dangerous. Unheard of.\It's not even a guerrilla live this time, it's an announced event.\The teachers won't ignore this, and there's no knowing what other obstacles we'll face.\But I heard that the plan this time requires that we go this far to gather an audience.\Girls Dead Monster, huh...\By the way, you must be...\I'm Yui!\I'm still an underling in the diversion unit. response:	But I'm happy with even just that!
context: It's not even a guerrilla live this time, it's an announced event.\The teachers won't ignore this, and there's no knowing what other obstacles we'll face.\But I heard that the plan this time requires that we go this far to gather an audience.\Girls Dead Monster, huh...\By the way, you must be...\I'm Yui!\I'm still an underling in the diversion unit.\But I'm happy with even just that! response:	I get to be a GirlDeMo roadie!
context: The teachers won't ignore this, and there's no knowing what other obstacles we'll face.\But I heard that the plan this time requires that we go this far to gather an audience.\Girls Dead Monster, huh...\By the way, you must be...\I'm Yui!\I'm still an underling in the diversion unit.\But I'm happy with even just that!\I get to be a GirlDeMo roadie! response:	Do you know? Girls Dead Monster are amazing!
context: But I heard that the plan this time requires that we go this far to gather an audience.\Girls Dead Monster, huh...\By the way, you must be...\I'm Yui!\I'm still an underling in the diversion unit.\But I'm happy with even just that!\I get to be a GirlDeMo roadie!\Do you know? Girls Dead Monster are amazing! response:	GirlDeMo for short!
context: Girls Dead Monster, huh...\By the way, you must be...\I'm Yui!\I'm still an underling in the diversion unit.\But I'm happy with even just that!\I get to be a GirlDeMo roadie!\Do you know? Girls Dead Monster are amazing!\GirlDeMo for short! response:	They perform amazingly for an all - girl band,
context: By the way, you must be...\I'm Yui!\I'm still an underling in the diversion unit.\But I'm happy with even just that!\I get to be a GirlDeMo roadie!\Do you know? Girls Dead Monster are amazing!\GirlDeMo for short!\They perform amazingly for an all - girl band, response:	and above all they have Iwasawa - san on vocals and guitar!
context: I'm Yui!\I'm still an underling in the diversion unit.\But I'm happy with even just that!\I get to be a GirlDeMo roadie!\Do you know? Girls Dead Monster are amazing!\GirlDeMo for short!\They perform amazingly for an all - girl band,\and above all they have Iwasawa - san on vocals and guitar! response:	She even does the composition and lyrics!
context: I'm still an underling in the diversion unit.\But I'm happy with even just that!\I get to be a GirlDeMo roadie!\Do you know? Girls Dead Monster are amazing!\GirlDeMo for short!\They perform amazingly for an all - girl band,\and above all they have Iwasawa - san on vocals and guitar!\She even does the composition and lyrics! response:	My favorite is Crow Song!
context: But I'm happy with even just that!\I get to be a GirlDeMo roadie!\Do you know? Girls Dead Monster are amazing!\GirlDeMo for short!\They perform amazingly for an all - girl band,\and above all they have Iwasawa - san on vocals and guitar!\She even does the composition and lyrics!\My favorite is Crow Song! response:	The climax feels like it has such amazing resolution!
context: I get to be a GirlDeMo roadie!\Do you know? Girls Dead Monster are amazing!\GirlDeMo for short!\They perform amazingly for an all - girl band,\and above all they have Iwasawa - san on vocals and guitar!\She even does the composition and lyrics!\My favorite is Crow Song!\The climax feels like it has such amazing resolution! response:	The lyrics are about Iwasawa - san, and...
context: Do you know? Girls Dead Monster are amazing!\GirlDeMo for short!\They perform amazingly for an all - girl band,\and above all they have Iwasawa - san on vocals and guitar!\She even does the composition and lyrics!\My favorite is Crow Song!\The climax feels like it has such amazing resolution!\The lyrics are about Iwasawa - san, and... response:	And, and, you know what pumps me up?
context: GirlDeMo for short!\They perform amazingly for an all - girl band,\and above all they have Iwasawa - san on vocals and guitar!\She even does the composition and lyrics!\My favorite is Crow Song!\The climax feels like it has such amazing resolution!\The lyrics are about Iwasawa - san, and...\And, and, you know what pumps me up? response:	Alchemy! Alchemy is...
context: They perform amazingly for an all - girl band,\and above all they have Iwasawa - san on vocals and guitar!\She even does the composition and lyrics!\My favorite is Crow Song!\The climax feels like it has such amazing resolution!\The lyrics are about Iwasawa - san, and...\And, and, you know what pumps me up?\Alchemy! Alchemy is... response:	I'm not finished yet! Alchemy is...
context: and above all they have Iwasawa - san on vocals and guitar!\She even does the composition and lyrics!\My favorite is Crow Song!\The climax feels like it has such amazing resolution!\The lyrics are about Iwasawa - san, and...\And, and, you know what pumps me up?\Alchemy! Alchemy is...\I'm not finished yet! Alchemy is... response:	Do you have time to waste here like this?!
context: She even does the composition and lyrics!\My favorite is Crow Song!\The climax feels like it has such amazing resolution!\The lyrics are about Iwasawa - san, and...\And, and, you know what pumps me up?\Alchemy! Alchemy is...\I'm not finished yet! Alchemy is...\Do you have time to waste here like this?! response:	Work a bit more seriously for your beloved GirlDeMo!
context: My favorite is Crow Song!\The climax feels like it has such amazing resolution!\The lyrics are about Iwasawa - san, and...\And, and, you know what pumps me up?\Alchemy! Alchemy is...\I'm not finished yet! Alchemy is...\Do you have time to waste here like this?!\Work a bit more seriously for your beloved GirlDeMo! response:	Oh yeah!
context: The climax feels like it has such amazing resolution!\The lyrics are about Iwasawa - san, and...\And, and, you know what pumps me up?\Alchemy! Alchemy is...\I'm not finished yet! Alchemy is...\Do you have time to waste here like this?!\Work a bit more seriously for your beloved GirlDeMo!\Oh yeah! response:	Well then, excuse me.
context: The lyrics are about Iwasawa - san, and...\And, and, you know what pumps me up?\Alchemy! Alchemy is...\I'm not finished yet! Alchemy is...\Do you have time to waste here like this?!\Work a bit more seriously for your beloved GirlDeMo!\Oh yeah!\Well then, excuse me. response:	Classroom block A Empty classroom
context: And, and, you know what pumps me up?\Alchemy! Alchemy is...\I'm not finished yet! Alchemy is...\Do you have time to waste here like this?!\Work a bit more seriously for your beloved GirlDeMo!\Oh yeah!\Well then, excuse me.\Classroom block A Empty classroom response:	Whoop!
context: Alchemy! Alchemy is...\I'm not finished yet! Alchemy is...\Do you have time to waste here like this?!\Work a bit more seriously for your beloved GirlDeMo!\Oh yeah!\Well then, excuse me.\Classroom block A Empty classroom\Whoop! response:	Sorry, I need to restring my guitar.
context: I'm not finished yet! Alchemy is...\Do you have time to waste here like this?!\Work a bit more seriously for your beloved GirlDeMo!\Oh yeah!\Well then, excuse me.\Classroom block A Empty classroom\Whoop!\Sorry, I need to restring my guitar. response:	Okay, break time.
context: Do you have time to waste here like this?!\Work a bit more seriously for your beloved GirlDeMo!\Oh yeah!\Well then, excuse me.\Classroom block A Empty classroom\Whoop!\Sorry, I need to restring my guitar.\Okay, break time. response:	You guys were on fire.
context: Work a bit more seriously for your beloved GirlDeMo!\Oh yeah!\Well then, excuse me.\Classroom block A Empty classroom\Whoop!\Sorry, I need to restring my guitar.\Okay, break time.\You guys were on fire. response:	I can understand why the students go crazy for you.
context: Oh yeah!\Well then, excuse me.\Classroom block A Empty classroom\Whoop!\Sorry, I need to restring my guitar.\Okay, break time.\You guys were on fire.\I can understand why the students go crazy for you. response:	Before I realized it, I stopped to listen.
context: Well then, excuse me.\Classroom block A Empty classroom\Whoop!\Sorry, I need to restring my guitar.\Okay, break time.\You guys were on fire.\I can understand why the students go crazy for you.\Before I realized it, I stopped to listen. response:	Thanks.
context: Classroom block A Empty classroom\Whoop!\Sorry, I need to restring my guitar.\Okay, break time.\You guys were on fire.\I can understand why the students go crazy for you.\Before I realized it, I stopped to listen.\Thanks. response:	So, you don't have any memories?
context: Whoop!\Sorry, I need to restring my guitar.\Okay, break time.\You guys were on fire.\I can understand why the students go crazy for you.\Before I realized it, I stopped to listen.\Thanks.\So, you don't have any memories? response:	Yeah.
context: Sorry, I need to restring my guitar.\Okay, break time.\You guys were on fire.\I can understand why the students go crazy for you.\Before I realized it, I stopped to listen.\Thanks.\So, you don't have any memories?\Yeah. response:	Must be nice.
context: Okay, break time.\You guys were on fire.\I can understand why the students go crazy for you.\Before I realized it, I stopped to listen.\Thanks.\So, you don't have any memories?\Yeah.\Must be nice. response:	Are your memories also...
