context: It's definitely here! It's right here for sure! response:	Compared to that heart, you're nothing!
context: O-Oh, no!\That lady's been turned into a bomb!\Can you see how many fingers I'm holding up?\Jotaro, we need your Star Platinum.\I know.\But it's no use unless I can get closer.\Even if I stop time, we're too far away,\and I can't do anything to him. response:	I have to get at least five meters closer.
context: That lady's been turned into a bomb!\Can you see how many fingers I'm holding up?\Jotaro, we need your Star Platinum.\I know.\But it's no use unless I can get closer.\Even if I stop time, we're too far away,\and I can't do anything to him.\I have to get at least five meters closer. response:	You turned someone into a bomb and took them hostage?
context: Can you see how many fingers I'm holding up?\Jotaro, we need your Star Platinum.\I know.\But it's no use unless I can get closer.\Even if I stop time, we're too far away,\and I can't do anything to him.\I have to get at least five meters closer.\You turned someone into a bomb and took them hostage? response:	Just try it! I'll fix her right up in a heartbeat!
context: Jotaro, we need your Star Platinum.\I know.\But it's no use unless I can get closer.\Even if I stop time, we're too far away,\and I can't do anything to him.\I have to get at least five meters closer.\You turned someone into a bomb and took them hostage?\Just try it! I'll fix her right up in a heartbeat! response:	No! It's not as simple as taking a hostage!
context: I know.\But it's no use unless I can get closer.\Even if I stop time, we're too far away,\and I can't do anything to him.\I have to get at least five meters closer.\You turned someone into a bomb and took them hostage?\Just try it! I'll fix her right up in a heartbeat!\No! It's not as simple as taking a hostage! response:	He's got a hidden ability!
context: But it's no use unless I can get closer.\Even if I stop time, we're too far away,\and I can't do anything to him.\I have to get at least five meters closer.\You turned someone into a bomb and took them hostage?\Just try it! I'll fix her right up in a heartbeat!\No! It's not as simple as taking a hostage!\He's got a hidden ability! response:	It's an ability called Bites the Dust, and it can blow away time!
context: Even if I stop time, we're too far away,\and I can't do anything to him.\I have to get at least five meters closer.\You turned someone into a bomb and took them hostage?\Just try it! I'll fix her right up in a heartbeat!\No! It's not as simple as taking a hostage!\He's got a hidden ability!\It's an ability called Bites the Dust, and it can blow away time! response:	Episode 39 Goodbye, Morioh The Heart of Gold
context: and I can't do anything to him.\I have to get at least five meters closer.\You turned someone into a bomb and took them hostage?\Just try it! I'll fix her right up in a heartbeat!\No! It's not as simple as taking a hostage!\He's got a hidden ability!\It's an ability called Bites the Dust, and it can blow away time!\Episode 39 Goodbye, Morioh The Heart of Gold response:	It must only work on people who aren't Stand users, like me or that lady,
context: I have to get at least five meters closer.\You turned someone into a bomb and took them hostage?\Just try it! I'll fix her right up in a heartbeat!\No! It's not as simple as taking a hostage!\He's got a hidden ability!\It's an ability called Bites the Dust, and it can blow away time!\Episode 39 Goodbye, Morioh The Heart of Gold\It must only work on people who aren't Stand users, like me or that lady, response:	and occurs coincidentally whenever Kira is in trouble.
context: You turned someone into a bomb and took them hostage?\Just try it! I'll fix her right up in a heartbeat!\No! It's not as simple as taking a hostage!\He's got a hidden ability!\It's an ability called Bites the Dust, and it can blow away time!\Episode 39 Goodbye, Morioh The Heart of Gold\It must only work on people who aren't Stand users, like me or that lady,\and occurs coincidentally whenever Kira is in trouble. response:	Which means, when he's in despair like this, this ability activates
context: Just try it! I'll fix her right up in a heartbeat!\No! It's not as simple as taking a hostage!\He's got a hidden ability!\It's an ability called Bites the Dust, and it can blow away time!\Episode 39 Goodbye, Morioh The Heart of Gold\It must only work on people who aren't Stand users, like me or that lady,\and occurs coincidentally whenever Kira is in trouble.\Which means, when he's in despair like this, this ability activates response:	and becomes a bomb that can turn back time one hour!
context: No! It's not as simple as taking a hostage!\He's got a hidden ability!\It's an ability called Bites the Dust, and it can blow away time!\Episode 39 Goodbye, Morioh The Heart of Gold\It must only work on people who aren't Stand users, like me or that lady,\and occurs coincidentally whenever Kira is in trouble.\Which means, when he's in despair like this, this ability activates\and becomes a bomb that can turn back time one hour! response:	What the hell?
context: He's got a hidden ability!\It's an ability called Bites the Dust, and it can blow away time!\Episode 39 Goodbye, Morioh The Heart of Gold\It must only work on people who aren't Stand users, like me or that lady,\and occurs coincidentally whenever Kira is in trouble.\Which means, when he's in despair like this, this ability activates\and becomes a bomb that can turn back time one hour!\What the hell? response:	The knuckles and skin on your hand are so soft...
context: It's an ability called Bites the Dust, and it can blow away time!\Episode 39 Goodbye, Morioh The Heart of Gold\It must only work on people who aren't Stand users, like me or that lady,\and occurs coincidentally whenever Kira is in trouble.\Which means, when he's in despair like this, this ability activates\and becomes a bomb that can turn back time one hour!\What the hell?\The knuckles and skin on your hand are so soft... response:	You have such cute, white fingers...
context: Episode 39 Goodbye, Morioh The Heart of Gold\It must only work on people who aren't Stand users, like me or that lady,\and occurs coincidentally whenever Kira is in trouble.\Which means, when he's in despair like this, this ability activates\and becomes a bomb that can turn back time one hour!\What the hell?\The knuckles and skin on your hand are so soft...\You have such cute, white fingers... response:	Will you rub my cheek?
context: It must only work on people who aren't Stand users, like me or that lady,\and occurs coincidentally whenever Kira is in trouble.\Which means, when he's in despair like this, this ability activates\and becomes a bomb that can turn back time one hour!\What the hell?\The knuckles and skin on your hand are so soft...\You have such cute, white fingers...\Will you rub my cheek? response:	Huh?
context: and occurs coincidentally whenever Kira is in trouble.\Which means, when he's in despair like this, this ability activates\and becomes a bomb that can turn back time one hour!\What the hell?\The knuckles and skin on your hand are so soft...\You have such cute, white fingers...\Will you rub my cheek?\Huh? response:	Rubbing my cheek calms me down so much...
context: Which means, when he's in despair like this, this ability activates\and becomes a bomb that can turn back time one hour!\What the hell?\The knuckles and skin on your hand are so soft...\You have such cute, white fingers...\Will you rub my cheek?\Huh?\Rubbing my cheek calms me down so much... response:	When I was a child...
context: and becomes a bomb that can turn back time one hour!\What the hell?\The knuckles and skin on your hand are so soft...\You have such cute, white fingers...\Will you rub my cheek?\Huh?\Rubbing my cheek calms me down so much...\When I was a child... response:	You've heard of Leonardo da Vinci's Mona Lisa, right?
context: What the hell?\The knuckles and skin on your hand are so soft...\You have such cute, white fingers...\Will you rub my cheek?\Huh?\Rubbing my cheek calms me down so much...\When I was a child...\You've heard of Leonardo da Vinci's Mona Lisa, right? response:	When I saw that painting in an art book...
context: The knuckles and skin on your hand are so soft...\You have such cute, white fingers...\Will you rub my cheek?\Huh?\Rubbing my cheek calms me down so much...\When I was a child...\You've heard of Leonardo da Vinci's Mona Lisa, right?\When I saw that painting in an art book... response:	When I first saw that,
context: You have such cute, white fingers...\Will you rub my cheek?\Huh?\Rubbing my cheek calms me down so much...\When I was a child...\You've heard of Leonardo da Vinci's Mona Lisa, right?\When I saw that painting in an art book...\When I first saw that, response:	I don't know how to put it...
context: Will you rub my cheek?\Huh?\Rubbing my cheek calms me down so much...\When I was a child...\You've heard of Leonardo da Vinci's Mona Lisa, right?\When I saw that painting in an art book...\When I first saw that,\I don't know how to put it... response:	Um, this is a bit dirty, but...
context: Huh?\Rubbing my cheek calms me down so much...\When I was a child...\You've heard of Leonardo da Vinci's Mona Lisa, right?\When I saw that painting in an art book...\When I first saw that,\I don't know how to put it...\Um, this is a bit dirty, but... response:	Everything About Leonardo da Vinci's World
context: Rubbing my cheek calms me down so much...\When I was a child...\You've heard of Leonardo da Vinci's Mona Lisa, right?\When I saw that painting in an art book...\When I first saw that,\I don't know how to put it...\Um, this is a bit dirty, but...\Everything About Leonardo da Vinci's World response:	I got an erection.
context: When I was a child...\You've heard of Leonardo da Vinci's Mona Lisa, right?\When I saw that painting in an art book...\When I first saw that,\I don't know how to put it...\Um, this is a bit dirty, but...\Everything About Leonardo da Vinci's World\I got an erection. response:	I just cut out the part with her hands
context: You've heard of Leonardo da Vinci's Mona Lisa, right?\When I saw that painting in an art book...\When I first saw that,\I don't know how to put it...\Um, this is a bit dirty, but...\Everything About Leonardo da Vinci's World\I got an erection.\I just cut out the part with her hands response:	and hung it in my room for a while.
context: When I saw that painting in an art book...\When I first saw that,\I don't know how to put it...\Um, this is a bit dirty, but...\Everything About Leonardo da Vinci's World\I got an erection.\I just cut out the part with her hands\and hung it in my room for a while. response:	I want to cut off yours, too.
context: When I first saw that,\I don't know how to put it...\Um, this is a bit dirty, but...\Everything About Leonardo da Vinci's World\I got an erection.\I just cut out the part with her hands\and hung it in my room for a while.\I want to cut off yours, too. response:	What are you doing?!
context: I don't know how to put it...\Um, this is a bit dirty, but...\Everything About Leonardo da Vinci's World\I got an erection.\I just cut out the part with her hands\and hung it in my room for a while.\I want to cut off yours, too.\What are you doing?! response:	My name is Yoshikage Kira!
context: Um, this is a bit dirty, but...\Everything About Leonardo da Vinci's World\I got an erection.\I just cut out the part with her hands\and hung it in my room for a while.\I want to cut off yours, too.\What are you doing?!\My name is Yoshikage Kira! response:	I've killed 48 women with beautiful hands up to now.
context: Everything About Leonardo da Vinci's World\I got an erection.\I just cut out the part with her hands\and hung it in my room for a while.\I want to cut off yours, too.\What are you doing?!\My name is Yoshikage Kira!\I've killed 48 women with beautiful hands up to now. response:	You're the only one!
context: I got an erection.\I just cut out the part with her hands\and hung it in my room for a while.\I want to cut off yours, too.\What are you doing?!\My name is Yoshikage Kira!\I've killed 48 women with beautiful hands up to now.\You're the only one! response:	You're the only one who will know my identity!
context: I just cut out the part with her hands\and hung it in my room for a while.\I want to cut off yours, too.\What are you doing?!\My name is Yoshikage Kira!\I've killed 48 women with beautiful hands up to now.\You're the only one!\You're the only one who will know my identity! response:	O-Oh, no! Bites the Dust is about to start!
context: and hung it in my room for a while.\I want to cut off yours, too.\What are you doing?!\My name is Yoshikage Kira!\I've killed 48 women with beautiful hands up to now.\You're the only one!\You're the only one who will know my identity!\O-Oh, no! Bites the Dust is about to start! response:	If we don't defeat him now,
context: I want to cut off yours, too.\What are you doing?!\My name is Yoshikage Kira!\I've killed 48 women with beautiful hands up to now.\You're the only one!\You're the only one who will know my identity!\O-Oh, no! Bites the Dust is about to start!\If we don't defeat him now, response:	everyone here but that lady will be blown away!
context: What are you doing?!\My name is Yoshikage Kira!\I've killed 48 women with beautiful hands up to now.\You're the only one!\You're the only one who will know my identity!\O-Oh, no! Bites the Dust is about to start!\If we don't defeat him now,\everyone here but that lady will be blown away! response:	Jotaro!
context: My name is Yoshikage Kira!\I've killed 48 women with beautiful hands up to now.\You're the only one!\You're the only one who will know my identity!\O-Oh, no! Bites the Dust is about to start!\If we don't defeat him now,\everyone here but that lady will be blown away!\Jotaro! response:	Are you coming for me, Jotaro?
context: I've killed 48 women with beautiful hands up to now.\You're the only one!\You're the only one who will know my identity!\O-Oh, no! Bites the Dust is about to start!\If we don't defeat him now,\everyone here but that lady will be blown away!\Jotaro!\Are you coming for me, Jotaro? response:	Bites the Dust was created because I didn't want to run into you!
context: You're the only one!\You're the only one who will know my identity!\O-Oh, no! Bites the Dust is about to start!\If we don't defeat him now,\everyone here but that lady will be blown away!\Jotaro!\Are you coming for me, Jotaro?\Bites the Dust was created because I didn't want to run into you! response:	Come closer! Just try and stop time!
context: You're the only one who will know my identity!\O-Oh, no! Bites the Dust is about to start!\If we don't defeat him now,\everyone here but that lady will be blown away!\Jotaro!\Are you coming for me, Jotaro?\Bites the Dust was created because I didn't want to run into you!\Come closer! Just try and stop time! response:	How long will you be able to stop it?
context: O-Oh, no! Bites the Dust is about to start!\If we don't defeat him now,\everyone here but that lady will be blown away!\Jotaro!\Are you coming for me, Jotaro?\Bites the Dust was created because I didn't want to run into you!\Come closer! Just try and stop time!\How long will you be able to stop it? response:	Just try to corner me more!
context: If we don't defeat him now,\everyone here but that lady will be blown away!\Jotaro!\Are you coming for me, Jotaro?\Bites the Dust was created because I didn't want to run into you!\Come closer! Just try and stop time!\How long will you be able to stop it?\Just try to corner me more! response:	Pushing me to the limit again will make Bites the Dust appear!
context: everyone here but that lady will be blown away!\Jotaro!\Are you coming for me, Jotaro?\Bites the Dust was created because I didn't want to run into you!\Come closer! Just try and stop time!\How long will you be able to stop it?\Just try to corner me more!\Pushing me to the limit again will make Bites the Dust appear! response:	Jotaro, stop time!
context: Jotaro!\Are you coming for me, Jotaro?\Bites the Dust was created because I didn't want to run into you!\Come closer! Just try and stop time!\How long will you be able to stop it?\Just try to corner me more!\Pushing me to the limit again will make Bites the Dust appear!\Jotaro, stop time! response:	Don't let him push Killer Queen's switch!
context: Are you coming for me, Jotaro?\Bites the Dust was created because I didn't want to run into you!\Come closer! Just try and stop time!\How long will you be able to stop it?\Just try to corner me more!\Pushing me to the limit again will make Bites the Dust appear!\Jotaro, stop time!\Don't let him push Killer Queen's switch! response:	Wh-What?
context: Bites the Dust was created because I didn't want to run into you!\Come closer! Just try and stop time!\How long will you be able to stop it?\Just try to corner me more!\Pushing me to the limit again will make Bites the Dust appear!\Jotaro, stop time!\Don't let him push Killer Queen's switch!\Wh-What? response:	No, this is the limit! I'm pushing it...
context: Come closer! Just try and stop time!\How long will you be able to stop it?\Just try to corner me more!\Pushing me to the limit again will make Bites the Dust appear!\Jotaro, stop time!\Don't let him push Killer Queen's switch!\Wh-What?\No, this is the limit! I'm pushing it... response:	Now!
context: How long will you be able to stop it?\Just try to corner me more!\Pushing me to the limit again will make Bites the Dust appear!\Jotaro, stop time!\Don't let him push Killer Queen's switch!\Wh-What?\No, this is the limit! I'm pushing it...\Now! response:	I-I did it! It activated!
context: Just try to corner me more!\Pushing me to the limit again will make Bites the Dust appear!\Jotaro, stop time!\Don't let him push Killer Queen's switch!\Wh-What?\No, this is the limit! I'm pushing it...\Now!\I-I did it! It activated! response:	I was able to return!
context: Pushing me to the limit again will make Bites the Dust appear!\Jotaro, stop time!\Don't let him push Killer Queen's switch!\Wh-What?\No, this is the limit! I'm pushing it...\Now!\I-I did it! It activated!\I was able to return! response:	It went into effect.
context: Jotaro, stop time!\Don't let him push Killer Queen's switch!\Wh-What?\No, this is the limit! I'm pushing it...\Now!\I-I did it! It activated!\I was able to return!\It went into effect. response:	I was able to have Bites the Dust take effect again!
context: Don't let him push Killer Queen's switch!\Wh-What?\No, this is the limit! I'm pushing it...\Now!\I-I did it! It activated!\I was able to return!\It went into effect.\I was able to have Bites the Dust take effect again! response:	I beat them!
context: Wh-What?\No, this is the limit! I'm pushing it...\Now!\I-I did it! It activated!\I was able to return!\It went into effect.\I was able to have Bites the Dust take effect again!\I beat them! response:	Now I can be free!
context: No, this is the limit! I'm pushing it...\Now!\I-I did it! It activated!\I was able to return!\It went into effect.\I was able to have Bites the Dust take effect again!\I beat them!\Now I can be free! response:	What was that just now?
context: Now!\I-I did it! It activated!\I was able to return!\It went into effect.\I was able to have Bites the Dust take effect again!\I beat them!\Now I can be free!\What was that just now? response:	The birds came from behind me and...
context: I-I did it! It activated!\I was able to return!\It went into effect.\I was able to have Bites the Dust take effect again!\I beat them!\Now I can be free!\What was that just now?\The birds came from behind me and... response:	What just happened?
context: I was able to return!\It went into effect.\I was able to have Bites the Dust take effect again!\I beat them!\Now I can be free!\What was that just now?\The birds came from behind me and...\What just happened? response:	Come to think of it, this isn't the way I usually take to work...
context: It went into effect.\I was able to have Bites the Dust take effect again!\I beat them!\Now I can be free!\What was that just now?\The birds came from behind me and...\What just happened?\Come to think of it, this isn't the way I usually take to work... response:	But if Bites the Dust did turn back time one hour,
context: I was able to have Bites the Dust take effect again!\I beat them!\Now I can be free!\What was that just now?\The birds came from behind me and...\What just happened?\Come to think of it, this isn't the way I usually take to work...\But if Bites the Dust did turn back time one hour, response:	I should be on my way to work now...
context: I beat them!\Now I can be free!\What was that just now?\The birds came from behind me and...\What just happened?\Come to think of it, this isn't the way I usually take to work...\But if Bites the Dust did turn back time one hour,\I should be on my way to work now... response:	What time is it right now?
context: Now I can be free!\What was that just now?\The birds came from behind me and...\What just happened?\Come to think of it, this isn't the way I usually take to work...\But if Bites the Dust did turn back time one hour,\I should be on my way to work now...\What time is it right now? response:	That's right. I had put my watch in my chest pocket.
context: What was that just now?\The birds came from behind me and...\What just happened?\Come to think of it, this isn't the way I usually take to work...\But if Bites the Dust did turn back time one hour,\I should be on my way to work now...\What time is it right now?\That's right. I had put my watch in my chest pocket. response:	This is...
context: The birds came from behind me and...\What just happened?\Come to think of it, this isn't the way I usually take to work...\But if Bites the Dust did turn back time one hour,\I should be on my way to work now...\What time is it right now?\That's right. I had put my watch in my chest pocket.\This is... response:	Why is it broken?!
context: What just happened?\Come to think of it, this isn't the way I usually take to work...\But if Bites the Dust did turn back time one hour,\I should be on my way to work now...\What time is it right now?\That's right. I had put my watch in my chest pocket.\This is...\Why is it broken?! response:	It's 8:29! Bites the Dust did go into effect again!
context: Come to think of it, this isn't the way I usually take to work...\But if Bites the Dust did turn back time one hour,\I should be on my way to work now...\What time is it right now?\That's right. I had put my watch in my chest pocket.\This is...\Why is it broken?!\It's 8:29! Bites the Dust did go into effect again! response:	The watch that Hayato broke with Stray Cat should have returned to normal, too!
context: But if Bites the Dust did turn back time one hour,\I should be on my way to work now...\What time is it right now?\That's right. I had put my watch in my chest pocket.\This is...\Why is it broken?!\It's 8:29! Bites the Dust did go into effect again!\The watch that Hayato broke with Stray Cat should have returned to normal, too! response:	Haven't you realized it?
context: I should be on my way to work now...\What time is it right now?\That's right. I had put my watch in my chest pocket.\This is...\Why is it broken?!\It's 8:29! Bites the Dust did go into effect again!\The watch that Hayato broke with Stray Cat should have returned to normal, too!\Haven't you realized it? response:	So the Kosaku Kawajiri that Rohan took a picture of was Yoshikage Kira...
context: What time is it right now?\That's right. I had put my watch in my chest pocket.\This is...\Why is it broken?!\It's 8:29! Bites the Dust did go into effect again!\The watch that Hayato broke with Stray Cat should have returned to normal, too!\Haven't you realized it?\So the Kosaku Kawajiri that Rohan took a picture of was Yoshikage Kira... response:	And it's finally over, isn't it?
context: That's right. I had put my watch in my chest pocket.\This is...\Why is it broken?!\It's 8:29! Bites the Dust did go into effect again!\The watch that Hayato broke with Stray Cat should have returned to normal, too!\Haven't you realized it?\So the Kosaku Kawajiri that Rohan took a picture of was Yoshikage Kira...\And it's finally over, isn't it? response:	They finally cornered you, Yoshikage Kira.
context: This is...\Why is it broken?!\It's 8:29! Bites the Dust did go into effect again!\The watch that Hayato broke with Stray Cat should have returned to normal, too!\Haven't you realized it?\So the Kosaku Kawajiri that Rohan took a picture of was Yoshikage Kira...\And it's finally over, isn't it?\They finally cornered you, Yoshikage Kira. response:	Who are you?
context: Why is it broken?!\It's 8:29! Bites the Dust did go into effect again!\The watch that Hayato broke with Stray Cat should have returned to normal, too!\Haven't you realized it?\So the Kosaku Kawajiri that Rohan took a picture of was Yoshikage Kira...\And it's finally over, isn't it?\They finally cornered you, Yoshikage Kira.\Who are you? response:	You don't remember me?
context: It's 8:29! Bites the Dust did go into effect again!\The watch that Hayato broke with Stray Cat should have returned to normal, too!\Haven't you realized it?\So the Kosaku Kawajiri that Rohan took a picture of was Yoshikage Kira...\And it's finally over, isn't it?\They finally cornered you, Yoshikage Kira.\Who are you?\You don't remember me? response:	Well, I guess that's no surprise.
context: The watch that Hayato broke with Stray Cat should have returned to normal, too!\Haven't you realized it?\So the Kosaku Kawajiri that Rohan took a picture of was Yoshikage Kira...\And it's finally over, isn't it?\They finally cornered you, Yoshikage Kira.\Who are you?\You don't remember me?\Well, I guess that's no surprise. response:	It happened fifteen years ago.
context: Haven't you realized it?\So the Kosaku Kawajiri that Rohan took a picture of was Yoshikage Kira...\And it's finally over, isn't it?\They finally cornered you, Yoshikage Kira.\Who are you?\You don't remember me?\Well, I guess that's no surprise.\It happened fifteen years ago. response:	Something very traumatic must have happened.
context: So the Kosaku Kawajiri that Rohan took a picture of was Yoshikage Kira...\And it's finally over, isn't it?\They finally cornered you, Yoshikage Kira.\Who are you?\You don't remember me?\Well, I guess that's no surprise.\It happened fifteen years ago.\Something very traumatic must have happened. response:	Something so traumatic that you don't even realize what happened to you.
context: And it's finally over, isn't it?\They finally cornered you, Yoshikage Kira.\Who are you?\You don't remember me?\Well, I guess that's no surprise.\It happened fifteen years ago.\Something very traumatic must have happened.\Something so traumatic that you don't even realize what happened to you. response:	Are you a new Stand user?!
context: They finally cornered you, Yoshikage Kira.\Who are you?\You don't remember me?\Well, I guess that's no surprise.\It happened fifteen years ago.\Something very traumatic must have happened.\Something so traumatic that you don't even realize what happened to you.\Are you a new Stand user?! response:	I'll make you realize that you're already dead!
context: Who are you?\You don't remember me?\Well, I guess that's no surprise.\It happened fifteen years ago.\Something very traumatic must have happened.\Something so traumatic that you don't even realize what happened to you.\Are you a new Stand user?!\I'll make you realize that you're already dead! response:	What?
context: You don't remember me?\Well, I guess that's no surprise.\It happened fifteen years ago.\Something very traumatic must have happened.\Something so traumatic that you don't even realize what happened to you.\Are you a new Stand user?!\I'll make you realize that you're already dead!\What? response:	This isn't any Stand ability!
context: Well, I guess that's no surprise.\It happened fifteen years ago.\Something very traumatic must have happened.\Something so traumatic that you don't even realize what happened to you.\Are you a new Stand user?!\I'll make you realize that you're already dead!\What?\This isn't any Stand ability! response:	This is proof that all that's here is the completely black soul of a dead killer!
