context: I-I-I have a... fiancee? response:	And what do you mean, she's coming tomorrow?
context: It looks like she'll be here tomorrow, so would you mind keeping her busy?\H-Hey, wait just a second!\Then why can't you just talk it out and fix it that way?!\This is your fault in the first place!\It's not as easy as it sounds.\Things could turn into a real pain if I upset her dad.\Doesn't matter! Why would I marry a girl I've never met?!\Oh? But you have. response:	Remember that photo you were looking for the other day?
context: H-Hey, wait just a second!\Then why can't you just talk it out and fix it that way?!\This is your fault in the first place!\It's not as easy as it sounds.\Things could turn into a real pain if I upset her dad.\Doesn't matter! Why would I marry a girl I've never met?!\Oh? But you have.\Remember that photo you were looking for the other day? response:	She's the girl.
context: Then why can't you just talk it out and fix it that way?!\This is your fault in the first place!\It's not as easy as it sounds.\Things could turn into a real pain if I upset her dad.\Doesn't matter! Why would I marry a girl I've never met?!\Oh? But you have.\Remember that photo you were looking for the other day?\She's the girl. response:	I'm really sorry, but I'm counting on you!
context: This is your fault in the first place!\It's not as easy as it sounds.\Things could turn into a real pain if I upset her dad.\Doesn't matter! Why would I marry a girl I've never met?!\Oh? But you have.\Remember that photo you were looking for the other day?\She's the girl.\I'm really sorry, but I'm counting on you! response:	You can't just spring something on me like that.
context: It's not as easy as it sounds.\Things could turn into a real pain if I upset her dad.\Doesn't matter! Why would I marry a girl I've never met?!\Oh? But you have.\Remember that photo you were looking for the other day?\She's the girl.\I'm really sorry, but I'm counting on you!\You can't just spring something on me like that. response:	I just hope things don't get all weird.
context: Things could turn into a real pain if I upset her dad.\Doesn't matter! Why would I marry a girl I've never met?!\Oh? But you have.\Remember that photo you were looking for the other day?\She's the girl.\I'm really sorry, but I'm counting on you!\You can't just spring something on me like that.\I just hope things don't get all weird. response:	All right! Everyone, listen up!
context: Doesn't matter! Why would I marry a girl I've never met?!\Oh? But you have.\Remember that photo you were looking for the other day?\She's the girl.\I'm really sorry, but I'm counting on you!\You can't just spring something on me like that.\I just hope things don't get all weird.\All right! Everyone, listen up! response:	I know it's out of the blue, but I've got a transfer student to introduce to you!
context: Oh? But you have.\Remember that photo you were looking for the other day?\She's the girl.\I'm really sorry, but I'm counting on you!\You can't just spring something on me like that.\I just hope things don't get all weird.\All right! Everyone, listen up!\I know it's out of the blue, but I've got a transfer student to introduce to you! response:	Another transfer student?
context: Remember that photo you were looking for the other day?\She's the girl.\I'm really sorry, but I'm counting on you!\You can't just spring something on me like that.\I just hope things don't get all weird.\All right! Everyone, listen up!\I know it's out of the blue, but I've got a transfer student to introduce to you!\Another transfer student? response:	So I hear. This class is getting a ton of transfer students.
context: She's the girl.\I'm really sorry, but I'm counting on you!\You can't just spring something on me like that.\I just hope things don't get all weird.\All right! Everyone, listen up!\I know it's out of the blue, but I've got a transfer student to introduce to you!\Another transfer student?\So I hear. This class is getting a ton of transfer students. response:	Okay, come on in, Tachibana-san.
context: I'm really sorry, but I'm counting on you!\You can't just spring something on me like that.\I just hope things don't get all weird.\All right! Everyone, listen up!\I know it's out of the blue, but I've got a transfer student to introduce to you!\Another transfer student?\So I hear. This class is getting a ton of transfer students.\Okay, come on in, Tachibana-san. response:	Okay.
context: You can't just spring something on me like that.\I just hope things don't get all weird.\All right! Everyone, listen up!\I know it's out of the blue, but I've got a transfer student to introduce to you!\Another transfer student?\So I hear. This class is getting a ton of transfer students.\Okay, come on in, Tachibana-san.\Okay. response:	Hello everybody, nice to meet you.
context: I just hope things don't get all weird.\All right! Everyone, listen up!\I know it's out of the blue, but I've got a transfer student to introduce to you!\Another transfer student?\So I hear. This class is getting a ton of transfer students.\Okay, come on in, Tachibana-san.\Okay.\Hello everybody, nice to meet you. response:	My name is Tachibana Marika.
context: All right! Everyone, listen up!\I know it's out of the blue, but I've got a transfer student to introduce to you!\Another transfer student?\So I hear. This class is getting a ton of transfer students.\Okay, come on in, Tachibana-san.\Okay.\Hello everybody, nice to meet you.\My name is Tachibana Marika. response:	I do look forward to studying with you all!
context: I know it's out of the blue, but I've got a transfer student to introduce to you!\Another transfer student?\So I hear. This class is getting a ton of transfer students.\Okay, come on in, Tachibana-san.\Okay.\Hello everybody, nice to meet you.\My name is Tachibana Marika.\I do look forward to studying with you all! response:	Wow, we got another hottie!
context: Another transfer student?\So I hear. This class is getting a ton of transfer students.\Okay, come on in, Tachibana-san.\Okay.\Hello everybody, nice to meet you.\My name is Tachibana Marika.\I do look forward to studying with you all!\Wow, we got another hottie! response:	Jeez, can you believe this class?
context: So I hear. This class is getting a ton of transfer students.\Okay, come on in, Tachibana-san.\Okay.\Hello everybody, nice to meet you.\My name is Tachibana Marika.\I do look forward to studying with you all!\Wow, we got another hottie!\Jeez, can you believe this class? response:	A model? Is she a model?
context: Okay, come on in, Tachibana-san.\Okay.\Hello everybody, nice to meet you.\My name is Tachibana Marika.\I do look forward to studying with you all!\Wow, we got another hottie!\Jeez, can you believe this class?\A model? Is she a model? response:	I'm so glad that I'm in this class!
context: Okay.\Hello everybody, nice to meet you.\My name is Tachibana Marika.\I do look forward to studying with you all!\Wow, we got another hottie!\Jeez, can you believe this class?\A model? Is she a model?\I'm so glad that I'm in this class! response:	Wow! She's so gorgeous!
context: Hello everybody, nice to meet you.\My name is Tachibana Marika.\I do look forward to studying with you all!\Wow, we got another hottie!\Jeez, can you believe this class?\A model? Is she a model?\I'm so glad that I'm in this class!\Wow! She's so gorgeous! response:	I wonder if I was like that myself.
context: My name is Tachibana Marika.\I do look forward to studying with you all!\Wow, we got another hottie!\Jeez, can you believe this class?\A model? Is she a model?\I'm so glad that I'm in this class!\Wow! She's so gorgeous!\I wonder if I was like that myself. response:	Spring has come!
context: I do look forward to studying with you all!\Wow, we got another hottie!\Jeez, can you believe this class?\A model? Is she a model?\I'm so glad that I'm in this class!\Wow! She's so gorgeous!\I wonder if I was like that myself.\Spring has come! response:	I feel like I've seen her somewhere before.
context: Wow, we got another hottie!\Jeez, can you believe this class?\A model? Is she a model?\I'm so glad that I'm in this class!\Wow! She's so gorgeous!\I wonder if I was like that myself.\Spring has come!\I feel like I've seen her somewhere before. response:	Come on, you guys! Calm down, calm down!
context: Jeez, can you believe this class?\A model? Is she a model?\I'm so glad that I'm in this class!\Wow! She's so gorgeous!\I wonder if I was like that myself.\Spring has come!\I feel like I've seen her somewhere before.\Come on, you guys! Calm down, calm down! response:	Raku-sama!
context: A model? Is she a model?\I'm so glad that I'm in this class!\Wow! She's so gorgeous!\I wonder if I was like that myself.\Spring has come!\I feel like I've seen her somewhere before.\Come on, you guys! Calm down, calm down!\Raku-sama! response:	I've missed you all this time!
context: I'm so glad that I'm in this class!\Wow! She's so gorgeous!\I wonder if I was like that myself.\Spring has come!\I feel like I've seen her somewhere before.\Come on, you guys! Calm down, calm down!\Raku-sama!\I've missed you all this time! response:	Episode 14: Ordeal
context: Wow! She's so gorgeous!\I wonder if I was like that myself.\Spring has come!\I feel like I've seen her somewhere before.\Come on, you guys! Calm down, calm down!\Raku-sama!\I've missed you all this time!\Episode 14: Ordeal response:	Episode 14: Ordeal
context: I wonder if I was like that myself.\Spring has come!\I feel like I've seen her somewhere before.\Come on, you guys! Calm down, calm down!\Raku-sama!\I've missed you all this time!\Episode 14: Ordeal\Episode 14: Ordeal response:	Episode 14: Ordeal
context: Spring has come!\I feel like I've seen her somewhere before.\Come on, you guys! Calm down, calm down!\Raku-sama!\I've missed you all this time!\Episode 14: Ordeal\Episode 14: Ordeal\Episode 14: Ordeal response:	What the hell?
context: I feel like I've seen her somewhere before.\Come on, you guys! Calm down, calm down!\Raku-sama!\I've missed you all this time!\Episode 14: Ordeal\Episode 14: Ordeal\Episode 14: Ordeal\What the hell? response:	The transfer student just threw her arms around Ichijou!
context: Come on, you guys! Calm down, calm down!\Raku-sama!\I've missed you all this time!\Episode 14: Ordeal\Episode 14: Ordeal\Episode 14: Ordeal\What the hell?\The transfer student just threw her arms around Ichijou! response:	Hey! Wh-What's the big idea, all of a sudden?
context: Raku-sama!\I've missed you all this time!\Episode 14: Ordeal\Episode 14: Ordeal\Episode 14: Ordeal\What the hell?\The transfer student just threw her arms around Ichijou!\Hey! Wh-What's the big idea, all of a sudden? response:	Raku-sama?
context: I've missed you all this time!\Episode 14: Ordeal\Episode 14: Ordeal\Episode 14: Ordeal\What the hell?\The transfer student just threw her arms around Ichijou!\Hey! Wh-What's the big idea, all of a sudden?\Raku-sama? response:	Oh! Please forgive me, Raku-sama!
context: Episode 14: Ordeal\Episode 14: Ordeal\Episode 14: Ordeal\What the hell?\The transfer student just threw her arms around Ichijou!\Hey! Wh-What's the big idea, all of a sudden?\Raku-sama?\Oh! Please forgive me, Raku-sama! response:	It's just that I've dreamed about this moment for so long!
context: Episode 14: Ordeal\Episode 14: Ordeal\What the hell?\The transfer student just threw her arms around Ichijou!\Hey! Wh-What's the big idea, all of a sudden?\Raku-sama?\Oh! Please forgive me, Raku-sama!\It's just that I've dreamed about this moment for so long! response:	Excuse me, Tachibana-san!
context: Episode 14: Ordeal\What the hell?\The transfer student just threw her arms around Ichijou!\Hey! Wh-What's the big idea, all of a sudden?\Raku-sama?\Oh! Please forgive me, Raku-sama!\It's just that I've dreamed about this moment for so long!\Excuse me, Tachibana-san! response:	Are you an acquaintance of Raku's, by any chance?
context: What the hell?\The transfer student just threw her arms around Ichijou!\Hey! Wh-What's the big idea, all of a sudden?\Raku-sama?\Oh! Please forgive me, Raku-sama!\It's just that I've dreamed about this moment for so long!\Excuse me, Tachibana-san!\Are you an acquaintance of Raku's, by any chance? response:	Oh, yes.
context: The transfer student just threw her arms around Ichijou!\Hey! Wh-What's the big idea, all of a sudden?\Raku-sama?\Oh! Please forgive me, Raku-sama!\It's just that I've dreamed about this moment for so long!\Excuse me, Tachibana-san!\Are you an acquaintance of Raku's, by any chance?\Oh, yes. response:	I am my beloved Raku's fiancee.
context: Hey! Wh-What's the big idea, all of a sudden?\Raku-sama?\Oh! Please forgive me, Raku-sama!\It's just that I've dreamed about this moment for so long!\Excuse me, Tachibana-san!\Are you an acquaintance of Raku's, by any chance?\Oh, yes.\I am my beloved Raku's fiancee. response:	F-Fiancee?
context: Raku-sama?\Oh! Please forgive me, Raku-sama!\It's just that I've dreamed about this moment for so long!\Excuse me, Tachibana-san!\Are you an acquaintance of Raku's, by any chance?\Oh, yes.\I am my beloved Raku's fiancee.\F-Fiancee? response:	My fiancee... is her?
context: Oh! Please forgive me, Raku-sama!\It's just that I've dreamed about this moment for so long!\Excuse me, Tachibana-san!\Are you an acquaintance of Raku's, by any chance?\Oh, yes.\I am my beloved Raku's fiancee.\F-Fiancee?\My fiancee... is her? response:	When my dad said she was coming today... he meant that she's transferring?!
context: It's just that I've dreamed about this moment for so long!\Excuse me, Tachibana-san!\Are you an acquaintance of Raku's, by any chance?\Oh, yes.\I am my beloved Raku's fiancee.\F-Fiancee?\My fiancee... is her?\When my dad said she was coming today... he meant that she's transferring?! response:	Come to think of it...
context: Excuse me, Tachibana-san!\Are you an acquaintance of Raku's, by any chance?\Oh, yes.\I am my beloved Raku's fiancee.\F-Fiancee?\My fiancee... is her?\When my dad said she was coming today... he meant that she's transferring?!\Come to think of it... response:	She does resemble the girl in the photo.
context: Are you an acquaintance of Raku's, by any chance?\Oh, yes.\I am my beloved Raku's fiancee.\F-Fiancee?\My fiancee... is her?\When my dad said she was coming today... he meant that she's transferring?!\Come to think of it...\She does resemble the girl in the photo. response:	You vixen! Distance yourself from Ichijou Raku at once!
context: Oh, yes.\I am my beloved Raku's fiancee.\F-Fiancee?\My fiancee... is her?\When my dad said she was coming today... he meant that she's transferring?!\Come to think of it...\She does resemble the girl in the photo.\You vixen! Distance yourself from Ichijou Raku at once! response:	He's Mistress's...
context: I am my beloved Raku's fiancee.\F-Fiancee?\My fiancee... is her?\When my dad said she was coming today... he meant that she's transferring?!\Come to think of it...\She does resemble the girl in the photo.\You vixen! Distance yourself from Ichijou Raku at once!\He's Mistress's... response:	H-Her... Her boyfriend, I'll have you know!
context: F-Fiancee?\My fiancee... is her?\When my dad said she was coming today... he meant that she's transferring?!\Come to think of it...\She does resemble the girl in the photo.\You vixen! Distance yourself from Ichijou Raku at once!\He's Mistress's...\H-Her... Her boyfriend, I'll have you know! response:	Boyfriend?
context: My fiancee... is her?\When my dad said she was coming today... he meant that she's transferring?!\Come to think of it...\She does resemble the girl in the photo.\You vixen! Distance yourself from Ichijou Raku at once!\He's Mistress's...\H-Her... Her boyfriend, I'll have you know!\Boyfriend? response:	Right? Isn't that right, Mistress?
context: When my dad said she was coming today... he meant that she's transferring?!\Come to think of it...\She does resemble the girl in the photo.\You vixen! Distance yourself from Ichijou Raku at once!\He's Mistress's...\H-Her... Her boyfriend, I'll have you know!\Boyfriend?\Right? Isn't that right, Mistress? response:	Oh, right.
context: Come to think of it...\She does resemble the girl in the photo.\You vixen! Distance yourself from Ichijou Raku at once!\He's Mistress's...\H-Her... Her boyfriend, I'll have you know!\Boyfriend?\Right? Isn't that right, Mistress?\Oh, right. response:	Actually, right now he's my darling, you see.
context: She does resemble the girl in the photo.\You vixen! Distance yourself from Ichijou Raku at once!\He's Mistress's...\H-Her... Her boyfriend, I'll have you know!\Boyfriend?\Right? Isn't that right, Mistress?\Oh, right.\Actually, right now he's my darling, you see. response:	Yeah, that's right, actually.
context: You vixen! Distance yourself from Ichijou Raku at once!\He's Mistress's...\H-Her... Her boyfriend, I'll have you know!\Boyfriend?\Right? Isn't that right, Mistress?\Oh, right.\Actually, right now he's my darling, you see.\Yeah, that's right, actually. response:	So sorry, but I can't be with you.
context: He's Mistress's...\H-Her... Her boyfriend, I'll have you know!\Boyfriend?\Right? Isn't that right, Mistress?\Oh, right.\Actually, right now he's my darling, you see.\Yeah, that's right, actually.\So sorry, but I can't be with you. response:	Darling?
context: H-Her... Her boyfriend, I'll have you know!\Boyfriend?\Right? Isn't that right, Mistress?\Oh, right.\Actually, right now he's my darling, you see.\Yeah, that's right, actually.\So sorry, but I can't be with you.\Darling? response:	Hell yeah! Kirisaki-san just threw down the gauntlet!
context: Boyfriend?\Right? Isn't that right, Mistress?\Oh, right.\Actually, right now he's my darling, you see.\Yeah, that's right, actually.\So sorry, but I can't be with you.\Darling?\Hell yeah! Kirisaki-san just threw down the gauntlet! response:	Whatcha gonna do, fiancee?
context: Right? Isn't that right, Mistress?\Oh, right.\Actually, right now he's my darling, you see.\Yeah, that's right, actually.\So sorry, but I can't be with you.\Darling?\Hell yeah! Kirisaki-san just threw down the gauntlet!\Whatcha gonna do, fiancee? response:	I would make you far happier than this gorilla of a woman, Raku-sama!
context: Oh, right.\Actually, right now he's my darling, you see.\Yeah, that's right, actually.\So sorry, but I can't be with you.\Darling?\Hell yeah! Kirisaki-san just threw down the gauntlet!\Whatcha gonna do, fiancee?\I would make you far happier than this gorilla of a woman, Raku-sama! response:	I didn't quite catch that.
context: Actually, right now he's my darling, you see.\Yeah, that's right, actually.\So sorry, but I can't be with you.\Darling?\Hell yeah! Kirisaki-san just threw down the gauntlet!\Whatcha gonna do, fiancee?\I would make you far happier than this gorilla of a woman, Raku-sama!\I didn't quite catch that. response:	Hold it in, Chitoge!
context: Yeah, that's right, actually.\So sorry, but I can't be with you.\Darling?\Hell yeah! Kirisaki-san just threw down the gauntlet!\Whatcha gonna do, fiancee?\I would make you far happier than this gorilla of a woman, Raku-sama!\I didn't quite catch that.\Hold it in, Chitoge! response:	You wench!
context: So sorry, but I can't be with you.\Darling?\Hell yeah! Kirisaki-san just threw down the gauntlet!\Whatcha gonna do, fiancee?\I would make you far happier than this gorilla of a woman, Raku-sama!\I didn't quite catch that.\Hold it in, Chitoge!\You wench! response:	How dare you insult Mistress!
context: Darling?\Hell yeah! Kirisaki-san just threw down the gauntlet!\Whatcha gonna do, fiancee?\I would make you far happier than this gorilla of a woman, Raku-sama!\I didn't quite catch that.\Hold it in, Chitoge!\You wench!\How dare you insult Mistress! response:	Oh, my... That won't do.
context: Hell yeah! Kirisaki-san just threw down the gauntlet!\Whatcha gonna do, fiancee?\I would make you far happier than this gorilla of a woman, Raku-sama!\I didn't quite catch that.\Hold it in, Chitoge!\You wench!\How dare you insult Mistress!\Oh, my... That won't do. response:	If you point such a dangerous object at me, you'll...
context: Whatcha gonna do, fiancee?\I would make you far happier than this gorilla of a woman, Raku-sama!\I didn't quite catch that.\Hold it in, Chitoge!\You wench!\How dare you insult Mistress!\Oh, my... That won't do.\If you point such a dangerous object at me, you'll... response:	Charge!
context: I would make you far happier than this gorilla of a woman, Raku-sama!\I didn't quite catch that.\Hold it in, Chitoge!\You wench!\How dare you insult Mistress!\Oh, my... That won't do.\If you point such a dangerous object at me, you'll...\Charge! response:	Whoa! What's going on?
context: I didn't quite catch that.\Hold it in, Chitoge!\You wench!\How dare you insult Mistress!\Oh, my... That won't do.\If you point such a dangerous object at me, you'll...\Charge!\Whoa! What's going on? response:	What's this, what's this?
context: Hold it in, Chitoge!\You wench!\How dare you insult Mistress!\Oh, my... That won't do.\If you point such a dangerous object at me, you'll...\Charge!\Whoa! What's going on?\What's this, what's this? response:	I apologize for the commotion.
context: You wench!\How dare you insult Mistress!\Oh, my... That won't do.\If you point such a dangerous object at me, you'll...\Charge!\Whoa! What's going on?\What's this, what's this?\I apologize for the commotion. response:	As it happens, my father is the police commissioner.
context: How dare you insult Mistress!\Oh, my... That won't do.\If you point such a dangerous object at me, you'll...\Charge!\Whoa! What's going on?\What's this, what's this?\I apologize for the commotion.\As it happens, my father is the police commissioner. response:	Moreover, he's quite the over-protective parent.
context: Oh, my... That won't do.\If you point such a dangerous object at me, you'll...\Charge!\Whoa! What's going on?\What's this, what's this?\I apologize for the commotion.\As it happens, my father is the police commissioner.\Moreover, he's quite the over-protective parent. response:	Police commissioner? Now I get it!
context: If you point such a dangerous object at me, you'll...\Charge!\Whoa! What's going on?\What's this, what's this?\I apologize for the commotion.\As it happens, my father is the police commissioner.\Moreover, he's quite the over-protective parent.\Police commissioner? Now I get it! response:	That's why my old man said...
context: Charge!\Whoa! What's going on?\What's this, what's this?\I apologize for the commotion.\As it happens, my father is the police commissioner.\Moreover, he's quite the over-protective parent.\Police commissioner? Now I get it!\That's why my old man said... response:	Things could turn into a real pain in the ass if I upset her dad.
context: Whoa! What's going on?\What's this, what's this?\I apologize for the commotion.\As it happens, my father is the police commissioner.\Moreover, he's quite the over-protective parent.\Police commissioner? Now I get it!\That's why my old man said...\Things could turn into a real pain in the ass if I upset her dad. response:	Police VS Mafia
context: What's this, what's this?\I apologize for the commotion.\As it happens, my father is the police commissioner.\Moreover, he's quite the over-protective parent.\Police commissioner? Now I get it!\That's why my old man said...\Things could turn into a real pain in the ass if I upset her dad.\Police VS Mafia response:	Police VS Mafia
context: I apologize for the commotion.\As it happens, my father is the police commissioner.\Moreover, he's quite the over-protective parent.\Police commissioner? Now I get it!\That's why my old man said...\Things could turn into a real pain in the ass if I upset her dad.\Police VS Mafia\Police VS Mafia response:	Police VS Mafia
context: As it happens, my father is the police commissioner.\Moreover, he's quite the over-protective parent.\Police commissioner? Now I get it!\That's why my old man said...\Things could turn into a real pain in the ass if I upset her dad.\Police VS Mafia\Police VS Mafia\Police VS Mafia response:	Police VS Mafia
context: Moreover, he's quite the over-protective parent.\Police commissioner? Now I get it!\That's why my old man said...\Things could turn into a real pain in the ass if I upset her dad.\Police VS Mafia\Police VS Mafia\Police VS Mafia\Police VS Mafia response:	Another war? Damn it!
context: Police commissioner? Now I get it!\That's why my old man said...\Things could turn into a real pain in the ass if I upset her dad.\Police VS Mafia\Police VS Mafia\Police VS Mafia\Police VS Mafia\Another war? Damn it! response:	Kill me now!
context: That's why my old man said...\Things could turn into a real pain in the ass if I upset her dad.\Police VS Mafia\Police VS Mafia\Police VS Mafia\Police VS Mafia\Another war? Damn it!\Kill me now! response:	You can withdraw now, Honda.
context: Things could turn into a real pain in the ass if I upset her dad.\Police VS Mafia\Police VS Mafia\Police VS Mafia\Police VS Mafia\Another war? Damn it!\Kill me now!\You can withdraw now, Honda. response:	Yes, ma'am. Fall back!
context: Police VS Mafia\Police VS Mafia\Police VS Mafia\Police VS Mafia\Another war? Damn it!\Kill me now!\You can withdraw now, Honda.\Yes, ma'am. Fall back! response:	What am I gonna do? This is my fiancee...
context: Police VS Mafia\Police VS Mafia\Police VS Mafia\Another war? Damn it!\Kill me now!\You can withdraw now, Honda.\Yes, ma'am. Fall back!\What am I gonna do? This is my fiancee... response:	and the girl I made that promise with?
context: Police VS Mafia\Police VS Mafia\Another war? Damn it!\Kill me now!\You can withdraw now, Honda.\Yes, ma'am. Fall back!\What am I gonna do? This is my fiancee...\and the girl I made that promise with? response:	Perhaps it's due to all the excitement, but I feel light-headed.
context: Police VS Mafia\Another war? Damn it!\Kill me now!\You can withdraw now, Honda.\Yes, ma'am. Fall back!\What am I gonna do? This is my fiancee...\and the girl I made that promise with?\Perhaps it's due to all the excitement, but I feel light-headed. response:	I happen to be extremely frail.
context: Another war? Damn it!\Kill me now!\You can withdraw now, Honda.\Yes, ma'am. Fall back!\What am I gonna do? This is my fiancee...\and the girl I made that promise with?\Perhaps it's due to all the excitement, but I feel light-headed.\I happen to be extremely frail. response:	Raku-sama, would you be so kind as to escort me to the infirmary?
context: Kill me now!\You can withdraw now, Honda.\Yes, ma'am. Fall back!\What am I gonna do? This is my fiancee...\and the girl I made that promise with?\Perhaps it's due to all the excitement, but I feel light-headed.\I happen to be extremely frail.\Raku-sama, would you be so kind as to escort me to the infirmary? response:	Just the two of us, please!
context: You can withdraw now, Honda.\Yes, ma'am. Fall back!\What am I gonna do? This is my fiancee...\and the girl I made that promise with?\Perhaps it's due to all the excitement, but I feel light-headed.\I happen to be extremely frail.\Raku-sama, would you be so kind as to escort me to the infirmary?\Just the two of us, please! response:	T-Talk about faking it!
context: Yes, ma'am. Fall back!\What am I gonna do? This is my fiancee...\and the girl I made that promise with?\Perhaps it's due to all the excitement, but I feel light-headed.\I happen to be extremely frail.\Raku-sama, would you be so kind as to escort me to the infirmary?\Just the two of us, please!\T-Talk about faking it! response:	Now, then! Let's hurry, Raku-sama!
context: What am I gonna do? This is my fiancee...\and the girl I made that promise with?\Perhaps it's due to all the excitement, but I feel light-headed.\I happen to be extremely frail.\Raku-sama, would you be so kind as to escort me to the infirmary?\Just the two of us, please!\T-Talk about faking it!\Now, then! Let's hurry, Raku-sama! response:	You seem totally fine to me!
context: and the girl I made that promise with?\Perhaps it's due to all the excitement, but I feel light-headed.\I happen to be extremely frail.\Raku-sama, would you be so kind as to escort me to the infirmary?\Just the two of us, please!\T-Talk about faking it!\Now, then! Let's hurry, Raku-sama!\You seem totally fine to me! response:	Who the hell does she think she is?!
context: Perhaps it's due to all the excitement, but I feel light-headed.\I happen to be extremely frail.\Raku-sama, would you be so kind as to escort me to the infirmary?\Just the two of us, please!\T-Talk about faking it!\Now, then! Let's hurry, Raku-sama!\You seem totally fine to me!\Who the hell does she think she is?! response:	Nurse's Office
context: I happen to be extremely frail.\Raku-sama, would you be so kind as to escort me to the infirmary?\Just the two of us, please!\T-Talk about faking it!\Now, then! Let's hurry, Raku-sama!\You seem totally fine to me!\Who the hell does she think she is?!\Nurse's Office response:	Thank you very much, Raku-sama.
context: Raku-sama, would you be so kind as to escort me to the infirmary?\Just the two of us, please!\T-Talk about faking it!\Now, then! Let's hurry, Raku-sama!\You seem totally fine to me!\Who the hell does she think she is?!\Nurse's Office\Thank you very much, Raku-sama. response:	I feel much better now, thanks to you.
context: Just the two of us, please!\T-Talk about faking it!\Now, then! Let's hurry, Raku-sama!\You seem totally fine to me!\Who the hell does she think she is?!\Nurse's Office\Thank you very much, Raku-sama.\I feel much better now, thanks to you. response:	Now, then, Raku-sama.
context: T-Talk about faking it!\Now, then! Let's hurry, Raku-sama!\You seem totally fine to me!\Who the hell does she think she is?!\Nurse's Office\Thank you very much, Raku-sama.\I feel much better now, thanks to you.\Now, then, Raku-sama. response:	We are alone at last.
context: Now, then! Let's hurry, Raku-sama!\You seem totally fine to me!\Who the hell does she think she is?!\Nurse's Office\Thank you very much, Raku-sama.\I feel much better now, thanks to you.\Now, then, Raku-sama.\We are alone at last. response:	What date would you like to set for our wedding?
