context: Today, I am giving the Honnouji Academy response:	Student Council system a fresh start!
context: lay claim to your social standing once again!\This shall be Honnouji Academy's first naturals election!\FIRST HONNOUJI ACADEMY NATURALS ELECTION\Naturals election?\In this election, you will not be choosing some candidate!\You will be choosing yourself!\Your standing! Your strength! Your way of life!\At 8:30am, seven days from now, response:	a sudden death runoff election will be held
context: This shall be Honnouji Academy's first naturals election!\FIRST HONNOUJI ACADEMY NATURALS ELECTION\Naturals election?\In this election, you will not be choosing some candidate!\You will be choosing yourself!\Your standing! Your strength! Your way of life!\At 8:30am, seven days from now,\a sudden death runoff election will be held response:	with the survivors who arrive in this schoolyard!
context: FIRST HONNOUJI ACADEMY NATURALS ELECTION\Naturals election?\In this election, you will not be choosing some candidate!\You will be choosing yourself!\Your standing! Your strength! Your way of life!\At 8:30am, seven days from now,\a sudden death runoff election will be held\with the survivors who arrive in this schoolyard! response:	SUDDEN DEATH RUNOFF ELECTION
context: Naturals election?\In this election, you will not be choosing some candidate!\You will be choosing yourself!\Your standing! Your strength! Your way of life!\At 8:30am, seven days from now,\a sudden death runoff election will be held\with the survivors who arrive in this schoolyard!\SUDDEN DEATH RUNOFF ELECTION response:	Fight one another! Emerge victorious!
context: In this election, you will not be choosing some candidate!\You will be choosing yourself!\Your standing! Your strength! Your way of life!\At 8:30am, seven days from now,\a sudden death runoff election will be held\with the survivors who arrive in this schoolyard!\SUDDEN DEATH RUNOFF ELECTION\Fight one another! Emerge victorious! response:	And I will grant you your Goku Uniforms anew!
context: You will be choosing yourself!\Your standing! Your strength! Your way of life!\At 8:30am, seven days from now,\a sudden death runoff election will be held\with the survivors who arrive in this schoolyard!\SUDDEN DEATH RUNOFF ELECTION\Fight one another! Emerge victorious!\And I will grant you your Goku Uniforms anew! response:	And now, fellow comrades of Honnouji Academy!
context: Your standing! Your strength! Your way of life!\At 8:30am, seven days from now,\a sudden death runoff election will be held\with the survivors who arrive in this schoolyard!\SUDDEN DEATH RUNOFF ELECTION\Fight one another! Emerge victorious!\And I will grant you your Goku Uniforms anew!\And now, fellow comrades of Honnouji Academy! response:	FIGHT!
context: At 8:30am, seven days from now,\a sudden death runoff election will be held\with the survivors who arrive in this schoolyard!\SUDDEN DEATH RUNOFF ELECTION\Fight one another! Emerge victorious!\And I will grant you your Goku Uniforms anew!\And now, fellow comrades of Honnouji Academy!\FIGHT! response:	EPISODE 8 I WILL WIPE MY OWN TEARS
context: a sudden death runoff election will be held\with the survivors who arrive in this schoolyard!\SUDDEN DEATH RUNOFF ELECTION\Fight one another! Emerge victorious!\And I will grant you your Goku Uniforms anew!\And now, fellow comrades of Honnouji Academy!\FIGHT!\EPISODE 8 I WILL WIPE MY OWN TEARS response:	Iori, begin.
context: with the survivors who arrive in this schoolyard!\SUDDEN DEATH RUNOFF ELECTION\Fight one another! Emerge victorious!\And I will grant you your Goku Uniforms anew!\And now, fellow comrades of Honnouji Academy!\FIGHT!\EPISODE 8 I WILL WIPE MY OWN TEARS\Iori, begin. response:	Yes, Milady.
context: SUDDEN DEATH RUNOFF ELECTION\Fight one another! Emerge victorious!\And I will grant you your Goku Uniforms anew!\And now, fellow comrades of Honnouji Academy!\FIGHT!\EPISODE 8 I WILL WIPE MY OWN TEARS\Iori, begin.\Yes, Milady. response:	Beginning High Velocity Life Fiber Jammer Emission.
context: Fight one another! Emerge victorious!\And I will grant you your Goku Uniforms anew!\And now, fellow comrades of Honnouji Academy!\FIGHT!\EPISODE 8 I WILL WIPE MY OWN TEARS\Iori, begin.\Yes, Milady.\Beginning High Velocity Life Fiber Jammer Emission. response:	They're circulating finely chopped Life Fibers at a speed of 100 m/s.
context: And I will grant you your Goku Uniforms anew!\And now, fellow comrades of Honnouji Academy!\FIGHT!\EPISODE 8 I WILL WIPE MY OWN TEARS\Iori, begin.\Yes, Milady.\Beginning High Velocity Life Fiber Jammer Emission.\They're circulating finely chopped Life Fibers at a speed of 100 m/s. response:	HIGH VELOCITY LIFE FIBER JAMMER
context: And now, fellow comrades of Honnouji Academy!\FIGHT!\EPISODE 8 I WILL WIPE MY OWN TEARS\Iori, begin.\Yes, Milady.\Beginning High Velocity Life Fiber Jammer Emission.\They're circulating finely chopped Life Fibers at a speed of 100 m/s.\HIGH VELOCITY LIFE FIBER JAMMER response:	Any and all attacks are neutralized by that barrier.
context: FIGHT!\EPISODE 8 I WILL WIPE MY OWN TEARS\Iori, begin.\Yes, Milady.\Beginning High Velocity Life Fiber Jammer Emission.\They're circulating finely chopped Life Fibers at a speed of 100 m/s.\HIGH VELOCITY LIFE FIBER JAMMER\Any and all attacks are neutralized by that barrier. response:	It would probably be difficult
context: EPISODE 8 I WILL WIPE MY OWN TEARS\Iori, begin.\Yes, Milady.\Beginning High Velocity Life Fiber Jammer Emission.\They're circulating finely chopped Life Fibers at a speed of 100 m/s.\HIGH VELOCITY LIFE FIBER JAMMER\Any and all attacks are neutralized by that barrier.\It would probably be difficult response:	to breach even with Senketsu's power.
context: Iori, begin.\Yes, Milady.\Beginning High Velocity Life Fiber Jammer Emission.\They're circulating finely chopped Life Fibers at a speed of 100 m/s.\HIGH VELOCITY LIFE FIBER JAMMER\Any and all attacks are neutralized by that barrier.\It would probably be difficult\to breach even with Senketsu's power. response:	Damn, I was thinking this was my chance to challenge her directly.
context: Yes, Milady.\Beginning High Velocity Life Fiber Jammer Emission.\They're circulating finely chopped Life Fibers at a speed of 100 m/s.\HIGH VELOCITY LIFE FIBER JAMMER\Any and all attacks are neutralized by that barrier.\It would probably be difficult\to breach even with Senketsu's power.\Damn, I was thinking this was my chance to challenge her directly. response:	She whips everybody into a frenzy,
context: Beginning High Velocity Life Fiber Jammer Emission.\They're circulating finely chopped Life Fibers at a speed of 100 m/s.\HIGH VELOCITY LIFE FIBER JAMMER\Any and all attacks are neutralized by that barrier.\It would probably be difficult\to breach even with Senketsu's power.\Damn, I was thinking this was my chance to challenge her directly.\She whips everybody into a frenzy, response:	and then sits behind an impenetrable shield?
context: They're circulating finely chopped Life Fibers at a speed of 100 m/s.\HIGH VELOCITY LIFE FIBER JAMMER\Any and all attacks are neutralized by that barrier.\It would probably be difficult\to breach even with Senketsu's power.\Damn, I was thinking this was my chance to challenge her directly.\She whips everybody into a frenzy,\and then sits behind an impenetrable shield? response:	It's probably the other way around.
context: HIGH VELOCITY LIFE FIBER JAMMER\Any and all attacks are neutralized by that barrier.\It would probably be difficult\to breach even with Senketsu's power.\Damn, I was thinking this was my chance to challenge her directly.\She whips everybody into a frenzy,\and then sits behind an impenetrable shield?\It's probably the other way around. response:	She's ruled absolutely here, and by sequestering herself,
context: Any and all attacks are neutralized by that barrier.\It would probably be difficult\to breach even with Senketsu's power.\Damn, I was thinking this was my chance to challenge her directly.\She whips everybody into a frenzy,\and then sits behind an impenetrable shield?\It's probably the other way around.\She's ruled absolutely here, and by sequestering herself, response:	she's causing a state of anarchy within the academy. See?
context: It would probably be difficult\to breach even with Senketsu's power.\Damn, I was thinking this was my chance to challenge her directly.\She whips everybody into a frenzy,\and then sits behind an impenetrable shield?\It's probably the other way around.\She's ruled absolutely here, and by sequestering herself,\she's causing a state of anarchy within the academy. See? response:	I swear, I'm so sick of her...
context: to breach even with Senketsu's power.\Damn, I was thinking this was my chance to challenge her directly.\She whips everybody into a frenzy,\and then sits behind an impenetrable shield?\It's probably the other way around.\She's ruled absolutely here, and by sequestering herself,\she's causing a state of anarchy within the academy. See?\I swear, I'm so sick of her... response:	This is crazy.
context: Damn, I was thinking this was my chance to challenge her directly.\She whips everybody into a frenzy,\and then sits behind an impenetrable shield?\It's probably the other way around.\She's ruled absolutely here, and by sequestering herself,\she's causing a state of anarchy within the academy. See?\I swear, I'm so sick of her...\This is crazy. response:	Is she trying to tear down the order she herself created?
context: She whips everybody into a frenzy,\and then sits behind an impenetrable shield?\It's probably the other way around.\She's ruled absolutely here, and by sequestering herself,\she's causing a state of anarchy within the academy. See?\I swear, I'm so sick of her...\This is crazy.\Is she trying to tear down the order she herself created? response:	As always, she's taking things to extremes.
context: and then sits behind an impenetrable shield?\It's probably the other way around.\She's ruled absolutely here, and by sequestering herself,\she's causing a state of anarchy within the academy. See?\I swear, I'm so sick of her...\This is crazy.\Is she trying to tear down the order she herself created?\As always, she's taking things to extremes. response:	That's Satsuki Kiryuin in a nutshell.
context: It's probably the other way around.\She's ruled absolutely here, and by sequestering herself,\she's causing a state of anarchy within the academy. See?\I swear, I'm so sick of her...\This is crazy.\Is she trying to tear down the order she herself created?\As always, she's taking things to extremes.\That's Satsuki Kiryuin in a nutshell. response:	If something is to be done, she doesn't hold back.
context: She's ruled absolutely here, and by sequestering herself,\she's causing a state of anarchy within the academy. See?\I swear, I'm so sick of her...\This is crazy.\Is she trying to tear down the order she herself created?\As always, she's taking things to extremes.\That's Satsuki Kiryuin in a nutshell.\If something is to be done, she doesn't hold back. response:	Still, this will give us a chance to kick back and relax for a while.
context: she's causing a state of anarchy within the academy. See?\I swear, I'm so sick of her...\This is crazy.\Is she trying to tear down the order she herself created?\As always, she's taking things to extremes.\That's Satsuki Kiryuin in a nutshell.\If something is to be done, she doesn't hold back.\Still, this will give us a chance to kick back and relax for a while. response:	Ah, I follow you. Personal time.
context: I swear, I'm so sick of her...\This is crazy.\Is she trying to tear down the order she herself created?\As always, she's taking things to extremes.\That's Satsuki Kiryuin in a nutshell.\If something is to be done, she doesn't hold back.\Still, this will give us a chance to kick back and relax for a while.\Ah, I follow you. Personal time. response:	In that case, gentlemen, I will see you in seven days.
context: This is crazy.\Is she trying to tear down the order she herself created?\As always, she's taking things to extremes.\That's Satsuki Kiryuin in a nutshell.\If something is to be done, she doesn't hold back.\Still, this will give us a chance to kick back and relax for a while.\Ah, I follow you. Personal time.\In that case, gentlemen, I will see you in seven days. response:	That sound just now... Was that a car key?
context: Is she trying to tear down the order she herself created?\As always, she's taking things to extremes.\That's Satsuki Kiryuin in a nutshell.\If something is to be done, she doesn't hold back.\Still, this will give us a chance to kick back and relax for a while.\Ah, I follow you. Personal time.\In that case, gentlemen, I will see you in seven days.\That sound just now... Was that a car key? response:	I hear he got his license recently.
context: As always, she's taking things to extremes.\That's Satsuki Kiryuin in a nutshell.\If something is to be done, she doesn't hold back.\Still, this will give us a chance to kick back and relax for a while.\Ah, I follow you. Personal time.\In that case, gentlemen, I will see you in seven days.\That sound just now... Was that a car key?\I hear he got his license recently. response:	It sounds like he intends to see
context: That's Satsuki Kiryuin in a nutshell.\If something is to be done, she doesn't hold back.\Still, this will give us a chance to kick back and relax for a while.\Ah, I follow you. Personal time.\In that case, gentlemen, I will see you in seven days.\That sound just now... Was that a car key?\I hear he got his license recently.\It sounds like he intends to see response:	to Lady Satsuki's chauffeur needs himself.
context: If something is to be done, she doesn't hold back.\Still, this will give us a chance to kick back and relax for a while.\Ah, I follow you. Personal time.\In that case, gentlemen, I will see you in seven days.\That sound just now... Was that a car key?\I hear he got his license recently.\It sounds like he intends to see\to Lady Satsuki's chauffeur needs himself. response:	His loyalty is impressive.
context: Still, this will give us a chance to kick back and relax for a while.\Ah, I follow you. Personal time.\In that case, gentlemen, I will see you in seven days.\That sound just now... Was that a car key?\I hear he got his license recently.\It sounds like he intends to see\to Lady Satsuki's chauffeur needs himself.\His loyalty is impressive. response:	Okay, I guess we'll meet up in seven days, too.
context: Ah, I follow you. Personal time.\In that case, gentlemen, I will see you in seven days.\That sound just now... Was that a car key?\I hear he got his license recently.\It sounds like he intends to see\to Lady Satsuki's chauffeur needs himself.\His loyalty is impressive.\Okay, I guess we'll meet up in seven days, too. response:	I don't think any of us is a moron who won't
context: In that case, gentlemen, I will see you in seven days.\That sound just now... Was that a car key?\I hear he got his license recently.\It sounds like he intends to see\to Lady Satsuki's chauffeur needs himself.\His loyalty is impressive.\Okay, I guess we'll meet up in seven days, too.\I don't think any of us is a moron who won't response:	make it to the Sudden Death Runoff Election.
context: That sound just now... Was that a car key?\I hear he got his license recently.\It sounds like he intends to see\to Lady Satsuki's chauffeur needs himself.\His loyalty is impressive.\Okay, I guess we'll meet up in seven days, too.\I don't think any of us is a moron who won't\make it to the Sudden Death Runoff Election. response:	The loincloth is mine!
context: I hear he got his license recently.\It sounds like he intends to see\to Lady Satsuki's chauffeur needs himself.\His loyalty is impressive.\Okay, I guess we'll meet up in seven days, too.\I don't think any of us is a moron who won't\make it to the Sudden Death Runoff Election.\The loincloth is mine! response:	MANKANSHOKU BACK-ALLEY CLINIC
context: It sounds like he intends to see\to Lady Satsuki's chauffeur needs himself.\His loyalty is impressive.\Okay, I guess we'll meet up in seven days, too.\I don't think any of us is a moron who won't\make it to the Sudden Death Runoff Election.\The loincloth is mine!\MANKANSHOKU BACK-ALLEY CLINIC response:	Gosh, things sure are crazy in town, huh?
context: to Lady Satsuki's chauffeur needs himself.\His loyalty is impressive.\Okay, I guess we'll meet up in seven days, too.\I don't think any of us is a moron who won't\make it to the Sudden Death Runoff Election.\The loincloth is mine!\MANKANSHOKU BACK-ALLEY CLINIC\Gosh, things sure are crazy in town, huh? response:	What's with you guys looking all philosophical?
context: His loyalty is impressive.\Okay, I guess we'll meet up in seven days, too.\I don't think any of us is a moron who won't\make it to the Sudden Death Runoff Election.\The loincloth is mine!\MANKANSHOKU BACK-ALLEY CLINIC\Gosh, things sure are crazy in town, huh?\What's with you guys looking all philosophical? response:	Well, due to that recent incident, we learned that
context: Okay, I guess we'll meet up in seven days, too.\I don't think any of us is a moron who won't\make it to the Sudden Death Runoff Election.\The loincloth is mine!\MANKANSHOKU BACK-ALLEY CLINIC\Gosh, things sure are crazy in town, huh?\What's with you guys looking all philosophical?\Well, due to that recent incident, we learned that response:	obsessing over short-term wants isn't any good.
context: I don't think any of us is a moron who won't\make it to the Sudden Death Runoff Election.\The loincloth is mine!\MANKANSHOKU BACK-ALLEY CLINIC\Gosh, things sure are crazy in town, huh?\What's with you guys looking all philosophical?\Well, due to that recent incident, we learned that\obsessing over short-term wants isn't any good. response:	Yes indeed, there is luck in the last helping.
context: make it to the Sudden Death Runoff Election.\The loincloth is mine!\MANKANSHOKU BACK-ALLEY CLINIC\Gosh, things sure are crazy in town, huh?\What's with you guys looking all philosophical?\Well, due to that recent incident, we learned that\obsessing over short-term wants isn't any good.\Yes indeed, there is luck in the last helping. response:	If I wait until everyone's exhausted from fighting,
context: The loincloth is mine!\MANKANSHOKU BACK-ALLEY CLINIC\Gosh, things sure are crazy in town, huh?\What's with you guys looking all philosophical?\Well, due to that recent incident, we learned that\obsessing over short-term wants isn't any good.\Yes indeed, there is luck in the last helping.\If I wait until everyone's exhausted from fighting, response:	I'll be able to lift one or two wallets easy!
context: MANKANSHOKU BACK-ALLEY CLINIC\Gosh, things sure are crazy in town, huh?\What's with you guys looking all philosophical?\Well, due to that recent incident, we learned that\obsessing over short-term wants isn't any good.\Yes indeed, there is luck in the last helping.\If I wait until everyone's exhausted from fighting,\I'll be able to lift one or two wallets easy! response:	Mataro, you never learn!
context: Gosh, things sure are crazy in town, huh?\What's with you guys looking all philosophical?\Well, due to that recent incident, we learned that\obsessing over short-term wants isn't any good.\Yes indeed, there is luck in the last helping.\If I wait until everyone's exhausted from fighting,\I'll be able to lift one or two wallets easy!\Mataro, you never learn! response:	In that case, sir, I'm gonna borrow your scooter.
context: What's with you guys looking all philosophical?\Well, due to that recent incident, we learned that\obsessing over short-term wants isn't any good.\Yes indeed, there is luck in the last helping.\If I wait until everyone's exhausted from fighting,\I'll be able to lift one or two wallets easy!\Mataro, you never learn!\In that case, sir, I'm gonna borrow your scooter. response:	I swindled it from
context: Well, due to that recent incident, we learned that\obsessing over short-term wants isn't any good.\Yes indeed, there is luck in the last helping.\If I wait until everyone's exhausted from fighting,\I'll be able to lift one or two wallets easy!\Mataro, you never learn!\In that case, sir, I'm gonna borrow your scooter.\I swindled it from response:	the owner of a scooter shop especially for you.
context: obsessing over short-term wants isn't any good.\Yes indeed, there is luck in the last helping.\If I wait until everyone's exhausted from fighting,\I'll be able to lift one or two wallets easy!\Mataro, you never learn!\In that case, sir, I'm gonna borrow your scooter.\I swindled it from\the owner of a scooter shop especially for you. response:	Use it all you like.
context: Yes indeed, there is luck in the last helping.\If I wait until everyone's exhausted from fighting,\I'll be able to lift one or two wallets easy!\Mataro, you never learn!\In that case, sir, I'm gonna borrow your scooter.\I swindled it from\the owner of a scooter shop especially for you.\Use it all you like. response:	Where are you going, Ryuko?
context: If I wait until everyone's exhausted from fighting,\I'll be able to lift one or two wallets easy!\Mataro, you never learn!\In that case, sir, I'm gonna borrow your scooter.\I swindled it from\the owner of a scooter shop especially for you.\Use it all you like.\Where are you going, Ryuko? response:	Nowhere special.
context: I'll be able to lift one or two wallets easy!\Mataro, you never learn!\In that case, sir, I'm gonna borrow your scooter.\I swindled it from\the owner of a scooter shop especially for you.\Use it all you like.\Where are you going, Ryuko?\Nowhere special. response:	Oh, just tooling around, huh?
context: Mataro, you never learn!\In that case, sir, I'm gonna borrow your scooter.\I swindled it from\the owner of a scooter shop especially for you.\Use it all you like.\Where are you going, Ryuko?\Nowhere special.\Oh, just tooling around, huh? response:	I'll go with you!
context: In that case, sir, I'm gonna borrow your scooter.\I swindled it from\the owner of a scooter shop especially for you.\Use it all you like.\Where are you going, Ryuko?\Nowhere special.\Oh, just tooling around, huh?\I'll go with you! response:	Okay, let's go!
context: I swindled it from\the owner of a scooter shop especially for you.\Use it all you like.\Where are you going, Ryuko?\Nowhere special.\Oh, just tooling around, huh?\I'll go with you!\Okay, let's go! response:	Hey!
context: the owner of a scooter shop especially for you.\Use it all you like.\Where are you going, Ryuko?\Nowhere special.\Oh, just tooling around, huh?\I'll go with you!\Okay, let's go!\Hey! response:	I'm not letting go!
context: Use it all you like.\Where are you going, Ryuko?\Nowhere special.\Oh, just tooling around, huh?\I'll go with you!\Okay, let's go!\Hey!\I'm not letting go! response:	Oh, what the hell.
context: Where are you going, Ryuko?\Nowhere special.\Oh, just tooling around, huh?\I'll go with you!\Okay, let's go!\Hey!\I'm not letting go!\Oh, what the hell. response:	Senketsu, grin and bear it for a while.
context: Nowhere special.\Oh, just tooling around, huh?\I'll go with you!\Okay, let's go!\Hey!\I'm not letting go!\Oh, what the hell.\Senketsu, grin and bear it for a while. response:	C-Can't breathe...
context: Oh, just tooling around, huh?\I'll go with you!\Okay, let's go!\Hey!\I'm not letting go!\Oh, what the hell.\Senketsu, grin and bear it for a while.\C-Can't breathe... response:	Aren't you gonna fight in the election?
context: I'll go with you!\Okay, let's go!\Hey!\I'm not letting go!\Oh, what the hell.\Senketsu, grin and bear it for a while.\C-Can't breathe...\Aren't you gonna fight in the election? response:	Nah, I'm a No-Star. I don't have anything to lose.
context: Okay, let's go!\Hey!\I'm not letting go!\Oh, what the hell.\Senketsu, grin and bear it for a while.\C-Can't breathe...\Aren't you gonna fight in the election?\Nah, I'm a No-Star. I don't have anything to lose. response:	Rather, I'm happy'cause it's like a one week vacation!
context: Hey!\I'm not letting go!\Oh, what the hell.\Senketsu, grin and bear it for a while.\C-Can't breathe...\Aren't you gonna fight in the election?\Nah, I'm a No-Star. I don't have anything to lose.\Rather, I'm happy'cause it's like a one week vacation! response:	You have a point.
context: I'm not letting go!\Oh, what the hell.\Senketsu, grin and bear it for a while.\C-Can't breathe...\Aren't you gonna fight in the election?\Nah, I'm a No-Star. I don't have anything to lose.\Rather, I'm happy'cause it's like a one week vacation!\You have a point. response:	We'll be outside cheering you on in the Sudden Death Runoff,
context: Oh, what the hell.\Senketsu, grin and bear it for a while.\C-Can't breathe...\Aren't you gonna fight in the election?\Nah, I'm a No-Star. I don't have anything to lose.\Rather, I'm happy'cause it's like a one week vacation!\You have a point.\We'll be outside cheering you on in the Sudden Death Runoff, response:	so fight hard, okay?
context: Senketsu, grin and bear it for a while.\C-Can't breathe...\Aren't you gonna fight in the election?\Nah, I'm a No-Star. I don't have anything to lose.\Rather, I'm happy'cause it's like a one week vacation!\You have a point.\We'll be outside cheering you on in the Sudden Death Runoff,\so fight hard, okay? response:	Will do!
context: C-Can't breathe...\Aren't you gonna fight in the election?\Nah, I'm a No-Star. I don't have anything to lose.\Rather, I'm happy'cause it's like a one week vacation!\You have a point.\We'll be outside cheering you on in the Sudden Death Runoff,\so fight hard, okay?\Will do! response:	ISSHIN RYUKO MATOI
context: Aren't you gonna fight in the election?\Nah, I'm a No-Star. I don't have anything to lose.\Rather, I'm happy'cause it's like a one week vacation!\You have a point.\We'll be outside cheering you on in the Sudden Death Runoff,\so fight hard, okay?\Will do!\ISSHIN RYUKO MATOI response:	Is this
context: Nah, I'm a No-Star. I don't have anything to lose.\Rather, I'm happy'cause it's like a one week vacation!\You have a point.\We'll be outside cheering you on in the Sudden Death Runoff,\so fight hard, okay?\Will do!\ISSHIN RYUKO MATOI\Is this response:	My family's house.
context: Rather, I'm happy'cause it's like a one week vacation!\You have a point.\We'll be outside cheering you on in the Sudden Death Runoff,\so fight hard, okay?\Will do!\ISSHIN RYUKO MATOI\Is this\My family's house. response:	A wreck like this?
context: You have a point.\We'll be outside cheering you on in the Sudden Death Runoff,\so fight hard, okay?\Will do!\ISSHIN RYUKO MATOI\Is this\My family's house.\A wreck like this? response:	Wow, so you were poor, too!
context: We'll be outside cheering you on in the Sudden Death Runoff,\so fight hard, okay?\Will do!\ISSHIN RYUKO MATOI\Is this\My family's house.\A wreck like this?\Wow, so you were poor, too! response:	I wasn't living in these burnt-out ruins.
context: so fight hard, okay?\Will do!\ISSHIN RYUKO MATOI\Is this\My family's house.\A wreck like this?\Wow, so you were poor, too!\I wasn't living in these burnt-out ruins. response:	It was a regular mansion, but it burned down.
context: Will do!\ISSHIN RYUKO MATOI\Is this\My family's house.\A wreck like this?\Wow, so you were poor, too!\I wasn't living in these burnt-out ruins.\It was a regular mansion, but it burned down. response:	Oh, it was?
context: ISSHIN RYUKO MATOI\Is this\My family's house.\A wreck like this?\Wow, so you were poor, too!\I wasn't living in these burnt-out ruins.\It was a regular mansion, but it burned down.\Oh, it was? response:	Wait, does that mean you're a rich girl?!
context: Is this\My family's house.\A wreck like this?\Wow, so you were poor, too!\I wasn't living in these burnt-out ruins.\It was a regular mansion, but it burned down.\Oh, it was?\Wait, does that mean you're a rich girl?! response:	No, of course not.
context: My family's house.\A wreck like this?\Wow, so you were poor, too!\I wasn't living in these burnt-out ruins.\It was a regular mansion, but it burned down.\Oh, it was?\Wait, does that mean you're a rich girl?!\No, of course not. response:	My mom died right after I was born,
context: A wreck like this?\Wow, so you were poor, too!\I wasn't living in these burnt-out ruins.\It was a regular mansion, but it burned down.\Oh, it was?\Wait, does that mean you're a rich girl?!\No, of course not.\My mom died right after I was born, response:	and my dad was a scientist who only had time for his research.
context: Wow, so you were poor, too!\I wasn't living in these burnt-out ruins.\It was a regular mansion, but it burned down.\Oh, it was?\Wait, does that mean you're a rich girl?!\No, of course not.\My mom died right after I was born,\and my dad was a scientist who only had time for his research. response:	We never got along, so I started living
context: I wasn't living in these burnt-out ruins.\It was a regular mansion, but it burned down.\Oh, it was?\Wait, does that mean you're a rich girl?!\No, of course not.\My mom died right after I was born,\and my dad was a scientist who only had time for his research.\We never got along, so I started living response:	in the dorms in grade school.
context: It was a regular mansion, but it burned down.\Oh, it was?\Wait, does that mean you're a rich girl?!\No, of course not.\My mom died right after I was born,\and my dad was a scientist who only had time for his research.\We never got along, so I started living\in the dorms in grade school. response:	OX ELEMENTARY SCHOOL
context: Oh, it was?\Wait, does that mean you're a rich girl?!\No, of course not.\My mom died right after I was born,\and my dad was a scientist who only had time for his research.\We never got along, so I started living\in the dorms in grade school.\OX ELEMENTARY SCHOOL response:	I started to turn bad and fight all the time.
context: Wait, does that mean you're a rich girl?!\No, of course not.\My mom died right after I was born,\and my dad was a scientist who only had time for his research.\We never got along, so I started living\in the dorms in grade school.\OX ELEMENTARY SCHOOL\I started to turn bad and fight all the time. response:	By my first year of high school, I was a full-blown juvenile delinquent.
context: No, of course not.\My mom died right after I was born,\and my dad was a scientist who only had time for his research.\We never got along, so I started living\in the dorms in grade school.\OX ELEMENTARY SCHOOL\I started to turn bad and fight all the time.\By my first year of high school, I was a full-blown juvenile delinquent. response:	And then, six months ago,
