context: Once the festival's over, Shiina will... response:	Message Received
context: For a long time, I compared myself to Shiina,\and got depressed over it...\But if it wasn't for that,\I would never have confronted my own feelings.\That's right.\If Shiina returns to England, I...\We have to make Nyapollon one of our best memories...\Mashiro, I... response:	It ends like this again, huh?
context: and got depressed over it...\But if it wasn't for that,\I would never have confronted my own feelings.\That's right.\If Shiina returns to England, I...\We have to make Nyapollon one of our best memories...\Mashiro, I...\It ends like this again, huh? response:	One of our best memories, you say?
context: But if it wasn't for that,\I would never have confronted my own feelings.\That's right.\If Shiina returns to England, I...\We have to make Nyapollon one of our best memories...\Mashiro, I...\It ends like this again, huh?\One of our best memories, you say? response:	What?! We attracted this many people?!
context: I would never have confronted my own feelings.\That's right.\If Shiina returns to England, I...\We have to make Nyapollon one of our best memories...\Mashiro, I...\It ends like this again, huh?\One of our best memories, you say?\What?! We attracted this many people?! response:	It's only natural considering the talent of the development team.
context: That's right.\If Shiina returns to England, I...\We have to make Nyapollon one of our best memories...\Mashiro, I...\It ends like this again, huh?\One of our best memories, you say?\What?! We attracted this many people?!\It's only natural considering the talent of the development team. response:	Is it your place to say that?
context: If Shiina returns to England, I...\We have to make Nyapollon one of our best memories...\Mashiro, I...\It ends like this again, huh?\One of our best memories, you say?\What?! We attracted this many people?!\It's only natural considering the talent of the development team.\Is it your place to say that? response:	It looks like you've got quite a crowd.
context: We have to make Nyapollon one of our best memories...\Mashiro, I...\It ends like this again, huh?\One of our best memories, you say?\What?! We attracted this many people?!\It's only natural considering the talent of the development team.\Is it your place to say that?\It looks like you've got quite a crowd. response:	Oh, Student Council President...
context: Mashiro, I...\It ends like this again, huh?\One of our best memories, you say?\What?! We attracted this many people?!\It's only natural considering the talent of the development team.\Is it your place to say that?\It looks like you've got quite a crowd.\Oh, Student Council President... response:	It would be unfortunate if you failed to live up to their expectations.
context: It ends like this again, huh?\One of our best memories, you say?\What?! We attracted this many people?!\It's only natural considering the talent of the development team.\Is it your place to say that?\It looks like you've got quite a crowd.\Oh, Student Council President...\It would be unfortunate if you failed to live up to their expectations. response:	After all, this is an exception...
context: One of our best memories, you say?\What?! We attracted this many people?!\It's only natural considering the talent of the development team.\Is it your place to say that?\It looks like you've got quite a crowd.\Oh, Student Council President...\It would be unfortunate if you failed to live up to their expectations.\After all, this is an exception... response:	Those of you who couldn't get into the theater room,
context: What?! We attracted this many people?!\It's only natural considering the talent of the development team.\Is it your place to say that?\It looks like you've got quite a crowd.\Oh, Student Council President...\It would be unfortunate if you failed to live up to their expectations.\After all, this is an exception...\Those of you who couldn't get into the theater room, response:	please follow the directions of this guy...
context: It's only natural considering the talent of the development team.\Is it your place to say that?\It looks like you've got quite a crowd.\Oh, Student Council President...\It would be unfortunate if you failed to live up to their expectations.\After all, this is an exception...\Those of you who couldn't get into the theater room,\please follow the directions of this guy... response:	with the Student Council armband!
context: Is it your place to say that?\It looks like you've got quite a crowd.\Oh, Student Council President...\It would be unfortunate if you failed to live up to their expectations.\After all, this is an exception...\Those of you who couldn't get into the theater room,\please follow the directions of this guy...\with the Student Council armband! response:	What?! Mitaka!
context: It looks like you've got quite a crowd.\Oh, Student Council President...\It would be unfortunate if you failed to live up to their expectations.\After all, this is an exception...\Those of you who couldn't get into the theater room,\please follow the directions of this guy...\with the Student Council armband!\What?! Mitaka! response:	Why me?!
context: Oh, Student Council President...\It would be unfortunate if you failed to live up to their expectations.\After all, this is an exception...\Those of you who couldn't get into the theater room,\please follow the directions of this guy...\with the Student Council armband!\What?! Mitaka!\Why me?! response:	Stop pushing! Form a line!
context: It would be unfortunate if you failed to live up to their expectations.\After all, this is an exception...\Those of you who couldn't get into the theater room,\please follow the directions of this guy...\with the Student Council armband!\What?! Mitaka!\Why me?!\Stop pushing! Form a line! response:	Jin-san, you're evil.
context: After all, this is an exception...\Those of you who couldn't get into the theater room,\please follow the directions of this guy...\with the Student Council armband!\What?! Mitaka!\Why me?!\Stop pushing! Form a line!\Jin-san, you're evil. response:	Isn't ensuring that the festival runs smoothly...
context: Those of you who couldn't get into the theater room,\please follow the directions of this guy...\with the Student Council armband!\What?! Mitaka!\Why me?!\Stop pushing! Form a line!\Jin-san, you're evil.\Isn't ensuring that the festival runs smoothly... response:	the responsibility of the Student Council?
context: please follow the directions of this guy...\with the Student Council armband!\What?! Mitaka!\Why me?!\Stop pushing! Form a line!\Jin-san, you're evil.\Isn't ensuring that the festival runs smoothly...\the responsibility of the Student Council? response:	I have a feeling I understand why...
context: with the Student Council armband!\What?! Mitaka!\Why me?!\Stop pushing! Form a line!\Jin-san, you're evil.\Isn't ensuring that the festival runs smoothly...\the responsibility of the Student Council?\I have a feeling I understand why... response:	the Student Council President looks at you the way he does.
context: What?! Mitaka!\Why me?!\Stop pushing! Form a line!\Jin-san, you're evil.\Isn't ensuring that the festival runs smoothly...\the responsibility of the Student Council?\I have a feeling I understand why...\the Student Council President looks at you the way he does. response:	I'm not exactly thrilled to have guys fall for me.
context: Why me?!\Stop pushing! Form a line!\Jin-san, you're evil.\Isn't ensuring that the festival runs smoothly...\the responsibility of the Student Council?\I have a feeling I understand why...\the Student Council President looks at you the way he does.\I'm not exactly thrilled to have guys fall for me. response:	He hates you with every fiber of his being!
context: Stop pushing! Form a line!\Jin-san, you're evil.\Isn't ensuring that the festival runs smoothly...\the responsibility of the Student Council?\I have a feeling I understand why...\the Student Council President looks at you the way he does.\I'm not exactly thrilled to have guys fall for me.\He hates you with every fiber of his being! response:	Okay, okay, member of staff coming through.
context: Jin-san, you're evil.\Isn't ensuring that the festival runs smoothly...\the responsibility of the Student Council?\I have a feeling I understand why...\the Student Council President looks at you the way he does.\I'm not exactly thrilled to have guys fall for me.\He hates you with every fiber of his being!\Okay, okay, member of staff coming through. response:	What's this?
context: Isn't ensuring that the festival runs smoothly...\the responsibility of the Student Council?\I have a feeling I understand why...\the Student Council President looks at you the way he does.\I'm not exactly thrilled to have guys fall for me.\He hates you with every fiber of his being!\Okay, okay, member of staff coming through.\What's this? response:	Maybe it's used for synchronization controls.
context: the responsibility of the Student Council?\I have a feeling I understand why...\the Student Council President looks at you the way he does.\I'm not exactly thrilled to have guys fall for me.\He hates you with every fiber of his being!\Okay, okay, member of staff coming through.\What's this?\Maybe it's used for synchronization controls. response:	It's good to see you again.
context: I have a feeling I understand why...\the Student Council President looks at you the way he does.\I'm not exactly thrilled to have guys fall for me.\He hates you with every fiber of his being!\Okay, okay, member of staff coming through.\What's this?\Maybe it's used for synchronization controls.\It's good to see you again. response:	Wh-What are you doing here?
context: the Student Council President looks at you the way he does.\I'm not exactly thrilled to have guys fall for me.\He hates you with every fiber of his being!\Okay, okay, member of staff coming through.\What's this?\Maybe it's used for synchronization controls.\It's good to see you again.\Wh-What are you doing here? response:	Why am I here? I just came to see...
context: I'm not exactly thrilled to have guys fall for me.\He hates you with every fiber of his being!\Okay, okay, member of staff coming through.\What's this?\Maybe it's used for synchronization controls.\It's good to see you again.\Wh-What are you doing here?\Why am I here? I just came to see... response:	the fruits of my Sakura Hall kouhai's labors.
context: He hates you with every fiber of his being!\Okay, okay, member of staff coming through.\What's this?\Maybe it's used for synchronization controls.\It's good to see you again.\Wh-What are you doing here?\Why am I here? I just came to see...\the fruits of my Sakura Hall kouhai's labors. response:	Nekosuke-san!
context: Okay, okay, member of staff coming through.\What's this?\Maybe it's used for synchronization controls.\It's good to see you again.\Wh-What are you doing here?\Why am I here? I just came to see...\the fruits of my Sakura Hall kouhai's labors.\Nekosuke-san! response:	Oh, crap. My heart's going to jump out of my mouth.
context: What's this?\Maybe it's used for synchronization controls.\It's good to see you again.\Wh-What are you doing here?\Why am I here? I just came to see...\the fruits of my Sakura Hall kouhai's labors.\Nekosuke-san!\Oh, crap. My heart's going to jump out of my mouth. response:	If that happens, I'll just cram it back down your throat.
context: Maybe it's used for synchronization controls.\It's good to see you again.\Wh-What are you doing here?\Why am I here? I just came to see...\the fruits of my Sakura Hall kouhai's labors.\Nekosuke-san!\Oh, crap. My heart's going to jump out of my mouth.\If that happens, I'll just cram it back down your throat. response:	Kanda-kun.
context: It's good to see you again.\Wh-What are you doing here?\Why am I here? I just came to see...\the fruits of my Sakura Hall kouhai's labors.\Nekosuke-san!\Oh, crap. My heart's going to jump out of my mouth.\If that happens, I'll just cram it back down your throat.\Kanda-kun. response:	Yeah.
context: Wh-What are you doing here?\Why am I here? I just came to see...\the fruits of my Sakura Hall kouhai's labors.\Nekosuke-san!\Oh, crap. My heart's going to jump out of my mouth.\If that happens, I'll just cram it back down your throat.\Kanda-kun.\Yeah. response:	This is what a cat girl should look like.
context: Why am I here? I just came to see...\the fruits of my Sakura Hall kouhai's labors.\Nekosuke-san!\Oh, crap. My heart's going to jump out of my mouth.\If that happens, I'll just cram it back down your throat.\Kanda-kun.\Yeah.\This is what a cat girl should look like. response:	It looks good on you.
context: the fruits of my Sakura Hall kouhai's labors.\Nekosuke-san!\Oh, crap. My heart's going to jump out of my mouth.\If that happens, I'll just cram it back down your throat.\Kanda-kun.\Yeah.\This is what a cat girl should look like.\It looks good on you. response:	You finally complimented me...
context: Nekosuke-san!\Oh, crap. My heart's going to jump out of my mouth.\If that happens, I'll just cram it back down your throat.\Kanda-kun.\Yeah.\This is what a cat girl should look like.\It looks good on you.\You finally complimented me... response:	Huh?
context: Oh, crap. My heart's going to jump out of my mouth.\If that happens, I'll just cram it back down your throat.\Kanda-kun.\Yeah.\This is what a cat girl should look like.\It looks good on you.\You finally complimented me...\Huh? response:	I've finished making adjustments to the equipment.
context: If that happens, I'll just cram it back down your throat.\Kanda-kun.\Yeah.\This is what a cat girl should look like.\It looks good on you.\You finally complimented me...\Huh?\I've finished making adjustments to the equipment. response:	The audience have taken their seats.
context: Kanda-kun.\Yeah.\This is what a cat girl should look like.\It looks good on you.\You finally complimented me...\Huh?\I've finished making adjustments to the equipment.\The audience have taken their seats. response:	Then, gather'round, everyone!
context: Yeah.\This is what a cat girl should look like.\It looks good on you.\You finally complimented me...\Huh?\I've finished making adjustments to the equipment.\The audience have taken their seats.\Then, gather'round, everyone! response:	Gather'round, friends!
context: This is what a cat girl should look like.\It looks good on you.\You finally complimented me...\Huh?\I've finished making adjustments to the equipment.\The audience have taken their seats.\Then, gather'round, everyone!\Gather'round, friends! response:	We're already all here.
context: It looks good on you.\You finally complimented me...\Huh?\I've finished making adjustments to the equipment.\The audience have taken their seats.\Then, gather'round, everyone!\Gather'round, friends!\We're already all here. response:	Okay, kouhai-kun has some wonderful words for us!
context: You finally complimented me...\Huh?\I've finished making adjustments to the equipment.\The audience have taken their seats.\Then, gather'round, everyone!\Gather'round, friends!\We're already all here.\Okay, kouhai-kun has some wonderful words for us! response:	What? I do?!
context: Huh?\I've finished making adjustments to the equipment.\The audience have taken their seats.\Then, gather'round, everyone!\Gather'round, friends!\We're already all here.\Okay, kouhai-kun has some wonderful words for us!\What? I do?! response:	You're the director. Of course you do.
context: I've finished making adjustments to the equipment.\The audience have taken their seats.\Then, gather'round, everyone!\Gather'round, friends!\We're already all here.\Okay, kouhai-kun has some wonderful words for us!\What? I do?!\You're the director. Of course you do. response:	I adjusted the balance to your preferences.
context: The audience have taken their seats.\Then, gather'round, everyone!\Gather'round, friends!\We're already all here.\Okay, kouhai-kun has some wonderful words for us!\What? I do?!\You're the director. Of course you do.\I adjusted the balance to your preferences. response:	If they say it sucks, it'll be all your fault.
context: Then, gather'round, everyone!\Gather'round, friends!\We're already all here.\Okay, kouhai-kun has some wonderful words for us!\What? I do?!\You're the director. Of course you do.\I adjusted the balance to your preferences.\If they say it sucks, it'll be all your fault. response:	Did you have to say that now?
context: Gather'round, friends!\We're already all here.\Okay, kouhai-kun has some wonderful words for us!\What? I do?!\You're the director. Of course you do.\I adjusted the balance to your preferences.\If they say it sucks, it'll be all your fault.\Did you have to say that now? response:	Ignore him. Come on, Kanda-kun.
context: We're already all here.\Okay, kouhai-kun has some wonderful words for us!\What? I do?!\You're the director. Of course you do.\I adjusted the balance to your preferences.\If they say it sucks, it'll be all your fault.\Did you have to say that now?\Ignore him. Come on, Kanda-kun. response:	Let's enjoy ourselves for the next thirty minutes!
context: Okay, kouhai-kun has some wonderful words for us!\What? I do?!\You're the director. Of course you do.\I adjusted the balance to your preferences.\If they say it sucks, it'll be all your fault.\Did you have to say that now?\Ignore him. Come on, Kanda-kun.\Let's enjoy ourselves for the next thirty minutes! response:	What?
context: What? I do?!\You're the director. Of course you do.\I adjusted the balance to your preferences.\If they say it sucks, it'll be all your fault.\Did you have to say that now?\Ignore him. Come on, Kanda-kun.\Let's enjoy ourselves for the next thirty minutes!\What? response:	Enjoy ourselves? What are you...
context: You're the director. Of course you do.\I adjusted the balance to your preferences.\If they say it sucks, it'll be all your fault.\Did you have to say that now?\Ignore him. Come on, Kanda-kun.\Let's enjoy ourselves for the next thirty minutes!\What?\Enjoy ourselves? What are you... response:	I'll have fun.
context: I adjusted the balance to your preferences.\If they say it sucks, it'll be all your fault.\Did you have to say that now?\Ignore him. Come on, Kanda-kun.\Let's enjoy ourselves for the next thirty minutes!\What?\Enjoy ourselves? What are you...\I'll have fun. response:	Right.
context: If they say it sucks, it'll be all your fault.\Did you have to say that now?\Ignore him. Come on, Kanda-kun.\Let's enjoy ourselves for the next thirty minutes!\What?\Enjoy ourselves? What are you...\I'll have fun.\Right. response:	All right!
context: Did you have to say that now?\Ignore him. Come on, Kanda-kun.\Let's enjoy ourselves for the next thirty minutes!\What?\Enjoy ourselves? What are you...\I'll have fun.\Right.\All right! response:	Let's have some fun!
context: Ignore him. Come on, Kanda-kun.\Let's enjoy ourselves for the next thirty minutes!\What?\Enjoy ourselves? What are you...\I'll have fun.\Right.\All right!\Let's have some fun! response:	Yeah!
context: Let's enjoy ourselves for the next thirty minutes!\What?\Enjoy ourselves? What are you...\I'll have fun.\Right.\All right!\Let's have some fun!\Yeah! response:	Milky Way Cat, Nyapollon!
context: What?\Enjoy ourselves? What are you...\I'll have fun.\Right.\All right!\Let's have some fun!\Yeah!\Milky Way Cat, Nyapollon! response:	Milky Way Cat, Nyapollon
context: Enjoy ourselves? What are you...\I'll have fun.\Right.\All right!\Let's have some fun!\Yeah!\Milky Way Cat, Nyapollon!\Milky Way Cat, Nyapollon response:	This is the story of the love and courage...
context: I'll have fun.\Right.\All right!\Let's have some fun!\Yeah!\Milky Way Cat, Nyapollon!\Milky Way Cat, Nyapollon\This is the story of the love and courage... response:	of the people who confronted the invaders...
context: Right.\All right!\Let's have some fun!\Yeah!\Milky Way Cat, Nyapollon!\Milky Way Cat, Nyapollon\This is the story of the love and courage...\of the people who confronted the invaders... response:	from the planet Nyangoro to protect mankind and Earth!
context: All right!\Let's have some fun!\Yeah!\Milky Way Cat, Nyapollon!\Milky Way Cat, Nyapollon\This is the story of the love and courage...\of the people who confronted the invaders...\from the planet Nyangoro to protect mankind and Earth! response:	Amazing...
context: Let's have some fun!\Yeah!\Milky Way Cat, Nyapollon!\Milky Way Cat, Nyapollon\This is the story of the love and courage...\of the people who confronted the invaders...\from the planet Nyangoro to protect mankind and Earth!\Amazing... response:	Sakura Hall's crazy...
context: Yeah!\Milky Way Cat, Nyapollon!\Milky Way Cat, Nyapollon\This is the story of the love and courage...\of the people who confronted the invaders...\from the planet Nyangoro to protect mankind and Earth!\Amazing...\Sakura Hall's crazy... response:	Nekoko here!
context: Milky Way Cat, Nyapollon!\Milky Way Cat, Nyapollon\This is the story of the love and courage...\of the people who confronted the invaders...\from the planet Nyangoro to protect mankind and Earth!\Amazing...\Sakura Hall's crazy...\Nekoko here! response:	We've just arrived at the rendezvous point!
context: Milky Way Cat, Nyapollon\This is the story of the love and courage...\of the people who confronted the invaders...\from the planet Nyangoro to protect mankind and Earth!\Amazing...\Sakura Hall's crazy...\Nekoko here!\We've just arrived at the rendezvous point! response:	You're Nyapollon's pilots, right?
context: This is the story of the love and courage...\of the people who confronted the invaders...\from the planet Nyangoro to protect mankind and Earth!\Amazing...\Sakura Hall's crazy...\Nekoko here!\We've just arrived at the rendezvous point!\You're Nyapollon's pilots, right? response:	You'll be piloting the armed cat robot Nyapollon with me.
context: of the people who confronted the invaders...\from the planet Nyangoro to protect mankind and Earth!\Amazing...\Sakura Hall's crazy...\Nekoko here!\We've just arrived at the rendezvous point!\You're Nyapollon's pilots, right?\You'll be piloting the armed cat robot Nyapollon with me. response:	Come!
context: from the planet Nyangoro to protect mankind and Earth!\Amazing...\Sakura Hall's crazy...\Nekoko here!\We've just arrived at the rendezvous point!\You're Nyapollon's pilots, right?\You'll be piloting the armed cat robot Nyapollon with me.\Come! response:	Pick up the glow sticks that were on your seats!
context: Amazing...\Sakura Hall's crazy...\Nekoko here!\We've just arrived at the rendezvous point!\You're Nyapollon's pilots, right?\You'll be piloting the armed cat robot Nyapollon with me.\Come!\Pick up the glow sticks that were on your seats! response:	When piloting Nyapollon, an icon will appear on screen.
context: Sakura Hall's crazy...\Nekoko here!\We've just arrived at the rendezvous point!\You're Nyapollon's pilots, right?\You'll be piloting the armed cat robot Nyapollon with me.\Come!\Pick up the glow sticks that were on your seats!\When piloting Nyapollon, an icon will appear on screen. response:	Move according to the instructions.
context: Nekoko here!\We've just arrived at the rendezvous point!\You're Nyapollon's pilots, right?\You'll be piloting the armed cat robot Nyapollon with me.\Come!\Pick up the glow sticks that were on your seats!\When piloting Nyapollon, an icon will appear on screen.\Move according to the instructions. response:	Raise your right hand.
context: We've just arrived at the rendezvous point!\You're Nyapollon's pilots, right?\You'll be piloting the armed cat robot Nyapollon with me.\Come!\Pick up the glow sticks that were on your seats!\When piloting Nyapollon, an icon will appear on screen.\Move according to the instructions.\Raise your right hand. response:	Raise your right hand!
context: You're Nyapollon's pilots, right?\You'll be piloting the armed cat robot Nyapollon with me.\Come!\Pick up the glow sticks that were on your seats!\When piloting Nyapollon, an icon will appear on screen.\Move according to the instructions.\Raise your right hand.\Raise your right hand! response:	Ready and...
context: You'll be piloting the armed cat robot Nyapollon with me.\Come!\Pick up the glow sticks that were on your seats!\When piloting Nyapollon, an icon will appear on screen.\Move according to the instructions.\Raise your right hand.\Raise your right hand!\Ready and... response:	That's it!
context: Come!\Pick up the glow sticks that were on your seats!\When piloting Nyapollon, an icon will appear on screen.\Move according to the instructions.\Raise your right hand.\Raise your right hand!\Ready and...\That's it! response:	Now, let's move out to the galactic battlefield!
context: Pick up the glow sticks that were on your seats!\When piloting Nyapollon, an icon will appear on screen.\Move according to the instructions.\Raise your right hand.\Raise your right hand!\Ready and...\That's it!\Now, let's move out to the galactic battlefield! response:	That's it, Aoyama. Stay calm.
context: When piloting Nyapollon, an icon will appear on screen.\Move according to the instructions.\Raise your right hand.\Raise your right hand!\Ready and...\That's it!\Now, let's move out to the galactic battlefield!\That's it, Aoyama. Stay calm. response:	The alien monsters who landed on Earth are 5,000 meters long!
context: Move according to the instructions.\Raise your right hand.\Raise your right hand!\Ready and...\That's it!\Now, let's move out to the galactic battlefield!\That's it, Aoyama. Stay calm.\The alien monsters who landed on Earth are 5,000 meters long! response:	Aoyama plays the part of heroine, Nekoko,
context: Raise your right hand.\Raise your right hand!\Ready and...\That's it!\Now, let's move out to the galactic battlefield!\That's it, Aoyama. Stay calm.\The alien monsters who landed on Earth are 5,000 meters long!\Aoyama plays the part of heroine, Nekoko, response:	They destroyed the entire UN peacekeeping force with one blow!
context: Raise your right hand!\Ready and...\That's it!\Now, let's move out to the galactic battlefield!\That's it, Aoyama. Stay calm.\The alien monsters who landed on Earth are 5,000 meters long!\Aoyama plays the part of heroine, Nekoko,\They destroyed the entire UN peacekeeping force with one blow! response:	onstage and keeps the crowd excited.
context: Ready and...\That's it!\Now, let's move out to the galactic battlefield!\That's it, Aoyama. Stay calm.\The alien monsters who landed on Earth are 5,000 meters long!\Aoyama plays the part of heroine, Nekoko,\They destroyed the entire UN peacekeeping force with one blow!\onstage and keeps the crowd excited. response:	Don't be ridiculous!
context: That's it!\Now, let's move out to the galactic battlefield!\That's it, Aoyama. Stay calm.\The alien monsters who landed on Earth are 5,000 meters long!\Aoyama plays the part of heroine, Nekoko,\They destroyed the entire UN peacekeeping force with one blow!\onstage and keeps the crowd excited.\Don't be ridiculous! response:	Aoyama is a storyteller, a performer, and the game's guide.
context: Now, let's move out to the galactic battlefield!\That's it, Aoyama. Stay calm.\The alien monsters who landed on Earth are 5,000 meters long!\Aoyama plays the part of heroine, Nekoko,\They destroyed the entire UN peacekeeping force with one blow!\onstage and keeps the crowd excited.\Don't be ridiculous!\Aoyama is a storyteller, a performer, and the game's guide. response:	Quit meowing!
context: That's it, Aoyama. Stay calm.\The alien monsters who landed on Earth are 5,000 meters long!\Aoyama plays the part of heroine, Nekoko,\They destroyed the entire UN peacekeeping force with one blow!\onstage and keeps the crowd excited.\Don't be ridiculous!\Aoyama is a storyteller, a performer, and the game's guide.\Quit meowing! response:	The first synchronized command is coming up.
context: The alien monsters who landed on Earth are 5,000 meters long!\Aoyama plays the part of heroine, Nekoko,\They destroyed the entire UN peacekeeping force with one blow!\onstage and keeps the crowd excited.\Don't be ridiculous!\Aoyama is a storyteller, a performer, and the game's guide.\Quit meowing!\The first synchronized command is coming up. response:	Nyangoro aliens...
context: Aoyama plays the part of heroine, Nekoko,\They destroyed the entire UN peacekeeping force with one blow!\onstage and keeps the crowd excited.\Don't be ridiculous!\Aoyama is a storyteller, a performer, and the game's guide.\Quit meowing!\The first synchronized command is coming up.\Nyangoro aliens... response:	I'll send every last one of you to Hell!
context: They destroyed the entire UN peacekeeping force with one blow!\onstage and keeps the crowd excited.\Don't be ridiculous!\Aoyama is a storyteller, a performer, and the game's guide.\Quit meowing!\The first synchronized command is coming up.\Nyangoro aliens...\I'll send every last one of you to Hell! response:	Raise both hands.
context: onstage and keeps the crowd excited.\Don't be ridiculous!\Aoyama is a storyteller, a performer, and the game's guide.\Quit meowing!\The first synchronized command is coming up.\Nyangoro aliens...\I'll send every last one of you to Hell!\Raise both hands. response:	Let's go, everyone!
context: Don't be ridiculous!\Aoyama is a storyteller, a performer, and the game's guide.\Quit meowing!\The first synchronized command is coming up.\Nyangoro aliens...\I'll send every last one of you to Hell!\Raise both hands.\Let's go, everyone! response:	Ready and...
context: Aoyama is a storyteller, a performer, and the game's guide.\Quit meowing!\The first synchronized command is coming up.\Nyangoro aliens...\I'll send every last one of you to Hell!\Raise both hands.\Let's go, everyone!\Ready and... response:	All right! It's a success!
context: Quit meowing!\The first synchronized command is coming up.\Nyangoro aliens...\I'll send every last one of you to Hell!\Raise both hands.\Let's go, everyone!\Ready and...\All right! It's a success! response:	The alien behind this invasion of Earth is...
context: The first synchronized command is coming up.\Nyangoro aliens...\I'll send every last one of you to Hell!\Raise both hands.\Let's go, everyone!\Ready and...\All right! It's a success!\The alien behind this invasion of Earth is... response:	Nyangoro's commander, Ein the Hunchback.
context: Nyangoro aliens...\I'll send every last one of you to Hell!\Raise both hands.\Let's go, everyone!\Ready and...\All right! It's a success!\The alien behind this invasion of Earth is...\Nyangoro's commander, Ein the Hunchback. response:	In the past, Ein killed Nekoko's lover, Nekosuke.
context: I'll send every last one of you to Hell!\Raise both hands.\Let's go, everyone!\Ready and...\All right! It's a success!\The alien behind this invasion of Earth is...\Nyangoro's commander, Ein the Hunchback.\In the past, Ein killed Nekoko's lover, Nekosuke. response:	Nekosuke-san!
context: Raise both hands.\Let's go, everyone!\Ready and...\All right! It's a success!\The alien behind this invasion of Earth is...\Nyangoro's commander, Ein the Hunchback.\In the past, Ein killed Nekoko's lover, Nekosuke.\Nekosuke-san! response:	Nekosuke-san...
context: Let's go, everyone!\Ready and...\All right! It's a success!\The alien behind this invasion of Earth is...\Nyangoro's commander, Ein the Hunchback.\In the past, Ein killed Nekoko's lover, Nekosuke.\Nekosuke-san!\Nekosuke-san... response:	A world without you holds no meaning...
