context: Hey, Sakura! You're an early riser today, eh? response:	Because today starts a new semester.
context: No. I'm alright!\Thank goodness.\I thought you caught a cold from falling in the water.\Tomoyo-chan!\I'm okay, but Li-kun's'\Ni Hao!\SHAO LAN! I missed you so much!\Mei-Lin! response:	Why're you here?
context: Thank goodness.\I thought you caught a cold from falling in the water.\Tomoyo-chan!\I'm okay, but Li-kun's'\Ni Hao!\SHAO LAN! I missed you so much!\Mei-Lin!\Why're you here? response:	But who is that girl?
context: I thought you caught a cold from falling in the water.\Tomoyo-chan!\I'm okay, but Li-kun's'\Ni Hao!\SHAO LAN! I missed you so much!\Mei-Lin!\Why're you here?\But who is that girl? response:	Who knows?
context: Tomoyo-chan!\I'm okay, but Li-kun's'\Ni Hao!\SHAO LAN! I missed you so much!\Mei-Lin!\Why're you here?\But who is that girl?\Who knows? response:	Sakura-san! Lunch is ready.
context: I'm okay, but Li-kun's'\Ni Hao!\SHAO LAN! I missed you so much!\Mei-Lin!\Why're you here?\But who is that girl?\Who knows?\Sakura-san! Lunch is ready. response:	Okay!
context: Ni Hao!\SHAO LAN! I missed you so much!\Mei-Lin!\Why're you here?\But who is that girl?\Who knows?\Sakura-san! Lunch is ready.\Okay! response:	Well then, I'm off.
context: SHAO LAN! I missed you so much!\Mei-Lin!\Why're you here?\But who is that girl?\Who knows?\Sakura-san! Lunch is ready.\Okay!\Well then, I'm off. response:	Hey! Hey! Weren't you going to take this too?
context: Mei-Lin!\Why're you here?\But who is that girl?\Who knows?\Sakura-san! Lunch is ready.\Okay!\Well then, I'm off.\Hey! Hey! Weren't you going to take this too? response:	Oh, that's right!
context: Why're you here?\But who is that girl?\Who knows?\Sakura-san! Lunch is ready.\Okay!\Well then, I'm off.\Hey! Hey! Weren't you going to take this too?\Oh, that's right! response:	Thank you, Kero-chan.
context: But who is that girl?\Who knows?\Sakura-san! Lunch is ready.\Okay!\Well then, I'm off.\Hey! Hey! Weren't you going to take this too?\Oh, that's right!\Thank you, Kero-chan. response:	My, oh my'
context: Who knows?\Sakura-san! Lunch is ready.\Okay!\Well then, I'm off.\Hey! Hey! Weren't you going to take this too?\Oh, that's right!\Thank you, Kero-chan.\My, oh my' response:	You're early.
context: Sakura-san! Lunch is ready.\Okay!\Well then, I'm off.\Hey! Hey! Weren't you going to take this too?\Oh, that's right!\Thank you, Kero-chan.\My, oh my'\You're early. response:	Ahem!
context: Okay!\Well then, I'm off.\Hey! Hey! Weren't you going to take this too?\Oh, that's right!\Thank you, Kero-chan.\My, oh my'\You're early.\Ahem! response:	Is it going to rain today?
context: Well then, I'm off.\Hey! Hey! Weren't you going to take this too?\Oh, that's right!\Thank you, Kero-chan.\My, oh my'\You're early.\Ahem!\Is it going to rain today? response:	What did you say?
context: Hey! Hey! Weren't you going to take this too?\Oh, that's right!\Thank you, Kero-chan.\My, oh my'\You're early.\Ahem!\Is it going to rain today?\What did you say? response:	Neither of you has club today, right?
context: Oh, that's right!\Thank you, Kero-chan.\My, oh my'\You're early.\Ahem!\Is it going to rain today?\What did you say?\Neither of you has club today, right? response:	Yeah.
context: Thank you, Kero-chan.\My, oh my'\You're early.\Ahem!\Is it going to rain today?\What did you say?\Neither of you has club today, right?\Yeah. response:	I'm early today too,
context: My, oh my'\You're early.\Ahem!\Is it going to rain today?\What did you say?\Neither of you has club today, right?\Yeah.\I'm early today too, response:	so I'll make a feast for dinner, okay?
context: You're early.\Ahem!\Is it going to rain today?\What did you say?\Neither of you has club today, right?\Yeah.\I'm early today too,\so I'll make a feast for dinner, okay? response:	Feast?
context: Ahem!\Is it going to rain today?\What did you say?\Neither of you has club today, right?\Yeah.\I'm early today too,\so I'll make a feast for dinner, okay?\Feast? response:	Seems like you're having fun.
context: Is it going to rain today?\What did you say?\Neither of you has club today, right?\Yeah.\I'm early today too,\so I'll make a feast for dinner, okay?\Feast?\Seems like you're having fun. response:	Is' is that so?
context: What did you say?\Neither of you has club today, right?\Yeah.\I'm early today too,\so I'll make a feast for dinner, okay?\Feast?\Seems like you're having fun.\Is' is that so? response:	It's because today's dinner's going to be a feast.
context: Neither of you has club today, right?\Yeah.\I'm early today too,\so I'll make a feast for dinner, okay?\Feast?\Seems like you're having fun.\Is' is that so?\It's because today's dinner's going to be a feast. response:	There's that, too.
context: Yeah.\I'm early today too,\so I'll make a feast for dinner, okay?\Feast?\Seems like you're having fun.\Is' is that so?\It's because today's dinner's going to be a feast.\There's that, too. response:	But' because I'm with Yukito-san, so'
context: I'm early today too,\so I'll make a feast for dinner, okay?\Feast?\Seems like you're having fun.\Is' is that so?\It's because today's dinner's going to be a feast.\There's that, too.\But' because I'm with Yukito-san, so' response:	So there's a feast at your house tonight, Sakura-chan?
context: so I'll make a feast for dinner, okay?\Feast?\Seems like you're having fun.\Is' is that so?\It's because today's dinner's going to be a feast.\There's that, too.\But' because I'm with Yukito-san, so'\So there's a feast at your house tonight, Sakura-chan? response:	Yes! Father said it's because he's coming home early today.
context: Feast?\Seems like you're having fun.\Is' is that so?\It's because today's dinner's going to be a feast.\There's that, too.\But' because I'm with Yukito-san, so'\So there's a feast at your house tonight, Sakura-chan?\Yes! Father said it's because he's coming home early today. response:	Lucky!
context: Seems like you're having fun.\Is' is that so?\It's because today's dinner's going to be a feast.\There's that, too.\But' because I'm with Yukito-san, so'\So there's a feast at your house tonight, Sakura-chan?\Yes! Father said it's because he's coming home early today.\Lucky! response:	Speaking of which,
context: Is' is that so?\It's because today's dinner's going to be a feast.\There's that, too.\But' because I'm with Yukito-san, so'\So there's a feast at your house tonight, Sakura-chan?\Yes! Father said it's because he's coming home early today.\Lucky!\Speaking of which, response:	Sakura, did you see yesterday's news?
context: It's because today's dinner's going to be a feast.\There's that, too.\But' because I'm with Yukito-san, so'\So there's a feast at your house tonight, Sakura-chan?\Yes! Father said it's because he's coming home early today.\Lucky!\Speaking of which,\Sakura, did you see yesterday's news? response:	What?
context: There's that, too.\But' because I'm with Yukito-san, so'\So there's a feast at your house tonight, Sakura-chan?\Yes! Father said it's because he's coming home early today.\Lucky!\Speaking of which,\Sakura, did you see yesterday's news?\What? response:	The one about the karate black belt
context: But' because I'm with Yukito-san, so'\So there's a feast at your house tonight, Sakura-chan?\Yes! Father said it's because he's coming home early today.\Lucky!\Speaking of which,\Sakura, did you see yesterday's news?\What?\The one about the karate black belt response:	that was walking the streets at night and got beaten to a pulp.
context: So there's a feast at your house tonight, Sakura-chan?\Yes! Father said it's because he's coming home early today.\Lucky!\Speaking of which,\Sakura, did you see yesterday's news?\What?\The one about the karate black belt\that was walking the streets at night and got beaten to a pulp. response:	I saw that! The story's that the opponent was a little girl, right?
context: Yes! Father said it's because he's coming home early today.\Lucky!\Speaking of which,\Sakura, did you see yesterday's news?\What?\The one about the karate black belt\that was walking the streets at night and got beaten to a pulp.\I saw that! The story's that the opponent was a little girl, right? response:	I didn't know.
context: Lucky!\Speaking of which,\Sakura, did you see yesterday's news?\What?\The one about the karate black belt\that was walking the streets at night and got beaten to a pulp.\I saw that! The story's that the opponent was a little girl, right?\I didn't know. response:	I thought for sure the suspect was you!
context: Speaking of which,\Sakura, did you see yesterday's news?\What?\The one about the karate black belt\that was walking the streets at night and got beaten to a pulp.\I saw that! The story's that the opponent was a little girl, right?\I didn't know.\I thought for sure the suspect was you! response:	'Cause you're a monster, and all'
context: Sakura, did you see yesterday's news?\What?\The one about the karate black belt\that was walking the streets at night and got beaten to a pulp.\I saw that! The story's that the opponent was a little girl, right?\I didn't know.\I thought for sure the suspect was you!\'Cause you're a monster, and all' response:	What did you say?
context: What?\The one about the karate black belt\that was walking the streets at night and got beaten to a pulp.\I saw that! The story's that the opponent was a little girl, right?\I didn't know.\I thought for sure the suspect was you!\'Cause you're a monster, and all'\What did you say? response:	Morning. Morning.
context: The one about the karate black belt\that was walking the streets at night and got beaten to a pulp.\I saw that! The story's that the opponent was a little girl, right?\I didn't know.\I thought for sure the suspect was you!\'Cause you're a monster, and all'\What did you say?\Morning. Morning. response:	Morning.
context: that was walking the streets at night and got beaten to a pulp.\I saw that! The story's that the opponent was a little girl, right?\I didn't know.\I thought for sure the suspect was you!\'Cause you're a monster, and all'\What did you say?\Morning. Morning.\Morning. response:	Morning, Tomoyo-chan.
context: I saw that! The story's that the opponent was a little girl, right?\I didn't know.\I thought for sure the suspect was you!\'Cause you're a monster, and all'\What did you say?\Morning. Morning.\Morning.\Morning, Tomoyo-chan. response:	Sakura-chan, did you not catch a cold?
context: I didn't know.\I thought for sure the suspect was you!\'Cause you're a monster, and all'\What did you say?\Morning. Morning.\Morning.\Morning, Tomoyo-chan.\Sakura-chan, did you not catch a cold? response:	Nope!
context: I thought for sure the suspect was you!\'Cause you're a monster, and all'\What did you say?\Morning. Morning.\Morning.\Morning, Tomoyo-chan.\Sakura-chan, did you not catch a cold?\Nope! response:	Where's Li-kun?
context: 'Cause you're a monster, and all'\What did you say?\Morning. Morning.\Morning.\Morning, Tomoyo-chan.\Sakura-chan, did you not catch a cold?\Nope!\Where's Li-kun? response:	It seems he hasn't come yet.
context: What did you say?\Morning. Morning.\Morning.\Morning, Tomoyo-chan.\Sakura-chan, did you not catch a cold?\Nope!\Where's Li-kun?\It seems he hasn't come yet. response:	I wonder if he's alright.
context: Morning. Morning.\Morning.\Morning, Tomoyo-chan.\Sakura-chan, did you not catch a cold?\Nope!\Where's Li-kun?\It seems he hasn't come yet.\I wonder if he's alright. response:	What do you think happened yesterday, afterwards?
context: Morning.\Morning, Tomoyo-chan.\Sakura-chan, did you not catch a cold?\Nope!\Where's Li-kun?\It seems he hasn't come yet.\I wonder if he's alright.\What do you think happened yesterday, afterwards? response:	Shao Lan! Why are there GIRLS here?!
context: Morning, Tomoyo-chan.\Sakura-chan, did you not catch a cold?\Nope!\Where's Li-kun?\It seems he hasn't come yet.\I wonder if he's alright.\What do you think happened yesterday, afterwards?\Shao Lan! Why are there GIRLS here?! response:	No, this is' umm, you know'
context: Sakura-chan, did you not catch a cold?\Nope!\Where's Li-kun?\It seems he hasn't come yet.\I wonder if he's alright.\What do you think happened yesterday, afterwards?\Shao Lan! Why are there GIRLS here?!\No, this is' umm, you know' response:	Shao Lan!
context: Nope!\Where's Li-kun?\It seems he hasn't come yet.\I wonder if he's alright.\What do you think happened yesterday, afterwards?\Shao Lan! Why are there GIRLS here?!\No, this is' umm, you know'\Shao Lan! response:	Who do you think that little girl was?
context: Where's Li-kun?\It seems he hasn't come yet.\I wonder if he's alright.\What do you think happened yesterday, afterwards?\Shao Lan! Why are there GIRLS here?!\No, this is' umm, you know'\Shao Lan!\Who do you think that little girl was? response:	I dunno.
context: It seems he hasn't come yet.\I wonder if he's alright.\What do you think happened yesterday, afterwards?\Shao Lan! Why are there GIRLS here?!\No, this is' umm, you know'\Shao Lan!\Who do you think that little girl was?\I dunno. response:	It's Li-kun.
context: I wonder if he's alright.\What do you think happened yesterday, afterwards?\Shao Lan! Why are there GIRLS here?!\No, this is' umm, you know'\Shao Lan!\Who do you think that little girl was?\I dunno.\It's Li-kun. response:	Li-kun, thank you for this yesterday.
context: What do you think happened yesterday, afterwards?\Shao Lan! Why are there GIRLS here?!\No, this is' umm, you know'\Shao Lan!\Who do you think that little girl was?\I dunno.\It's Li-kun.\Li-kun, thank you for this yesterday. response:	You don't look well, are you okay?
context: Shao Lan! Why are there GIRLS here?!\No, this is' umm, you know'\Shao Lan!\Who do you think that little girl was?\I dunno.\It's Li-kun.\Li-kun, thank you for this yesterday.\You don't look well, are you okay? response:	I'm starting Home Room.
context: No, this is' umm, you know'\Shao Lan!\Who do you think that little girl was?\I dunno.\It's Li-kun.\Li-kun, thank you for this yesterday.\You don't look well, are you okay?\I'm starting Home Room. response:	From today on, it's second semester.
context: Shao Lan!\Who do you think that little girl was?\I dunno.\It's Li-kun.\Li-kun, thank you for this yesterday.\You don't look well, are you okay?\I'm starting Home Room.\From today on, it's second semester. response:	Did you all do your summer vacation homework?
context: Who do you think that little girl was?\I dunno.\It's Li-kun.\Li-kun, thank you for this yesterday.\You don't look well, are you okay?\I'm starting Home Room.\From today on, it's second semester.\Did you all do your summer vacation homework? response:	Yes!
context: I dunno.\It's Li-kun.\Li-kun, thank you for this yesterday.\You don't look well, are you okay?\I'm starting Home Room.\From today on, it's second semester.\Did you all do your summer vacation homework?\Yes! response:	And now with this new semester, it happens that a new friend will join us.
context: It's Li-kun.\Li-kun, thank you for this yesterday.\You don't look well, are you okay?\I'm starting Home Room.\From today on, it's second semester.\Did you all do your summer vacation homework?\Yes!\And now with this new semester, it happens that a new friend will join us. response:	Let me introduce you.
context: Li-kun, thank you for this yesterday.\You don't look well, are you okay?\I'm starting Home Room.\From today on, it's second semester.\Did you all do your summer vacation homework?\Yes!\And now with this new semester, it happens that a new friend will join us.\Let me introduce you. response:	That person from yesterday'
context: You don't look well, are you okay?\I'm starting Home Room.\From today on, it's second semester.\Did you all do your summer vacation homework?\Yes!\And now with this new semester, it happens that a new friend will join us.\Let me introduce you.\That person from yesterday' response:	Ah, you! I'll introduce you to everyone, so come this way.
context: I'm starting Home Room.\From today on, it's second semester.\Did you all do your summer vacation homework?\Yes!\And now with this new semester, it happens that a new friend will join us.\Let me introduce you.\That person from yesterday'\Ah, you! I'll introduce you to everyone, so come this way. response:	And I even said, Let's go together.
context: From today on, it's second semester.\Did you all do your summer vacation homework?\Yes!\And now with this new semester, it happens that a new friend will join us.\Let me introduce you.\That person from yesterday'\Ah, you! I'll introduce you to everyone, so come this way.\And I even said, Let's go together. response:	SHAO LAN, YOU MEANIE!
context: Did you all do your summer vacation homework?\Yes!\And now with this new semester, it happens that a new friend will join us.\Let me introduce you.\That person from yesterday'\Ah, you! I'll introduce you to everyone, so come this way.\And I even said, Let's go together.\SHAO LAN, YOU MEANIE! response:	This is our transfer student from Hong Kong, Mei Lin Li.
context: Yes!\And now with this new semester, it happens that a new friend will join us.\Let me introduce you.\That person from yesterday'\Ah, you! I'll introduce you to everyone, so come this way.\And I even said, Let's go together.\SHAO LAN, YOU MEANIE!\This is our transfer student from Hong Kong, Mei Lin Li. response:	Li Mei Lin
context: And now with this new semester, it happens that a new friend will join us.\Let me introduce you.\That person from yesterday'\Ah, you! I'll introduce you to everyone, so come this way.\And I even said, Let's go together.\SHAO LAN, YOU MEANIE!\This is our transfer student from Hong Kong, Mei Lin Li.\Li Mei Lin response:	It seems that she's Shao Lan-kun's cousin.
context: Let me introduce you.\That person from yesterday'\Ah, you! I'll introduce you to everyone, so come this way.\And I even said, Let's go together.\SHAO LAN, YOU MEANIE!\This is our transfer student from Hong Kong, Mei Lin Li.\Li Mei Lin\It seems that she's Shao Lan-kun's cousin. response:	Oh! She's his cousin!
context: That person from yesterday'\Ah, you! I'll introduce you to everyone, so come this way.\And I even said, Let's go together.\SHAO LAN, YOU MEANIE!\This is our transfer student from Hong Kong, Mei Lin Li.\Li Mei Lin\It seems that she's Shao Lan-kun's cousin.\Oh! She's his cousin! response:	Right, Li-kun?
context: Ah, you! I'll introduce you to everyone, so come this way.\And I even said, Let's go together.\SHAO LAN, YOU MEANIE!\This is our transfer student from Hong Kong, Mei Lin Li.\Li Mei Lin\It seems that she's Shao Lan-kun's cousin.\Oh! She's his cousin!\Right, Li-kun? response:	Shao Lan is my fiance, you know!
context: And I even said, Let's go together.\SHAO LAN, YOU MEANIE!\This is our transfer student from Hong Kong, Mei Lin Li.\Li Mei Lin\It seems that she's Shao Lan-kun's cousin.\Oh! She's his cousin!\Right, Li-kun?\Shao Lan is my fiance, you know! response:	Don't lay a hand on him!
context: SHAO LAN, YOU MEANIE!\This is our transfer student from Hong Kong, Mei Lin Li.\Li Mei Lin\It seems that she's Shao Lan-kun's cousin.\Oh! She's his cousin!\Right, Li-kun?\Shao Lan is my fiance, you know!\Don't lay a hand on him! response:	Fiance?
context: This is our transfer student from Hong Kong, Mei Lin Li.\Li Mei Lin\It seems that she's Shao Lan-kun's cousin.\Oh! She's his cousin!\Right, Li-kun?\Shao Lan is my fiance, you know!\Don't lay a hand on him!\Fiance? response:	Erm, no'
context: Li Mei Lin\It seems that she's Shao Lan-kun's cousin.\Oh! She's his cousin!\Right, Li-kun?\Shao Lan is my fiance, you know!\Don't lay a hand on him!\Fiance?\Erm, no' response:	It's true!
context: It seems that she's Shao Lan-kun's cousin.\Oh! She's his cousin!\Right, Li-kun?\Shao Lan is my fiance, you know!\Don't lay a hand on him!\Fiance?\Erm, no'\It's true! response:	Eh?
context: Oh! She's his cousin!\Right, Li-kun?\Shao Lan is my fiance, you know!\Don't lay a hand on him!\Fiance?\Erm, no'\It's true!\Eh? response:	I was so surprised.
context: Right, Li-kun?\Shao Lan is my fiance, you know!\Don't lay a hand on him!\Fiance?\Erm, no'\It's true!\Eh?\I was so surprised. response:	After all it's
context: Shao Lan is my fiance, you know!\Don't lay a hand on him!\Fiance?\Erm, no'\It's true!\Eh?\I was so surprised.\After all it's response:	'I'm his fiance! Don't lay a hand on him' all of a sudden.
context: Don't lay a hand on him!\Fiance?\Erm, no'\It's true!\Eh?\I was so surprised.\After all it's\'I'm his fiance! Don't lay a hand on him' all of a sudden. response:	But it seemed like Li-kun was sorta depressed, though'
context: Fiance?\Erm, no'\It's true!\Eh?\I was so surprised.\After all it's\'I'm his fiance! Don't lay a hand on him' all of a sudden.\But it seemed like Li-kun was sorta depressed, though' response:	That's true.
context: Erm, no'\It's true!\Eh?\I was so surprised.\After all it's\'I'm his fiance! Don't lay a hand on him' all of a sudden.\But it seemed like Li-kun was sorta depressed, though'\That's true. response:	Yamazaki-kun!
context: It's true!\Eh?\I was so surprised.\After all it's\'I'm his fiance! Don't lay a hand on him' all of a sudden.\But it seemed like Li-kun was sorta depressed, though'\That's true.\Yamazaki-kun! response:	That sure looks good.
context: Eh?\I was so surprised.\After all it's\'I'm his fiance! Don't lay a hand on him' all of a sudden.\But it seemed like Li-kun was sorta depressed, though'\That's true.\Yamazaki-kun!\That sure looks good. response:	Is it lunchtime for you too, Yamazaki-kun?
context: I was so surprised.\After all it's\'I'm his fiance! Don't lay a hand on him' all of a sudden.\But it seemed like Li-kun was sorta depressed, though'\That's true.\Yamazaki-kun!\That sure looks good.\Is it lunchtime for you too, Yamazaki-kun? response:	Yeah. I thought I'd eat in the cafeteria with Li-kun.
context: After all it's\'I'm his fiance! Don't lay a hand on him' all of a sudden.\But it seemed like Li-kun was sorta depressed, though'\That's true.\Yamazaki-kun!\That sure looks good.\Is it lunchtime for you too, Yamazaki-kun?\Yeah. I thought I'd eat in the cafeteria with Li-kun. response:	Shao Lan!
context: 'I'm his fiance! Don't lay a hand on him' all of a sudden.\But it seemed like Li-kun was sorta depressed, though'\That's true.\Yamazaki-kun!\That sure looks good.\Is it lunchtime for you too, Yamazaki-kun?\Yeah. I thought I'd eat in the cafeteria with Li-kun.\Shao Lan! response:	I made lunch!
context: But it seemed like Li-kun was sorta depressed, though'\That's true.\Yamazaki-kun!\That sure looks good.\Is it lunchtime for you too, Yamazaki-kun?\Yeah. I thought I'd eat in the cafeteria with Li-kun.\Shao Lan!\I made lunch! response:	Well, now! Let's eat it together.
context: That's true.\Yamazaki-kun!\That sure looks good.\Is it lunchtime for you too, Yamazaki-kun?\Yeah. I thought I'd eat in the cafeteria with Li-kun.\Shao Lan!\I made lunch!\Well, now! Let's eat it together. response:	A moment, Mei Lin.
context: Yamazaki-kun!\That sure looks good.\Is it lunchtime for you too, Yamazaki-kun?\Yeah. I thought I'd eat in the cafeteria with Li-kun.\Shao Lan!\I made lunch!\Well, now! Let's eat it together.\A moment, Mei Lin. response:	What? What is it?
context: That sure looks good.\Is it lunchtime for you too, Yamazaki-kun?\Yeah. I thought I'd eat in the cafeteria with Li-kun.\Shao Lan!\I made lunch!\Well, now! Let's eat it together.\A moment, Mei Lin.\What? What is it? response:	Mei Lin!
context: Is it lunchtime for you too, Yamazaki-kun?\Yeah. I thought I'd eat in the cafeteria with Li-kun.\Shao Lan!\I made lunch!\Well, now! Let's eat it together.\A moment, Mei Lin.\What? What is it?\Mei Lin! response:	What?
context: Yeah. I thought I'd eat in the cafeteria with Li-kun.\Shao Lan!\I made lunch!\Well, now! Let's eat it together.\A moment, Mei Lin.\What? What is it?\Mei Lin!\What? response:	This is school, you know!
context: Shao Lan!\I made lunch!\Well, now! Let's eat it together.\A moment, Mei Lin.\What? What is it?\Mei Lin!\What?\This is school, you know! response:	That's why I put it in a lunch box.
context: I made lunch!\Well, now! Let's eat it together.\A moment, Mei Lin.\What? What is it?\Mei Lin!\What?\This is school, you know!\That's why I put it in a lunch box. response:	If it was home, then I'd pile it on a plate, right?
context: Well, now! Let's eat it together.\A moment, Mei Lin.\What? What is it?\Mei Lin!\What?\This is school, you know!\That's why I put it in a lunch box.\If it was home, then I'd pile it on a plate, right? response:	It's not that'
context: A moment, Mei Lin.\What? What is it?\Mei Lin!\What?\This is school, you know!\That's why I put it in a lunch box.\If it was home, then I'd pile it on a plate, right?\It's not that' response:	Oh, you still don't like konyaku, Shao Lan?
context: What? What is it?\Mei Lin!\What?\This is school, you know!\That's why I put it in a lunch box.\If it was home, then I'd pile it on a plate, right?\It's not that'\Oh, you still don't like konyaku, Shao Lan? response:	It's all right, there's none in here.
context: Mei Lin!\What?\This is school, you know!\That's why I put it in a lunch box.\If it was home, then I'd pile it on a plate, right?\It's not that'\Oh, you still don't like konyaku, Shao Lan?\It's all right, there's none in here. response:	It's not that'
context: What?\This is school, you know!\That's why I put it in a lunch box.\If it was home, then I'd pile it on a plate, right?\It's not that'\Oh, you still don't like konyaku, Shao Lan?\It's all right, there's none in here.\It's not that' response:	Don't worry!
context: This is school, you know!\That's why I put it in a lunch box.\If it was home, then I'd pile it on a plate, right?\It's not that'\Oh, you still don't like konyaku, Shao Lan?\It's all right, there's none in here.\It's not that'\Don't worry! response:	I was sure to make your favorite shrimp shumai, Shao Lan.
context: That's why I put it in a lunch box.\If it was home, then I'd pile it on a plate, right?\It's not that'\Oh, you still don't like konyaku, Shao Lan?\It's all right, there's none in here.\It's not that'\Don't worry!\I was sure to make your favorite shrimp shumai, Shao Lan. response:	You know!
context: If it was home, then I'd pile it on a plate, right?\It's not that'\Oh, you still don't like konyaku, Shao Lan?\It's all right, there's none in here.\It's not that'\Don't worry!\I was sure to make your favorite shrimp shumai, Shao Lan.\You know! response:	Here.
context: It's not that'\Oh, you still don't like konyaku, Shao Lan?\It's all right, there's none in here.\It's not that'\Don't worry!\I was sure to make your favorite shrimp shumai, Shao Lan.\You know!\Here. response:	Aren't I good at cooking?
context: Oh, you still don't like konyaku, Shao Lan?\It's all right, there's none in here.\It's not that'\Don't worry!\I was sure to make your favorite shrimp shumai, Shao Lan.\You know!\Here.\Aren't I good at cooking? response:	Yeah' well, sorta.
context: It's all right, there's none in here.\It's not that'\Don't worry!\I was sure to make your favorite shrimp shumai, Shao Lan.\You know!\Here.\Aren't I good at cooking?\Yeah' well, sorta. response:	That's not it!
context: It's not that'\Don't worry!\I was sure to make your favorite shrimp shumai, Shao Lan.\You know!\Here.\Aren't I good at cooking?\Yeah' well, sorta.\That's not it! response:	Why in the world did you come to Japan, Mei Lin?
context: Don't worry!\I was sure to make your favorite shrimp shumai, Shao Lan.\You know!\Here.\Aren't I good at cooking?\Yeah' well, sorta.\That's not it!\Why in the world did you come to Japan, Mei Lin? response:	Because you just won't come home no matter how long I wait, Shao Lan.
context: I was sure to make your favorite shrimp shumai, Shao Lan.\You know!\Here.\Aren't I good at cooking?\Yeah' well, sorta.\That's not it!\Why in the world did you come to Japan, Mei Lin?\Because you just won't come home no matter how long I wait, Shao Lan. response:	Because when I capture all the Clow Cards'
context: You know!\Here.\Aren't I good at cooking?\Yeah' well, sorta.\That's not it!\Why in the world did you come to Japan, Mei Lin?\Because you just won't come home no matter how long I wait, Shao Lan.\Because when I capture all the Clow Cards' response:	Isn't there some other kid who captured them?
context: Here.\Aren't I good at cooking?\Yeah' well, sorta.\That's not it!\Why in the world did you come to Japan, Mei Lin?\Because you just won't come home no matter how long I wait, Shao Lan.\Because when I capture all the Clow Cards'\Isn't there some other kid who captured them? response:	Just like it said in that fortune telling you did in Hong Kong.
context: Aren't I good at cooking?\Yeah' well, sorta.\That's not it!\Why in the world did you come to Japan, Mei Lin?\Because you just won't come home no matter how long I wait, Shao Lan.\Because when I capture all the Clow Cards'\Isn't there some other kid who captured them?\Just like it said in that fortune telling you did in Hong Kong. response:	I explained it to you yesterday, didn't I?
context: Yeah' well, sorta.\That's not it!\Why in the world did you come to Japan, Mei Lin?\Because you just won't come home no matter how long I wait, Shao Lan.\Because when I capture all the Clow Cards'\Isn't there some other kid who captured them?\Just like it said in that fortune telling you did in Hong Kong.\I explained it to you yesterday, didn't I? response:	It's that kid, isn't it?
context: That's not it!\Why in the world did you come to Japan, Mei Lin?\Because you just won't come home no matter how long I wait, Shao Lan.\Because when I capture all the Clow Cards'\Isn't there some other kid who captured them?\Just like it said in that fortune telling you did in Hong Kong.\I explained it to you yesterday, didn't I?\It's that kid, isn't it? response:	What's happened?
context: Why in the world did you come to Japan, Mei Lin?\Because you just won't come home no matter how long I wait, Shao Lan.\Because when I capture all the Clow Cards'\Isn't there some other kid who captured them?\Just like it said in that fortune telling you did in Hong Kong.\I explained it to you yesterday, didn't I?\It's that kid, isn't it?\What's happened? response:	I just got this chill'
