context: My new boyfriend often says... response:	You're pretty quiet, Kamine.
context: And this distance...\I want to cling onto him and cuddle right now.\But if I told him that, he might think I'm a pain.\D-Don't you ever feel possessive about me, Goda-kun?\Not so far.\I hear those kinds of relationships don't last.\Y-You're right.\But don't you think it's okay in moderation? response:	I guess a little is fine.
context: I want to cling onto him and cuddle right now.\But if I told him that, he might think I'm a pain.\D-Don't you ever feel possessive about me, Goda-kun?\Not so far.\I hear those kinds of relationships don't last.\Y-You're right.\But don't you think it's okay in moderation?\I guess a little is fine. response:	For example?
context: But if I told him that, he might think I'm a pain.\D-Don't you ever feel possessive about me, Goda-kun?\Not so far.\I hear those kinds of relationships don't last.\Y-You're right.\But don't you think it's okay in moderation?\I guess a little is fine.\For example? response:	For example, holding our hands when we walk.
context: D-Don't you ever feel possessive about me, Goda-kun?\Not so far.\I hear those kinds of relationships don't last.\Y-You're right.\But don't you think it's okay in moderation?\I guess a little is fine.\For example?\For example, holding our hands when we walk. response:	Not when we're sitting?
context: Not so far.\I hear those kinds of relationships don't last.\Y-You're right.\But don't you think it's okay in moderation?\I guess a little is fine.\For example?\For example, holding our hands when we walk.\Not when we're sitting? response:	Now?
context: I hear those kinds of relationships don't last.\Y-You're right.\But don't you think it's okay in moderation?\I guess a little is fine.\For example?\For example, holding our hands when we walk.\Not when we're sitting?\Now? response:	We don't have to, if you don't want to.
context: Y-You're right.\But don't you think it's okay in moderation?\I guess a little is fine.\For example?\For example, holding our hands when we walk.\Not when we're sitting?\Now?\We don't have to, if you don't want to. response:	Sure, that's fine.
context: But don't you think it's okay in moderation?\I guess a little is fine.\For example?\For example, holding our hands when we walk.\Not when we're sitting?\Now?\We don't have to, if you don't want to.\Sure, that's fine. response:	You don't need to be that cautious.
context: I guess a little is fine.\For example?\For example, holding our hands when we walk.\Not when we're sitting?\Now?\We don't have to, if you don't want to.\Sure, that's fine.\You don't need to be that cautious. response:	Really?
context: For example?\For example, holding our hands when we walk.\Not when we're sitting?\Now?\We don't have to, if you don't want to.\Sure, that's fine.\You don't need to be that cautious.\Really? response:	Th-Then can I come closer to you?
context: For example, holding our hands when we walk.\Not when we're sitting?\Now?\We don't have to, if you don't want to.\Sure, that's fine.\You don't need to be that cautious.\Really?\Th-Then can I come closer to you? response:	Y-Yeah, if that's what you want.
context: Not when we're sitting?\Now?\We don't have to, if you don't want to.\Sure, that's fine.\You don't need to be that cautious.\Really?\Th-Then can I come closer to you?\Y-Yeah, if that's what you want. response:	Is it okay if I'm this close?
context: Now?\We don't have to, if you don't want to.\Sure, that's fine.\You don't need to be that cautious.\Really?\Th-Then can I come closer to you?\Y-Yeah, if that's what you want.\Is it okay if I'm this close? response:	Fine.
context: We don't have to, if you don't want to.\Sure, that's fine.\You don't need to be that cautious.\Really?\Th-Then can I come closer to you?\Y-Yeah, if that's what you want.\Is it okay if I'm this close?\Fine. response:	Th-Then what about this?
context: Sure, that's fine.\You don't need to be that cautious.\Really?\Th-Then can I come closer to you?\Y-Yeah, if that's what you want.\Is it okay if I'm this close?\Fine.\Th-Then what about this? response:	I don't mind, but I might smell from club
context: You don't need to be that cautious.\Really?\Th-Then can I come closer to you?\Y-Yeah, if that's what you want.\Is it okay if I'm this close?\Fine.\Th-Then what about this?\I don't mind, but I might smell from club response:	No.
context: Really?\Th-Then can I come closer to you?\Y-Yeah, if that's what you want.\Is it okay if I'm this close?\Fine.\Th-Then what about this?\I don't mind, but I might smell from club\No. response:	I like this smell.
context: Th-Then can I come closer to you?\Y-Yeah, if that's what you want.\Is it okay if I'm this close?\Fine.\Th-Then what about this?\I don't mind, but I might smell from club\No.\I like this smell. response:	What's gotten into you today?
context: Y-Yeah, if that's what you want.\Is it okay if I'm this close?\Fine.\Th-Then what about this?\I don't mind, but I might smell from club\No.\I like this smell.\What's gotten into you today? response:	S-Sorry!
context: Is it okay if I'm this close?\Fine.\Th-Then what about this?\I don't mind, but I might smell from club\No.\I like this smell.\What's gotten into you today?\S-Sorry! response:	Do you not like clingy people?
context: Fine.\Th-Then what about this?\I don't mind, but I might smell from club\No.\I like this smell.\What's gotten into you today?\S-Sorry!\Do you not like clingy people? response:	No, I don't mind.
context: Th-Then what about this?\I don't mind, but I might smell from club\No.\I like this smell.\What's gotten into you today?\S-Sorry!\Do you not like clingy people?\No, I don't mind. response:	But you said that's a pain.
context: I don't mind, but I might smell from club\No.\I like this smell.\What's gotten into you today?\S-Sorry!\Do you not like clingy people?\No, I don't mind.\But you said that's a pain. response:	This isn't that bad.
context: No.\I like this smell.\What's gotten into you today?\S-Sorry!\Do you not like clingy people?\No, I don't mind.\But you said that's a pain.\This isn't that bad. response:	Isn't this normal if we're dating?
context: I like this smell.\What's gotten into you today?\S-Sorry!\Do you not like clingy people?\No, I don't mind.\But you said that's a pain.\This isn't that bad.\Isn't this normal if we're dating? response:	But, well...
context: What's gotten into you today?\S-Sorry!\Do you not like clingy people?\No, I don't mind.\But you said that's a pain.\This isn't that bad.\Isn't this normal if we're dating?\But, well... response:	Huh?
context: S-Sorry!\Do you not like clingy people?\No, I don't mind.\But you said that's a pain.\This isn't that bad.\Isn't this normal if we're dating?\But, well...\Huh? response:	I actually thought you didn't like being clingy.
context: Do you not like clingy people?\No, I don't mind.\But you said that's a pain.\This isn't that bad.\Isn't this normal if we're dating?\But, well...\Huh?\I actually thought you didn't like being clingy. response:	Wh-Why?
context: No, I don't mind.\But you said that's a pain.\This isn't that bad.\Isn't this normal if we're dating?\But, well...\Huh?\I actually thought you didn't like being clingy.\Wh-Why? response:	You're always so quiet.
context: But you said that's a pain.\This isn't that bad.\Isn't this normal if we're dating?\But, well...\Huh?\I actually thought you didn't like being clingy.\Wh-Why?\You're always so quiet. response:	I thought you didn't think about it.
context: This isn't that bad.\Isn't this normal if we're dating?\But, well...\Huh?\I actually thought you didn't like being clingy.\Wh-Why?\You're always so quiet.\I thought you didn't think about it. response:	Do you want to cuddle more, then?
context: Isn't this normal if we're dating?\But, well...\Huh?\I actually thought you didn't like being clingy.\Wh-Why?\You're always so quiet.\I thought you didn't think about it.\Do you want to cuddle more, then? response:	Well, a little.
context: But, well...\Huh?\I actually thought you didn't like being clingy.\Wh-Why?\You're always so quiet.\I thought you didn't think about it.\Do you want to cuddle more, then?\Well, a little. response:	O-Oh.
context: Huh?\I actually thought you didn't like being clingy.\Wh-Why?\You're always so quiet.\I thought you didn't think about it.\Do you want to cuddle more, then?\Well, a little.\O-Oh. response:	I wouldn't have held back if you'd told me.
context: I actually thought you didn't like being clingy.\Wh-Why?\You're always so quiet.\I thought you didn't think about it.\Do you want to cuddle more, then?\Well, a little.\O-Oh.\I wouldn't have held back if you'd told me. response:	All right, can I make a request, too, then?
context: Wh-Why?\You're always so quiet.\I thought you didn't think about it.\Do you want to cuddle more, then?\Well, a little.\O-Oh.\I wouldn't have held back if you'd told me.\All right, can I make a request, too, then? response:	What?
context: You're always so quiet.\I thought you didn't think about it.\Do you want to cuddle more, then?\Well, a little.\O-Oh.\I wouldn't have held back if you'd told me.\All right, can I make a request, too, then?\What? response:	I've always wanted to do that once.
context: I thought you didn't think about it.\Do you want to cuddle more, then?\Well, a little.\O-Oh.\I wouldn't have held back if you'd told me.\All right, can I make a request, too, then?\What?\I've always wanted to do that once. response:	Forgive me.
context: Do you want to cuddle more, then?\Well, a little.\O-Oh.\I wouldn't have held back if you'd told me.\All right, can I make a request, too, then?\What?\I've always wanted to do that once.\Forgive me. response:	I choked on my first kiss!
context: Well, a little.\O-Oh.\I wouldn't have held back if you'd told me.\All right, can I make a request, too, then?\What?\I've always wanted to do that once.\Forgive me.\I choked on my first kiss! response:	I choked on my first kiss!
context: O-Oh.\I wouldn't have held back if you'd told me.\All right, can I make a request, too, then?\What?\I've always wanted to do that once.\Forgive me.\I choked on my first kiss!\I choked on my first kiss! response:	That was my first kiss.
context: I wouldn't have held back if you'd told me.\All right, can I make a request, too, then?\What?\I've always wanted to do that once.\Forgive me.\I choked on my first kiss!\I choked on my first kiss!\That was my first kiss. response:	I wasn't prepared at all.
context: All right, can I make a request, too, then?\What?\I've always wanted to do that once.\Forgive me.\I choked on my first kiss!\I choked on my first kiss!\That was my first kiss.\I wasn't prepared at all. response:	Sorry.
context: What?\I've always wanted to do that once.\Forgive me.\I choked on my first kiss!\I choked on my first kiss!\That was my first kiss.\I wasn't prepared at all.\Sorry. response:	I coughed on my first kiss...
context: I've always wanted to do that once.\Forgive me.\I choked on my first kiss!\I choked on my first kiss!\That was my first kiss.\I wasn't prepared at all.\Sorry.\I coughed on my first kiss... response:	I coughed on my first kiss... I coughed on my first kiss...
context: Forgive me.\I choked on my first kiss!\I choked on my first kiss!\That was my first kiss.\I wasn't prepared at all.\Sorry.\I coughed on my first kiss...\I coughed on my first kiss... I coughed on my first kiss... response:	I coughed on my first kiss...
context: I choked on my first kiss!\I choked on my first kiss!\That was my first kiss.\I wasn't prepared at all.\Sorry.\I coughed on my first kiss...\I coughed on my first kiss... I coughed on my first kiss...\I coughed on my first kiss... response:	Want to try again?
context: I choked on my first kiss!\That was my first kiss.\I wasn't prepared at all.\Sorry.\I coughed on my first kiss...\I coughed on my first kiss... I coughed on my first kiss...\I coughed on my first kiss...\Want to try again? response:	Rumor had it that a guy in my class kissed his girlfriend.
context: That was my first kiss.\I wasn't prepared at all.\Sorry.\I coughed on my first kiss...\I coughed on my first kiss... I coughed on my first kiss...\I coughed on my first kiss...\Want to try again?\Rumor had it that a guy in my class kissed his girlfriend. response:	Can you believe it?
context: I wasn't prepared at all.\Sorry.\I coughed on my first kiss...\I coughed on my first kiss... I coughed on my first kiss...\I coughed on my first kiss...\Want to try again?\Rumor had it that a guy in my class kissed his girlfriend.\Can you believe it? response:	They've only been together for three months.
context: Sorry.\I coughed on my first kiss...\I coughed on my first kiss... I coughed on my first kiss...\I coughed on my first kiss...\Want to try again?\Rumor had it that a guy in my class kissed his girlfriend.\Can you believe it?\They've only been together for three months. response:	Man, they didn't look like they'd take it so fast.
context: I coughed on my first kiss...\I coughed on my first kiss... I coughed on my first kiss...\I coughed on my first kiss...\Want to try again?\Rumor had it that a guy in my class kissed his girlfriend.\Can you believe it?\They've only been together for three months.\Man, they didn't look like they'd take it so fast. response:	So what about us, Chiaki?
context: I coughed on my first kiss... I coughed on my first kiss...\I coughed on my first kiss...\Want to try again?\Rumor had it that a guy in my class kissed his girlfriend.\Can you believe it?\They've only been together for three months.\Man, they didn't look like they'd take it so fast.\So what about us, Chiaki? response:	Shoot
context: I coughed on my first kiss...\Want to try again?\Rumor had it that a guy in my class kissed his girlfriend.\Can you believe it?\They've only been together for three months.\Man, they didn't look like they'd take it so fast.\So what about us, Chiaki?\Shoot response:	About that...
context: Want to try again?\Rumor had it that a guy in my class kissed his girlfriend.\Can you believe it?\They've only been together for three months.\Man, they didn't look like they'd take it so fast.\So what about us, Chiaki?\Shoot\About that... response:	I wanted to talk to you about that.
context: Rumor had it that a guy in my class kissed his girlfriend.\Can you believe it?\They've only been together for three months.\Man, they didn't look like they'd take it so fast.\So what about us, Chiaki?\Shoot\About that...\I wanted to talk to you about that. response:	They've had so many opportunities already.
context: Can you believe it?\They've only been together for three months.\Man, they didn't look like they'd take it so fast.\So what about us, Chiaki?\Shoot\About that...\I wanted to talk to you about that.\They've had so many opportunities already. response:	Why do you think they can't score, Coach?
context: They've only been together for three months.\Man, they didn't look like they'd take it so fast.\So what about us, Chiaki?\Shoot\About that...\I wanted to talk to you about that.\They've had so many opportunities already.\Why do you think they can't score, Coach? response:	The forward, Chiaki, keeps chickening out.
context: Man, they didn't look like they'd take it so fast.\So what about us, Chiaki?\Shoot\About that...\I wanted to talk to you about that.\They've had so many opportunities already.\Why do you think they can't score, Coach?\The forward, Chiaki, keeps chickening out. response:	That's harsh.
context: So what about us, Chiaki?\Shoot\About that...\I wanted to talk to you about that.\They've had so many opportunities already.\Why do you think they can't score, Coach?\The forward, Chiaki, keeps chickening out.\That's harsh. response:	But Coach, his teammates have to pass him the ball.
context: Shoot\About that...\I wanted to talk to you about that.\They've had so many opportunities already.\Why do you think they can't score, Coach?\The forward, Chiaki, keeps chickening out.\That's harsh.\But Coach, his teammates have to pass him the ball. response:	It's not just Chiaki's fault
context: About that...\I wanted to talk to you about that.\They've had so many opportunities already.\Why do you think they can't score, Coach?\The forward, Chiaki, keeps chickening out.\That's harsh.\But Coach, his teammates have to pass him the ball.\It's not just Chiaki's fault response:	Should I pass to you now, then?
context: I wanted to talk to you about that.\They've had so many opportunities already.\Why do you think they can't score, Coach?\The forward, Chiaki, keeps chickening out.\That's harsh.\But Coach, his teammates have to pass him the ball.\It's not just Chiaki's fault\Should I pass to you now, then? response:	Kamine and Goda scored a shot in the park, I hear.
context: They've had so many opportunities already.\Why do you think they can't score, Coach?\The forward, Chiaki, keeps chickening out.\That's harsh.\But Coach, his teammates have to pass him the ball.\It's not just Chiaki's fault\Should I pass to you now, then?\Kamine and Goda scored a shot in the park, I hear. response:	R-Right.
context: Why do you think they can't score, Coach?\The forward, Chiaki, keeps chickening out.\That's harsh.\But Coach, his teammates have to pass him the ball.\It's not just Chiaki's fault\Should I pass to you now, then?\Kamine and Goda scored a shot in the park, I hear.\R-Right. response:	Everyone seems to think we've at least kissed already.
context: The forward, Chiaki, keeps chickening out.\That's harsh.\But Coach, his teammates have to pass him the ball.\It's not just Chiaki's fault\Should I pass to you now, then?\Kamine and Goda scored a shot in the park, I hear.\R-Right.\Everyone seems to think we've at least kissed already. response:	Well, does it matter how long we've been dating,
context: That's harsh.\But Coach, his teammates have to pass him the ball.\It's not just Chiaki's fault\Should I pass to you now, then?\Kamine and Goda scored a shot in the park, I hear.\R-Right.\Everyone seems to think we've at least kissed already.\Well, does it matter how long we've been dating, response:	or if other people have already kissed?
context: But Coach, his teammates have to pass him the ball.\It's not just Chiaki's fault\Should I pass to you now, then?\Kamine and Goda scored a shot in the park, I hear.\R-Right.\Everyone seems to think we've at least kissed already.\Well, does it matter how long we've been dating,\or if other people have already kissed? response:	What matters most is improving our own game.
context: It's not just Chiaki's fault\Should I pass to you now, then?\Kamine and Goda scored a shot in the park, I hear.\R-Right.\Everyone seems to think we've at least kissed already.\Well, does it matter how long we've been dating,\or if other people have already kissed?\What matters most is improving our own game. response:	Then you want to?
context: Should I pass to you now, then?\Kamine and Goda scored a shot in the park, I hear.\R-Right.\Everyone seems to think we've at least kissed already.\Well, does it matter how long we've been dating,\or if other people have already kissed?\What matters most is improving our own game.\Then you want to? response:	Why now?
context: Kamine and Goda scored a shot in the park, I hear.\R-Right.\Everyone seems to think we've at least kissed already.\Well, does it matter how long we've been dating,\or if other people have already kissed?\What matters most is improving our own game.\Then you want to?\Why now? response:	Well, you want to, don't you?
context: R-Right.\Everyone seems to think we've at least kissed already.\Well, does it matter how long we've been dating,\or if other people have already kissed?\What matters most is improving our own game.\Then you want to?\Why now?\Well, you want to, don't you? response:	Not if you feel like you're being forced.
context: Everyone seems to think we've at least kissed already.\Well, does it matter how long we've been dating,\or if other people have already kissed?\What matters most is improving our own game.\Then you want to?\Why now?\Well, you want to, don't you?\Not if you feel like you're being forced. response:	I don't feel forced.
context: Well, does it matter how long we've been dating,\or if other people have already kissed?\What matters most is improving our own game.\Then you want to?\Why now?\Well, you want to, don't you?\Not if you feel like you're being forced.\I don't feel forced. response:	You just keep nagging me.
context: or if other people have already kissed?\What matters most is improving our own game.\Then you want to?\Why now?\Well, you want to, don't you?\Not if you feel like you're being forced.\I don't feel forced.\You just keep nagging me. response:	Forget it. I'm not feeling it.
context: What matters most is improving our own game.\Then you want to?\Why now?\Well, you want to, don't you?\Not if you feel like you're being forced.\I don't feel forced.\You just keep nagging me.\Forget it. I'm not feeling it. response:	K-Kana-chan, are you angry?
context: Then you want to?\Why now?\Well, you want to, don't you?\Not if you feel like you're being forced.\I don't feel forced.\You just keep nagging me.\Forget it. I'm not feeling it.\K-Kana-chan, are you angry? response:	Sorry.
context: Why now?\Well, you want to, don't you?\Not if you feel like you're being forced.\I don't feel forced.\You just keep nagging me.\Forget it. I'm not feeling it.\K-Kana-chan, are you angry?\Sorry. response:	Kana-chan.
context: Well, you want to, don't you?\Not if you feel like you're being forced.\I don't feel forced.\You just keep nagging me.\Forget it. I'm not feeling it.\K-Kana-chan, are you angry?\Sorry.\Kana-chan. response:	Shit, this is where she refuses to talk to you for a while.
context: Not if you feel like you're being forced.\I don't feel forced.\You just keep nagging me.\Forget it. I'm not feeling it.\K-Kana-chan, are you angry?\Sorry.\Kana-chan.\Shit, this is where she refuses to talk to you for a while. response:	Game's over.
context: I don't feel forced.\You just keep nagging me.\Forget it. I'm not feeling it.\K-Kana-chan, are you angry?\Sorry.\Kana-chan.\Shit, this is where she refuses to talk to you for a while.\Game's over. response:	Huh?
context: You just keep nagging me.\Forget it. I'm not feeling it.\K-Kana-chan, are you angry?\Sorry.\Kana-chan.\Shit, this is where she refuses to talk to you for a while.\Game's over.\Huh? response:	Did we get stoppage time?
context: Forget it. I'm not feeling it.\K-Kana-chan, are you angry?\Sorry.\Kana-chan.\Shit, this is where she refuses to talk to you for a while.\Game's over.\Huh?\Did we get stoppage time? response:	We did!
context: K-Kana-chan, are you angry?\Sorry.\Kana-chan.\Shit, this is where she refuses to talk to you for a while.\Game's over.\Huh?\Did we get stoppage time?\We did! response:	She's totally waiting for me!
context: Sorry.\Kana-chan.\Shit, this is where she refuses to talk to you for a while.\Game's over.\Huh?\Did we get stoppage time?\We did!\She's totally waiting for me! response:	All right, now's my chance.
context: Kana-chan.\Shit, this is where she refuses to talk to you for a while.\Game's over.\Huh?\Did we get stoppage time?\We did!\She's totally waiting for me!\All right, now's my chance. response:	Shoot!
context: Shit, this is where she refuses to talk to you for a while.\Game's over.\Huh?\Did we get stoppage time?\We did!\She's totally waiting for me!\All right, now's my chance.\Shoot! response:	Th-This is a difficult angle!
context: Game's over.\Huh?\Did we get stoppage time?\We did!\She's totally waiting for me!\All right, now's my chance.\Shoot!\Th-This is a difficult angle! response:	I can't get near the goal, though the audience has their eyes fixed.
context: Huh?\Did we get stoppage time?\We did!\She's totally waiting for me!\All right, now's my chance.\Shoot!\Th-This is a difficult angle!\I can't get near the goal, though the audience has their eyes fixed. response:	I'm going to have to just go for it.
context: Did we get stoppage time?\We did!\She's totally waiting for me!\All right, now's my chance.\Shoot!\Th-This is a difficult angle!\I can't get near the goal, though the audience has their eyes fixed.\I'm going to have to just go for it. response:	Hey!
context: We did!\She's totally waiting for me!\All right, now's my chance.\Shoot!\Th-This is a difficult angle!\I can't get near the goal, though the audience has their eyes fixed.\I'm going to have to just go for it.\Hey! response:	He misses!
context: She's totally waiting for me!\All right, now's my chance.\Shoot!\Th-This is a difficult angle!\I can't get near the goal, though the audience has their eyes fixed.\I'm going to have to just go for it.\Hey!\He misses! response:	But I kissed a girl on the face for the first time.
context: All right, now's my chance.\Shoot!\Th-This is a difficult angle!\I can't get near the goal, though the audience has their eyes fixed.\I'm going to have to just go for it.\Hey!\He misses!\But I kissed a girl on the face for the first time. response:	Awesome!
context: Shoot!\Th-This is a difficult angle!\I can't get near the goal, though the audience has their eyes fixed.\I'm going to have to just go for it.\Hey!\He misses!\But I kissed a girl on the face for the first time.\Awesome! response:	Awesome!
context: Th-This is a difficult angle!\I can't get near the goal, though the audience has their eyes fixed.\I'm going to have to just go for it.\Hey!\He misses!\But I kissed a girl on the face for the first time.\Awesome!\Awesome! response:	Coach, I'd like to go again.
context: I can't get near the goal, though the audience has their eyes fixed.\I'm going to have to just go for it.\Hey!\He misses!\But I kissed a girl on the face for the first time.\Awesome!\Awesome!\Coach, I'd like to go again. response:	I feel like I can do it now.
context: I'm going to have to just go for it.\Hey!\He misses!\But I kissed a girl on the face for the first time.\Awesome!\Awesome!\Coach, I'd like to go again.\I feel like I can do it now. response:	Once more.
context: Hey!\He misses!\But I kissed a girl on the face for the first time.\Awesome!\Awesome!\Coach, I'd like to go again.\I feel like I can do it now.\Once more. response:	Give me a chance.
context: He misses!\But I kissed a girl on the face for the first time.\Awesome!\Awesome!\Coach, I'd like to go again.\I feel like I can do it now.\Once more.\Give me a chance. response:	O-Okay.
context: But I kissed a girl on the face for the first time.\Awesome!\Awesome!\Coach, I'd like to go again.\I feel like I can do it now.\Once more.\Give me a chance.\O-Okay. response:	O-Or not.
context: Awesome!\Awesome!\Coach, I'd like to go again.\I feel like I can do it now.\Once more.\Give me a chance.\O-Okay.\O-Or not. response:	Yeah.
context: Awesome!\Coach, I'd like to go again.\I feel like I can do it now.\Once more.\Give me a chance.\O-Okay.\O-Or not.\Yeah. response:	The End
context: Coach, I'd like to go again.\I feel like I can do it now.\Once more.\Give me a chance.\O-Okay.\O-Or not.\Yeah.\The End response:	Library
context: I feel like I can do it now.\Once more.\Give me a chance.\O-Okay.\O-Or not.\Yeah.\The End\Library response:	Yeah, that's correct.
context: Once more.\Give me a chance.\O-Okay.\O-Or not.\Yeah.\The End\Library\Yeah, that's correct. response:	I think I'm getting pretty good at English.
context: Give me a chance.\O-Okay.\O-Or not.\Yeah.\The End\Library\Yeah, that's correct.\I think I'm getting pretty good at English. response:	Maybe it's thanks to you.
context: O-Okay.\O-Or not.\Yeah.\The End\Library\Yeah, that's correct.\I think I'm getting pretty good at English.\Maybe it's thanks to you. response:	Let me squeeze your boobs, then.
context: O-Or not.\Yeah.\The End\Library\Yeah, that's correct.\I think I'm getting pretty good at English.\Maybe it's thanks to you.\Let me squeeze your boobs, then. response:	Akagi, dude, we're in the Library.
context: Yeah.\The End\Library\Yeah, that's correct.\I think I'm getting pretty good at English.\Maybe it's thanks to you.\Let me squeeze your boobs, then.\Akagi, dude, we're in the Library. response:	Boobs
context: The End\Library\Yeah, that's correct.\I think I'm getting pretty good at English.\Maybe it's thanks to you.\Let me squeeze your boobs, then.\Akagi, dude, we're in the Library.\Boobs response:	Yup.
context: Library\Yeah, that's correct.\I think I'm getting pretty good at English.\Maybe it's thanks to you.\Let me squeeze your boobs, then.\Akagi, dude, we're in the Library.\Boobs\Yup. response:	Aren't we here to study for exams because we mess around too much at home?
context: Yeah, that's correct.\I think I'm getting pretty good at English.\Maybe it's thanks to you.\Let me squeeze your boobs, then.\Akagi, dude, we're in the Library.\Boobs\Yup.\Aren't we here to study for exams because we mess around too much at home? response:	Yeah.
context: I think I'm getting pretty good at English.\Maybe it's thanks to you.\Let me squeeze your boobs, then.\Akagi, dude, we're in the Library.\Boobs\Yup.\Aren't we here to study for exams because we mess around too much at home?\Yeah. response:	So what was that?
context: Maybe it's thanks to you.\Let me squeeze your boobs, then.\Akagi, dude, we're in the Library.\Boobs\Yup.\Aren't we here to study for exams because we mess around too much at home?\Yeah.\So what was that? response:	Let me squeeze your boobs, Ryoko-chan.
context: Let me squeeze your boobs, then.\Akagi, dude, we're in the Library.\Boobs\Yup.\Aren't we here to study for exams because we mess around too much at home?\Yeah.\So what was that?\Let me squeeze your boobs, Ryoko-chan. response:	You say some of the dumbest shit for someone that's as smart as you.
context: Akagi, dude, we're in the Library.\Boobs\Yup.\Aren't we here to study for exams because we mess around too much at home?\Yeah.\So what was that?\Let me squeeze your boobs, Ryoko-chan.\You say some of the dumbest shit for someone that's as smart as you. response:	Dumb shit?
context: Boobs\Yup.\Aren't we here to study for exams because we mess around too much at home?\Yeah.\So what was that?\Let me squeeze your boobs, Ryoko-chan.\You say some of the dumbest shit for someone that's as smart as you.\Dumb shit? response:	Why would I let you touch my boobs when there are so many people around?
context: Yup.\Aren't we here to study for exams because we mess around too much at home?\Yeah.\So what was that?\Let me squeeze your boobs, Ryoko-chan.\You say some of the dumbest shit for someone that's as smart as you.\Dumb shit?\Why would I let you touch my boobs when there are so many people around? response:	I'm sure you'll let me squeeze them if I ask persistently enough.
