context: Speak in a Confrontational Manner response:	What's this? Some kind of joke?
context: Sorinozuka, you're spraying soup everywhere.\We're just drinking coffee together. That's all.\Huh? Oh, sorry, sorry.\Just stay calm. Stay calm...\Eat in human form. Where are your manners?\It's more comfortable this way.\Miss Ririchiyo.\I shall peel the grapes for your dessert. response:	I already told you I can do that stuff for myself!
context: We're just drinking coffee together. That's all.\Huh? Oh, sorry, sorry.\Just stay calm. Stay calm...\Eat in human form. Where are your manners?\It's more comfortable this way.\Miss Ririchiyo.\I shall peel the grapes for your dessert.\I already told you I can do that stuff for myself! response:	But then your lovely, delicate fingers would get stained.
context: Huh? Oh, sorry, sorry.\Just stay calm. Stay calm...\Eat in human form. Where are your manners?\It's more comfortable this way.\Miss Ririchiyo.\I shall peel the grapes for your dessert.\I already told you I can do that stuff for myself!\But then your lovely, delicate fingers would get stained. response:	At this rate, I won't be able to eat anything by myself anymore.
context: Just stay calm. Stay calm...\Eat in human form. Where are your manners?\It's more comfortable this way.\Miss Ririchiyo.\I shall peel the grapes for your dessert.\I already told you I can do that stuff for myself!\But then your lovely, delicate fingers would get stained.\At this rate, I won't be able to eat anything by myself anymore. response:	Exactly.
context: Eat in human form. Where are your manners?\It's more comfortable this way.\Miss Ririchiyo.\I shall peel the grapes for your dessert.\I already told you I can do that stuff for myself!\But then your lovely, delicate fingers would get stained.\At this rate, I won't be able to eat anything by myself anymore.\Exactly. response:	That is why
context: It's more comfortable this way.\Miss Ririchiyo.\I shall peel the grapes for your dessert.\I already told you I can do that stuff for myself!\But then your lovely, delicate fingers would get stained.\At this rate, I won't be able to eat anything by myself anymore.\Exactly.\That is why response:	I shall...
context: Miss Ririchiyo.\I shall peel the grapes for your dessert.\I already told you I can do that stuff for myself!\But then your lovely, delicate fingers would get stained.\At this rate, I won't be able to eat anything by myself anymore.\Exactly.\That is why\I shall... response:	No.
context: I shall peel the grapes for your dessert.\I already told you I can do that stuff for myself!\But then your lovely, delicate fingers would get stained.\At this rate, I won't be able to eat anything by myself anymore.\Exactly.\That is why\I shall...\No. response:	He really is the same as always.
context: I already told you I can do that stuff for myself!\But then your lovely, delicate fingers would get stained.\At this rate, I won't be able to eat anything by myself anymore.\Exactly.\That is why\I shall...\No.\He really is the same as always. response:	Keep calm.
context: But then your lovely, delicate fingers would get stained.\At this rate, I won't be able to eat anything by myself anymore.\Exactly.\That is why\I shall...\No.\He really is the same as always.\Keep calm. response:	Keep calm.
context: At this rate, I won't be able to eat anything by myself anymore.\Exactly.\That is why\I shall...\No.\He really is the same as always.\Keep calm.\Keep calm. response:	Keep calm...
context: Exactly.\That is why\I shall...\No.\He really is the same as always.\Keep calm.\Keep calm.\Keep calm... response:	Chiyo?
context: That is why\I shall...\No.\He really is the same as always.\Keep calm.\Keep calm.\Keep calm...\Chiyo? response:	The day's only just started, you know?
context: I shall...\No.\He really is the same as always.\Keep calm.\Keep calm.\Keep calm...\Chiyo?\The day's only just started, you know? response:	I don't think I'll be able to take the pressure.
context: No.\He really is the same as always.\Keep calm.\Keep calm.\Keep calm...\Chiyo?\The day's only just started, you know?\I don't think I'll be able to take the pressure. response:	Why did I say eight in the evening?
context: He really is the same as always.\Keep calm.\Keep calm.\Keep calm...\Chiyo?\The day's only just started, you know?\I don't think I'll be able to take the pressure.\Why did I say eight in the evening? response:	I should have made it right after school.
context: Keep calm.\Keep calm.\Keep calm...\Chiyo?\The day's only just started, you know?\I don't think I'll be able to take the pressure.\Why did I say eight in the evening?\I should have made it right after school. response:	Isn't this milk coffee too sweet?
context: Keep calm.\Keep calm...\Chiyo?\The day's only just started, you know?\I don't think I'll be able to take the pressure.\Why did I say eight in the evening?\I should have made it right after school.\Isn't this milk coffee too sweet? response:	Not at all!
context: Keep calm...\Chiyo?\The day's only just started, you know?\I don't think I'll be able to take the pressure.\Why did I say eight in the evening?\I should have made it right after school.\Isn't this milk coffee too sweet?\Not at all! response:	No, I have my plan.
context: Chiyo?\The day's only just started, you know?\I don't think I'll be able to take the pressure.\Why did I say eight in the evening?\I should have made it right after school.\Isn't this milk coffee too sweet?\Not at all!\No, I have my plan. response:	I picked that time for a reason...
context: The day's only just started, you know?\I don't think I'll be able to take the pressure.\Why did I say eight in the evening?\I should have made it right after school.\Isn't this milk coffee too sweet?\Not at all!\No, I have my plan.\I picked that time for a reason... response:	Chiyo?
context: I don't think I'll be able to take the pressure.\Why did I say eight in the evening?\I should have made it right after school.\Isn't this milk coffee too sweet?\Not at all!\No, I have my plan.\I picked that time for a reason...\Chiyo? response:	She's so weird.
context: Why did I say eight in the evening?\I should have made it right after school.\Isn't this milk coffee too sweet?\Not at all!\No, I have my plan.\I picked that time for a reason...\Chiyo?\She's so weird. response:	I'm going to make my first coffee with Miketsukami absolutely perfect!
context: I should have made it right after school.\Isn't this milk coffee too sweet?\Not at all!\No, I have my plan.\I picked that time for a reason...\Chiyo?\She's so weird.\I'm going to make my first coffee with Miketsukami absolutely perfect! response:	That's why...
context: Isn't this milk coffee too sweet?\Not at all!\No, I have my plan.\I picked that time for a reason...\Chiyo?\She's so weird.\I'm going to make my first coffee with Miketsukami absolutely perfect!\That's why... response:	Speak in a Confrontational Manner
context: Not at all!\No, I have my plan.\I picked that time for a reason...\Chiyo?\She's so weird.\I'm going to make my first coffee with Miketsukami absolutely perfect!\That's why...\Speak in a Confrontational Manner response:	What's this?
context: No, I have my plan.\I picked that time for a reason...\Chiyo?\She's so weird.\I'm going to make my first coffee with Miketsukami absolutely perfect!\That's why...\Speak in a Confrontational Manner\What's this? response:	Some kind of a joke?
context: I picked that time for a reason...\Chiyo?\She's so weird.\I'm going to make my first coffee with Miketsukami absolutely perfect!\That's why...\Speak in a Confrontational Manner\What's this?\Some kind of a joke? response:	What the hell is this?!
context: Chiyo?\She's so weird.\I'm going to make my first coffee with Miketsukami absolutely perfect!\That's why...\Speak in a Confrontational Manner\What's this?\Some kind of a joke?\What the hell is this?! response:	That's more like a line from a cop drama than confrontational.
context: She's so weird.\I'm going to make my first coffee with Miketsukami absolutely perfect!\That's why...\Speak in a Confrontational Manner\What's this?\Some kind of a joke?\What the hell is this?!\That's more like a line from a cop drama than confrontational. response:	Hey, you...
context: I'm going to make my first coffee with Miketsukami absolutely perfect!\That's why...\Speak in a Confrontational Manner\What's this?\Some kind of a joke?\What the hell is this?!\That's more like a line from a cop drama than confrontational.\Hey, you... response:	Nice boobies.
context: That's why...\Speak in a Confrontational Manner\What's this?\Some kind of a joke?\What the hell is this?!\That's more like a line from a cop drama than confrontational.\Hey, you...\Nice boobies. response:	Your boobies are nice, too. Damn you!
context: Speak in a Confrontational Manner\What's this?\Some kind of a joke?\What the hell is this?!\That's more like a line from a cop drama than confrontational.\Hey, you...\Nice boobies.\Your boobies are nice, too. Damn you! response:	They're really doing that...
context: What's this?\Some kind of a joke?\What the hell is this?!\That's more like a line from a cop drama than confrontational.\Hey, you...\Nice boobies.\Your boobies are nice, too. Damn you!\They're really doing that... response:	So you think you're too cool for this, tranny?
context: Some kind of a joke?\What the hell is this?!\That's more like a line from a cop drama than confrontational.\Hey, you...\Nice boobies.\Your boobies are nice, too. Damn you!\They're really doing that...\So you think you're too cool for this, tranny? response:	Now that's confrontational.
context: What the hell is this?!\That's more like a line from a cop drama than confrontational.\Hey, you...\Nice boobies.\Your boobies are nice, too. Damn you!\They're really doing that...\So you think you're too cool for this, tranny?\Now that's confrontational. response:	Gold Assortment
context: That's more like a line from a cop drama than confrontational.\Hey, you...\Nice boobies.\Your boobies are nice, too. Damn you!\They're really doing that...\So you think you're too cool for this, tranny?\Now that's confrontational.\Gold Assortment response:	So what are you doing here?
context: Hey, you...\Nice boobies.\Your boobies are nice, too. Damn you!\They're really doing that...\So you think you're too cool for this, tranny?\Now that's confrontational.\Gold Assortment\So what are you doing here? response:	There are so many delicious things here.
context: Nice boobies.\Your boobies are nice, too. Damn you!\They're really doing that...\So you think you're too cool for this, tranny?\Now that's confrontational.\Gold Assortment\So what are you doing here?\There are so many delicious things here. response:	I'm sorry, but I have shopping to...
context: Your boobies are nice, too. Damn you!\They're really doing that...\So you think you're too cool for this, tranny?\Now that's confrontational.\Gold Assortment\So what are you doing here?\There are so many delicious things here.\I'm sorry, but I have shopping to... response:	So delicious!
context: They're really doing that...\So you think you're too cool for this, tranny?\Now that's confrontational.\Gold Assortment\So what are you doing here?\There are so many delicious things here.\I'm sorry, but I have shopping to...\So delicious! response:	I told you...
context: So you think you're too cool for this, tranny?\Now that's confrontational.\Gold Assortment\So what are you doing here?\There are so many delicious things here.\I'm sorry, but I have shopping to...\So delicious!\I told you... response:	I have shopping to...
context: Now that's confrontational.\Gold Assortment\So what are you doing here?\There are so many delicious things here.\I'm sorry, but I have shopping to...\So delicious!\I told you...\I have shopping to... response:	Here.
context: Gold Assortment\So what are you doing here?\There are so many delicious things here.\I'm sorry, but I have shopping to...\So delicious!\I told you...\I have shopping to...\Here. response:	Are you even listening to me?
context: So what are you doing here?\There are so many delicious things here.\I'm sorry, but I have shopping to...\So delicious!\I told you...\I have shopping to...\Here.\Are you even listening to me? response:	I guess I'll have to...
context: There are so many delicious things here.\I'm sorry, but I have shopping to...\So delicious!\I told you...\I have shopping to...\Here.\Are you even listening to me?\I guess I'll have to... response:	This is the only
context: I'm sorry, but I have shopping to...\So delicious!\I told you...\I have shopping to...\Here.\Are you even listening to me?\I guess I'll have to...\This is the only response:	I-It isn't too bad.
context: So delicious!\I told you...\I have shopping to...\Here.\Are you even listening to me?\I guess I'll have to...\This is the only\I-It isn't too bad. response:	These are so good.
context: I told you...\I have shopping to...\Here.\Are you even listening to me?\I guess I'll have to...\This is the only\I-It isn't too bad.\These are so good. response:	Here.
context: I have shopping to...\Here.\Are you even listening to me?\I guess I'll have to...\This is the only\I-It isn't too bad.\These are so good.\Here. response:	But this is the last one.
context: Here.\Are you even listening to me?\I guess I'll have to...\This is the only\I-It isn't too bad.\These are so good.\Here.\But this is the last one. response:	This is so good.
context: Are you even listening to me?\I guess I'll have to...\This is the only\I-It isn't too bad.\These are so good.\Here.\But this is the last one.\This is so good. response:	I suppose I could say it isn't too sweet, with a balanced tartness.
context: I guess I'll have to...\This is the only\I-It isn't too bad.\These are so good.\Here.\But this is the last one.\This is so good.\I suppose I could say it isn't too sweet, with a balanced tartness. response:	That's so good.
context: This is the only\I-It isn't too bad.\These are so good.\Here.\But this is the last one.\This is so good.\I suppose I could say it isn't too sweet, with a balanced tartness.\That's so good. response:	The fruit has a proper texture.
context: I-It isn't too bad.\These are so good.\Here.\But this is the last one.\This is so good.\I suppose I could say it isn't too sweet, with a balanced tartness.\That's so good.\The fruit has a proper texture. response:	It's quite juicy, with a well-rounded scent.
context: These are so good.\Here.\But this is the last one.\This is so good.\I suppose I could say it isn't too sweet, with a balanced tartness.\That's so good.\The fruit has a proper texture.\It's quite juicy, with a well-rounded scent. response:	I guess I'd say that it isn't not tasty...
context: Here.\But this is the last one.\This is so good.\I suppose I could say it isn't too sweet, with a balanced tartness.\That's so good.\The fruit has a proper texture.\It's quite juicy, with a well-rounded scent.\I guess I'd say that it isn't not tasty... response:	Don't Talk
context: But this is the last one.\This is so good.\I suppose I could say it isn't too sweet, with a balanced tartness.\That's so good.\The fruit has a proper texture.\It's quite juicy, with a well-rounded scent.\I guess I'd say that it isn't not tasty...\Don't Talk response:	What's that?
context: This is so good.\I suppose I could say it isn't too sweet, with a balanced tartness.\That's so good.\The fruit has a proper texture.\It's quite juicy, with a well-rounded scent.\I guess I'd say that it isn't not tasty...\Don't Talk\What's that? response:	Who knows?
context: I suppose I could say it isn't too sweet, with a balanced tartness.\That's so good.\The fruit has a proper texture.\It's quite juicy, with a well-rounded scent.\I guess I'd say that it isn't not tasty...\Don't Talk\What's that?\Who knows? response:	Some kind of joke?
context: That's so good.\The fruit has a proper texture.\It's quite juicy, with a well-rounded scent.\I guess I'd say that it isn't not tasty...\Don't Talk\What's that?\Who knows?\Some kind of joke? response:	Just so you know, it wasn't me.
context: The fruit has a proper texture.\It's quite juicy, with a well-rounded scent.\I guess I'd say that it isn't not tasty...\Don't Talk\What's that?\Who knows?\Some kind of joke?\Just so you know, it wasn't me. response:	Are you saying you wrote that?
context: It's quite juicy, with a well-rounded scent.\I guess I'd say that it isn't not tasty...\Don't Talk\What's that?\Who knows?\Some kind of joke?\Just so you know, it wasn't me.\Are you saying you wrote that? response:	What? Do I have something on my face?
context: I guess I'd say that it isn't not tasty...\Don't Talk\What's that?\Who knows?\Some kind of joke?\Just so you know, it wasn't me.\Are you saying you wrote that?\What? Do I have something on my face? response:	If you're doing something silly again, I'm gonna get mad.
context: Don't Talk\What's that?\Who knows?\Some kind of joke?\Just so you know, it wasn't me.\Are you saying you wrote that?\What? Do I have something on my face?\If you're doing something silly again, I'm gonna get mad. response:	Do I have something on my ears?
context: What's that?\Who knows?\Some kind of joke?\Just so you know, it wasn't me.\Are you saying you wrote that?\What? Do I have something on my face?\If you're doing something silly again, I'm gonna get mad.\Do I have something on my ears? response:	Ears?
context: Who knows?\Some kind of joke?\Just so you know, it wasn't me.\Are you saying you wrote that?\What? Do I have something on my face?\If you're doing something silly again, I'm gonna get mad.\Do I have something on my ears?\Ears? response:	Can you get it off?
context: Some kind of joke?\Just so you know, it wasn't me.\Are you saying you wrote that?\What? Do I have something on my face?\If you're doing something silly again, I'm gonna get mad.\Do I have something on my ears?\Ears?\Can you get it off? response:	Now, now...
context: Just so you know, it wasn't me.\Are you saying you wrote that?\What? Do I have something on my face?\If you're doing something silly again, I'm gonna get mad.\Do I have something on my ears?\Ears?\Can you get it off?\Now, now... response:	Why are you apologizing to me?
context: Are you saying you wrote that?\What? Do I have something on my face?\If you're doing something silly again, I'm gonna get mad.\Do I have something on my ears?\Ears?\Can you get it off?\Now, now...\Why are you apologizing to me? response:	Did you get it off?
context: What? Do I have something on my face?\If you're doing something silly again, I'm gonna get mad.\Do I have something on my ears?\Ears?\Can you get it off?\Now, now...\Why are you apologizing to me?\Did you get it off? response:	No, no.
context: If you're doing something silly again, I'm gonna get mad.\Do I have something on my ears?\Ears?\Can you get it off?\Now, now...\Why are you apologizing to me?\Did you get it off?\No, no. response:	Then, I'll see you later.
context: Do I have something on my ears?\Ears?\Can you get it off?\Now, now...\Why are you apologizing to me?\Did you get it off?\No, no.\Then, I'll see you later. response:	Yes.
context: Ears?\Can you get it off?\Now, now...\Why are you apologizing to me?\Did you get it off?\No, no.\Then, I'll see you later.\Yes. response:	Bye.
context: Can you get it off?\Now, now...\Why are you apologizing to me?\Did you get it off?\No, no.\Then, I'll see you later.\Yes.\Bye. response:	All right!
context: Now, now...\Why are you apologizing to me?\Did you get it off?\No, no.\Then, I'll see you later.\Yes.\Bye.\All right! response:	Delivery for you.
context: Why are you apologizing to me?\Did you get it off?\No, no.\Then, I'll see you later.\Yes.\Bye.\All right!\Delivery for you. response:	It's a musk melon!
context: Did you get it off?\No, no.\Then, I'll see you later.\Yes.\Bye.\All right!\Delivery for you.\It's a musk melon! response:	Thanks.
context: No, no.\Then, I'll see you later.\Yes.\Bye.\All right!\Delivery for you.\It's a musk melon!\Thanks. response:	A mask melon.
context: Then, I'll see you later.\Yes.\Bye.\All right!\Delivery for you.\It's a musk melon!\Thanks.\A mask melon. response:	Once you eat it, you'll be...
context: Yes.\Bye.\All right!\Delivery for you.\It's a musk melon!\Thanks.\A mask melon.\Once you eat it, you'll be... response:	It's not M-A-S-K, like things worn on the face.
context: Bye.\All right!\Delivery for you.\It's a musk melon!\Thanks.\A mask melon.\Once you eat it, you'll be...\It's not M-A-S-K, like things worn on the face. response:	It's M-U-S-K, as in the scent.
context: All right!\Delivery for you.\It's a musk melon!\Thanks.\A mask melon.\Once you eat it, you'll be...\It's not M-A-S-K, like things worn on the face.\It's M-U-S-K, as in the scent. response:	It has a musky fragrance, which is how it got its name.
context: Delivery for you.\It's a musk melon!\Thanks.\A mask melon.\Once you eat it, you'll be...\It's not M-A-S-K, like things worn on the face.\It's M-U-S-K, as in the scent.\It has a musky fragrance, which is how it got its name. response:	It's a wise tranny!
context: It's a musk melon!\Thanks.\A mask melon.\Once you eat it, you'll be...\It's not M-A-S-K, like things worn on the face.\It's M-U-S-K, as in the scent.\It has a musky fragrance, which is how it got its name.\It's a wise tranny! response:	Are you mocking trannies?
context: Thanks.\A mask melon.\Once you eat it, you'll be...\It's not M-A-S-K, like things worn on the face.\It's M-U-S-K, as in the scent.\It has a musky fragrance, which is how it got its name.\It's a wise tranny!\Are you mocking trannies? response:	Just give me the melon.
context: A mask melon.\Once you eat it, you'll be...\It's not M-A-S-K, like things worn on the face.\It's M-U-S-K, as in the scent.\It has a musky fragrance, which is how it got its name.\It's a wise tranny!\Are you mocking trannies?\Just give me the melon. response:	It's perfect.
context: Once you eat it, you'll be...\It's not M-A-S-K, like things worn on the face.\It's M-U-S-K, as in the scent.\It has a musky fragrance, which is how it got its name.\It's a wise tranny!\Are you mocking trannies?\Just give me the melon.\It's perfect. response:	Now I know why I set the time for eight in the evening.
context: It's not M-A-S-K, like things worn on the face.\It's M-U-S-K, as in the scent.\It has a musky fragrance, which is how it got its name.\It's a wise tranny!\Are you mocking trannies?\Just give me the melon.\It's perfect.\Now I know why I set the time for eight in the evening. response:	To get everything ready, and make it all perfect.
context: It's M-U-S-K, as in the scent.\It has a musky fragrance, which is how it got its name.\It's a wise tranny!\Are you mocking trannies?\Just give me the melon.\It's perfect.\Now I know why I set the time for eight in the evening.\To get everything ready, and make it all perfect. response:	I still have four hours...
context: It has a musky fragrance, which is how it got its name.\It's a wise tranny!\Are you mocking trannies?\Just give me the melon.\It's perfect.\Now I know why I set the time for eight in the evening.\To get everything ready, and make it all perfect.\I still have four hours... response:	There's too much time left.
context: It's a wise tranny!\Are you mocking trannies?\Just give me the melon.\It's perfect.\Now I know why I set the time for eight in the evening.\To get everything ready, and make it all perfect.\I still have four hours...\There's too much time left. response:	It's Roromiya.
context: Are you mocking trannies?\Just give me the melon.\It's perfect.\Now I know why I set the time for eight in the evening.\To get everything ready, and make it all perfect.\I still have four hours...\There's too much time left.\It's Roromiya. response:	Hello?
context: Just give me the melon.\It's perfect.\Now I know why I set the time for eight in the evening.\To get everything ready, and make it all perfect.\I still have four hours...\There's too much time left.\It's Roromiya.\Hello? response:	Studying for a test?
context: It's perfect.\Now I know why I set the time for eight in the evening.\To get everything ready, and make it all perfect.\I still have four hours...\There's too much time left.\It's Roromiya.\Hello?\Studying for a test? response:	Doesn't this take you back to our youth?
context: Now I know why I set the time for eight in the evening.\To get everything ready, and make it all perfect.\I still have four hours...\There's too much time left.\It's Roromiya.\Hello?\Studying for a test?\Doesn't this take you back to our youth? response:	It does indeed...
context: To get everything ready, and make it all perfect.\I still have four hours...\There's too much time left.\It's Roromiya.\Hello?\Studying for a test?\Doesn't this take you back to our youth?\It does indeed... response:	You aren't that old.
context: I still have four hours...\There's too much time left.\It's Roromiya.\Hello?\Studying for a test?\Doesn't this take you back to our youth?\It does indeed...\You aren't that old. response:	This is so wonderful.
context: There's too much time left.\It's Roromiya.\Hello?\Studying for a test?\Doesn't this take you back to our youth?\It does indeed...\You aren't that old.\This is so wonderful. response:	Sitting here, beneath the lush greenery,
context: It's Roromiya.\Hello?\Studying for a test?\Doesn't this take you back to our youth?\It does indeed...\You aren't that old.\This is so wonderful.\Sitting here, beneath the lush greenery, response:	with two beautiful, studious girls...
context: Hello?\Studying for a test?\Doesn't this take you back to our youth?\It does indeed...\You aren't that old.\This is so wonderful.\Sitting here, beneath the lush greenery,\with two beautiful, studious girls... response:	Two, together!
context: Studying for a test?\Doesn't this take you back to our youth?\It does indeed...\You aren't that old.\This is so wonderful.\Sitting here, beneath the lush greenery,\with two beautiful, studious girls...\Two, together! response:	I'm here, too!
context: Doesn't this take you back to our youth?\It does indeed...\You aren't that old.\This is so wonderful.\Sitting here, beneath the lush greenery,\with two beautiful, studious girls...\Two, together!\I'm here, too! response:	Hey, what are you guys up to?
context: It does indeed...\You aren't that old.\This is so wonderful.\Sitting here, beneath the lush greenery,\with two beautiful, studious girls...\Two, together!\I'm here, too!\Hey, what are you guys up to? response:	Watanuki's class has a quiz next week.
context: You aren't that old.\This is so wonderful.\Sitting here, beneath the lush greenery,\with two beautiful, studious girls...\Two, together!\I'm here, too!\Hey, what are you guys up to?\Watanuki's class has a quiz next week. response:	Huh... So that's why you're all studying?
context: This is so wonderful.\Sitting here, beneath the lush greenery,\with two beautiful, studious girls...\Two, together!\I'm here, too!\Hey, what are you guys up to?\Watanuki's class has a quiz next week.\Huh... So that's why you're all studying? response:	I had some time left.
context: Sitting here, beneath the lush greenery,\with two beautiful, studious girls...\Two, together!\I'm here, too!\Hey, what are you guys up to?\Watanuki's class has a quiz next week.\Huh... So that's why you're all studying?\I had some time left. response:	I only accepted the invitation to kill some time.
context: with two beautiful, studious girls...\Two, together!\I'm here, too!\Hey, what are you guys up to?\Watanuki's class has a quiz next week.\Huh... So that's why you're all studying?\I had some time left.\I only accepted the invitation to kill some time. response:	What a brat.
context: Two, together!\I'm here, too!\Hey, what are you guys up to?\Watanuki's class has a quiz next week.\Huh... So that's why you're all studying?\I had some time left.\I only accepted the invitation to kill some time.\What a brat. response:	Time left? You have something to do later?
context: I'm here, too!\Hey, what are you guys up to?\Watanuki's class has a quiz next week.\Huh... So that's why you're all studying?\I had some time left.\I only accepted the invitation to kill some time.\What a brat.\Time left? You have something to do later? response:	Naturally.
context: Hey, what are you guys up to?\Watanuki's class has a quiz next week.\Huh... So that's why you're all studying?\I had some time left.\I only accepted the invitation to kill some time.\What a brat.\Time left? You have something to do later?\Naturally. response:	I'm not like you.
context: Watanuki's class has a quiz next week.\Huh... So that's why you're all studying?\I had some time left.\I only accepted the invitation to kill some time.\What a brat.\Time left? You have something to do later?\Naturally.\I'm not like you. response:	I guess you're busy...
