context: Look, the sea! response:	-OP-
context: Let's swim, Okumura!\Izumo, get changed, come on! Put on your bikini!\I love the sea!\Why...\Come on, come on, hurry...\Why do I have to help with this crappy squid fry thing when there's all these hotties out there...?\Come come, have some! This fried squid is so good you'd sell your soul for a single bite!\You seem to be enjoying yourself, Okumura. response:	Huh? Well... I don't mind doing this.
context: Izumo, get changed, come on! Put on your bikini!\I love the sea!\Why...\Come on, come on, hurry...\Why do I have to help with this crappy squid fry thing when there's all these hotties out there...?\Come come, have some! This fried squid is so good you'd sell your soul for a single bite!\You seem to be enjoying yourself, Okumura.\Huh? Well... I don't mind doing this. response:	But...
context: I love the sea!\Why...\Come on, come on, hurry...\Why do I have to help with this crappy squid fry thing when there's all these hotties out there...?\Come come, have some! This fried squid is so good you'd sell your soul for a single bite!\You seem to be enjoying yourself, Okumura.\Huh? Well... I don't mind doing this.\But... response:	There's not a single customer!
context: Why...\Come on, come on, hurry...\Why do I have to help with this crappy squid fry thing when there's all these hotties out there...?\Come come, have some! This fried squid is so good you'd sell your soul for a single bite!\You seem to be enjoying yourself, Okumura.\Huh? Well... I don't mind doing this.\But...\There's not a single customer! response:	It's weird. This squid really tastes great.
context: Come on, come on, hurry...\Why do I have to help with this crappy squid fry thing when there's all these hotties out there...?\Come come, have some! This fried squid is so good you'd sell your soul for a single bite!\You seem to be enjoying yourself, Okumura.\Huh? Well... I don't mind doing this.\But...\There's not a single customer!\It's weird. This squid really tastes great. response:	It smells nyammy too. Just a little... Rin?
context: Why do I have to help with this crappy squid fry thing when there's all these hotties out there...?\Come come, have some! This fried squid is so good you'd sell your soul for a single bite!\You seem to be enjoying yourself, Okumura.\Huh? Well... I don't mind doing this.\But...\There's not a single customer!\It's weird. This squid really tastes great.\It smells nyammy too. Just a little... Rin? response:	You can't, it's for sale.
context: Come come, have some! This fried squid is so good you'd sell your soul for a single bite!\You seem to be enjoying yourself, Okumura.\Huh? Well... I don't mind doing this.\But...\There's not a single customer!\It's weird. This squid really tastes great.\It smells nyammy too. Just a little... Rin?\You can't, it's for sale. response:	Ah, is that your new familiar cat sith?
context: You seem to be enjoying yourself, Okumura.\Huh? Well... I don't mind doing this.\But...\There's not a single customer!\It's weird. This squid really tastes great.\It smells nyammy too. Just a little... Rin?\You can't, it's for sale.\Ah, is that your new familiar cat sith? response:	They called this a mission so I brought him along...
context: Huh? Well... I don't mind doing this.\But...\There's not a single customer!\It's weird. This squid really tastes great.\It smells nyammy too. Just a little... Rin?\You can't, it's for sale.\Ah, is that your new familiar cat sith?\They called this a mission so I brought him along... response:	But how's this a mission?
context: But...\There's not a single customer!\It's weird. This squid really tastes great.\It smells nyammy too. Just a little... Rin?\You can't, it's for sale.\Ah, is that your new familiar cat sith?\They called this a mission so I brought him along...\But how's this a mission? response:	Though this is still better than looking for seaweed for anti-demon drugs.
context: There's not a single customer!\It's weird. This squid really tastes great.\It smells nyammy too. Just a little... Rin?\You can't, it's for sale.\Ah, is that your new familiar cat sith?\They called this a mission so I brought him along...\But how's this a mission?\Though this is still better than looking for seaweed for anti-demon drugs. response:	This shop and the inn we're staying at are both run by the family of the whiskers guy's wife.
context: It's weird. This squid really tastes great.\It smells nyammy too. Just a little... Rin?\You can't, it's for sale.\Ah, is that your new familiar cat sith?\They called this a mission so I brought him along...\But how's this a mission?\Though this is still better than looking for seaweed for anti-demon drugs.\This shop and the inn we're staying at are both run by the family of the whiskers guy's wife. response:	I'm starting to feel like Bon and Koneko were lucky to get away with looking for ghost stones at the Tama river.
context: It smells nyammy too. Just a little... Rin?\You can't, it's for sale.\Ah, is that your new familiar cat sith?\They called this a mission so I brought him along...\But how's this a mission?\Though this is still better than looking for seaweed for anti-demon drugs.\This shop and the inn we're staying at are both run by the family of the whiskers guy's wife.\I'm starting to feel like Bon and Koneko were lucky to get away with looking for ghost stones at the Tama river. response:	Which way?
context: You can't, it's for sale.\Ah, is that your new familiar cat sith?\They called this a mission so I brought him along...\But how's this a mission?\Though this is still better than looking for seaweed for anti-demon drugs.\This shop and the inn we're staying at are both run by the family of the whiskers guy's wife.\I'm starting to feel like Bon and Koneko were lucky to get away with looking for ghost stones at the Tama river.\Which way? response:	How about around there by the rocks?
context: Ah, is that your new familiar cat sith?\They called this a mission so I brought him along...\But how's this a mission?\Though this is still better than looking for seaweed for anti-demon drugs.\This shop and the inn we're staying at are both run by the family of the whiskers guy's wife.\I'm starting to feel like Bon and Koneko were lucky to get away with looking for ghost stones at the Tama river.\Which way?\How about around there by the rocks? response:	Yeah, it seems quiet over there.
context: They called this a mission so I brought him along...\But how's this a mission?\Though this is still better than looking for seaweed for anti-demon drugs.\This shop and the inn we're staying at are both run by the family of the whiskers guy's wife.\I'm starting to feel like Bon and Koneko were lucky to get away with looking for ghost stones at the Tama river.\Which way?\How about around there by the rocks?\Yeah, it seems quiet over there. response:	Guess we'd need a cute sales girl to attract customers?
context: But how's this a mission?\Though this is still better than looking for seaweed for anti-demon drugs.\This shop and the inn we're staying at are both run by the family of the whiskers guy's wife.\I'm starting to feel like Bon and Koneko were lucky to get away with looking for ghost stones at the Tama river.\Which way?\How about around there by the rocks?\Yeah, it seems quiet over there.\Guess we'd need a cute sales girl to attract customers? response:	Maybe if Izumo helped out a bit more...
context: Though this is still better than looking for seaweed for anti-demon drugs.\This shop and the inn we're staying at are both run by the family of the whiskers guy's wife.\I'm starting to feel like Bon and Koneko were lucky to get away with looking for ghost stones at the Tama river.\Which way?\How about around there by the rocks?\Yeah, it seems quiet over there.\Guess we'd need a cute sales girl to attract customers?\Maybe if Izumo helped out a bit more... response:	She really sucks at teamwork.
context: This shop and the inn we're staying at are both run by the family of the whiskers guy's wife.\I'm starting to feel like Bon and Koneko were lucky to get away with looking for ghost stones at the Tama river.\Which way?\How about around there by the rocks?\Yeah, it seems quiet over there.\Guess we'd need a cute sales girl to attract customers?\Maybe if Izumo helped out a bit more...\She really sucks at teamwork. response:	Sorry about that.
context: I'm starting to feel like Bon and Koneko were lucky to get away with looking for ghost stones at the Tama river.\Which way?\How about around there by the rocks?\Yeah, it seems quiet over there.\Guess we'd need a cute sales girl to attract customers?\Maybe if Izumo helped out a bit more...\She really sucks at teamwork.\Sorry about that. response:	You look cute in your bikini today, too.
context: Which way?\How about around there by the rocks?\Yeah, it seems quiet over there.\Guess we'd need a cute sales girl to attract customers?\Maybe if Izumo helped out a bit more...\She really sucks at teamwork.\Sorry about that.\You look cute in your bikini today, too. response:	What are you saying? I helped with the squid fry already, didn't I?
context: How about around there by the rocks?\Yeah, it seems quiet over there.\Guess we'd need a cute sales girl to attract customers?\Maybe if Izumo helped out a bit more...\She really sucks at teamwork.\Sorry about that.\You look cute in your bikini today, too.\What are you saying? I helped with the squid fry already, didn't I? response:	Or do you think that being a salesgirl suits me better?
context: Yeah, it seems quiet over there.\Guess we'd need a cute sales girl to attract customers?\Maybe if Izumo helped out a bit more...\She really sucks at teamwork.\Sorry about that.\You look cute in your bikini today, too.\What are you saying? I helped with the squid fry already, didn't I?\Or do you think that being a salesgirl suits me better? response:	That's right...
context: Guess we'd need a cute sales girl to attract customers?\Maybe if Izumo helped out a bit more...\She really sucks at teamwork.\Sorry about that.\You look cute in your bikini today, too.\What are you saying? I helped with the squid fry already, didn't I?\Or do you think that being a salesgirl suits me better?\That's right... response:	I swam enough already, so just have your fun!
context: Maybe if Izumo helped out a bit more...\She really sucks at teamwork.\Sorry about that.\You look cute in your bikini today, too.\What are you saying? I helped with the squid fry already, didn't I?\Or do you think that being a salesgirl suits me better?\That's right...\I swam enough already, so just have your fun! response:	Of course I will. We decided to take turns, didn't we?
context: She really sucks at teamwork.\Sorry about that.\You look cute in your bikini today, too.\What are you saying? I helped with the squid fry already, didn't I?\Or do you think that being a salesgirl suits me better?\That's right...\I swam enough already, so just have your fun!\Of course I will. We decided to take turns, didn't we? response:	Same as ever... Even this heat doesn't melt her.
context: Sorry about that.\You look cute in your bikini today, too.\What are you saying? I helped with the squid fry already, didn't I?\Or do you think that being a salesgirl suits me better?\That's right...\I swam enough already, so just have your fun!\Of course I will. We decided to take turns, didn't we?\Same as ever... Even this heat doesn't melt her. response:	Ah, thanks for your hard work!
context: You look cute in your bikini today, too.\What are you saying? I helped with the squid fry already, didn't I?\Or do you think that being a salesgirl suits me better?\That's right...\I swam enough already, so just have your fun!\Of course I will. We decided to take turns, didn't we?\Same as ever... Even this heat doesn't melt her.\Ah, thanks for your hard work! response:	How's the business? I'm so happy to have kind students like you.
context: What are you saying? I helped with the squid fry already, didn't I?\Or do you think that being a salesgirl suits me better?\That's right...\I swam enough already, so just have your fun!\Of course I will. We decided to take turns, didn't we?\Same as ever... Even this heat doesn't melt her.\Ah, thanks for your hard work!\How's the business? I'm so happy to have kind students like you. response:	Teamwork my ass.
context: Or do you think that being a salesgirl suits me better?\That's right...\I swam enough already, so just have your fun!\Of course I will. We decided to take turns, didn't we?\Same as ever... Even this heat doesn't melt her.\Ah, thanks for your hard work!\How's the business? I'm so happy to have kind students like you.\Teamwork my ass. response:	But this feels good...
context: That's right...\I swam enough already, so just have your fun!\Of course I will. We decided to take turns, didn't we?\Same as ever... Even this heat doesn't melt her.\Ah, thanks for your hard work!\How's the business? I'm so happy to have kind students like you.\Teamwork my ass.\But this feels good... response:	It's been a while.
context: I swam enough already, so just have your fun!\Of course I will. We decided to take turns, didn't we?\Same as ever... Even this heat doesn't melt her.\Ah, thanks for your hard work!\How's the business? I'm so happy to have kind students like you.\Teamwork my ass.\But this feels good...\It's been a while. response:	Too many things have happened.
context: Of course I will. We decided to take turns, didn't we?\Same as ever... Even this heat doesn't melt her.\Ah, thanks for your hard work!\How's the business? I'm so happy to have kind students like you.\Teamwork my ass.\But this feels good...\It's been a while.\Too many things have happened. response:	Eek, my leg cramped!
context: Same as ever... Even this heat doesn't melt her.\Ah, thanks for your hard work!\How's the business? I'm so happy to have kind students like you.\Teamwork my ass.\But this feels good...\It's been a while.\Too many things have happened.\Eek, my leg cramped! response:	Hey, are you all right?
context: Ah, thanks for your hard work!\How's the business? I'm so happy to have kind students like you.\Teamwork my ass.\But this feels good...\It's been a while.\Too many things have happened.\Eek, my leg cramped!\Hey, are you all right? response:	Ow, ow! Don't fight!
context: How's the business? I'm so happy to have kind students like you.\Teamwork my ass.\But this feels good...\It's been a while.\Too many things have happened.\Eek, my leg cramped!\Hey, are you all right?\Ow, ow! Don't fight! response:	I was trying to give you mouth-to-mouth!
context: Teamwork my ass.\But this feels good...\It's been a while.\Too many things have happened.\Eek, my leg cramped!\Hey, are you all right?\Ow, ow! Don't fight!\I was trying to give you mouth-to-mouth! response:	You touched my breast and assaulted me, how dare you?!
context: But this feels good...\It's been a while.\Too many things have happened.\Eek, my leg cramped!\Hey, are you all right?\Ow, ow! Don't fight!\I was trying to give you mouth-to-mouth!\You touched my breast and assaulted me, how dare you?! response:	I helped you! Show some gratitude!
context: It's been a while.\Too many things have happened.\Eek, my leg cramped!\Hey, are you all right?\Ow, ow! Don't fight!\I was trying to give you mouth-to-mouth!\You touched my breast and assaulted me, how dare you?!\I helped you! Show some gratitude! response:	You're mean, you boulderhead.
context: Too many things have happened.\Eek, my leg cramped!\Hey, are you all right?\Ow, ow! Don't fight!\I was trying to give you mouth-to-mouth!\You touched my breast and assaulted me, how dare you?!\I helped you! Show some gratitude!\You're mean, you boulderhead. response:	You're the one to talk! Look at my forehead!
context: Eek, my leg cramped!\Hey, are you all right?\Ow, ow! Don't fight!\I was trying to give you mouth-to-mouth!\You touched my breast and assaulted me, how dare you?!\I helped you! Show some gratitude!\You're mean, you boulderhead.\You're the one to talk! Look at my forehead! response:	My chin is even...
context: Hey, are you all right?\Ow, ow! Don't fight!\I was trying to give you mouth-to-mouth!\You touched my breast and assaulted me, how dare you?!\I helped you! Show some gratitude!\You're mean, you boulderhead.\You're the one to talk! Look at my forehead!\My chin is even... response:	What?
context: Ow, ow! Don't fight!\I was trying to give you mouth-to-mouth!\You touched my breast and assaulted me, how dare you?!\I helped you! Show some gratitude!\You're mean, you boulderhead.\You're the one to talk! Look at my forehead!\My chin is even...\What? response:	You're... cute.
context: I was trying to give you mouth-to-mouth!\You touched my breast and assaulted me, how dare you?!\I helped you! Show some gratitude!\You're mean, you boulderhead.\You're the one to talk! Look at my forehead!\My chin is even...\What?\You're... cute. response:	What are you saying, kiddo?!
context: You touched my breast and assaulted me, how dare you?!\I helped you! Show some gratitude!\You're mean, you boulderhead.\You're the one to talk! Look at my forehead!\My chin is even...\What?\You're... cute.\What are you saying, kiddo?! response:	I'm not kiddo! I'm Yohei!
context: I helped you! Show some gratitude!\You're mean, you boulderhead.\You're the one to talk! Look at my forehead!\My chin is even...\What?\You're... cute.\What are you saying, kiddo?!\I'm not kiddo! I'm Yohei! response:	Hey, are you okay?
context: You're mean, you boulderhead.\You're the one to talk! Look at my forehead!\My chin is even...\What?\You're... cute.\What are you saying, kiddo?!\I'm not kiddo! I'm Yohei!\Hey, are you okay? response:	You were really lucky.
context: You're the one to talk! Look at my forehead!\My chin is even...\What?\You're... cute.\What are you saying, kiddo?!\I'm not kiddo! I'm Yohei!\Hey, are you okay?\You were really lucky. response:	But where's your heroic savior?
context: My chin is even...\What?\You're... cute.\What are you saying, kiddo?!\I'm not kiddo! I'm Yohei!\Hey, are you okay?\You were really lucky.\But where's your heroic savior? response:	It's me!
context: What?\You're... cute.\What are you saying, kiddo?!\I'm not kiddo! I'm Yohei!\Hey, are you okay?\You were really lucky.\But where's your heroic savior?\It's me! response:	Huh?
context: You're... cute.\What are you saying, kiddo?!\I'm not kiddo! I'm Yohei!\Hey, are you okay?\You were really lucky.\But where's your heroic savior?\It's me!\Huh? response:	Ah, you're so short that I didn't notice you at all.
context: What are you saying, kiddo?!\I'm not kiddo! I'm Yohei!\Hey, are you okay?\You were really lucky.\But where's your heroic savior?\It's me!\Huh?\Ah, you're so short that I didn't notice you at all. response:	Shut up! My dad said a guy can be small if he's big down there!
context: I'm not kiddo! I'm Yohei!\Hey, are you okay?\You were really lucky.\But where's your heroic savior?\It's me!\Huh?\Ah, you're so short that I didn't notice you at all.\Shut up! My dad said a guy can be small if he's big down there! response:	Huh? Cut that out!
context: Hey, are you okay?\You were really lucky.\But where's your heroic savior?\It's me!\Huh?\Ah, you're so short that I didn't notice you at all.\Shut up! My dad said a guy can be small if he's big down there!\Huh? Cut that out! response:	What? What's wrong with having a big heart?
context: You were really lucky.\But where's your heroic savior?\It's me!\Huh?\Ah, you're so short that I didn't notice you at all.\Shut up! My dad said a guy can be small if he's big down there!\Huh? Cut that out!\What? What's wrong with having a big heart? response:	What?
context: But where's your heroic savior?\It's me!\Huh?\Ah, you're so short that I didn't notice you at all.\Shut up! My dad said a guy can be small if he's big down there!\Huh? Cut that out!\What? What's wrong with having a big heart?\What? response:	What's that ruckus about?
context: It's me!\Huh?\Ah, you're so short that I didn't notice you at all.\Shut up! My dad said a guy can be small if he's big down there!\Huh? Cut that out!\What? What's wrong with having a big heart?\What?\What's that ruckus about? response:	This...
context: Huh?\Ah, you're so short that I didn't notice you at all.\Shut up! My dad said a guy can be small if he's big down there!\Huh? Cut that out!\What? What's wrong with having a big heart?\What?\What's that ruckus about?\This... response:	What's going on?
context: Ah, you're so short that I didn't notice you at all.\Shut up! My dad said a guy can be small if he's big down there!\Huh? Cut that out!\What? What's wrong with having a big heart?\What?\What's that ruckus about?\This...\What's going on? response:	A demon.
context: Shut up! My dad said a guy can be small if he's big down there!\Huh? Cut that out!\What? What's wrong with having a big heart?\What?\What's that ruckus about?\This...\What's going on?\A demon. response:	When the sea turns black,
context: Huh? Cut that out!\What? What's wrong with having a big heart?\What?\What's that ruckus about?\This...\What's going on?\A demon.\When the sea turns black, response:	a demon the size of a hill will appear
context: What? What's wrong with having a big heart?\What?\What's that ruckus about?\This...\What's going on?\A demon.\When the sea turns black,\a demon the size of a hill will appear response:	and destroy the village.
context: What?\What's that ruckus about?\This...\What's going on?\A demon.\When the sea turns black,\a demon the size of a hill will appear\and destroy the village. response:	What...?
context: What's that ruckus about?\This...\What's going on?\A demon.\When the sea turns black,\a demon the size of a hill will appear\and destroy the village.\What...? response:	It's been known in these parts for a long time.
context: This...\What's going on?\A demon.\When the sea turns black,\a demon the size of a hill will appear\and destroy the village.\What...?\It's been known in these parts for a long time. response:	Gods help us.
context: What's going on?\A demon.\When the sea turns black,\a demon the size of a hill will appear\and destroy the village.\What...?\It's been known in these parts for a long time.\Gods help us. response:	What's that?
context: A demon.\When the sea turns black,\a demon the size of a hill will appear\and destroy the village.\What...?\It's been known in these parts for a long time.\Gods help us.\What's that? response:	The priest of this temple drew this about 400 years ago.
context: When the sea turns black,\a demon the size of a hill will appear\and destroy the village.\What...?\It's been known in these parts for a long time.\Gods help us.\What's that?\The priest of this temple drew this about 400 years ago. response:	A squid monster?
context: a demon the size of a hill will appear\and destroy the village.\What...?\It's been known in these parts for a long time.\Gods help us.\What's that?\The priest of this temple drew this about 400 years ago.\A squid monster? response:	The black stain in the sea is probably the ink of the squid.
context: and destroy the village.\What...?\It's been known in these parts for a long time.\Gods help us.\What's that?\The priest of this temple drew this about 400 years ago.\A squid monster?\The black stain in the sea is probably the ink of the squid. response:	But this is just a legend...
context: What...?\It's been known in these parts for a long time.\Gods help us.\What's that?\The priest of this temple drew this about 400 years ago.\A squid monster?\The black stain in the sea is probably the ink of the squid.\But this is just a legend... response:	Actually, about six months ago the sea turned black,
context: It's been known in these parts for a long time.\Gods help us.\What's that?\The priest of this temple drew this about 400 years ago.\A squid monster?\The black stain in the sea is probably the ink of the squid.\But this is just a legend...\Actually, about six months ago the sea turned black, response:	and a man went out to the sea to face the demon.
context: Gods help us.\What's that?\The priest of this temple drew this about 400 years ago.\A squid monster?\The black stain in the sea is probably the ink of the squid.\But this is just a legend...\Actually, about six months ago the sea turned black,\and a man went out to the sea to face the demon. response:	He never returned.
context: What's that?\The priest of this temple drew this about 400 years ago.\A squid monster?\The black stain in the sea is probably the ink of the squid.\But this is just a legend...\Actually, about six months ago the sea turned black,\and a man went out to the sea to face the demon.\He never returned. response:	Just our luck to run into demons even here.
context: The priest of this temple drew this about 400 years ago.\A squid monster?\The black stain in the sea is probably the ink of the squid.\But this is just a legend...\Actually, about six months ago the sea turned black,\and a man went out to the sea to face the demon.\He never returned.\Just our luck to run into demons even here. response:	Wouldn't it be great if defeating that thing was our first mission?
context: A squid monster?\The black stain in the sea is probably the ink of the squid.\But this is just a legend...\Actually, about six months ago the sea turned black,\and a man went out to the sea to face the demon.\He never returned.\Just our luck to run into demons even here.\Wouldn't it be great if defeating that thing was our first mission? response:	What?
context: The black stain in the sea is probably the ink of the squid.\But this is just a legend...\Actually, about six months ago the sea turned black,\and a man went out to the sea to face the demon.\He never returned.\Just our luck to run into demons even here.\Wouldn't it be great if defeating that thing was our first mission?\What? response:	It hurts!
context: But this is just a legend...\Actually, about six months ago the sea turned black,\and a man went out to the sea to face the demon.\He never returned.\Just our luck to run into demons even here.\Wouldn't it be great if defeating that thing was our first mission?\What?\It hurts! response:	Pay attention!
context: Actually, about six months ago the sea turned black,\and a man went out to the sea to face the demon.\He never returned.\Just our luck to run into demons even here.\Wouldn't it be great if defeating that thing was our first mission?\What?\It hurts!\Pay attention! response:	Oh, it's just you.
context: and a man went out to the sea to face the demon.\He never returned.\Just our luck to run into demons even here.\Wouldn't it be great if defeating that thing was our first mission?\What?\It hurts!\Pay attention!\Oh, it's just you. response:	Where'd you go earlier? We were worried about you.
context: He never returned.\Just our luck to run into demons even here.\Wouldn't it be great if defeating that thing was our first mission?\What?\It hurts!\Pay attention!\Oh, it's just you.\Where'd you go earlier? We were worried about you. response:	Nowhere...
context: Just our luck to run into demons even here.\Wouldn't it be great if defeating that thing was our first mission?\What?\It hurts!\Pay attention!\Oh, it's just you.\Where'd you go earlier? We were worried about you.\Nowhere... response:	Nowhere? Anyway, you're really a boulderhead.
context: Wouldn't it be great if defeating that thing was our first mission?\What?\It hurts!\Pay attention!\Oh, it's just you.\Where'd you go earlier? We were worried about you.\Nowhere...\Nowhere? Anyway, you're really a boulderhead. response:	For real.
context: What?\It hurts!\Pay attention!\Oh, it's just you.\Where'd you go earlier? We were worried about you.\Nowhere...\Nowhere? Anyway, you're really a boulderhead.\For real. response:	Does it still hurt?
context: It hurts!\Pay attention!\Oh, it's just you.\Where'd you go earlier? We were worried about you.\Nowhere...\Nowhere? Anyway, you're really a boulderhead.\For real.\Does it still hurt? response:	Of course!
context: Pay attention!\Oh, it's just you.\Where'd you go earlier? We were worried about you.\Nowhere...\Nowhere? Anyway, you're really a boulderhead.\For real.\Does it still hurt?\Of course! response:	Sorry.
context: Oh, it's just you.\Where'd you go earlier? We were worried about you.\Nowhere...\Nowhere? Anyway, you're really a boulderhead.\For real.\Does it still hurt?\Of course!\Sorry. response:	You saw us coming, didn't you?
context: Where'd you go earlier? We were worried about you.\Nowhere...\Nowhere? Anyway, you're really a boulderhead.\For real.\Does it still hurt?\Of course!\Sorry.\You saw us coming, didn't you? response:	Would it hurt to stand aside?
context: Nowhere...\Nowhere? Anyway, you're really a boulderhead.\For real.\Does it still hurt?\Of course!\Sorry.\You saw us coming, didn't you?\Would it hurt to stand aside? response:	I didn't want to. My dad said a man should always walk straight.
context: Nowhere? Anyway, you're really a boulderhead.\For real.\Does it still hurt?\Of course!\Sorry.\You saw us coming, didn't you?\Would it hurt to stand aside?\I didn't want to. My dad said a man should always walk straight. response:	That's just a figure of speech.
context: For real.\Does it still hurt?\Of course!\Sorry.\You saw us coming, didn't you?\Would it hurt to stand aside?\I didn't want to. My dad said a man should always walk straight.\That's just a figure of speech. response:	Wouldn't you get lost all the time if you always walked straight?
context: Does it still hurt?\Of course!\Sorry.\You saw us coming, didn't you?\Would it hurt to stand aside?\I didn't want to. My dad said a man should always walk straight.\That's just a figure of speech.\Wouldn't you get lost all the time if you always walked straight? response:	Nah, you wouldn't.
context: Of course!\Sorry.\You saw us coming, didn't you?\Would it hurt to stand aside?\I didn't want to. My dad said a man should always walk straight.\That's just a figure of speech.\Wouldn't you get lost all the time if you always walked straight?\Nah, you wouldn't. response:	Do you guys know where the pet shop is?
context: Sorry.\You saw us coming, didn't you?\Would it hurt to stand aside?\I didn't want to. My dad said a man should always walk straight.\That's just a figure of speech.\Wouldn't you get lost all the time if you always walked straight?\Nah, you wouldn't.\Do you guys know where the pet shop is? response:	Huh?
context: You saw us coming, didn't you?\Would it hurt to stand aside?\I didn't want to. My dad said a man should always walk straight.\That's just a figure of speech.\Wouldn't you get lost all the time if you always walked straight?\Nah, you wouldn't.\Do you guys know where the pet shop is?\Huh? response:	The pet shop! The directions are written down on this...
context: Would it hurt to stand aside?\I didn't want to. My dad said a man should always walk straight.\That's just a figure of speech.\Wouldn't you get lost all the time if you always walked straight?\Nah, you wouldn't.\Do you guys know where the pet shop is?\Huh?\The pet shop! The directions are written down on this... response:	But I'm lost!
context: I didn't want to. My dad said a man should always walk straight.\That's just a figure of speech.\Wouldn't you get lost all the time if you always walked straight?\Nah, you wouldn't.\Do you guys know where the pet shop is?\Huh?\The pet shop! The directions are written down on this...\But I'm lost! response:	Why do we have to show the way to a local?
context: That's just a figure of speech.\Wouldn't you get lost all the time if you always walked straight?\Nah, you wouldn't.\Do you guys know where the pet shop is?\Huh?\The pet shop! The directions are written down on this...\But I'm lost!\Why do we have to show the way to a local? response:	Don't you always shop there?
context: Wouldn't you get lost all the time if you always walked straight?\Nah, you wouldn't.\Do you guys know where the pet shop is?\Huh?\The pet shop! The directions are written down on this...\But I'm lost!\Why do we have to show the way to a local?\Don't you always shop there? response:	Yeah, but my dog can't take this heat.
context: Nah, you wouldn't.\Do you guys know where the pet shop is?\Huh?\The pet shop! The directions are written down on this...\But I'm lost!\Why do we have to show the way to a local?\Don't you always shop there?\Yeah, but my dog can't take this heat. response:	Your dog?
context: Do you guys know where the pet shop is?\Huh?\The pet shop! The directions are written down on this...\But I'm lost!\Why do we have to show the way to a local?\Don't you always shop there?\Yeah, but my dog can't take this heat.\Your dog? response:	Don't tell me it's usually your dog leading the way.
context: Huh?\The pet shop! The directions are written down on this...\But I'm lost!\Why do we have to show the way to a local?\Don't you always shop there?\Yeah, but my dog can't take this heat.\Your dog?\Don't tell me it's usually your dog leading the way. response:	Got a problem with that?
context: The pet shop! The directions are written down on this...\But I'm lost!\Why do we have to show the way to a local?\Don't you always shop there?\Yeah, but my dog can't take this heat.\Your dog?\Don't tell me it's usually your dog leading the way.\Got a problem with that? response:	You really have no sense of direction.
context: But I'm lost!\Why do we have to show the way to a local?\Don't you always shop there?\Yeah, but my dog can't take this heat.\Your dog?\Don't tell me it's usually your dog leading the way.\Got a problem with that?\You really have no sense of direction. response:	I don't wanna brag, but my dad was even worse!
context: Why do we have to show the way to a local?\Don't you always shop there?\Yeah, but my dog can't take this heat.\Your dog?\Don't tell me it's usually your dog leading the way.\Got a problem with that?\You really have no sense of direction.\I don't wanna brag, but my dad was even worse! response:	He totally had no sense of direction at all.
