context: I've been waiting for you. response:	Is she for sale?
context: I've been doing what I can to track down the designer children...\But I couldn't learn their current locations.\I guess we'll have to rely on your power, after all.\She says we'll have to rely on you.\During the last battle, the Machine Goodfellow didn't activate.\Teppei, you're still awake?\But Amarok and Malkin appeared...\I think one of the two remaining designer children was there. response:	Hana predicted the flow of Orgone energy,
context: But I couldn't learn their current locations.\I guess we'll have to rely on your power, after all.\She says we'll have to rely on you.\During the last battle, the Machine Goodfellow didn't activate.\Teppei, you're still awake?\But Amarok and Malkin appeared...\I think one of the two remaining designer children was there.\Hana predicted the flow of Orgone energy, response:	but the Machine Goodfellow didn't activate.
context: I guess we'll have to rely on your power, after all.\She says we'll have to rely on you.\During the last battle, the Machine Goodfellow didn't activate.\Teppei, you're still awake?\But Amarok and Malkin appeared...\I think one of the two remaining designer children was there.\Hana predicted the flow of Orgone energy,\but the Machine Goodfellow didn't activate. response:	Does that mean something there
context: She says we'll have to rely on you.\During the last battle, the Machine Goodfellow didn't activate.\Teppei, you're still awake?\But Amarok and Malkin appeared...\I think one of the two remaining designer children was there.\Hana predicted the flow of Orgone energy,\but the Machine Goodfellow didn't activate.\Does that mean something there response:	other than Machine Goodfellows uses Orgone energy?
context: During the last battle, the Machine Goodfellow didn't activate.\Teppei, you're still awake?\But Amarok and Malkin appeared...\I think one of the two remaining designer children was there.\Hana predicted the flow of Orgone energy,\but the Machine Goodfellow didn't activate.\Does that mean something there\other than Machine Goodfellows uses Orgone energy? response:	Something felt different than usual...
context: Teppei, you're still awake?\But Amarok and Malkin appeared...\I think one of the two remaining designer children was there.\Hana predicted the flow of Orgone energy,\but the Machine Goodfellow didn't activate.\Does that mean something there\other than Machine Goodfellows uses Orgone energy?\Something felt different than usual... response:	Pitz says.
context: But Amarok and Malkin appeared...\I think one of the two remaining designer children was there.\Hana predicted the flow of Orgone energy,\but the Machine Goodfellow didn't activate.\Does that mean something there\other than Machine Goodfellows uses Orgone energy?\Something felt different than usual...\Pitz says. response:	That's interesting.
context: I think one of the two remaining designer children was there.\Hana predicted the flow of Orgone energy,\but the Machine Goodfellow didn't activate.\Does that mean something there\other than Machine Goodfellows uses Orgone energy?\Something felt different than usual...\Pitz says.\That's interesting. response:	What do you think, Captain?
context: Hana predicted the flow of Orgone energy,\but the Machine Goodfellow didn't activate.\Does that mean something there\other than Machine Goodfellows uses Orgone energy?\Something felt different than usual...\Pitz says.\That's interesting.\What do you think, Captain? response:	The captain is asleep.
context: but the Machine Goodfellow didn't activate.\Does that mean something there\other than Machine Goodfellows uses Orgone energy?\Something felt different than usual...\Pitz says.\That's interesting.\What do you think, Captain?\The captain is asleep. response:	He really is asleep.
context: Does that mean something there\other than Machine Goodfellows uses Orgone energy?\Something felt different than usual...\Pitz says.\That's interesting.\What do you think, Captain?\The captain is asleep.\He really is asleep. response:	The captain's asleep?
context: other than Machine Goodfellows uses Orgone energy?\Something felt different than usual...\Pitz says.\That's interesting.\What do you think, Captain?\The captain is asleep.\He really is asleep.\The captain's asleep? response:	Why not give him a goodnight kiss?
context: Something felt different than usual...\Pitz says.\That's interesting.\What do you think, Captain?\The captain is asleep.\He really is asleep.\The captain's asleep?\Why not give him a goodnight kiss? response:	Is he really asleep?
context: Pitz says.\That's interesting.\What do you think, Captain?\The captain is asleep.\He really is asleep.\The captain's asleep?\Why not give him a goodnight kiss?\Is he really asleep? response:	Yeah, he's out cold.
context: That's interesting.\What do you think, Captain?\The captain is asleep.\He really is asleep.\The captain's asleep?\Why not give him a goodnight kiss?\Is he really asleep?\Yeah, he's out cold. response:	Is that okay?
context: What do you think, Captain?\The captain is asleep.\He really is asleep.\The captain's asleep?\Why not give him a goodnight kiss?\Is he really asleep?\Yeah, he's out cold.\Is that okay? response:	I guess so?
context: The captain is asleep.\He really is asleep.\The captain's asleep?\Why not give him a goodnight kiss?\Is he really asleep?\Yeah, he's out cold.\Is that okay?\I guess so? response:	Goodnight, Captain.
context: He really is asleep.\The captain's asleep?\Why not give him a goodnight kiss?\Is he really asleep?\Yeah, he's out cold.\Is that okay?\I guess so?\Goodnight, Captain. response:	Is this really what the Japanese independent attack force should be?
context: The captain's asleep?\Why not give him a goodnight kiss?\Is he really asleep?\Yeah, he's out cold.\Is that okay?\I guess so?\Goodnight, Captain.\Is this really what the Japanese independent attack force should be? response:	The wait is over.
context: Why not give him a goodnight kiss?\Is he really asleep?\Yeah, he's out cold.\Is that okay?\I guess so?\Goodnight, Captain.\Is this really what the Japanese independent attack force should be?\The wait is over. response:	This is tonight's main event!
context: Is he really asleep?\Yeah, he's out cold.\Is that okay?\I guess so?\Goodnight, Captain.\Is this really what the Japanese independent attack force should be?\The wait is over.\This is tonight's main event! response:	Asia's one surviving carnivorous dinosaur...
context: Yeah, he's out cold.\Is that okay?\I guess so?\Goodnight, Captain.\Is this really what the Japanese independent attack force should be?\The wait is over.\This is tonight's main event!\Asia's one surviving carnivorous dinosaur... response:	Devil Zynus!
context: Is that okay?\I guess so?\Goodnight, Captain.\Is this really what the Japanese independent attack force should be?\The wait is over.\This is tonight's main event!\Asia's one surviving carnivorous dinosaur...\Devil Zynus! response:	And...
context: I guess so?\Goodnight, Captain.\Is this really what the Japanese independent attack force should be?\The wait is over.\This is tonight's main event!\Asia's one surviving carnivorous dinosaur...\Devil Zynus!\And... response:	How long will his win streak continue?
context: Goodnight, Captain.\Is this really what the Japanese independent attack force should be?\The wait is over.\This is tonight's main event!\Asia's one surviving carnivorous dinosaur...\Devil Zynus!\And...\How long will his win streak continue? response:	The undefeated emperor,
context: Is this really what the Japanese independent attack force should be?\The wait is over.\This is tonight's main event!\Asia's one surviving carnivorous dinosaur...\Devil Zynus!\And...\How long will his win streak continue?\The undefeated emperor, response:	the champion of this arena...
context: The wait is over.\This is tonight's main event!\Asia's one surviving carnivorous dinosaur...\Devil Zynus!\And...\How long will his win streak continue?\The undefeated emperor,\the champion of this arena... response:	Baku!
context: This is tonight's main event!\Asia's one surviving carnivorous dinosaur...\Devil Zynus!\And...\How long will his win streak continue?\The undefeated emperor,\the champion of this arena...\Baku! response:	That's it!
context: Asia's one surviving carnivorous dinosaur...\Devil Zynus!\And...\How long will his win streak continue?\The undefeated emperor,\the champion of this arena...\Baku!\That's it! response:	That's the match!
context: Devil Zynus!\And...\How long will his win streak continue?\The undefeated emperor,\the champion of this arena...\Baku!\That's it!\That's the match! response:	Fast... That was so fast!
context: And...\How long will his win streak continue?\The undefeated emperor,\the champion of this arena...\Baku!\That's it!\That's the match!\Fast... That was so fast! response:	The massive Devil Zynus fell in a mere ten seconds.
context: How long will his win streak continue?\The undefeated emperor,\the champion of this arena...\Baku!\That's it!\That's the match!\Fast... That was so fast!\The massive Devil Zynus fell in a mere ten seconds. response:	Ten seconds, and he's lying on the floor of the ring!
context: The undefeated emperor,\the champion of this arena...\Baku!\That's it!\That's the match!\Fast... That was so fast!\The massive Devil Zynus fell in a mere ten seconds.\Ten seconds, and he's lying on the floor of the ring! response:	The giant impact of the champion's right fist
context: the champion of this arena...\Baku!\That's it!\That's the match!\Fast... That was so fast!\The massive Devil Zynus fell in a mere ten seconds.\Ten seconds, and he's lying on the floor of the ring!\The giant impact of the champion's right fist response:	has slain the last living dinosaur!
context: Baku!\That's it!\That's the match!\Fast... That was so fast!\The massive Devil Zynus fell in a mere ten seconds.\Ten seconds, and he's lying on the floor of the ring!\The giant impact of the champion's right fist\has slain the last living dinosaur! response:	Baku! Baku! Baku! Baku!
context: That's it!\That's the match!\Fast... That was so fast!\The massive Devil Zynus fell in a mere ten seconds.\Ten seconds, and he's lying on the floor of the ring!\The giant impact of the champion's right fist\has slain the last living dinosaur!\Baku! Baku! Baku! Baku! response:	Baku! Baku! Baku! Baku! Baku! Baku!
context: That's the match!\Fast... That was so fast!\The massive Devil Zynus fell in a mere ten seconds.\Ten seconds, and he's lying on the floor of the ring!\The giant impact of the champion's right fist\has slain the last living dinosaur!\Baku! Baku! Baku! Baku!\Baku! Baku! Baku! Baku! Baku! Baku! response:	Boys' Battlefield
context: Fast... That was so fast!\The massive Devil Zynus fell in a mere ten seconds.\Ten seconds, and he's lying on the floor of the ring!\The giant impact of the champion's right fist\has slain the last living dinosaur!\Baku! Baku! Baku! Baku!\Baku! Baku! Baku! Baku! Baku! Baku!\Boys' Battlefield response:	Baku, you don't have to keep doing this.
context: The massive Devil Zynus fell in a mere ten seconds.\Ten seconds, and he's lying on the floor of the ring!\The giant impact of the champion's right fist\has slain the last living dinosaur!\Baku! Baku! Baku! Baku!\Baku! Baku! Baku! Baku! Baku! Baku!\Boys' Battlefield\Baku, you don't have to keep doing this. response:	Those are your father's orders.
context: Ten seconds, and he's lying on the floor of the ring!\The giant impact of the champion's right fist\has slain the last living dinosaur!\Baku! Baku! Baku! Baku!\Baku! Baku! Baku! Baku! Baku! Baku!\Boys' Battlefield\Baku, you don't have to keep doing this.\Those are your father's orders. response:	You don't need to do as he says...
context: The giant impact of the champion's right fist\has slain the last living dinosaur!\Baku! Baku! Baku! Baku!\Baku! Baku! Baku! Baku! Baku! Baku!\Boys' Battlefield\Baku, you don't have to keep doing this.\Those are your father's orders.\You don't need to do as he says... response:	I'll talk to him!
context: has slain the last living dinosaur!\Baku! Baku! Baku! Baku!\Baku! Baku! Baku! Baku! Baku! Baku!\Boys' Battlefield\Baku, you don't have to keep doing this.\Those are your father's orders.\You don't need to do as he says...\I'll talk to him! response:	It's fine.
context: Baku! Baku! Baku! Baku!\Baku! Baku! Baku! Baku! Baku! Baku!\Boys' Battlefield\Baku, you don't have to keep doing this.\Those are your father's orders.\You don't need to do as he says...\I'll talk to him!\It's fine. response:	These fights are nothing.
context: Baku! Baku! Baku! Baku! Baku! Baku!\Boys' Battlefield\Baku, you don't have to keep doing this.\Those are your father's orders.\You don't need to do as he says...\I'll talk to him!\It's fine.\These fights are nothing. response:	Please stop it.
context: Boys' Battlefield\Baku, you don't have to keep doing this.\Those are your father's orders.\You don't need to do as he says...\I'll talk to him!\It's fine.\These fights are nothing.\Please stop it. response:	I'm all sweaty.
context: Baku, you don't have to keep doing this.\Those are your father's orders.\You don't need to do as he says...\I'll talk to him!\It's fine.\These fights are nothing.\Please stop it.\I'm all sweaty. response:	And...
context: Those are your father's orders.\You don't need to do as he says...\I'll talk to him!\It's fine.\These fights are nothing.\Please stop it.\I'm all sweaty.\And... response:	You have a fiance, Miss.
context: You don't need to do as he says...\I'll talk to him!\It's fine.\These fights are nothing.\Please stop it.\I'm all sweaty.\And...\You have a fiance, Miss. response:	You smell good.
context: I'll talk to him!\It's fine.\These fights are nothing.\Please stop it.\I'm all sweaty.\And...\You have a fiance, Miss.\You smell good. response:	Like the sun...
context: It's fine.\These fights are nothing.\Please stop it.\I'm all sweaty.\And...\You have a fiance, Miss.\You smell good.\Like the sun... response:	Here.
context: These fights are nothing.\Please stop it.\I'm all sweaty.\And...\You have a fiance, Miss.\You smell good.\Like the sun...\Here. response:	They say this mascot will help you sleep at night.
context: Please stop it.\I'm all sweaty.\And...\You have a fiance, Miss.\You smell good.\Like the sun...\Here.\They say this mascot will help you sleep at night. response:	It matches mine.
context: I'm all sweaty.\And...\You have a fiance, Miss.\You smell good.\Like the sun...\Here.\They say this mascot will help you sleep at night.\It matches mine. response:	Thank you.
context: And...\You have a fiance, Miss.\You smell good.\Like the sun...\Here.\They say this mascot will help you sleep at night.\It matches mine.\Thank you. response:	Do you think
context: You have a fiance, Miss.\You smell good.\Like the sun...\Here.\They say this mascot will help you sleep at night.\It matches mine.\Thank you.\Do you think response:	holding on to it can really keep bad dreams away?
context: You smell good.\Like the sun...\Here.\They say this mascot will help you sleep at night.\It matches mine.\Thank you.\Do you think\holding on to it can really keep bad dreams away? response:	I hope so...
context: Like the sun...\Here.\They say this mascot will help you sleep at night.\It matches mine.\Thank you.\Do you think\holding on to it can really keep bad dreams away?\I hope so... response:	I guess it's a little childish, though.
context: Here.\They say this mascot will help you sleep at night.\It matches mine.\Thank you.\Do you think\holding on to it can really keep bad dreams away?\I hope so...\I guess it's a little childish, though. response:	Miss...
context: They say this mascot will help you sleep at night.\It matches mine.\Thank you.\Do you think\holding on to it can really keep bad dreams away?\I hope so...\I guess it's a little childish, though.\Miss... response:	You were wonderful out there tonight, Baku!
context: It matches mine.\Thank you.\Do you think\holding on to it can really keep bad dreams away?\I hope so...\I guess it's a little childish, though.\Miss...\You were wonderful out there tonight, Baku! response:	With you around, we make lots of money in one night.
context: Thank you.\Do you think\holding on to it can really keep bad dreams away?\I hope so...\I guess it's a little childish, though.\Miss...\You were wonderful out there tonight, Baku!\With you around, we make lots of money in one night. response:	But the money you earn, and you, both belong to the Asanoda Yakuza.
context: Do you think\holding on to it can really keep bad dreams away?\I hope so...\I guess it's a little childish, though.\Miss...\You were wonderful out there tonight, Baku!\With you around, we make lots of money in one night.\But the money you earn, and you, both belong to the Asanoda Yakuza. response:	Don't forget that.
context: holding on to it can really keep bad dreams away?\I hope so...\I guess it's a little childish, though.\Miss...\You were wonderful out there tonight, Baku!\With you around, we make lots of money in one night.\But the money you earn, and you, both belong to the Asanoda Yakuza.\Don't forget that. response:	I'm told that your grades are good, too.
context: I hope so...\I guess it's a little childish, though.\Miss...\You were wonderful out there tonight, Baku!\With you around, we make lots of money in one night.\But the money you earn, and you, both belong to the Asanoda Yakuza.\Don't forget that.\I'm told that your grades are good, too. response:	Be grateful to the lady...
context: I guess it's a little childish, though.\Miss...\You were wonderful out there tonight, Baku!\With you around, we make lots of money in one night.\But the money you earn, and you, both belong to the Asanoda Yakuza.\Don't forget that.\I'm told that your grades are good, too.\Be grateful to the lady... response:	She's allowing you to go to school.
context: Miss...\You were wonderful out there tonight, Baku!\With you around, we make lots of money in one night.\But the money you earn, and you, both belong to the Asanoda Yakuza.\Don't forget that.\I'm told that your grades are good, too.\Be grateful to the lady...\She's allowing you to go to school. response:	That's none of your business.
context: You were wonderful out there tonight, Baku!\With you around, we make lots of money in one night.\But the money you earn, and you, both belong to the Asanoda Yakuza.\Don't forget that.\I'm told that your grades are good, too.\Be grateful to the lady...\She's allowing you to go to school.\That's none of your business. response:	It's time to go home, Miss.
context: With you around, we make lots of money in one night.\But the money you earn, and you, both belong to the Asanoda Yakuza.\Don't forget that.\I'm told that your grades are good, too.\Be grateful to the lady...\She's allowing you to go to school.\That's none of your business.\It's time to go home, Miss. response:	I'll go alone. Leave me.
context: But the money you earn, and you, both belong to the Asanoda Yakuza.\Don't forget that.\I'm told that your grades are good, too.\Be grateful to the lady...\She's allowing you to go to school.\That's none of your business.\It's time to go home, Miss.\I'll go alone. Leave me. response:	I can't do that.
context: Don't forget that.\I'm told that your grades are good, too.\Be grateful to the lady...\She's allowing you to go to school.\That's none of your business.\It's time to go home, Miss.\I'll go alone. Leave me.\I can't do that. response:	Your father's orders.
context: I'm told that your grades are good, too.\Be grateful to the lady...\She's allowing you to go to school.\That's none of your business.\It's time to go home, Miss.\I'll go alone. Leave me.\I can't do that.\Your father's orders. response:	You guys are always eating something...
context: Be grateful to the lady...\She's allowing you to go to school.\That's none of your business.\It's time to go home, Miss.\I'll go alone. Leave me.\I can't do that.\Your father's orders.\You guys are always eating something... response:	It's important!
context: She's allowing you to go to school.\That's none of your business.\It's time to go home, Miss.\I'll go alone. Leave me.\I can't do that.\Your father's orders.\You guys are always eating something...\It's important! response:	This is good.
context: That's none of your business.\It's time to go home, Miss.\I'll go alone. Leave me.\I can't do that.\Your father's orders.\You guys are always eating something...\It's important!\This is good. response:	I wonder if there's a pool around here...
context: It's time to go home, Miss.\I'll go alone. Leave me.\I can't do that.\Your father's orders.\You guys are always eating something...\It's important!\This is good.\I wonder if there's a pool around here... response:	Want to go swimming again?
context: I'll go alone. Leave me.\I can't do that.\Your father's orders.\You guys are always eating something...\It's important!\This is good.\I wonder if there's a pool around here...\Want to go swimming again? response:	We aren't here to play.
context: I can't do that.\Your father's orders.\You guys are always eating something...\It's important!\This is good.\I wonder if there's a pool around here...\Want to go swimming again?\We aren't here to play. response:	It's important to pace yourself!
context: Your father's orders.\You guys are always eating something...\It's important!\This is good.\I wonder if there's a pool around here...\Want to go swimming again?\We aren't here to play.\It's important to pace yourself! response:	Pace yourself?
context: You guys are always eating something...\It's important!\This is good.\I wonder if there's a pool around here...\Want to go swimming again?\We aren't here to play.\It's important to pace yourself!\Pace yourself? response:	That's nice...
context: It's important!\This is good.\I wonder if there's a pool around here...\Want to go swimming again?\We aren't here to play.\It's important to pace yourself!\Pace yourself?\That's nice... response:	Hey, Captain...
context: This is good.\I wonder if there's a pool around here...\Want to go swimming again?\We aren't here to play.\It's important to pace yourself!\Pace yourself?\That's nice...\Hey, Captain... response:	Keep looking ahead.
context: I wonder if there's a pool around here...\Want to go swimming again?\We aren't here to play.\It's important to pace yourself!\Pace yourself?\That's nice...\Hey, Captain...\Keep looking ahead. response:	Have you ever kissed anyone?
context: Want to go swimming again?\We aren't here to play.\It's important to pace yourself!\Pace yourself?\That's nice...\Hey, Captain...\Keep looking ahead.\Have you ever kissed anyone? response:	What?
context: We aren't here to play.\It's important to pace yourself!\Pace yourself?\That's nice...\Hey, Captain...\Keep looking ahead.\Have you ever kissed anyone?\What? response:	Is that important?
context: It's important to pace yourself!\Pace yourself?\That's nice...\Hey, Captain...\Keep looking ahead.\Have you ever kissed anyone?\What?\Is that important? response:	It's important.
context: Pace yourself?\That's nice...\Hey, Captain...\Keep looking ahead.\Have you ever kissed anyone?\What?\Is that important?\It's important. response:	N-Not yet... Why?
context: That's nice...\Hey, Captain...\Keep looking ahead.\Have you ever kissed anyone?\What?\Is that important?\It's important.\N-Not yet... Why? response:	I see.
context: Hey, Captain...\Keep looking ahead.\Have you ever kissed anyone?\What?\Is that important?\It's important.\N-Not yet... Why?\I see. response:	Roger, Captain.
context: Keep looking ahead.\Have you ever kissed anyone?\What?\Is that important?\It's important.\N-Not yet... Why?\I see.\Roger, Captain. response:	Hey, what was that about?
context: Have you ever kissed anyone?\What?\Is that important?\It's important.\N-Not yet... Why?\I see.\Roger, Captain.\Hey, what was that about? response:	They look so happy...
context: What?\Is that important?\It's important.\N-Not yet... Why?\I see.\Roger, Captain.\Hey, what was that about?\They look so happy... response:	But if the Kiltgangs come to Earth, everyone's gonna die.
context: Is that important?\It's important.\N-Not yet... Why?\I see.\Roger, Captain.\Hey, what was that about?\They look so happy...\But if the Kiltgangs come to Earth, everyone's gonna die. response:	We won't let that happen. No matter what!
context: It's important.\N-Not yet... Why?\I see.\Roger, Captain.\Hey, what was that about?\They look so happy...\But if the Kiltgangs come to Earth, everyone's gonna die.\We won't let that happen. No matter what! response:	Yes? This is Manatsu.
context: N-Not yet... Why?\I see.\Roger, Captain.\Hey, what was that about?\They look so happy...\But if the Kiltgangs come to Earth, everyone's gonna die.\We won't let that happen. No matter what!\Yes? This is Manatsu. response:	How is the town looking?
context: I see.\Roger, Captain.\Hey, what was that about?\They look so happy...\But if the Kiltgangs come to Earth, everyone's gonna die.\We won't let that happen. No matter what!\Yes? This is Manatsu.\How is the town looking? response:	We haven't found anything yet.
context: Roger, Captain.\Hey, what was that about?\They look so happy...\But if the Kiltgangs come to Earth, everyone's gonna die.\We won't let that happen. No matter what!\Yes? This is Manatsu.\How is the town looking?\We haven't found anything yet. response:	I found something interesting.
context: Hey, what was that about?\They look so happy...\But if the Kiltgangs come to Earth, everyone's gonna die.\We won't let that happen. No matter what!\Yes? This is Manatsu.\How is the town looking?\We haven't found anything yet.\I found something interesting. response:	I'm sending the information now.
context: They look so happy...\But if the Kiltgangs come to Earth, everyone's gonna die.\We won't let that happen. No matter what!\Yes? This is Manatsu.\How is the town looking?\We haven't found anything yet.\I found something interesting.\I'm sending the information now. response:	There's an illegal underground arena in this city.
context: But if the Kiltgangs come to Earth, everyone's gonna die.\We won't let that happen. No matter what!\Yes? This is Manatsu.\How is the town looking?\We haven't found anything yet.\I found something interesting.\I'm sending the information now.\There's an illegal underground arena in this city. response:	An underground arena?
context: We won't let that happen. No matter what!\Yes? This is Manatsu.\How is the town looking?\We haven't found anything yet.\I found something interesting.\I'm sending the information now.\There's an illegal underground arena in this city.\An underground arena? response:	They hold unauthorized fighting tournaments,
context: Yes? This is Manatsu.\How is the town looking?\We haven't found anything yet.\I found something interesting.\I'm sending the information now.\There's an illegal underground arena in this city.\An underground arena?\They hold unauthorized fighting tournaments, response:	and the audience bets on the winners.
context: How is the town looking?\We haven't found anything yet.\I found something interesting.\I'm sending the information now.\There's an illegal underground arena in this city.\An underground arena?\They hold unauthorized fighting tournaments,\and the audience bets on the winners. response:	That sounds suspicious...
context: We haven't found anything yet.\I found something interesting.\I'm sending the information now.\There's an illegal underground arena in this city.\An underground arena?\They hold unauthorized fighting tournaments,\and the audience bets on the winners.\That sounds suspicious... response:	Tonight, I'll send agents from another team there
context: I found something interesting.\I'm sending the information now.\There's an illegal underground arena in this city.\An underground arena?\They hold unauthorized fighting tournaments,\and the audience bets on the winners.\That sounds suspicious...\Tonight, I'll send agents from another team there response:	No, the Midsummer's Knights will go!
context: I'm sending the information now.\There's an illegal underground arena in this city.\An underground arena?\They hold unauthorized fighting tournaments,\and the audience bets on the winners.\That sounds suspicious...\Tonight, I'll send agents from another team there\No, the Midsummer's Knights will go! response:	We need to handle stuff like that ourselves!
context: There's an illegal underground arena in this city.\An underground arena?\They hold unauthorized fighting tournaments,\and the audience bets on the winners.\That sounds suspicious...\Tonight, I'll send agents from another team there\No, the Midsummer's Knights will go!\We need to handle stuff like that ourselves! response:	Right, Captain?
context: An underground arena?\They hold unauthorized fighting tournaments,\and the audience bets on the winners.\That sounds suspicious...\Tonight, I'll send agents from another team there\No, the Midsummer's Knights will go!\We need to handle stuff like that ourselves!\Right, Captain? response:	So it seems...
context: They hold unauthorized fighting tournaments,\and the audience bets on the winners.\That sounds suspicious...\Tonight, I'll send agents from another team there\No, the Midsummer's Knights will go!\We need to handle stuff like that ourselves!\Right, Captain?\So it seems... response:	All right!
context: and the audience bets on the winners.\That sounds suspicious...\Tonight, I'll send agents from another team there\No, the Midsummer's Knights will go!\We need to handle stuff like that ourselves!\Right, Captain?\So it seems...\All right! response:	By the way, Miss...
context: That sounds suspicious...\Tonight, I'll send agents from another team there\No, the Midsummer's Knights will go!\We need to handle stuff like that ourselves!\Right, Captain?\So it seems...\All right!\By the way, Miss... response:	Did it work?
context: Tonight, I'll send agents from another team there\No, the Midsummer's Knights will go!\We need to handle stuff like that ourselves!\Right, Captain?\So it seems...\All right!\By the way, Miss...\Did it work? response:	What are you talking about?
context: No, the Midsummer's Knights will go!\We need to handle stuff like that ourselves!\Right, Captain?\So it seems...\All right!\By the way, Miss...\Did it work?\What are you talking about? response:	That little mascot charm you gave Baku last night.
context: We need to handle stuff like that ourselves!\Right, Captain?\So it seems...\All right!\By the way, Miss...\Did it work?\What are you talking about?\That little mascot charm you gave Baku last night. response:	Is it true that it brings deep sleep with no nightmares?
context: Right, Captain?\So it seems...\All right!\By the way, Miss...\Did it work?\What are you talking about?\That little mascot charm you gave Baku last night.\Is it true that it brings deep sleep with no nightmares? response:	I'd love to have a mascot
context: So it seems...\All right!\By the way, Miss...\Did it work?\What are you talking about?\That little mascot charm you gave Baku last night.\Is it true that it brings deep sleep with no nightmares?\I'd love to have a mascot response:	that matches yours, too.
context: All right!\By the way, Miss...\Did it work?\What are you talking about?\That little mascot charm you gave Baku last night.\Is it true that it brings deep sleep with no nightmares?\I'd love to have a mascot\that matches yours, too. response:	Um, Sir...
