context: We have a transfer student joining us today. response:	Go ahead and introduce yourself.
context: Are my lessons that boring?\You can stay standing.\All that was left in the problem was addition.\Talk about lame.\He's too stupid.\Hey, stop that...\He's completely frozen.\You had plenty of relationships in real life, response:	and you were fortunate enough to be surrounded by good people.
context: You can stay standing.\All that was left in the problem was addition.\Talk about lame.\He's too stupid.\Hey, stop that...\He's completely frozen.\You had plenty of relationships in real life,\and you were fortunate enough to be surrounded by good people. response:	Situations like that are extremely rare.
context: All that was left in the problem was addition.\Talk about lame.\He's too stupid.\Hey, stop that...\He's completely frozen.\You had plenty of relationships in real life,\and you were fortunate enough to be surrounded by good people.\Situations like that are extremely rare. response:	You don't have a phone or wallet on you, and no parents at home?
context: Talk about lame.\He's too stupid.\Hey, stop that...\He's completely frozen.\You had plenty of relationships in real life,\and you were fortunate enough to be surrounded by good people.\Situations like that are extremely rare.\You don't have a phone or wallet on you, and no parents at home? response:	Don't give me that shit! How about I give you a nose job?!
context: He's too stupid.\Hey, stop that...\He's completely frozen.\You had plenty of relationships in real life,\and you were fortunate enough to be surrounded by good people.\Situations like that are extremely rare.\You don't have a phone or wallet on you, and no parents at home?\Don't give me that shit! How about I give you a nose job?! response:	Please... let me go...
context: Hey, stop that...\He's completely frozen.\You had plenty of relationships in real life,\and you were fortunate enough to be surrounded by good people.\Situations like that are extremely rare.\You don't have a phone or wallet on you, and no parents at home?\Don't give me that shit! How about I give you a nose job?!\Please... let me go... response:	What? You wanna go?
context: He's completely frozen.\You had plenty of relationships in real life,\and you were fortunate enough to be surrounded by good people.\Situations like that are extremely rare.\You don't have a phone or wallet on you, and no parents at home?\Don't give me that shit! How about I give you a nose job?!\Please... let me go...\What? You wanna go? response:	Bring it!
context: You had plenty of relationships in real life,\and you were fortunate enough to be surrounded by good people.\Situations like that are extremely rare.\You don't have a phone or wallet on you, and no parents at home?\Don't give me that shit! How about I give you a nose job?!\Please... let me go...\What? You wanna go?\Bring it! response:	Get'im, Sugimoto!
context: and you were fortunate enough to be surrounded by good people.\Situations like that are extremely rare.\You don't have a phone or wallet on you, and no parents at home?\Don't give me that shit! How about I give you a nose job?!\Please... let me go...\What? You wanna go?\Bring it!\Get'im, Sugimoto! response:	Come on! Come on!
context: Situations like that are extremely rare.\You don't have a phone or wallet on you, and no parents at home?\Don't give me that shit! How about I give you a nose job?!\Please... let me go...\What? You wanna go?\Bring it!\Get'im, Sugimoto!\Come on! Come on! response:	Where the hell are you looking?!
context: You don't have a phone or wallet on you, and no parents at home?\Don't give me that shit! How about I give you a nose job?!\Please... let me go...\What? You wanna go?\Bring it!\Get'im, Sugimoto!\Come on! Come on!\Where the hell are you looking?! response:	Your extremely talented brother is no more than a stranger here.
context: Don't give me that shit! How about I give you a nose job?!\Please... let me go...\What? You wanna go?\Bring it!\Get'im, Sugimoto!\Come on! Come on!\Where the hell are you looking?!\Your extremely talented brother is no more than a stranger here. response:	It looks like you refrain from using your powers in your personal life.
context: Please... let me go...\What? You wanna go?\Bring it!\Get'im, Sugimoto!\Come on! Come on!\Where the hell are you looking?!\Your extremely talented brother is no more than a stranger here.\It looks like you refrain from using your powers in your personal life. response:	I'm guessing you're trying to become a better person
context: What? You wanna go?\Bring it!\Get'im, Sugimoto!\Come on! Come on!\Where the hell are you looking?!\Your extremely talented brother is no more than a stranger here.\It looks like you refrain from using your powers in your personal life.\I'm guessing you're trying to become a better person response:	by focusing on developing your social skills rather than your powers,
context: Bring it!\Get'im, Sugimoto!\Come on! Come on!\Where the hell are you looking?!\Your extremely talented brother is no more than a stranger here.\It looks like you refrain from using your powers in your personal life.\I'm guessing you're trying to become a better person\by focusing on developing your social skills rather than your powers, response:	but only the fortunate in life would even have that idea.
context: Get'im, Sugimoto!\Come on! Come on!\Where the hell are you looking?!\Your extremely talented brother is no more than a stranger here.\It looks like you refrain from using your powers in your personal life.\I'm guessing you're trying to become a better person\by focusing on developing your social skills rather than your powers,\but only the fortunate in life would even have that idea. response:	It shows how lightly you take the real world.
context: Come on! Come on!\Where the hell are you looking?!\Your extremely talented brother is no more than a stranger here.\It looks like you refrain from using your powers in your personal life.\I'm guessing you're trying to become a better person\by focusing on developing your social skills rather than your powers,\but only the fortunate in life would even have that idea.\It shows how lightly you take the real world. response:	If only I were stronger...
context: Where the hell are you looking?!\Your extremely talented brother is no more than a stranger here.\It looks like you refrain from using your powers in your personal life.\I'm guessing you're trying to become a better person\by focusing on developing your social skills rather than your powers,\but only the fortunate in life would even have that idea.\It shows how lightly you take the real world.\If only I were stronger... response:	Nature
context: Your extremely talented brother is no more than a stranger here.\It looks like you refrain from using your powers in your personal life.\I'm guessing you're trying to become a better person\by focusing on developing your social skills rather than your powers,\but only the fortunate in life would even have that idea.\It shows how lightly you take the real world.\If only I were stronger...\Nature response:	Dream
context: It looks like you refrain from using your powers in your personal life.\I'm guessing you're trying to become a better person\by focusing on developing your social skills rather than your powers,\but only the fortunate in life would even have that idea.\It shows how lightly you take the real world.\If only I were stronger...\Nature\Dream response:	Friendship
context: I'm guessing you're trying to become a better person\by focusing on developing your social skills rather than your powers,\but only the fortunate in life would even have that idea.\It shows how lightly you take the real world.\If only I were stronger...\Nature\Dream\Friendship response:	Darkness
context: by focusing on developing your social skills rather than your powers,\but only the fortunate in life would even have that idea.\It shows how lightly you take the real world.\If only I were stronger...\Nature\Dream\Friendship\Darkness response:	Nature
context: but only the fortunate in life would even have that idea.\It shows how lightly you take the real world.\If only I were stronger...\Nature\Dream\Friendship\Darkness\Nature response:	Here, have some milk!
context: It shows how lightly you take the real world.\If only I were stronger...\Nature\Dream\Friendship\Darkness\Nature\Here, have some milk! response:	Wait, didn't you mention you loved milk?
context: If only I were stronger...\Nature\Dream\Friendship\Darkness\Nature\Here, have some milk!\Wait, didn't you mention you loved milk? response:	Isn't this what you meant?
context: Nature\Dream\Friendship\Darkness\Nature\Here, have some milk!\Wait, didn't you mention you loved milk?\Isn't this what you meant? response:	Ew, you reek of milk.
context: Dream\Friendship\Darkness\Nature\Here, have some milk!\Wait, didn't you mention you loved milk?\Isn't this what you meant?\Ew, you reek of milk. response:	One of you better mop that up.
context: Friendship\Darkness\Nature\Here, have some milk!\Wait, didn't you mention you loved milk?\Isn't this what you meant?\Ew, you reek of milk.\One of you better mop that up. response:	I'm sure that this must seem inexplicable to you,
context: Darkness\Nature\Here, have some milk!\Wait, didn't you mention you loved milk?\Isn't this what you meant?\Ew, you reek of milk.\One of you better mop that up.\I'm sure that this must seem inexplicable to you, response:	but she's bullying you in order to secure her position in society,
context: Nature\Here, have some milk!\Wait, didn't you mention you loved milk?\Isn't this what you meant?\Ew, you reek of milk.\One of you better mop that up.\I'm sure that this must seem inexplicable to you,\but she's bullying you in order to secure her position in society, response:	and it's something she's done routinely.
context: Here, have some milk!\Wait, didn't you mention you loved milk?\Isn't this what you meant?\Ew, you reek of milk.\One of you better mop that up.\I'm sure that this must seem inexplicable to you,\but she's bullying you in order to secure her position in society,\and it's something she's done routinely. response:	If you don't become stronger, you'll be used, exploited,
context: Wait, didn't you mention you loved milk?\Isn't this what you meant?\Ew, you reek of milk.\One of you better mop that up.\I'm sure that this must seem inexplicable to you,\but she's bullying you in order to secure her position in society,\and it's something she's done routinely.\If you don't become stronger, you'll be used, exploited, response:	and forever a stepping stone for others.
context: Isn't this what you meant?\Ew, you reek of milk.\One of you better mop that up.\I'm sure that this must seem inexplicable to you,\but she's bullying you in order to secure her position in society,\and it's something she's done routinely.\If you don't become stronger, you'll be used, exploited,\and forever a stepping stone for others. response:	Not looking good.
context: Ew, you reek of milk.\One of you better mop that up.\I'm sure that this must seem inexplicable to you,\but she's bullying you in order to secure her position in society,\and it's something she's done routinely.\If you don't become stronger, you'll be used, exploited,\and forever a stepping stone for others.\Not looking good. response:	Pretty sure Shigeo lost.
context: One of you better mop that up.\I'm sure that this must seem inexplicable to you,\but she's bullying you in order to secure her position in society,\and it's something she's done routinely.\If you don't become stronger, you'll be used, exploited,\and forever a stepping stone for others.\Not looking good.\Pretty sure Shigeo lost. response:	But it hasn't even been thirty minutes yet.
context: I'm sure that this must seem inexplicable to you,\but she's bullying you in order to secure her position in society,\and it's something she's done routinely.\If you don't become stronger, you'll be used, exploited,\and forever a stepping stone for others.\Not looking good.\Pretty sure Shigeo lost.\But it hasn't even been thirty minutes yet. response:	That's way too long!
context: but she's bullying you in order to secure her position in society,\and it's something she's done routinely.\If you don't become stronger, you'll be used, exploited,\and forever a stepping stone for others.\Not looking good.\Pretty sure Shigeo lost.\But it hasn't even been thirty minutes yet.\That's way too long! response:	He should've been done in a minute.
context: and it's something she's done routinely.\If you don't become stronger, you'll be used, exploited,\and forever a stepping stone for others.\Not looking good.\Pretty sure Shigeo lost.\But it hasn't even been thirty minutes yet.\That's way too long!\He should've been done in a minute. response:	If this keeps up, his sense of self will fall apart.
context: If you don't become stronger, you'll be used, exploited,\and forever a stepping stone for others.\Not looking good.\Pretty sure Shigeo lost.\But it hasn't even been thirty minutes yet.\That's way too long!\He should've been done in a minute.\If this keeps up, his sense of self will fall apart. response:	He's going to die!
context: and forever a stepping stone for others.\Not looking good.\Pretty sure Shigeo lost.\But it hasn't even been thirty minutes yet.\That's way too long!\He should've been done in a minute.\If this keeps up, his sense of self will fall apart.\He's going to die! response:	Mob is someone who can solve things on his own.
context: Not looking good.\Pretty sure Shigeo lost.\But it hasn't even been thirty minutes yet.\That's way too long!\He should've been done in a minute.\If this keeps up, his sense of self will fall apart.\He's going to die!\Mob is someone who can solve things on his own. response:	He actually has strength, unlike me.
context: Pretty sure Shigeo lost.\But it hasn't even been thirty minutes yet.\That's way too long!\He should've been done in a minute.\If this keeps up, his sense of self will fall apart.\He's going to die!\Mob is someone who can solve things on his own.\He actually has strength, unlike me. response:	Quit being naIve. The next time this guy wakes up, we're all finished.
context: But it hasn't even been thirty minutes yet.\That's way too long!\He should've been done in a minute.\If this keeps up, his sense of self will fall apart.\He's going to die!\Mob is someone who can solve things on his own.\He actually has strength, unlike me.\Quit being naIve. The next time this guy wakes up, we're all finished. response:	Anxiety, fear, rage...
context: That's way too long!\He should've been done in a minute.\If this keeps up, his sense of self will fall apart.\He's going to die!\Mob is someone who can solve things on his own.\He actually has strength, unlike me.\Quit being naIve. The next time this guy wakes up, we're all finished.\Anxiety, fear, rage... response:	All the negative emotions are collectively welling up within you.
context: He should've been done in a minute.\If this keeps up, his sense of self will fall apart.\He's going to die!\Mob is someone who can solve things on his own.\He actually has strength, unlike me.\Quit being naIve. The next time this guy wakes up, we're all finished.\Anxiety, fear, rage...\All the negative emotions are collectively welling up within you. response:	That's only natural after living in this world for six months without your powers.
context: If this keeps up, his sense of self will fall apart.\He's going to die!\Mob is someone who can solve things on his own.\He actually has strength, unlike me.\Quit being naIve. The next time this guy wakes up, we're all finished.\Anxiety, fear, rage...\All the negative emotions are collectively welling up within you.\That's only natural after living in this world for six months without your powers. response:	You mustn't misuse your powers.
context: He's going to die!\Mob is someone who can solve things on his own.\He actually has strength, unlike me.\Quit being naIve. The next time this guy wakes up, we're all finished.\Anxiety, fear, rage...\All the negative emotions are collectively welling up within you.\That's only natural after living in this world for six months without your powers.\You mustn't misuse your powers. response:	Calpas
context: Mob is someone who can solve things on his own.\He actually has strength, unlike me.\Quit being naIve. The next time this guy wakes up, we're all finished.\Anxiety, fear, rage...\All the negative emotions are collectively welling up within you.\That's only natural after living in this world for six months without your powers.\You mustn't misuse your powers.\Calpas response:	Saga Building
context: He actually has strength, unlike me.\Quit being naIve. The next time this guy wakes up, we're all finished.\Anxiety, fear, rage...\All the negative emotions are collectively welling up within you.\That's only natural after living in this world for six months without your powers.\You mustn't misuse your powers.\Calpas\Saga Building response:	I could see spirits ever since I was born.
context: Quit being naIve. The next time this guy wakes up, we're all finished.\Anxiety, fear, rage...\All the negative emotions are collectively welling up within you.\That's only natural after living in this world for six months without your powers.\You mustn't misuse your powers.\Calpas\Saga Building\I could see spirits ever since I was born. response:	I even had the power to exorcise them.
context: Anxiety, fear, rage...\All the negative emotions are collectively welling up within you.\That's only natural after living in this world for six months without your powers.\You mustn't misuse your powers.\Calpas\Saga Building\I could see spirits ever since I was born.\I even had the power to exorcise them. response:	At first, I used my powers for good,
context: All the negative emotions are collectively welling up within you.\That's only natural after living in this world for six months without your powers.\You mustn't misuse your powers.\Calpas\Saga Building\I could see spirits ever since I was born.\I even had the power to exorcise them.\At first, I used my powers for good, response:	by giving advice and solving various problems.
context: That's only natural after living in this world for six months without your powers.\You mustn't misuse your powers.\Calpas\Saga Building\I could see spirits ever since I was born.\I even had the power to exorcise them.\At first, I used my powers for good,\by giving advice and solving various problems. response:	The Psychic of the Century Mogami Keiji-san
context: You mustn't misuse your powers.\Calpas\Saga Building\I could see spirits ever since I was born.\I even had the power to exorcise them.\At first, I used my powers for good,\by giving advice and solving various problems.\The Psychic of the Century Mogami Keiji-san response:	But my mother developed a mysterious illness,
context: Calpas\Saga Building\I could see spirits ever since I was born.\I even had the power to exorcise them.\At first, I used my powers for good,\by giving advice and solving various problems.\The Psychic of the Century Mogami Keiji-san\But my mother developed a mysterious illness, response:	and the fees for her treatment were obscene.
context: Saga Building\I could see spirits ever since I was born.\I even had the power to exorcise them.\At first, I used my powers for good,\by giving advice and solving various problems.\The Psychic of the Century Mogami Keiji-san\But my mother developed a mysterious illness,\and the fees for her treatment were obscene. response:	Eventually, I started taking underground jobs to kill people for money.
context: I could see spirits ever since I was born.\I even had the power to exorcise them.\At first, I used my powers for good,\by giving advice and solving various problems.\The Psychic of the Century Mogami Keiji-san\But my mother developed a mysterious illness,\and the fees for her treatment were obscene.\Eventually, I started taking underground jobs to kill people for money. response:	I even gave up sleep to earn as much as I could.
context: I even had the power to exorcise them.\At first, I used my powers for good,\by giving advice and solving various problems.\The Psychic of the Century Mogami Keiji-san\But my mother developed a mysterious illness,\and the fees for her treatment were obscene.\Eventually, I started taking underground jobs to kill people for money.\I even gave up sleep to earn as much as I could. response:	But my mother still died.
context: At first, I used my powers for good,\by giving advice and solving various problems.\The Psychic of the Century Mogami Keiji-san\But my mother developed a mysterious illness,\and the fees for her treatment were obscene.\Eventually, I started taking underground jobs to kill people for money.\I even gave up sleep to earn as much as I could.\But my mother still died. response:	The cause of her illness remained unclear to the end.
context: by giving advice and solving various problems.\The Psychic of the Century Mogami Keiji-san\But my mother developed a mysterious illness,\and the fees for her treatment were obscene.\Eventually, I started taking underground jobs to kill people for money.\I even gave up sleep to earn as much as I could.\But my mother still died.\The cause of her illness remained unclear to the end. response:	There was nothing anyone could do.
context: The Psychic of the Century Mogami Keiji-san\But my mother developed a mysterious illness,\and the fees for her treatment were obscene.\Eventually, I started taking underground jobs to kill people for money.\I even gave up sleep to earn as much as I could.\But my mother still died.\The cause of her illness remained unclear to the end.\There was nothing anyone could do. response:	But then, I found out...
context: But my mother developed a mysterious illness,\and the fees for her treatment were obscene.\Eventually, I started taking underground jobs to kill people for money.\I even gave up sleep to earn as much as I could.\But my mother still died.\The cause of her illness remained unclear to the end.\There was nothing anyone could do.\But then, I found out... response:	After her death, my mother became an evil spirit and said...
context: and the fees for her treatment were obscene.\Eventually, I started taking underground jobs to kill people for money.\I even gave up sleep to earn as much as I could.\But my mother still died.\The cause of her illness remained unclear to the end.\There was nothing anyone could do.\But then, I found out...\After her death, my mother became an evil spirit and said... response:	It's all your fault!
context: Eventually, I started taking underground jobs to kill people for money.\I even gave up sleep to earn as much as I could.\But my mother still died.\The cause of her illness remained unclear to the end.\There was nothing anyone could do.\But then, I found out...\After her death, my mother became an evil spirit and said...\It's all your fault! response:	My own actions brought forth evil around me,
context: I even gave up sleep to earn as much as I could.\But my mother still died.\The cause of her illness remained unclear to the end.\There was nothing anyone could do.\But then, I found out...\After her death, my mother became an evil spirit and said...\It's all your fault!\My own actions brought forth evil around me, response:	and that's what ended up plaguing her.
context: But my mother still died.\The cause of her illness remained unclear to the end.\There was nothing anyone could do.\But then, I found out...\After her death, my mother became an evil spirit and said...\It's all your fault!\My own actions brought forth evil around me,\and that's what ended up plaguing her. response:	I should've doubted my way of life, how I was being used by others.
context: The cause of her illness remained unclear to the end.\There was nothing anyone could do.\But then, I found out...\After her death, my mother became an evil spirit and said...\It's all your fault!\My own actions brought forth evil around me,\and that's what ended up plaguing her.\I should've doubted my way of life, how I was being used by others. response:	Suicide by Hanging
context: There was nothing anyone could do.\But then, I found out...\After her death, my mother became an evil spirit and said...\It's all your fault!\My own actions brought forth evil around me,\and that's what ended up plaguing her.\I should've doubted my way of life, how I was being used by others.\Suicide by Hanging response:	Early yesterday, Mogami Keiji-san, the famous psychic, was discovered dead.
context: But then, I found out...\After her death, my mother became an evil spirit and said...\It's all your fault!\My own actions brought forth evil around me,\and that's what ended up plaguing her.\I should've doubted my way of life, how I was being used by others.\Suicide by Hanging\Early yesterday, Mogami Keiji-san, the famous psychic, was discovered dead. response:	News
context: After her death, my mother became an evil spirit and said...\It's all your fault!\My own actions brought forth evil around me,\and that's what ended up plaguing her.\I should've doubted my way of life, how I was being used by others.\Suicide by Hanging\Early yesterday, Mogami Keiji-san, the famous psychic, was discovered dead.\News response:	I became an evil spirit and decided to use my powers for myself this time.
context: It's all your fault!\My own actions brought forth evil around me,\and that's what ended up plaguing her.\I should've doubted my way of life, how I was being used by others.\Suicide by Hanging\Early yesterday, Mogami Keiji-san, the famous psychic, was discovered dead.\News\I became an evil spirit and decided to use my powers for myself this time. response:	According to the MPD, the cause of death was suicide.
context: My own actions brought forth evil around me,\and that's what ended up plaguing her.\I should've doubted my way of life, how I was being used by others.\Suicide by Hanging\Early yesterday, Mogami Keiji-san, the famous psychic, was discovered dead.\News\I became an evil spirit and decided to use my powers for myself this time.\According to the MPD, the cause of death was suicide. response:	I was going to change the world.
context: and that's what ended up plaguing her.\I should've doubted my way of life, how I was being used by others.\Suicide by Hanging\Early yesterday, Mogami Keiji-san, the famous psychic, was discovered dead.\News\I became an evil spirit and decided to use my powers for myself this time.\According to the MPD, the cause of death was suicide.\I was going to change the world. response:	I began to punish those who brought misfortune to others.
context: I should've doubted my way of life, how I was being used by others.\Suicide by Hanging\Early yesterday, Mogami Keiji-san, the famous psychic, was discovered dead.\News\I became an evil spirit and decided to use my powers for myself this time.\According to the MPD, the cause of death was suicide.\I was going to change the world.\I began to punish those who brought misfortune to others. response:	If I dwelt within that girl,
context: Suicide by Hanging\Early yesterday, Mogami Keiji-san, the famous psychic, was discovered dead.\News\I became an evil spirit and decided to use my powers for myself this time.\According to the MPD, the cause of death was suicide.\I was going to change the world.\I began to punish those who brought misfortune to others.\If I dwelt within that girl, response:	I knew that I could punish these self-proclaimed psychics as well.
context: Early yesterday, Mogami Keiji-san, the famous psychic, was discovered dead.\News\I became an evil spirit and decided to use my powers for myself this time.\According to the MPD, the cause of death was suicide.\I was going to change the world.\I began to punish those who brought misfortune to others.\If I dwelt within that girl,\I knew that I could punish these self-proclaimed psychics as well. response:	This is how I chose to use my powers.
context: News\I became an evil spirit and decided to use my powers for myself this time.\According to the MPD, the cause of death was suicide.\I was going to change the world.\I began to punish those who brought misfortune to others.\If I dwelt within that girl,\I knew that I could punish these self-proclaimed psychics as well.\This is how I chose to use my powers. response:	You are allowed to use your powers for yourself...
context: I became an evil spirit and decided to use my powers for myself this time.\According to the MPD, the cause of death was suicide.\I was going to change the world.\I began to punish those who brought misfortune to others.\If I dwelt within that girl,\I knew that I could punish these self-proclaimed psychics as well.\This is how I chose to use my powers.\You are allowed to use your powers for yourself... response:	No, you should be using your powers for yourself.
context: According to the MPD, the cause of death was suicide.\I was going to change the world.\I began to punish those who brought misfortune to others.\If I dwelt within that girl,\I knew that I could punish these self-proclaimed psychics as well.\This is how I chose to use my powers.\You are allowed to use your powers for yourself...\No, you should be using your powers for yourself. response:	You understand that now, don't you?
context: I was going to change the world.\I began to punish those who brought misfortune to others.\If I dwelt within that girl,\I knew that I could punish these self-proclaimed psychics as well.\This is how I chose to use my powers.\You are allowed to use your powers for yourself...\No, you should be using your powers for yourself.\You understand that now, don't you? response:	Here you go.
context: I began to punish those who brought misfortune to others.\If I dwelt within that girl,\I knew that I could punish these self-proclaimed psychics as well.\This is how I chose to use my powers.\You are allowed to use your powers for yourself...\No, you should be using your powers for yourself.\You understand that now, don't you?\Here you go. response:	Well, that's a crappy thing to do.
context: If I dwelt within that girl,\I knew that I could punish these self-proclaimed psychics as well.\This is how I chose to use my powers.\You are allowed to use your powers for yourself...\No, you should be using your powers for yourself.\You understand that now, don't you?\Here you go.\Well, that's a crappy thing to do. response:	Don't you know that feeding strays is a public disservice?
context: I knew that I could punish these self-proclaimed psychics as well.\This is how I chose to use my powers.\You are allowed to use your powers for yourself...\No, you should be using your powers for yourself.\You understand that now, don't you?\Here you go.\Well, that's a crappy thing to do.\Don't you know that feeding strays is a public disservice? response:	What are you going to do about that cat?
context: This is how I chose to use my powers.\You are allowed to use your powers for yourself...\No, you should be using your powers for yourself.\You understand that now, don't you?\Here you go.\Well, that's a crappy thing to do.\Don't you know that feeding strays is a public disservice?\What are you going to do about that cat? response:	N-Nothing...
