context: It's unforgivable, unforgivable! response:	What is it that's unforgivable?
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade. response:	I'm clumsier than others
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others response:	and a bit of a crybaby. That's about it.
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it. response:	One day, a strange black cat, Luna, appeared
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared response:	and gave me a peculiar transforming brooch
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch response:	and made me a sailor warrior.
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior. response:	But, she wants me to fight against bad guys.
context: Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys. response:	That makes me really nervous.
context: I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous. response:	Oh well, I guess everything will be okay.
context: I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay. response:	Cursed Buses! Fire Warrior Mars Appears
context: and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Cursed Buses! Fire Warrior Mars Appears response:	If those troublemakers that appeared on Earth
context: One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Cursed Buses! Fire Warrior Mars Appears\If those troublemakers that appeared on Earth response:	get a hold of the legendary Silver Crystal which we are looking for,
context: and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Cursed Buses! Fire Warrior Mars Appears\If those troublemakers that appeared on Earth\get a hold of the legendary Silver Crystal which we are looking for, response:	we'll have a serious problem!
context: and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Cursed Buses! Fire Warrior Mars Appears\If those troublemakers that appeared on Earth\get a hold of the legendary Silver Crystal which we are looking for,\we'll have a serious problem! response:	Our empire is the only one who should have the Silver Crystal.
context: But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Cursed Buses! Fire Warrior Mars Appears\If those troublemakers that appeared on Earth\get a hold of the legendary Silver Crystal which we are looking for,\we'll have a serious problem!\Our empire is the only one who should have the Silver Crystal. response:	I will show no mercy to anyone who tries to hinder our Dark Kingdom!
context: That makes me really nervous.\Oh well, I guess everything will be okay.\Cursed Buses! Fire Warrior Mars Appears\If those troublemakers that appeared on Earth\get a hold of the legendary Silver Crystal which we are looking for,\we'll have a serious problem!\Our empire is the only one who should have the Silver Crystal.\I will show no mercy to anyone who tries to hinder our Dark Kingdom! response:	Can't you find the legendary Silver Crystal yet?
context: Oh well, I guess everything will be okay.\Cursed Buses! Fire Warrior Mars Appears\If those troublemakers that appeared on Earth\get a hold of the legendary Silver Crystal which we are looking for,\we'll have a serious problem!\Our empire is the only one who should have the Silver Crystal.\I will show no mercy to anyone who tries to hinder our Dark Kingdom!\Can't you find the legendary Silver Crystal yet? response:	I'm sorry.
context: Cursed Buses! Fire Warrior Mars Appears\If those troublemakers that appeared on Earth\get a hold of the legendary Silver Crystal which we are looking for,\we'll have a serious problem!\Our empire is the only one who should have the Silver Crystal.\I will show no mercy to anyone who tries to hinder our Dark Kingdom!\Can't you find the legendary Silver Crystal yet?\I'm sorry. response:	You have already failed several missions,
context: If those troublemakers that appeared on Earth\get a hold of the legendary Silver Crystal which we are looking for,\we'll have a serious problem!\Our empire is the only one who should have the Silver Crystal.\I will show no mercy to anyone who tries to hinder our Dark Kingdom!\Can't you find the legendary Silver Crystal yet?\I'm sorry.\You have already failed several missions, response:	but I will give you a chance to redeem yourself.
context: get a hold of the legendary Silver Crystal which we are looking for,\we'll have a serious problem!\Our empire is the only one who should have the Silver Crystal.\I will show no mercy to anyone who tries to hinder our Dark Kingdom!\Can't you find the legendary Silver Crystal yet?\I'm sorry.\You have already failed several missions,\but I will give you a chance to redeem yourself. response:	Collect the energy.
context: we'll have a serious problem!\Our empire is the only one who should have the Silver Crystal.\I will show no mercy to anyone who tries to hinder our Dark Kingdom!\Can't you find the legendary Silver Crystal yet?\I'm sorry.\You have already failed several missions,\but I will give you a chance to redeem yourself.\Collect the energy. response:	And also find the warriors and kill them!
context: Our empire is the only one who should have the Silver Crystal.\I will show no mercy to anyone who tries to hinder our Dark Kingdom!\Can't you find the legendary Silver Crystal yet?\I'm sorry.\You have already failed several missions,\but I will give you a chance to redeem yourself.\Collect the energy.\And also find the warriors and kill them! response:	Yes, my lady.
context: I will show no mercy to anyone who tries to hinder our Dark Kingdom!\Can't you find the legendary Silver Crystal yet?\I'm sorry.\You have already failed several missions,\but I will give you a chance to redeem yourself.\Collect the energy.\And also find the warriors and kill them!\Yes, my lady. response:	Did something happen?
context: Can't you find the legendary Silver Crystal yet?\I'm sorry.\You have already failed several missions,\but I will give you a chance to redeem yourself.\Collect the energy.\And also find the warriors and kill them!\Yes, my lady.\Did something happen? response:	Ami!
context: I'm sorry.\You have already failed several missions,\but I will give you a chance to redeem yourself.\Collect the energy.\And also find the warriors and kill them!\Yes, my lady.\Did something happen?\Ami! response:	Oh, Usagi.
context: You have already failed several missions,\but I will give you a chance to redeem yourself.\Collect the energy.\And also find the warriors and kill them!\Yes, my lady.\Did something happen?\Ami!\Oh, Usagi. response:	Oh, Luna!
context: but I will give you a chance to redeem yourself.\Collect the energy.\And also find the warriors and kill them!\Yes, my lady.\Did something happen?\Ami!\Oh, Usagi.\Oh, Luna! response:	Ami! Oh, Luna!
context: Collect the energy.\And also find the warriors and kill them!\Yes, my lady.\Did something happen?\Ami!\Oh, Usagi.\Oh, Luna!\Ami! Oh, Luna! response:	Ami!
context: And also find the warriors and kill them!\Yes, my lady.\Did something happen?\Ami!\Oh, Usagi.\Oh, Luna!\Ami! Oh, Luna!\Ami! response:	Where are you going?
context: Yes, my lady.\Did something happen?\Ami!\Oh, Usagi.\Oh, Luna!\Ami! Oh, Luna!\Ami!\Where are you going? response:	To cram school.
context: Did something happen?\Ami!\Oh, Usagi.\Oh, Luna!\Ami! Oh, Luna!\Ami!\Where are you going?\To cram school. response:	What? You have to take a bus to go to cram school?
context: Ami!\Oh, Usagi.\Oh, Luna!\Ami! Oh, Luna!\Ami!\Where are you going?\To cram school.\What? You have to take a bus to go to cram school? response:	If it's for a good cram school, I'd even take a plane.
context: Oh, Usagi.\Oh, Luna!\Ami! Oh, Luna!\Ami!\Where are you going?\To cram school.\What? You have to take a bus to go to cram school?\If it's for a good cram school, I'd even take a plane. response:	I'm a sailor warrior.
context: Oh, Luna!\Ami! Oh, Luna!\Ami!\Where are you going?\To cram school.\What? You have to take a bus to go to cram school?\If it's for a good cram school, I'd even take a plane.\I'm a sailor warrior. response:	I have to study hard
context: Ami! Oh, Luna!\Ami!\Where are you going?\To cram school.\What? You have to take a bus to go to cram school?\If it's for a good cram school, I'd even take a plane.\I'm a sailor warrior.\I have to study hard response:	and gain more knowledge so that I can help Luna!
context: Ami!\Where are you going?\To cram school.\What? You have to take a bus to go to cram school?\If it's for a good cram school, I'd even take a plane.\I'm a sailor warrior.\I have to study hard\and gain more knowledge so that I can help Luna! response:	Way to go! You're the best, Ami!
context: Where are you going?\To cram school.\What? You have to take a bus to go to cram school?\If it's for a good cram school, I'd even take a plane.\I'm a sailor warrior.\I have to study hard\and gain more knowledge so that I can help Luna!\Way to go! You're the best, Ami! response:	On the other hand, when you compare that to someone else...
context: To cram school.\What? You have to take a bus to go to cram school?\If it's for a good cram school, I'd even take a plane.\I'm a sailor warrior.\I have to study hard\and gain more knowledge so that I can help Luna!\Way to go! You're the best, Ami!\On the other hand, when you compare that to someone else... response:	The bus isn't here yet.
context: What? You have to take a bus to go to cram school?\If it's for a good cram school, I'd even take a plane.\I'm a sailor warrior.\I have to study hard\and gain more knowledge so that I can help Luna!\Way to go! You're the best, Ami!\On the other hand, when you compare that to someone else...\The bus isn't here yet. response:	Did something happen?
context: If it's for a good cram school, I'd even take a plane.\I'm a sailor warrior.\I have to study hard\and gain more knowledge so that I can help Luna!\Way to go! You're the best, Ami!\On the other hand, when you compare that to someone else...\The bus isn't here yet.\Did something happen? response:	Hey hey, listen! Do you know the story behind this bus?
context: I'm a sailor warrior.\I have to study hard\and gain more knowledge so that I can help Luna!\Way to go! You're the best, Ami!\On the other hand, when you compare that to someone else...\The bus isn't here yet.\Did something happen?\Hey hey, listen! Do you know the story behind this bus? response:	What?
context: I have to study hard\and gain more knowledge so that I can help Luna!\Way to go! You're the best, Ami!\On the other hand, when you compare that to someone else...\The bus isn't here yet.\Did something happen?\Hey hey, listen! Do you know the story behind this bus?\What? response:	I heard a bus with some passengers
context: and gain more knowledge so that I can help Luna!\Way to go! You're the best, Ami!\On the other hand, when you compare that to someone else...\The bus isn't here yet.\Did something happen?\Hey hey, listen! Do you know the story behind this bus?\What?\I heard a bus with some passengers response:	which left here just after 6pm suddenly disappeared.
context: Way to go! You're the best, Ami!\On the other hand, when you compare that to someone else...\The bus isn't here yet.\Did something happen?\Hey hey, listen! Do you know the story behind this bus?\What?\I heard a bus with some passengers\which left here just after 6pm suddenly disappeared. response:	What?! That sounds like fun.
context: On the other hand, when you compare that to someone else...\The bus isn't here yet.\Did something happen?\Hey hey, listen! Do you know the story behind this bus?\What?\I heard a bus with some passengers\which left here just after 6pm suddenly disappeared.\What?! That sounds like fun. response:	There's nothing fun about it!
context: The bus isn't here yet.\Did something happen?\Hey hey, listen! Do you know the story behind this bus?\What?\I heard a bus with some passengers\which left here just after 6pm suddenly disappeared.\What?! That sounds like fun.\There's nothing fun about it! response:	You know there's a bus stop up ahead called Sendaizaka Ue, right?
context: Did something happen?\Hey hey, listen! Do you know the story behind this bus?\What?\I heard a bus with some passengers\which left here just after 6pm suddenly disappeared.\What?! That sounds like fun.\There's nothing fun about it!\You know there's a bus stop up ahead called Sendaizaka Ue, right? response:	Yeah, it's where the five slopes are, right?
context: Hey hey, listen! Do you know the story behind this bus?\What?\I heard a bus with some passengers\which left here just after 6pm suddenly disappeared.\What?! That sounds like fun.\There's nothing fun about it!\You know there's a bus stop up ahead called Sendaizaka Ue, right?\Yeah, it's where the five slopes are, right? response:	That's right. I heard that a bus with about fifty passengers
context: What?\I heard a bus with some passengers\which left here just after 6pm suddenly disappeared.\What?! That sounds like fun.\There's nothing fun about it!\You know there's a bus stop up ahead called Sendaizaka Ue, right?\Yeah, it's where the five slopes are, right?\That's right. I heard that a bus with about fifty passengers response:	just suddenly disappeared around there!
context: I heard a bus with some passengers\which left here just after 6pm suddenly disappeared.\What?! That sounds like fun.\There's nothing fun about it!\You know there's a bus stop up ahead called Sendaizaka Ue, right?\Yeah, it's where the five slopes are, right?\That's right. I heard that a bus with about fifty passengers\just suddenly disappeared around there! response:	The police suspected it could be a mass kidnapping
context: which left here just after 6pm suddenly disappeared.\What?! That sounds like fun.\There's nothing fun about it!\You know there's a bus stop up ahead called Sendaizaka Ue, right?\Yeah, it's where the five slopes are, right?\That's right. I heard that a bus with about fifty passengers\just suddenly disappeared around there!\The police suspected it could be a mass kidnapping response:	and kept it secret for a while,
context: What?! That sounds like fun.\There's nothing fun about it!\You know there's a bus stop up ahead called Sendaizaka Ue, right?\Yeah, it's where the five slopes are, right?\That's right. I heard that a bus with about fifty passengers\just suddenly disappeared around there!\The police suspected it could be a mass kidnapping\and kept it secret for a while, response:	but they just announced what had happened
context: There's nothing fun about it!\You know there's a bus stop up ahead called Sendaizaka Ue, right?\Yeah, it's where the five slopes are, right?\That's right. I heard that a bus with about fifty passengers\just suddenly disappeared around there!\The police suspected it could be a mass kidnapping\and kept it secret for a while,\but they just announced what had happened response:	and started investigating the incident.
context: You know there's a bus stop up ahead called Sendaizaka Ue, right?\Yeah, it's where the five slopes are, right?\That's right. I heard that a bus with about fifty passengers\just suddenly disappeared around there!\The police suspected it could be a mass kidnapping\and kept it secret for a while,\but they just announced what had happened\and started investigating the incident. response:	A cursed 6 o'clock bus...
context: Yeah, it's where the five slopes are, right?\That's right. I heard that a bus with about fifty passengers\just suddenly disappeared around there!\The police suspected it could be a mass kidnapping\and kept it secret for a while,\but they just announced what had happened\and started investigating the incident.\A cursed 6 o'clock bus... response:	I'm scared!
context: That's right. I heard that a bus with about fifty passengers\just suddenly disappeared around there!\The police suspected it could be a mass kidnapping\and kept it secret for a while,\but they just announced what had happened\and started investigating the incident.\A cursed 6 o'clock bus...\I'm scared! response:	It's very scary. I'm scared!
context: just suddenly disappeared around there!\The police suspected it could be a mass kidnapping\and kept it secret for a while,\but they just announced what had happened\and started investigating the incident.\A cursed 6 o'clock bus...\I'm scared!\It's very scary. I'm scared! response:	It's very scary.
context: The police suspected it could be a mass kidnapping\and kept it secret for a while,\but they just announced what had happened\and started investigating the incident.\A cursed 6 o'clock bus...\I'm scared!\It's very scary. I'm scared!\It's very scary. response:	Hey, hey. Do you know the Hikawa Shrine near Sendaizaka?
context: and kept it secret for a while,\but they just announced what had happened\and started investigating the incident.\A cursed 6 o'clock bus...\I'm scared!\It's very scary. I'm scared!\It's very scary.\Hey, hey. Do you know the Hikawa Shrine near Sendaizaka? response:	They're famous for their amulets that ward off evils.
context: but they just announced what had happened\and started investigating the incident.\A cursed 6 o'clock bus...\I'm scared!\It's very scary. I'm scared!\It's very scary.\Hey, hey. Do you know the Hikawa Shrine near Sendaizaka?\They're famous for their amulets that ward off evils. response:	Maybe we should buy one!
context: and started investigating the incident.\A cursed 6 o'clock bus...\I'm scared!\It's very scary. I'm scared!\It's very scary.\Hey, hey. Do you know the Hikawa Shrine near Sendaizaka?\They're famous for their amulets that ward off evils.\Maybe we should buy one! response:	I heard the daughter who lives there has psychic powers,
context: A cursed 6 o'clock bus...\I'm scared!\It's very scary. I'm scared!\It's very scary.\Hey, hey. Do you know the Hikawa Shrine near Sendaizaka?\They're famous for their amulets that ward off evils.\Maybe we should buy one!\I heard the daughter who lives there has psychic powers, response:	and her fortune telling is really accurate.
context: I'm scared!\It's very scary. I'm scared!\It's very scary.\Hey, hey. Do you know the Hikawa Shrine near Sendaizaka?\They're famous for their amulets that ward off evils.\Maybe we should buy one!\I heard the daughter who lives there has psychic powers,\and her fortune telling is really accurate. response:	I heard that their amulets really work too!
context: It's very scary. I'm scared!\It's very scary.\Hey, hey. Do you know the Hikawa Shrine near Sendaizaka?\They're famous for their amulets that ward off evils.\Maybe we should buy one!\I heard the daughter who lives there has psychic powers,\and her fortune telling is really accurate.\I heard that their amulets really work too! response:	Maybe, we should buy one.
context: It's very scary.\Hey, hey. Do you know the Hikawa Shrine near Sendaizaka?\They're famous for their amulets that ward off evils.\Maybe we should buy one!\I heard the daughter who lives there has psychic powers,\and her fortune telling is really accurate.\I heard that their amulets really work too!\Maybe, we should buy one. response:	Usagi, can you get me one, too?
context: Hey, hey. Do you know the Hikawa Shrine near Sendaizaka?\They're famous for their amulets that ward off evils.\Maybe we should buy one!\I heard the daughter who lives there has psychic powers,\and her fortune telling is really accurate.\I heard that their amulets really work too!\Maybe, we should buy one.\Usagi, can you get me one, too? response:	What? Why don't you come with us?
context: They're famous for their amulets that ward off evils.\Maybe we should buy one!\I heard the daughter who lives there has psychic powers,\and her fortune telling is really accurate.\I heard that their amulets really work too!\Maybe, we should buy one.\Usagi, can you get me one, too?\What? Why don't you come with us? response:	No, I can't. I have to go to cram school.
context: Maybe we should buy one!\I heard the daughter who lives there has psychic powers,\and her fortune telling is really accurate.\I heard that their amulets really work too!\Maybe, we should buy one.\Usagi, can you get me one, too?\What? Why don't you come with us?\No, I can't. I have to go to cram school. response:	Also, I have an important mock test coming up.
context: I heard the daughter who lives there has psychic powers,\and her fortune telling is really accurate.\I heard that their amulets really work too!\Maybe, we should buy one.\Usagi, can you get me one, too?\What? Why don't you come with us?\No, I can't. I have to go to cram school.\Also, I have an important mock test coming up. response:	I can't afford to get a cold while I'm studying.
context: and her fortune telling is really accurate.\I heard that their amulets really work too!\Maybe, we should buy one.\Usagi, can you get me one, too?\What? Why don't you come with us?\No, I can't. I have to go to cram school.\Also, I have an important mock test coming up.\I can't afford to get a cold while I'm studying. response:	D'oh!
context: I heard that their amulets really work too!\Maybe, we should buy one.\Usagi, can you get me one, too?\What? Why don't you come with us?\No, I can't. I have to go to cram school.\Also, I have an important mock test coming up.\I can't afford to get a cold while I'm studying.\D'oh! response:	Hikawa Shrine
context: Maybe, we should buy one.\Usagi, can you get me one, too?\What? Why don't you come with us?\No, I can't. I have to go to cram school.\Also, I have an important mock test coming up.\I can't afford to get a cold while I'm studying.\D'oh!\Hikawa Shrine response:	May the boy I like also like me.
context: Usagi, can you get me one, too?\What? Why don't you come with us?\No, I can't. I have to go to cram school.\Also, I have an important mock test coming up.\I can't afford to get a cold while I'm studying.\D'oh!\Hikawa Shrine\May the boy I like also like me. response:	So, you, too!
context: What? Why don't you come with us?\No, I can't. I have to go to cram school.\Also, I have an important mock test coming up.\I can't afford to get a cold while I'm studying.\D'oh!\Hikawa Shrine\May the boy I like also like me.\So, you, too! response:	What? Who? So, you, too!
context: No, I can't. I have to go to cram school.\Also, I have an important mock test coming up.\I can't afford to get a cold while I'm studying.\D'oh!\Hikawa Shrine\May the boy I like also like me.\So, you, too!\What? Who? So, you, too! response:	What? Who?
context: Also, I have an important mock test coming up.\I can't afford to get a cold while I'm studying.\D'oh!\Hikawa Shrine\May the boy I like also like me.\So, you, too!\What? Who? So, you, too!\What? Who? response:	Tell me!
context: I can't afford to get a cold while I'm studying.\D'oh!\Hikawa Shrine\May the boy I like also like me.\So, you, too!\What? Who? So, you, too!\What? Who?\Tell me! response:	Pray more! And fill your heart with the energy of burning desire.
context: D'oh!\Hikawa Shrine\May the boy I like also like me.\So, you, too!\What? Who? So, you, too!\What? Who?\Tell me!\Pray more! And fill your heart with the energy of burning desire. response:	It's coming...
context: Hikawa Shrine\May the boy I like also like me.\So, you, too!\What? Who? So, you, too!\What? Who?\Tell me!\Pray more! And fill your heart with the energy of burning desire.\It's coming... response:	Something evil is coming closer.
context: May the boy I like also like me.\So, you, too!\What? Who? So, you, too!\What? Who?\Tell me!\Pray more! And fill your heart with the energy of burning desire.\It's coming...\Something evil is coming closer. response:	Offering
context: So, you, too!\What? Who? So, you, too!\What? Who?\Tell me!\Pray more! And fill your heart with the energy of burning desire.\It's coming...\Something evil is coming closer.\Offering response:	Offering Oh, you girls are so pretty.
context: What? Who? So, you, too!\What? Who?\Tell me!\Pray more! And fill your heart with the energy of burning desire.\It's coming...\Something evil is coming closer.\Offering\Offering Oh, you girls are so pretty. response:	Oh, you girls are so pretty.
context: What? Who?\Tell me!\Pray more! And fill your heart with the energy of burning desire.\It's coming...\Something evil is coming closer.\Offering\Offering Oh, you girls are so pretty.\Oh, you girls are so pretty. response:	Wanna work as a part-time shrine maiden?
context: Tell me!\Pray more! And fill your heart with the energy of burning desire.\It's coming...\Something evil is coming closer.\Offering\Offering Oh, you girls are so pretty.\Oh, you girls are so pretty.\Wanna work as a part-time shrine maiden? response:	We just came here to buy amulets for love.
context: Pray more! And fill your heart with the energy of burning desire.\It's coming...\Something evil is coming closer.\Offering\Offering Oh, you girls are so pretty.\Oh, you girls are so pretty.\Wanna work as a part-time shrine maiden?\We just came here to buy amulets for love. response:	I know, I know. I was just kidding!
context: It's coming...\Something evil is coming closer.\Offering\Offering Oh, you girls are so pretty.\Oh, you girls are so pretty.\Wanna work as a part-time shrine maiden?\We just came here to buy amulets for love.\I know, I know. I was just kidding! response:	It's 5:30. Perfect!
context: Something evil is coming closer.\Offering\Offering Oh, you girls are so pretty.\Oh, you girls are so pretty.\Wanna work as a part-time shrine maiden?\We just came here to buy amulets for love.\I know, I know. I was just kidding!\It's 5:30. Perfect! response:	Then, as usual, I will conduct a special ceremony for all of you
context: Offering\Offering Oh, you girls are so pretty.\Oh, you girls are so pretty.\Wanna work as a part-time shrine maiden?\We just came here to buy amulets for love.\I know, I know. I was just kidding!\It's 5:30. Perfect!\Then, as usual, I will conduct a special ceremony for all of you response:	so that your love will come true.
context: Offering Oh, you girls are so pretty.\Oh, you girls are so pretty.\Wanna work as a part-time shrine maiden?\We just came here to buy amulets for love.\I know, I know. I was just kidding!\It's 5:30. Perfect!\Then, as usual, I will conduct a special ceremony for all of you\so that your love will come true. response:	O god of flames!
context: Oh, you girls are so pretty.\Wanna work as a part-time shrine maiden?\We just came here to buy amulets for love.\I know, I know. I was just kidding!\It's 5:30. Perfect!\Then, as usual, I will conduct a special ceremony for all of you\so that your love will come true.\O god of flames! response:	Please make sure these girls' thoughts reach their boys,
context: Wanna work as a part-time shrine maiden?\We just came here to buy amulets for love.\I know, I know. I was just kidding!\It's 5:30. Perfect!\Then, as usual, I will conduct a special ceremony for all of you\so that your love will come true.\O god of flames!\Please make sure these girls' thoughts reach their boys, response:	and make their wishes come true!
context: We just came here to buy amulets for love.\I know, I know. I was just kidding!\It's 5:30. Perfect!\Then, as usual, I will conduct a special ceremony for all of you\so that your love will come true.\O god of flames!\Please make sure these girls' thoughts reach their boys,\and make their wishes come true! response:	You girls came from far away, right?
context: I know, I know. I was just kidding!\It's 5:30. Perfect!\Then, as usual, I will conduct a special ceremony for all of you\so that your love will come true.\O god of flames!\Please make sure these girls' thoughts reach their boys,\and make their wishes come true!\You girls came from far away, right? response:	Since you're here, why don't you draw a fortune slip, too?
context: It's 5:30. Perfect!\Then, as usual, I will conduct a special ceremony for all of you\so that your love will come true.\O god of flames!\Please make sure these girls' thoughts reach their boys,\and make their wishes come true!\You girls came from far away, right?\Since you're here, why don't you draw a fortune slip, too? response:	We also sell votive paintings of horses for passing entrance exams.
