context: Splendidly done, brave heroes. response:	Tonight, we celebrate!
context: Our country has nothing to worry about.\Screw this party.\I never would have come here if it wasn't for the reward.\I hear the casualties were in the single digits this time.\Bless our heroes.\I held my ground against a massive monster\and fought with pride as a royal knight...\What? response:	I'm truly honored to meet you, Spear Hero.
context: Screw this party.\I never would have come here if it wasn't for the reward.\I hear the casualties were in the single digits this time.\Bless our heroes.\I held my ground against a massive monster\and fought with pride as a royal knight...\What?\I'm truly honored to meet you, Spear Hero. response:	Do you happen to have a lover?
context: I never would have come here if it wasn't for the reward.\I hear the casualties were in the single digits this time.\Bless our heroes.\I held my ground against a massive monster\and fought with pride as a royal knight...\What?\I'm truly honored to meet you, Spear Hero.\Do you happen to have a lover? response:	Motoyasu-sama is still tired from the battle.
context: I hear the casualties were in the single digits this time.\Bless our heroes.\I held my ground against a massive monster\and fought with pride as a royal knight...\What?\I'm truly honored to meet you, Spear Hero.\Do you happen to have a lover?\Motoyasu-sama is still tired from the battle. response:	You there.
context: Bless our heroes.\I held my ground against a massive monster\and fought with pride as a royal knight...\What?\I'm truly honored to meet you, Spear Hero.\Do you happen to have a lover?\Motoyasu-sama is still tired from the battle.\You there. response:	Motoyasu-sama...
context: I held my ground against a massive monster\and fought with pride as a royal knight...\What?\I'm truly honored to meet you, Spear Hero.\Do you happen to have a lover?\Motoyasu-sama is still tired from the battle.\You there.\Motoyasu-sama... response:	Naofumi-sama...
context: and fought with pride as a royal knight...\What?\I'm truly honored to meet you, Spear Hero.\Do you happen to have a lover?\Motoyasu-sama is still tired from the battle.\You there.\Motoyasu-sama...\Naofumi-sama... response:	Aren't you hungry?
context: What?\I'm truly honored to meet you, Spear Hero.\Do you happen to have a lover?\Motoyasu-sama is still tired from the battle.\You there.\Motoyasu-sama...\Naofumi-sama...\Aren't you hungry? response:	The food here seems heavenly!
context: I'm truly honored to meet you, Spear Hero.\Do you happen to have a lover?\Motoyasu-sama is still tired from the battle.\You there.\Motoyasu-sama...\Naofumi-sama...\Aren't you hungry?\The food here seems heavenly! response:	If you want to eat, go ahead.
context: Do you happen to have a lover?\Motoyasu-sama is still tired from the battle.\You there.\Motoyasu-sama...\Naofumi-sama...\Aren't you hungry?\The food here seems heavenly!\If you want to eat, go ahead. response:	You should join me.
context: Motoyasu-sama is still tired from the battle.\You there.\Motoyasu-sama...\Naofumi-sama...\Aren't you hungry?\The food here seems heavenly!\If you want to eat, go ahead.\You should join me. response:	I'll pass.
context: You there.\Motoyasu-sama...\Naofumi-sama...\Aren't you hungry?\The food here seems heavenly!\If you want to eat, go ahead.\You should join me.\I'll pass. response:	Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.
context: Motoyasu-sama...\Naofumi-sama...\Aren't you hungry?\The food here seems heavenly!\If you want to eat, go ahead.\You should join me.\I'll pass.\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass. response:	Teleport people with me, huh?
context: Naofumi-sama...\Aren't you hungry?\The food here seems heavenly!\If you want to eat, go ahead.\You should join me.\I'll pass.\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\Teleport people with me, huh? response:	Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.
context: Aren't you hungry?\The food here seems heavenly!\If you want to eat, go ahead.\You should join me.\I'll pass.\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\Teleport people with me, huh?\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass. response:	If only I'd noticed this sooner...
context: The food here seems heavenly!\If you want to eat, go ahead.\You should join me.\I'll pass.\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\Teleport people with me, huh?\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\If only I'd noticed this sooner... response:	Let's eat together.
context: If you want to eat, go ahead.\You should join me.\I'll pass.\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\Teleport people with me, huh?\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\If only I'd noticed this sooner...\Let's eat together. response:	Have a bite.
context: You should join me.\I'll pass.\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\Teleport people with me, huh?\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\If only I'd noticed this sooner...\Let's eat together.\Have a bite. response:	No, I...
context: I'll pass.\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\Teleport people with me, huh?\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\If only I'd noticed this sooner...\Let's eat together.\Have a bite.\No, I... response:	It's really good, you know?
context: Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\Teleport people with me, huh?\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\If only I'd noticed this sooner...\Let's eat together.\Have a bite.\No, I...\It's really good, you know? response:	See?
context: Teleport people with me, huh?\Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\If only I'd noticed this sooner...\Let's eat together.\Have a bite.\No, I...\It's really good, you know?\See? response:	Naofumi...
context: Persons or objects can be registered to allow them to be teleported with you when summoned by the hourglass.\If only I'd noticed this sooner...\Let's eat together.\Have a bite.\No, I...\It's really good, you know?\See?\Naofumi... response:	Duel me.
context: If only I'd noticed this sooner...\Let's eat together.\Have a bite.\No, I...\It's really good, you know?\See?\Naofumi...\Duel me. response:	The Rising of the Shield Hero
context: Let's eat together.\Have a bite.\No, I...\It's really good, you know?\See?\Naofumi...\Duel me.\The Rising of the Shield Hero response:	Lullaby at Dawn
context: Have a bite.\No, I...\It's really good, you know?\See?\Naofumi...\Duel me.\The Rising of the Shield Hero\Lullaby at Dawn response:	I heard that Raphtalia-chan's your slave.
context: No, I...\It's really good, you know?\See?\Naofumi...\Duel me.\The Rising of the Shield Hero\Lullaby at Dawn\I heard that Raphtalia-chan's your slave. response:	And what if she is?
context: It's really good, you know?\See?\Naofumi...\Duel me.\The Rising of the Shield Hero\Lullaby at Dawn\I heard that Raphtalia-chan's your slave.\And what if she is? response:	You...
context: See?\Naofumi...\Duel me.\The Rising of the Shield Hero\Lullaby at Dawn\I heard that Raphtalia-chan's your slave.\And what if she is?\You... response:	Raphtalia is my slave.
context: Naofumi...\Duel me.\The Rising of the Shield Hero\Lullaby at Dawn\I heard that Raphtalia-chan's your slave.\And what if she is?\You...\Raphtalia is my slave. response:	So what?
context: Duel me.\The Rising of the Shield Hero\Lullaby at Dawn\I heard that Raphtalia-chan's your slave.\And what if she is?\You...\Raphtalia is my slave.\So what? response:	Listen! It's not right to enslave others!
context: The Rising of the Shield Hero\Lullaby at Dawn\I heard that Raphtalia-chan's your slave.\And what if she is?\You...\Raphtalia is my slave.\So what?\Listen! It's not right to enslave others! response:	Listen to yourself.
context: Lullaby at Dawn\I heard that Raphtalia-chan's your slave.\And what if she is?\You...\Raphtalia is my slave.\So what?\Listen! It's not right to enslave others!\Listen to yourself. response:	Slavery is legal in this country, anyway.
context: I heard that Raphtalia-chan's your slave.\And what if she is?\You...\Raphtalia is my slave.\So what?\Listen! It's not right to enslave others!\Listen to yourself.\Slavery is legal in this country, anyway. response:	But we're heroes from another world!
context: And what if she is?\You...\Raphtalia is my slave.\So what?\Listen! It's not right to enslave others!\Listen to yourself.\Slavery is legal in this country, anyway.\But we're heroes from another world! response:	We can't behave that way here!
context: You...\Raphtalia is my slave.\So what?\Listen! It's not right to enslave others!\Listen to yourself.\Slavery is legal in this country, anyway.\But we're heroes from another world!\We can't behave that way here! response:	That's just your opinion.
context: Raphtalia is my slave.\So what?\Listen! It's not right to enslave others!\Listen to yourself.\Slavery is legal in this country, anyway.\But we're heroes from another world!\We can't behave that way here!\That's just your opinion. response:	I disagree.
context: So what?\Listen! It's not right to enslave others!\Listen to yourself.\Slavery is legal in this country, anyway.\But we're heroes from another world!\We can't behave that way here!\That's just your opinion.\I disagree. response:	Fight me!
context: Listen! It's not right to enslave others!\Listen to yourself.\Slavery is legal in this country, anyway.\But we're heroes from another world!\We can't behave that way here!\That's just your opinion.\I disagree.\Fight me! response:	If I win, free Raphtalia-chan.
context: Listen to yourself.\Slavery is legal in this country, anyway.\But we're heroes from another world!\We can't behave that way here!\That's just your opinion.\I disagree.\Fight me!\If I win, free Raphtalia-chan. response:	And what if I win?
context: Slavery is legal in this country, anyway.\But we're heroes from another world!\We can't behave that way here!\That's just your opinion.\I disagree.\Fight me!\If I win, free Raphtalia-chan.\And what if I win? response:	Then... you can keep things as they are.
context: But we're heroes from another world!\We can't behave that way here!\That's just your opinion.\I disagree.\Fight me!\If I win, free Raphtalia-chan.\And what if I win?\Then... you can keep things as they are. response:	Ridiculous.
context: We can't behave that way here!\That's just your opinion.\I disagree.\Fight me!\If I win, free Raphtalia-chan.\And what if I win?\Then... you can keep things as they are.\Ridiculous. response:	Naofumi-sama?
context: That's just your opinion.\I disagree.\Fight me!\If I win, free Raphtalia-chan.\And what if I win?\Then... you can keep things as they are.\Ridiculous.\Naofumi-sama? response:	He has a slave in his party?
context: I disagree.\Fight me!\If I win, free Raphtalia-chan.\And what if I win?\Then... you can keep things as they are.\Ridiculous.\Naofumi-sama?\He has a slave in his party? response:	I thought he couldn't stoop any lower, but he has.
context: Fight me!\If I win, free Raphtalia-chan.\And what if I win?\Then... you can keep things as they are.\Ridiculous.\Naofumi-sama?\He has a slave in his party?\I thought he couldn't stoop any lower, but he has. response:	I overheard your conversation.
context: If I win, free Raphtalia-chan.\And what if I win?\Then... you can keep things as they are.\Ridiculous.\Naofumi-sama?\He has a slave in his party?\I thought he couldn't stoop any lower, but he has.\I overheard your conversation. response:	A hero, using a demi-human as his slave?
context: And what if I win?\Then... you can keep things as they are.\Ridiculous.\Naofumi-sama?\He has a slave in his party?\I thought he couldn't stoop any lower, but he has.\I overheard your conversation.\A hero, using a demi-human as his slave? response:	It seems that you are rotten to the core.
context: Then... you can keep things as they are.\Ridiculous.\Naofumi-sama?\He has a slave in his party?\I thought he couldn't stoop any lower, but he has.\I overheard your conversation.\A hero, using a demi-human as his slave?\It seems that you are rotten to the core. response:	I order you to accept his challenge!
context: Ridiculous.\Naofumi-sama?\He has a slave in his party?\I thought he couldn't stoop any lower, but he has.\I overheard your conversation.\A hero, using a demi-human as his slave?\It seems that you are rotten to the core.\I order you to accept his challenge! response:	That won't be necessary!
context: Naofumi-sama?\He has a slave in his party?\I thought he couldn't stoop any lower, but he has.\I overheard your conversation.\A hero, using a demi-human as his slave?\It seems that you are rotten to the core.\I order you to accept his challenge!\That won't be necessary! response:	I'm with Naofumi-sama of my own free will.
context: He has a slave in his party?\I thought he couldn't stoop any lower, but he has.\I overheard your conversation.\A hero, using a demi-human as his slave?\It seems that you are rotten to the core.\I order you to accept his challenge!\That won't be necessary!\I'm with Naofumi-sama of my own free will. response:	What are you playing at?!
context: I thought he couldn't stoop any lower, but he has.\I overheard your conversation.\A hero, using a demi-human as his slave?\It seems that you are rotten to the core.\I order you to accept his challenge!\That won't be necessary!\I'm with Naofumi-sama of my own free will.\What are you playing at?! response:	Poor girl.
context: I overheard your conversation.\A hero, using a demi-human as his slave?\It seems that you are rotten to the core.\I order you to accept his challenge!\That won't be necessary!\I'm with Naofumi-sama of my own free will.\What are you playing at?!\Poor girl. response:	You've been placed under a curse that compels you to defend your master.
context: A hero, using a demi-human as his slave?\It seems that you are rotten to the core.\I order you to accept his challenge!\That won't be necessary!\I'm with Naofumi-sama of my own free will.\What are you playing at?!\Poor girl.\You've been placed under a curse that compels you to defend your master. response:	Don't worry.
context: It seems that you are rotten to the core.\I order you to accept his challenge!\That won't be necessary!\I'm with Naofumi-sama of my own free will.\What are you playing at?!\Poor girl.\You've been placed under a curse that compels you to defend your master.\Don't worry. response:	Once Motoyasu-dono wins, we shall release you from that curse.
context: I order you to accept his challenge!\That won't be necessary!\I'm with Naofumi-sama of my own free will.\What are you playing at?!\Poor girl.\You've been placed under a curse that compels you to defend your master.\Don't worry.\Once Motoyasu-dono wins, we shall release you from that curse. response:	Hey! Knock it off!
context: That won't be necessary!\I'm with Naofumi-sama of my own free will.\What are you playing at?!\Poor girl.\You've been placed under a curse that compels you to defend your master.\Don't worry.\Once Motoyasu-dono wins, we shall release you from that curse.\Hey! Knock it off! response:	Draw your swords!
context: I'm with Naofumi-sama of my own free will.\What are you playing at?!\Poor girl.\You've been placed under a curse that compels you to defend your master.\Don't worry.\Once Motoyasu-dono wins, we shall release you from that curse.\Hey! Knock it off!\Draw your swords! response:	If you won't heed my order, I shall take her from you by force.
context: What are you playing at?!\Poor girl.\You've been placed under a curse that compels you to defend your master.\Don't worry.\Once Motoyasu-dono wins, we shall release you from that curse.\Hey! Knock it off!\Draw your swords!\If you won't heed my order, I shall take her from you by force. response:	I hope you're not thinking of running from this.
context: Poor girl.\You've been placed under a curse that compels you to defend your master.\Don't worry.\Once Motoyasu-dono wins, we shall release you from that curse.\Hey! Knock it off!\Draw your swords!\If you won't heed my order, I shall take her from you by force.\I hope you're not thinking of running from this. response:	You scumbag!
context: You've been placed under a curse that compels you to defend your master.\Don't worry.\Once Motoyasu-dono wins, we shall release you from that curse.\Hey! Knock it off!\Draw your swords!\If you won't heed my order, I shall take her from you by force.\I hope you're not thinking of running from this.\You scumbag! response:	If I win, you'd better return Raphtalia!
context: Don't worry.\Once Motoyasu-dono wins, we shall release you from that curse.\Hey! Knock it off!\Draw your swords!\If you won't heed my order, I shall take her from you by force.\I hope you're not thinking of running from this.\You scumbag!\If I win, you'd better return Raphtalia! response:	And how exactly will you win, Shield Hero?
context: Once Motoyasu-dono wins, we shall release you from that curse.\Hey! Knock it off!\Draw your swords!\If you won't heed my order, I shall take her from you by force.\I hope you're not thinking of running from this.\You scumbag!\If I win, you'd better return Raphtalia!\And how exactly will you win, Shield Hero? response:	The duel between the Spear Hero and the Shield Hero will now begin!
context: Hey! Knock it off!\Draw your swords!\If you won't heed my order, I shall take her from you by force.\I hope you're not thinking of running from this.\You scumbag!\If I win, you'd better return Raphtalia!\And how exactly will you win, Shield Hero?\The duel between the Spear Hero and the Shield Hero will now begin! response:	This duel will end when one of the combatants is pinned or admits defeat.
context: Draw your swords!\If you won't heed my order, I shall take her from you by force.\I hope you're not thinking of running from this.\You scumbag!\If I win, you'd better return Raphtalia!\And how exactly will you win, Shield Hero?\The duel between the Spear Hero and the Shield Hero will now begin!\This duel will end when one of the combatants is pinned or admits defeat. response:	Legendary Weapon Rule Violation: Holding non-assigned weapon.
context: If you won't heed my order, I shall take her from you by force.\I hope you're not thinking of running from this.\You scumbag!\If I win, you'd better return Raphtalia!\And how exactly will you win, Shield Hero?\The duel between the Spear Hero and the Shield Hero will now begin!\This duel will end when one of the combatants is pinned or admits defeat.\Legendary Weapon Rule Violation: Holding non-assigned weapon. response:	This duel will take place in the presence of King Melromarc and the Pope,
context: I hope you're not thinking of running from this.\You scumbag!\If I win, you'd better return Raphtalia!\And how exactly will you win, Shield Hero?\The duel between the Spear Hero and the Shield Hero will now begin!\This duel will end when one of the combatants is pinned or admits defeat.\Legendary Weapon Rule Violation: Holding non-assigned weapon.\This duel will take place in the presence of King Melromarc and the Pope, response:	and it is thus legitimate and official.
context: You scumbag!\If I win, you'd better return Raphtalia!\And how exactly will you win, Shield Hero?\The duel between the Spear Hero and the Shield Hero will now begin!\This duel will end when one of the combatants is pinned or admits defeat.\Legendary Weapon Rule Violation: Holding non-assigned weapon.\This duel will take place in the presence of King Melromarc and the Pope,\and it is thus legitimate and official. response:	Motoyasu-sama!
context: If I win, you'd better return Raphtalia!\And how exactly will you win, Shield Hero?\The duel between the Spear Hero and the Shield Hero will now begin!\This duel will end when one of the combatants is pinned or admits defeat.\Legendary Weapon Rule Violation: Holding non-assigned weapon.\This duel will take place in the presence of King Melromarc and the Pope,\and it is thus legitimate and official.\Motoyasu-sama! response:	Best of luck!
context: And how exactly will you win, Shield Hero?\The duel between the Spear Hero and the Shield Hero will now begin!\This duel will end when one of the combatants is pinned or admits defeat.\Legendary Weapon Rule Violation: Holding non-assigned weapon.\This duel will take place in the presence of King Melromarc and the Pope,\and it is thus legitimate and official.\Motoyasu-sama!\Best of luck! response:	Remember that folk tale about the irresistible spear and the immovable shield?
context: The duel between the Spear Hero and the Shield Hero will now begin!\This duel will end when one of the combatants is pinned or admits defeat.\Legendary Weapon Rule Violation: Holding non-assigned weapon.\This duel will take place in the presence of King Melromarc and the Pope,\and it is thus legitimate and official.\Motoyasu-sama!\Best of luck!\Remember that folk tale about the irresistible spear and the immovable shield? response:	Naofumi, be a man and admit defeat.
context: This duel will end when one of the combatants is pinned or admits defeat.\Legendary Weapon Rule Violation: Holding non-assigned weapon.\This duel will take place in the presence of King Melromarc and the Pope,\and it is thus legitimate and official.\Motoyasu-sama!\Best of luck!\Remember that folk tale about the irresistible spear and the immovable shield?\Naofumi, be a man and admit defeat. response:	Ready...
context: Legendary Weapon Rule Violation: Holding non-assigned weapon.\This duel will take place in the presence of King Melromarc and the Pope,\and it is thus legitimate and official.\Motoyasu-sama!\Best of luck!\Remember that folk tale about the irresistible spear and the immovable shield?\Naofumi, be a man and admit defeat.\Ready... response:	Begin!
context: This duel will take place in the presence of King Melromarc and the Pope,\and it is thus legitimate and official.\Motoyasu-sama!\Best of luck!\Remember that folk tale about the irresistible spear and the immovable shield?\Naofumi, be a man and admit defeat.\Ready...\Begin! response:	You stopped it?
context: and it is thus legitimate and official.\Motoyasu-sama!\Best of luck!\Remember that folk tale about the irresistible spear and the immovable shield?\Naofumi, be a man and admit defeat.\Ready...\Begin!\You stopped it? response:	I guess you're not the Shield Hero for nothing.
context: Motoyasu-sama!\Best of luck!\Remember that folk tale about the irresistible spear and the immovable shield?\Naofumi, be a man and admit defeat.\Ready...\Begin!\You stopped it?\I guess you're not the Shield Hero for nothing. response:	You lose.
context: Best of luck!\Remember that folk tale about the irresistible spear and the immovable shield?\Naofumi, be a man and admit defeat.\Ready...\Begin!\You stopped it?\I guess you're not the Shield Hero for nothing.\You lose. response:	In this battle between an irresistible spear and an immovable shield,
context: Remember that folk tale about the irresistible spear and the immovable shield?\Naofumi, be a man and admit defeat.\Ready...\Begin!\You stopped it?\I guess you're not the Shield Hero for nothing.\You lose.\In this battle between an irresistible spear and an immovable shield, response:	you lost the moment you couldn't pierce my shield!
context: Naofumi, be a man and admit defeat.\Ready...\Begin!\You stopped it?\I guess you're not the Shield Hero for nothing.\You lose.\In this battle between an irresistible spear and an immovable shield,\you lost the moment you couldn't pierce my shield! response:	Chaos Spear!
context: Ready...\Begin!\You stopped it?\I guess you're not the Shield Hero for nothing.\You lose.\In this battle between an irresistible spear and an immovable shield,\you lost the moment you couldn't pierce my shield!\Chaos Spear! response:	Damn!
context: Begin!\You stopped it?\I guess you're not the Shield Hero for nothing.\You lose.\In this battle between an irresistible spear and an immovable shield,\you lost the moment you couldn't pierce my shield!\Chaos Spear!\Damn! response:	A strike using the shield? It would never...
context: You stopped it?\I guess you're not the Shield Hero for nothing.\You lose.\In this battle between an irresistible spear and an immovable shield,\you lost the moment you couldn't pierce my shield!\Chaos Spear!\Damn!\A strike using the shield? It would never... response:	Ow!
context: I guess you're not the Shield Hero for nothing.\You lose.\In this battle between an irresistible spear and an immovable shield,\you lost the moment you couldn't pierce my shield!\Chaos Spear!\Damn!\A strike using the shield? It would never...\Ow! response:	Wh-Why?
context: You lose.\In this battle between an irresistible spear and an immovable shield,\you lost the moment you couldn't pierce my shield!\Chaos Spear!\Damn!\A strike using the shield? It would never...\Ow!\Wh-Why? response:	A balloon? What's that doing here?
context: In this battle between an irresistible spear and an immovable shield,\you lost the moment you couldn't pierce my shield!\Chaos Spear!\Damn!\A strike using the shield? It would never...\Ow!\Wh-Why?\A balloon? What's that doing here? response:	What the hell are you playing at?
context: you lost the moment you couldn't pierce my shield!\Chaos Spear!\Damn!\A strike using the shield? It would never...\Ow!\Wh-Why?\A balloon? What's that doing here?\What the hell are you playing at? response:	If I can't win anyway, I might as well make you as miserable as I can.
context: Chaos Spear!\Damn!\A strike using the shield? It would never...\Ow!\Wh-Why?\A balloon? What's that doing here?\What the hell are you playing at?\If I can't win anyway, I might as well make you as miserable as I can. response:	Screw you!
context: Damn!\A strike using the shield? It would never...\Ow!\Wh-Why?\A balloon? What's that doing here?\What the hell are you playing at?\If I can't win anyway, I might as well make you as miserable as I can.\Screw you! response:	Fight me fair and square!
context: A strike using the shield? It would never...\Ow!\Wh-Why?\A balloon? What's that doing here?\What the hell are you playing at?\If I can't win anyway, I might as well make you as miserable as I can.\Screw you!\Fight me fair and square! response:	Two-Headed Black Dog Shield Exclusive Skill: Dog Bite
context: Ow!\Wh-Why?\A balloon? What's that doing here?\What the hell are you playing at?\If I can't win anyway, I might as well make you as miserable as I can.\Screw you!\Fight me fair and square!\Two-Headed Black Dog Shield Exclusive Skill: Dog Bite response:	Get off me!
context: Wh-Why?\A balloon? What's that doing here?\What the hell are you playing at?\If I can't win anyway, I might as well make you as miserable as I can.\Screw you!\Fight me fair and square!\Two-Headed Black Dog Shield Exclusive Skill: Dog Bite\Get off me! response:	Air Strike Shield!
context: A balloon? What's that doing here?\What the hell are you playing at?\If I can't win anyway, I might as well make you as miserable as I can.\Screw you!\Fight me fair and square!\Two-Headed Black Dog Shield Exclusive Skill: Dog Bite\Get off me!\Air Strike Shield! response:	Shield Prison!
context: What the hell are you playing at?\If I can't win anyway, I might as well make you as miserable as I can.\Screw you!\Fight me fair and square!\Two-Headed Black Dog Shield Exclusive Skill: Dog Bite\Get off me!\Air Strike Shield!\Shield Prison! response:	Hey! Stop that!
context: If I can't win anyway, I might as well make you as miserable as I can.\Screw you!\Fight me fair and square!\Two-Headed Black Dog Shield Exclusive Skill: Dog Bite\Get off me!\Air Strike Shield!\Shield Prison!\Hey! Stop that! response:	Shit!
context: Screw you!\Fight me fair and square!\Two-Headed Black Dog Shield Exclusive Skill: Dog Bite\Get off me!\Air Strike Shield!\Shield Prison!\Hey! Stop that!\Shit! response:	That hurts! Knock it off, you cowardly cheat!
context: Fight me fair and square!\Two-Headed Black Dog Shield Exclusive Skill: Dog Bite\Get off me!\Air Strike Shield!\Shield Prison!\Hey! Stop that!\Shit!\That hurts! Knock it off, you cowardly cheat! response:	It can't be.
context: Two-Headed Black Dog Shield Exclusive Skill: Dog Bite\Get off me!\Air Strike Shield!\Shield Prison!\Hey! Stop that!\Shit!\That hurts! Knock it off, you cowardly cheat!\It can't be. response:	If this keeps up, the Shield Hero might win.
context: Get off me!\Air Strike Shield!\Shield Prison!\Hey! Stop that!\Shit!\That hurts! Knock it off, you cowardly cheat!\It can't be.\If this keeps up, the Shield Hero might win. response:	Naofumi-san's got the upper hand.
context: Air Strike Shield!\Shield Prison!\Hey! Stop that!\Shit!\That hurts! Knock it off, you cowardly cheat!\It can't be.\If this keeps up, the Shield Hero might win.\Naofumi-san's got the upper hand. response:	Yeah.
context: Shield Prison!\Hey! Stop that!\Shit!\That hurts! Knock it off, you cowardly cheat!\It can't be.\If this keeps up, the Shield Hero might win.\Naofumi-san's got the upper hand.\Yeah. response:	What does that lowly Shield Hero think he's doing to the Spear Hero?
context: Hey! Stop that!\Shit!\That hurts! Knock it off, you cowardly cheat!\It can't be.\If this keeps up, the Shield Hero might win.\Naofumi-san's got the upper hand.\Yeah.\What does that lowly Shield Hero think he's doing to the Spear Hero? response:	Have you no respect for the sanctity of a duel?!
context: Shit!\That hurts! Knock it off, you cowardly cheat!\It can't be.\If this keeps up, the Shield Hero might win.\Naofumi-san's got the upper hand.\Yeah.\What does that lowly Shield Hero think he's doing to the Spear Hero?\Have you no respect for the sanctity of a duel?! response:	Hurry up and admit defeat.
context: That hurts! Knock it off, you cowardly cheat!\It can't be.\If this keeps up, the Shield Hero might win.\Naofumi-san's got the upper hand.\Yeah.\What does that lowly Shield Hero think he's doing to the Spear Hero?\Have you no respect for the sanctity of a duel?!\Hurry up and admit defeat. response:	Do you want to be embarrassed even more, Mr. Hot Stuff?
context: It can't be.\If this keeps up, the Shield Hero might win.\Naofumi-san's got the upper hand.\Yeah.\What does that lowly Shield Hero think he's doing to the Spear Hero?\Have you no respect for the sanctity of a duel?!\Hurry up and admit defeat.\Do you want to be embarrassed even more, Mr. Hot Stuff? response:	Wh-Who would ever surrender now?
context: If this keeps up, the Shield Hero might win.\Naofumi-san's got the upper hand.\Yeah.\What does that lowly Shield Hero think he's doing to the Spear Hero?\Have you no respect for the sanctity of a duel?!\Hurry up and admit defeat.\Do you want to be embarrassed even more, Mr. Hot Stuff?\Wh-Who would ever surrender now? response:	I see.
context: Naofumi-san's got the upper hand.\Yeah.\What does that lowly Shield Hero think he's doing to the Spear Hero?\Have you no respect for the sanctity of a duel?!\Hurry up and admit defeat.\Do you want to be embarrassed even more, Mr. Hot Stuff?\Wh-Who would ever surrender now?\I see. response:	Then...
context: Yeah.\What does that lowly Shield Hero think he's doing to the Spear Hero?\Have you no respect for the sanctity of a duel?!\Hurry up and admit defeat.\Do you want to be embarrassed even more, Mr. Hot Stuff?\Wh-Who would ever surrender now?\I see.\Then... response:	Shall I focus the attacks on your face and your crotch?
context: What does that lowly Shield Hero think he's doing to the Spear Hero?\Have you no respect for the sanctity of a duel?!\Hurry up and admit defeat.\Do you want to be embarrassed even more, Mr. Hot Stuff?\Wh-Who would ever surrender now?\I see.\Then...\Shall I focus the attacks on your face and your crotch? response:	I'm a cowardly cheat, after all!
context: Have you no respect for the sanctity of a duel?!\Hurry up and admit defeat.\Do you want to be embarrassed even more, Mr. Hot Stuff?\Wh-Who would ever surrender now?\I see.\Then...\Shall I focus the attacks on your face and your crotch?\I'm a cowardly cheat, after all! response:	D-Don't!
