context: Wow, it's beautiful! response:	So this is Gallia's capital, Lutis.
context: Weren't you happily touching her breasts?\What did you say?\What does that mean?!\Th-That's...\What?!\Lady Charlotte!\I am so relieved you are safe.\Start preparing the coronation ceremony right away. response:	So she decided...
context: What did you say?\What does that mean?!\Th-That's...\What?!\Lady Charlotte!\I am so relieved you are safe.\Start preparing the coronation ceremony right away.\So she decided... response:	Tabitha's Coronation
context: What does that mean?!\Th-That's...\What?!\Lady Charlotte!\I am so relieved you are safe.\Start preparing the coronation ceremony right away.\So she decided...\Tabitha's Coronation response:	We need more stuffing here.
context: Th-That's...\What?!\Lady Charlotte!\I am so relieved you are safe.\Start preparing the coronation ceremony right away.\So she decided...\Tabitha's Coronation\We need more stuffing here. response:	That's why I told you to lay eggs.
context: What?!\Lady Charlotte!\I am so relieved you are safe.\Start preparing the coronation ceremony right away.\So she decided...\Tabitha's Coronation\We need more stuffing here.\That's why I told you to lay eggs. response:	Charlotte.
context: Lady Charlotte!\I am so relieved you are safe.\Start preparing the coronation ceremony right away.\So she decided...\Tabitha's Coronation\We need more stuffing here.\That's why I told you to lay eggs.\Charlotte. response:	Mother...
context: I am so relieved you are safe.\Start preparing the coronation ceremony right away.\So she decided...\Tabitha's Coronation\We need more stuffing here.\That's why I told you to lay eggs.\Charlotte.\Mother... response:	So you made the decision.
context: Start preparing the coronation ceremony right away.\So she decided...\Tabitha's Coronation\We need more stuffing here.\That's why I told you to lay eggs.\Charlotte.\Mother...\So you made the decision. response:	Thank you.
context: So she decided...\Tabitha's Coronation\We need more stuffing here.\That's why I told you to lay eggs.\Charlotte.\Mother...\So you made the decision.\Thank you. response:	I still can't believe it.
context: Tabitha's Coronation\We need more stuffing here.\That's why I told you to lay eggs.\Charlotte.\Mother...\So you made the decision.\Thank you.\I still can't believe it. response:	Tabitha is going to be a queen soon.
context: We need more stuffing here.\That's why I told you to lay eggs.\Charlotte.\Mother...\So you made the decision.\Thank you.\I still can't believe it.\Tabitha is going to be a queen soon. response:	I bet Miss Tabitha will be quite pretty
context: That's why I told you to lay eggs.\Charlotte.\Mother...\So you made the decision.\Thank you.\I still can't believe it.\Tabitha is going to be a queen soon.\I bet Miss Tabitha will be quite pretty response:	at the coronation ceremony.
context: Charlotte.\Mother...\So you made the decision.\Thank you.\I still can't believe it.\Tabitha is going to be a queen soon.\I bet Miss Tabitha will be quite pretty\at the coronation ceremony. response:	But we can't let our guard down.
context: Mother...\So you made the decision.\Thank you.\I still can't believe it.\Tabitha is going to be a queen soon.\I bet Miss Tabitha will be quite pretty\at the coronation ceremony.\But we can't let our guard down. response:	This is the last chance to lay eggs!
context: So you made the decision.\Thank you.\I still can't believe it.\Tabitha is going to be a queen soon.\I bet Miss Tabitha will be quite pretty\at the coronation ceremony.\But we can't let our guard down.\This is the last chance to lay eggs! response:	That's what that rhyme dragon will say,
context: Thank you.\I still can't believe it.\Tabitha is going to be a queen soon.\I bet Miss Tabitha will be quite pretty\at the coronation ceremony.\But we can't let our guard down.\This is the last chance to lay eggs!\That's what that rhyme dragon will say, response:	and try to get in our way.
context: I still can't believe it.\Tabitha is going to be a queen soon.\I bet Miss Tabitha will be quite pretty\at the coronation ceremony.\But we can't let our guard down.\This is the last chance to lay eggs!\That's what that rhyme dragon will say,\and try to get in our way. response:	Tabitha is too busy preparing for that.
context: Tabitha is going to be a queen soon.\I bet Miss Tabitha will be quite pretty\at the coronation ceremony.\But we can't let our guard down.\This is the last chance to lay eggs!\That's what that rhyme dragon will say,\and try to get in our way.\Tabitha is too busy preparing for that. response:	You never know.
context: I bet Miss Tabitha will be quite pretty\at the coronation ceremony.\But we can't let our guard down.\This is the last chance to lay eggs!\That's what that rhyme dragon will say,\and try to get in our way.\Tabitha is too busy preparing for that.\You never know. response:	There might be a hidden room here.
context: at the coronation ceremony.\But we can't let our guard down.\This is the last chance to lay eggs!\That's what that rhyme dragon will say,\and try to get in our way.\Tabitha is too busy preparing for that.\You never know.\There might be a hidden room here. response:	Like here, or here!
context: But we can't let our guard down.\This is the last chance to lay eggs!\That's what that rhyme dragon will say,\and try to get in our way.\Tabitha is too busy preparing for that.\You never know.\There might be a hidden room here.\Like here, or here! response:	Oh no!
context: This is the last chance to lay eggs!\That's what that rhyme dragon will say,\and try to get in our way.\Tabitha is too busy preparing for that.\You never know.\There might be a hidden room here.\Like here, or here!\Oh no! response:	Miss Valliere!
context: That's what that rhyme dragon will say,\and try to get in our way.\Tabitha is too busy preparing for that.\You never know.\There might be a hidden room here.\Like here, or here!\Oh no!\Miss Valliere! response:	What?
context: and try to get in our way.\Tabitha is too busy preparing for that.\You never know.\There might be a hidden room here.\Like here, or here!\Oh no!\Miss Valliere!\What? response:	She might be more of a danger than Miss Tabitha.
context: Tabitha is too busy preparing for that.\You never know.\There might be a hidden room here.\Like here, or here!\Oh no!\Miss Valliere!\What?\She might be more of a danger than Miss Tabitha. response:	I mean, Miss Westwood is also Saito's master now.
context: You never know.\There might be a hidden room here.\Like here, or here!\Oh no!\Miss Valliere!\What?\She might be more of a danger than Miss Tabitha.\I mean, Miss Westwood is also Saito's master now. response:	The second! I was his master first.
context: There might be a hidden room here.\Like here, or here!\Oh no!\Miss Valliere!\What?\She might be more of a danger than Miss Tabitha.\I mean, Miss Westwood is also Saito's master now.\The second! I was his master first. response:	The order doesn't matter.
context: Like here, or here!\Oh no!\Miss Valliere!\What?\She might be more of a danger than Miss Tabitha.\I mean, Miss Westwood is also Saito's master now.\The second! I was his master first.\The order doesn't matter. response:	What matters is what Saito thinks.
context: Oh no!\Miss Valliere!\What?\She might be more of a danger than Miss Tabitha.\I mean, Miss Westwood is also Saito's master now.\The second! I was his master first.\The order doesn't matter.\What matters is what Saito thinks. response:	O-Of course he's going to choose me...
context: Miss Valliere!\What?\She might be more of a danger than Miss Tabitha.\I mean, Miss Westwood is also Saito's master now.\The second! I was his master first.\The order doesn't matter.\What matters is what Saito thinks.\O-Of course he's going to choose me... response:	What?! What is that stupid dog doing?!
context: What?\She might be more of a danger than Miss Tabitha.\I mean, Miss Westwood is also Saito's master now.\The second! I was his master first.\The order doesn't matter.\What matters is what Saito thinks.\O-Of course he's going to choose me...\What?! What is that stupid dog doing?! response:	Uh, a little higher.
context: She might be more of a danger than Miss Tabitha.\I mean, Miss Westwood is also Saito's master now.\The second! I was his master first.\The order doesn't matter.\What matters is what Saito thinks.\O-Of course he's going to choose me...\What?! What is that stupid dog doing?!\Uh, a little higher. response:	Higher?
context: I mean, Miss Westwood is also Saito's master now.\The second! I was his master first.\The order doesn't matter.\What matters is what Saito thinks.\O-Of course he's going to choose me...\What?! What is that stupid dog doing?!\Uh, a little higher.\Higher? response:	Even higher.
context: The second! I was his master first.\The order doesn't matter.\What matters is what Saito thinks.\O-Of course he's going to choose me...\What?! What is that stupid dog doing?!\Uh, a little higher.\Higher?\Even higher. response:	But that's...
context: The order doesn't matter.\What matters is what Saito thinks.\O-Of course he's going to choose me...\What?! What is that stupid dog doing?!\Uh, a little higher.\Higher?\Even higher.\But that's... response:	Now it's lower...
context: What matters is what Saito thinks.\O-Of course he's going to choose me...\What?! What is that stupid dog doing?!\Uh, a little higher.\Higher?\Even higher.\But that's...\Now it's lower... response:	Lower? Okay, now I'll...
context: O-Of course he's going to choose me...\What?! What is that stupid dog doing?!\Uh, a little higher.\Higher?\Even higher.\But that's...\Now it's lower...\Lower? Okay, now I'll... response:	Louise?!
context: What?! What is that stupid dog doing?!\Uh, a little higher.\Higher?\Even higher.\But that's...\Now it's lower...\Lower? Okay, now I'll...\Louise?! response:	Do tell, what are you doing?!
context: Uh, a little higher.\Higher?\Even higher.\But that's...\Now it's lower...\Lower? Okay, now I'll...\Louise?!\Do tell, what are you doing?! response:	Ow, ow, ow!
context: Higher?\Even higher.\But that's...\Now it's lower...\Lower? Okay, now I'll...\Louise?!\Do tell, what are you doing?!\Ow, ow, ow! response:	What the hell?
context: Even higher.\But that's...\Now it's lower...\Lower? Okay, now I'll...\Louise?!\Do tell, what are you doing?!\Ow, ow, ow!\What the hell? response:	I was just trying to get the bug out.
context: But that's...\Now it's lower...\Lower? Okay, now I'll...\Louise?!\Do tell, what are you doing?!\Ow, ow, ow!\What the hell?\I was just trying to get the bug out. response:	A bug? Please, try to think of a more plausible lie.
context: Now it's lower...\Lower? Okay, now I'll...\Louise?!\Do tell, what are you doing?!\Ow, ow, ow!\What the hell?\I was just trying to get the bug out.\A bug? Please, try to think of a more plausible lie. response:	Yes, really. Like a bug would
context: Lower? Okay, now I'll...\Louise?!\Do tell, what are you doing?!\Ow, ow, ow!\What the hell?\I was just trying to get the bug out.\A bug? Please, try to think of a more plausible lie.\Yes, really. Like a bug would response:	oh so conveniently get into her clothes.
context: Louise?!\Do tell, what are you doing?!\Ow, ow, ow!\What the hell?\I was just trying to get the bug out.\A bug? Please, try to think of a more plausible lie.\Yes, really. Like a bug would\oh so conveniently get into her clothes. response:	See, I told you.
context: Do tell, what are you doing?!\Ow, ow, ow!\What the hell?\I was just trying to get the bug out.\A bug? Please, try to think of a more plausible lie.\Yes, really. Like a bug would\oh so conveniently get into her clothes.\See, I told you. response:	I'm glad that's solved, Tiffa.
context: Ow, ow, ow!\What the hell?\I was just trying to get the bug out.\A bug? Please, try to think of a more plausible lie.\Yes, really. Like a bug would\oh so conveniently get into her clothes.\See, I told you.\I'm glad that's solved, Tiffa. response:	I-I'm sorry...
context: What the hell?\I was just trying to get the bug out.\A bug? Please, try to think of a more plausible lie.\Yes, really. Like a bug would\oh so conveniently get into her clothes.\See, I told you.\I'm glad that's solved, Tiffa.\I-I'm sorry... response:	It's fine.
context: I was just trying to get the bug out.\A bug? Please, try to think of a more plausible lie.\Yes, really. Like a bug would\oh so conveniently get into her clothes.\See, I told you.\I'm glad that's solved, Tiffa.\I-I'm sorry...\It's fine. response:	This is what I'm here for.
context: A bug? Please, try to think of a more plausible lie.\Yes, really. Like a bug would\oh so conveniently get into her clothes.\See, I told you.\I'm glad that's solved, Tiffa.\I-I'm sorry...\It's fine.\This is what I'm here for. response:	You should depend on me more. I'm your familiar after all.
context: Yes, really. Like a bug would\oh so conveniently get into her clothes.\See, I told you.\I'm glad that's solved, Tiffa.\I-I'm sorry...\It's fine.\This is what I'm here for.\You should depend on me more. I'm your familiar after all. response:	Okay.
context: oh so conveniently get into her clothes.\See, I told you.\I'm glad that's solved, Tiffa.\I-I'm sorry...\It's fine.\This is what I'm here for.\You should depend on me more. I'm your familiar after all.\Okay. response:	Then please excuse me.
context: See, I told you.\I'm glad that's solved, Tiffa.\I-I'm sorry...\It's fine.\This is what I'm here for.\You should depend on me more. I'm your familiar after all.\Okay.\Then please excuse me. response:	Oh, you're going to the guest house, right?
context: I'm glad that's solved, Tiffa.\I-I'm sorry...\It's fine.\This is what I'm here for.\You should depend on me more. I'm your familiar after all.\Okay.\Then please excuse me.\Oh, you're going to the guest house, right? response:	I'll go with you.
context: I-I'm sorry...\It's fine.\This is what I'm here for.\You should depend on me more. I'm your familiar after all.\Okay.\Then please excuse me.\Oh, you're going to the guest house, right?\I'll go with you. response:	Those guys were on my mind, too.
context: It's fine.\This is what I'm here for.\You should depend on me more. I'm your familiar after all.\Okay.\Then please excuse me.\Oh, you're going to the guest house, right?\I'll go with you.\Those guys were on my mind, too. response:	I was thinking that they might feel a bit lost...
context: This is what I'm here for.\You should depend on me more. I'm your familiar after all.\Okay.\Then please excuse me.\Oh, you're going to the guest house, right?\I'll go with you.\Those guys were on my mind, too.\I was thinking that they might feel a bit lost... response:	You're so kind, Tiffa.
context: You should depend on me more. I'm your familiar after all.\Okay.\Then please excuse me.\Oh, you're going to the guest house, right?\I'll go with you.\Those guys were on my mind, too.\I was thinking that they might feel a bit lost...\You're so kind, Tiffa. response:	Wouldn't it be best to make sure
context: Okay.\Then please excuse me.\Oh, you're going to the guest house, right?\I'll go with you.\Those guys were on my mind, too.\I was thinking that they might feel a bit lost...\You're so kind, Tiffa.\Wouldn't it be best to make sure response:	it's clear who the real master is?
context: Then please excuse me.\Oh, you're going to the guest house, right?\I'll go with you.\Those guys were on my mind, too.\I was thinking that they might feel a bit lost...\You're so kind, Tiffa.\Wouldn't it be best to make sure\it's clear who the real master is? response:	Of course.
context: Oh, you're going to the guest house, right?\I'll go with you.\Those guys were on my mind, too.\I was thinking that they might feel a bit lost...\You're so kind, Tiffa.\Wouldn't it be best to make sure\it's clear who the real master is?\Of course. response:	Explore the palace?
context: I'll go with you.\Those guys were on my mind, too.\I was thinking that they might feel a bit lost...\You're so kind, Tiffa.\Wouldn't it be best to make sure\it's clear who the real master is?\Of course.\Explore the palace? response:	Yes. Don't you want to see
context: Those guys were on my mind, too.\I was thinking that they might feel a bit lost...\You're so kind, Tiffa.\Wouldn't it be best to make sure\it's clear who the real master is?\Of course.\Explore the palace?\Yes. Don't you want to see response:	the other buildings now that we're here?
context: I was thinking that they might feel a bit lost...\You're so kind, Tiffa.\Wouldn't it be best to make sure\it's clear who the real master is?\Of course.\Explore the palace?\Yes. Don't you want to see\the other buildings now that we're here? response:	I'll pass.
context: You're so kind, Tiffa.\Wouldn't it be best to make sure\it's clear who the real master is?\Of course.\Explore the palace?\Yes. Don't you want to see\the other buildings now that we're here?\I'll pass. response:	Seeing more jail-like buildings would just be depressing.
context: Wouldn't it be best to make sure\it's clear who the real master is?\Of course.\Explore the palace?\Yes. Don't you want to see\the other buildings now that we're here?\I'll pass.\Seeing more jail-like buildings would just be depressing. response:	I knew you'd say that.
context: it's clear who the real master is?\Of course.\Explore the palace?\Yes. Don't you want to see\the other buildings now that we're here?\I'll pass.\Seeing more jail-like buildings would just be depressing.\I knew you'd say that. response:	Then I'll go by myself.
context: Of course.\Explore the palace?\Yes. Don't you want to see\the other buildings now that we're here?\I'll pass.\Seeing more jail-like buildings would just be depressing.\I knew you'd say that.\Then I'll go by myself. response:	Oh, you guys are...
context: Explore the palace?\Yes. Don't you want to see\the other buildings now that we're here?\I'll pass.\Seeing more jail-like buildings would just be depressing.\I knew you'd say that.\Then I'll go by myself.\Oh, you guys are... response:	I'm captain of the Order of the Undine Knights,
context: Yes. Don't you want to see\the other buildings now that we're here?\I'll pass.\Seeing more jail-like buildings would just be depressing.\I knew you'd say that.\Then I'll go by myself.\Oh, you guys are...\I'm captain of the Order of the Undine Knights, response:	Guiche de Gramont.
context: the other buildings now that we're here?\I'll pass.\Seeing more jail-like buildings would just be depressing.\I knew you'd say that.\Then I'll go by myself.\Oh, you guys are...\I'm captain of the Order of the Undine Knights,\Guiche de Gramont. response:	I-I'm Malicorne de Grandple.
context: I'll pass.\Seeing more jail-like buildings would just be depressing.\I knew you'd say that.\Then I'll go by myself.\Oh, you guys are...\I'm captain of the Order of the Undine Knights,\Guiche de Gramont.\I-I'm Malicorne de Grandple. response:	This is perfect.
context: Seeing more jail-like buildings would just be depressing.\I knew you'd say that.\Then I'll go by myself.\Oh, you guys are...\I'm captain of the Order of the Undine Knights,\Guiche de Gramont.\I-I'm Malicorne de Grandple.\This is perfect. response:	Could I ask you to show me around the palace?
context: I knew you'd say that.\Then I'll go by myself.\Oh, you guys are...\I'm captain of the Order of the Undine Knights,\Guiche de Gramont.\I-I'm Malicorne de Grandple.\This is perfect.\Could I ask you to show me around the palace? response:	I'm sorry, but we can't let you leave this place.
context: Then I'll go by myself.\Oh, you guys are...\I'm captain of the Order of the Undine Knights,\Guiche de Gramont.\I-I'm Malicorne de Grandple.\This is perfect.\Could I ask you to show me around the palace?\I'm sorry, but we can't let you leave this place. response:	But the girl with the blue hair said I was free to do what I want.
context: Oh, you guys are...\I'm captain of the Order of the Undine Knights,\Guiche de Gramont.\I-I'm Malicorne de Grandple.\This is perfect.\Could I ask you to show me around the palace?\I'm sorry, but we can't let you leave this place.\But the girl with the blue hair said I was free to do what I want. response:	I don't know what Tabitha said...
context: I'm captain of the Order of the Undine Knights,\Guiche de Gramont.\I-I'm Malicorne de Grandple.\This is perfect.\Could I ask you to show me around the palace?\I'm sorry, but we can't let you leave this place.\But the girl with the blue hair said I was free to do what I want.\I don't know what Tabitha said... response:	But we can't have you cause any commotion right now.
context: Guiche de Gramont.\I-I'm Malicorne de Grandple.\This is perfect.\Could I ask you to show me around the palace?\I'm sorry, but we can't let you leave this place.\But the girl with the blue hair said I was free to do what I want.\I don't know what Tabitha said...\But we can't have you cause any commotion right now. response:	Commotion?
context: I-I'm Malicorne de Grandple.\This is perfect.\Could I ask you to show me around the palace?\I'm sorry, but we can't let you leave this place.\But the girl with the blue hair said I was free to do what I want.\I don't know what Tabitha said...\But we can't have you cause any commotion right now.\Commotion? response:	If anybody found out that they're hiding elves here,
context: This is perfect.\Could I ask you to show me around the palace?\I'm sorry, but we can't let you leave this place.\But the girl with the blue hair said I was free to do what I want.\I don't know what Tabitha said...\But we can't have you cause any commotion right now.\Commotion?\If anybody found out that they're hiding elves here, response:	you can forget about the coronation.
context: Could I ask you to show me around the palace?\I'm sorry, but we can't let you leave this place.\But the girl with the blue hair said I was free to do what I want.\I don't know what Tabitha said...\But we can't have you cause any commotion right now.\Commotion?\If anybody found out that they're hiding elves here,\you can forget about the coronation. response:	That's what they mean.
context: I'm sorry, but we can't let you leave this place.\But the girl with the blue hair said I was free to do what I want.\I don't know what Tabitha said...\But we can't have you cause any commotion right now.\Commotion?\If anybody found out that they're hiding elves here,\you can forget about the coronation.\That's what they mean. response:	I'm glad you understand.
context: But the girl with the blue hair said I was free to do what I want.\I don't know what Tabitha said...\But we can't have you cause any commotion right now.\Commotion?\If anybody found out that they're hiding elves here,\you can forget about the coronation.\That's what they mean.\I'm glad you understand. response:	Please stay here quietly then.
context: I don't know what Tabitha said...\But we can't have you cause any commotion right now.\Commotion?\If anybody found out that they're hiding elves here,\you can forget about the coronation.\That's what they mean.\I'm glad you understand.\Please stay here quietly then. response:	With you as our guards, huh?
context: But we can't have you cause any commotion right now.\Commotion?\If anybody found out that they're hiding elves here,\you can forget about the coronation.\That's what they mean.\I'm glad you understand.\Please stay here quietly then.\With you as our guards, huh? response:	Come on, just a tiny bit. I'll be right back.
context: Commotion?\If anybody found out that they're hiding elves here,\you can forget about the coronation.\That's what they mean.\I'm glad you understand.\Please stay here quietly then.\With you as our guards, huh?\Come on, just a tiny bit. I'll be right back. response:	No, no.
context: If anybody found out that they're hiding elves here,\you can forget about the coronation.\That's what they mean.\I'm glad you understand.\Please stay here quietly then.\With you as our guards, huh?\Come on, just a tiny bit. I'll be right back.\No, no. response:	Please go back. I said no!
context: you can forget about the coronation.\That's what they mean.\I'm glad you understand.\Please stay here quietly then.\With you as our guards, huh?\Come on, just a tiny bit. I'll be right back.\No, no.\Please go back. I said no! response:	I'm so sorry!
context: That's what they mean.\I'm glad you understand.\Please stay here quietly then.\With you as our guards, huh?\Come on, just a tiny bit. I'll be right back.\No, no.\Please go back. I said no!\I'm so sorry! response:	How dare you touch Lukshana!
context: I'm glad you understand.\Please stay here quietly then.\With you as our guards, huh?\Come on, just a tiny bit. I'll be right back.\No, no.\Please go back. I said no!\I'm so sorry!\How dare you touch Lukshana! response:	I-I thought I was going to die...
context: Please stay here quietly then.\With you as our guards, huh?\Come on, just a tiny bit. I'll be right back.\No, no.\Please go back. I said no!\I'm so sorry!\How dare you touch Lukshana!\I-I thought I was going to die... response:	What are you doing?
context: With you as our guards, huh?\Come on, just a tiny bit. I'll be right back.\No, no.\Please go back. I said no!\I'm so sorry!\How dare you touch Lukshana!\I-I thought I was going to die...\What are you doing? response:	You elves are truly uncivilized.
context: Come on, just a tiny bit. I'll be right back.\No, no.\Please go back. I said no!\I'm so sorry!\How dare you touch Lukshana!\I-I thought I was going to die...\What are you doing?\You elves are truly uncivilized. response:	Uncivilized?
context: No, no.\Please go back. I said no!\I'm so sorry!\How dare you touch Lukshana!\I-I thought I was going to die...\What are you doing?\You elves are truly uncivilized.\Uncivilized? response:	That's the ultimate insult, coming from a barbarian!
context: Please go back. I said no!\I'm so sorry!\How dare you touch Lukshana!\I-I thought I was going to die...\What are you doing?\You elves are truly uncivilized.\Uncivilized?\That's the ultimate insult, coming from a barbarian! response:	Hey, guys!
context: I'm so sorry!\How dare you touch Lukshana!\I-I thought I was going to die...\What are you doing?\You elves are truly uncivilized.\Uncivilized?\That's the ultimate insult, coming from a barbarian!\Hey, guys! response:	Do you need anythi
context: How dare you touch Lukshana!\I-I thought I was going to die...\What are you doing?\You elves are truly uncivilized.\Uncivilized?\That's the ultimate insult, coming from a barbarian!\Hey, guys!\Do you need anythi response:	Whoa, what are you doing?!
context: I-I thought I was going to die...\What are you doing?\You elves are truly uncivilized.\Uncivilized?\That's the ultimate insult, coming from a barbarian!\Hey, guys!\Do you need anythi\Whoa, what are you doing?! response:	This barbarian manhandled Lukshana.
context: What are you doing?\You elves are truly uncivilized.\Uncivilized?\That's the ultimate insult, coming from a barbarian!\Hey, guys!\Do you need anythi\Whoa, what are you doing?!\This barbarian manhandled Lukshana. response:	I-I did not!
context: You elves are truly uncivilized.\Uncivilized?\That's the ultimate insult, coming from a barbarian!\Hey, guys!\Do you need anythi\Whoa, what are you doing?!\This barbarian manhandled Lukshana.\I-I did not! response:	You're the one who started it!
