context: Library response:	Library
context: What'll it be?\I'll pass.\What?\Yeah, I think you'd better stick to that one.\She said it's not good'cause it sounds like I'm trying to brush you off.\Well, I guess so...\What you do want?\If you're gonna get it wrong on purpose, be less obvious about it. response:	Stop in the name of death.
context: I'll pass.\What?\Yeah, I think you'd better stick to that one.\She said it's not good'cause it sounds like I'm trying to brush you off.\Well, I guess so...\What you do want?\If you're gonna get it wrong on purpose, be less obvious about it.\Stop in the name of death. response:	Morning.
context: What?\Yeah, I think you'd better stick to that one.\She said it's not good'cause it sounds like I'm trying to brush you off.\Well, I guess so...\What you do want?\If you're gonna get it wrong on purpose, be less obvious about it.\Stop in the name of death.\Morning. response:	Don't morning me!
context: Yeah, I think you'd better stick to that one.\She said it's not good'cause it sounds like I'm trying to brush you off.\Well, I guess so...\What you do want?\If you're gonna get it wrong on purpose, be less obvious about it.\Stop in the name of death.\Morning.\Don't morning me! response:	Today is the day I free Master from the deathly demon eating away at her soul!
context: She said it's not good'cause it sounds like I'm trying to brush you off.\Well, I guess so...\What you do want?\If you're gonna get it wrong on purpose, be less obvious about it.\Stop in the name of death.\Morning.\Don't morning me!\Today is the day I free Master from the deathly demon eating away at her soul! response:	Sanae.
context: Well, I guess so...\What you do want?\If you're gonna get it wrong on purpose, be less obvious about it.\Stop in the name of death.\Morning.\Don't morning me!\Today is the day I free Master from the deathly demon eating away at her soul!\Sanae. response:	I already told you that I'm over all that.
context: What you do want?\If you're gonna get it wrong on purpose, be less obvious about it.\Stop in the name of death.\Morning.\Don't morning me!\Today is the day I free Master from the deathly demon eating away at her soul!\Sanae.\I already told you that I'm over all that. response:	Don't call me Sanae!
context: If you're gonna get it wrong on purpose, be less obvious about it.\Stop in the name of death.\Morning.\Don't morning me!\Today is the day I free Master from the deathly demon eating away at her soul!\Sanae.\I already told you that I'm over all that.\Don't call me Sanae! response:	Prepare yourself!
context: Stop in the name of death.\Morning.\Don't morning me!\Today is the day I free Master from the deathly demon eating away at her soul!\Sanae.\I already told you that I'm over all that.\Don't call me Sanae!\Prepare yourself! response:	Hey!
context: Morning.\Don't morning me!\Today is the day I free Master from the deathly demon eating away at her soul!\Sanae.\I already told you that I'm over all that.\Don't call me Sanae!\Prepare yourself!\Hey! response:	I really thought I was about to meet my death...
context: Don't morning me!\Today is the day I free Master from the deathly demon eating away at her soul!\Sanae.\I already told you that I'm over all that.\Don't call me Sanae!\Prepare yourself!\Hey!\I really thought I was about to meet my death... response:	Be careful!
context: Today is the day I free Master from the deathly demon eating away at her soul!\Sanae.\I already told you that I'm over all that.\Don't call me Sanae!\Prepare yourself!\Hey!\I really thought I was about to meet my death...\Be careful! response:	Sorry...
context: Sanae.\I already told you that I'm over all that.\Don't call me Sanae!\Prepare yourself!\Hey!\I really thought I was about to meet my death...\Be careful!\Sorry... response:	Blast reality!
context: I already told you that I'm over all that.\Don't call me Sanae!\Prepare yourself!\Hey!\I really thought I was about to meet my death...\Be careful!\Sorry...\Blast reality! response:	Burst it into shreds!
context: Don't call me Sanae!\Prepare yourself!\Hey!\I really thought I was about to meet my death...\Be careful!\Sorry...\Blast reality!\Burst it into shreds! response:	Banishment... this world!
context: Prepare yourself!\Hey!\I really thought I was about to meet my death...\Be careful!\Sorry...\Blast reality!\Burst it into shreds!\Banishment... this world! response:	Master!
context: Hey!\I really thought I was about to meet my death...\Be careful!\Sorry...\Blast reality!\Burst it into shreds!\Banishment... this world!\Master! response:	I told you.
context: I really thought I was about to meet my death...\Be careful!\Sorry...\Blast reality!\Burst it into shreds!\Banishment... this world!\Master!\I told you. response:	Wake up!
context: Be careful!\Sorry...\Blast reality!\Burst it into shreds!\Banishment... this world!\Master!\I told you.\Wake up! response:	I left that behind me.
context: Sorry...\Blast reality!\Burst it into shreds!\Banishment... this world!\Master!\I told you.\Wake up!\I left that behind me. response:	Master... Master...
context: Blast reality!\Burst it into shreds!\Banishment... this world!\Master!\I told you.\Wake up!\I left that behind me.\Master... Master... response:	Uh, isn't it about time you
context: Burst it into shreds!\Banishment... this world!\Master!\I told you.\Wake up!\I left that behind me.\Master... Master...\Uh, isn't it about time you response:	Shut the death up! I'll never give in!
context: Banishment... this world!\Master!\I told you.\Wake up!\I left that behind me.\Master... Master...\Uh, isn't it about time you\Shut the death up! I'll never give in! response:	I'll crush the deathly devil possessing Master and save her!
context: Master!\I told you.\Wake up!\I left that behind me.\Master... Master...\Uh, isn't it about time you\Shut the death up! I'll never give in!\I'll crush the deathly devil possessing Master and save her! response:	Rikka...
context: I told you.\Wake up!\I left that behind me.\Master... Master...\Uh, isn't it about time you\Shut the death up! I'll never give in!\I'll crush the deathly devil possessing Master and save her!\Rikka... response:	What?
context: Wake up!\I left that behind me.\Master... Master...\Uh, isn't it about time you\Shut the death up! I'll never give in!\I'll crush the deathly devil possessing Master and save her!\Rikka...\What? response:	Are you...
context: I left that behind me.\Master... Master...\Uh, isn't it about time you\Shut the death up! I'll never give in!\I'll crush the deathly devil possessing Master and save her!\Rikka...\What?\Are you... response:	okay with this?
context: Master... Master...\Uh, isn't it about time you\Shut the death up! I'll never give in!\I'll crush the deathly devil possessing Master and save her!\Rikka...\What?\Are you...\okay with this? response:	Never mind.
context: Uh, isn't it about time you\Shut the death up! I'll never give in!\I'll crush the deathly devil possessing Master and save her!\Rikka...\What?\Are you...\okay with this?\Never mind. response:	I guess it'd be irresponsible of me to say that.
context: Shut the death up! I'll never give in!\I'll crush the deathly devil possessing Master and save her!\Rikka...\What?\Are you...\okay with this?\Never mind.\I guess it'd be irresponsible of me to say that. response:	She got scouted?
context: I'll crush the deathly devil possessing Master and save her!\Rikka...\What?\Are you...\okay with this?\Never mind.\I guess it'd be irresponsible of me to say that.\She got scouted? response:	Yeah, her performance at the fair was quite popular.
context: Rikka...\What?\Are you...\okay with this?\Never mind.\I guess it'd be irresponsible of me to say that.\She got scouted?\Yeah, her performance at the fair was quite popular. response:	Ah, the one she did with Dekomori?
context: What?\Are you...\okay with this?\Never mind.\I guess it'd be irresponsible of me to say that.\She got scouted?\Yeah, her performance at the fair was quite popular.\Ah, the one she did with Dekomori? response:	They were looking for someone who was up for crazy acting like that.
context: Are you...\okay with this?\Never mind.\I guess it'd be irresponsible of me to say that.\She got scouted?\Yeah, her performance at the fair was quite popular.\Ah, the one she did with Dekomori?\They were looking for someone who was up for crazy acting like that. response:	I'm happy the fair turned out so well for you guys.
context: okay with this?\Never mind.\I guess it'd be irresponsible of me to say that.\She got scouted?\Yeah, her performance at the fair was quite popular.\Ah, the one she did with Dekomori?\They were looking for someone who was up for crazy acting like that.\I'm happy the fair turned out so well for you guys. response:	What do you mean? Nothing happened to me.
context: Never mind.\I guess it'd be irresponsible of me to say that.\She got scouted?\Yeah, her performance at the fair was quite popular.\Ah, the one she did with Dekomori?\They were looking for someone who was up for crazy acting like that.\I'm happy the fair turned out so well for you guys.\What do you mean? Nothing happened to me. response:	Huh? Nothing?
context: I guess it'd be irresponsible of me to say that.\She got scouted?\Yeah, her performance at the fair was quite popular.\Ah, the one she did with Dekomori?\They were looking for someone who was up for crazy acting like that.\I'm happy the fair turned out so well for you guys.\What do you mean? Nothing happened to me.\Huh? Nothing? response:	This, from the person who confessed to Takanashi?
context: She got scouted?\Yeah, her performance at the fair was quite popular.\Ah, the one she did with Dekomori?\They were looking for someone who was up for crazy acting like that.\I'm happy the fair turned out so well for you guys.\What do you mean? Nothing happened to me.\Huh? Nothing?\This, from the person who confessed to Takanashi? response:	Your face is creeping me out.
context: Yeah, her performance at the fair was quite popular.\Ah, the one she did with Dekomori?\They were looking for someone who was up for crazy acting like that.\I'm happy the fair turned out so well for you guys.\What do you mean? Nothing happened to me.\Huh? Nothing?\This, from the person who confessed to Takanashi?\Your face is creeping me out. response:	I heard you're like two lovebirds on the way to school every morning.
context: Ah, the one she did with Dekomori?\They were looking for someone who was up for crazy acting like that.\I'm happy the fair turned out so well for you guys.\What do you mean? Nothing happened to me.\Huh? Nothing?\This, from the person who confessed to Takanashi?\Your face is creeping me out.\I heard you're like two lovebirds on the way to school every morning. response:	Oh well...
context: They were looking for someone who was up for crazy acting like that.\I'm happy the fair turned out so well for you guys.\What do you mean? Nothing happened to me.\Huh? Nothing?\This, from the person who confessed to Takanashi?\Your face is creeping me out.\I heard you're like two lovebirds on the way to school every morning.\Oh well... response:	Then look at how hard I failed!
context: I'm happy the fair turned out so well for you guys.\What do you mean? Nothing happened to me.\Huh? Nothing?\This, from the person who confessed to Takanashi?\Your face is creeping me out.\I heard you're like two lovebirds on the way to school every morning.\Oh well...\Then look at how hard I failed! response:	Kumin was just asleep, wasn't she?
context: What do you mean? Nothing happened to me.\Huh? Nothing?\This, from the person who confessed to Takanashi?\Your face is creeping me out.\I heard you're like two lovebirds on the way to school every morning.\Oh well...\Then look at how hard I failed!\Kumin was just asleep, wasn't she? response:	That doesn't count as a reject
context: Huh? Nothing?\This, from the person who confessed to Takanashi?\Your face is creeping me out.\I heard you're like two lovebirds on the way to school every morning.\Oh well...\Then look at how hard I failed!\Kumin was just asleep, wasn't she?\That doesn't count as a reject response:	Of course not! I'm not giving up just yet!
context: This, from the person who confessed to Takanashi?\Your face is creeping me out.\I heard you're like two lovebirds on the way to school every morning.\Oh well...\Then look at how hard I failed!\Kumin was just asleep, wasn't she?\That doesn't count as a reject\Of course not! I'm not giving up just yet! response:	I'm not giving up!
context: Your face is creeping me out.\I heard you're like two lovebirds on the way to school every morning.\Oh well...\Then look at how hard I failed!\Kumin was just asleep, wasn't she?\That doesn't count as a reject\Of course not! I'm not giving up just yet!\I'm not giving up! response:	I get it, I get it...
context: I heard you're like two lovebirds on the way to school every morning.\Oh well...\Then look at how hard I failed!\Kumin was just asleep, wasn't she?\That doesn't count as a reject\Of course not! I'm not giving up just yet!\I'm not giving up!\I get it, I get it... response:	Um...
context: Oh well...\Then look at how hard I failed!\Kumin was just asleep, wasn't she?\That doesn't count as a reject\Of course not! I'm not giving up just yet!\I'm not giving up!\I get it, I get it...\Um... response:	Takanashi?
context: Then look at how hard I failed!\Kumin was just asleep, wasn't she?\That doesn't count as a reject\Of course not! I'm not giving up just yet!\I'm not giving up!\I get it, I get it...\Um...\Takanashi? response:	What's up?
context: Kumin was just asleep, wasn't she?\That doesn't count as a reject\Of course not! I'm not giving up just yet!\I'm not giving up!\I get it, I get it...\Um...\Takanashi?\What's up? response:	Please be friends with me.
context: That doesn't count as a reject\Of course not! I'm not giving up just yet!\I'm not giving up!\I get it, I get it...\Um...\Takanashi?\What's up?\Please be friends with me. response:	Wait, what?
context: Of course not! I'm not giving up just yet!\I'm not giving up!\I get it, I get it...\Um...\Takanashi?\What's up?\Please be friends with me.\Wait, what? response:	She's...
context: I'm not giving up!\I get it, I get it...\Um...\Takanashi?\What's up?\Please be friends with me.\Wait, what?\She's... response:	We'd love to!
context: I get it, I get it...\Um...\Takanashi?\What's up?\Please be friends with me.\Wait, what?\She's...\We'd love to! response:	That felt like a confession! My heart's still racing!
context: Um...\Takanashi?\What's up?\Please be friends with me.\Wait, what?\She's...\We'd love to!\That felt like a confession! My heart's still racing! response:	Me too!
context: Takanashi?\What's up?\Please be friends with me.\Wait, what?\She's...\We'd love to!\That felt like a confession! My heart's still racing!\Me too! response:	Come on, it's our lunch break!
context: What's up?\Please be friends with me.\Wait, what?\She's...\We'd love to!\That felt like a confession! My heart's still racing!\Me too!\Come on, it's our lunch break! response:	Isn't this the librarian's job?
context: Please be friends with me.\Wait, what?\She's...\We'd love to!\That felt like a confession! My heart's still racing!\Me too!\Come on, it's our lunch break!\Isn't this the librarian's job? response:	Yeah. Is this all of it?
context: Wait, what?\She's...\We'd love to!\That felt like a confession! My heart's still racing!\Me too!\Come on, it's our lunch break!\Isn't this the librarian's job?\Yeah. Is this all of it? response:	Yep. I don't even know what the teachers were thinking.
context: She's...\We'd love to!\That felt like a confession! My heart's still racing!\Me too!\Come on, it's our lunch break!\Isn't this the librarian's job?\Yeah. Is this all of it?\Yep. I don't even know what the teachers were thinking. response:	The class reps aren't there to do all their work!
context: We'd love to!\That felt like a confession! My heart's still racing!\Me too!\Come on, it's our lunch break!\Isn't this the librarian's job?\Yeah. Is this all of it?\Yep. I don't even know what the teachers were thinking.\The class reps aren't there to do all their work! response:	Oh, I heard you got scouted by the Drama Club.
context: That felt like a confession! My heart's still racing!\Me too!\Come on, it's our lunch break!\Isn't this the librarian's job?\Yeah. Is this all of it?\Yep. I don't even know what the teachers were thinking.\The class reps aren't there to do all their work!\Oh, I heard you got scouted by the Drama Club. response:	Yeah, kinda.
context: Me too!\Come on, it's our lunch break!\Isn't this the librarian's job?\Yeah. Is this all of it?\Yep. I don't even know what the teachers were thinking.\The class reps aren't there to do all their work!\Oh, I heard you got scouted by the Drama Club.\Yeah, kinda. response:	What're you gonna do?
context: Come on, it's our lunch break!\Isn't this the librarian's job?\Yeah. Is this all of it?\Yep. I don't even know what the teachers were thinking.\The class reps aren't there to do all their work!\Oh, I heard you got scouted by the Drama Club.\Yeah, kinda.\What're you gonna do? response:	Dunno. Why do you ask?
context: Isn't this the librarian's job?\Yeah. Is this all of it?\Yep. I don't even know what the teachers were thinking.\The class reps aren't there to do all their work!\Oh, I heard you got scouted by the Drama Club.\Yeah, kinda.\What're you gonna do?\Dunno. Why do you ask? response:	Dunno.
context: Yeah. Is this all of it?\Yep. I don't even know what the teachers were thinking.\The class reps aren't there to do all their work!\Oh, I heard you got scouted by the Drama Club.\Yeah, kinda.\What're you gonna do?\Dunno. Why do you ask?\Dunno. response:	Togashi...
context: Yep. I don't even know what the teachers were thinking.\The class reps aren't there to do all their work!\Oh, I heard you got scouted by the Drama Club.\Yeah, kinda.\What're you gonna do?\Dunno. Why do you ask?\Dunno.\Togashi... response:	Do you regret it at all?
context: The class reps aren't there to do all their work!\Oh, I heard you got scouted by the Drama Club.\Yeah, kinda.\What're you gonna do?\Dunno. Why do you ask?\Dunno.\Togashi...\Do you regret it at all? response:	Regret what?
context: Oh, I heard you got scouted by the Drama Club.\Yeah, kinda.\What're you gonna do?\Dunno. Why do you ask?\Dunno.\Togashi...\Do you regret it at all?\Regret what? response:	What happened with Takanashi.
