context: Ayase Chihaya response:	Wakamiya Shinobu
context: Of the eight remaining players, three are ours.\Emuro-kun is up against Amakasu-kun from Hokuo.\He has good game sense,\and his reflexes allow him to take cards quickly.\In terms of mental strength and overall balance,\Emuro-kun has the advantage.\Suzuki Manata must be upset about being taken out of the lineup yesterday,\since he's playing better than usual today. response:	His opponent is Wataya-kun from Fukui.
context: Emuro-kun is up against Amakasu-kun from Hokuo.\He has good game sense,\and his reflexes allow him to take cards quickly.\In terms of mental strength and overall balance,\Emuro-kun has the advantage.\Suzuki Manata must be upset about being taken out of the lineup yesterday,\since he's playing better than usual today.\His opponent is Wataya-kun from Fukui. response:	I've been asking around the other societies,
context: He has good game sense,\and his reflexes allow him to take cards quickly.\In terms of mental strength and overall balance,\Emuro-kun has the advantage.\Suzuki Manata must be upset about being taken out of the lineup yesterday,\since he's playing better than usual today.\His opponent is Wataya-kun from Fukui.\I've been asking around the other societies, response:	and I was only able to learn that he's the
context: and his reflexes allow him to take cards quickly.\In terms of mental strength and overall balance,\Emuro-kun has the advantage.\Suzuki Manata must be upset about being taken out of the lineup yesterday,\since he's playing better than usual today.\His opponent is Wataya-kun from Fukui.\I've been asking around the other societies,\and I was only able to learn that he's the response:	grandson of the Eternal Master Wataya.
context: In terms of mental strength and overall balance,\Emuro-kun has the advantage.\Suzuki Manata must be upset about being taken out of the lineup yesterday,\since he's playing better than usual today.\His opponent is Wataya-kun from Fukui.\I've been asking around the other societies,\and I was only able to learn that he's the\grandson of the Eternal Master Wataya. response:	What kind of karuta does he play?
context: Emuro-kun has the advantage.\Suzuki Manata must be upset about being taken out of the lineup yesterday,\since he's playing better than usual today.\His opponent is Wataya-kun from Fukui.\I've been asking around the other societies,\and I was only able to learn that he's the\grandson of the Eternal Master Wataya.\What kind of karuta does he play? response:	Yamai-kun is up against Ousaka-san from First Akashi Girls'.
context: Suzuki Manata must be upset about being taken out of the lineup yesterday,\since he's playing better than usual today.\His opponent is Wataya-kun from Fukui.\I've been asking around the other societies,\and I was only able to learn that he's the\grandson of the Eternal Master Wataya.\What kind of karuta does he play?\Yamai-kun is up against Ousaka-san from First Akashi Girls'. response:	While Yamai-kun relies on his power,
context: since he's playing better than usual today.\His opponent is Wataya-kun from Fukui.\I've been asking around the other societies,\and I was only able to learn that he's the\grandson of the Eternal Master Wataya.\What kind of karuta does he play?\Yamai-kun is up against Ousaka-san from First Akashi Girls'.\While Yamai-kun relies on his power, response:	Ousaka-san's weapons are her speed and grace.
context: His opponent is Wataya-kun from Fukui.\I've been asking around the other societies,\and I was only able to learn that he's the\grandson of the Eternal Master Wataya.\What kind of karuta does he play?\Yamai-kun is up against Ousaka-san from First Akashi Girls'.\While Yamai-kun relies on his power,\Ousaka-san's weapons are her speed and grace. response:	She's also been playing better than in the team tournament.
context: I've been asking around the other societies,\and I was only able to learn that he's the\grandson of the Eternal Master Wataya.\What kind of karuta does he play?\Yamai-kun is up against Ousaka-san from First Akashi Girls'.\While Yamai-kun relies on his power,\Ousaka-san's weapons are her speed and grace.\She's also been playing better than in the team tournament. response:	This will be a battle of willpower.
context: and I was only able to learn that he's the\grandson of the Eternal Master Wataya.\What kind of karuta does he play?\Yamai-kun is up against Ousaka-san from First Akashi Girls'.\While Yamai-kun relies on his power,\Ousaka-san's weapons are her speed and grace.\She's also been playing better than in the team tournament.\This will be a battle of willpower. response:	And there's the Queen, Wakamiya Shinobu.
context: grandson of the Eternal Master Wataya.\What kind of karuta does he play?\Yamai-kun is up against Ousaka-san from First Akashi Girls'.\While Yamai-kun relies on his power,\Ousaka-san's weapons are her speed and grace.\She's also been playing better than in the team tournament.\This will be a battle of willpower.\And there's the Queen, Wakamiya Shinobu. response:	Her opponent is Ayase-san from Mizusawa.
context: What kind of karuta does he play?\Yamai-kun is up against Ousaka-san from First Akashi Girls'.\While Yamai-kun relies on his power,\Ousaka-san's weapons are her speed and grace.\She's also been playing better than in the team tournament.\This will be a battle of willpower.\And there's the Queen, Wakamiya Shinobu.\Her opponent is Ayase-san from Mizusawa. response:	Her game sense was enough to defeat Rion,
context: Yamai-kun is up against Ousaka-san from First Akashi Girls'.\While Yamai-kun relies on his power,\Ousaka-san's weapons are her speed and grace.\She's also been playing better than in the team tournament.\This will be a battle of willpower.\And there's the Queen, Wakamiya Shinobu.\Her opponent is Ayase-san from Mizusawa.\Her game sense was enough to defeat Rion, response:	but how far will it take her against the Queen?
context: While Yamai-kun relies on his power,\Ousaka-san's weapons are her speed and grace.\She's also been playing better than in the team tournament.\This will be a battle of willpower.\And there's the Queen, Wakamiya Shinobu.\Her opponent is Ayase-san from Mizusawa.\Her game sense was enough to defeat Rion,\but how far will it take her against the Queen? response:	Coach...
context: Ousaka-san's weapons are her speed and grace.\She's also been playing better than in the team tournament.\This will be a battle of willpower.\And there's the Queen, Wakamiya Shinobu.\Her opponent is Ayase-san from Mizusawa.\Her game sense was enough to defeat Rion,\but how far will it take her against the Queen?\Coach... response:	She's been using her left hand this whole time?
context: She's also been playing better than in the team tournament.\This will be a battle of willpower.\And there's the Queen, Wakamiya Shinobu.\Her opponent is Ayase-san from Mizusawa.\Her game sense was enough to defeat Rion,\but how far will it take her against the Queen?\Coach...\She's been using her left hand this whole time? response:	Ayase-san removed the bandages.
context: This will be a battle of willpower.\And there's the Queen, Wakamiya Shinobu.\Her opponent is Ayase-san from Mizusawa.\Her game sense was enough to defeat Rion,\but how far will it take her against the Queen?\Coach...\She's been using her left hand this whole time?\Ayase-san removed the bandages. response:	Is she going to use her right hand?
context: And there's the Queen, Wakamiya Shinobu.\Her opponent is Ayase-san from Mizusawa.\Her game sense was enough to defeat Rion,\but how far will it take her against the Queen?\Coach...\She's been using her left hand this whole time?\Ayase-san removed the bandages.\Is she going to use her right hand? response:	I don't know how much I can do against Shinobu-chan with this hand,
context: Her opponent is Ayase-san from Mizusawa.\Her game sense was enough to defeat Rion,\but how far will it take her against the Queen?\Coach...\She's been using her left hand this whole time?\Ayase-san removed the bandages.\Is she going to use her right hand?\I don't know how much I can do against Shinobu-chan with this hand, response:	but I don't want any regrets.
context: Her game sense was enough to defeat Rion,\but how far will it take her against the Queen?\Coach...\She's been using her left hand this whole time?\Ayase-san removed the bandages.\Is she going to use her right hand?\I don't know how much I can do against Shinobu-chan with this hand,\but I don't want any regrets. response:	Huh?
context: but how far will it take her against the Queen?\Coach...\She's been using her left hand this whole time?\Ayase-san removed the bandages.\Is she going to use her right hand?\I don't know how much I can do against Shinobu-chan with this hand,\but I don't want any regrets.\Huh? response:	Lame T-shirt.
context: Coach...\She's been using her left hand this whole time?\Ayase-san removed the bandages.\Is she going to use her right hand?\I don't know how much I can do against Shinobu-chan with this hand,\but I don't want any regrets.\Huh?\Lame T-shirt. response:	Lame T-shirt.
context: She's been using her left hand this whole time?\Ayase-san removed the bandages.\Is she going to use her right hand?\I don't know how much I can do against Shinobu-chan with this hand,\but I don't want any regrets.\Huh?\Lame T-shirt.\Lame T-shirt. response:	The super rare Mommy Bear tanktop!
context: Ayase-san removed the bandages.\Is she going to use her right hand?\I don't know how much I can do against Shinobu-chan with this hand,\but I don't want any regrets.\Huh?\Lame T-shirt.\Lame T-shirt.\The super rare Mommy Bear tanktop! response:	It appears that you've injured your favored hand.
context: Is she going to use her right hand?\I don't know how much I can do against Shinobu-chan with this hand,\but I don't want any regrets.\Huh?\Lame T-shirt.\Lame T-shirt.\The super rare Mommy Bear tanktop!\It appears that you've injured your favored hand. response:	Shall I play with my right hand?
context: I don't know how much I can do against Shinobu-chan with this hand,\but I don't want any regrets.\Huh?\Lame T-shirt.\Lame T-shirt.\The super rare Mommy Bear tanktop!\It appears that you've injured your favored hand.\Shall I play with my right hand? response:	That's not something you should joke about!
context: but I don't want any regrets.\Huh?\Lame T-shirt.\Lame T-shirt.\The super rare Mommy Bear tanktop!\It appears that you've injured your favored hand.\Shall I play with my right hand?\That's not something you should joke about! response:	Since I played Shinobu-chan last year,
context: Huh?\Lame T-shirt.\Lame T-shirt.\The super rare Mommy Bear tanktop!\It appears that you've injured your favored hand.\Shall I play with my right hand?\That's not something you should joke about!\Since I played Shinobu-chan last year, response:	not a day has gone by
context: Lame T-shirt.\Lame T-shirt.\The super rare Mommy Bear tanktop!\It appears that you've injured your favored hand.\Shall I play with my right hand?\That's not something you should joke about!\Since I played Shinobu-chan last year,\not a day has gone by response:	that I haven't remembered her speed, her strength...
context: Lame T-shirt.\The super rare Mommy Bear tanktop!\It appears that you've injured your favored hand.\Shall I play with my right hand?\That's not something you should joke about!\Since I played Shinobu-chan last year,\not a day has gone by\that I haven't remembered her speed, her strength... response:	Naniwa Bay, now the flower blooms, but for winter
context: The super rare Mommy Bear tanktop!\It appears that you've injured your favored hand.\Shall I play with my right hand?\That's not something you should joke about!\Since I played Shinobu-chan last year,\not a day has gone by\that I haven't remembered her speed, her strength...\Naniwa Bay, now the flower blooms, but for winter response:	My only goal has been to beat Shinobu-chan.
context: It appears that you've injured your favored hand.\Shall I play with my right hand?\That's not something you should joke about!\Since I played Shinobu-chan last year,\not a day has gone by\that I haven't remembered her speed, her strength...\Naniwa Bay, now the flower blooms, but for winter\My only goal has been to beat Shinobu-chan. response:	Here comes spring, now the flower blooms
context: Shall I play with my right hand?\That's not something you should joke about!\Since I played Shinobu-chan last year,\not a day has gone by\that I haven't remembered her speed, her strength...\Naniwa Bay, now the flower blooms, but for winter\My only goal has been to beat Shinobu-chan.\Here comes spring, now the flower blooms response:	Show me your true strength.
context: That's not something you should joke about!\Since I played Shinobu-chan last year,\not a day has gone by\that I haven't remembered her speed, her strength...\Naniwa Bay, now the flower blooms, but for winter\My only goal has been to beat Shinobu-chan.\Here comes spring, now the flower blooms\Show me your true strength. response:	The strength of the number one player in Japan, in the world.
context: Since I played Shinobu-chan last year,\not a day has gone by\that I haven't remembered her speed, her strength...\Naniwa Bay, now the flower blooms, but for winter\My only goal has been to beat Shinobu-chan.\Here comes spring, now the flower blooms\Show me your true strength.\The strength of the number one player in Japan, in the world. response:	Here comes spring, now the flower blooms
context: not a day has gone by\that I haven't remembered her speed, her strength...\Naniwa Bay, now the flower blooms, but for winter\My only goal has been to beat Shinobu-chan.\Here comes spring, now the flower blooms\Show me your true strength.\The strength of the number one player in Japan, in the world.\Here comes spring, now the flower blooms response:	Wow!
context: that I haven't remembered her speed, her strength...\Naniwa Bay, now the flower blooms, but for winter\My only goal has been to beat Shinobu-chan.\Here comes spring, now the flower blooms\Show me your true strength.\The strength of the number one player in Japan, in the world.\Here comes spring, now the flower blooms\Wow! response:	How is she so fast?
context: Naniwa Bay, now the flower blooms, but for winter\My only goal has been to beat Shinobu-chan.\Here comes spring, now the flower blooms\Show me your true strength.\The strength of the number one player in Japan, in the world.\Here comes spring, now the flower blooms\Wow!\How is she so fast? response:	So fast...
context: My only goal has been to beat Shinobu-chan.\Here comes spring, now the flower blooms\Show me your true strength.\The strength of the number one player in Japan, in the world.\Here comes spring, now the flower blooms\Wow!\How is she so fast?\So fast... response:	The Queen's play is steady today.
context: Here comes spring, now the flower blooms\Show me your true strength.\The strength of the number one player in Japan, in the world.\Here comes spring, now the flower blooms\Wow!\How is she so fast?\So fast...\The Queen's play is steady today. response:	Hey, Chihaya! Enough already!
context: Show me your true strength.\The strength of the number one player in Japan, in the world.\Here comes spring, now the flower blooms\Wow!\How is she so fast?\So fast...\The Queen's play is steady today.\Hey, Chihaya! Enough already! response:	The drama I was briefly in is about to start!
context: The strength of the number one player in Japan, in the world.\Here comes spring, now the flower blooms\Wow!\How is she so fast?\So fast...\The Queen's play is steady today.\Hey, Chihaya! Enough already!\The drama I was briefly in is about to start! response:	This again?
context: Here comes spring, now the flower blooms\Wow!\How is she so fast?\So fast...\The Queen's play is steady today.\Hey, Chihaya! Enough already!\The drama I was briefly in is about to start!\This again? response:	Haven't you gotten sick of watching that chubby girl yet?
context: Wow!\How is she so fast?\So fast...\The Queen's play is steady today.\Hey, Chihaya! Enough already!\The drama I was briefly in is about to start!\This again?\Haven't you gotten sick of watching that chubby girl yet? response:	I watched the Queen match so many times
context: How is she so fast?\So fast...\The Queen's play is steady today.\Hey, Chihaya! Enough already!\The drama I was briefly in is about to start!\This again?\Haven't you gotten sick of watching that chubby girl yet?\I watched the Queen match so many times response:	that my sister was disgusted with me.
context: So fast...\The Queen's play is steady today.\Hey, Chihaya! Enough already!\The drama I was briefly in is about to start!\This again?\Haven't you gotten sick of watching that chubby girl yet?\I watched the Queen match so many times\that my sister was disgusted with me. response:	when I should have gone to sleep instead
context: The Queen's play is steady today.\Hey, Chihaya! Enough already!\The drama I was briefly in is about to start!\This again?\Haven't you gotten sick of watching that chubby girl yet?\I watched the Queen match so many times\that my sister was disgusted with me.\when I should have gone to sleep instead response:	As my love first came...
context: Hey, Chihaya! Enough already!\The drama I was briefly in is about to start!\This again?\Haven't you gotten sick of watching that chubby girl yet?\I watched the Queen match so many times\that my sister was disgusted with me.\when I should have gone to sleep instead\As my love first came... response:	I knew it.
context: The drama I was briefly in is about to start!\This again?\Haven't you gotten sick of watching that chubby girl yet?\I watched the Queen match so many times\that my sister was disgusted with me.\when I should have gone to sleep instead\As my love first came...\I knew it. response:	It looks like she waits until the unique syllable to move,
context: This again?\Haven't you gotten sick of watching that chubby girl yet?\I watched the Queen match so many times\that my sister was disgusted with me.\when I should have gone to sleep instead\As my love first came...\I knew it.\It looks like she waits until the unique syllable to move, response:	but that's not the case.
context: Haven't you gotten sick of watching that chubby girl yet?\I watched the Queen match so many times\that my sister was disgusted with me.\when I should have gone to sleep instead\As my love first came...\I knew it.\It looks like she waits until the unique syllable to move,\but that's not the case. response:	She doesn't move her hand,
context: I watched the Queen match so many times\that my sister was disgusted with me.\when I should have gone to sleep instead\As my love first came...\I knew it.\It looks like she waits until the unique syllable to move,\but that's not the case.\She doesn't move her hand, response:	but her body is moving in response to what's being read.
context: that my sister was disgusted with me.\when I should have gone to sleep instead\As my love first came...\I knew it.\It looks like she waits until the unique syllable to move,\but that's not the case.\She doesn't move her hand,\but her body is moving in response to what's being read. response:	She's saving it up.
context: when I should have gone to sleep instead\As my love first came...\I knew it.\It looks like she waits until the unique syllable to move,\but that's not the case.\She doesn't move her hand,\but her body is moving in response to what's being read.\She's saving it up. response:	word had already spread
context: As my love first came...\I knew it.\It looks like she waits until the unique syllable to move,\but that's not the case.\She doesn't move her hand,\but her body is moving in response to what's being read.\She's saving it up.\word had already spread response:	So she can take the card as soon as the unique syllable is read,
context: I knew it.\It looks like she waits until the unique syllable to move,\but that's not the case.\She doesn't move her hand,\but her body is moving in response to what's being read.\She's saving it up.\word had already spread\So she can take the card as soon as the unique syllable is read, response:	without any mistakes.
context: It looks like she waits until the unique syllable to move,\but that's not the case.\She doesn't move her hand,\but her body is moving in response to what's being read.\She's saving it up.\word had already spread\So she can take the card as soon as the unique syllable is read,\without any mistakes. response:	So...
context: but that's not the case.\She doesn't move her hand,\but her body is moving in response to what's being read.\She's saving it up.\word had already spread\So she can take the card as soon as the unique syllable is read,\without any mistakes.\So... response:	she can stab the border of the card
context: She doesn't move her hand,\but her body is moving in response to what's being read.\She's saving it up.\word had already spread\So she can take the card as soon as the unique syllable is read,\without any mistakes.\So...\she can stab the border of the card response:	at the shortest distance.
context: but her body is moving in response to what's being read.\She's saving it up.\word had already spread\So she can take the card as soon as the unique syllable is read,\without any mistakes.\So...\she can stab the border of the card\at the shortest distance. response:	is that I have no way to tell you in person
context: She's saving it up.\word had already spread\So she can take the card as soon as the unique syllable is read,\without any mistakes.\So...\she can stab the border of the card\at the shortest distance.\is that I have no way to tell you in person response:	I feel as though I am...
context: word had already spread\So she can take the card as soon as the unique syllable is read,\without any mistakes.\So...\she can stab the border of the card\at the shortest distance.\is that I have no way to tell you in person\I feel as though I am... response:	The storm blasts autumn leaves...
context: So she can take the card as soon as the unique syllable is read,\without any mistakes.\So...\she can stab the border of the card\at the shortest distance.\is that I have no way to tell you in person\I feel as though I am...\The storm blasts autumn leaves... response:	In order for us...
context: without any mistakes.\So...\she can stab the border of the card\at the shortest distance.\is that I have no way to tell you in person\I feel as though I am...\The storm blasts autumn leaves...\In order for us... response:	Sh-She's strong.
context: So...\she can stab the border of the card\at the shortest distance.\is that I have no way to tell you in person\I feel as though I am...\The storm blasts autumn leaves...\In order for us...\Sh-She's strong. response:	How can she be this accurate?
context: she can stab the border of the card\at the shortest distance.\is that I have no way to tell you in person\I feel as though I am...\The storm blasts autumn leaves...\In order for us...\Sh-She's strong.\How can she be this accurate? response:	And so fast, too!
context: at the shortest distance.\is that I have no way to tell you in person\I feel as though I am...\The storm blasts autumn leaves...\In order for us...\Sh-She's strong.\How can she be this accurate?\And so fast, too! response:	It's like there's something connecting her fingers to the cards.
context: is that I have no way to tell you in person\I feel as though I am...\The storm blasts autumn leaves...\In order for us...\Sh-She's strong.\How can she be this accurate?\And so fast, too!\It's like there's something connecting her fingers to the cards. response:	Not a sound...
context: I feel as though I am...\The storm blasts autumn leaves...\In order for us...\Sh-She's strong.\How can she be this accurate?\And so fast, too!\It's like there's something connecting her fingers to the cards.\Not a sound... response:	That's how light and sharp her movements are.
context: The storm blasts autumn leaves...\In order for us...\Sh-She's strong.\How can she be this accurate?\And so fast, too!\It's like there's something connecting her fingers to the cards.\Not a sound...\That's how light and sharp her movements are. response:	She is truly the Queen.
context: In order for us...\Sh-She's strong.\How can she be this accurate?\And so fast, too!\It's like there's something connecting her fingers to the cards.\Not a sound...\That's how light and sharp her movements are.\She is truly the Queen. response:	I'll let the people watching talk about how strong and fast she is.
context: Sh-She's strong.\How can she be this accurate?\And so fast, too!\It's like there's something connecting her fingers to the cards.\Not a sound...\That's how light and sharp her movements are.\She is truly the Queen.\I'll let the people watching talk about how strong and fast she is. response:	the plum blossoms still smell the same
context: How can she be this accurate?\And so fast, too!\It's like there's something connecting her fingers to the cards.\Not a sound...\That's how light and sharp her movements are.\She is truly the Queen.\I'll let the people watching talk about how strong and fast she is.\the plum blossoms still smell the same response:	For you, I would have given up my life
context: And so fast, too!\It's like there's something connecting her fingers to the cards.\Not a sound...\That's how light and sharp her movements are.\She is truly the Queen.\I'll let the people watching talk about how strong and fast she is.\the plum blossoms still smell the same\For you, I would have given up my life response:	I-I got it!
context: It's like there's something connecting her fingers to the cards.\Not a sound...\That's how light and sharp her movements are.\She is truly the Queen.\I'll let the people watching talk about how strong and fast she is.\the plum blossoms still smell the same\For you, I would have given up my life\I-I got it! response:	She usually struggles with them, but she defended a multi-syllable card!
context: Not a sound...\That's how light and sharp her movements are.\She is truly the Queen.\I'll let the people watching talk about how strong and fast she is.\the plum blossoms still smell the same\For you, I would have given up my life\I-I got it!\She usually struggles with them, but she defended a multi-syllable card! response:	I only had 10 minutes to practice, but it worked.
context: That's how light and sharp her movements are.\She is truly the Queen.\I'll let the people watching talk about how strong and fast she is.\the plum blossoms still smell the same\For you, I would have given up my life\I-I got it!\She usually struggles with them, but she defended a multi-syllable card!\I only had 10 minutes to practice, but it worked. response:	It was a gamble,
context: She is truly the Queen.\I'll let the people watching talk about how strong and fast she is.\the plum blossoms still smell the same\For you, I would have given up my life\I-I got it!\She usually struggles with them, but she defended a multi-syllable card!\I only had 10 minutes to practice, but it worked.\It was a gamble, response:	but I moved For you, I would from my usual position on
context: I'll let the people watching talk about how strong and fast she is.\the plum blossoms still smell the same\For you, I would have given up my life\I-I got it!\She usually struggles with them, but she defended a multi-syllable card!\I only had 10 minutes to practice, but it worked.\It was a gamble,\but I moved For you, I would from my usual position on response:	the inside lower right to the inside lower left.
context: the plum blossoms still smell the same\For you, I would have given up my life\I-I got it!\She usually struggles with them, but she defended a multi-syllable card!\I only had 10 minutes to practice, but it worked.\It was a gamble,\but I moved For you, I would from my usual position on\the inside lower right to the inside lower left. response:	This was something I didn't realize until I tried playing with my left hand.
context: For you, I would have given up my life\I-I got it!\She usually struggles with them, but she defended a multi-syllable card!\I only had 10 minutes to practice, but it worked.\It was a gamble,\but I moved For you, I would from my usual position on\the inside lower right to the inside lower left.\This was something I didn't realize until I tried playing with my left hand. response:	There's a position for multi-syllable cards that's
context: I-I got it!\She usually struggles with them, but she defended a multi-syllable card!\I only had 10 minutes to practice, but it worked.\It was a gamble,\but I moved For you, I would from my usual position on\the inside lower right to the inside lower left.\This was something I didn't realize until I tried playing with my left hand.\There's a position for multi-syllable cards that's response:	difficult for left-handed players to reach.
context: She usually struggles with them, but she defended a multi-syllable card!\I only had 10 minutes to practice, but it worked.\It was a gamble,\but I moved For you, I would from my usual position on\the inside lower right to the inside lower left.\This was something I didn't realize until I tried playing with my left hand.\There's a position for multi-syllable cards that's\difficult for left-handed players to reach. response:	Forget about it. Forget about it.
context: I only had 10 minutes to practice, but it worked.\It was a gamble,\but I moved For you, I would from my usual position on\the inside lower right to the inside lower left.\This was something I didn't realize until I tried playing with my left hand.\There's a position for multi-syllable cards that's\difficult for left-handed players to reach.\Forget about it. Forget about it. response:	If I hold back at all,
context: It was a gamble,\but I moved For you, I would from my usual position on\the inside lower right to the inside lower left.\This was something I didn't realize until I tried playing with my left hand.\There's a position for multi-syllable cards that's\difficult for left-handed players to reach.\Forget about it. Forget about it.\If I hold back at all, response:	I won't be able to take a single card against her.
context: but I moved For you, I would from my usual position on\the inside lower right to the inside lower left.\This was something I didn't realize until I tried playing with my left hand.\There's a position for multi-syllable cards that's\difficult for left-handed players to reach.\Forget about it. Forget about it.\If I hold back at all,\I won't be able to take a single card against her. response:	There's only one thing for me to focus on.
context: the inside lower right to the inside lower left.\This was something I didn't realize until I tried playing with my left hand.\There's a position for multi-syllable cards that's\difficult for left-handed players to reach.\Forget about it. Forget about it.\If I hold back at all,\I won't be able to take a single card against her.\There's only one thing for me to focus on. response:	How can I win?
context: This was something I didn't realize until I tried playing with my left hand.\There's a position for multi-syllable cards that's\difficult for left-handed players to reach.\Forget about it. Forget about it.\If I hold back at all,\I won't be able to take a single card against her.\There's only one thing for me to focus on.\How can I win? response:	now together, I guard it dear
context: There's a position for multi-syllable cards that's\difficult for left-handed players to reach.\Forget about it. Forget about it.\If I hold back at all,\I won't be able to take a single card against her.\There's only one thing for me to focus on.\How can I win?\now together, I guard it dear response:	How can I win?
context: difficult for left-handed players to reach.\Forget about it. Forget about it.\If I hold back at all,\I won't be able to take a single card against her.\There's only one thing for me to focus on.\How can I win?\now together, I guard it dear\How can I win? response:	How can I win?
context: Forget about it. Forget about it.\If I hold back at all,\I won't be able to take a single card against her.\There's only one thing for me to focus on.\How can I win?\now together, I guard it dear\How can I win?\How can I win? response:	How?!
context: If I hold back at all,\I won't be able to take a single card against her.\There's only one thing for me to focus on.\How can I win?\now together, I guard it dear\How can I win?\How can I win?\How?! response:	Ayase-san appears to be reacting quickly,
context: I won't be able to take a single card against her.\There's only one thing for me to focus on.\How can I win?\now together, I guard it dear\How can I win?\How can I win?\How?!\Ayase-san appears to be reacting quickly, response:	but the Queen is taking all of the cards?
context: There's only one thing for me to focus on.\How can I win?\now together, I guard it dear\How can I win?\How can I win?\How?!\Ayase-san appears to be reacting quickly,\but the Queen is taking all of the cards? response:	How?!
context: How can I win?\now together, I guard it dear\How can I win?\How can I win?\How?!\Ayase-san appears to be reacting quickly,\but the Queen is taking all of the cards?\How?! response:	In
context: now together, I guard it dear\How can I win?\How can I win?\How?!\Ayase-san appears to be reacting quickly,\but the Queen is taking all of the cards?\How?!\In response:	the sleepy spring sunlight,
context: How can I win?\How can I win?\How?!\Ayase-san appears to be reacting quickly,\but the Queen is taking all of the cards?\How?!\In\the sleepy spring sunlight, response:	I'm losing by a hair.
context: How can I win?\How?!\Ayase-san appears to be reacting quickly,\but the Queen is taking all of the cards?\How?!\In\the sleepy spring sunlight,\I'm losing by a hair. response:	Shinobu-chan is beating me with her accuracy.
context: How?!\Ayase-san appears to be reacting quickly,\but the Queen is taking all of the cards?\How?!\In\the sleepy spring sunlight,\I'm losing by a hair.\Shinobu-chan is beating me with her accuracy. response:	That was one of my best cards!
context: Ayase-san appears to be reacting quickly,\but the Queen is taking all of the cards?\How?!\In\the sleepy spring sunlight,\I'm losing by a hair.\Shinobu-chan is beating me with her accuracy.\That was one of my best cards! response:	The gauze and tape are too heavy.
context: but the Queen is taking all of the cards?\How?!\In\the sleepy spring sunlight,\I'm losing by a hair.\Shinobu-chan is beating me with her accuracy.\That was one of my best cards!\The gauze and tape are too heavy. response:	I've worked hard on my accuracy.
