context: TS response:	It's coming from beneath?
context: It must be his fault!\But your dad said\that the Secrets may not be our enemies.\Nothing is absolute.\Let's hurry. We don't know when the power will go out.\Commander, we're still not going in?\I'd prefer a peaceful resolution.\Let's just wait for them to surrender. response:	Isn't that what the silence is implying?
context: But your dad said\that the Secrets may not be our enemies.\Nothing is absolute.\Let's hurry. We don't know when the power will go out.\Commander, we're still not going in?\I'd prefer a peaceful resolution.\Let's just wait for them to surrender.\Isn't that what the silence is implying? response:	We can't locate Blanc's ID signal. But
context: that the Secrets may not be our enemies.\Nothing is absolute.\Let's hurry. We don't know when the power will go out.\Commander, we're still not going in?\I'd prefer a peaceful resolution.\Let's just wait for them to surrender.\Isn't that what the silence is implying?\We can't locate Blanc's ID signal. But response:	He was our stupid president until the very end. That's all.
context: Nothing is absolute.\Let's hurry. We don't know when the power will go out.\Commander, we're still not going in?\I'd prefer a peaceful resolution.\Let's just wait for them to surrender.\Isn't that what the silence is implying?\We can't locate Blanc's ID signal. But\He was our stupid president until the very end. That's all. response:	With the condition that we're in, looking for him would be
context: Let's hurry. We don't know when the power will go out.\Commander, we're still not going in?\I'd prefer a peaceful resolution.\Let's just wait for them to surrender.\Isn't that what the silence is implying?\We can't locate Blanc's ID signal. But\He was our stupid president until the very end. That's all.\With the condition that we're in, looking for him would be response:	The Allied Forces' attack will be over in a flash.
context: Commander, we're still not going in?\I'd prefer a peaceful resolution.\Let's just wait for them to surrender.\Isn't that what the silence is implying?\We can't locate Blanc's ID signal. But\He was our stupid president until the very end. That's all.\With the condition that we're in, looking for him would be\The Allied Forces' attack will be over in a flash. response:	They only want the Quartz Gun.
context: I'd prefer a peaceful resolution.\Let's just wait for them to surrender.\Isn't that what the silence is implying?\We can't locate Blanc's ID signal. But\He was our stupid president until the very end. That's all.\With the condition that we're in, looking for him would be\The Allied Forces' attack will be over in a flash.\They only want the Quartz Gun. response:	We just need to hand it over.
context: Let's just wait for them to surrender.\Isn't that what the silence is implying?\We can't locate Blanc's ID signal. But\He was our stupid president until the very end. That's all.\With the condition that we're in, looking for him would be\The Allied Forces' attack will be over in a flash.\They only want the Quartz Gun.\We just need to hand it over. response:	The Quartz Gun is undamaged.
context: Isn't that what the silence is implying?\We can't locate Blanc's ID signal. But\He was our stupid president until the very end. That's all.\With the condition that we're in, looking for him would be\The Allied Forces' attack will be over in a flash.\They only want the Quartz Gun.\We just need to hand it over.\The Quartz Gun is undamaged. response:	It's still sealed in the deepest level.
context: We can't locate Blanc's ID signal. But\He was our stupid president until the very end. That's all.\With the condition that we're in, looking for him would be\The Allied Forces' attack will be over in a flash.\They only want the Quartz Gun.\We just need to hand it over.\The Quartz Gun is undamaged.\It's still sealed in the deepest level. response:	What do we do? Are we going to hand the cannon over?
context: He was our stupid president until the very end. That's all.\With the condition that we're in, looking for him would be\The Allied Forces' attack will be over in a flash.\They only want the Quartz Gun.\We just need to hand it over.\The Quartz Gun is undamaged.\It's still sealed in the deepest level.\What do we do? Are we going to hand the cannon over? response:	Any further discussion is
context: With the condition that we're in, looking for him would be\The Allied Forces' attack will be over in a flash.\They only want the Quartz Gun.\We just need to hand it over.\The Quartz Gun is undamaged.\It's still sealed in the deepest level.\What do we do? Are we going to hand the cannon over?\Any further discussion is response:	I don't want that.
context: The Allied Forces' attack will be over in a flash.\They only want the Quartz Gun.\We just need to hand it over.\The Quartz Gun is undamaged.\It's still sealed in the deepest level.\What do we do? Are we going to hand the cannon over?\Any further discussion is\I don't want that. response:	I went over to their side once, so my words might not hold any weight...
context: They only want the Quartz Gun.\We just need to hand it over.\The Quartz Gun is undamaged.\It's still sealed in the deepest level.\What do we do? Are we going to hand the cannon over?\Any further discussion is\I don't want that.\I went over to their side once, so my words might not hold any weight... response:	But the President told us this!
context: We just need to hand it over.\The Quartz Gun is undamaged.\It's still sealed in the deepest level.\What do we do? Are we going to hand the cannon over?\Any further discussion is\I don't want that.\I went over to their side once, so my words might not hold any weight...\But the President told us this! response:	He was sure that we could find what the right thing to do is!
context: The Quartz Gun is undamaged.\It's still sealed in the deepest level.\What do we do? Are we going to hand the cannon over?\Any further discussion is\I don't want that.\I went over to their side once, so my words might not hold any weight...\But the President told us this!\He was sure that we could find what the right thing to do is! response:	In the situation we're in, what would be more of a right choice than staying alive?
context: It's still sealed in the deepest level.\What do we do? Are we going to hand the cannon over?\Any further discussion is\I don't want that.\I went over to their side once, so my words might not hold any weight...\But the President told us this!\He was sure that we could find what the right thing to do is!\In the situation we're in, what would be more of a right choice than staying alive? response:	I still haven't found out what the right thing to do is.
context: What do we do? Are we going to hand the cannon over?\Any further discussion is\I don't want that.\I went over to their side once, so my words might not hold any weight...\But the President told us this!\He was sure that we could find what the right thing to do is!\In the situation we're in, what would be more of a right choice than staying alive?\I still haven't found out what the right thing to do is. response:	But I believe if we surrender now, we'll never have a chance to find out!
context: Any further discussion is\I don't want that.\I went over to their side once, so my words might not hold any weight...\But the President told us this!\He was sure that we could find what the right thing to do is!\In the situation we're in, what would be more of a right choice than staying alive?\I still haven't found out what the right thing to do is.\But I believe if we surrender now, we'll never have a chance to find out! response:	That's how terrorists think!
context: I don't want that.\I went over to their side once, so my words might not hold any weight...\But the President told us this!\He was sure that we could find what the right thing to do is!\In the situation we're in, what would be more of a right choice than staying alive?\I still haven't found out what the right thing to do is.\But I believe if we surrender now, we'll never have a chance to find out!\That's how terrorists think! response:	Says the person who erased Georg on some retarded orders!
context: I went over to their side once, so my words might not hold any weight...\But the President told us this!\He was sure that we could find what the right thing to do is!\In the situation we're in, what would be more of a right choice than staying alive?\I still haven't found out what the right thing to do is.\But I believe if we surrender now, we'll never have a chance to find out!\That's how terrorists think!\Says the person who erased Georg on some retarded orders! response:	I had to do that to protect everyone.
context: But the President told us this!\He was sure that we could find what the right thing to do is!\In the situation we're in, what would be more of a right choice than staying alive?\I still haven't found out what the right thing to do is.\But I believe if we surrender now, we'll never have a chance to find out!\That's how terrorists think!\Says the person who erased Georg on some retarded orders!\I had to do that to protect everyone. response:	Fighting has never been one of our choices, Fukai Ao.
context: He was sure that we could find what the right thing to do is!\In the situation we're in, what would be more of a right choice than staying alive?\I still haven't found out what the right thing to do is.\But I believe if we surrender now, we'll never have a chance to find out!\That's how terrorists think!\Says the person who erased Georg on some retarded orders!\I had to do that to protect everyone.\Fighting has never been one of our choices, Fukai Ao. response:	You know what this is, right?
context: In the situation we're in, what would be more of a right choice than staying alive?\I still haven't found out what the right thing to do is.\But I believe if we surrender now, we'll never have a chance to find out!\That's how terrorists think!\Says the person who erased Georg on some retarded orders!\I had to do that to protect everyone.\Fighting has never been one of our choices, Fukai Ao.\You know what this is, right? response:	What?! But I completely erased him from the main system!
context: I still haven't found out what the right thing to do is.\But I believe if we surrender now, we'll never have a chance to find out!\That's how terrorists think!\Says the person who erased Georg on some retarded orders!\I had to do that to protect everyone.\Fighting has never been one of our choices, Fukai Ao.\You know what this is, right?\What?! But I completely erased him from the main system! response:	The pilots' terminals have high-security restrictions on them.
context: But I believe if we surrender now, we'll never have a chance to find out!\That's how terrorists think!\Says the person who erased Georg on some retarded orders!\I had to do that to protect everyone.\Fighting has never been one of our choices, Fukai Ao.\You know what this is, right?\What?! But I completely erased him from the main system!\The pilots' terminals have high-security restrictions on them. response:	If we copied you into our system, the Triton could fly, right?
context: That's how terrorists think!\Says the person who erased Georg on some retarded orders!\I had to do that to protect everyone.\Fighting has never been one of our choices, Fukai Ao.\You know what this is, right?\What?! But I completely erased him from the main system!\The pilots' terminals have high-security restrictions on them.\If we copied you into our system, the Triton could fly, right? response:	Ivica?!
context: Says the person who erased Georg on some retarded orders!\I had to do that to protect everyone.\Fighting has never been one of our choices, Fukai Ao.\You know what this is, right?\What?! But I completely erased him from the main system!\The pilots' terminals have high-security restrictions on them.\If we copied you into our system, the Triton could fly, right?\Ivica?! response:	You can reach the lowest level through the central shaft.
context: I had to do that to protect everyone.\Fighting has never been one of our choices, Fukai Ao.\You know what this is, right?\What?! But I completely erased him from the main system!\The pilots' terminals have high-security restrictions on them.\If we copied you into our system, the Triton could fly, right?\Ivica?!\You can reach the lowest level through the central shaft. response:	I'm going.
context: Fighting has never been one of our choices, Fukai Ao.\You know what this is, right?\What?! But I completely erased him from the main system!\The pilots' terminals have high-security restrictions on them.\If we copied you into our system, the Triton could fly, right?\Ivica?!\You can reach the lowest level through the central shaft.\I'm going. response:	I can't leave the cannon there.
context: You know what this is, right?\What?! But I completely erased him from the main system!\The pilots' terminals have high-security restrictions on them.\If we copied you into our system, the Triton could fly, right?\Ivica?!\You can reach the lowest level through the central shaft.\I'm going.\I can't leave the cannon there. response:	Ao...
context: What?! But I completely erased him from the main system!\The pilots' terminals have high-security restrictions on them.\If we copied you into our system, the Triton could fly, right?\Ivica?!\You can reach the lowest level through the central shaft.\I'm going.\I can't leave the cannon there.\Ao... response:	Don't worry.
context: The pilots' terminals have high-security restrictions on them.\If we copied you into our system, the Triton could fly, right?\Ivica?!\You can reach the lowest level through the central shaft.\I'm going.\I can't leave the cannon there.\Ao...\Don't worry. response:	Even without Georg, Nirvash can
context: If we copied you into our system, the Triton could fly, right?\Ivica?!\You can reach the lowest level through the central shaft.\I'm going.\I can't leave the cannon there.\Ao...\Don't worry.\Even without Georg, Nirvash can response:	Fire the cannon, Ao.
context: Ivica?!\You can reach the lowest level through the central shaft.\I'm going.\I can't leave the cannon there.\Ao...\Don't worry.\Even without Georg, Nirvash can\Fire the cannon, Ao. response:	I can't do that.
context: You can reach the lowest level through the central shaft.\I'm going.\I can't leave the cannon there.\Ao...\Don't worry.\Even without Georg, Nirvash can\Fire the cannon, Ao.\I can't do that. response:	As soon as Georg is reinstalled on the Triton,
context: I'm going.\I can't leave the cannon there.\Ao...\Don't worry.\Even without Georg, Nirvash can\Fire the cannon, Ao.\I can't do that.\As soon as Georg is reinstalled on the Triton, response:	connect it to the catapult system.
context: I can't leave the cannon there.\Ao...\Don't worry.\Even without Georg, Nirvash can\Fire the cannon, Ao.\I can't do that.\As soon as Georg is reinstalled on the Triton,\connect it to the catapult system. response:	Preparing for takeoff and arming the IFOs are top priorities!
context: Ao...\Don't worry.\Even without Georg, Nirvash can\Fire the cannon, Ao.\I can't do that.\As soon as Georg is reinstalled on the Triton,\connect it to the catapult system.\Preparing for takeoff and arming the IFOs are top priorities! response:	Focus!
context: Don't worry.\Even without Georg, Nirvash can\Fire the cannon, Ao.\I can't do that.\As soon as Georg is reinstalled on the Triton,\connect it to the catapult system.\Preparing for takeoff and arming the IFOs are top priorities!\Focus! response:	Alex, we need volunteer mechanics.
context: Even without Georg, Nirvash can\Fire the cannon, Ao.\I can't do that.\As soon as Georg is reinstalled on the Triton,\connect it to the catapult system.\Preparing for takeoff and arming the IFOs are top priorities!\Focus!\Alex, we need volunteer mechanics. response:	If you ask for volunteers, you'd have to put everyone on board.
context: Fire the cannon, Ao.\I can't do that.\As soon as Georg is reinstalled on the Triton,\connect it to the catapult system.\Preparing for takeoff and arming the IFOs are top priorities!\Focus!\Alex, we need volunteer mechanics.\If you ask for volunteers, you'd have to put everyone on board. response:	Mr. Alex, why won't it open?
context: I can't do that.\As soon as Georg is reinstalled on the Triton,\connect it to the catapult system.\Preparing for takeoff and arming the IFOs are top priorities!\Focus!\Alex, we need volunteer mechanics.\If you ask for volunteers, you'd have to put everyone on board.\Mr. Alex, why won't it open? response:	The area beyond the 20th gate is sealed.
context: As soon as Georg is reinstalled on the Triton,\connect it to the catapult system.\Preparing for takeoff and arming the IFOs are top priorities!\Focus!\Alex, we need volunteer mechanics.\If you ask for volunteers, you'd have to put everyone on board.\Mr. Alex, why won't it open?\The area beyond the 20th gate is sealed. response:	We can't open it remotely.
context: connect it to the catapult system.\Preparing for takeoff and arming the IFOs are top priorities!\Focus!\Alex, we need volunteer mechanics.\If you ask for volunteers, you'd have to put everyone on board.\Mr. Alex, why won't it open?\The area beyond the 20th gate is sealed.\We can't open it remotely. response:	Okay, I'm gonna break it open then!
context: Preparing for takeoff and arming the IFOs are top priorities!\Focus!\Alex, we need volunteer mechanics.\If you ask for volunteers, you'd have to put everyone on board.\Mr. Alex, why won't it open?\The area beyond the 20th gate is sealed.\We can't open it remotely.\Okay, I'm gonna break it open then! response:	They still won't surrender?
context: Focus!\Alex, we need volunteer mechanics.\If you ask for volunteers, you'd have to put everyone on board.\Mr. Alex, why won't it open?\The area beyond the 20th gate is sealed.\We can't open it remotely.\Okay, I'm gonna break it open then!\They still won't surrender? response:	Maggie, look!
context: Alex, we need volunteer mechanics.\If you ask for volunteers, you'd have to put everyone on board.\Mr. Alex, why won't it open?\The area beyond the 20th gate is sealed.\We can't open it remotely.\Okay, I'm gonna break it open then!\They still won't surrender?\Maggie, look! response:	They finally surrendered?
context: If you ask for volunteers, you'd have to put everyone on board.\Mr. Alex, why won't it open?\The area beyond the 20th gate is sealed.\We can't open it remotely.\Okay, I'm gonna break it open then!\They still won't surrender?\Maggie, look!\They finally surrendered? response:	No, it seems that they're releasing civilians based on their residential areas.
context: Mr. Alex, why won't it open?\The area beyond the 20th gate is sealed.\We can't open it remotely.\Okay, I'm gonna break it open then!\They still won't surrender?\Maggie, look!\They finally surrendered?\No, it seems that they're releasing civilians based on their residential areas. response:	I hate this so much...
context: The area beyond the 20th gate is sealed.\We can't open it remotely.\Okay, I'm gonna break it open then!\They still won't surrender?\Maggie, look!\They finally surrendered?\No, it seems that they're releasing civilians based on their residential areas.\I hate this so much... response:	Now it's like we're the bad guys.
context: We can't open it remotely.\Okay, I'm gonna break it open then!\They still won't surrender?\Maggie, look!\They finally surrendered?\No, it seems that they're releasing civilians based on their residential areas.\I hate this so much...\Now it's like we're the bad guys. response:	Are you returning to the Big Blue World?
context: Okay, I'm gonna break it open then!\They still won't surrender?\Maggie, look!\They finally surrendered?\No, it seems that they're releasing civilians based on their residential areas.\I hate this so much...\Now it's like we're the bad guys.\Are you returning to the Big Blue World? response:	I was originally sent here by people from above.
context: They still won't surrender?\Maggie, look!\They finally surrendered?\No, it seems that they're releasing civilians based on their residential areas.\I hate this so much...\Now it's like we're the bad guys.\Are you returning to the Big Blue World?\I was originally sent here by people from above. response:	So that the company could control Generation Bleu.
context: Maggie, look!\They finally surrendered?\No, it seems that they're releasing civilians based on their residential areas.\I hate this so much...\Now it's like we're the bad guys.\Are you returning to the Big Blue World?\I was originally sent here by people from above.\So that the company could control Generation Bleu. response:	Big Blue World is the largest PR company in the world.
context: They finally surrendered?\No, it seems that they're releasing civilians based on their residential areas.\I hate this so much...\Now it's like we're the bad guys.\Are you returning to the Big Blue World?\I was originally sent here by people from above.\So that the company could control Generation Bleu.\Big Blue World is the largest PR company in the world. response:	If they say the Secrets are evil, the world will believe them.
context: No, it seems that they're releasing civilians based on their residential areas.\I hate this so much...\Now it's like we're the bad guys.\Are you returning to the Big Blue World?\I was originally sent here by people from above.\So that the company could control Generation Bleu.\Big Blue World is the largest PR company in the world.\If they say the Secrets are evil, the world will believe them. response:	That's how they marketed trapar as something mankind needs
context: I hate this so much...\Now it's like we're the bad guys.\Are you returning to the Big Blue World?\I was originally sent here by people from above.\So that the company could control Generation Bleu.\Big Blue World is the largest PR company in the world.\If they say the Secrets are evil, the world will believe them.\That's how they marketed trapar as something mankind needs response:	Rebecca, I...
context: Now it's like we're the bad guys.\Are you returning to the Big Blue World?\I was originally sent here by people from above.\So that the company could control Generation Bleu.\Big Blue World is the largest PR company in the world.\If they say the Secrets are evil, the world will believe them.\That's how they marketed trapar as something mankind needs\Rebecca, I... response:	You know full well the burden I have to carry!
context: Are you returning to the Big Blue World?\I was originally sent here by people from above.\So that the company could control Generation Bleu.\Big Blue World is the largest PR company in the world.\If they say the Secrets are evil, the world will believe them.\That's how they marketed trapar as something mankind needs\Rebecca, I...\You know full well the burden I have to carry! response:	I can't throw it away so easily!
context: I was originally sent here by people from above.\So that the company could control Generation Bleu.\Big Blue World is the largest PR company in the world.\If they say the Secrets are evil, the world will believe them.\That's how they marketed trapar as something mankind needs\Rebecca, I...\You know full well the burden I have to carry!\I can't throw it away so easily! response:	This is the phone we can use.
context: So that the company could control Generation Bleu.\Big Blue World is the largest PR company in the world.\If they say the Secrets are evil, the world will believe them.\That's how they marketed trapar as something mankind needs\Rebecca, I...\You know full well the burden I have to carry!\I can't throw it away so easily!\This is the phone we can use. response:	We can restore the Triton's systems using Ao's phone.
context: Big Blue World is the largest PR company in the world.\If they say the Secrets are evil, the world will believe them.\That's how they marketed trapar as something mankind needs\Rebecca, I...\You know full well the burden I have to carry!\I can't throw it away so easily!\This is the phone we can use.\We can restore the Triton's systems using Ao's phone. response:	How long would that take for you?
context: If they say the Secrets are evil, the world will believe them.\That's how they marketed trapar as something mankind needs\Rebecca, I...\You know full well the burden I have to carry!\I can't throw it away so easily!\This is the phone we can use.\We can restore the Triton's systems using Ao's phone.\How long would that take for you? response:	Chief... I...
context: That's how they marketed trapar as something mankind needs\Rebecca, I...\You know full well the burden I have to carry!\I can't throw it away so easily!\This is the phone we can use.\We can restore the Triton's systems using Ao's phone.\How long would that take for you?\Chief... I... response:	The children chose the battlefield. I want to at least protect them until the very end.
context: Rebecca, I...\You know full well the burden I have to carry!\I can't throw it away so easily!\This is the phone we can use.\We can restore the Triton's systems using Ao's phone.\How long would that take for you?\Chief... I...\The children chose the battlefield. I want to at least protect them until the very end. response:	Could you lend me a hand?
context: You know full well the burden I have to carry!\I can't throw it away so easily!\This is the phone we can use.\We can restore the Triton's systems using Ao's phone.\How long would that take for you?\Chief... I...\The children chose the battlefield. I want to at least protect them until the very end.\Could you lend me a hand? response:	It's our responsibility.
context: I can't throw it away so easily!\This is the phone we can use.\We can restore the Triton's systems using Ao's phone.\How long would that take for you?\Chief... I...\The children chose the battlefield. I want to at least protect them until the very end.\Could you lend me a hand?\It's our responsibility. response:	You... need me?
context: This is the phone we can use.\We can restore the Triton's systems using Ao's phone.\How long would that take for you?\Chief... I...\The children chose the battlefield. I want to at least protect them until the very end.\Could you lend me a hand?\It's our responsibility.\You... need me? response:	Give me seven minutes.
context: We can restore the Triton's systems using Ao's phone.\How long would that take for you?\Chief... I...\The children chose the battlefield. I want to at least protect them until the very end.\Could you lend me a hand?\It's our responsibility.\You... need me?\Give me seven minutes. response:	Not half bad.
context: How long would that take for you?\Chief... I...\The children chose the battlefield. I want to at least protect them until the very end.\Could you lend me a hand?\It's our responsibility.\You... need me?\Give me seven minutes.\Not half bad. response:	What are you guys going to do?
context: Chief... I...\The children chose the battlefield. I want to at least protect them until the very end.\Could you lend me a hand?\It's our responsibility.\You... need me?\Give me seven minutes.\Not half bad.\What are you guys going to do? response:	The very least we can do is to watch over him.
context: The children chose the battlefield. I want to at least protect them until the very end.\Could you lend me a hand?\It's our responsibility.\You... need me?\Give me seven minutes.\Not half bad.\What are you guys going to do?\The very least we can do is to watch over him. response:	Do we have a response from Cristophe Blanc?
context: Could you lend me a hand?\It's our responsibility.\You... need me?\Give me seven minutes.\Not half bad.\What are you guys going to do?\The very least we can do is to watch over him.\Do we have a response from Cristophe Blanc? response:	No, sir.
context: It's our responsibility.\You... need me?\Give me seven minutes.\Not half bad.\What are you guys going to do?\The very least we can do is to watch over him.\Do we have a response from Cristophe Blanc?\No, sir. response:	Civilians and defectors have all been secured.
context: You... need me?\Give me seven minutes.\Not half bad.\What are you guys going to do?\The very least we can do is to watch over him.\Do we have a response from Cristophe Blanc?\No, sir.\Civilians and defectors have all been secured. response:	Even though there's a limit to how many people they can evacuate in such a short period of time...
context: Give me seven minutes.\Not half bad.\What are you guys going to do?\The very least we can do is to watch over him.\Do we have a response from Cristophe Blanc?\No, sir.\Civilians and defectors have all been secured.\Even though there's a limit to how many people they can evacuate in such a short period of time... response:	Commence attack!
context: Not half bad.\What are you guys going to do?\The very least we can do is to watch over him.\Do we have a response from Cristophe Blanc?\No, sir.\Civilians and defectors have all been secured.\Even though there's a limit to how many people they can evacuate in such a short period of time...\Commence attack! response:	Commence attack!
context: What are you guys going to do?\The very least we can do is to watch over him.\Do we have a response from Cristophe Blanc?\No, sir.\Civilians and defectors have all been secured.\Even though there's a limit to how many people they can evacuate in such a short period of time...\Commence attack!\Commence attack! response:	Technical director, do we have the cannon yet?!
context: The very least we can do is to watch over him.\Do we have a response from Cristophe Blanc?\No, sir.\Civilians and defectors have all been secured.\Even though there's a limit to how many people they can evacuate in such a short period of time...\Commence attack!\Commence attack!\Technical director, do we have the cannon yet?! response:	Of course not!
context: Do we have a response from Cristophe Blanc?\No, sir.\Civilians and defectors have all been secured.\Even though there's a limit to how many people they can evacuate in such a short period of time...\Commence attack!\Commence attack!\Technical director, do we have the cannon yet?!\Of course not! response:	He has to break through armored gates to get there!
context: No, sir.\Civilians and defectors have all been secured.\Even though there's a limit to how many people they can evacuate in such a short period of time...\Commence attack!\Commence attack!\Technical director, do we have the cannon yet?!\Of course not!\He has to break through armored gates to get there! response:	What's the status of the defense systems?
context: Civilians and defectors have all been secured.\Even though there's a limit to how many people they can evacuate in such a short period of time...\Commence attack!\Commence attack!\Technical director, do we have the cannon yet?!\Of course not!\He has to break through armored gates to get there!\What's the status of the defense systems? response:	They're booting up. But they won't be able to keep up with the Allied IFOs' speed.
