context: Asta, Noelle, and Magna encountered response:	a mysterious enemy when they arrived at Saussy Village.
context: Not only can you negate magic, you can repel it, as well.\But that is not enough to defeat me.\The blades of ice will come one after another.\Now, just try and protect them.\Damn it!\It's going to take everything Asta and I have to protect the villagers.\Not to mention, my powers are reaching their limit.\This turned out to be one hell of a first mission for those two! response:	This isn't good!
context: But that is not enough to defeat me.\The blades of ice will come one after another.\Now, just try and protect them.\Damn it!\It's going to take everything Asta and I have to protect the villagers.\Not to mention, my powers are reaching their limit.\This turned out to be one hell of a first mission for those two!\This isn't good! response:	But if I cut and run now, I'm not a real man!
context: The blades of ice will come one after another.\Now, just try and protect them.\Damn it!\It's going to take everything Asta and I have to protect the villagers.\Not to mention, my powers are reaching their limit.\This turned out to be one hell of a first mission for those two!\This isn't good!\But if I cut and run now, I'm not a real man! response:	It just so happens I'm a lowly commoner myself! I'll protect you!
context: Now, just try and protect them.\Damn it!\It's going to take everything Asta and I have to protect the villagers.\Not to mention, my powers are reaching their limit.\This turned out to be one hell of a first mission for those two!\This isn't good!\But if I cut and run now, I'm not a real man!\It just so happens I'm a lowly commoner myself! I'll protect you! response:	I'm... royalty.
context: Damn it!\It's going to take everything Asta and I have to protect the villagers.\Not to mention, my powers are reaching their limit.\This turned out to be one hell of a first mission for those two!\This isn't good!\But if I cut and run now, I'm not a real man!\It just so happens I'm a lowly commoner myself! I'll protect you!\I'm... royalty. response:	I have more magical power than anyone else here.
context: It's going to take everything Asta and I have to protect the villagers.\Not to mention, my powers are reaching their limit.\This turned out to be one hell of a first mission for those two!\This isn't good!\But if I cut and run now, I'm not a real man!\It just so happens I'm a lowly commoner myself! I'll protect you!\I'm... royalty.\I have more magical power than anyone else here. response:	Step back, Lady Noe!
context: Not to mention, my powers are reaching their limit.\This turned out to be one hell of a first mission for those two!\This isn't good!\But if I cut and run now, I'm not a real man!\It just so happens I'm a lowly commoner myself! I'll protect you!\I'm... royalty.\I have more magical power than anyone else here.\Step back, Lady Noe! response:	And yet I'm just holding them back!
context: This turned out to be one hell of a first mission for those two!\This isn't good!\But if I cut and run now, I'm not a real man!\It just so happens I'm a lowly commoner myself! I'll protect you!\I'm... royalty.\I have more magical power than anyone else here.\Step back, Lady Noe!\And yet I'm just holding them back! response:	Miss Magic Knight...
context: This isn't good!\But if I cut and run now, I'm not a real man!\It just so happens I'm a lowly commoner myself! I'll protect you!\I'm... royalty.\I have more magical power than anyone else here.\Step back, Lady Noe!\And yet I'm just holding them back!\Miss Magic Knight... response:	Save us!
context: But if I cut and run now, I'm not a real man!\It just so happens I'm a lowly commoner myself! I'll protect you!\I'm... royalty.\I have more magical power than anyone else here.\Step back, Lady Noe!\And yet I'm just holding them back!\Miss Magic Knight...\Save us! response:	This little girl is asking for help.
context: It just so happens I'm a lowly commoner myself! I'll protect you!\I'm... royalty.\I have more magical power than anyone else here.\Step back, Lady Noe!\And yet I'm just holding them back!\Miss Magic Knight...\Save us!\This little girl is asking for help. response:	I'm going to protect them!
context: I'm... royalty.\I have more magical power than anyone else here.\Step back, Lady Noe!\And yet I'm just holding them back!\Miss Magic Knight...\Save us!\This little girl is asking for help.\I'm going to protect them! response:	There's no way...
context: I have more magical power than anyone else here.\Step back, Lady Noe!\And yet I'm just holding them back!\Miss Magic Knight...\Save us!\This little girl is asking for help.\I'm going to protect them!\There's no way... response:	I can run now!
context: Step back, Lady Noe!\And yet I'm just holding them back!\Miss Magic Knight...\Save us!\This little girl is asking for help.\I'm going to protect them!\There's no way...\I can run now! response:	A new spell?
context: And yet I'm just holding them back!\Miss Magic Knight...\Save us!\This little girl is asking for help.\I'm going to protect them!\There's no way...\I can run now!\A new spell? response:	Water Creation Magic: Sea Dragon's Lair!
context: Miss Magic Knight...\Save us!\This little girl is asking for help.\I'm going to protect them!\There's no way...\I can run now!\A new spell?\Water Creation Magic: Sea Dragon's Lair! response:	As their owners mature, new spells are engraved into the grimoires.
context: Save us!\This little girl is asking for help.\I'm going to protect them!\There's no way...\I can run now!\A new spell?\Water Creation Magic: Sea Dragon's Lair!\As their owners mature, new spells are engraved into the grimoires. response:	Maturity can stem from the wizard's magical powers growing through training,
context: This little girl is asking for help.\I'm going to protect them!\There's no way...\I can run now!\A new spell?\Water Creation Magic: Sea Dragon's Lair!\As their owners mature, new spells are engraved into the grimoires.\Maturity can stem from the wizard's magical powers growing through training, response:	or improving the creativity of their magical powers.
context: I'm going to protect them!\There's no way...\I can run now!\A new spell?\Water Creation Magic: Sea Dragon's Lair!\As their owners mature, new spells are engraved into the grimoires.\Maturity can stem from the wizard's magical powers growing through training,\or improving the creativity of their magical powers. response:	But sometimes, it can come from a rise or change
context: There's no way...\I can run now!\A new spell?\Water Creation Magic: Sea Dragon's Lair!\As their owners mature, new spells are engraved into the grimoires.\Maturity can stem from the wizard's magical powers growing through training,\or improving the creativity of their magical powers.\But sometimes, it can come from a rise or change response:	in their emotional state, or gaining new resolve.
context: I can run now!\A new spell?\Water Creation Magic: Sea Dragon's Lair!\As their owners mature, new spells are engraved into the grimoires.\Maturity can stem from the wizard's magical powers growing through training,\or improving the creativity of their magical powers.\But sometimes, it can come from a rise or change\in their emotional state, or gaining new resolve. response:	I'll protect them! I'm royalty,
context: A new spell?\Water Creation Magic: Sea Dragon's Lair!\As their owners mature, new spells are engraved into the grimoires.\Maturity can stem from the wizard's magical powers growing through training,\or improving the creativity of their magical powers.\But sometimes, it can come from a rise or change\in their emotional state, or gaining new resolve.\I'll protect them! I'm royalty, response:	and a member of the Black Bulls!
context: Water Creation Magic: Sea Dragon's Lair!\As their owners mature, new spells are engraved into the grimoires.\Maturity can stem from the wizard's magical powers growing through training,\or improving the creativity of their magical powers.\But sometimes, it can come from a rise or change\in their emotional state, or gaining new resolve.\I'll protect them! I'm royalty,\and a member of the Black Bulls! response:	Those Who Protect
context: As their owners mature, new spells are engraved into the grimoires.\Maturity can stem from the wizard's magical powers growing through training,\or improving the creativity of their magical powers.\But sometimes, it can come from a rise or change\in their emotional state, or gaining new resolve.\I'll protect them! I'm royalty,\and a member of the Black Bulls!\Those Who Protect response:	Grey words can't make anything happen
context: Maturity can stem from the wizard's magical powers growing through training,\or improving the creativity of their magical powers.\But sometimes, it can come from a rise or change\in their emotional state, or gaining new resolve.\I'll protect them! I'm royalty,\and a member of the Black Bulls!\Those Who Protect\Grey words can't make anything happen response:	I know, yeah I know
context: or improving the creativity of their magical powers.\But sometimes, it can come from a rise or change\in their emotional state, or gaining new resolve.\I'll protect them! I'm royalty,\and a member of the Black Bulls!\Those Who Protect\Grey words can't make anything happen\I know, yeah I know response:	Wishing to fly freely across the sky
context: But sometimes, it can come from a rise or change\in their emotional state, or gaining new resolve.\I'll protect them! I'm royalty,\and a member of the Black Bulls!\Those Who Protect\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky response:	I dreamed it all my life
context: in their emotional state, or gaining new resolve.\I'll protect them! I'm royalty,\and a member of the Black Bulls!\Those Who Protect\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life response:	Step by step I go, though it's a doubtful world
context: I'll protect them! I'm royalty,\and a member of the Black Bulls!\Those Who Protect\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world response:	Don't care how much I fall
context: and a member of the Black Bulls!\Those Who Protect\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall response:	Instinct is my guide, I never give up
context: Those Who Protect\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up response:	To faraway future, I burst out running
context: Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running response:	Go beyond even the unseen fears
context: I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears response:	The vision I had, so I can be myself
context: Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself response:	Someday I will write the next page
context: I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page response:	You are my hope
context: Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope response:	Like that page from someday
context: Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday response:	I was able to meet you
context: Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you response:	I call this a miracle
context: To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle response:	Miss...
context: Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\Miss... response:	W-Well, I guess you're not so tough after all.
context: The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\Miss...\W-Well, I guess you're not so tough after all. response:	Look at that power!
context: Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\Miss...\W-Well, I guess you're not so tough after all.\Look at that power! response:	Hey, Lady Noe! What'd I tell you? You can do it if you try!
context: You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\Miss...\W-Well, I guess you're not so tough after all.\Look at that power!\Hey, Lady Noe! What'd I tell you? You can do it if you try! response:	What? What is this magical power?
context: Like that page from someday\I was able to meet you\I call this a miracle\Miss...\W-Well, I guess you're not so tough after all.\Look at that power!\Hey, Lady Noe! What'd I tell you? You can do it if you try!\What? What is this magical power? response:	The beast had been waiting for his chance to fight back.
context: I was able to meet you\I call this a miracle\Miss...\W-Well, I guess you're not so tough after all.\Look at that power!\Hey, Lady Noe! What'd I tell you? You can do it if you try!\What? What is this magical power?\The beast had been waiting for his chance to fight back. response:	For the moment when he could sink his teeth
context: I call this a miracle\Miss...\W-Well, I guess you're not so tough after all.\Look at that power!\Hey, Lady Noe! What'd I tell you? You can do it if you try!\What? What is this magical power?\The beast had been waiting for his chance to fight back.\For the moment when he could sink his teeth response:	into his prey's throat.
context: Miss...\W-Well, I guess you're not so tough after all.\Look at that power!\Hey, Lady Noe! What'd I tell you? You can do it if you try!\What? What is this magical power?\The beast had been waiting for his chance to fight back.\For the moment when he could sink his teeth\into his prey's throat. response:	The three of you
context: W-Well, I guess you're not so tough after all.\Look at that power!\Hey, Lady Noe! What'd I tell you? You can do it if you try!\What? What is this magical power?\The beast had been waiting for his chance to fight back.\For the moment when he could sink his teeth\into his prey's throat.\The three of you response:	also had enough magical power to join the Magic Knights, did you not?
context: Look at that power!\Hey, Lady Noe! What'd I tell you? You can do it if you try!\What? What is this magical power?\The beast had been waiting for his chance to fight back.\For the moment when he could sink his teeth\into his prey's throat.\The three of you\also had enough magical power to join the Magic Knights, did you not? response:	I don't have any magical powers!
context: Hey, Lady Noe! What'd I tell you? You can do it if you try!\What? What is this magical power?\The beast had been waiting for his chance to fight back.\For the moment when he could sink his teeth\into his prey's throat.\The three of you\also had enough magical power to join the Magic Knights, did you not?\I don't have any magical powers! response:	But I'm going to kick your ass!
context: What? What is this magical power?\The beast had been waiting for his chance to fight back.\For the moment when he could sink his teeth\into his prey's throat.\The three of you\also had enough magical power to join the Magic Knights, did you not?\I don't have any magical powers!\But I'm going to kick your ass! response:	Lord Heath!
context: The beast had been waiting for his chance to fight back.\For the moment when he could sink his teeth\into his prey's throat.\The three of you\also had enough magical power to join the Magic Knights, did you not?\I don't have any magical powers!\But I'm going to kick your ass!\Lord Heath! response:	Stupidsta!
context: For the moment when he could sink his teeth\into his prey's throat.\The three of you\also had enough magical power to join the Magic Knights, did you not?\I don't have any magical powers!\But I'm going to kick your ass!\Lord Heath!\Stupidsta! response:	He... He did it?
context: into his prey's throat.\The three of you\also had enough magical power to join the Magic Knights, did you not?\I don't have any magical powers!\But I'm going to kick your ass!\Lord Heath!\Stupidsta!\He... He did it? response:	He broke my momentum by making me slip on a patch of ice?
context: The three of you\also had enough magical power to join the Magic Knights, did you not?\I don't have any magical powers!\But I'm going to kick your ass!\Lord Heath!\Stupidsta!\He... He did it?\He broke my momentum by making me slip on a patch of ice? response:	Though your sword can negate magic,
context: also had enough magical power to join the Magic Knights, did you not?\I don't have any magical powers!\But I'm going to kick your ass!\Lord Heath!\Stupidsta!\He... He did it?\He broke my momentum by making me slip on a patch of ice?\Though your sword can negate magic, response:	it appears that you're just a normal human after all.
context: I don't have any magical powers!\But I'm going to kick your ass!\Lord Heath!\Stupidsta!\He... He did it?\He broke my momentum by making me slip on a patch of ice?\Though your sword can negate magic,\it appears that you're just a normal human after all. response:	Now it's my turn.
context: But I'm going to kick your ass!\Lord Heath!\Stupidsta!\He... He did it?\He broke my momentum by making me slip on a patch of ice?\Though your sword can negate magic,\it appears that you're just a normal human after all.\Now it's my turn. response:	May you sleep... for eternity.
context: Lord Heath!\Stupidsta!\He... He did it?\He broke my momentum by making me slip on a patch of ice?\Though your sword can negate magic,\it appears that you're just a normal human after all.\Now it's my turn.\May you sleep... for eternity. response:	A-Asta!
context: Stupidsta!\He... He did it?\He broke my momentum by making me slip on a patch of ice?\Though your sword can negate magic,\it appears that you're just a normal human after all.\Now it's my turn.\May you sleep... for eternity.\A-Asta! response:	That spell possesses immense magical power.
context: He... He did it?\He broke my momentum by making me slip on a patch of ice?\Though your sword can negate magic,\it appears that you're just a normal human after all.\Now it's my turn.\May you sleep... for eternity.\A-Asta!\That spell possesses immense magical power. response:	But it's only a matter of time.
context: He broke my momentum by making me slip on a patch of ice?\Though your sword can negate magic,\it appears that you're just a normal human after all.\Now it's my turn.\May you sleep... for eternity.\A-Asta!\That spell possesses immense magical power.\But it's only a matter of time. response:	I should be able to create an entrance big enough for one person.
context: Though your sword can negate magic,\it appears that you're just a normal human after all.\Now it's my turn.\May you sleep... for eternity.\A-Asta!\That spell possesses immense magical power.\But it's only a matter of time.\I should be able to create an entrance big enough for one person. response:	It should take about 25 seconds.
context: it appears that you're just a normal human after all.\Now it's my turn.\May you sleep... for eternity.\A-Asta!\That spell possesses immense magical power.\But it's only a matter of time.\I should be able to create an entrance big enough for one person.\It should take about 25 seconds. response:	You lot seem to greatly enjoy wasting my time.
context: Now it's my turn.\May you sleep... for eternity.\A-Asta!\That spell possesses immense magical power.\But it's only a matter of time.\I should be able to create an entrance big enough for one person.\It should take about 25 seconds.\You lot seem to greatly enjoy wasting my time. response:	You will pay a heavy price for that.
context: May you sleep... for eternity.\A-Asta!\That spell possesses immense magical power.\But it's only a matter of time.\I should be able to create an entrance big enough for one person.\It should take about 25 seconds.\You lot seem to greatly enjoy wasting my time.\You will pay a heavy price for that. response:	I don't have much power left, but I have to fight.
context: A-Asta!\That spell possesses immense magical power.\But it's only a matter of time.\I should be able to create an entrance big enough for one person.\It should take about 25 seconds.\You lot seem to greatly enjoy wasting my time.\You will pay a heavy price for that.\I don't have much power left, but I have to fight. response:	Fire and ice. In terms of magical attributes, I have the upper hand.
context: That spell possesses immense magical power.\But it's only a matter of time.\I should be able to create an entrance big enough for one person.\It should take about 25 seconds.\You lot seem to greatly enjoy wasting my time.\You will pay a heavy price for that.\I don't have much power left, but I have to fight.\Fire and ice. In terms of magical attributes, I have the upper hand. response:	But he has enough magical power to turn that advantage around.
context: But it's only a matter of time.\I should be able to create an entrance big enough for one person.\It should take about 25 seconds.\You lot seem to greatly enjoy wasting my time.\You will pay a heavy price for that.\I don't have much power left, but I have to fight.\Fire and ice. In terms of magical attributes, I have the upper hand.\But he has enough magical power to turn that advantage around. response:	He's just too strong.
context: I should be able to create an entrance big enough for one person.\It should take about 25 seconds.\You lot seem to greatly enjoy wasting my time.\You will pay a heavy price for that.\I don't have much power left, but I have to fight.\Fire and ice. In terms of magical attributes, I have the upper hand.\But he has enough magical power to turn that advantage around.\He's just too strong. response:	Sorry, Mister Yami.
context: It should take about 25 seconds.\You lot seem to greatly enjoy wasting my time.\You will pay a heavy price for that.\I don't have much power left, but I have to fight.\Fire and ice. In terms of magical attributes, I have the upper hand.\But he has enough magical power to turn that advantage around.\He's just too strong.\Sorry, Mister Yami. response:	I don't think I'm going to win against...
context: You lot seem to greatly enjoy wasting my time.\You will pay a heavy price for that.\I don't have much power left, but I have to fight.\Fire and ice. In terms of magical attributes, I have the upper hand.\But he has enough magical power to turn that advantage around.\He's just too strong.\Sorry, Mister Yami.\I don't think I'm going to win against... response:	I'm not done yet!
context: You will pay a heavy price for that.\I don't have much power left, but I have to fight.\Fire and ice. In terms of magical attributes, I have the upper hand.\But he has enough magical power to turn that advantage around.\He's just too strong.\Sorry, Mister Yami.\I don't think I'm going to win against...\I'm not done yet! response:	Too slow!
context: I don't have much power left, but I have to fight.\Fire and ice. In terms of magical attributes, I have the upper hand.\But he has enough magical power to turn that advantage around.\He's just too strong.\Sorry, Mister Yami.\I don't think I'm going to win against...\I'm not done yet!\Too slow! response:	Asta!
context: Fire and ice. In terms of magical attributes, I have the upper hand.\But he has enough magical power to turn that advantage around.\He's just too strong.\Sorry, Mister Yami.\I don't think I'm going to win against...\I'm not done yet!\Too slow!\Asta! response:	I'm surprised you're still alive.
context: But he has enough magical power to turn that advantage around.\He's just too strong.\Sorry, Mister Yami.\I don't think I'm going to win against...\I'm not done yet!\Too slow!\Asta!\I'm surprised you're still alive. response:	You're quite resilient. However...
context: He's just too strong.\Sorry, Mister Yami.\I don't think I'm going to win against...\I'm not done yet!\Too slow!\Asta!\I'm surprised you're still alive.\You're quite resilient. However... response:	You won't be able to swing that sword with those wounds.
context: Sorry, Mister Yami.\I don't think I'm going to win against...\I'm not done yet!\Too slow!\Asta!\I'm surprised you're still alive.\You're quite resilient. However...\You won't be able to swing that sword with those wounds. response:	Not yet!
context: I don't think I'm going to win against...\I'm not done yet!\Too slow!\Asta!\I'm surprised you're still alive.\You're quite resilient. However...\You won't be able to swing that sword with those wounds.\Not yet! response:	You're no wild boar.
context: I'm not done yet!\Too slow!\Asta!\I'm surprised you're still alive.\You're quite resilient. However...\You won't be able to swing that sword with those wounds.\Not yet!\You're no wild boar. response:	I'm not done yet!
context: Too slow!\Asta!\I'm surprised you're still alive.\You're quite resilient. However...\You won't be able to swing that sword with those wounds.\Not yet!\You're no wild boar.\I'm not done yet! response:	Stop. Don't make me waste any more time.
context: Asta!\I'm surprised you're still alive.\You're quite resilient. However...\You won't be able to swing that sword with those wounds.\Not yet!\You're no wild boar.\I'm not done yet!\Stop. Don't make me waste any more time. response:	That's amazing, Magna!
context: I'm surprised you're still alive.\You're quite resilient. However...\You won't be able to swing that sword with those wounds.\Not yet!\You're no wild boar.\I'm not done yet!\Stop. Don't make me waste any more time.\That's amazing, Magna! response:	To think that someone from Rayaka would end up being a Magic Knight!
context: You're quite resilient. However...\You won't be able to swing that sword with those wounds.\Not yet!\You're no wild boar.\I'm not done yet!\Stop. Don't make me waste any more time.\That's amazing, Magna!\To think that someone from Rayaka would end up being a Magic Knight! response:	You're the pride of our village!
context: You won't be able to swing that sword with those wounds.\Not yet!\You're no wild boar.\I'm not done yet!\Stop. Don't make me waste any more time.\That's amazing, Magna!\To think that someone from Rayaka would end up being a Magic Knight!\You're the pride of our village! response:	Let's lift him up!
context: Not yet!\You're no wild boar.\I'm not done yet!\Stop. Don't make me waste any more time.\That's amazing, Magna!\To think that someone from Rayaka would end up being a Magic Knight!\You're the pride of our village!\Let's lift him up! response:	Magna!
context: You're no wild boar.\I'm not done yet!\Stop. Don't make me waste any more time.\That's amazing, Magna!\To think that someone from Rayaka would end up being a Magic Knight!\You're the pride of our village!\Let's lift him up!\Magna! response:	Magna!
context: I'm not done yet!\Stop. Don't make me waste any more time.\That's amazing, Magna!\To think that someone from Rayaka would end up being a Magic Knight!\You're the pride of our village!\Let's lift him up!\Magna!\Magna! response:	Magna!
context: Stop. Don't make me waste any more time.\That's amazing, Magna!\To think that someone from Rayaka would end up being a Magic Knight!\You're the pride of our village!\Let's lift him up!\Magna!\Magna!\Magna! response:	I see. That's wonderful. Good, good.
context: That's amazing, Magna!\To think that someone from Rayaka would end up being a Magic Knight!\You're the pride of our village!\Let's lift him up!\Magna!\Magna!\Magna!\I see. That's wonderful. Good, good. response:	Well done, Magna.
context: To think that someone from Rayaka would end up being a Magic Knight!\You're the pride of our village!\Let's lift him up!\Magna!\Magna!\Magna!\I see. That's wonderful. Good, good.\Well done, Magna. response:	Yeah.
context: You're the pride of our village!\Let's lift him up!\Magna!\Magna!\Magna!\I see. That's wonderful. Good, good.\Well done, Magna.\Yeah. response:	Now you're more than just a delinquent.
context: Let's lift him up!\Magna!\Magna!\Magna!\I see. That's wonderful. Good, good.\Well done, Magna.\Yeah.\Now you're more than just a delinquent. response:	Huh?
context: Magna!\Magna!\Magna!\I see. That's wonderful. Good, good.\Well done, Magna.\Yeah.\Now you're more than just a delinquent.\Huh? response:	This is from me.
context: Magna!\Magna!\I see. That's wonderful. Good, good.\Well done, Magna.\Yeah.\Now you're more than just a delinquent.\Huh?\This is from me. response:	Old Man...
context: Magna!\I see. That's wonderful. Good, good.\Well done, Magna.\Yeah.\Now you're more than just a delinquent.\Huh?\This is from me.\Old Man... response:	Well?
context: I see. That's wonderful. Good, good.\Well done, Magna.\Yeah.\Now you're more than just a delinquent.\Huh?\This is from me.\Old Man...\Well? response:	It looks good on you. Become the best man you can.
context: Well done, Magna.\Yeah.\Now you're more than just a delinquent.\Huh?\This is from me.\Old Man...\Well?\It looks good on you. Become the best man you can. response:	Yeah!
context: Yeah.\Now you're more than just a delinquent.\Huh?\This is from me.\Old Man...\Well?\It looks good on you. Become the best man you can.\Yeah! response:	I'm not going to give up until the end.
context: Now you're more than just a delinquent.\Huh?\This is from me.\Old Man...\Well?\It looks good on you. Become the best man you can.\Yeah!\I'm not going to give up until the end. response:	What good would it do if I gave up?
context: Huh?\This is from me.\Old Man...\Well?\It looks good on you. Become the best man you can.\Yeah!\I'm not going to give up until the end.\What good would it do if I gave up? response:	This spell... It's probably a lot easier to get outside than in, right?
context: This is from me.\Old Man...\Well?\It looks good on you. Become the best man you can.\Yeah!\I'm not going to give up until the end.\What good would it do if I gave up?\This spell... It's probably a lot easier to get outside than in, right? response:	Uh... Yes, I think so.
context: Old Man...\Well?\It looks good on you. Become the best man you can.\Yeah!\I'm not going to give up until the end.\What good would it do if I gave up?\This spell... It's probably a lot easier to get outside than in, right?\Uh... Yes, I think so. response:	I'm leaving the villagers to you, Lady Noe!
context: Well?\It looks good on you. Become the best man you can.\Yeah!\I'm not going to give up until the end.\What good would it do if I gave up?\This spell... It's probably a lot easier to get outside than in, right?\Uh... Yes, I think so.\I'm leaving the villagers to you, Lady Noe! response:	H-Hey!
context: It looks good on you. Become the best man you can.\Yeah!\I'm not going to give up until the end.\What good would it do if I gave up?\This spell... It's probably a lot easier to get outside than in, right?\Uh... Yes, I think so.\I'm leaving the villagers to you, Lady Noe!\H-Hey! response:	You have no chance of winning. Why won't you give up?
context: Yeah!\I'm not going to give up until the end.\What good would it do if I gave up?\This spell... It's probably a lot easier to get outside than in, right?\Uh... Yes, I think so.\I'm leaving the villagers to you, Lady Noe!\H-Hey!\You have no chance of winning. Why won't you give up? response:	If I give up, who's going to protect them?
context: I'm not going to give up until the end.\What good would it do if I gave up?\This spell... It's probably a lot easier to get outside than in, right?\Uh... Yes, I think so.\I'm leaving the villagers to you, Lady Noe!\H-Hey!\You have no chance of winning. Why won't you give up?\If I give up, who's going to protect them? response:	I've realized something.
context: What good would it do if I gave up?\This spell... It's probably a lot easier to get outside than in, right?\Uh... Yes, I think so.\I'm leaving the villagers to you, Lady Noe!\H-Hey!\You have no chance of winning. Why won't you give up?\If I give up, who's going to protect them?\I've realized something. response:	It's not just because of our promise.
context: This spell... It's probably a lot easier to get outside than in, right?\Uh... Yes, I think so.\I'm leaving the villagers to you, Lady Noe!\H-Hey!\You have no chance of winning. Why won't you give up?\If I give up, who's going to protect them?\I've realized something.\It's not just because of our promise. response:	I'm going to become the Wizard King
context: Uh... Yes, I think so.\I'm leaving the villagers to you, Lady Noe!\H-Hey!\You have no chance of winning. Why won't you give up?\If I give up, who's going to protect them?\I've realized something.\It's not just because of our promise.\I'm going to become the Wizard King response:	so I can protect everyone!
context: I'm leaving the villagers to you, Lady Noe!\H-Hey!\You have no chance of winning. Why won't you give up?\If I give up, who's going to protect them?\I've realized something.\It's not just because of our promise.\I'm going to become the Wizard King\so I can protect everyone! response:	The Wizard King? What a foolish dream.
