context: Sorry to change the subject, but... response:	By the way, do you all have plans for winter vacation?
context: But a serious military confrontation would've been too risky for them.\So they signed an agreement to distribute the profits.\And then they thought they might as well create a playground for themselves,\and resurrected the country that existed there before... Lieseltania.\In other words, a puppet state?\To put it bluntly, yes.\That's why my country is under their tight control in every way.\Yes, we do receive some financial benefits, but as for the rest... response:	So many people are suffering from the disparity.
context: So they signed an agreement to distribute the profits.\And then they thought they might as well create a playground for themselves,\and resurrected the country that existed there before... Lieseltania.\In other words, a puppet state?\To put it bluntly, yes.\That's why my country is under their tight control in every way.\Yes, we do receive some financial benefits, but as for the rest...\So many people are suffering from the disparity. response:	I want to change this country.
context: And then they thought they might as well create a playground for themselves,\and resurrected the country that existed there before... Lieseltania.\In other words, a puppet state?\To put it bluntly, yes.\That's why my country is under their tight control in every way.\Yes, we do receive some financial benefits, but as for the rest...\So many people are suffering from the disparity.\I want to change this country. response:	I'm very sorry,
context: and resurrected the country that existed there before... Lieseltania.\In other words, a puppet state?\To put it bluntly, yes.\That's why my country is under their tight control in every way.\Yes, we do receive some financial benefits, but as for the rest...\So many people are suffering from the disparity.\I want to change this country.\I'm very sorry, response:	but I cannot concede no matter what.
context: In other words, a puppet state?\To put it bluntly, yes.\That's why my country is under their tight control in every way.\Yes, we do receive some financial benefits, but as for the rest...\So many people are suffering from the disparity.\I want to change this country.\I'm very sorry,\but I cannot concede no matter what. response:	Yes... Of course, I'm entirely aware.
context: To put it bluntly, yes.\That's why my country is under their tight control in every way.\Yes, we do receive some financial benefits, but as for the rest...\So many people are suffering from the disparity.\I want to change this country.\I'm very sorry,\but I cannot concede no matter what.\Yes... Of course, I'm entirely aware. response:	Goodbye.
context: That's why my country is under their tight control in every way.\Yes, we do receive some financial benefits, but as for the rest...\So many people are suffering from the disparity.\I want to change this country.\I'm very sorry,\but I cannot concede no matter what.\Yes... Of course, I'm entirely aware.\Goodbye. response:	Yes? Come in.
context: Yes, we do receive some financial benefits, but as for the rest...\So many people are suffering from the disparity.\I want to change this country.\I'm very sorry,\but I cannot concede no matter what.\Yes... Of course, I'm entirely aware.\Goodbye.\Yes? Come in. response:	Um, Mr. Amagiri...
context: So many people are suffering from the disparity.\I want to change this country.\I'm very sorry,\but I cannot concede no matter what.\Yes... Of course, I'm entirely aware.\Goodbye.\Yes? Come in.\Um, Mr. Amagiri... response:	What's wrong, Flora?
context: I want to change this country.\I'm very sorry,\but I cannot concede no matter what.\Yes... Of course, I'm entirely aware.\Goodbye.\Yes? Come in.\Um, Mr. Amagiri...\What's wrong, Flora? response:	Um, it's almost time for dinner,
context: I'm very sorry,\but I cannot concede no matter what.\Yes... Of course, I'm entirely aware.\Goodbye.\Yes? Come in.\Um, Mr. Amagiri...\What's wrong, Flora?\Um, it's almost time for dinner, response:	but Lady Sasamiya isn't in her room.
context: but I cannot concede no matter what.\Yes... Of course, I'm entirely aware.\Goodbye.\Yes? Come in.\Um, Mr. Amagiri...\What's wrong, Flora?\Um, it's almost time for dinner,\but Lady Sasamiya isn't in her room. response:	Saya's directionally-challenged, so she might be lost.
context: Yes... Of course, I'm entirely aware.\Goodbye.\Yes? Come in.\Um, Mr. Amagiri...\What's wrong, Flora?\Um, it's almost time for dinner,\but Lady Sasamiya isn't in her room.\Saya's directionally-challenged, so she might be lost. response:	All right! I think I have a good idea where she might be,
context: Goodbye.\Yes? Come in.\Um, Mr. Amagiri...\What's wrong, Flora?\Um, it's almost time for dinner,\but Lady Sasamiya isn't in her room.\Saya's directionally-challenged, so she might be lost.\All right! I think I have a good idea where she might be, response:	so I'll help you look for her.
context: Yes? Come in.\Um, Mr. Amagiri...\What's wrong, Flora?\Um, it's almost time for dinner,\but Lady Sasamiya isn't in her room.\Saya's directionally-challenged, so she might be lost.\All right! I think I have a good idea where she might be,\so I'll help you look for her. response:	Saya, I hear that dinner's ready!
context: Um, Mr. Amagiri...\What's wrong, Flora?\Um, it's almost time for dinner,\but Lady Sasamiya isn't in her room.\Saya's directionally-challenged, so she might be lost.\All right! I think I have a good idea where she might be,\so I'll help you look for her.\Saya, I hear that dinner's ready! response:	Ayato...
context: What's wrong, Flora?\Um, it's almost time for dinner,\but Lady Sasamiya isn't in her room.\Saya's directionally-challenged, so she might be lost.\All right! I think I have a good idea where she might be,\so I'll help you look for her.\Saya, I hear that dinner's ready!\Ayato... response:	Saya?
context: Um, it's almost time for dinner,\but Lady Sasamiya isn't in her room.\Saya's directionally-challenged, so she might be lost.\All right! I think I have a good idea where she might be,\so I'll help you look for her.\Saya, I hear that dinner's ready!\Ayato...\Saya? response:	Ayato...
context: but Lady Sasamiya isn't in her room.\Saya's directionally-challenged, so she might be lost.\All right! I think I have a good idea where she might be,\so I'll help you look for her.\Saya, I hear that dinner's ready!\Ayato...\Saya?\Ayato... response:	I've always...
context: Saya's directionally-challenged, so she might be lost.\All right! I think I have a good idea where she might be,\so I'll help you look for her.\Saya, I hear that dinner's ready!\Ayato...\Saya?\Ayato...\I've always... response:	always wanted to tell you I'm sorry.
context: All right! I think I have a good idea where she might be,\so I'll help you look for her.\Saya, I hear that dinner's ready!\Ayato...\Saya?\Ayato...\I've always...\always wanted to tell you I'm sorry. response:	Sorry... for what, exactly?
context: so I'll help you look for her.\Saya, I hear that dinner's ready!\Ayato...\Saya?\Ayato...\I've always...\always wanted to tell you I'm sorry.\Sorry... for what, exactly? response:	After I moved away, you and I kept in touch. Remember?
context: Saya, I hear that dinner's ready!\Ayato...\Saya?\Ayato...\I've always...\always wanted to tell you I'm sorry.\Sorry... for what, exactly?\After I moved away, you and I kept in touch. Remember? response:	Sure.
context: Ayato...\Saya?\Ayato...\I've always...\always wanted to tell you I'm sorry.\Sorry... for what, exactly?\After I moved away, you and I kept in touch. Remember?\Sure. response:	But then it got too painful for me, and I was the one who stopped.
context: Saya?\Ayato...\I've always...\always wanted to tell you I'm sorry.\Sorry... for what, exactly?\After I moved away, you and I kept in touch. Remember?\Sure.\But then it got too painful for me, and I was the one who stopped. response:	Huh? Is that what happened?
context: Ayato...\I've always...\always wanted to tell you I'm sorry.\Sorry... for what, exactly?\After I moved away, you and I kept in touch. Remember?\Sure.\But then it got too painful for me, and I was the one who stopped.\Huh? Is that what happened? response:	Because... Before, we used to play together everyday,
context: I've always...\always wanted to tell you I'm sorry.\Sorry... for what, exactly?\After I moved away, you and I kept in touch. Remember?\Sure.\But then it got too painful for me, and I was the one who stopped.\Huh? Is that what happened?\Because... Before, we used to play together everyday, response:	but after I moved, I could only talk to you.
context: always wanted to tell you I'm sorry.\Sorry... for what, exactly?\After I moved away, you and I kept in touch. Remember?\Sure.\But then it got too painful for me, and I was the one who stopped.\Huh? Is that what happened?\Because... Before, we used to play together everyday,\but after I moved, I could only talk to you. response:	And only for a really short time.
context: Sorry... for what, exactly?\After I moved away, you and I kept in touch. Remember?\Sure.\But then it got too painful for me, and I was the one who stopped.\Huh? Is that what happened?\Because... Before, we used to play together everyday,\but after I moved, I could only talk to you.\And only for a really short time. response:	At first, that was what I looked forward to,
