context: Oh, no! Jellal's been brought back to life! response:	But...
context: Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell! response:	The Worth Woodsea.
context: ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\The Worth Woodsea. response:	Deep inside it, there is a single man.
context: Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\The Worth Woodsea.\Deep inside it, there is a single man. response:	You okay, Happy?
context: I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\The Worth Woodsea.\Deep inside it, there is a single man.\You okay, Happy? response:	Natsu, where are we?
context: Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\The Worth Woodsea.\Deep inside it, there is a single man.\You okay, Happy?\Natsu, where are we? response:	Don't talk. Just rest there a little while.
context: Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\The Worth Woodsea.\Deep inside it, there is a single man.\You okay, Happy?\Natsu, where are we?\Don't talk. Just rest there a little while. response:	But, Jellal...
context: You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\The Worth Woodsea.\Deep inside it, there is a single man.\You okay, Happy?\Natsu, where are we?\Don't talk. Just rest there a little while.\But, Jellal... response:	Jellal...
context: Now, let's cast a smile spell!\The Worth Woodsea.\Deep inside it, there is a single man.\You okay, Happy?\Natsu, where are we?\Don't talk. Just rest there a little while.\But, Jellal...\Jellal... response:	That bastard! Why the hell is he here?
context: The Worth Woodsea.\Deep inside it, there is a single man.\You okay, Happy?\Natsu, where are we?\Don't talk. Just rest there a little while.\But, Jellal...\Jellal...\That bastard! Why the hell is he here? response:	Natsu-kun!
context: Deep inside it, there is a single man.\You okay, Happy?\Natsu, where are we?\Don't talk. Just rest there a little while.\But, Jellal...\Jellal...\That bastard! Why the hell is he here?\Natsu-kun! response:	What's wrong, Natsu?
context: You okay, Happy?\Natsu, where are we?\Don't talk. Just rest there a little while.\But, Jellal...\Jellal...\That bastard! Why the hell is he here?\Natsu-kun!\What's wrong, Natsu? response:	Can you hear me?
context: Natsu, where are we?\Don't talk. Just rest there a little while.\But, Jellal...\Jellal...\That bastard! Why the hell is he here?\Natsu-kun!\What's wrong, Natsu?\Can you hear me? response:	That voice...
context: Don't talk. Just rest there a little while.\But, Jellal...\Jellal...\That bastard! Why the hell is he here?\Natsu-kun!\What's wrong, Natsu?\Can you hear me?\That voice... response:	Dead Grand Prix!
context: But, Jellal...\Jellal...\That bastard! Why the hell is he here?\Natsu-kun!\What's wrong, Natsu?\Can you hear me?\That voice...\Dead Grand Prix! response:	Natsu-kun, can you hear me?
context: Jellal...\That bastard! Why the hell is he here?\Natsu-kun!\What's wrong, Natsu?\Can you hear me?\That voice...\Dead Grand Prix!\Natsu-kun, can you hear me? response:	Who are you?
context: That bastard! Why the hell is he here?\Natsu-kun!\What's wrong, Natsu?\Can you hear me?\That voice...\Dead Grand Prix!\Natsu-kun, can you hear me?\Who are you? response:	It's me. Hibiki, from Blue Pegasus.
context: Natsu-kun!\What's wrong, Natsu?\Can you hear me?\That voice...\Dead Grand Prix!\Natsu-kun, can you hear me?\Who are you?\It's me. Hibiki, from Blue Pegasus. response:	Thank goodness. I was getting worried after not being able to contact anyone.
context: What's wrong, Natsu?\Can you hear me?\That voice...\Dead Grand Prix!\Natsu-kun, can you hear me?\Who are you?\It's me. Hibiki, from Blue Pegasus.\Thank goodness. I was getting worried after not being able to contact anyone. response:	Oh! Where are you?
context: Can you hear me?\That voice...\Dead Grand Prix!\Natsu-kun, can you hear me?\Who are you?\It's me. Hibiki, from Blue Pegasus.\Thank goodness. I was getting worried after not being able to contact anyone.\Oh! Where are you? response:	Not so loud. One of the enemy has very good hearing.
context: That voice...\Dead Grand Prix!\Natsu-kun, can you hear me?\Who are you?\It's me. Hibiki, from Blue Pegasus.\Thank goodness. I was getting worried after not being able to contact anyone.\Oh! Where are you?\Not so loud. One of the enemy has very good hearing. response:	It's possible he could intercept our conversation.
context: Dead Grand Prix!\Natsu-kun, can you hear me?\Who are you?\It's me. Hibiki, from Blue Pegasus.\Thank goodness. I was getting worried after not being able to contact anyone.\Oh! Where are you?\Not so loud. One of the enemy has very good hearing.\It's possible he could intercept our conversation. response:	That's why I'm speaking directly into your mind.
context: Natsu-kun, can you hear me?\Who are you?\It's me. Hibiki, from Blue Pegasus.\Thank goodness. I was getting worried after not being able to contact anyone.\Oh! Where are you?\Not so loud. One of the enemy has very good hearing.\It's possible he could intercept our conversation.\That's why I'm speaking directly into your mind. response:	So, how are Wendy-chan and the cat?
context: Who are you?\It's me. Hibiki, from Blue Pegasus.\Thank goodness. I was getting worried after not being able to contact anyone.\Oh! Where are you?\Not so loud. One of the enemy has very good hearing.\It's possible he could intercept our conversation.\That's why I'm speaking directly into your mind.\So, how are Wendy-chan and the cat? response:	They're here, although she's unconscious.
context: It's me. Hibiki, from Blue Pegasus.\Thank goodness. I was getting worried after not being able to contact anyone.\Oh! Where are you?\Not so loud. One of the enemy has very good hearing.\It's possible he could intercept our conversation.\That's why I'm speaking directly into your mind.\So, how are Wendy-chan and the cat?\They're here, although she's unconscious. response:	Happy's awake, though.
context: Thank goodness. I was getting worried after not being able to contact anyone.\Oh! Where are you?\Not so loud. One of the enemy has very good hearing.\It's possible he could intercept our conversation.\That's why I'm speaking directly into your mind.\So, how are Wendy-chan and the cat?\They're here, although she's unconscious.\Happy's awake, though. response:	I see. Thank goodness.
context: Oh! Where are you?\Not so loud. One of the enemy has very good hearing.\It's possible he could intercept our conversation.\That's why I'm speaking directly into your mind.\So, how are Wendy-chan and the cat?\They're here, although she's unconscious.\Happy's awake, though.\I see. Thank goodness. response:	Great job.
context: Not so loud. One of the enemy has very good hearing.\It's possible he could intercept our conversation.\That's why I'm speaking directly into your mind.\So, how are Wendy-chan and the cat?\They're here, although she's unconscious.\Happy's awake, though.\I see. Thank goodness.\Great job. response:	I'm going to upload an app directly into your head that'll guide you here.
context: It's possible he could intercept our conversation.\That's why I'm speaking directly into your mind.\So, how are Wendy-chan and the cat?\They're here, although she's unconscious.\Happy's awake, though.\I see. Thank goodness.\Great job.\I'm going to upload an app directly into your head that'll guide you here. response:	The cat seems to have used too much magic and taken too much damage for me to connect...
context: That's why I'm speaking directly into your mind.\So, how are Wendy-chan and the cat?\They're here, although she's unconscious.\Happy's awake, though.\I see. Thank goodness.\Great job.\I'm going to upload an app directly into your head that'll guide you here.\The cat seems to have used too much magic and taken too much damage for me to connect... response:	Anyway, hurry back here.
context: So, how are Wendy-chan and the cat?\They're here, although she's unconscious.\Happy's awake, though.\I see. Thank goodness.\Great job.\I'm going to upload an app directly into your head that'll guide you here.\The cat seems to have used too much magic and taken too much damage for me to connect...\Anyway, hurry back here. response:	Sure. What about an apple?
context: They're here, although she's unconscious.\Happy's awake, though.\I see. Thank goodness.\Great job.\I'm going to upload an app directly into your head that'll guide you here.\The cat seems to have used too much magic and taken too much damage for me to connect...\Anyway, hurry back here.\Sure. What about an apple? response:	I don't get you.
context: Happy's awake, though.\I see. Thank goodness.\Great job.\I'm going to upload an app directly into your head that'll guide you here.\The cat seems to have used too much magic and taken too much damage for me to connect...\Anyway, hurry back here.\Sure. What about an apple?\I don't get you. response:	Why have you been talking to yourself?
context: I see. Thank goodness.\Great job.\I'm going to upload an app directly into your head that'll guide you here.\The cat seems to have used too much magic and taken too much damage for me to connect...\Anyway, hurry back here.\Sure. What about an apple?\I don't get you.\Why have you been talking to yourself? response:	I don't really get it, but I have an apple in my head!
context: Great job.\I'm going to upload an app directly into your head that'll guide you here.\The cat seems to have used too much magic and taken too much damage for me to connect...\Anyway, hurry back here.\Sure. What about an apple?\I don't get you.\Why have you been talking to yourself?\I don't really get it, but I have an apple in my head! response:	Wait! I totally know how to get to where Erza is!
context: I'm going to upload an app directly into your head that'll guide you here.\The cat seems to have used too much magic and taken too much damage for me to connect...\Anyway, hurry back here.\Sure. What about an apple?\I don't get you.\Why have you been talking to yourself?\I don't really get it, but I have an apple in my head!\Wait! I totally know how to get to where Erza is! response:	It's like I've known all along!
context: The cat seems to have used too much magic and taken too much damage for me to connect...\Anyway, hurry back here.\Sure. What about an apple?\I don't get you.\Why have you been talking to yourself?\I don't really get it, but I have an apple in my head!\Wait! I totally know how to get to where Erza is!\It's like I've known all along! response:	I don't have any apples in my head!
context: Anyway, hurry back here.\Sure. What about an apple?\I don't get you.\Why have you been talking to yourself?\I don't really get it, but I have an apple in my head!\Wait! I totally know how to get to where Erza is!\It's like I've known all along!\I don't have any apples in my head! response:	Hurry, Natsu-kun.
context: Sure. What about an apple?\I don't get you.\Why have you been talking to yourself?\I don't really get it, but I have an apple in my head!\Wait! I totally know how to get to where Erza is!\It's like I've known all along!\I don't have any apples in my head!\Hurry, Natsu-kun. response:	You have to hurry... There's no time.
context: I don't get you.\Why have you been talking to yourself?\I don't really get it, but I have an apple in my head!\Wait! I totally know how to get to where Erza is!\It's like I've known all along!\I don't have any apples in my head!\Hurry, Natsu-kun.\You have to hurry... There's no time. response:	So, how did you tell Natsu where we are?
context: Why have you been talking to yourself?\I don't really get it, but I have an apple in my head!\Wait! I totally know how to get to where Erza is!\It's like I've known all along!\I don't have any apples in my head!\Hurry, Natsu-kun.\You have to hurry... There's no time.\So, how did you tell Natsu where we are? response:	My magic, Archive, can compress information.
context: I don't really get it, but I have an apple in my head!\Wait! I totally know how to get to where Erza is!\It's like I've known all along!\I don't have any apples in my head!\Hurry, Natsu-kun.\You have to hurry... There's no time.\So, how did you tell Natsu where we are?\My magic, Archive, can compress information. response:	By compressing it, people can transfer information between each other more quickly.
context: Wait! I totally know how to get to where Erza is!\It's like I've known all along!\I don't have any apples in my head!\Hurry, Natsu-kun.\You have to hurry... There's no time.\So, how did you tell Natsu where we are?\My magic, Archive, can compress information.\By compressing it, people can transfer information between each other more quickly. response:	I've never heard of magic like that before.
context: It's like I've known all along!\I don't have any apples in my head!\Hurry, Natsu-kun.\You have to hurry... There's no time.\So, how did you tell Natsu where we are?\My magic, Archive, can compress information.\By compressing it, people can transfer information between each other more quickly.\I've never heard of magic like that before. response:	Using magic to convert information into data is a recent concept, you see.
context: I don't have any apples in my head!\Hurry, Natsu-kun.\You have to hurry... There's no time.\So, how did you tell Natsu where we are?\My magic, Archive, can compress information.\By compressing it, people can transfer information between each other more quickly.\I've never heard of magic like that before.\Using magic to convert information into data is a recent concept, you see. response:	I see.
context: Hurry, Natsu-kun.\You have to hurry... There's no time.\So, how did you tell Natsu where we are?\My magic, Archive, can compress information.\By compressing it, people can transfer information between each other more quickly.\I've never heard of magic like that before.\Using magic to convert information into data is a recent concept, you see.\I see. response:	Anyway, thank goodness Wendy is safe.
context: You have to hurry... There's no time.\So, how did you tell Natsu where we are?\My magic, Archive, can compress information.\By compressing it, people can transfer information between each other more quickly.\I've never heard of magic like that before.\Using magic to convert information into data is a recent concept, you see.\I see.\Anyway, thank goodness Wendy is safe. response:	Just wait a little longer, Erza.
context: So, how did you tell Natsu where we are?\My magic, Archive, can compress information.\By compressing it, people can transfer information between each other more quickly.\I've never heard of magic like that before.\Using magic to convert information into data is a recent concept, you see.\I see.\Anyway, thank goodness Wendy is safe.\Just wait a little longer, Erza. response:	You can do it!
context: My magic, Archive, can compress information.\By compressing it, people can transfer information between each other more quickly.\I've never heard of magic like that before.\Using magic to convert information into data is a recent concept, you see.\I see.\Anyway, thank goodness Wendy is safe.\Just wait a little longer, Erza.\You can do it! response:	I'll protect you until Natsu comes back. I promise!
context: By compressing it, people can transfer information between each other more quickly.\I've never heard of magic like that before.\Using magic to convert information into data is a recent concept, you see.\I see.\Anyway, thank goodness Wendy is safe.\Just wait a little longer, Erza.\You can do it!\I'll protect you until Natsu comes back. I promise! response:	Hey! What are you smiling about at a time like this?
context: I've never heard of magic like that before.\Using magic to convert information into data is a recent concept, you see.\I see.\Anyway, thank goodness Wendy is safe.\Just wait a little longer, Erza.\You can do it!\I'll protect you until Natsu comes back. I promise!\Hey! What are you smiling about at a time like this? response:	Oh, I'm sorry. I didn't mean to offend you.
context: Using magic to convert information into data is a recent concept, you see.\I see.\Anyway, thank goodness Wendy is safe.\Just wait a little longer, Erza.\You can do it!\I'll protect you until Natsu comes back. I promise!\Hey! What are you smiling about at a time like this?\Oh, I'm sorry. I didn't mean to offend you. response:	Around that time...
context: I see.\Anyway, thank goodness Wendy is safe.\Just wait a little longer, Erza.\You can do it!\I'll protect you until Natsu comes back. I promise!\Hey! What are you smiling about at a time like this?\Oh, I'm sorry. I didn't mean to offend you.\Around that time... response:	Gray is confronting one of Oracion Seis, codenamed Racer.
context: Anyway, thank goodness Wendy is safe.\Just wait a little longer, Erza.\You can do it!\I'll protect you until Natsu comes back. I promise!\Hey! What are you smiling about at a time like this?\Oh, I'm sorry. I didn't mean to offend you.\Around that time...\Gray is confronting one of Oracion Seis, codenamed Racer. response:	You've stopped me twice now.
context: Just wait a little longer, Erza.\You can do it!\I'll protect you until Natsu comes back. I promise!\Hey! What are you smiling about at a time like this?\Oh, I'm sorry. I didn't mean to offend you.\Around that time...\Gray is confronting one of Oracion Seis, codenamed Racer.\You've stopped me twice now. response:	At this rate, my name will mean dirt.
context: You can do it!\I'll protect you until Natsu comes back. I promise!\Hey! What are you smiling about at a time like this?\Oh, I'm sorry. I didn't mean to offend you.\Around that time...\Gray is confronting one of Oracion Seis, codenamed Racer.\You've stopped me twice now.\At this rate, my name will mean dirt. response:	Oh, is that so?
context: I'll protect you until Natsu comes back. I promise!\Hey! What are you smiling about at a time like this?\Oh, I'm sorry. I didn't mean to offend you.\Around that time...\Gray is confronting one of Oracion Seis, codenamed Racer.\You've stopped me twice now.\At this rate, my name will mean dirt.\Oh, is that so? response:	If I felt like it, it wouldn't be any trouble to catch up with those brats.
context: Hey! What are you smiling about at a time like this?\Oh, I'm sorry. I didn't mean to offend you.\Around that time...\Gray is confronting one of Oracion Seis, codenamed Racer.\You've stopped me twice now.\At this rate, my name will mean dirt.\Oh, is that so?\If I felt like it, it wouldn't be any trouble to catch up with those brats. response:	When did you...
context: Oh, I'm sorry. I didn't mean to offend you.\Around that time...\Gray is confronting one of Oracion Seis, codenamed Racer.\You've stopped me twice now.\At this rate, my name will mean dirt.\Oh, is that so?\If I felt like it, it wouldn't be any trouble to catch up with those brats.\When did you... response:	But I won't feel satisfied until you're history.
context: Around that time...\Gray is confronting one of Oracion Seis, codenamed Racer.\You've stopped me twice now.\At this rate, my name will mean dirt.\Oh, is that so?\If I felt like it, it wouldn't be any trouble to catch up with those brats.\When did you...\But I won't feel satisfied until you're history. response:	I'll have plenty of time to catch up afterwards.
context: Gray is confronting one of Oracion Seis, codenamed Racer.\You've stopped me twice now.\At this rate, my name will mean dirt.\Oh, is that so?\If I felt like it, it wouldn't be any trouble to catch up with those brats.\When did you...\But I won't feel satisfied until you're history.\I'll have plenty of time to catch up afterwards. response:	I don't think so, buddy!
context: You've stopped me twice now.\At this rate, my name will mean dirt.\Oh, is that so?\If I felt like it, it wouldn't be any trouble to catch up with those brats.\When did you...\But I won't feel satisfied until you're history.\I'll have plenty of time to catch up afterwards.\I don't think so, buddy! response:	Too slow!
context: At this rate, my name will mean dirt.\Oh, is that so?\If I felt like it, it wouldn't be any trouble to catch up with those brats.\When did you...\But I won't feel satisfied until you're history.\I'll have plenty of time to catch up afterwards.\I don't think so, buddy!\Too slow! response:	Slow, slow, slow!
context: Oh, is that so?\If I felt like it, it wouldn't be any trouble to catch up with those brats.\When did you...\But I won't feel satisfied until you're history.\I'll have plenty of time to catch up afterwards.\I don't think so, buddy!\Too slow!\Slow, slow, slow! response:	Damn it! I can't follow him with my eyes!
context: If I felt like it, it wouldn't be any trouble to catch up with those brats.\When did you...\But I won't feel satisfied until you're history.\I'll have plenty of time to catch up afterwards.\I don't think so, buddy!\Too slow!\Slow, slow, slow!\Damn it! I can't follow him with my eyes! response:	Even if you used up your magic power making this ice wall,
context: When did you...\But I won't feel satisfied until you're history.\I'll have plenty of time to catch up afterwards.\I don't think so, buddy!\Too slow!\Slow, slow, slow!\Damn it! I can't follow him with my eyes!\Even if you used up your magic power making this ice wall, response:	I hope you don't expect me to go easy on you.
context: But I won't feel satisfied until you're history.\I'll have plenty of time to catch up afterwards.\I don't think so, buddy!\Too slow!\Slow, slow, slow!\Damn it! I can't follow him with my eyes!\Even if you used up your magic power making this ice wall,\I hope you don't expect me to go easy on you. response:	Say that again, jerk!
context: I'll have plenty of time to catch up afterwards.\I don't think so, buddy!\Too slow!\Slow, slow, slow!\Damn it! I can't follow him with my eyes!\Even if you used up your magic power making this ice wall,\I hope you don't expect me to go easy on you.\Say that again, jerk! response:	Come at me as fast as you can!
context: I don't think so, buddy!\Too slow!\Slow, slow, slow!\Damn it! I can't follow him with my eyes!\Even if you used up your magic power making this ice wall,\I hope you don't expect me to go easy on you.\Say that again, jerk!\Come at me as fast as you can! response:	Dead Grand Prix!
context: Too slow!\Slow, slow, slow!\Damn it! I can't follow him with my eyes!\Even if you used up your magic power making this ice wall,\I hope you don't expect me to go easy on you.\Say that again, jerk!\Come at me as fast as you can!\Dead Grand Prix! response:	Start your engines!
context: Slow, slow, slow!\Damn it! I can't follow him with my eyes!\Even if you used up your magic power making this ice wall,\I hope you don't expect me to go easy on you.\Say that again, jerk!\Come at me as fast as you can!\Dead Grand Prix!\Start your engines! response:	What kind of noise is this?
context: Damn it! I can't follow him with my eyes!\Even if you used up your magic power making this ice wall,\I hope you don't expect me to go easy on you.\Say that again, jerk!\Come at me as fast as you can!\Dead Grand Prix!\Start your engines!\What kind of noise is this? response:	Magic motorcycles!
context: Even if you used up your magic power making this ice wall,\I hope you don't expect me to go easy on you.\Say that again, jerk!\Come at me as fast as you can!\Dead Grand Prix!\Start your engines!\What kind of noise is this?\Magic motorcycles! response:	What the hell? A ton of magic motorcycles?
context: I hope you don't expect me to go easy on you.\Say that again, jerk!\Come at me as fast as you can!\Dead Grand Prix!\Start your engines!\What kind of noise is this?\Magic motorcycles!\What the hell? A ton of magic motorcycles? response:	The motor show from hell!
context: Say that again, jerk!\Come at me as fast as you can!\Dead Grand Prix!\Start your engines!\What kind of noise is this?\Magic motorcycles!\What the hell? A ton of magic motorcycles?\The motor show from hell! response:	Dance.
context: Come at me as fast as you can!\Dead Grand Prix!\Start your engines!\What kind of noise is this?\Magic motorcycles!\What the hell? A ton of magic motorcycles?\The motor show from hell!\Dance. response:	You expect me to ride one of these things?!
context: Dead Grand Prix!\Start your engines!\What kind of noise is this?\Magic motorcycles!\What the hell? A ton of magic motorcycles?\The motor show from hell!\Dance.\You expect me to ride one of these things?! response:	These are machines made to match my own speed.
context: Start your engines!\What kind of noise is this?\Magic motorcycles!\What the hell? A ton of magic motorcycles?\The motor show from hell!\Dance.\You expect me to ride one of these things?!\These are machines made to match my own speed. response:	Slowpokes can't handle'em.
context: What kind of noise is this?\Magic motorcycles!\What the hell? A ton of magic motorcycles?\The motor show from hell!\Dance.\You expect me to ride one of these things?!\These are machines made to match my own speed.\Slowpokes can't handle'em. response:	Well, this just got interesting!
context: Magic motorcycles!\What the hell? A ton of magic motorcycles?\The motor show from hell!\Dance.\You expect me to ride one of these things?!\These are machines made to match my own speed.\Slowpokes can't handle'em.\Well, this just got interesting! response:	This bucking bronco is mine!
context: What the hell? A ton of magic motorcycles?\The motor show from hell!\Dance.\You expect me to ride one of these things?!\These are machines made to match my own speed.\Slowpokes can't handle'em.\Well, this just got interesting!\This bucking bronco is mine! response:	Oh? Look at him go.
context: The motor show from hell!\Dance.\You expect me to ride one of these things?!\These are machines made to match my own speed.\Slowpokes can't handle'em.\Well, this just got interesting!\This bucking bronco is mine!\Oh? Look at him go. response:	Thanks for equipping them with SE plugs!
context: Dance.\You expect me to ride one of these things?!\These are machines made to match my own speed.\Slowpokes can't handle'em.\Well, this just got interesting!\This bucking bronco is mine!\Oh? Look at him go.\Thanks for equipping them with SE plugs! response:	In this world, there are many vehicles which use magical power as energy.
context: You expect me to ride one of these things?!\These are machines made to match my own speed.\Slowpokes can't handle'em.\Well, this just got interesting!\This bucking bronco is mine!\Oh? Look at him go.\Thanks for equipping them with SE plugs!\In this world, there are many vehicles which use magical power as energy. response:	Among them, the magic four-wheelers and magic motorcycles are equipped with SE Plugs
context: These are machines made to match my own speed.\Slowpokes can't handle'em.\Well, this just got interesting!\This bucking bronco is mine!\Oh? Look at him go.\Thanks for equipping them with SE plugs!\In this world, there are many vehicles which use magical power as energy.\Among them, the magic four-wheelers and magic motorcycles are equipped with SE Plugs response:	in order to send magic power from the driver directly to the internal engine.
context: Slowpokes can't handle'em.\Well, this just got interesting!\This bucking bronco is mine!\Oh? Look at him go.\Thanks for equipping them with SE plugs!\In this world, there are many vehicles which use magical power as energy.\Among them, the magic four-wheelers and magic motorcycles are equipped with SE Plugs\in order to send magic power from the driver directly to the internal engine. response:	It's definitely tough to make sure I don't lose all my magic power with these things.
context: Well, this just got interesting!\This bucking bronco is mine!\Oh? Look at him go.\Thanks for equipping them with SE plugs!\In this world, there are many vehicles which use magical power as energy.\Among them, the magic four-wheelers and magic motorcycles are equipped with SE Plugs\in order to send magic power from the driver directly to the internal engine.\It's definitely tough to make sure I don't lose all my magic power with these things. response:	I don't got a choice.
context: This bucking bronco is mine!\Oh? Look at him go.\Thanks for equipping them with SE plugs!\In this world, there are many vehicles which use magical power as energy.\Among them, the magic four-wheelers and magic motorcycles are equipped with SE Plugs\in order to send magic power from the driver directly to the internal engine.\It's definitely tough to make sure I don't lose all my magic power with these things.\I don't got a choice. response:	Here I go!
context: Oh? Look at him go.\Thanks for equipping them with SE plugs!\In this world, there are many vehicles which use magical power as energy.\Among them, the magic four-wheelers and magic motorcycles are equipped with SE Plugs\in order to send magic power from the driver directly to the internal engine.\It's definitely tough to make sure I don't lose all my magic power with these things.\I don't got a choice.\Here I go! response:	Sounds like fun!
context: Thanks for equipping them with SE plugs!\In this world, there are many vehicles which use magical power as energy.\Among them, the magic four-wheelers and magic motorcycles are equipped with SE Plugs\in order to send magic power from the driver directly to the internal engine.\It's definitely tough to make sure I don't lose all my magic power with these things.\I don't got a choice.\Here I go!\Sounds like fun! response:	You're challenging me to a race?
context: In this world, there are many vehicles which use magical power as energy.\Among them, the magic four-wheelers and magic motorcycles are equipped with SE Plugs\in order to send magic power from the driver directly to the internal engine.\It's definitely tough to make sure I don't lose all my magic power with these things.\I don't got a choice.\Here I go!\Sounds like fun!\You're challenging me to a race? response:	There ain't no rules, so you'd better be prepared!
context: Among them, the magic four-wheelers and magic motorcycles are equipped with SE Plugs\in order to send magic power from the driver directly to the internal engine.\It's definitely tough to make sure I don't lose all my magic power with these things.\I don't got a choice.\Here I go!\Sounds like fun!\You're challenging me to a race?\There ain't no rules, so you'd better be prepared! response:	You've got some nice style for being a goody-two-shoes from an official guild!
context: in order to send magic power from the driver directly to the internal engine.\It's definitely tough to make sure I don't lose all my magic power with these things.\I don't got a choice.\Here I go!\Sounds like fun!\You're challenging me to a race?\There ain't no rules, so you'd better be prepared!\You've got some nice style for being a goody-two-shoes from an official guild! response:	Don't underestimate Fairy Tail!
context: It's definitely tough to make sure I don't lose all my magic power with these things.\I don't got a choice.\Here I go!\Sounds like fun!\You're challenging me to a race?\There ain't no rules, so you'd better be prepared!\You've got some nice style for being a goody-two-shoes from an official guild!\Don't underestimate Fairy Tail! response:	Ice Make Lance!
context: I don't got a choice.\Here I go!\Sounds like fun!\You're challenging me to a race?\There ain't no rules, so you'd better be prepared!\You've got some nice style for being a goody-two-shoes from an official guild!\Don't underestimate Fairy Tail!\Ice Make Lance! response:	You're still too slow!
