context: Vapor pressure stabilized. response:	It should work this time.
context: If not handled carefully, this could change history.\Isn't this a bit much for a team with amateurs?\Our more experienced spies could...\This is something only your team can do.\Because of Princess?\She is your team's strong point.\You will use her position to infiltrate the ceremony at the Cavorite mine.\Honestly, the way you work that princess... response:	Another thing, Dorothy...
context: Isn't this a bit much for a team with amateurs?\Our more experienced spies could...\This is something only your team can do.\Because of Princess?\She is your team's strong point.\You will use her position to infiltrate the ceremony at the Cavorite mine.\Honestly, the way you work that princess...\Another thing, Dorothy... response:	This is for your ears only.
context: Our more experienced spies could...\This is something only your team can do.\Because of Princess?\She is your team's strong point.\You will use her position to infiltrate the ceremony at the Cavorite mine.\Honestly, the way you work that princess...\Another thing, Dorothy...\This is for your ears only. response:	Beatrice, switch.
context: This is something only your team can do.\Because of Princess?\She is your team's strong point.\You will use her position to infiltrate the ceremony at the Cavorite mine.\Honestly, the way you work that princess...\Another thing, Dorothy...\This is for your ears only.\Beatrice, switch. response:	Checkmate.
context: Because of Princess?\She is your team's strong point.\You will use her position to infiltrate the ceremony at the Cavorite mine.\Honestly, the way you work that princess...\Another thing, Dorothy...\This is for your ears only.\Beatrice, switch.\Checkmate. response:	Your turn, Beatrice.
context: She is your team's strong point.\You will use her position to infiltrate the ceremony at the Cavorite mine.\Honestly, the way you work that princess...\Another thing, Dorothy...\This is for your ears only.\Beatrice, switch.\Checkmate.\Your turn, Beatrice. response:	You won't shake me this time.
context: You will use her position to infiltrate the ceremony at the Cavorite mine.\Honestly, the way you work that princess...\Another thing, Dorothy...\This is for your ears only.\Beatrice, switch.\Checkmate.\Your turn, Beatrice.\You won't shake me this time. response:	You keep saying that, and yet you have lost ten times in a row.
context: Honestly, the way you work that princess...\Another thing, Dorothy...\This is for your ears only.\Beatrice, switch.\Checkmate.\Your turn, Beatrice.\You won't shake me this time.\You keep saying that, and yet you have lost ten times in a row. response:	You've been losing right along with me, Miss Chise.
context: Another thing, Dorothy...\This is for your ears only.\Beatrice, switch.\Checkmate.\Your turn, Beatrice.\You won't shake me this time.\You keep saying that, and yet you have lost ten times in a row.\You've been losing right along with me, Miss Chise. response:	I have been victorious once.
context: This is for your ears only.\Beatrice, switch.\Checkmate.\Your turn, Beatrice.\You won't shake me this time.\You keep saying that, and yet you have lost ten times in a row.\You've been losing right along with me, Miss Chise.\I have been victorious once. response:	It doesn't count as winning when you cut down a police officer.
context: Beatrice, switch.\Checkmate.\Your turn, Beatrice.\You won't shake me this time.\You keep saying that, and yet you have lost ten times in a row.\You've been losing right along with me, Miss Chise.\I have been victorious once.\It doesn't count as winning when you cut down a police officer. response:	Fear not. I used the back of my sword.
context: Checkmate.\Your turn, Beatrice.\You won't shake me this time.\You keep saying that, and yet you have lost ten times in a row.\You've been losing right along with me, Miss Chise.\I have been victorious once.\It doesn't count as winning when you cut down a police officer.\Fear not. I used the back of my sword. response:	And that makes it better?
context: Your turn, Beatrice.\You won't shake me this time.\You keep saying that, and yet you have lost ten times in a row.\You've been losing right along with me, Miss Chise.\I have been victorious once.\It doesn't count as winning when you cut down a police officer.\Fear not. I used the back of my sword.\And that makes it better? response:	Indeed it does.
context: You won't shake me this time.\You keep saying that, and yet you have lost ten times in a row.\You've been losing right along with me, Miss Chise.\I have been victorious once.\It doesn't count as winning when you cut down a police officer.\Fear not. I used the back of my sword.\And that makes it better?\Indeed it does. response:	Say, I've been thinking.
context: You keep saying that, and yet you have lost ten times in a row.\You've been losing right along with me, Miss Chise.\I have been victorious once.\It doesn't count as winning when you cut down a police officer.\Fear not. I used the back of my sword.\And that makes it better?\Indeed it does.\Say, I've been thinking. response:	You don't suppose our team could use a name, do you?
context: You've been losing right along with me, Miss Chise.\I have been victorious once.\It doesn't count as winning when you cut down a police officer.\Fear not. I used the back of my sword.\And that makes it better?\Indeed it does.\Say, I've been thinking.\You don't suppose our team could use a name, do you? response:	That's a wonderful idea!
context: I have been victorious once.\It doesn't count as winning when you cut down a police officer.\Fear not. I used the back of my sword.\And that makes it better?\Indeed it does.\Say, I've been thinking.\You don't suppose our team could use a name, do you?\That's a wonderful idea! response:	They do say names and natures often agree.
context: It doesn't count as winning when you cut down a police officer.\Fear not. I used the back of my sword.\And that makes it better?\Indeed it does.\Say, I've been thinking.\You don't suppose our team could use a name, do you?\That's a wonderful idea!\They do say names and natures often agree. response:	We don't need a team name.
context: Fear not. I used the back of my sword.\And that makes it better?\Indeed it does.\Say, I've been thinking.\You don't suppose our team could use a name, do you?\That's a wonderful idea!\They do say names and natures often agree.\We don't need a team name. response:	We don't want to make up any information that could turn up as evidence.
context: And that makes it better?\Indeed it does.\Say, I've been thinking.\You don't suppose our team could use a name, do you?\That's a wonderful idea!\They do say names and natures often agree.\We don't need a team name.\We don't want to make up any information that could turn up as evidence. response:	That's an ironclad spy rule.
context: Indeed it does.\Say, I've been thinking.\You don't suppose our team could use a name, do you?\That's a wonderful idea!\They do say names and natures often agree.\We don't need a team name.\We don't want to make up any information that could turn up as evidence.\That's an ironclad spy rule. response:	Is that why you tell nothing but lies?
context: Say, I've been thinking.\You don't suppose our team could use a name, do you?\That's a wonderful idea!\They do say names and natures often agree.\We don't need a team name.\We don't want to make up any information that could turn up as evidence.\That's an ironclad spy rule.\Is that why you tell nothing but lies? response:	If I'm a liar, then there's no point in questioning me, is there?
context: You don't suppose our team could use a name, do you?\That's a wonderful idea!\They do say names and natures often agree.\We don't need a team name.\We don't want to make up any information that could turn up as evidence.\That's an ironclad spy rule.\Is that why you tell nothing but lies?\If I'm a liar, then there's no point in questioning me, is there? response:	We're all girls, so I think we should have a cute name.
context: That's a wonderful idea!\They do say names and natures often agree.\We don't need a team name.\We don't want to make up any information that could turn up as evidence.\That's an ironclad spy rule.\Is that why you tell nothing but lies?\If I'm a liar, then there's no point in questioning me, is there?\We're all girls, so I think we should have a cute name. response:	Something pink, or a flower.
context: They do say names and natures often agree.\We don't need a team name.\We don't want to make up any information that could turn up as evidence.\That's an ironclad spy rule.\Is that why you tell nothing but lies?\If I'm a liar, then there's no point in questioning me, is there?\We're all girls, so I think we should have a cute name.\Something pink, or a flower. response:	What about the name of that unusual bird we saw the other day?
context: We don't need a team name.\We don't want to make up any information that could turn up as evidence.\That's an ironclad spy rule.\Is that why you tell nothing but lies?\If I'm a liar, then there's no point in questioning me, is there?\We're all girls, so I think we should have a cute name.\Something pink, or a flower.\What about the name of that unusual bird we saw the other day? response:	I think it was a penguin?
context: We don't want to make up any information that could turn up as evidence.\That's an ironclad spy rule.\Is that why you tell nothing but lies?\If I'm a liar, then there's no point in questioning me, is there?\We're all girls, so I think we should have a cute name.\Something pink, or a flower.\What about the name of that unusual bird we saw the other day?\I think it was a penguin? response:	Just a moment.
context: That's an ironclad spy rule.\Is that why you tell nothing but lies?\If I'm a liar, then there's no point in questioning me, is there?\We're all girls, so I think we should have a cute name.\Something pink, or a flower.\What about the name of that unusual bird we saw the other day?\I think it was a penguin?\Just a moment. response:	I'll do an onomancy reading for that name.
context: Is that why you tell nothing but lies?\If I'm a liar, then there's no point in questioning me, is there?\We're all girls, so I think we should have a cute name.\Something pink, or a flower.\What about the name of that unusual bird we saw the other day?\I think it was a penguin?\Just a moment.\I'll do an onomancy reading for that name. response:	This is the Security Service!
context: If I'm a liar, then there's no point in questioning me, is there?\We're all girls, so I think we should have a cute name.\Something pink, or a flower.\What about the name of that unusual bird we saw the other day?\I think it was a penguin?\Just a moment.\I'll do an onomancy reading for that name.\This is the Security Service! response:	Open the door!
context: We're all girls, so I think we should have a cute name.\Something pink, or a flower.\What about the name of that unusual bird we saw the other day?\I think it was a penguin?\Just a moment.\I'll do an onomancy reading for that name.\This is the Security Service!\Open the door! response:	You could be a little scared, Partner.
context: Something pink, or a flower.\What about the name of that unusual bird we saw the other day?\I think it was a penguin?\Just a moment.\I'll do an onomancy reading for that name.\This is the Security Service!\Open the door!\You could be a little scared, Partner. response:	Did you get to see L?
context: What about the name of that unusual bird we saw the other day?\I think it was a penguin?\Just a moment.\I'll do an onomancy reading for that name.\This is the Security Service!\Open the door!\You could be a little scared, Partner.\Did you get to see L? response:	Yes, and he gave us the most annoying target.
context: I think it was a penguin?\Just a moment.\I'll do an onomancy reading for that name.\This is the Security Service!\Open the door!\You could be a little scared, Partner.\Did you get to see L?\Yes, and he gave us the most annoying target. response:	And you?
context: Just a moment.\I'll do an onomancy reading for that name.\This is the Security Service!\Open the door!\You could be a little scared, Partner.\Did you get to see L?\Yes, and he gave us the most annoying target.\And you? response:	We were thinking of team names.
context: I'll do an onomancy reading for that name.\This is the Security Service!\Open the door!\You could be a little scared, Partner.\Did you get to see L?\Yes, and he gave us the most annoying target.\And you?\We were thinking of team names. response:	We were practicing tailing.
context: This is the Security Service!\Open the door!\You could be a little scared, Partner.\Did you get to see L?\Yes, and he gave us the most annoying target.\And you?\We were thinking of team names.\We were practicing tailing. response:	Ooh, team names, is it?
context: Open the door!\You could be a little scared, Partner.\Did you get to see L?\Yes, and he gave us the most annoying target.\And you?\We were thinking of team names.\We were practicing tailing.\Ooh, team names, is it? response:	All right, I'll be Scotch, Ange will be Calvados,
context: You could be a little scared, Partner.\Did you get to see L?\Yes, and he gave us the most annoying target.\And you?\We were thinking of team names.\We were practicing tailing.\Ooh, team names, is it?\All right, I'll be Scotch, Ange will be Calvados, response:	Princess will be Champagne...
context: Did you get to see L?\Yes, and he gave us the most annoying target.\And you?\We were thinking of team names.\We were practicing tailing.\Ooh, team names, is it?\All right, I'll be Scotch, Ange will be Calvados,\Princess will be Champagne... response:	Chise, let's see...
context: Yes, and he gave us the most annoying target.\And you?\We were thinking of team names.\We were practicing tailing.\Ooh, team names, is it?\All right, I'll be Scotch, Ange will be Calvados,\Princess will be Champagne...\Chise, let's see... response:	They're all the names of liquors, aren't they? Chise, let's see...
context: And you?\We were thinking of team names.\We were practicing tailing.\Ooh, team names, is it?\All right, I'll be Scotch, Ange will be Calvados,\Princess will be Champagne...\Chise, let's see...\They're all the names of liquors, aren't they? Chise, let's see... response:	They're all the names of liquors, aren't they?
context: We were thinking of team names.\We were practicing tailing.\Ooh, team names, is it?\All right, I'll be Scotch, Ange will be Calvados,\Princess will be Champagne...\Chise, let's see...\They're all the names of liquors, aren't they? Chise, let's see...\They're all the names of liquors, aren't they? response:	Don't be a part of this, Dorothy.
context: We were practicing tailing.\Ooh, team names, is it?\All right, I'll be Scotch, Ange will be Calvados,\Princess will be Champagne...\Chise, let's see...\They're all the names of liquors, aren't they? Chise, let's see...\They're all the names of liquors, aren't they?\Don't be a part of this, Dorothy. response:	They need to learn basic tailing techni-
context: Ooh, team names, is it?\All right, I'll be Scotch, Ange will be Calvados,\Princess will be Champagne...\Chise, let's see...\They're all the names of liquors, aren't they? Chise, let's see...\They're all the names of liquors, aren't they?\Don't be a part of this, Dorothy.\They need to learn basic tailing techni- response:	Oh no!
context: All right, I'll be Scotch, Ange will be Calvados,\Princess will be Champagne...\Chise, let's see...\They're all the names of liquors, aren't they? Chise, let's see...\They're all the names of liquors, aren't they?\Don't be a part of this, Dorothy.\They need to learn basic tailing techni-\Oh no! response:	How do I count the strokes of the letters in your alphabet?
context: Princess will be Champagne...\Chise, let's see...\They're all the names of liquors, aren't they? Chise, let's see...\They're all the names of liquors, aren't they?\Don't be a part of this, Dorothy.\They need to learn basic tailing techni-\Oh no!\How do I count the strokes of the letters in your alphabet? response:	It's like a mechanical fortress.
context: Chise, let's see...\They're all the names of liquors, aren't they? Chise, let's see...\They're all the names of liquors, aren't they?\Don't be a part of this, Dorothy.\They need to learn basic tailing techni-\Oh no!\How do I count the strokes of the letters in your alphabet?\It's like a mechanical fortress. response:	Cavorite is the heart and soul of Albion's Air Fleet.
context: They're all the names of liquors, aren't they? Chise, let's see...\They're all the names of liquors, aren't they?\Don't be a part of this, Dorothy.\They need to learn basic tailing techni-\Oh no!\How do I count the strokes of the letters in your alphabet?\It's like a mechanical fortress.\Cavorite is the heart and soul of Albion's Air Fleet. response:	Naturally, the mines will be heavily guarded.
context: They're all the names of liquors, aren't they?\Don't be a part of this, Dorothy.\They need to learn basic tailing techni-\Oh no!\How do I count the strokes of the letters in your alphabet?\It's like a mechanical fortress.\Cavorite is the heart and soul of Albion's Air Fleet.\Naturally, the mines will be heavily guarded. response:	Excuse me.
context: Don't be a part of this, Dorothy.\They need to learn basic tailing techni-\Oh no!\How do I count the strokes of the letters in your alphabet?\It's like a mechanical fortress.\Cavorite is the heart and soul of Albion's Air Fleet.\Naturally, the mines will be heavily guarded.\Excuse me. response:	Are you here for the ceremony?
context: They need to learn basic tailing techni-\Oh no!\How do I count the strokes of the letters in your alphabet?\It's like a mechanical fortress.\Cavorite is the heart and soul of Albion's Air Fleet.\Naturally, the mines will be heavily guarded.\Excuse me.\Are you here for the ceremony? response:	Hello, there.
context: Oh no!\How do I count the strokes of the letters in your alphabet?\It's like a mechanical fortress.\Cavorite is the heart and soul of Albion's Air Fleet.\Naturally, the mines will be heavily guarded.\Excuse me.\Are you here for the ceremony?\Hello, there. response:	Princess!
context: How do I count the strokes of the letters in your alphabet?\It's like a mechanical fortress.\Cavorite is the heart and soul of Albion's Air Fleet.\Naturally, the mines will be heavily guarded.\Excuse me.\Are you here for the ceremony?\Hello, there.\Princess! response:	I brought some friends from school with me.
context: It's like a mechanical fortress.\Cavorite is the heart and soul of Albion's Air Fleet.\Naturally, the mines will be heavily guarded.\Excuse me.\Are you here for the ceremony?\Hello, there.\Princess!\I brought some friends from school with me. response:	Is that all right?
context: Cavorite is the heart and soul of Albion's Air Fleet.\Naturally, the mines will be heavily guarded.\Excuse me.\Are you here for the ceremony?\Hello, there.\Princess!\I brought some friends from school with me.\Is that all right? response:	I beg your pardon.
context: Naturally, the mines will be heavily guarded.\Excuse me.\Are you here for the ceremony?\Hello, there.\Princess!\I brought some friends from school with me.\Is that all right?\I beg your pardon. response:	The power of a nation's princess.
context: Excuse me.\Are you here for the ceremony?\Hello, there.\Princess!\I brought some friends from school with me.\Is that all right?\I beg your pardon.\The power of a nation's princess. response:	If they tried to body check her, heads would roll.
context: Are you here for the ceremony?\Hello, there.\Princess!\I brought some friends from school with me.\Is that all right?\I beg your pardon.\The power of a nation's princess.\If they tried to body check her, heads would roll. response:	So I'm a key, then?
context: Hello, there.\Princess!\I brought some friends from school with me.\Is that all right?\I beg your pardon.\The power of a nation's princess.\If they tried to body check her, heads would roll.\So I'm a key, then? response:	Yes, a magic one.
context: Princess!\I brought some friends from school with me.\Is that all right?\I beg your pardon.\The power of a nation's princess.\If they tried to body check her, heads would roll.\So I'm a key, then?\Yes, a magic one. response:	The ceremony starts in 30 minutes.
context: I brought some friends from school with me.\Is that all right?\I beg your pardon.\The power of a nation's princess.\If they tried to body check her, heads would roll.\So I'm a key, then?\Yes, a magic one.\The ceremony starts in 30 minutes. response:	With guests arriving and preparations underway, this will be their busiest time.
context: Is that all right?\I beg your pardon.\The power of a nation's princess.\If they tried to body check her, heads would roll.\So I'm a key, then?\Yes, a magic one.\The ceremony starts in 30 minutes.\With guests arriving and preparations underway, this will be their busiest time. response:	In other words, the time when security is the most lax.
context: I beg your pardon.\The power of a nation's princess.\If they tried to body check her, heads would roll.\So I'm a key, then?\Yes, a magic one.\The ceremony starts in 30 minutes.\With guests arriving and preparations underway, this will be their busiest time.\In other words, the time when security is the most lax. response:	And we'll use that time to get the prototype from the underground laboratory!
context: The power of a nation's princess.\If they tried to body check her, heads would roll.\So I'm a key, then?\Yes, a magic one.\The ceremony starts in 30 minutes.\With guests arriving and preparations underway, this will be their busiest time.\In other words, the time when security is the most lax.\And we'll use that time to get the prototype from the underground laboratory! response:	You all know the plan, right?
context: If they tried to body check her, heads would roll.\So I'm a key, then?\Yes, a magic one.\The ceremony starts in 30 minutes.\With guests arriving and preparations underway, this will be their busiest time.\In other words, the time when security is the most lax.\And we'll use that time to get the prototype from the underground laboratory!\You all know the plan, right? response:	Dorothy, Beatrice, and I will infiltrate the facility.
context: So I'm a key, then?\Yes, a magic one.\The ceremony starts in 30 minutes.\With guests arriving and preparations underway, this will be their busiest time.\In other words, the time when security is the most lax.\And we'll use that time to get the prototype from the underground laboratory!\You all know the plan, right?\Dorothy, Beatrice, and I will infiltrate the facility. response:	Her Majesty the Queen is here.
context: Yes, a magic one.\The ceremony starts in 30 minutes.\With guests arriving and preparations underway, this will be their busiest time.\In other words, the time when security is the most lax.\And we'll use that time to get the prototype from the underground laboratory!\You all know the plan, right?\Dorothy, Beatrice, and I will infiltrate the facility.\Her Majesty the Queen is here. response:	If you'd be so kind...
context: The ceremony starts in 30 minutes.\With guests arriving and preparations underway, this will be their busiest time.\In other words, the time when security is the most lax.\And we'll use that time to get the prototype from the underground laboratory!\You all know the plan, right?\Dorothy, Beatrice, and I will infiltrate the facility.\Her Majesty the Queen is here.\If you'd be so kind... response:	Of course.
context: With guests arriving and preparations underway, this will be their busiest time.\In other words, the time when security is the most lax.\And we'll use that time to get the prototype from the underground laboratory!\You all know the plan, right?\Dorothy, Beatrice, and I will infiltrate the facility.\Her Majesty the Queen is here.\If you'd be so kind...\Of course. response:	Princess, we'll be a-waitin' right over there.
context: In other words, the time when security is the most lax.\And we'll use that time to get the prototype from the underground laboratory!\You all know the plan, right?\Dorothy, Beatrice, and I will infiltrate the facility.\Her Majesty the Queen is here.\If you'd be so kind...\Of course.\Princess, we'll be a-waitin' right over there. response:	I'm leaving Chise here to protect you.
context: And we'll use that time to get the prototype from the underground laboratory!\You all know the plan, right?\Dorothy, Beatrice, and I will infiltrate the facility.\Her Majesty the Queen is here.\If you'd be so kind...\Of course.\Princess, we'll be a-waitin' right over there.\I'm leaving Chise here to protect you. response:	She's our most reliable fighter.
context: You all know the plan, right?\Dorothy, Beatrice, and I will infiltrate the facility.\Her Majesty the Queen is here.\If you'd be so kind...\Of course.\Princess, we'll be a-waitin' right over there.\I'm leaving Chise here to protect you.\She's our most reliable fighter. response:	One guard.
context: Dorothy, Beatrice, and I will infiltrate the facility.\Her Majesty the Queen is here.\If you'd be so kind...\Of course.\Princess, we'll be a-waitin' right over there.\I'm leaving Chise here to protect you.\She's our most reliable fighter.\One guard. response:	What do we do?
context: Her Majesty the Queen is here.\If you'd be so kind...\Of course.\Princess, we'll be a-waitin' right over there.\I'm leaving Chise here to protect you.\She's our most reliable fighter.\One guard.\What do we do? response:	Looks like I'm up.
context: If you'd be so kind...\Of course.\Princess, we'll be a-waitin' right over there.\I'm leaving Chise here to protect you.\She's our most reliable fighter.\One guard.\What do we do?\Looks like I'm up. response:	Um, just wh-what are you...?
context: Of course.\Princess, we'll be a-waitin' right over there.\I'm leaving Chise here to protect you.\She's our most reliable fighter.\One guard.\What do we do?\Looks like I'm up.\Um, just wh-what are you...? response:	Huh?
context: Princess, we'll be a-waitin' right over there.\I'm leaving Chise here to protect you.\She's our most reliable fighter.\One guard.\What do we do?\Looks like I'm up.\Um, just wh-what are you...?\Huh? response:	Another dead end?
context: I'm leaving Chise here to protect you.\She's our most reliable fighter.\One guard.\What do we do?\Looks like I'm up.\Um, just wh-what are you...?\Huh?\Another dead end? response:	You can take the stairs to the right.
context: She's our most reliable fighter.\One guard.\What do we do?\Looks like I'm up.\Um, just wh-what are you...?\Huh?\Another dead end?\You can take the stairs to the right. response:	Then go straight ahead to the ceremony hall.
context: One guard.\What do we do?\Looks like I'm up.\Um, just wh-what are you...?\Huh?\Another dead end?\You can take the stairs to the right.\Then go straight ahead to the ceremony hall. response:	Thanks f'r the directions!
context: What do we do?\Looks like I'm up.\Um, just wh-what are you...?\Huh?\Another dead end?\You can take the stairs to the right.\Then go straight ahead to the ceremony hall.\Thanks f'r the directions! response:	I think I drank too much.
context: Looks like I'm up.\Um, just wh-what are you...?\Huh?\Another dead end?\You can take the stairs to the right.\Then go straight ahead to the ceremony hall.\Thanks f'r the directions!\I think I drank too much. response:	Could you get me something to drink?
context: Um, just wh-what are you...?\Huh?\Another dead end?\You can take the stairs to the right.\Then go straight ahead to the ceremony hall.\Thanks f'r the directions!\I think I drank too much.\Could you get me something to drink? response:	I-if water will suffice.
context: Huh?\Another dead end?\You can take the stairs to the right.\Then go straight ahead to the ceremony hall.\Thanks f'r the directions!\I think I drank too much.\Could you get me something to drink?\I-if water will suffice. response:	Oh, you're so kind!
context: Another dead end?\You can take the stairs to the right.\Then go straight ahead to the ceremony hall.\Thanks f'r the directions!\I think I drank too much.\Could you get me something to drink?\I-if water will suffice.\Oh, you're so kind! response:	Wh..what are you-?
context: You can take the stairs to the right.\Then go straight ahead to the ceremony hall.\Thanks f'r the directions!\I think I drank too much.\Could you get me something to drink?\I-if water will suffice.\Oh, you're so kind!\Wh..what are you-? response:	You have such a cute face, Mr. Guard Man.
context: Then go straight ahead to the ceremony hall.\Thanks f'r the directions!\I think I drank too much.\Could you get me something to drink?\I-if water will suffice.\Oh, you're so kind!\Wh..what are you-?\You have such a cute face, Mr. Guard Man. response:	Do... do you really... think so?
context: Thanks f'r the directions!\I think I drank too much.\Could you get me something to drink?\I-if water will suffice.\Oh, you're so kind!\Wh..what are you-?\You have such a cute face, Mr. Guard Man.\Do... do you really... think so? response:	What the...?
context: I think I drank too much.\Could you get me something to drink?\I-if water will suffice.\Oh, you're so kind!\Wh..what are you-?\You have such a cute face, Mr. Guard Man.\Do... do you really... think so?\What the...? response:	Hey!
context: Could you get me something to drink?\I-if water will suffice.\Oh, you're so kind!\Wh..what are you-?\You have such a cute face, Mr. Guard Man.\Do... do you really... think so?\What the...?\Hey! response:	Is that you, Jake?
context: I-if water will suffice.\Oh, you're so kind!\Wh..what are you-?\You have such a cute face, Mr. Guard Man.\Do... do you really... think so?\What the...?\Hey!\Is that you, Jake? response:	There's been a methane explosion!
context: Oh, you're so kind!\Wh..what are you-?\You have such a cute face, Mr. Guard Man.\Do... do you really... think so?\What the...?\Hey!\Is that you, Jake?\There's been a methane explosion! response:	So that's where the dust is coming from!
context: Wh..what are you-?\You have such a cute face, Mr. Guard Man.\Do... do you really... think so?\What the...?\Hey!\Is that you, Jake?\There's been a methane explosion!\So that's where the dust is coming from! response:	I'll take over here!
context: You have such a cute face, Mr. Guard Man.\Do... do you really... think so?\What the...?\Hey!\Is that you, Jake?\There's been a methane explosion!\So that's where the dust is coming from!\I'll take over here! response:	You go get some masks!
context: Do... do you really... think so?\What the...?\Hey!\Is that you, Jake?\There's been a methane explosion!\So that's where the dust is coming from!\I'll take over here!\You go get some masks! response:	They're in Storeroom Three.
