context: My name is Gouda Takeo. response:	I may not look like it, but I'm a first-year in high school.
context: Suna seems to have a thing for her, too.\Now that I think about it, you're always helping me...\Thank you.\Next time, could it be without Sunakawa-kun?\She's finally ready to ask for advice with her relationship.\You can count on me!\My Blue Ogre\Here I am... response:	Sorry, was I late?
context: Now that I think about it, you're always helping me...\Thank you.\Next time, could it be without Sunakawa-kun?\She's finally ready to ask for advice with her relationship.\You can count on me!\My Blue Ogre\Here I am...\Sorry, was I late? response:	No, you're still five minutes early.
context: Thank you.\Next time, could it be without Sunakawa-kun?\She's finally ready to ask for advice with her relationship.\You can count on me!\My Blue Ogre\Here I am...\Sorry, was I late?\No, you're still five minutes early. response:	Thank goodness.
context: Next time, could it be without Sunakawa-kun?\She's finally ready to ask for advice with her relationship.\You can count on me!\My Blue Ogre\Here I am...\Sorry, was I late?\No, you're still five minutes early.\Thank goodness. response:	I thought I'd kept you waiting.
context: She's finally ready to ask for advice with her relationship.\You can count on me!\My Blue Ogre\Here I am...\Sorry, was I late?\No, you're still five minutes early.\Thank goodness.\I thought I'd kept you waiting. response:	No...
context: You can count on me!\My Blue Ogre\Here I am...\Sorry, was I late?\No, you're still five minutes early.\Thank goodness.\I thought I'd kept you waiting.\No... response:	Huh, is it just my imagination,
context: My Blue Ogre\Here I am...\Sorry, was I late?\No, you're still five minutes early.\Thank goodness.\I thought I'd kept you waiting.\No...\Huh, is it just my imagination, response:	or does she look extra-ridiculously cute today?
context: Here I am...\Sorry, was I late?\No, you're still five minutes early.\Thank goodness.\I thought I'd kept you waiting.\No...\Huh, is it just my imagination,\or does she look extra-ridiculously cute today? response:	O-Oh...
context: Sorry, was I late?\No, you're still five minutes early.\Thank goodness.\I thought I'd kept you waiting.\No...\Huh, is it just my imagination,\or does she look extra-ridiculously cute today?\O-Oh... response:	Yeah?
context: No, you're still five minutes early.\Thank goodness.\I thought I'd kept you waiting.\No...\Huh, is it just my imagination,\or does she look extra-ridiculously cute today?\O-Oh...\Yeah? response:	Um, I thought it shouldn't always be cake,
context: Thank goodness.\I thought I'd kept you waiting.\No...\Huh, is it just my imagination,\or does she look extra-ridiculously cute today?\O-Oh...\Yeah?\Um, I thought it shouldn't always be cake, response:	so I made cake sale today.
context: I thought I'd kept you waiting.\No...\Huh, is it just my imagination,\or does she look extra-ridiculously cute today?\O-Oh...\Yeah?\Um, I thought it shouldn't always be cake,\so I made cake sale today. response:	Cake?
context: No...\Huh, is it just my imagination,\or does she look extra-ridiculously cute today?\O-Oh...\Yeah?\Um, I thought it shouldn't always be cake,\so I made cake sale today.\Cake? response:	What's this?
context: Huh, is it just my imagination,\or does she look extra-ridiculously cute today?\O-Oh...\Yeah?\Um, I thought it shouldn't always be cake,\so I made cake sale today.\Cake?\What's this? response:	You might take a bite, thinking it's sweet, but it's actually salty.
context: or does she look extra-ridiculously cute today?\O-Oh...\Yeah?\Um, I thought it shouldn't always be cake,\so I made cake sale today.\Cake?\What's this?\You might take a bite, thinking it's sweet, but it's actually salty. response:	So don't take a bite, thinking it's sweet, because it's actually salty!
context: O-Oh...\Yeah?\Um, I thought it shouldn't always be cake,\so I made cake sale today.\Cake?\What's this?\You might take a bite, thinking it's sweet, but it's actually salty.\So don't take a bite, thinking it's sweet, because it's actually salty! response:	She said it twice.
context: Yeah?\Um, I thought it shouldn't always be cake,\so I made cake sale today.\Cake?\What's this?\You might take a bite, thinking it's sweet, but it's actually salty.\So don't take a bite, thinking it's sweet, because it's actually salty!\She said it twice. response:	Thanks.
context: Um, I thought it shouldn't always be cake,\so I made cake sale today.\Cake?\What's this?\You might take a bite, thinking it's sweet, but it's actually salty.\So don't take a bite, thinking it's sweet, because it's actually salty!\She said it twice.\Thanks. response:	It's great!
context: so I made cake sale today.\Cake?\What's this?\You might take a bite, thinking it's sweet, but it's actually salty.\So don't take a bite, thinking it's sweet, because it's actually salty!\She said it twice.\Thanks.\It's great! response:	It's awesome.
context: Cake?\What's this?\You might take a bite, thinking it's sweet, but it's actually salty.\So don't take a bite, thinking it's sweet, because it's actually salty!\She said it twice.\Thanks.\It's great!\It's awesome. response:	I've never tasted anything like it before!
context: What's this?\You might take a bite, thinking it's sweet, but it's actually salty.\So don't take a bite, thinking it's sweet, because it's actually salty!\She said it twice.\Thanks.\It's great!\It's awesome.\I've never tasted anything like it before! response:	You always eat a lot of my baking. That makes me happy.
context: You might take a bite, thinking it's sweet, but it's actually salty.\So don't take a bite, thinking it's sweet, because it's actually salty!\She said it twice.\Thanks.\It's great!\It's awesome.\I've never tasted anything like it before!\You always eat a lot of my baking. That makes me happy. response:	T-Takeo-kun...
context: So don't take a bite, thinking it's sweet, because it's actually salty!\She said it twice.\Thanks.\It's great!\It's awesome.\I've never tasted anything like it before!\You always eat a lot of my baking. That makes me happy.\T-Takeo-kun... response:	U-Um...
context: She said it twice.\Thanks.\It's great!\It's awesome.\I've never tasted anything like it before!\You always eat a lot of my baking. That makes me happy.\T-Takeo-kun...\U-Um... response:	Oh!
context: Thanks.\It's great!\It's awesome.\I've never tasted anything like it before!\You always eat a lot of my baking. That makes me happy.\T-Takeo-kun...\U-Um...\Oh! response:	I brought tea today, too.
context: It's great!\It's awesome.\I've never tasted anything like it before!\You always eat a lot of my baking. That makes me happy.\T-Takeo-kun...\U-Um...\Oh!\I brought tea today, too. response:	Last time, Sunakawa-kun bought drinks,
context: It's awesome.\I've never tasted anything like it before!\You always eat a lot of my baking. That makes me happy.\T-Takeo-kun...\U-Um...\Oh!\I brought tea today, too.\Last time, Sunakawa-kun bought drinks, response:	and that was really considerate of him.
context: I've never tasted anything like it before!\You always eat a lot of my baking. That makes me happy.\T-Takeo-kun...\U-Um...\Oh!\I brought tea today, too.\Last time, Sunakawa-kun bought drinks,\and that was really considerate of him. response:	Yeah! Suna is really considerate!
context: You always eat a lot of my baking. That makes me happy.\T-Takeo-kun...\U-Um...\Oh!\I brought tea today, too.\Last time, Sunakawa-kun bought drinks,\and that was really considerate of him.\Yeah! Suna is really considerate! response:	He doesn't have a girlfriend, either.
context: T-Takeo-kun...\U-Um...\Oh!\I brought tea today, too.\Last time, Sunakawa-kun bought drinks,\and that was really considerate of him.\Yeah! Suna is really considerate!\He doesn't have a girlfriend, either. response:	And he spoke highly of you.
context: U-Um...\Oh!\I brought tea today, too.\Last time, Sunakawa-kun bought drinks,\and that was really considerate of him.\Yeah! Suna is really considerate!\He doesn't have a girlfriend, either.\And he spoke highly of you. response:	He wouldn't cheat on a girl, either.
context: Oh!\I brought tea today, too.\Last time, Sunakawa-kun bought drinks,\and that was really considerate of him.\Yeah! Suna is really considerate!\He doesn't have a girlfriend, either.\And he spoke highly of you.\He wouldn't cheat on a girl, either. response:	He's smart and good-looking.
context: I brought tea today, too.\Last time, Sunakawa-kun bought drinks,\and that was really considerate of him.\Yeah! Suna is really considerate!\He doesn't have a girlfriend, either.\And he spoke highly of you.\He wouldn't cheat on a girl, either.\He's smart and good-looking. response:	He's a good guy.
context: Last time, Sunakawa-kun bought drinks,\and that was really considerate of him.\Yeah! Suna is really considerate!\He doesn't have a girlfriend, either.\And he spoke highly of you.\He wouldn't cheat on a girl, either.\He's smart and good-looking.\He's a good guy. response:	Yamato...
context: and that was really considerate of him.\Yeah! Suna is really considerate!\He doesn't have a girlfriend, either.\And he spoke highly of you.\He wouldn't cheat on a girl, either.\He's smart and good-looking.\He's a good guy.\Yamato... response:	You can't do much about how people feel, but...
context: Yeah! Suna is really considerate!\He doesn't have a girlfriend, either.\And he spoke highly of you.\He wouldn't cheat on a girl, either.\He's smart and good-looking.\He's a good guy.\Yamato...\You can't do much about how people feel, but... response:	Take it from someone who's known him since we were three years old.
context: He doesn't have a girlfriend, either.\And he spoke highly of you.\He wouldn't cheat on a girl, either.\He's smart and good-looking.\He's a good guy.\Yamato...\You can't do much about how people feel, but...\Take it from someone who's known him since we were three years old. response:	You have my guarantee!
context: And he spoke highly of you.\He wouldn't cheat on a girl, either.\He's smart and good-looking.\He's a good guy.\Yamato...\You can't do much about how people feel, but...\Take it from someone who's known him since we were three years old.\You have my guarantee! response:	Suna's a good guy!
context: He wouldn't cheat on a girl, either.\He's smart and good-looking.\He's a good guy.\Yamato...\You can't do much about how people feel, but...\Take it from someone who's known him since we were three years old.\You have my guarantee!\Suna's a good guy! response:	Don't worry... I'm a man.
context: He's smart and good-looking.\He's a good guy.\Yamato...\You can't do much about how people feel, but...\Take it from someone who's known him since we were three years old.\You have my guarantee!\Suna's a good guy!\Don't worry... I'm a man. response:	I won't make you uncomfortable by confessing my feelings to you!
context: He's a good guy.\Yamato...\You can't do much about how people feel, but...\Take it from someone who's known him since we were three years old.\You have my guarantee!\Suna's a good guy!\Don't worry... I'm a man.\I won't make you uncomfortable by confessing my feelings to you! response:	This is how it should be.
context: Yamato...\You can't do much about how people feel, but...\Take it from someone who's known him since we were three years old.\You have my guarantee!\Suna's a good guy!\Don't worry... I'm a man.\I won't make you uncomfortable by confessing my feelings to you!\This is how it should be. response:	They'd make a great couple.
context: You can't do much about how people feel, but...\Take it from someone who's known him since we were three years old.\You have my guarantee!\Suna's a good guy!\Don't worry... I'm a man.\I won't make you uncomfortable by confessing my feelings to you!\This is how it should be.\They'd make a great couple. response:	She thanked me.
context: Take it from someone who's known him since we were three years old.\You have my guarantee!\Suna's a good guy!\Don't worry... I'm a man.\I won't make you uncomfortable by confessing my feelings to you!\This is how it should be.\They'd make a great couple.\She thanked me. response:	She lifted the beam with me.
context: You have my guarantee!\Suna's a good guy!\Don't worry... I'm a man.\I won't make you uncomfortable by confessing my feelings to you!\This is how it should be.\They'd make a great couple.\She thanked me.\She lifted the beam with me. response:	And sometimes, I get to eat tasty cake like this.
context: Suna's a good guy!\Don't worry... I'm a man.\I won't make you uncomfortable by confessing my feelings to you!\This is how it should be.\They'd make a great couple.\She thanked me.\She lifted the beam with me.\And sometimes, I get to eat tasty cake like this. response:	That's enough for me.
context: Don't worry... I'm a man.\I won't make you uncomfortable by confessing my feelings to you!\This is how it should be.\They'd make a great couple.\She thanked me.\She lifted the beam with me.\And sometimes, I get to eat tasty cake like this.\That's enough for me. response:	In the end, I'm the Red Ogre.
context: I won't make you uncomfortable by confessing my feelings to you!\This is how it should be.\They'd make a great couple.\She thanked me.\She lifted the beam with me.\And sometimes, I get to eat tasty cake like this.\That's enough for me.\In the end, I'm the Red Ogre. response:	So I can't be like the Blue Ogre, but...
context: This is how it should be.\They'd make a great couple.\She thanked me.\She lifted the beam with me.\And sometimes, I get to eat tasty cake like this.\That's enough for me.\In the end, I'm the Red Ogre.\So I can't be like the Blue Ogre, but... response:	I do want the people I care for to smile.
context: They'd make a great couple.\She thanked me.\She lifted the beam with me.\And sometimes, I get to eat tasty cake like this.\That's enough for me.\In the end, I'm the Red Ogre.\So I can't be like the Blue Ogre, but...\I do want the people I care for to smile. response:	I want them to be happy.
context: She thanked me.\She lifted the beam with me.\And sometimes, I get to eat tasty cake like this.\That's enough for me.\In the end, I'm the Red Ogre.\So I can't be like the Blue Ogre, but...\I do want the people I care for to smile.\I want them to be happy. response:	Yamato, Suna's...
context: She lifted the beam with me.\And sometimes, I get to eat tasty cake like this.\That's enough for me.\In the end, I'm the Red Ogre.\So I can't be like the Blue Ogre, but...\I do want the people I care for to smile.\I want them to be happy.\Yamato, Suna's... response:	Yamato?
context: And sometimes, I get to eat tasty cake like this.\That's enough for me.\In the end, I'm the Red Ogre.\So I can't be like the Blue Ogre, but...\I do want the people I care for to smile.\I want them to be happy.\Yamato, Suna's...\Yamato? response:	Sorry...
context: That's enough for me.\In the end, I'm the Red Ogre.\So I can't be like the Blue Ogre, but...\I do want the people I care for to smile.\I want them to be happy.\Yamato, Suna's...\Yamato?\Sorry... response:	Something got into my eye...
context: In the end, I'm the Red Ogre.\So I can't be like the Blue Ogre, but...\I do want the people I care for to smile.\I want them to be happy.\Yamato, Suna's...\Yamato?\Sorry...\Something got into my eye... response:	Uh-oh, I guess my contacts shifted...
context: So I can't be like the Blue Ogre, but...\I do want the people I care for to smile.\I want them to be happy.\Yamato, Suna's...\Yamato?\Sorry...\Something got into my eye...\Uh-oh, I guess my contacts shifted... response:	Sorry, I have to go!
context: I do want the people I care for to smile.\I want them to be happy.\Yamato, Suna's...\Yamato?\Sorry...\Something got into my eye...\Uh-oh, I guess my contacts shifted...\Sorry, I have to go! response:	Sorry!
context: I want them to be happy.\Yamato, Suna's...\Yamato?\Sorry...\Something got into my eye...\Uh-oh, I guess my contacts shifted...\Sorry, I have to go!\Sorry! response:	What was that?
context: Yamato, Suna's...\Yamato?\Sorry...\Something got into my eye...\Uh-oh, I guess my contacts shifted...\Sorry, I have to go!\Sorry!\What was that? response:	Why was she crying?!
context: Yamato?\Sorry...\Something got into my eye...\Uh-oh, I guess my contacts shifted...\Sorry, I have to go!\Sorry!\What was that?\Why was she crying?! response:	Did you do something to Yamato?
context: Sorry...\Something got into my eye...\Uh-oh, I guess my contacts shifted...\Sorry, I have to go!\Sorry!\What was that?\Why was she crying?!\Did you do something to Yamato? response:	Nothing.
context: Something got into my eye...\Uh-oh, I guess my contacts shifted...\Sorry, I have to go!\Sorry!\What was that?\Why was she crying?!\Did you do something to Yamato?\Nothing. response:	Nothing?!
context: Uh-oh, I guess my contacts shifted...\Sorry, I have to go!\Sorry!\What was that?\Why was she crying?!\Did you do something to Yamato?\Nothing.\Nothing?! response:	Today, you aren't even going to say, I'm coming in?
context: Sorry, I have to go!\Sorry!\What was that?\Why was she crying?!\Did you do something to Yamato?\Nothing.\Nothing?!\Today, you aren't even going to say, I'm coming in? response:	Then why did Yamato cry when I told her about you?!
context: Sorry!\What was that?\Why was she crying?!\Did you do something to Yamato?\Nothing.\Nothing?!\Today, you aren't even going to say, I'm coming in?\Then why did Yamato cry when I told her about you?! response:	She cried?
context: What was that?\Why was she crying?!\Did you do something to Yamato?\Nothing.\Nothing?!\Today, you aren't even going to say, I'm coming in?\Then why did Yamato cry when I told her about you?!\She cried? response:	It's because she likes you,
context: Why was she crying?!\Did you do something to Yamato?\Nothing.\Nothing?!\Today, you aren't even going to say, I'm coming in?\Then why did Yamato cry when I told her about you?!\She cried?\It's because she likes you, response:	you idiot!
context: Did you do something to Yamato?\Nothing.\Nothing?!\Today, you aren't even going to say, I'm coming in?\Then why did Yamato cry when I told her about you?!\She cried?\It's because she likes you,\you idiot! response:	Dude, way too close.
context: Nothing.\Nothing?!\Today, you aren't even going to say, I'm coming in?\Then why did Yamato cry when I told her about you?!\She cried?\It's because she likes you,\you idiot!\Dude, way too close. response:	Actually, you're the idiot.
context: Nothing?!\Today, you aren't even going to say, I'm coming in?\Then why did Yamato cry when I told her about you?!\She cried?\It's because she likes you,\you idiot!\Dude, way too close.\Actually, you're the idiot. response:	What?
context: Today, you aren't even going to say, I'm coming in?\Then why did Yamato cry when I told her about you?!\She cried?\It's because she likes you,\you idiot!\Dude, way too close.\Actually, you're the idiot.\What? response:	It's because Yamato-san likes you.
context: Then why did Yamato cry when I told her about you?!\She cried?\It's because she likes you,\you idiot!\Dude, way too close.\Actually, you're the idiot.\What?\It's because Yamato-san likes you. response:	Don't mess with me! She likes you!
context: She cried?\It's because she likes you,\you idiot!\Dude, way too close.\Actually, you're the idiot.\What?\It's because Yamato-san likes you.\Don't mess with me! She likes you! response:	No, it's you.
context: It's because she likes you,\you idiot!\Dude, way too close.\Actually, you're the idiot.\What?\It's because Yamato-san likes you.\Don't mess with me! She likes you!\No, it's you. response:	No, you!
context: you idiot!\Dude, way too close.\Actually, you're the idiot.\What?\It's because Yamato-san likes you.\Don't mess with me! She likes you!\No, it's you.\No, you! response:	Why?
context: Dude, way too close.\Actually, you're the idiot.\What?\It's because Yamato-san likes you.\Don't mess with me! She likes you!\No, it's you.\No, you!\Why? response:	Because you're cool!
context: Actually, you're the idiot.\What?\It's because Yamato-san likes you.\Don't mess with me! She likes you!\No, it's you.\No, you!\Why?\Because you're cool! response:	Suna, you're cool!
context: What?\It's because Yamato-san likes you.\Don't mess with me! She likes you!\No, it's you.\No, you!\Why?\Because you're cool!\Suna, you're cool! response:	Thanks, I guess.
context: It's because Yamato-san likes you.\Don't mess with me! She likes you!\No, it's you.\No, you!\Why?\Because you're cool!\Suna, you're cool!\Thanks, I guess. response:	Don't worry. You're cool, too.
context: Don't mess with me! She likes you!\No, it's you.\No, you!\Why?\Because you're cool!\Suna, you're cool!\Thanks, I guess.\Don't worry. You're cool, too. response:	Yamato-san said you were cool, also.
context: No, it's you.\No, you!\Why?\Because you're cool!\Suna, you're cool!\Thanks, I guess.\Don't worry. You're cool, too.\Yamato-san said you were cool, also. response:	What?
context: No, you!\Why?\Because you're cool!\Suna, you're cool!\Thanks, I guess.\Don't worry. You're cool, too.\Yamato-san said you were cool, also.\What? response:	This is getting really tiresome. Can I just tell you everything?
context: Why?\Because you're cool!\Suna, you're cool!\Thanks, I guess.\Don't worry. You're cool, too.\Yamato-san said you were cool, also.\What?\This is getting really tiresome. Can I just tell you everything? response:	When we met Yamato-san in the park to return her phone,
context: Because you're cool!\Suna, you're cool!\Thanks, I guess.\Don't worry. You're cool, too.\Yamato-san said you were cool, also.\What?\This is getting really tiresome. Can I just tell you everything?\When we met Yamato-san in the park to return her phone, response:	you vanished into the restroom at some point, remember?
context: Suna, you're cool!\Thanks, I guess.\Don't worry. You're cool, too.\Yamato-san said you were cool, also.\What?\This is getting really tiresome. Can I just tell you everything?\When we met Yamato-san in the park to return her phone,\you vanished into the restroom at some point, remember? response:	At that point, she'd told me a lot of things.
context: Thanks, I guess.\Don't worry. You're cool, too.\Yamato-san said you were cool, also.\What?\This is getting really tiresome. Can I just tell you everything?\When we met Yamato-san in the park to return her phone,\you vanished into the restroom at some point, remember?\At that point, she'd told me a lot of things. response:	Um...
context: Don't worry. You're cool, too.\Yamato-san said you were cool, also.\What?\This is getting really tiresome. Can I just tell you everything?\When we met Yamato-san in the park to return her phone,\you vanished into the restroom at some point, remember?\At that point, she'd told me a lot of things.\Um... response:	Does he have friends?
context: Yamato-san said you were cool, also.\What?\This is getting really tiresome. Can I just tell you everything?\When we met Yamato-san in the park to return her phone,\you vanished into the restroom at some point, remember?\At that point, she'd told me a lot of things.\Um...\Does he have friends? response:	A girlfriend, maybe?
context: What?\This is getting really tiresome. Can I just tell you everything?\When we met Yamato-san in the park to return her phone,\you vanished into the restroom at some point, remember?\At that point, she'd told me a lot of things.\Um...\Does he have friends?\A girlfriend, maybe? response:	Of course he does.
context: This is getting really tiresome. Can I just tell you everything?\When we met Yamato-san in the park to return her phone,\you vanished into the restroom at some point, remember?\At that point, she'd told me a lot of things.\Um...\Does he have friends?\A girlfriend, maybe?\Of course he does. response:	He's so cool!
context: When we met Yamato-san in the park to return her phone,\you vanished into the restroom at some point, remember?\At that point, she'd told me a lot of things.\Um...\Does he have friends?\A girlfriend, maybe?\Of course he does.\He's so cool! response:	Nope.
context: you vanished into the restroom at some point, remember?\At that point, she'd told me a lot of things.\Um...\Does he have friends?\A girlfriend, maybe?\Of course he does.\He's so cool!\Nope. response:	Really?
context: At that point, she'd told me a lot of things.\Um...\Does he have friends?\A girlfriend, maybe?\Of course he does.\He's so cool!\Nope.\Really? response:	Really.
context: Um...\Does he have friends?\A girlfriend, maybe?\Of course he does.\He's so cool!\Nope.\Really?\Really. response:	No way! Really?
context: Does he have friends?\A girlfriend, maybe?\Of course he does.\He's so cool!\Nope.\Really?\Really.\No way! Really? response:	He isn't the type who could hide that sort of thing.
context: A girlfriend, maybe?\Of course he does.\He's so cool!\Nope.\Really?\Really.\No way! Really?\He isn't the type who could hide that sort of thing. response:	Then I can like him?
context: Of course he does.\He's so cool!\Nope.\Really?\Really.\No way! Really?\He isn't the type who could hide that sort of thing.\Then I can like him? response:	I can't help myself, you know?
context: He's so cool!\Nope.\Really?\Really.\No way! Really?\He isn't the type who could hide that sort of thing.\Then I can like him?\I can't help myself, you know? response:	He was so cool yesterday!
context: Nope.\Really?\Really.\No way! Really?\He isn't the type who could hide that sort of thing.\Then I can like him?\I can't help myself, you know?\He was so cool yesterday! response:	You can't help but fall for that.
context: Really?\Really.\No way! Really?\He isn't the type who could hide that sort of thing.\Then I can like him?\I can't help myself, you know?\He was so cool yesterday!\You can't help but fall for that. response:	Fall for you?
context: Really.\No way! Really?\He isn't the type who could hide that sort of thing.\Then I can like him?\I can't help myself, you know?\He was so cool yesterday!\You can't help but fall for that.\Fall for you? response:	Dude, are you even listening?
context: No way! Really?\He isn't the type who could hide that sort of thing.\Then I can like him?\I can't help myself, you know?\He was so cool yesterday!\You can't help but fall for that.\Fall for you?\Dude, are you even listening? response:	But that time in my room, she didn't want you to leave!
context: He isn't the type who could hide that sort of thing.\Then I can like him?\I can't help myself, you know?\He was so cool yesterday!\You can't help but fall for that.\Fall for you?\Dude, are you even listening?\But that time in my room, she didn't want you to leave! response:	Really?
context: Then I can like him?\I can't help myself, you know?\He was so cool yesterday!\You can't help but fall for that.\Fall for you?\Dude, are you even listening?\But that time in my room, she didn't want you to leave!\Really? response:	Really.
context: I can't help myself, you know?\He was so cool yesterday!\You can't help but fall for that.\Fall for you?\Dude, are you even listening?\But that time in my room, she didn't want you to leave!\Really?\Really. response:	I'll get going.
context: He was so cool yesterday!\You can't help but fall for that.\Fall for you?\Dude, are you even listening?\But that time in my room, she didn't want you to leave!\Really?\Really.\I'll get going. response:	Huh?
context: You can't help but fall for that.\Fall for you?\Dude, are you even listening?\But that time in my room, she didn't want you to leave!\Really?\Really.\I'll get going.\Huh? response:	You're leaving?!
context: Fall for you?\Dude, are you even listening?\But that time in my room, she didn't want you to leave!\Really?\Really.\I'll get going.\Huh?\You're leaving?! response:	Her face totally said she wanted to spend more time with you!
context: Dude, are you even listening?\But that time in my room, she didn't want you to leave!\Really?\Really.\I'll get going.\Huh?\You're leaving?!\Her face totally said she wanted to spend more time with you! response:	She probably didn't want me to go
context: But that time in my room, she didn't want you to leave!\Really?\Really.\I'll get going.\Huh?\You're leaving?!\Her face totally said she wanted to spend more time with you!\She probably didn't want me to go response:	because she'd be too nervous if she were alone with you.
context: Really?\Really.\I'll get going.\Huh?\You're leaving?!\Her face totally said she wanted to spend more time with you!\She probably didn't want me to go\because she'd be too nervous if she were alone with you. response:	She's always looking at you!
context: Really.\I'll get going.\Huh?\You're leaving?!\Her face totally said she wanted to spend more time with you!\She probably didn't want me to go\because she'd be too nervous if she were alone with you.\She's always looking at you! response:	You're always staring at her. Of course she can't look you in the eye.
context: I'll get going.\Huh?\You're leaving?!\Her face totally said she wanted to spend more time with you!\She probably didn't want me to go\because she'd be too nervous if she were alone with you.\She's always looking at you!\You're always staring at her. Of course she can't look you in the eye. response:	Think back harder...
context: Huh?\You're leaving?!\Her face totally said she wanted to spend more time with you!\She probably didn't want me to go\because she'd be too nervous if she were alone with you.\She's always looking at you!\You're always staring at her. Of course she can't look you in the eye.\Think back harder... response:	I'd like for you to develop a better eye for people.
context: You're leaving?!\Her face totally said she wanted to spend more time with you!\She probably didn't want me to go\because she'd be too nervous if she were alone with you.\She's always looking at you!\You're always staring at her. Of course she can't look you in the eye.\Think back harder...\I'd like for you to develop a better eye for people. response:	She likes me?
context: Her face totally said she wanted to spend more time with you!\She probably didn't want me to go\because she'd be too nervous if she were alone with you.\She's always looking at you!\You're always staring at her. Of course she can't look you in the eye.\Think back harder...\I'd like for you to develop a better eye for people.\She likes me? response:	Yamato likes me?
context: She probably didn't want me to go\because she'd be too nervous if she were alone with you.\She's always looking at you!\You're always staring at her. Of course she can't look you in the eye.\Think back harder...\I'd like for you to develop a better eye for people.\She likes me?\Yamato likes me? response:	No way. It can't be true.
context: because she'd be too nervous if she were alone with you.\She's always looking at you!\You're always staring at her. Of course she can't look you in the eye.\Think back harder...\I'd like for you to develop a better eye for people.\She likes me?\Yamato likes me?\No way. It can't be true. response:	You said Yamato's a nice girl, right?
context: She's always looking at you!\You're always staring at her. Of course she can't look you in the eye.\Think back harder...\I'd like for you to develop a better eye for people.\She likes me?\Yamato likes me?\No way. It can't be true.\You said Yamato's a nice girl, right? response:	You don't like her?
context: You're always staring at her. Of course she can't look you in the eye.\Think back harder...\I'd like for you to develop a better eye for people.\She likes me?\Yamato likes me?\No way. It can't be true.\You said Yamato's a nice girl, right?\You don't like her? response:	She is a nice girl.
