context: Damn it. response:	I'm serious about it.
context: Can you make it 700?\No discount whatsoever!\How about 800?\Absolutely not, idiot.\Well then, 900?\Are you messing with me?\What then how about 950?\I'll kill you! response:	Okay, you win. I get it. Geez.
context: No discount whatsoever!\How about 800?\Absolutely not, idiot.\Well then, 900?\Are you messing with me?\What then how about 950?\I'll kill you!\Okay, you win. I get it. Geez. response:	I'll take the S-type. Here, 500.
context: How about 800?\Absolutely not, idiot.\Well then, 900?\Are you messing with me?\What then how about 950?\I'll kill you!\Okay, you win. I get it. Geez.\I'll take the S-type. Here, 500. response:	What a cold-blooded business man you are!
context: Absolutely not, idiot.\Well then, 900?\Are you messing with me?\What then how about 950?\I'll kill you!\Okay, you win. I get it. Geez.\I'll take the S-type. Here, 500.\What a cold-blooded business man you are! response:	It's a deal. Take it.
context: Well then, 900?\Are you messing with me?\What then how about 950?\I'll kill you!\Okay, you win. I get it. Geez.\I'll take the S-type. Here, 500.\What a cold-blooded business man you are!\It's a deal. Take it. response:	What's the matter?
context: Are you messing with me?\What then how about 950?\I'll kill you!\Okay, you win. I get it. Geez.\I'll take the S-type. Here, 500.\What a cold-blooded business man you are!\It's a deal. Take it.\What's the matter? response:	I forgot one thing. My client's machine can only take the L-type.
context: What then how about 950?\I'll kill you!\Okay, you win. I get it. Geez.\I'll take the S-type. Here, 500.\What a cold-blooded business man you are!\It's a deal. Take it.\What's the matter?\I forgot one thing. My client's machine can only take the L-type. response:	You idiot!
context: I'll kill you!\Okay, you win. I get it. Geez.\I'll take the S-type. Here, 500.\What a cold-blooded business man you are!\It's a deal. Take it.\What's the matter?\I forgot one thing. My client's machine can only take the L-type.\You idiot! response:	I'll take the L-type.
context: Okay, you win. I get it. Geez.\I'll take the S-type. Here, 500.\What a cold-blooded business man you are!\It's a deal. Take it.\What's the matter?\I forgot one thing. My client's machine can only take the L-type.\You idiot!\I'll take the L-type. response:	It's 1000.
context: I'll take the S-type. Here, 500.\What a cold-blooded business man you are!\It's a deal. Take it.\What's the matter?\I forgot one thing. My client's machine can only take the L-type.\You idiot!\I'll take the L-type.\It's 1000. response:	I know, but...
context: What a cold-blooded business man you are!\It's a deal. Take it.\What's the matter?\I forgot one thing. My client's machine can only take the L-type.\You idiot!\I'll take the L-type.\It's 1000.\I know, but... response:	I have this 500 part in my hand.
context: It's a deal. Take it.\What's the matter?\I forgot one thing. My client's machine can only take the L-type.\You idiot!\I'll take the L-type.\It's 1000.\I know, but...\I have this 500 part in my hand. response:	And with the 500 cash I put on the table, that makes 1,000 together.
context: What's the matter?\I forgot one thing. My client's machine can only take the L-type.\You idiot!\I'll take the L-type.\It's 1000.\I know, but...\I have this 500 part in my hand.\And with the 500 cash I put on the table, that makes 1,000 together. response:	Right?
context: I forgot one thing. My client's machine can only take the L-type.\You idiot!\I'll take the L-type.\It's 1000.\I know, but...\I have this 500 part in my hand.\And with the 500 cash I put on the table, that makes 1,000 together.\Right? response:	Together? 1,000?
context: You idiot!\I'll take the L-type.\It's 1000.\I know, but...\I have this 500 part in my hand.\And with the 500 cash I put on the table, that makes 1,000 together.\Right?\Together? 1,000? response:	All right.
context: I'll take the L-type.\It's 1000.\I know, but...\I have this 500 part in my hand.\And with the 500 cash I put on the table, that makes 1,000 together.\Right?\Together? 1,000?\All right. response:	Okay! It's a deal! I'll take this!
context: It's 1000.\I know, but...\I have this 500 part in my hand.\And with the 500 cash I put on the table, that makes 1,000 together.\Right?\Together? 1,000?\All right.\Okay! It's a deal! I'll take this! response:	Wait a sec. I don't know what's going on, but something's not right.
context: I know, but...\I have this 500 part in my hand.\And with the 500 cash I put on the table, that makes 1,000 together.\Right?\Together? 1,000?\All right.\Okay! It's a deal! I'll take this!\Wait a sec. I don't know what's going on, but something's not right. response:	You conned me!
context: I have this 500 part in my hand.\And with the 500 cash I put on the table, that makes 1,000 together.\Right?\Together? 1,000?\All right.\Okay! It's a deal! I'll take this!\Wait a sec. I don't know what's going on, but something's not right.\You conned me! response:	Conned? That's not a nice way to say it, old man.
context: And with the 500 cash I put on the table, that makes 1,000 together.\Right?\Together? 1,000?\All right.\Okay! It's a deal! I'll take this!\Wait a sec. I don't know what's going on, but something's not right.\You conned me!\Conned? That's not a nice way to say it, old man. response:	Oh, you're not a man.
context: Right?\Together? 1,000?\All right.\Okay! It's a deal! I'll take this!\Wait a sec. I don't know what's going on, but something's not right.\You conned me!\Conned? That's not a nice way to say it, old man.\Oh, you're not a man. response:	What have you done?
context: Together? 1,000?\All right.\Okay! It's a deal! I'll take this!\Wait a sec. I don't know what's going on, but something's not right.\You conned me!\Conned? That's not a nice way to say it, old man.\Oh, you're not a man.\What have you done? response:	I told you.
context: All right.\Okay! It's a deal! I'll take this!\Wait a sec. I don't know what's going on, but something's not right.\You conned me!\Conned? That's not a nice way to say it, old man.\Oh, you're not a man.\What have you done?\I told you. response:	You should have agreed with 500 in the first place.
context: Okay! It's a deal! I'll take this!\Wait a sec. I don't know what's going on, but something's not right.\You conned me!\Conned? That's not a nice way to say it, old man.\Oh, you're not a man.\What have you done?\I told you.\You should have agreed with 500 in the first place. response:	To be honest,
context: Wait a sec. I don't know what's going on, but something's not right.\You conned me!\Conned? That's not a nice way to say it, old man.\Oh, you're not a man.\What have you done?\I told you.\You should have agreed with 500 in the first place.\To be honest, response:	I'm not your errand boy.
context: You conned me!\Conned? That's not a nice way to say it, old man.\Oh, you're not a man.\What have you done?\I told you.\You should have agreed with 500 in the first place.\To be honest,\I'm not your errand boy. response:	Do you know that?
context: Conned? That's not a nice way to say it, old man.\Oh, you're not a man.\What have you done?\I told you.\You should have agreed with 500 in the first place.\To be honest,\I'm not your errand boy.\Do you know that? response:	You can only be turned on by machine girls, right?
context: Oh, you're not a man.\What have you done?\I told you.\You should have agreed with 500 in the first place.\To be honest,\I'm not your errand boy.\Do you know that?\You can only be turned on by machine girls, right? response:	You idiot, who told you that?
context: What have you done?\I told you.\You should have agreed with 500 in the first place.\To be honest,\I'm not your errand boy.\Do you know that?\You can only be turned on by machine girls, right?\You idiot, who told you that? response:	I'll hook you up with a hot machine girl, so get to work.
context: I told you.\You should have agreed with 500 in the first place.\To be honest,\I'm not your errand boy.\Do you know that?\You can only be turned on by machine girls, right?\You idiot, who told you that?\I'll hook you up with a hot machine girl, so get to work. response:	You hook me up with a machine girl, huh?
context: You should have agreed with 500 in the first place.\To be honest,\I'm not your errand boy.\Do you know that?\You can only be turned on by machine girls, right?\You idiot, who told you that?\I'll hook you up with a hot machine girl, so get to work.\You hook me up with a machine girl, huh? response:	It better be fixed properly.
context: To be honest,\I'm not your errand boy.\Do you know that?\You can only be turned on by machine girls, right?\You idiot, who told you that?\I'll hook you up with a hot machine girl, so get to work.\You hook me up with a machine girl, huh?\It better be fixed properly. response:	As good as my fee's worth.
context: I'm not your errand boy.\Do you know that?\You can only be turned on by machine girls, right?\You idiot, who told you that?\I'll hook you up with a hot machine girl, so get to work.\You hook me up with a machine girl, huh?\It better be fixed properly.\As good as my fee's worth. response:	This thing's practically a zombie.
context: Do you know that?\You can only be turned on by machine girls, right?\You idiot, who told you that?\I'll hook you up with a hot machine girl, so get to work.\You hook me up with a machine girl, huh?\It better be fixed properly.\As good as my fee's worth.\This thing's practically a zombie. response:	Honestly,
context: You can only be turned on by machine girls, right?\You idiot, who told you that?\I'll hook you up with a hot machine girl, so get to work.\You hook me up with a machine girl, huh?\It better be fixed properly.\As good as my fee's worth.\This thing's practically a zombie.\Honestly, response:	you drive like a maniac.
context: You idiot, who told you that?\I'll hook you up with a hot machine girl, so get to work.\You hook me up with a machine girl, huh?\It better be fixed properly.\As good as my fee's worth.\This thing's practically a zombie.\Honestly,\you drive like a maniac. response:	Whoops, there goes your license!
context: I'll hook you up with a hot machine girl, so get to work.\You hook me up with a machine girl, huh?\It better be fixed properly.\As good as my fee's worth.\This thing's practically a zombie.\Honestly,\you drive like a maniac.\Whoops, there goes your license! response:	Hey hey, don't you think it's time to get a new one?
context: You hook me up with a machine girl, huh?\It better be fixed properly.\As good as my fee's worth.\This thing's practically a zombie.\Honestly,\you drive like a maniac.\Whoops, there goes your license!\Hey hey, don't you think it's time to get a new one? response:	You can have it cheap!
context: It better be fixed properly.\As good as my fee's worth.\This thing's practically a zombie.\Honestly,\you drive like a maniac.\Whoops, there goes your license!\Hey hey, don't you think it's time to get a new one?\You can have it cheap! response:	There is a good one sitting right there in my factory. Want to come and see?
context: As good as my fee's worth.\This thing's practically a zombie.\Honestly,\you drive like a maniac.\Whoops, there goes your license!\Hey hey, don't you think it's time to get a new one?\You can have it cheap!\There is a good one sitting right there in my factory. Want to come and see? response:	Looks good!
context: This thing's practically a zombie.\Honestly,\you drive like a maniac.\Whoops, there goes your license!\Hey hey, don't you think it's time to get a new one?\You can have it cheap!\There is a good one sitting right there in my factory. Want to come and see?\Looks good! response:	Right?
context: Honestly,\you drive like a maniac.\Whoops, there goes your license!\Hey hey, don't you think it's time to get a new one?\You can have it cheap!\There is a good one sitting right there in my factory. Want to come and see?\Looks good!\Right? response:	Well then,
context: you drive like a maniac.\Whoops, there goes your license!\Hey hey, don't you think it's time to get a new one?\You can have it cheap!\There is a good one sitting right there in my factory. Want to come and see?\Looks good!\Right?\Well then, response:	the deal was that you hook me up once I fixed it.
context: Whoops, there goes your license!\Hey hey, don't you think it's time to get a new one?\You can have it cheap!\There is a good one sitting right there in my factory. Want to come and see?\Looks good!\Right?\Well then,\the deal was that you hook me up once I fixed it. response:	So where's this machine girl from?
context: Hey hey, don't you think it's time to get a new one?\You can have it cheap!\There is a good one sitting right there in my factory. Want to come and see?\Looks good!\Right?\Well then,\the deal was that you hook me up once I fixed it.\So where's this machine girl from? response:	Is she at your home?
context: You can have it cheap!\There is a good one sitting right there in my factory. Want to come and see?\Looks good!\Right?\Well then,\the deal was that you hook me up once I fixed it.\So where's this machine girl from?\Is she at your home? response:	Let me guess, you shot her dead before I had a shot at her heart?
context: There is a good one sitting right there in my factory. Want to come and see?\Looks good!\Right?\Well then,\the deal was that you hook me up once I fixed it.\So where's this machine girl from?\Is she at your home?\Let me guess, you shot her dead before I had a shot at her heart? response:	Just kidding!
context: Looks good!\Right?\Well then,\the deal was that you hook me up once I fixed it.\So where's this machine girl from?\Is she at your home?\Let me guess, you shot her dead before I had a shot at her heart?\Just kidding! response:	No worries, I would fix her if you did.
context: Right?\Well then,\the deal was that you hook me up once I fixed it.\So where's this machine girl from?\Is she at your home?\Let me guess, you shot her dead before I had a shot at her heart?\Just kidding!\No worries, I would fix her if you did. response:	And then I could have her live at my factory.
context: Well then,\the deal was that you hook me up once I fixed it.\So where's this machine girl from?\Is she at your home?\Let me guess, you shot her dead before I had a shot at her heart?\Just kidding!\No worries, I would fix her if you did.\And then I could have her live at my factory. response:	Eventually she and I would get married.
context: the deal was that you hook me up once I fixed it.\So where's this machine girl from?\Is she at your home?\Let me guess, you shot her dead before I had a shot at her heart?\Just kidding!\No worries, I would fix her if you did.\And then I could have her live at my factory.\Eventually she and I would get married. response:	No, I have to check if our bodies fit well before marrying her and... what?
context: So where's this machine girl from?\Is she at your home?\Let me guess, you shot her dead before I had a shot at her heart?\Just kidding!\No worries, I would fix her if you did.\And then I could have her live at my factory.\Eventually she and I would get married.\No, I have to check if our bodies fit well before marrying her and... what? response:	See you!
context: Is she at your home?\Let me guess, you shot her dead before I had a shot at her heart?\Just kidding!\No worries, I would fix her if you did.\And then I could have her live at my factory.\Eventually she and I would get married.\No, I have to check if our bodies fit well before marrying her and... what?\See you! response:	Hey, wait!
context: Let me guess, you shot her dead before I had a shot at her heart?\Just kidding!\No worries, I would fix her if you did.\And then I could have her live at my factory.\Eventually she and I would get married.\No, I have to check if our bodies fit well before marrying her and... what?\See you!\Hey, wait! response:	Weren't you going to hook me up? Hey!
context: Just kidding!\No worries, I would fix her if you did.\And then I could have her live at my factory.\Eventually she and I would get married.\No, I have to check if our bodies fit well before marrying her and... what?\See you!\Hey, wait!\Weren't you going to hook me up? Hey! response:	This isn't supposed to be here.
context: No worries, I would fix her if you did.\And then I could have her live at my factory.\Eventually she and I would get married.\No, I have to check if our bodies fit well before marrying her and... what?\See you!\Hey, wait!\Weren't you going to hook me up? Hey!\This isn't supposed to be here. response:	Did I forget to install it?
context: And then I could have her live at my factory.\Eventually she and I would get married.\No, I have to check if our bodies fit well before marrying her and... what?\See you!\Hey, wait!\Weren't you going to hook me up? Hey!\This isn't supposed to be here.\Did I forget to install it? response:	Whatever, she'll be fine.
context: Eventually she and I would get married.\No, I have to check if our bodies fit well before marrying her and... what?\See you!\Hey, wait!\Weren't you going to hook me up? Hey!\This isn't supposed to be here.\Did I forget to install it?\Whatever, she'll be fine. response:	Am I in trouble?
context: No, I have to check if our bodies fit well before marrying her and... what?\See you!\Hey, wait!\Weren't you going to hook me up? Hey!\This isn't supposed to be here.\Did I forget to install it?\Whatever, she'll be fine.\Am I in trouble? response:	You're my only hope, darling!
context: See you!\Hey, wait!\Weren't you going to hook me up? Hey!\This isn't supposed to be here.\Did I forget to install it?\Whatever, she'll be fine.\Am I in trouble?\You're my only hope, darling! response:	I'm sorry.
context: Hey, wait!\Weren't you going to hook me up? Hey!\This isn't supposed to be here.\Did I forget to install it?\Whatever, she'll be fine.\Am I in trouble?\You're my only hope, darling!\I'm sorry. response:	I'm going to get you your parts. Wait here.
context: Weren't you going to hook me up? Hey!\This isn't supposed to be here.\Did I forget to install it?\Whatever, she'll be fine.\Am I in trouble?\You're my only hope, darling!\I'm sorry.\I'm going to get you your parts. Wait here. response:	I'm here for parts.
context: This isn't supposed to be here.\Did I forget to install it?\Whatever, she'll be fine.\Am I in trouble?\You're my only hope, darling!\I'm sorry.\I'm going to get you your parts. Wait here.\I'm here for parts. response:	Clearly, my body is becoming faster.
context: Did I forget to install it?\Whatever, she'll be fine.\Am I in trouble?\You're my only hope, darling!\I'm sorry.\I'm going to get you your parts. Wait here.\I'm here for parts.\Clearly, my body is becoming faster. response:	My body has started to change.
context: Whatever, she'll be fine.\Am I in trouble?\You're my only hope, darling!\I'm sorry.\I'm going to get you your parts. Wait here.\I'm here for parts.\Clearly, my body is becoming faster.\My body has started to change. response:	I feel so good.
context: Am I in trouble?\You're my only hope, darling!\I'm sorry.\I'm going to get you your parts. Wait here.\I'm here for parts.\Clearly, my body is becoming faster.\My body has started to change.\I feel so good. response:	Sis...
context: You're my only hope, darling!\I'm sorry.\I'm going to get you your parts. Wait here.\I'm here for parts.\Clearly, my body is becoming faster.\My body has started to change.\I feel so good.\Sis... response:	Touka wants to play too. I want to destroy them!
context: I'm sorry.\I'm going to get you your parts. Wait here.\I'm here for parts.\Clearly, my body is becoming faster.\My body has started to change.\I feel so good.\Sis...\Touka wants to play too. I want to destroy them! response:	No.
context: I'm going to get you your parts. Wait here.\I'm here for parts.\Clearly, my body is becoming faster.\My body has started to change.\I feel so good.\Sis...\Touka wants to play too. I want to destroy them!\No. response:	No fair! Why do you get to?
context: I'm here for parts.\Clearly, my body is becoming faster.\My body has started to change.\I feel so good.\Sis...\Touka wants to play too. I want to destroy them!\No.\No fair! Why do you get to? response:	Touka has her own will now?
context: Clearly, my body is becoming faster.\My body has started to change.\I feel so good.\Sis...\Touka wants to play too. I want to destroy them!\No.\No fair! Why do you get to?\Touka has her own will now? response:	Why?
context: My body has started to change.\I feel so good.\Sis...\Touka wants to play too. I want to destroy them!\No.\No fair! Why do you get to?\Touka has her own will now?\Why? response:	No fair!
context: I feel so good.\Sis...\Touka wants to play too. I want to destroy them!\No.\No fair! Why do you get to?\Touka has her own will now?\Why?\No fair! response:	You can't take all the fun for yourself.
context: Sis...\Touka wants to play too. I want to destroy them!\No.\No fair! Why do you get to?\Touka has her own will now?\Why?\No fair!\You can't take all the fun for yourself. response:	Lie to me, and I won't forgive you either.
context: Touka wants to play too. I want to destroy them!\No.\No fair! Why do you get to?\Touka has her own will now?\Why?\No fair!\You can't take all the fun for yourself.\Lie to me, and I won't forgive you either. response:	I'm going to play how I want to now,
context: No.\No fair! Why do you get to?\Touka has her own will now?\Why?\No fair!\You can't take all the fun for yourself.\Lie to me, and I won't forgive you either.\I'm going to play how I want to now, response:	even when I don't have your command.
context: No fair! Why do you get to?\Touka has her own will now?\Why?\No fair!\You can't take all the fun for yourself.\Lie to me, and I won't forgive you either.\I'm going to play how I want to now,\even when I don't have your command. response:	Okay, Sis?
