context: A chronic disease I suffer from. response:	I get sleep attacks.
context: The dawn of our youth is now!\I don't wanna!\Our team, the Little Busters, still needs four more members.\Hey, Riki.\Here's that idiom dictionary I borrowed from you the other day.\What's this?\Now then, first period is language arts...\Why is it in a bag? C'mon, tell me. response:	Hey, suspicion begets monsters, you know?
context: I don't wanna!\Our team, the Little Busters, still needs four more members.\Hey, Riki.\Here's that idiom dictionary I borrowed from you the other day.\What's this?\Now then, first period is language arts...\Why is it in a bag? C'mon, tell me.\Hey, suspicion begets monsters, you know? response:	To get straight to the point...
context: Our team, the Little Busters, still needs four more members.\Hey, Riki.\Here's that idiom dictionary I borrowed from you the other day.\What's this?\Now then, first period is language arts...\Why is it in a bag? C'mon, tell me.\Hey, suspicion begets monsters, you know?\To get straight to the point... response:	That question's without parallel!
context: Hey, Riki.\Here's that idiom dictionary I borrowed from you the other day.\What's this?\Now then, first period is language arts...\Why is it in a bag? C'mon, tell me.\Hey, suspicion begets monsters, you know?\To get straight to the point...\That question's without parallel! response:	Hey, don't speak in idioms just because of the idiom dictionary!
context: Here's that idiom dictionary I borrowed from you the other day.\What's this?\Now then, first period is language arts...\Why is it in a bag? C'mon, tell me.\Hey, suspicion begets monsters, you know?\To get straight to the point...\That question's without parallel!\Hey, don't speak in idioms just because of the idiom dictionary! response:	Come on. Actions speak louder than words.
context: What's this?\Now then, first period is language arts...\Why is it in a bag? C'mon, tell me.\Hey, suspicion begets monsters, you know?\To get straight to the point...\That question's without parallel!\Hey, don't speak in idioms just because of the idiom dictionary!\Come on. Actions speak louder than words. response:	I'd like an explanation in words.
context: Now then, first period is language arts...\Why is it in a bag? C'mon, tell me.\Hey, suspicion begets monsters, you know?\To get straight to the point...\That question's without parallel!\Hey, don't speak in idioms just because of the idiom dictionary!\Come on. Actions speak louder than words.\I'd like an explanation in words. response:	Well, basically,
context: Why is it in a bag? C'mon, tell me.\Hey, suspicion begets monsters, you know?\To get straight to the point...\That question's without parallel!\Hey, don't speak in idioms just because of the idiom dictionary!\Come on. Actions speak louder than words.\I'd like an explanation in words.\Well, basically, response:	I kept it in my desk, so it got mixed in with a few things.
context: Hey, suspicion begets monsters, you know?\To get straight to the point...\That question's without parallel!\Hey, don't speak in idioms just because of the idiom dictionary!\Come on. Actions speak louder than words.\I'd like an explanation in words.\Well, basically,\I kept it in my desk, so it got mixed in with a few things. response:	You know, like food.
context: To get straight to the point...\That question's without parallel!\Hey, don't speak in idioms just because of the idiom dictionary!\Come on. Actions speak louder than words.\I'd like an explanation in words.\Well, basically,\I kept it in my desk, so it got mixed in with a few things.\You know, like food. response:	So, all hell broke loose.
context: That question's without parallel!\Hey, don't speak in idioms just because of the idiom dictionary!\Come on. Actions speak louder than words.\I'd like an explanation in words.\Well, basically,\I kept it in my desk, so it got mixed in with a few things.\You know, like food.\So, all hell broke loose. response:	Hey, it smells good, right?
context: Hey, don't speak in idioms just because of the idiom dictionary!\Come on. Actions speak louder than words.\I'd like an explanation in words.\Well, basically,\I kept it in my desk, so it got mixed in with a few things.\You know, like food.\So, all hell broke loose.\Hey, it smells good, right? response:	I searched left and right. I nearly lost my grip.
context: Come on. Actions speak louder than words.\I'd like an explanation in words.\Well, basically,\I kept it in my desk, so it got mixed in with a few things.\You know, like food.\So, all hell broke loose.\Hey, it smells good, right?\I searched left and right. I nearly lost my grip. response:	I tried to save it, but it was doomed to disaster.
context: I'd like an explanation in words.\Well, basically,\I kept it in my desk, so it got mixed in with a few things.\You know, like food.\So, all hell broke loose.\Hey, it smells good, right?\I searched left and right. I nearly lost my grip.\I tried to save it, but it was doomed to disaster. response:	I practically split my sides in hysteria.
context: Well, basically,\I kept it in my desk, so it got mixed in with a few things.\You know, like food.\So, all hell broke loose.\Hey, it smells good, right?\I searched left and right. I nearly lost my grip.\I tried to save it, but it was doomed to disaster.\I practically split my sides in hysteria. response:	Hey, hey! Morning, morning!
context: I kept it in my desk, so it got mixed in with a few things.\You know, like food.\So, all hell broke loose.\Hey, it smells good, right?\I searched left and right. I nearly lost my grip.\I tried to save it, but it was doomed to disaster.\I practically split my sides in hysteria.\Hey, hey! Morning, morning! response:	Riki-kun, Masato-kun, morning!
context: You know, like food.\So, all hell broke loose.\Hey, it smells good, right?\I searched left and right. I nearly lost my grip.\I tried to save it, but it was doomed to disaster.\I practically split my sides in hysteria.\Hey, hey! Morning, morning!\Riki-kun, Masato-kun, morning! response:	Good morning.
context: So, all hell broke loose.\Hey, it smells good, right?\I searched left and right. I nearly lost my grip.\I tried to save it, but it was doomed to disaster.\I practically split my sides in hysteria.\Hey, hey! Morning, morning!\Riki-kun, Masato-kun, morning!\Good morning. response:	Huh? Who're you?
context: Hey, it smells good, right?\I searched left and right. I nearly lost my grip.\I tried to save it, but it was doomed to disaster.\I practically split my sides in hysteria.\Hey, hey! Morning, morning!\Riki-kun, Masato-kun, morning!\Good morning.\Huh? Who're you? response:	I wish you'd remember.
context: I searched left and right. I nearly lost my grip.\I tried to save it, but it was doomed to disaster.\I practically split my sides in hysteria.\Hey, hey! Morning, morning!\Riki-kun, Masato-kun, morning!\Good morning.\Huh? Who're you?\I wish you'd remember. response:	I'm always coming over here to hang out.
context: I tried to save it, but it was doomed to disaster.\I practically split my sides in hysteria.\Hey, hey! Morning, morning!\Riki-kun, Masato-kun, morning!\Good morning.\Huh? Who're you?\I wish you'd remember.\I'm always coming over here to hang out. response:	Saigusa Haruka!
context: I practically split my sides in hysteria.\Hey, hey! Morning, morning!\Riki-kun, Masato-kun, morning!\Good morning.\Huh? Who're you?\I wish you'd remember.\I'm always coming over here to hang out.\Saigusa Haruka! response:	Psychopathic maracas?
context: Hey, hey! Morning, morning!\Riki-kun, Masato-kun, morning!\Good morning.\Huh? Who're you?\I wish you'd remember.\I'm always coming over here to hang out.\Saigusa Haruka!\Psychopathic maracas? response:	Saigusa Haruka!
context: Riki-kun, Masato-kun, morning!\Good morning.\Huh? Who're you?\I wish you'd remember.\I'm always coming over here to hang out.\Saigusa Haruka!\Psychopathic maracas?\Saigusa Haruka! response:	The first bell already rang.
context: Good morning.\Huh? Who're you?\I wish you'd remember.\I'm always coming over here to hang out.\Saigusa Haruka!\Psychopathic maracas?\Saigusa Haruka!\The first bell already rang. response:	The teacher's on his way.
context: Huh? Who're you?\I wish you'd remember.\I'm always coming over here to hang out.\Saigusa Haruka!\Psychopathic maracas?\Saigusa Haruka!\The first bell already rang.\The teacher's on his way. response:	You'll be late again.
context: I wish you'd remember.\I'm always coming over here to hang out.\Saigusa Haruka!\Psychopathic maracas?\Saigusa Haruka!\The first bell already rang.\The teacher's on his way.\You'll be late again. response:	You don't need to say again.
context: I'm always coming over here to hang out.\Saigusa Haruka!\Psychopathic maracas?\Saigusa Haruka!\The first bell already rang.\The teacher's on his way.\You'll be late again.\You don't need to say again. response:	I'm late every day!
context: Saigusa Haruka!\Psychopathic maracas?\Saigusa Haruka!\The first bell already rang.\The teacher's on his way.\You'll be late again.\You don't need to say again.\I'm late every day! response:	But it looks like Anego isn't here yet.
context: Psychopathic maracas?\Saigusa Haruka!\The first bell already rang.\The teacher's on his way.\You'll be late again.\You don't need to say again.\I'm late every day!\But it looks like Anego isn't here yet. response:	Anego?
context: Saigusa Haruka!\The first bell already rang.\The teacher's on his way.\You'll be late again.\You don't need to say again.\I'm late every day!\But it looks like Anego isn't here yet.\Anego? response:	You mean Kurugaya-san?
context: The first bell already rang.\The teacher's on his way.\You'll be late again.\You don't need to say again.\I'm late every day!\But it looks like Anego isn't here yet.\Anego?\You mean Kurugaya-san? response:	Yeah. I came here to borrow an idiom dictionary from Kurugaya-anego.
context: The teacher's on his way.\You'll be late again.\You don't need to say again.\I'm late every day!\But it looks like Anego isn't here yet.\Anego?\You mean Kurugaya-san?\Yeah. I came here to borrow an idiom dictionary from Kurugaya-anego. response:	An idiom dictionary?
context: You'll be late again.\You don't need to say again.\I'm late every day!\But it looks like Anego isn't here yet.\Anego?\You mean Kurugaya-san?\Yeah. I came here to borrow an idiom dictionary from Kurugaya-anego.\An idiom dictionary? response:	Wow! You have one right here!
context: You don't need to say again.\I'm late every day!\But it looks like Anego isn't here yet.\Anego?\You mean Kurugaya-san?\Yeah. I came here to borrow an idiom dictionary from Kurugaya-anego.\An idiom dictionary?\Wow! You have one right here! response:	Lucky me! I'll take it!
context: I'm late every day!\But it looks like Anego isn't here yet.\Anego?\You mean Kurugaya-san?\Yeah. I came here to borrow an idiom dictionary from Kurugaya-anego.\An idiom dictionary?\Wow! You have one right here!\Lucky me! I'll take it! response:	Thanks!
context: But it looks like Anego isn't here yet.\Anego?\You mean Kurugaya-san?\Yeah. I came here to borrow an idiom dictionary from Kurugaya-anego.\An idiom dictionary?\Wow! You have one right here!\Lucky me! I'll take it!\Thanks! response:	Hey!
context: Anego?\You mean Kurugaya-san?\Yeah. I came here to borrow an idiom dictionary from Kurugaya-anego.\An idiom dictionary?\Wow! You have one right here!\Lucky me! I'll take it!\Thanks!\Hey! response:	Wait a second!
context: You mean Kurugaya-san?\Yeah. I came here to borrow an idiom dictionary from Kurugaya-anego.\An idiom dictionary?\Wow! You have one right here!\Lucky me! I'll take it!\Thanks!\Hey!\Wait a second! response:	Bye-bye!
context: Yeah. I came here to borrow an idiom dictionary from Kurugaya-anego.\An idiom dictionary?\Wow! You have one right here!\Lucky me! I'll take it!\Thanks!\Hey!\Wait a second!\Bye-bye! response:	Wow, look at all those zeros.
context: An idiom dictionary?\Wow! You have one right here!\Lucky me! I'll take it!\Thanks!\Hey!\Wait a second!\Bye-bye!\Wow, look at all those zeros. response:	First I thought they were straight 0's,
context: Wow! You have one right here!\Lucky me! I'll take it!\Thanks!\Hey!\Wait a second!\Bye-bye!\Wow, look at all those zeros.\First I thought they were straight 0's, response:	but they're all 100's!
context: Lucky me! I'll take it!\Thanks!\Hey!\Wait a second!\Bye-bye!\Wow, look at all those zeros.\First I thought they were straight 0's,\but they're all 100's! response:	Dang, Cuckoogayer's crazy!
context: Thanks!\Hey!\Wait a second!\Bye-bye!\Wow, look at all those zeros.\First I thought they were straight 0's,\but they're all 100's!\Dang, Cuckoogayer's crazy! response:	It's not Cuckoogayer, it's Kurugaya.
context: Hey!\Wait a second!\Bye-bye!\Wow, look at all those zeros.\First I thought they were straight 0's,\but they're all 100's!\Dang, Cuckoogayer's crazy!\It's not Cuckoogayer, it's Kurugaya. response:	Kurugaya-san is a genius who scores within the top ten in the national exams.
context: Wait a second!\Bye-bye!\Wow, look at all those zeros.\First I thought they were straight 0's,\but they're all 100's!\Dang, Cuckoogayer's crazy!\It's not Cuckoogayer, it's Kurugaya.\Kurugaya-san is a genius who scores within the top ten in the national exams. response:	What a strange, demented feeling it gives me
context: Bye-bye!\Wow, look at all those zeros.\First I thought they were straight 0's,\but they're all 100's!\Dang, Cuckoogayer's crazy!\It's not Cuckoogayer, it's Kurugaya.\Kurugaya-san is a genius who scores within the top ten in the national exams.\What a strange, demented feeling it gives me response:	But she only comes to class when she feels like it.
context: Wow, look at all those zeros.\First I thought they were straight 0's,\but they're all 100's!\Dang, Cuckoogayer's crazy!\It's not Cuckoogayer, it's Kurugaya.\Kurugaya-san is a genius who scores within the top ten in the national exams.\What a strange, demented feeling it gives me\But she only comes to class when she feels like it. response:	when I realize I have spent whole days before this inkstone,
context: First I thought they were straight 0's,\but they're all 100's!\Dang, Cuckoogayer's crazy!\It's not Cuckoogayer, it's Kurugaya.\Kurugaya-san is a genius who scores within the top ten in the national exams.\What a strange, demented feeling it gives me\But she only comes to class when she feels like it.\when I realize I have spent whole days before this inkstone, response:	No one knows what she does, or where she does it.
context: but they're all 100's!\Dang, Cuckoogayer's crazy!\It's not Cuckoogayer, it's Kurugaya.\Kurugaya-san is a genius who scores within the top ten in the national exams.\What a strange, demented feeling it gives me\But she only comes to class when she feels like it.\when I realize I have spent whole days before this inkstone,\No one knows what she does, or where she does it. response:	with nothing better to do, jotting down at random
context: Dang, Cuckoogayer's crazy!\It's not Cuckoogayer, it's Kurugaya.\Kurugaya-san is a genius who scores within the top ten in the national exams.\What a strange, demented feeling it gives me\But she only comes to class when she feels like it.\when I realize I have spent whole days before this inkstone,\No one knows what she does, or where she does it.\with nothing better to do, jotting down at random response:	whatever nonsensical thoughts that have entered my head.
context: It's not Cuckoogayer, it's Kurugaya.\Kurugaya-san is a genius who scores within the top ten in the national exams.\What a strange, demented feeling it gives me\But she only comes to class when she feels like it.\when I realize I have spent whole days before this inkstone,\No one knows what she does, or where she does it.\with nothing better to do, jotting down at random\whatever nonsensical thoughts that have entered my head. response:	Sold out?
context: Kurugaya-san is a genius who scores within the top ten in the national exams.\What a strange, demented feeling it gives me\But she only comes to class when she feels like it.\when I realize I have spent whole days before this inkstone,\No one knows what she does, or where she does it.\with nothing better to do, jotting down at random\whatever nonsensical thoughts that have entered my head.\Sold out? response:	Hey, Riki! Class is starting!
context: What a strange, demented feeling it gives me\But she only comes to class when she feels like it.\when I realize I have spent whole days before this inkstone,\No one knows what she does, or where she does it.\with nothing better to do, jotting down at random\whatever nonsensical thoughts that have entered my head.\Sold out?\Hey, Riki! Class is starting! response:	Hey
context: But she only comes to class when she feels like it.\when I realize I have spent whole days before this inkstone,\No one knows what she does, or where she does it.\with nothing better to do, jotting down at random\whatever nonsensical thoughts that have entered my head.\Sold out?\Hey, Riki! Class is starting!\Hey response:	Over here, boy.
context: when I realize I have spent whole days before this inkstone,\No one knows what she does, or where she does it.\with nothing better to do, jotting down at random\whatever nonsensical thoughts that have entered my head.\Sold out?\Hey, Riki! Class is starting!\Hey\Over here, boy. response:	Not over there. Over here.
context: No one knows what she does, or where she does it.\with nothing better to do, jotting down at random\whatever nonsensical thoughts that have entered my head.\Sold out?\Hey, Riki! Class is starting!\Hey\Over here, boy.\Not over there. Over here. response:	Kurugaya-san?
context: with nothing better to do, jotting down at random\whatever nonsensical thoughts that have entered my head.\Sold out?\Hey, Riki! Class is starting!\Hey\Over here, boy.\Not over there. Over here.\Kurugaya-san? response:	You're Riki-kun, right?
context: whatever nonsensical thoughts that have entered my head.\Sold out?\Hey, Riki! Class is starting!\Hey\Over here, boy.\Not over there. Over here.\Kurugaya-san?\You're Riki-kun, right? response:	If there's no coffee here, perhaps you'd like some of mine?
context: Sold out?\Hey, Riki! Class is starting!\Hey\Over here, boy.\Not over there. Over here.\Kurugaya-san?\You're Riki-kun, right?\If there's no coffee here, perhaps you'd like some of mine? response:	I'm looking for something stimulating.
context: Hey, Riki! Class is starting!\Hey\Over here, boy.\Not over there. Over here.\Kurugaya-san?\You're Riki-kun, right?\If there's no coffee here, perhaps you'd like some of mine?\I'm looking for something stimulating. response:	I was getting quite bored being by myself.
context: Hey\Over here, boy.\Not over there. Over here.\Kurugaya-san?\You're Riki-kun, right?\If there's no coffee here, perhaps you'd like some of mine?\I'm looking for something stimulating.\I was getting quite bored being by myself. response:	But class is about to
context: Over here, boy.\Not over there. Over here.\Kurugaya-san?\You're Riki-kun, right?\If there's no coffee here, perhaps you'd like some of mine?\I'm looking for something stimulating.\I was getting quite bored being by myself.\But class is about to response:	Just shut up.
