context: Keep your dog on a response:	leash!
context: Episode 3 Menma's Search Party\Extra! Menma's Search Party to commemorate the end of summer. 6pm at the secret base. Let's get everyone together to enjoy a barbecue out on a cool evening. We can talk lots about Menma's wish. Everyone should bring food!\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande response:	kimi to korogasu tsukaisute no jitensha
context: Extra! Menma's Search Party to commemorate the end of summer. 6pm at the secret base. Let's get everyone together to enjoy a barbecue out on a cool evening. We can talk lots about Menma's wish. Everyone should bring food!\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha response:	wasurekake no renga wo
context: We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo response:	tsumiageta basho ni yukou
context: nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou response:	umi wo miwatasu saka wo kakenobotte
context: tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte response:	kowaikurai ni aoi sora to
context: doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to response:	migite ni saidaa hidarite wa
context: kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa response:	zutto kimi wo sagashiteiru
context: oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru response:	souyatte ima wa boku no hou e
context: kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e response:	toitsumeru koto mo nakute
context: wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute response:	mada futari wa sugu soko ni irunoni
context: tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni response:	douka mata aemasuyouni nante
context: umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante response:	douka shiteru mitai
context: kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai response:	Upon pages and pages of entries
context: migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries response:	We've put down all our emotions
context: zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions response:	But now I've hit a writer's block
context: souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block response:	I don't know how to finish this page anymore
context: toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore response:	Putting a bookmark in my diary
context: mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary response:	You and I go out to ride the bike we found in the dumpster
context: douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster response:	Let's go to our secret place
context: douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place response:	Where we piled up our bricks of memories
context: Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories response:	Run up the hill, where we can see the horizon
context: We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon response:	Where we can see the sky so fearfully blue
context: But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue response:	With cider in my right hand
context: I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand response:	My other hand helps me search for you
context: Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you response:	You used to come find me way back when
context: You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when response:	You used to demand me of so much more
context: Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more response:	You're both still standing right by my side
context: Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side response:	Yet why do I pray to see you both again?
context: Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again? response:	There must be something off with me
context: Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me response:	deai wa futtoshita shunkan
context: With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\deai wa futtoshita shunkan response:	kaerimichi no kousaten de koe wo kaketekureta ne
context: My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne response:	issho ni kaerou
context: You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou response:	ureshikute tanoshikute bouken mo iro iro shita ne
context: You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou\ureshikute tanoshikute bouken mo iro iro shita ne response:	futari no himitsu no kichi no naka
context: You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou\ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka response:	kimi to natsu no owari shourai no yume ookina kibou wasurenai
context: Yet why do I pray to see you both again?\There must be something off with me\deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou\ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai response:	jyuunen no ato hachigatsu mata deaeru no wo shinjite
context: There must be something off with me\deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou\ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite response:	kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo
context: deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou\ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo response:	namida wo koraete egao
context: kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou\ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao response:	de sayounara setsunai yo ne
context: issho ni kaerou\ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne response:	saikou no omoide wo
context: ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo response:	We met in an unexpected moment
context: futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\We met in an unexpected moment response:	when you called out to me at the crosswalk,
context: kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\We met in an unexpected moment\when you called out to me at the crosswalk, response:	Let's walk home together.
context: jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together. response:	We shared so many happy times and thrilling adventures
context: kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\We shared so many happy times and thrilling adventures response:	together in our secret base.
context: namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\We shared so many happy times and thrilling adventures\together in our secret base. response:	I will never forget the hopes and dreams we shared during that one summer's end.
context: de sayounara setsunai yo ne\saikou no omoide wo\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\We shared so many happy times and thrilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end. response:	I'm sure we will meet again in another August, in maybe ten years time.
context: saikou no omoide wo\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\We shared so many happy times and thrilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time. response:	I could feel your heartfelt thanks all the way until the end.
context: We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\We shared so many happy times and thrilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end. response:	And I know it must've been painful
context: when you called out to me at the crosswalk,\Let's walk home together.\We shared so many happy times and thrilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful response:	to hold back your tears and say goodbye with a smile.
context: Let's walk home together.\We shared so many happy times and thrilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful\to hold back your tears and say goodbye with a smile. response:	But those are my best memories.
context: We shared so many happy times and thrilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful\to hold back your tears and say goodbye with a smile.\But those are my best memories. response:	Jinta.
context: together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful\to hold back your tears and say goodbye with a smile.\But those are my best memories.\Jinta. response:	How about today?
context: I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful\to hold back your tears and say goodbye with a smile.\But those are my best memories.\Jinta.\How about today? response:	I'm not going.
context: I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful\to hold back your tears and say goodbye with a smile.\But those are my best memories.\Jinta.\How about today?\I'm not going. response:	Alright.
context: I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful\to hold back your tears and say goodbye with a smile.\But those are my best memories.\Jinta.\How about today?\I'm not going.\Alright. response:	I'm off to work then.
context: And I know it must've been painful\to hold back your tears and say goodbye with a smile.\But those are my best memories.\Jinta.\How about today?\I'm not going.\Alright.\I'm off to work then. response:	Why isn't he nagging me about it?
context: to hold back your tears and say goodbye with a smile.\But those are my best memories.\Jinta.\How about today?\I'm not going.\Alright.\I'm off to work then.\Why isn't he nagging me about it? response:	But I guess I prefer it this way.
context: But those are my best memories.\Jinta.\How about today?\I'm not going.\Alright.\I'm off to work then.\Why isn't he nagging me about it?\But I guess I prefer it this way. response:	No, it would be better if he did nag me.
context: Jinta.\How about today?\I'm not going.\Alright.\I'm off to work then.\Why isn't he nagging me about it?\But I guess I prefer it this way.\No, it would be better if he did nag me. response:	What are you doing, Jintan?
context: How about today?\I'm not going.\Alright.\I'm off to work then.\Why isn't he nagging me about it?\But I guess I prefer it this way.\No, it would be better if he did nag me.\What are you doing, Jintan? response:	You have to go to school!
context: I'm not going.\Alright.\I'm off to work then.\Why isn't he nagging me about it?\But I guess I prefer it this way.\No, it would be better if he did nag me.\What are you doing, Jintan?\You have to go to school! response:	You have to pay Anaru back!
context: Alright.\I'm off to work then.\Why isn't he nagging me about it?\But I guess I prefer it this way.\No, it would be better if he did nag me.\What are you doing, Jintan?\You have to go to school!\You have to pay Anaru back! response:	You...
context: I'm off to work then.\Why isn't he nagging me about it?\But I guess I prefer it this way.\No, it would be better if he did nag me.\What are you doing, Jintan?\You have to go to school!\You have to pay Anaru back!\You... response:	Come to school.
context: Why isn't he nagging me about it?\But I guess I prefer it this way.\No, it would be better if he did nag me.\What are you doing, Jintan?\You have to go to school!\You have to pay Anaru back!\You...\Come to school. response:	So you were listening.
context: But I guess I prefer it this way.\No, it would be better if he did nag me.\What are you doing, Jintan?\You have to go to school!\You have to pay Anaru back!\You...\Come to school.\So you were listening. response:	I helped you collect all the Nokemon, so you can't break your promise.
context: No, it would be better if he did nag me.\What are you doing, Jintan?\You have to go to school!\You have to pay Anaru back!\You...\Come to school.\So you were listening.\I helped you collect all the Nokemon, so you can't break your promise. response:	Oh yeah!
context: What are you doing, Jintan?\You have to go to school!\You have to pay Anaru back!\You...\Come to school.\So you were listening.\I helped you collect all the Nokemon, so you can't break your promise.\Oh yeah! response:	That might be my wish - having you go to school.
context: You have to go to school!\You have to pay Anaru back!\You...\Come to school.\So you were listening.\I helped you collect all the Nokemon, so you can't break your promise.\Oh yeah!\That might be my wish - having you go to school. response:	Is that what this is all about?
context: You have to pay Anaru back!\You...\Come to school.\So you were listening.\I helped you collect all the Nokemon, so you can't break your promise.\Oh yeah!\That might be my wish - having you go to school.\Is that what this is all about? response:	Jintan.
context: You...\Come to school.\So you were listening.\I helped you collect all the Nokemon, so you can't break your promise.\Oh yeah!\That might be my wish - having you go to school.\Is that what this is all about?\Jintan. response:	Get out. I'm going to change.
context: Come to school.\So you were listening.\I helped you collect all the Nokemon, so you can't break your promise.\Oh yeah!\That might be my wish - having you go to school.\Is that what this is all about?\Jintan.\Get out. I'm going to change. response:	She suddenly appeared in front of me.
context: So you were listening.\I helped you collect all the Nokemon, so you can't break your promise.\Oh yeah!\That might be my wish - having you go to school.\Is that what this is all about?\Jintan.\Get out. I'm going to change.\She suddenly appeared in front of me. response:	She pushed some senseless request onto me.
context: I helped you collect all the Nokemon, so you can't break your promise.\Oh yeah!\That might be my wish - having you go to school.\Is that what this is all about?\Jintan.\Get out. I'm going to change.\She suddenly appeared in front of me.\She pushed some senseless request onto me. response:	She's the beast of summer. My hallucination.
context: Oh yeah!\That might be my wish - having you go to school.\Is that what this is all about?\Jintan.\Get out. I'm going to change.\She suddenly appeared in front of me.\She pushed some senseless request onto me.\She's the beast of summer. My hallucination. response:	But...
context: That might be my wish - having you go to school.\Is that what this is all about?\Jintan.\Get out. I'm going to change.\She suddenly appeared in front of me.\She pushed some senseless request onto me.\She's the beast of summer. My hallucination.\But... response:	I think I want to have my wish granted. That's it!
context: Is that what this is all about?\Jintan.\Get out. I'm going to change.\She suddenly appeared in front of me.\She pushed some senseless request onto me.\She's the beast of summer. My hallucination.\But...\I think I want to have my wish granted. That's it! response:	It's actually early fall going by the calendar, but the beast of summer has stayed in my house.
context: Jintan.\Get out. I'm going to change.\She suddenly appeared in front of me.\She pushed some senseless request onto me.\She's the beast of summer. My hallucination.\But...\I think I want to have my wish granted. That's it!\It's actually early fall going by the calendar, but the beast of summer has stayed in my house. response:	I'm being driven out.
context: Get out. I'm going to change.\She suddenly appeared in front of me.\She pushed some senseless request onto me.\She's the beast of summer. My hallucination.\But...\I think I want to have my wish granted. That's it!\It's actually early fall going by the calendar, but the beast of summer has stayed in my house.\I'm being driven out. response:	I have no choice.
context: She suddenly appeared in front of me.\She pushed some senseless request onto me.\She's the beast of summer. My hallucination.\But...\I think I want to have my wish granted. That's it!\It's actually early fall going by the calendar, but the beast of summer has stayed in my house.\I'm being driven out.\I have no choice. response:	No choice...
context: She pushed some senseless request onto me.\She's the beast of summer. My hallucination.\But...\I think I want to have my wish granted. That's it!\It's actually early fall going by the calendar, but the beast of summer has stayed in my house.\I'm being driven out.\I have no choice.\No choice... response:	-OP-
context: She's the beast of summer. My hallucination.\But...\I think I want to have my wish granted. That's it!\It's actually early fall going by the calendar, but the beast of summer has stayed in my house.\I'm being driven out.\I have no choice.\No choice...\-OP- response:	It's so hot.
context: But...\I think I want to have my wish granted. That's it!\It's actually early fall going by the calendar, but the beast of summer has stayed in my house.\I'm being driven out.\I have no choice.\No choice...\-OP-\It's so hot. response:	Cicadas.
context: I think I want to have my wish granted. That's it!\It's actually early fall going by the calendar, but the beast of summer has stayed in my house.\I'm being driven out.\I have no choice.\No choice...\-OP-\It's so hot.\Cicadas. response:	Cicadas.
context: It's actually early fall going by the calendar, but the beast of summer has stayed in my house.\I'm being driven out.\I have no choice.\No choice...\-OP-\It's so hot.\Cicadas.\Cicadas. response:	People.
context: I'm being driven out.\I have no choice.\No choice...\-OP-\It's so hot.\Cicadas.\Cicadas.\People. response:	Cicadas.
context: I have no choice.\No choice...\-OP-\It's so hot.\Cicadas.\Cicadas.\People.\Cicadas. response:	Sweat.
context: No choice...\-OP-\It's so hot.\Cicadas.\Cicadas.\People.\Cicadas.\Sweat. response:	Sweat.
context: -OP-\It's so hot.\Cicadas.\Cicadas.\People.\Cicadas.\Sweat.\Sweat. response:	Sweat.
context: It's so hot.\Cicadas.\Cicadas.\People.\Cicadas.\Sweat.\Sweat.\Sweat. response:	Sweat.
context: Cicadas.\Cicadas.\People.\Cicadas.\Sweat.\Sweat.\Sweat.\Sweat. response:	Sun.
context: Cicadas.\People.\Cicadas.\Sweat.\Sweat.\Sweat.\Sweat.\Sun. response:	Sweat.
context: People.\Cicadas.\Sweat.\Sweat.\Sweat.\Sweat.\Sun.\Sweat. response:	People.
context: Cicadas.\Sweat.\Sweat.\Sweat.\Sweat.\Sun.\Sweat.\People. response:	People.
context: Sweat.\Sweat.\Sweat.\Sweat.\Sun.\Sweat.\People.\People. response:	Glances.
context: Sweat.\Sweat.\Sweat.\Sun.\Sweat.\People.\People.\Glances. response:	Disgusting...
context: Sweat.\Sweat.\Sun.\Sweat.\People.\People.\Glances.\Disgusting... response:	I should just...
context: Sweat.\Sun.\Sweat.\People.\People.\Glances.\Disgusting...\I should just... response:	You came to school?
context: Sun.\Sweat.\People.\People.\Glances.\Disgusting...\I should just...\You came to school? response:	Yeah.
context: Sweat.\People.\People.\Glances.\Disgusting...\I should just...\You came to school?\Yeah. response:	Ok.
context: People.\People.\Glances.\Disgusting...\I should just...\You came to school?\Yeah.\Ok. response:	B-But it's not because you told me to.
context: People.\Glances.\Disgusting...\I should just...\You came to school?\Yeah.\Ok.\B-But it's not because you told me to. response:	Ok.
context: Glances.\Disgusting...\I should just...\You came to school?\Yeah.\Ok.\B-But it's not because you told me to.\Ok. response:	Whoa, is that really Yadomi?
context: Disgusting...\I should just...\You came to school?\Yeah.\Ok.\B-But it's not because you told me to.\Ok.\Whoa, is that really Yadomi? response:	Wow, you really came to school!
context: I should just...\You came to school?\Yeah.\Ok.\B-But it's not because you told me to.\Ok.\Whoa, is that really Yadomi?\Wow, you really came to school! response:	Aki, Haruna.
context: You came to school?\Yeah.\Ok.\B-But it's not because you told me to.\Ok.\Whoa, is that really Yadomi?\Wow, you really came to school!\Aki, Haruna. response:	Mornin' Naruko, Yadomi.
context: Yeah.\Ok.\B-But it's not because you told me to.\Ok.\Whoa, is that really Yadomi?\Wow, you really came to school!\Aki, Haruna.\Mornin' Naruko, Yadomi. response:	It's alright! Nobody cares that you skipped a semester.
context: Ok.\B-But it's not because you told me to.\Ok.\Whoa, is that really Yadomi?\Wow, you really came to school!\Aki, Haruna.\Mornin' Naruko, Yadomi.\It's alright! Nobody cares that you skipped a semester. response:	Or rather, nobody cared about you in the first place.
context: B-But it's not because you told me to.\Ok.\Whoa, is that really Yadomi?\Wow, you really came to school!\Aki, Haruna.\Mornin' Naruko, Yadomi.\It's alright! Nobody cares that you skipped a semester.\Or rather, nobody cared about you in the first place. response:	Ice burn, Haruna.
context: Ok.\Whoa, is that really Yadomi?\Wow, you really came to school!\Aki, Haruna.\Mornin' Naruko, Yadomi.\It's alright! Nobody cares that you skipped a semester.\Or rather, nobody cared about you in the first place.\Ice burn, Haruna. response:	Hey, that's enough -
context: Whoa, is that really Yadomi?\Wow, you really came to school!\Aki, Haruna.\Mornin' Naruko, Yadomi.\It's alright! Nobody cares that you skipped a semester.\Or rather, nobody cared about you in the first place.\Ice burn, Haruna.\Hey, that's enough - response:	The power of love is really something. This is all because you went to his house.
