context: Vegeta! response:	Your guard is down!
context: It doesn't matter to me either way, I'm running out of time.\Sorry to interrupt your big entrance,\but I have to end this right now.\Oh, aren't you the confident one?\This is the first time that I, Ginyu- sama, have heard such insolence.\If you had dared to come off to me like that\while we were sizing each other up earlier,\I would not have hesitated to knock you off your perch. response:	You see, like yourself,
context: Sorry to interrupt your big entrance,\but I have to end this right now.\Oh, aren't you the confident one?\This is the first time that I, Ginyu- sama, have heard such insolence.\If you had dared to come off to me like that\while we were sizing each other up earlier,\I would not have hesitated to knock you off your perch.\You see, like yourself, response:	I'm the type of fighter who can change his level of battle power at will.
context: but I have to end this right now.\Oh, aren't you the confident one?\This is the first time that I, Ginyu- sama, have heard such insolence.\If you had dared to come off to me like that\while we were sizing each other up earlier,\I would not have hesitated to knock you off your perch.\You see, like yourself,\I'm the type of fighter who can change his level of battle power at will. response:	That's the Commander Ginyu I know so well. He's not at all agitated.
context: Oh, aren't you the confident one?\This is the first time that I, Ginyu- sama, have heard such insolence.\If you had dared to come off to me like that\while we were sizing each other up earlier,\I would not have hesitated to knock you off your perch.\You see, like yourself,\I'm the type of fighter who can change his level of battle power at will.\That's the Commander Ginyu I know so well. He's not at all agitated. response:	That's no surprise, I guess.
context: This is the first time that I, Ginyu- sama, have heard such insolence.\If you had dared to come off to me like that\while we were sizing each other up earlier,\I would not have hesitated to knock you off your perch.\You see, like yourself,\I'm the type of fighter who can change his level of battle power at will.\That's the Commander Ginyu I know so well. He's not at all agitated.\That's no surprise, I guess. response:	Even if that guy's battle power really is around 60,000,
context: If you had dared to come off to me like that\while we were sizing each other up earlier,\I would not have hesitated to knock you off your perch.\You see, like yourself,\I'm the type of fighter who can change his level of battle power at will.\That's the Commander Ginyu I know so well. He's not at all agitated.\That's no surprise, I guess.\Even if that guy's battle power really is around 60,000, response:	then Commander Ginyu's maximum fighting power is much higher.
context: while we were sizing each other up earlier,\I would not have hesitated to knock you off your perch.\You see, like yourself,\I'm the type of fighter who can change his level of battle power at will.\That's the Commander Ginyu I know so well. He's not at all agitated.\That's no surprise, I guess.\Even if that guy's battle power really is around 60,000,\then Commander Ginyu's maximum fighting power is much higher. response:	Yikes!
context: I would not have hesitated to knock you off your perch.\You see, like yourself,\I'm the type of fighter who can change his level of battle power at will.\That's the Commander Ginyu I know so well. He's not at all agitated.\That's no surprise, I guess.\Even if that guy's battle power really is around 60,000,\then Commander Ginyu's maximum fighting power is much higher.\Yikes! response:	Geez! What could everyone else possibly be up to while I'm here,
context: You see, like yourself,\I'm the type of fighter who can change his level of battle power at will.\That's the Commander Ginyu I know so well. He's not at all agitated.\That's no surprise, I guess.\Even if that guy's battle power really is around 60,000,\then Commander Ginyu's maximum fighting power is much higher.\Yikes!\Geez! What could everyone else possibly be up to while I'm here, response:	struggling by myself like this?
context: I'm the type of fighter who can change his level of battle power at will.\That's the Commander Ginyu I know so well. He's not at all agitated.\That's no surprise, I guess.\Even if that guy's battle power really is around 60,000,\then Commander Ginyu's maximum fighting power is much higher.\Yikes!\Geez! What could everyone else possibly be up to while I'm here,\struggling by myself like this? response:	How do I know they haven't all forgotten about me,
context: That's the Commander Ginyu I know so well. He's not at all agitated.\That's no surprise, I guess.\Even if that guy's battle power really is around 60,000,\then Commander Ginyu's maximum fighting power is much higher.\Yikes!\Geez! What could everyone else possibly be up to while I'm here,\struggling by myself like this?\How do I know they haven't all forgotten about me, response:	and are just goofing around now?
context: That's no surprise, I guess.\Even if that guy's battle power really is around 60,000,\then Commander Ginyu's maximum fighting power is much higher.\Yikes!\Geez! What could everyone else possibly be up to while I'm here,\struggling by myself like this?\How do I know they haven't all forgotten about me,\and are just goofing around now? response:	Good grief, first my spaceship gets all broken,
context: Even if that guy's battle power really is around 60,000,\then Commander Ginyu's maximum fighting power is much higher.\Yikes!\Geez! What could everyone else possibly be up to while I'm here,\struggling by myself like this?\How do I know they haven't all forgotten about me,\and are just goofing around now?\Good grief, first my spaceship gets all broken, response:	and I can't go back to Earth.
context: then Commander Ginyu's maximum fighting power is much higher.\Yikes!\Geez! What could everyone else possibly be up to while I'm here,\struggling by myself like this?\How do I know they haven't all forgotten about me,\and are just goofing around now?\Good grief, first my spaceship gets all broken,\and I can't go back to Earth. response:	Then my transmitter gets all broken.
context: Yikes!\Geez! What could everyone else possibly be up to while I'm here,\struggling by myself like this?\How do I know they haven't all forgotten about me,\and are just goofing around now?\Good grief, first my spaceship gets all broken,\and I can't go back to Earth.\Then my transmitter gets all broken. response:	Nothing is going right.
context: Geez! What could everyone else possibly be up to while I'm here,\struggling by myself like this?\How do I know they haven't all forgotten about me,\and are just goofing around now?\Good grief, first my spaceship gets all broken,\and I can't go back to Earth.\Then my transmitter gets all broken.\Nothing is going right. response:	All right, it's fixed!
context: struggling by myself like this?\How do I know they haven't all forgotten about me,\and are just goofing around now?\Good grief, first my spaceship gets all broken,\and I can't go back to Earth.\Then my transmitter gets all broken.\Nothing is going right.\All right, it's fixed! response:	That certainly did take up a lot of time and effort.
context: How do I know they haven't all forgotten about me,\and are just goofing around now?\Good grief, first my spaceship gets all broken,\and I can't go back to Earth.\Then my transmitter gets all broken.\Nothing is going right.\All right, it's fixed!\That certainly did take up a lot of time and effort. response:	W- what was that just now?
context: and are just goofing around now?\Good grief, first my spaceship gets all broken,\and I can't go back to Earth.\Then my transmitter gets all broken.\Nothing is going right.\All right, it's fixed!\That certainly did take up a lot of time and effort.\W- what was that just now? response:	A- all seven of them are in the same place, aren't they?
context: Good grief, first my spaceship gets all broken,\and I can't go back to Earth.\Then my transmitter gets all broken.\Nothing is going right.\All right, it's fixed!\That certainly did take up a lot of time and effort.\W- what was that just now?\A- all seven of them are in the same place, aren't they? response:	I- I'll just bet they were going to leave me behind,
context: and I can't go back to Earth.\Then my transmitter gets all broken.\Nothing is going right.\All right, it's fixed!\That certainly did take up a lot of time and effort.\W- what was that just now?\A- all seven of them are in the same place, aren't they?\I- I'll just bet they were going to leave me behind, response:	while they went and made their wish to Shen Long! All right!
context: Then my transmitter gets all broken.\Nothing is going right.\All right, it's fixed!\That certainly did take up a lot of time and effort.\W- what was that just now?\A- all seven of them are in the same place, aren't they?\I- I'll just bet they were going to leave me behind,\while they went and made their wish to Shen Long! All right! response:	But suppose the person who has gathered the Dragon Balls is Vegeta, instead?
context: Nothing is going right.\All right, it's fixed!\That certainly did take up a lot of time and effort.\W- what was that just now?\A- all seven of them are in the same place, aren't they?\I- I'll just bet they were going to leave me behind,\while they went and made their wish to Shen Long! All right!\But suppose the person who has gathered the Dragon Balls is Vegeta, instead? response:	Not again!
context: All right, it's fixed!\That certainly did take up a lot of time and effort.\W- what was that just now?\A- all seven of them are in the same place, aren't they?\I- I'll just bet they were going to leave me behind,\while they went and made their wish to Shen Long! All right!\But suppose the person who has gathered the Dragon Balls is Vegeta, instead?\Not again! response:	W- what is it with this planet anyway?
context: That certainly did take up a lot of time and effort.\W- what was that just now?\A- all seven of them are in the same place, aren't they?\I- I'll just bet they were going to leave me behind,\while they went and made their wish to Shen Long! All right!\But suppose the person who has gathered the Dragon Balls is Vegeta, instead?\Not again!\W- what is it with this planet anyway? response:	I know! Even if it is Vegeta, I can just say,
context: W- what was that just now?\A- all seven of them are in the same place, aren't they?\I- I'll just bet they were going to leave me behind,\while they went and made their wish to Shen Long! All right!\But suppose the person who has gathered the Dragon Balls is Vegeta, instead?\Not again!\W- what is it with this planet anyway?\I know! Even if it is Vegeta, I can just say, response:	Send me back to Earth first!
context: A- all seven of them are in the same place, aren't they?\I- I'll just bet they were going to leave me behind,\while they went and made their wish to Shen Long! All right!\But suppose the person who has gathered the Dragon Balls is Vegeta, instead?\Not again!\W- what is it with this planet anyway?\I know! Even if it is Vegeta, I can just say,\Send me back to Earth first! response:	Hey, that's simple enough, isn't it?
context: I- I'll just bet they were going to leave me behind,\while they went and made their wish to Shen Long! All right!\But suppose the person who has gathered the Dragon Balls is Vegeta, instead?\Not again!\W- what is it with this planet anyway?\I know! Even if it is Vegeta, I can just say,\Send me back to Earth first!\Hey, that's simple enough, isn't it? response:	With that settled, I'm off to the Dragon Balls!
context: while they went and made their wish to Shen Long! All right!\But suppose the person who has gathered the Dragon Balls is Vegeta, instead?\Not again!\W- what is it with this planet anyway?\I know! Even if it is Vegeta, I can just say,\Send me back to Earth first!\Hey, that's simple enough, isn't it?\With that settled, I'm off to the Dragon Balls! response:	Let's go!
context: But suppose the person who has gathered the Dragon Balls is Vegeta, instead?\Not again!\W- what is it with this planet anyway?\I know! Even if it is Vegeta, I can just say,\Send me back to Earth first!\Hey, that's simple enough, isn't it?\With that settled, I'm off to the Dragon Balls!\Let's go! response:	All right...
context: Not again!\W- what is it with this planet anyway?\I know! Even if it is Vegeta, I can just say,\Send me back to Earth first!\Hey, that's simple enough, isn't it?\With that settled, I'm off to the Dragon Balls!\Let's go!\All right... response:	He's fast! He might have the edge on speed!
context: W- what is it with this planet anyway?\I know! Even if it is Vegeta, I can just say,\Send me back to Earth first!\Hey, that's simple enough, isn't it?\With that settled, I'm off to the Dragon Balls!\Let's go!\All right...\He's fast! He might have the edge on speed! response:	Oh, crap!
context: I know! Even if it is Vegeta, I can just say,\Send me back to Earth first!\Hey, that's simple enough, isn't it?\With that settled, I'm off to the Dragon Balls!\Let's go!\All right...\He's fast! He might have the edge on speed!\Oh, crap! response:	I managed to bottle you up there pretty good!
context: Send me back to Earth first!\Hey, that's simple enough, isn't it?\With that settled, I'm off to the Dragon Balls!\Let's go!\All right...\He's fast! He might have the edge on speed!\Oh, crap!\I managed to bottle you up there pretty good! response:	Dammit!
context: Hey, that's simple enough, isn't it?\With that settled, I'm off to the Dragon Balls!\Let's go!\All right...\He's fast! He might have the edge on speed!\Oh, crap!\I managed to bottle you up there pretty good!\Dammit! response:	Commander! He's all ours now!
context: With that settled, I'm off to the Dragon Balls!\Let's go!\All right...\He's fast! He might have the edge on speed!\Oh, crap!\I managed to bottle you up there pretty good!\Dammit!\Commander! He's all ours now! response:	Damn... he's got incredible power! I can't get free!
context: Let's go!\All right...\He's fast! He might have the edge on speed!\Oh, crap!\I managed to bottle you up there pretty good!\Dammit!\Commander! He's all ours now!\Damn... he's got incredible power! I can't get free! response:	Commander! You can shatter his bones any time now, and finish him off!
context: All right...\He's fast! He might have the edge on speed!\Oh, crap!\I managed to bottle you up there pretty good!\Dammit!\Commander! He's all ours now!\Damn... he's got incredible power! I can't get free!\Commander! You can shatter his bones any time now, and finish him off! response:	l - l'm out of options! At this point, l'll have to use Kaio-ken...
context: He's fast! He might have the edge on speed!\Oh, crap!\I managed to bottle you up there pretty good!\Dammit!\Commander! He's all ours now!\Damn... he's got incredible power! I can't get free!\Commander! You can shatter his bones any time now, and finish him off!\l - l'm out of options! At this point, l'll have to use Kaio-ken... response:	Wha-?
context: Oh, crap!\I managed to bottle you up there pretty good!\Dammit!\Commander! He's all ours now!\Damn... he's got incredible power! I can't get free!\Commander! You can shatter his bones any time now, and finish him off!\l - l'm out of options! At this point, l'll have to use Kaio-ken...\Wha-? response:	C- Commander!
context: I managed to bottle you up there pretty good!\Dammit!\Commander! He's all ours now!\Damn... he's got incredible power! I can't get free!\Commander! You can shatter his bones any time now, and finish him off!\l - l'm out of options! At this point, l'll have to use Kaio-ken...\Wha-?\C- Commander! response:	Who asked you to help, Jheese?
context: Dammit!\Commander! He's all ours now!\Damn... he's got incredible power! I can't get free!\Commander! You can shatter his bones any time now, and finish him off!\l - l'm out of options! At this point, l'll have to use Kaio-ken...\Wha-?\C- Commander!\Who asked you to help, Jheese? response:	C- Commander!
context: Commander! He's all ours now!\Damn... he's got incredible power! I can't get free!\Commander! You can shatter his bones any time now, and finish him off!\l - l'm out of options! At this point, l'll have to use Kaio-ken...\Wha-?\C- Commander!\Who asked you to help, Jheese?\C- Commander! response:	If you pull anything uncalled-for like that again, consider yourself dead!
context: Damn... he's got incredible power! I can't get free!\Commander! You can shatter his bones any time now, and finish him off!\l - l'm out of options! At this point, l'll have to use Kaio-ken...\Wha-?\C- Commander!\Who asked you to help, Jheese?\C- Commander!\If you pull anything uncalled-for like that again, consider yourself dead! response:	Yes, sir.
context: Commander! You can shatter his bones any time now, and finish him off!\l - l'm out of options! At this point, l'll have to use Kaio-ken...\Wha-?\C- Commander!\Who asked you to help, Jheese?\C- Commander!\If you pull anything uncalled-for like that again, consider yourself dead!\Yes, sir. response:	And as for you!
context: l - l'm out of options! At this point, l'll have to use Kaio-ken...\Wha-?\C- Commander!\Who asked you to help, Jheese?\C- Commander!\If you pull anything uncalled-for like that again, consider yourself dead!\Yes, sir.\And as for you! response:	You're still hiding your true power level, even now!
context: Wha-?\C- Commander!\Who asked you to help, Jheese?\C- Commander!\If you pull anything uncalled-for like that again, consider yourself dead!\Yes, sir.\And as for you!\You're still hiding your true power level, even now! response:	Did you really think I wouldn't be able to tell?
context: C- Commander!\Who asked you to help, Jheese?\C- Commander!\If you pull anything uncalled-for like that again, consider yourself dead!\Yes, sir.\And as for you!\You're still hiding your true power level, even now!\Did you really think I wouldn't be able to tell? response:	Perhaps you were planning on saving that energy for a battle with Freeza- sama.
context: Who asked you to help, Jheese?\C- Commander!\If you pull anything uncalled-for like that again, consider yourself dead!\Yes, sir.\And as for you!\You're still hiding your true power level, even now!\Did you really think I wouldn't be able to tell?\Perhaps you were planning on saving that energy for a battle with Freeza- sama. response:	Don't you dare take me so lightly!
context: C- Commander!\If you pull anything uncalled-for like that again, consider yourself dead!\Yes, sir.\And as for you!\You're still hiding your true power level, even now!\Did you really think I wouldn't be able to tell?\Perhaps you were planning on saving that energy for a battle with Freeza- sama.\Don't you dare take me so lightly! response:	I'm itching for a good fight, the kind I don't get to enjoy every day,
context: If you pull anything uncalled-for like that again, consider yourself dead!\Yes, sir.\And as for you!\You're still hiding your true power level, even now!\Did you really think I wouldn't be able to tell?\Perhaps you were planning on saving that energy for a battle with Freeza- sama.\Don't you dare take me so lightly!\I'm itching for a good fight, the kind I don't get to enjoy every day, response:	so cut out your silly charade!
context: Yes, sir.\And as for you!\You're still hiding your true power level, even now!\Did you really think I wouldn't be able to tell?\Perhaps you were planning on saving that energy for a battle with Freeza- sama.\Don't you dare take me so lightly!\I'm itching for a good fight, the kind I don't get to enjoy every day,\so cut out your silly charade! response:	Okay, you got it. I'll show you my true power.
context: And as for you!\You're still hiding your true power level, even now!\Did you really think I wouldn't be able to tell?\Perhaps you were planning on saving that energy for a battle with Freeza- sama.\Don't you dare take me so lightly!\I'm itching for a good fight, the kind I don't get to enjoy every day,\so cut out your silly charade!\Okay, you got it. I'll show you my true power. response:	Very good. I doubt you'll be able to rest in peace
context: You're still hiding your true power level, even now!\Did you really think I wouldn't be able to tell?\Perhaps you were planning on saving that energy for a battle with Freeza- sama.\Don't you dare take me so lightly!\I'm itching for a good fight, the kind I don't get to enjoy every day,\so cut out your silly charade!\Okay, you got it. I'll show you my true power.\Very good. I doubt you'll be able to rest in peace response:	if you're killed without using all of your power.
context: Did you really think I wouldn't be able to tell?\Perhaps you were planning on saving that energy for a battle with Freeza- sama.\Don't you dare take me so lightly!\I'm itching for a good fight, the kind I don't get to enjoy every day,\so cut out your silly charade!\Okay, you got it. I'll show you my true power.\Very good. I doubt you'll be able to rest in peace\if you're killed without using all of your power. response:	Use that device of yours that reads your opponent's power,
context: Perhaps you were planning on saving that energy for a battle with Freeza- sama.\Don't you dare take me so lightly!\I'm itching for a good fight, the kind I don't get to enjoy every day,\so cut out your silly charade!\Okay, you got it. I'll show you my true power.\Very good. I doubt you'll be able to rest in peace\if you're killed without using all of your power.\Use that device of yours that reads your opponent's power, response:	and take a good look at my rating!
context: Don't you dare take me so lightly!\I'm itching for a good fight, the kind I don't get to enjoy every day,\so cut out your silly charade!\Okay, you got it. I'll show you my true power.\Very good. I doubt you'll be able to rest in peace\if you're killed without using all of your power.\Use that device of yours that reads your opponent's power,\and take a good look at my rating! response:	I won't even need to look at my Scouter.
context: I'm itching for a good fight, the kind I don't get to enjoy every day,\so cut out your silly charade!\Okay, you got it. I'll show you my true power.\Very good. I doubt you'll be able to rest in peace\if you're killed without using all of your power.\Use that device of yours that reads your opponent's power,\and take a good look at my rating!\I won't even need to look at my Scouter. response:	Your rating should only rise to around 85,000.
context: so cut out your silly charade!\Okay, you got it. I'll show you my true power.\Very good. I doubt you'll be able to rest in peace\if you're killed without using all of your power.\Use that device of yours that reads your opponent's power,\and take a good look at my rating!\I won't even need to look at my Scouter.\Your rating should only rise to around 85,000. response:	Kaio-ken!
context: Okay, you got it. I'll show you my true power.\Very good. I doubt you'll be able to rest in peace\if you're killed without using all of your power.\Use that device of yours that reads your opponent's power,\and take a good look at my rating!\I won't even need to look at my Scouter.\Your rating should only rise to around 85,000.\Kaio-ken! response:	90,000!
context: Very good. I doubt you'll be able to rest in peace\if you're killed without using all of your power.\Use that device of yours that reads your opponent's power,\and take a good look at my rating!\I won't even need to look at my Scouter.\Your rating should only rise to around 85,000.\Kaio-ken!\90,000! response:	95,000!
context: if you're killed without using all of your power.\Use that device of yours that reads your opponent's power,\and take a good look at my rating!\I won't even need to look at my Scouter.\Your rating should only rise to around 85,000.\Kaio-ken!\90,000!\95,000! response:	100,000... 105,000... 106,000... 107,000...
context: Use that device of yours that reads your opponent's power,\and take a good look at my rating!\I won't even need to look at my Scouter.\Your rating should only rise to around 85,000.\Kaio-ken!\90,000!\95,000!\100,000... 105,000... 106,000... 107,000... response:	108,000!
context: and take a good look at my rating!\I won't even need to look at my Scouter.\Your rating should only rise to around 85,000.\Kaio-ken!\90,000!\95,000!\100,000... 105,000... 106,000... 107,000...\108,000! response:	I- impossible!
context: I won't even need to look at my Scouter.\Your rating should only rise to around 85,000.\Kaio-ken!\90,000!\95,000!\100,000... 105,000... 106,000... 107,000...\108,000!\I- impossible! response:	109,000...
context: Your rating should only rise to around 85,000.\Kaio-ken!\90,000!\95,000!\100,000... 105,000... 106,000... 107,000...\108,000!\I- impossible!\109,000... response:	110,000!
context: Kaio-ken!\90,000!\95,000!\100,000... 105,000... 106,000... 107,000...\108,000!\I- impossible!\109,000...\110,000! response:	110,000! It can't be!
context: 90,000!\95,000!\100,000... 105,000... 106,000... 107,000...\108,000!\I- impossible!\109,000...\110,000!\110,000! It can't be! response:	I- it's still going up!
context: 95,000!\100,000... 105,000... 106,000... 107,000...\108,000!\I- impossible!\109,000...\110,000!\110,000! It can't be!\I- it's still going up! response:	lncredible, Goku!
