context: Granny, I've found him. response:	The person who's the most important to me.
context: It was soft...\What am I doing...\Thank you!\Why did I smile?\I'm sorry...\But I don't really have that kind of feelings towards Ai-chan.\To me you're a childhood friend, and Miyokichi's girlfriend.\I'll forget what happened just now. response:	Let's just pretend nothing's happened today.
context: What am I doing...\Thank you!\Why did I smile?\I'm sorry...\But I don't really have that kind of feelings towards Ai-chan.\To me you're a childhood friend, and Miyokichi's girlfriend.\I'll forget what happened just now.\Let's just pretend nothing's happened today. response:	Shinichirou, you going to Ai-chan's today?
context: Thank you!\Why did I smile?\I'm sorry...\But I don't really have that kind of feelings towards Ai-chan.\To me you're a childhood friend, and Miyokichi's girlfriend.\I'll forget what happened just now.\Let's just pretend nothing's happened today.\Shinichirou, you going to Ai-chan's today? response:	Well, err... Today, I...
context: Why did I smile?\I'm sorry...\But I don't really have that kind of feelings towards Ai-chan.\To me you're a childhood friend, and Miyokichi's girlfriend.\I'll forget what happened just now.\Let's just pretend nothing's happened today.\Shinichirou, you going to Ai-chan's today?\Well, err... Today, I... response:	Come on, since all you do is slack around, let's go together!
context: I'm sorry...\But I don't really have that kind of feelings towards Ai-chan.\To me you're a childhood friend, and Miyokichi's girlfriend.\I'll forget what happened just now.\Let's just pretend nothing's happened today.\Shinichirou, you going to Ai-chan's today?\Well, err... Today, I...\Come on, since all you do is slack around, let's go together! response:	Well, I...
context: But I don't really have that kind of feelings towards Ai-chan.\To me you're a childhood friend, and Miyokichi's girlfriend.\I'll forget what happened just now.\Let's just pretend nothing's happened today.\Shinichirou, you going to Ai-chan's today?\Well, err... Today, I...\Come on, since all you do is slack around, let's go together!\Well, I... response:	Might be going on a date or something...
context: To me you're a childhood friend, and Miyokichi's girlfriend.\I'll forget what happened just now.\Let's just pretend nothing's happened today.\Shinichirou, you going to Ai-chan's today?\Well, err... Today, I...\Come on, since all you do is slack around, let's go together!\Well, I...\Might be going on a date or something... response:	A date...?
context: I'll forget what happened just now.\Let's just pretend nothing's happened today.\Shinichirou, you going to Ai-chan's today?\Well, err... Today, I...\Come on, since all you do is slack around, let's go together!\Well, I...\Might be going on a date or something...\A date...? response:	With who?
context: Let's just pretend nothing's happened today.\Shinichirou, you going to Ai-chan's today?\Well, err... Today, I...\Come on, since all you do is slack around, let's go together!\Well, I...\Might be going on a date or something...\A date...?\With who? response:	Isurugi... Noe...
context: Shinichirou, you going to Ai-chan's today?\Well, err... Today, I...\Come on, since all you do is slack around, let's go together!\Well, I...\Might be going on a date or something...\A date...?\With who?\Isurugi... Noe... response:	She's not around...
context: Well, err... Today, I...\Come on, since all you do is slack around, let's go together!\Well, I...\Might be going on a date or something...\A date...?\With who?\Isurugi... Noe...\She's not around... response:	Well, it's not like I asked her in advance.
context: Come on, since all you do is slack around, let's go together!\Well, I...\Might be going on a date or something...\A date...?\With who?\Isurugi... Noe...\She's not around...\Well, it's not like I asked her in advance. response:	Noe...
context: Well, I...\Might be going on a date or something...\A date...?\With who?\Isurugi... Noe...\She's not around...\Well, it's not like I asked her in advance.\Noe... response:	What are you doing?
context: Might be going on a date or something...\A date...?\With who?\Isurugi... Noe...\She's not around...\Well, it's not like I asked her in advance.\Noe...\What are you doing? response:	Ground looked like he was cold.
context: A date...?\With who?\Isurugi... Noe...\She's not around...\Well, it's not like I asked her in advance.\Noe...\What are you doing?\Ground looked like he was cold. response:	Huh? Are those two dating?
context: With who?\Isurugi... Noe...\She's not around...\Well, it's not like I asked her in advance.\Noe...\What are you doing?\Ground looked like he was cold.\Huh? Are those two dating? response:	Seems like it...
context: Isurugi... Noe...\She's not around...\Well, it's not like I asked her in advance.\Noe...\What are you doing?\Ground looked like he was cold.\Huh? Are those two dating?\Seems like it... response:	Isurugi Noe, how surprising!
context: She's not around...\Well, it's not like I asked her in advance.\Noe...\What are you doing?\Ground looked like he was cold.\Huh? Are those two dating?\Seems like it...\Isurugi Noe, how surprising! response:	I've always thought that Nakagami-kun likes Hiromi.
context: Well, it's not like I asked her in advance.\Noe...\What are you doing?\Ground looked like he was cold.\Huh? Are those two dating?\Seems like it...\Isurugi Noe, how surprising!\I've always thought that Nakagami-kun likes Hiromi. response:	Like that could happen.
context: Noe...\What are you doing?\Ground looked like he was cold.\Huh? Are those two dating?\Seems like it...\Isurugi Noe, how surprising!\I've always thought that Nakagami-kun likes Hiromi.\Like that could happen. response:	Don't fall!
context: What are you doing?\Ground looked like he was cold.\Huh? Are those two dating?\Seems like it...\Isurugi Noe, how surprising!\I've always thought that Nakagami-kun likes Hiromi.\Like that could happen.\Don't fall! response:	This feels great!
context: Ground looked like he was cold.\Huh? Are those two dating?\Seems like it...\Isurugi Noe, how surprising!\I've always thought that Nakagami-kun likes Hiromi.\Like that could happen.\Don't fall!\This feels great! response:	Shinichirou, you don't look very happy.
context: Huh? Are those two dating?\Seems like it...\Isurugi Noe, how surprising!\I've always thought that Nakagami-kun likes Hiromi.\Like that could happen.\Don't fall!\This feels great!\Shinichirou, you don't look very happy. response:	Sit down.
context: Seems like it...\Isurugi Noe, how surprising!\I've always thought that Nakagami-kun likes Hiromi.\Like that could happen.\Don't fall!\This feels great!\Shinichirou, you don't look very happy.\Sit down. response:	Crouch.
context: Isurugi Noe, how surprising!\I've always thought that Nakagami-kun likes Hiromi.\Like that could happen.\Don't fall!\This feels great!\Shinichirou, you don't look very happy.\Sit down.\Crouch. response:	Wh- What?
context: I've always thought that Nakagami-kun likes Hiromi.\Like that could happen.\Don't fall!\This feels great!\Shinichirou, you don't look very happy.\Sit down.\Crouch.\Wh- What? response:	Shinichirou looks like he's cold too.
context: Like that could happen.\Don't fall!\This feels great!\Shinichirou, you don't look very happy.\Sit down.\Crouch.\Wh- What?\Shinichirou looks like he's cold too. response:	Look.
context: Don't fall!\This feels great!\Shinichirou, you don't look very happy.\Sit down.\Crouch.\Wh- What?\Shinichirou looks like he's cold too.\Look. response:	What is it?
context: This feels great!\Shinichirou, you don't look very happy.\Sit down.\Crouch.\Wh- What?\Shinichirou looks like he's cold too.\Look.\What is it? response:	What do you see behind me?
context: Shinichirou, you don't look very happy.\Sit down.\Crouch.\Wh- What?\Shinichirou looks like he's cold too.\Look.\What is it?\What do you see behind me? response:	The sky...
context: Sit down.\Crouch.\Wh- What?\Shinichirou looks like he's cold too.\Look.\What is it?\What do you see behind me?\The sky... response:	I want Shinichirou to always keep looking towards the sky.
context: Crouch.\Wh- What?\Shinichirou looks like he's cold too.\Look.\What is it?\What do you see behind me?\The sky...\I want Shinichirou to always keep looking towards the sky. response:	I've never looked at the sky like this before.
context: Wh- What?\Shinichirou looks like he's cold too.\Look.\What is it?\What do you see behind me?\The sky...\I want Shinichirou to always keep looking towards the sky.\I've never looked at the sky like this before. response:	The first time Raigoumaru wanted to fly in the sky,
context: Shinichirou looks like he's cold too.\Look.\What is it?\What do you see behind me?\The sky...\I want Shinichirou to always keep looking towards the sky.\I've never looked at the sky like this before.\The first time Raigoumaru wanted to fly in the sky, response:	was after a stormy night.
context: Look.\What is it?\What do you see behind me?\The sky...\I want Shinichirou to always keep looking towards the sky.\I've never looked at the sky like this before.\The first time Raigoumaru wanted to fly in the sky,\was after a stormy night. response:	It was a breezy afternoon with a clear sky.
context: What is it?\What do you see behind me?\The sky...\I want Shinichirou to always keep looking towards the sky.\I've never looked at the sky like this before.\The first time Raigoumaru wanted to fly in the sky,\was after a stormy night.\It was a breezy afternoon with a clear sky. response:	What's that?
context: What do you see behind me?\The sky...\I want Shinichirou to always keep looking towards the sky.\I've never looked at the sky like this before.\The first time Raigoumaru wanted to fly in the sky,\was after a stormy night.\It was a breezy afternoon with a clear sky.\What's that? response:	A picture book I'm writing.
context: The sky...\I want Shinichirou to always keep looking towards the sky.\I've never looked at the sky like this before.\The first time Raigoumaru wanted to fly in the sky,\was after a stormy night.\It was a breezy afternoon with a clear sky.\What's that?\A picture book I'm writing. response:	Eh?! Then what comes next?
context: I want Shinichirou to always keep looking towards the sky.\I've never looked at the sky like this before.\The first time Raigoumaru wanted to fly in the sky,\was after a stormy night.\It was a breezy afternoon with a clear sky.\What's that?\A picture book I'm writing.\Eh?! Then what comes next? response:	What happens after that?!
context: I've never looked at the sky like this before.\The first time Raigoumaru wanted to fly in the sky,\was after a stormy night.\It was a breezy afternoon with a clear sky.\What's that?\A picture book I'm writing.\Eh?! Then what comes next?\What happens after that?! response:	Because of the wind the day before, broken straws and grass are everywhere, scattering across the ground.
context: The first time Raigoumaru wanted to fly in the sky,\was after a stormy night.\It was a breezy afternoon with a clear sky.\What's that?\A picture book I'm writing.\Eh?! Then what comes next?\What happens after that?!\Because of the wind the day before, broken straws and grass are everywhere, scattering across the ground. response:	Even those worms, delicious and usually hard-to-find,
context: was after a stormy night.\It was a breezy afternoon with a clear sky.\What's that?\A picture book I'm writing.\Eh?! Then what comes next?\What happens after that?!\Because of the wind the day before, broken straws and grass are everywhere, scattering across the ground.\Even those worms, delicious and usually hard-to-find, response:	Could be easily discovered.
context: It was a breezy afternoon with a clear sky.\What's that?\A picture book I'm writing.\Eh?! Then what comes next?\What happens after that?!\Because of the wind the day before, broken straws and grass are everywhere, scattering across the ground.\Even those worms, delicious and usually hard-to-find,\Could be easily discovered. response:	What comes after that?
context: What's that?\A picture book I'm writing.\Eh?! Then what comes next?\What happens after that?!\Because of the wind the day before, broken straws and grass are everywhere, scattering across the ground.\Even those worms, delicious and usually hard-to-find,\Could be easily discovered.\What comes after that? response:	That's all I have now.
context: A picture book I'm writing.\Eh?! Then what comes next?\What happens after that?!\Because of the wind the day before, broken straws and grass are everywhere, scattering across the ground.\Even those worms, delicious and usually hard-to-find,\Could be easily discovered.\What comes after that?\That's all I have now. response:	I want to hear what comes next!
context: Eh?! Then what comes next?\What happens after that?!\Because of the wind the day before, broken straws and grass are everywhere, scattering across the ground.\Even those worms, delicious and usually hard-to-find,\Could be easily discovered.\What comes after that?\That's all I have now.\I want to hear what comes next! response:	Eh?
context: What happens after that?!\Because of the wind the day before, broken straws and grass are everywhere, scattering across the ground.\Even those worms, delicious and usually hard-to-find,\Could be easily discovered.\What comes after that?\That's all I have now.\I want to hear what comes next!\Eh? response:	You'll continue writing it, right?
context: Because of the wind the day before, broken straws and grass are everywhere, scattering across the ground.\Even those worms, delicious and usually hard-to-find,\Could be easily discovered.\What comes after that?\That's all I have now.\I want to hear what comes next!\Eh?\You'll continue writing it, right? response:	Hurry up and write it!
context: Even those worms, delicious and usually hard-to-find,\Could be easily discovered.\What comes after that?\That's all I have now.\I want to hear what comes next!\Eh?\You'll continue writing it, right?\Hurry up and write it! response:	Y- Yes...
context: Could be easily discovered.\What comes after that?\That's all I have now.\I want to hear what comes next!\Eh?\You'll continue writing it, right?\Hurry up and write it!\Y- Yes... response:	Here I go!
context: What comes after that?\That's all I have now.\I want to hear what comes next!\Eh?\You'll continue writing it, right?\Hurry up and write it!\Y- Yes...\Here I go! response:	Raigoumaru drifted into slumber, dreaming a dream where he decided upon the day of his first flight.
context: That's all I have now.\I want to hear what comes next!\Eh?\You'll continue writing it, right?\Hurry up and write it!\Y- Yes...\Here I go!\Raigoumaru drifted into slumber, dreaming a dream where he decided upon the day of his first flight. response:	Every single day,
context: I want to hear what comes next!\Eh?\You'll continue writing it, right?\Hurry up and write it!\Y- Yes...\Here I go!\Raigoumaru drifted into slumber, dreaming a dream where he decided upon the day of his first flight.\Every single day, response:	Raigoumaru trained himself in order to fly,
context: Eh?\You'll continue writing it, right?\Hurry up and write it!\Y- Yes...\Here I go!\Raigoumaru drifted into slumber, dreaming a dream where he decided upon the day of his first flight.\Every single day,\Raigoumaru trained himself in order to fly, response:	To stand strong while facing the wind.
context: You'll continue writing it, right?\Hurry up and write it!\Y- Yes...\Here I go!\Raigoumaru drifted into slumber, dreaming a dream where he decided upon the day of his first flight.\Every single day,\Raigoumaru trained himself in order to fly,\To stand strong while facing the wind. response:	Finally, the day comes when he'll fly in the sky...
context: Hurry up and write it!\Y- Yes...\Here I go!\Raigoumaru drifted into slumber, dreaming a dream where he decided upon the day of his first flight.\Every single day,\Raigoumaru trained himself in order to fly,\To stand strong while facing the wind.\Finally, the day comes when he'll fly in the sky... response:	Let's stop here today.
context: Y- Yes...\Here I go!\Raigoumaru drifted into slumber, dreaming a dream where he decided upon the day of his first flight.\Every single day,\Raigoumaru trained himself in order to fly,\To stand strong while facing the wind.\Finally, the day comes when he'll fly in the sky...\Let's stop here today. response:	I'm happy...
context: Here I go!\Raigoumaru drifted into slumber, dreaming a dream where he decided upon the day of his first flight.\Every single day,\Raigoumaru trained himself in order to fly,\To stand strong while facing the wind.\Finally, the day comes when he'll fly in the sky...\Let's stop here today.\I'm happy... response:	Because Shinichirou's writing about Raigoumaru,
context: Raigoumaru drifted into slumber, dreaming a dream where he decided upon the day of his first flight.\Every single day,\Raigoumaru trained himself in order to fly,\To stand strong while facing the wind.\Finally, the day comes when he'll fly in the sky...\Let's stop here today.\I'm happy...\Because Shinichirou's writing about Raigoumaru, response:	And reviving Raigoumaru in the picture books!
context: Every single day,\Raigoumaru trained himself in order to fly,\To stand strong while facing the wind.\Finally, the day comes when he'll fly in the sky...\Let's stop here today.\I'm happy...\Because Shinichirou's writing about Raigoumaru,\And reviving Raigoumaru in the picture books! response:	I'm sure he'll be able to fly high!
context: Raigoumaru trained himself in order to fly,\To stand strong while facing the wind.\Finally, the day comes when he'll fly in the sky...\Let's stop here today.\I'm happy...\Because Shinichirou's writing about Raigoumaru,\And reviving Raigoumaru in the picture books!\I'm sure he'll be able to fly high! response:	Shinichirou could fly high as well.
context: To stand strong while facing the wind.\Finally, the day comes when he'll fly in the sky...\Let's stop here today.\I'm happy...\Because Shinichirou's writing about Raigoumaru,\And reviving Raigoumaru in the picture books!\I'm sure he'll be able to fly high!\Shinichirou could fly high as well. response:	This must be what's going to become the wings of Shinichirou!
context: Finally, the day comes when he'll fly in the sky...\Let's stop here today.\I'm happy...\Because Shinichirou's writing about Raigoumaru,\And reviving Raigoumaru in the picture books!\I'm sure he'll be able to fly high!\Shinichirou could fly high as well.\This must be what's going to become the wings of Shinichirou! response:	Thank you.
context: Let's stop here today.\I'm happy...\Because Shinichirou's writing about Raigoumaru,\And reviving Raigoumaru in the picture books!\I'm sure he'll be able to fly high!\Shinichirou could fly high as well.\This must be what's going to become the wings of Shinichirou!\Thank you. response:	Shinichirou's face is as red as a rooster's cockscomb.
context: I'm happy...\Because Shinichirou's writing about Raigoumaru,\And reviving Raigoumaru in the picture books!\I'm sure he'll be able to fly high!\Shinichirou could fly high as well.\This must be what's going to become the wings of Shinichirou!\Thank you.\Shinichirou's face is as red as a rooster's cockscomb. response:	Bu- But you suddenly...!
context: Because Shinichirou's writing about Raigoumaru,\And reviving Raigoumaru in the picture books!\I'm sure he'll be able to fly high!\Shinichirou could fly high as well.\This must be what's going to become the wings of Shinichirou!\Thank you.\Shinichirou's face is as red as a rooster's cockscomb.\Bu- But you suddenly...! response:	I will grow to like Shinichirou more and more!
context: And reviving Raigoumaru in the picture books!\I'm sure he'll be able to fly high!\Shinichirou could fly high as well.\This must be what's going to become the wings of Shinichirou!\Thank you.\Shinichirou's face is as red as a rooster's cockscomb.\Bu- But you suddenly...!\I will grow to like Shinichirou more and more! response:	Would you let me like you more?
context: I'm sure he'll be able to fly high!\Shinichirou could fly high as well.\This must be what's going to become the wings of Shinichirou!\Thank you.\Shinichirou's face is as red as a rooster's cockscomb.\Bu- But you suddenly...!\I will grow to like Shinichirou more and more!\Would you let me like you more? response:	Yeah.
context: Shinichirou could fly high as well.\This must be what's going to become the wings of Shinichirou!\Thank you.\Shinichirou's face is as red as a rooster's cockscomb.\Bu- But you suddenly...!\I will grow to like Shinichirou more and more!\Would you let me like you more?\Yeah. response:	Don't leave me alone...
context: This must be what's going to become the wings of Shinichirou!\Thank you.\Shinichirou's face is as red as a rooster's cockscomb.\Bu- But you suddenly...!\I will grow to like Shinichirou more and more!\Would you let me like you more?\Yeah.\Don't leave me alone... response:	Don't leave me alone...
context: Thank you.\Shinichirou's face is as red as a rooster's cockscomb.\Bu- But you suddenly...!\I will grow to like Shinichirou more and more!\Would you let me like you more?\Yeah.\Don't leave me alone...\Don't leave me alone... response:	Don't leave me alone...
context: Shinichirou's face is as red as a rooster's cockscomb.\Bu- But you suddenly...!\I will grow to like Shinichirou more and more!\Would you let me like you more?\Yeah.\Don't leave me alone...\Don't leave me alone...\Don't leave me alone... response:	Master, your hair looks like a cockscomb!
context: Bu- But you suddenly...!\I will grow to like Shinichirou more and more!\Would you let me like you more?\Yeah.\Don't leave me alone...\Don't leave me alone...\Don't leave me alone...\Master, your hair looks like a cockscomb! response:	This is... the shape of happiness!
context: I will grow to like Shinichirou more and more!\Would you let me like you more?\Yeah.\Don't leave me alone...\Don't leave me alone...\Don't leave me alone...\Master, your hair looks like a cockscomb!\This is... the shape of happiness! response:	Shape of happiness, huh?
context: Would you let me like you more?\Yeah.\Don't leave me alone...\Don't leave me alone...\Don't leave me alone...\Master, your hair looks like a cockscomb!\This is... the shape of happiness!\Shape of happiness, huh? response:	Not like I could make it.
context: Yeah.\Don't leave me alone...\Don't leave me alone...\Don't leave me alone...\Master, your hair looks like a cockscomb!\This is... the shape of happiness!\Shape of happiness, huh?\Not like I could make it. response:	Good morning.
context: Don't leave me alone...\Don't leave me alone...\Don't leave me alone...\Master, your hair looks like a cockscomb!\This is... the shape of happiness!\Shape of happiness, huh?\Not like I could make it.\Good morning. response:	Good morning.
context: Don't leave me alone...\Don't leave me alone...\Master, your hair looks like a cockscomb!\This is... the shape of happiness!\Shape of happiness, huh?\Not like I could make it.\Good morning.\Good morning. response:	Seems you're getting along well.
context: Don't leave me alone...\Master, your hair looks like a cockscomb!\This is... the shape of happiness!\Shape of happiness, huh?\Not like I could make it.\Good morning.\Good morning.\Seems you're getting along well. response:	Eh?
context: Master, your hair looks like a cockscomb!\This is... the shape of happiness!\Shape of happiness, huh?\Not like I could make it.\Good morning.\Good morning.\Seems you're getting along well.\Eh? response:	With Isurugi Noe.
context: This is... the shape of happiness!\Shape of happiness, huh?\Not like I could make it.\Good morning.\Good morning.\Seems you're getting along well.\Eh?\With Isurugi Noe. response:	Sure...
context: Shape of happiness, huh?\Not like I could make it.\Good morning.\Good morning.\Seems you're getting along well.\Eh?\With Isurugi Noe.\Sure... response:	That's a weird hairstyle.
context: Not like I could make it.\Good morning.\Good morning.\Seems you're getting along well.\Eh?\With Isurugi Noe.\Sure...\That's a weird hairstyle. response:	I'm going out.
context: Good morning.\Good morning.\Seems you're getting along well.\Eh?\With Isurugi Noe.\Sure...\That's a weird hairstyle.\I'm going out. response:	Hiromi,
context: Good morning.\Seems you're getting along well.\Eh?\With Isurugi Noe.\Sure...\That's a weird hairstyle.\I'm going out.\Hiromi, response:	Is there anything troubling you at home?
context: Seems you're getting along well.\Eh?\With Isurugi Noe.\Sure...\That's a weird hairstyle.\I'm going out.\Hiromi,\Is there anything troubling you at home? response:	If something happened, just tell me.
context: Eh?\With Isurugi Noe.\Sure...\That's a weird hairstyle.\I'm going out.\Hiromi,\Is there anything troubling you at home?\If something happened, just tell me. response:	You're one of this family's children as well.
context: With Isurugi Noe.\Sure...\That's a weird hairstyle.\I'm going out.\Hiromi,\Is there anything troubling you at home?\If something happened, just tell me.\You're one of this family's children as well. response:	That stance...
context: Sure...\That's a weird hairstyle.\I'm going out.\Hiromi,\Is there anything troubling you at home?\If something happened, just tell me.\You're one of this family's children as well.\That stance... response:	Resembles your mother alot.
context: That's a weird hairstyle.\I'm going out.\Hiromi,\Is there anything troubling you at home?\If something happened, just tell me.\You're one of this family's children as well.\That stance...\Resembles your mother alot. response:	You're really the same, huh?
context: I'm going out.\Hiromi,\Is there anything troubling you at home?\If something happened, just tell me.\You're one of this family's children as well.\That stance...\Resembles your mother alot.\You're really the same, huh? response:	Acting all innocent,
context: Hiromi,\Is there anything troubling you at home?\If something happened, just tell me.\You're one of this family's children as well.\That stance...\Resembles your mother alot.\You're really the same, huh?\Acting all innocent, response:	And easily controlling men's hearts.
context: Is there anything troubling you at home?\If something happened, just tell me.\You're one of this family's children as well.\That stance...\Resembles your mother alot.\You're really the same, huh?\Acting all innocent,\And easily controlling men's hearts. response:	You even made the people in this house and Shinichirou your allies.
context: If something happened, just tell me.\You're one of this family's children as well.\That stance...\Resembles your mother alot.\You're really the same, huh?\Acting all innocent,\And easily controlling men's hearts.\You even made the people in this house and Shinichirou your allies. response:	You're quite brilliant.
context: You're one of this family's children as well.\That stance...\Resembles your mother alot.\You're really the same, huh?\Acting all innocent,\And easily controlling men's hearts.\You even made the people in this house and Shinichirou your allies.\You're quite brilliant. response:	It's always snowing when we meet, huh?
context: That stance...\Resembles your mother alot.\You're really the same, huh?\Acting all innocent,\And easily controlling men's hearts.\You even made the people in this house and Shinichirou your allies.\You're quite brilliant.\It's always snowing when we meet, huh? response:	Where do you want to go?
context: Resembles your mother alot.\You're really the same, huh?\Acting all innocent,\And easily controlling men's hearts.\You even made the people in this house and Shinichirou your allies.\You're quite brilliant.\It's always snowing when we meet, huh?\Where do you want to go? response:	To a town where it doesn't snow.
context: You're really the same, huh?\Acting all innocent,\And easily controlling men's hearts.\You even made the people in this house and Shinichirou your allies.\You're quite brilliant.\It's always snowing when we meet, huh?\Where do you want to go?\To a town where it doesn't snow. response:	There's a nice place.
context: Acting all innocent,\And easily controlling men's hearts.\You even made the people in this house and Shinichirou your allies.\You're quite brilliant.\It's always snowing when we meet, huh?\Where do you want to go?\To a town where it doesn't snow.\There's a nice place. response:	The only thing that we have in common.
context: And easily controlling men's hearts.\You even made the people in this house and Shinichirou your allies.\You're quite brilliant.\It's always snowing when we meet, huh?\Where do you want to go?\To a town where it doesn't snow.\There's a nice place.\The only thing that we have in common. response:	Let's play a game.
context: You even made the people in this house and Shinichirou your allies.\You're quite brilliant.\It's always snowing when we meet, huh?\Where do you want to go?\To a town where it doesn't snow.\There's a nice place.\The only thing that we have in common.\Let's play a game. response:	For every basket you score, the other must answer a question.
context: You're quite brilliant.\It's always snowing when we meet, huh?\Where do you want to go?\To a town where it doesn't snow.\There's a nice place.\The only thing that we have in common.\Let's play a game.\For every basket you score, the other must answer a question. response:	And you must tell the truth.
context: It's always snowing when we meet, huh?\Where do you want to go?\To a town where it doesn't snow.\There's a nice place.\The only thing that we have in common.\Let's play a game.\For every basket you score, the other must answer a question.\And you must tell the truth. response:	Three times each.
context: Where do you want to go?\To a town where it doesn't snow.\There's a nice place.\The only thing that we have in common.\Let's play a game.\For every basket you score, the other must answer a question.\And you must tell the truth.\Three times each. response:	You can shoot here,
context: To a town where it doesn't snow.\There's a nice place.\The only thing that we have in common.\Let's play a game.\For every basket you score, the other must answer a question.\And you must tell the truth.\Three times each.\You can shoot here, response:	And I'll be shooting from here.
context: There's a nice place.\The only thing that we have in common.\Let's play a game.\For every basket you score, the other must answer a question.\And you must tell the truth.\Three times each.\You can shoot here,\And I'll be shooting from here. response:	Nope.
context: The only thing that we have in common.\Let's play a game.\For every basket you score, the other must answer a question.\And you must tell the truth.\Three times each.\You can shoot here,\And I'll be shooting from here.\Nope. response:	You'll be shooting from here.
