context: It really is you, Kirino! response:	Ayase...
context: I heard you were taking the day off from work because you were busy with the track team...\W-Well... um...\You want me to deal with this??\Yo!\Oh, it's Onii-san!\Might you two be out on a date?\Well, something like that.\Wait, what response:	And what are you up to here?
context: W-Well... um...\You want me to deal with this??\Yo!\Oh, it's Onii-san!\Might you two be out on a date?\Well, something like that.\Wait, what\And what are you up to here? response:	We're doing a photo shoot.
context: You want me to deal with this??\Yo!\Oh, it's Onii-san!\Might you two be out on a date?\Well, something like that.\Wait, what\And what are you up to here?\We're doing a photo shoot. response:	Right now I'm on break.
context: Yo!\Oh, it's Onii-san!\Might you two be out on a date?\Well, something like that.\Wait, what\And what are you up to here?\We're doing a photo shoot.\Right now I'm on break. response:	Well, Aragaki
context: Oh, it's Onii-san!\Might you two be out on a date?\Well, something like that.\Wait, what\And what are you up to here?\We're doing a photo shoot.\Right now I'm on break.\Well, Aragaki response:	You can just call me Ayase.
context: Might you two be out on a date?\Well, something like that.\Wait, what\And what are you up to here?\We're doing a photo shoot.\Right now I'm on break.\Well, Aragaki\You can just call me Ayase. response:	Ah, Ayase-chan then.
context: Well, something like that.\Wait, what\And what are you up to here?\We're doing a photo shoot.\Right now I'm on break.\Well, Aragaki\You can just call me Ayase.\Ah, Ayase-chan then. response:	We're in a bit of a hurry right now...
context: Wait, what\And what are you up to here?\We're doing a photo shoot.\Right now I'm on break.\Well, Aragaki\You can just call me Ayase.\Ah, Ayase-chan then.\We're in a bit of a hurry right now... response:	Kirino? Are you feeling okay?
context: And what are you up to here?\We're doing a photo shoot.\Right now I'm on break.\Well, Aragaki\You can just call me Ayase.\Ah, Ayase-chan then.\We're in a bit of a hurry right now...\Kirino? Are you feeling okay? response:	You're kind of quiet, and you look stressed...
context: We're doing a photo shoot.\Right now I'm on break.\Well, Aragaki\You can just call me Ayase.\Ah, Ayase-chan then.\We're in a bit of a hurry right now...\Kirino? Are you feeling okay?\You're kind of quiet, and you look stressed... response:	Y-Yeah, I'm a bit under the weather.
context: Right now I'm on break.\Well, Aragaki\You can just call me Ayase.\Ah, Ayase-chan then.\We're in a bit of a hurry right now...\Kirino? Are you feeling okay?\You're kind of quiet, and you look stressed...\Y-Yeah, I'm a bit under the weather. response:	How about I have someone drive you back?
context: Well, Aragaki\You can just call me Ayase.\Ah, Ayase-chan then.\We're in a bit of a hurry right now...\Kirino? Are you feeling okay?\You're kind of quiet, and you look stressed...\Y-Yeah, I'm a bit under the weather.\How about I have someone drive you back? response:	I'll take your bags.
context: You can just call me Ayase.\Ah, Ayase-chan then.\We're in a bit of a hurry right now...\Kirino? Are you feeling okay?\You're kind of quiet, and you look stressed...\Y-Yeah, I'm a bit under the weather.\How about I have someone drive you back?\I'll take your bags. response:	Thanks, but I'm fine!
context: Ah, Ayase-chan then.\We're in a bit of a hurry right now...\Kirino? Are you feeling okay?\You're kind of quiet, and you look stressed...\Y-Yeah, I'm a bit under the weather.\How about I have someone drive you back?\I'll take your bags.\Thanks, but I'm fine! response:	Really?
context: We're in a bit of a hurry right now...\Kirino? Are you feeling okay?\You're kind of quiet, and you look stressed...\Y-Yeah, I'm a bit under the weather.\How about I have someone drive you back?\I'll take your bags.\Thanks, but I'm fine!\Really? response:	Sorry for interrupting your date.
context: Kirino? Are you feeling okay?\You're kind of quiet, and you look stressed...\Y-Yeah, I'm a bit under the weather.\How about I have someone drive you back?\I'll take your bags.\Thanks, but I'm fine!\Really?\Sorry for interrupting your date. response:	You know, I've been wondering, but do you know those people behind you?
context: You're kind of quiet, and you look stressed...\Y-Yeah, I'm a bit under the weather.\How about I have someone drive you back?\I'll take your bags.\Thanks, but I'm fine!\Really?\Sorry for interrupting your date.\You know, I've been wondering, but do you know those people behind you? response:	Um...
context: Y-Yeah, I'm a bit under the weather.\How about I have someone drive you back?\I'll take your bags.\Thanks, but I'm fine!\Really?\Sorry for interrupting your date.\You know, I've been wondering, but do you know those people behind you?\Um... response:	Let's go.
context: How about I have someone drive you back?\I'll take your bags.\Thanks, but I'm fine!\Really?\Sorry for interrupting your date.\You know, I've been wondering, but do you know those people behind you?\Um...\Let's go. response:	If we don't hurry, we'll miss the 5pm anime.
context: I'll take your bags.\Thanks, but I'm fine!\Really?\Sorry for interrupting your date.\You know, I've been wondering, but do you know those people behind you?\Um...\Let's go.\If we don't hurry, we'll miss the 5pm anime. response:	Sorry guys... thanks!
context: Thanks, but I'm fine!\Really?\Sorry for interrupting your date.\You know, I've been wondering, but do you know those people behind you?\Um...\Let's go.\If we don't hurry, we'll miss the 5pm anime.\Sorry guys... thanks! response:	What was with those two?
context: Really?\Sorry for interrupting your date.\You know, I've been wondering, but do you know those people behind you?\Um...\Let's go.\If we don't hurry, we'll miss the 5pm anime.\Sorry guys... thanks!\What was with those two? response:	They looked really strange.
context: Sorry for interrupting your date.\You know, I've been wondering, but do you know those people behind you?\Um...\Let's go.\If we don't hurry, we'll miss the 5pm anime.\Sorry guys... thanks!\What was with those two?\They looked really strange. response:	Who knows?
context: You know, I've been wondering, but do you know those people behind you?\Um...\Let's go.\If we don't hurry, we'll miss the 5pm anime.\Sorry guys... thanks!\What was with those two?\They looked really strange.\Who knows? response:	I don't know those weirdos.
context: Um...\Let's go.\If we don't hurry, we'll miss the 5pm anime.\Sorry guys... thanks!\What was with those two?\They looked really strange.\Who knows?\I don't know those weirdos. response:	Hey, was something going on today?
context: Let's go.\If we don't hurry, we'll miss the 5pm anime.\Sorry guys... thanks!\What was with those two?\They looked really strange.\Who knows?\I don't know those weirdos.\Hey, was something going on today? response:	Um...
context: If we don't hurry, we'll miss the 5pm anime.\Sorry guys... thanks!\What was with those two?\They looked really strange.\Who knows?\I don't know those weirdos.\Hey, was something going on today?\Um... response:	It was probably Summer Comiket.
context: Sorry guys... thanks!\What was with those two?\They looked really strange.\Who knows?\I don't know those weirdos.\Hey, was something going on today?\Um...\It was probably Summer Comiket. response:	Summer Comiket?
context: What was with those two?\They looked really strange.\Who knows?\I don't know those weirdos.\Hey, was something going on today?\Um...\It was probably Summer Comiket.\Summer Comiket? response:	What's that?
context: They looked really strange.\Who knows?\I don't know those weirdos.\Hey, was something going on today?\Um...\It was probably Summer Comiket.\Summer Comiket?\What's that? response:	I'm not sure myself, but they sell doujinshi and stuff...
context: Who knows?\I don't know those weirdos.\Hey, was something going on today?\Um...\It was probably Summer Comiket.\Summer Comiket?\What's that?\I'm not sure myself, but they sell doujinshi and stuff... response:	Doujinshi?
context: I don't know those weirdos.\Hey, was something going on today?\Um...\It was probably Summer Comiket.\Summer Comiket?\What's that?\I'm not sure myself, but they sell doujinshi and stuff...\Doujinshi? response:	She's hopeless...
context: Hey, was something going on today?\Um...\It was probably Summer Comiket.\Summer Comiket?\What's that?\I'm not sure myself, but they sell doujinshi and stuff...\Doujinshi?\She's hopeless... response:	Kirino...
context: Um...\It was probably Summer Comiket.\Summer Comiket?\What's that?\I'm not sure myself, but they sell doujinshi and stuff...\Doujinshi?\She's hopeless...\Kirino... response:	Are you hiding something?
context: It was probably Summer Comiket.\Summer Comiket?\What's that?\I'm not sure myself, but they sell doujinshi and stuff...\Doujinshi?\She's hopeless...\Kirino...\Are you hiding something? response:	Of course not!
context: Summer Comiket?\What's that?\I'm not sure myself, but they sell doujinshi and stuff...\Doujinshi?\She's hopeless...\Kirino...\Are you hiding something?\Of course not! response:	Sorry, we'll catch you another time!
context: What's that?\I'm not sure myself, but they sell doujinshi and stuff...\Doujinshi?\She's hopeless...\Kirino...\Are you hiding something?\Of course not!\Sorry, we'll catch you another time! response:	Later, Ayase!
context: I'm not sure myself, but they sell doujinshi and stuff...\Doujinshi?\She's hopeless...\Kirino...\Are you hiding something?\Of course not!\Sorry, we'll catch you another time!\Later, Ayase! response:	Wait.
context: Doujinshi?\She's hopeless...\Kirino...\Are you hiding something?\Of course not!\Sorry, we'll catch you another time!\Later, Ayase!\Wait. response:	Ayase?
context: She's hopeless...\Kirino...\Are you hiding something?\Of course not!\Sorry, we'll catch you another time!\Later, Ayase!\Wait.\Ayase? response:	Why are you running away, Kirino?
context: Kirino...\Are you hiding something?\Of course not!\Sorry, we'll catch you another time!\Later, Ayase!\Wait.\Ayase?\Why are you running away, Kirino? response:	I'm not running...
context: Are you hiding something?\Of course not!\Sorry, we'll catch you another time!\Later, Ayase!\Wait.\Ayase?\Why are you running away, Kirino?\I'm not running... response:	Lies.
context: Of course not!\Sorry, we'll catch you another time!\Later, Ayase!\Wait.\Ayase?\Why are you running away, Kirino?\I'm not running...\Lies. response:	You're lying.
context: Sorry, we'll catch you another time!\Later, Ayase!\Wait.\Ayase?\Why are you running away, Kirino?\I'm not running...\Lies.\You're lying. response:	Lies, lies, lies, lies!
context: Later, Ayase!\Wait.\Ayase?\Why are you running away, Kirino?\I'm not running...\Lies.\You're lying.\Lies, lies, lies, lies! response:	Don't lie to me.
context: Wait.\Ayase?\Why are you running away, Kirino?\I'm not running...\Lies.\You're lying.\Lies, lies, lies, lies!\Don't lie to me. response:	You tried to run.
context: Ayase?\Why are you running away, Kirino?\I'm not running...\Lies.\You're lying.\Lies, lies, lies, lies!\Don't lie to me.\You tried to run. response:	You're running away.
context: Why are you running away, Kirino?\I'm not running...\Lies.\You're lying.\Lies, lies, lies, lies!\Don't lie to me.\You tried to run.\You're running away. response:	You're running!
context: I'm not running...\Lies.\You're lying.\Lies, lies, lies, lies!\Don't lie to me.\You tried to run.\You're running away.\You're running! response:	Ayase? This
context: Lies.\You're lying.\Lies, lies, lies, lies!\Don't lie to me.\You tried to run.\You're running away.\You're running!\Ayase? This response:	You be quiet, Onii-san!
context: You're lying.\Lies, lies, lies, lies!\Don't lie to me.\You tried to run.\You're running away.\You're running!\Ayase? This\You be quiet, Onii-san! response:	I'm talking with Kirino.
context: Lies, lies, lies, lies!\Don't lie to me.\You tried to run.\You're running away.\You're running!\Ayase? This\You be quiet, Onii-san!\I'm talking with Kirino. response:	Sorry...
context: Don't lie to me.\You tried to run.\You're running away.\You're running!\Ayase? This\You be quiet, Onii-san!\I'm talking with Kirino.\Sorry... response:	Kirino, I'm worried about you.
context: You tried to run.\You're running away.\You're running!\Ayase? This\You be quiet, Onii-san!\I'm talking with Kirino.\Sorry...\Kirino, I'm worried about you. response:	So please answer me.
context: You're running away.\You're running!\Ayase? This\You be quiet, Onii-san!\I'm talking with Kirino.\Sorry...\Kirino, I'm worried about you.\So please answer me. response:	You're hiding something, right?
context: You're running!\Ayase? This\You be quiet, Onii-san!\I'm talking with Kirino.\Sorry...\Kirino, I'm worried about you.\So please answer me.\You're hiding something, right? response:	I'm not, Ayase...
context: Ayase? This\You be quiet, Onii-san!\I'm talking with Kirino.\Sorry...\Kirino, I'm worried about you.\So please answer me.\You're hiding something, right?\I'm not, Ayase... response:	I'm not...
context: You be quiet, Onii-san!\I'm talking with Kirino.\Sorry...\Kirino, I'm worried about you.\So please answer me.\You're hiding something, right?\I'm not, Ayase...\I'm not... response:	You should know by now, Kirino.
context: I'm talking with Kirino.\Sorry...\Kirino, I'm worried about you.\So please answer me.\You're hiding something, right?\I'm not, Ayase...\I'm not...\You should know by now, Kirino. response:	I hate lies.
context: Sorry...\Kirino, I'm worried about you.\So please answer me.\You're hiding something, right?\I'm not, Ayase...\I'm not...\You should know by now, Kirino.\I hate lies. response:	You're not telling me?
context: Kirino, I'm worried about you.\So please answer me.\You're hiding something, right?\I'm not, Ayase...\I'm not...\You should know by now, Kirino.\I hate lies.\You're not telling me? response:	You don't want to talk to me?
context: So please answer me.\You're hiding something, right?\I'm not, Ayase...\I'm not...\You should know by now, Kirino.\I hate lies.\You're not telling me?\You don't want to talk to me? response:	I'm shocked. And here I thought we were friends.
context: You're hiding something, right?\I'm not, Ayase...\I'm not...\You should know by now, Kirino.\I hate lies.\You're not telling me?\You don't want to talk to me?\I'm shocked. And here I thought we were friends. response:	It seems that I misunderstood things.
context: I'm not, Ayase...\I'm not...\You should know by now, Kirino.\I hate lies.\You're not telling me?\You don't want to talk to me?\I'm shocked. And here I thought we were friends.\It seems that I misunderstood things. response:	Ow...
context: I'm not...\You should know by now, Kirino.\I hate lies.\You're not telling me?\You don't want to talk to me?\I'm shocked. And here I thought we were friends.\It seems that I misunderstood things.\Ow... response:	I'm sorry!
context: You should know by now, Kirino.\I hate lies.\You're not telling me?\You don't want to talk to me?\I'm shocked. And here I thought we were friends.\It seems that I misunderstood things.\Ow...\I'm sorry! response:	I want to help you, Kirino.
context: I hate lies.\You're not telling me?\You don't want to talk to me?\I'm shocked. And here I thought we were friends.\It seems that I misunderstood things.\Ow...\I'm sorry!\I want to help you, Kirino. response:	Something feels wrong today, and I can't just let you go...
context: You're not telling me?\You don't want to talk to me?\I'm shocked. And here I thought we were friends.\It seems that I misunderstood things.\Ow...\I'm sorry!\I want to help you, Kirino.\Something feels wrong today, and I can't just let you go... response:	What's in that bag?
context: You don't want to talk to me?\I'm shocked. And here I thought we were friends.\It seems that I misunderstood things.\Ow...\I'm sorry!\I want to help you, Kirino.\Something feels wrong today, and I can't just let you go...\What's in that bag? response:	Comic Circle Market...
context: I'm shocked. And here I thought we were friends.\It seems that I misunderstood things.\Ow...\I'm sorry!\I want to help you, Kirino.\Something feels wrong today, and I can't just let you go...\What's in that bag?\Comic Circle Market... response:	Where are you going? I'm not done talk
context: It seems that I misunderstood things.\Ow...\I'm sorry!\I want to help you, Kirino.\Something feels wrong today, and I can't just let you go...\What's in that bag?\Comic Circle Market...\Where are you going? I'm not done talk response:	I'm sorry.
context: Ow...\I'm sorry!\I want to help you, Kirino.\Something feels wrong today, and I can't just let you go...\What's in that bag?\Comic Circle Market...\Where are you going? I'm not done talk\I'm sorry. response:	I can no longer be your friend.
context: I'm sorry!\I want to help you, Kirino.\Something feels wrong today, and I can't just let you go...\What's in that bag?\Comic Circle Market...\Where are you going? I'm not done talk\I'm sorry.\I can no longer be your friend. response:	Please don't talk to me at school anymore.
context: I want to help you, Kirino.\Something feels wrong today, and I can't just let you go...\What's in that bag?\Comic Circle Market...\Where are you going? I'm not done talk\I'm sorry.\I can no longer be your friend.\Please don't talk to me at school anymore. response:	I don't know those weirdos.
context: Something feels wrong today, and I can't just let you go...\What's in that bag?\Comic Circle Market...\Where are you going? I'm not done talk\I'm sorry.\I can no longer be your friend.\Please don't talk to me at school anymore.\I don't know those weirdos. response:	I don't think Miss Kiririn was being serious there.
context: What's in that bag?\Comic Circle Market...\Where are you going? I'm not done talk\I'm sorry.\I can no longer be your friend.\Please don't talk to me at school anymore.\I don't know those weirdos.\I don't think Miss Kiririn was being serious there. response:	I know that.
context: Comic Circle Market...\Where are you going? I'm not done talk\I'm sorry.\I can no longer be your friend.\Please don't talk to me at school anymore.\I don't know those weirdos.\I don't think Miss Kiririn was being serious there.\I know that. response:	Humans are such unfortunate animals.
context: Where are you going? I'm not done talk\I'm sorry.\I can no longer be your friend.\Please don't talk to me at school anymore.\I don't know those weirdos.\I don't think Miss Kiririn was being serious there.\I know that.\Humans are such unfortunate animals. response:	Thanks for that back there.
context: I'm sorry.\I can no longer be your friend.\Please don't talk to me at school anymore.\I don't know those weirdos.\I don't think Miss Kiririn was being serious there.\I know that.\Humans are such unfortunate animals.\Thanks for that back there. response:	Thanks to you, we managed to work it out somehow.
context: I can no longer be your friend.\Please don't talk to me at school anymore.\I don't know those weirdos.\I don't think Miss Kiririn was being serious there.\I know that.\Humans are such unfortunate animals.\Thanks for that back there.\Thanks to you, we managed to work it out somehow. response:	Sorry for using you like that.
context: Please don't talk to me at school anymore.\I don't know those weirdos.\I don't think Miss Kiririn was being serious there.\I know that.\Humans are such unfortunate animals.\Thanks for that back there.\Thanks to you, we managed to work it out somehow.\Sorry for using you like that. response:	I tried calling Miss Kiririn too, but she didn't pick up...
context: I don't know those weirdos.\I don't think Miss Kiririn was being serious there.\I know that.\Humans are such unfortunate animals.\Thanks for that back there.\Thanks to you, we managed to work it out somehow.\Sorry for using you like that.\I tried calling Miss Kiririn too, but she didn't pick up... response:	She was pretty tired.
context: I don't think Miss Kiririn was being serious there.\I know that.\Humans are such unfortunate animals.\Thanks for that back there.\Thanks to you, we managed to work it out somehow.\Sorry for using you like that.\I tried calling Miss Kiririn too, but she didn't pick up...\She was pretty tired. response:	She's already gone to bed.
context: I know that.\Humans are such unfortunate animals.\Thanks for that back there.\Thanks to you, we managed to work it out somehow.\Sorry for using you like that.\I tried calling Miss Kiririn too, but she didn't pick up...\She was pretty tired.\She's already gone to bed. response:	Indeed? That's good to hear.
context: Humans are such unfortunate animals.\Thanks for that back there.\Thanks to you, we managed to work it out somehow.\Sorry for using you like that.\I tried calling Miss Kiririn too, but she didn't pick up...\She was pretty tired.\She's already gone to bed.\Indeed? That's good to hear. response:	Miss Kuroneko was also quite worried.
context: Thanks for that back there.\Thanks to you, we managed to work it out somehow.\Sorry for using you like that.\I tried calling Miss Kiririn too, but she didn't pick up...\She was pretty tired.\She's already gone to bed.\Indeed? That's good to hear.\Miss Kuroneko was also quite worried. response:	Sorry again about that.
context: Thanks to you, we managed to work it out somehow.\Sorry for using you like that.\I tried calling Miss Kiririn too, but she didn't pick up...\She was pretty tired.\She's already gone to bed.\Indeed? That's good to hear.\Miss Kuroneko was also quite worried.\Sorry again about that. response:	I'll get her to apologize to her too.
context: Sorry for using you like that.\I tried calling Miss Kiririn too, but she didn't pick up...\She was pretty tired.\She's already gone to bed.\Indeed? That's good to hear.\Miss Kuroneko was also quite worried.\Sorry again about that.\I'll get her to apologize to her too. response:	You needn't worry about it.
context: I tried calling Miss Kiririn too, but she didn't pick up...\She was pretty tired.\She's already gone to bed.\Indeed? That's good to hear.\Miss Kuroneko was also quite worried.\Sorry again about that.\I'll get her to apologize to her too.\You needn't worry about it. response:	Thanks a lot for today.
context: She was pretty tired.\She's already gone to bed.\Indeed? That's good to hear.\Miss Kuroneko was also quite worried.\Sorry again about that.\I'll get her to apologize to her too.\You needn't worry about it.\Thanks a lot for today. response:	Bye then.
context: She's already gone to bed.\Indeed? That's good to hear.\Miss Kuroneko was also quite worried.\Sorry again about that.\I'll get her to apologize to her too.\You needn't worry about it.\Thanks a lot for today.\Bye then. response:	Do your best at training camp!
context: Indeed? That's good to hear.\Miss Kuroneko was also quite worried.\Sorry again about that.\I'll get her to apologize to her too.\You needn't worry about it.\Thanks a lot for today.\Bye then.\Do your best at training camp! response:	Of course!
context: Miss Kuroneko was also quite worried.\Sorry again about that.\I'll get her to apologize to her too.\You needn't worry about it.\Thanks a lot for today.\Bye then.\Do your best at training camp!\Of course! response:	Who do you think I am, Mom?
context: Sorry again about that.\I'll get her to apologize to her too.\You needn't worry about it.\Thanks a lot for today.\Bye then.\Do your best at training camp!\Of course!\Who do you think I am, Mom? response:	I'm off then!
context: I'll get her to apologize to her too.\You needn't worry about it.\Thanks a lot for today.\Bye then.\Do your best at training camp!\Of course!\Who do you think I am, Mom?\I'm off then! response:	You lose!
context: You needn't worry about it.\Thanks a lot for today.\Bye then.\Do your best at training camp!\Of course!\Who do you think I am, Mom?\I'm off then!\You lose! response:	When she uses her tentacles, Reika's back becomes exposed.
context: Thanks a lot for today.\Bye then.\Do your best at training camp!\Of course!\Who do you think I am, Mom?\I'm off then!\You lose!\When she uses her tentacles, Reika's back becomes exposed. response:	D-Don't get me wrong!
context: Bye then.\Do your best at training camp!\Of course!\Who do you think I am, Mom?\I'm off then!\You lose!\When she uses her tentacles, Reika's back becomes exposed.\D-Don't get me wrong! response:	It's not like I looked this up for you or anything!
context: Do your best at training camp!\Of course!\Who do you think I am, Mom?\I'm off then!\You lose!\When she uses her tentacles, Reika's back becomes exposed.\D-Don't get me wrong!\It's not like I looked this up for you or anything! response:	On your marks...
context: Of course!\Who do you think I am, Mom?\I'm off then!\You lose!\When she uses her tentacles, Reika's back becomes exposed.\D-Don't get me wrong!\It's not like I looked this up for you or anything!\On your marks... response:	Get set...
context: Who do you think I am, Mom?\I'm off then!\You lose!\When she uses her tentacles, Reika's back becomes exposed.\D-Don't get me wrong!\It's not like I looked this up for you or anything!\On your marks...\Get set... response:	Go!
context: I'm off then!\You lose!\When she uses her tentacles, Reika's back becomes exposed.\D-Don't get me wrong!\It's not like I looked this up for you or anything!\On your marks...\Get set...\Go! response:	You win!
context: You lose!\When she uses her tentacles, Reika's back becomes exposed.\D-Don't get me wrong!\It's not like I looked this up for you or anything!\On your marks...\Get set...\Go!\You win! response:	Now you can fight against other players!
context: When she uses her tentacles, Reika's back becomes exposed.\D-Don't get me wrong!\It's not like I looked this up for you or anything!\On your marks...\Get set...\Go!\You win!\Now you can fight against other players! response:	I'm back.
context: D-Don't get me wrong!\It's not like I looked this up for you or anything!\On your marks...\Get set...\Go!\You win!\Now you can fight against other players!\I'm back. response:	Hey.
context: It's not like I looked this up for you or anything!\On your marks...\Get set...\Go!\You win!\Now you can fight against other players!\I'm back.\Hey. response:	I can use my character against other players now.
context: On your marks...\Get set...\Go!\You win!\Now you can fight against other players!\I'm back.\Hey.\I can use my character against other players now. response:	Oh yeah?
context: Get set...\Go!\You win!\Now you can fight against other players!\I'm back.\Hey.\I can use my character against other players now.\Oh yeah? response:	Something happen to you at school today?
context: Go!\You win!\Now you can fight against other players!\I'm back.\Hey.\I can use my character against other players now.\Oh yeah?\Something happen to you at school today? response:	Not really.
context: You win!\Now you can fight against other players!\I'm back.\Hey.\I can use my character against other players now.\Oh yeah?\Something happen to you at school today?\Not really. response:	Did Ayase break her promise and tell everyone about your hobby?
context: Now you can fight against other players!\I'm back.\Hey.\I can use my character against other players now.\Oh yeah?\Something happen to you at school today?\Not really.\Did Ayase break her promise and tell everyone about your hobby? response:	Ayase wouldn't do that!
context: I'm back.\Hey.\I can use my character against other players now.\Oh yeah?\Something happen to you at school today?\Not really.\Did Ayase break her promise and tell everyone about your hobby?\Ayase wouldn't do that! response:	Have you made up with her?
context: Hey.\I can use my character against other players now.\Oh yeah?\Something happen to you at school today?\Not really.\Did Ayase break her promise and tell everyone about your hobby?\Ayase wouldn't do that!\Have you made up with her? response:	Hey!
context: I can use my character against other players now.\Oh yeah?\Something happen to you at school today?\Not really.\Did Ayase break her promise and tell everyone about your hobby?\Ayase wouldn't do that!\Have you made up with her?\Hey! response:	Look this way!
context: Oh yeah?\Something happen to you at school today?\Not really.\Did Ayase break her promise and tell everyone about your hobby?\Ayase wouldn't do that!\Have you made up with her?\Hey!\Look this way! response:	If you don't say anything, I can't help!
context: Something happen to you at school today?\Not really.\Did Ayase break her promise and tell everyone about your hobby?\Ayase wouldn't do that!\Have you made up with her?\Hey!\Look this way!\If you don't say anything, I can't help! response:	Shut up!
context: Not really.\Did Ayase break her promise and tell everyone about your hobby?\Ayase wouldn't do that!\Have you made up with her?\Hey!\Look this way!\If you don't say anything, I can't help!\Shut up! response:	What the hell?
context: Did Ayase break her promise and tell everyone about your hobby?\Ayase wouldn't do that!\Have you made up with her?\Hey!\Look this way!\If you don't say anything, I can't help!\Shut up!\What the hell? response:	I talk to you a little and now you're acting all gross!
context: Ayase wouldn't do that!\Have you made up with her?\Hey!\Look this way!\If you don't say anything, I can't help!\Shut up!\What the hell?\I talk to you a little and now you're acting all gross! response:	And what's wrong with that?
context: Have you made up with her?\Hey!\Look this way!\If you don't say anything, I can't help!\Shut up!\What the hell?\I talk to you a little and now you're acting all gross!\And what's wrong with that? response:	Huh?
context: Hey!\Look this way!\If you don't say anything, I can't help!\Shut up!\What the hell?\I talk to you a little and now you're acting all gross!\And what's wrong with that?\Huh? response:	I said I don't care if I'm gross!
context: Look this way!\If you don't say anything, I can't help!\Shut up!\What the hell?\I talk to you a little and now you're acting all gross!\And what's wrong with that?\Huh?\I said I don't care if I'm gross! response:	After all, I'm a perverted siscon idiot of a brother that thinks he's got something good going on after he got to know his sister a bit.
context: If you don't say anything, I can't help!\Shut up!\What the hell?\I talk to you a little and now you're acting all gross!\And what's wrong with that?\Huh?\I said I don't care if I'm gross!\After all, I'm a perverted siscon idiot of a brother that thinks he's got something good going on after he got to know his sister a bit. response:	I'm not letting you leave here till you tell me the whole story.
context: Shut up!\What the hell?\I talk to you a little and now you're acting all gross!\And what's wrong with that?\Huh?\I said I don't care if I'm gross!\After all, I'm a perverted siscon idiot of a brother that thinks he's got something good going on after he got to know his sister a bit.\I'm not letting you leave here till you tell me the whole story. response:	Wh-What's with you?
context: What the hell?\I talk to you a little and now you're acting all gross!\And what's wrong with that?\Huh?\I said I don't care if I'm gross!\After all, I'm a perverted siscon idiot of a brother that thinks he's got something good going on after he got to know his sister a bit.\I'm not letting you leave here till you tell me the whole story.\Wh-What's with you? response:	You haven't made up with Ayase, right?
context: I talk to you a little and now you're acting all gross!\And what's wrong with that?\Huh?\I said I don't care if I'm gross!\After all, I'm a perverted siscon idiot of a brother that thinks he's got something good going on after he got to know his sister a bit.\I'm not letting you leave here till you tell me the whole story.\Wh-What's with you?\You haven't made up with Ayase, right? response:	How could I?
context: And what's wrong with that?\Huh?\I said I don't care if I'm gross!\After all, I'm a perverted siscon idiot of a brother that thinks he's got something good going on after he got to know his sister a bit.\I'm not letting you leave here till you tell me the whole story.\Wh-What's with you?\You haven't made up with Ayase, right?\How could I? response:	After what happened...
context: Huh?\I said I don't care if I'm gross!\After all, I'm a perverted siscon idiot of a brother that thinks he's got something good going on after he got to know his sister a bit.\I'm not letting you leave here till you tell me the whole story.\Wh-What's with you?\You haven't made up with Ayase, right?\How could I?\After what happened... response:	But you acted like nothing happened the day after.
