context: Everyone's ready. response:	Man, we have exams coming up,
context: That's it?!\He was horrible!\Why aren't you making more of a reaction?!\I mean, that's something we do all the time.\I mean, yeah, but...\That time,\and that time...\It was him all along! response:	I won't forgive him.
context: He was horrible!\Why aren't you making more of a reaction?!\I mean, that's something we do all the time.\I mean, yeah, but...\That time,\and that time...\It was him all along!\I won't forgive him. response:	I won't forgive him.
context: Why aren't you making more of a reaction?!\I mean, that's something we do all the time.\I mean, yeah, but...\That time,\and that time...\It was him all along!\I won't forgive him.\I won't forgive him. response:	Is that all that happened?
context: I mean, that's something we do all the time.\I mean, yeah, but...\That time,\and that time...\It was him all along!\I won't forgive him.\I won't forgive him.\Is that all that happened? response:	That's it.
context: I mean, yeah, but...\That time,\and that time...\It was him all along!\I won't forgive him.\I won't forgive him.\Is that all that happened?\That's it. response:	That's all it was.
context: That time,\and that time...\It was him all along!\I won't forgive him.\I won't forgive him.\Is that all that happened?\That's it.\That's all it was. response:	Are you sure?
context: and that time...\It was him all along!\I won't forgive him.\I won't forgive him.\Is that all that happened?\That's it.\That's all it was.\Are you sure? response:	He also said he wanted the five of us to stick together.
context: It was him all along!\I won't forgive him.\I won't forgive him.\Is that all that happened?\That's it.\That's all it was.\Are you sure?\He also said he wanted the five of us to stick together. response:	Exams and stuff aside.
context: I won't forgive him.\I won't forgive him.\Is that all that happened?\That's it.\That's all it was.\Are you sure?\He also said he wanted the five of us to stick together.\Exams and stuff aside. response:	Futaro said that?
context: I won't forgive him.\Is that all that happened?\That's it.\That's all it was.\Are you sure?\He also said he wanted the five of us to stick together.\Exams and stuff aside.\Futaro said that? response:	He said that after I told him my situation.
context: Is that all that happened?\That's it.\That's all it was.\Are you sure?\He also said he wanted the five of us to stick together.\Exams and stuff aside.\Futaro said that?\He said that after I told him my situation. response:	Talk about selfish.
context: That's it.\That's all it was.\Are you sure?\He also said he wanted the five of us to stick together.\Exams and stuff aside.\Futaro said that?\He said that after I told him my situation.\Talk about selfish. response:	Don't you want to come home, Nino?
context: That's all it was.\Are you sure?\He also said he wanted the five of us to stick together.\Exams and stuff aside.\Futaro said that?\He said that after I told him my situation.\Talk about selfish.\Don't you want to come home, Nino? response:	Why should I go home?
context: Are you sure?\He also said he wanted the five of us to stick together.\Exams and stuff aside.\Futaro said that?\He said that after I told him my situation.\Talk about selfish.\Don't you want to come home, Nino?\Why should I go home? response:	What's the point of sticking together when we're all so far apart?
context: He also said he wanted the five of us to stick together.\Exams and stuff aside.\Futaro said that?\He said that after I told him my situation.\Talk about selfish.\Don't you want to come home, Nino?\Why should I go home?\What's the point of sticking together when we're all so far apart? response:	Because we're family.
context: Exams and stuff aside.\Futaro said that?\He said that after I told him my situation.\Talk about selfish.\Don't you want to come home, Nino?\Why should I go home?\What's the point of sticking together when we're all so far apart?\Because we're family. response:	Is that not enough?
context: Futaro said that?\He said that after I told him my situation.\Talk about selfish.\Don't you want to come home, Nino?\Why should I go home?\What's the point of sticking together when we're all so far apart?\Because we're family.\Is that not enough? response:	I guess you think we've all changed,
context: He said that after I told him my situation.\Talk about selfish.\Don't you want to come home, Nino?\Why should I go home?\What's the point of sticking together when we're all so far apart?\Because we're family.\Is that not enough?\I guess you think we've all changed, response:	but from my perspective, you've changed a lot, too.
context: Talk about selfish.\Don't you want to come home, Nino?\Why should I go home?\What's the point of sticking together when we're all so far apart?\Because we're family.\Is that not enough?\I guess you think we've all changed,\but from my perspective, you've changed a lot, too. response:	Changed? How?
context: Don't you want to come home, Nino?\Why should I go home?\What's the point of sticking together when we're all so far apart?\Because we're family.\Is that not enough?\I guess you think we've all changed,\but from my perspective, you've changed a lot, too.\Changed? How? response:	You never used to drink black tea before.
context: Why should I go home?\What's the point of sticking together when we're all so far apart?\Because we're family.\Is that not enough?\I guess you think we've all changed,\but from my perspective, you've changed a lot, too.\Changed? How?\You never used to drink black tea before. response:	That's it?!
context: What's the point of sticking together when we're all so far apart?\Because we're family.\Is that not enough?\I guess you think we've all changed,\but from my perspective, you've changed a lot, too.\Changed? How?\You never used to drink black tea before.\That's it?! response:	We're all still one-fifth of a person, scoring a twenty each.
context: Because we're family.\Is that not enough?\I guess you think we've all changed,\but from my perspective, you've changed a lot, too.\Changed? How?\You never used to drink black tea before.\That's it?!\We're all still one-fifth of a person, scoring a twenty each. response:	Those problems...
context: Is that not enough?\I guess you think we've all changed,\but from my perspective, you've changed a lot, too.\Changed? How?\You never used to drink black tea before.\That's it?!\We're all still one-fifth of a person, scoring a twenty each.\Those problems... response:	Hey, I never said you could look!
context: I guess you think we've all changed,\but from my perspective, you've changed a lot, too.\Changed? How?\You never used to drink black tea before.\That's it?!\We're all still one-fifth of a person, scoring a twenty each.\Those problems...\Hey, I never said you could look! response:	You got question three wrong.
context: but from my perspective, you've changed a lot, too.\Changed? How?\You never used to drink black tea before.\That's it?!\We're all still one-fifth of a person, scoring a twenty each.\Those problems...\Hey, I never said you could look!\You got question three wrong. response:	The answer is Battle of Nagashino.
context: Changed? How?\You never used to drink black tea before.\That's it?!\We're all still one-fifth of a person, scoring a twenty each.\Those problems...\Hey, I never said you could look!\You got question three wrong.\The answer is Battle of Nagashino. response:	What, are you trying to show off because you studied?
context: You never used to drink black tea before.\That's it?!\We're all still one-fifth of a person, scoring a twenty each.\Those problems...\Hey, I never said you could look!\You got question three wrong.\The answer is Battle of Nagashino.\What, are you trying to show off because you studied? response:	No.
context: That's it?!\We're all still one-fifth of a person, scoring a twenty each.\Those problems...\Hey, I never said you could look!\You got question three wrong.\The answer is Battle of Nagashino.\What, are you trying to show off because you studied?\No. response:	I've always liked Sengoku warlords.
context: We're all still one-fifth of a person, scoring a twenty each.\Those problems...\Hey, I never said you could look!\You got question three wrong.\The answer is Battle of Nagashino.\What, are you trying to show off because you studied?\No.\I've always liked Sengoku warlords. response:	Sengoku warlords?
context: Those problems...\Hey, I never said you could look!\You got question three wrong.\The answer is Battle of Nagashino.\What, are you trying to show off because you studied?\No.\I've always liked Sengoku warlords.\Sengoku warlords? response:	Those old dudes?
context: Hey, I never said you could look!\You got question three wrong.\The answer is Battle of Nagashino.\What, are you trying to show off because you studied?\No.\I've always liked Sengoku warlords.\Sengoku warlords?\Those old dudes? response:	Yeah.
context: You got question three wrong.\The answer is Battle of Nagashino.\What, are you trying to show off because you studied?\No.\I've always liked Sengoku warlords.\Sengoku warlords?\Those old dudes?\Yeah. response:	This is my twenty.
context: The answer is Battle of Nagashino.\What, are you trying to show off because you studied?\No.\I've always liked Sengoku warlords.\Sengoku warlords?\Those old dudes?\Yeah.\This is my twenty. response:	And...
context: What, are you trying to show off because you studied?\No.\I've always liked Sengoku warlords.\Sengoku warlords?\Those old dudes?\Yeah.\This is my twenty.\And... response:	It's too sweet.
context: No.\I've always liked Sengoku warlords.\Sengoku warlords?\Those old dudes?\Yeah.\This is my twenty.\And...\It's too sweet. response:	What are you doing?!
context: I've always liked Sengoku warlords.\Sengoku warlords?\Those old dudes?\Yeah.\This is my twenty.\And...\It's too sweet.\What are you doing?! response:	But I'd never have known what this tastes like if you weren't around.
context: Sengoku warlords?\Those old dudes?\Yeah.\This is my twenty.\And...\It's too sweet.\What are you doing?!\But I'd never have known what this tastes like if you weren't around. response:	It's true that the five of us used to be identical,
context: Those old dudes?\Yeah.\This is my twenty.\And...\It's too sweet.\What are you doing?!\But I'd never have known what this tastes like if you weren't around.\It's true that the five of us used to be identical, response:	and we never got into arguments or trouble.
context: Yeah.\This is my twenty.\And...\It's too sweet.\What are you doing?!\But I'd never have known what this tastes like if you weren't around.\It's true that the five of us used to be identical,\and we never got into arguments or trouble. response:	But we would have always stayed at a twenty that way.
context: This is my twenty.\And...\It's too sweet.\What are you doing?!\But I'd never have known what this tastes like if you weren't around.\It's true that the five of us used to be identical,\and we never got into arguments or trouble.\But we would have always stayed at a twenty that way. response:	We should laugh, get angry, feel sad,
context: And...\It's too sweet.\What are you doing?!\But I'd never have known what this tastes like if you weren't around.\It's true that the five of us used to be identical,\and we never got into arguments or trouble.\But we would have always stayed at a twenty that way.\We should laugh, get angry, feel sad, response:	each experience life differently
context: It's too sweet.\What are you doing?!\But I'd never have known what this tastes like if you weren't around.\It's true that the five of us used to be identical,\and we never got into arguments or trouble.\But we would have always stayed at a twenty that way.\We should laugh, get angry, feel sad,\each experience life differently response:	complementing each other where we fall short
context: What are you doing?!\But I'd never have known what this tastes like if you weren't around.\It's true that the five of us used to be identical,\and we never got into arguments or trouble.\But we would have always stayed at a twenty that way.\We should laugh, get angry, feel sad,\each experience life differently\complementing each other where we fall short response:	and grow into the people we're meant to be.
context: But I'd never have known what this tastes like if you weren't around.\It's true that the five of us used to be identical,\and we never got into arguments or trouble.\But we would have always stayed at a twenty that way.\We should laugh, get angry, feel sad,\each experience life differently\complementing each other where we fall short\and grow into the people we're meant to be. response:	So it's all right that we're different.
context: It's true that the five of us used to be identical,\and we never got into arguments or trouble.\But we would have always stayed at a twenty that way.\We should laugh, get angry, feel sad,\each experience life differently\complementing each other where we fall short\and grow into the people we're meant to be.\So it's all right that we're different. response:	By the way, with you gone,
context: and we never got into arguments or trouble.\But we would have always stayed at a twenty that way.\We should laugh, get angry, feel sad,\each experience life differently\complementing each other where we fall short\and grow into the people we're meant to be.\So it's all right that we're different.\By the way, with you gone, response:	the food at home is a disaster.
context: But we would have always stayed at a twenty that way.\We should laugh, get angry, feel sad,\each experience life differently\complementing each other where we fall short\and grow into the people we're meant to be.\So it's all right that we're different.\By the way, with you gone,\the food at home is a disaster. response:	We don't have a balanced diet.
context: We should laugh, get angry, feel sad,\each experience life differently\complementing each other where we fall short\and grow into the people we're meant to be.\So it's all right that we're different.\By the way, with you gone,\the food at home is a disaster.\We don't have a balanced diet. response:	That's for you to figure out yourselves!
context: each experience life differently\complementing each other where we fall short\and grow into the people we're meant to be.\So it's all right that we're different.\By the way, with you gone,\the food at home is a disaster.\We don't have a balanced diet.\That's for you to figure out yourselves! response:	So bitter.
context: complementing each other where we fall short\and grow into the people we're meant to be.\So it's all right that we're different.\By the way, with you gone,\the food at home is a disaster.\We don't have a balanced diet.\That's for you to figure out yourselves!\So bitter. response:	I never would have thought to drink something like this.
context: and grow into the people we're meant to be.\So it's all right that we're different.\By the way, with you gone,\the food at home is a disaster.\We don't have a balanced diet.\That's for you to figure out yourselves!\So bitter.\I never would have thought to drink something like this. response:	Black tea's still better.
context: So it's all right that we're different.\By the way, with you gone,\the food at home is a disaster.\We don't have a balanced diet.\That's for you to figure out yourselves!\So bitter.\I never would have thought to drink something like this.\Black tea's still better. response:	Black tea starts off bitter, too.
context: By the way, with you gone,\the food at home is a disaster.\We don't have a balanced diet.\That's for you to figure out yourselves!\So bitter.\I never would have thought to drink something like this.\Black tea's still better.\Black tea starts off bitter, too. response:	It's a classy kind of bitter.
context: the food at home is a disaster.\We don't have a balanced diet.\That's for you to figure out yourselves!\So bitter.\I never would have thought to drink something like this.\Black tea's still better.\Black tea starts off bitter, too.\It's a classy kind of bitter. response:	It definitely comes from high-quality tea leaves.
context: We don't have a balanced diet.\That's for you to figure out yourselves!\So bitter.\I never would have thought to drink something like this.\Black tea's still better.\Black tea starts off bitter, too.\It's a classy kind of bitter.\It definitely comes from high-quality tea leaves. response:	The bitterness of green tea has depth.
context: That's for you to figure out yourselves!\So bitter.\I never would have thought to drink something like this.\Black tea's still better.\Black tea starts off bitter, too.\It's a classy kind of bitter.\It definitely comes from high-quality tea leaves.\The bitterness of green tea has depth. response:	I'm sure it uses better leaves.
context: So bitter.\I never would have thought to drink something like this.\Black tea's still better.\Black tea starts off bitter, too.\It's a classy kind of bitter.\It definitely comes from high-quality tea leaves.\The bitterness of green tea has depth.\I'm sure it uses better leaves. response:	Fine, I'll look it up.
context: I never would have thought to drink something like this.\Black tea's still better.\Black tea starts off bitter, too.\It's a classy kind of bitter.\It definitely comes from high-quality tea leaves.\The bitterness of green tea has depth.\I'm sure it uses better leaves.\Fine, I'll look it up. response:	red tea green tea leaves
context: Black tea's still better.\Black tea starts off bitter, too.\It's a classy kind of bitter.\It definitely comes from high-quality tea leaves.\The bitterness of green tea has depth.\I'm sure it uses better leaves.\Fine, I'll look it up.\red tea green tea leaves response:	Don't go crying if it turns out that they use weeds for green tea.
context: Black tea starts off bitter, too.\It's a classy kind of bitter.\It definitely comes from high-quality tea leaves.\The bitterness of green tea has depth.\I'm sure it uses better leaves.\Fine, I'll look it up.\red tea green tea leaves\Don't go crying if it turns out that they use weeds for green tea. response:	Right back at you.
context: It's a classy kind of bitter.\It definitely comes from high-quality tea leaves.\The bitterness of green tea has depth.\I'm sure it uses better leaves.\Fine, I'll look it up.\red tea green tea leaves\Don't go crying if it turns out that they use weeds for green tea.\Right back at you. response:	Black tea and green tea use the same tea leaves.
context: It definitely comes from high-quality tea leaves.\The bitterness of green tea has depth.\I'm sure it uses better leaves.\Fine, I'll look it up.\red tea green tea leaves\Don't go crying if it turns out that they use weeds for green tea.\Right back at you.\Black tea and green tea use the same tea leaves. response:	The difference is the amount of fermentation?
context: The bitterness of green tea has depth.\I'm sure it uses better leaves.\Fine, I'll look it up.\red tea green tea leaves\Don't go crying if it turns out that they use weeds for green tea.\Right back at you.\Black tea and green tea use the same tea leaves.\The difference is the amount of fermentation? response:	Seriously?
context: I'm sure it uses better leaves.\Fine, I'll look it up.\red tea green tea leaves\Don't go crying if it turns out that they use weeds for green tea.\Right back at you.\Black tea and green tea use the same tea leaves.\The difference is the amount of fermentation?\Seriously? response:	I need to tell the rest of the gir...
context: Fine, I'll look it up.\red tea green tea leaves\Don't go crying if it turns out that they use weeds for green tea.\Right back at you.\Black tea and green tea use the same tea leaves.\The difference is the amount of fermentation?\Seriously?\I need to tell the rest of the gir... response:	I need to forget the past and accept the present.
context: red tea green tea leaves\Don't go crying if it turns out that they use weeds for green tea.\Right back at you.\Black tea and green tea use the same tea leaves.\The difference is the amount of fermentation?\Seriously?\I need to tell the rest of the gir...\I need to forget the past and accept the present. response:	Maybe it's time to brace myself.
context: Don't go crying if it turns out that they use weeds for green tea.\Right back at you.\Black tea and green tea use the same tea leaves.\The difference is the amount of fermentation?\Seriously?\I need to tell the rest of the gir...\I need to forget the past and accept the present.\Maybe it's time to brace myself. response:	You'd best brace yourself, too, Miku.
context: Right back at you.\Black tea and green tea use the same tea leaves.\The difference is the amount of fermentation?\Seriously?\I need to tell the rest of the gir...\I need to forget the past and accept the present.\Maybe it's time to brace myself.\You'd best brace yourself, too, Miku. response:	I-I'd like to leave the team.
context: Black tea and green tea use the same tea leaves.\The difference is the amount of fermentation?\Seriously?\I need to tell the rest of the gir...\I need to forget the past and accept the present.\Maybe it's time to brace myself.\You'd best brace yourself, too, Miku.\I-I'd like to leave the team. response:	No!
context: The difference is the amount of fermentation?\Seriously?\I need to tell the rest of the gir...\I need to forget the past and accept the present.\Maybe it's time to brace myself.\You'd best brace yourself, too, Miku.\I-I'd like to leave the team.\No! response:	Act stupider!
context: Seriously?\I need to tell the rest of the gir...\I need to forget the past and accept the present.\Maybe it's time to brace myself.\You'd best brace yourself, too, Miku.\I-I'd like to leave the team.\No!\Act stupider! response:	I can't!
context: I need to tell the rest of the gir...\I need to forget the past and accept the present.\Maybe it's time to brace myself.\You'd best brace yourself, too, Miku.\I-I'd like to leave the team.\No!\Act stupider!\I can't! response:	I already want to quit this role!
context: I need to forget the past and accept the present.\Maybe it's time to brace myself.\You'd best brace yourself, too, Miku.\I-I'd like to leave the team.\No!\Act stupider!\I can't!\I already want to quit this role! response:	That's it! That's it!
context: Maybe it's time to brace myself.\You'd best brace yourself, too, Miku.\I-I'd like to leave the team.\No!\Act stupider!\I can't!\I already want to quit this role!\That's it! That's it! response:	Itsuki, you're Yotsuba right now.
context: You'd best brace yourself, too, Miku.\I-I'd like to leave the team.\No!\Act stupider!\I can't!\I already want to quit this role!\That's it! That's it!\Itsuki, you're Yotsuba right now. response:	You, at least, look perfectly like her.
context: I-I'd like to leave the team.\No!\Act stupider!\I can't!\I already want to quit this role!\That's it! That's it!\Itsuki, you're Yotsuba right now.\You, at least, look perfectly like her. response:	Are you sure this is going to work?
context: No!\Act stupider!\I can't!\I already want to quit this role!\That's it! That's it!\Itsuki, you're Yotsuba right now.\You, at least, look perfectly like her.\Are you sure this is going to work? response:	Groper!
context: Act stupider!\I can't!\I already want to quit this role!\That's it! That's it!\Itsuki, you're Yotsuba right now.\You, at least, look perfectly like her.\Are you sure this is going to work?\Groper! response:	There's a groper!
context: I can't!\I already want to quit this role!\That's it! That's it!\Itsuki, you're Yotsuba right now.\You, at least, look perfectly like her.\Are you sure this is going to work?\Groper!\There's a groper! response:	A groper?
context: I already want to quit this role!\That's it! That's it!\Itsuki, you're Yotsuba right now.\You, at least, look perfectly like her.\Are you sure this is going to work?\Groper!\There's a groper!\A groper? response:	Really? Was that him?
context: That's it! That's it!\Itsuki, you're Yotsuba right now.\You, at least, look perfectly like her.\Are you sure this is going to work?\Groper!\There's a groper!\A groper?\Really? Was that him? response:	You there! Hold up!
context: Itsuki, you're Yotsuba right now.\You, at least, look perfectly like her.\Are you sure this is going to work?\Groper!\There's a groper!\A groper?\Really? Was that him?\You there! Hold up! response:	Nakano-san!
context: You, at least, look perfectly like her.\Are you sure this is going to work?\Groper!\There's a groper!\A groper?\Really? Was that him?\You there! Hold up!\Nakano-san! response:	Stop!
context: Are you sure this is going to work?\Groper!\There's a groper!\A groper?\Really? Was that him?\You there! Hold up!\Nakano-san!\Stop! response:	What a suicidal tactic...
context: Groper!\There's a groper!\A groper?\Really? Was that him?\You there! Hold up!\Nakano-san!\Stop!\What a suicidal tactic... response:	I don't have a choice anymore.
context: There's a groper!\A groper?\Really? Was that him?\You there! Hold up!\Nakano-san!\Stop!\What a suicidal tactic...\I don't have a choice anymore. response:	He got away.
context: A groper?\Really? Was that him?\You there! Hold up!\Nakano-san!\Stop!\What a suicidal tactic...\I don't have a choice anymore.\He got away. response:	I can't go to training camp.
context: Really? Was that him?\You there! Hold up!\Nakano-san!\Stop!\What a suicidal tactic...\I don't have a choice anymore.\He got away.\I can't go to training camp. response:	I'd like to leave the team.
context: You there! Hold up!\Nakano-san!\Stop!\What a suicidal tactic...\I don't have a choice anymore.\He got away.\I can't go to training camp.\I'd like to leave the team. response:	Why?
context: Nakano-san!\Stop!\What a suicidal tactic...\I don't have a choice anymore.\He got away.\I can't go to training camp.\I'd like to leave the team.\Why? response:	Exams are coming up next week.
context: Stop!\What a suicidal tactic...\I don't have a choice anymore.\He got away.\I can't go to training camp.\I'd like to leave the team.\Why?\Exams are coming up next week. response:	No, no.
context: What a suicidal tactic...\I don't have a choice anymore.\He got away.\I can't go to training camp.\I'd like to leave the team.\Why?\Exams are coming up next week.\No, no. response:	What I mean is...
