context: W-What?! Legion?! response:	Then the ones that attacked us are from Zentopia?
context: I don't know, but he said some crap about a crusade...\Who gives a damn about all that?!\Lucy, I swear we'll get that memento back for you!\Yeah.\Don't be so glum.\You were being controlled by magic...\I'm sorry. I couldn't do anything to help...\No, it's not your fault, Michelle. response:	It's because...
context: Who gives a damn about all that?!\Lucy, I swear we'll get that memento back for you!\Yeah.\Don't be so glum.\You were being controlled by magic...\I'm sorry. I couldn't do anything to help...\No, it's not your fault, Michelle.\It's because... response:	It's because... I was weak...
context: Lucy, I swear we'll get that memento back for you!\Yeah.\Don't be so glum.\You were being controlled by magic...\I'm sorry. I couldn't do anything to help...\No, it's not your fault, Michelle.\It's because...\It's because... I was weak... response:	The church attacks that happened soon before Zentopia's anniversary event...
context: Yeah.\Don't be so glum.\You were being controlled by magic...\I'm sorry. I couldn't do anything to help...\No, it's not your fault, Michelle.\It's because...\It's because... I was weak...\The church attacks that happened soon before Zentopia's anniversary event... response:	A mysterious clock hand and a sinister line...
context: Don't be so glum.\You were being controlled by magic...\I'm sorry. I couldn't do anything to help...\No, it's not your fault, Michelle.\It's because...\It's because... I was weak...\The church attacks that happened soon before Zentopia's anniversary event...\A mysterious clock hand and a sinister line... response:	That Legion was after...
context: You were being controlled by magic...\I'm sorry. I couldn't do anything to help...\No, it's not your fault, Michelle.\It's because...\It's because... I was weak...\The church attacks that happened soon before Zentopia's anniversary event...\A mysterious clock hand and a sinister line...\That Legion was after... response:	I don't like it.
context: I'm sorry. I couldn't do anything to help...\No, it's not your fault, Michelle.\It's because...\It's because... I was weak...\The church attacks that happened soon before Zentopia's anniversary event...\A mysterious clock hand and a sinister line...\That Legion was after...\I don't like it. response:	I don't like that they made light of Fairy Tail,
context: No, it's not your fault, Michelle.\It's because...\It's because... I was weak...\The church attacks that happened soon before Zentopia's anniversary event...\A mysterious clock hand and a sinister line...\That Legion was after...\I don't like it.\I don't like that they made light of Fairy Tail, response:	an' I hope we don't let it just end with our asses gettin' kicked...
context: It's because...\It's because... I was weak...\The church attacks that happened soon before Zentopia's anniversary event...\A mysterious clock hand and a sinister line...\That Legion was after...\I don't like it.\I don't like that they made light of Fairy Tail,\an' I hope we don't let it just end with our asses gettin' kicked... response:	What happened with the members that were sent in pursuit?
context: It's because... I was weak...\The church attacks that happened soon before Zentopia's anniversary event...\A mysterious clock hand and a sinister line...\That Legion was after...\I don't like it.\I don't like that they made light of Fairy Tail,\an' I hope we don't let it just end with our asses gettin' kicked...\What happened with the members that were sent in pursuit? response:	According to Warren, all of the teams lost track of them.
context: The church attacks that happened soon before Zentopia's anniversary event...\A mysterious clock hand and a sinister line...\That Legion was after...\I don't like it.\I don't like that they made light of Fairy Tail,\an' I hope we don't let it just end with our asses gettin' kicked...\What happened with the members that were sent in pursuit?\According to Warren, all of the teams lost track of them. response:	But it's not over. It's just begun...
context: A mysterious clock hand and a sinister line...\That Legion was after...\I don't like it.\I don't like that they made light of Fairy Tail,\an' I hope we don't let it just end with our asses gettin' kicked...\What happened with the members that were sent in pursuit?\According to Warren, all of the teams lost track of them.\But it's not over. It's just begun... response:	Now you're talkin'! Now we can look forward to gettin' payback, 100 times over!
context: That Legion was after...\I don't like it.\I don't like that they made light of Fairy Tail,\an' I hope we don't let it just end with our asses gettin' kicked...\What happened with the members that were sent in pursuit?\According to Warren, all of the teams lost track of them.\But it's not over. It's just begun...\Now you're talkin'! Now we can look forward to gettin' payback, 100 times over! response:	Right?!
context: I don't like it.\I don't like that they made light of Fairy Tail,\an' I hope we don't let it just end with our asses gettin' kicked...\What happened with the members that were sent in pursuit?\According to Warren, all of the teams lost track of them.\But it's not over. It's just begun...\Now you're talkin'! Now we can look forward to gettin' payback, 100 times over!\Right?! response:	Yeah!
context: I don't like that they made light of Fairy Tail,\an' I hope we don't let it just end with our asses gettin' kicked...\What happened with the members that were sent in pursuit?\According to Warren, all of the teams lost track of them.\But it's not over. It's just begun...\Now you're talkin'! Now we can look forward to gettin' payback, 100 times over!\Right?!\Yeah! response:	Key of the Starry Heavens!
context: an' I hope we don't let it just end with our asses gettin' kicked...\What happened with the members that were sent in pursuit?\According to Warren, all of the teams lost track of them.\But it's not over. It's just begun...\Now you're talkin'! Now we can look forward to gettin' payback, 100 times over!\Right?!\Yeah!\Key of the Starry Heavens! response:	The crusade they mentioned...
context: What happened with the members that were sent in pursuit?\According to Warren, all of the teams lost track of them.\But it's not over. It's just begun...\Now you're talkin'! Now we can look forward to gettin' payback, 100 times over!\Right?!\Yeah!\Key of the Starry Heavens!\The crusade they mentioned... response:	Legion is trying to accomplish something big...
context: According to Warren, all of the teams lost track of them.\But it's not over. It's just begun...\Now you're talkin'! Now we can look forward to gettin' payback, 100 times over!\Right?!\Yeah!\Key of the Starry Heavens!\The crusade they mentioned...\Legion is trying to accomplish something big... response:	For that, the clock hand was necessary.
context: But it's not over. It's just begun...\Now you're talkin'! Now we can look forward to gettin' payback, 100 times over!\Right?!\Yeah!\Key of the Starry Heavens!\The crusade they mentioned...\Legion is trying to accomplish something big...\For that, the clock hand was necessary. response:	And the words that were inscribed on it...
context: Now you're talkin'! Now we can look forward to gettin' payback, 100 times over!\Right?!\Yeah!\Key of the Starry Heavens!\The crusade they mentioned...\Legion is trying to accomplish something big...\For that, the clock hand was necessary.\And the words that were inscribed on it... response:	Time is etched...
context: Right?!\Yeah!\Key of the Starry Heavens!\The crusade they mentioned...\Legion is trying to accomplish something big...\For that, the clock hand was necessary.\And the words that were inscribed on it...\Time is etched... response:	and then chaos descends...
context: Yeah!\Key of the Starry Heavens!\The crusade they mentioned...\Legion is trying to accomplish something big...\For that, the clock hand was necessary.\And the words that were inscribed on it...\Time is etched...\and then chaos descends... response:	What's wrong, Carla?
context: Key of the Starry Heavens!\The crusade they mentioned...\Legion is trying to accomplish something big...\For that, the clock hand was necessary.\And the words that were inscribed on it...\Time is etched...\and then chaos descends...\What's wrong, Carla? response:	Nothing. Never mind.
context: The crusade they mentioned...\Legion is trying to accomplish something big...\For that, the clock hand was necessary.\And the words that were inscribed on it...\Time is etched...\and then chaos descends...\What's wrong, Carla?\Nothing. Never mind. response:	That clock actually exists somewhere...
context: Legion is trying to accomplish something big...\For that, the clock hand was necessary.\And the words that were inscribed on it...\Time is etched...\and then chaos descends...\What's wrong, Carla?\Nothing. Never mind.\That clock actually exists somewhere... response:	Do they mean to use it for their crusade?
context: For that, the clock hand was necessary.\And the words that were inscribed on it...\Time is etched...\and then chaos descends...\What's wrong, Carla?\Nothing. Never mind.\That clock actually exists somewhere...\Do they mean to use it for their crusade? response:	Chaos descends... My guess it's a reference to that crusade.
context: And the words that were inscribed on it...\Time is etched...\and then chaos descends...\What's wrong, Carla?\Nothing. Never mind.\That clock actually exists somewhere...\Do they mean to use it for their crusade?\Chaos descends... My guess it's a reference to that crusade. response:	Natsu, are you okay? Are you following the conversation?
context: Time is etched...\and then chaos descends...\What's wrong, Carla?\Nothing. Never mind.\That clock actually exists somewhere...\Do they mean to use it for their crusade?\Chaos descends... My guess it's a reference to that crusade.\Natsu, are you okay? Are you following the conversation? response:	Oh, shut up!
context: and then chaos descends...\What's wrong, Carla?\Nothing. Never mind.\That clock actually exists somewhere...\Do they mean to use it for their crusade?\Chaos descends... My guess it's a reference to that crusade.\Natsu, are you okay? Are you following the conversation?\Oh, shut up! response:	Then rules are unnecessary here.
context: What's wrong, Carla?\Nothing. Never mind.\That clock actually exists somewhere...\Do they mean to use it for their crusade?\Chaos descends... My guess it's a reference to that crusade.\Natsu, are you okay? Are you following the conversation?\Oh, shut up!\Then rules are unnecessary here. response:	That's right up my alley!
context: Nothing. Never mind.\That clock actually exists somewhere...\Do they mean to use it for their crusade?\Chaos descends... My guess it's a reference to that crusade.\Natsu, are you okay? Are you following the conversation?\Oh, shut up!\Then rules are unnecessary here.\That's right up my alley! response:	Listen, everything works more or less because the world has rules, right?
context: That clock actually exists somewhere...\Do they mean to use it for their crusade?\Chaos descends... My guess it's a reference to that crusade.\Natsu, are you okay? Are you following the conversation?\Oh, shut up!\Then rules are unnecessary here.\That's right up my alley!\Listen, everything works more or less because the world has rules, right? response:	Like when someone takes something that's not theirs, they're a thief?
context: Do they mean to use it for their crusade?\Chaos descends... My guess it's a reference to that crusade.\Natsu, are you okay? Are you following the conversation?\Oh, shut up!\Then rules are unnecessary here.\That's right up my alley!\Listen, everything works more or less because the world has rules, right?\Like when someone takes something that's not theirs, they're a thief? response:	Like, lock your door whenever you go out?
context: Chaos descends... My guess it's a reference to that crusade.\Natsu, are you okay? Are you following the conversation?\Oh, shut up!\Then rules are unnecessary here.\That's right up my alley!\Listen, everything works more or less because the world has rules, right?\Like when someone takes something that's not theirs, they're a thief?\Like, lock your door whenever you go out? response:	All of our freedoms were built upon the foundations of certain rules.
context: Natsu, are you okay? Are you following the conversation?\Oh, shut up!\Then rules are unnecessary here.\That's right up my alley!\Listen, everything works more or less because the world has rules, right?\Like when someone takes something that's not theirs, they're a thief?\Like, lock your door whenever you go out?\All of our freedoms were built upon the foundations of certain rules. response:	Without them, everything would be pure lawlessness.
context: Oh, shut up!\Then rules are unnecessary here.\That's right up my alley!\Listen, everything works more or less because the world has rules, right?\Like when someone takes something that's not theirs, they're a thief?\Like, lock your door whenever you go out?\All of our freedoms were built upon the foundations of certain rules.\Without them, everything would be pure lawlessness. response:	Is that what they're trying to achieve with their crusade?
context: Then rules are unnecessary here.\That's right up my alley!\Listen, everything works more or less because the world has rules, right?\Like when someone takes something that's not theirs, they're a thief?\Like, lock your door whenever you go out?\All of our freedoms were built upon the foundations of certain rules.\Without them, everything would be pure lawlessness.\Is that what they're trying to achieve with their crusade? response:	Sounds like things are gettin' crazy again...
context: That's right up my alley!\Listen, everything works more or less because the world has rules, right?\Like when someone takes something that's not theirs, they're a thief?\Like, lock your door whenever you go out?\All of our freedoms were built upon the foundations of certain rules.\Without them, everything would be pure lawlessness.\Is that what they're trying to achieve with their crusade?\Sounds like things are gettin' crazy again... response:	In the first place, you can't call robbing someone
context: Listen, everything works more or less because the world has rules, right?\Like when someone takes something that's not theirs, they're a thief?\Like, lock your door whenever you go out?\All of our freedoms were built upon the foundations of certain rules.\Without them, everything would be pure lawlessness.\Is that what they're trying to achieve with their crusade?\Sounds like things are gettin' crazy again...\In the first place, you can't call robbing someone response:	of their property an act of holiness.
context: Like when someone takes something that's not theirs, they're a thief?\Like, lock your door whenever you go out?\All of our freedoms were built upon the foundations of certain rules.\Without them, everything would be pure lawlessness.\Is that what they're trying to achieve with their crusade?\Sounds like things are gettin' crazy again...\In the first place, you can't call robbing someone\of their property an act of holiness. response:	A clue...
context: Like, lock your door whenever you go out?\All of our freedoms were built upon the foundations of certain rules.\Without them, everything would be pure lawlessness.\Is that what they're trying to achieve with their crusade?\Sounds like things are gettin' crazy again...\In the first place, you can't call robbing someone\of their property an act of holiness.\A clue... response:	Maybe Legion is looking for another part of the clock now...
context: All of our freedoms were built upon the foundations of certain rules.\Without them, everything would be pure lawlessness.\Is that what they're trying to achieve with their crusade?\Sounds like things are gettin' crazy again...\In the first place, you can't call robbing someone\of their property an act of holiness.\A clue...\Maybe Legion is looking for another part of the clock now... response:	If we can find out what their purpose is,
context: Without them, everything would be pure lawlessness.\Is that what they're trying to achieve with their crusade?\Sounds like things are gettin' crazy again...\In the first place, you can't call robbing someone\of their property an act of holiness.\A clue...\Maybe Legion is looking for another part of the clock now...\If we can find out what their purpose is, response:	the meaning of the memento will also become clear.
context: Is that what they're trying to achieve with their crusade?\Sounds like things are gettin' crazy again...\In the first place, you can't call robbing someone\of their property an act of holiness.\A clue...\Maybe Legion is looking for another part of the clock now...\If we can find out what their purpose is,\the meaning of the memento will also become clear. response:	All we can do is investigate. And maybe that'll tell us where they are...
context: Sounds like things are gettin' crazy again...\In the first place, you can't call robbing someone\of their property an act of holiness.\A clue...\Maybe Legion is looking for another part of the clock now...\If we can find out what their purpose is,\the meaning of the memento will also become clear.\All we can do is investigate. And maybe that'll tell us where they are... response:	Or maybe they'll notice us sniffing around and come for us.
context: In the first place, you can't call robbing someone\of their property an act of holiness.\A clue...\Maybe Legion is looking for another part of the clock now...\If we can find out what their purpose is,\the meaning of the memento will also become clear.\All we can do is investigate. And maybe that'll tell us where they are...\Or maybe they'll notice us sniffing around and come for us. response:	I like that thinkin'! Let's go!
context: of their property an act of holiness.\A clue...\Maybe Legion is looking for another part of the clock now...\If we can find out what their purpose is,\the meaning of the memento will also become clear.\All we can do is investigate. And maybe that'll tell us where they are...\Or maybe they'll notice us sniffing around and come for us.\I like that thinkin'! Let's go! response:	But where should we start investigating?
context: A clue...\Maybe Legion is looking for another part of the clock now...\If we can find out what their purpose is,\the meaning of the memento will also become clear.\All we can do is investigate. And maybe that'll tell us where they are...\Or maybe they'll notice us sniffing around and come for us.\I like that thinkin'! Let's go!\But where should we start investigating? response:	I'll try doing a divination.
context: Maybe Legion is looking for another part of the clock now...\If we can find out what their purpose is,\the meaning of the memento will also become clear.\All we can do is investigate. And maybe that'll tell us where they are...\Or maybe they'll notice us sniffing around and come for us.\I like that thinkin'! Let's go!\But where should we start investigating?\I'll try doing a divination. response:	That should narrow it down at least.
context: If we can find out what their purpose is,\the meaning of the memento will also become clear.\All we can do is investigate. And maybe that'll tell us where they are...\Or maybe they'll notice us sniffing around and come for us.\I like that thinkin'! Let's go!\But where should we start investigating?\I'll try doing a divination.\That should narrow it down at least. response:	Did you hear that?! That's my daughter!
context: the meaning of the memento will also become clear.\All we can do is investigate. And maybe that'll tell us where they are...\Or maybe they'll notice us sniffing around and come for us.\I like that thinkin'! Let's go!\But where should we start investigating?\I'll try doing a divination.\That should narrow it down at least.\Did you hear that?! That's my daughter! response:	Yeah, yeah...
context: All we can do is investigate. And maybe that'll tell us where they are...\Or maybe they'll notice us sniffing around and come for us.\I like that thinkin'! Let's go!\But where should we start investigating?\I'll try doing a divination.\That should narrow it down at least.\Did you hear that?! That's my daughter!\Yeah, yeah... response:	I have the update, sir! Nothing out of the ordinary at the two other parishes.
context: Or maybe they'll notice us sniffing around and come for us.\I like that thinkin'! Let's go!\But where should we start investigating?\I'll try doing a divination.\That should narrow it down at least.\Did you hear that?! That's my daughter!\Yeah, yeah...\I have the update, sir! Nothing out of the ordinary at the two other parishes. response:	Good work.
context: I like that thinkin'! Let's go!\But where should we start investigating?\I'll try doing a divination.\That should narrow it down at least.\Did you hear that?! That's my daughter!\Yeah, yeah...\I have the update, sir! Nothing out of the ordinary at the two other parishes.\Good work. response:	Is it possible that another place
context: But where should we start investigating?\I'll try doing a divination.\That should narrow it down at least.\Did you hear that?! That's my daughter!\Yeah, yeah...\I have the update, sir! Nothing out of the ordinary at the two other parishes.\Good work.\Is it possible that another place response:	besides the three that we supposed will come under attack?
context: I'll try doing a divination.\That should narrow it down at least.\Did you hear that?! That's my daughter!\Yeah, yeah...\I have the update, sir! Nothing out of the ordinary at the two other parishes.\Good work.\Is it possible that another place\besides the three that we supposed will come under attack? response:	I cannot say for sure.
context: That should narrow it down at least.\Did you hear that?! That's my daughter!\Yeah, yeah...\I have the update, sir! Nothing out of the ordinary at the two other parishes.\Good work.\Is it possible that another place\besides the three that we supposed will come under attack?\I cannot say for sure. response:	But from the results of our investigation
context: Did you hear that?! That's my daughter!\Yeah, yeah...\I have the update, sir! Nothing out of the ordinary at the two other parishes.\Good work.\Is it possible that another place\besides the three that we supposed will come under attack?\I cannot say for sure.\But from the results of our investigation response:	of the incidents up to now and the latest divination...
context: Yeah, yeah...\I have the update, sir! Nothing out of the ordinary at the two other parishes.\Good work.\Is it possible that another place\besides the three that we supposed will come under attack?\I cannot say for sure.\But from the results of our investigation\of the incidents up to now and the latest divination... response:	Who's inside?
context: I have the update, sir! Nothing out of the ordinary at the two other parishes.\Good work.\Is it possible that another place\besides the three that we supposed will come under attack?\I cannot say for sure.\But from the results of our investigation\of the incidents up to now and the latest divination...\Who's inside? response:	According to the priest, no one is here at this hour.
context: Good work.\Is it possible that another place\besides the three that we supposed will come under attack?\I cannot say for sure.\But from the results of our investigation\of the incidents up to now and the latest divination...\Who's inside?\According to the priest, no one is here at this hour. response:	Excited! Hot! Rich!
context: Is it possible that another place\besides the three that we supposed will come under attack?\I cannot say for sure.\But from the results of our investigation\of the incidents up to now and the latest divination...\Who's inside?\According to the priest, no one is here at this hour.\Excited! Hot! Rich! response:	So you're the one...?
context: besides the three that we supposed will come under attack?\I cannot say for sure.\But from the results of our investigation\of the incidents up to now and the latest divination...\Who's inside?\According to the priest, no one is here at this hour.\Excited! Hot! Rich!\So you're the one...? response:	Don't think I'll sit quietly and let you do me in, monster!
context: I cannot say for sure.\But from the results of our investigation\of the incidents up to now and the latest divination...\Who's inside?\According to the priest, no one is here at this hour.\Excited! Hot! Rich!\So you're the one...?\Don't think I'll sit quietly and let you do me in, monster! response:	Please sit quietly and let me do you in!
context: But from the results of our investigation\of the incidents up to now and the latest divination...\Who's inside?\According to the priest, no one is here at this hour.\Excited! Hot! Rich!\So you're the one...?\Don't think I'll sit quietly and let you do me in, monster!\Please sit quietly and let me do you in! response:	A scream?!
context: of the incidents up to now and the latest divination...\Who's inside?\According to the priest, no one is here at this hour.\Excited! Hot! Rich!\So you're the one...?\Don't think I'll sit quietly and let you do me in, monster!\Please sit quietly and let me do you in!\A scream?! response:	How can that be?!
context: Who's inside?\According to the priest, no one is here at this hour.\Excited! Hot! Rich!\So you're the one...?\Don't think I'll sit quietly and let you do me in, monster!\Please sit quietly and let me do you in!\A scream?!\How can that be?! response:	Oh, no! Hurry!
context: According to the priest, no one is here at this hour.\Excited! Hot! Rich!\So you're the one...?\Don't think I'll sit quietly and let you do me in, monster!\Please sit quietly and let me do you in!\A scream?!\How can that be?!\Oh, no! Hurry! response:	Well, well...
context: Excited! Hot! Rich!\So you're the one...?\Don't think I'll sit quietly and let you do me in, monster!\Please sit quietly and let me do you in!\A scream?!\How can that be?!\Oh, no! Hurry!\Well, well... response:	The Detention Corps is working hard in the wee hours of the morning...
context: So you're the one...?\Don't think I'll sit quietly and let you do me in, monster!\Please sit quietly and let me do you in!\A scream?!\How can that be?!\Oh, no! Hurry!\Well, well...\The Detention Corps is working hard in the wee hours of the morning... response:	Are you the one responsible for the string of attacks?!
context: Don't think I'll sit quietly and let you do me in, monster!\Please sit quietly and let me do you in!\A scream?!\How can that be?!\Oh, no! Hurry!\Well, well...\The Detention Corps is working hard in the wee hours of the morning...\Are you the one responsible for the string of attacks?! response:	What is that?!
context: Please sit quietly and let me do you in!\A scream?!\How can that be?!\Oh, no! Hurry!\Well, well...\The Detention Corps is working hard in the wee hours of the morning...\Are you the one responsible for the string of attacks?!\What is that?! response:	It's huge!
context: A scream?!\How can that be?!\Oh, no! Hurry!\Well, well...\The Detention Corps is working hard in the wee hours of the morning...\Are you the one responsible for the string of attacks?!\What is that?!\It's huge! response:	What the devil are you?!
context: How can that be?!\Oh, no! Hurry!\Well, well...\The Detention Corps is working hard in the wee hours of the morning...\Are you the one responsible for the string of attacks?!\What is that?!\It's huge!\What the devil are you?! response:	Well, my name is Jackpot...
context: Oh, no! Hurry!\Well, well...\The Detention Corps is working hard in the wee hours of the morning...\Are you the one responsible for the string of attacks?!\What is that?!\It's huge!\What the devil are you?!\Well, my name is Jackpot... response:	Yes, there we go!
context: Well, well...\The Detention Corps is working hard in the wee hours of the morning...\Are you the one responsible for the string of attacks?!\What is that?!\It's huge!\What the devil are you?!\Well, my name is Jackpot...\Yes, there we go! response:	Washtubs it is!
context: The Detention Corps is working hard in the wee hours of the morning...\Are you the one responsible for the string of attacks?!\What is that?!\It's huge!\What the devil are you?!\Well, my name is Jackpot...\Yes, there we go!\Washtubs it is! response:	Hot!
context: Are you the one responsible for the string of attacks?!\What is that?!\It's huge!\What the devil are you?!\Well, my name is Jackpot...\Yes, there we go!\Washtubs it is!\Hot! response:	Totally hot!
context: What is that?!\It's huge!\What the devil are you?!\Well, my name is Jackpot...\Yes, there we go!\Washtubs it is!\Hot!\Totally hot! response:	On top of that, Rushing Down the Path of Evil!
context: It's huge!\What the devil are you?!\Well, my name is Jackpot...\Yes, there we go!\Washtubs it is!\Hot!\Totally hot!\On top of that, Rushing Down the Path of Evil! response:	Oh, yeah! Lightning bonus!
context: What the devil are you?!\Well, my name is Jackpot...\Yes, there we go!\Washtubs it is!\Hot!\Totally hot!\On top of that, Rushing Down the Path of Evil!\Oh, yeah! Lightning bonus! response:	Who is this clown?
context: Well, my name is Jackpot...\Yes, there we go!\Washtubs it is!\Hot!\Totally hot!\On top of that, Rushing Down the Path of Evil!\Oh, yeah! Lightning bonus!\Who is this clown? response:	Let's go again!
context: Yes, there we go!\Washtubs it is!\Hot!\Totally hot!\On top of that, Rushing Down the Path of Evil!\Oh, yeah! Lightning bonus!\Who is this clown?\Let's go again! response:	Here it is! Oni Flash!
context: Washtubs it is!\Hot!\Totally hot!\On top of that, Rushing Down the Path of Evil!\Oh, yeah! Lightning bonus!\Who is this clown?\Let's go again!\Here it is! Oni Flash! response:	This is totally hot.
context: Hot!\Totally hot!\On top of that, Rushing Down the Path of Evil!\Oh, yeah! Lightning bonus!\Who is this clown?\Let's go again!\Here it is! Oni Flash!\This is totally hot. response:	He disappeared!
context: Totally hot!\On top of that, Rushing Down the Path of Evil!\Oh, yeah! Lightning bonus!\Who is this clown?\Let's go again!\Here it is! Oni Flash!\This is totally hot.\He disappeared! response:	What was that?!
context: On top of that, Rushing Down the Path of Evil!\Oh, yeah! Lightning bonus!\Who is this clown?\Let's go again!\Here it is! Oni Flash!\This is totally hot.\He disappeared!\What was that?! response:	Was that the serial attacker?!
context: Oh, yeah! Lightning bonus!\Who is this clown?\Let's go again!\Here it is! Oni Flash!\This is totally hot.\He disappeared!\What was that?!\Was that the serial attacker?! response:	So it would seem... And his jocular manner makes him all the more fearsome...
context: Who is this clown?\Let's go again!\Here it is! Oni Flash!\This is totally hot.\He disappeared!\What was that?!\Was that the serial attacker?!\So it would seem... And his jocular manner makes him all the more fearsome... response:	So, sorry, but... can we ask you to do it?
context: Let's go again!\Here it is! Oni Flash!\This is totally hot.\He disappeared!\What was that?!\Was that the serial attacker?!\So it would seem... And his jocular manner makes him all the more fearsome...\So, sorry, but... can we ask you to do it? response:	Well, I don't mind...
context: Here it is! Oni Flash!\This is totally hot.\He disappeared!\What was that?!\Was that the serial attacker?!\So it would seem... And his jocular manner makes him all the more fearsome...\So, sorry, but... can we ask you to do it?\Well, I don't mind... response:	We couldn't ask anyone but you to do somethin' this dangerous.
context: This is totally hot.\He disappeared!\What was that?!\Was that the serial attacker?!\So it would seem... And his jocular manner makes him all the more fearsome...\So, sorry, but... can we ask you to do it?\Well, I don't mind...\We couldn't ask anyone but you to do somethin' this dangerous. response:	We'll partner you up with just the right person.
context: He disappeared!\What was that?!\Was that the serial attacker?!\So it would seem... And his jocular manner makes him all the more fearsome...\So, sorry, but... can we ask you to do it?\Well, I don't mind...\We couldn't ask anyone but you to do somethin' this dangerous.\We'll partner you up with just the right person. response:	Look at him sneaking around again in the middle of the night...
context: What was that?!\Was that the serial attacker?!\So it would seem... And his jocular manner makes him all the more fearsome...\So, sorry, but... can we ask you to do it?\Well, I don't mind...\We couldn't ask anyone but you to do somethin' this dangerous.\We'll partner you up with just the right person.\Look at him sneaking around again in the middle of the night... response:	Oh, don't be so hard on him.
context: Was that the serial attacker?!\So it would seem... And his jocular manner makes him all the more fearsome...\So, sorry, but... can we ask you to do it?\Well, I don't mind...\We couldn't ask anyone but you to do somethin' this dangerous.\We'll partner you up with just the right person.\Look at him sneaking around again in the middle of the night...\Oh, don't be so hard on him. response:	Cana-chan, did you hear that?
context: So it would seem... And his jocular manner makes him all the more fearsome...\So, sorry, but... can we ask you to do it?\Well, I don't mind...\We couldn't ask anyone but you to do somethin' this dangerous.\We'll partner you up with just the right person.\Look at him sneaking around again in the middle of the night...\Oh, don't be so hard on him.\Cana-chan, did you hear that? response:	A little bit.
context: So, sorry, but... can we ask you to do it?\Well, I don't mind...\We couldn't ask anyone but you to do somethin' this dangerous.\We'll partner you up with just the right person.\Look at him sneaking around again in the middle of the night...\Oh, don't be so hard on him.\Cana-chan, did you hear that?\A little bit. response:	How about going with Papa?
context: Well, I don't mind...\We couldn't ask anyone but you to do somethin' this dangerous.\We'll partner you up with just the right person.\Look at him sneaking around again in the middle of the night...\Oh, don't be so hard on him.\Cana-chan, did you hear that?\A little bit.\How about going with Papa? response:	What could be better than a father and daughter trip, right?
context: We couldn't ask anyone but you to do somethin' this dangerous.\We'll partner you up with just the right person.\Look at him sneaking around again in the middle of the night...\Oh, don't be so hard on him.\Cana-chan, did you hear that?\A little bit.\How about going with Papa?\What could be better than a father and daughter trip, right? response:	Why don't you go by yourself?
context: We'll partner you up with just the right person.\Look at him sneaking around again in the middle of the night...\Oh, don't be so hard on him.\Cana-chan, did you hear that?\A little bit.\How about going with Papa?\What could be better than a father and daughter trip, right?\Why don't you go by yourself? response:	You're always so mean to me, Cana-chan...
context: Look at him sneaking around again in the middle of the night...\Oh, don't be so hard on him.\Cana-chan, did you hear that?\A little bit.\How about going with Papa?\What could be better than a father and daughter trip, right?\Why don't you go by yourself?\You're always so mean to me, Cana-chan... response:	Get going!
context: Oh, don't be so hard on him.\Cana-chan, did you hear that?\A little bit.\How about going with Papa?\What could be better than a father and daughter trip, right?\Why don't you go by yourself?\You're always so mean to me, Cana-chan...\Get going! response:	See you later!
