context: I'm dead. response:	I'm dead. I died.
context: What are they, monsters? So strong for such a low level,\So strong for such a low level, How many just died?\So strong for such a low level, How many just died? A low-level spell took out 40 or 50 of us!\How many just died? A low-level spell took out 40 or 50 of us! Are these the legendary...?!\Are these the legendary...?! Is this gonna end with all of us dying?\Is this gonna end with all of us dying? No, there's still hope.\Is this gonna end with all of us dying? No, there's still hope. There's one person left.\There's one person left....Who? response:	The strongest: Queen.
context: So strong for such a low level, How many just died?\So strong for such a low level, How many just died? A low-level spell took out 40 or 50 of us!\How many just died? A low-level spell took out 40 or 50 of us! Are these the legendary...?!\Are these the legendary...?! Is this gonna end with all of us dying?\Is this gonna end with all of us dying? No, there's still hope.\Is this gonna end with all of us dying? No, there's still hope. There's one person left.\There's one person left....Who?\The strongest: Queen. response:	I can't believe it!
context: So strong for such a low level, How many just died? A low-level spell took out 40 or 50 of us!\How many just died? A low-level spell took out 40 or 50 of us! Are these the legendary...?!\Are these the legendary...?! Is this gonna end with all of us dying?\Is this gonna end with all of us dying? No, there's still hope.\Is this gonna end with all of us dying? No, there's still hope. There's one person left.\There's one person left....Who?\The strongest: Queen.\I can't believe it! response:	There are only four of them!
context: How many just died? A low-level spell took out 40 or 50 of us! Are these the legendary...?!\Are these the legendary...?! Is this gonna end with all of us dying?\Is this gonna end with all of us dying? No, there's still hope.\Is this gonna end with all of us dying? No, there's still hope. There's one person left.\There's one person left....Who?\The strongest: Queen.\I can't believe it!\There are only four of them! response:	And
context: Are these the legendary...?! Is this gonna end with all of us dying?\Is this gonna end with all of us dying? No, there's still hope.\Is this gonna end with all of us dying? No, there's still hope. There's one person left.\There's one person left....Who?\The strongest: Queen.\I can't believe it!\There are only four of them!\And response:	they beat 1,200 players?
context: Is this gonna end with all of us dying? No, there's still hope.\Is this gonna end with all of us dying? No, there's still hope. There's one person left.\There's one person left....Who?\The strongest: Queen.\I can't believe it!\There are only four of them!\And\they beat 1,200 players? response:	But... this is the end!
context: Is this gonna end with all of us dying? No, there's still hope. There's one person left.\There's one person left....Who?\The strongest: Queen.\I can't believe it!\There are only four of them!\And\they beat 1,200 players?\But... this is the end! response:	You're mine.
context: There's one person left....Who?\The strongest: Queen.\I can't believe it!\There are only four of them!\And\they beat 1,200 players?\But... this is the end!\You're mine. response:	No way!
context: The strongest: Queen.\I can't believe it!\There are only four of them!\And\they beat 1,200 players?\But... this is the end!\You're mine.\No way! response:	They dodged that, too?
context: I can't believe it!\There are only four of them!\And\they beat 1,200 players?\But... this is the end!\You're mine.\No way!\They dodged that, too? response:	Of the many urban legends out there,
context: There are only four of them!\And\they beat 1,200 players?\But... this is the end!\You're mine.\No way!\They dodged that, too?\Of the many urban legends out there, response:	4 Players vs 1,200 Players Deaths Deaths
context: And\they beat 1,200 players?\But... this is the end!\You're mine.\No way!\They dodged that, too?\Of the many urban legends out there,\4 Players vs 1,200 Players Deaths Deaths response:	have you ever heard this one?
context: they beat 1,200 players?\But... this is the end!\You're mine.\No way!\They dodged that, too?\Of the many urban legends out there,\4 Players vs 1,200 Players Deaths Deaths\have you ever heard this one? response:	A group of unknown players,
context: But... this is the end!\You're mine.\No way!\They dodged that, too?\Of the many urban legends out there,\4 Players vs 1,200 Players Deaths Deaths\have you ever heard this one?\A group of unknown players, response:	who win every single game they play
context: You're mine.\No way!\They dodged that, too?\Of the many urban legends out there,\4 Players vs 1,200 Players Deaths Deaths\have you ever heard this one?\A group of unknown players,\who win every single game they play response:	with scores no one has ever come close to.
context: No way!\They dodged that, too?\Of the many urban legends out there,\4 Players vs 1,200 Players Deaths Deaths\have you ever heard this one?\A group of unknown players,\who win every single game they play\with scores no one has ever come close to. response:	Their account names are always left empty,
context: They dodged that, too?\Of the many urban legends out there,\4 Players vs 1,200 Players Deaths Deaths\have you ever heard this one?\A group of unknown players,\who win every single game they play\with scores no one has ever come close to.\Their account names are always left empty, response:	so they're only known as Blank.
context: Of the many urban legends out there,\4 Players vs 1,200 Players Deaths Deaths\have you ever heard this one?\A group of unknown players,\who win every single game they play\with scores no one has ever come close to.\Their account names are always left empty,\so they're only known as Blank. response:	These gamers are said to be unbeatable.
context: 4 Players vs 1,200 Players Deaths Deaths\have you ever heard this one?\A group of unknown players,\who win every single game they play\with scores no one has ever come close to.\Their account names are always left empty,\so they're only known as Blank.\These gamers are said to be unbeatable. response:	You think the Blanks are cheaters?
context: have you ever heard this one?\A group of unknown players,\who win every single game they play\with scores no one has ever come close to.\Their account names are always left empty,\so they're only known as Blank.\These gamers are said to be unbeatable.\You think the Blanks are cheaters? response:	Yeah.
context: A group of unknown players,\who win every single game they play\with scores no one has ever come close to.\Their account names are always left empty,\so they're only known as Blank.\These gamers are said to be unbeatable.\You think the Blanks are cheaters?\Yeah. response:	I'm sure of it.
context: who win every single game they play\with scores no one has ever come close to.\Their account names are always left empty,\so they're only known as Blank.\These gamers are said to be unbeatable.\You think the Blanks are cheaters?\Yeah.\I'm sure of it. response:	They're a group of cheaters.
context: with scores no one has ever come close to.\Their account names are always left empty,\so they're only known as Blank.\These gamers are said to be unbeatable.\You think the Blanks are cheaters?\Yeah.\I'm sure of it.\They're a group of cheaters. response:	Otherwise, there's no way they could beat 1,200 people with four.
context: Their account names are always left empty,\so they're only known as Blank.\These gamers are said to be unbeatable.\You think the Blanks are cheaters?\Yeah.\I'm sure of it.\They're a group of cheaters.\Otherwise, there's no way they could beat 1,200 people with four. response:	Auto-aimers and auto-dodgers. Hitbox manipulation.
context: so they're only known as Blank.\These gamers are said to be unbeatable.\You think the Blanks are cheaters?\Yeah.\I'm sure of it.\They're a group of cheaters.\Otherwise, there's no way they could beat 1,200 people with four.\Auto-aimers and auto-dodgers. Hitbox manipulation. response:	They have to be cheating.
context: These gamers are said to be unbeatable.\You think the Blanks are cheaters?\Yeah.\I'm sure of it.\They're a group of cheaters.\Otherwise, there's no way they could beat 1,200 people with four.\Auto-aimers and auto-dodgers. Hitbox manipulation.\They have to be cheating. response:	No.
context: You think the Blanks are cheaters?\Yeah.\I'm sure of it.\They're a group of cheaters.\Otherwise, there's no way they could beat 1,200 people with four.\Auto-aimers and auto-dodgers. Hitbox manipulation.\They have to be cheating.\No. response:	We were the ones using dishonest means.
context: Yeah.\I'm sure of it.\They're a group of cheaters.\Otherwise, there's no way they could beat 1,200 people with four.\Auto-aimers and auto-dodgers. Hitbox manipulation.\They have to be cheating.\No.\We were the ones using dishonest means. response:	Otherwise, I'd never be able to launch huge spells like that one after another.
context: I'm sure of it.\They're a group of cheaters.\Otherwise, there's no way they could beat 1,200 people with four.\Auto-aimers and auto-dodgers. Hitbox manipulation.\They have to be cheating.\No.\We were the ones using dishonest means.\Otherwise, I'd never be able to launch huge spells like that one after another. response:	What?
context: They're a group of cheaters.\Otherwise, there's no way they could beat 1,200 people with four.\Auto-aimers and auto-dodgers. Hitbox manipulation.\They have to be cheating.\No.\We were the ones using dishonest means.\Otherwise, I'd never be able to launch huge spells like that one after another.\What? response:	But Blank dodged it.
context: Otherwise, there's no way they could beat 1,200 people with four.\Auto-aimers and auto-dodgers. Hitbox manipulation.\They have to be cheating.\No.\We were the ones using dishonest means.\Otherwise, I'd never be able to launch huge spells like that one after another.\What?\But Blank dodged it. response:	That means they knew I was cheating to cast consecutive spells.
context: Auto-aimers and auto-dodgers. Hitbox manipulation.\They have to be cheating.\No.\We were the ones using dishonest means.\Otherwise, I'd never be able to launch huge spells like that one after another.\What?\But Blank dodged it.\That means they knew I was cheating to cast consecutive spells. response:	Blank...
context: They have to be cheating.\No.\We were the ones using dishonest means.\Otherwise, I'd never be able to launch huge spells like that one after another.\What?\But Blank dodged it.\That means they knew I was cheating to cast consecutive spells.\Blank... response:	I'm sure they're really smart!
context: No.\We were the ones using dishonest means.\Otherwise, I'd never be able to launch huge spells like that one after another.\What?\But Blank dodged it.\That means they knew I was cheating to cast consecutive spells.\Blank...\I'm sure they're really smart! response:	What are they like, I wonder?
context: We were the ones using dishonest means.\Otherwise, I'd never be able to launch huge spells like that one after another.\What?\But Blank dodged it.\That means they knew I was cheating to cast consecutive spells.\Blank...\I'm sure they're really smart!\What are they like, I wonder? response:	QUEEN: Blank... I'm sure they're really smart! What are they like, I wonder? <3<3
context: Otherwise, I'd never be able to launch huge spells like that one after another.\What?\But Blank dodged it.\That means they knew I was cheating to cast consecutive spells.\Blank...\I'm sure they're really smart!\What are they like, I wonder?\QUEEN: Blank... I'm sure they're really smart! What are they like, I wonder? <3<3 response:	And so the rumors spread even faster.
context: What?\But Blank dodged it.\That means they knew I was cheating to cast consecutive spells.\Blank...\I'm sure they're really smart!\What are they like, I wonder?\QUEEN: Blank... I'm sure they're really smart! What are they like, I wonder? <3<3\And so the rumors spread even faster. response:	Urban legends are a type of wish.
context: But Blank dodged it.\That means they knew I was cheating to cast consecutive spells.\Blank...\I'm sure they're really smart!\What are they like, I wonder?\QUEEN: Blank... I'm sure they're really smart! What are they like, I wonder? <3<3\And so the rumors spread even faster.\Urban legends are a type of wish. response:	Because...
context: That means they knew I was cheating to cast consecutive spells.\Blank...\I'm sure they're really smart!\What are they like, I wonder?\QUEEN: Blank... I'm sure they're really smart! What are they like, I wonder? <3<3\And so the rumors spread even faster.\Urban legends are a type of wish.\Because... response:	In reality, the least interesting answer is usually the correct one.
context: Blank...\I'm sure they're really smart!\What are they like, I wonder?\QUEEN: Blank... I'm sure they're really smart! What are they like, I wonder? <3<3\And so the rumors spread even faster.\Urban legends are a type of wish.\Because...\In reality, the least interesting answer is usually the correct one. response:	Brother: Sora, Age 18, Virgin Communication Disorder, NEET, Game-Obsessed
context: I'm sure they're really smart!\What are they like, I wonder?\QUEEN: Blank... I'm sure they're really smart! What are they like, I wonder? <3<3\And so the rumors spread even faster.\Urban legends are a type of wish.\Because...\In reality, the least interesting answer is usually the correct one.\Brother: Sora, Age 18, Virgin Communication Disorder, NEET, Game-Obsessed response:	We won, somehow...
context: What are they like, I wonder?\QUEEN: Blank... I'm sure they're really smart! What are they like, I wonder? <3<3\And so the rumors spread even faster.\Urban legends are a type of wish.\Because...\In reality, the least interesting answer is usually the correct one.\Brother: Sora, Age 18, Virgin Communication Disorder, NEET, Game-Obsessed\We won, somehow... response:	Listen, little sister, would you stop controlling the main account
context: QUEEN: Blank... I'm sure they're really smart! What are they like, I wonder? <3<3\And so the rumors spread even faster.\Urban legends are a type of wish.\Because...\In reality, the least interesting answer is usually the correct one.\Brother: Sora, Age 18, Virgin Communication Disorder, NEET, Game-Obsessed\We won, somehow...\Listen, little sister, would you stop controlling the main account response:	Little Sister: Shiro, Age 11, Never Goes to School, Communication Disorder, Shut-In, Game-Obsessed
context: And so the rumors spread even faster.\Urban legends are a type of wish.\Because...\In reality, the least interesting answer is usually the correct one.\Brother: Sora, Age 18, Virgin Communication Disorder, NEET, Game-Obsessed\We won, somehow...\Listen, little sister, would you stop controlling the main account\Little Sister: Shiro, Age 11, Never Goes to School, Communication Disorder, Shut-In, Game-Obsessed response:	for Blank with your feet?
context: Urban legends are a type of wish.\Because...\In reality, the least interesting answer is usually the correct one.\Brother: Sora, Age 18, Virgin Communication Disorder, NEET, Game-Obsessed\We won, somehow...\Listen, little sister, would you stop controlling the main account\Little Sister: Shiro, Age 11, Never Goes to School, Communication Disorder, Shut-In, Game-Obsessed\for Blank with your feet? response:	I'm hungry.
context: Because...\In reality, the least interesting answer is usually the correct one.\Brother: Sora, Age 18, Virgin Communication Disorder, NEET, Game-Obsessed\We won, somehow...\Listen, little sister, would you stop controlling the main account\Little Sister: Shiro, Age 11, Never Goes to School, Communication Disorder, Shut-In, Game-Obsessed\for Blank with your feet?\I'm hungry. response:	Want some?
context: In reality, the least interesting answer is usually the correct one.\Brother: Sora, Age 18, Virgin Communication Disorder, NEET, Game-Obsessed\We won, somehow...\Listen, little sister, would you stop controlling the main account\Little Sister: Shiro, Age 11, Never Goes to School, Communication Disorder, Shut-In, Game-Obsessed\for Blank with your feet?\I'm hungry.\Want some? response:	Thanks.
context: Brother: Sora, Age 18, Virgin Communication Disorder, NEET, Game-Obsessed\We won, somehow...\Listen, little sister, would you stop controlling the main account\Little Sister: Shiro, Age 11, Never Goes to School, Communication Disorder, Shut-In, Game-Obsessed\for Blank with your feet?\I'm hungry.\Want some?\Thanks. response:	Never thought I'd see you buy fancy rations like these.
context: We won, somehow...\Listen, little sister, would you stop controlling the main account\Little Sister: Shiro, Age 11, Never Goes to School, Communication Disorder, Shut-In, Game-Obsessed\for Blank with your feet?\I'm hungry.\Want some?\Thanks.\Never thought I'd see you buy fancy rations like these. response:	Nutrition is important.
context: Listen, little sister, would you stop controlling the main account\Little Sister: Shiro, Age 11, Never Goes to School, Communication Disorder, Shut-In, Game-Obsessed\for Blank with your feet?\I'm hungry.\Want some?\Thanks.\Never thought I'd see you buy fancy rations like these.\Nutrition is important. response:	Sister, the human brain can function as long as it has glucose.
context: Little Sister: Shiro, Age 11, Never Goes to School, Communication Disorder, Shut-In, Game-Obsessed\for Blank with your feet?\I'm hungry.\Want some?\Thanks.\Never thought I'd see you buy fancy rations like these.\Nutrition is important.\Sister, the human brain can function as long as it has glucose. response:	Beginner
context: for Blank with your feet?\I'm hungry.\Want some?\Thanks.\Never thought I'd see you buy fancy rations like these.\Nutrition is important.\Sister, the human brain can function as long as it has glucose.\Beginner response:	White bread is best, in terms of cost-performance.
context: I'm hungry.\Want some?\Thanks.\Never thought I'd see you buy fancy rations like these.\Nutrition is important.\Sister, the human brain can function as long as it has glucose.\Beginner\White bread is best, in terms of cost-performance. response:	Thanks for the efficiency lecture.
context: Want some?\Thanks.\Never thought I'd see you buy fancy rations like these.\Nutrition is important.\Sister, the human brain can function as long as it has glucose.\Beginner\White bread is best, in terms of cost-performance.\Thanks for the efficiency lecture. response:	But I need other types of nutrients, too, or I won't get bigger.
context: Thanks.\Never thought I'd see you buy fancy rations like these.\Nutrition is important.\Sister, the human brain can function as long as it has glucose.\Beginner\White bread is best, in terms of cost-performance.\Thanks for the efficiency lecture.\But I need other types of nutrients, too, or I won't get bigger. response:	You're already a perfect, flawless beauty.
context: Never thought I'd see you buy fancy rations like these.\Nutrition is important.\Sister, the human brain can function as long as it has glucose.\Beginner\White bread is best, in terms of cost-performance.\Thanks for the efficiency lecture.\But I need other types of nutrients, too, or I won't get bigger.\You're already a perfect, flawless beauty. response:	Don't worry about it.
context: Nutrition is important.\Sister, the human brain can function as long as it has glucose.\Beginner\White bread is best, in terms of cost-performance.\Thanks for the efficiency lecture.\But I need other types of nutrients, too, or I won't get bigger.\You're already a perfect, flawless beauty.\Don't worry about it. response:	Anyway, what time is it?
context: Sister, the human brain can function as long as it has glucose.\Beginner\White bread is best, in terms of cost-performance.\Thanks for the efficiency lecture.\But I need other types of nutrients, too, or I won't get bigger.\You're already a perfect, flawless beauty.\Don't worry about it.\Anyway, what time is it? response:	Um... 8:00 AM. The middle of the night.
context: Beginner\White bread is best, in terms of cost-performance.\Thanks for the efficiency lecture.\But I need other types of nutrients, too, or I won't get bigger.\You're already a perfect, flawless beauty.\Don't worry about it.\Anyway, what time is it?\Um... 8:00 AM. The middle of the night. response:	What day?
context: White bread is best, in terms of cost-performance.\Thanks for the efficiency lecture.\But I need other types of nutrients, too, or I won't get bigger.\You're already a perfect, flawless beauty.\Don't worry about it.\Anyway, what time is it?\Um... 8:00 AM. The middle of the night.\What day? response:	Does that matter to a NEET?
context: Thanks for the efficiency lecture.\But I need other types of nutrients, too, or I won't get bigger.\You're already a perfect, flawless beauty.\Don't worry about it.\Anyway, what time is it?\Um... 8:00 AM. The middle of the night.\What day?\Does that matter to a NEET? response:	It does!
context: But I need other types of nutrients, too, or I won't get bigger.\You're already a perfect, flawless beauty.\Don't worry about it.\Anyway, what time is it?\Um... 8:00 AM. The middle of the night.\What day?\Does that matter to a NEET?\It does! response:	It tells you when MMORPGs are going to have new events and ladder tournaments!
context: You're already a perfect, flawless beauty.\Don't worry about it.\Anyway, what time is it?\Um... 8:00 AM. The middle of the night.\What day?\Does that matter to a NEET?\It does!\It tells you when MMORPGs are going to have new events and ladder tournaments! response:	Wait!
context: Don't worry about it.\Anyway, what time is it?\Um... 8:00 AM. The middle of the night.\What day?\Does that matter to a NEET?\It does!\It tells you when MMORPGs are going to have new events and ladder tournaments!\Wait! response:	I know you've been up for five days straight,
context: Anyway, what time is it?\Um... 8:00 AM. The middle of the night.\What day?\Does that matter to a NEET?\It does!\It tells you when MMORPGs are going to have new events and ladder tournaments!\Wait!\I know you've been up for five days straight, response:	Proof she's been up for 5 days
context: Um... 8:00 AM. The middle of the night.\What day?\Does that matter to a NEET?\It does!\It tells you when MMORPGs are going to have new events and ladder tournaments!\Wait!\I know you've been up for five days straight,\Proof she's been up for 5 days response:	but if you quit now, I won't have a healer!
context: What day?\Does that matter to a NEET?\It does!\It tells you when MMORPGs are going to have new events and ladder tournaments!\Wait!\I know you've been up for five days straight,\Proof she's been up for 5 days\but if you quit now, I won't have a healer! response:	You can do it.
context: Does that matter to a NEET?\It does!\It tells you when MMORPGs are going to have new events and ladder tournaments!\Wait!\I know you've been up for five days straight,\Proof she's been up for 5 days\but if you quit now, I won't have a healer!\You can do it. response:	Are you telling me to control four characters with two hands and two feet?
context: It does!\It tells you when MMORPGs are going to have new events and ladder tournaments!\Wait!\I know you've been up for five days straight,\Proof she's been up for 5 days\but if you quit now, I won't have a healer!\You can do it.\Are you telling me to control four characters with two hands and two feet? response:	Fight!
context: It tells you when MMORPGs are going to have new events and ladder tournaments!\Wait!\I know you've been up for five days straight,\Proof she's been up for 5 days\but if you quit now, I won't have a healer!\You can do it.\Are you telling me to control four characters with two hands and two feet?\Fight! response:	Wait, no! Wait!
context: Wait!\I know you've been up for five days straight,\Proof she's been up for 5 days\but if you quit now, I won't have a healer!\You can do it.\Are you telling me to control four characters with two hands and two feet?\Fight!\Wait, no! Wait! response:	If you go to sleep, Shiro, everyone
context: I know you've been up for five days straight,\Proof she's been up for 5 days\but if you quit now, I won't have a healer!\You can do it.\Are you telling me to control four characters with two hands and two feet?\Fight!\Wait, no! Wait!\If you go to sleep, Shiro, everyone response:	and by everyone I mean me will die!
context: Proof she's been up for 5 days\but if you quit now, I won't have a healer!\You can do it.\Are you telling me to control four characters with two hands and two feet?\Fight!\Wait, no! Wait!\If you go to sleep, Shiro, everyone\and by everyone I mean me will die! response:	Fine, I'll do it!
context: but if you quit now, I won't have a healer!\You can do it.\Are you telling me to control four characters with two hands and two feet?\Fight!\Wait, no! Wait!\If you go to sleep, Shiro, everyone\and by everyone I mean me will die!\Fine, I'll do it! response:	The world is chaotic, unreasonable, and unfair.
context: You can do it.\Are you telling me to control four characters with two hands and two feet?\Fight!\Wait, no! Wait!\If you go to sleep, Shiro, everyone\and by everyone I mean me will die!\Fine, I'll do it!\The world is chaotic, unreasonable, and unfair. response:	It has no meaning at all.
context: Are you telling me to control four characters with two hands and two feet?\Fight!\Wait, no! Wait!\If you go to sleep, Shiro, everyone\and by everyone I mean me will die!\Fine, I'll do it!\The world is chaotic, unreasonable, and unfair.\It has no meaning at all. response:	It is the wish of those who realize this, who refuse to accept it.
context: Fight!\Wait, no! Wait!\If you go to sleep, Shiro, everyone\and by everyone I mean me will die!\Fine, I'll do it!\The world is chaotic, unreasonable, and unfair.\It has no meaning at all.\It is the wish of those who realize this, who refuse to accept it. response:	A wish that the world would be at least a little interesting...
context: Wait, no! Wait!\If you go to sleep, Shiro, everyone\and by everyone I mean me will die!\Fine, I'll do it!\The world is chaotic, unreasonable, and unfair.\It has no meaning at all.\It is the wish of those who realize this, who refuse to accept it.\A wish that the world would be at least a little interesting... response:	That's what
context: If you go to sleep, Shiro, everyone\and by everyone I mean me will die!\Fine, I'll do it!\The world is chaotic, unreasonable, and unfair.\It has no meaning at all.\It is the wish of those who realize this, who refuse to accept it.\A wish that the world would be at least a little interesting...\That's what response:	an urban legend is.
context: and by everyone I mean me will die!\Fine, I'll do it!\The world is chaotic, unreasonable, and unfair.\It has no meaning at all.\It is the wish of those who realize this, who refuse to accept it.\A wish that the world would be at least a little interesting...\That's what\an urban legend is. response:	Then, let me try to help you out.
context: Fine, I'll do it!\The world is chaotic, unreasonable, and unfair.\It has no meaning at all.\It is the wish of those who realize this, who refuse to accept it.\A wish that the world would be at least a little interesting...\That's what\an urban legend is.\Then, let me try to help you out. response:	Have you ever heard a rumor like this?
context: The world is chaotic, unreasonable, and unfair.\It has no meaning at all.\It is the wish of those who realize this, who refuse to accept it.\A wish that the world would be at least a little interesting...\That's what\an urban legend is.\Then, let me try to help you out.\Have you ever heard a rumor like this? response:	Brother... email...
context: It has no meaning at all.\It is the wish of those who realize this, who refuse to accept it.\A wish that the world would be at least a little interesting...\That's what\an urban legend is.\Then, let me try to help you out.\Have you ever heard a rumor like this?\Brother... email... response:	Your brother's been playing four characters on four separate screens.
context: It is the wish of those who realize this, who refuse to accept it.\A wish that the world would be at least a little interesting...\That's what\an urban legend is.\Then, let me try to help you out.\Have you ever heard a rumor like this?\Brother... email...\Your brother's been playing four characters on four separate screens. response:	I don't know what you want, but I don't have the energy.
context: A wish that the world would be at least a little interesting...\That's what\an urban legend is.\Then, let me try to help you out.\Have you ever heard a rumor like this?\Brother... email...\Your brother's been playing four characters on four separate screens.\I don't know what you want, but I don't have the energy. response:	It may be from a friend.
context: That's what\an urban legend is.\Then, let me try to help you out.\Have you ever heard a rumor like this?\Brother... email...\Your brother's been playing four characters on four separate screens.\I don't know what you want, but I don't have the energy.\It may be from a friend. response:	Whose friend?
context: an urban legend is.\Then, let me try to help you out.\Have you ever heard a rumor like this?\Brother... email...\Your brother's been playing four characters on four separate screens.\I don't know what you want, but I don't have the energy.\It may be from a friend.\Whose friend? response:	Yours?
context: Then, let me try to help you out.\Have you ever heard a rumor like this?\Brother... email...\Your brother's been playing four characters on four separate screens.\I don't know what you want, but I don't have the energy.\It may be from a friend.\Whose friend?\Yours? response:	That's funny.
context: Have you ever heard a rumor like this?\Brother... email...\Your brother's been playing four characters on four separate screens.\I don't know what you want, but I don't have the energy.\It may be from a friend.\Whose friend?\Yours?\That's funny. response:	I think my beloved sister just said something really mean and sarcastic to me!
context: Brother... email...\Your brother's been playing four characters on four separate screens.\I don't know what you want, but I don't have the energy.\It may be from a friend.\Whose friend?\Yours?\That's funny.\I think my beloved sister just said something really mean and sarcastic to me! response:	To Sender: unknown Have you two siblings ever felt like you were born in the wrong world?
context: Your brother's been playing four characters on four separate screens.\I don't know what you want, but I don't have the energy.\It may be from a friend.\Whose friend?\Yours?\That's funny.\I think my beloved sister just said something really mean and sarcastic to me!\To Sender: unknown Have you two siblings ever felt like you were born in the wrong world? response:	What is this?
context: I don't know what you want, but I don't have the energy.\It may be from a friend.\Whose friend?\Yours?\That's funny.\I think my beloved sister just said something really mean and sarcastic to me!\To Sender: unknown Have you two siblings ever felt like you were born in the wrong world?\What is this? response:	And how does he know that Blank are siblings?
context: It may be from a friend.\Whose friend?\Yours?\That's funny.\I think my beloved sister just said something really mean and sarcastic to me!\To Sender: unknown Have you two siblings ever felt like you were born in the wrong world?\What is this?\And how does he know that Blank are siblings? response:	What do we do?
context: Whose friend?\Yours?\That's funny.\I think my beloved sister just said something really mean and sarcastic to me!\To Sender: unknown Have you two siblings ever felt like you were born in the wrong world?\What is this?\And how does he know that Blank are siblings?\What do we do? response:	Is he trying to bargain with us?
context: Yours?\That's funny.\I think my beloved sister just said something really mean and sarcastic to me!\To Sender: unknown Have you two siblings ever felt like you were born in the wrong world?\What is this?\And how does he know that Blank are siblings?\What do we do?\Is he trying to bargain with us? response:	Well,
