context: You're alive, Ichika. response:	I knew the whole time.
context: U-Um...\Not only are you interacting with the locals,\but now you've got a boyfriend?! What the hell?!\You know Federation law, right?\That hurts...\You know what it says, right?\You're interacting with Kaito-kun, too...\I came here to save you! response:	This was an emergency!
context: Not only are you interacting with the locals,\but now you've got a boyfriend?! What the hell?!\You know Federation law, right?\That hurts...\You know what it says, right?\You're interacting with Kaito-kun, too...\I came here to save you!\This was an emergency! response:	I had an emergency, too...
context: but now you've got a boyfriend?! What the hell?!\You know Federation law, right?\That hurts...\You know what it says, right?\You're interacting with Kaito-kun, too...\I came here to save you!\This was an emergency!\I had an emergency, too... response:	Do you realize how worried your family has been?!
context: You know Federation law, right?\That hurts...\You know what it says, right?\You're interacting with Kaito-kun, too...\I came here to save you!\This was an emergency!\I had an emergency, too...\Do you realize how worried your family has been?! response:	You don't get what's going on, do you?!
context: That hurts...\You know what it says, right?\You're interacting with Kaito-kun, too...\I came here to save you!\This was an emergency!\I had an emergency, too...\Do you realize how worried your family has been?!\You don't get what's going on, do you?! response:	It hurts...
context: You know what it says, right?\You're interacting with Kaito-kun, too...\I came here to save you!\This was an emergency!\I had an emergency, too...\Do you realize how worried your family has been?!\You don't get what's going on, do you?!\It hurts... response:	Remon-senpai, you're late.
context: You're interacting with Kaito-kun, too...\I came here to save you!\This was an emergency!\I had an emergency, too...\Do you realize how worried your family has been?!\You don't get what's going on, do you?!\It hurts...\Remon-senpai, you're late. response:	I was thinking too much about how the story should continue.
context: I came here to save you!\This was an emergency!\I had an emergency, too...\Do you realize how worried your family has been?!\You don't get what's going on, do you?!\It hurts...\Remon-senpai, you're late.\I was thinking too much about how the story should continue. response:	Where are Ichika and Kirishima-kun?
context: This was an emergency!\I had an emergency, too...\Do you realize how worried your family has been?!\You don't get what's going on, do you?!\It hurts...\Remon-senpai, you're late.\I was thinking too much about how the story should continue.\Where are Ichika and Kirishima-kun? response:	They haven't come yet.
context: I had an emergency, too...\Do you realize how worried your family has been?!\You don't get what's going on, do you?!\It hurts...\Remon-senpai, you're late.\I was thinking too much about how the story should continue.\Where are Ichika and Kirishima-kun?\They haven't come yet. response:	I wonder if they got the time wrong.
context: Do you realize how worried your family has been?!\You don't get what's going on, do you?!\It hurts...\Remon-senpai, you're late.\I was thinking too much about how the story should continue.\Where are Ichika and Kirishima-kun?\They haven't come yet.\I wonder if they got the time wrong. response:	Tanigawa-san, sorry to ask, but could you go take a look?
context: You don't get what's going on, do you?!\It hurts...\Remon-senpai, you're late.\I was thinking too much about how the story should continue.\Where are Ichika and Kirishima-kun?\They haven't come yet.\I wonder if they got the time wrong.\Tanigawa-san, sorry to ask, but could you go take a look? response:	I'll introduce myself properly this time.
context: It hurts...\Remon-senpai, you're late.\I was thinking too much about how the story should continue.\Where are Ichika and Kirishima-kun?\They haven't come yet.\I wonder if they got the time wrong.\Tanigawa-san, sorry to ask, but could you go take a look?\I'll introduce myself properly this time. response:	I'm Emika Takatsuki, Ichika's older sister.
context: Remon-senpai, you're late.\I was thinking too much about how the story should continue.\Where are Ichika and Kirishima-kun?\They haven't come yet.\I wonder if they got the time wrong.\Tanigawa-san, sorry to ask, but could you go take a look?\I'll introduce myself properly this time.\I'm Emika Takatsuki, Ichika's older sister. response:	I'm Kaito Kirishima.
context: I was thinking too much about how the story should continue.\Where are Ichika and Kirishima-kun?\They haven't come yet.\I wonder if they got the time wrong.\Tanigawa-san, sorry to ask, but could you go take a look?\I'll introduce myself properly this time.\I'm Emika Takatsuki, Ichika's older sister.\I'm Kaito Kirishima. response:	Kirishima-kun, right?
context: Where are Ichika and Kirishima-kun?\They haven't come yet.\I wonder if they got the time wrong.\Tanigawa-san, sorry to ask, but could you go take a look?\I'll introduce myself properly this time.\I'm Emika Takatsuki, Ichika's older sister.\I'm Kaito Kirishima.\Kirishima-kun, right? response:	Thank you for taking Ichika in after she'd been in an accident.
context: They haven't come yet.\I wonder if they got the time wrong.\Tanigawa-san, sorry to ask, but could you go take a look?\I'll introduce myself properly this time.\I'm Emika Takatsuki, Ichika's older sister.\I'm Kaito Kirishima.\Kirishima-kun, right?\Thank you for taking Ichika in after she'd been in an accident. response:	I thank you on behalf of our family.
context: I wonder if they got the time wrong.\Tanigawa-san, sorry to ask, but could you go take a look?\I'll introduce myself properly this time.\I'm Emika Takatsuki, Ichika's older sister.\I'm Kaito Kirishima.\Kirishima-kun, right?\Thank you for taking Ichika in after she'd been in an accident.\I thank you on behalf of our family. response:	Oh, it was nothing.
context: Tanigawa-san, sorry to ask, but could you go take a look?\I'll introduce myself properly this time.\I'm Emika Takatsuki, Ichika's older sister.\I'm Kaito Kirishima.\Kirishima-kun, right?\Thank you for taking Ichika in after she'd been in an accident.\I thank you on behalf of our family.\Oh, it was nothing. response:	I'm sorry for all the trouble.
context: I'll introduce myself properly this time.\I'm Emika Takatsuki, Ichika's older sister.\I'm Kaito Kirishima.\Kirishima-kun, right?\Thank you for taking Ichika in after she'd been in an accident.\I thank you on behalf of our family.\Oh, it was nothing.\I'm sorry for all the trouble. response:	I'll be taking Ichika back myself.
context: I'm Emika Takatsuki, Ichika's older sister.\I'm Kaito Kirishima.\Kirishima-kun, right?\Thank you for taking Ichika in after she'd been in an accident.\I thank you on behalf of our family.\Oh, it was nothing.\I'm sorry for all the trouble.\I'll be taking Ichika back myself. response:	Huh?!
context: I'm Kaito Kirishima.\Kirishima-kun, right?\Thank you for taking Ichika in after she'd been in an accident.\I thank you on behalf of our family.\Oh, it was nothing.\I'm sorry for all the trouble.\I'll be taking Ichika back myself.\Huh?! response:	Onee-chan!
context: Kirishima-kun, right?\Thank you for taking Ichika in after she'd been in an accident.\I thank you on behalf of our family.\Oh, it was nothing.\I'm sorry for all the trouble.\I'll be taking Ichika back myself.\Huh?!\Onee-chan! response:	A distress call was received from a remote planet...
context: Thank you for taking Ichika in after she'd been in an accident.\I thank you on behalf of our family.\Oh, it was nothing.\I'm sorry for all the trouble.\I'll be taking Ichika back myself.\Huh?!\Onee-chan!\A distress call was received from a remote planet... response:	And contact was lost with the unmanned pod that went to save you.
context: I thank you on behalf of our family.\Oh, it was nothing.\I'm sorry for all the trouble.\I'll be taking Ichika back myself.\Huh?!\Onee-chan!\A distress call was received from a remote planet...\And contact was lost with the unmanned pod that went to save you. response:	Ichika, they haven't just declared you a crash victim, they've labeled you missing.
context: Oh, it was nothing.\I'm sorry for all the trouble.\I'll be taking Ichika back myself.\Huh?!\Onee-chan!\A distress call was received from a remote planet...\And contact was lost with the unmanned pod that went to save you.\Ichika, they haven't just declared you a crash victim, they've labeled you missing. response:	Do you know how worried we were when we heard that?
context: I'm sorry for all the trouble.\I'll be taking Ichika back myself.\Huh?!\Onee-chan!\A distress call was received from a remote planet...\And contact was lost with the unmanned pod that went to save you.\Ichika, they haven't just declared you a crash victim, they've labeled you missing.\Do you know how worried we were when we heard that? response:	All our relatives are talking about it.
context: I'll be taking Ichika back myself.\Huh?!\Onee-chan!\A distress call was received from a remote planet...\And contact was lost with the unmanned pod that went to save you.\Ichika, they haven't just declared you a crash victim, they've labeled you missing.\Do you know how worried we were when we heard that?\All our relatives are talking about it. response:	What?
context: Huh?!\Onee-chan!\A distress call was received from a remote planet...\And contact was lost with the unmanned pod that went to save you.\Ichika, they haven't just declared you a crash victim, they've labeled you missing.\Do you know how worried we were when we heard that?\All our relatives are talking about it.\What? response:	So I took a paid vacation,
context: Onee-chan!\A distress call was received from a remote planet...\And contact was lost with the unmanned pod that went to save you.\Ichika, they haven't just declared you a crash victim, they've labeled you missing.\Do you know how worried we were when we heard that?\All our relatives are talking about it.\What?\So I took a paid vacation, response:	rented the latest ship,
context: A distress call was received from a remote planet...\And contact was lost with the unmanned pod that went to save you.\Ichika, they haven't just declared you a crash victim, they've labeled you missing.\Do you know how worried we were when we heard that?\All our relatives are talking about it.\What?\So I took a paid vacation,\rented the latest ship, response:	and came out here to do my best to find you.
context: And contact was lost with the unmanned pod that went to save you.\Ichika, they haven't just declared you a crash victim, they've labeled you missing.\Do you know how worried we were when we heard that?\All our relatives are talking about it.\What?\So I took a paid vacation,\rented the latest ship,\and came out here to do my best to find you. response:	And what do I find?
context: Ichika, they haven't just declared you a crash victim, they've labeled you missing.\Do you know how worried we were when we heard that?\All our relatives are talking about it.\What?\So I took a paid vacation,\rented the latest ship,\and came out here to do my best to find you.\And what do I find? response:	I was so worried, and you're just living here without a care in the world,
context: Do you know how worried we were when we heard that?\All our relatives are talking about it.\What?\So I took a paid vacation,\rented the latest ship,\and came out here to do my best to find you.\And what do I find?\I was so worried, and you're just living here without a care in the world, response:	and you even have a boyfriend.
context: All our relatives are talking about it.\What?\So I took a paid vacation,\rented the latest ship,\and came out here to do my best to find you.\And what do I find?\I was so worried, and you're just living here without a care in the world,\and you even have a boyfriend. response:	I-I'm sorry.
context: What?\So I took a paid vacation,\rented the latest ship,\and came out here to do my best to find you.\And what do I find?\I was so worried, and you're just living here without a care in the world,\and you even have a boyfriend.\I-I'm sorry. response:	I didn't think people would make such a big deal about it...
context: So I took a paid vacation,\rented the latest ship,\and came out here to do my best to find you.\And what do I find?\I was so worried, and you're just living here without a care in the world,\and you even have a boyfriend.\I-I'm sorry.\I didn't think people would make such a big deal about it... response:	U-Um, Onee-san!
context: rented the latest ship,\and came out here to do my best to find you.\And what do I find?\I was so worried, and you're just living here without a care in the world,\and you even have a boyfriend.\I-I'm sorry.\I didn't think people would make such a big deal about it...\U-Um, Onee-san! response:	I think I might like the sound of that.
context: and came out here to do my best to find you.\And what do I find?\I was so worried, and you're just living here without a care in the world,\and you even have a boyfriend.\I-I'm sorry.\I didn't think people would make such a big deal about it...\U-Um, Onee-san!\I think I might like the sound of that. response:	It's not bad to have a younger guy call you that once in a while.
context: And what do I find?\I was so worried, and you're just living here without a care in the world,\and you even have a boyfriend.\I-I'm sorry.\I didn't think people would make such a big deal about it...\U-Um, Onee-san!\I think I might like the sound of that.\It's not bad to have a younger guy call you that once in a while. response:	Now that you know Ichika-san is safe,
context: I was so worried, and you're just living here without a care in the world,\and you even have a boyfriend.\I-I'm sorry.\I didn't think people would make such a big deal about it...\U-Um, Onee-san!\I think I might like the sound of that.\It's not bad to have a younger guy call you that once in a while.\Now that you know Ichika-san is safe, response:	there shouldn't be a problem anymore, right?
context: and you even have a boyfriend.\I-I'm sorry.\I didn't think people would make such a big deal about it...\U-Um, Onee-san!\I think I might like the sound of that.\It's not bad to have a younger guy call you that once in a while.\Now that you know Ichika-san is safe,\there shouldn't be a problem anymore, right? response:	That's true!
context: I-I'm sorry.\I didn't think people would make such a big deal about it...\U-Um, Onee-san!\I think I might like the sound of that.\It's not bad to have a younger guy call you that once in a while.\Now that you know Ichika-san is safe,\there shouldn't be a problem anymore, right?\That's true! response:	They've already formed a search party.
context: I didn't think people would make such a big deal about it...\U-Um, Onee-san!\I think I might like the sound of that.\It's not bad to have a younger guy call you that once in a while.\Now that you know Ichika-san is safe,\there shouldn't be a problem anymore, right?\That's true!\They've already formed a search party. response:	Huh?
context: U-Um, Onee-san!\I think I might like the sound of that.\It's not bad to have a younger guy call you that once in a while.\Now that you know Ichika-san is safe,\there shouldn't be a problem anymore, right?\That's true!\They've already formed a search party.\Huh? response:	But if you report back that I'm safe...
context: I think I might like the sound of that.\It's not bad to have a younger guy call you that once in a while.\Now that you know Ichika-san is safe,\there shouldn't be a problem anymore, right?\That's true!\They've already formed a search party.\Huh?\But if you report back that I'm safe... response:	You were designated missing on a planet
context: It's not bad to have a younger guy call you that once in a while.\Now that you know Ichika-san is safe,\there shouldn't be a problem anymore, right?\That's true!\They've already formed a search party.\Huh?\But if you report back that I'm safe...\You were designated missing on a planet response:	that's a grade F on the industrial scale,
context: Now that you know Ichika-san is safe,\there shouldn't be a problem anymore, right?\That's true!\They've already formed a search party.\Huh?\But if you report back that I'm safe...\You were designated missing on a planet\that's a grade F on the industrial scale, response:	where interaction with the locals is forbidden.
context: there shouldn't be a problem anymore, right?\That's true!\They've already formed a search party.\Huh?\But if you report back that I'm safe...\You were designated missing on a planet\that's a grade F on the industrial scale,\where interaction with the locals is forbidden. response:	From the Federation's point of view,
context: That's true!\They've already formed a search party.\Huh?\But if you report back that I'm safe...\You were designated missing on a planet\that's a grade F on the industrial scale,\where interaction with the locals is forbidden.\From the Federation's point of view, response:	I'm sure they'd want to verify the situation as quickly as possible.
context: They've already formed a search party.\Huh?\But if you report back that I'm safe...\You were designated missing on a planet\that's a grade F on the industrial scale,\where interaction with the locals is forbidden.\From the Federation's point of view,\I'm sure they'd want to verify the situation as quickly as possible. response:	If they found you and found out what you've been doing,
context: Huh?\But if you report back that I'm safe...\You were designated missing on a planet\that's a grade F on the industrial scale,\where interaction with the locals is forbidden.\From the Federation's point of view,\I'm sure they'd want to verify the situation as quickly as possible.\If they found you and found out what you've been doing, response:	you would be arrested and taken into custody on the spot.
context: But if you report back that I'm safe...\You were designated missing on a planet\that's a grade F on the industrial scale,\where interaction with the locals is forbidden.\From the Federation's point of view,\I'm sure they'd want to verify the situation as quickly as possible.\If they found you and found out what you've been doing,\you would be arrested and taken into custody on the spot. response:	You would be prosecuted in accordance with Federation law.
context: You were designated missing on a planet\that's a grade F on the industrial scale,\where interaction with the locals is forbidden.\From the Federation's point of view,\I'm sure they'd want to verify the situation as quickly as possible.\If they found you and found out what you've been doing,\you would be arrested and taken into custody on the spot.\You would be prosecuted in accordance with Federation law. response:	But...
context: that's a grade F on the industrial scale,\where interaction with the locals is forbidden.\From the Federation's point of view,\I'm sure they'd want to verify the situation as quickly as possible.\If they found you and found out what you've been doing,\you would be arrested and taken into custody on the spot.\You would be prosecuted in accordance with Federation law.\But... response:	Is there anything we can do to stop that?
context: where interaction with the locals is forbidden.\From the Federation's point of view,\I'm sure they'd want to verify the situation as quickly as possible.\If they found you and found out what you've been doing,\you would be arrested and taken into custody on the spot.\You would be prosecuted in accordance with Federation law.\But...\Is there anything we can do to stop that? response:	That's why I'm here.
context: From the Federation's point of view,\I'm sure they'd want to verify the situation as quickly as possible.\If they found you and found out what you've been doing,\you would be arrested and taken into custody on the spot.\You would be prosecuted in accordance with Federation law.\But...\Is there anything we can do to stop that?\That's why I'm here. response:	Ichika, you'll be coming back with me before things get out of hand.
context: I'm sure they'd want to verify the situation as quickly as possible.\If they found you and found out what you've been doing,\you would be arrested and taken into custody on the spot.\You would be prosecuted in accordance with Federation law.\But...\Is there anything we can do to stop that?\That's why I'm here.\Ichika, you'll be coming back with me before things get out of hand. response:	No way...
context: If they found you and found out what you've been doing,\you would be arrested and taken into custody on the spot.\You would be prosecuted in accordance with Federation law.\But...\Is there anything we can do to stop that?\That's why I'm here.\Ichika, you'll be coming back with me before things get out of hand.\No way... response:	I don't want to.
context: you would be arrested and taken into custody on the spot.\You would be prosecuted in accordance with Federation law.\But...\Is there anything we can do to stop that?\That's why I'm here.\Ichika, you'll be coming back with me before things get out of hand.\No way...\I don't want to. response:	I'm not going to leave Kaito-kun.
context: You would be prosecuted in accordance with Federation law.\But...\Is there anything we can do to stop that?\That's why I'm here.\Ichika, you'll be coming back with me before things get out of hand.\No way...\I don't want to.\I'm not going to leave Kaito-kun. response:	I never will.
context: But...\Is there anything we can do to stop that?\That's why I'm here.\Ichika, you'll be coming back with me before things get out of hand.\No way...\I don't want to.\I'm not going to leave Kaito-kun.\I never will. response:	If you stay here, you'll cause problems for Kirishima-kun and the rest of the planet.
context: Is there anything we can do to stop that?\That's why I'm here.\Ichika, you'll be coming back with me before things get out of hand.\No way...\I don't want to.\I'm not going to leave Kaito-kun.\I never will.\If you stay here, you'll cause problems for Kirishima-kun and the rest of the planet. response:	I haven't done anything wrong.
context: That's why I'm here.\Ichika, you'll be coming back with me before things get out of hand.\No way...\I don't want to.\I'm not going to leave Kaito-kun.\I never will.\If you stay here, you'll cause problems for Kirishima-kun and the rest of the planet.\I haven't done anything wrong. response:	That's not the problem here.
context: Ichika, you'll be coming back with me before things get out of hand.\No way...\I don't want to.\I'm not going to leave Kaito-kun.\I never will.\If you stay here, you'll cause problems for Kirishima-kun and the rest of the planet.\I haven't done anything wrong.\That's not the problem here. response:	Why can't you understand?!
context: No way...\I don't want to.\I'm not going to leave Kaito-kun.\I never will.\If you stay here, you'll cause problems for Kirishima-kun and the rest of the planet.\I haven't done anything wrong.\That's not the problem here.\Why can't you understand?! response:	Senpai, calm down.
context: I don't want to.\I'm not going to leave Kaito-kun.\I never will.\If you stay here, you'll cause problems for Kirishima-kun and the rest of the planet.\I haven't done anything wrong.\That's not the problem here.\Why can't you understand?!\Senpai, calm down. response:	Let's listen to what your sister has to say,
context: I'm not going to leave Kaito-kun.\I never will.\If you stay here, you'll cause problems for Kirishima-kun and the rest of the planet.\I haven't done anything wrong.\That's not the problem here.\Why can't you understand?!\Senpai, calm down.\Let's listen to what your sister has to say, response:	and then we'll figure out what
context: I never will.\If you stay here, you'll cause problems for Kirishima-kun and the rest of the planet.\I haven't done anything wrong.\That's not the problem here.\Why can't you understand?!\Senpai, calm down.\Let's listen to what your sister has to say,\and then we'll figure out what response:	There's only one choice.
context: If you stay here, you'll cause problems for Kirishima-kun and the rest of the planet.\I haven't done anything wrong.\That's not the problem here.\Why can't you understand?!\Senpai, calm down.\Let's listen to what your sister has to say,\and then we'll figure out what\There's only one choice. response:	Ichika, you already understand the situation, right?
context: I haven't done anything wrong.\That's not the problem here.\Why can't you understand?!\Senpai, calm down.\Let's listen to what your sister has to say,\and then we'll figure out what\There's only one choice.\Ichika, you already understand the situation, right? response:	Rinon!
context: That's not the problem here.\Why can't you understand?!\Senpai, calm down.\Let's listen to what your sister has to say,\and then we'll figure out what\There's only one choice.\Ichika, you already understand the situation, right?\Rinon! response:	Senpai!
context: Why can't you understand?!\Senpai, calm down.\Let's listen to what your sister has to say,\and then we'll figure out what\There's only one choice.\Ichika, you already understand the situation, right?\Rinon!\Senpai! response:	Senpai...
context: Senpai, calm down.\Let's listen to what your sister has to say,\and then we'll figure out what\There's only one choice.\Ichika, you already understand the situation, right?\Rinon!\Senpai!\Senpai... response:	I'm sorry, Kirishima-kun.
context: Let's listen to what your sister has to say,\and then we'll figure out what\There's only one choice.\Ichika, you already understand the situation, right?\Rinon!\Senpai!\Senpai...\I'm sorry, Kirishima-kun. response:	You had to see something that wasn't exactly pleasant.
context: and then we'll figure out what\There's only one choice.\Ichika, you already understand the situation, right?\Rinon!\Senpai!\Senpai...\I'm sorry, Kirishima-kun.\You had to see something that wasn't exactly pleasant. response:	It's okay...
context: There's only one choice.\Ichika, you already understand the situation, right?\Rinon!\Senpai!\Senpai...\I'm sorry, Kirishima-kun.\You had to see something that wasn't exactly pleasant.\It's okay... response:	Takatsuki... senpai...
context: Ichika, you already understand the situation, right?\Rinon!\Senpai!\Senpai...\I'm sorry, Kirishima-kun.\You had to see something that wasn't exactly pleasant.\It's okay...\Takatsuki... senpai... response:	Tani...
context: Rinon!\Senpai!\Senpai...\I'm sorry, Kirishima-kun.\You had to see something that wasn't exactly pleasant.\It's okay...\Takatsuki... senpai...\Tani... response:	What are you doing?
context: Senpai!\Senpai...\I'm sorry, Kirishima-kun.\You had to see something that wasn't exactly pleasant.\It's okay...\Takatsuki... senpai...\Tani...\What are you doing? response:	We're supposed to be filming... already...
context: Senpai...\I'm sorry, Kirishima-kun.\You had to see something that wasn't exactly pleasant.\It's okay...\Takatsuki... senpai...\Tani...\What are you doing?\We're supposed to be filming... already... response:	Why aren't you wearing any shoes?
context: I'm sorry, Kirishima-kun.\You had to see something that wasn't exactly pleasant.\It's okay...\Takatsuki... senpai...\Tani...\What are you doing?\We're supposed to be filming... already...\Why aren't you wearing any shoes? response:	Senpai?
context: You had to see something that wasn't exactly pleasant.\It's okay...\Takatsuki... senpai...\Tani...\What are you doing?\We're supposed to be filming... already...\Why aren't you wearing any shoes?\Senpai? response:	Uh...
context: It's okay...\Takatsuki... senpai...\Tani...\What are you doing?\We're supposed to be filming... already...\Why aren't you wearing any shoes?\Senpai?\Uh... response:	Does Sen I mean,
context: Takatsuki... senpai...\Tani...\What are you doing?\We're supposed to be filming... already...\Why aren't you wearing any shoes?\Senpai?\Uh...\Does Sen I mean, response:	Ichika-san...
context: Tani...\What are you doing?\We're supposed to be filming... already...\Why aren't you wearing any shoes?\Senpai?\Uh...\Does Sen I mean,\Ichika-san... response:	Must she return home?
context: What are you doing?\We're supposed to be filming... already...\Why aren't you wearing any shoes?\Senpai?\Uh...\Does Sen I mean,\Ichika-san...\Must she return home? response:	She must.
context: We're supposed to be filming... already...\Why aren't you wearing any shoes?\Senpai?\Uh...\Does Sen I mean,\Ichika-san...\Must she return home?\She must. response:	Could she go back home and then come back here again?
context: Why aren't you wearing any shoes?\Senpai?\Uh...\Does Sen I mean,\Ichika-san...\Must she return home?\She must.\Could she go back home and then come back here again? response:	Given the situation, I imagine that would be difficult.
context: Senpai?\Uh...\Does Sen I mean,\Ichika-san...\Must she return home?\She must.\Could she go back home and then come back here again?\Given the situation, I imagine that would be difficult. response:	Then...
context: Uh...\Does Sen I mean,\Ichika-san...\Must she return home?\She must.\Could she go back home and then come back here again?\Given the situation, I imagine that would be difficult.\Then... response:	Then could you take me into space with you?!
context: Does Sen I mean,\Ichika-san...\Must she return home?\She must.\Could she go back home and then come back here again?\Given the situation, I imagine that would be difficult.\Then...\Then could you take me into space with you?! response:	I'll do anything!
context: Ichika-san...\Must she return home?\She must.\Could she go back home and then come back here again?\Given the situation, I imagine that would be difficult.\Then...\Then could you take me into space with you?!\I'll do anything! response:	My sister's not very elegant and she's stubborn.
