context: Fight! response:	Heroes are Born
context: The MJP is currently the center of attention. It could create misconceptions.\Very well.\I'll tell the commander about the press conference.\I am terribly sorry, but we're swamped with requests for interviews.\I hate to say it, but we cannot give you one anytime soon.\I bet they're hounding Undina Base as well!\Now then, please present your questions one at a time.\Uh, I'd like to go first. response:	What exactly are you?
context: Very well.\I'll tell the commander about the press conference.\I am terribly sorry, but we're swamped with requests for interviews.\I hate to say it, but we cannot give you one anytime soon.\I bet they're hounding Undina Base as well!\Now then, please present your questions one at a time.\Uh, I'd like to go first.\What exactly are you? response:	What were those machines?
context: I'll tell the commander about the press conference.\I am terribly sorry, but we're swamped with requests for interviews.\I hate to say it, but we cannot give you one anytime soon.\I bet they're hounding Undina Base as well!\Now then, please present your questions one at a time.\Uh, I'd like to go first.\What exactly are you?\What were those machines? response:	Are they the GDF's secret weapons?
context: I am terribly sorry, but we're swamped with requests for interviews.\I hate to say it, but we cannot give you one anytime soon.\I bet they're hounding Undina Base as well!\Now then, please present your questions one at a time.\Uh, I'd like to go first.\What exactly are you?\What were those machines?\Are they the GDF's secret weapons? response:	They are students currently enrolled in the Gurantseere Cosmopolitan Academy.
context: I hate to say it, but we cannot give you one anytime soon.\I bet they're hounding Undina Base as well!\Now then, please present your questions one at a time.\Uh, I'd like to go first.\What exactly are you?\What were those machines?\Are they the GDF's secret weapons?\They are students currently enrolled in the Gurantseere Cosmopolitan Academy. response:	Students? They're students?
context: I bet they're hounding Undina Base as well!\Now then, please present your questions one at a time.\Uh, I'd like to go first.\What exactly are you?\What were those machines?\Are they the GDF's secret weapons?\They are students currently enrolled in the Gurantseere Cosmopolitan Academy.\Students? They're students? response:	They are affiliated with the secret service, MJP.
context: Now then, please present your questions one at a time.\Uh, I'd like to go first.\What exactly are you?\What were those machines?\Are they the GDF's secret weapons?\They are students currently enrolled in the Gurantseere Cosmopolitan Academy.\Students? They're students?\They are affiliated with the secret service, MJP. response:	What does MJP stand for?
context: Uh, I'd like to go first.\What exactly are you?\What were those machines?\Are they the GDF's secret weapons?\They are students currently enrolled in the Gurantseere Cosmopolitan Academy.\Students? They're students?\They are affiliated with the secret service, MJP.\What does MJP stand for? response:	Military Junior Pre-Academy.
context: What exactly are you?\What were those machines?\Are they the GDF's secret weapons?\They are students currently enrolled in the Gurantseere Cosmopolitan Academy.\Students? They're students?\They are affiliated with the secret service, MJP.\What does MJP stand for?\Military Junior Pre-Academy. response:	It's an organization that trains future military officers.
context: What were those machines?\Are they the GDF's secret weapons?\They are students currently enrolled in the Gurantseere Cosmopolitan Academy.\Students? They're students?\They are affiliated with the secret service, MJP.\What does MJP stand for?\Military Junior Pre-Academy.\It's an organization that trains future military officers. response:	The AHSMB units they pilot use the GDF's cutting-edge frames,
context: Are they the GDF's secret weapons?\They are students currently enrolled in the Gurantseere Cosmopolitan Academy.\Students? They're students?\They are affiliated with the secret service, MJP.\What does MJP stand for?\Military Junior Pre-Academy.\It's an organization that trains future military officers.\The AHSMB units they pilot use the GDF's cutting-edge frames, response:	but I cannot discuss them in detail.
context: They are students currently enrolled in the Gurantseere Cosmopolitan Academy.\Students? They're students?\They are affiliated with the secret service, MJP.\What does MJP stand for?\Military Junior Pre-Academy.\It's an organization that trains future military officers.\The AHSMB units they pilot use the GDF's cutting-edge frames,\but I cannot discuss them in detail. response:	Uh, then I have another question for everyone in the MJP.
context: Students? They're students?\They are affiliated with the secret service, MJP.\What does MJP stand for?\Military Junior Pre-Academy.\It's an organization that trains future military officers.\The AHSMB units they pilot use the GDF's cutting-edge frames,\but I cannot discuss them in detail.\Uh, then I have another question for everyone in the MJP. response:	How did you feel when you were ordered to fight in that mission?
context: They are affiliated with the secret service, MJP.\What does MJP stand for?\Military Junior Pre-Academy.\It's an organization that trains future military officers.\The AHSMB units they pilot use the GDF's cutting-edge frames,\but I cannot discuss them in detail.\Uh, then I have another question for everyone in the MJP.\How did you feel when you were ordered to fight in that mission? response:	Right. It was a true honor to...
context: What does MJP stand for?\Military Junior Pre-Academy.\It's an organization that trains future military officers.\The AHSMB units they pilot use the GDF's cutting-edge frames,\but I cannot discuss them in detail.\Uh, then I have another question for everyone in the MJP.\How did you feel when you were ordered to fight in that mission?\Right. It was a true honor to... response:	Asagi? What's wrong?
context: Military Junior Pre-Academy.\It's an organization that trains future military officers.\The AHSMB units they pilot use the GDF's cutting-edge frames,\but I cannot discuss them in detail.\Uh, then I have another question for everyone in the MJP.\How did you feel when you were ordered to fight in that mission?\Right. It was a true honor to...\Asagi? What's wrong? response:	My stomach... It's the stress.
context: It's an organization that trains future military officers.\The AHSMB units they pilot use the GDF's cutting-edge frames,\but I cannot discuss them in detail.\Uh, then I have another question for everyone in the MJP.\How did you feel when you were ordered to fight in that mission?\Right. It was a true honor to...\Asagi? What's wrong?\My stomach... It's the stress. response:	Anyone else?
context: The AHSMB units they pilot use the GDF's cutting-edge frames,\but I cannot discuss them in detail.\Uh, then I have another question for everyone in the MJP.\How did you feel when you were ordered to fight in that mission?\Right. It was a true honor to...\Asagi? What's wrong?\My stomach... It's the stress.\Anyone else? response:	I felt the same.
context: but I cannot discuss them in detail.\Uh, then I have another question for everyone in the MJP.\How did you feel when you were ordered to fight in that mission?\Right. It was a true honor to...\Asagi? What's wrong?\My stomach... It's the stress.\Anyone else?\I felt the same. response:	Tamaki.
context: Uh, then I have another question for everyone in the MJP.\How did you feel when you were ordered to fight in that mission?\Right. It was a true honor to...\Asagi? What's wrong?\My stomach... It's the stress.\Anyone else?\I felt the same.\Tamaki. response:	That was a huge hit, Tamaki!
context: How did you feel when you were ordered to fight in that mission?\Right. It was a true honor to...\Asagi? What's wrong?\My stomach... It's the stress.\Anyone else?\I felt the same.\Tamaki.\That was a huge hit, Tamaki! response:	Too cute It went'Bang!' That noise hurt Aha ha ha ha
context: Right. It was a true honor to...\Asagi? What's wrong?\My stomach... It's the stress.\Anyone else?\I felt the same.\Tamaki.\That was a huge hit, Tamaki!\Too cute It went'Bang!' That noise hurt Aha ha ha ha response:	Was she trying to be cute? Juggle failed What's with these guys? Nice head shot!
context: Asagi? What's wrong?\My stomach... It's the stress.\Anyone else?\I felt the same.\Tamaki.\That was a huge hit, Tamaki!\Too cute It went'Bang!' That noise hurt Aha ha ha ha\Was she trying to be cute? Juggle failed What's with these guys? Nice head shot! response:	Wow, these comments rock!
context: My stomach... It's the stress.\Anyone else?\I felt the same.\Tamaki.\That was a huge hit, Tamaki!\Too cute It went'Bang!' That noise hurt Aha ha ha ha\Was she trying to be cute? Juggle failed What's with these guys? Nice head shot!\Wow, these comments rock! response:	Suruga, answer the question!
context: Anyone else?\I felt the same.\Tamaki.\That was a huge hit, Tamaki!\Too cute It went'Bang!' That noise hurt Aha ha ha ha\Was she trying to be cute? Juggle failed What's with these guys? Nice head shot!\Wow, these comments rock!\Suruga, answer the question! response:	You, too.
context: I felt the same.\Tamaki.\That was a huge hit, Tamaki!\Too cute It went'Bang!' That noise hurt Aha ha ha ha\Was she trying to be cute? Juggle failed What's with these guys? Nice head shot!\Wow, these comments rock!\Suruga, answer the question!\You, too. response:	Ow!
context: Tamaki.\That was a huge hit, Tamaki!\Too cute It went'Bang!' That noise hurt Aha ha ha ha\Was she trying to be cute? Juggle failed What's with these guys? Nice head shot!\Wow, these comments rock!\Suruga, answer the question!\You, too.\Ow! response:	Are you all right?
context: That was a huge hit, Tamaki!\Too cute It went'Bang!' That noise hurt Aha ha ha ha\Was she trying to be cute? Juggle failed What's with these guys? Nice head shot!\Wow, these comments rock!\Suruga, answer the question!\You, too.\Ow!\Are you all right? response:	What was the key point behind this mission?
context: Too cute It went'Bang!' That noise hurt Aha ha ha ha\Was she trying to be cute? Juggle failed What's with these guys? Nice head shot!\Wow, these comments rock!\Suruga, answer the question!\You, too.\Ow!\Are you all right?\What was the key point behind this mission? response:	Kei, please answer that.
context: Was she trying to be cute? Juggle failed What's with these guys? Nice head shot!\Wow, these comments rock!\Suruga, answer the question!\You, too.\Ow!\Are you all right?\What was the key point behind this mission?\Kei, please answer that. response:	I can't.
context: Wow, these comments rock!\Suruga, answer the question!\You, too.\Ow!\Are you all right?\What was the key point behind this mission?\Kei, please answer that.\I can't. response:	Then I will!
context: Suruga, answer the question!\You, too.\Ow!\Are you all right?\What was the key point behind this mission?\Kei, please answer that.\I can't.\Then I will! response:	My unit's primary guns are a 90 mm L/70 high-energy charged particle cannon
context: You, too.\Ow!\Are you all right?\What was the key point behind this mission?\Kei, please answer that.\I can't.\Then I will!\My unit's primary guns are a 90 mm L/70 high-energy charged particle cannon response:	and two 40mm L/45 radiation-guided
context: Ow!\Are you all right?\What was the key point behind this mission?\Kei, please answer that.\I can't.\Then I will!\My unit's primary guns are a 90 mm L/70 high-energy charged particle cannon\and two 40mm L/45 radiation-guided response:	photon resonance antiaircraft cannons as its co-ax guns.
context: Are you all right?\What was the key point behind this mission?\Kei, please answer that.\I can't.\Then I will!\My unit's primary guns are a 90 mm L/70 high-energy charged particle cannon\and two 40mm L/45 radiation-guided\photon resonance antiaircraft cannons as its co-ax guns. response:	I can catch any enemies in range with a Type 99 high-depth, 3D,
context: What was the key point behind this mission?\Kei, please answer that.\I can't.\Then I will!\My unit's primary guns are a 90 mm L/70 high-energy charged particle cannon\and two 40mm L/45 radiation-guided\photon resonance antiaircraft cannons as its co-ax guns.\I can catch any enemies in range with a Type 99 high-depth, 3D, response:	inversed spectroscopic rangefinder manufactured by Imperial Japan Optics Meter.
context: Kei, please answer that.\I can't.\Then I will!\My unit's primary guns are a 90 mm L/70 high-energy charged particle cannon\and two 40mm L/45 radiation-guided\photon resonance antiaircraft cannons as its co-ax guns.\I can catch any enemies in range with a Type 99 high-depth, 3D,\inversed spectroscopic rangefinder manufactured by Imperial Japan Optics Meter. response:	Then I use the co-ax...
context: I can't.\Then I will!\My unit's primary guns are a 90 mm L/70 high-energy charged particle cannon\and two 40mm L/45 radiation-guided\photon resonance antiaircraft cannons as its co-ax guns.\I can catch any enemies in range with a Type 99 high-depth, 3D,\inversed spectroscopic rangefinder manufactured by Imperial Japan Optics Meter.\Then I use the co-ax... response:	Uh, allow me to change the question.
context: Then I will!\My unit's primary guns are a 90 mm L/70 high-energy charged particle cannon\and two 40mm L/45 radiation-guided\photon resonance antiaircraft cannons as its co-ax guns.\I can catch any enemies in range with a Type 99 high-depth, 3D,\inversed spectroscopic rangefinder manufactured by Imperial Japan Optics Meter.\Then I use the co-ax...\Uh, allow me to change the question. response:	Didn't the plan originally call for you to pull back?
context: My unit's primary guns are a 90 mm L/70 high-energy charged particle cannon\and two 40mm L/45 radiation-guided\photon resonance antiaircraft cannons as its co-ax guns.\I can catch any enemies in range with a Type 99 high-depth, 3D,\inversed spectroscopic rangefinder manufactured by Imperial Japan Optics Meter.\Then I use the co-ax...\Uh, allow me to change the question.\Didn't the plan originally call for you to pull back? response:	Correct.
context: and two 40mm L/45 radiation-guided\photon resonance antiaircraft cannons as its co-ax guns.\I can catch any enemies in range with a Type 99 high-depth, 3D,\inversed spectroscopic rangefinder manufactured by Imperial Japan Optics Meter.\Then I use the co-ax...\Uh, allow me to change the question.\Didn't the plan originally call for you to pull back?\Correct. response:	So who decided to change the plan?
context: photon resonance antiaircraft cannons as its co-ax guns.\I can catch any enemies in range with a Type 99 high-depth, 3D,\inversed spectroscopic rangefinder manufactured by Imperial Japan Optics Meter.\Then I use the co-ax...\Uh, allow me to change the question.\Didn't the plan originally call for you to pull back?\Correct.\So who decided to change the plan? response:	Izuru...
context: I can catch any enemies in range with a Type 99 high-depth, 3D,\inversed spectroscopic rangefinder manufactured by Imperial Japan Optics Meter.\Then I use the co-ax...\Uh, allow me to change the question.\Didn't the plan originally call for you to pull back?\Correct.\So who decided to change the plan?\Izuru... response:	Uh, Second Lieutenant Izuru Hitachi.
context: inversed spectroscopic rangefinder manufactured by Imperial Japan Optics Meter.\Then I use the co-ax...\Uh, allow me to change the question.\Didn't the plan originally call for you to pull back?\Correct.\So who decided to change the plan?\Izuru...\Uh, Second Lieutenant Izuru Hitachi. response:	Second Lt. Hitachi,
context: Then I use the co-ax...\Uh, allow me to change the question.\Didn't the plan originally call for you to pull back?\Correct.\So who decided to change the plan?\Izuru...\Uh, Second Lieutenant Izuru Hitachi.\Second Lt. Hitachi, response:	is it true that you decided to fight
context: Uh, allow me to change the question.\Didn't the plan originally call for you to pull back?\Correct.\So who decided to change the plan?\Izuru...\Uh, Second Lieutenant Izuru Hitachi.\Second Lt. Hitachi,\is it true that you decided to fight response:	to the end once you learned that civilians were still there?
context: Didn't the plan originally call for you to pull back?\Correct.\So who decided to change the plan?\Izuru...\Uh, Second Lieutenant Izuru Hitachi.\Second Lt. Hitachi,\is it true that you decided to fight\to the end once you learned that civilians were still there? response:	What was running through your mind?
context: Correct.\So who decided to change the plan?\Izuru...\Uh, Second Lieutenant Izuru Hitachi.\Second Lt. Hitachi,\is it true that you decided to fight\to the end once you learned that civilians were still there?\What was running through your mind? response:	Uh, well...
context: So who decided to change the plan?\Izuru...\Uh, Second Lieutenant Izuru Hitachi.\Second Lt. Hitachi,\is it true that you decided to fight\to the end once you learned that civilians were still there?\What was running through your mind?\Uh, well... response:	Uh, what is that...?
context: Izuru...\Uh, Second Lieutenant Izuru Hitachi.\Second Lt. Hitachi,\is it true that you decided to fight\to the end once you learned that civilians were still there?\What was running through your mind?\Uh, well...\Uh, what is that...? response:	This is the hero in a story I'm writing.
context: Uh, Second Lieutenant Izuru Hitachi.\Second Lt. Hitachi,\is it true that you decided to fight\to the end once you learned that civilians were still there?\What was running through your mind?\Uh, well...\Uh, what is that...?\This is the hero in a story I'm writing. response:	In other words, this is how I felt.
context: Second Lt. Hitachi,\is it true that you decided to fight\to the end once you learned that civilians were still there?\What was running through your mind?\Uh, well...\Uh, what is that...?\This is the hero in a story I'm writing.\In other words, this is how I felt. response:	Aw, jeez!
context: is it true that you decided to fight\to the end once you learned that civilians were still there?\What was running through your mind?\Uh, well...\Uh, what is that...?\This is the hero in a story I'm writing.\In other words, this is how I felt.\Aw, jeez! response:	Thinks he's a big shot. Weird illo I was like him once. Total moron Moron He sucks! Not good, not bad... He's special... What is he going for?
context: to the end once you learned that civilians were still there?\What was running through your mind?\Uh, well...\Uh, what is that...?\This is the hero in a story I'm writing.\In other words, this is how I felt.\Aw, jeez!\Thinks he's a big shot. Weird illo I was like him once. Total moron Moron He sucks! Not good, not bad... He's special... What is he going for? response:	Uh, please tell us what your favorite food is.
context: What was running through your mind?\Uh, well...\Uh, what is that...?\This is the hero in a story I'm writing.\In other words, this is how I felt.\Aw, jeez!\Thinks he's a big shot. Weird illo I was like him once. Total moron Moron He sucks! Not good, not bad... He's special... What is he going for?\Uh, please tell us what your favorite food is. response:	Curry!
context: Uh, well...\Uh, what is that...?\This is the hero in a story I'm writing.\In other words, this is how I felt.\Aw, jeez!\Thinks he's a big shot. Weird illo I was like him once. Total moron Moron He sucks! Not good, not bad... He's special... What is he going for?\Uh, please tell us what your favorite food is.\Curry! response:	Do you have a boyfriend? Curry!
context: Uh, what is that...?\This is the hero in a story I'm writing.\In other words, this is how I felt.\Aw, jeez!\Thinks he's a big shot. Weird illo I was like him once. Total moron Moron He sucks! Not good, not bad... He's special... What is he going for?\Uh, please tell us what your favorite food is.\Curry!\Do you have a boyfriend? Curry! response:	I'm accepting applications!
context: This is the hero in a story I'm writing.\In other words, this is how I felt.\Aw, jeez!\Thinks he's a big shot. Weird illo I was like him once. Total moron Moron He sucks! Not good, not bad... He's special... What is he going for?\Uh, please tell us what your favorite food is.\Curry!\Do you have a boyfriend? Curry!\I'm accepting applications! response:	Accepting applications! Accepting applications! AWESOME!!! Accepting applications! This is- Cute! Laughed so hard I... HOT! Accepting applications! ROFLOL WOOO Accepting applications!
context: In other words, this is how I felt.\Aw, jeez!\Thinks he's a big shot. Weird illo I was like him once. Total moron Moron He sucks! Not good, not bad... He's special... What is he going for?\Uh, please tell us what your favorite food is.\Curry!\Do you have a boyfriend? Curry!\I'm accepting applications!\Accepting applications! Accepting applications! AWESOME!!! Accepting applications! This is- Cute! Laughed so hard I... HOT! Accepting applications! ROFLOL WOOO Accepting applications! response:	Accepting applications! I'll be your BF! You're too- SHE'S CUTELOLOLOL Spaz Cute!Not me Hot! Breasts! Breasts! I'll become your boyfriend! Hmm Accepting applications! Annoying!
context: Aw, jeez!\Thinks he's a big shot. Weird illo I was like him once. Total moron Moron He sucks! Not good, not bad... He's special... What is he going for?\Uh, please tell us what your favorite food is.\Curry!\Do you have a boyfriend? Curry!\I'm accepting applications!\Accepting applications! Accepting applications! AWESOME!!! Accepting applications! This is- Cute! Laughed so hard I... HOT! Accepting applications! ROFLOL WOOO Accepting applications!\Accepting applications! I'll be your BF! You're too- SHE'S CUTELOLOLOL Spaz Cute!Not me Hot! Breasts! Breasts! I'll become your boyfriend! Hmm Accepting applications! Annoying! response:	I am sorry, but they cannot answer questions about their private lives.
