context: And now, news about the incident at True Cross Academy. response:	The students who were taken hostage were all rescued uninjured, but the culprit escaped.
context: I see.\That's the only photo of Yuri I have left.\Fujimoto named Sir Pheles your guardian,\but Sir Pheles has been arrested by the Order of the True Cross.\That's why I decided to take you in as your grandfather.\In kindergarten, we had to draw portraits on Mother's Day.\Rin drew it from imagination, but I couldn't draw anything.\Now I'm feeling just like back then. response:	I sincerely apologize for making you feel like that for the past 15 years.
context: That's the only photo of Yuri I have left.\Fujimoto named Sir Pheles your guardian,\but Sir Pheles has been arrested by the Order of the True Cross.\That's why I decided to take you in as your grandfather.\In kindergarten, we had to draw portraits on Mother's Day.\Rin drew it from imagination, but I couldn't draw anything.\Now I'm feeling just like back then.\I sincerely apologize for making you feel like that for the past 15 years. response:	But I had no choice.
context: Fujimoto named Sir Pheles your guardian,\but Sir Pheles has been arrested by the Order of the True Cross.\That's why I decided to take you in as your grandfather.\In kindergarten, we had to draw portraits on Mother's Day.\Rin drew it from imagination, but I couldn't draw anything.\Now I'm feeling just like back then.\I sincerely apologize for making you feel like that for the past 15 years.\But I had no choice. response:	I was confined all this time.
context: but Sir Pheles has been arrested by the Order of the True Cross.\That's why I decided to take you in as your grandfather.\In kindergarten, we had to draw portraits on Mother's Day.\Rin drew it from imagination, but I couldn't draw anything.\Now I'm feeling just like back then.\I sincerely apologize for making you feel like that for the past 15 years.\But I had no choice.\I was confined all this time. response:	Confined?
context: That's why I decided to take you in as your grandfather.\In kindergarten, we had to draw portraits on Mother's Day.\Rin drew it from imagination, but I couldn't draw anything.\Now I'm feeling just like back then.\I sincerely apologize for making you feel like that for the past 15 years.\But I had no choice.\I was confined all this time.\Confined? response:	I lost everything in the catastrophe of the Blue Night 15 years ago.
context: In kindergarten, we had to draw portraits on Mother's Day.\Rin drew it from imagination, but I couldn't draw anything.\Now I'm feeling just like back then.\I sincerely apologize for making you feel like that for the past 15 years.\But I had no choice.\I was confined all this time.\Confined?\I lost everything in the catastrophe of the Blue Night 15 years ago. response:	My position, my honor, even my face.
context: Rin drew it from imagination, but I couldn't draw anything.\Now I'm feeling just like back then.\I sincerely apologize for making you feel like that for the past 15 years.\But I had no choice.\I was confined all this time.\Confined?\I lost everything in the catastrophe of the Blue Night 15 years ago.\My position, my honor, even my face. response:	And my only beloved daughter, Yuri.
context: Now I'm feeling just like back then.\I sincerely apologize for making you feel like that for the past 15 years.\But I had no choice.\I was confined all this time.\Confined?\I lost everything in the catastrophe of the Blue Night 15 years ago.\My position, my honor, even my face.\And my only beloved daughter, Yuri. response:	She died?
context: I sincerely apologize for making you feel like that for the past 15 years.\But I had no choice.\I was confined all this time.\Confined?\I lost everything in the catastrophe of the Blue Night 15 years ago.\My position, my honor, even my face.\And my only beloved daughter, Yuri.\She died? response:	Then Mother was killed by Satan?
context: But I had no choice.\I was confined all this time.\Confined?\I lost everything in the catastrophe of the Blue Night 15 years ago.\My position, my honor, even my face.\And my only beloved daughter, Yuri.\She died?\Then Mother was killed by Satan? response:	No, Satan didn't kill her.
context: I was confined all this time.\Confined?\I lost everything in the catastrophe of the Blue Night 15 years ago.\My position, my honor, even my face.\And my only beloved daughter, Yuri.\She died?\Then Mother was killed by Satan?\No, Satan didn't kill her. response:	It was the Vatican, who also confined me.
context: Confined?\I lost everything in the catastrophe of the Blue Night 15 years ago.\My position, my honor, even my face.\And my only beloved daughter, Yuri.\She died?\Then Mother was killed by Satan?\No, Satan didn't kill her.\It was the Vatican, who also confined me. response:	That day, when Satan slaughtered countless Exorcists,
context: I lost everything in the catastrophe of the Blue Night 15 years ago.\My position, my honor, even my face.\And my only beloved daughter, Yuri.\She died?\Then Mother was killed by Satan?\No, Satan didn't kill her.\It was the Vatican, who also confined me.\That day, when Satan slaughtered countless Exorcists, response:	Yuri of all conceived the children of a demon.
context: My position, my honor, even my face.\And my only beloved daughter, Yuri.\She died?\Then Mother was killed by Satan?\No, Satan didn't kill her.\It was the Vatican, who also confined me.\That day, when Satan slaughtered countless Exorcists,\Yuri of all conceived the children of a demon. response:	My brother and I, right?
context: And my only beloved daughter, Yuri.\She died?\Then Mother was killed by Satan?\No, Satan didn't kill her.\It was the Vatican, who also confined me.\That day, when Satan slaughtered countless Exorcists,\Yuri of all conceived the children of a demon.\My brother and I, right? response:	The Grigori burnt Yuri as a witch.
context: She died?\Then Mother was killed by Satan?\No, Satan didn't kill her.\It was the Vatican, who also confined me.\That day, when Satan slaughtered countless Exorcists,\Yuri of all conceived the children of a demon.\My brother and I, right?\The Grigori burnt Yuri as a witch. response:	No way! There are no witch hunts anymore!
context: Then Mother was killed by Satan?\No, Satan didn't kill her.\It was the Vatican, who also confined me.\That day, when Satan slaughtered countless Exorcists,\Yuri of all conceived the children of a demon.\My brother and I, right?\The Grigori burnt Yuri as a witch.\No way! There are no witch hunts anymore! response:	Why was Mother judged?
context: No, Satan didn't kill her.\It was the Vatican, who also confined me.\That day, when Satan slaughtered countless Exorcists,\Yuri of all conceived the children of a demon.\My brother and I, right?\The Grigori burnt Yuri as a witch.\No way! There are no witch hunts anymore!\Why was Mother judged? response:	To restore the authority of the Order of the True Cross.
context: It was the Vatican, who also confined me.\That day, when Satan slaughtered countless Exorcists,\Yuri of all conceived the children of a demon.\My brother and I, right?\The Grigori burnt Yuri as a witch.\No way! There are no witch hunts anymore!\Why was Mother judged?\To restore the authority of the Order of the True Cross. response:	They sacrificed Yuri to achieve that.
context: That day, when Satan slaughtered countless Exorcists,\Yuri of all conceived the children of a demon.\My brother and I, right?\The Grigori burnt Yuri as a witch.\No way! There are no witch hunts anymore!\Why was Mother judged?\To restore the authority of the Order of the True Cross.\They sacrificed Yuri to achieve that. response:	That...
context: Yuri of all conceived the children of a demon.\My brother and I, right?\The Grigori burnt Yuri as a witch.\No way! There are no witch hunts anymore!\Why was Mother judged?\To restore the authority of the Order of the True Cross.\They sacrificed Yuri to achieve that.\That... response:	The ways of the leaders haven't changed in the past 600 years.
context: My brother and I, right?\The Grigori burnt Yuri as a witch.\No way! There are no witch hunts anymore!\Why was Mother judged?\To restore the authority of the Order of the True Cross.\They sacrificed Yuri to achieve that.\That...\The ways of the leaders haven't changed in the past 600 years. response:	They confined me, since I'm the father of a witch.
context: The Grigori burnt Yuri as a witch.\No way! There are no witch hunts anymore!\Why was Mother judged?\To restore the authority of the Order of the True Cross.\They sacrificed Yuri to achieve that.\That...\The ways of the leaders haven't changed in the past 600 years.\They confined me, since I'm the father of a witch. response:	I already lost all my will to live. My only hope was this.
context: No way! There are no witch hunts anymore!\Why was Mother judged?\To restore the authority of the Order of the True Cross.\They sacrificed Yuri to achieve that.\That...\The ways of the leaders haven't changed in the past 600 years.\They confined me, since I'm the father of a witch.\I already lost all my will to live. My only hope was this. response:	What is that?
context: Why was Mother judged?\To restore the authority of the Order of the True Cross.\They sacrificed Yuri to achieve that.\That...\The ways of the leaders haven't changed in the past 600 years.\They confined me, since I'm the father of a witch.\I already lost all my will to live. My only hope was this.\What is that? response:	The photo Fujimoto gave to me.
context: To restore the authority of the Order of the True Cross.\They sacrificed Yuri to achieve that.\That...\The ways of the leaders haven't changed in the past 600 years.\They confined me, since I'm the father of a witch.\I already lost all my will to live. My only hope was this.\What is that?\The photo Fujimoto gave to me. response:	I had it with me all the time.
context: They sacrificed Yuri to achieve that.\That...\The ways of the leaders haven't changed in the past 600 years.\They confined me, since I'm the father of a witch.\I already lost all my will to live. My only hope was this.\What is that?\The photo Fujimoto gave to me.\I had it with me all the time. response:	I wanted to hug the children Yuri died giving birth to.
context: That...\The ways of the leaders haven't changed in the past 600 years.\They confined me, since I'm the father of a witch.\I already lost all my will to live. My only hope was this.\What is that?\The photo Fujimoto gave to me.\I had it with me all the time.\I wanted to hug the children Yuri died giving birth to. response:	But if your existence was revealed, the Vatican wouldn't stay silent.
context: The ways of the leaders haven't changed in the past 600 years.\They confined me, since I'm the father of a witch.\I already lost all my will to live. My only hope was this.\What is that?\The photo Fujimoto gave to me.\I had it with me all the time.\I wanted to hug the children Yuri died giving birth to.\But if your existence was revealed, the Vatican wouldn't stay silent. response:	That's why you couldn't come for us?
context: They confined me, since I'm the father of a witch.\I already lost all my will to live. My only hope was this.\What is that?\The photo Fujimoto gave to me.\I had it with me all the time.\I wanted to hug the children Yuri died giving birth to.\But if your existence was revealed, the Vatican wouldn't stay silent.\That's why you couldn't come for us? response:	Exactly.
context: I already lost all my will to live. My only hope was this.\What is that?\The photo Fujimoto gave to me.\I had it with me all the time.\I wanted to hug the children Yuri died giving birth to.\But if your existence was revealed, the Vatican wouldn't stay silent.\That's why you couldn't come for us?\Exactly. response:	But now there is no more danger from the Grigori.
context: What is that?\The photo Fujimoto gave to me.\I had it with me all the time.\I wanted to hug the children Yuri died giving birth to.\But if your existence was revealed, the Vatican wouldn't stay silent.\That's why you couldn't come for us?\Exactly.\But now there is no more danger from the Grigori. response:	I can be with you from now on.
context: The photo Fujimoto gave to me.\I had it with me all the time.\I wanted to hug the children Yuri died giving birth to.\But if your existence was revealed, the Vatican wouldn't stay silent.\That's why you couldn't come for us?\Exactly.\But now there is no more danger from the Grigori.\I can be with you from now on. response:	Wait!
context: I had it with me all the time.\I wanted to hug the children Yuri died giving birth to.\But if your existence was revealed, the Vatican wouldn't stay silent.\That's why you couldn't come for us?\Exactly.\But now there is no more danger from the Grigori.\I can be with you from now on.\Wait! response:	Why are you telling this only to me?
context: I wanted to hug the children Yuri died giving birth to.\But if your existence was revealed, the Vatican wouldn't stay silent.\That's why you couldn't come for us?\Exactly.\But now there is no more danger from the Grigori.\I can be with you from now on.\Wait!\Why are you telling this only to me? response:	What about my brother...
context: But if your existence was revealed, the Vatican wouldn't stay silent.\That's why you couldn't come for us?\Exactly.\But now there is no more danger from the Grigori.\I can be with you from now on.\Wait!\Why are you telling this only to me?\What about my brother... response:	Sadly the arrangements to take in Rin are not ready, because he awakened.
context: That's why you couldn't come for us?\Exactly.\But now there is no more danger from the Grigori.\I can be with you from now on.\Wait!\Why are you telling this only to me?\What about my brother...\Sadly the arrangements to take in Rin are not ready, because he awakened. response:	Take in? Where to?
context: Exactly.\But now there is no more danger from the Grigori.\I can be with you from now on.\Wait!\Why are you telling this only to me?\What about my brother...\Sadly the arrangements to take in Rin are not ready, because he awakened.\Take in? Where to? response:	What is this?
context: But now there is no more danger from the Grigori.\I can be with you from now on.\Wait!\Why are you telling this only to me?\What about my brother...\Sadly the arrangements to take in Rin are not ready, because he awakened.\Take in? Where to?\What is this? response:	The Dragoon Laboratory.
context: I can be with you from now on.\Wait!\Why are you telling this only to me?\What about my brother...\Sadly the arrangements to take in Rin are not ready, because he awakened.\Take in? Where to?\What is this?\The Dragoon Laboratory. response:	A factory of anti-demon weaponry.
context: Wait!\Why are you telling this only to me?\What about my brother...\Sadly the arrangements to take in Rin are not ready, because he awakened.\Take in? Where to?\What is this?\The Dragoon Laboratory.\A factory of anti-demon weaponry. response:	The Order of the True Cross has turned into Mephisto's puppet. They can't protect Assiah anymore.
context: Why are you telling this only to me?\What about my brother...\Sadly the arrangements to take in Rin are not ready, because he awakened.\Take in? Where to?\What is this?\The Dragoon Laboratory.\A factory of anti-demon weaponry.\The Order of the True Cross has turned into Mephisto's puppet. They can't protect Assiah anymore. response:	Join me, Yukio.
context: What about my brother...\Sadly the arrangements to take in Rin are not ready, because he awakened.\Take in? Where to?\What is this?\The Dragoon Laboratory.\A factory of anti-demon weaponry.\The Order of the True Cross has turned into Mephisto's puppet. They can't protect Assiah anymore.\Join me, Yukio. response:	For the sake of peace and the future of humanity, let us start a new age.
context: Sadly the arrangements to take in Rin are not ready, because he awakened.\Take in? Where to?\What is this?\The Dragoon Laboratory.\A factory of anti-demon weaponry.\The Order of the True Cross has turned into Mephisto's puppet. They can't protect Assiah anymore.\Join me, Yukio.\For the sake of peace and the future of humanity, let us start a new age. response:	How was the monastery?
context: Take in? Where to?\What is this?\The Dragoon Laboratory.\A factory of anti-demon weaponry.\The Order of the True Cross has turned into Mephisto's puppet. They can't protect Assiah anymore.\Join me, Yukio.\For the sake of peace and the future of humanity, let us start a new age.\How was the monastery? response:	Thanks to his flames, we could get rid of most of the web.
context: What is this?\The Dragoon Laboratory.\A factory of anti-demon weaponry.\The Order of the True Cross has turned into Mephisto's puppet. They can't protect Assiah anymore.\Join me, Yukio.\For the sake of peace and the future of humanity, let us start a new age.\How was the monastery?\Thanks to his flames, we could get rid of most of the web. response:	No one is hurt.
context: The Dragoon Laboratory.\A factory of anti-demon weaponry.\The Order of the True Cross has turned into Mephisto's puppet. They can't protect Assiah anymore.\Join me, Yukio.\For the sake of peace and the future of humanity, let us start a new age.\How was the monastery?\Thanks to his flames, we could get rid of most of the web.\No one is hurt. response:	Where's Yukio?
context: A factory of anti-demon weaponry.\The Order of the True Cross has turned into Mephisto's puppet. They can't protect Assiah anymore.\Join me, Yukio.\For the sake of peace and the future of humanity, let us start a new age.\How was the monastery?\Thanks to his flames, we could get rid of most of the web.\No one is hurt.\Where's Yukio? response:	He didn't come here.
context: The Order of the True Cross has turned into Mephisto's puppet. They can't protect Assiah anymore.\Join me, Yukio.\For the sake of peace and the future of humanity, let us start a new age.\How was the monastery?\Thanks to his flames, we could get rid of most of the web.\No one is hurt.\Where's Yukio?\He didn't come here. response:	And Professor Neuhaus?
context: Join me, Yukio.\For the sake of peace and the future of humanity, let us start a new age.\How was the monastery?\Thanks to his flames, we could get rid of most of the web.\No one is hurt.\Where's Yukio?\He didn't come here.\And Professor Neuhaus? response:	He's being questioned in the Great Cell.
context: For the sake of peace and the future of humanity, let us start a new age.\How was the monastery?\Thanks to his flames, we could get rid of most of the web.\No one is hurt.\Where's Yukio?\He didn't come here.\And Professor Neuhaus?\He's being questioned in the Great Cell. response:	I see.
context: How was the monastery?\Thanks to his flames, we could get rid of most of the web.\No one is hurt.\Where's Yukio?\He didn't come here.\And Professor Neuhaus?\He's being questioned in the Great Cell.\I see. response:	Where are you going?
context: Thanks to his flames, we could get rid of most of the web.\No one is hurt.\Where's Yukio?\He didn't come here.\And Professor Neuhaus?\He's being questioned in the Great Cell.\I see.\Where are you going? response:	I guess I have the right to listen, if nothing else.
context: No one is hurt.\Where's Yukio?\He didn't come here.\And Professor Neuhaus?\He's being questioned in the Great Cell.\I see.\Where are you going?\I guess I have the right to listen, if nothing else. response:	Hey...
context: Where's Yukio?\He didn't come here.\And Professor Neuhaus?\He's being questioned in the Great Cell.\I see.\Where are you going?\I guess I have the right to listen, if nothing else.\Hey... response:	Apparently Professor Neuhaus is on the Vatican's wanted list.
context: He didn't come here.\And Professor Neuhaus?\He's being questioned in the Great Cell.\I see.\Where are you going?\I guess I have the right to listen, if nothing else.\Hey...\Apparently Professor Neuhaus is on the Vatican's wanted list. response:	Seriously?
context: And Professor Neuhaus?\He's being questioned in the Great Cell.\I see.\Where are you going?\I guess I have the right to listen, if nothing else.\Hey...\Apparently Professor Neuhaus is on the Vatican's wanted list.\Seriously? response:	Even our Principal was arrested... What's going to happen to the Academy?
context: He's being questioned in the Great Cell.\I see.\Where are you going?\I guess I have the right to listen, if nothing else.\Hey...\Apparently Professor Neuhaus is on the Vatican's wanted list.\Seriously?\Even our Principal was arrested... What's going to happen to the Academy? response:	I told you already. She is my wife.
context: I see.\Where are you going?\I guess I have the right to listen, if nothing else.\Hey...\Apparently Professor Neuhaus is on the Vatican's wanted list.\Seriously?\Even our Principal was arrested... What's going to happen to the Academy?\I told you already. She is my wife. response:	But that web clearly originates from Gehenna.
context: Where are you going?\I guess I have the right to listen, if nothing else.\Hey...\Apparently Professor Neuhaus is on the Vatican's wanted list.\Seriously?\Even our Principal was arrested... What's going to happen to the Academy?\I told you already. She is my wife.\But that web clearly originates from Gehenna. response:	Are you telling me your wife was possessed by a demon?
context: I guess I have the right to listen, if nothing else.\Hey...\Apparently Professor Neuhaus is on the Vatican's wanted list.\Seriously?\Even our Principal was arrested... What's going to happen to the Academy?\I told you already. She is my wife.\But that web clearly originates from Gehenna.\Are you telling me your wife was possessed by a demon? response:	No.
context: Hey...\Apparently Professor Neuhaus is on the Vatican's wanted list.\Seriously?\Even our Principal was arrested... What's going to happen to the Academy?\I told you already. She is my wife.\But that web clearly originates from Gehenna.\Are you telling me your wife was possessed by a demon?\No. response:	Didn't you tell us so?
context: Apparently Professor Neuhaus is on the Vatican's wanted list.\Seriously?\Even our Principal was arrested... What's going to happen to the Academy?\I told you already. She is my wife.\But that web clearly originates from Gehenna.\Are you telling me your wife was possessed by a demon?\No.\Didn't you tell us so? response:	That your beloved family was killed by Satan.
context: Seriously?\Even our Principal was arrested... What's going to happen to the Academy?\I told you already. She is my wife.\But that web clearly originates from Gehenna.\Are you telling me your wife was possessed by a demon?\No.\Didn't you tell us so?\That your beloved family was killed by Satan. response:	Why would dead people walk around?
context: Even our Principal was arrested... What's going to happen to the Academy?\I told you already. She is my wife.\But that web clearly originates from Gehenna.\Are you telling me your wife was possessed by a demon?\No.\Didn't you tell us so?\That your beloved family was killed by Satan.\Why would dead people walk around? response:	Why is she attacking my friends?
context: I told you already. She is my wife.\But that web clearly originates from Gehenna.\Are you telling me your wife was possessed by a demon?\No.\Didn't you tell us so?\That your beloved family was killed by Satan.\Why would dead people walk around?\Why is she attacking my friends? response:	Answer me!
context: But that web clearly originates from Gehenna.\Are you telling me your wife was possessed by a demon?\No.\Didn't you tell us so?\That your beloved family was killed by Satan.\Why would dead people walk around?\Why is she attacking my friends?\Answer me! response:	You quickened her?
context: Are you telling me your wife was possessed by a demon?\No.\Didn't you tell us so?\That your beloved family was killed by Satan.\Why would dead people walk around?\Why is she attacking my friends?\Answer me!\You quickened her? response:	Quickened?
context: No.\Didn't you tell us so?\That your beloved family was killed by Satan.\Why would dead people walk around?\Why is she attacking my friends?\Answer me!\You quickened her?\Quickened? response:	It's a technique to bring back the dead.
context: Didn't you tell us so?\That your beloved family was killed by Satan.\Why would dead people walk around?\Why is she attacking my friends?\Answer me!\You quickened her?\Quickened?\It's a technique to bring back the dead. response:	I remember telling you that in class.
context: That your beloved family was killed by Satan.\Why would dead people walk around?\Why is she attacking my friends?\Answer me!\You quickened her?\Quickened?\It's a technique to bring back the dead.\I remember telling you that in class. response:	Ah, well...
context: Why would dead people walk around?\Why is she attacking my friends?\Answer me!\You quickened her?\Quickened?\It's a technique to bring back the dead.\I remember telling you that in class.\Ah, well... response:	You worked as the head of an artificial life research facility in Poland.
context: Why is she attacking my friends?\Answer me!\You quickened her?\Quickened?\It's a technique to bring back the dead.\I remember telling you that in class.\Ah, well...\You worked as the head of an artificial life research facility in Poland. response:	It's pointless to play dumb.
context: Answer me!\You quickened her?\Quickened?\It's a technique to bring back the dead.\I remember telling you that in class.\Ah, well...\You worked as the head of an artificial life research facility in Poland.\It's pointless to play dumb. response:	You used that technology and resurrected your dead wife.
context: You quickened her?\Quickened?\It's a technique to bring back the dead.\I remember telling you that in class.\Ah, well...\You worked as the head of an artificial life research facility in Poland.\It's pointless to play dumb.\You used that technology and resurrected your dead wife. response:	It wasn't me.
context: Quickened?\It's a technique to bring back the dead.\I remember telling you that in class.\Ah, well...\You worked as the head of an artificial life research facility in Poland.\It's pointless to play dumb.\You used that technology and resurrected your dead wife.\It wasn't me. response:	I did deep freeze and preserve her corpse.
context: It's a technique to bring back the dead.\I remember telling you that in class.\Ah, well...\You worked as the head of an artificial life research facility in Poland.\It's pointless to play dumb.\You used that technology and resurrected your dead wife.\It wasn't me.\I did deep freeze and preserve her corpse. response:	But I didn't revive her.
context: I remember telling you that in class.\Ah, well...\You worked as the head of an artificial life research facility in Poland.\It's pointless to play dumb.\You used that technology and resurrected your dead wife.\It wasn't me.\I did deep freeze and preserve her corpse.\But I didn't revive her. response:	If you cross that line, the Gates of Heaven will close forever.
context: Ah, well...\You worked as the head of an artificial life research facility in Poland.\It's pointless to play dumb.\You used that technology and resurrected your dead wife.\It wasn't me.\I did deep freeze and preserve her corpse.\But I didn't revive her.\If you cross that line, the Gates of Heaven will close forever. response:	Then who did it?
context: You worked as the head of an artificial life research facility in Poland.\It's pointless to play dumb.\You used that technology and resurrected your dead wife.\It wasn't me.\I did deep freeze and preserve her corpse.\But I didn't revive her.\If you cross that line, the Gates of Heaven will close forever.\Then who did it? response:	I don't know. But one day...
context: It's pointless to play dumb.\You used that technology and resurrected your dead wife.\It wasn't me.\I did deep freeze and preserve her corpse.\But I didn't revive her.\If you cross that line, the Gates of Heaven will close forever.\Then who did it?\I don't know. But one day... response:	When I got back to the facility, her hibernation capsule was open.
context: You used that technology and resurrected your dead wife.\It wasn't me.\I did deep freeze and preserve her corpse.\But I didn't revive her.\If you cross that line, the Gates of Heaven will close forever.\Then who did it?\I don't know. But one day...\When I got back to the facility, her hibernation capsule was open. response:	Michelle!
context: It wasn't me.\I did deep freeze and preserve her corpse.\But I didn't revive her.\If you cross that line, the Gates of Heaven will close forever.\Then who did it?\I don't know. But one day...\When I got back to the facility, her hibernation capsule was open.\Michelle! response:	I knew that a demon had possessed the corpse of my wife.
context: I did deep freeze and preserve her corpse.\But I didn't revive her.\If you cross that line, the Gates of Heaven will close forever.\Then who did it?\I don't know. But one day...\When I got back to the facility, her hibernation capsule was open.\Michelle!\I knew that a demon had possessed the corpse of my wife. response:	But I couldn't make my beloved Michelle suffer death again.
context: But I didn't revive her.\If you cross that line, the Gates of Heaven will close forever.\Then who did it?\I don't know. But one day...\When I got back to the facility, her hibernation capsule was open.\Michelle!\I knew that a demon had possessed the corpse of my wife.\But I couldn't make my beloved Michelle suffer death again. response:	Michelle!
context: If you cross that line, the Gates of Heaven will close forever.\Then who did it?\I don't know. But one day...\When I got back to the facility, her hibernation capsule was open.\Michelle!\I knew that a demon had possessed the corpse of my wife.\But I couldn't make my beloved Michelle suffer death again.\Michelle! response:	Igor Neuhaus!
context: Then who did it?\I don't know. But one day...\When I got back to the facility, her hibernation capsule was open.\Michelle!\I knew that a demon had possessed the corpse of my wife.\But I couldn't make my beloved Michelle suffer death again.\Michelle!\Igor Neuhaus! response:	You are arrested for artificial life research and performing quickening!
