context: What was that? response:	Wouldn't it be in the Alliance's best interests to ally ourselves with that mage Siluca?
context: The earl says he has no intention of meeting with you now.\I know that your bid to join the Alliance fell through,\but you have some nerve to show up here!\When Plan A doesn't work out, the only option is to go with Plan B.\If Lord Theo manages to survive, the Kreische family's prestige will be sullied,\and that will allow us to hold back the Alliance's resolve.\Do you really think saving your Lord will help the earl?\No. response:	If he does not, then it won't be long before the earl is destroyed.
context: I know that your bid to join the Alliance fell through,\but you have some nerve to show up here!\When Plan A doesn't work out, the only option is to go with Plan B.\If Lord Theo manages to survive, the Kreische family's prestige will be sullied,\and that will allow us to hold back the Alliance's resolve.\Do you really think saving your Lord will help the earl?\No.\If he does not, then it won't be long before the earl is destroyed. response:	You little brat!
context: but you have some nerve to show up here!\When Plan A doesn't work out, the only option is to go with Plan B.\If Lord Theo manages to survive, the Kreische family's prestige will be sullied,\and that will allow us to hold back the Alliance's resolve.\Do you really think saving your Lord will help the earl?\No.\If he does not, then it won't be long before the earl is destroyed.\You little brat! response:	Lord Villar is a capable warrior, and won't lose easily to the Lords of the Alliance.
context: When Plan A doesn't work out, the only option is to go with Plan B.\If Lord Theo manages to survive, the Kreische family's prestige will be sullied,\and that will allow us to hold back the Alliance's resolve.\Do you really think saving your Lord will help the earl?\No.\If he does not, then it won't be long before the earl is destroyed.\You little brat!\Lord Villar is a capable warrior, and won't lose easily to the Lords of the Alliance. response:	You mean that Lustful Earl
context: If Lord Theo manages to survive, the Kreische family's prestige will be sullied,\and that will allow us to hold back the Alliance's resolve.\Do you really think saving your Lord will help the earl?\No.\If he does not, then it won't be long before the earl is destroyed.\You little brat!\Lord Villar is a capable warrior, and won't lose easily to the Lords of the Alliance.\You mean that Lustful Earl response:	Lord Villar is well aware of what those at the Magic Academy call him.
context: and that will allow us to hold back the Alliance's resolve.\Do you really think saving your Lord will help the earl?\No.\If he does not, then it won't be long before the earl is destroyed.\You little brat!\Lord Villar is a capable warrior, and won't lose easily to the Lords of the Alliance.\You mean that Lustful Earl\Lord Villar is well aware of what those at the Magic Academy call him. response:	However, there are many in Artuk who believe in witchcraft.
context: Do you really think saving your Lord will help the earl?\No.\If he does not, then it won't be long before the earl is destroyed.\You little brat!\Lord Villar is a capable warrior, and won't lose easily to the Lords of the Alliance.\You mean that Lustful Earl\Lord Villar is well aware of what those at the Magic Academy call him.\However, there are many in Artuk who believe in witchcraft. response:	And it's out of consideration for his people that the earl contracts with female mages.
context: No.\If he does not, then it won't be long before the earl is destroyed.\You little brat!\Lord Villar is a capable warrior, and won't lose easily to the Lords of the Alliance.\You mean that Lustful Earl\Lord Villar is well aware of what those at the Magic Academy call him.\However, there are many in Artuk who believe in witchcraft.\And it's out of consideration for his people that the earl contracts with female mages. response:	But I hear he dissolves those contracts once they're past 25.
context: If he does not, then it won't be long before the earl is destroyed.\You little brat!\Lord Villar is a capable warrior, and won't lose easily to the Lords of the Alliance.\You mean that Lustful Earl\Lord Villar is well aware of what those at the Magic Academy call him.\However, there are many in Artuk who believe in witchcraft.\And it's out of consideration for his people that the earl contracts with female mages.\But I hear he dissolves those contracts once they're past 25. response:	If they were bound for their entire lives, they could never marry nor bear children.
context: You little brat!\Lord Villar is a capable warrior, and won't lose easily to the Lords of the Alliance.\You mean that Lustful Earl\Lord Villar is well aware of what those at the Magic Academy call him.\However, there are many in Artuk who believe in witchcraft.\And it's out of consideration for his people that the earl contracts with female mages.\But I hear he dissolves those contracts once they're past 25.\If they were bound for their entire lives, they could never marry nor bear children. response:	The earl would pity anyone who ended up that way.
context: Lord Villar is a capable warrior, and won't lose easily to the Lords of the Alliance.\You mean that Lustful Earl\Lord Villar is well aware of what those at the Magic Academy call him.\However, there are many in Artuk who believe in witchcraft.\And it's out of consideration for his people that the earl contracts with female mages.\But I hear he dissolves those contracts once they're past 25.\If they were bound for their entire lives, they could never marry nor bear children.\The earl would pity anyone who ended up that way. response:	The Margrave of Valdrind will be launching an attack on us with the King of Savis.
context: You mean that Lustful Earl\Lord Villar is well aware of what those at the Magic Academy call him.\However, there are many in Artuk who believe in witchcraft.\And it's out of consideration for his people that the earl contracts with female mages.\But I hear he dissolves those contracts once they're past 25.\If they were bound for their entire lives, they could never marry nor bear children.\The earl would pity anyone who ended up that way.\The Margrave of Valdrind will be launching an attack on us with the King of Savis. response:	And we will counterattack from this castle.
context: Lord Villar is well aware of what those at the Magic Academy call him.\However, there are many in Artuk who believe in witchcraft.\And it's out of consideration for his people that the earl contracts with female mages.\But I hear he dissolves those contracts once they're past 25.\If they were bound for their entire lives, they could never marry nor bear children.\The earl would pity anyone who ended up that way.\The Margrave of Valdrind will be launching an attack on us with the King of Savis.\And we will counterattack from this castle. response:	They have at least 20,000 troops on their side.
context: However, there are many in Artuk who believe in witchcraft.\And it's out of consideration for his people that the earl contracts with female mages.\But I hear he dissolves those contracts once they're past 25.\If they were bound for their entire lives, they could never marry nor bear children.\The earl would pity anyone who ended up that way.\The Margrave of Valdrind will be launching an attack on us with the King of Savis.\And we will counterattack from this castle.\They have at least 20,000 troops on their side. response:	And we've got maybe 3,000?
context: And it's out of consideration for his people that the earl contracts with female mages.\But I hear he dissolves those contracts once they're past 25.\If they were bound for their entire lives, they could never marry nor bear children.\The earl would pity anyone who ended up that way.\The Margrave of Valdrind will be launching an attack on us with the King of Savis.\And we will counterattack from this castle.\They have at least 20,000 troops on their side.\And we've got maybe 3,000? response:	Not only that, but we're up against Valdrind's knights-at-arms, eh?
context: But I hear he dissolves those contracts once they're past 25.\If they were bound for their entire lives, they could never marry nor bear children.\The earl would pity anyone who ended up that way.\The Margrave of Valdrind will be launching an attack on us with the King of Savis.\And we will counterattack from this castle.\They have at least 20,000 troops on their side.\And we've got maybe 3,000?\Not only that, but we're up against Valdrind's knights-at-arms, eh? response:	Confronting them head-on won't get us anywhere!
context: If they were bound for their entire lives, they could never marry nor bear children.\The earl would pity anyone who ended up that way.\The Margrave of Valdrind will be launching an attack on us with the King of Savis.\And we will counterattack from this castle.\They have at least 20,000 troops on their side.\And we've got maybe 3,000?\Not only that, but we're up against Valdrind's knights-at-arms, eh?\Confronting them head-on won't get us anywhere! response:	Right, so that's why we're going for a siege.
context: The earl would pity anyone who ended up that way.\The Margrave of Valdrind will be launching an attack on us with the King of Savis.\And we will counterattack from this castle.\They have at least 20,000 troops on their side.\And we've got maybe 3,000?\Not only that, but we're up against Valdrind's knights-at-arms, eh?\Confronting them head-on won't get us anywhere!\Right, so that's why we're going for a siege. response:	Sir Lassic will take the West Gate.
context: The Margrave of Valdrind will be launching an attack on us with the King of Savis.\And we will counterattack from this castle.\They have at least 20,000 troops on their side.\And we've got maybe 3,000?\Not only that, but we're up against Valdrind's knights-at-arms, eh?\Confronting them head-on won't get us anywhere!\Right, so that's why we're going for a siege.\Sir Lassic will take the West Gate. response:	Sir Neyman, the East Gate.
context: And we will counterattack from this castle.\They have at least 20,000 troops on their side.\And we've got maybe 3,000?\Not only that, but we're up against Valdrind's knights-at-arms, eh?\Confronting them head-on won't get us anywhere!\Right, so that's why we're going for a siege.\Sir Lassic will take the West Gate.\Sir Neyman, the East Gate. response:	And Aishela and the mercenaries, please defend the south front gate.
context: They have at least 20,000 troops on their side.\And we've got maybe 3,000?\Not only that, but we're up against Valdrind's knights-at-arms, eh?\Confronting them head-on won't get us anywhere!\Right, so that's why we're going for a siege.\Sir Lassic will take the West Gate.\Sir Neyman, the East Gate.\And Aishela and the mercenaries, please defend the south front gate. response:	If they see we're a force to be reckoned with, even if we end up surrendering,
context: And we've got maybe 3,000?\Not only that, but we're up against Valdrind's knights-at-arms, eh?\Confronting them head-on won't get us anywhere!\Right, so that's why we're going for a siege.\Sir Lassic will take the West Gate.\Sir Neyman, the East Gate.\And Aishela and the mercenaries, please defend the south front gate.\If they see we're a force to be reckoned with, even if we end up surrendering, response:	we can get them to meet some of our conditions!
context: Not only that, but we're up against Valdrind's knights-at-arms, eh?\Confronting them head-on won't get us anywhere!\Right, so that's why we're going for a siege.\Sir Lassic will take the West Gate.\Sir Neyman, the East Gate.\And Aishela and the mercenaries, please defend the south front gate.\If they see we're a force to be reckoned with, even if we end up surrendering,\we can get them to meet some of our conditions! response:	Let's all work a miracle!
context: Confronting them head-on won't get us anywhere!\Right, so that's why we're going for a siege.\Sir Lassic will take the West Gate.\Sir Neyman, the East Gate.\And Aishela and the mercenaries, please defend the south front gate.\If they see we're a force to be reckoned with, even if we end up surrendering,\we can get them to meet some of our conditions!\Let's all work a miracle! response:	Yeah!
context: Right, so that's why we're going for a siege.\Sir Lassic will take the West Gate.\Sir Neyman, the East Gate.\And Aishela and the mercenaries, please defend the south front gate.\If they see we're a force to be reckoned with, even if we end up surrendering,\we can get them to meet some of our conditions!\Let's all work a miracle!\Yeah! response:	They're not at full strength?
context: Sir Lassic will take the West Gate.\Sir Neyman, the East Gate.\And Aishela and the mercenaries, please defend the south front gate.\If they see we're a force to be reckoned with, even if we end up surrendering,\we can get them to meet some of our conditions!\Let's all work a miracle!\Yeah!\They're not at full strength? response:	Are they wary of reinforcements sent by the Earl of Artuk?
context: Sir Neyman, the East Gate.\And Aishela and the mercenaries, please defend the south front gate.\If they see we're a force to be reckoned with, even if we end up surrendering,\we can get them to meet some of our conditions!\Let's all work a miracle!\Yeah!\They're not at full strength?\Are they wary of reinforcements sent by the Earl of Artuk? response:	But they have no way of knowing that our talks broke down.
context: And Aishela and the mercenaries, please defend the south front gate.\If they see we're a force to be reckoned with, even if we end up surrendering,\we can get them to meet some of our conditions!\Let's all work a miracle!\Yeah!\They're not at full strength?\Are they wary of reinforcements sent by the Earl of Artuk?\But they have no way of knowing that our talks broke down. response:	I'm counting on you, everyone...
context: If they see we're a force to be reckoned with, even if we end up surrendering,\we can get them to meet some of our conditions!\Let's all work a miracle!\Yeah!\They're not at full strength?\Are they wary of reinforcements sent by the Earl of Artuk?\But they have no way of knowing that our talks broke down.\I'm counting on you, everyone... response:	Commence attack!
context: we can get them to meet some of our conditions!\Let's all work a miracle!\Yeah!\They're not at full strength?\Are they wary of reinforcements sent by the Earl of Artuk?\But they have no way of knowing that our talks broke down.\I'm counting on you, everyone...\Commence attack! response:	We won't hold out for too long, eh?
context: Let's all work a miracle!\Yeah!\They're not at full strength?\Are they wary of reinforcements sent by the Earl of Artuk?\But they have no way of knowing that our talks broke down.\I'm counting on you, everyone...\Commence attack!\We won't hold out for too long, eh? response:	Everyone, withdraw! Wait for Siluca's orders!
context: Yeah!\They're not at full strength?\Are they wary of reinforcements sent by the Earl of Artuk?\But they have no way of knowing that our talks broke down.\I'm counting on you, everyone...\Commence attack!\We won't hold out for too long, eh?\Everyone, withdraw! Wait for Siluca's orders! response:	Allow me to guide you...
context: They're not at full strength?\Are they wary of reinforcements sent by the Earl of Artuk?\But they have no way of knowing that our talks broke down.\I'm counting on you, everyone...\Commence attack!\We won't hold out for too long, eh?\Everyone, withdraw! Wait for Siluca's orders!\Allow me to guide you... response:	Aishela!
context: Are they wary of reinforcements sent by the Earl of Artuk?\But they have no way of knowing that our talks broke down.\I'm counting on you, everyone...\Commence attack!\We won't hold out for too long, eh?\Everyone, withdraw! Wait for Siluca's orders!\Allow me to guide you...\Aishela! response:	Are you all right?
context: But they have no way of knowing that our talks broke down.\I'm counting on you, everyone...\Commence attack!\We won't hold out for too long, eh?\Everyone, withdraw! Wait for Siluca's orders!\Allow me to guide you...\Aishela!\Are you all right? response:	I think my number's up.
context: I'm counting on you, everyone...\Commence attack!\We won't hold out for too long, eh?\Everyone, withdraw! Wait for Siluca's orders!\Allow me to guide you...\Aishela!\Are you all right?\I think my number's up. response:	I'm going ahead of you,
context: Commence attack!\We won't hold out for too long, eh?\Everyone, withdraw! Wait for Siluca's orders!\Allow me to guide you...\Aishela!\Are you all right?\I think my number's up.\I'm going ahead of you, response:	but you don't have to come, okay?
context: We won't hold out for too long, eh?\Everyone, withdraw! Wait for Siluca's orders!\Allow me to guide you...\Aishela!\Are you all right?\I think my number's up.\I'm going ahead of you,\but you don't have to come, okay? response:	Aishela!
context: Everyone, withdraw! Wait for Siluca's orders!\Allow me to guide you...\Aishela!\Are you all right?\I think my number's up.\I'm going ahead of you,\but you don't have to come, okay?\Aishela! response:	Don't die on me! Open your eyes!
context: Allow me to guide you...\Aishela!\Are you all right?\I think my number's up.\I'm going ahead of you,\but you don't have to come, okay?\Aishela!\Don't die on me! Open your eyes! response:	I will heal that person.
context: Aishela!\Are you all right?\I think my number's up.\I'm going ahead of you,\but you don't have to come, okay?\Aishela!\Don't die on me! Open your eyes!\I will heal that person. response:	You still have a mission to fulfill.
context: Are you all right?\I think my number's up.\I'm going ahead of you,\but you don't have to come, okay?\Aishela!\Don't die on me! Open your eyes!\I will heal that person.\You still have a mission to fulfill. response:	You must remain on this land.
context: I think my number's up.\I'm going ahead of you,\but you don't have to come, okay?\Aishela!\Don't die on me! Open your eyes!\I will heal that person.\You still have a mission to fulfill.\You must remain on this land. response:	Take care of Aishela.
context: I'm going ahead of you,\but you don't have to come, okay?\Aishela!\Don't die on me! Open your eyes!\I will heal that person.\You still have a mission to fulfill.\You must remain on this land.\Take care of Aishela. response:	Now!
context: but you don't have to come, okay?\Aishela!\Don't die on me! Open your eyes!\I will heal that person.\You still have a mission to fulfill.\You must remain on this land.\Take care of Aishela.\Now! response:	Let's go!
context: Aishela!\Don't die on me! Open your eyes!\I will heal that person.\You still have a mission to fulfill.\You must remain on this land.\Take care of Aishela.\Now!\Let's go! response:	Fall back! Fall back!
context: Don't die on me! Open your eyes!\I will heal that person.\You still have a mission to fulfill.\You must remain on this land.\Take care of Aishela.\Now!\Let's go!\Fall back! Fall back! response:	Lord Theo!
context: I will heal that person.\You still have a mission to fulfill.\You must remain on this land.\Take care of Aishela.\Now!\Let's go!\Fall back! Fall back!\Lord Theo! response:	We held them off somehow, huh?
context: You still have a mission to fulfill.\You must remain on this land.\Take care of Aishela.\Now!\Let's go!\Fall back! Fall back!\Lord Theo!\We held them off somehow, huh? response:	Yeah.
context: You must remain on this land.\Take care of Aishela.\Now!\Let's go!\Fall back! Fall back!\Lord Theo!\We held them off somehow, huh?\Yeah. response:	Lord Theo!
context: Take care of Aishela.\Now!\Let's go!\Fall back! Fall back!\Lord Theo!\We held them off somehow, huh?\Yeah.\Lord Theo! response:	Here is the latest.
context: Now!\Let's go!\Fall back! Fall back!\Lord Theo!\We held them off somehow, huh?\Yeah.\Lord Theo!\Here is the latest. response:	Sir Neyman was killed in action at the East Gate.
context: Let's go!\Fall back! Fall back!\Lord Theo!\We held them off somehow, huh?\Yeah.\Lord Theo!\Here is the latest.\Sir Neyman was killed in action at the East Gate. response:	Sir Neyman?
context: Fall back! Fall back!\Lord Theo!\We held them off somehow, huh?\Yeah.\Lord Theo!\Here is the latest.\Sir Neyman was killed in action at the East Gate.\Sir Neyman? response:	No way...
context: Lord Theo!\We held them off somehow, huh?\Yeah.\Lord Theo!\Here is the latest.\Sir Neyman was killed in action at the East Gate.\Sir Neyman?\No way... response:	They're struggling at the West Gate. It's been breached, and Sir Lassic is retreating.
context: We held them off somehow, huh?\Yeah.\Lord Theo!\Here is the latest.\Sir Neyman was killed in action at the East Gate.\Sir Neyman?\No way...\They're struggling at the West Gate. It's been breached, and Sir Lassic is retreating. response:	Even Lassic?
context: Yeah.\Lord Theo!\Here is the latest.\Sir Neyman was killed in action at the East Gate.\Sir Neyman?\No way...\They're struggling at the West Gate. It's been breached, and Sir Lassic is retreating.\Even Lassic? response:	Irvin! Captain Gluck!
context: Lord Theo!\Here is the latest.\Sir Neyman was killed in action at the East Gate.\Sir Neyman?\No way...\They're struggling at the West Gate. It's been breached, and Sir Lassic is retreating.\Even Lassic?\Irvin! Captain Gluck! response:	Fall back! Retreat to the castle!
context: Here is the latest.\Sir Neyman was killed in action at the East Gate.\Sir Neyman?\No way...\They're struggling at the West Gate. It's been breached, and Sir Lassic is retreating.\Even Lassic?\Irvin! Captain Gluck!\Fall back! Retreat to the castle! response:	Everyone attack!
context: Sir Neyman was killed in action at the East Gate.\Sir Neyman?\No way...\They're struggling at the West Gate. It's been breached, and Sir Lassic is retreating.\Even Lassic?\Irvin! Captain Gluck!\Fall back! Retreat to the castle!\Everyone attack! response:	Sir Lassic, I think it's time.
context: Sir Neyman?\No way...\They're struggling at the West Gate. It's been breached, and Sir Lassic is retreating.\Even Lassic?\Irvin! Captain Gluck!\Fall back! Retreat to the castle!\Everyone attack!\Sir Lassic, I think it's time. response:	Change of plans! We counterattack here!
context: No way...\They're struggling at the West Gate. It's been breached, and Sir Lassic is retreating.\Even Lassic?\Irvin! Captain Gluck!\Fall back! Retreat to the castle!\Everyone attack!\Sir Lassic, I think it's time.\Change of plans! We counterattack here! response:	If it's one-on-one, Lassic can't be beaten.
context: They're struggling at the West Gate. It's been breached, and Sir Lassic is retreating.\Even Lassic?\Irvin! Captain Gluck!\Fall back! Retreat to the castle!\Everyone attack!\Sir Lassic, I think it's time.\Change of plans! We counterattack here!\If it's one-on-one, Lassic can't be beaten. response:	Fall back!
context: Even Lassic?\Irvin! Captain Gluck!\Fall back! Retreat to the castle!\Everyone attack!\Sir Lassic, I think it's time.\Change of plans! We counterattack here!\If it's one-on-one, Lassic can't be beaten.\Fall back! response:	We'll overwhelm them with numbers where there's more room!
context: Irvin! Captain Gluck!\Fall back! Retreat to the castle!\Everyone attack!\Sir Lassic, I think it's time.\Change of plans! We counterattack here!\If it's one-on-one, Lassic can't be beaten.\Fall back!\We'll overwhelm them with numbers where there's more room! response:	Wha...
context: Fall back! Retreat to the castle!\Everyone attack!\Sir Lassic, I think it's time.\Change of plans! We counterattack here!\If it's one-on-one, Lassic can't be beaten.\Fall back!\We'll overwhelm them with numbers where there's more room!\Wha... response:	They're cutting off our retreat?
context: Everyone attack!\Sir Lassic, I think it's time.\Change of plans! We counterattack here!\If it's one-on-one, Lassic can't be beaten.\Fall back!\We'll overwhelm them with numbers where there's more room!\Wha...\They're cutting off our retreat? response:	Give me that!
