context: Edolas, the homeland of Carla and myself! response:	I'm glad we made it there to search for our missing friends,
context: Who the hell are you?\What the hell are you doing sneaking around under there?\What's wrong with everyone?\Lucy-san is scary...\Natsu?\Now I take a closer look at ya, you're Natsu!\Natsu, she says?\What's with the outfit? response:	Natsu... Where have you...
context: What the hell are you doing sneaking around under there?\What's wrong with everyone?\Lucy-san is scary...\Natsu?\Now I take a closer look at ya, you're Natsu!\Natsu, she says?\What's with the outfit?\Natsu... Where have you... response:	Where have you been this whole time?
context: What's wrong with everyone?\Lucy-san is scary...\Natsu?\Now I take a closer look at ya, you're Natsu!\Natsu, she says?\What's with the outfit?\Natsu... Where have you...\Where have you been this whole time? response:	You had me worried, damn it!
context: Lucy-san is scary...\Natsu?\Now I take a closer look at ya, you're Natsu!\Natsu, she says?\What's with the outfit?\Natsu... Where have you...\Where have you been this whole time?\You had me worried, damn it! response:	Fairy Hunting.
context: Natsu?\Now I take a closer look at ya, you're Natsu!\Natsu, she says?\What's with the outfit?\Natsu... Where have you...\Where have you been this whole time?\You had me worried, damn it!\Fairy Hunting. response:	Lucy?
context: Now I take a closer look at ya, you're Natsu!\Natsu, she says?\What's with the outfit?\Natsu... Where have you...\Where have you been this whole time?\You had me worried, damn it!\Fairy Hunting.\Lucy? response:	Capital Punishment!
context: Natsu, she says?\What's with the outfit?\Natsu... Where have you...\Where have you been this whole time?\You had me worried, damn it!\Fairy Hunting.\Lucy?\Capital Punishment! response:	There it is!
context: What's with the outfit?\Natsu... Where have you...\Where have you been this whole time?\You had me worried, damn it!\Fairy Hunting.\Lucy?\Capital Punishment!\There it is! response:	The Screwdrive Crush!
context: Natsu... Where have you...\Where have you been this whole time?\You had me worried, damn it!\Fairy Hunting.\Lucy?\Capital Punishment!\There it is!\The Screwdrive Crush! response:	Natsu-san!
context: Where have you been this whole time?\You had me worried, damn it!\Fairy Hunting.\Lucy?\Capital Punishment!\There it is!\The Screwdrive Crush!\Natsu-san! response:	It's not nice to pick on him like that...
context: You had me worried, damn it!\Fairy Hunting.\Lucy?\Capital Punishment!\There it is!\The Screwdrive Crush!\Natsu-san!\It's not nice to pick on him like that... response:	I can't believe that's actually Cana!
context: Fairy Hunting.\Lucy?\Capital Punishment!\There it is!\The Screwdrive Crush!\Natsu-san!\It's not nice to pick on him like that...\I can't believe that's actually Cana! response:	And over here, too! I can't believe that's actually Elfman!
context: Lucy?\Capital Punishment!\There it is!\The Screwdrive Crush!\Natsu-san!\It's not nice to pick on him like that...\I can't believe that's actually Cana!\And over here, too! I can't believe that's actually Elfman! response:	How long are ya gonna keep sobbing, you wimp!
context: Capital Punishment!\There it is!\The Screwdrive Crush!\Natsu-san!\It's not nice to pick on him like that...\I can't believe that's actually Cana!\And over here, too! I can't believe that's actually Elfman!\How long are ya gonna keep sobbing, you wimp! response:	I'm so sorry!
context: There it is!\The Screwdrive Crush!\Natsu-san!\It's not nice to pick on him like that...\I can't believe that's actually Cana!\And over here, too! I can't believe that's actually Elfman!\How long are ya gonna keep sobbing, you wimp!\I'm so sorry! response:	I don't get this at all!
context: The Screwdrive Crush!\Natsu-san!\It's not nice to pick on him like that...\I can't believe that's actually Cana!\And over here, too! I can't believe that's actually Elfman!\How long are ya gonna keep sobbing, you wimp!\I'm so sorry!\I don't get this at all! response:	What in the world is going on?
context: Natsu-san!\It's not nice to pick on him like that...\I can't believe that's actually Cana!\And over here, too! I can't believe that's actually Elfman!\How long are ya gonna keep sobbing, you wimp!\I'm so sorry!\I don't get this at all!\What in the world is going on? response:	Well, at least I'm glad you're safe.
context: It's not nice to pick on him like that...\I can't believe that's actually Cana!\And over here, too! I can't believe that's actually Elfman!\How long are ya gonna keep sobbing, you wimp!\I'm so sorry!\I don't get this at all!\What in the world is going on?\Well, at least I'm glad you're safe. response:	Right, Juvia-chan?
context: I can't believe that's actually Cana!\And over here, too! I can't believe that's actually Elfman!\How long are ya gonna keep sobbing, you wimp!\I'm so sorry!\I don't get this at all!\What in the world is going on?\Well, at least I'm glad you're safe.\Right, Juvia-chan? response:	Shut up.
context: And over here, too! I can't believe that's actually Elfman!\How long are ya gonna keep sobbing, you wimp!\I'm so sorry!\I don't get this at all!\What in the world is going on?\Well, at least I'm glad you're safe.\Right, Juvia-chan?\Shut up. response:	Is this all the effect of Edolas?
context: How long are ya gonna keep sobbing, you wimp!\I'm so sorry!\I don't get this at all!\What in the world is going on?\Well, at least I'm glad you're safe.\Right, Juvia-chan?\Shut up.\Is this all the effect of Edolas? response:	Is everything and everyone completely backwards?
context: I'm so sorry!\I don't get this at all!\What in the world is going on?\Well, at least I'm glad you're safe.\Right, Juvia-chan?\Shut up.\Is this all the effect of Edolas?\Is everything and everyone completely backwards? response:	Mira's the same as always.
context: I don't get this at all!\What in the world is going on?\Well, at least I'm glad you're safe.\Right, Juvia-chan?\Shut up.\Is this all the effect of Edolas?\Is everything and everyone completely backwards?\Mira's the same as always. response:	Well, that's unexpectedly boring.
context: What in the world is going on?\Well, at least I'm glad you're safe.\Right, Juvia-chan?\Shut up.\Is this all the effect of Edolas?\Is everything and everyone completely backwards?\Mira's the same as always.\Well, that's unexpectedly boring. response:	By the way...
context: Well, at least I'm glad you're safe.\Right, Juvia-chan?\Shut up.\Is this all the effect of Edolas?\Is everything and everyone completely backwards?\Mira's the same as always.\Well, that's unexpectedly boring.\By the way... response:	Who are the girl and those cats?
context: Right, Juvia-chan?\Shut up.\Is this all the effect of Edolas?\Is everything and everyone completely backwards?\Mira's the same as always.\Well, that's unexpectedly boring.\By the way...\Who are the girl and those cats? response:	Cats?
context: Shut up.\Is this all the effect of Edolas?\Is everything and everyone completely backwards?\Mira's the same as always.\Well, that's unexpectedly boring.\By the way...\Who are the girl and those cats?\Cats? response:	Cats?!
context: Is this all the effect of Edolas?\Is everything and everyone completely backwards?\Mira's the same as always.\Well, that's unexpectedly boring.\By the way...\Who are the girl and those cats?\Cats?\Cats?! response:	There are cats here!
context: Is everything and everyone completely backwards?\Mira's the same as always.\Well, that's unexpectedly boring.\By the way...\Who are the girl and those cats?\Cats?\Cats?!\There are cats here! response:	Cats?!
context: Mira's the same as always.\Well, that's unexpectedly boring.\By the way...\Who are the girl and those cats?\Cats?\Cats?!\There are cats here!\Cats?! response:	What's the meaning of this?
context: Well, that's unexpectedly boring.\By the way...\Who are the girl and those cats?\Cats?\Cats?!\There are cats here!\Cats?!\What's the meaning of this? response:	Why are Exceeds here in a place like this?
context: By the way...\Who are the girl and those cats?\Cats?\Cats?!\There are cats here!\Cats?!\What's the meaning of this?\Why are Exceeds here in a place like this? response:	Exceeds?
context: Who are the girl and those cats?\Cats?\Cats?!\There are cats here!\Cats?!\What's the meaning of this?\Why are Exceeds here in a place like this?\Exceeds? response:	W-What?
context: Cats?\Cats?!\There are cats here!\Cats?!\What's the meaning of this?\Why are Exceeds here in a place like this?\Exceeds?\W-What? response:	What's going on here?
context: Cats?!\There are cats here!\Cats?!\What's the meaning of this?\Why are Exceeds here in a place like this?\Exceeds?\W-What?\What's going on here? response:	Why is everyone so scared when they hear the word Exceed?
context: There are cats here!\Cats?!\What's the meaning of this?\Why are Exceeds here in a place like this?\Exceeds?\W-What?\What's going on here?\Why is everyone so scared when they hear the word Exceed? response:	What's an Exceed?
context: Cats?!\What's the meaning of this?\Why are Exceeds here in a place like this?\Exceeds?\W-What?\What's going on here?\Why is everyone so scared when they hear the word Exceed?\What's an Exceed? response:	Carla...
context: What's the meaning of this?\Why are Exceeds here in a place like this?\Exceeds?\W-What?\What's going on here?\Why is everyone so scared when they hear the word Exceed?\What's an Exceed?\Carla... response:	Phew, it was getting really hot.
context: Why are Exceeds here in a place like this?\Exceeds?\W-What?\What's going on here?\Why is everyone so scared when they hear the word Exceed?\What's an Exceed?\Carla...\Phew, it was getting really hot. response:	You really look just like them.
context: Exceeds?\W-What?\What's going on here?\Why is everyone so scared when they hear the word Exceed?\What's an Exceed?\Carla...\Phew, it was getting really hot.\You really look just like them. response:	You two look like Exceeds!
context: W-What?\What's going on here?\Why is everyone so scared when they hear the word Exceed?\What's an Exceed?\Carla...\Phew, it was getting really hot.\You really look just like them.\You two look like Exceeds! response:	Uh, do they look like them?
context: What's going on here?\Why is everyone so scared when they hear the word Exceed?\What's an Exceed?\Carla...\Phew, it was getting really hot.\You really look just like them.\You two look like Exceeds!\Uh, do they look like them? response:	Or are they actually real ones?
context: Why is everyone so scared when they hear the word Exceed?\What's an Exceed?\Carla...\Phew, it was getting really hot.\You really look just like them.\You two look like Exceeds!\Uh, do they look like them?\Or are they actually real ones? response:	It's just like Nee-chan said...
context: What's an Exceed?\Carla...\Phew, it was getting really hot.\You really look just like them.\You two look like Exceeds!\Uh, do they look like them?\Or are they actually real ones?\It's just like Nee-chan said... response:	They just look exactly like Exceeds, is all.
context: Carla...\Phew, it was getting really hot.\You really look just like them.\You two look like Exceeds!\Uh, do they look like them?\Or are they actually real ones?\It's just like Nee-chan said...\They just look exactly like Exceeds, is all. response:	Well, guess that's that.
context: Phew, it was getting really hot.\You really look just like them.\You two look like Exceeds!\Uh, do they look like them?\Or are they actually real ones?\It's just like Nee-chan said...\They just look exactly like Exceeds, is all.\Well, guess that's that. response:	I suppose...
context: You really look just like them.\You two look like Exceeds!\Uh, do they look like them?\Or are they actually real ones?\It's just like Nee-chan said...\They just look exactly like Exceeds, is all.\Well, guess that's that.\I suppose... response:	They really do look just like cats, though...
context: You two look like Exceeds!\Uh, do they look like them?\Or are they actually real ones?\It's just like Nee-chan said...\They just look exactly like Exceeds, is all.\Well, guess that's that.\I suppose...\They really do look just like cats, though... response:	Uh...
context: Uh, do they look like them?\Or are they actually real ones?\It's just like Nee-chan said...\They just look exactly like Exceeds, is all.\Well, guess that's that.\I suppose...\They really do look just like cats, though...\Uh... response:	Hey, don't take it off!
context: Or are they actually real ones?\It's just like Nee-chan said...\They just look exactly like Exceeds, is all.\Well, guess that's that.\I suppose...\They really do look just like cats, though...\Uh...\Hey, don't take it off! response:	But it's all stuffy!
context: It's just like Nee-chan said...\They just look exactly like Exceeds, is all.\Well, guess that's that.\I suppose...\They really do look just like cats, though...\Uh...\Hey, don't take it off!\But it's all stuffy! response:	Deal with it!
context: They just look exactly like Exceeds, is all.\Well, guess that's that.\I suppose...\They really do look just like cats, though...\Uh...\Hey, don't take it off!\But it's all stuffy!\Deal with it! response:	Lucy-san is scary.
context: Well, guess that's that.\I suppose...\They really do look just like cats, though...\Uh...\Hey, don't take it off!\But it's all stuffy!\Deal with it!\Lucy-san is scary. response:	Now, spit it out! I was really damn worried about you!
context: I suppose...\They really do look just like cats, though...\Uh...\Hey, don't take it off!\But it's all stuffy!\Deal with it!\Lucy-san is scary.\Now, spit it out! I was really damn worried about you! response:	Where were you and what the hell were you doing?
context: They really do look just like cats, though...\Uh...\Hey, don't take it off!\But it's all stuffy!\Deal with it!\Lucy-san is scary.\Now, spit it out! I was really damn worried about you!\Where were you and what the hell were you doing? response:	Uh, how should I start...
context: Uh...\Hey, don't take it off!\But it's all stuffy!\Deal with it!\Lucy-san is scary.\Now, spit it out! I was really damn worried about you!\Where were you and what the hell were you doing?\Uh, how should I start... response:	Natsu, you have to explain everything carefully!
context: Hey, don't take it off!\But it's all stuffy!\Deal with it!\Lucy-san is scary.\Now, spit it out! I was really damn worried about you!\Where were you and what the hell were you doing?\Uh, how should I start...\Natsu, you have to explain everything carefully! response:	You know, that... It's like, uh...
context: But it's all stuffy!\Deal with it!\Lucy-san is scary.\Now, spit it out! I was really damn worried about you!\Where were you and what the hell were you doing?\Uh, how should I start...\Natsu, you have to explain everything carefully!\You know, that... It's like, uh... response:	You are so annoying!
context: Deal with it!\Lucy-san is scary.\Now, spit it out! I was really damn worried about you!\Where were you and what the hell were you doing?\Uh, how should I start...\Natsu, you have to explain everything carefully!\You know, that... It's like, uh...\You are so annoying! response:	There it is!
context: Lucy-san is scary.\Now, spit it out! I was really damn worried about you!\Where were you and what the hell were you doing?\Uh, how should I start...\Natsu, you have to explain everything carefully!\You know, that... It's like, uh...\You are so annoying!\There it is! response:	This time it's the Screwdrive Elbow Crush!
context: Now, spit it out! I was really damn worried about you!\Where were you and what the hell were you doing?\Uh, how should I start...\Natsu, you have to explain everything carefully!\You know, that... It's like, uh...\You are so annoying!\There it is!\This time it's the Screwdrive Elbow Crush! response:	The only difference is the elbow?
context: Where were you and what the hell were you doing?\Uh, how should I start...\Natsu, you have to explain everything carefully!\You know, that... It's like, uh...\You are so annoying!\There it is!\This time it's the Screwdrive Elbow Crush!\The only difference is the elbow? response:	Bis Bis...
context: Uh, how should I start...\Natsu, you have to explain everything carefully!\You know, that... It's like, uh...\You are so annoying!\There it is!\This time it's the Screwdrive Elbow Crush!\The only difference is the elbow?\Bis Bis... response:	What is it, Al Al?
context: Natsu, you have to explain everything carefully!\You know, that... It's like, uh...\You are so annoying!\There it is!\This time it's the Screwdrive Elbow Crush!\The only difference is the elbow?\Bis Bis...\What is it, Al Al? response:	Maybe we should get going on a job, just the two of us!
context: You know, that... It's like, uh...\You are so annoying!\There it is!\This time it's the Screwdrive Elbow Crush!\The only difference is the elbow?\Bis Bis...\What is it, Al Al?\Maybe we should get going on a job, just the two of us! response:	Let's go, let's go! What kind of job would you like, Al Al?
context: You are so annoying!\There it is!\This time it's the Screwdrive Elbow Crush!\The only difference is the elbow?\Bis Bis...\What is it, Al Al?\Maybe we should get going on a job, just the two of us!\Let's go, let's go! What kind of job would you like, Al Al? response:	Hmm, let me see...
context: There it is!\This time it's the Screwdrive Elbow Crush!\The only difference is the elbow?\Bis Bis...\What is it, Al Al?\Maybe we should get going on a job, just the two of us!\Let's go, let's go! What kind of job would you like, Al Al?\Hmm, let me see... response:	Let's go on a job that you enjoy, Bis Bis!
context: This time it's the Screwdrive Elbow Crush!\The only difference is the elbow?\Bis Bis...\What is it, Al Al?\Maybe we should get going on a job, just the two of us!\Let's go, let's go! What kind of job would you like, Al Al?\Hmm, let me see...\Let's go on a job that you enjoy, Bis Bis! response:	Al Al, you're so kind!
context: The only difference is the elbow?\Bis Bis...\What is it, Al Al?\Maybe we should get going on a job, just the two of us!\Let's go, let's go! What kind of job would you like, Al Al?\Hmm, let me see...\Let's go on a job that you enjoy, Bis Bis!\Al Al, you're so kind! response:	They really, really get along...
context: Bis Bis...\What is it, Al Al?\Maybe we should get going on a job, just the two of us!\Let's go, let's go! What kind of job would you like, Al Al?\Hmm, let me see...\Let's go on a job that you enjoy, Bis Bis!\Al Al, you're so kind!\They really, really get along... response:	Even with everything backwards, I think there should be limits...
context: What is it, Al Al?\Maybe we should get going on a job, just the two of us!\Let's go, let's go! What kind of job would you like, Al Al?\Hmm, let me see...\Let's go on a job that you enjoy, Bis Bis!\Al Al, you're so kind!\They really, really get along...\Even with everything backwards, I think there should be limits... response:	So, Juvia-chan... You said you were going on a job?
context: Maybe we should get going on a job, just the two of us!\Let's go, let's go! What kind of job would you like, Al Al?\Hmm, let me see...\Let's go on a job that you enjoy, Bis Bis!\Al Al, you're so kind!\They really, really get along...\Even with everything backwards, I think there should be limits...\So, Juvia-chan... You said you were going on a job? response:	I sure wish I could go with you...
context: Let's go, let's go! What kind of job would you like, Al Al?\Hmm, let me see...\Let's go on a job that you enjoy, Bis Bis!\Al Al, you're so kind!\They really, really get along...\Even with everything backwards, I think there should be limits...\So, Juvia-chan... You said you were going on a job?\I sure wish I could go with you... response:	And I told you to stay away from me.
context: Hmm, let me see...\Let's go on a job that you enjoy, Bis Bis!\Al Al, you're so kind!\They really, really get along...\Even with everything backwards, I think there should be limits...\So, Juvia-chan... You said you were going on a job?\I sure wish I could go with you...\And I told you to stay away from me. response:	You're so smothering...
context: Let's go on a job that you enjoy, Bis Bis!\Al Al, you're so kind!\They really, really get along...\Even with everything backwards, I think there should be limits...\So, Juvia-chan... You said you were going on a job?\I sure wish I could go with you...\And I told you to stay away from me.\You're so smothering... response:	Juvia is going on a job by herself.
context: Al Al, you're so kind!\They really, really get along...\Even with everything backwards, I think there should be limits...\So, Juvia-chan... You said you were going on a job?\I sure wish I could go with you...\And I told you to stay away from me.\You're so smothering...\Juvia is going on a job by herself. response:	Because you're no help at all.
context: They really, really get along...\Even with everything backwards, I think there should be limits...\So, Juvia-chan... You said you were going on a job?\I sure wish I could go with you...\And I told you to stay away from me.\You're so smothering...\Juvia is going on a job by herself.\Because you're no help at all. response:	Gray-san, don't you think you should give up?
context: Even with everything backwards, I think there should be limits...\So, Juvia-chan... You said you were going on a job?\I sure wish I could go with you...\And I told you to stay away from me.\You're so smothering...\Juvia is going on a job by herself.\Because you're no help at all.\Gray-san, don't you think you should give up? response:	It was true for Leon-kun, too... But I'm not seeing any hope here.
context: So, Juvia-chan... You said you were going on a job?\I sure wish I could go with you...\And I told you to stay away from me.\You're so smothering...\Juvia is going on a job by herself.\Because you're no help at all.\Gray-san, don't you think you should give up?\It was true for Leon-kun, too... But I'm not seeing any hope here. response:	Don't say the name of that bundled-up playboy in front of me!
context: I sure wish I could go with you...\And I told you to stay away from me.\You're so smothering...\Juvia is going on a job by herself.\Because you're no help at all.\Gray-san, don't you think you should give up?\It was true for Leon-kun, too... But I'm not seeing any hope here.\Don't say the name of that bundled-up playboy in front of me! response:	Juvia-chan, I'm begging you!
context: And I told you to stay away from me.\You're so smothering...\Juvia is going on a job by herself.\Because you're no help at all.\Gray-san, don't you think you should give up?\It was true for Leon-kun, too... But I'm not seeing any hope here.\Don't say the name of that bundled-up playboy in front of me!\Juvia-chan, I'm begging you! response:	You're a pest!
context: You're so smothering...\Juvia is going on a job by herself.\Because you're no help at all.\Gray-san, don't you think you should give up?\It was true for Leon-kun, too... But I'm not seeing any hope here.\Don't say the name of that bundled-up playboy in front of me!\Juvia-chan, I'm begging you!\You're a pest! response:	Help me!
context: Juvia is going on a job by herself.\Because you're no help at all.\Gray-san, don't you think you should give up?\It was true for Leon-kun, too... But I'm not seeing any hope here.\Don't say the name of that bundled-up playboy in front of me!\Juvia-chan, I'm begging you!\You're a pest!\Help me! response:	And help me!
context: Because you're no help at all.\Gray-san, don't you think you should give up?\It was true for Leon-kun, too... But I'm not seeing any hope here.\Don't say the name of that bundled-up playboy in front of me!\Juvia-chan, I'm begging you!\You're a pest!\Help me!\And help me! response:	Reedus?
context: Gray-san, don't you think you should give up?\It was true for Leon-kun, too... But I'm not seeing any hope here.\Don't say the name of that bundled-up playboy in front of me!\Juvia-chan, I'm begging you!\You're a pest!\Help me!\And help me!\Reedus? response:	Sheesh... Stop lounging around!
context: It was true for Leon-kun, too... But I'm not seeing any hope here.\Don't say the name of that bundled-up playboy in front of me!\Juvia-chan, I'm begging you!\You're a pest!\Help me!\And help me!\Reedus?\Sheesh... Stop lounging around! response:	You'll get yourself hurt!
context: Don't say the name of that bundled-up playboy in front of me!\Juvia-chan, I'm begging you!\You're a pest!\Help me!\And help me!\Reedus?\Sheesh... Stop lounging around!\You'll get yourself hurt! response:	You damn fake Exceed!
context: Juvia-chan, I'm begging you!\You're a pest!\Help me!\And help me!\Reedus?\Sheesh... Stop lounging around!\You'll get yourself hurt!\You damn fake Exceed! response:	Fake?!
context: You're a pest!\Help me!\And help me!\Reedus?\Sheesh... Stop lounging around!\You'll get yourself hurt!\You damn fake Exceed!\Fake?! response:	I don't really understand, but I'm not a fake!
context: Help me!\And help me!\Reedus?\Sheesh... Stop lounging around!\You'll get yourself hurt!\You damn fake Exceed!\Fake?!\I don't really understand, but I'm not a fake! response:	Gray, don't be a lazy bum! Get up!
context: And help me!\Reedus?\Sheesh... Stop lounging around!\You'll get yourself hurt!\You damn fake Exceed!\Fake?!\I don't really understand, but I'm not a fake!\Gray, don't be a lazy bum! Get up! response:	It's warm and comfy down here...
context: Reedus?\Sheesh... Stop lounging around!\You'll get yourself hurt!\You damn fake Exceed!\Fake?!\I don't really understand, but I'm not a fake!\Gray, don't be a lazy bum! Get up!\It's warm and comfy down here... response:	You're a lazy bum, and an embarrassment!
context: Sheesh... Stop lounging around!\You'll get yourself hurt!\You damn fake Exceed!\Fake?!\I don't really understand, but I'm not a fake!\Gray, don't be a lazy bum! Get up!\It's warm and comfy down here...\You're a lazy bum, and an embarrassment! response:	Technique 35: The Bitch Drop!
context: You'll get yourself hurt!\You damn fake Exceed!\Fake?!\I don't really understand, but I'm not a fake!\Gray, don't be a lazy bum! Get up!\It's warm and comfy down here...\You're a lazy bum, and an embarrassment!\Technique 35: The Bitch Drop! response:	Technique 28: The Give-Up-Already Lock!
context: You damn fake Exceed!\Fake?!\I don't really understand, but I'm not a fake!\Gray, don't be a lazy bum! Get up!\It's warm and comfy down here...\You're a lazy bum, and an embarrassment!\Technique 35: The Bitch Drop!\Technique 28: The Give-Up-Already Lock! response:	Lucy-san is scary.
context: Fake?!\I don't really understand, but I'm not a fake!\Gray, don't be a lazy bum! Get up!\It's warm and comfy down here...\You're a lazy bum, and an embarrassment!\Technique 35: The Bitch Drop!\Technique 28: The Give-Up-Already Lock!\Lucy-san is scary. response:	You ain't getting away, Natsu!
context: I don't really understand, but I'm not a fake!\Gray, don't be a lazy bum! Get up!\It's warm and comfy down here...\You're a lazy bum, and an embarrassment!\Technique 35: The Bitch Drop!\Technique 28: The Give-Up-Already Lock!\Lucy-san is scary.\You ain't getting away, Natsu! response:	Work, work!
context: Gray, don't be a lazy bum! Get up!\It's warm and comfy down here...\You're a lazy bum, and an embarrassment!\Technique 35: The Bitch Drop!\Technique 28: The Give-Up-Already Lock!\Lucy-san is scary.\You ain't getting away, Natsu!\Work, work! response:	Where are you hiding?
context: It's warm and comfy down here...\You're a lazy bum, and an embarrassment!\Technique 35: The Bitch Drop!\Technique 28: The Give-Up-Already Lock!\Lucy-san is scary.\You ain't getting away, Natsu!\Work, work!\Where are you hiding? response:	No use... The transmission lines are shot...
context: You're a lazy bum, and an embarrassment!\Technique 35: The Bitch Drop!\Technique 28: The Give-Up-Already Lock!\Lucy-san is scary.\You ain't getting away, Natsu!\Work, work!\Where are you hiding?\No use... The transmission lines are shot... response:	On to the next job!
context: Technique 35: The Bitch Drop!\Technique 28: The Give-Up-Already Lock!\Lucy-san is scary.\You ain't getting away, Natsu!\Work, work!\Where are you hiding?\No use... The transmission lines are shot...\On to the next job! response:	Keep it down, Nab. You suck!
context: Technique 28: The Give-Up-Already Lock!\Lucy-san is scary.\You ain't getting away, Natsu!\Work, work!\Where are you hiding?\No use... The transmission lines are shot...\On to the next job!\Keep it down, Nab. You suck! response:	What'd you say?!
context: Lucy-san is scary.\You ain't getting away, Natsu!\Work, work!\Where are you hiding?\No use... The transmission lines are shot...\On to the next job!\Keep it down, Nab. You suck!\What'd you say?! response:	What the hell you mean I suck, Levy?
context: You ain't getting away, Natsu!\Work, work!\Where are you hiding?\No use... The transmission lines are shot...\On to the next job!\Keep it down, Nab. You suck!\What'd you say?!\What the hell you mean I suck, Levy? response:	Can't you tell I'm doing some delicate maintenance right now?
context: Work, work!\Where are you hiding?\No use... The transmission lines are shot...\On to the next job!\Keep it down, Nab. You suck!\What'd you say?!\What the hell you mean I suck, Levy?\Can't you tell I'm doing some delicate maintenance right now? response:	With you running around all over the place, I can't concentrate!
context: Where are you hiding?\No use... The transmission lines are shot...\On to the next job!\Keep it down, Nab. You suck!\What'd you say?!\What the hell you mean I suck, Levy?\Can't you tell I'm doing some delicate maintenance right now?\With you running around all over the place, I can't concentrate! response:	Come on out, Natsu!
context: No use... The transmission lines are shot...\On to the next job!\Keep it down, Nab. You suck!\What'd you say?!\What the hell you mean I suck, Levy?\Can't you tell I'm doing some delicate maintenance right now?\With you running around all over the place, I can't concentrate!\Come on out, Natsu! response:	I'll try out my new technique on ya!
context: On to the next job!\Keep it down, Nab. You suck!\What'd you say?!\What the hell you mean I suck, Levy?\Can't you tell I'm doing some delicate maintenance right now?\With you running around all over the place, I can't concentrate!\Come on out, Natsu!\I'll try out my new technique on ya! response:	Keep it down, Lucy! You suck!
context: Keep it down, Nab. You suck!\What'd you say?!\What the hell you mean I suck, Levy?\Can't you tell I'm doing some delicate maintenance right now?\With you running around all over the place, I can't concentrate!\Come on out, Natsu!\I'll try out my new technique on ya!\Keep it down, Lucy! You suck! response:	What the hell did you say?
context: What'd you say?!\What the hell you mean I suck, Levy?\Can't you tell I'm doing some delicate maintenance right now?\With you running around all over the place, I can't concentrate!\Come on out, Natsu!\I'll try out my new technique on ya!\Keep it down, Lucy! You suck!\What the hell did you say? response:	I said I was in the middle of maintenance!
context: What the hell you mean I suck, Levy?\Can't you tell I'm doing some delicate maintenance right now?\With you running around all over the place, I can't concentrate!\Come on out, Natsu!\I'll try out my new technique on ya!\Keep it down, Lucy! You suck!\What the hell did you say?\I said I was in the middle of maintenance! response:	You damn amazon woman!
context: Can't you tell I'm doing some delicate maintenance right now?\With you running around all over the place, I can't concentrate!\Come on out, Natsu!\I'll try out my new technique on ya!\Keep it down, Lucy! You suck!\What the hell did you say?\I said I was in the middle of maintenance!\You damn amazon woman! response:	Then hurry the hell up with it!
