context: I-I can't believe this! response:	How can you not know what your boyfriend's post-graduation plans are?
context: Oh? So you really are serious...\There's no way you'll get in.\What was that?!\Taking entrance exams isn't free, you know.\I'm aware of that!\If you become a ronin, it'll cost you...\Reconsider before you go wasting your time and money, okay?\You could've at least said, Wow! Go for it! response:	You're not cute at all!
context: There's no way you'll get in.\What was that?!\Taking entrance exams isn't free, you know.\I'm aware of that!\If you become a ronin, it'll cost you...\Reconsider before you go wasting your time and money, okay?\You could've at least said, Wow! Go for it!\You're not cute at all! response:	No, no. I am impressed by your reckless adventurous spirit,
context: What was that?!\Taking entrance exams isn't free, you know.\I'm aware of that!\If you become a ronin, it'll cost you...\Reconsider before you go wasting your time and money, okay?\You could've at least said, Wow! Go for it!\You're not cute at all!\No, no. I am impressed by your reckless adventurous spirit, response:	Is that how you really feel, you idiot?!
context: Taking entrance exams isn't free, you know.\I'm aware of that!\If you become a ronin, it'll cost you...\Reconsider before you go wasting your time and money, okay?\You could've at least said, Wow! Go for it!\You're not cute at all!\No, no. I am impressed by your reckless adventurous spirit,\Is that how you really feel, you idiot?! response:	Now, now, Otani-kun.
context: I'm aware of that!\If you become a ronin, it'll cost you...\Reconsider before you go wasting your time and money, okay?\You could've at least said, Wow! Go for it!\You're not cute at all!\No, no. I am impressed by your reckless adventurous spirit,\Is that how you really feel, you idiot?!\Now, now, Otani-kun. response:	If I were her, I'd be trying to stop you too.
context: If you become a ronin, it'll cost you...\Reconsider before you go wasting your time and money, okay?\You could've at least said, Wow! Go for it!\You're not cute at all!\No, no. I am impressed by your reckless adventurous spirit,\Is that how you really feel, you idiot?!\Now, now, Otani-kun.\If I were her, I'd be trying to stop you too. response:	Wouldn't you?
context: Reconsider before you go wasting your time and money, okay?\You could've at least said, Wow! Go for it!\You're not cute at all!\No, no. I am impressed by your reckless adventurous spirit,\Is that how you really feel, you idiot?!\Now, now, Otani-kun.\If I were her, I'd be trying to stop you too.\Wouldn't you? response:	I would indeed.
context: You could've at least said, Wow! Go for it!\You're not cute at all!\No, no. I am impressed by your reckless adventurous spirit,\Is that how you really feel, you idiot?!\Now, now, Otani-kun.\If I were her, I'd be trying to stop you too.\Wouldn't you?\I would indeed. response:	What the hell do you guys take me for?!
context: You're not cute at all!\No, no. I am impressed by your reckless adventurous spirit,\Is that how you really feel, you idiot?!\Now, now, Otani-kun.\If I were her, I'd be trying to stop you too.\Wouldn't you?\I would indeed.\What the hell do you guys take me for?! response:	An idiot.
context: No, no. I am impressed by your reckless adventurous spirit,\Is that how you really feel, you idiot?!\Now, now, Otani-kun.\If I were her, I'd be trying to stop you too.\Wouldn't you?\I would indeed.\What the hell do you guys take me for?!\An idiot. response:	IDIOT
context: Is that how you really feel, you idiot?!\Now, now, Otani-kun.\If I were her, I'd be trying to stop you too.\Wouldn't you?\I would indeed.\What the hell do you guys take me for?!\An idiot.\IDIOT response:	Why am I the only one you hit?!
context: Now, now, Otani-kun.\If I were her, I'd be trying to stop you too.\Wouldn't you?\I would indeed.\What the hell do you guys take me for?!\An idiot.\IDIOT\Why am I the only one you hit?! response:	Because you're the most annoying!
context: If I were her, I'd be trying to stop you too.\Wouldn't you?\I would indeed.\What the hell do you guys take me for?!\An idiot.\IDIOT\Why am I the only one you hit?!\Because you're the most annoying! response:	Well, sorry for being honest.
context: Wouldn't you?\I would indeed.\What the hell do you guys take me for?!\An idiot.\IDIOT\Why am I the only one you hit?!\Because you're the most annoying!\Well, sorry for being honest. response:	You're all damn rude.
context: I would indeed.\What the hell do you guys take me for?!\An idiot.\IDIOT\Why am I the only one you hit?!\Because you're the most annoying!\Well, sorry for being honest.\You're all damn rude. response:	I'm the type who can do anything if I put my mind to it.
context: What the hell do you guys take me for?!\An idiot.\IDIOT\Why am I the only one you hit?!\Because you're the most annoying!\Well, sorry for being honest.\You're all damn rude.\I'm the type who can do anything if I put my mind to it. response:	You probably can't do it even if you put your mind to it.
context: An idiot.\IDIOT\Why am I the only one you hit?!\Because you're the most annoying!\Well, sorry for being honest.\You're all damn rude.\I'm the type who can do anything if I put my mind to it.\You probably can't do it even if you put your mind to it. response:	Shut up!
context: IDIOT\Why am I the only one you hit?!\Because you're the most annoying!\Well, sorry for being honest.\You're all damn rude.\I'm the type who can do anything if I put my mind to it.\You probably can't do it even if you put your mind to it.\Shut up! response:	I'm going to try, and I'm definitely going to get in.
context: Why am I the only one you hit?!\Because you're the most annoying!\Well, sorry for being honest.\You're all damn rude.\I'm the type who can do anything if I put my mind to it.\You probably can't do it even if you put your mind to it.\Shut up!\I'm going to try, and I'm definitely going to get in. response:	You just watch, you bastards.
context: Because you're the most annoying!\Well, sorry for being honest.\You're all damn rude.\I'm the type who can do anything if I put my mind to it.\You probably can't do it even if you put your mind to it.\Shut up!\I'm going to try, and I'm definitely going to get in.\You just watch, you bastards. response:	O-Otani?
context: Well, sorry for being honest.\You're all damn rude.\I'm the type who can do anything if I put my mind to it.\You probably can't do it even if you put your mind to it.\Shut up!\I'm going to try, and I'm definitely going to get in.\You just watch, you bastards.\O-Otani? response:	Otani! Wait!
context: You're all damn rude.\I'm the type who can do anything if I put my mind to it.\You probably can't do it even if you put your mind to it.\Shut up!\I'm going to try, and I'm definitely going to get in.\You just watch, you bastards.\O-Otani?\Otani! Wait! response:	Did you come to laugh at me some more?
context: I'm the type who can do anything if I put my mind to it.\You probably can't do it even if you put your mind to it.\Shut up!\I'm going to try, and I'm definitely going to get in.\You just watch, you bastards.\O-Otani?\Otani! Wait!\Did you come to laugh at me some more? response:	No.
context: You probably can't do it even if you put your mind to it.\Shut up!\I'm going to try, and I'm definitely going to get in.\You just watch, you bastards.\O-Otani?\Otani! Wait!\Did you come to laugh at me some more?\No. response:	Hey, Otani, why do you want to go to college all of a sudden?
context: Shut up!\I'm going to try, and I'm definitely going to get in.\You just watch, you bastards.\O-Otani?\Otani! Wait!\Did you come to laugh at me some more?\No.\Hey, Otani, why do you want to go to college all of a sudden? response:	It's not all of a sudden.
context: I'm going to try, and I'm definitely going to get in.\You just watch, you bastards.\O-Otani?\Otani! Wait!\Did you come to laugh at me some more?\No.\Hey, Otani, why do you want to go to college all of a sudden?\It's not all of a sudden. response:	I've always wanted to.
context: You just watch, you bastards.\O-Otani?\Otani! Wait!\Did you come to laugh at me some more?\No.\Hey, Otani, why do you want to go to college all of a sudden?\It's not all of a sudden.\I've always wanted to. response:	Hey, it's old man Otani!
context: O-Otani?\Otani! Wait!\Did you come to laugh at me some more?\No.\Hey, Otani, why do you want to go to college all of a sudden?\It's not all of a sudden.\I've always wanted to.\Hey, it's old man Otani! response:	Let's play basketball!
context: Otani! Wait!\Did you come to laugh at me some more?\No.\Hey, Otani, why do you want to go to college all of a sudden?\It's not all of a sudden.\I've always wanted to.\Hey, it's old man Otani!\Let's play basketball! response:	Y-You gave me a start.
context: Did you come to laugh at me some more?\No.\Hey, Otani, why do you want to go to college all of a sudden?\It's not all of a sudden.\I've always wanted to.\Hey, it's old man Otani!\Let's play basketball!\Y-You gave me a start. response:	What are you guys doing here?
context: No.\Hey, Otani, why do you want to go to college all of a sudden?\It's not all of a sudden.\I've always wanted to.\Hey, it's old man Otani!\Let's play basketball!\Y-You gave me a start.\What are you guys doing here? response:	Let's play, old man!
context: Hey, Otani, why do you want to go to college all of a sudden?\It's not all of a sudden.\I've always wanted to.\Hey, it's old man Otani!\Let's play basketball!\Y-You gave me a start.\What are you guys doing here?\Let's play, old man! response:	Let's play! Let's play!
context: It's not all of a sudden.\I've always wanted to.\Hey, it's old man Otani!\Let's play basketball!\Y-You gave me a start.\What are you guys doing here?\Let's play, old man!\Let's play! Let's play! response:	This old man has to study for exams. I can't.
context: I've always wanted to.\Hey, it's old man Otani!\Let's play basketball!\Y-You gave me a start.\What are you guys doing here?\Let's play, old man!\Let's play! Let's play!\This old man has to study for exams. I can't. response:	How uncool. Exams...
context: Hey, it's old man Otani!\Let's play basketball!\Y-You gave me a start.\What are you guys doing here?\Let's play, old man!\Let's play! Let's play!\This old man has to study for exams. I can't.\How uncool. Exams... response:	Shut up! Now hurry up and get lost!
context: Let's play basketball!\Y-You gave me a start.\What are you guys doing here?\Let's play, old man!\Let's play! Let's play!\This old man has to study for exams. I can't.\How uncool. Exams...\Shut up! Now hurry up and get lost! response:	Sheesh...
context: Y-You gave me a start.\What are you guys doing here?\Let's play, old man!\Let's play! Let's play!\This old man has to study for exams. I can't.\How uncool. Exams...\Shut up! Now hurry up and get lost!\Sheesh... response:	Who are they?
context: What are you guys doing here?\Let's play, old man!\Let's play! Let's play!\This old man has to study for exams. I can't.\How uncool. Exams...\Shut up! Now hurry up and get lost!\Sheesh...\Who are they? response:	Kids from my neighborhood.
context: Let's play, old man!\Let's play! Let's play!\This old man has to study for exams. I can't.\How uncool. Exams...\Shut up! Now hurry up and get lost!\Sheesh...\Who are they?\Kids from my neighborhood. response:	I play basketball with them from time to time.
context: Let's play! Let's play!\This old man has to study for exams. I can't.\How uncool. Exams...\Shut up! Now hurry up and get lost!\Sheesh...\Who are they?\Kids from my neighborhood.\I play basketball with them from time to time. response:	You mean they play with you.
context: This old man has to study for exams. I can't.\How uncool. Exams...\Shut up! Now hurry up and get lost!\Sheesh...\Who are they?\Kids from my neighborhood.\I play basketball with them from time to time.\You mean they play with you. response:	Shut up.
context: How uncool. Exams...\Shut up! Now hurry up and get lost!\Sheesh...\Who are they?\Kids from my neighborhood.\I play basketball with them from time to time.\You mean they play with you.\Shut up. response:	Anyway... I want to play basketball.
context: Shut up! Now hurry up and get lost!\Sheesh...\Who are they?\Kids from my neighborhood.\I play basketball with them from time to time.\You mean they play with you.\Shut up.\Anyway... I want to play basketball. response:	In college?
context: Sheesh...\Who are they?\Kids from my neighborhood.\I play basketball with them from time to time.\You mean they play with you.\Shut up.\Anyway... I want to play basketball.\In college? response:	I mean after college.
context: Who are they?\Kids from my neighborhood.\I play basketball with them from time to time.\You mean they play with you.\Shut up.\Anyway... I want to play basketball.\In college?\I mean after college. response:	As a school basketball coach or something, you know?
context: Kids from my neighborhood.\I play basketball with them from time to time.\You mean they play with you.\Shut up.\Anyway... I want to play basketball.\In college?\I mean after college.\As a school basketball coach or something, you know? response:	Going to college, getting certified,
context: I play basketball with them from time to time.\You mean they play with you.\Shut up.\Anyway... I want to play basketball.\In college?\I mean after college.\As a school basketball coach or something, you know?\Going to college, getting certified, response:	I think it'd be fun.
context: You mean they play with you.\Shut up.\Anyway... I want to play basketball.\In college?\I mean after college.\As a school basketball coach or something, you know?\Going to college, getting certified,\I think it'd be fun. response:	Are you saying you want to get a teaching certificate? You want to become a teacher?
context: Shut up.\Anyway... I want to play basketball.\In college?\I mean after college.\As a school basketball coach or something, you know?\Going to college, getting certified,\I think it'd be fun.\Are you saying you want to get a teaching certificate? You want to become a teacher? response:	I was just giving you an example!
context: Anyway... I want to play basketball.\In college?\I mean after college.\As a school basketball coach or something, you know?\Going to college, getting certified,\I think it'd be fun.\Are you saying you want to get a teaching certificate? You want to become a teacher?\I was just giving you an example! response:	Well... I do like kids and all. Elementary kids and such...
context: In college?\I mean after college.\As a school basketball coach or something, you know?\Going to college, getting certified,\I think it'd be fun.\Are you saying you want to get a teaching certificate? You want to become a teacher?\I was just giving you an example!\Well... I do like kids and all. Elementary kids and such... response:	An elementary school teacher?
context: I mean after college.\As a school basketball coach or something, you know?\Going to college, getting certified,\I think it'd be fun.\Are you saying you want to get a teaching certificate? You want to become a teacher?\I was just giving you an example!\Well... I do like kids and all. Elementary kids and such...\An elementary school teacher? response:	For example. Just for example?
context: As a school basketball coach or something, you know?\Going to college, getting certified,\I think it'd be fun.\Are you saying you want to get a teaching certificate? You want to become a teacher?\I was just giving you an example!\Well... I do like kids and all. Elementary kids and such...\An elementary school teacher?\For example. Just for example? response:	Otani... a school teacher?
context: Going to college, getting certified,\I think it'd be fun.\Are you saying you want to get a teaching certificate? You want to become a teacher?\I was just giving you an example!\Well... I do like kids and all. Elementary kids and such...\An elementary school teacher?\For example. Just for example?\Otani... a school teacher? response:	Sensei! Otani-sensei!
context: I think it'd be fun.\Are you saying you want to get a teaching certificate? You want to become a teacher?\I was just giving you an example!\Well... I do like kids and all. Elementary kids and such...\An elementary school teacher?\For example. Just for example?\Otani... a school teacher?\Sensei! Otani-sensei! response:	Y-You're laughing too much.
context: Are you saying you want to get a teaching certificate? You want to become a teacher?\I was just giving you an example!\Well... I do like kids and all. Elementary kids and such...\An elementary school teacher?\For example. Just for example?\Otani... a school teacher?\Sensei! Otani-sensei!\Y-You're laughing too much. response:	This is why I didn't want to tell you.
context: I was just giving you an example!\Well... I do like kids and all. Elementary kids and such...\An elementary school teacher?\For example. Just for example?\Otani... a school teacher?\Sensei! Otani-sensei!\Y-You're laughing too much.\This is why I didn't want to tell you. response:	That girl... She's definitely the old man's girlfriend.
context: Well... I do like kids and all. Elementary kids and such...\An elementary school teacher?\For example. Just for example?\Otani... a school teacher?\Sensei! Otani-sensei!\Y-You're laughing too much.\This is why I didn't want to tell you.\That girl... She's definitely the old man's girlfriend. response:	But old man Otani's shorter.
context: An elementary school teacher?\For example. Just for example?\Otani... a school teacher?\Sensei! Otani-sensei!\Y-You're laughing too much.\This is why I didn't want to tell you.\That girl... She's definitely the old man's girlfriend.\But old man Otani's shorter. response:	I guess that's what they call disparity.
context: For example. Just for example?\Otani... a school teacher?\Sensei! Otani-sensei!\Y-You're laughing too much.\This is why I didn't want to tell you.\That girl... She's definitely the old man's girlfriend.\But old man Otani's shorter.\I guess that's what they call disparity. response:	You guys are still here?
context: Otani... a school teacher?\Sensei! Otani-sensei!\Y-You're laughing too much.\This is why I didn't want to tell you.\That girl... She's definitely the old man's girlfriend.\But old man Otani's shorter.\I guess that's what they call disparity.\You guys are still here? response:	Give me that basketball. I'm confiscating it!
context: Sensei! Otani-sensei!\Y-You're laughing too much.\This is why I didn't want to tell you.\That girl... She's definitely the old man's girlfriend.\But old man Otani's shorter.\I guess that's what they call disparity.\You guys are still here?\Give me that basketball. I'm confiscating it! response:	Hey! Give it back, baldy!
context: Y-You're laughing too much.\This is why I didn't want to tell you.\That girl... She's definitely the old man's girlfriend.\But old man Otani's shorter.\I guess that's what they call disparity.\You guys are still here?\Give me that basketball. I'm confiscating it!\Hey! Give it back, baldy! response:	I'm not bald! If you want it, come get it!
context: This is why I didn't want to tell you.\That girl... She's definitely the old man's girlfriend.\But old man Otani's shorter.\I guess that's what they call disparity.\You guys are still here?\Give me that basketball. I'm confiscating it!\Hey! Give it back, baldy!\I'm not bald! If you want it, come get it! response:	That Otani... He's a big hit.
context: That girl... She's definitely the old man's girlfriend.\But old man Otani's shorter.\I guess that's what they call disparity.\You guys are still here?\Give me that basketball. I'm confiscating it!\Hey! Give it back, baldy!\I'm not bald! If you want it, come get it!\That Otani... He's a big hit. response:	So Otani wants to become an elementary school teacher.
context: But old man Otani's shorter.\I guess that's what they call disparity.\You guys are still here?\Give me that basketball. I'm confiscating it!\Hey! Give it back, baldy!\I'm not bald! If you want it, come get it!\That Otani... He's a big hit.\So Otani wants to become an elementary school teacher. response:	If he does, it'll be hard to tell who's the kid and who's the teacher.
context: I guess that's what they call disparity.\You guys are still here?\Give me that basketball. I'm confiscating it!\Hey! Give it back, baldy!\I'm not bald! If you want it, come get it!\That Otani... He's a big hit.\So Otani wants to become an elementary school teacher.\If he does, it'll be hard to tell who's the kid and who's the teacher. response:	Still, it's nice to see him smile like that.
context: You guys are still here?\Give me that basketball. I'm confiscating it!\Hey! Give it back, baldy!\I'm not bald! If you want it, come get it!\That Otani... He's a big hit.\So Otani wants to become an elementary school teacher.\If he does, it'll be hard to tell who's the kid and who's the teacher.\Still, it's nice to see him smile like that. response:	Half of me thinks it's impossible, but I'll still support him.
context: Give me that basketball. I'm confiscating it!\Hey! Give it back, baldy!\I'm not bald! If you want it, come get it!\That Otani... He's a big hit.\So Otani wants to become an elementary school teacher.\If he does, it'll be hard to tell who's the kid and who's the teacher.\Still, it's nice to see him smile like that.\Half of me thinks it's impossible, but I'll still support him. response:	That's what I thought. But before I knew it...
context: Hey! Give it back, baldy!\I'm not bald! If you want it, come get it!\That Otani... He's a big hit.\So Otani wants to become an elementary school teacher.\If he does, it'll be hard to tell who's the kid and who's the teacher.\Still, it's nice to see him smile like that.\Half of me thinks it's impossible, but I'll still support him.\That's what I thought. But before I knew it... response:	Nobu-chan is...
context: I'm not bald! If you want it, come get it!\That Otani... He's a big hit.\So Otani wants to become an elementary school teacher.\If he does, it'll be hard to tell who's the kid and who's the teacher.\Still, it's nice to see him smile like that.\Half of me thinks it's impossible, but I'll still support him.\That's what I thought. But before I knew it...\Nobu-chan is... response:	What? You guys hadn't heard?
context: That Otani... He's a big hit.\So Otani wants to become an elementary school teacher.\If he does, it'll be hard to tell who's the kid and who's the teacher.\Still, it's nice to see him smile like that.\Half of me thinks it's impossible, but I'll still support him.\That's what I thought. But before I knew it...\Nobu-chan is...\What? You guys hadn't heard? response:	Well, it's true.
context: So Otani wants to become an elementary school teacher.\If he does, it'll be hard to tell who's the kid and who's the teacher.\Still, it's nice to see him smile like that.\Half of me thinks it's impossible, but I'll still support him.\That's what I thought. But before I knew it...\Nobu-chan is...\What? You guys hadn't heard?\Well, it's true. response:	Nobu-chan, what is this all of a sudden?
context: If he does, it'll be hard to tell who's the kid and who's the teacher.\Still, it's nice to see him smile like that.\Half of me thinks it's impossible, but I'll still support him.\That's what I thought. But before I knew it...\Nobu-chan is...\What? You guys hadn't heard?\Well, it's true.\Nobu-chan, what is this all of a sudden? response:	No matter how much you enjoyed our trip there...
context: Still, it's nice to see him smile like that.\Half of me thinks it's impossible, but I'll still support him.\That's what I thought. But before I knew it...\Nobu-chan is...\What? You guys hadn't heard?\Well, it's true.\Nobu-chan, what is this all of a sudden?\No matter how much you enjoyed our trip there... response:	You've got it wrong.
context: Half of me thinks it's impossible, but I'll still support him.\That's what I thought. But before I knew it...\Nobu-chan is...\What? You guys hadn't heard?\Well, it's true.\Nobu-chan, what is this all of a sudden?\No matter how much you enjoyed our trip there...\You've got it wrong. response:	Oh? Then why, exactly?
context: That's what I thought. But before I knew it...\Nobu-chan is...\What? You guys hadn't heard?\Well, it's true.\Nobu-chan, what is this all of a sudden?\No matter how much you enjoyed our trip there...\You've got it wrong.\Oh? Then why, exactly? response:	Are your parents being transferred?
context: Nobu-chan is...\What? You guys hadn't heard?\Well, it's true.\Nobu-chan, what is this all of a sudden?\No matter how much you enjoyed our trip there...\You've got it wrong.\Oh? Then why, exactly?\Are your parents being transferred? response:	Grandma's body is deteriorating, so she's going to go and live in the country.
context: What? You guys hadn't heard?\Well, it's true.\Nobu-chan, what is this all of a sudden?\No matter how much you enjoyed our trip there...\You've got it wrong.\Oh? Then why, exactly?\Are your parents being transferred?\Grandma's body is deteriorating, so she's going to go and live in the country. response:	I'm going with her to take care of her.
context: Well, it's true.\Nobu-chan, what is this all of a sudden?\No matter how much you enjoyed our trip there...\You've got it wrong.\Oh? Then why, exactly?\Are your parents being transferred?\Grandma's body is deteriorating, so she's going to go and live in the country.\I'm going with her to take care of her. response:	But... what about your mom and dad?
