context: To think the Guild would send me a challenge request. response:	To think the Guild would send me a challenge request.
context: Are you the mastermind who thought to challenge me?\Chief Architect of the Guild E. A. Poe\Ability: Black Cat in the Rue Morgue\It's been a long time, Rampo-kun.\Were you been able to solve the riddle at the entrance?\This sentence is five words. This sentence is not five words.\I'd expect no less from my worthy opponent, Rampo-kun.\Now, it's my turn to ask a question. response:	Who are you?
context: Chief Architect of the Guild E. A. Poe\Ability: Black Cat in the Rue Morgue\It's been a long time, Rampo-kun.\Were you been able to solve the riddle at the entrance?\This sentence is five words. This sentence is not five words.\I'd expect no less from my worthy opponent, Rampo-kun.\Now, it's my turn to ask a question.\Who are you? response:	You don't remember me?
context: Ability: Black Cat in the Rue Morgue\It's been a long time, Rampo-kun.\Were you been able to solve the riddle at the entrance?\This sentence is five words. This sentence is not five words.\I'd expect no less from my worthy opponent, Rampo-kun.\Now, it's my turn to ask a question.\Who are you?\You don't remember me? response:	I joined the Guild just so that I could challenge you.
context: It's been a long time, Rampo-kun.\Were you been able to solve the riddle at the entrance?\This sentence is five words. This sentence is not five words.\I'd expect no less from my worthy opponent, Rampo-kun.\Now, it's my turn to ask a question.\Who are you?\You don't remember me?\I joined the Guild just so that I could challenge you. response:	I am Poe!
context: Were you been able to solve the riddle at the entrance?\This sentence is five words. This sentence is not five words.\I'd expect no less from my worthy opponent, Rampo-kun.\Now, it's my turn to ask a question.\Who are you?\You don't remember me?\I joined the Guild just so that I could challenge you.\I am Poe! response:	Detective and master of intellect.
context: This sentence is five words. This sentence is not five words.\I'd expect no less from my worthy opponent, Rampo-kun.\Now, it's my turn to ask a question.\Who are you?\You don't remember me?\I joined the Guild just so that I could challenge you.\I am Poe!\Detective and master of intellect. response:	You defeated me six years ago.
context: I'd expect no less from my worthy opponent, Rampo-kun.\Now, it's my turn to ask a question.\Who are you?\You don't remember me?\I joined the Guild just so that I could challenge you.\I am Poe!\Detective and master of intellect.\You defeated me six years ago. response:	Your rant's making me sleepy.
context: Now, it's my turn to ask a question.\Who are you?\You don't remember me?\I joined the Guild just so that I could challenge you.\I am Poe!\Detective and master of intellect.\You defeated me six years ago.\Your rant's making me sleepy. response:	I'm leaving.
context: Who are you?\You don't remember me?\I joined the Guild just so that I could challenge you.\I am Poe!\Detective and master of intellect.\You defeated me six years ago.\Your rant's making me sleepy.\I'm leaving. response:	This is a detective game!
context: You don't remember me?\I joined the Guild just so that I could challenge you.\I am Poe!\Detective and master of intellect.\You defeated me six years ago.\Your rant's making me sleepy.\I'm leaving.\This is a detective game! response:	Read this detective novel I've prepared for you, and determine the identity of the serial killer.
context: I joined the Guild just so that I could challenge you.\I am Poe!\Detective and master of intellect.\You defeated me six years ago.\Your rant's making me sleepy.\I'm leaving.\This is a detective game!\Read this detective novel I've prepared for you, and determine the identity of the serial killer. response:	One point docked.
context: I am Poe!\Detective and master of intellect.\You defeated me six years ago.\Your rant's making me sleepy.\I'm leaving.\This is a detective game!\Read this detective novel I've prepared for you, and determine the identity of the serial killer.\One point docked. response:	You wouldn't have become a detective if you were content with novels.
context: Detective and master of intellect.\You defeated me six years ago.\Your rant's making me sleepy.\I'm leaving.\This is a detective game!\Read this detective novel I've prepared for you, and determine the identity of the serial killer.\One point docked.\You wouldn't have become a detective if you were content with novels. response:	I expected that reply.
context: You defeated me six years ago.\Your rant's making me sleepy.\I'm leaving.\This is a detective game!\Read this detective novel I've prepared for you, and determine the identity of the serial killer.\One point docked.\You wouldn't have become a detective if you were content with novels.\I expected that reply. response:	How about, if you win, I tell you the Guild's weakness?
context: Your rant's making me sleepy.\I'm leaving.\This is a detective game!\Read this detective novel I've prepared for you, and determine the identity of the serial killer.\One point docked.\You wouldn't have become a detective if you were content with novels.\I expected that reply.\How about, if you win, I tell you the Guild's weakness? response:	How to capture the Guild base, Moby Dick, the floating fortress.
context: I'm leaving.\This is a detective game!\Read this detective novel I've prepared for you, and determine the identity of the serial killer.\One point docked.\You wouldn't have become a detective if you were content with novels.\I expected that reply.\How about, if you win, I tell you the Guild's weakness?\How to capture the Guild base, Moby Dick, the floating fortress. response:	One point granted.
context: This is a detective game!\Read this detective novel I've prepared for you, and determine the identity of the serial killer.\One point docked.\You wouldn't have become a detective if you were content with novels.\I expected that reply.\How about, if you win, I tell you the Guild's weakness?\How to capture the Guild base, Moby Dick, the floating fortress.\One point granted. response:	But why such a silly challenge?
context: Read this detective novel I've prepared for you, and determine the identity of the serial killer.\One point docked.\You wouldn't have become a detective if you were content with novels.\I expected that reply.\How about, if you win, I tell you the Guild's weakness?\How to capture the Guild base, Moby Dick, the floating fortress.\One point granted.\But why such a silly challenge? response:	The Guild's operations are barbaric and unbearably boring.
context: One point docked.\You wouldn't have become a detective if you were content with novels.\I expected that reply.\How about, if you win, I tell you the Guild's weakness?\How to capture the Guild base, Moby Dick, the floating fortress.\One point granted.\But why such a silly challenge?\The Guild's operations are barbaric and unbearably boring. response:	The only thing humanity ought to have interest in
context: You wouldn't have become a detective if you were content with novels.\I expected that reply.\How about, if you win, I tell you the Guild's weakness?\How to capture the Guild base, Moby Dick, the floating fortress.\One point granted.\But why such a silly challenge?\The Guild's operations are barbaric and unbearably boring.\The only thing humanity ought to have interest in response:	is your gift, Ultra Deduction.
context: I expected that reply.\How about, if you win, I tell you the Guild's weakness?\How to capture the Guild base, Moby Dick, the floating fortress.\One point granted.\But why such a silly challenge?\The Guild's operations are barbaric and unbearably boring.\The only thing humanity ought to have interest in\is your gift, Ultra Deduction. response:	Am I wrong?
context: How about, if you win, I tell you the Guild's weakness?\How to capture the Guild base, Moby Dick, the floating fortress.\One point granted.\But why such a silly challenge?\The Guild's operations are barbaric and unbearably boring.\The only thing humanity ought to have interest in\is your gift, Ultra Deduction.\Am I wrong? response:	Five points granted.
context: How to capture the Guild base, Moby Dick, the floating fortress.\One point granted.\But why such a silly challenge?\The Guild's operations are barbaric and unbearably boring.\The only thing humanity ought to have interest in\is your gift, Ultra Deduction.\Am I wrong?\Five points granted. response:	I'm game.
context: One point granted.\But why such a silly challenge?\The Guild's operations are barbaric and unbearably boring.\The only thing humanity ought to have interest in\is your gift, Ultra Deduction.\Am I wrong?\Five points granted.\I'm game. response:	One night, once upon a time,
context: But why such a silly challenge?\The Guild's operations are barbaric and unbearably boring.\The only thing humanity ought to have interest in\is your gift, Ultra Deduction.\Am I wrong?\Five points granted.\I'm game.\One night, once upon a time, response:	a band of visitors were trapped in a mansion due to a snowstorm.
context: The Guild's operations are barbaric and unbearably boring.\The only thing humanity ought to have interest in\is your gift, Ultra Deduction.\Am I wrong?\Five points granted.\I'm game.\One night, once upon a time,\a band of visitors were trapped in a mansion due to a snowstorm. response:	On the night of their stay, the protagonist, a private detective,
context: The only thing humanity ought to have interest in\is your gift, Ultra Deduction.\Am I wrong?\Five points granted.\I'm game.\One night, once upon a time,\a band of visitors were trapped in a mansion due to a snowstorm.\On the night of their stay, the protagonist, a private detective, response:	is awakened by a strange noise coming from one of the rooms.
context: is your gift, Ultra Deduction.\Am I wrong?\Five points granted.\I'm game.\One night, once upon a time,\a band of visitors were trapped in a mansion due to a snowstorm.\On the night of their stay, the protagonist, a private detective,\is awakened by a strange noise coming from one of the rooms. response:	This is my ability.
context: Am I wrong?\Five points granted.\I'm game.\One night, once upon a time,\a band of visitors were trapped in a mansion due to a snowstorm.\On the night of their stay, the protagonist, a private detective,\is awakened by a strange noise coming from one of the rooms.\This is my ability. response:	The ability to suck a reader into a novel.
context: Five points granted.\I'm game.\One night, once upon a time,\a band of visitors were trapped in a mansion due to a snowstorm.\On the night of their stay, the protagonist, a private detective,\is awakened by a strange noise coming from one of the rooms.\This is my ability.\The ability to suck a reader into a novel. response:	The protagonist opens the door with a key only he possesses.
context: I'm game.\One night, once upon a time,\a band of visitors were trapped in a mansion due to a snowstorm.\On the night of their stay, the protagonist, a private detective,\is awakened by a strange noise coming from one of the rooms.\This is my ability.\The ability to suck a reader into a novel.\The protagonist opens the door with a key only he possesses. response:	What he saw there...
context: One night, once upon a time,\a band of visitors were trapped in a mansion due to a snowstorm.\On the night of their stay, the protagonist, a private detective,\is awakened by a strange noise coming from one of the rooms.\This is my ability.\The ability to suck a reader into a novel.\The protagonist opens the door with a key only he possesses.\What he saw there... response:	A victim.
context: a band of visitors were trapped in a mansion due to a snowstorm.\On the night of their stay, the protagonist, a private detective,\is awakened by a strange noise coming from one of the rooms.\This is my ability.\The ability to suck a reader into a novel.\The protagonist opens the door with a key only he possesses.\What he saw there...\A victim. response:	The two windows were sealed, and no one could have entered or left the room.
context: On the night of their stay, the protagonist, a private detective,\is awakened by a strange noise coming from one of the rooms.\This is my ability.\The ability to suck a reader into a novel.\The protagonist opens the door with a key only he possesses.\What he saw there...\A victim.\The two windows were sealed, and no one could have entered or left the room. response:	Two doors, and a matching key.
context: is awakened by a strange noise coming from one of the rooms.\This is my ability.\The ability to suck a reader into a novel.\The protagonist opens the door with a key only he possesses.\What he saw there...\A victim.\The two windows were sealed, and no one could have entered or left the room.\Two doors, and a matching key. response:	I don't have my glasses.
context: This is my ability.\The ability to suck a reader into a novel.\The protagonist opens the door with a key only he possesses.\What he saw there...\A victim.\The two windows were sealed, and no one could have entered or left the room.\Two doors, and a matching key.\I don't have my glasses. response:	Is he dead?
context: The ability to suck a reader into a novel.\The protagonist opens the door with a key only he possesses.\What he saw there...\A victim.\The two windows were sealed, and no one could have entered or left the room.\Two doors, and a matching key.\I don't have my glasses.\Is he dead? response:	Stand back.
context: The protagonist opens the door with a key only he possesses.\What he saw there...\A victim.\The two windows were sealed, and no one could have entered or left the room.\Two doors, and a matching key.\I don't have my glasses.\Is he dead?\Stand back. response:	I'm a doctor.
context: What he saw there...\A victim.\The two windows were sealed, and no one could have entered or left the room.\Two doors, and a matching key.\I don't have my glasses.\Is he dead?\Stand back.\I'm a doctor. response:	Hang in there.
context: A victim.\The two windows were sealed, and no one could have entered or left the room.\Two doors, and a matching key.\I don't have my glasses.\Is he dead?\Stand back.\I'm a doctor.\Hang in there. response:	Th-The door...
context: The two windows were sealed, and no one could have entered or left the room.\Two doors, and a matching key.\I don't have my glasses.\Is he dead?\Stand back.\I'm a doctor.\Hang in there.\Th-The door... response:	He said it was a serial killer.
context: Two doors, and a matching key.\I don't have my glasses.\Is he dead?\Stand back.\I'm a doctor.\Hang in there.\Th-The door...\He said it was a serial killer. response:	Which means we need to find the murderer, or we'll be killed, too.
context: I don't have my glasses.\Is he dead?\Stand back.\I'm a doctor.\Hang in there.\Th-The door...\He said it was a serial killer.\Which means we need to find the murderer, or we'll be killed, too. response:	What a pain in the ass, that ability.
context: Is he dead?\Stand back.\I'm a doctor.\Hang in there.\Th-The door...\He said it was a serial killer.\Which means we need to find the murderer, or we'll be killed, too.\What a pain in the ass, that ability. response:	The corpse and the blood are disgustingly convincing.
context: Stand back.\I'm a doctor.\Hang in there.\Th-The door...\He said it was a serial killer.\Which means we need to find the murderer, or we'll be killed, too.\What a pain in the ass, that ability.\The corpse and the blood are disgustingly convincing. response:	Not to mention my ability, Thou Shalt Not Die, doesn't work here.
context: I'm a doctor.\Hang in there.\Th-The door...\He said it was a serial killer.\Which means we need to find the murderer, or we'll be killed, too.\What a pain in the ass, that ability.\The corpse and the blood are disgustingly convincing.\Not to mention my ability, Thou Shalt Not Die, doesn't work here. response:	The victim is the caretaker of this mansion.
context: Hang in there.\Th-The door...\He said it was a serial killer.\Which means we need to find the murderer, or we'll be killed, too.\What a pain in the ass, that ability.\The corpse and the blood are disgustingly convincing.\Not to mention my ability, Thou Shalt Not Die, doesn't work here.\The victim is the caretaker of this mansion. response:	Cause of death is hemorrhagic shock.
context: Th-The door...\He said it was a serial killer.\Which means we need to find the murderer, or we'll be killed, too.\What a pain in the ass, that ability.\The corpse and the blood are disgustingly convincing.\Not to mention my ability, Thou Shalt Not Die, doesn't work here.\The victim is the caretaker of this mansion.\Cause of death is hemorrhagic shock. response:	No weapon, no fingerprints.
context: He said it was a serial killer.\Which means we need to find the murderer, or we'll be killed, too.\What a pain in the ass, that ability.\The corpse and the blood are disgustingly convincing.\Not to mention my ability, Thou Shalt Not Die, doesn't work here.\The victim is the caretaker of this mansion.\Cause of death is hemorrhagic shock.\No weapon, no fingerprints. response:	Which means...
context: Which means we need to find the murderer, or we'll be killed, too.\What a pain in the ass, that ability.\The corpse and the blood are disgustingly convincing.\Not to mention my ability, Thou Shalt Not Die, doesn't work here.\The victim is the caretaker of this mansion.\Cause of death is hemorrhagic shock.\No weapon, no fingerprints.\Which means... response:	It's a textbook impossible murder.
context: What a pain in the ass, that ability.\The corpse and the blood are disgustingly convincing.\Not to mention my ability, Thou Shalt Not Die, doesn't work here.\The victim is the caretaker of this mansion.\Cause of death is hemorrhagic shock.\No weapon, no fingerprints.\Which means...\It's a textbook impossible murder. response:	A locked room with no way out.
context: The corpse and the blood are disgustingly convincing.\Not to mention my ability, Thou Shalt Not Die, doesn't work here.\The victim is the caretaker of this mansion.\Cause of death is hemorrhagic shock.\No weapon, no fingerprints.\Which means...\It's a textbook impossible murder.\A locked room with no way out. response:	Clearly the victim of a murder.
context: Not to mention my ability, Thou Shalt Not Die, doesn't work here.\The victim is the caretaker of this mansion.\Cause of death is hemorrhagic shock.\No weapon, no fingerprints.\Which means...\It's a textbook impossible murder.\A locked room with no way out.\Clearly the victim of a murder. response:	How did the killer leave the room?
context: The victim is the caretaker of this mansion.\Cause of death is hemorrhagic shock.\No weapon, no fingerprints.\Which means...\It's a textbook impossible murder.\A locked room with no way out.\Clearly the victim of a murder.\How did the killer leave the room? response:	You're having a surprisingly hard time with this.
context: Cause of death is hemorrhagic shock.\No weapon, no fingerprints.\Which means...\It's a textbook impossible murder.\A locked room with no way out.\Clearly the victim of a murder.\How did the killer leave the room?\You're having a surprisingly hard time with this. response:	Aren't you going to do your usual thing?
context: No weapon, no fingerprints.\Which means...\It's a textbook impossible murder.\A locked room with no way out.\Clearly the victim of a murder.\How did the killer leave the room?\You're having a surprisingly hard time with this.\Aren't you going to do your usual thing? response:	I don't have my glasses.
context: Which means...\It's a textbook impossible murder.\A locked room with no way out.\Clearly the victim of a murder.\How did the killer leave the room?\You're having a surprisingly hard time with this.\Aren't you going to do your usual thing?\I don't have my glasses. response:	They were special glasses that the boss gave me.
context: It's a textbook impossible murder.\A locked room with no way out.\Clearly the victim of a murder.\How did the killer leave the room?\You're having a surprisingly hard time with this.\Aren't you going to do your usual thing?\I don't have my glasses.\They were special glasses that the boss gave me. response:	I need them to start my special ability.
context: A locked room with no way out.\Clearly the victim of a murder.\How did the killer leave the room?\You're having a surprisingly hard time with this.\Aren't you going to do your usual thing?\I don't have my glasses.\They were special glasses that the boss gave me.\I need them to start my special ability. response:	Also, your healing ability wouldn't work on that dying man.
context: Clearly the victim of a murder.\How did the killer leave the room?\You're having a surprisingly hard time with this.\Aren't you going to do your usual thing?\I don't have my glasses.\They were special glasses that the boss gave me.\I need them to start my special ability.\Also, your healing ability wouldn't work on that dying man. response:	In other words, in this world, my Ultra Deduction won't work either.
context: How did the killer leave the room?\You're having a surprisingly hard time with this.\Aren't you going to do your usual thing?\I don't have my glasses.\They were special glasses that the boss gave me.\I need them to start my special ability.\Also, your healing ability wouldn't work on that dying man.\In other words, in this world, my Ultra Deduction won't work either. response:	So that's how it's going to be.
context: You're having a surprisingly hard time with this.\Aren't you going to do your usual thing?\I don't have my glasses.\They were special glasses that the boss gave me.\I need them to start my special ability.\Also, your healing ability wouldn't work on that dying man.\In other words, in this world, my Ultra Deduction won't work either.\So that's how it's going to be. response:	Rampo-san doesn't realize that he's an ordinary person without any special abilities.
context: Aren't you going to do your usual thing?\I don't have my glasses.\They were special glasses that the boss gave me.\I need them to start my special ability.\Also, your healing ability wouldn't work on that dying man.\In other words, in this world, my Ultra Deduction won't work either.\So that's how it's going to be.\Rampo-san doesn't realize that he's an ordinary person without any special abilities. response:	Then how about we investigate carefully and reason our way out?
context: I don't have my glasses.\They were special glasses that the boss gave me.\I need them to start my special ability.\Also, your healing ability wouldn't work on that dying man.\In other words, in this world, my Ultra Deduction won't work either.\So that's how it's going to be.\Rampo-san doesn't realize that he's an ordinary person without any special abilities.\Then how about we investigate carefully and reason our way out? response:	Too much work.
context: They were special glasses that the boss gave me.\I need them to start my special ability.\Also, your healing ability wouldn't work on that dying man.\In other words, in this world, my Ultra Deduction won't work either.\So that's how it's going to be.\Rampo-san doesn't realize that he's an ordinary person without any special abilities.\Then how about we investigate carefully and reason our way out?\Too much work. response:	Lame.
context: I need them to start my special ability.\Also, your healing ability wouldn't work on that dying man.\In other words, in this world, my Ultra Deduction won't work either.\So that's how it's going to be.\Rampo-san doesn't realize that he's an ordinary person without any special abilities.\Then how about we investigate carefully and reason our way out?\Too much work.\Lame. response:	Boring.
context: Also, your healing ability wouldn't work on that dying man.\In other words, in this world, my Ultra Deduction won't work either.\So that's how it's going to be.\Rampo-san doesn't realize that he's an ordinary person without any special abilities.\Then how about we investigate carefully and reason our way out?\Too much work.\Lame.\Boring. response:	Investigating and making inquiries is the work of detectives, not master detectives.
context: In other words, in this world, my Ultra Deduction won't work either.\So that's how it's going to be.\Rampo-san doesn't realize that he's an ordinary person without any special abilities.\Then how about we investigate carefully and reason our way out?\Too much work.\Lame.\Boring.\Investigating and making inquiries is the work of detectives, not master detectives. response:	Kurosaki
context: So that's how it's going to be.\Rampo-san doesn't realize that he's an ordinary person without any special abilities.\Then how about we investigate carefully and reason our way out?\Too much work.\Lame.\Boring.\Investigating and making inquiries is the work of detectives, not master detectives.\Kurosaki response:	Convicted of Blackmail
context: Rampo-san doesn't realize that he's an ordinary person without any special abilities.\Then how about we investigate carefully and reason our way out?\Too much work.\Lame.\Boring.\Investigating and making inquiries is the work of detectives, not master detectives.\Kurosaki\Convicted of Blackmail response:	I didn't kill him.
context: Then how about we investigate carefully and reason our way out?\Too much work.\Lame.\Boring.\Investigating and making inquiries is the work of detectives, not master detectives.\Kurosaki\Convicted of Blackmail\I didn't kill him. response:	Ukai
context: Too much work.\Lame.\Boring.\Investigating and making inquiries is the work of detectives, not master detectives.\Kurosaki\Convicted of Blackmail\I didn't kill him.\Ukai response:	Trashy Magazine Reporter
context: Lame.\Boring.\Investigating and making inquiries is the work of detectives, not master detectives.\Kurosaki\Convicted of Blackmail\I didn't kill him.\Ukai\Trashy Magazine Reporter response:	It wasn't me.
context: Boring.\Investigating and making inquiries is the work of detectives, not master detectives.\Kurosaki\Convicted of Blackmail\I didn't kill him.\Ukai\Trashy Magazine Reporter\It wasn't me. response:	I swear.
context: Investigating and making inquiries is the work of detectives, not master detectives.\Kurosaki\Convicted of Blackmail\I didn't kill him.\Ukai\Trashy Magazine Reporter\It wasn't me.\I swear. response:	Reida
context: Kurosaki\Convicted of Blackmail\I didn't kill him.\Ukai\Trashy Magazine Reporter\It wasn't me.\I swear.\Reida response:	Student
context: Convicted of Blackmail\I didn't kill him.\Ukai\Trashy Magazine Reporter\It wasn't me.\I swear.\Reida\Student response:	I didn't kill him.
context: I didn't kill him.\Ukai\Trashy Magazine Reporter\It wasn't me.\I swear.\Reida\Student\I didn't kill him. response:	Proprietor
context: Ukai\Trashy Magazine Reporter\It wasn't me.\I swear.\Reida\Student\I didn't kill him.\Proprietor response:	Well-Bred Young Lady, Traveling Alone
context: Trashy Magazine Reporter\It wasn't me.\I swear.\Reida\Student\I didn't kill him.\Proprietor\Well-Bred Young Lady, Traveling Alone response:	Why am I under suspicion?
context: It wasn't me.\I swear.\Reida\Student\I didn't kill him.\Proprietor\Well-Bred Young Lady, Traveling Alone\Why am I under suspicion? response:	Do you have an alibi for the time of the murder?
context: I swear.\Reida\Student\I didn't kill him.\Proprietor\Well-Bred Young Lady, Traveling Alone\Why am I under suspicion?\Do you have an alibi for the time of the murder? response:	I was sleeping in my room.
context: Reida\Student\I didn't kill him.\Proprietor\Well-Bred Young Lady, Traveling Alone\Why am I under suspicion?\Do you have an alibi for the time of the murder?\I was sleeping in my room. response:	I was chopping firewood in the kitchen.
context: Student\I didn't kill him.\Proprietor\Well-Bred Young Lady, Traveling Alone\Why am I under suspicion?\Do you have an alibi for the time of the murder?\I was sleeping in my room.\I was chopping firewood in the kitchen. response:	I was looking up the curse of the mansion, Pluto, the one-eyed cat, in the study.
context: I didn't kill him.\Proprietor\Well-Bred Young Lady, Traveling Alone\Why am I under suspicion?\Do you have an alibi for the time of the murder?\I was sleeping in my room.\I was chopping firewood in the kitchen.\I was looking up the curse of the mansion, Pluto, the one-eyed cat, in the study. response:	Why do I have to explain myself?
context: Proprietor\Well-Bred Young Lady, Traveling Alone\Why am I under suspicion?\Do you have an alibi for the time of the murder?\I was sleeping in my room.\I was chopping firewood in the kitchen.\I was looking up the curse of the mansion, Pluto, the one-eyed cat, in the study.\Why do I have to explain myself? response:	You're just a doctor.
context: Well-Bred Young Lady, Traveling Alone\Why am I under suspicion?\Do you have an alibi for the time of the murder?\I was sleeping in my room.\I was chopping firewood in the kitchen.\I was looking up the curse of the mansion, Pluto, the one-eyed cat, in the study.\Why do I have to explain myself?\You're just a doctor. response:	Who do you think you are?
context: Why am I under suspicion?\Do you have an alibi for the time of the murder?\I was sleeping in my room.\I was chopping firewood in the kitchen.\I was looking up the curse of the mansion, Pluto, the one-eyed cat, in the study.\Why do I have to explain myself?\You're just a doctor.\Who do you think you are? response:	I remember now.
context: Do you have an alibi for the time of the murder?\I was sleeping in my room.\I was chopping firewood in the kitchen.\I was looking up the curse of the mansion, Pluto, the one-eyed cat, in the study.\Why do I have to explain myself?\You're just a doctor.\Who do you think you are?\I remember now. response:	I went to the caretaker's room to see if I could find some clothes that fit me better.
context: I was sleeping in my room.\I was chopping firewood in the kitchen.\I was looking up the curse of the mansion, Pluto, the one-eyed cat, in the study.\Why do I have to explain myself?\You're just a doctor.\Who do you think you are?\I remember now.\I went to the caretaker's room to see if I could find some clothes that fit me better. response:	Perhaps it was the curse of the one-eyed cat depicted in the painting in the room?
context: I was chopping firewood in the kitchen.\I was looking up the curse of the mansion, Pluto, the one-eyed cat, in the study.\Why do I have to explain myself?\You're just a doctor.\Who do you think you are?\I remember now.\I went to the caretaker's room to see if I could find some clothes that fit me better.\Perhaps it was the curse of the one-eyed cat depicted in the painting in the room? response:	This is a trick involving strings.
context: I was looking up the curse of the mansion, Pluto, the one-eyed cat, in the study.\Why do I have to explain myself?\You're just a doctor.\Who do you think you are?\I remember now.\I went to the caretaker's room to see if I could find some clothes that fit me better.\Perhaps it was the curse of the one-eyed cat depicted in the painting in the room?\This is a trick involving strings. response:	The key to the locked room was inside the victim's clothes.
context: Why do I have to explain myself?\You're just a doctor.\Who do you think you are?\I remember now.\I went to the caretaker's room to see if I could find some clothes that fit me better.\Perhaps it was the curse of the one-eyed cat depicted in the painting in the room?\This is a trick involving strings.\The key to the locked room was inside the victim's clothes. response:	The single matching key was never used until right before.
context: You're just a doctor.\Who do you think you are?\I remember now.\I went to the caretaker's room to see if I could find some clothes that fit me better.\Perhaps it was the curse of the one-eyed cat depicted in the painting in the room?\This is a trick involving strings.\The key to the locked room was inside the victim's clothes.\The single matching key was never used until right before. response:	The suspect killed the caretaker, took the key, and locked the room from outside.
context: Who do you think you are?\I remember now.\I went to the caretaker's room to see if I could find some clothes that fit me better.\Perhaps it was the curse of the one-eyed cat depicted in the painting in the room?\This is a trick involving strings.\The key to the locked room was inside the victim's clothes.\The single matching key was never used until right before.\The suspect killed the caretaker, took the key, and locked the room from outside. response:	Later, the suspect used a string to return the key to the pocket under the door.
