context: How does it look, Azalea? response:	No change in its standby location.
context: Naotsugu, you're within twenty meters.\Roger.\Castle of Stone!\Okay, now!\Let's go.\Keep those shields up!\Eleven, twelve, thirteen, fourteen, fifteen...\The skill Luseat just used, response:	Hearken to the Mourning Bell of Moonlight, has a ninety second cool down.
context: Roger.\Castle of Stone!\Okay, now!\Let's go.\Keep those shields up!\Eleven, twelve, thirteen, fourteen, fifteen...\The skill Luseat just used,\Hearken to the Mourning Bell of Moonlight, has a ninety second cool down. response:	We'll be in position by then.
context: Castle of Stone!\Okay, now!\Let's go.\Keep those shields up!\Eleven, twelve, thirteen, fourteen, fifteen...\The skill Luseat just used,\Hearken to the Mourning Bell of Moonlight, has a ninety second cool down.\We'll be in position by then. response:	Time to retry!
context: Okay, now!\Let's go.\Keep those shields up!\Eleven, twelve, thirteen, fourteen, fifteen...\The skill Luseat just used,\Hearken to the Mourning Bell of Moonlight, has a ninety second cool down.\We'll be in position by then.\Time to retry! response:	Yes, that's the way.
context: Let's go.\Keep those shields up!\Eleven, twelve, thirteen, fourteen, fifteen...\The skill Luseat just used,\Hearken to the Mourning Bell of Moonlight, has a ninety second cool down.\We'll be in position by then.\Time to retry!\Yes, that's the way. response:	Keep your eyes on me, Luseat.
context: Keep those shields up!\Eleven, twelve, thirteen, fourteen, fifteen...\The skill Luseat just used,\Hearken to the Mourning Bell of Moonlight, has a ninety second cool down.\We'll be in position by then.\Time to retry!\Yes, that's the way.\Keep your eyes on me, Luseat. response:	Twenty-three, twenty-four, twenty-five, twenty-six...
context: Eleven, twelve, thirteen, fourteen, fifteen...\The skill Luseat just used,\Hearken to the Mourning Bell of Moonlight, has a ninety second cool down.\We'll be in position by then.\Time to retry!\Yes, that's the way.\Keep your eyes on me, Luseat.\Twenty-three, twenty-four, twenty-five, twenty-six... response:	Rear line, get back!
context: The skill Luseat just used,\Hearken to the Mourning Bell of Moonlight, has a ninety second cool down.\We'll be in position by then.\Time to retry!\Yes, that's the way.\Keep your eyes on me, Luseat.\Twenty-three, twenty-four, twenty-five, twenty-six...\Rear line, get back! response:	How is the damage?
context: Hearken to the Mourning Bell of Moonlight, has a ninety second cool down.\We'll be in position by then.\Time to retry!\Yes, that's the way.\Keep your eyes on me, Luseat.\Twenty-three, twenty-four, twenty-five, twenty-six...\Rear line, get back!\How is the damage? response:	Twenty-seven, twenty-eight, twenty-nine, thirty...
context: We'll be in position by then.\Time to retry!\Yes, that's the way.\Keep your eyes on me, Luseat.\Twenty-three, twenty-four, twenty-five, twenty-six...\Rear line, get back!\How is the damage?\Twenty-seven, twenty-eight, twenty-nine, thirty... response:	Mostly dodged.
context: Time to retry!\Yes, that's the way.\Keep your eyes on me, Luseat.\Twenty-three, twenty-four, twenty-five, twenty-six...\Rear line, get back!\How is the damage?\Twenty-seven, twenty-eight, twenty-nine, thirty...\Mostly dodged. response:	Put a barrier on Naotsugu.
context: Yes, that's the way.\Keep your eyes on me, Luseat.\Twenty-three, twenty-four, twenty-five, twenty-six...\Rear line, get back!\How is the damage?\Twenty-seven, twenty-eight, twenty-nine, thirty...\Mostly dodged.\Put a barrier on Naotsugu. response:	Sasameyuki will handle the count for the area of effects.
context: Keep your eyes on me, Luseat.\Twenty-three, twenty-four, twenty-five, twenty-six...\Rear line, get back!\How is the damage?\Twenty-seven, twenty-eight, twenty-nine, thirty...\Mostly dodged.\Put a barrier on Naotsugu.\Sasameyuki will handle the count for the area of effects. response:	Thirty-one, thirty-two, thirty-three...
context: Twenty-three, twenty-four, twenty-five, twenty-six...\Rear line, get back!\How is the damage?\Twenty-seven, twenty-eight, twenty-nine, thirty...\Mostly dodged.\Put a barrier on Naotsugu.\Sasameyuki will handle the count for the area of effects.\Thirty-one, thirty-two, thirty-three... response:	Deal with individual attacks yourselves.
context: Rear line, get back!\How is the damage?\Twenty-seven, twenty-eight, twenty-nine, thirty...\Mostly dodged.\Put a barrier on Naotsugu.\Sasameyuki will handle the count for the area of effects.\Thirty-one, thirty-two, thirty-three...\Deal with individual attacks yourselves. response:	When he's in Black Knight Mode,
context: How is the damage?\Twenty-seven, twenty-eight, twenty-nine, thirty...\Mostly dodged.\Put a barrier on Naotsugu.\Sasameyuki will handle the count for the area of effects.\Thirty-one, thirty-two, thirty-three...\Deal with individual attacks yourselves.\When he's in Black Knight Mode, response:	everyone except the nine attackers, remember not to touch him.
context: Twenty-seven, twenty-eight, twenty-nine, thirty...\Mostly dodged.\Put a barrier on Naotsugu.\Sasameyuki will handle the count for the area of effects.\Thirty-one, thirty-two, thirty-three...\Deal with individual attacks yourselves.\When he's in Black Knight Mode,\everyone except the nine attackers, remember not to touch him. response:	He's changed.
context: Mostly dodged.\Put a barrier on Naotsugu.\Sasameyuki will handle the count for the area of effects.\Thirty-one, thirty-two, thirty-three...\Deal with individual attacks yourselves.\When he's in Black Knight Mode,\everyone except the nine attackers, remember not to touch him.\He's changed. response:	He's talking with us more than he used to.
context: Put a barrier on Naotsugu.\Sasameyuki will handle the count for the area of effects.\Thirty-one, thirty-two, thirty-three...\Deal with individual attacks yourselves.\When he's in Black Knight Mode,\everyone except the nine attackers, remember not to touch him.\He's changed.\He's talking with us more than he used to. response:	It feels like, after that defeat, the members have grown closer.
context: Sasameyuki will handle the count for the area of effects.\Thirty-one, thirty-two, thirty-three...\Deal with individual attacks yourselves.\When he's in Black Knight Mode,\everyone except the nine attackers, remember not to touch him.\He's changed.\He's talking with us more than he used to.\It feels like, after that defeat, the members have grown closer. response:	We aren't friends... We're comrades in arms.
context: Thirty-one, thirty-two, thirty-three...\Deal with individual attacks yourselves.\When he's in Black Knight Mode,\everyone except the nine attackers, remember not to touch him.\He's changed.\He's talking with us more than he used to.\It feels like, after that defeat, the members have grown closer.\We aren't friends... We're comrades in arms. response:	You can't be friends with someone you dislike...
context: Deal with individual attacks yourselves.\When he's in Black Knight Mode,\everyone except the nine attackers, remember not to touch him.\He's changed.\He's talking with us more than he used to.\It feels like, after that defeat, the members have grown closer.\We aren't friends... We're comrades in arms.\You can't be friends with someone you dislike... response:	Lightning Straight!
context: When he's in Black Knight Mode,\everyone except the nine attackers, remember not to touch him.\He's changed.\He's talking with us more than he used to.\It feels like, after that defeat, the members have grown closer.\We aren't friends... We're comrades in arms.\You can't be friends with someone you dislike...\Lightning Straight! response:	But you can't keep hating a comrade in arms.
context: everyone except the nine attackers, remember not to touch him.\He's changed.\He's talking with us more than he used to.\It feels like, after that defeat, the members have grown closer.\We aren't friends... We're comrades in arms.\You can't be friends with someone you dislike...\Lightning Straight!\But you can't keep hating a comrade in arms. response:	Retry
context: He's changed.\He's talking with us more than he used to.\It feels like, after that defeat, the members have grown closer.\We aren't friends... We're comrades in arms.\You can't be friends with someone you dislike...\Lightning Straight!\But you can't keep hating a comrade in arms.\Retry response:	Retry.
context: He's talking with us more than he used to.\It feels like, after that defeat, the members have grown closer.\We aren't friends... We're comrades in arms.\You can't be friends with someone you dislike...\Lightning Straight!\But you can't keep hating a comrade in arms.\Retry\Retry. response:	Viper Slash!
context: It feels like, after that defeat, the members have grown closer.\We aren't friends... We're comrades in arms.\You can't be friends with someone you dislike...\Lightning Straight!\But you can't keep hating a comrade in arms.\Retry\Retry.\Viper Slash! response:	Party 1 Party 2 Party 3 Party 4
context: We aren't friends... We're comrades in arms.\You can't be friends with someone you dislike...\Lightning Straight!\But you can't keep hating a comrade in arms.\Retry\Retry.\Viper Slash!\Party 1 Party 2 Party 3 Party 4 response:	Sure, Shiroe is introverted, moody, and puts up walls.
context: You can't be friends with someone you dislike...\Lightning Straight!\But you can't keep hating a comrade in arms.\Retry\Retry.\Viper Slash!\Party 1 Party 2 Party 3 Party 4\Sure, Shiroe is introverted, moody, and puts up walls. response:	Naotsugu, switch with Dinkuron.
context: Lightning Straight!\But you can't keep hating a comrade in arms.\Retry\Retry.\Viper Slash!\Party 1 Party 2 Party 3 Party 4\Sure, Shiroe is introverted, moody, and puts up walls.\Naotsugu, switch with Dinkuron. response:	Roger.
context: But you can't keep hating a comrade in arms.\Retry\Retry.\Viper Slash!\Party 1 Party 2 Party 3 Party 4\Sure, Shiroe is introverted, moody, and puts up walls.\Naotsugu, switch with Dinkuron.\Roger. response:	But that's a minor flaw.
context: Retry\Retry.\Viper Slash!\Party 1 Party 2 Party 3 Party 4\Sure, Shiroe is introverted, moody, and puts up walls.\Naotsugu, switch with Dinkuron.\Roger.\But that's a minor flaw. response:	We're all game freaks.
context: Retry.\Viper Slash!\Party 1 Party 2 Party 3 Party 4\Sure, Shiroe is introverted, moody, and puts up walls.\Naotsugu, switch with Dinkuron.\Roger.\But that's a minor flaw.\We're all game freaks. response:	We're all the same.
context: Viper Slash!\Party 1 Party 2 Party 3 Party 4\Sure, Shiroe is introverted, moody, and puts up walls.\Naotsugu, switch with Dinkuron.\Roger.\But that's a minor flaw.\We're all game freaks.\We're all the same. response:	War Cry!
context: Party 1 Party 2 Party 3 Party 4\Sure, Shiroe is introverted, moody, and puts up walls.\Naotsugu, switch with Dinkuron.\Roger.\But that's a minor flaw.\We're all game freaks.\We're all the same.\War Cry! response:	Highland Sky Race/ Wolf Fang Swashbuckler, Lv. 94 Silver Sword
context: Sure, Shiroe is introverted, moody, and puts up walls.\Naotsugu, switch with Dinkuron.\Roger.\But that's a minor flaw.\We're all game freaks.\We're all the same.\War Cry!\Highland Sky Race/ Wolf Fang Swashbuckler, Lv. 94 Silver Sword response:	Eltendisca Race/ Elf Assassin, Lv. 95 Silver Sword
context: Naotsugu, switch with Dinkuron.\Roger.\But that's a minor flaw.\We're all game freaks.\We're all the same.\War Cry!\Highland Sky Race/ Wolf Fang Swashbuckler, Lv. 94 Silver Sword\Eltendisca Race/ Elf Assassin, Lv. 95 Silver Sword response:	I still don't want to die, but...
context: Roger.\But that's a minor flaw.\We're all game freaks.\We're all the same.\War Cry!\Highland Sky Race/ Wolf Fang Swashbuckler, Lv. 94 Silver Sword\Eltendisca Race/ Elf Assassin, Lv. 95 Silver Sword\I still don't want to die, but... response:	We're here because we choose to be.
context: But that's a minor flaw.\We're all game freaks.\We're all the same.\War Cry!\Highland Sky Race/ Wolf Fang Swashbuckler, Lv. 94 Silver Sword\Eltendisca Race/ Elf Assassin, Lv. 95 Silver Sword\I still don't want to die, but...\We're here because we choose to be. response:	How many times have we died since coming to this world?
context: We're all game freaks.\We're all the same.\War Cry!\Highland Sky Race/ Wolf Fang Swashbuckler, Lv. 94 Silver Sword\Eltendisca Race/ Elf Assassin, Lv. 95 Silver Sword\I still don't want to die, but...\We're here because we choose to be.\How many times have we died since coming to this world? response:	And each time, we have that horrible dream.
context: We're all the same.\War Cry!\Highland Sky Race/ Wolf Fang Swashbuckler, Lv. 94 Silver Sword\Eltendisca Race/ Elf Assassin, Lv. 95 Silver Sword\I still don't want to die, but...\We're here because we choose to be.\How many times have we died since coming to this world?\And each time, we have that horrible dream. response:	But...
context: War Cry!\Highland Sky Race/ Wolf Fang Swashbuckler, Lv. 94 Silver Sword\Eltendisca Race/ Elf Assassin, Lv. 95 Silver Sword\I still don't want to die, but...\We're here because we choose to be.\How many times have we died since coming to this world?\And each time, we have that horrible dream.\But... response:	I've never seen the members of Silver Sword in that dream!
context: Highland Sky Race/ Wolf Fang Swashbuckler, Lv. 94 Silver Sword\Eltendisca Race/ Elf Assassin, Lv. 95 Silver Sword\I still don't want to die, but...\We're here because we choose to be.\How many times have we died since coming to this world?\And each time, we have that horrible dream.\But...\I've never seen the members of Silver Sword in that dream! response:	Yeah,
context: Eltendisca Race/ Elf Assassin, Lv. 95 Silver Sword\I still don't want to die, but...\We're here because we choose to be.\How many times have we died since coming to this world?\And each time, we have that horrible dream.\But...\I've never seen the members of Silver Sword in that dream!\Yeah, response:	not even once.
context: I still don't want to die, but...\We're here because we choose to be.\How many times have we died since coming to this world?\And each time, we have that horrible dream.\But...\I've never seen the members of Silver Sword in that dream!\Yeah,\not even once. response:	Companions I'm never ashamed of...
context: We're here because we choose to be.\How many times have we died since coming to this world?\And each time, we have that horrible dream.\But...\I've never seen the members of Silver Sword in that dream!\Yeah,\not even once.\Companions I'm never ashamed of... response:	Is this what having a place to belong means?
context: How many times have we died since coming to this world?\And each time, we have that horrible dream.\But...\I've never seen the members of Silver Sword in that dream!\Yeah,\not even once.\Companions I'm never ashamed of...\Is this what having a place to belong means? response:	It's embarrassing to say this at my age, but...
context: And each time, we have that horrible dream.\But...\I've never seen the members of Silver Sword in that dream!\Yeah,\not even once.\Companions I'm never ashamed of...\Is this what having a place to belong means?\It's embarrassing to say this at my age, but... response:	I guess you could call them friends.
context: But...\I've never seen the members of Silver Sword in that dream!\Yeah,\not even once.\Companions I'm never ashamed of...\Is this what having a place to belong means?\It's embarrassing to say this at my age, but...\I guess you could call them friends. response:	Ragoumaru!
context: I've never seen the members of Silver Sword in that dream!\Yeah,\not even once.\Companions I'm never ashamed of...\Is this what having a place to belong means?\It's embarrassing to say this at my age, but...\I guess you could call them friends.\Ragoumaru! response:	Right!
context: Yeah,\not even once.\Companions I'm never ashamed of...\Is this what having a place to belong means?\It's embarrassing to say this at my age, but...\I guess you could call them friends.\Ragoumaru!\Right! response:	I want to win...
context: not even once.\Companions I'm never ashamed of...\Is this what having a place to belong means?\It's embarrassing to say this at my age, but...\I guess you could call them friends.\Ragoumaru!\Right!\I want to win... response:	It's not because we want to beat the raid boss.
context: Companions I'm never ashamed of...\Is this what having a place to belong means?\It's embarrassing to say this at my age, but...\I guess you could call them friends.\Ragoumaru!\Right!\I want to win...\It's not because we want to beat the raid boss. response:	Or because we want glory or treasure.
context: Is this what having a place to belong means?\It's embarrassing to say this at my age, but...\I guess you could call them friends.\Ragoumaru!\Right!\I want to win...\It's not because we want to beat the raid boss.\Or because we want glory or treasure. response:	We just want to win.
context: It's embarrassing to say this at my age, but...\I guess you could call them friends.\Ragoumaru!\Right!\I want to win...\It's not because we want to beat the raid boss.\Or because we want glory or treasure.\We just want to win. response:	What we've done wasn't a waste.
context: I guess you could call them friends.\Ragoumaru!\Right!\I want to win...\It's not because we want to beat the raid boss.\Or because we want glory or treasure.\We just want to win.\What we've done wasn't a waste. response:	All we want to do is prove that!
context: Ragoumaru!\Right!\I want to win...\It's not because we want to beat the raid boss.\Or because we want glory or treasure.\We just want to win.\What we've done wasn't a waste.\All we want to do is prove that! response:	Zantetsuken!
context: Right!\I want to win...\It's not because we want to beat the raid boss.\Or because we want glory or treasure.\We just want to win.\What we've done wasn't a waste.\All we want to do is prove that!\Zantetsuken! response:	William!
context: I want to win...\It's not because we want to beat the raid boss.\Or because we want glory or treasure.\We just want to win.\What we've done wasn't a waste.\All we want to do is prove that!\Zantetsuken!\William! response:	It's gone critical!
context: It's not because we want to beat the raid boss.\Or because we want glory or treasure.\We just want to win.\What we've done wasn't a waste.\All we want to do is prove that!\Zantetsuken!\William!\It's gone critical! response:	Hurry!
context: Or because we want glory or treasure.\We just want to win.\What we've done wasn't a waste.\All we want to do is prove that!\Zantetsuken!\William!\It's gone critical!\Hurry! response:	Shiroe's team will take the lead!
context: We just want to win.\What we've done wasn't a waste.\All we want to do is prove that!\Zantetsuken!\William!\It's gone critical!\Hurry!\Shiroe's team will take the lead! response:	Team one, trail the Shadow Vanguard and defeat them.
context: What we've done wasn't a waste.\All we want to do is prove that!\Zantetsuken!\William!\It's gone critical!\Hurry!\Shiroe's team will take the lead!\Team one, trail the Shadow Vanguard and defeat them. response:	Don't neglect a single one!
context: All we want to do is prove that!\Zantetsuken!\William!\It's gone critical!\Hurry!\Shiroe's team will take the lead!\Team one, trail the Shadow Vanguard and defeat them.\Don't neglect a single one! response:	Right!
context: Zantetsuken!\William!\It's gone critical!\Hurry!\Shiroe's team will take the lead!\Team one, trail the Shadow Vanguard and defeat them.\Don't neglect a single one!\Right! response:	So this is Shiroe's plan.
context: William!\It's gone critical!\Hurry!\Shiroe's team will take the lead!\Team one, trail the Shadow Vanguard and defeat them.\Don't neglect a single one!\Right!\So this is Shiroe's plan. response:	Last time, Ibrahabra and Taltaulgar appeared after the gates opened.
context: It's gone critical!\Hurry!\Shiroe's team will take the lead!\Team one, trail the Shadow Vanguard and defeat them.\Don't neglect a single one!\Right!\So this is Shiroe's plan.\Last time, Ibrahabra and Taltaulgar appeared after the gates opened. response:	Ibrahabra of the Third Garden, Lv. 93 Rank/ Raid
context: Hurry!\Shiroe's team will take the lead!\Team one, trail the Shadow Vanguard and defeat them.\Don't neglect a single one!\Right!\So this is Shiroe's plan.\Last time, Ibrahabra and Taltaulgar appeared after the gates opened.\Ibrahabra of the Third Garden, Lv. 93 Rank/ Raid response:	In other words, while they're closed, they're immobile.
context: Shiroe's team will take the lead!\Team one, trail the Shadow Vanguard and defeat them.\Don't neglect a single one!\Right!\So this is Shiroe's plan.\Last time, Ibrahabra and Taltaulgar appeared after the gates opened.\Ibrahabra of the Third Garden, Lv. 93 Rank/ Raid\In other words, while they're closed, they're immobile. response:	As is Luseat.
context: Team one, trail the Shadow Vanguard and defeat them.\Don't neglect a single one!\Right!\So this is Shiroe's plan.\Last time, Ibrahabra and Taltaulgar appeared after the gates opened.\Ibrahabra of the Third Garden, Lv. 93 Rank/ Raid\In other words, while they're closed, they're immobile.\As is Luseat. response:	If we enter the western corridor, we can fight Ibrahabra alone.
context: Don't neglect a single one!\Right!\So this is Shiroe's plan.\Last time, Ibrahabra and Taltaulgar appeared after the gates opened.\Ibrahabra of the Third Garden, Lv. 93 Rank/ Raid\In other words, while they're closed, they're immobile.\As is Luseat.\If we enter the western corridor, we can fight Ibrahabra alone. response:	Yeah.
context: Right!\So this is Shiroe's plan.\Last time, Ibrahabra and Taltaulgar appeared after the gates opened.\Ibrahabra of the Third Garden, Lv. 93 Rank/ Raid\In other words, while they're closed, they're immobile.\As is Luseat.\If we enter the western corridor, we can fight Ibrahabra alone.\Yeah. response:	And we've confirmed that the dungeon's goal lies beyond him, too.
context: So this is Shiroe's plan.\Last time, Ibrahabra and Taltaulgar appeared after the gates opened.\Ibrahabra of the Third Garden, Lv. 93 Rank/ Raid\In other words, while they're closed, they're immobile.\As is Luseat.\If we enter the western corridor, we can fight Ibrahabra alone.\Yeah.\And we've confirmed that the dungeon's goal lies beyond him, too. response:	Of course, it's possible that Luseat
context: Last time, Ibrahabra and Taltaulgar appeared after the gates opened.\Ibrahabra of the Third Garden, Lv. 93 Rank/ Raid\In other words, while they're closed, they're immobile.\As is Luseat.\If we enter the western corridor, we can fight Ibrahabra alone.\Yeah.\And we've confirmed that the dungeon's goal lies beyond him, too.\Of course, it's possible that Luseat response:	will destroy the gate and come after us.
context: Ibrahabra of the Third Garden, Lv. 93 Rank/ Raid\In other words, while they're closed, they're immobile.\As is Luseat.\If we enter the western corridor, we can fight Ibrahabra alone.\Yeah.\And we've confirmed that the dungeon's goal lies beyond him, too.\Of course, it's possible that Luseat\will destroy the gate and come after us. response:	And it looks like it's possible
context: In other words, while they're closed, they're immobile.\As is Luseat.\If we enter the western corridor, we can fight Ibrahabra alone.\Yeah.\And we've confirmed that the dungeon's goal lies beyond him, too.\Of course, it's possible that Luseat\will destroy the gate and come after us.\And it looks like it's possible response:	that if we take too long, Taltaulgar could also come.
context: As is Luseat.\If we enter the western corridor, we can fight Ibrahabra alone.\Yeah.\And we've confirmed that the dungeon's goal lies beyond him, too.\Of course, it's possible that Luseat\will destroy the gate and come after us.\And it looks like it's possible\that if we take too long, Taltaulgar could also come. response:	Even if we defeat Ibrahabra, there may be another raid boss beyond.
context: If we enter the western corridor, we can fight Ibrahabra alone.\Yeah.\And we've confirmed that the dungeon's goal lies beyond him, too.\Of course, it's possible that Luseat\will destroy the gate and come after us.\And it looks like it's possible\that if we take too long, Taltaulgar could also come.\Even if we defeat Ibrahabra, there may be another raid boss beyond. response:	Th-There are things we aren't sure of, but...
context: Yeah.\And we've confirmed that the dungeon's goal lies beyond him, too.\Of course, it's possible that Luseat\will destroy the gate and come after us.\And it looks like it's possible\that if we take too long, Taltaulgar could also come.\Even if we defeat Ibrahabra, there may be another raid boss beyond.\Th-There are things we aren't sure of, but... response:	That doesn't change the fact that there's a chance.
context: And we've confirmed that the dungeon's goal lies beyond him, too.\Of course, it's possible that Luseat\will destroy the gate and come after us.\And it looks like it's possible\that if we take too long, Taltaulgar could also come.\Even if we defeat Ibrahabra, there may be another raid boss beyond.\Th-There are things we aren't sure of, but...\That doesn't change the fact that there's a chance. response:	Yeah.
context: Of course, it's possible that Luseat\will destroy the gate and come after us.\And it looks like it's possible\that if we take too long, Taltaulgar could also come.\Even if we defeat Ibrahabra, there may be another raid boss beyond.\Th-There are things we aren't sure of, but...\That doesn't change the fact that there's a chance.\Yeah. response:	It doesn't matter if it's fifteen percent or five percent!
context: will destroy the gate and come after us.\And it looks like it's possible\that if we take too long, Taltaulgar could also come.\Even if we defeat Ibrahabra, there may be another raid boss beyond.\Th-There are things we aren't sure of, but...\That doesn't change the fact that there's a chance.\Yeah.\It doesn't matter if it's fifteen percent or five percent! response:	If we miss this chance, there may not be another.
context: And it looks like it's possible\that if we take too long, Taltaulgar could also come.\Even if we defeat Ibrahabra, there may be another raid boss beyond.\Th-There are things we aren't sure of, but...\That doesn't change the fact that there's a chance.\Yeah.\It doesn't matter if it's fifteen percent or five percent!\If we miss this chance, there may not be another. response:	Damn it, he's right.
context: that if we take too long, Taltaulgar could also come.\Even if we defeat Ibrahabra, there may be another raid boss beyond.\Th-There are things we aren't sure of, but...\That doesn't change the fact that there's a chance.\Yeah.\It doesn't matter if it's fifteen percent or five percent!\If we miss this chance, there may not be another.\Damn it, he's right. response:	But that was always true.
context: Even if we defeat Ibrahabra, there may be another raid boss beyond.\Th-There are things we aren't sure of, but...\That doesn't change the fact that there's a chance.\Yeah.\It doesn't matter if it's fifteen percent or five percent!\If we miss this chance, there may not be another.\Damn it, he's right.\But that was always true. response:	There is no perfectly safe, secure future.
context: Th-There are things we aren't sure of, but...\That doesn't change the fact that there's a chance.\Yeah.\It doesn't matter if it's fifteen percent or five percent!\If we miss this chance, there may not be another.\Damn it, he's right.\But that was always true.\There is no perfectly safe, secure future. response:	But after I came to this world, I forgot that.
context: That doesn't change the fact that there's a chance.\Yeah.\It doesn't matter if it's fifteen percent or five percent!\If we miss this chance, there may not be another.\Damn it, he's right.\But that was always true.\There is no perfectly safe, secure future.\But after I came to this world, I forgot that. response:	I believed that since it was a game,
context: Yeah.\It doesn't matter if it's fifteen percent or five percent!\If we miss this chance, there may not be another.\Damn it, he's right.\But that was always true.\There is no perfectly safe, secure future.\But after I came to this world, I forgot that.\I believed that since it was a game, response:	I could do anything, and everything would go my way.
context: It doesn't matter if it's fifteen percent or five percent!\If we miss this chance, there may not be another.\Damn it, he's right.\But that was always true.\There is no perfectly safe, secure future.\But after I came to this world, I forgot that.\I believed that since it was a game,\I could do anything, and everything would go my way. response:	And I was crushed.
context: If we miss this chance, there may not be another.\Damn it, he's right.\But that was always true.\There is no perfectly safe, secure future.\But after I came to this world, I forgot that.\I believed that since it was a game,\I could do anything, and everything would go my way.\And I was crushed. response:	Sometimes, things don't go the way you want.
context: Damn it, he's right.\But that was always true.\There is no perfectly safe, secure future.\But after I came to this world, I forgot that.\I believed that since it was a game,\I could do anything, and everything would go my way.\And I was crushed.\Sometimes, things don't go the way you want. response:	This world is undeniably real!
context: But that was always true.\There is no perfectly safe, secure future.\But after I came to this world, I forgot that.\I believed that since it was a game,\I could do anything, and everything would go my way.\And I was crushed.\Sometimes, things don't go the way you want.\This world is undeniably real! response:	I was forced to realize that.
context: There is no perfectly safe, secure future.\But after I came to this world, I forgot that.\I believed that since it was a game,\I could do anything, and everything would go my way.\And I was crushed.\Sometimes, things don't go the way you want.\This world is undeniably real!\I was forced to realize that. response:	But I still underestimated it, under the delusion that it was a game.
context: But after I came to this world, I forgot that.\I believed that since it was a game,\I could do anything, and everything would go my way.\And I was crushed.\Sometimes, things don't go the way you want.\This world is undeniably real!\I was forced to realize that.\But I still underestimated it, under the delusion that it was a game. response:	You made another mess.
context: I believed that since it was a game,\I could do anything, and everything would go my way.\And I was crushed.\Sometimes, things don't go the way you want.\This world is undeniably real!\I was forced to realize that.\But I still underestimated it, under the delusion that it was a game.\You made another mess. response:	Hey, move.
context: I could do anything, and everything would go my way.\And I was crushed.\Sometimes, things don't go the way you want.\This world is undeniably real!\I was forced to realize that.\But I still underestimated it, under the delusion that it was a game.\You made another mess.\Hey, move. response:	What?!
context: And I was crushed.\Sometimes, things don't go the way you want.\This world is undeniably real!\I was forced to realize that.\But I still underestimated it, under the delusion that it was a game.\You made another mess.\Hey, move.\What?! response:	You're just in the way, with that big body of yours.
context: Sometimes, things don't go the way you want.\This world is undeniably real!\I was forced to realize that.\But I still underestimated it, under the delusion that it was a game.\You made another mess.\Hey, move.\What?!\You're just in the way, with that big body of yours. response:	You damn little Land girl
context: This world is undeniably real!\I was forced to realize that.\But I still underestimated it, under the delusion that it was a game.\You made another mess.\Hey, move.\What?!\You're just in the way, with that big body of yours.\You damn little Land girl response:	If you're going to do nothing but talk,
context: I was forced to realize that.\But I still underestimated it, under the delusion that it was a game.\You made another mess.\Hey, move.\What?!\You're just in the way, with that big body of yours.\You damn little Land girl\If you're going to do nothing but talk, response:	just hurry up and kill me.
