context: The cumulative results for the practical exam are out! response:	I can't believe he got first place with no rescue points.
context: he used his flashy Quirk to keep bringing them close and then counterattacking.\It's the result of his toughness.\In contrast, there's the 7th place student with zero villain points.\There have been other examinees who took on the large villain in the past,\but it's been a while since I last saw someone blow it away.\But to suffer such a serious injury from his own attack...\It's like he's a young child whose Quirk just manifested.\The night after I opened my acceptance letter... response:	All Might!
context: It's the result of his toughness.\In contrast, there's the 7th place student with zero villain points.\There have been other examinees who took on the large villain in the past,\but it's been a while since I last saw someone blow it away.\But to suffer such a serious injury from his own attack...\It's like he's a young child whose Quirk just manifested.\The night after I opened my acceptance letter...\All Might! response:	Who's that?!
context: In contrast, there's the 7th place student with zero villain points.\There have been other examinees who took on the large villain in the past,\but it's been a while since I last saw someone blow it away.\But to suffer such a serious injury from his own attack...\It's like he's a young child whose Quirk just manifested.\The night after I opened my acceptance letter...\All Might!\Who's that?! response:	All Might?
context: There have been other examinees who took on the large villain in the past,\but it's been a while since I last saw someone blow it away.\But to suffer such a serious injury from his own attack...\It's like he's a young child whose Quirk just manifested.\The night after I opened my acceptance letter...\All Might!\Who's that?!\All Might? response:	No way! Where?
context: but it's been a while since I last saw someone blow it away.\But to suffer such a serious injury from his own attack...\It's like he's a young child whose Quirk just manifested.\The night after I opened my acceptance letter...\All Might!\Who's that?!\All Might?\No way! Where? response:	Repeat after me: I had the wrong person.
context: But to suffer such a serious injury from his own attack...\It's like he's a young child whose Quirk just manifested.\The night after I opened my acceptance letter...\All Might!\Who's that?!\All Might?\No way! Where?\Repeat after me: I had the wrong person. response:	Oh, I had the wrong person!
context: It's like he's a young child whose Quirk just manifested.\The night after I opened my acceptance letter...\All Might!\Who's that?!\All Might?\No way! Where?\Repeat after me: I had the wrong person.\Oh, I had the wrong person! response:	Aw, what?
context: The night after I opened my acceptance letter...\All Might!\Who's that?!\All Might?\No way! Where?\Repeat after me: I had the wrong person.\Oh, I had the wrong person!\Aw, what? response:	I was hoping to see him...
context: All Might!\Who's that?!\All Might?\No way! Where?\Repeat after me: I had the wrong person.\Oh, I had the wrong person!\Aw, what?\I was hoping to see him... response:	Congrats on getting accepted.
context: Who's that?!\All Might?\No way! Where?\Repeat after me: I had the wrong person.\Oh, I had the wrong person!\Aw, what?\I was hoping to see him...\Congrats on getting accepted. response:	Th-Th-Thank you very much!
context: All Might?\No way! Where?\Repeat after me: I had the wrong person.\Oh, I had the wrong person!\Aw, what?\I was hoping to see him...\Congrats on getting accepted.\Th-Th-Thank you very much! response:	Just so you know, I didn't tell the school about my connection to you.
context: No way! Where?\Repeat after me: I had the wrong person.\Oh, I had the wrong person!\Aw, what?\I was hoping to see him...\Congrats on getting accepted.\Th-Th-Thank you very much!\Just so you know, I didn't tell the school about my connection to you. response:	You're the type that would think that's cheating, right?
context: Repeat after me: I had the wrong person.\Oh, I had the wrong person!\Aw, what?\I was hoping to see him...\Congrats on getting accepted.\Th-Th-Thank you very much!\Just so you know, I didn't tell the school about my connection to you.\You're the type that would think that's cheating, right? response:	I wasn't one of the judges.
context: Oh, I had the wrong person!\Aw, what?\I was hoping to see him...\Congrats on getting accepted.\Th-Th-Thank you very much!\Just so you know, I didn't tell the school about my connection to you.\You're the type that would think that's cheating, right?\I wasn't one of the judges. response:	Th-Thank you for your concern!
context: Aw, what?\I was hoping to see him...\Congrats on getting accepted.\Th-Th-Thank you very much!\Just so you know, I didn't tell the school about my connection to you.\You're the type that would think that's cheating, right?\I wasn't one of the judges.\Th-Thank you for your concern! response:	But I was surprised to find out that you were a teacher at U.A.
context: I was hoping to see him...\Congrats on getting accepted.\Th-Th-Thank you very much!\Just so you know, I didn't tell the school about my connection to you.\You're the type that would think that's cheating, right?\I wasn't one of the judges.\Th-Thank you for your concern!\But I was surprised to find out that you were a teacher at U.A. response:	So that's why you came here, huh?
context: Congrats on getting accepted.\Th-Th-Thank you very much!\Just so you know, I didn't tell the school about my connection to you.\You're the type that would think that's cheating, right?\I wasn't one of the judges.\Th-Thank you for your concern!\But I was surprised to find out that you were a teacher at U.A.\So that's why you came here, huh? response:	I mean, your agency is in Roppongi in Minato, Tokyo at
context: Th-Th-Thank you very much!\Just so you know, I didn't tell the school about my connection to you.\You're the type that would think that's cheating, right?\I wasn't one of the judges.\Th-Thank you for your concern!\But I was surprised to find out that you were a teacher at U.A.\So that's why you came here, huh?\I mean, your agency is in Roppongi in Minato, Tokyo at response:	Stop that!
context: Just so you know, I didn't tell the school about my connection to you.\You're the type that would think that's cheating, right?\I wasn't one of the judges.\Th-Thank you for your concern!\But I was surprised to find out that you were a teacher at U.A.\So that's why you came here, huh?\I mean, your agency is in Roppongi in Minato, Tokyo at\Stop that! response:	I couldn't tell anyone before the school announced it.
context: You're the type that would think that's cheating, right?\I wasn't one of the judges.\Th-Thank you for your concern!\But I was surprised to find out that you were a teacher at U.A.\So that's why you came here, huh?\I mean, your agency is in Roppongi in Minato, Tokyo at\Stop that!\I couldn't tell anyone before the school announced it. response:	I just happened to be offered a job from U A. when I was searching for a successor.
context: I wasn't one of the judges.\Th-Thank you for your concern!\But I was surprised to find out that you were a teacher at U.A.\So that's why you came here, huh?\I mean, your agency is in Roppongi in Minato, Tokyo at\Stop that!\I couldn't tell anyone before the school announced it.\I just happened to be offered a job from U A. when I was searching for a successor. response:	I have been looking for a successor.
context: Th-Thank you for your concern!\But I was surprised to find out that you were a teacher at U.A.\So that's why you came here, huh?\I mean, your agency is in Roppongi in Minato, Tokyo at\Stop that!\I couldn't tell anyone before the school announced it.\I just happened to be offered a job from U A. when I was searching for a successor.\I have been looking for a successor. response:	I see.
context: But I was surprised to find out that you were a teacher at U.A.\So that's why you came here, huh?\I mean, your agency is in Roppongi in Minato, Tokyo at\Stop that!\I couldn't tell anyone before the school announced it.\I just happened to be offered a job from U A. when I was searching for a successor.\I have been looking for a successor.\I see. response:	He was originally planning on choosing one of the students.
context: So that's why you came here, huh?\I mean, your agency is in Roppongi in Minato, Tokyo at\Stop that!\I couldn't tell anyone before the school announced it.\I just happened to be offered a job from U A. when I was searching for a successor.\I have been looking for a successor.\I see.\He was originally planning on choosing one of the students. response:	One of the students gifted with an amazing Quirk.
context: I mean, your agency is in Roppongi in Minato, Tokyo at\Stop that!\I couldn't tell anyone before the school announced it.\I just happened to be offered a job from U A. when I was searching for a successor.\I have been looking for a successor.\I see.\He was originally planning on choosing one of the students.\One of the students gifted with an amazing Quirk. response:	My body broke with one kick and one punch of One For All.
context: Stop that!\I couldn't tell anyone before the school announced it.\I just happened to be offered a job from U A. when I was searching for a successor.\I have been looking for a successor.\I see.\He was originally planning on choosing one of the students.\One of the students gifted with an amazing Quirk.\My body broke with one kick and one punch of One For All. response:	I can't control it at all.
context: I couldn't tell anyone before the school announced it.\I just happened to be offered a job from U A. when I was searching for a successor.\I have been looking for a successor.\I see.\He was originally planning on choosing one of the students.\One of the students gifted with an amazing Quirk.\My body broke with one kick and one punch of One For All.\I can't control it at all. response:	That can't be helped.
context: I just happened to be offered a job from U A. when I was searching for a successor.\I have been looking for a successor.\I see.\He was originally planning on choosing one of the students.\One of the students gifted with an amazing Quirk.\My body broke with one kick and one punch of One For All.\I can't control it at all.\That can't be helped. response:	It's like if you asked a person who suddenly grew a tail to do a trick...
context: I have been looking for a successor.\I see.\He was originally planning on choosing one of the students.\One of the students gifted with an amazing Quirk.\My body broke with one kick and one punch of One For All.\I can't control it at all.\That can't be helped.\It's like if you asked a person who suddenly grew a tail to do a trick... response:	Wait, did you know that would happen?!
context: I see.\He was originally planning on choosing one of the students.\One of the students gifted with an amazing Quirk.\My body broke with one kick and one punch of One For All.\I can't control it at all.\That can't be helped.\It's like if you asked a person who suddenly grew a tail to do a trick...\Wait, did you know that would happen?! response:	Well, there wasn't any time...
context: He was originally planning on choosing one of the students.\One of the students gifted with an amazing Quirk.\My body broke with one kick and one punch of One For All.\I can't control it at all.\That can't be helped.\It's like if you asked a person who suddenly grew a tail to do a trick...\Wait, did you know that would happen?!\Well, there wasn't any time... response:	But it turned out all right.
context: One of the students gifted with an amazing Quirk.\My body broke with one kick and one punch of One For All.\I can't control it at all.\That can't be helped.\It's like if you asked a person who suddenly grew a tail to do a trick...\Wait, did you know that would happen?!\Well, there wasn't any time...\But it turned out all right. response:	It turned out all might!
context: My body broke with one kick and one punch of One For All.\I can't control it at all.\That can't be helped.\It's like if you asked a person who suddenly grew a tail to do a trick...\Wait, did you know that would happen?!\Well, there wasn't any time...\But it turned out all right.\It turned out all might! response:	Right now, you're either at a hundred percent or zero.
context: I can't control it at all.\That can't be helped.\It's like if you asked a person who suddenly grew a tail to do a trick...\Wait, did you know that would happen?!\Well, there wasn't any time...\But it turned out all right.\It turned out all might!\Right now, you're either at a hundred percent or zero. response:	But once you can control it, you'll be able to adjust to what your body can handle.
context: That can't be helped.\It's like if you asked a person who suddenly grew a tail to do a trick...\Wait, did you know that would happen?!\Well, there wasn't any time...\But it turned out all right.\It turned out all might!\Right now, you're either at a hundred percent or zero.\But once you can control it, you'll be able to adjust to what your body can handle. response:	Control?!
context: It's like if you asked a person who suddenly grew a tail to do a trick...\Wait, did you know that would happen?!\Well, there wasn't any time...\But it turned out all right.\It turned out all might!\Right now, you're either at a hundred percent or zero.\But once you can control it, you'll be able to adjust to what your body can handle.\Control?! response:	The more you train a vessel, the more you'll be able to move the power freely.
context: Wait, did you know that would happen?!\Well, there wasn't any time...\But it turned out all right.\It turned out all might!\Right now, you're either at a hundred percent or zero.\But once you can control it, you'll be able to adjust to what your body can handle.\Control?!\The more you train a vessel, the more you'll be able to move the power freely. response:	Like this.
context: Well, there wasn't any time...\But it turned out all right.\It turned out all might!\Right now, you're either at a hundred percent or zero.\But once you can control it, you'll be able to adjust to what your body can handle.\Control?!\The more you train a vessel, the more you'll be able to move the power freely.\Like this. response:	Wait, is that All Might?!
context: But it turned out all right.\It turned out all might!\Right now, you're either at a hundred percent or zero.\But once you can control it, you'll be able to adjust to what your body can handle.\Control?!\The more you train a vessel, the more you'll be able to move the power freely.\Like this.\Wait, is that All Might?! response:	No way! When did he get here?!
context: It turned out all might!\Right now, you're either at a hundred percent or zero.\But once you can control it, you'll be able to adjust to what your body can handle.\Control?!\The more you train a vessel, the more you'll be able to move the power freely.\Like this.\Wait, is that All Might?!\No way! When did he get here?! response:	Let's go, young Midoriya!
context: Right now, you're either at a hundred percent or zero.\But once you can control it, you'll be able to adjust to what your body can handle.\Control?!\The more you train a vessel, the more you'll be able to move the power freely.\Like this.\Wait, is that All Might?!\No way! When did he get here?!\Let's go, young Midoriya! response:	Y-Yes, sir!
context: But once you can control it, you'll be able to adjust to what your body can handle.\Control?!\The more you train a vessel, the more you'll be able to move the power freely.\Like this.\Wait, is that All Might?!\No way! When did he get here?!\Let's go, young Midoriya!\Y-Yes, sir! response:	The flame I passed on to you is still small,
context: Control?!\The more you train a vessel, the more you'll be able to move the power freely.\Like this.\Wait, is that All Might?!\No way! When did he get here?!\Let's go, young Midoriya!\Y-Yes, sir!\The flame I passed on to you is still small, response:	but in the future, it'll be exposed to wind and rain and grow even bigger.
context: The more you train a vessel, the more you'll be able to move the power freely.\Like this.\Wait, is that All Might?!\No way! When did he get here?!\Let's go, young Midoriya!\Y-Yes, sir!\The flame I passed on to you is still small,\but in the future, it'll be exposed to wind and rain and grow even bigger. response:	And then, I will slowly become weak and disappear, and I will finish my job.
context: Like this.\Wait, is that All Might?!\No way! When did he get here?!\Let's go, young Midoriya!\Y-Yes, sir!\The flame I passed on to you is still small,\but in the future, it'll be exposed to wind and rain and grow even bigger.\And then, I will slowly become weak and disappear, and I will finish my job. response:	Yeah, that's deep.
context: Wait, is that All Might?!\No way! When did he get here?!\Let's go, young Midoriya!\Y-Yes, sir!\The flame I passed on to you is still small,\but in the future, it'll be exposed to wind and rain and grow even bigger.\And then, I will slowly become weak and disappear, and I will finish my job.\Yeah, that's deep. response:	Izuku, do you have tissue?
context: No way! When did he get here?!\Let's go, young Midoriya!\Y-Yes, sir!\The flame I passed on to you is still small,\but in the future, it'll be exposed to wind and rain and grow even bigger.\And then, I will slowly become weak and disappear, and I will finish my job.\Yeah, that's deep.\Izuku, do you have tissue? response:	Yeah.
context: Let's go, young Midoriya!\Y-Yes, sir!\The flame I passed on to you is still small,\but in the future, it'll be exposed to wind and rain and grow even bigger.\And then, I will slowly become weak and disappear, and I will finish my job.\Yeah, that's deep.\Izuku, do you have tissue?\Yeah. response:	And your handkerchief? What about your handkerchief? Your hanky?
context: Y-Yes, sir!\The flame I passed on to you is still small,\but in the future, it'll be exposed to wind and rain and grow even bigger.\And then, I will slowly become weak and disappear, and I will finish my job.\Yeah, that's deep.\Izuku, do you have tissue?\Yeah.\And your handkerchief? What about your handkerchief? Your hanky? response:	I have it!
context: The flame I passed on to you is still small,\but in the future, it'll be exposed to wind and rain and grow even bigger.\And then, I will slowly become weak and disappear, and I will finish my job.\Yeah, that's deep.\Izuku, do you have tissue?\Yeah.\And your handkerchief? What about your handkerchief? Your hanky?\I have it! response:	I don't have time, I'm going to be late.
context: but in the future, it'll be exposed to wind and rain and grow even bigger.\And then, I will slowly become weak and disappear, and I will finish my job.\Yeah, that's deep.\Izuku, do you have tissue?\Yeah.\And your handkerchief? What about your handkerchief? Your hanky?\I have it!\I don't have time, I'm going to be late. response:	Izuku!
context: And then, I will slowly become weak and disappear, and I will finish my job.\Yeah, that's deep.\Izuku, do you have tissue?\Yeah.\And your handkerchief? What about your handkerchief? Your hanky?\I have it!\I don't have time, I'm going to be late.\Izuku! response:	What is it?!
context: Yeah, that's deep.\Izuku, do you have tissue?\Yeah.\And your handkerchief? What about your handkerchief? Your hanky?\I have it!\I don't have time, I'm going to be late.\Izuku!\What is it?! response:	You're really cool.
context: Izuku, do you have tissue?\Yeah.\And your handkerchief? What about your handkerchief? Your hanky?\I have it!\I don't have time, I'm going to be late.\Izuku!\What is it?!\You're really cool. response:	That was the beginning of my high school career.
context: Yeah.\And your handkerchief? What about your handkerchief? Your hanky?\I have it!\I don't have time, I'm going to be late.\Izuku!\What is it?!\You're really cool.\That was the beginning of my high school career. response:	I'm off!
context: And your handkerchief? What about your handkerchief? Your hanky?\I have it!\I don't have time, I'm going to be late.\Izuku!\What is it?!\You're really cool.\That was the beginning of my high school career.\I'm off! response:	The acceptance rate for U.A. High's hero course is less than one in three hundred every year.
context: I have it!\I don't have time, I'm going to be late.\Izuku!\What is it?!\You're really cool.\That was the beginning of my high school career.\I'm off!\The acceptance rate for U.A. High's hero course is less than one in three hundred every year. response:	Other than the four people admitted through recommendations,
context: I don't have time, I'm going to be late.\Izuku!\What is it?!\You're really cool.\That was the beginning of my high school career.\I'm off!\The acceptance rate for U.A. High's hero course is less than one in three hundred every year.\Other than the four people admitted through recommendations, response:	36 are admitted through the regular exam.
context: Izuku!\What is it?!\You're really cool.\That was the beginning of my high school career.\I'm off!\The acceptance rate for U.A. High's hero course is less than one in three hundred every year.\Other than the four people admitted through recommendations,\36 are admitted through the regular exam. response:	Those 36 are split into only two classes, with 18 in each.
context: What is it?!\You're really cool.\That was the beginning of my high school career.\I'm off!\The acceptance rate for U.A. High's hero course is less than one in three hundred every year.\Other than the four people admitted through recommendations,\36 are admitted through the regular exam.\Those 36 are split into only two classes, with 18 in each. response:	Class 1-A... 1-A...
context: You're really cool.\That was the beginning of my high school career.\I'm off!\The acceptance rate for U.A. High's hero course is less than one in three hundred every year.\Other than the four people admitted through recommendations,\36 are admitted through the regular exam.\Those 36 are split into only two classes, with 18 in each.\Class 1-A... 1-A... response:	This place s too big...
context: That was the beginning of my high school career.\I'm off!\The acceptance rate for U.A. High's hero course is less than one in three hundred every year.\Other than the four people admitted through recommendations,\36 are admitted through the regular exam.\Those 36 are split into only two classes, with 18 in each.\Class 1-A... 1-A...\This place s too big... response:	There it is!
context: I'm off!\The acceptance rate for U.A. High's hero course is less than one in three hundred every year.\Other than the four people admitted through recommendations,\36 are admitted through the regular exam.\Those 36 are split into only two classes, with 18 in each.\Class 1-A... 1-A...\This place s too big...\There it is! response:	The door's huge!
context: The acceptance rate for U.A. High's hero course is less than one in three hundred every year.\Other than the four people admitted through recommendations,\36 are admitted through the regular exam.\Those 36 are split into only two classes, with 18 in each.\Class 1-A... 1-A...\This place s too big...\There it is!\The door's huge! response:	Is it for accessibility...?
context: Other than the four people admitted through recommendations,\36 are admitted through the regular exam.\Those 36 are split into only two classes, with 18 in each.\Class 1-A... 1-A...\This place s too big...\There it is!\The door's huge!\Is it for accessibility...? response:	The elite chosen from the huge number at the exam...
context: 36 are admitted through the regular exam.\Those 36 are split into only two classes, with 18 in each.\Class 1-A... 1-A...\This place s too big...\There it is!\The door's huge!\Is it for accessibility...?\The elite chosen from the huge number at the exam... response:	I hope I'm not in the same class as the scary peopl
context: Those 36 are split into only two classes, with 18 in each.\Class 1-A... 1-A...\This place s too big...\There it is!\The door's huge!\Is it for accessibility...?\The elite chosen from the huge number at the exam...\I hope I'm not in the same class as the scary peopl response:	Don't put your feet on the desk!
context: Class 1-A... 1-A...\This place s too big...\There it is!\The door's huge!\Is it for accessibility...?\The elite chosen from the huge number at the exam...\I hope I'm not in the same class as the scary peopl\Don't put your feet on the desk! response:	Huh?
context: This place s too big...\There it is!\The door's huge!\Is it for accessibility...?\The elite chosen from the huge number at the exam...\I hope I'm not in the same class as the scary peopl\Don't put your feet on the desk!\Huh? response:	Don't you think that's rude to the U.A. upperclassmen and the people who made the desk?
context: There it is!\The door's huge!\Is it for accessibility...?\The elite chosen from the huge number at the exam...\I hope I'm not in the same class as the scary peopl\Don't put your feet on the desk!\Huh?\Don't you think that's rude to the U.A. upperclassmen and the people who made the desk? response:	I don't!
context: The door's huge!\Is it for accessibility...?\The elite chosen from the huge number at the exam...\I hope I'm not in the same class as the scary peopl\Don't put your feet on the desk!\Huh?\Don't you think that's rude to the U.A. upperclassmen and the people who made the desk?\I don't! response:	What junior high did you go to, you side character?!
context: Is it for accessibility...?\The elite chosen from the huge number at the exam...\I hope I'm not in the same class as the scary peopl\Don't put your feet on the desk!\Huh?\Don't you think that's rude to the U.A. upperclassmen and the people who made the desk?\I don't!\What junior high did you go to, you side character?! response:	The top two?
context: The elite chosen from the huge number at the exam...\I hope I'm not in the same class as the scary peopl\Don't put your feet on the desk!\Huh?\Don't you think that's rude to the U.A. upperclassmen and the people who made the desk?\I don't!\What junior high did you go to, you side character?!\The top two? response:	I attended Somei Private Academy.
context: I hope I'm not in the same class as the scary peopl\Don't put your feet on the desk!\Huh?\Don't you think that's rude to the U.A. upperclassmen and the people who made the desk?\I don't!\What junior high did you go to, you side character?!\The top two?\I attended Somei Private Academy. response:	My name is Iida Tenya.
context: Don't put your feet on the desk!\Huh?\Don't you think that's rude to the U.A. upperclassmen and the people who made the desk?\I don't!\What junior high did you go to, you side character?!\The top two?\I attended Somei Private Academy.\My name is Iida Tenya. response:	Somei?!
context: Huh?\Don't you think that's rude to the U.A. upperclassmen and the people who made the desk?\I don't!\What junior high did you go to, you side character?!\The top two?\I attended Somei Private Academy.\My name is Iida Tenya.\Somei?! response:	So you're a damn elite, huh?
context: Don't you think that's rude to the U.A. upperclassmen and the people who made the desk?\I don't!\What junior high did you go to, you side character?!\The top two?\I attended Somei Private Academy.\My name is Iida Tenya.\Somei?!\So you're a damn elite, huh? response:	Looks like I'll have fun crushing you!
context: I don't!\What junior high did you go to, you side character?!\The top two?\I attended Somei Private Academy.\My name is Iida Tenya.\Somei?!\So you're a damn elite, huh?\Looks like I'll have fun crushing you! response:	Crushing?
context: What junior high did you go to, you side character?!\The top two?\I attended Somei Private Academy.\My name is Iida Tenya.\Somei?!\So you're a damn elite, huh?\Looks like I'll have fun crushing you!\Crushing? response:	You're terrible!
context: The top two?\I attended Somei Private Academy.\My name is Iida Tenya.\Somei?!\So you're a damn elite, huh?\Looks like I'll have fun crushing you!\Crushing?\You're terrible! response:	Do you truly aim to be a hero?!
context: I attended Somei Private Academy.\My name is Iida Tenya.\Somei?!\So you're a damn elite, huh?\Looks like I'll have fun crushing you!\Crushing?\You're terrible!\Do you truly aim to be a hero?! response:	You're...
context: My name is Iida Tenya.\Somei?!\So you're a damn elite, huh?\Looks like I'll have fun crushing you!\Crushing?\You're terrible!\Do you truly aim to be a hero?!\You're... response:	Oh, um...
context: Somei?!\So you're a damn elite, huh?\Looks like I'll have fun crushing you!\Crushing?\You're terrible!\Do you truly aim to be a hero?!\You're...\Oh, um... response:	Good morning!
context: So you're a damn elite, huh?\Looks like I'll have fun crushing you!\Crushing?\You're terrible!\Do you truly aim to be a hero?!\You're...\Oh, um...\Good morning! response:	I am from Somei Private Academy. My name is
context: Looks like I'll have fun crushing you!\Crushing?\You're terrible!\Do you truly aim to be a hero?!\You're...\Oh, um...\Good morning!\I am from Somei Private Academy. My name is response:	I heard!
context: Crushing?\You're terrible!\Do you truly aim to be a hero?!\You're...\Oh, um...\Good morning!\I am from Somei Private Academy. My name is\I heard! response:	I'm Midoriya.
context: You're terrible!\Do you truly aim to be a hero?!\You're...\Oh, um...\Good morning!\I am from Somei Private Academy. My name is\I heard!\I'm Midoriya. response:	Nice to meet you, Iida.
context: Do you truly aim to be a hero?!\You're...\Oh, um...\Good morning!\I am from Somei Private Academy. My name is\I heard!\I'm Midoriya.\Nice to meet you, Iida. response:	Midoriya, you realized there was something more to that practical exam, didn't you?
context: You're...\Oh, um...\Good morning!\I am from Somei Private Academy. My name is\I heard!\I'm Midoriya.\Nice to meet you, Iida.\Midoriya, you realized there was something more to that practical exam, didn't you? response:	I had no idea...
context: Oh, um...\Good morning!\I am from Somei Private Academy. My name is\I heard!\I'm Midoriya.\Nice to meet you, Iida.\Midoriya, you realized there was something more to that practical exam, didn't you?\I had no idea... response:	I misjudged you!
context: Good morning!\I am from Somei Private Academy. My name is\I heard!\I'm Midoriya.\Nice to meet you, Iida.\Midoriya, you realized there was something more to that practical exam, didn't you?\I had no idea...\I misjudged you! response:	I hate to admit it, but you are better than me.
context: I am from Somei Private Academy. My name is\I heard!\I'm Midoriya.\Nice to meet you, Iida.\Midoriya, you realized there was something more to that practical exam, didn't you?\I had no idea...\I misjudged you!\I hate to admit it, but you are better than me. response:	Sorry.
context: I heard!\I'm Midoriya.\Nice to meet you, Iida.\Midoriya, you realized there was something more to that practical exam, didn't you?\I had no idea...\I misjudged you!\I hate to admit it, but you are better than me.\Sorry. response:	I actually didn't realize anything.
context: I'm Midoriya.\Nice to meet you, Iida.\Midoriya, you realized there was something more to that practical exam, didn't you?\I had no idea...\I misjudged you!\I hate to admit it, but you are better than me.\Sorry.\I actually didn't realize anything. response:	Oh, that curly hair!
context: Nice to meet you, Iida.\Midoriya, you realized there was something more to that practical exam, didn't you?\I had no idea...\I misjudged you!\I hate to admit it, but you are better than me.\Sorry.\I actually didn't realize anything.\Oh, that curly hair! response:	You're the plain-looking one!
context: Midoriya, you realized there was something more to that practical exam, didn't you?\I had no idea...\I misjudged you!\I hate to admit it, but you are better than me.\Sorry.\I actually didn't realize anything.\Oh, that curly hair!\You're the plain-looking one! response:	You passed, just like Present Mic said!
context: I had no idea...\I misjudged you!\I hate to admit it, but you are better than me.\Sorry.\I actually didn't realize anything.\Oh, that curly hair!\You're the plain-looking one!\You passed, just like Present Mic said! response:	It's the nice person!
context: I misjudged you!\I hate to admit it, but you are better than me.\Sorry.\I actually didn't realize anything.\Oh, that curly hair!\You're the plain-looking one!\You passed, just like Present Mic said!\It's the nice person! response:	She looks good in a uniform...
context: I hate to admit it, but you are better than me.\Sorry.\I actually didn't realize anything.\Oh, that curly hair!\You're the plain-looking one!\You passed, just like Present Mic said!\It's the nice person!\She looks good in a uniform... response:	Of course you did!
context: Sorry.\I actually didn't realize anything.\Oh, that curly hair!\You're the plain-looking one!\You passed, just like Present Mic said!\It's the nice person!\She looks good in a uniform...\Of course you did! response:	Your punch was amazing!
context: I actually didn't realize anything.\Oh, that curly hair!\You're the plain-looking one!\You passed, just like Present Mic said!\It's the nice person!\She looks good in a uniform...\Of course you did!\Your punch was amazing! response:	Break! Break! Break! Break! Bre
context: Oh, that curly hair!\You're the plain-looking one!\You passed, just like Present Mic said!\It's the nice person!\She looks good in a uniform...\Of course you did!\Your punch was amazing!\Break! Break! Break! Break! Bre response:	Oh, well, um, it was thanks to you going to speak with him directly that I, uh...
context: You're the plain-looking one!\You passed, just like Present Mic said!\It's the nice person!\She looks good in a uniform...\Of course you did!\Your punch was amazing!\Break! Break! Break! Break! Bre\Oh, well, um, it was thanks to you going to speak with him directly that I, uh... response:	Huh? How did you know about that?
context: You passed, just like Present Mic said!\It's the nice person!\She looks good in a uniform...\Of course you did!\Your punch was amazing!\Break! Break! Break! Break! Bre\Oh, well, um, it was thanks to you going to speak with him directly that I, uh...\Huh? How did you know about that? response:	Oh, uh, that's because...
context: It's the nice person!\She looks good in a uniform...\Of course you did!\Your punch was amazing!\Break! Break! Break! Break! Bre\Oh, well, um, it was thanks to you going to speak with him directly that I, uh...\Huh? How did you know about that?\Oh, uh, that's because... response:	I can't believe we have two students from our school matriculating into U.A.!
