context: It's hot! It's hot! It's hot! response:	Once upon a time, there lived a grandmother and a grandfather.
context: Yukimura Jii-san went to the mountain to get firewood...\which was what he was supposed to do, but instead he was helping with the laundry.\Then all of a sudden, a large peach came drifting down the river.\What is this!?\Yay, I love peaches!\Granny.\Grandmother and Grandfather took the peach home and...\Shine. response:	Tried to eat it.
context: which was what he was supposed to do, but instead he was helping with the laundry.\Then all of a sudden, a large peach came drifting down the river.\What is this!?\Yay, I love peaches!\Granny.\Grandmother and Grandfather took the peach home and...\Shine.\Tried to eat it. response:	Right then-
context: Then all of a sudden, a large peach came drifting down the river.\What is this!?\Yay, I love peaches!\Granny.\Grandmother and Grandfather took the peach home and...\Shine.\Tried to eat it.\Right then- response:	From the peach, came out-
context: What is this!?\Yay, I love peaches!\Granny.\Grandmother and Grandfather took the peach home and...\Shine.\Tried to eat it.\Right then-\From the peach, came out- response:	Tada!
context: Yay, I love peaches!\Granny.\Grandmother and Grandfather took the peach home and...\Shine.\Tried to eat it.\Right then-\From the peach, came out-\Tada! response:	I-I am... will... slay the Oni!
context: Granny.\Grandmother and Grandfather took the peach home and...\Shine.\Tried to eat it.\Right then-\From the peach, came out-\Tada!\I-I am... will... slay the Oni! response:	Granny! A person came out of the peach!
context: Grandmother and Grandfather took the peach home and...\Shine.\Tried to eat it.\Right then-\From the peach, came out-\Tada!\I-I am... will... slay the Oni!\Granny! A person came out of the peach! response:	It's no time to be eating the peach.
context: Shine.\Tried to eat it.\Right then-\From the peach, came out-\Tada!\I-I am... will... slay the Oni!\Granny! A person came out of the peach!\It's no time to be eating the peach. response:	I heard that the Oni are kidnapping young girls; terrifying the villagers.
context: Tried to eat it.\Right then-\From the peach, came out-\Tada!\I-I am... will... slay the Oni!\Granny! A person came out of the peach!\It's no time to be eating the peach.\I heard that the Oni are kidnapping young girls; terrifying the villagers. response:	My, what a fine child we have here.
context: Right then-\From the peach, came out-\Tada!\I-I am... will... slay the Oni!\Granny! A person came out of the peach!\It's no time to be eating the peach.\I heard that the Oni are kidnapping young girls; terrifying the villagers.\My, what a fine child we have here. response:	Those atrocious Oni! Unforgivable!
context: From the peach, came out-\Tada!\I-I am... will... slay the Oni!\Granny! A person came out of the peach!\It's no time to be eating the peach.\I heard that the Oni are kidnapping young girls; terrifying the villagers.\My, what a fine child we have here.\Those atrocious Oni! Unforgivable! response:	Calm down, Peach Boy.
context: Tada!\I-I am... will... slay the Oni!\Granny! A person came out of the peach!\It's no time to be eating the peach.\I heard that the Oni are kidnapping young girls; terrifying the villagers.\My, what a fine child we have here.\Those atrocious Oni! Unforgivable!\Calm down, Peach Boy. response:	Act naturally and you'll be fine.
context: I-I am... will... slay the Oni!\Granny! A person came out of the peach!\It's no time to be eating the peach.\I heard that the Oni are kidnapping young girls; terrifying the villagers.\My, what a fine child we have here.\Those atrocious Oni! Unforgivable!\Calm down, Peach Boy.\Act naturally and you'll be fine. response:	Okay.
context: Granny! A person came out of the peach!\It's no time to be eating the peach.\I heard that the Oni are kidnapping young girls; terrifying the villagers.\My, what a fine child we have here.\Those atrocious Oni! Unforgivable!\Calm down, Peach Boy.\Act naturally and you'll be fine.\Okay. response:	Granny. When did you come up with the name?
context: It's no time to be eating the peach.\I heard that the Oni are kidnapping young girls; terrifying the villagers.\My, what a fine child we have here.\Those atrocious Oni! Unforgivable!\Calm down, Peach Boy.\Act naturally and you'll be fine.\Okay.\Granny. When did you come up with the name? response:	Well, Grandfather and Grandmother. I'll be off!
context: I heard that the Oni are kidnapping young girls; terrifying the villagers.\My, what a fine child we have here.\Those atrocious Oni! Unforgivable!\Calm down, Peach Boy.\Act naturally and you'll be fine.\Okay.\Granny. When did you come up with the name?\Well, Grandfather and Grandmother. I'll be off! response:	You're kinda hot, so take these with you. It's on me.
context: My, what a fine child we have here.\Those atrocious Oni! Unforgivable!\Calm down, Peach Boy.\Act naturally and you'll be fine.\Okay.\Granny. When did you come up with the name?\Well, Grandfather and Grandmother. I'll be off!\You're kinda hot, so take these with you. It's on me. response:	Eat a lot of kibi-dango.
context: Those atrocious Oni! Unforgivable!\Calm down, Peach Boy.\Act naturally and you'll be fine.\Okay.\Granny. When did you come up with the name?\Well, Grandfather and Grandmother. I'll be off!\You're kinda hot, so take these with you. It's on me.\Eat a lot of kibi-dango. response:	Thank you, Grandmother.
context: Calm down, Peach Boy.\Act naturally and you'll be fine.\Okay.\Granny. When did you come up with the name?\Well, Grandfather and Grandmother. I'll be off!\You're kinda hot, so take these with you. It's on me.\Eat a lot of kibi-dango.\Thank you, Grandmother. response:	Take care!
context: Act naturally and you'll be fine.\Okay.\Granny. When did you come up with the name?\Well, Grandfather and Grandmother. I'll be off!\You're kinda hot, so take these with you. It's on me.\Eat a lot of kibi-dango.\Thank you, Grandmother.\Take care! response:	Good luck!
context: Okay.\Granny. When did you come up with the name?\Well, Grandfather and Grandmother. I'll be off!\You're kinda hot, so take these with you. It's on me.\Eat a lot of kibi-dango.\Thank you, Grandmother.\Take care!\Good luck! response:	What was this about?
context: Granny. When did you come up with the name?\Well, Grandfather and Grandmother. I'll be off!\You're kinda hot, so take these with you. It's on me.\Eat a lot of kibi-dango.\Thank you, Grandmother.\Take care!\Good luck!\What was this about? response:	I don't know. Let's eat the peach.
context: Well, Grandfather and Grandmother. I'll be off!\You're kinda hot, so take these with you. It's on me.\Eat a lot of kibi-dango.\Thank you, Grandmother.\Take care!\Good luck!\What was this about?\I don't know. Let's eat the peach. response:	As such, Peach Boy went to slay the Oni and-
context: You're kinda hot, so take these with you. It's on me.\Eat a lot of kibi-dango.\Thank you, Grandmother.\Take care!\Good luck!\What was this about?\I don't know. Let's eat the peach.\As such, Peach Boy went to slay the Oni and- response:	he found Dog, Pheasant, and Monkey.
context: Eat a lot of kibi-dango.\Thank you, Grandmother.\Take care!\Good luck!\What was this about?\I don't know. Let's eat the peach.\As such, Peach Boy went to slay the Oni and-\he found Dog, Pheasant, and Monkey. response:	Why are we putting up with this?
context: Thank you, Grandmother.\Take care!\Good luck!\What was this about?\I don't know. Let's eat the peach.\As such, Peach Boy went to slay the Oni and-\he found Dog, Pheasant, and Monkey.\Why are we putting up with this? response:	It's your fault, Dog! You got tricked by that guy!
context: Take care!\Good luck!\What was this about?\I don't know. Let's eat the peach.\As such, Peach Boy went to slay the Oni and-\he found Dog, Pheasant, and Monkey.\Why are we putting up with this?\It's your fault, Dog! You got tricked by that guy! response:	So did you, Monkey!
context: Good luck!\What was this about?\I don't know. Let's eat the peach.\As such, Peach Boy went to slay the Oni and-\he found Dog, Pheasant, and Monkey.\Why are we putting up with this?\It's your fault, Dog! You got tricked by that guy!\So did you, Monkey! response:	It's your fault for not noticing, Pheasant!
context: What was this about?\I don't know. Let's eat the peach.\As such, Peach Boy went to slay the Oni and-\he found Dog, Pheasant, and Monkey.\Why are we putting up with this?\It's your fault, Dog! You got tricked by that guy!\So did you, Monkey!\It's your fault for not noticing, Pheasant! response:	I told you it was suspicious!
context: I don't know. Let's eat the peach.\As such, Peach Boy went to slay the Oni and-\he found Dog, Pheasant, and Monkey.\Why are we putting up with this?\It's your fault, Dog! You got tricked by that guy!\So did you, Monkey!\It's your fault for not noticing, Pheasant!\I told you it was suspicious! response:	What are you guys doing?
context: As such, Peach Boy went to slay the Oni and-\he found Dog, Pheasant, and Monkey.\Why are we putting up with this?\It's your fault, Dog! You got tricked by that guy!\So did you, Monkey!\It's your fault for not noticing, Pheasant!\I told you it was suspicious!\What are you guys doing? response:	Good Samaritan there!
context: he found Dog, Pheasant, and Monkey.\Why are we putting up with this?\It's your fault, Dog! You got tricked by that guy!\So did you, Monkey!\It's your fault for not noticing, Pheasant!\I told you it was suspicious!\What are you guys doing?\Good Samaritan there! response:	Please help us!
context: Why are we putting up with this?\It's your fault, Dog! You got tricked by that guy!\So did you, Monkey!\It's your fault for not noticing, Pheasant!\I told you it was suspicious!\What are you guys doing?\Good Samaritan there!\Please help us! response:	We're about to get killed after being tricked by a villain!
context: It's your fault, Dog! You got tricked by that guy!\So did you, Monkey!\It's your fault for not noticing, Pheasant!\I told you it was suspicious!\What are you guys doing?\Good Samaritan there!\Please help us!\We're about to get killed after being tricked by a villain! response:	Peach Boy saved the three who said they would do anything if he saved them.
context: So did you, Monkey!\It's your fault for not noticing, Pheasant!\I told you it was suspicious!\What are you guys doing?\Good Samaritan there!\Please help us!\We're about to get killed after being tricked by a villain!\Peach Boy saved the three who said they would do anything if he saved them. response:	But they tried to snag the kibi-dango from him, so he punished them.
context: It's your fault for not noticing, Pheasant!\I told you it was suspicious!\What are you guys doing?\Good Samaritan there!\Please help us!\We're about to get killed after being tricked by a villain!\Peach Boy saved the three who said they would do anything if he saved them.\But they tried to snag the kibi-dango from him, so he punished them. response:	See? That's why I had them tied up.
context: I told you it was suspicious!\What are you guys doing?\Good Samaritan there!\Please help us!\We're about to get killed after being tricked by a villain!\Peach Boy saved the three who said they would do anything if he saved them.\But they tried to snag the kibi-dango from him, so he punished them.\See? That's why I had them tied up. response:	That's the bad guy!
context: What are you guys doing?\Good Samaritan there!\Please help us!\We're about to get killed after being tricked by a villain!\Peach Boy saved the three who said they would do anything if he saved them.\But they tried to snag the kibi-dango from him, so he punished them.\See? That's why I had them tied up.\That's the bad guy! response:	Who are you?
context: Good Samaritan there!\Please help us!\We're about to get killed after being tricked by a villain!\Peach Boy saved the three who said they would do anything if he saved them.\But they tried to snag the kibi-dango from him, so he punished them.\See? That's why I had them tied up.\That's the bad guy!\Who are you? response:	I'm Usui.
context: Please help us!\We're about to get killed after being tricked by a villain!\Peach Boy saved the three who said they would do anything if he saved them.\But they tried to snag the kibi-dango from him, so he punished them.\See? That's why I had them tied up.\That's the bad guy!\Who are you?\I'm Usui. response:	I'm the Ring Master of the Moron Trio Circus.
context: We're about to get killed after being tricked by a villain!\Peach Boy saved the three who said they would do anything if he saved them.\But they tried to snag the kibi-dango from him, so he punished them.\See? That's why I had them tied up.\That's the bad guy!\Who are you?\I'm Usui.\I'm the Ring Master of the Moron Trio Circus. response:	That's our members.
context: Peach Boy saved the three who said they would do anything if he saved them.\But they tried to snag the kibi-dango from him, so he punished them.\See? That's why I had them tied up.\That's the bad guy!\Who are you?\I'm Usui.\I'm the Ring Master of the Moron Trio Circus.\That's our members. response:	So fishy!
context: But they tried to snag the kibi-dango from him, so he punished them.\See? That's why I had them tied up.\That's the bad guy!\Who are you?\I'm Usui.\I'm the Ring Master of the Moron Trio Circus.\That's our members.\So fishy! response:	I went and started a circus group, but they're useless, so I was just planning to eat them.
context: See? That's why I had them tied up.\That's the bad guy!\Who are you?\I'm Usui.\I'm the Ring Master of the Moron Trio Circus.\That's our members.\So fishy!\I went and started a circus group, but they're useless, so I was just planning to eat them. response:	I see.
context: That's the bad guy!\Who are you?\I'm Usui.\I'm the Ring Master of the Moron Trio Circus.\That's our members.\So fishy!\I went and started a circus group, but they're useless, so I was just planning to eat them.\I see. response:	If you're going to kill them for food's sake, then I can't stop you.
context: Who are you?\I'm Usui.\I'm the Ring Master of the Moron Trio Circus.\That's our members.\So fishy!\I went and started a circus group, but they're useless, so I was just planning to eat them.\I see.\If you're going to kill them for food's sake, then I can't stop you. response:	Please stop!
context: I'm Usui.\I'm the Ring Master of the Moron Trio Circus.\That's our members.\So fishy!\I went and started a circus group, but they're useless, so I was just planning to eat them.\I see.\If you're going to kill them for food's sake, then I can't stop you.\Please stop! response:	We've only been practicing, so we ran out of food.
context: I'm the Ring Master of the Moron Trio Circus.\That's our members.\So fishy!\I went and started a circus group, but they're useless, so I was just planning to eat them.\I see.\If you're going to kill them for food's sake, then I can't stop you.\Please stop!\We've only been practicing, so we ran out of food. response:	All the training was you whipping us!
context: That's our members.\So fishy!\I went and started a circus group, but they're useless, so I was just planning to eat them.\I see.\If you're going to kill them for food's sake, then I can't stop you.\Please stop!\We've only been practicing, so we ran out of food.\All the training was you whipping us! response:	Now,
context: So fishy!\I went and started a circus group, but they're useless, so I was just planning to eat them.\I see.\If you're going to kill them for food's sake, then I can't stop you.\Please stop!\We've only been practicing, so we ran out of food.\All the training was you whipping us!\Now, response:	who should I start with?
context: I went and started a circus group, but they're useless, so I was just planning to eat them.\I see.\If you're going to kill them for food's sake, then I can't stop you.\Please stop!\We've only been practicing, so we ran out of food.\All the training was you whipping us!\Now,\who should I start with? response:	I don't taste good!
context: I see.\If you're going to kill them for food's sake, then I can't stop you.\Please stop!\We've only been practicing, so we ran out of food.\All the training was you whipping us!\Now,\who should I start with?\I don't taste good! response:	He's really tasty!
context: If you're going to kill them for food's sake, then I can't stop you.\Please stop!\We've only been practicing, so we ran out of food.\All the training was you whipping us!\Now,\who should I start with?\I don't taste good!\He's really tasty! response:	No, he is!
context: Please stop!\We've only been practicing, so we ran out of food.\All the training was you whipping us!\Now,\who should I start with?\I don't taste good!\He's really tasty!\No, he is! response:	What are you saying?
context: We've only been practicing, so we ran out of food.\All the training was you whipping us!\Now,\who should I start with?\I don't taste good!\He's really tasty!\No, he is!\What are you saying? response:	You're the yummiest!
context: All the training was you whipping us!\Now,\who should I start with?\I don't taste good!\He's really tasty!\No, he is!\What are you saying?\You're the yummiest! response:	Hold on a moment.
context: Now,\who should I start with?\I don't taste good!\He's really tasty!\No, he is!\What are you saying?\You're the yummiest!\Hold on a moment. response:	Please help us.
context: who should I start with?\I don't taste good!\He's really tasty!\No, he is!\What are you saying?\You're the yummiest!\Hold on a moment.\Please help us. response:	Before you get eaten, I want to ask one thing.
context: I don't taste good!\He's really tasty!\No, he is!\What are you saying?\You're the yummiest!\Hold on a moment.\Please help us.\Before you get eaten, I want to ask one thing. response:	Oh, so you won't...
context: He's really tasty!\No, he is!\What are you saying?\You're the yummiest!\Hold on a moment.\Please help us.\Before you get eaten, I want to ask one thing.\Oh, so you won't... response:	Do you know where the Oni are?
context: No, he is!\What are you saying?\You're the yummiest!\Hold on a moment.\Please help us.\Before you get eaten, I want to ask one thing.\Oh, so you won't...\Do you know where the Oni are? response:	No, we don't.
context: What are you saying?\You're the yummiest!\Hold on a moment.\Please help us.\Before you get eaten, I want to ask one thing.\Oh, so you won't...\Do you know where the Oni are?\No, we don't. response:	I see.
context: You're the yummiest!\Hold on a moment.\Please help us.\Before you get eaten, I want to ask one thing.\Oh, so you won't...\Do you know where the Oni are?\No, we don't.\I see. response:	Usui, if you can't pick one, I recommend mixing them in a soup.
context: Hold on a moment.\Please help us.\Before you get eaten, I want to ask one thing.\Oh, so you won't...\Do you know where the Oni are?\No, we don't.\I see.\Usui, if you can't pick one, I recommend mixing them in a soup. response:	I'm off now.
context: Please help us.\Before you get eaten, I want to ask one thing.\Oh, so you won't...\Do you know where the Oni are?\No, we don't.\I see.\Usui, if you can't pick one, I recommend mixing them in a soup.\I'm off now. response:	Wait! Wait! Wait!
context: Before you get eaten, I want to ask one thing.\Oh, so you won't...\Do you know where the Oni are?\No, we don't.\I see.\Usui, if you can't pick one, I recommend mixing them in a soup.\I'm off now.\Wait! Wait! Wait! response:	I don't know where the Oni live, but I do know a village where Oni appeared recently!
context: Oh, so you won't...\Do you know where the Oni are?\No, we don't.\I see.\Usui, if you can't pick one, I recommend mixing them in a soup.\I'm off now.\Wait! Wait! Wait!\I don't know where the Oni live, but I do know a village where Oni appeared recently! response:	It's a village with many young people, but the day after the Oni came, all the girls were missing.
context: Do you know where the Oni are?\No, we don't.\I see.\Usui, if you can't pick one, I recommend mixing them in a soup.\I'm off now.\Wait! Wait! Wait!\I don't know where the Oni live, but I do know a village where Oni appeared recently!\It's a village with many young people, but the day after the Oni came, all the girls were missing. response:	Which village is this?
context: No, we don't.\I see.\Usui, if you can't pick one, I recommend mixing them in a soup.\I'm off now.\Wait! Wait! Wait!\I don't know where the Oni live, but I do know a village where Oni appeared recently!\It's a village with many young people, but the day after the Oni came, all the girls were missing.\Which village is this? response:	We'll take you there if you save us.
context: I see.\Usui, if you can't pick one, I recommend mixing them in a soup.\I'm off now.\Wait! Wait! Wait!\I don't know where the Oni live, but I do know a village where Oni appeared recently!\It's a village with many young people, but the day after the Oni came, all the girls were missing.\Which village is this?\We'll take you there if you save us. response:	Usui...
context: Usui, if you can't pick one, I recommend mixing them in a soup.\I'm off now.\Wait! Wait! Wait!\I don't know where the Oni live, but I do know a village where Oni appeared recently!\It's a village with many young people, but the day after the Oni came, all the girls were missing.\Which village is this?\We'll take you there if you save us.\Usui... response:	Sure.
context: I'm off now.\Wait! Wait! Wait!\I don't know where the Oni live, but I do know a village where Oni appeared recently!\It's a village with many young people, but the day after the Oni came, all the girls were missing.\Which village is this?\We'll take you there if you save us.\Usui...\Sure. response:	But instead-
context: Wait! Wait! Wait!\I don't know where the Oni live, but I do know a village where Oni appeared recently!\It's a village with many young people, but the day after the Oni came, all the girls were missing.\Which village is this?\We'll take you there if you save us.\Usui...\Sure.\But instead- response:	Give me a kibi-dango.
context: I don't know where the Oni live, but I do know a village where Oni appeared recently!\It's a village with many young people, but the day after the Oni came, all the girls were missing.\Which village is this?\We'll take you there if you save us.\Usui...\Sure.\But instead-\Give me a kibi-dango. response:	And so the Peach Boy departed to search the Oni with Dog, Monkey, Pheasant, and a sketchy Ring Master of a circus group.
context: It's a village with many young people, but the day after the Oni came, all the girls were missing.\Which village is this?\We'll take you there if you save us.\Usui...\Sure.\But instead-\Give me a kibi-dango.\And so the Peach Boy departed to search the Oni with Dog, Monkey, Pheasant, and a sketchy Ring Master of a circus group. response:	Where's our share of kibi-dango?
context: Which village is this?\We'll take you there if you save us.\Usui...\Sure.\But instead-\Give me a kibi-dango.\And so the Peach Boy departed to search the Oni with Dog, Monkey, Pheasant, and a sketchy Ring Master of a circus group.\Where's our share of kibi-dango? response:	I ate them all.
context: We'll take you there if you save us.\Usui...\Sure.\But instead-\Give me a kibi-dango.\And so the Peach Boy departed to search the Oni with Dog, Monkey, Pheasant, and a sketchy Ring Master of a circus group.\Where's our share of kibi-dango?\I ate them all. response:	D'oh!
context: Usui...\Sure.\But instead-\Give me a kibi-dango.\And so the Peach Boy departed to search the Oni with Dog, Monkey, Pheasant, and a sketchy Ring Master of a circus group.\Where's our share of kibi-dango?\I ate them all.\D'oh! response:	But, this is kinda nice.
context: Sure.\But instead-\Give me a kibi-dango.\And so the Peach Boy departed to search the Oni with Dog, Monkey, Pheasant, and a sketchy Ring Master of a circus group.\Where's our share of kibi-dango?\I ate them all.\D'oh!\But, this is kinda nice. response:	It's like a party led by a hero out to defeat evil.
context: But instead-\Give me a kibi-dango.\And so the Peach Boy departed to search the Oni with Dog, Monkey, Pheasant, and a sketchy Ring Master of a circus group.\Where's our share of kibi-dango?\I ate them all.\D'oh!\But, this is kinda nice.\It's like a party led by a hero out to defeat evil. response:	Party?
context: Give me a kibi-dango.\And so the Peach Boy departed to search the Oni with Dog, Monkey, Pheasant, and a sketchy Ring Master of a circus group.\Where's our share of kibi-dango?\I ate them all.\D'oh!\But, this is kinda nice.\It's like a party led by a hero out to defeat evil.\Party? response:	You're nuts! Do you think this is some kind of fun activity?!
context: And so the Peach Boy departed to search the Oni with Dog, Monkey, Pheasant, and a sketchy Ring Master of a circus group.\Where's our share of kibi-dango?\I ate them all.\D'oh!\But, this is kinda nice.\It's like a party led by a hero out to defeat evil.\Party?\You're nuts! Do you think this is some kind of fun activity?! response:	We're not on a field trip!
context: Where's our share of kibi-dango?\I ate them all.\D'oh!\But, this is kinda nice.\It's like a party led by a hero out to defeat evil.\Party?\You're nuts! Do you think this is some kind of fun activity?!\We're not on a field trip! response:	It's not that kind of party!
context: I ate them all.\D'oh!\But, this is kinda nice.\It's like a party led by a hero out to defeat evil.\Party?\You're nuts! Do you think this is some kind of fun activity?!\We're not on a field trip!\It's not that kind of party! response:	It means a group of people that travel together to achieve a common goal!
context: D'oh!\But, this is kinda nice.\It's like a party led by a hero out to defeat evil.\Party?\You're nuts! Do you think this is some kind of fun activity?!\We're not on a field trip!\It's not that kind of party!\It means a group of people that travel together to achieve a common goal! response:	So something like that is necessary, eh?
context: But, this is kinda nice.\It's like a party led by a hero out to defeat evil.\Party?\You're nuts! Do you think this is some kind of fun activity?!\We're not on a field trip!\It's not that kind of party!\It means a group of people that travel together to achieve a common goal!\So something like that is necessary, eh? response:	In that case-
context: It's like a party led by a hero out to defeat evil.\Party?\You're nuts! Do you think this is some kind of fun activity?!\We're not on a field trip!\It's not that kind of party!\It means a group of people that travel together to achieve a common goal!\So something like that is necessary, eh?\In that case- response:	We'll be a party that slays Oni!
context: Party?\You're nuts! Do you think this is some kind of fun activity?!\We're not on a field trip!\It's not that kind of party!\It means a group of people that travel together to achieve a common goal!\So something like that is necessary, eh?\In that case-\We'll be a party that slays Oni! response:	In short, we're the Oni Slay Party!
context: You're nuts! Do you think this is some kind of fun activity?!\We're not on a field trip!\It's not that kind of party!\It means a group of people that travel together to achieve a common goal!\So something like that is necessary, eh?\In that case-\We'll be a party that slays Oni!\In short, we're the Oni Slay Party! response:	It's a great name. Any objections?
context: We're not on a field trip!\It's not that kind of party!\It means a group of people that travel together to achieve a common goal!\So something like that is necessary, eh?\In that case-\We'll be a party that slays Oni!\In short, we're the Oni Slay Party!\It's a great name. Any objections? response:	Good, let's go.
context: It's not that kind of party!\It means a group of people that travel together to achieve a common goal!\So something like that is necessary, eh?\In that case-\We'll be a party that slays Oni!\In short, we're the Oni Slay Party!\It's a great name. Any objections?\Good, let's go. response:	So it's here, huh?
context: It means a group of people that travel together to achieve a common goal!\So something like that is necessary, eh?\In that case-\We'll be a party that slays Oni!\In short, we're the Oni Slay Party!\It's a great name. Any objections?\Good, let's go.\So it's here, huh? response:	Flag: Oni Slay Party
context: So something like that is necessary, eh?\In that case-\We'll be a party that slays Oni!\In short, we're the Oni Slay Party!\It's a great name. Any objections?\Good, let's go.\So it's here, huh?\Flag: Oni Slay Party response:	The village where the Oni kidnapped all the girls.
context: In that case-\We'll be a party that slays Oni!\In short, we're the Oni Slay Party!\It's a great name. Any objections?\Good, let's go.\So it's here, huh?\Flag: Oni Slay Party\The village where the Oni kidnapped all the girls. response:	It's completely tattered. I don't sense a soul here.
context: We'll be a party that slays Oni!\In short, we're the Oni Slay Party!\It's a great name. Any objections?\Good, let's go.\So it's here, huh?\Flag: Oni Slay Party\The village where the Oni kidnapped all the girls.\It's completely tattered. I don't sense a soul here. response:	I said that's mine!
context: In short, we're the Oni Slay Party!\It's a great name. Any objections?\Good, let's go.\So it's here, huh?\Flag: Oni Slay Party\The village where the Oni kidnapped all the girls.\It's completely tattered. I don't sense a soul here.\I said that's mine! response:	You plan on snatching it away from me?!
context: It's a great name. Any objections?\Good, let's go.\So it's here, huh?\Flag: Oni Slay Party\The village where the Oni kidnapped all the girls.\It's completely tattered. I don't sense a soul here.\I said that's mine!\You plan on snatching it away from me?! response:	That was the last one that grew from my farm!
context: Good, let's go.\So it's here, huh?\Flag: Oni Slay Party\The village where the Oni kidnapped all the girls.\It's completely tattered. I don't sense a soul here.\I said that's mine!\You plan on snatching it away from me?!\That was the last one that grew from my farm! response:	No, it's from my farm!
context: So it's here, huh?\Flag: Oni Slay Party\The village where the Oni kidnapped all the girls.\It's completely tattered. I don't sense a soul here.\I said that's mine!\You plan on snatching it away from me?!\That was the last one that grew from my farm!\No, it's from my farm! response:	Um...
context: Flag: Oni Slay Party\The village where the Oni kidnapped all the girls.\It's completely tattered. I don't sense a soul here.\I said that's mine!\You plan on snatching it away from me?!\That was the last one that grew from my farm!\No, it's from my farm!\Um... response:	Who are you?
context: The village where the Oni kidnapped all the girls.\It's completely tattered. I don't sense a soul here.\I said that's mine!\You plan on snatching it away from me?!\That was the last one that grew from my farm!\No, it's from my farm!\Um...\Who are you? response:	It's mine!
context: It's completely tattered. I don't sense a soul here.\I said that's mine!\You plan on snatching it away from me?!\That was the last one that grew from my farm!\No, it's from my farm!\Um...\Who are you?\It's mine! response:	That bastard!
context: I said that's mine!\You plan on snatching it away from me?!\That was the last one that grew from my farm!\No, it's from my farm!\Um...\Who are you?\It's mine!\That bastard! response:	What I see here happened because of Oni?
context: You plan on snatching it away from me?!\That was the last one that grew from my farm!\No, it's from my farm!\Um...\Who are you?\It's mine!\That bastard!\What I see here happened because of Oni? response:	Something stinks.
context: That was the last one that grew from my farm!\No, it's from my farm!\Um...\Who are you?\It's mine!\That bastard!\What I see here happened because of Oni?\Something stinks. response:	What's wrong?!
context: No, it's from my farm!\Um...\Who are you?\It's mine!\That bastard!\What I see here happened because of Oni?\Something stinks.\What's wrong?! response:	He ran away because of the smell.
context: Um...\Who are you?\It's mine!\That bastard!\What I see here happened because of Oni?\Something stinks.\What's wrong?!\He ran away because of the smell. response:	Dog has a good sense of smell.
context: Who are you?\It's mine!\That bastard!\What I see here happened because of Oni?\Something stinks.\What's wrong?!\He ran away because of the smell.\Dog has a good sense of smell. response:	If you can't tolerate that level of smell, I suggest you leave this village now.
context: It's mine!\That bastard!\What I see here happened because of Oni?\Something stinks.\What's wrong?!\He ran away because of the smell.\Dog has a good sense of smell.\If you can't tolerate that level of smell, I suggest you leave this village now. response:	What do you mean?
context: That bastard!\What I see here happened because of Oni?\Something stinks.\What's wrong?!\He ran away because of the smell.\Dog has a good sense of smell.\If you can't tolerate that level of smell, I suggest you leave this village now.\What do you mean? response:	This is no longer a village any sane human can live in.
