context: I realize I'm a dreamer by nature, response:	but never in my wildest dreams did I ever imagine meeting the girl again.
context: Are you all right, Nana?\So you do remember.\I didn't recognize you at first.\You look different with these clothes and hairdo.\You don't have a fixed style, do you?\So, are you two friends?\- I wouldn't really say we're friends... - Yes, we are!\Anyway, you. Miss Osaki? What's your decision? response:	Are you renting the place?
context: So you do remember.\I didn't recognize you at first.\You look different with these clothes and hairdo.\You don't have a fixed style, do you?\So, are you two friends?\- I wouldn't really say we're friends... - Yes, we are!\Anyway, you. Miss Osaki? What's your decision?\Are you renting the place? response:	I'm still thinking.
context: I didn't recognize you at first.\You look different with these clothes and hairdo.\You don't have a fixed style, do you?\So, are you two friends?\- I wouldn't really say we're friends... - Yes, we are!\Anyway, you. Miss Osaki? What's your decision?\Are you renting the place?\I'm still thinking. response:	If you haven't made a decision yet,
context: You look different with these clothes and hairdo.\You don't have a fixed style, do you?\So, are you two friends?\- I wouldn't really say we're friends... - Yes, we are!\Anyway, you. Miss Osaki? What's your decision?\Are you renting the place?\I'm still thinking.\If you haven't made a decision yet, response:	can you please allow this young lady to see the place?
context: You don't have a fixed style, do you?\So, are you two friends?\- I wouldn't really say we're friends... - Yes, we are!\Anyway, you. Miss Osaki? What's your decision?\Are you renting the place?\I'm still thinking.\If you haven't made a decision yet,\can you please allow this young lady to see the place? response:	The kitchen's so cute!
context: So, are you two friends?\- I wouldn't really say we're friends... - Yes, we are!\Anyway, you. Miss Osaki? What's your decision?\Are you renting the place?\I'm still thinking.\If you haven't made a decision yet,\can you please allow this young lady to see the place?\The kitchen's so cute! response:	The rooms are so big!
context: - I wouldn't really say we're friends... - Yes, we are!\Anyway, you. Miss Osaki? What's your decision?\Are you renting the place?\I'm still thinking.\If you haven't made a decision yet,\can you please allow this young lady to see the place?\The kitchen's so cute!\The rooms are so big! response:	You're kidding! An old-fashioned bathtub with legs!
context: Anyway, you. Miss Osaki? What's your decision?\Are you renting the place?\I'm still thinking.\If you haven't made a decision yet,\can you please allow this young lady to see the place?\The kitchen's so cute!\The rooms are so big!\You're kidding! An old-fashioned bathtub with legs! response:	- I'll take it! - Is that so?
context: Are you renting the place?\I'm still thinking.\If you haven't made a decision yet,\can you please allow this young lady to see the place?\The kitchen's so cute!\The rooms are so big!\You're kidding! An old-fashioned bathtub with legs!\- I'll take it! - Is that so? response:	- Wait a minute! - Wait a minute!
context: I'm still thinking.\If you haven't made a decision yet,\can you please allow this young lady to see the place?\The kitchen's so cute!\The rooms are so big!\You're kidding! An old-fashioned bathtub with legs!\- I'll take it! - Is that so?\- Wait a minute! - Wait a minute! response:	I found this place first! You can't just decide like that!
context: If you haven't made a decision yet,\can you please allow this young lady to see the place?\The kitchen's so cute!\The rooms are so big!\You're kidding! An old-fashioned bathtub with legs!\- I'll take it! - Is that so?\- Wait a minute! - Wait a minute!\I found this place first! You can't just decide like that! response:	I see. I'm sorry.
context: can you please allow this young lady to see the place?\The kitchen's so cute!\The rooms are so big!\You're kidding! An old-fashioned bathtub with legs!\- I'll take it! - Is that so?\- Wait a minute! - Wait a minute!\I found this place first! You can't just decide like that!\I see. I'm sorry. response:	That's right. What are you thinking?
context: The kitchen's so cute!\The rooms are so big!\You're kidding! An old-fashioned bathtub with legs!\- I'll take it! - Is that so?\- Wait a minute! - Wait a minute!\I found this place first! You can't just decide like that!\I see. I'm sorry.\That's right. What are you thinking? response:	But you seemed to be having a problem making up your mind.
context: The rooms are so big!\You're kidding! An old-fashioned bathtub with legs!\- I'll take it! - Is that so?\- Wait a minute! - Wait a minute!\I found this place first! You can't just decide like that!\I see. I'm sorry.\That's right. What are you thinking?\But you seemed to be having a problem making up your mind. response:	No, I've decided. I'll take it. Yokoi.
context: You're kidding! An old-fashioned bathtub with legs!\- I'll take it! - Is that so?\- Wait a minute! - Wait a minute!\I found this place first! You can't just decide like that!\I see. I'm sorry.\That's right. What are you thinking?\But you seemed to be having a problem making up your mind.\No, I've decided. I'll take it. Yokoi. response:	- Wait a minute! - I'm not waiting.
context: - I'll take it! - Is that so?\- Wait a minute! - Wait a minute!\I found this place first! You can't just decide like that!\I see. I'm sorry.\That's right. What are you thinking?\But you seemed to be having a problem making up your mind.\No, I've decided. I'll take it. Yokoi.\- Wait a minute! - I'm not waiting. response:	I'm tired of staying at crappy capsule hotels.
context: - Wait a minute! - Wait a minute!\I found this place first! You can't just decide like that!\I see. I'm sorry.\That's right. What are you thinking?\But you seemed to be having a problem making up your mind.\No, I've decided. I'll take it. Yokoi.\- Wait a minute! - I'm not waiting.\I'm tired of staying at crappy capsule hotels. response:	I just wanna hurry up and live any place that's available.
context: I found this place first! You can't just decide like that!\I see. I'm sorry.\That's right. What are you thinking?\But you seemed to be having a problem making up your mind.\No, I've decided. I'll take it. Yokoi.\- Wait a minute! - I'm not waiting.\I'm tired of staying at crappy capsule hotels.\I just wanna hurry up and live any place that's available. response:	If any place will do, look elsewhere.
context: I see. I'm sorry.\That's right. What are you thinking?\But you seemed to be having a problem making up your mind.\No, I've decided. I'll take it. Yokoi.\- Wait a minute! - I'm not waiting.\I'm tired of staying at crappy capsule hotels.\I just wanna hurry up and live any place that's available.\If any place will do, look elsewhere. response:	For me, it has to be this place!
context: That's right. What are you thinking?\But you seemed to be having a problem making up your mind.\No, I've decided. I'll take it. Yokoi.\- Wait a minute! - I'm not waiting.\I'm tired of staying at crappy capsule hotels.\I just wanna hurry up and live any place that's available.\If any place will do, look elsewhere.\For me, it has to be this place! response:	What's wrong with you staying at your boyfriend's place?!
context: But you seemed to be having a problem making up your mind.\No, I've decided. I'll take it. Yokoi.\- Wait a minute! - I'm not waiting.\I'm tired of staying at crappy capsule hotels.\I just wanna hurry up and live any place that's available.\If any place will do, look elsewhere.\For me, it has to be this place!\What's wrong with you staying at your boyfriend's place?! response:	Did he dump you?
context: No, I've decided. I'll take it. Yokoi.\- Wait a minute! - I'm not waiting.\I'm tired of staying at crappy capsule hotels.\I just wanna hurry up and live any place that's available.\If any place will do, look elsewhere.\For me, it has to be this place!\What's wrong with you staying at your boyfriend's place?!\Did he dump you? response:	No!
context: - Wait a minute! - I'm not waiting.\I'm tired of staying at crappy capsule hotels.\I just wanna hurry up and live any place that's available.\If any place will do, look elsewhere.\For me, it has to be this place!\What's wrong with you staying at your boyfriend's place?!\Did he dump you?\No! response:	But as things are now, it's only a matter of time!
context: I'm tired of staying at crappy capsule hotels.\I just wanna hurry up and live any place that's available.\If any place will do, look elsewhere.\For me, it has to be this place!\What's wrong with you staying at your boyfriend's place?!\Did he dump you?\No!\But as things are now, it's only a matter of time! response:	Why? You were all lovey-dovey about him.
context: I just wanna hurry up and live any place that's available.\If any place will do, look elsewhere.\For me, it has to be this place!\What's wrong with you staying at your boyfriend's place?!\Did he dump you?\No!\But as things are now, it's only a matter of time!\Why? You were all lovey-dovey about him. response:	That's true, but let me tell you!
context: If any place will do, look elsewhere.\For me, it has to be this place!\What's wrong with you staying at your boyfriend's place?!\Did he dump you?\No!\But as things are now, it's only a matter of time!\Why? You were all lovey-dovey about him.\That's true, but let me tell you! response:	Now, come on. Rather than discussing nonsense,
context: For me, it has to be this place!\What's wrong with you staying at your boyfriend's place?!\Did he dump you?\No!\But as things are now, it's only a matter of time!\Why? You were all lovey-dovey about him.\That's true, but let me tell you!\Now, come on. Rather than discussing nonsense, response:	what are you gonna do about renting this...
context: What's wrong with you staying at your boyfriend's place?!\Did he dump you?\No!\But as things are now, it's only a matter of time!\Why? You were all lovey-dovey about him.\That's true, but let me tell you!\Now, come on. Rather than discussing nonsense,\what are you gonna do about renting this... response:	- Nonsense? - Nonsense?
context: Did he dump you?\No!\But as things are now, it's only a matter of time!\Why? You were all lovey-dovey about him.\That's true, but let me tell you!\Now, come on. Rather than discussing nonsense,\what are you gonna do about renting this...\- Nonsense? - Nonsense? response:	How cruel! Here I am seriously suffering!
context: No!\But as things are now, it's only a matter of time!\Why? You were all lovey-dovey about him.\That's true, but let me tell you!\Now, come on. Rather than discussing nonsense,\what are you gonna do about renting this...\- Nonsense? - Nonsense?\How cruel! Here I am seriously suffering! response:	- Yokoi! - Yes!
context: But as things are now, it's only a matter of time!\Why? You were all lovey-dovey about him.\That's true, but let me tell you!\Now, come on. Rather than discussing nonsense,\what are you gonna do about renting this...\- Nonsense? - Nonsense?\How cruel! Here I am seriously suffering!\- Yokoi! - Yes! response:	For someone in the business of serving customers,
context: Why? You were all lovey-dovey about him.\That's true, but let me tell you!\Now, come on. Rather than discussing nonsense,\what are you gonna do about renting this...\- Nonsense? - Nonsense?\How cruel! Here I am seriously suffering!\- Yokoi! - Yes!\For someone in the business of serving customers, response:	you've got no delicacy!
context: That's true, but let me tell you!\Now, come on. Rather than discussing nonsense,\what are you gonna do about renting this...\- Nonsense? - Nonsense?\How cruel! Here I am seriously suffering!\- Yokoi! - Yes!\For someone in the business of serving customers,\you've got no delicacy! response:	I-I'm sorry.
context: Now, come on. Rather than discussing nonsense,\what are you gonna do about renting this...\- Nonsense? - Nonsense?\How cruel! Here I am seriously suffering!\- Yokoi! - Yes!\For someone in the business of serving customers,\you've got no delicacy!\I-I'm sorry. response:	There's more to doing your job than just go through the motions!
context: what are you gonna do about renting this...\- Nonsense? - Nonsense?\How cruel! Here I am seriously suffering!\- Yokoi! - Yes!\For someone in the business of serving customers,\you've got no delicacy!\I-I'm sorry.\There's more to doing your job than just go through the motions! response:	Try to pursue the romance!
context: - Nonsense? - Nonsense?\How cruel! Here I am seriously suffering!\- Yokoi! - Yes!\For someone in the business of serving customers,\you've got no delicacy!\I-I'm sorry.\There's more to doing your job than just go through the motions!\Try to pursue the romance! response:	Now, now. Calm down, ladies.
context: How cruel! Here I am seriously suffering!\- Yokoi! - Yes!\For someone in the business of serving customers,\you've got no delicacy!\I-I'm sorry.\There's more to doing your job than just go through the motions!\Try to pursue the romance!\Now, now. Calm down, ladies. response:	Romance?
context: - Yokoi! - Yes!\For someone in the business of serving customers,\you've got no delicacy!\I-I'm sorry.\There's more to doing your job than just go through the motions!\Try to pursue the romance!\Now, now. Calm down, ladies.\Romance? response:	I have a suggestion.
context: For someone in the business of serving customers,\you've got no delicacy!\I-I'm sorry.\There's more to doing your job than just go through the motions!\Try to pursue the romance!\Now, now. Calm down, ladies.\Romance?\I have a suggestion. response:	Who is this carefree old man?
context: you've got no delicacy!\I-I'm sorry.\There's more to doing your job than just go through the motions!\Try to pursue the romance!\Now, now. Calm down, ladies.\Romance?\I have a suggestion.\Who is this carefree old man? response:	This is Mr. Ando from the real estate agency at the train station.
context: I-I'm sorry.\There's more to doing your job than just go through the motions!\Try to pursue the romance!\Now, now. Calm down, ladies.\Romance?\I have a suggestion.\Who is this carefree old man?\This is Mr. Ando from the real estate agency at the train station. response:	He's a 52-year veteran in this business.
context: There's more to doing your job than just go through the motions!\Try to pursue the romance!\Now, now. Calm down, ladies.\Romance?\I have a suggestion.\Who is this carefree old man?\This is Mr. Ando from the real estate agency at the train station.\He's a 52-year veteran in this business. response:	You two seem to be special acquaintances.
context: Try to pursue the romance!\Now, now. Calm down, ladies.\Romance?\I have a suggestion.\Who is this carefree old man?\This is Mr. Ando from the real estate agency at the train station.\He's a 52-year veteran in this business.\You two seem to be special acquaintances. response:	Why don't the two of you share this place?
context: Now, now. Calm down, ladies.\Romance?\I have a suggestion.\Who is this carefree old man?\This is Mr. Ando from the real estate agency at the train station.\He's a 52-year veteran in this business.\You two seem to be special acquaintances.\Why don't the two of you share this place? response:	This place is designed with the dining room in the middle,
context: Romance?\I have a suggestion.\Who is this carefree old man?\This is Mr. Ando from the real estate agency at the train station.\He's a 52-year veteran in this business.\You two seem to be special acquaintances.\Why don't the two of you share this place?\This place is designed with the dining room in the middle, response:	so with a room on opposite sides, you can maintain your privacy.
context: I have a suggestion.\Who is this carefree old man?\This is Mr. Ando from the real estate agency at the train station.\He's a 52-year veteran in this business.\You two seem to be special acquaintances.\Why don't the two of you share this place?\This place is designed with the dining room in the middle,\so with a room on opposite sides, you can maintain your privacy. response:	Yet you'll be there for each other when needed.
context: Who is this carefree old man?\This is Mr. Ando from the real estate agency at the train station.\He's a 52-year veteran in this business.\You two seem to be special acquaintances.\Why don't the two of you share this place?\This place is designed with the dining room in the middle,\so with a room on opposite sides, you can maintain your privacy.\Yet you'll be there for each other when needed. response:	Flat-sharing can be very nice.
context: This is Mr. Ando from the real estate agency at the train station.\He's a 52-year veteran in this business.\You two seem to be special acquaintances.\Why don't the two of you share this place?\This place is designed with the dining room in the middle,\so with a room on opposite sides, you can maintain your privacy.\Yet you'll be there for each other when needed.\Flat-sharing can be very nice. response:	Plus, you'll only be paying half the rent and living expenses.
context: He's a 52-year veteran in this business.\You two seem to be special acquaintances.\Why don't the two of you share this place?\This place is designed with the dining room in the middle,\so with a room on opposite sides, you can maintain your privacy.\Yet you'll be there for each other when needed.\Flat-sharing can be very nice.\Plus, you'll only be paying half the rent and living expenses. response:	- Half the rent?! - Half the rent?!
context: You two seem to be special acquaintances.\Why don't the two of you share this place?\This place is designed with the dining room in the middle,\so with a room on opposite sides, you can maintain your privacy.\Yet you'll be there for each other when needed.\Flat-sharing can be very nice.\Plus, you'll only be paying half the rent and living expenses.\- Half the rent?! - Half the rent?! response:	- Half of 70,000 yen is......35,000 yen?
context: Why don't the two of you share this place?\This place is designed with the dining room in the middle,\so with a room on opposite sides, you can maintain your privacy.\Yet you'll be there for each other when needed.\Flat-sharing can be very nice.\Plus, you'll only be paying half the rent and living expenses.\- Half the rent?! - Half the rent?!\- Half of 70,000 yen is......35,000 yen? response:	- That's cheap! - That's cheap!
context: This place is designed with the dining room in the middle,\so with a room on opposite sides, you can maintain your privacy.\Yet you'll be there for each other when needed.\Flat-sharing can be very nice.\Plus, you'll only be paying half the rent and living expenses.\- Half the rent?! - Half the rent?!\- Half of 70,000 yen is......35,000 yen?\- That's cheap! - That's cheap! response:	Let's go for it, Nana!
context: so with a room on opposite sides, you can maintain your privacy.\Yet you'll be there for each other when needed.\Flat-sharing can be very nice.\Plus, you'll only be paying half the rent and living expenses.\- Half the rent?! - Half the rent?!\- Half of 70,000 yen is......35,000 yen?\- That's cheap! - That's cheap!\Let's go for it, Nana! response:	- It's like a dream to be able to stay... - Then we'll have to split our fees, too.
context: Yet you'll be there for each other when needed.\Flat-sharing can be very nice.\Plus, you'll only be paying half the rent and living expenses.\- Half the rent?! - Half the rent?!\- Half of 70,000 yen is......35,000 yen?\- That's cheap! - That's cheap!\Let's go for it, Nana!\- It's like a dream to be able to stay... - Then we'll have to split our fees, too. response:	at such a wonderful place for so cheap!
context: Flat-sharing can be very nice.\Plus, you'll only be paying half the rent and living expenses.\- Half the rent?! - Half the rent?!\- Half of 70,000 yen is......35,000 yen?\- That's cheap! - That's cheap!\Let's go for it, Nana!\- It's like a dream to be able to stay... - Then we'll have to split our fees, too.\at such a wonderful place for so cheap! response:	Sounds good,
context: Plus, you'll only be paying half the rent and living expenses.\- Half the rent?! - Half the rent?!\- Half of 70,000 yen is......35,000 yen?\- That's cheap! - That's cheap!\Let's go for it, Nana!\- It's like a dream to be able to stay... - Then we'll have to split our fees, too.\at such a wonderful place for so cheap!\Sounds good, response:	but are you the kind of person who properly respects the privacy of others?
context: - Half the rent?! - Half the rent?!\- Half of 70,000 yen is......35,000 yen?\- That's cheap! - That's cheap!\Let's go for it, Nana!\- It's like a dream to be able to stay... - Then we'll have to split our fees, too.\at such a wonderful place for so cheap!\Sounds good,\but are you the kind of person who properly respects the privacy of others? response:	I will! For sure!
context: - Half of 70,000 yen is......35,000 yen?\- That's cheap! - That's cheap!\Let's go for it, Nana!\- It's like a dream to be able to stay... - Then we'll have to split our fees, too.\at such a wonderful place for so cheap!\Sounds good,\but are you the kind of person who properly respects the privacy of others?\I will! For sure! response:	If privacy is an issue, you can put locks on your room doors.
context: - That's cheap! - That's cheap!\Let's go for it, Nana!\- It's like a dream to be able to stay... - Then we'll have to split our fees, too.\at such a wonderful place for so cheap!\Sounds good,\but are you the kind of person who properly respects the privacy of others?\I will! For sure!\If privacy is an issue, you can put locks on your room doors. response:	I'll arrange for that right away.
context: Let's go for it, Nana!\- It's like a dream to be able to stay... - Then we'll have to split our fees, too.\at such a wonderful place for so cheap!\Sounds good,\but are you the kind of person who properly respects the privacy of others?\I will! For sure!\If privacy is an issue, you can put locks on your room doors.\I'll arrange for that right away. response:	Thank you, Mr. Ando!
context: - It's like a dream to be able to stay... - Then we'll have to split our fees, too.\at such a wonderful place for so cheap!\Sounds good,\but are you the kind of person who properly respects the privacy of others?\I will! For sure!\If privacy is an issue, you can put locks on your room doors.\I'll arrange for that right away.\Thank you, Mr. Ando! response:	You are such a nice person. Isn't he, Nana?
context: at such a wonderful place for so cheap!\Sounds good,\but are you the kind of person who properly respects the privacy of others?\I will! For sure!\If privacy is an issue, you can put locks on your room doors.\I'll arrange for that right away.\Thank you, Mr. Ando!\You are such a nice person. Isn't he, Nana? response:	Miss Osaki, sure it'll be cheaper, but you really should think this through.
context: Sounds good,\but are you the kind of person who properly respects the privacy of others?\I will! For sure!\If privacy is an issue, you can put locks on your room doors.\I'll arrange for that right away.\Thank you, Mr. Ando!\You are such a nice person. Isn't he, Nana?\Miss Osaki, sure it'll be cheaper, but you really should think this through. response:	Sharing a flat with a stranger is nothing but annoying.
context: but are you the kind of person who properly respects the privacy of others?\I will! For sure!\If privacy is an issue, you can put locks on your room doors.\I'll arrange for that right away.\Thank you, Mr. Ando!\You are such a nice person. Isn't he, Nana?\Miss Osaki, sure it'll be cheaper, but you really should think this through.\Sharing a flat with a stranger is nothing but annoying. response:	I don't agree.
context: I will! For sure!\If privacy is an issue, you can put locks on your room doors.\I'll arrange for that right away.\Thank you, Mr. Ando!\You are such a nice person. Isn't he, Nana?\Miss Osaki, sure it'll be cheaper, but you really should think this through.\Sharing a flat with a stranger is nothing but annoying.\I don't agree. response:	You are a lonely man, aren't you, Yokoi?
context: If privacy is an issue, you can put locks on your room doors.\I'll arrange for that right away.\Thank you, Mr. Ando!\You are such a nice person. Isn't he, Nana?\Miss Osaki, sure it'll be cheaper, but you really should think this through.\Sharing a flat with a stranger is nothing but annoying.\I don't agree.\You are a lonely man, aren't you, Yokoi? response:	Say, Mr. Ando, how soon can the locks be arranged?
context: I'll arrange for that right away.\Thank you, Mr. Ando!\You are such a nice person. Isn't he, Nana?\Miss Osaki, sure it'll be cheaper, but you really should think this through.\Sharing a flat with a stranger is nothing but annoying.\I don't agree.\You are a lonely man, aren't you, Yokoi?\Say, Mr. Ando, how soon can the locks be arranged? response:	If I made arrangements right away,
context: Thank you, Mr. Ando!\You are such a nice person. Isn't he, Nana?\Miss Osaki, sure it'll be cheaper, but you really should think this through.\Sharing a flat with a stranger is nothing but annoying.\I don't agree.\You are a lonely man, aren't you, Yokoi?\Say, Mr. Ando, how soon can the locks be arranged?\If I made arrangements right away, response:	then it'll be done sometime tomorrow morning.
context: You are such a nice person. Isn't he, Nana?\Miss Osaki, sure it'll be cheaper, but you really should think this through.\Sharing a flat with a stranger is nothing but annoying.\I don't agree.\You are a lonely man, aren't you, Yokoi?\Say, Mr. Ando, how soon can the locks be arranged?\If I made arrangements right away,\then it'll be done sometime tomorrow morning. response:	Then please. I'll be moving in tomorrow afternoon.
context: Miss Osaki, sure it'll be cheaper, but you really should think this through.\Sharing a flat with a stranger is nothing but annoying.\I don't agree.\You are a lonely man, aren't you, Yokoi?\Say, Mr. Ando, how soon can the locks be arranged?\If I made arrangements right away,\then it'll be done sometime tomorrow morning.\Then please. I'll be moving in tomorrow afternoon. response:	What about you?
context: Sharing a flat with a stranger is nothing but annoying.\I don't agree.\You are a lonely man, aren't you, Yokoi?\Say, Mr. Ando, how soon can the locks be arranged?\If I made arrangements right away,\then it'll be done sometime tomorrow morning.\Then please. I'll be moving in tomorrow afternoon.\What about you? response:	Th-Then me too.
context: I don't agree.\You are a lonely man, aren't you, Yokoi?\Say, Mr. Ando, how soon can the locks be arranged?\If I made arrangements right away,\then it'll be done sometime tomorrow morning.\Then please. I'll be moving in tomorrow afternoon.\What about you?\Th-Then me too. response:	Then starting tomorrow, we're roommates, Nana-chan.
