context: Just now joining us, Julius? response:	Thanks for gracing us with your presence.
context: but a simple wanderer called Juli.\A proper household's code of chivalry is a real pain, huh?\Bull...\It seems you're doing better than I expected.\How are you feeling?\Well, there were only some scratches!\A little spit fixed them right up!\What about you? response:	Been busy writing apologies
context: A proper household's code of chivalry is a real pain, huh?\Bull...\It seems you're doing better than I expected.\How are you feeling?\Well, there were only some scratches!\A little spit fixed them right up!\What about you?\Been busy writing apologies response:	for fighting so seriously with an amateur?
context: Bull...\It seems you're doing better than I expected.\How are you feeling?\Well, there were only some scratches!\A little spit fixed them right up!\What about you?\Been busy writing apologies\for fighting so seriously with an amateur? response:	I didn't mean that...
context: It seems you're doing better than I expected.\How are you feeling?\Well, there were only some scratches!\A little spit fixed them right up!\What about you?\Been busy writing apologies\for fighting so seriously with an amateur?\I didn't mean that... response:	I was talking about the damage to your honor by the mabeast subjugation.
context: How are you feeling?\Well, there were only some scratches!\A little spit fixed them right up!\What about you?\Been busy writing apologies\for fighting so seriously with an amateur?\I didn't mean that...\I was talking about the damage to your honor by the mabeast subjugation. response:	But I'm glad your wounds from before seem to have healed.
context: Well, there were only some scratches!\A little spit fixed them right up!\What about you?\Been busy writing apologies\for fighting so seriously with an amateur?\I didn't mean that...\I was talking about the damage to your honor by the mabeast subjugation.\But I'm glad your wounds from before seem to have healed. response:	Thanks to all of you, we succeeded in defeating the White Whale.
context: A little spit fixed them right up!\What about you?\Been busy writing apologies\for fighting so seriously with an amateur?\I didn't mean that...\I was talking about the damage to your honor by the mabeast subjugation.\But I'm glad your wounds from before seem to have healed.\Thanks to all of you, we succeeded in defeating the White Whale. response:	But it's not over yet.
context: What about you?\Been busy writing apologies\for fighting so seriously with an amateur?\I didn't mean that...\I was talking about the damage to your honor by the mabeast subjugation.\But I'm glad your wounds from before seem to have healed.\Thanks to all of you, we succeeded in defeating the White Whale.\But it's not over yet. response:	I have to settle a score with the Witch's Cult guys that picked a fight with me.
context: Been busy writing apologies\for fighting so seriously with an amateur?\I didn't mean that...\I was talking about the damage to your honor by the mabeast subjugation.\But I'm glad your wounds from before seem to have healed.\Thanks to all of you, we succeeded in defeating the White Whale.\But it's not over yet.\I have to settle a score with the Witch's Cult guys that picked a fight with me. response:	Once that's done,
context: for fighting so seriously with an amateur?\I didn't mean that...\I was talking about the damage to your honor by the mabeast subjugation.\But I'm glad your wounds from before seem to have healed.\Thanks to all of you, we succeeded in defeating the White Whale.\But it's not over yet.\I have to settle a score with the Witch's Cult guys that picked a fight with me.\Once that's done, response:	the White Whale subjugation will be complete.
context: I didn't mean that...\I was talking about the damage to your honor by the mabeast subjugation.\But I'm glad your wounds from before seem to have healed.\Thanks to all of you, we succeeded in defeating the White Whale.\But it's not over yet.\I have to settle a score with the Witch's Cult guys that picked a fight with me.\Once that's done,\the White Whale subjugation will be complete. response:	The Witch's Cult is next?!
context: I was talking about the damage to your honor by the mabeast subjugation.\But I'm glad your wounds from before seem to have healed.\Thanks to all of you, we succeeded in defeating the White Whale.\But it's not over yet.\I have to settle a score with the Witch's Cult guys that picked a fight with me.\Once that's done,\the White Whale subjugation will be complete.\The Witch's Cult is next?! response:	Can we trust allegations that the White Whale and the Witch's Cult are connected?
context: But I'm glad your wounds from before seem to have healed.\Thanks to all of you, we succeeded in defeating the White Whale.\But it's not over yet.\I have to settle a score with the Witch's Cult guys that picked a fight with me.\Once that's done,\the White Whale subjugation will be complete.\The Witch's Cult is next?!\Can we trust allegations that the White Whale and the Witch's Cult are connected? response:	We only came as reinforcements for the White Whale's subjugation
context: Thanks to all of you, we succeeded in defeating the White Whale.\But it's not over yet.\I have to settle a score with the Witch's Cult guys that picked a fight with me.\Once that's done,\the White Whale subjugation will be complete.\The Witch's Cult is next?!\Can we trust allegations that the White Whale and the Witch's Cult are connected?\We only came as reinforcements for the White Whale's subjugation response:	What was that for?
context: But it's not over yet.\I have to settle a score with the Witch's Cult guys that picked a fight with me.\Once that's done,\the White Whale subjugation will be complete.\The Witch's Cult is next?!\Can we trust allegations that the White Whale and the Witch's Cult are connected?\We only came as reinforcements for the White Whale's subjugation\What was that for? response:	If you can't believe him,
context: I have to settle a score with the Witch's Cult guys that picked a fight with me.\Once that's done,\the White Whale subjugation will be complete.\The Witch's Cult is next?!\Can we trust allegations that the White Whale and the Witch's Cult are connected?\We only came as reinforcements for the White Whale's subjugation\What was that for?\If you can't believe him, response:	then you just need to believe me!
context: Once that's done,\the White Whale subjugation will be complete.\The Witch's Cult is next?!\Can we trust allegations that the White Whale and the Witch's Cult are connected?\We only came as reinforcements for the White Whale's subjugation\What was that for?\If you can't believe him,\then you just need to believe me! response:	I'd prefer it if you believed me, though.
context: the White Whale subjugation will be complete.\The Witch's Cult is next?!\Can we trust allegations that the White Whale and the Witch's Cult are connected?\We only came as reinforcements for the White Whale's subjugation\What was that for?\If you can't believe him,\then you just need to believe me!\I'd prefer it if you believed me, though. response:	I don't like to recall it,
context: The Witch's Cult is next?!\Can we trust allegations that the White Whale and the Witch's Cult are connected?\We only came as reinforcements for the White Whale's subjugation\What was that for?\If you can't believe him,\then you just need to believe me!\I'd prefer it if you believed me, though.\I don't like to recall it, response:	but I've run up against the Witch's Cult before.
context: Can we trust allegations that the White Whale and the Witch's Cult are connected?\We only came as reinforcements for the White Whale's subjugation\What was that for?\If you can't believe him,\then you just need to believe me!\I'd prefer it if you believed me, though.\I don't like to recall it,\but I've run up against the Witch's Cult before. response:	I learned it then.
context: We only came as reinforcements for the White Whale's subjugation\What was that for?\If you can't believe him,\then you just need to believe me!\I'd prefer it if you believed me, though.\I don't like to recall it,\but I've run up against the Witch's Cult before.\I learned it then. response:	Didn't you look into that, Old Man Wil?
context: What was that for?\If you can't believe him,\then you just need to believe me!\I'd prefer it if you believed me, though.\I don't like to recall it,\but I've run up against the Witch's Cult before.\I learned it then.\Didn't you look into that, Old Man Wil? response:	I would not term it definitive evidence,
context: If you can't believe him,\then you just need to believe me!\I'd prefer it if you believed me, though.\I don't like to recall it,\but I've run up against the Witch's Cult before.\I learned it then.\Didn't you look into that, Old Man Wil?\I would not term it definitive evidence, response:	but the distributions of Whale appearances and Cult activities
context: then you just need to believe me!\I'd prefer it if you believed me, though.\I don't like to recall it,\but I've run up against the Witch's Cult before.\I learned it then.\Didn't you look into that, Old Man Wil?\I would not term it definitive evidence,\but the distributions of Whale appearances and Cult activities response:	coincided in several respects.
context: I'd prefer it if you believed me, though.\I don't like to recall it,\but I've run up against the Witch's Cult before.\I learned it then.\Didn't you look into that, Old Man Wil?\I would not term it definitive evidence,\but the distributions of Whale appearances and Cult activities\coincided in several respects. response:	That makes it doubly credible!
context: I don't like to recall it,\but I've run up against the Witch's Cult before.\I learned it then.\Didn't you look into that, Old Man Wil?\I would not term it definitive evidence,\but the distributions of Whale appearances and Cult activities\coincided in several respects.\That makes it doubly credible! response:	On that note,
context: but I've run up against the Witch's Cult before.\I learned it then.\Didn't you look into that, Old Man Wil?\I would not term it definitive evidence,\but the distributions of Whale appearances and Cult activities\coincided in several respects.\That makes it doubly credible!\On that note, response:	we're going to head for the Mathers domain.
context: I learned it then.\Didn't you look into that, Old Man Wil?\I would not term it definitive evidence,\but the distributions of Whale appearances and Cult activities\coincided in several respects.\That makes it doubly credible!\On that note,\we're going to head for the Mathers domain. response:	The Witch's Cult is hiding in the forest there.
context: Didn't you look into that, Old Man Wil?\I would not term it definitive evidence,\but the distributions of Whale appearances and Cult activities\coincided in several respects.\That makes it doubly credible!\On that note,\we're going to head for the Mathers domain.\The Witch's Cult is hiding in the forest there. response:	The way we defeat them is as simple as it gets.
context: I would not term it definitive evidence,\but the distributions of Whale appearances and Cult activities\coincided in several respects.\That makes it doubly credible!\On that note,\we're going to head for the Mathers domain.\The Witch's Cult is hiding in the forest there.\The way we defeat them is as simple as it gets. response:	Raid them before they can read our movements,
context: but the distributions of Whale appearances and Cult activities\coincided in several respects.\That makes it doubly credible!\On that note,\we're going to head for the Mathers domain.\The Witch's Cult is hiding in the forest there.\The way we defeat them is as simple as it gets.\Raid them before they can read our movements, response:	and crush them!
context: coincided in several respects.\That makes it doubly credible!\On that note,\we're going to head for the Mathers domain.\The Witch's Cult is hiding in the forest there.\The way we defeat them is as simple as it gets.\Raid them before they can read our movements,\and crush them! response:	Is there a way to protect the villagers?
context: That makes it doubly credible!\On that note,\we're going to head for the Mathers domain.\The Witch's Cult is hiding in the forest there.\The way we defeat them is as simple as it gets.\Raid them before they can read our movements,\and crush them!\Is there a way to protect the villagers? response:	I asked Anastasia-san and Russell-san
context: On that note,\we're going to head for the Mathers domain.\The Witch's Cult is hiding in the forest there.\The way we defeat them is as simple as it gets.\Raid them before they can read our movements,\and crush them!\Is there a way to protect the villagers?\I asked Anastasia-san and Russell-san response:	to talk to the merchants along the highway.
context: we're going to head for the Mathers domain.\The Witch's Cult is hiding in the forest there.\The way we defeat them is as simple as it gets.\Raid them before they can read our movements,\and crush them!\Is there a way to protect the villagers?\I asked Anastasia-san and Russell-san\to talk to the merchants along the highway. response:	Under the condition that Margrave Mathers buys their cargo at asking prices,
context: The Witch's Cult is hiding in the forest there.\The way we defeat them is as simple as it gets.\Raid them before they can read our movements,\and crush them!\Is there a way to protect the villagers?\I asked Anastasia-san and Russell-san\to talk to the merchants along the highway.\Under the condition that Margrave Mathers buys their cargo at asking prices, response:	they'll ask the merchants to evacuate the Arlam
context: The way we defeat them is as simple as it gets.\Raid them before they can read our movements,\and crush them!\Is there a way to protect the villagers?\I asked Anastasia-san and Russell-san\to talk to the merchants along the highway.\Under the condition that Margrave Mathers buys their cargo at asking prices,\they'll ask the merchants to evacuate the Arlam response:	villagers and Roswaal mansion residents.
context: Raid them before they can read our movements,\and crush them!\Is there a way to protect the villagers?\I asked Anastasia-san and Russell-san\to talk to the merchants along the highway.\Under the condition that Margrave Mathers buys their cargo at asking prices,\they'll ask the merchants to evacuate the Arlam\villagers and Roswaal mansion residents. response:	And a messenger from Crusch-san's household
context: and crush them!\Is there a way to protect the villagers?\I asked Anastasia-san and Russell-san\to talk to the merchants along the highway.\Under the condition that Margrave Mathers buys their cargo at asking prices,\they'll ask the merchants to evacuate the Arlam\villagers and Roswaal mansion residents.\And a messenger from Crusch-san's household response:	is headed for the mansion with a handwritten letter.
context: Is there a way to protect the villagers?\I asked Anastasia-san and Russell-san\to talk to the merchants along the highway.\Under the condition that Margrave Mathers buys their cargo at asking prices,\they'll ask the merchants to evacuate the Arlam\villagers and Roswaal mansion residents.\And a messenger from Crusch-san's household\is headed for the mansion with a handwritten letter. response:	There will be chaos
context: I asked Anastasia-san and Russell-san\to talk to the merchants along the highway.\Under the condition that Margrave Mathers buys their cargo at asking prices,\they'll ask the merchants to evacuate the Arlam\villagers and Roswaal mansion residents.\And a messenger from Crusch-san's household\is headed for the mansion with a handwritten letter.\There will be chaos response:	if we don't notify Emilia and the rest about the alliance and such.
context: to talk to the merchants along the highway.\Under the condition that Margrave Mathers buys their cargo at asking prices,\they'll ask the merchants to evacuate the Arlam\villagers and Roswaal mansion residents.\And a messenger from Crusch-san's household\is headed for the mansion with a handwritten letter.\There will be chaos\if we don't notify Emilia and the rest about the alliance and such. response:	Sounds like we're all ready.
context: Under the condition that Margrave Mathers buys their cargo at asking prices,\they'll ask the merchants to evacuate the Arlam\villagers and Roswaal mansion residents.\And a messenger from Crusch-san's household\is headed for the mansion with a handwritten letter.\There will be chaos\if we don't notify Emilia and the rest about the alliance and such.\Sounds like we're all ready. response:	Yeah!
context: they'll ask the merchants to evacuate the Arlam\villagers and Roswaal mansion residents.\And a messenger from Crusch-san's household\is headed for the mansion with a handwritten letter.\There will be chaos\if we don't notify Emilia and the rest about the alliance and such.\Sounds like we're all ready.\Yeah! response:	We have never enjoyed such an advantage in a battle with the Witch's Cult.
context: villagers and Roswaal mansion residents.\And a messenger from Crusch-san's household\is headed for the mansion with a handwritten letter.\There will be chaos\if we don't notify Emilia and the rest about the alliance and such.\Sounds like we're all ready.\Yeah!\We have never enjoyed such an advantage in a battle with the Witch's Cult. response:	Yeah.
context: And a messenger from Crusch-san's household\is headed for the mansion with a handwritten letter.\There will be chaos\if we don't notify Emilia and the rest about the alliance and such.\Sounds like we're all ready.\Yeah!\We have never enjoyed such an advantage in a battle with the Witch's Cult.\Yeah. response:	With Julius and his crew, we don't have to worry about being outnumbered.
context: is headed for the mansion with a handwritten letter.\There will be chaos\if we don't notify Emilia and the rest about the alliance and such.\Sounds like we're all ready.\Yeah!\We have never enjoyed such an advantage in a battle with the Witch's Cult.\Yeah.\With Julius and his crew, we don't have to worry about being outnumbered. response:	I would like to offer one correction.
context: There will be chaos\if we don't notify Emilia and the rest about the alliance and such.\Sounds like we're all ready.\Yeah!\We have never enjoyed such an advantage in a battle with the Witch's Cult.\Yeah.\With Julius and his crew, we don't have to worry about being outnumbered.\I would like to offer one correction. response:	My name is Juli.
context: if we don't notify Emilia and the rest about the alliance and such.\Sounds like we're all ready.\Yeah!\We have never enjoyed such an advantage in a battle with the Witch's Cult.\Yeah.\With Julius and his crew, we don't have to worry about being outnumbered.\I would like to offer one correction.\My name is Juli. response:	Please take care to use it.
context: Sounds like we're all ready.\Yeah!\We have never enjoyed such an advantage in a battle with the Witch's Cult.\Yeah.\With Julius and his crew, we don't have to worry about being outnumbered.\I would like to offer one correction.\My name is Juli.\Please take care to use it. response:	That'll just be a hassle in casual settings!
context: Yeah!\We have never enjoyed such an advantage in a battle with the Witch's Cult.\Yeah.\With Julius and his crew, we don't have to worry about being outnumbered.\I would like to offer one correction.\My name is Juli.\Please take care to use it.\That'll just be a hassle in casual settings! response:	The battle with the White Whale was so tough, I thought I'd die.
context: We have never enjoyed such an advantage in a battle with the Witch's Cult.\Yeah.\With Julius and his crew, we don't have to worry about being outnumbered.\I would like to offer one correction.\My name is Juli.\Please take care to use it.\That'll just be a hassle in casual settings!\The battle with the White Whale was so tough, I thought I'd die. response:	Some of us did die.
context: Yeah.\With Julius and his crew, we don't have to worry about being outnumbered.\I would like to offer one correction.\My name is Juli.\Please take care to use it.\That'll just be a hassle in casual settings!\The battle with the White Whale was so tough, I thought I'd die.\Some of us did die. response:	Some others vanished, never to return.
context: With Julius and his crew, we don't have to worry about being outnumbered.\I would like to offer one correction.\My name is Juli.\Please take care to use it.\That'll just be a hassle in casual settings!\The battle with the White Whale was so tough, I thought I'd die.\Some of us did die.\Some others vanished, never to return. response:	Let's win the war without losing anyone here.
context: I would like to offer one correction.\My name is Juli.\Please take care to use it.\That'll just be a hassle in casual settings!\The battle with the White Whale was so tough, I thought I'd die.\Some of us did die.\Some others vanished, never to return.\Let's win the war without losing anyone here. response:	Let's all return home alive!
context: My name is Juli.\Please take care to use it.\That'll just be a hassle in casual settings!\The battle with the White Whale was so tough, I thought I'd die.\Some of us did die.\Some others vanished, never to return.\Let's win the war without losing anyone here.\Let's all return home alive! response:	You really managed to win?
context: Please take care to use it.\That'll just be a hassle in casual settings!\The battle with the White Whale was so tough, I thought I'd die.\Some of us did die.\Some others vanished, never to return.\Let's win the war without losing anyone here.\Let's all return home alive!\You really managed to win? response:	Huh?
context: That'll just be a hassle in casual settings!\The battle with the White Whale was so tough, I thought I'd die.\Some of us did die.\Some others vanished, never to return.\Let's win the war without losing anyone here.\Let's all return home alive!\You really managed to win?\Huh? response:	The subjugation of the White Whale
context: The battle with the White Whale was so tough, I thought I'd die.\Some of us did die.\Some others vanished, never to return.\Let's win the war without losing anyone here.\Let's all return home alive!\You really managed to win?\Huh?\The subjugation of the White Whale response:	was a long-standing wish of the Imperial Knights.
context: Some of us did die.\Some others vanished, never to return.\Let's win the war without losing anyone here.\Let's all return home alive!\You really managed to win?\Huh?\The subjugation of the White Whale\was a long-standing wish of the Imperial Knights. response:	It seems I owe you my thanks.
context: Some others vanished, never to return.\Let's win the war without losing anyone here.\Let's all return home alive!\You really managed to win?\Huh?\The subjugation of the White Whale\was a long-standing wish of the Imperial Knights.\It seems I owe you my thanks. response:	You don't have to force it.
context: Let's win the war without losing anyone here.\Let's all return home alive!\You really managed to win?\Huh?\The subjugation of the White Whale\was a long-standing wish of the Imperial Knights.\It seems I owe you my thanks.\You don't have to force it. response:	For putting an end to a calamity that all nations ignored for far too long,
context: Let's all return home alive!\You really managed to win?\Huh?\The subjugation of the White Whale\was a long-standing wish of the Imperial Knights.\It seems I owe you my thanks.\You don't have to force it.\For putting an end to a calamity that all nations ignored for far too long, response:	I thank you.
context: You really managed to win?\Huh?\The subjugation of the White Whale\was a long-standing wish of the Imperial Knights.\It seems I owe you my thanks.\You don't have to force it.\For putting an end to a calamity that all nations ignored for far too long,\I thank you. response:	I'm...
context: Huh?\The subjugation of the White Whale\was a long-standing wish of the Imperial Knights.\It seems I owe you my thanks.\You don't have to force it.\For putting an end to a calamity that all nations ignored for far too long,\I thank you.\I'm... response:	grateful to you, too.
context: The subjugation of the White Whale\was a long-standing wish of the Imperial Knights.\It seems I owe you my thanks.\You don't have to force it.\For putting an end to a calamity that all nations ignored for far too long,\I thank you.\I'm...\grateful to you, too. response:	For coming to back us up.
context: was a long-standing wish of the Imperial Knights.\It seems I owe you my thanks.\You don't have to force it.\For putting an end to a calamity that all nations ignored for far too long,\I thank you.\I'm...\grateful to you, too.\For coming to back us up. response:	Even after what happened.
context: It seems I owe you my thanks.\You don't have to force it.\For putting an end to a calamity that all nations ignored for far too long,\I thank you.\I'm...\grateful to you, too.\For coming to back us up.\Even after what happened. response:	About that, I was...
context: You don't have to force it.\For putting an end to a calamity that all nations ignored for far too long,\I thank you.\I'm...\grateful to you, too.\For coming to back us up.\Even after what happened.\About that, I was... response:	Oh, damn it! Crap!
context: For putting an end to a calamity that all nations ignored for far too long,\I thank you.\I'm...\grateful to you, too.\For coming to back us up.\Even after what happened.\About that, I was...\Oh, damn it! Crap! response:	I know, okay? I know it now!
context: I thank you.\I'm...\grateful to you, too.\For coming to back us up.\Even after what happened.\About that, I was...\Oh, damn it! Crap!\I know, okay? I know it now! response:	It was my fault.
context: I'm...\grateful to you, too.\For coming to back us up.\Even after what happened.\About that, I was...\Oh, damn it! Crap!\I know, okay? I know it now!\It was my fault. response:	Sorry. I... I apologize.
context: grateful to you, too.\For coming to back us up.\Even after what happened.\About that, I was...\Oh, damn it! Crap!\I know, okay? I know it now!\It was my fault.\Sorry. I... I apologize. response:	I apologize, as well.
context: For coming to back us up.\Even after what happened.\About that, I was...\Oh, damn it! Crap!\I know, okay? I know it now!\It was my fault.\Sorry. I... I apologize.\I apologize, as well. response:	I cannot take back my words and actions,
context: Even after what happened.\About that, I was...\Oh, damn it! Crap!\I know, okay? I know it now!\It was my fault.\Sorry. I... I apologize.\I apologize, as well.\I cannot take back my words and actions, response:	but I apologize, from the bottom of my heart, for belittling you.
context: About that, I was...\Oh, damn it! Crap!\I know, okay? I know it now!\It was my fault.\Sorry. I... I apologize.\I apologize, as well.\I cannot take back my words and actions,\but I apologize, from the bottom of my heart, for belittling you. response:	I'm sorry, but...
context: Oh, damn it! Crap!\I know, okay? I know it now!\It was my fault.\Sorry. I... I apologize.\I apologize, as well.\I cannot take back my words and actions,\but I apologize, from the bottom of my heart, for belittling you.\I'm sorry, but... response:	I hate your guts.
context: I know, okay? I know it now!\It was my fault.\Sorry. I... I apologize.\I apologize, as well.\I cannot take back my words and actions,\but I apologize, from the bottom of my heart, for belittling you.\I'm sorry, but...\I hate your guts. response:	I feel bad for what happened, and I'm grateful you're here.
context: It was my fault.\Sorry. I... I apologize.\I apologize, as well.\I cannot take back my words and actions,\but I apologize, from the bottom of my heart, for belittling you.\I'm sorry, but...\I hate your guts.\I feel bad for what happened, and I'm grateful you're here. response:	But I hate your guts.
context: Sorry. I... I apologize.\I apologize, as well.\I cannot take back my words and actions,\but I apologize, from the bottom of my heart, for belittling you.\I'm sorry, but...\I hate your guts.\I feel bad for what happened, and I'm grateful you're here.\But I hate your guts. response:	Seriously, I hate you from the bottom of my heart!
context: I apologize, as well.\I cannot take back my words and actions,\but I apologize, from the bottom of my heart, for belittling you.\I'm sorry, but...\I hate your guts.\I feel bad for what happened, and I'm grateful you're here.\But I hate your guts.\Seriously, I hate you from the bottom of my heart! response:	That is fine.
context: I cannot take back my words and actions,\but I apologize, from the bottom of my heart, for belittling you.\I'm sorry, but...\I hate your guts.\I feel bad for what happened, and I'm grateful you're here.\But I hate your guts.\Seriously, I hate you from the bottom of my heart!\That is fine. response:	I have no intention of befriending you, either.
context: but I apologize, from the bottom of my heart, for belittling you.\I'm sorry, but...\I hate your guts.\I feel bad for what happened, and I'm grateful you're here.\But I hate your guts.\Seriously, I hate you from the bottom of my heart!\That is fine.\I have no intention of befriending you, either. response:	All right, as I say every time, let's get this fight started.
context: I'm sorry, but...\I hate your guts.\I feel bad for what happened, and I'm grateful you're here.\But I hate your guts.\Seriously, I hate you from the bottom of my heart!\That is fine.\I have no intention of befriending you, either.\All right, as I say every time, let's get this fight started. response:	Fate, bring it on!
context: I hate your guts.\I feel bad for what happened, and I'm grateful you're here.\But I hate your guts.\Seriously, I hate you from the bottom of my heart!\That is fine.\I have no intention of befriending you, either.\All right, as I say every time, let's get this fight started.\Fate, bring it on! response:	You must be exhausted, Lia.
context: I feel bad for what happened, and I'm grateful you're here.\But I hate your guts.\Seriously, I hate you from the bottom of my heart!\That is fine.\I have no intention of befriending you, either.\All right, as I say every time, let's get this fight started.\Fate, bring it on!\You must be exhausted, Lia. response:	You should rest a bit.
context: But I hate your guts.\Seriously, I hate you from the bottom of my heart!\That is fine.\I have no intention of befriending you, either.\All right, as I say every time, let's get this fight started.\Fate, bring it on!\You must be exhausted, Lia.\You should rest a bit. response:	No.
context: Seriously, I hate you from the bottom of my heart!\That is fine.\I have no intention of befriending you, either.\All right, as I say every time, let's get this fight started.\Fate, bring it on!\You must be exhausted, Lia.\You should rest a bit.\No. response:	I don't think I'll be able to fall asleep.
context: That is fine.\I have no intention of befriending you, either.\All right, as I say every time, let's get this fight started.\Fate, bring it on!\You must be exhausted, Lia.\You should rest a bit.\No.\I don't think I'll be able to fall asleep. response:	What about you? Aren't you tired?
context: I have no intention of befriending you, either.\All right, as I say every time, let's get this fight started.\Fate, bring it on!\You must be exhausted, Lia.\You should rest a bit.\No.\I don't think I'll be able to fall asleep.\What about you? Aren't you tired? response:	I'm fine.
context: All right, as I say every time, let's get this fight started.\Fate, bring it on!\You must be exhausted, Lia.\You should rest a bit.\No.\I don't think I'll be able to fall asleep.\What about you? Aren't you tired?\I'm fine. response:	The forest barrier is all fixed up, too.
context: Fate, bring it on!\You must be exhausted, Lia.\You should rest a bit.\No.\I don't think I'll be able to fall asleep.\What about you? Aren't you tired?\I'm fine.\The forest barrier is all fixed up, too. response:	You don't have to worry about anything!
context: You must be exhausted, Lia.\You should rest a bit.\No.\I don't think I'll be able to fall asleep.\What about you? Aren't you tired?\I'm fine.\The forest barrier is all fixed up, too.\You don't have to worry about anything! response:	Yeah.
context: You should rest a bit.\No.\I don't think I'll be able to fall asleep.\What about you? Aren't you tired?\I'm fine.\The forest barrier is all fixed up, too.\You don't have to worry about anything!\Yeah. response:	But...
context: No.\I don't think I'll be able to fall asleep.\What about you? Aren't you tired?\I'm fine.\The forest barrier is all fixed up, too.\You don't have to worry about anything!\Yeah.\But... response:	This feels like the time
context: I don't think I'll be able to fall asleep.\What about you? Aren't you tired?\I'm fine.\The forest barrier is all fixed up, too.\You don't have to worry about anything!\Yeah.\But...\This feels like the time response:	I found a cockroach in the corner of a quiet room.
context: What about you? Aren't you tired?\I'm fine.\The forest barrier is all fixed up, too.\You don't have to worry about anything!\Yeah.\But...\This feels like the time\I found a cockroach in the corner of a quiet room. response:	You were drawn to the smell, huh?
context: I'm fine.\The forest barrier is all fixed up, too.\You don't have to worry about anything!\Yeah.\But...\This feels like the time\I found a cockroach in the corner of a quiet room.\You were drawn to the smell, huh? response:	Perfect cockroach bait...
context: The forest barrier is all fixed up, too.\You don't have to worry about anything!\Yeah.\But...\This feels like the time\I found a cockroach in the corner of a quiet room.\You were drawn to the smell, huh?\Perfect cockroach bait... response:	Do I really smell that bad?
context: You don't have to worry about anything!\Yeah.\But...\This feels like the time\I found a cockroach in the corner of a quiet room.\You were drawn to the smell, huh?\Perfect cockroach bait...\Do I really smell that bad? response:	Thanks for coming to meet me.
