context: Do you mean Eleven is just a friends club? response:	Something like that.
context: A jamming device. I made it.\It disrupts the machines' tracking.\Do you think we can win against the machines?\Probably not.\We Eleven are monsters, even though we look like humans.\It's hilarious that we monsters are humanity's last hope.\We all ought to disappear, including me.\Here they come. response:	Do you have a problem with me, machines?
context: It disrupts the machines' tracking.\Do you think we can win against the machines?\Probably not.\We Eleven are monsters, even though we look like humans.\It's hilarious that we monsters are humanity's last hope.\We all ought to disappear, including me.\Here they come.\Do you have a problem with me, machines? response:	Skull Machine Gun!
context: Do you think we can win against the machines?\Probably not.\We Eleven are monsters, even though we look like humans.\It's hilarious that we monsters are humanity's last hope.\We all ought to disappear, including me.\Here they come.\Do you have a problem with me, machines?\Skull Machine Gun! response:	Wipe that smug look off your face, you machines!
context: Probably not.\We Eleven are monsters, even though we look like humans.\It's hilarious that we monsters are humanity's last hope.\We all ought to disappear, including me.\Here they come.\Do you have a problem with me, machines?\Skull Machine Gun!\Wipe that smug look off your face, you machines! response:	Goodbye.
context: We Eleven are monsters, even though we look like humans.\It's hilarious that we monsters are humanity's last hope.\We all ought to disappear, including me.\Here they come.\Do you have a problem with me, machines?\Skull Machine Gun!\Wipe that smug look off your face, you machines!\Goodbye. response:	The next me,
context: It's hilarious that we monsters are humanity's last hope.\We all ought to disappear, including me.\Here they come.\Do you have a problem with me, machines?\Skull Machine Gun!\Wipe that smug look off your face, you machines!\Goodbye.\The next me, response:	can have all that I am.
context: We all ought to disappear, including me.\Here they come.\Do you have a problem with me, machines?\Skull Machine Gun!\Wipe that smug look off your face, you machines!\Goodbye.\The next me,\can have all that I am. response:	It must be around here, if Xiaogang's information was correct.
context: Here they come.\Do you have a problem with me, machines?\Skull Machine Gun!\Wipe that smug look off your face, you machines!\Goodbye.\The next me,\can have all that I am.\It must be around here, if Xiaogang's information was correct. response:	Where is it?
context: Do you have a problem with me, machines?\Skull Machine Gun!\Wipe that smug look off your face, you machines!\Goodbye.\The next me,\can have all that I am.\It must be around here, if Xiaogang's information was correct.\Where is it? response:	If I destroy your communication servers,
context: Skull Machine Gun!\Wipe that smug look off your face, you machines!\Goodbye.\The next me,\can have all that I am.\It must be around here, if Xiaogang's information was correct.\Where is it?\If I destroy your communication servers, response:	you won't be able to cooperate.
context: Wipe that smug look off your face, you machines!\Goodbye.\The next me,\can have all that I am.\It must be around here, if Xiaogang's information was correct.\Where is it?\If I destroy your communication servers,\you won't be able to cooperate. response:	Eat this!
context: Goodbye.\The next me,\can have all that I am.\It must be around here, if Xiaogang's information was correct.\Where is it?\If I destroy your communication servers,\you won't be able to cooperate.\Eat this! response:	Is this it?
context: The next me,\can have all that I am.\It must be around here, if Xiaogang's information was correct.\Where is it?\If I destroy your communication servers,\you won't be able to cooperate.\Eat this!\Is this it? response:	Out in the open?
context: can have all that I am.\It must be around here, if Xiaogang's information was correct.\Where is it?\If I destroy your communication servers,\you won't be able to cooperate.\Eat this!\Is this it?\Out in the open? response:	It's a trap!
context: It must be around here, if Xiaogang's information was correct.\Where is it?\If I destroy your communication servers,\you won't be able to cooperate.\Eat this!\Is this it?\Out in the open?\It's a trap! response:	We will interview you.
context: Where is it?\If I destroy your communication servers,\you won't be able to cooperate.\Eat this!\Is this it?\Out in the open?\It's a trap!\We will interview you. response:	Huh? Interview?
context: If I destroy your communication servers,\you won't be able to cooperate.\Eat this!\Is this it?\Out in the open?\It's a trap!\We will interview you.\Huh? Interview? response:	Aren't we at war?
context: you won't be able to cooperate.\Eat this!\Is this it?\Out in the open?\It's a trap!\We will interview you.\Huh? Interview?\Aren't we at war? response:	What's the point?
context: Eat this!\Is this it?\Out in the open?\It's a trap!\We will interview you.\Huh? Interview?\Aren't we at war?\What's the point? response:	We want to understand you.
context: Is this it?\Out in the open?\It's a trap!\We will interview you.\Huh? Interview?\Aren't we at war?\What's the point?\We want to understand you. response:	No way humans and machines can understand each other.
context: Out in the open?\It's a trap!\We will interview you.\Huh? Interview?\Aren't we at war?\What's the point?\We want to understand you.\No way humans and machines can understand each other. response:	What is love?
context: It's a trap!\We will interview you.\Huh? Interview?\Aren't we at war?\What's the point?\We want to understand you.\No way humans and machines can understand each other.\What is love? response:	Love?! Now the machines are talking about love?
context: We will interview you.\Huh? Interview?\Aren't we at war?\What's the point?\We want to understand you.\No way humans and machines can understand each other.\What is love?\Love?! Now the machines are talking about love? response:	You must be kidding!
context: Huh? Interview?\Aren't we at war?\What's the point?\We want to understand you.\No way humans and machines can understand each other.\What is love?\Love?! Now the machines are talking about love?\You must be kidding! response:	We want to know what love is.
context: Aren't we at war?\What's the point?\We want to understand you.\No way humans and machines can understand each other.\What is love?\Love?! Now the machines are talking about love?\You must be kidding!\We want to know what love is. response:	Impossible! See, not even us humans know what love is.
context: What's the point?\We want to understand you.\No way humans and machines can understand each other.\What is love?\Love?! Now the machines are talking about love?\You must be kidding!\We want to know what love is.\Impossible! See, not even us humans know what love is. response:	Don't you believe in love?
context: We want to understand you.\No way humans and machines can understand each other.\What is love?\Love?! Now the machines are talking about love?\You must be kidding!\We want to know what love is.\Impossible! See, not even us humans know what love is.\Don't you believe in love? response:	This is fun.
context: No way humans and machines can understand each other.\What is love?\Love?! Now the machines are talking about love?\You must be kidding!\We want to know what love is.\Impossible! See, not even us humans know what love is.\Don't you believe in love?\This is fun. response:	I'll play along for a while longer.
context: What is love?\Love?! Now the machines are talking about love?\You must be kidding!\We want to know what love is.\Impossible! See, not even us humans know what love is.\Don't you believe in love?\This is fun.\I'll play along for a while longer. response:	What's the point of love, anyway?
context: Love?! Now the machines are talking about love?\You must be kidding!\We want to know what love is.\Impossible! See, not even us humans know what love is.\Don't you believe in love?\This is fun.\I'll play along for a while longer.\What's the point of love, anyway? response:	Love as in the way a parent loves a child?
context: You must be kidding!\We want to know what love is.\Impossible! See, not even us humans know what love is.\Don't you believe in love?\This is fun.\I'll play along for a while longer.\What's the point of love, anyway?\Love as in the way a parent loves a child? response:	As in the way lovers pledge love to each other?
context: We want to know what love is.\Impossible! See, not even us humans know what love is.\Don't you believe in love?\This is fun.\I'll play along for a while longer.\What's the point of love, anyway?\Love as in the way a parent loves a child?\As in the way lovers pledge love to each other? response:	As in the way you love everyone in the world?
context: Impossible! See, not even us humans know what love is.\Don't you believe in love?\This is fun.\I'll play along for a while longer.\What's the point of love, anyway?\Love as in the way a parent loves a child?\As in the way lovers pledge love to each other?\As in the way you love everyone in the world? response:	Love is everything.
context: Don't you believe in love?\This is fun.\I'll play along for a while longer.\What's the point of love, anyway?\Love as in the way a parent loves a child?\As in the way lovers pledge love to each other?\As in the way you love everyone in the world?\Love is everything. response:	That's a fantasy.
context: This is fun.\I'll play along for a while longer.\What's the point of love, anyway?\Love as in the way a parent loves a child?\As in the way lovers pledge love to each other?\As in the way you love everyone in the world?\Love is everything.\That's a fantasy. response:	How long
context: I'll play along for a while longer.\What's the point of love, anyway?\Love as in the way a parent loves a child?\As in the way lovers pledge love to each other?\As in the way you love everyone in the world?\Love is everything.\That's a fantasy.\How long response:	are we going to go on with this?
context: What's the point of love, anyway?\Love as in the way a parent loves a child?\As in the way lovers pledge love to each other?\As in the way you love everyone in the world?\Love is everything.\That's a fantasy.\How long\are we going to go on with this? response:	Your love...
context: Love as in the way a parent loves a child?\As in the way lovers pledge love to each other?\As in the way you love everyone in the world?\Love is everything.\That's a fantasy.\How long\are we going to go on with this?\Your love... response:	Cut that crap!!
context: As in the way lovers pledge love to each other?\As in the way you love everyone in the world?\Love is everything.\That's a fantasy.\How long\are we going to go on with this?\Your love...\Cut that crap!! response:	Your gun is here.
context: As in the way you love everyone in the world?\Love is everything.\That's a fantasy.\How long\are we going to go on with this?\Your love...\Cut that crap!!\Your gun is here. response:	That's right, my weapons.
context: Love is everything.\That's a fantasy.\How long\are we going to go on with this?\Your love...\Cut that crap!!\Your gun is here.\That's right, my weapons. response:	You guys took all of them.
context: That's a fantasy.\How long\are we going to go on with this?\Your love...\Cut that crap!!\Your gun is here.\That's right, my weapons.\You guys took all of them. response:	Even so, I don't think you should piss me off.
context: How long\are we going to go on with this?\Your love...\Cut that crap!!\Your gun is here.\That's right, my weapons.\You guys took all of them.\Even so, I don't think you should piss me off. response:	Onee-chan.
context: are we going to go on with this?\Your love...\Cut that crap!!\Your gun is here.\That's right, my weapons.\You guys took all of them.\Even so, I don't think you should piss me off.\Onee-chan. response:	Do you love me?
context: Your love...\Cut that crap!!\Your gun is here.\That's right, my weapons.\You guys took all of them.\Even so, I don't think you should piss me off.\Onee-chan.\Do you love me? response:	Yeah, I do. I do love you!
context: Cut that crap!!\Your gun is here.\That's right, my weapons.\You guys took all of them.\Even so, I don't think you should piss me off.\Onee-chan.\Do you love me?\Yeah, I do. I do love you! response:	So don't die.
context: Your gun is here.\That's right, my weapons.\You guys took all of them.\Even so, I don't think you should piss me off.\Onee-chan.\Do you love me?\Yeah, I do. I do love you!\So don't die. response:	Touka!
context: That's right, my weapons.\You guys took all of them.\Even so, I don't think you should piss me off.\Onee-chan.\Do you love me?\Yeah, I do. I do love you!\So don't die.\Touka! response:	Stop this!
context: You guys took all of them.\Even so, I don't think you should piss me off.\Onee-chan.\Do you love me?\Yeah, I do. I do love you!\So don't die.\Touka!\Stop this! response:	I say I love you by accident sometimes.
context: Even so, I don't think you should piss me off.\Onee-chan.\Do you love me?\Yeah, I do. I do love you!\So don't die.\Touka!\Stop this!\I say I love you by accident sometimes. response:	Out of impulse, I guess.
context: Onee-chan.\Do you love me?\Yeah, I do. I do love you!\So don't die.\Touka!\Stop this!\I say I love you by accident sometimes.\Out of impulse, I guess. response:	You must believe in love.
context: Do you love me?\Yeah, I do. I do love you!\So don't die.\Touka!\Stop this!\I say I love you by accident sometimes.\Out of impulse, I guess.\You must believe in love. response:	You machines would never know!
context: Yeah, I do. I do love you!\So don't die.\Touka!\Stop this!\I say I love you by accident sometimes.\Out of impulse, I guess.\You must believe in love.\You machines would never know! response:	We want to know.
context: So don't die.\Touka!\Stop this!\I say I love you by accident sometimes.\Out of impulse, I guess.\You must believe in love.\You machines would never know!\We want to know. response:	Touka!
context: Touka!\Stop this!\I say I love you by accident sometimes.\Out of impulse, I guess.\You must believe in love.\You machines would never know!\We want to know.\Touka! response:	That's it!
context: Stop this!\I say I love you by accident sometimes.\Out of impulse, I guess.\You must believe in love.\You machines would never know!\We want to know.\Touka!\That's it! response:	Thanks for the meal!
