context: Morni response:	Wakanalia, please help me!
context: You know, like drawing mountains and\castles on plywood for the scene backdrops.\So I'll have to draw?\No way!\I don't do art!\In fact, I was told to never draw again.\By whom?\Why won't you even try? response:	Don't freak out. I'm not expecting much!
context: castles on plywood for the scene backdrops.\So I'll have to draw?\No way!\I don't do art!\In fact, I was told to never draw again.\By whom?\Why won't you even try?\Don't freak out. I'm not expecting much! response:	It can be grade-school level, for all I care!
context: So I'll have to draw?\No way!\I don't do art!\In fact, I was told to never draw again.\By whom?\Why won't you even try?\Don't freak out. I'm not expecting much!\It can be grade-school level, for all I care! response:	Wakana is writing our song,
context: No way!\I don't do art!\In fact, I was told to never draw again.\By whom?\Why won't you even try?\Don't freak out. I'm not expecting much!\It can be grade-school level, for all I care!\Wakana is writing our song, response:	and Sawa's doing the choreography.
context: I don't do art!\In fact, I was told to never draw again.\By whom?\Why won't you even try?\Don't freak out. I'm not expecting much!\It can be grade-school level, for all I care!\Wakana is writing our song,\and Sawa's doing the choreography. response:	We're all new at this, so you're not getting out of it!
context: In fact, I was told to never draw again.\By whom?\Why won't you even try?\Don't freak out. I'm not expecting much!\It can be grade-school level, for all I care!\Wakana is writing our song,\and Sawa's doing the choreography.\We're all new at this, so you're not getting out of it! response:	Capiche?
context: By whom?\Why won't you even try?\Don't freak out. I'm not expecting much!\It can be grade-school level, for all I care!\Wakana is writing our song,\and Sawa's doing the choreography.\We're all new at this, so you're not getting out of it!\Capiche? response:	Yes, ma'am.
context: Why won't you even try?\Don't freak out. I'm not expecting much!\It can be grade-school level, for all I care!\Wakana is writing our song,\and Sawa's doing the choreography.\We're all new at this, so you're not getting out of it!\Capiche?\Yes, ma'am. response:	Great, then it's settled.
context: Don't freak out. I'm not expecting much!\It can be grade-school level, for all I care!\Wakana is writing our song,\and Sawa's doing the choreography.\We're all new at this, so you're not getting out of it!\Capiche?\Yes, ma'am.\Great, then it's settled. response:	She got her way.
context: It can be grade-school level, for all I care!\Wakana is writing our song,\and Sawa's doing the choreography.\We're all new at this, so you're not getting out of it!\Capiche?\Yes, ma'am.\Great, then it's settled.\She got her way. response:	She's leveled up.
context: Wakana is writing our song,\and Sawa's doing the choreography.\We're all new at this, so you're not getting out of it!\Capiche?\Yes, ma'am.\Great, then it's settled.\She got her way.\She's leveled up. response:	Wonderful, Konatsu! I'm gonna do my very best, too!
context: and Sawa's doing the choreography.\We're all new at this, so you're not getting out of it!\Capiche?\Yes, ma'am.\Great, then it's settled.\She got her way.\She's leveled up.\Wonderful, Konatsu! I'm gonna do my very best, too! response:	Okay?
context: We're all new at this, so you're not getting out of it!\Capiche?\Yes, ma'am.\Great, then it's settled.\She got her way.\She's leveled up.\Wonderful, Konatsu! I'm gonna do my very best, too!\Okay? response:	I've put together small figures before,
context: Capiche?\Yes, ma'am.\Great, then it's settled.\She got her way.\She's leveled up.\Wonderful, Konatsu! I'm gonna do my very best, too!\Okay?\I've put together small figures before, response:	but this will be my first time working on props.
context: Yes, ma'am.\Great, then it's settled.\She got her way.\She's leveled up.\Wonderful, Konatsu! I'm gonna do my very best, too!\Okay?\I've put together small figures before,\but this will be my first time working on props. response:	Um,'kay...
context: Great, then it's settled.\She got her way.\She's leveled up.\Wonderful, Konatsu! I'm gonna do my very best, too!\Okay?\I've put together small figures before,\but this will be my first time working on props.\Um,'kay... response:	Let's talk budget.
context: She got her way.\She's leveled up.\Wonderful, Konatsu! I'm gonna do my very best, too!\Okay?\I've put together small figures before,\but this will be my first time working on props.\Um,'kay...\Let's talk budget. response:	Normally, you'd use styrofoam or styrene boards
context: She's leveled up.\Wonderful, Konatsu! I'm gonna do my very best, too!\Okay?\I've put together small figures before,\but this will be my first time working on props.\Um,'kay...\Let's talk budget.\Normally, you'd use styrofoam or styrene boards response:	We need a picture of this.
context: Wonderful, Konatsu! I'm gonna do my very best, too!\Okay?\I've put together small figures before,\but this will be my first time working on props.\Um,'kay...\Let's talk budget.\Normally, you'd use styrofoam or styrene boards\We need a picture of this. response:	for these things, but...
context: Okay?\I've put together small figures before,\but this will be my first time working on props.\Um,'kay...\Let's talk budget.\Normally, you'd use styrofoam or styrene boards\We need a picture of this.\for these things, but... response:	Oh hey, did you bring it?
context: I've put together small figures before,\but this will be my first time working on props.\Um,'kay...\Let's talk budget.\Normally, you'd use styrofoam or styrene boards\We need a picture of this.\for these things, but...\Oh hey, did you bring it? response:	How much would that cost?
context: but this will be my first time working on props.\Um,'kay...\Let's talk budget.\Normally, you'd use styrofoam or styrene boards\We need a picture of this.\for these things, but...\Oh hey, did you bring it?\How much would that cost? response:	Yes...
context: Um,'kay...\Let's talk budget.\Normally, you'd use styrofoam or styrene boards\We need a picture of this.\for these things, but...\Oh hey, did you bring it?\How much would that cost?\Yes... response:	Well, that depends on the materials...
context: Let's talk budget.\Normally, you'd use styrofoam or styrene boards\We need a picture of this.\for these things, but...\Oh hey, did you bring it?\How much would that cost?\Yes...\Well, that depends on the materials... response:	Let's sneak outside.
context: Normally, you'd use styrofoam or styrene boards\We need a picture of this.\for these things, but...\Oh hey, did you bring it?\How much would that cost?\Yes...\Well, that depends on the materials...\Let's sneak outside. response:	Radiant Melody
context: We need a picture of this.\for these things, but...\Oh hey, did you bring it?\How much would that cost?\Yes...\Well, that depends on the materials...\Let's sneak outside.\Radiant Melody response:	Work-in-Progress (Confidential)
context: for these things, but...\Oh hey, did you bring it?\How much would that cost?\Yes...\Well, that depends on the materials...\Let's sneak outside.\Radiant Melody\Work-in-Progress (Confidential) response:	Thanks.
context: Oh hey, did you bring it?\How much would that cost?\Yes...\Well, that depends on the materials...\Let's sneak outside.\Radiant Melody\Work-in-Progress (Confidential)\Thanks. response:	I'm still working on it.
context: How much would that cost?\Yes...\Well, that depends on the materials...\Let's sneak outside.\Radiant Melody\Work-in-Progress (Confidential)\Thanks.\I'm still working on it. response:	Some parts don't quite fit yet.
context: Yes...\Well, that depends on the materials...\Let's sneak outside.\Radiant Melody\Work-in-Progress (Confidential)\Thanks.\I'm still working on it.\Some parts don't quite fit yet. response:	So it might change...
context: Well, that depends on the materials...\Let's sneak outside.\Radiant Melody\Work-in-Progress (Confidential)\Thanks.\I'm still working on it.\Some parts don't quite fit yet.\So it might change... response:	I just need a rough idea,
context: Let's sneak outside.\Radiant Melody\Work-in-Progress (Confidential)\Thanks.\I'm still working on it.\Some parts don't quite fit yet.\So it might change...\I just need a rough idea, response:	so I can start planning the choreograhy.
context: Radiant Melody\Work-in-Progress (Confidential)\Thanks.\I'm still working on it.\Some parts don't quite fit yet.\So it might change...\I just need a rough idea,\so I can start planning the choreograhy. response:	Man, Konatsu's nuts to make me do this.
context: Work-in-Progress (Confidential)\Thanks.\I'm still working on it.\Some parts don't quite fit yet.\So it might change...\I just need a rough idea,\so I can start planning the choreograhy.\Man, Konatsu's nuts to make me do this. response:	Just don't show the others, okay?
context: Thanks.\I'm still working on it.\Some parts don't quite fit yet.\So it might change...\I just need a rough idea,\so I can start planning the choreograhy.\Man, Konatsu's nuts to make me do this.\Just don't show the others, okay? response:	Promise.
context: I'm still working on it.\Some parts don't quite fit yet.\So it might change...\I just need a rough idea,\so I can start planning the choreograhy.\Man, Konatsu's nuts to make me do this.\Just don't show the others, okay?\Promise. response:	I can't wait to hear it!
context: Some parts don't quite fit yet.\So it might change...\I just need a rough idea,\so I can start planning the choreograhy.\Man, Konatsu's nuts to make me do this.\Just don't show the others, okay?\Promise.\I can't wait to hear it! response:	Oh no, please don't expect too much!
context: So it might change...\I just need a rough idea,\so I can start planning the choreograhy.\Man, Konatsu's nuts to make me do this.\Just don't show the others, okay?\Promise.\I can't wait to hear it!\Oh no, please don't expect too much! response:	It's no masterpiece!
context: I just need a rough idea,\so I can start planning the choreograhy.\Man, Konatsu's nuts to make me do this.\Just don't show the others, okay?\Promise.\I can't wait to hear it!\Oh no, please don't expect too much!\It's no masterpiece! response:	This song came from both you and your mom.
context: so I can start planning the choreograhy.\Man, Konatsu's nuts to make me do this.\Just don't show the others, okay?\Promise.\I can't wait to hear it!\Oh no, please don't expect too much!\It's no masterpiece!\This song came from both you and your mom. response:	All that matters is that you're happy with it.
context: Man, Konatsu's nuts to make me do this.\Just don't show the others, okay?\Promise.\I can't wait to hear it!\Oh no, please don't expect too much!\It's no masterpiece!\This song came from both you and your mom.\All that matters is that you're happy with it. response:	Konatsu said grand and all,
context: Just don't show the others, okay?\Promise.\I can't wait to hear it!\Oh no, please don't expect too much!\It's no masterpiece!\This song came from both you and your mom.\All that matters is that you're happy with it.\Konatsu said grand and all, response:	but she's just blowing hot air.
context: Promise.\I can't wait to hear it!\Oh no, please don't expect too much!\It's no masterpiece!\This song came from both you and your mom.\All that matters is that you're happy with it.\Konatsu said grand and all,\but she's just blowing hot air. response:	I know that.
context: I can't wait to hear it!\Oh no, please don't expect too much!\It's no masterpiece!\This song came from both you and your mom.\All that matters is that you're happy with it.\Konatsu said grand and all,\but she's just blowing hot air.\I know that. response:	It's just, writing a song's a lot harder
context: Oh no, please don't expect too much!\It's no masterpiece!\This song came from both you and your mom.\All that matters is that you're happy with it.\Konatsu said grand and all,\but she's just blowing hot air.\I know that.\It's just, writing a song's a lot harder response:	than I thought it would be.
context: It's no masterpiece!\This song came from both you and your mom.\All that matters is that you're happy with it.\Konatsu said grand and all,\but she's just blowing hot air.\I know that.\It's just, writing a song's a lot harder\than I thought it would be. response:	If Konatsu wasn't so determined to use it,
context: This song came from both you and your mom.\All that matters is that you're happy with it.\Konatsu said grand and all,\but she's just blowing hot air.\I know that.\It's just, writing a song's a lot harder\than I thought it would be.\If Konatsu wasn't so determined to use it, response:	I might've put it away by now,
context: All that matters is that you're happy with it.\Konatsu said grand and all,\but she's just blowing hot air.\I know that.\It's just, writing a song's a lot harder\than I thought it would be.\If Konatsu wasn't so determined to use it,\I might've put it away by now, response:	telling myself I'd finish it later.
context: Konatsu said grand and all,\but she's just blowing hot air.\I know that.\It's just, writing a song's a lot harder\than I thought it would be.\If Konatsu wasn't so determined to use it,\I might've put it away by now,\telling myself I'd finish it later. response:	But now I want to write something you'll all like.
context: but she's just blowing hot air.\I know that.\It's just, writing a song's a lot harder\than I thought it would be.\If Konatsu wasn't so determined to use it,\I might've put it away by now,\telling myself I'd finish it later.\But now I want to write something you'll all like. response:	You know, I think this will be my first
context: I know that.\It's just, writing a song's a lot harder\than I thought it would be.\If Konatsu wasn't so determined to use it,\I might've put it away by now,\telling myself I'd finish it later.\But now I want to write something you'll all like.\You know, I think this will be my first response:	and last time choreographing anything.
context: It's just, writing a song's a lot harder\than I thought it would be.\If Konatsu wasn't so determined to use it,\I might've put it away by now,\telling myself I'd finish it later.\But now I want to write something you'll all like.\You know, I think this will be my first\and last time choreographing anything. response:	Yeah?
context: than I thought it would be.\If Konatsu wasn't so determined to use it,\I might've put it away by now,\telling myself I'd finish it later.\But now I want to write something you'll all like.\You know, I think this will be my first\and last time choreographing anything.\Yeah? response:	But first, I'll give Konatsu some embarrassing moves!
context: If Konatsu wasn't so determined to use it,\I might've put it away by now,\telling myself I'd finish it later.\But now I want to write something you'll all like.\You know, I think this will be my first\and last time choreographing anything.\Yeah?\But first, I'll give Konatsu some embarrassing moves! response:	Can't wait!
context: I might've put it away by now,\telling myself I'd finish it later.\But now I want to write something you'll all like.\You know, I think this will be my first\and last time choreographing anything.\Yeah?\But first, I'll give Konatsu some embarrassing moves!\Can't wait! response:	White Festival
context: telling myself I'd finish it later.\But now I want to write something you'll all like.\You know, I think this will be my first\and last time choreographing anything.\Yeah?\But first, I'll give Konatsu some embarrassing moves!\Can't wait!\White Festival response:	Is this the last one?
context: But now I want to write something you'll all like.\You know, I think this will be my first\and last time choreographing anything.\Yeah?\But first, I'll give Konatsu some embarrassing moves!\Can't wait!\White Festival\Is this the last one? response:	Yes.
context: You know, I think this will be my first\and last time choreographing anything.\Yeah?\But first, I'll give Konatsu some embarrassing moves!\Can't wait!\White Festival\Is this the last one?\Yes. response:	Safety
context: and last time choreographing anything.\Yeah?\But first, I'll give Konatsu some embarrassing moves!\Can't wait!\White Festival\Is this the last one?\Yes.\Safety response:	Are they building something over there?
context: Yeah?\But first, I'll give Konatsu some embarrassing moves!\Can't wait!\White Festival\Is this the last one?\Yes.\Safety\Are they building something over there? response:	Huh?
context: But first, I'll give Konatsu some embarrassing moves!\Can't wait!\White Festival\Is this the last one?\Yes.\Safety\Are they building something over there?\Huh? response:	Not that I know of.
context: Can't wait!\White Festival\Is this the last one?\Yes.\Safety\Are they building something over there?\Huh?\Not that I know of. response:	The stairs are ten meters wide.
context: White Festival\Is this the last one?\Yes.\Safety\Are they building something over there?\Huh?\Not that I know of.\The stairs are ten meters wide. response:	I listened to it!
context: Is this the last one?\Yes.\Safety\Are they building something over there?\Huh?\Not that I know of.\The stairs are ten meters wide.\I listened to it! response:	I can't believe you wrote this!
context: Yes.\Safety\Are they building something over there?\Huh?\Not that I know of.\The stairs are ten meters wide.\I listened to it!\I can't believe you wrote this! response:	I love it already.
context: Safety\Are they building something over there?\Huh?\Not that I know of.\The stairs are ten meters wide.\I listened to it!\I can't believe you wrote this!\I love it already. response:	Can't wait to sing it, so keep it up!
context: Are they building something over there?\Huh?\Not that I know of.\The stairs are ten meters wide.\I listened to it!\I can't believe you wrote this!\I love it already.\Can't wait to sing it, so keep it up! response:	Here's today's picture. Bye.
context: Huh?\Not that I know of.\The stairs are ten meters wide.\I listened to it!\I can't believe you wrote this!\I love it already.\Can't wait to sing it, so keep it up!\Here's today's picture. Bye. response:	Thanks.
context: Not that I know of.\The stairs are ten meters wide.\I listened to it!\I can't believe you wrote this!\I love it already.\Can't wait to sing it, so keep it up!\Here's today's picture. Bye.\Thanks. response:	Doing my best!
