context: It's Oracion Seis vs. our Allied Forces! response:	But all of a sudden the magical bomber Christina, our trump card, was blown up!
context: There's no mistaking it... You are Wendy.\The Maiden of the Sky!\The Maiden... of the Sky?\What's that?\What does that mean?\Maiden of the Sky!\I didn't expect to encounter you here.\It looks like we picked up a nice present. response:	Come!
context: The Maiden of the Sky!\The Maiden... of the Sky?\What's that?\What does that mean?\Maiden of the Sky!\I didn't expect to encounter you here.\It looks like we picked up a nice present.\Come! response:	Wendy!
context: The Maiden... of the Sky?\What's that?\What does that mean?\Maiden of the Sky!\I didn't expect to encounter you here.\It looks like we picked up a nice present.\Come!\Wendy! response:	Wendy!
context: What's that?\What does that mean?\Maiden of the Sky!\I didn't expect to encounter you here.\It looks like we picked up a nice present.\Come!\Wendy!\Wendy! response:	Charles!
context: What does that mean?\Maiden of the Sky!\I didn't expect to encounter you here.\It looks like we picked up a nice present.\Come!\Wendy!\Wendy!\Charles! response:	Wait! I'll save you!
context: Maiden of the Sky!\I didn't expect to encounter you here.\It looks like we picked up a nice present.\Come!\Wendy!\Wendy!\Charles!\Wait! I'll save you! response:	What the hell do you think you're doing?
context: I didn't expect to encounter you here.\It looks like we picked up a nice present.\Come!\Wendy!\Wendy!\Charles!\Wait! I'll save you!\What the hell do you think you're doing? response:	Money is the great equalizer, yes!
context: It looks like we picked up a nice present.\Come!\Wendy!\Wendy!\Charles!\Wait! I'll save you!\What the hell do you think you're doing?\Money is the great equalizer, yes! response:	Charles!
context: Come!\Wendy!\Wendy!\Charles!\Wait! I'll save you!\What the hell do you think you're doing?\Money is the great equalizer, yes!\Charles! response:	Wendy!
context: Wendy!\Wendy!\Charles!\Wait! I'll save you!\What the hell do you think you're doing?\Money is the great equalizer, yes!\Charles!\Wendy! response:	Huh?
context: Wendy!\Charles!\Wait! I'll save you!\What the hell do you think you're doing?\Money is the great equalizer, yes!\Charles!\Wendy!\Huh? response:	Hey, you!
context: Charles!\Wait! I'll save you!\What the hell do you think you're doing?\Money is the great equalizer, yes!\Charles!\Wendy!\Huh?\Hey, you! response:	Wendy!
context: Wait! I'll save you!\What the hell do you think you're doing?\Money is the great equalizer, yes!\Charles!\Wendy!\Huh?\Hey, you!\Wendy! response:	Happy!
context: What the hell do you think you're doing?\Money is the great equalizer, yes!\Charles!\Wendy!\Huh?\Hey, you!\Wendy!\Happy! response:	I have no more need for you worms.
context: Money is the great equalizer, yes!\Charles!\Wendy!\Huh?\Hey, you!\Wendy!\Happy!\I have no more need for you worms. response:	Begone!
context: Charles!\Wendy!\Huh?\Hey, you!\Wendy!\Happy!\I have no more need for you worms.\Begone! response:	Dark Rondo!
context: Wendy!\Huh?\Hey, you!\Wendy!\Happy!\I have no more need for you worms.\Begone!\Dark Rondo! response:	Get down!
context: Huh?\Hey, you!\Wendy!\Happy!\I have no more need for you worms.\Begone!\Dark Rondo!\Get down! response:	Lucy-san!
context: Hey, you!\Wendy!\Happy!\I have no more need for you worms.\Begone!\Dark Rondo!\Get down!\Lucy-san! response:	Sherry!
context: Wendy!\Happy!\I have no more need for you worms.\Begone!\Dark Rondo!\Get down!\Lucy-san!\Sherry! response:	This is Lyon-sama's love!
context: Happy!\I have no more need for you worms.\Begone!\Dark Rondo!\Get down!\Lucy-san!\Sherry!\This is Lyon-sama's love! response:	Rockiron Wall!
context: I have no more need for you worms.\Begone!\Dark Rondo!\Get down!\Lucy-san!\Sherry!\This is Lyon-sama's love!\Rockiron Wall! response:	Just barely in time.
context: Begone!\Dark Rondo!\Get down!\Lucy-san!\Sherry!\This is Lyon-sama's love!\Rockiron Wall!\Just barely in time. response:	Jura-sama!
context: Dark Rondo!\Get down!\Lucy-san!\Sherry!\This is Lyon-sama's love!\Rockiron Wall!\Just barely in time.\Jura-sama! response:	Amazing, Jura-san!
context: Get down!\Lucy-san!\Sherry!\This is Lyon-sama's love!\Rockiron Wall!\Just barely in time.\Jura-sama!\Amazing, Jura-san! response:	Thank you. You saved us.
context: Lucy-san!\Sherry!\This is Lyon-sama's love!\Rockiron Wall!\Just barely in time.\Jura-sama!\Amazing, Jura-san!\Thank you. You saved us. response:	Man, thanks a bunch.
context: Sherry!\This is Lyon-sama's love!\Rockiron Wall!\Just barely in time.\Jura-sama!\Amazing, Jura-san!\Thank you. You saved us.\Man, thanks a bunch. response:	Damn it... Let me at'em!
context: This is Lyon-sama's love!\Rockiron Wall!\Just barely in time.\Jura-sama!\Amazing, Jura-san!\Thank you. You saved us.\Man, thanks a bunch.\Damn it... Let me at'em! response:	Huh?
context: Rockiron Wall!\Just barely in time.\Jura-sama!\Amazing, Jura-san!\Thank you. You saved us.\Man, thanks a bunch.\Damn it... Let me at'em!\Huh? response:	They disappeared?
context: Just barely in time.\Jura-sama!\Amazing, Jura-san!\Thank you. You saved us.\Man, thanks a bunch.\Damn it... Let me at'em!\Huh?\They disappeared? response:	What the... Hey!
context: Jura-sama!\Amazing, Jura-san!\Thank you. You saved us.\Man, thanks a bunch.\Damn it... Let me at'em!\Huh?\They disappeared?\What the... Hey! response:	Wendy...
context: Amazing, Jura-san!\Thank you. You saved us.\Man, thanks a bunch.\Damn it... Let me at'em!\Huh?\They disappeared?\What the... Hey!\Wendy... response:	They totally got us...
context: Thank you. You saved us.\Man, thanks a bunch.\Damn it... Let me at'em!\Huh?\They disappeared?\What the... Hey!\Wendy...\They totally got us... response:	They're too powerful!
context: Man, thanks a bunch.\Damn it... Let me at'em!\Huh?\They disappeared?\What the... Hey!\Wendy...\They totally got us...\They're too powerful! response:	We couldn't even touch them.
context: Damn it... Let me at'em!\Huh?\They disappeared?\What the... Hey!\Wendy...\They totally got us...\They're too powerful!\We couldn't even touch them. response:	Oracion Seis... What kind of monsters are they?
context: Huh?\They disappeared?\What the... Hey!\Wendy...\They totally got us...\They're too powerful!\We couldn't even touch them.\Oracion Seis... What kind of monsters are they? response:	There are only six of them,
context: They disappeared?\What the... Hey!\Wendy...\They totally got us...\They're too powerful!\We couldn't even touch them.\Oracion Seis... What kind of monsters are they?\There are only six of them, response:	but they're even more powerful than the data we collected on them suggested!
context: What the... Hey!\Wendy...\They totally got us...\They're too powerful!\We couldn't even touch them.\Oracion Seis... What kind of monsters are they?\There are only six of them,\but they're even more powerful than the data we collected on them suggested! response:	And our plan to use Christina is...
context: Wendy...\They totally got us...\They're too powerful!\We couldn't even touch them.\Oracion Seis... What kind of monsters are they?\There are only six of them,\but they're even more powerful than the data we collected on them suggested!\And our plan to use Christina is... response:	Yes... That woman who can peer into your heart said so.
context: They totally got us...\They're too powerful!\We couldn't even touch them.\Oracion Seis... What kind of monsters are they?\There are only six of them,\but they're even more powerful than the data we collected on them suggested!\And our plan to use Christina is...\Yes... That woman who can peer into your heart said so. response:	She said that they knew everything about our plans.
context: They're too powerful!\We couldn't even touch them.\Oracion Seis... What kind of monsters are they?\There are only six of them,\but they're even more powerful than the data we collected on them suggested!\And our plan to use Christina is...\Yes... That woman who can peer into your heart said so.\She said that they knew everything about our plans. response:	Um... What about the people that were on board?
context: We couldn't even touch them.\Oracion Seis... What kind of monsters are they?\There are only six of them,\but they're even more powerful than the data we collected on them suggested!\And our plan to use Christina is...\Yes... That woman who can peer into your heart said so.\She said that they knew everything about our plans.\Um... What about the people that were on board? response:	You don't have to worry about that.
context: Oracion Seis... What kind of monsters are they?\There are only six of them,\but they're even more powerful than the data we collected on them suggested!\And our plan to use Christina is...\Yes... That woman who can peer into your heart said so.\She said that they knew everything about our plans.\Um... What about the people that were on board?\You don't have to worry about that. response:	Christina was heading to its destination by remote control.
context: There are only six of them,\but they're even more powerful than the data we collected on them suggested!\And our plan to use Christina is...\Yes... That woman who can peer into your heart said so.\She said that they knew everything about our plans.\Um... What about the people that were on board?\You don't have to worry about that.\Christina was heading to its destination by remote control. response:	After we found their base, we were supposed to board it, however...
context: but they're even more powerful than the data we collected on them suggested!\And our plan to use Christina is...\Yes... That woman who can peer into your heart said so.\She said that they knew everything about our plans.\Um... What about the people that were on board?\You don't have to worry about that.\Christina was heading to its destination by remote control.\After we found their base, we were supposed to board it, however... response:	I see! Thank goodness...
context: And our plan to use Christina is...\Yes... That woman who can peer into your heart said so.\She said that they knew everything about our plans.\Um... What about the people that were on board?\You don't have to worry about that.\Christina was heading to its destination by remote control.\After we found their base, we were supposed to board it, however...\I see! Thank goodness... response:	I am also glad you remain safe, Jura-san.
context: Yes... That woman who can peer into your heart said so.\She said that they knew everything about our plans.\Um... What about the people that were on board?\You don't have to worry about that.\Christina was heading to its destination by remote control.\After we found their base, we were supposed to board it, however...\I see! Thank goodness...\I am also glad you remain safe, Jura-san. response:	No... It was quite a close call.
context: She said that they knew everything about our plans.\Um... What about the people that were on board?\You don't have to worry about that.\Christina was heading to its destination by remote control.\After we found their base, we were supposed to board it, however...\I see! Thank goodness...\I am also glad you remain safe, Jura-san.\No... It was quite a close call. response:	Those wounds?
context: Um... What about the people that were on board?\You don't have to worry about that.\Christina was heading to its destination by remote control.\After we found their base, we were supposed to board it, however...\I see! Thank goodness...\I am also glad you remain safe, Jura-san.\No... It was quite a close call.\Those wounds? response:	A fearsome power it was...
context: You don't have to worry about that.\Christina was heading to its destination by remote control.\After we found their base, we were supposed to board it, however...\I see! Thank goodness...\I am also glad you remain safe, Jura-san.\No... It was quite a close call.\Those wounds?\A fearsome power it was... response:	I have numbed the pain for now, thanks to Ichiya-dono's painkiller parfum.
context: Christina was heading to its destination by remote control.\After we found their base, we were supposed to board it, however...\I see! Thank goodness...\I am also glad you remain safe, Jura-san.\No... It was quite a close call.\Those wounds?\A fearsome power it was...\I have numbed the pain for now, thanks to Ichiya-dono's painkiller parfum. response:	Damn you, Oracion Seis... How dare you run just as we arrive!
context: After we found their base, we were supposed to board it, however...\I see! Thank goodness...\I am also glad you remain safe, Jura-san.\No... It was quite a close call.\Those wounds?\A fearsome power it was...\I have numbed the pain for now, thanks to Ichiya-dono's painkiller parfum.\Damn you, Oracion Seis... How dare you run just as we arrive! response:	We must have scared them off!
context: I see! Thank goodness...\I am also glad you remain safe, Jura-san.\No... It was quite a close call.\Those wounds?\A fearsome power it was...\I have numbed the pain for now, thanks to Ichiya-dono's painkiller parfum.\Damn you, Oracion Seis... How dare you run just as we arrive!\We must have scared them off! response:	You're all beat up, you know!
context: I am also glad you remain safe, Jura-san.\No... It was quite a close call.\Those wounds?\A fearsome power it was...\I have numbed the pain for now, thanks to Ichiya-dono's painkiller parfum.\Damn you, Oracion Seis... How dare you run just as we arrive!\We must have scared them off!\You're all beat up, you know! response:	These injuries? Nothing at all.
context: No... It was quite a close call.\Those wounds?\A fearsome power it was...\I have numbed the pain for now, thanks to Ichiya-dono's painkiller parfum.\Damn you, Oracion Seis... How dare you run just as we arrive!\We must have scared them off!\You're all beat up, you know!\These injuries? Nothing at all. response:	Everyone, take a whiff of my painkiller parfum!
context: Those wounds?\A fearsome power it was...\I have numbed the pain for now, thanks to Ichiya-dono's painkiller parfum.\Damn you, Oracion Seis... How dare you run just as we arrive!\We must have scared them off!\You're all beat up, you know!\These injuries? Nothing at all.\Everyone, take a whiff of my painkiller parfum! response:	Ah... What a nice smell.
context: A fearsome power it was...\I have numbed the pain for now, thanks to Ichiya-dono's painkiller parfum.\Damn you, Oracion Seis... How dare you run just as we arrive!\We must have scared them off!\You're all beat up, you know!\These injuries? Nothing at all.\Everyone, take a whiff of my painkiller parfum!\Ah... What a nice smell. response:	Yeah... My pain is going away.
context: I have numbed the pain for now, thanks to Ichiya-dono's painkiller parfum.\Damn you, Oracion Seis... How dare you run just as we arrive!\We must have scared them off!\You're all beat up, you know!\These injuries? Nothing at all.\Everyone, take a whiff of my painkiller parfum!\Ah... What a nice smell.\Yeah... My pain is going away. response:	Men!
context: Damn you, Oracion Seis... How dare you run just as we arrive!\We must have scared them off!\You're all beat up, you know!\These injuries? Nothing at all.\Everyone, take a whiff of my painkiller parfum!\Ah... What a nice smell.\Yeah... My pain is going away.\Men! response:	I wish he would cut out the posing part, though...
context: We must have scared them off!\You're all beat up, you know!\These injuries? Nothing at all.\Everyone, take a whiff of my painkiller parfum!\Ah... What a nice smell.\Yeah... My pain is going away.\Men!\I wish he would cut out the posing part, though... response:	Yes, that's our Sensei!
context: You're all beat up, you know!\These injuries? Nothing at all.\Everyone, take a whiff of my painkiller parfum!\Ah... What a nice smell.\Yeah... My pain is going away.\Men!\I wish he would cut out the posing part, though...\Yes, that's our Sensei! response:	Sensei!
context: These injuries? Nothing at all.\Everyone, take a whiff of my painkiller parfum!\Ah... What a nice smell.\Yeah... My pain is going away.\Men!\I wish he would cut out the posing part, though...\Yes, that's our Sensei!\Sensei! response:	They changed how they call him again?
context: Everyone, take a whiff of my painkiller parfum!\Ah... What a nice smell.\Yeah... My pain is going away.\Men!\I wish he would cut out the posing part, though...\Yes, that's our Sensei!\Sensei!\They changed how they call him again? response:	I'm not even saying anything anymore.
context: Ah... What a nice smell.\Yeah... My pain is going away.\Men!\I wish he would cut out the posing part, though...\Yes, that's our Sensei!\Sensei!\They changed how they call him again?\I'm not even saying anything anymore. response:	Damn those bastards... How dare they kidnap Wendy and Happy?!
context: Yeah... My pain is going away.\Men!\I wish he would cut out the posing part, though...\Yes, that's our Sensei!\Sensei!\They changed how they call him again?\I'm not even saying anything anymore.\Damn those bastards... How dare they kidnap Wendy and Happy?! response:	Where are you? Where did you run off to?!
context: Men!\I wish he would cut out the posing part, though...\Yes, that's our Sensei!\Sensei!\They changed how they call him again?\I'm not even saying anything anymore.\Damn those bastards... How dare they kidnap Wendy and Happy?!\Where are you? Where did you run off to?! response:	Natsu, where are you going?
context: I wish he would cut out the posing part, though...\Yes, that's our Sensei!\Sensei!\They changed how they call him again?\I'm not even saying anything anymore.\Damn those bastards... How dare they kidnap Wendy and Happy?!\Where are you? Where did you run off to?!\Natsu, where are you going? response:	Sheesh...
context: Yes, that's our Sensei!\Sensei!\They changed how they call him again?\I'm not even saying anything anymore.\Damn those bastards... How dare they kidnap Wendy and Happy?!\Where are you? Where did you run off to?!\Natsu, where are you going?\Sheesh... response:	Try calming down a little.
context: Sensei!\They changed how they call him again?\I'm not even saying anything anymore.\Damn those bastards... How dare they kidnap Wendy and Happy?!\Where are you? Where did you run off to?!\Natsu, where are you going?\Sheesh...\Try calming down a little. response:	Wings?
context: They changed how they call him again?\I'm not even saying anything anymore.\Damn those bastards... How dare they kidnap Wendy and Happy?!\Where are you? Where did you run off to?!\Natsu, where are you going?\Sheesh...\Try calming down a little.\Wings? response:	Definitely wings.
context: I'm not even saying anything anymore.\Damn those bastards... How dare they kidnap Wendy and Happy?!\Where are you? Where did you run off to?!\Natsu, where are you going?\Sheesh...\Try calming down a little.\Wings?\Definitely wings. response:	The cat is flying.
context: Damn those bastards... How dare they kidnap Wendy and Happy?!\Where are you? Where did you run off to?!\Natsu, where are you going?\Sheesh...\Try calming down a little.\Wings?\Definitely wings.\The cat is flying. response:	Wow!
context: Where are you? Where did you run off to?!\Natsu, where are you going?\Sheesh...\Try calming down a little.\Wings?\Definitely wings.\The cat is flying.\Wow! response:	This is the magic called Aera.
context: Natsu, where are you going?\Sheesh...\Try calming down a little.\Wings?\Definitely wings.\The cat is flying.\Wow!\This is the magic called Aera. response:	Well, I suppose it's only natural to be surprised the first time you see it.
context: Sheesh...\Try calming down a little.\Wings?\Definitely wings.\The cat is flying.\Wow!\This is the magic called Aera.\Well, I suppose it's only natural to be surprised the first time you see it. response:	You're copyin' Happy!
context: Try calming down a little.\Wings?\Definitely wings.\The cat is flying.\Wow!\This is the magic called Aera.\Well, I suppose it's only natural to be surprised the first time you see it.\You're copyin' Happy! response:	Say what?
context: Wings?\Definitely wings.\The cat is flying.\Wow!\This is the magic called Aera.\Well, I suppose it's only natural to be surprised the first time you see it.\You're copyin' Happy!\Say what? response:	Now who's the one that's surprised?
context: Definitely wings.\The cat is flying.\Wow!\This is the magic called Aera.\Well, I suppose it's only natural to be surprised the first time you see it.\You're copyin' Happy!\Say what?\Now who's the one that's surprised? response:	Anyway... I'm worried about Wendy and that male cat.
context: The cat is flying.\Wow!\This is the magic called Aera.\Well, I suppose it's only natural to be surprised the first time you see it.\You're copyin' Happy!\Say what?\Now who's the one that's surprised?\Anyway... I'm worried about Wendy and that male cat. response:	But these aren't people we can beat by randomly coming at them, right?
context: Wow!\This is the magic called Aera.\Well, I suppose it's only natural to be surprised the first time you see it.\You're copyin' Happy!\Say what?\Now who's the one that's surprised?\Anyway... I'm worried about Wendy and that male cat.\But these aren't people we can beat by randomly coming at them, right? response:	Charles-dono is correct.
context: This is the magic called Aera.\Well, I suppose it's only natural to be surprised the first time you see it.\You're copyin' Happy!\Say what?\Now who's the one that's surprised?\Anyway... I'm worried about Wendy and that male cat.\But these aren't people we can beat by randomly coming at them, right?\Charles-dono is correct. response:	Our enemy is stronger than we anticipated.
context: Well, I suppose it's only natural to be surprised the first time you see it.\You're copyin' Happy!\Say what?\Now who's the one that's surprised?\Anyway... I'm worried about Wendy and that male cat.\But these aren't people we can beat by randomly coming at them, right?\Charles-dono is correct.\Our enemy is stronger than we anticipated. response:	Men...
context: You're copyin' Happy!\Say what?\Now who's the one that's surprised?\Anyway... I'm worried about Wendy and that male cat.\But these aren't people we can beat by randomly coming at them, right?\Charles-dono is correct.\Our enemy is stronger than we anticipated.\Men... response:	And besides...
context: Say what?\Now who's the one that's surprised?\Anyway... I'm worried about Wendy and that male cat.\But these aren't people we can beat by randomly coming at them, right?\Charles-dono is correct.\Our enemy is stronger than we anticipated.\Men...\And besides... response:	Erza!
context: Now who's the one that's surprised?\Anyway... I'm worried about Wendy and that male cat.\But these aren't people we can beat by randomly coming at them, right?\Charles-dono is correct.\Our enemy is stronger than we anticipated.\Men...\And besides...\Erza! response:	Hang in there!
context: Anyway... I'm worried about Wendy and that male cat.\But these aren't people we can beat by randomly coming at them, right?\Charles-dono is correct.\Our enemy is stronger than we anticipated.\Men...\And besides...\Erza!\Hang in there! response:	Poison is spreading around the place that snake bit you...
context: But these aren't people we can beat by randomly coming at them, right?\Charles-dono is correct.\Our enemy is stronger than we anticipated.\Men...\And besides...\Erza!\Hang in there!\Poison is spreading around the place that snake bit you... response:	Ichiya-sama...
context: Charles-dono is correct.\Our enemy is stronger than we anticipated.\Men...\And besides...\Erza!\Hang in there!\Poison is spreading around the place that snake bit you...\Ichiya-sama... response:	I know.
context: Our enemy is stronger than we anticipated.\Men...\And besides...\Erza!\Hang in there!\Poison is spreading around the place that snake bit you...\Ichiya-sama...\I know. response:	For my honey... Painkiller parfum!
context: Men...\And besides...\Erza!\Hang in there!\Poison is spreading around the place that snake bit you...\Ichiya-sama...\I know.\For my honey... Painkiller parfum! response:	Augment Aroma!
context: And besides...\Erza!\Hang in there!\Poison is spreading around the place that snake bit you...\Ichiya-sama...\I know.\For my honey... Painkiller parfum!\Augment Aroma! response:	Wait... Will a painkiller help with poison?
context: Erza!\Hang in there!\Poison is spreading around the place that snake bit you...\Ichiya-sama...\I know.\For my honey... Painkiller parfum!\Augment Aroma!\Wait... Will a painkiller help with poison? response:	Our senpai's parfum works not just with pain, but can cure poison as well.
context: Hang in there!\Poison is spreading around the place that snake bit you...\Ichiya-sama...\I know.\For my honey... Painkiller parfum!\Augment Aroma!\Wait... Will a painkiller help with poison?\Our senpai's parfum works not just with pain, but can cure poison as well. response:	Wow!
context: Poison is spreading around the place that snake bit you...\Ichiya-sama...\I know.\For my honey... Painkiller parfum!\Augment Aroma!\Wait... Will a painkiller help with poison?\Our senpai's parfum works not just with pain, but can cure poison as well.\Wow! response:	Erza, are you okay?
context: Ichiya-sama...\I know.\For my honey... Painkiller parfum!\Augment Aroma!\Wait... Will a painkiller help with poison?\Our senpai's parfum works not just with pain, but can cure poison as well.\Wow!\Erza, are you okay? response:	It looks like she's suffering even worse?
context: I know.\For my honey... Painkiller parfum!\Augment Aroma!\Wait... Will a painkiller help with poison?\Our senpai's parfum works not just with pain, but can cure poison as well.\Wow!\Erza, are you okay?\It looks like she's suffering even worse? response:	Uh... Oh?
context: For my honey... Painkiller parfum!\Augment Aroma!\Wait... Will a painkiller help with poison?\Our senpai's parfum works not just with pain, but can cure poison as well.\Wow!\Erza, are you okay?\It looks like she's suffering even worse?\Uh... Oh? response:	M-Me...?
context: Augment Aroma!\Wait... Will a painkiller help with poison?\Our senpai's parfum works not just with pain, but can cure poison as well.\Wow!\Erza, are you okay?\It looks like she's suffering even worse?\Uh... Oh?\M-Me...? response:	This...
context: Wait... Will a painkiller help with poison?\Our senpai's parfum works not just with pain, but can cure poison as well.\Wow!\Erza, are you okay?\It looks like she's suffering even worse?\Uh... Oh?\M-Me...?\This... response:	No... The painkiller parfum isn't working!
context: Our senpai's parfum works not just with pain, but can cure poison as well.\Wow!\Erza, are you okay?\It looks like she's suffering even worse?\Uh... Oh?\M-Me...?\This...\No... The painkiller parfum isn't working! response:	Hang in there, Erza!
context: Wow!\Erza, are you okay?\It looks like she's suffering even worse?\Uh... Oh?\M-Me...?\This...\No... The painkiller parfum isn't working!\Hang in there, Erza! response:	What'll we do?
context: Erza, are you okay?\It looks like she's suffering even worse?\Uh... Oh?\M-Me...?\This...\No... The painkiller parfum isn't working!\Hang in there, Erza!\What'll we do? response:	Lucy... I'm sorry.
context: It looks like she's suffering even worse?\Uh... Oh?\M-Me...?\This...\No... The painkiller parfum isn't working!\Hang in there, Erza!\What'll we do?\Lucy... I'm sorry. response:	I'm borrowing your belt.
context: Uh... Oh?\M-Me...?\This...\No... The painkiller parfum isn't working!\Hang in there, Erza!\What'll we do?\Lucy... I'm sorry.\I'm borrowing your belt. response:	Eyes off!
