context: For some odd reason, it felt like something was amiss. response:	On TV, there was a match between two teams that I had never heard of before,
context: How did I know that?\Kyon-kun, the phone.\You don't have to tell me. I know.\You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come!\I didn't even get to say a thing.\What? response:	I forgot to tell you what to bring.
context: Kyon-kun, the phone.\You don't have to tell me. I know.\You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come!\I didn't even get to say a thing.\What?\I forgot to tell you what to bring. response:	Bring your swimming gear and lots of money!
context: You don't have to tell me. I know.\You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come!\I didn't even get to say a thing.\What?\I forgot to tell you what to bring.\Bring your swimming gear and lots of money! response:	And make sure you go there on a bike. Over!
context: You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come!\I didn't even get to say a thing.\What?\I forgot to tell you what to bring.\Bring your swimming gear and lots of money!\And make sure you go there on a bike. Over! response:	No thanks.
context: We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come!\I didn't even get to say a thing.\What?\I forgot to tell you what to bring.\Bring your swimming gear and lots of money!\And make sure you go there on a bike. Over!\No thanks. response:	Once again, for some odd reason I have this feeling that I knew exactly what Haruhi was going to say.
context: Make sure you come!\I didn't even get to say a thing.\What?\I forgot to tell you what to bring.\Bring your swimming gear and lots of money!\And make sure you go there on a bike. Over!\No thanks.\Once again, for some odd reason I have this feeling that I knew exactly what Haruhi was going to say. response:	No, that's not it.
context: I didn't even get to say a thing.\What?\I forgot to tell you what to bring.\Bring your swimming gear and lots of money!\And make sure you go there on a bike. Over!\No thanks.\Once again, for some odd reason I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not it. response:	More accurately, I get the feeling that the exact same thing had happened before.
context: What?\I forgot to tell you what to bring.\Bring your swimming gear and lots of money!\And make sure you go there on a bike. Over!\No thanks.\Once again, for some odd reason I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not it.\More accurately, I get the feeling that the exact same thing had happened before. response:	Is this what they call deja vu?
context: I forgot to tell you what to bring.\Bring your swimming gear and lots of money!\And make sure you go there on a bike. Over!\No thanks.\Once again, for some odd reason I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not it.\More accurately, I get the feeling that the exact same thing had happened before.\Is this what they call deja vu? response:	Summer is going to end soon, huh?
context: Bring your swimming gear and lots of money!\And make sure you go there on a bike. Over!\No thanks.\Once again, for some odd reason I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not it.\More accurately, I get the feeling that the exact same thing had happened before.\Is this what they call deja vu?\Summer is going to end soon, huh? response:	Endless Eight
context: And make sure you go there on a bike. Over!\No thanks.\Once again, for some odd reason I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not it.\More accurately, I get the feeling that the exact same thing had happened before.\Is this what they call deja vu?\Summer is going to end soon, huh?\Endless Eight response:	You're late, Kyon!
context: No thanks.\Once again, for some odd reason I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not it.\More accurately, I get the feeling that the exact same thing had happened before.\Is this what they call deja vu?\Summer is going to end soon, huh?\Endless Eight\You're late, Kyon! response:	You need to show more enthusiasm!
context: Once again, for some odd reason I have this feeling that I knew exactly what Haruhi was going to say.\No, that's not it.\More accurately, I get the feeling that the exact same thing had happened before.\Is this what they call deja vu?\Summer is going to end soon, huh?\Endless Eight\You're late, Kyon!\You need to show more enthusiasm! response:	Yeah, yeah.
context: No, that's not it.\More accurately, I get the feeling that the exact same thing had happened before.\Is this what they call deja vu?\Summer is going to end soon, huh?\Endless Eight\You're late, Kyon!\You need to show more enthusiasm!\Yeah, yeah. response:	Sorry for making you guys wait.
context: More accurately, I get the feeling that the exact same thing had happened before.\Is this what they call deja vu?\Summer is going to end soon, huh?\Endless Eight\You're late, Kyon!\You need to show more enthusiasm!\Yeah, yeah.\Sorry for making you guys wait. response:	I just got here too.
context: Is this what they call deja vu?\Summer is going to end soon, huh?\Endless Eight\You're late, Kyon!\You need to show more enthusiasm!\Yeah, yeah.\Sorry for making you guys wait.\I just got here too. response:	Since everyone is here, let's go!
context: Summer is going to end soon, huh?\Endless Eight\You're late, Kyon!\You need to show more enthusiasm!\Yeah, yeah.\Sorry for making you guys wait.\I just got here too.\Since everyone is here, let's go! response:	To where?
context: Endless Eight\You're late, Kyon!\You need to show more enthusiasm!\Yeah, yeah.\Sorry for making you guys wait.\I just got here too.\Since everyone is here, let's go!\To where? response:	To the public pool, of course!
context: You're late, Kyon!\You need to show more enthusiasm!\Yeah, yeah.\Sorry for making you guys wait.\I just got here too.\Since everyone is here, let's go!\To where?\To the public pool, of course! response:	Well, since we brought all this, I guess we would be.
context: You need to show more enthusiasm!\Yeah, yeah.\Sorry for making you guys wait.\I just got here too.\Since everyone is here, let's go!\To where?\To the public pool, of course!\Well, since we brought all this, I guess we would be. response:	Since it's summer, we should have summer activities like what other people do in the summer!
context: Yeah, yeah.\Sorry for making you guys wait.\I just got here too.\Since everyone is here, let's go!\To where?\To the public pool, of course!\Well, since we brought all this, I guess we would be.\Since it's summer, we should have summer activities like what other people do in the summer! response:	We're never going to get back the time we lost, you know?
context: Sorry for making you guys wait.\I just got here too.\Since everyone is here, let's go!\To where?\To the public pool, of course!\Well, since we brought all this, I guess we would be.\Since it's summer, we should have summer activities like what other people do in the summer!\We're never going to get back the time we lost, you know? response:	That's why we're doing this right now.
context: I just got here too.\Since everyone is here, let's go!\To where?\To the public pool, of course!\Well, since we brought all this, I guess we would be.\Since it's summer, we should have summer activities like what other people do in the summer!\We're never going to get back the time we lost, you know?\That's why we're doing this right now. response:	This is our once-in-a-lifetime freshman summer vacation!
context: Since everyone is here, let's go!\To where?\To the public pool, of course!\Well, since we brought all this, I guess we would be.\Since it's summer, we should have summer activities like what other people do in the summer!\We're never going to get back the time we lost, you know?\That's why we're doing this right now.\This is our once-in-a-lifetime freshman summer vacation! response:	By the way, we're going to the pool by bike.
context: To where?\To the public pool, of course!\Well, since we brought all this, I guess we would be.\Since it's summer, we should have summer activities like what other people do in the summer!\We're never going to get back the time we lost, you know?\That's why we're doing this right now.\This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike. response:	Tell me you guys brought your bikes too.
context: To the public pool, of course!\Well, since we brought all this, I guess we would be.\Since it's summer, we should have summer activities like what other people do in the summer!\We're never going to get back the time we lost, you know?\That's why we're doing this right now.\This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike.\Tell me you guys brought your bikes too. response:	No. You and I are the only ones who brought bikes.
context: Well, since we brought all this, I guess we would be.\Since it's summer, we should have summer activities like what other people do in the summer!\We're never going to get back the time we lost, you know?\That's why we're doing this right now.\This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike.\Tell me you guys brought your bikes too.\No. You and I are the only ones who brought bikes. response:	Got it, Kyon?
context: Since it's summer, we should have summer activities like what other people do in the summer!\We're never going to get back the time we lost, you know?\That's why we're doing this right now.\This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike.\Tell me you guys brought your bikes too.\No. You and I are the only ones who brought bikes.\Got it, Kyon? response:	You can't lose to Koizumi-kun.
context: We're never going to get back the time we lost, you know?\That's why we're doing this right now.\This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike.\Tell me you guys brought your bikes too.\No. You and I are the only ones who brought bikes.\Got it, Kyon?\You can't lose to Koizumi-kun. response:	Now, commence take off!
context: That's why we're doing this right now.\This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike.\Tell me you guys brought your bikes too.\No. You and I are the only ones who brought bikes.\Got it, Kyon?\You can't lose to Koizumi-kun.\Now, commence take off! response:	Here I go
context: This is our once-in-a-lifetime freshman summer vacation!\By the way, we're going to the pool by bike.\Tell me you guys brought your bikes too.\No. You and I are the only ones who brought bikes.\Got it, Kyon?\You can't lose to Koizumi-kun.\Now, commence take off!\Here I go response:	Hurry up and get off your bikes, you guys!
context: By the way, we're going to the pool by bike.\Tell me you guys brought your bikes too.\No. You and I are the only ones who brought bikes.\Got it, Kyon?\You can't lose to Koizumi-kun.\Now, commence take off!\Here I go\Hurry up and get off your bikes, you guys! response:	We came here to have fun! Why are you two worn out already?
context: Tell me you guys brought your bikes too.\No. You and I are the only ones who brought bikes.\Got it, Kyon?\You can't lose to Koizumi-kun.\Now, commence take off!\Here I go\Hurry up and get off your bikes, you guys!\We came here to have fun! Why are you two worn out already? response:	Whose fault do you think it is? Whose?!
context: No. You and I are the only ones who brought bikes.\Got it, Kyon?\You can't lose to Koizumi-kun.\Now, commence take off!\Here I go\Hurry up and get off your bikes, you guys!\We came here to have fun! Why are you two worn out already?\Whose fault do you think it is? Whose?! response:	Ah, the smell of chlorine! This is what it's all about!
context: Got it, Kyon?\You can't lose to Koizumi-kun.\Now, commence take off!\Here I go\Hurry up and get off your bikes, you guys!\We came here to have fun! Why are you two worn out already?\Whose fault do you think it is? Whose?!\Ah, the smell of chlorine! This is what it's all about! response:	Hurry up and get in!
context: You can't lose to Koizumi-kun.\Now, commence take off!\Here I go\Hurry up and get off your bikes, you guys!\We came here to have fun! Why are you two worn out already?\Whose fault do you think it is? Whose?!\Ah, the smell of chlorine! This is what it's all about!\Hurry up and get in! response:	The water is nice and warm!
context: Now, commence take off!\Here I go\Hurry up and get off your bikes, you guys!\We came here to have fun! Why are you two worn out already?\Whose fault do you think it is? Whose?!\Ah, the smell of chlorine! This is what it's all about!\Hurry up and get in!\The water is nice and warm! response:	Can't she see the signs that say No Diving?
context: Here I go\Hurry up and get off your bikes, you guys!\We came here to have fun! Why are you two worn out already?\Whose fault do you think it is? Whose?!\Ah, the smell of chlorine! This is what it's all about!\Hurry up and get in!\The water is nice and warm!\Can't she see the signs that say No Diving? response:	It looks like fun, doesn't it?
context: Hurry up and get off your bikes, you guys!\We came here to have fun! Why are you two worn out already?\Whose fault do you think it is? Whose?!\Ah, the smell of chlorine! This is what it's all about!\Hurry up and get in!\The water is nice and warm!\Can't she see the signs that say No Diving?\It looks like fun, doesn't it? response:	It's quite a pleasant scene.
context: We came here to have fun! Why are you two worn out already?\Whose fault do you think it is? Whose?!\Ah, the smell of chlorine! This is what it's all about!\Hurry up and get in!\The water is nice and warm!\Can't she see the signs that say No Diving?\It looks like fun, doesn't it?\It's quite a pleasant scene. response:	Also, it's peaceful.
context: Whose fault do you think it is? Whose?!\Ah, the smell of chlorine! This is what it's all about!\Hurry up and get in!\The water is nice and warm!\Can't she see the signs that say No Diving?\It looks like fun, doesn't it?\It's quite a pleasant scene.\Also, it's peaceful. response:	Don't you think Suzumiya-san may have found a normal way of enjoying things?
context: Ah, the smell of chlorine! This is what it's all about!\Hurry up and get in!\The water is nice and warm!\Can't she see the signs that say No Diving?\It looks like fun, doesn't it?\It's quite a pleasant scene.\Also, it's peaceful.\Don't you think Suzumiya-san may have found a normal way of enjoying things? response:	She called me to go out all of a sudden, and then hung up on me after stating her one-sided demands.
context: Hurry up and get in!\The water is nice and warm!\Can't she see the signs that say No Diving?\It looks like fun, doesn't it?\It's quite a pleasant scene.\Also, it's peaceful.\Don't you think Suzumiya-san may have found a normal way of enjoying things?\She called me to go out all of a sudden, and then hung up on me after stating her one-sided demands. response:	You can't exactly say that's normal.
context: The water is nice and warm!\Can't she see the signs that say No Diving?\It looks like fun, doesn't it?\It's quite a pleasant scene.\Also, it's peaceful.\Don't you think Suzumiya-san may have found a normal way of enjoying things?\She called me to go out all of a sudden, and then hung up on me after stating her one-sided demands.\You can't exactly say that's normal. response:	Really now.
context: Can't she see the signs that say No Diving?\It looks like fun, doesn't it?\It's quite a pleasant scene.\Also, it's peaceful.\Don't you think Suzumiya-san may have found a normal way of enjoying things?\She called me to go out all of a sudden, and then hung up on me after stating her one-sided demands.\You can't exactly say that's normal.\Really now. response:	If you want me to be the one calling you, I'll gladly do it.
context: It looks like fun, doesn't it?\It's quite a pleasant scene.\Also, it's peaceful.\Don't you think Suzumiya-san may have found a normal way of enjoying things?\She called me to go out all of a sudden, and then hung up on me after stating her one-sided demands.\You can't exactly say that's normal.\Really now.\If you want me to be the one calling you, I'll gladly do it. response:	Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.
context: It's quite a pleasant scene.\Also, it's peaceful.\Don't you think Suzumiya-san may have found a normal way of enjoying things?\She called me to go out all of a sudden, and then hung up on me after stating her one-sided demands.\You can't exactly say that's normal.\Really now.\If you want me to be the one calling you, I'll gladly do it.\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world. response:	If only that were true...
context: Also, it's peaceful.\Don't you think Suzumiya-san may have found a normal way of enjoying things?\She called me to go out all of a sudden, and then hung up on me after stating her one-sided demands.\You can't exactly say that's normal.\Really now.\If you want me to be the one calling you, I'll gladly do it.\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true... response:	What's wrong?
context: Don't you think Suzumiya-san may have found a normal way of enjoying things?\She called me to go out all of a sudden, and then hung up on me after stating her one-sided demands.\You can't exactly say that's normal.\Really now.\If you want me to be the one calling you, I'll gladly do it.\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true...\What's wrong? response:	Nothing. It's probably just my imagination.
context: She called me to go out all of a sudden, and then hung up on me after stating her one-sided demands.\You can't exactly say that's normal.\Really now.\If you want me to be the one calling you, I'll gladly do it.\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true...\What's wrong?\Nothing. It's probably just my imagination. response:	We've been through all sorts of things since spring.
context: You can't exactly say that's normal.\Really now.\If you want me to be the one calling you, I'll gladly do it.\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true...\What's wrong?\Nothing. It's probably just my imagination.\We've been through all sorts of things since spring. response:	I think I might have become a little neurotic.
context: Really now.\If you want me to be the one calling you, I'll gladly do it.\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true...\What's wrong?\Nothing. It's probably just my imagination.\We've been through all sorts of things since spring.\I think I might have become a little neurotic. response:	It's hot!
context: If you want me to be the one calling you, I'll gladly do it.\Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true...\What's wrong?\Nothing. It's probably just my imagination.\We've been through all sorts of things since spring.\I think I might have become a little neurotic.\It's hot! response:	It's hot!
context: Seeing her having so much fun, there shouldn't be anything happening that will endanger the world.\If only that were true...\What's wrong?\Nothing. It's probably just my imagination.\We've been through all sorts of things since spring.\I think I might have become a little neurotic.\It's hot!\It's hot! response:	It's hooot!
context: If only that were true...\What's wrong?\Nothing. It's probably just my imagination.\We've been through all sorts of things since spring.\I think I might have become a little neurotic.\It's hot!\It's hot!\It's hooot! response:	Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.
context: What's wrong?\Nothing. It's probably just my imagination.\We've been through all sorts of things since spring.\I think I might have become a little neurotic.\It's hot!\It's hot!\It's hooot!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public. response:	Why did Haruhi choose this kind of place anyway?
context: Nothing. It's probably just my imagination.\We've been through all sorts of things since spring.\I think I might have become a little neurotic.\It's hot!\It's hot!\It's hooot!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\Why did Haruhi choose this kind of place anyway? response:	I'm getting that feeling again.
context: We've been through all sorts of things since spring.\I think I might have become a little neurotic.\It's hot!\It's hot!\It's hooot!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\Why did Haruhi choose this kind of place anyway?\I'm getting that feeling again. response:	I feel like I've seen this somewhere before.
context: I think I might have become a little neurotic.\It's hot!\It's hot!\It's hooot!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\Why did Haruhi choose this kind of place anyway?\I'm getting that feeling again.\I feel like I've seen this somewhere before. response:	For some odd reason, Nagato looks like she's bored.
context: It's hot!\It's hot!\It's hooot!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\Why did Haruhi choose this kind of place anyway?\I'm getting that feeling again.\I feel like I've seen this somewhere before.\For some odd reason, Nagato looks like she's bored. response:	Kyon!
context: It's hot!\It's hooot!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\Why did Haruhi choose this kind of place anyway?\I'm getting that feeling again.\I feel like I've seen this somewhere before.\For some odd reason, Nagato looks like she's bored.\Kyon! response:	That's right. Then Haruhi said something like...
context: It's hooot!\Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\Why did Haruhi choose this kind of place anyway?\I'm getting that feeling again.\I feel like I've seen this somewhere before.\For some odd reason, Nagato looks like she's bored.\Kyon!\That's right. Then Haruhi said something like... response:	These two are my brigade members.
context: Man, it'd be more appropriate to call this place a pool for the masses than a pool for the public.\Why did Haruhi choose this kind of place anyway?\I'm getting that feeling again.\I feel like I've seen this somewhere before.\For some odd reason, Nagato looks like she's bored.\Kyon!\That's right. Then Haruhi said something like...\These two are my brigade members. response:	They'll listen to everything I say.
context: Why did Haruhi choose this kind of place anyway?\I'm getting that feeling again.\I feel like I've seen this somewhere before.\For some odd reason, Nagato looks like she's bored.\Kyon!\That's right. Then Haruhi said something like...\These two are my brigade members.\They'll listen to everything I say. response:	So ask them anything!
context: I'm getting that feeling again.\I feel like I've seen this somewhere before.\For some odd reason, Nagato looks like she's bored.\Kyon!\That's right. Then Haruhi said something like...\These two are my brigade members.\They'll listen to everything I say.\So ask them anything! response:	Come on, let's go have fun!
context: I feel like I've seen this somewhere before.\For some odd reason, Nagato looks like she's bored.\Kyon!\That's right. Then Haruhi said something like...\These two are my brigade members.\They'll listen to everything I say.\So ask them anything!\Come on, let's go have fun! response:	We're going to play water soccer!
context: For some odd reason, Nagato looks like she's bored.\Kyon!\That's right. Then Haruhi said something like...\These two are my brigade members.\They'll listen to everything I say.\So ask them anything!\Come on, let's go have fun!\We're going to play water soccer! response:	Okay, okay.
context: Kyon!\That's right. Then Haruhi said something like...\These two are my brigade members.\They'll listen to everything I say.\So ask them anything!\Come on, let's go have fun!\We're going to play water soccer!\Okay, okay. response:	Well, deja vu happens all the time, I guess.
context: That's right. Then Haruhi said something like...\These two are my brigade members.\They'll listen to everything I say.\So ask them anything!\Come on, let's go have fun!\We're going to play water soccer!\Okay, okay.\Well, deja vu happens all the time, I guess. response:	Here I come, Mikuru-chan!
context: These two are my brigade members.\They'll listen to everything I say.\So ask them anything!\Come on, let's go have fun!\We're going to play water soccer!\Okay, okay.\Well, deja vu happens all the time, I guess.\Here I come, Mikuru-chan! response:	Okay!
context: They'll listen to everything I say.\So ask them anything!\Come on, let's go have fun!\We're going to play water soccer!\Okay, okay.\Well, deja vu happens all the time, I guess.\Here I come, Mikuru-chan!\Okay! response:	I came up with an action plan for the rest of summer. What do you think?
context: So ask them anything!\Come on, let's go have fun!\We're going to play water soccer!\Okay, okay.\Well, deja vu happens all the time, I guess.\Here I come, Mikuru-chan!\Okay!\I came up with an action plan for the rest of summer. What do you think? response:	All of this in less than two weeks.
context: Come on, let's go have fun!\We're going to play water soccer!\Okay, okay.\Well, deja vu happens all the time, I guess.\Here I come, Mikuru-chan!\Okay!\I came up with an action plan for the rest of summer. What do you think?\All of this in less than two weeks. response:	Mikuru-chan, do you have anything you want to do?
context: We're going to play water soccer!\Okay, okay.\Well, deja vu happens all the time, I guess.\Here I come, Mikuru-chan!\Okay!\I came up with an action plan for the rest of summer. What do you think?\All of this in less than two weeks.\Mikuru-chan, do you have anything you want to do? response:	Umm, I would like to scoop up goldfish.
context: Okay, okay.\Well, deja vu happens all the time, I guess.\Here I come, Mikuru-chan!\Okay!\I came up with an action plan for the rest of summer. What do you think?\All of this in less than two weeks.\Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish. response:	Okay! Goldfish scooping it is.
context: Well, deja vu happens all the time, I guess.\Here I come, Mikuru-chan!\Okay!\I came up with an action plan for the rest of summer. What do you think?\All of this in less than two weeks.\Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish.\Okay! Goldfish scooping it is. response:	Excuse me.
context: Here I come, Mikuru-chan!\Okay!\I came up with an action plan for the rest of summer. What do you think?\All of this in less than two weeks.\Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish.\Okay! Goldfish scooping it is.\Excuse me. response:	Thanks.
context: Okay!\I came up with an action plan for the rest of summer. What do you think?\All of this in less than two weeks.\Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish.\Okay! Goldfish scooping it is.\Excuse me.\Thanks. response:	We'll start tomorrow.
context: I came up with an action plan for the rest of summer. What do you think?\All of this in less than two weeks.\Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish.\Okay! Goldfish scooping it is.\Excuse me.\Thanks.\We'll start tomorrow. response:	I wonder if there's an Obon festival being held near here.
context: All of this in less than two weeks.\Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish.\Okay! Goldfish scooping it is.\Excuse me.\Thanks.\We'll start tomorrow.\I wonder if there's an Obon festival being held near here. response:	A fireworks festival would be nice too.
context: Mikuru-chan, do you have anything you want to do?\Umm, I would like to scoop up goldfish.\Okay! Goldfish scooping it is.\Excuse me.\Thanks.\We'll start tomorrow.\I wonder if there's an Obon festival being held near here.\A fireworks festival would be nice too. response:	I'll look into it.
context: Umm, I would like to scoop up goldfish.\Okay! Goldfish scooping it is.\Excuse me.\Thanks.\We'll start tomorrow.\I wonder if there's an Obon festival being held near here.\A fireworks festival would be nice too.\I'll look into it. response:	Don't forget the goldfish scooping!
context: Okay! Goldfish scooping it is.\Excuse me.\Thanks.\We'll start tomorrow.\I wonder if there's an Obon festival being held near here.\A fireworks festival would be nice too.\I'll look into it.\Don't forget the goldfish scooping! response:	It's Mikuru-chan's one passionate desire, after all.
context: Excuse me.\Thanks.\We'll start tomorrow.\I wonder if there's an Obon festival being held near here.\A fireworks festival would be nice too.\I'll look into it.\Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all. response:	Understood.
context: Thanks.\We'll start tomorrow.\I wonder if there's an Obon festival being held near here.\A fireworks festival would be nice too.\I'll look into it.\Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all.\Understood. response:	I'm the one paying again...
context: We'll start tomorrow.\I wonder if there's an Obon festival being held near here.\A fireworks festival would be nice too.\I'll look into it.\Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all.\Understood.\I'm the one paying again... response:	Well, that's it for today!
context: I wonder if there's an Obon festival being held near here.\A fireworks festival would be nice too.\I'll look into it.\Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all.\Understood.\I'm the one paying again...\Well, that's it for today! response:	That's it for me too.
context: A fireworks festival would be nice too.\I'll look into it.\Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all.\Understood.\I'm the one paying again...\Well, that's it for today!\That's it for me too. response:	Me too.
context: I'll look into it.\Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all.\Understood.\I'm the one paying again...\Well, that's it for today!\That's it for me too.\Me too. response:	Nagato!
context: Don't forget the goldfish scooping!\It's Mikuru-chan's one passionate desire, after all.\Understood.\I'm the one paying again...\Well, that's it for today!\That's it for me too.\Me too.\Nagato! response:	Ah, no. It's nothing really...
context: It's Mikuru-chan's one passionate desire, after all.\Understood.\I'm the one paying again...\Well, that's it for today!\That's it for me too.\Me too.\Nagato!\Ah, no. It's nothing really... response:	How've you been feeling lately?
context: Understood.\I'm the one paying again...\Well, that's it for today!\That's it for me too.\Me too.\Nagato!\Ah, no. It's nothing really...\How've you been feeling lately? response:	You okay and everything?
context: I'm the one paying again...\Well, that's it for today!\That's it for me too.\Me too.\Nagato!\Ah, no. It's nothing really...\How've you been feeling lately?\You okay and everything? response:	I'm okay.
context: Well, that's it for today!\That's it for me too.\Me too.\Nagato!\Ah, no. It's nothing really...\How've you been feeling lately?\You okay and everything?\I'm okay. response:	That's great.
context: That's it for me too.\Me too.\Nagato!\Ah, no. It's nothing really...\How've you been feeling lately?\You okay and everything?\I'm okay.\That's great. response:	Yes...
context: Me too.\Nagato!\Ah, no. It's nothing really...\How've you been feeling lately?\You okay and everything?\I'm okay.\That's great.\Yes... response:	Why?
context: Nagato!\Ah, no. It's nothing really...\How've you been feeling lately?\You okay and everything?\I'm okay.\That's great.\Yes...\Why? response:	Why did I call out to her?
context: Ah, no. It's nothing really...\How've you been feeling lately?\You okay and everything?\I'm okay.\That's great.\Yes...\Why?\Why did I call out to her? response:	The next morning.
context: How've you been feeling lately?\You okay and everything?\I'm okay.\That's great.\Yes...\Why?\Why did I call out to her?\The next morning. response:	The call that stole my indolence away was, once again, from Haruhi.
context: You okay and everything?\I'm okay.\That's great.\Yes...\Why?\Why did I call out to her?\The next morning.\The call that stole my indolence away was, once again, from Haruhi. response:	Tonight at the public sports ground.
